   The Adhikaraṇavastu	The ADikaraNa-vastu
   Not all kinds of vivāda, etc., are a source of adhikaraṇa	Not all kindH of vivAda, et-c., are a source of aDikaraNa
        yo vivādas tad adhikaraṇaṃ yac cādhikaraṛam sa vivādaḥ? āha: syād	yaH vivAdaH tat aDikaraNam yat ca-aDikaraRam sa vivAdaH? Aha: syAt-
   vivādo nādhikaraṇam, syād adhikaraṇaṃ na vivādaḥ, syād vivādaś	vivAdaH na-aDikaraNam, syAt aDikaraNam na vivAdaH, syAt vivAdaH-
   cādhikaraṇaṃ ca, syān naiva vivādo nādhikaraṇam; 1) vivādas tāvan	ca-aDikaraNam ca, syAt na-eva vivAdaH na-aDikaraNam; 1) vivAdaH tAvan
   nādhikaraṇam, yat saṃghasya nānāvādo vivādaḥ vipratyanīkavādaḥ; 2)	na-aDikaraNam, yat saMGasya nAnA-vAdaH vivAdaH vipratyanIka-vAdaH; 2)
   adhikaraṇaṃ na vivādaḥ, trīṇy adhikaraṇāni anavavādādhikaraṇam	aDikaraNam na vivAdaH, trINi aDikaraNAni anavavAda-aDikaraNam
   āpattyadhikaraṇaṃ kṛtyādhikaraṇaṃ ca; 3) vivādāś cādhikaraṇaṃ ḥcaḥ, yaḥ	Apatti-aDikaraNam kRtya-aDikaraNam ca; 3) vivAdAH ca-aDikaraNam HcaH, yaH
   saṃghasya nānāvādo vivādo vipratyanīkavādaḥ asāmagrī asaṃmodamāna	saMGasya nAnA-vAdaH vivAdaH vipratyanIka-vAdaH asAmagrI asaMmodamAna
   anekotībhāvaḥ tad upādāya yaḥ kalaho bhaṇḍanaṃ vigraho vivādaḥ; 4) syān	anekotIBAvaH tat upAdAya yaH kalahaH BaNxanam vigrahaH vivAdaH; 4) syAt-
   naiva vivādo nādhikaraṇam, etān ākārān sthāpayitvā (Adhik-v 78)	na-eva vivAdaH na-aDikaraNam, etAn AkArAn sTApayitvA (a-aDik-u 78)
        yo 'navavādas tad adhikaraṇaṃ yad vā adhikaraṇaṃ so 'navavādaḥ? āha:	yaH anavavAdaH tat aDikaraNam yat vE aDikaraNam saH anavavAdaH? Aha:
   syād anavavādo nādhikaraṇam; syād adhikaraṇam nānavavādaḥ; syād anavavādaś	syAt anavavAdaH na-aDikaraNam; syAt aDikaraNam na-anavavAdaH; syAt anavavAdaH-
   cādhikaraṇaṃ ca; syād naivānavavādo nādhikaraṇam; 1) anavavādas tāvan	ca-aDikaraNam ca; syAt na-eva-anavavAdaH na-aDikaraNam; 1) anavavAdaH tAvan
   nādhikaraṇam; yaḥ saṃghasya anavavādaḥ anavavādanaṃ anavavādaprasthāpanam;	na-aDikaraNam; yaH saMGasya anavavAdaH anavavAdanam anavavAda-prasTApanam;
   2) adhikaraṇam nānavavādaḥ, trīṇy adhikaraṇāni vivādādhikaraṇam	2) aDikaraNam na-anavavAdaH, trINi aDikaraNAni vivAda-aDikaraNam
   āpattyadhikaraṇaṃ kṛtyādhikaraṇaṃ ca; 3) anavavādaś cādhikaraṇaṃ ca, yaḥ	Apatti-aDikaraNam kRtya-aDikaraNam ca; 3) anavavAdaH ca-aDikaraNam ca, yaH
   saṃghasyānavavādaḥ anavavādaṃ anavavādaprasthāpanaṃ tad upādāya yaḥ kalaho	saMGasya-anavavAdaH anavavAdam anavavAda-prasTApanam tat upAdAya yaH kalahaH-
   bhaṇḍanaṃ vigraho vivādaḥ; 4) naivānavavādo nādhikaraṇam, etān ākārān	BaNxanam vigrahaH vivAdaH; 4) na-eva-anavavAdaH na-aDikaraNam, etAn AkArAn
   sthāpayitvā	sTApayitvA
        yā āpattis tad adhikaraṇaṃ yad vā adhikaraṇaṃ sā āpattiḥ? āha: syād	yA ApattiH tat aDikaraNam yat vE aDikaraNam sA ApattiH? Aha: syAt-
   āpattiḥ nādhikaraṇam; syād adhikaraṇaṃ nāpattiḥ; syād āpttiś cādhikaraṇaṃ	ApattiH na-aDikaraNam; syAt aDikaraNam na-ApattiH; syAt ApttiH ca-aDikaraNam
   ḥcaḥ; syān naivāpattir nādhikaraṇam; 1) āpattis tāvan nādhikaraṇaṃ	HcaH; syAt na-eva-ApattiH na-aDikaraNam; 1) ApattiH tAvat na-aDikaraNam
   pañcāpattijātayaḥ āpattinikāyā āpattiskandha ity ucyate pārājikāḥ	paQca-Apatti-jAtayaH Apatti-nikAyAH Apatti-skanDaH iti ucyate pArAjikAH
   saṃghāvaśeṣāḥ pāyattikā pratideśanikā duṣkṛtāś ca; 2) adhikaraṇaṃ	saMGa-avaSezAH pAyattikA pratideSanikAH duzkRtAH ca; 2) aDikaraNam
   nāpattiḥ, trīṇy adhikarāṇāni vivādādhikaraṇam anavavādādhikaraṇaṃ	na-ApattiH, trINi aDikarANAni vivAda-aDikaraNam anavavAda-aDikaraNam
   kṛtyādhikaraṇaṃ ca; 3) āpattiś cādhikaraṇaṃ ca, pañcāpattijātayaḥ	kRtya-aDikaraNam ca; 3) ApattiH ca-aDikaraNam ca, paQca-Apatti-jAtayaH
   āpattinikāyā āpattiskandha ity ucyate, pārājikā saṃghāvaśeṣā pāyattikā	Apatti-nikAyAH Apatti-skanDaH iti ucyate, pArAjikA saMGa-avaSezA pAyattikA
   pratideśanikā duṣkṛtāś ca; tad upādāya (A 338b) kalaho bhaṇḍanaṃ vigraho	pratideSanikAH duzkRtAH ca; tat upAdAya (A 338b) kalahaH BaNxanam vigrahaH-
   vivādaḥ; 4) naivāpattir nādhikaraṇam, etān ākārān sthāpayitvā	vivAdaH; 4) na-eva-ApattiH na-aDikaraNam, etAn AkArAn sTApayitvA
        yat kṛtyaṃ tad adhikaraṇaṃ yad vā adhikaraṇaṃ tat kṛtyam? āha: syāt	yat kRtyam tat aDikaraNam yat vE aDikaraNam tat kRtyam? Aha: syAt-
   kṛtyaṃ nādhikaraṇam, syād adikaraṇaṃ ḥnaḥ kṛtyam, syāt kṛtyaṃ cādhikaraṇaṃ	kRtyam na-aDikaraNam, syAt adikaraNam HnaH kRtyam, syAt kRtyam ca-aDikaraNam
   ca, syān naiva kṛtyaṃ nādhikaraṇaṃ; 1) kṛtyaṃ tāvan nādhikaraṇam, yaḥ	ca, syAt na-eva kRtyam na-aDikaraNan; 1) kRtyam tAvat na-aDikaraNam, yaH
   saṃghasya jñaptir jñaptidvitīyaṃ jñapticaturthaṃ karma; 2) adhikaraṇaṃ na	saMGasya jQaptiH jQapti-dvitIyam jQapti-caturTam karma; 2) aDikaraNam na
   kṛtyam, trīṇy adhikaraṇāni vivādādhikaraṇaṃ anavavādādhikaraṇam	kRtyam, trINi aDikaraNAni vivAda-aDikaraNam anavavAda-aDikaraNam
   āpattyadhikaraṇaṃ ca; 3) kṛtyaṃ cādhikaraṇaṃ ca, yā saṃghasya kriyājñaptir	Apatti-aDikaraNam ca; 3) kRtyam ca-aDikaraNam ca, yA saMGasya kriyAjQaptiH-
   jñaptidvitīyaṃ jñapticaturthaṃ karma tad upādāya yaḥ kalaho bhaṇḍanaṃ	jQapti-dvitIyam jQapti-caturTam karma tat upAdAya yaH kalahaH BaNxanam
   vigraho ḥvivādaḥḥ; 4) naiva kṛtyaṃ nādhikaraṇaṃ, etān ākārān sthāpayitvā	vigrahaH HvivAdaHH; 4) na-eva kRtyam na-aDikaraNan, etAn AkArAn sTApayitvA
   (Adhik-v 79)	(a-aDik-u 79)
   The settlement of disputes; Śāriputra and Maudgalyāyana settle a dispute	The set-tlement of disputes; ŚAriputra and MOdgalyAyana set-tle a dispute
        vivādādhikaraṇaṃ bhikṣavaḥ katibhir adhikaraṇaśamathair dharmair	vivAda-aDikaraNam BikzavaH katiBiH aDikaraNa-SamaTEH DarmEH-
   damayitavyaṃ śamayitavyaṃ vyupaśamayitavyam? āha: dvābhyāṃ,	damayitavyam Samayitavyam vyupaSamayitavyam? Aha: dvAByAM,
   saṃmukhavinayena yadbhūyasikīyaśalākāgrahaṇena ca; kathaṃ saṃmukhavinaya	saMmuKa-vinayena yat-BUyasikI-ya-SalAkA-grahaNena ca; kaTam saMmuKa-vinaya
   adhikaraṇaśamatho bhavati kathaṃ caiṣām adhikaraṇānām damaś ca bhavati	aDikaraNa-SamaTaH Bavati kaTam ca-ezAm aDikaraNAnAm damaH ca Bavati
   śamaś ca vyupaśamaś ca, yad uta saṃmukhavinayenādhikaraṇaśamathena?	SamaH ca vyupaSamaH ca, yat uta saMmuKa-vinayena-aDikaraNa-SamaTena?
        buddho bhagavān śrāvastyāṃ varśā upagato jetavane	budDaH BagavAn SrAvastyAm varSAH upagataH jetavane
   anāthapiṇḍadasyārāme; tena khalu samayena saṃbahulā bhikṣavo janapade	anATapiNxadasya-ArAme; tena Kalu samayena saMbahulA BikzavaH janapade
   varśā upagatāḥ; teśām antarvarṣo utpannaḥ kalaho bhaṇḍanaṃ vigraho	varSAH upagatAH; teSAm antar-varzaH utpannaH kalahaH BaNxanam vigrahaH-
   vivādaḥ; tais tad adhikaraṇam āyuṣmantayoḥ śāriputramaudgalyāyanayor	vivAdaH; tEH tat aDikaraNam AyuzmantayoH SAriputra-mOdgalyAyanayoH-
   upanikṣiptam; tābhyaṃ tad adhikaraṇam vyupaśamitaṃ dharmeṇa vinayena	upanikziptam; tAByam tat aDikaraNam vyupaSamitam DarmeNa vinayena
   śāstuḥ śāsanena; atha sambahulā bhikṣavo janapade varṣoṣitās trayāṇāṃ	SAstuH SAsanena; aTa sambahulAH BikzavaH janapade varza-uzitAH trayANAm
   māsānām atyayāt kṛtacīvarā niṣṭhitacīvarā samādāya pātracīvaraṃ yena	mAsAnAm atyayAt kRta-cIvarA nizWita-cIvarA samAdAya pAtra-cIvaram yena
   śrāvastīṃ tena cārikāṃ prakrāntāḥ; anupūrveṇa cārikāṃ carantaḥ śrāvastīm	SrAvastIm tena cArikAm prakrAntAH; anupUrveNa cArikAm carantaH SrAvastIm
   anuprāptāḥ; atha saṃbahulā bhikṣavaḥ pātracīvaraṃ pratiśamayya pādau	anuprAptAH; aTa saMbahulA BikzavaH pAtra-cIvaram pratiSamayya pAdO
   prakṣālya yena bhagavāṃs tenopasaṃkrāntāḥ; upasaṃkramya bhagavataḥ pādau	prakzAlya yena BagavAn tena-upasaMkrAntAH; upasaMkramya BagavataH pAdO
   śirasā vanditvaikānte niṣaṇṇāḥ; dharmatā khalu, buddhā bhagavantaḥ	SirasA vanditvA-ekAnte nizaNNAH; DarmatA Kalu, budDAH BagavantaH
   āgantukān bhikṣūn anayā pratisaṃmodanayā pratisaṃmodate, kuto yūyaṃ	AgantukAn BikzUn anayA pratisaMmodanayA pratisaMmodate, kutas yUyam
   bhikṣava etarhy āgacchata kutra vā varṣoṣitāḥ; pratisaṃmodate bata	BikzavaH etarhi AgacCata kutra vA varza-uzitAH; pratisaMmodate bata
   bhagavān saṃbahulān bhikṣūn, kuto yūyaṃ, bhikṣavaḥ etarhy āgacchata, kutra	BagavAn saMbahulAn BikzUn, kutas yUyan, BikzavaH etarhi AgacCata, kutra
   vā varṣoṣitāḥ? janapadād vayaṃ bhadanta etarhy āgacchāmo janapade ca smo	vA varza-uzitAH? janapadAt vayam Badanta etarhi AgacCAmaH janapade ca sma-u
   varṣā uṣitāḥ; kaccid yūyaṃ bhikṣavaḥ sukhasparśaṃ janapade varṣā uṣitā na	varzAH uzitAH; kaccit yUyam BikzavaH suKa-sparSam janapade varzAH uzitAH na
   cāstha klāntā piṇḍakena? na hi vayam bhadanta janapade sukhasparśaṃ varṣā	ca-asTa klAntA piNxakena? na hi vayam Badanta janapade suKa-sparSam varzA
   uṣitā na ca sma klāntā piṇḍakena, api tv asmākam antarvarṣeṇa utpannaḥ	uzitA na ca sma klAntA piNxakena, api tu asmAkam antar-varzeNa utpannaH
   kalaho bhaṇḍanaṃ vigraho vivādaḥ; tair asmābhis tad adhikaraṇam	kalahaH BaNxanam vigrahaH vivAdaH; tEH asmABiH tat aDikaraNam
   āyuṣmadbhyāṃ śāriputramaudgalyāyanābhyām (Adhik-v 80) upanikṣiptam;	AyuzmadByAm SAriputra-mOdgalyAyanAByAm (a-aDik-u 80) upanikziptam;
   tābhyaṃ tad adhikaraṇaṃ vyupaśamitaṃ dharmeṇa vinayena śāstuḥ śāsanena ca	tAByam tat aDikaraNam vyupaSamitam DarmeNa vinayena SAstuH SAsanena ca
   The sthalastha monks	The sTala-sTa mA-unks
        bhagavān saṃlakṣayati: śakṣyanti bata me sthalasthāḥ śrāvakāḥ	BagavAn saMlakzayati: Sakzyanti bata me sTala-sTAH SrAvakAH
   utpannotpannāny adhikaraṇāni vyupaśamayituṃ dharmeṇa vinayena śāstuḥ	utpanna-utpannAni aDikaraNAni vyupaSamayitum DarmeNa vinayena SAstuH
   śāsanena; tasmāt tarhi bhikṣavaḥ sthalasthair bhikṣubhir utpannotpannāny	SAsanena; tasmAt tarhi BikzavaH sTala-sTEH BikzuBiH utpanna-utpannAni-
   adhikaraṇāni vyupaśamayitavyāni dharmeṇa vinayena śāstuḥ śāsanena iti;	aDikaraNAni vyupaSamayitavyAni DarmeNa vinayena SAstuH SAsanena iti;
   bhikṣavo na jānate ke sthalasthāḥ kati vā iti; bhagavān āha: ye śaknuvanti	BikzavaH na jAnate ke sTala-sTAH kati vA iti; BagavAn Aha: ye Saknuvanti
   saṃgham antareṇa utpannotpannāny adhikaraṇāni vyupaśamayitum; te ca	saMGam antareNa utpanna-utpannAni aDikaraNAni vyupaSamayitum; te ca
   trayaḥ, asti sthalastho na kāyena saṃvṛto na vācā; asti kāyena saṃvṛto na	trayaH, asti sTala-sTaH na kAyena saMvRtaH na vAcA; asti kAyena saMvRtaH na
   vācā; asti kāyena saṃvṛto vācā ḥcaḥ; katamo na kāyena saṃvṛto na vācā?	vAcA; asti kAyena saMvRtaH vAcA HcaH; katamaH na kAyena saMvRtaH na vAcA?
   yathāpitat sthalastho bhikṣūṇāṃ kalahajātānām bhaṇḍanajātānāṃ vigṛhītānāṃ	yaTApitat sTala-sTaH BikzUNAm kalaha-jAtAnAm BaNxana-jAtAnAm vigRhItAnAm
   vivādam āpannānāṃ pakṣāparapakṣavyavasthitānām ātmanā upasaṃkramyaivam	vivAdam ApannAnAm pakza-apara-pakza-vyavasTitAnAm AtmanA upasaMkramya-evam
   āhā: sādhv āyuṣmantaḥ idam adhikaraṇam sūdgṛhītaṃ na durgṛhītam;	AhA: sADu AyuzmantaH idam aDikaraNam su-udgRhItam na durgRhItam;
   susaṃprayuktaṃ na duṣprayuktaṃ suparāmṛṣṭaṃ na duṣparāmṛṣṭam idaṃ ca idam	su-saMprayuktam na duzprayuktam su-parAmRzwam na duzparAmRzwam idam ca idam
   ca vadata idaṃ ca idam ca mā vakṣyatha; abhimardantām āyuṣmantaḥ parān; mā	ca vadate idam ca idam ca mA vakzyaTa; aBimardantAm AyuzmantaH parAn; mA
   ca paro abhimardatām; vayam āyuṣmatām pakṣo balam sahāyakā iti dvitīyam	ca paraH aBimardatAm; vayam AyuzmatAm pakzaH balam sahAyakAH iti dvitIyam
   api pakṣam ātmanaivopasaṃkramyaivam (A 339a) āha: sādhv āyuṣmanta idam	api pakzam AtmanA-eva-upasaMkramya-evam (A 339a) Aha: sADu AyuzmantaH idam
   adhikaraṇam sūdgṛhītaṃ na durgṛhītaṃ susaṃprayuktam na duṣprayuktam	aDikaraNam su-udgRhItam na durgRhItam su-saMprayuktam na duzprayuktam
   suparāmṛṣṭaṃ na duṣparāmṛṭam idaṃ ca idaṃ ca vadata idaṃ ca idaṃ ca mā	su-parAmRzwam na duzparAmRwam idam ca idam ca vadate idam ca idam ca mA
   vakṣyatha; abhimardantām āyuṣmantaḥ parān, mā ca paro abhimardatām; vayam	vakzyaTa; aBimardantAm AyuzmantaH parAn, mA ca paraH aBimardatAm; vayam
   āyuṣmatām pakṣo balaṃ sahāyakā iti; ayaṃ sthalasthaḥ na kāyena saṃvṛto na	AyuzmatAm pakzaH balam sahAyakAH iti; ayam sTala-sTaH na kAyena saMvRtaH na
   vācā; katamaḥ sthalasthaḥ kāyena saṃvṛto na vācā? yathāpitat sthalasthaḥ	vAcA; katamaH sTala-sTaH kAyena saMvRtaH na vAcA? yaTApitat sTala-sTaH
   bhikṣūṇāṃ kalahajātānāṃ bhaṇḍanajātānāṃ (Adhik-v 81) vigṛhītānāṃ vivādam	BikzUNAm kalaha-jAtAnAm BaNxana-jAtAnAm (a-aDik-u 81) vigRhItAnAm vivAdam
   āpannānāṃ pakṣāparapakṣavyavasthitānām ekasmin pakṣe nātmanā upasaṃkrāmati	ApannAnAm pakza-apara-pakza-vyavasTitAnAm ekasmin pakze na-AtmanA upasaMkrAmati
   api tu dūtam anupreṣayati: sādhv āyuṣmanta etad adhikaraṇaṃ sūdgṛhītaṃ na	api tu dUtam anuprezayati: sADu AyuzmantaH etat aDikaraNam su-udgRhItam na
   durgṛhītaṃ susaṃprayuktaṃ na duṣprayuktaṃ suparāmṛṣṭaṃ na duṣparāmṛṣṭam;	durgRhItam su-saMprayuktam na duzprayuktam su-parAmRzwam na duzparAmRzwam;
   idaṃ cedaṃ ca vadata idaṃ cedaṃ ca mā vakṣayatha, abhimardantām āyuṣmantaḥ	idam ca-idam ca vadate idam ca-idam ca mA vakzayaTa, aBimardantAm AyuzmantaH
   parān, mā ca paro abhimardatām, vayam āyuṣmatāṃ pakṣo bala sahāyakā iti;	parAn, mA ca paraH aBimardatAm, vayam AyuzmatAm pakzaH bala sahAyakAH iti;
   ḥdvitīye 'pi pakṣe nātmanopasaṃkrāmati, api tu dūtam anupreṣayati sādhv	HdvitIye api pakze na-AtmanA-upasaMkrAmati, api tu dUtam anuprezayati sADv
   āyuṣmantaḥ etad adhikaraṇaṃ sūdgṛhītaṃ na durgṛhītaṃ susaṃprayuktaṃ na	AyuzmantaH etat aDikaraNam su-udgRhItam na durgRhItam su-saMprayuktam na
   duṣprayuktaṃ suparāmṛṣṭaṃ na duṣparāmṛṣṭam; idaṃ cedaṃ ca vadata idaṃ	duzprayuktam su-parAmRzwam na duzparAmRzwam; idam ca-idam ca vadate idam
   cedaṃ ca mā vakṣyatha, abhimardantām āyuṣmantaḥ parān, mā ca paro	ca-idam ca mA vakzyaTa, aBimardantAm AyuzmantaH parAn, mA ca paraH-
   abhimardatām, vayam āyuṣmatām pakṣo balaṃ sahāyakā iti;ḥ ayaṃ sthalasthaḥ	aBimardatAm, vayam AyuzmatAm pakzaH balam sahAyakAH iti;H ayam sTala-sTaH
   kāyena saṃvṛto na vācā; katamaḥ sthalasthaḥ kāyena saṃvṛto vācā ca;	kAyena saMvRtaH na vAcA; katamaH sTala-sTaH kAyena saMvRtaH vAcA ca;
   yathāpitat sthalastho bhikṣūṇāṃ kalahajātānāṃ bhaṇḍanajātānāṃ vigṛhītānāṃ	yaTApitat sTala-sTaH BikzUNAm kalaha-jAtAnAm BaNxana-jAtAnAm vigRhItAnAm
   vivādam āpannānāṃ pakṣāparapakṣavyavasthitānām ekasmin pakṣe nātmanā	vivAdam ApannAnAm pakza-apara-pakza-vyavasTitAnAm ekasmin pakze na-AtmanA
   upasaṃkrāmati nāpi dūtam anupreṣayati, dvitīyam api nātmanopasaṃkrāmati	upasaMkrAmati na-api dUtam anuprezayati, dvitIyam api na-AtmanA-upasaMkrAmati
   nāpi dūtam anupreṣayati	na-api dUtam anuprezayati
        tatra yo 'yaṃ sthalastho na kāyena saṃvṛto na vācā ca evaṃrūpaḥ	tatra yaH ayam sTala-sTaH na kAyena saMvRtaH na vAcA ca evaMrUpaH
   sthalasthaḥ asaṃmato na saṃmantavyaḥ saṃmataś cāvakāśayitavyaḥ; (A 339b)	sTala-sTaH asaMmataH na saMmantavyaH saMmataH ca-avakASayitavyaH; (A 339b)
   tat kasya hetoḥ? evaṃrūpaṃ hi sthalastham āgamya saṃghe 'nutpannāni	tat kasya hetoH? evaMrUpam hi sTala-sTam Agamya saMGe anutpannAni
   cādhikaraṇāny utpadyante utpannāni ca na kṣipraṃ vyupaśamaṃ gacchanti	ca-aDikaraNAni utpadyante utpannAni ca na kzipram vyupaSamam gacCanti
   dharmeṇa vinayena śāstuḥ śāsanena; tatra yo 'yaṃ sthalasthaḥ kāyena	DarmeNa vinayena SAstuH SAsanena; tatra yaH ayam sTala-sTaH kAyena
   saṃvṛto na vācā ca evaṃrūpaḥ sthalasthaḥ asaṃmato na saṃmantavyaḥ saṃmataś	saMvRtaH na vAcA ca evaMrUpaH sTala-sTaH asaMmataH na saMmantavyaH saMmata-S
   cāvakāśāyitavyah; tat kasya tetoḥ? evaṃrūpam api sthalastham āgamya saṃghe	ca-avakASAyita-vyah; tat kasya tetoH? evaMrUpam api sTala-sTam Agamya saMGe
   'nutpannāny adhikaraṇāny utpadyante utpannāni ca kṣipraṃ ḥnaḥ vyupaśamaṃ	anutpannAni aDikaraNAni utpadyante utpannAni ca kzipram HnaH vyupaSamam
   gacchanti dharmeṇa vinayena śāstuḥ śāsanena; tatra yo 'yaṃ sthalasthaḥ	gacCanti DarmeNa vinayena SAstuH SAsanena; tatra yaH ayam sTala-sTaH
   kāyena saṃvṛto vācā ca evaṃrūpaḥ sthalasthaḥ asaṃmataḥ saṃmantavyaḥ	kAyena saMvRtaH vAcA ca evaMrUpaH sTala-sTaH asaMmataH saMmantavyaH
   saṃmataś nāvakāśayitavyaḥ; tat kasya hetoḥ? evaṃrūpaṃ sthalastham āgamya	saMmataH na-avakASayitavyaH; tat kasya hetoH? evaMrUpam sTala-sTam Agamya
   saṃghe 'nutpannāny adhikaraṇāni notpadyante utpannāni ca kṣipram (Adhik-v	saMGe anutpannAni aDikaraNAni na-utpadyante utpannAni ca kzipram (a-aDik--v
   82) eva upaśamaṃ gacchanti dharmeṇa vinyena śāstuḥ śāsanena; evaṃrūpo	82) eva upaSamam gacCanti DarmeNa vinyena SAstuH SAsanena; evaMrUpaH-
   bhikṣavaḥ sthalasthaḥ adhikaraṇavyupaśamayitā nānye; evaṃrūpaiḥ	BikzavaH sTala-sTaH aDikaraNa-vyupaSamayitA na-anye; evaMrUpEH
   sthalasthair utpannotpannāny adhikaraṇāni vyupaśamayitavyāni, evaṃrūpaiḥ	sTala-sTEH utpanna-utpannAni aDikaraNAni vyupaSamayita-vyAni, evaMrUpEH
   sthalasthair adhikaraṇāni vyupaśamayitāni	sTala-sTEH aDikaraNAni vyupaSamayitAni
   Two presences: pudgala and dharma	TwaH preset-ca-Is: pudgala and Darma
        śuddhakaṃ saṃmukham; kim atra saṃmukham? dve saṃmukhe,	SudDakam saMmuKam; kim atra saMmuKam? dve saMmuKe,
   pudgalasaṃmukhaṃ dharmasaṃmukhaṃ ca; pudgalasaṃmukhaṃ katamat? ye tad	pudgala-saMmuKam Darma-saMmuKam ca; pudgala-saMmuKam katamat? ye tat-
   adhikaraṇam vyupaśamayanti; yathā ca tad adhikaraṇaṃ vyupaśāmyati sarve te	aDikaraNam vyupaSamayanti; yaTA ca tat aDikaraNam vyupaSAmyati sarve te
   samavahitā bhavanti saṃmukhībhūtāḥ, idam ucyate pudgalasaṃmukham;	samavahitAH Bavanti saMmuKIBUtAH, idam ucyate pudgala-saMmuKam;
   dharmasaṃmukhaṃ katamat? yena dharmeṇa yena vinayena ḥyenaḥ śāstuḥ	Darma-saMmuKam katamat? yena DarmeNa yena vinayena HyenaH SAstuH
   śāsanena tad adhikaraṇaṃ vyupaśāmyati tena dharmeṇa tena vinayena tena	SAsanena tat aDikaraNam vyupaSAmyati tena DarmeNa tena vinayena tena
   śāstuḥ śāsanena tad adhikaraṇaṃ vyupaśamayanti; idam ucyate	SAstuH SAsanena tat aDikaraNam vyupaSamayanti; idam ucyate
   dharmasaṃmukham	Darma-saMmuKam
        sacet sthalasthā bhikṣavaḥ tad adhikaraṇaṃ na śaknuvanti	saced sTala-sTAH BikzavaH tat aDikaraNam na Saknuvanti
   vyupaśamayituṃ tais tad adhikaraṇaṃ saṃghe upanikṣeptavyam, saṃghena tad	vyupaSamayitum tEH tat aDikaraNam saMGe upanikzeptavyam, saMGena tat-
   adhikaraṇaṃ vyupaśamayitavyaṃ dharmeṇa vinayena śāstuḥ śāsanena; saṃghena	aDikaraNam vyupaSamayitavyam DarmeNa vinayena SAstuH SAsanena; saMGena
   tad adhikaraṇaṃ vyupaśāntaṃ dharmeṇa vinayena śāstuḥ śāsanena	tat aDikaraNam vyupaSAntam DarmeNa vinayena SAstuH SAsanena
   suvyupaśāntam	su-vyupaSAntam
   Three presences: saṅgha, pudgala and dharma	Three preset-ca-Is: saFGa, pudgala and Darma
        śuddhakaṃ saṃmukham; kim atra saṃmukham? trīṇi saṃmukhāni:	SudDakam saMmuKam; kim atra saMmuKam? trINi saMmuKAni:
   saṃghasaṃmukham, pudgalasaṃmukham, dharmasaṃmukhaṃ ca; saṃghasaṃmukhaṃ	saMGa-saMmuKam, pudgala-saMmuKam, Darma-saMmuKam ca; saMGa-saMmuKam
   katamat? yāvanto bhikṣavaḥ sīmāprāptāḥ kriyāprāptās te sarve samavahitāḥ	katamat? yAvantaH BikzavaH sImA-prAptAH kriyA-prAptAH te sarve samavahitAH
   saṃmukhībhūtāḥ; chandārhebhyaś chanda ānīto bhavati; samavahitāś ca	saMmuKIBUtAH; Canda-arheByaH CandaH AnItaH Bavati; samavahitAH ca
   bhikṣavaḥ saṃukhībhūtā na prativahanti na pratikrośanti; yeṣāṃ	BikzavaH sa-MuKIBUtAH na prativahanti na pratikroSanti; yezAm
   prativahatāṃ pratikrośatāṃ pratikrośo ārohati ḥkarmāṇi ca kurvantiḥ idam	prativahatAm pratikroSatAm pratikroSaH Arohati HkarmANi ca kurvantiH idam
   ucyate saṃghasaṃmukham; (Adhik-v 83) pudgalasaṃmukhaṃ katamat? ye tad	ucyate saMGa-saMmuKam; (a-aDik-u 83) pudgala-saMmuKam katamat? ye tat-
   adhikaraṇaṃ vyupaśamayanti yeṣāṃ ca tad adhikaraṇaṃ vyupaśāmyati te sarve	aDikaraNam vyupaSamayanti yezAm ca tat aDikaraNam vyupaSAmyati te sarve
   samavahitā bhavanti saṃmukhībhūtā; idam ucyate pudgalasaṃmukham;	samavahitAH Bavanti saMmuKIBUtA; idam ucyate pudgala-saMmuKam;
   dharmasaṃmukhaṃ katamat? yena dharmeṇa yena vinayena ḥyenaḥ śāstuḥ	Darma-saMmuKam katamat? yena DarmeNa yena vinayena HyenaH SAstuH
   śāsanena tad adhikaraṇaṃ vyupaśāmyati tena dharmeṇa tena vinayena ḥtenaḥ	SAsanena tat aDikaraNam vyupaSAmyati tena DarmeNa tena vinayena HtenaH
