   āryaśālistambakamahāyānasūtraṭīkā	Arya-SAli-stambaka-mahAyAna-sUtrawIkA
   tasmāt tanmatanirākaraṇāyoktam | bhāvānāṃ svata utpādo na yujyate |	tasmAt tad-mata-nirAkaraNAya-uktam | BAvAnAm svatas utpAdaH na yujyate |
   pūrvādhyavasitatvāt | utpattimattvena abhyupagamyate,	pUrva-aDya-vasita-tvAt | utpattimat-tvena aByupagamyate,
   hetupratyayatābhyupagamaḥ | tasmād vastūnāṃ svabhāvata utpādo na yujyate,	hetu-pratyaya-tA-aByupagamaH | tasmAt vastUnAm svaBAvataH utpAdaH na yujyate,
   utpattimatvād ghaṭādivat | yasyānusāraṃ bhāvāḥ satataṃ sthitāḥ tadanusāram	utpattima-tvAt Gawa-Adi-vat | yasya-anusAram BAvAH satatam sTitAH tad-anusAram
   utpāda-kriyā-karma-sthiti-vināśā api na yujyante,	utpAda--kriyA-karma--sTiti-vinASAH api na yujyante,
   utpāda-kriyā-karma-sthiti-vināśā api sākṣād avabhāsante |	utpAda--kriyA-karma--sTiti-vinASAH api sAkzAt avaBAsante |
   tasmād atra doṣasya prasajyamānatvān na svata ityuktam | bhāvānām svata	tasmAt atra dozasya prasajyamAna-tvAt na svatas iti-uktam | BAvAnAm svata
   utpādaścet nityamutpādaprasaṃgaḥ syāt, ākāśavat | kasyacidapi kutrāpi	utpAdaH-ced nityam-utpAda-prasaMgaH syAt, AkASa-vat | kasyacid-api kutra-api
   kadāpi utpādo nirodho vā nāstīti cet- ucyate- pratyakṣavirodhaḥ | evaṃ	kadApi utpAdaH niroDaH vA na-asti-iti cet ucyate pratyakza-viroDaH | evam
   bhāvānāṃ hetupratyayād utpādo bhāsate, tasmāt tāvad bhāvānāṃ na svabhāvata	BAvAnAm hetu-pratyayAt utpAdaH BAsate, tasmAt tAvat BAvAnAm na svaBAvata
   utpādaḥ | parataḥ iti ātmataḥ | pareṣāmutpādako vināśakaścātmāstīti	utpAdaH | paratas iti AtmataH | parezAm-utpAdakaH vinASakaH-ca-AtmA-asti-iti
   śrūyate | bāhyābhyantarasarvavastūni tu ātmaguṇāḥ | ātmā antaḥ	SrUyate | bAhya-aByantara-sarva-vastUni tu Atma-guNAH | AtmA antar-
   karaṇapuruṣo 'sti |	karaNa-puruzaH asti |
   tathā sati gamana-āgamana-calana-kampana-nirākaraṇa-manyanā-kriyā-karmāṇi	taTA sati gamana--Agamana--calana--kampana--nirAkaraNa-manyanA--kriyA--karmANi
   tatraiva anyatrāpi ca pravartante | cakṣurādiḥ ātmaguṇaḥ, parārthatvāt,	tatra-eva anyatra-api ca pravartante | cakzuH-AdiH Atma-guNaH, para-arTa-tvAt,
   śayanādyaṅgavaditi | parasaṃjñā tu ātmani satyevocyate | cakṣurādiḥ	Sayana-Adi-aFga-vat-iti | para-saMjQA tu Atmani satyA-iva-ucyate | cakzuH-AdiH
   tadguṇatvāt, tadarthastu parārthaḥ | yathā śayanādi parairupayuktatvāt	tad-guNa-tva-at, tad-arTaH-tu para-arTaH | yaTA Sayana-Adi parEH-upayukta-tvAt-
   parārthamitivat parārthatvāditi | ayaṃ hetuḥ śayanopamayā na yujyate	para-arTam-itivat para-arTa-tvAt-iti | ayam hetuH Sayana-upamayA na yujyate
   saṃghātatvāt | ātmātvasaṃghātasvarūpaḥ | katham ātmā asaṃghātaḥ san	saMGAta-tvAt | AtmA-tva-saMGAta-svarUpaH | kaTam AtmA asaMGAtaH san
   svaśarīrābhāve śayanādīn aṅgasaṃghān svarūpeṇopakartuṃ yujyate | tasmāt sa	sva-SarIra-aBAve Sayana-AdIn aFga-saMGAn sva-rUpeNa-upakartum yujyate | tasmAt sa
   hetvartho 'siddhaḥ, asaṃghātasya parārthaniṣpādakatvāt | śayanabhedena	hetu-arTaH asidDaH, asaMGAtasya para-arTa-nizpAdaka-tvAt | Sayana-Bedena
   śayanopamā saṃghātasya parārthatvameva sādhayati | ātmanaḥ saṃghātatvād	Sayana-upamA saMGAtasya parArTa-tvam-eva sADayati | AtmanaH saMGAta-tvAt-
   hetupratyayayorutpādopalabdha ātmātmīya iti manyanākārapravṛtteḥ	hetu-pratyayayoH-utpAda-upalabDaH Atma-AtmIyaH iti manyana-AkAra-pravRtteH
   cittamevātmā ityucyate | atrāntaḥ karaṇapuruṣaḥ kūrmakeśasvabhāvavad	cittam-eva-AtmA iti-ucyate | atra-antar karaNa-puruzaH kUrma-keSa-svaBAva-vat-
   yuktyanumānarahitastu kvacinnāstīti darśayitum bhagavatā	yukti-anumAna-rahitaH-tu kvacid-na-asti-iti darSayitum BagavatA
   bāhyādhyātmikabhāvānāṃ parata utpādo na yujyata ityuktam | yadi bhāvānāṃ	bAhya-ADyAtmika-BAvAnAm paratas utpAdaH na yujyate iti-uktam | yadi BAvAnAm
   svato 'pi notpādo na ca parato 'pi, tadā bhāvānāṃ dvividha utpāda iti cet,	svatas api na-utpAdaH na ca paratas api, tadA BAvAnAm dviviDaH utpAdaH iti ced-,
   tasmāt tanmataniṣedhārthamuktam | na dvayoḥ na ca kālata ityuktam |	tasmAt tat-mata-nizeDa-arTam-uktam | na dvayoH na ca kAlate iti-uktam |
   na svataḥ parataśca na | anye tu svaparayoḥ sambandhād bhāvotpādaṃ	na svatas paratas-ca na | anye tu sva-parayoH sambanDAt BAva-utpAdam
   manyante | tasmād ubhayata eva vadanti | tathāpi svato 'nupalabdhatvāt	manyante | tasmAt uBayatas eva vadanti | taTA-api svatas anupalabDa-tvAt-
   parataścābhāvāt na dvayoḥ ityuktam | hetu-pratyayātiriktaṃ na svato na	paratas-ca-aBAvAt na dvayoH iti-uktam | hetu--pratyaya-atiriktam na svatas na
   parata iti bhagavatā uktam | yadi ubhayasaṃyoge 'pi utpādavināśau neṣṭau,	paratas iti BagavatA uktam | yadi uBaya-saMyoge api utpAda-vinASO na-izwO,
   tadā paratantreṇa kartrā utpādavināśau bhaviṣyata iti kaiściducyate | anye	tadA paratantreNa kartrA utpAda-vinASO Bavizyate iti kEScid-ucyate | anye
   tīrthikāstu karttā nāma kaścid ādyaḥkartā, nityo 'navacchinno	tIrTikAH-tu karttA nAma kaScid Adi-aH-kartA, nityaH anavacCinno
   vyāpakaścātmeti kaścidasti, sa eva bāhyamābhyantarañcedaṃ sarvam	vyApakaH-ca-AtmA-iti kaScid-asti, saH eva bAhyam-AByantaraQca-idam sarvam
   utpādayati vināśayatīti manyante | tasmāt tanmatakhaṇḍanārtham uktam |	utpAdayati vinASayati-iti manyante | tasmAt tad-mata-KaNxana-arTam uktam |
   bhāvānāmutpādaḥ sthitirvināśaścaiva na kartradhīnāḥ | atha kasyeti cet-	BAvAnAm-utpAdaH sTitiH-vinASaH-ca-eva na kartR-aDInAH | aTa kasya-iti ced--
   hetupratyayasambandhād bhāvānāṃ pravṛttirbhāsate | kartustu ākāśavan	hetu-pratyaya-sambanDAt BAvAnAm pravRttiH-BAsate | kartuH-tu AkASa-van
   nirvikāratvāt tadadhīnā utpāda-sthitivināśāśca naiva yujyante |	nirvikAra-tvAt tad-aDInAH utpAda--sTiti-vinASAH-ca na-eva yujyante |
   kasmāditi cet, karttari nirvikāra-niṣkriyākāśātmani kriyā karma ca	kasmAt-iti cet, karttari nirvikAra--nizkriya-AkASa-Atmani kriyA karma ca
   kiñcidapi nāsti | utpadyamānā bhāvā hetupratyayāpekṣāḥ	kiQcid-api na-asti | utpadyamAnAH BAvAH hetu-pratyaya-apekzAH
   pravṛtti-kramodbhūtā eva bhāsante | yadanusāraṃ karttāramapekṣate	pravRtti-krama-udBUtAH eva BAsante | yat-anusAram karttAram-apekzate
   pravṛttistadanusāraṃ bhāvānām utpāda-sthiti-vināśāśca sadā āsannā bhavanti	pravRttiH-tad-anusAram BAvAnAm utpAda--sTiti-vinASAH-ca sadA AsannAH Bavanti
   | karturnityatvād bhāvānām utpādao-sthiti-vināśā yugapad bhaviṣyanti	| kartuH-nitya-tvAt BAvAnAm utpAdao--sTiti-vinASAH yugapad Bavizyanti
   athavā utpāda-sthiti-vināśā na bhaviṣyanti | nityatvāt kvacidapi kiñcidapi	aTavA utpAda--sTiti-vinASAH na Bavizyanti | nitya-tvAt kvacid-api kiQcid-api
   utpādo vā vināśo vā na syāt | hetuṃ pratyayañca apekṣya pravartamānānāṃ	utpAdaH vA vinASaH vA na syAt | hetum pratyayaQca apekzya pravartamAnAnAm
   bhāvānāmeva kartṛ-kriyā-hetuphalotpādasamaḥ kramodbhava upalabhyate |	BAvAnAm-eva kartR--kriyA--hetu-Pala-utpAda-samaH krama-udBavaH upalaByate |
   anutpannā-kāśotpalādīnāntu utpāda-sthiti-vināśā na yujyante |	anutpannA--kASa-utpala-AdIn-Antu utpAda--sTiti-vinASAH na yujyante |
   avikārahetubhiḥ parasparamāśritya pravartamānaiḥ utpādaniyamo na yujyate |	avikAra-hetuBiH parasparam-ASritya pravartamAnEH utpAda-niyamaH na yujyate |
   nityabhāvādanityo hi samutpādo na yujyate |	nitya-BAvAt-anityaH hi samutpAdaH na yujyate |
   hetutastvavikāratvāt samasyaivodbhave sati |	hetutaH-tu-avikAra-tvAt samasya-eva-udBave sati |
   hetau phale ca saṃbhinne 'vikārastu kathaṃ bhavet |	hetO Pale ca saMBinne avikAraH-tu kaTam Bavet |
   hetau vikārasyāpi bhūtatvāt tadasādṛśyapakṣo naṣṭaḥ |	hetO vikArasya-api BUta-tvAt tat-asAdRSya-pakzaH nazwaH |
   kriyānanvitavandhyāputrātmani kasyāścit kriyāyāḥ karmaṇo vā niyatena	kriyAn-anvita-vanDyA-putra-Atmani kasyAScid kriyAyAH karmaNaH vA niyatena
   ayuktatvād bhagavaddharmeṣu avisaṃvāditvād bhāvotpādakriyā karttāraṃ	ayukta-tvAt Bagavat-Darmezu avisaMvAdi-tvAt BAva-utpAda-kriyA karttAram
   nāpekṣate, kintu sati hetupratyayasaṅgrahe bhāvānāmutpādavināśau yujyeta	na-apekzate, kintu sati hetu-pratyaya-saFgrahe BAvAnAm-utpAda-vinASO yujyeta
   ityuktam | yadyevam atra	iti-uktam | yadi-evam atra
   bhāvotpāda-sthityanyathā-bhāvatādirabhyupagantavyaḥ |	BAva-utpAda--sTiti-anyaTA--BAvatA-AdiH-aByupagantavyaH |
   bhāvotpādasthitīnāṃ tu jñātavyo heturīśvaraḥ |	BAva-utpAda-sTitInAm tu jQAtavyaH hetuH-ISvaraH |
   anyeṣāṃ vipratipattiryathāvattairhi bhāṣyate ||	anyezAm vipratipattiH-yaTAvat-tEH-hi BAzyate ||
   anyaiḥ sattvabhājanalokayorutpāda-sthiti-vināśāstu īśvarakṛtapraṇāśā	anyEH sattva-BAjana-lokayoH-utpAda--sTiti-vinASAH-tu ISvara-kRta-praNASA
   avagamyante, tadīśvarecchāvaśāt kāya-bhūmitraya-kartrādisaṃbhavaḥ syāditi	avagamyante, tad-ISvara-icCA-vaSAt kAya--BUmi-traya--kartR-Adi-saMBavaH syAt-iti
   śrūyate | anye tasyaiva cittotpādamātreṇa	SrUyate | anye tasya-eva citta-utpAda-mAtreNa
   naraka-preta-tiryak-deva-manuṣyadayāśca sattvāḥ	naraka-preta--tiryak--deva--manuzya-dayAH-ca sattvAH
   jvara-viṣa-vyādhi-strī-puruṣa-napuṃsaka-sukṛtarūpa-vikṛtarūpa-dasyu-jihma-caurāḥ	jvara--viza--vyADi--strI--puruza-napuMsaka---su-kRta-rUpa--vikRta-rUpa--da-syu--jihma--cOrAH
   kāmamithyācāra-prāṇātipāta-mṛṣāvāda-madyapāna-dyūtapraveśa-pratyanta-śabara-ḍombī-nirdaya-krūra-pāruṣyavāda-brahmaghāta-mātṛpitṛghātaka-vyādhādayaḥ,	kAma-miTyA-AcAra--prANa-atipAta--mRzA-vAda--madya-pAna--dyUta-praveSa--pratyanta--Sabara--xombI--nirdaya--krUra--pAruzya-vAda--brahma-GAta--mAtR-pitR-G
   yakṣa-rākṣasa-ḍākinyādayaḥ sarve paraghātakāḥ, sukha-duḥkhādayaḥ svargo	yakza--rAkzasa--xAkinI-AdayaH sarve para-GAtakAH, suKa--duHKa-AdayaH svargaH-
   vimokṣaśca tāni sarvāṇi cittotpādamātreṇoddhṛtānīti vadanti |	vimokzaH-ca tAni sarvANi citta-utpAda-mAtreNa-udDRtAni-iti vadanti |
   īśvarakartṛtvavādino 'tisukumāraprajñā eva, atimandaprajñā eva,	ISvara-kartR-tva-vAdinaH ati-sukumAra-prajQAH eva, ati-manda-prajQAH eva,
   gatānugatikāścaiva yuktiviśeṣarahite tasmin gauravapravaṇatvāt	gata-anugatikAH-ca-eva yukti-viSeza-rahite tasmin gOrava-pravaNa-tvAt-
   pūrvottaraviruddhaṃ bālayuvakacāṇḍālavadayathārtha pratyakṣādiviruddhaṃ,	pUrva-uttara-virudDam bAla-yuvaka-cANxAla-vat-ayaTArTa pratyakza-Adi-virudDaM,
   dāna-vinaya-saṃyama-iṣṭāniṣṭaphalaṃ, sukṛtaduṣkṛtakarma, gamyāgamyaṃ,	dAna--vinaya--saMyama--izwa-anizwa-PalaM, sukRta-duzkRta-karma, gamya-agamyaM,
   bhakṣyābhakṣyaṃ, svargāpavargādiphalaviruddhaṃ, yuktyāgamādiviruddhaṃ ca	Bakzya-aBakzyan, svarga-apavarga-Adi-Pala-virudDaM, yukti-Agama-Adi-virudDam ca
   vāṅmātreṇa pakṣīkṛtya nijājñānapaṭalena netrācchādanatvād asamarthatvāt	vAc-mAtreNa pakzIkRtya nija-ajQAna-pawalena netra-AcCAdana-tvAt asamarTa-tvAt-
   paśubhūtāstu paśubhyo 'pyatichudratarāḥ paśavaḥ |	paSu-BUtAH-tu paSuByaH api-ati-CudratarAH paSavaH |
   nigūḍhavandhyāputrasvabhāvaṃ paśupatimāśritya, janmasthitivināśānāṃ	nigUXa-vanDyA-putra-svaBAvam paSupatim-ASritya, janma-sTiti-vinASAnAm
   hetutāṃsyaapi tūccatām | utpāde sthitau ca sahetuka evābhyupagamyamāne	hetu-tAMsi-aapi tu-uccatAm | utpAde sTitO ca sa-hetukaH eva-aByupagamyamAne
   sati nityavādabhaṅgatvād vādotsargaḥ, viparītasiddhatvād īśvarasya	sati nitya-vAda-BaFga-tvAt vAda-utsargaH, viparIta-sidDa-tvAt ISvarasya
   ahetutvameva sidhyati | icchāmātreṇa utpāde sati yugapadeva sampūrṇajagata	ahetu-tvam-eva siDyati | icCA-mAtreNa utpAde sati yugapad-eva sampUrNa-jagata
   utpādasthiti-vināśāḥ syuḥ |	utpAda-sTiti-vinASAH syuH |
   tasmādapi asiddhārthataiva syāt, sarveṣāṃ nityotpādaprasaṅgatvāt |	tasmAt-api asidDArTa-tA-eva syAt, sarvezAm nitya-utpAda-prasaFga-tvAt |
   duḥkha-kuhanā-jihma-aśuci-akṛtajñatādyuddharaṇānāṃ tu	duHKa--kuhanA--jihma--aSuci-a-kRtajQa-tA-Adi-udDaraNAnAm tu
   prayojanaviśeṣābhāvācca asiddhārthatā | taduddharaṇāyāso niṣphalaḥ |	prayojana-viSeza-aBAvAt-ca asidDArTa-tA | tad-udDaraNa-AyAsaH nizPalaH |
   prayojanābhāve hi kalpanāpūrvaṅgamānāṃ pravṛttirnāsti, prayojanāvyāpteḥ |	prayojana-aBAve hi kalpanA-pUrvaFgamAnAm pravRttiH-na-asti, prayojana-avyApteH |
   tatprayojanavadvyāvṛttau kalpanāpūrvaṅgamānāṃ pravṛtterapi nivṛtteḥ	tad-prayojana-vat-vyAvRttO kalpanA-pUrvaFgamAnAm pravRtteH-api nivRtteH
   asiddhārthatāsti |	asidDArTatA-asti |
   hetupratyayavaikalye kramotpādavināśau	hetu-pratyaya-vEkalye krama-utpAda-vinASO
   pratyakṣatayā bhāsete, avaikalye cānutpādaḥ |	pratyakza-tayA BAsete, avEkalye ca-anutpAdaH |
   sattvabhājanalokayorutpadyamānasukhaduḥkhādīnāṃ sthitivināśau kramaśa	sattva-BAjana-lokayoH-utpadyamAna-suKa-duHKa-AdInAm sTiti-vinASO kramaSa
   upalabhyete, tasmānna īśvaro hetuḥ | kasyacidapi bhāvasya	upalaByete, tasmAt-na ISvaraH hetuH | kasyacid-api BAvasya
   utpāda-sthiti-vināśā na yujyante| tasmādapi pratyakṣavirodho 'siddhārtha	utpAda--sTiti-vinASAH na yujyante| tasmAt-api pratyakza-viroDaH asidDArTa-
   eva | nānyat pratyakṣato garīyaḥ pramāṇamiti sarvavādiprasiddham |	eva | na-anyat pratyakzataH garIyaH pramANam-iti sarva-vAdi-prasidDam |
   naikānte 'rthakriyā | dayāpratāpābhāve	na-ekAnte arTa-kriyA | dayA-pratApa-aBAve
   gambhīryaguṇa-darśana-caryā-cintanādi na yujyate |	gamBIrya-guNa--darSana--caryA--cintana-Adi na yujyate |
   ekāntakriyāyuktā yuktayorgāmbhīryaguṇasya rūpādervā ālambana cintanasyaiva	ekAnta-kriyA-yuktAH yuktayoH-gAmBIrya-guNasya rUpa-AdeH-vA Alambana cintanasya-eva
   ayuktatvāt, tattu pratikūlam |	ayukta-tvAt, tat-tu pratikUlam |
   hetāvasati sarvatra pratyaya eva kathaṃ bhavet |	hetO=-asati sarvatra pratyayaH eva kaTam Bavet |
   ahetau kārakābhāvāt kathamīṣṭe maheśvaraḥ |	ahetO kAraka-aBAvAt kaTam-Izwe maheSvaraH |
   bhāvakartā maheśaścet so 'pi kartā na manyate |	BAva-kartA maheSaH-ced saH api kartA na manyate |
   pitrabhāve sutotpattiḥ sā neṣṭā dṛśyate na ca |	pitR-aBAve suta-utpattiH sA na-izwA dRSyate na ca |
   hetuniṣyandasādṛśyaṃ manyante yuktivādinaḥ |	hetu-nizyanda-sAdRSyam manyante yukti-vAdinaH |
   nityānnityaphalaṃ yuktamanityāccāpyanityakam |	nityAt-nitya-Palam yuktam-anityAt-ca-api-anityakam |
   śālibījātphalaṃ tasmādaṅkurotpāda īkṣyate |	SAli-bIjAt-Palam tasmAt-aFkura-utpAdaH Ikzyate |
   tathā maheśvare nitye bhāvānāṃ syāt sadodbhavaḥ |	taTA maheSvare nitye BAvAnAm syAt sadA-udBavaH |
   yathāgnirdāhayetsarvaṃ tathācedīśvaro mataḥ |	yaTA-agniH-dAhayet-sarvam taTA-Aced-ISvaraH mataH |
   agnihetustathānyo 'gniḥ īśvare nāsti hetukam |	agni-hetuH-taTA-anyaH agniH ISvare na-asti hetukam |
   kramapravṛttajvālābhiḥ sarvadāho 'pi manyate |	krama-pravRtta-jvAlABiH sarva-dAhaH api manyate |
   īśvarasyāvikāritvād agnivattvaṃ na yujyate |	ISvarasya-avikAri-tvAt agni-vat-tvam na yujyate |
   tasmādīśvarakartṛtvābhyupagame bahudoṣasaṃbhavād bhagavatā bhāvānām	tasmAt-ISvara-kartR-tva-aByupagame bahu-doza-saMBavAt BagavatA BAvAnAm
   utpādaḥ īśvarakṛto na yujyate ityuktam | pare tu sarvaṃ kālena vivartitaṃ	utpAdaH ISvara-kRtaH na yujyate iti-uktam | pare tu sarvam kAlena vivartitam
   manyante | tairevamucyate |	manyante | tEH-evam-ucyate |
   sthitirbhāvān samutpādya kālenaiva vivartyate |	sTitiH-BAvAn samutpAdya kAlena-eva vivartyate |
   bhāvotpādasthitī cāpi kālenaiva vivartite |	BAva-utpAda-sTitI ca-api kAlena-eva vivartite |
   tadevam ucyate | atra kāla iti kiṃ nāma? nityo vā anityo vā, puruṣaḥ strī	tat-evam ucyate | atra kAlaH iti kim nAma? nityaH vA anityaH vA, puruzaH strI
   napuṃsakasvabhāvo vā, devo piśāco vā, mūrto 'mūrto vā, sakriyo niṣkriyo vā	napuMsaka-svaBAvaH vA, devaH piSAcaH vA, mUrtaH amUrtaH vA, sa-kriyaH nizkriyaH vA
   sa nityaścettadā tatra kriyāpekṣā na yujyate |	sa nityaH-ced-tadA tatra kriyA-apekzA na yujyate |
   utpādaścetsakṛt so 'pi viruddhatvān na manyate |	utpAdaH-ced-sakRt saH api virudDa-tvAt na manyate |
   anityatve 'kālasya hetupratyayayogataḥ |	anitya-tve akAlasya hetu-pratyaya-yogataH |
   yadi puṃstrīnapuṃsādi yatkiñcitsyād virudhyate |	yadi puMstrInapuMsAdi yat-kiQcitsyAt viruDyate |
   dehyadehikriyādau ca pārasparaviruddhatā |	dehya-dehi-kriyA-AdO ca pAraspara-virudDa-tA |
   nityatve nirvikāratvāt kriyākarma virudhyate |	nitya-tve nirvikAra-tvAt kriyA-akarma viruDyate |
   evaṃ kālavādināṃ kālavaśena bhāvānāmutpāda-sthiti-vināśābhyu-pagamasyāpi	evam kAla-vAdinAm kAla-vaSena BAvAnAm-utpAda--sTiti-vinASa-aByu-pagamasya-api
   ayuktatvāt tadapyasamañjasameva |	ayukta-tvAt tat-api-asamaQjasam-eva |
   sūryacandra-nakṣatra-parva-vatsarādi-bāhyābhyantarabhāvānāṃ	sUrya-candra--nakzatra--parva--vatsara-Adi--bAhya-aByantara-BAvAnAm
   gatagamyasvabhāvatvāt kālākhyayā bhāvānāmutpāda-sthiti-vināśāstu	gata-gamya-svaBAva-tvAt kAla-AKyayA BAvAnAm-utpAda--sTiti-vinASAH-tu
   kālapariṇāmatvena na yujyante|	kAla-pariNAma-tvena na yujyante|
   anyacca, svabhāvavādina āntarabāhyān sarvabhāvān svabhāvodbhavān manyante	anyat-ca, svaBAva-vAdinaH Antara-bAhyAn sarva-BAvAn svaBAva-udBavAn manyante
   | bhāvānāṃ svabhāva eva, kasyacidbhāvasya utpādasya vināśasya vā kaścidapi	| BAvAnAm svaBAvaH eva, kasyacid-BAvasya utpAdasya vinASasya vA kaScid-api
   heturnāsti | khara-snigdha-uṣṇa-laghutva-ślakṣṇa-tīkṣṇāni svabhāva eva |	hetuH-na-asti | Kara--snigDa--uzNa--laGu-tva--SlakzNa--tIkzNAni svaBAvaH eva |
   madhura-amla-lavaṇa-kaṭukāni asattvabhedā eva |	maDura--amla--lavaNa---kawukAni asattva-BedAH eva |
   deva-mānuṣa-tiryañco rājabrahma-kujātayaḥ |	deva--mAnuza-tiryaQcaH rAja-brahma-ku-jAtayaH |
   sukṛtaṃ duṣkṛtaṃ cāpi sukhaṃ duḥkhaṃ sadā sthitam |	sukRtam duzkRtam ca-api suKam duHKam sadA sTitam |
   svabhāvavaimatyā tebhyo bhrāntacittebhya evaṃ vaktavyam |	svaBAva-vEmatyA teByaH BrAnta-citteByaH evam vaktavyam |
   svabhāve vikṛte dṛṣṭe pratyakṣādiviruddhatā |	svaBAve vikRte dRzwe pratyakza-Adi-virudDa-tA |
   vikāro vartate yatra nirvikāraḥ kathaṃ bhavet |	vikAraH vartate yatra nirvikAraH kaTam Bavet |
   vyaktyanekaprabhedācca janma nāśaśca bhāsate |	vyakti-aneka-praBedAt-ca janma nASaH-ca BAsate |
   jātervināśasambandhān nirvikāraḥ kathaṃ bhavet |	jAteH-vinASa-sambanDAt nirvikAraH kaTam Bavet |
   svabhāve nirvikāratvāt puruṣādau nirarthake |	svaBAve nirvikAra-tvAt puruza-AdO nirarTake |
   kule rājani kṣetrādau tatphalaṃ cāpi bhāsate |	kule rAjani kzetra-AdO tat-Palam ca-api BAsate |
   svabhāve vikṛte jāte nityavādī tu bhraṃsate |	svaBAve vikRte jAte nitya-vAdI tu BraMsate |
   mārgo 'yaṃ yujyate tasmād hetupratyayavādinām |	mArgaH ayam yujyate tasmAt hetu-pratyaya-vAdinAm |
   evaṃ svabhāvavādiṣvapi parasparavirodhatvād utpāda-sthiti-vināśānāṃ	evam svaBAva-vAdizu-api paraspara-viroDa-tvAt utpAda--sTiti-vinASAnAm
   svabhāvād udbhavo na yujyata ityuktam | atha bhāvānām utpāda-sthiti-vināśā	svaBAvAt udBavaH na yujyate iti-uktam | aTa BAvAnAm utpAda--sTiti-vinASA
   ahetuto bhavanti ityapare 'hetuvādino hetuṃ vinaiva kevalam	ahetutaH Bavanti iti-apare ahetu-vAdinaH hetum vinA-eva kevalam
   bhāvānāmutpāda-nirodhau kalpayanti | ahetuvādo 'bhyapagamyeta cet, hetoḥ	BAvAnAm-utpAda--niroDO kalpayanti | ahetuvAdaH aByapagamyeta cet, hetoH
   aniścitatvāt kṛtapraṇāśa-akṛtābhyāgama-anavasthāśca bhaviṣyanti |	aniScita-tvAt kRta-praNASa--akRta-aByAgama--anavasTAH-ca Bavizyanti |
   sukṛta-duṣkṛtādi-pitṛ-putra-brāhmaṇa-rājanya-vaiśya-śūdra-śvapacādi-śucyaśuci-gamyāgamya-bhakṣyābhakṣya-devapiśācādi-dāna-vinaya-saṃyama-japa-tapasyā-upavāsa-niścaya-yāgajñānājñāna-hetvaniścayāt	sukRta--duzkRta-Adi--pitR-putra--brAhmaNa--rAjan-ya--vESya--SUdra--Sva-paca-Adi---Suci-aSuci-gamya-agamya--Bakzya-aBakzya-deva-piSAca-Adi--dAna--vinaya--s
   parasparabhedanirṇaya-vyavasthāpi na saṃbhavati | tasmāttasyaiva doṣasya	paraspara-Beda-nirNaya--vyavasTA-api na saMBavati | tasmAt-tasya-eva dozasya
   prasajyamānatvād ahetuvādo 'pi lokādi-viruddhatvād asiddha eva |	prasajyamAna-tvAt ahetuvAdaH api loka-Adi--virudDa-tvAt asidDaH eva |
   ye cānye pradhāna-paramāṇvādyahetu-pratikūlahetuvādādayaste 'pi tenaiva	ye ca-anye praDAna--paramANu-Adya-hetu--pratikUla-hetuvAda-AdayaH-te api tena-eva
   niṣedhitavyāḥ | tasmān |	nizeDitavyAH | tasmAt |
   na svataḥ parato nāpi na dvayoḥ kartṛkālataḥ |	na svatas paratas na-api na dvayoH kartR-kAlataH |
   īśvarādikṛtaṃ naiva svabhāvānnāpyahetutaḥ || ityuktam |	ISvara-Adi-kRtam na-eva svaBAvAt-na-api-ahetutaH || iti-uktam |
   hetupratyayayorvṛttirbhāsate 'nādikālataḥ ||	hetu-pratyayayoH-vRttiH-BAsate anAdi-kAlataH ||
   iti tu anādi-kālataḥ prapañca-vāsanābījasya	iti tu anAdi-kAlataH prapaQca--vAsanA-bIjasya
   avicchinna-nadīstrotaḥ-pravāhavad anupravṛtteḥ	avicCinna--nadIH-trotaH--pravAha-vat anupravRtteH
   hetupratyayayorvṛttirbhāsate 'nādikālataḥ | ityuktam |	hetu-pratyayayoH-vRttiH-BAsate anAdi-kAlatas | iti-uktam |
   tasmādeva sūtre atha punaḥ pṛthivyaptejovāyvākāśartudhātusamavāyād bīje	tasmAt-eva sUtre aTa punar pRTivI-ap-tejaH-vAyvAkASa-Rtu-DAtu-samavAyAt bIje
   nirudhyamāne aṅkurasyābhinirvṛttirbhavati ityuktam | 'atha punaḥ' iti tu	niruDyamAne aFkurasya-aBinirvRttiH-Bavati iti-uktam | aaTa punaH-a iti tu
   abhāvādudbhava-sva-para-dvaya-īśvarādi-rahita-bīja-pṛthivyādi-sāmagryā eva	aBAvAt-udBava--sva--para--dvaya--ISvara-Adi--rahita--bIja--pRTivI-Adi-sAmagryAH eva
   aṅkurādi utpadyata iti uktam |	aFkura-Adi utpadyate iti uktam |
