   bodhicittotpādasūtraśāstra	boDi-citta-utpAda-sUtra-SAstra
   ca pūjayitavya upādhyāyaḥ karuṇāyitavyā dīnā duḥkhitāndṭaṣṭrā svakāyena	ca pUjayitavyaH upADyAyaH karuNAyitavyA dInA duHKitA-andwazwrA sva-kAyena
   parigrahītavyaṃ tadduḥkham | ṣaṣṭhaṃ bodhisattvenabhāvayitavyaṃ vipulaṃ	parigrahItavyam tad-duHKam | zazWam boDisattvena-BAvayitavyam vipulam
   mahāyānabodhisattvapiṭakaṃ grahītavyā dhārayitavyā vācayitavyā dharmmā	mahAyAna-boDisattva-piwakam grahItavyA DArayitavyA vAcayitavyA DarmmA
   buddhānuśaṃsitāḥ | saptamaṃ bodhisattvenopagantavyaṃ bhāvayitavyaṃ	budDa-anuSaMsitAH | saptamam boDisattvena-upagantavyam BAvayitavyam
   paramārthasatyam | tathāhi | bhūtalakṣaṇamekalakṣaṇamalakṣaṇam	parama-arTa-satyam | taTA-hi | BUta-lakzaNam-eka-lakzaNam-alakzaNam
   bodhisattvaścetkāmayate śīghramabhisambodhimabhyupagantavyā evamime sapta	boDisattvaH-ced-kAmayate SIGram-aBisamboDim-aByupagantavyAH evam-ime sapta
   dharmāḥ |	DarmAH |
   3 | punaḥ khalu puruṣaḥ prāptihetorutpādayati ced	3 | punar Kalu puruzaH prApti-hetoH-utpAdayati ced-
   bodhicittamaprameyamasaṃkhyeyaṃ kalpaṃ saṃgṛhṇati maitrīṃkaruṇāṃ	boDi-cittam-aprameyam-asaMKyeyam kalpam saMgRhNati mEtrIMkaruNAm
   muditāmupekṣāṃ dānaṃ śīlaṃ kṣāntiṃ vīryaṃ dhyānaṃ prajñām | jñātavyaṃ na	muditAm-upekzAm dAnam SIlam kzAntim vIryam DyAnam prajQAm | jQAtavyam na
   sa puruṣaḥ prajñahāti jātimaraṇam | na ca gacchati bodhim | tatkasya hetoḥ	sa puruzaH prajQahAti jAti-maraNam | na ca gacCati boDim | tat-kasya hetoH
   | [bodhi-]cittaprāptirapyasti prāptidṭaṣṭiḥ	| [boDi-]-citta-prAptiH-api-asti prAptidwazwiH
   skandhadhātvāyatanadṭaṣṭirātmadṭaṣṭiḥ pudgaladṭasṭiḥ sattvadṭaṣṭi	skanDa-DAtu-AyatanadwazwiH-AtmadwazwiH pudgaladwaswiH sat-tvat-wazwi
   jīrvadṭaṣṭi	jIrvat-wazwi
   maitrīkaruṇāmuditopokṣādānaśīlakṣāntivīryadhyānaprajñādidṭaṣṭiḥ |	mEtrI-karuNA-mudita-upokzA-dAna-SIla-kzAnti-vIrya-DyAna-prajQA-AdidwazwiH |
   saṃkṣepata ucyate | buddhadharmasaṃghadṭaṣṭirnirvāṇadṭaṣṭirevaṃ	saMkzepataH ucyate | budDa-Darma-saMGadwazwiH-nirvANadwazwiH-evam
   yatkiñcatprāptavyadṭaṣṭiḥ sarvameṣa āsaṅga | cittāsaṃga evocyate	yat-kiQcat-prAptavyat-wazwiH sarvam-ezaH AsaFgaH | citta-AsaMgaH eva-ucyate
   mithyādṭaṣṭiḥ | kasmāt | puruṣā mithyādṭaṣṭayaścakavatparivartante	miTyA-adwazwiH | kasmAt | puruzAH miTyAdwazwayaH-caka-vat-parivartante
   trighātau sadaiva parihīyante vimukteḥ | ayamepa āsaṃgaḥ | na caivaṃ	tri-GAtO sadA-eva parihIyante vimukteH | ayam-epaH AsaMgaH | na ca-evam
   kadāpi nirmucyate| na cāpnuvantyayanuttarāṃ samyaksambodhim ||	kadApi nirmucyate| na ca-Apnuvanti-ayanuttarAm samyaksamboDim ||
   4 | puruṣaścedutpādayati bodhicittaṃ draṣṭavyaṃ cittaṃ śūnyalakṣaṇam |	4 | puruzaH-ced-utpAdayati boDi-cittam drazwavyam cittam SUnya-lakzaNam |
   kicittaṃ kathaṃ ca śūnyalakṣaṇam | cittaṃ nāma manovijñānamevaṃ	kicittam kaTam ca SUnya-lakzaNam | cittam nAma manaH-vijQAnam-evam
   vijñānaskandho mana āyatanaṃ mano dhātuḥ | cittaṃ śūnyalakṣaṇaṃ na cittaṃ	vijQAna-skanDaH manaH Ayatanam manaH DAtuH | cittam SUnya-lakzaNam na cittam
   cittalakṣaṇaṃ na ca kartṛ| kasmāt | yā cittalakṣaṇaśūnyatā sā na ca kartrī	citta-lakzaNam na ca kartR| kasmAt | yA citta-lakzaNa-SUnyatA sA na ca kartrI
   na ca kārayitrī | yadi kaścitkarttaiva nāsti na tarhi kartṛlakṣaṇam | yadi	na ca kArayitrI | yadi kaScid-karttA-eva na-asti na tarhi kartR-lakzaNam | yadi
   bodhisattvo jānātyevaṃ dharmānsarvadharmeṣvanāsakto bhavati | anāsaktiheto	boDisattvaH jAnAti-evam DarmAn-sarva-Darmezu-anAsaktaH Bavati | anAsakti-heto
   rna jānātikuśalākuśalaphalavipāka iti ācaritāyāṃ maintryāṃ jānāti	rna jAna-ati-kuSala-akuSala-Pala-vipAkaH iti AcaritAyAm mEntryAm jAnAti
   nāstyātmā | acaritāyāṃ karuṇāyāṃ na sattvāḥ | ācaritāyāṃ muditāyāṃ na	na-asti-AtmA | acaritAyAm karuNAyAm na sattvAH | AcaritAyAm muditAyAm na
   jīvaḥ | ācaritāyāmupekṣāyāṃ na pudgalaḥ | ācarannapi dānaṃ na paśyati	jIvaH | AcaritAyAm-upekzAyAm na pudgalaH | Acaran=-api dAnam na paSyati
   dānavastu | ācarannapi śīlaṃ na paśyati cittaviśuddhim | ācarannapi	dAnavaH-tu | Acaran=-api SIlam na paSyati citta-viSudDim | Acaran=-api
   kṣāntiṃ na paśyati sattvān | ācarannapi vīryaṃ na jahāti rāgacitam |	kzAntim na paSyati sattvAn | Acaran=-api vIryam na jahAti rAga-citam |
   ācarannapi dhyānaṃ parityajati nākuśalacittam | bhāvayato 'pi prajñāṃ na	Acaran=-api DyAnam parityajati na-akuSala-cittam | BAvayataH api prajQAm na
   ca kācicittabhāvanā | sarvalaṃbanā sarvaprajñā na cāsaṅgo 'sya prajñāyām |	ca kAcicitta-BAvanA | sarva-laMbanA sarva-prajQA na ca-asaFgaH asya prajQAyAm |
   na ca prajñāvāptirna ca prajñā dṭaṣṭiḥ | ya ācaratyevamācarati prajñāṃ |	na ca prajQA-avAptiH-na ca prajQA dwazwiH | yaH Acarati-evam-Acarati prajQAm |
   na catasyācaritaṃ bhavati kiṃcita na cāpi nācaritaṃ bhavati kiṃcit | antaḥ	na catasya-Acaritam Bavati kiMcita na ca-api na-Acaritam Bavati kiMcid | antar-
   pariśuddho 'pi sa vinetuṃ sattvanācarati ṣaṭ pāramitāḥ | ya acaratyevaṃ	pariSudDaH api sa vinetum sattvanA-Acarati zaw pAramitAH | yaH acarati-evam
   bhāvayati cittaṃ kṣaṇamavaropitakuśalasyāpi tasya puṇyaphalavipāko	BAvayati cittam kzaNam-avaropita-kuSalasya-api tasya puNya-Pala-vipAkaH-
   'prameyo 'paryantaḥ | asaṃkhyeyaiḥ kalpakoṭiśatasahasrairapi na tasyāntaḥ	aprameyaH aparyantaH | asaMKyeyEH kalpa-kowi-Sata-sahasrEH-api na tasya-antar-
   | avāpnoti so 'nāyāsenānuttarāṃ samyaksambodhim ||	| avApnoti saH anAyAsena-anuttarAm samyaksamboDim ||
   (iti bodhicittotpādasūtraśāstretathatādharmamukhaṃ nāma daśamo vargaḥ ||)	(iti boDi-citta-utpAda-sUtra-SAstretaTatA-aDarma-muKam nAma daSamaH vargaH ||)
   ekadaśo vargaḥ	ekadaSaH vargaH
   śūnyālakṣaṇaṃ	SUnya-alakzaNam
   1 | ekasminsamaye bhagavānpurā viharati smaveṇuvane kalandakanivāpe mahatā	1 | ekasmin-samaye BagavAn-purA viharati sma-veNu-vane kalandaka-nivApe mahatA
   [bhikṣu]saṃghena sārddhamaprameyeṇa | atha bhagavāndeśayituṃ	[Bikzu]-saMGena sArdDam-aprameyeNa | aTa BagavAn-deSayitum
   saddharmamāmantrayati sma mahāsaṃgham | bhagavānavocat| sarvadharmā	sadDarmam-Amantrayati sma mahA-saMGam | BagavAn-avocat| sarva-DarmA
   niḥsvabhāvāḥ śūnyā niḥsārā aśraddheyāḥ sarvalokaiḥ | tatkasya hetoḥ |	niHsvaBAvAH SUnyAH niHsArAH aSradDeyAH sarva-lokEH | tat-kasya hetoH |
   rūpaṃ na bandho na mokṣaḥ | vedanā saṃjñā saṃskārāvijñānaṃ na bandho na	rUpam na banDaH na mokzaH | vedanA saMjQA saMskAra-avijQAnam na banDaH na
   mokṣaḥ | rūpalakṣaṇaṃ tyajati ca lakṣaṇam	mokzaH | rUpa-lakzaNam tyajati ca lakzaNam
   vedanāsaṃjñāsaṃskāravijñānanyalakṣaṇāni tyajanti ca kṣaṇāni |	vedanA-saMjQA-saMskAra-vijQAnanya-lakzaNAni tyajanti ca kzaNAni |
   cakṣūrūpaśrotraśabdaghrāṇagandhajihvārasakāyaspraṣṭavyamanodharmā apyevam	cakzU-rUpa-Srotra-Sabda-GrANa-ganDa-jihvA-rasa-kAyasprazwavya-manaH-DarmAH api-evam
   | na te grāhyā nopekṣyā na samalā na vimalā jagatā nānugatā na pratigatā	| na te grAhyA na-upekzyAH na sa-malA na vimalA jagatA na-anugatA na pratigatA
   nābhākharā na bhākharā na moho na prajñā na caipo 'nto na so 'nta nāpi ca	nABA-KarAH na BAKarAH na mohaH na prajQA na ca-epaH antaH na saH anta na-api ca
   madhyasrota iticocyate na bandhaḥ ||	maDyasrotaH iti-cocyate na banDaH ||
   2 | bandhābhāvācchūnyam | śūnyamucyate 'lakṣaṇam | alakṣaṇamapi	2 | banDa-aBAvAt-SUnyam | SUnyam-ucyate alakzaNam | alakzaNam-api
   śūnyamityucyate śūnyam | śūnyamucyate 'kṣaṇamakṣaṇamapi śūnyamityucyate	SUnyam-iti-ucyate SUnyam | SUnyam-ucyate akzaNam-akzaNam-api SUnyam-iti-ucyate
   śūnyam | śūnyakṣaṇamapi śūnyamityuccate śūnyam | śūnyatāyāṃna kuśakaṃ na	SUnyam | SUnya-kzaNam-api SUnyam-iti-uccate SUnyam | SUnyatAyAMna kuSakam na
   cā kuśalaṃ na cāpi śūnyalakṣaṇamityucyate śūnyam | bodhisattvo yadyevaṃ	cA kuSalam na ca-api SUnya-lakzaNam-iti-ucyate SUnyam | boDisattvaH yadi-evam
   jānāti skandhadhātvāyatanasvabhāvaṃ na cagṛhṇātītyucyate dharmakṣāntiḥ |	jAnAti skanDa-DAtu-Ayatana-svaBAvam na cagRhNAti-iti-ucyate Darma-kzAntiH |
   bodhisattva evaṃvidhakṣāntihetoḥ prāpnot vyākaraṇakṣāntim ||	boDisattvaH evaMviDa-kzAnti-hetoH prApnot vyAkaraNa-kzAntim ||
   3 | buddhaputrāstathāhi bodhisattvo likhatyākāśe tathāgatasya	3 | budDa-putrAH-taTA-hi boDisattvaH liKati-AkASe taTAgatasya
   dvādaśaṅḥapravacanāni | atīteṣvaprameyeṣu kalpeṣu parinirvṛteṣu	dvAdaSaFHa-pravacanAni | atItezu-aprameyezu kalpezu parinirvRtezu
   buddhadharmeṣu puruṣo dharmaṃ gaveṣayanna kicidapi paśyati na ca śṛṇoti	budDa-Darmezu puruzaH Darmam gavezayan-na kicid-api paSyati na ca SRNoti
   sattvā viparivartante kurvanto 'prameyāṇyakuśalāni | punaranyataḥ	sattvAH viparivartante kurvantaH aprameyANi-akuSalAni | punar-anyatas-
   pariśuddhaprajñajanāḥ karuṇāyante satveṣu gaveṣayanti buddhadharmāngatvā	pariSudDa-prajQa-janAH karuNAyante satvezu gavezayanti budDa-DarmAn-gatvA
   paśyantyākāśe likhitāni lekhaspaṣṭatayāvagacchanti vācayanti gṛhnanti	paSyanti-AkASe liKitAni leKa-spazwa-tayA-avagacCanti vAcayanti gRhnanti
   dhārayanti yathābhāṣitamācaranti vibhajya prakāśayantyupakurvanti sattvān	DArayanti yaTABAzitam-Acaranti viBajya prakASayanti-upakurvanti sattvAn
   | yaśca likhatyākāśe yaśca jānātyākāśākṣarāṇi sa nu cintayituṃ śakyo yaśca	| yaH-ca liKati-AkASe yaH-ca jAnAti-AkASa-akzarANi sa nu cintayitum SakyaH yaH-ca
   vā prakāśayati deśayatyācarati gṛhṇāti dhārayati nayāte sattvānvimocayati	vA prakASayati deSayati-Acarati gRhNAti DArayati nayAte sattvAn-vimocayati
   vandham ||	vanDam ||
   4 | buddhaputrā uktaṃ bhagavatā | atīte 'dhvani gaveṣayanvodhimārgaṃ mayā	4 | budDa-putrAH uktam BagavatA | atIte aDvani gavezayan-voDi-mArgam mayA
   labdhāni buddhakoṭitrayastriśadaṣṭānavatibuddhaśatasahasrāṇi | sarveṣāṃ	labDAni budDa-kowi-trayaH-triSat-azwAnavati-budDa-Sata-sahasrANi | sarvezAm
   kāle 'hamāsaṃ cakravarta sarve cārāgitāstepūjitāste buddhāśca	kAle aham-Asam cakravarta sarve cArAgitAH-tepU-jitAH-te budDAH-ca
   buddhaputrāśca prāptavyahetorna ca mayā prāptaṃ vyākaraṇam | punarlabdhāni	budDa-putrAH-ca prAptavyahetoH-na ca mayA prAptam vyAkaraNam | punar-labDAni
   pratyekabuddhakoṭicaturaśītiśatasahasrāṇi	pratyekabudDa-kowi-caturaSIti-Sata-sahasrANi
   pratyekabuddhanavatiśatasahasrāṇi ca | sava'pi caturbhiḥ pariṣkārai	pratyekabudDanavati-Sata-sahasrANi ca | sava-api caturBiH parizkArE
   ryāvajjīvaṃ pūjitāḥ | punaḥ khalu labdhāni dvāpaṣṭibuddhaśatasahasrāṇi	ryAvajjIvam pUjitAH | punar Kalu labDAni dvApazwi-budDa-Sata-sahasrANi
   ekaṣapṭayuttaradvādaśabuddhaśatāni ca | sarveṣāṃ kāle 'hamāsaṃ cakavartī |	eka-zapwa-yuttara-dvAdaSa-budDa-SatAni ca | sarvezAm kAle aham-Asam cakavartI |
   ārāgitāścate yāvajjivaṃ pūjitāśca te | parinirvṛteṣu teṣu kāritāḥ	ArAgitAH-cate yAvat-jivam pUjitAH-ca te | parinirvRtezu tezu kAritAH
   saptaratnamayāḥ stūpā dhṛtapūjita [buddha]śarīrāḥ | atha punarlokamāgatā	sapta-ratna-mayAH stUpAH DRta-pUjita [budDa]-SarIrAH | aTa punar-lokam-AgatA
   buddhā āmantritā mayādhyepitāḥ prāvartayandharmacakram | pūjitāścaivaṃ	budDAH AmantritAH mayA-aDyepitAH prAvartayan-Darma-cakram | pUjitAH-ca-evam
   buddhānāṃ śatāni sahasrāṇi śatasahasrāṇi śatasahasrāṇi koṭayaśca | te ca	budDAnAm SatAni sahasrANi Sata-sahasrANi Sata-sahasrANi kowayaH-ca | te ca
   tathāgatāḥ śūnyadharmeṣu dharmalakṣaṇamavocan | prāptavyaheto rna mayā	taTAgatAH SUnya-Darmezu Darma-lakzaNam-avocan | prApta-vyahetaH rna mayA
   prāptaṃ vyākaraṇam ||	prAptam vyAkaraNam ||
   5 | evaṃ viparivartamānasya me tāvajjāto dīpaṃkarastathāgataḥ | apaśyaṃ	5 | evam viparivartamAnasya me tAvat-jAtaH dIpaMkaraH-taTAgataH | apaSyan
   taṃ bhagavantamaśṛṇvaṃ dharmam | labdhā ca sarvānutpādā dharmakṣāntistadā	tam Bagavantam-aSRNvam Darmam | labDA ca sarvAn-utpAdA DarmakzAntiH-tadA
   labdhaṃ vyākaraṇam | dīpaṃkareṇa tathāgatena śūnyadharmeṣu bhāṣitaṃ	labDam vyAkaraNam | dIpaMkareNa taTAgatena SUnya-Darmezu BAzitam
   dharmalakṣaṇam | paritrātānyaprameyasattvasahasrāṇi na tathāpi bhāṣitaṃ	Darma-lakzaNam | paritrAtA-ani-aprameya-sattva-sahasrANi na taTA-api BAzitam
   kiñcinna ca paritrātaḥ kaścit | lokamāgatena lokanāyakamuninā satsvapi	kiQcid-na ca paritrAtaH kaScid | lokam-Agatena loka-nAyaka-muninA satsu-api
   śūnyadharmeṣu bhāṣitaṃ lekhitaṃ prakāśitaṃ | lokamāgatena lokanāyakamuninā	SUnya-Darmezu BAzitam leKitam prakASitam | lokam-Agatena loka-nAyaka-muninA
   satsvapi śūnyadharmeṣu bhāṣitaṃ lekhitaṃ prakāśitaṃ śikṣitamāmoditaṃ	satsu-api SUnya-Darmezu BAzitam leKitam prakASitam Sikzitam-Amoditam
   sarvaśca veditamācaritamapi ca na prakāśitaṃ nāpi veditaṃ na cāpyācaritam	sarvaH-ca veditam-Acaritam-api ca na prakASitam na-api veditam na ca-api-Acaritam
   | evaṃ dharmāḥ svabhāvalakṣaṇena śūnyāḥ lekhanamapi śūnyam | yo 'bhijānāti	| evam DarmAH svaBAva-lakzaNena SUnyAH leKanam-api SUnyam | yaH aBijAnAti
   so 'pi śūnyaḥ | yo 'bhāṣata so 'pi śūnyaḥ | yaśca janāti so 'pi śūnyaḥ |	saH api SUnyaH | yaH aBAzata saH api SUnyaH | yaH-ca janAti saH api SUnyaH |
   ādiḥ śūnyamanāgataṃ śūnyaṃ pratyutpannaṃ śūnyam | bodhisattvaḥ	AdiH SUnyam-anAgatam SUnyam pratyutpannam SUnyam | boDisattvaH
   saṃgṛhṇandaśa kuśalopāyavalasahasrāṇi sotsāho 'kusīdo puṇyaparipūrito	saMgRhNan-daSa kuSala-upAya-vala-sahasrANi sa-utsAhaH akusIdaH puNya-paripUritaH-
   labhate 'nuttarāṃ sanyaksambodhim ||	laBate anuttarAm sanyaksamboDim ||
   6 | nūnamasukaramacintyaṃ yaducyate dharmābhāve dharmābhāve dharmalakṣaṇaṃ	6 | nUnam-asukaram-acintyam yat-ucyate Darma-aBAve Darma-aBAve Darma-lakzaNam
   prāptavyābhāve prāptidharmāḥ |	prAptavya-aBAve prApti-DarmAH |
   buddhagocaramidamevaṃvastvaprameyayaitabuddhaprajñayā kevalaṃ jñātuṃśakyam	budDa-gocaram-idam-evaMvaH-tu-aprameyayA-etabudDa-prajQayA kevalam jQAtuMSakyam
   | na ca jñātuṃ śakyaṃ cintayā | acirotpāditacitto bodhisattvaḥ	| na ca jQAtum Sakyam cintayA | acira-utpAdita-cittaH boDisattvaH
   śraddhācittenānuśaṃsati bodhimārocayati ca | śraddhāhetoḥ krameṇa	SradDA-cittena-anuSaMsati boDim-Arocayati ca | SradDA-hetoH krameNa
   buddhabhāṣiteṣu viśati | kā nāma śraddhā | śraddhayā paśyati	budDa-BAzitezu viSati | kA nAma SradDA | SradDayA paSyati
   caturāryasatyāni niruṇaddhi kleśān mithyādṭaṣṭisaṃyojanāni |	catur-Arya-satyAni niruNadDi kleSAt miTyAdwazwi-saMyojanAni |
   prāpnotyarhatvam | paśyati dvādaśapratyayaṃ dvādaśāṅḥaṃ pratītyasamutpādam	prApnoti-arha-tvam | paSyati dvAdaSa-pratyayam dvAdaSa-aFHam pratItyasamutpAdam
   | nirudhyante cāsyāvidyājanitāḥ saṃskārā labhate pratyekabuddhatām |	| niruDyante ca-asya-avidyA-janitAH saMskArAH laBate pratyekabudDa-tAm |
   śraddhayā carati caturo brahmacihārān ṣaṭ pāramitāḥ prāpnotyanuttārāṃ	SradDayA carati caturaH brahma-cihArAn zaw pAramitAH prApnoti-anuttArAm
   samyaksambodhimityucyate śraddhākṣāntiḥ ||	samyaksamboDim-iti-ucyate SradDA-akzAntiH ||
   7 | sattvā anādimati jātimaraṇalakṣaṇe saktā na paśyanti dharmasvabhāvam |	7 | sattvAH anAdimati jAti-maraNa-lakzaNe saktAH na paSyanti Darma-svaBAvam |
   prathamaṃ draṣṭavyaṃ yadepa svakāyaḥ paṃcaskandhaḥ prajñāyate sattva iti |	praTamam drazwavyam yat-epa sva-kAyaH paMcaskanDaH prajQAyate sattvaH iti |
   tanna nātmā na sattvaḥ tatkasyahetoḥ tatrātmā cedātmātmavaśas tiṣṭhet |	tat-na na-AtmA na sattvaH tat-kasya-hetoH tatra-AtmA ced-AtmA-Atma-vaSaH tizWet |
   sattvāstu jātiharāvyādhimaraṇaiḥ sadākrāntā nātmavaśās tiṣṭhanti |	sattvAH-tu jAti-hara-avyADi-maraNEH sat-A-AkrAntAH na-Atma-vaSAH tizWanti |
   jñātavyaṃ tena nātmā | anātmatvānna kartā | akartṛtvānnopādātā |	jQAtavyam tena na-AtmA | anAtma-tvAt-na kartA | akartR-tva-at-na-upAdAtAH |
   dharmasvabhāvaḥ pariśuddhaḥ | nityaṃ tiṣṭhati bhūtakoṭiḥ |	Darma-svaBAvaH pariSudDaH | nityam tizWati BUtakowiH |
   evamaparipūritapratyavekṣaṇocyate 'nvayakṣāntiḥ | bodhisattvaścaritvā	evam-aparipUrita-pratyavekzaNa-ucyate anvayakzAntiH | boDisattvaH-caritvA
   śraddhākṣānti manvayakṣānti cāciraṃ purayatyanuttarāṃ dharmakṣāntim ||	SradDA-kzAnti manu-aya-kzAnti ca-aciram purayati-anuttarAm Darma-kzAntim ||
   (iti bodhicittotpādasūtraśāstre śūnyālakṣaṇaṃ nāmaikādaśo vargaḥ ||)	(iti boDi-citta-utpAda-sUtra-SAstre SUnyAlakzaNam nAma-ekAdaSaH vargaH ||)
   dvādaśo vargaḥ	dvAdaSaH vargaH
   puṇyaparigrahaḥ	puNya-parigrahaH
   1 | bodhisattvasyālakṣaṇacittamācaritasyāpi cittaṃ na karmamu pratiṣṭhitaṃ	1 | boDisattvasya-alakzaNa-cittam-Acaritasya-api cittam na karmamu pratizWitam
   bhavati | karmalakṣaṇāni jānannapi karoti karmāṇi | kuśalamūlamācarituṃ	Bavati | karma-lakzaNAni jAnan=-api karoti karmANi | kuSala-mUlam-Acaritum
   bodhimamisamboddhuṃ na parityajati saṃskṛtam | satvārthaṃ caranmahākaruṇāṃ	boDi-mami-sambodDum na parityajati saMskRtam | satva-arTam caran-mahA-karuNAm
   nādhitiṣṭhatyasaṃskṛtam | sarvabuddhasamyakprajñārthaṃ na parityajati	na-aDitizWati-asaMskRtam | sarva-budDa-samyak-prajQA-arTam na parityajati
   jātimaraṇaṃ nirvāpayitumaparyantānsattvānanupadhinirvāṇadhātau	jAti-maraNam nirvApayitum-aparyantAn-sattvAn-anupaDi-nirvANa-DAtO
   nādhitiṣṭhati nirvāṇamityucyate bodhisattvasya mahāsattvasya gambhīraṃ	na-aDitizWati nirvANam-iti-ucyate boDisattvasya mahAsattvasya gamBIram
   cittamabhisamboddhamanuttarāṃ samyaksambodhim ||	cittam-aBisamba-udDam-anuttarAm samyaksamboDim ||
   2 | buddhaputrā bodhisattvaḥ paripūrati daśa dharmānna ca pratyāvartate	2 | budDa-putrAH boDisattvaH paripUrati daSa DarmAt-na ca pratyAvartate
   'nuttarāyāḥ samyaksambodheḥ | katame daśa | pathamaṃ bodhisattvo	anuttarAyAH samyaksamboDeH | katame daSa | paTamam boDisattvaH-
   gambhīramutpādayati bodhicittaṃ sattvānapi śikṣayatyutpādayituṃ cittam |	gamBIram-utpAdayati boDi-cittam sattvAn-api Sikzayati-utpAdayitum cittam |
   dvitīyaṃ nityamabhinandantathāgataṃ priyadānena pūjayati gambhīraṃ	dvitIyam nityam-aBinandan-taTAgatam priya-dAnena pUjayati gamBIram
   cavaropayati kuśalamūlam | tṛtīyaṃ dharmāngaveṣayituṃ gauravacittena	cavaropayati kuSala-mUlam | tRtIyam DarmAn-gavezayitum gOrava-cittena
   pūjayati dharmagurūndharmaḥ śṛṇvanna ca pariśrāgyati | caturthaṃ	pUjayati Darma-gurUn-DarmaH SRNvan-na ca pariSrAgyati | caturTam
   paśyanbhikṣusaṃghaṃ bhinnaṃ dvidhāvibhaktaṃ paramparaṃ vivadamānaṃ	paSyan-Bikzu-saMGam Binnam dviDA-viBaktam paramparam vivadamAnam
   bhaṇḍanaṃ kurvāṇaṃ gavepayatyupāyaṃ saṃgamayati ca | pañcamaṃ paśyannāṣṭre	BaNxanam kurvANam gavepayati-upAyam saMgamayati ca | paQcamam paSyat-nAzwre
   vardhamānānyaśubhāni kṣīyamāṇānbuddhadharmāndeśayati tathā vācayati	varDamAnAni-aSuBAni kzIyamANAn-budDa-DarmAn-deSayati taTA vAcayati
   yāvadekāmapi gāthāṃ yenānucchinno bhavati dharmaḥ | ekacittaṃ paripālayati	yAvat-ekAm-api gATAm yena-anucCinnaH Bavati DarmaH | ekacittam paripAlayati
   dharmaṃ na ca gaṇayati kāyajīvitam | ṣaṣṭhaṃ paritrāyate	Darmam na ca gaNayati kAya-jIvitam | zazWam paritrAyate
   sattvānpaśyanmītānduḥkhitāndadāti cābhayam | saptamaṃ janayati caryotsāhaṃ	sattvAn-paSyan-mItAn-duHKitAn-dadAti ca-aBayam | saptamam janayati caryA-utsAham
   gaveṣayati caivaṃ mahāyāanaṃ vaipulyamatigambhīraṃ sūtradharmaṃ	gavezayati ca-evam mahA-yAanam vEpulyam-ati-gamBIram sUtra-Darmam
   bodhisattvapiṭakam | aṣṭamaṃ labdhvemāndharmāndhārayati vācayati	boDisattva-piwakam | azwamam labDvA-imAn-DarmAn-DArayati vAcayati
   paryavāpnotiyathābhāṣitamācarati yathābhāṣitamavatiṣṭhate | navamaṃ	paryavApnoti-yaTA-BAzitam-Acarati yaTABAzitam-avatizWate | navamam
   dharmamadhitiṣṭhannutsāhayati bahutarasattvānpraveṣṭuṃ dharme | daśamaṃ	Darmam-aDitizWan=-utsAhayati bahutara-sattvAn-pravezwum Darme | daSamam
   dharme praveśya prakāśayansaṃdarśayaṃllābhaprāmodyavavodhayati sattvān |	Darme praveSya prakASayan-saMdarSayan=-lABa-prAmodi-avavoDayati sattvAn |
   bodhisattvaḥ paripūryemāndāśadharmānanuttarāyā bodhe rna pratinivartate ||	boDisattvaH paripUryemAndASa-DarmAn-anuttarAyAH boDe rna pratinivartate ||
   3 | bodhisattvenācaritavyamevamidaṃsūtram | acintyaṃ khalvevaṃvidhaṃ	3 | boDisattvena-Acaritavyam-evam-idaMsUtram | acintyam Kalu-evaMviDam
   sūtraṃ yajjanayati sarvamahāmaitrīkaruṇābījam | idaṃ sūtraṃ	sUtram yat-janayati sarva-mahA-mEtrI-karuNA-bIjam | idam sUtram
   cittamutpādayituṃ nayati cāvabodhayati ca baddhasattvān | idaṃ	cittam-utpAdayitum nayati ca-avaboDayati ca badDa-sattvAn | idam
   sūtramutpādahetu rbodhimabhisaṃprasthitānām | ida sūtraṃ paripūrakaṃ	sUtram-utpAda-hetu rboDim-aBisaMprasTitAnAm | ida sUtram paripUrakam
   sarvabodhisattvānāmakṣomyacaryāyāḥ | idaṃ	sarva-boDisattvAnAm-akzomya-caryAyAH | idam
   sūtramatītānāgatapratyutpannabuddhairanuparigṛhītam | kulaputrāḥ	sUtram-atIta-anAgata-pratyutpanna-budDEH-anuparigRhItam | kula-putrAH
   kuladuhitaraścetkāmayante saṃgrahītumanuttarāṃ bodhi deśayitavyamevaṃ	kula-duhitaraH-ced-kAmayante saMgrahItum-anuttarAm boDi deSayitavyam-evam
   rūpaṃ sūtraṃ | jaṃbūdvīpe 'nucchedāya [buddhadharmāṇāṃ] aprayeyā	rUpam sUtram | jaMbUdvIpe anucCedAya [budDa-DarmANAn] aprayeyA
   aparyantāḥ sattvāḥ śṛṇvantvidaṃ sūtram | kulaputrāḥ	aparyantAH sattvAH SRNvantu-idam sUtram | kula-putrAH
   kuladuhitaraścecchṛṇvantīdaṃ sūtraṃ labhante 'cintyamatītīkṣṇaṃ	kula-duhitaraH-ced-SRNvanti-idam sUtram laBante acintyamatItIkzNam
   mahāprajñāvyūhamaprameyaṃ ca puṇyaphalavipākam | tat kasya hetoḥ | idaṃ	mahA-prajQA-vyUham-aprameyam ca puNya-Pala-vipAkam | tat kasya hetoH | idam
   sūtraṃ vivṛṇotyaprameyaṃ supariśuddhaṃ prajñānennaṃ karoti buddhavijaṃ	sUtram vivRNoti-aprameyam su-pariSudDam prajQAna-innam karoti budDa-vijam
