   akāmaḥ svayam arjitam Vi_18.43d	akAmaH svayam arjitam Vi_18.43d
   yam eva vidyāḥ śucim apramattaṃ Vi_29.10a	yam eva vidyAH Sucim apramattam Vi_29.10a
   yayor nikṣipta ādhis tau Vi_5.185a	yayoH nikziptaH ADiH tO Vi_5.185a
   yavo 'si dhānyarājo 'si Vi_48.17a	yavaH asi DAnya-rAjaH asi Vi_48.17a
   yaśovittaharān anyān Vi_5.193c	yaSaH-vitta-harAn anyAn Vi_5.193c
   yaś cātmānaṃ nivedayet Vi_57.16d	yaH ca-AtmAnam nivedayet Vi_57.16d
   yaś cādharmeṇa pṛcchati Vi_29.7b	yaH ca-aDarmeNa pRcCati Vi_29.7b
   yas tām abhyavamanyate Vi_57.12d	yaH tAm aByavamanyate Vi_57.12d
   yas tu kṛṣṇājinaṃ dadyāt Vi_87.8a	yaH tu kRzNAjinam dadyAt Vi_87.8a
   yas te na druhyet katamac ca nāha Vi_29.10c	yaH te na druhyet katamat ca na-Aha Vi_29.10c
   yasmāt tasmād dhārayantaṃ Vi_1.37a	yasmAt tasmAt DArayantam Vi_1.37a
   yasmin deśe na vidyate Vi_84.4b	yasmin deSe na vidyate Vi_84.4b
   yasmin yasmin vivāde tu Vi_8.41a	yasmin yasmin vivAde tu Vi_8.41a
   yasya cauraḥ pure nāsti Vi_5.197a	yasya cOraH pure na-asti Vi_5.197a
   yasya paśyed dvisaptāhāt Vi_14.4a	yasya paSyet dvi-sapta-ahAt Vi_14.4a
   yasya bhuktiḥ phalaṃ tasya Vi_5.185c	yasya BuktiH Palam tasya Vi_5.185c
   yasya māṃsam ihādmy aham Vi_51.78b	yasya mAMsam iha-admi aham Vi_51.78b
   yasya yat paitṛkaṃ rikthaṃ Vi_17.23c	yasya yat pEtRkam rikTam Vi_17.23c
   yasya saṃvatsarāt kṛtaṃ Vi_21.23b	yasya saMvatsarAt kRtam Vi_21.23b
   yasyaite traya ādṛtāḥ Vi_31.9b	yasya-ete trayaH AdRtAH Vi_31.9b
   yasyocuḥ sākṣiṇaḥ satyāṃ Vi_8.39a	yasya-UcuH sAkziNaH satyAm Vi_8.39a
   yaḥ pacaty ātmakāraṇāt Vi_67.43b	yaH pacati Atma-kAraNAt Vi_67.43b
   yaḥ sadācāravān naraḥ Vi_71.93b	yaH sat-AcAravAn naraH Vi_71.93b
   yācitāraś ca naḥ santu Vi_73.30c	yAcitAraH ca naH santu Vi_73.30c
   yādṛśaṃ bhavati pretya Vi_51.62c	yAdRSam Bavati pretya Vi_51.62c
   yāny adhastāny amedhyāni Vi_23.51c	yAni aDastAni ameDyAni Vi_23.51c
   yāmyaṃ panthānam āsādya Vi_43.32c	yAmyam panTAnam AsAdya Vi_43.32c
   yāmyaṃ hi yātanāduḥkhaṃ Vi_64.42a	yAmyam hi yAtanA-duHKam Vi_64.42a
   yāmyaḥ panthā virudhyate Vi_20.39d	yAmyaH panTAH viruDyate Vi_20.39d
   yāvaj jīvaṃ tathā kuryāc Vi_21.22c	yAvat jIvam taTA kuryAt Vi_21.22c
   yāvad aśnanti vāgyatāḥ Vi_81.21b	yAvat aSnanti vAgyatAH Vi_81.21b
   yāvad ūṣmā bhavaty anne Vi_81.21a	yAvat UzmA Bavati anne Vi_81.21a
   yāvanti paśuromāṇi Vi_51.60a	yAvanti paSu-romANi Vi_51.60a
   yāvan nāpaity amedhyāktād Vi_23.39a	yAvat na-apEti ameDya-aktAt Vi_23.39a
   yāvan noktā havir guṇāḥ Vi_81.21d	yAvat na-uktAH haviH guNAH Vi_81.21d
   yā vedavihitā hiṃsā Vi_51.67a	yAH veda-vihitAH hiMsA Vi_51.67a
   yā syāc chravaṇasaṃyutā Vi_49.10d	yA syAt SravaNa-saMyutAH Vi_49.10d
   yugāny ubhayatomukhīm Vi_88.4b	yugAni uBayatas-muKIm Vi_88.4b
   yuvatīnāṃ yuvā bhuvi Vi_32.14b	yuvatInAm yuvA Buvi Vi_32.14b
   ye ca mārjāraliṅginaḥ Vi_93.10b	ye ca mArjAra-liFginaH Vi_93.10b
   ye tu tvāṃ dhārayiṣyanti Vi_1.64a	ye tu tvAm DArayizyanti Vi_1.64a
   ye dvijā dhārayiṣyanti Vi_100.1c	ye dvijAH DArayizyanti Vi_100.1c
   yena tṛpyāmahe vayam Vi_83.21d	yena tRpyAmahe vayam Vi_83.21d
   ye pākayajñāś catvāro Vi_55.20a	ye pAkayajQAH catvAraH Vi_55.20a
   ye 'pi pāpakṛto narāḥ Vi_64.42d	ye api pApa-kRtaH narAH Vi_64.42d
   ye bakavratino loke Vi_93.10a	ye baka-vratinaH loke Vi_93.10a
   ye lokāḥ kūṭasākṣiṇām Vi_10.9b	ye lokAH kUwa-sAkziNAm Vi_10.9b
   yeṣāṃ dvijānāṃ sāvitrī Vi_54.26a	yezAm dvijAnAm sAvitrI Vi_54.26a
   ye samarthā jagaty asmin Vi_20.27a	ye samarTAH jagati asmin Vi_20.27a
   yogakṣemaṃ pracāraś ca Vi_18.44c	yogakzemam pracAraH ca Vi_18.44c
   yogabhūtaṃ paricaran Vi_49.8c	yoga-BUtam paricaran Vi_49.8c
   yogī nityam atandritaḥ Vi_97.16b	yogI nityam atandritaH Vi_97.16b
   yo gṛhītvā ṛṇaṃ sarvaṃ Vi_6.40a	yaH gRhItvA RNam sarvam Vi_6.40a
   yo daṇḍo yac ca vasanaṃ Vi_27.28c	yaH daNxaH yat ca vasanam Vi_27.28c
   yo 'dhīte 'hany ahany etāṃ Vi_55.16a	yaH aDIte ahani ahani etAm Vi_55.16a
   yo naḥ kuryāt samāhitaḥ Vi_85.70d	yaH naH kuryAt samAhitaH Vi_85.70d
   yo no dadyāj jalāñjalīn Vi_85.69b	yaH naH dadyAt jala-aQjalIn Vi_85.69b
   yo 'nne śuciḥ sa hi śucir Vi_22.89c	yaH anne SuciH sa hi SuciH Vi_22.89c
   yo bandhanavadhakleśān Vi_51.69a	yaH banDana-vaDa-kleSAn Vi_51.69a
   yo yajeta śataṃ samāḥ Vi_51.76b	yaH yajeta Satam samAH Vi_51.76b
   yo vardhayitum icchati Vi_51.75b	yaH varDayitum icCati Vi_51.75b
   yo vṛttim upajīvati Vi_93.13b	yaH vRttim upajIvati Vi_93.13b
   yo hastayoḥ kvacid dagdhas Vi_11.8a	yaH hastayoH kvacid dagDaH Vi_11.8a
   yo hinasti na kiṃcana Vi_51.70d	yaH hinasti na kiMcana Vi_51.70d
   yo 'hiṃsakāni bhūtāni Vi_51.68a	yaH ahiMsakAni BUtAni Vi_51.68a
   rajasā strī manoduṣṭā Vi_22.91c	rajasA strI manaH-duzwA Vi_22.91c
   rajaḥ paśyaty asaṃskṛtā Vi_24.41b	rajaH paSyati asaMskRtA Vi_24.41b
   rajo bhūr vāyur agniś ca Vi_23.52c	rajaH BUH vAyuH agniH ca Vi_23.52c
   ratiṃ badhnāti yatra ca Vi_51.70b	ratim baDnAti yatra ca Vi_51.70b
   ratneṣu vastreṣv amaleṣu bhūme Vi_99.10b	ratnezu vastrezu amalezu BUme Vi_99.10b
   ratnottamavibhūṣitāṃ Vi_1.28d	ratna-uttama-viBUzitAm Vi_1.28d
   ratyartham eva sā tasya Vi_26.5c	rati-arTam eva sA tasya Vi_26.5c
   rathyākardamatoyāni Vi_23.41a	raTyA-kardama-toyAni Vi_23.41a
   rasajānāṃ ca sarvaśaḥ Vi_50.49b	rasa-jAnAm ca sarvaSas Vi_50.49b
   rasātalagatā purā Vi_1.12d	rasAtala-gatA purA Vi_1.12d
   rasātalatalaṃ gatā Vi_1.45b	rasAtala-talam gatA Vi_1.45b
   rāgāndhasya prakīrtitā Vi_26.5d	rAga-anDasya prakIrtitAH Vi_26.5d
   rājadvārakṛtaṃ ca yat Vi_48.22b	rAja-dvAra-kRtam ca yat Vi_48.22b
   rājanyaś caiva vaiśyaś ca Vi_22.84c	rAjanyaH ca-eva vESyaH ca Vi_22.84c
   rājarṣayaś ca bahavaḥ Vi_20.26a	rAjarzayaH ca bahavaH Vi_20.26a
   rājātaṅkaṃ athāpi vā Vi_14.4d	rAja-AtaFkam aTa-api vA Vi_14.4d
   rājyābhiṣeke ca tathā vivāhe Vi_99.16a	rAjya-aBizeke ca taTA vivAhe Vi_99.16a
   rāhudarśanadattaṃ hi Vi_77.9a	rAhu-darSana-dattam hi Vi_77.9a
   rukmastambhanibhāv ūrū Vi_1.25c	rukma-stamBa-niBO UrU Vi_1.25c
   rūpayauvanasaṃpannāṃ Vi_1.29c	rUpa-yOvana-saMpannAm Vi_1.29c
   rūpaṃ sarvamanoharam Vi_1.27b	rUpam sarva-manoharam Vi_1.27b
   rogānvitās tathāndhāś ca Vi_45.32c	roga-anvitAH taTA-anDAH ca Vi_45.32c
   rogiṇīṃ gurviṇīṃ tathā Vi_67.39b	rogiNIm gurviNIm taTA Vi_67.39b
   rogo 'gnir jñātimaraṇaṃ Vi_14.4c	rogaH agniH jQAti-maraNam Vi_14.4c
   lakṣmīr dhṛtiḥ śrīr viratir jayā ca Vi_99.4b	lakzmIH DRtiH SrIH viratiH jayA ca Vi_99.4b
   lakṣmīs tadā devavarāgrataḥsthā Vi_99.7b	lakzmIH tadA deva-vara-agratas-sTA Vi_99.7b
   lakṣmīḥ karīṣe praṇatau ca dharmas Vi_23.61c	lakzmIH karIze praNatO ca DarmaH Vi_23.61c
   lakṣmyā karatalaiḥ śubhaiḥ Vi_1.43b	lakzmyA kara-talEH SuBEH Vi_1.43b
   labdhakāmā vasuṃdharā Vi_98.102d	labDa-kAmAH vasuMDarAH Vi_98.102d
   labhate maulikaṃ phalam Vi_91.19d	laBate mOlikam Palam Vi_91.19d
   lambamānās tathā kvacit Vi_43.42b	lambamAnAH taTA kvacid Vi_43.42b
   lekhyābhāve 'pi tāṃ tatra Vi_5.188c	leKya-aBAve api tAm tatra Vi_5.188c
   lokānāṃ saptakaṃ tathā Vi_1.15b	lokAnAm saptakam taTA Vi_1.15b
   lokānāṃ hitakāmyayā Vi_1.11b	lokAnAm hita-kAmyayA Vi_1.11b
   lokānāṃ hitakāmyayā Vi_1.45d	lokAnAm hita-kAmyayA Vi_1.45d
   lohapiṇḍaṃ tato nyaset Vi_11.10d	loha-piNxam tatas nyaset Vi_11.10d
   laukikaṃ vaidikaṃ vāpi Vi_30.43a	lOkikam vEdikam vA-api Vi_30.43a
   vatso vindati mātaram Vi_20.47b	vatsaH vindati mAtaram Vi_20.47b
   vadhabandhau ca dehinām Vi_51.72b	vaDa-banDO ca dehinAm Vi_51.72b
   vadhe hantā na doṣabhāk Vi_5.189d	vaDe hantA na doza-BAj Vi_5.189d
   vanasaṃgham ivācitam Vi_1.38d	vana-saMGam iva-Acitam Vi_1.38d
   vane ca vatse ca śiśau prahṛṣṭe Vi_99.17c	vane ca vatse ca SiSO prahRzwe Vi_99.17c
   varayadhvaṃ sadā narāḥ Vi_20.38d	varayaDvam sadA narAH Vi_20.38d
   varāha bhīma govinda Vi_1.51c	varAha BIma govinda Vi_1.51c
   vareṇyānagha jīmūta Vi_1.55c	vareNya-anaGa jImUtaH Vi_1.55c
   varjayec cātibhāṣaṇam Vi_46.25b	varjayet ca-ati-BAzaNam Vi_46.25b
   varṇānām āśramāṇāṃ ca Vi_1.48c	varNAnAm ASramANAm ca Vi_1.48c
   varṇānukramato nṛpaḥ Vi_8.38b	varNa-anukramataH nRpaH Vi_8.38b
   varṇāśramācāraratāḥ Vi_1.47a	varNa-ASrama-AcAra-ratAH Vi_1.47a
   varṇaiś ca tatkṛtaiś cihnaiḥ Vi_7.12a	varNEH ca tad-kRtEH cihnEH Vi_7.12a
   vartayann ekakālikam Vi_28.50b	vartayan ekakAlikam Vi_28.50b
   varṣe varṣe 'śvamedhena Vi_51.76a	varze varze aSvameDena Vi_51.76a
   vavande madhusūdanam Vi_1.44b	vavande maDusUdanam Vi_1.44b
   vasāmy athārke ca niśākare ca Vi_99.9a	vasAmi aTa-arke ca niSAkare ca Vi_99.9a
   vasā śukram asṛṅ majjā Vi_22.81a	vasA Sukram asRj majjA Vi_22.81a
   vasitvā gardabhājinam Vi_28.49b	vasitvA gardaBa-ajinam Vi_28.49b
   vasudhā cintayām āsa Vi_1.19c	vasuDA cintayAm Asa Vi_1.19c
   vasuṣeṇaṃ vasupradam Vi_1.59b	vasuzeNam vasu-pradam Vi_1.59b
   vastraṃ patram alaṃkāraḥ Vi_18.44a	vastram patram alaMkAraH Vi_18.44a
   vahnituṇḍaiḥ sudāruṇaiḥ Vi_43.40d	vahni-tuNxEH su-dAruNEH Vi_43.40d
   vahniprajvālanaṃ kuryāt Vi_23.45a	vahni-prajvAlanam kuryAt Vi_23.45a
   vākyāny ahaṃ tāni mano 'bhirāme Vi_19.24d	vAkyAni aham tAni manaH aBirAme Vi_19.24d
   vākyais tu yair bhūmi tavābhidhāsye Vi_19.24c	vAkyEH tu yEH BUmi tava-aBiDAsye Vi_19.24c
   vācā kṛtaṃ karmakṛtaṃ Vi_48.19a	vAcA kRtam karma-kRtam Vi_48.19a
   vāje vāja ity ca tato Vi_73.32a	vAje vAjaH iti ca tatas Vi_73.32a
   vāmanā badhirā mūkā Vi_45.33a	vAmanAH baDirAH mUkAH Vi_45.33a
   vāyubhūtaḥ khamūrtimān Vi_55.16d	vAyu-BUtaH Ka-mUrtimAn Vi_55.16d
   vāyuḥ karmārkakālau ca Vi_22.88c	vAyuH karma-arka-kAlO ca Vi_22.88c
   vārāham āsthito rūpam Vi_1.2c	vArAham AsTitaH rUpam Vi_1.2c
   vāruṇo madhusaṃyutaḥ Vi_48.17b	vAruNaH maDu-saMyutaH Vi_48.17b
   vāsudevaṃ mahātmānaṃ Vi_1.60a	vAsudevam mahAtmAnam Vi_1.60a
   vāsenāpy atha vā gavām Vi_23.57b	vAsena-api aTa vA gavAm Vi_23.57b
   vāsyaikaṃ takṣato bāhuṃ Vi_96.23a	vA-asya-ekam takzataH bAhum Vi_96.23a
   vikarmasthās tu ye dvijāḥ Vi_54.27b	vikarma-sTAH tu ye dvijAH Vi_54.27b
   vikṛtaḥ somaśoṇitaḥ Vi_1.6d	vikRtaH soma-SoNitaH Vi_1.6d
   vigatāśeṣakalmaṣam Vi_1.36d	vigata-aSeza-kalmazam Vi_1.36d
   vijñātaṃ hṛdgataṃ mayā Vi_1.30d	vijQAtam hRd-gatam mayA Vi_1.30d
   vijñāpayati cāpy atha Vi_1.44d	vijQApayati ca-api aTa Vi_1.44d
   vijñeyā trividhā surā Vi_22.82b	vijQeyA triviDA surA Vi_22.82b
   vijñeyā brāhmaṇo mukham Vi_55.15d	vijQeyAH brAhmaNaH muKam Vi_55.15d
   vittaṃ bandhur vayaḥ karma Vi_32.16a	vittam banDuH vayaH karma Vi_32.16a
   vidadhānam ivāniśam Vi_1.36b	vidaDAnam iva-aniSam Vi_1.36b
   viddhaḥ śaraśatair api Vi_20.44b	vidDaH Sara-SatEH api Vi_20.44b
   vidyate hi kathaṃcana Vi_34.2d	vidyate hi kaTaMcana Vi_34.2d
   vidyātapobhyāṃ bhūtātmā Vi_22.92c	vidyA-tapoByAm BUtAtmA Vi_22.92c
   vidyāt saptātatāyinaḥ Vi_5.193b	vidyAt sapta-AtatAyinaH Vi_5.193b
   vidyā bhavati pañcamī Vi_32.16b	vidyA Bavati paQcamI Vi_32.16b
   vidyā ha vai brahmaṇam ājagāma Vi_29.9a	vidyA ha vE brahmaNam AjagAma Vi_29.9a
   vidveṣaṃ vādhigacchati Vi_29.7d	vidvezam vA-aDigacCati Vi_29.7d
   vidhiyajñasamanvitāḥ Vi_55.20b	viDiyajQa-samanvitAH Vi_55.20b
   vidhiyajñāj japayajño Vi_55.19a	viDiyajQAt japa-yajQaH Vi_55.19a
   vidhivad vandanaṃ kuryād Vi_32.14c	viDivat vandanam kuryAt Vi_32.14c
   vidhivad vedapāragaḥ Vi_30.46b	viDivat vedapAragaH Vi_30.46b
   vidhiṃ hitvā piśācavat Vi_51.73b	viDim hitvA piSAca-vat Vi_51.73b
   vinaṣtānīha kālena Vi_20.25c	vinaztAni-iha kAlena Vi_20.25c
   vinā vā tair gṛhe vasan Vi_57.15b	vinA vA tEH gRhe vasan Vi_57.15b
   vinītavad upasthitām Vi_1.29d	vinIta-vat upasTitAm Vi_1.29d
   vinītaveṣe ca tathā suveṣe Vi_99.18b	vinIta-veze ca taTA su-veze Vi_99.18b
   viparītam ivāmbaram Vi_1.38b	viparItam iva-ambaram Vi_1.38b
   viprakṣatriyaviḍjātir Vi_55.14c	vipra-kzatriya-viS-jAtiH Vi_55.14c
   viprasyotpādya śoṇitam [kucchra] Vi_54.30d	viprasya-utpAdya SoNitam [kucCra] Vi_54.30d
   vipraṃ śrāddhe prayatnena Vi_83.21c	vipram SrAdDe prayatnena Vi_83.21c
   vipraṃ sāṃgatikaṃ tathā Vi_67.35b	vipram sAMgatikam taTA Vi_67.35b
   viprāṇāṃ jñānato jyaiṣṭhyaṃ Vi_32.18a	viprANAm jQAnataH jyEzWyam Vi_32.18a
   vipruṣo 'ṅge na yānti yāḥ Vi_23.53b	vipruzaH aFge na yAnti yAH Vi_23.53b
   vipre tathaivādhyayanaprapanne Vi_99.11d	vipre taTA-eva-aDyayana-prapanne Vi_99.11d
   viproṣya pādagrahaṇam Vi_32.15a	viprozya pAda-grahaNam Vi_32.15a
   vibhaktam iva ca sthitam Vi_97.19b	viBaktam iva ca sTitam Vi_97.19b
   vibhaktāḥ saha jīvanto Vi_18.41a	viBaktAH saha jIvantaH Vi_18.41a
   vibhajeran punar yadi Vi_18.41b	viBajeran punar yadi Vi_18.41b
   vibhuṃ bhūtamaheśvaram Vi_1.60d	viBum BUta-maheSvaram Vi_1.60d
   virejatuḥ stanau yasyāḥ Vi_1.24a	virejatuH stanO yasyAH Vi_1.24a
   vivadetāṃ yadā narau Vi_5.185b	vivadetAm yadA narO Vi_5.185b
   viśiṣṭo daśabhir guṇaiḥ Vi_55.19b	viSizwaH daSaBiH guNEH Vi_55.19b
   viśuddhaṃ tam iti jñātvā Vi_13.5c	viSudDam tam iti jQAtvA Vi_13.5c
   viśuddhān api dharmataḥ Vi_54.32b	viSudDAn api DarmataH Vi_54.32b
   viśeṣo nopapadyate Vi_15.47b	viSezaH na-upapadyate Vi_15.47b
   viṣatvād viṣamatvāc ca Vi_13.6a	viza-tvAt vizama-tvAt ca Vi_13.6a
   viṣaṃ vegaklamāpetaṃ Vi_13.5a	vizam vega-klama-apetam Vi_13.5a
   viṣāṇavarjyā ye khaḍgā Vi_80.14c	vizANa-varjyAH ye KaxgAH Vi_80.14c
   viṣṇuḥ sisṛkṣur bhūtāni Vi_1.1c	vizNuH sisRkzuH BUtAni Vi_1.1c
   viṣvaksenāmṛta vyoma Vi_1.54c	vizvaksena-amRta vyomaH Vi_1.54c
   vistarād ativistaraḥ Vi_5.194d	vistarAt ati-vistaraH Vi_5.194d
   vistīrṇāntam atīva hi Vi_1.39b	vistIrNa-antam atIva hi Vi_1.39b
   vistīryate yaśo loke Vi_3.97c	vistIryate yaSaH loke Vi_3.97c
   vīcīśatasamākulam Vi_1.34d	vIcI-Sata-samAkulam Vi_1.34d
   vīcīhastaiḥ pracalitair Vi_1.35c	vIcI-hastEH pracalitEH Vi_1.35c
   vṛkīvoraṇam āsādya Vi_20.42c	vRkI-iva-uraNam AsAdya Vi_20.42c
   vṛṇomi tam ahaṃ bhaktyā Vi_86.15c	vRNomi tam aham BaktyA Vi_86.15c
   vṛthā paśughnaḥ prāpnoti Vi_51.60c	vRTA paSu-GnaH prApnoti Vi_51.60c
   vṛthā māṃsāni khādataḥ Vi_51.62d	vRTA mAMsAni KAdataH Vi_51.62d
   vṛthālambhe 'nugacched gāṃ Vi_50.50c	vRTA-AlamBe anugacCet gAm Vi_50.50c
   vṛddhabhārinṛpasnāta- Vi_63.50a	vRdDa-BAri-nRpa-snAta Vi_63.50a
   vṛṣalīsevanād dvijaḥ Vi_53.9b	vRzalI-sevanAt dvijaH Vi_53.9b
   vṛṣaṃ vatsatarīyuktam Vi_86.17a	vRzam vatsatarI-yuktam Vi_86.17a
   vṛṣe tathā darpasamanvite ca Vi_99.11c	vRze taTA darpa-samanvite ca Vi_99.11c
   vṛṣo hi bhagavān dharmaś Vi_86.15a	vRzaH hi BagavAn DarmaH Vi_86.15a
   vetanaṃ manasepsitam Vi_86.18b	vetanam manasA-Ipsitam Vi_86.18b
   vedatattvārthavid dvijaḥ Vi_51.65b	veda-tattva-arTa-vid dvijaH Vi_51.65b
   vedatrayān niraduhad Vi_55.10c	veda-trayAt niraduhat Vi_55.10c
   vedadhvanau cāpy atha śaṅkhaśabde Vi_99.15c	veda-DvanO ca-api aTa SaFKa-Sabde Vi_99.15c
   vedapādo yūpadaṃṣṭraḥ Vi_1.3a	veda-pAdaH yUpa-daMzwraH Vi_1.3a
   vedapuṇyena yujyate Vi_55.12d	veda-puNyena yujyate Vi_55.12d
   vedavedāṅgavigraha Vi_1.53b	veda-vedAFga-vigrahaH Vi_1.53b
   vedāṅgaśrutibhūṣaṇaḥ Vi_1.4b	vedAFga-Sruti-BUzaNaH Vi_1.4b
   vedād dharmo hi nirbabhau Vi_51.67d	vedAt DarmaH hi nirbaBO Vi_51.67d
   vedān sānṅān surāsurān Vi_1.16d	vedAn sAnFAn sura-asurAn Vi_1.16d
   vedāḥ saṃtatir eva ca Vi_73.28b	vedAH saMtatiH eva ca Vi_73.28b
   veditavyāḥ svakarmabhiḥ Vi_16.17d	veditavyAH sva-karmaBiH Vi_16.17d
   vediskandho havir gandho Vi_1.7a	vedi-skanDaH haviH ganDaH Vi_1.7a
   vedoditānāṃ nityānāṃ Vi_54.29a	veda-uditAnAm nityAnAm Vi_54.29a
   vedyantarātmā mantrasphig- Vi_1.6c	vedi-antarAtmA mantra-sPig Vi_1.6c
   vaitṛṣṇyaṃ yatra gor bhavet Vi_23.43b	vEtRzNyam yatra goH Bavet Vi_23.43b
   vaiśyaśūdrāv api prāptau Vi_67.37a	vESya-SUdrO api prAptO Vi_67.37a
   vaiśyānāṃ dhānyadhanataḥ Vi_32.18c	vESyAnAm DAnya-DanataH Vi_32.18c
   vyaktamadhyāni cāpy atha Vi_20.48b	vyakta-maDyAni ca-api aTa Vi_20.48b
   vyavahārābhiśato 'yaṃ Vi_12.8a	vyavahAra-aBiSataH ayam Vi_12.8a
   vyavahārābhiśasto 'yaṃ Vi_10.11a	vyavahAra-aBiSastaH ayam Vi_10.11a
   vyavahārābhiśasto 'yaṃ Vi_11.12a	vyavahAra-aBiSastaH ayam Vi_11.12a
   vyavahārābhiśasto 'yaṃ Vi_13.7a	vyavahAra-aBiSastaH ayam Vi_13.7a
   vyājenopārjitaṃ yac ca Vi_58.11c	vyAjena-upArjitam yat ca Vi_58.11c
   vyādhibhiś ca na pīḍyate Vi_51.73d	vyADiBiH ca na pIxyate Vi_51.73d
   vratam etat purā bhūmi Vi_47.10a	vratam etat purA BUmi Vi_47.10a
   vratasthasya dvijanmanaḥ Vi_28.48b	vrata-sTasya dvijanmanaH Vi_28.48b
   vrataṃ rakṣāṃsi gacchati Vi_93.12d	vratam rakzAMsi gacCati Vi_93.12d
   vratena pāpaṃ pracchādya Vi_93.11c	vratena pApam pracCAdya Vi_93.11c
   śakuniḥ phalapātane Vi_23.49b	SakuniH Pala-pAtane Vi_23.49b
   śaktiṃ cāvekṣya pāpaṃ ca Vi_54.34c	Saktim ca-avekzya pApam ca Vi_54.34c
   śakyā gaṇayituṃ loke Vi_20.23c	SakyA gaNayitum loke Vi_20.23c
   śakrāyudhāḍhye ca taḍitprakāśe Vi_99.9d	SakrAyuDa-AXye ca taxit-prakASe Vi_99.9d
   śakrebhakumbhasaṃkāśau Vi_1.24c	Sakra-iBa-kumBa-saMkASO Vi_1.24c
   śaṅkhacakragadādhara Vi_1.50b	SaFKa-cakra-gadA-Dara Vi_1.50b
   śaṭho mithyāvinītaś ca Vi_93.9c	SaWaH miTyA-vinItaH ca Vi_93.9c
   śatavarṣaṃ ca bhūmipam Vi_32.17b	Sata-varzam ca BUmipam Vi_32.17b
   śataṃ varṣāṇi jīvati Vi_71.93d	Satam varzANi jIvati Vi_71.93d
   śabalaṃ samudāhṛtam Vi_58.10d	Sabalam samudAhRtam Vi_58.10d
   śayānaṃ kāmakārataḥ Vi_28.53b	SayAnam kAmakArataH Vi_28.53b
   śayānaḥ prauḍhapādaś ca Vi_68.49c	SayAnaH prOXa-pAdaH ca Vi_68.49c
   śaraṇāgatahantṝṃś ca Vi_54.32c	SaraNa-Agata-hantLn ca Vi_54.32c
   śarīradhāribhiḥ śastraiḥ Vi_1.43c	SarIra-DAriBiH SastrEH Vi_1.43c
   śarīrair yātanākṣamaiḥ Vi_43.44d	SarIrEH yAtanA-kzamEH Vi_43.44d
   śare ca saṃgrāmavinirgate ca Vi_99.15a	Sare ca saMgrAma-vinirgate ca Vi_99.15a
   śaśāṅkaśatasaṃkāśaṃ Vi_1.41c	SaSAFka-Sata-saMkASam Vi_1.41c
   śātakumbhasamadyutī Vi_1.24d	SAtakumBa-sama-dyutI Vi_1.24d
   śāpodyatakaraṃ tathā Vi_5.192b	SApa-udyata-karam taTA Vi_5.192b
   śāradendunibhānanām Vi_1.22b	SArada-indu-niBa-AnanAm Vi_1.22b
   śārīrasya vinirṇayaḥ Vi_22.93b	SArIrasya vinirNayaH Vi_22.93b
   śikyacchedākṣabhaṅgeṣu Vi_10.13a	Sikya=-Ceda-akza-BaFgezu Vi_10.13a
   śilāsu ca tathā kvacit Vi_43.38d	SilAsu ca taTA kvacid Vi_43.38d
   śiloñchenāpi jīvataḥ Vi_3.97b	Sila-uQCena-api jIvataH Vi_3.97b
   śivālayaṃ śāśvatadharmaśāstram Vi_100.5d	Siva-Alayam SASvata-Darma-SAstram Vi_100.5d
   śītakṛcchreṇa vā bhūyo Vi_40.2c	SItakRcCreNa vA BUyas Vi_40.2c
   śītalāsu viśeṣataḥ Vi_85.69d	SItalAsu viSezataH Vi_85.69d
   śuklāmbare ratnavibhūṣitāṅgi Vi_99.3b	Sukla-ambare ratna-viBUzita-aFgi Vi_99.3b
   śuci tat parikīrtitam Vi_23.50b	Suci tat parikIrtitam Vi_23.50b
   śuddhikartṝṇi dehinām Vi_22.88d	SudDi-kartLNi dehinAm Vi_22.88d
   śuddheḥ śṛṇu vinirṇayam Vi_22.93d	SudDeH SRNu vinirNayam Vi_22.93d
   śudhyeran strī ca śūdraś ca Vi_62.9c	SuDyeran strI ca SUdraH ca Vi_62.9c
   śubhaṃ bījam ivoṣare Vi_29.8d	SuBam bIjam iva-Uzare Vi_29.8d
   śuśruve vaiṣṇavān dharmān Vi_1.65c	SuSruve vEzNavAn DarmAn Vi_1.65c
   śuśrūṣā vāpi tadvidhā Vi_29.8b	SuSrUzA vA-api tadviDAH Vi_29.8b
   śūdrahatyāvrataṃ caret Vi_50.46d	SUdra-hatyA-vratam caret Vi_50.46d
   śūdrāṇām eva janmataḥ Vi_32.18d	SUdrANAm eva janmataH Vi_32.18d
   śūdrānnaṃ śrāddhasūtakam Vi_48.21b	SUdra-annam SrAdDa-sUtakam Vi_48.21b
   śūnyālaye vahnigṛhe Vi_68.47a	SUnya-Alaye vahni-gRhe Vi_68.47a
   śṛṅgeṇollikhate bhūmiṃ Vi_86.20a	SRFgeNa-ulliKate BUmim Vi_86.20a
   śṛṅgodakaṃ gavāṃ puṇyaṃ Vi_23.59c	SRFga-udakam gavAm puNyam Vi_23.59c
   śṛṇu devi dhare dharmāṃś Vi_1.63a	SRNu devi Dare DarmAn Vi_1.63a
   śete yasmān mahāprabhuḥ Vi_97.15b	Sete yasmAt mahA-praBuH Vi_97.15b
   śeṣaparyaṅkagaṃ tasmin Vi_1.40c	Seza-paryaFka-gam tasmin Vi_1.40c
