   oṃ atha pañcamo 'dhyāyaḥ	om aTa paQcamaH aDyAyaH
   ekarṣa ekaścāsāvṛṣiścaikarṣirdarśanādṛṣiḥ /	ekarzaH ekaH-ca-asO=-RziH-ca-eka-RziH-darSanAt-RziH /
   sa hi sarvasya jagata ātmā cakṣuśca sansarvaṃ paśyatyeko vā	sa hi sarvasya jagataH AtmA cakzuH-ca san-sarvam paSyati-ekaH vA
   gacchatītyekarṣiḥ"sūrya ekākī carati"iti mantravarṇāt /	gacCati-iti-eka-RziH"sUryaH ekAkI carati"iti mantra-varNAt /
   yama sarvaṃ hi jagataḥ saṃyamanaṃ tvatkṛtam /	yama sarvam hi jagataH saMyamanam tvad-kRtam /
   sūrya suṣṭhu vīrayate rasānraśmīnprāṇāndhiyo vā jagata iti /	sUrya suzWu vIrayate rasAn-raSmIn-prANAn-DiyaH vA jagataH iti /
   prājāpatya prajāpaterīśvarasyāpatyaṃ hiraṇyagarbhasya vā he prājāpatya	prAjApatya prajApateH-ISvarasya-apatyam hiraNyagarBasya vA he prAjApatya
   vyūha vigamaya raśmīn /	vyUha vigamaya raSmIn /
   samūha saṃkṣipā'tmanastejo yenāhaṃ śaknuyāṃ tvatsvarūpamañjasā draṣṭam /	samUha saMkzipA-atmanaH-tejaH yena-aham SaknuyAm tvad-svarUpam-aQjasA drazwam /
   vidyotana iva rūpāṇāmata upasaṃhara tejaḥ /	vidyotanaH iva rUpANAm-atas upasaMhara tejaH /
   yatte tava rūpaṃ sarvakalyāṇānāmatiśayena kalyāṇaṃ kalyāṇatamaṃ tatte	yat-te tava rUpam sarva-kalyANAnAm-atiSayena kalyANam kalyANatamam tat-te
   paśyāmi /	paSyAmi /
   paśyāmo vayaṃ vacanavyatyayena /	paSyAmaH vayam vacana-vyatyayena /
   yo 'sau bhūrbhuvaḥsvarvyāhṛtyavayavaḥ puruṣaḥ puruṣākṛtitvātpuruṣaḥ so	yaH asO BUrBuvaH-svar-vyAhRtya-vayavaH puruzaH puruza-AkRti-tvAt-puruzaH saH-
   'hamasmi bhavāmi /	aham-asmi BavAmi /
   aharamiti copaniṣada uktatvādādityacākṣuṣayostadevedaṃ parāmṛśyate so	aharam-iti ca-upanizadaH ukta-tvAt-Aditya-cAkzuzayoH-tat-eva-idam parAmRSyate saH-
   'hamasmyamṛtamiti saṃbandhaḥ /	aham-asmi-amRtam-iti saMbanDaH /
   mamāmṛtasya satyasya śarīrapāte śarīrastho yaḥ prāṇo vāyuḥ so 'nilaṃ	mama-amRtasya satyasya SarIra-pAte SarIra-sTaH yaH prANaH vAyuH saH anilam
   bāhyaṃ vāyumeva pratigacchatu /	bAhyam vAyum-eva pratigacCatu /
   tathānyā devatāḥ svāṃ svāṃ prakṛtiṃ gacchantu /	taTA-anyAH devatAH svAm svAm prakRtim gacCantu /
   athedamapi bhasmāntaṃ satpṛthivīṃ yātu śarīram /	aTa-idam-api Basma-antam sat-pRTivIm yAtu SarIram /
   athedānīmātmanaḥ saṃkalpabhūtāṃ manasi vyavasthitāmagnidevatāṃ	aTa-idAnIm-AtmanaH saMkalpa-BUtAm manasi vyavasTitAm-agni-devatAm
   prārthayate-oṃ krato /	prArTayate-om krataH /
   oṃmiti krato iti ca saṃbodhanārthaveva /	oMm-iti krataH iti ca saMboDana-arTaveva /
   oṅkārapratīkatvādom /	oFkAra-pratIka-tvAt-om /
   manomayatvācca kratuḥ /	manaH-maya-tvAt-ca kratuH /
   he oṃ he krato smara smartavyamantakāle hi tvatsmaraṇavaśādiṣṭā gatiḥ	he om he krato smara smartavyam-antakAle hi tvad-smaraNa-vaSa-AdizwA gatiH
   prāpyate 'taḥ prārthyate yanmayā kṛtaṃ tatsmara punaruktirādarārthā /	prApyate atas prArTyate yat-mayA kRtam tat-smara punaruktiH-Adara-arTAH /
   kiñca he 'gne naya prāpaya supathā śobhanena mārgeṇa rāye dhanāya	kiQca he agne naya prApaya su-paTA SoBanena mArgeNa rAye DanAya
   karmaphalaprāptaya ityarthaḥ /	karma-Pala-prAptayaH iti-arTaH /
   na dakṣiṇena kṛṣṇena punarāvṛttiyuktena kiṃ tarhi śuklenaiva	na dakziNena kRzNena punarAvRtti-yuktena kim tarhi Suklena-eva
   supathāsmānviśvāni sarvāṇi he deva vayunāni prajñānāni sarvaprāṇināṃ	su-paTA-asmAn-viSvAni sarvANi he deva vayunAni prajQAnAni sarva-prANinAm
   vidvān /	vidvAn /
   kiñca yuyodhyapanaya viyojayāsmadasmatto juhurāṇaṃ kuṭilamenaḥ pāpaṃ	kiQca yuyoDi-apanaya viyojaya-asmad-asmattaH juhurANam kuwilam-enaH pApam
   pāpajātaṃ sarvam /	pApa-jAtam sarvam /
   tena pāpena viyuktā vayameṣyāma uttareṇa pathā tvatprasādāt /	tena pApena viyuktA vayam-ezyAmaH uttareNa paTA tvad-prasAdAt /
   kintu vayaṃ tubhyaṃ paricaryāṃ kartuṃ na śaknumo bhūyiṣṭhāṃ bahutamāṃ te	kintu vayam tuByam paricaryAm kartum na SaknumaH BUyizWAm bahutamAm te
   tubhyaṃ namauktiṃ namaskāravacanaṃ vidhema namaskāroktyā	tuByam na-mOktim namaskAra-vacanam viDema namaskAra-uktyA
   paricaremetyarthaḥ /	paricarema-iti-arTaH /
   anyatkartumaśaktāḥ santa iti //1 // //	anyat-kartum-aSaktAH santaH iti //1 // //
   iti śrīmadbṛhadāraṇyakopaniṣadi pañcamādhyāyasya pañcadaśaṃ brāhmaṇam //15	iti SrImat-bRhat-AraNyaka-upanizadi paQcama-aDyAyasya paQcadaSam brAhmaNam //15
   iti bṛhadāraṇyakopaniṣadi pañcamodhyāyaḥ //5//	iti bRhat-AraNyaka-upanizadi paQcamoDyAyaH //5//
