   Mahāyānasūtrālaṃkāraḥ	MahAyAna sUtra alaMkAraH
   yathā[']tasmitra tadbhāvaḥ paramārthastatheṣyate /	yaTA[ a]tasmitra tad BAvaH paramArTaH taTA izyate /
   yathā tasyopalabdhistu tathā saṃvṛtisatyatā // MSA_11.16 //	yaTA tasya upalabDiH tu taTA saMvRti satya tA // MSAH _11.16 //
   tadabhāve yathā vyaktistannimittasya labhyate /	tad aBAve yaTA vyaktiH tad nimittasya laByate /
   tathāśrayaparāvṛttāvasatkalpasya labhyate // MSA_11.17 //	taTA ASraya parAvRttO= asat kalpasya laByate // MSAH _11.17 //
   tannimitte yathā loko hyabhrāntaḥ kāmataścaret /	tad nimitte yaTA lokaH hi aBrAntaH kAmataH caret /
   parāvṛttāvaparyastaḥ kāmacārī tathā patiḥ [yatiḥ] // MSA_11.18 //	parAvRttO= aparyastaH kAmacArI taTA patiH [yatiH] // MSAH _11.18 //
   tadākṛtiśca tatrāsti tadbhāvaśca na vidyate /	tad AkRtiH ca tatra asti tad BAvaH ca na vidyate /
   tasmādastitvanāstitvaṃ māyādiṣu vidhīyate // MSA_11.19 //	tasmAt astitva nAstitvam mAyA Adizu viDIyate // MSAH _11.19 //
   na bhāvastatra cābhāvo nābhāvo bhāva eva ca /	na BAvaH tatra ca aBAvaH na aBAvaH BAvaH eva ca /
   bhāvābhāvāviśeṣaśca māyādiṣu vidhīyate // MSA_11.20 //	BAva aBAva aviSezaH ca mAyA Adizu viDIyate // MSAH _11.20 //
   tathā dvayābha[bhāsa?]tātrāsti tadbhāvaśca na vidyate /	taTA dvaya ABa[BAsa ?]tAtra asti tad BAvaH ca na vidyate /
   tasmādastitvanāstitvaṃ rūpādiṣu vidhīyate // MSA_11.21 //	tasmAt astitva nAstitvam rUpa Adizu viDIyate // MSAH _11.21 //
   na bhāvastatra cābhāvo nābhāvo bhāva eva ca /	na BAvaH tatra ca aBAvaH na aBAvaH BAvaH eva ca /
   bhāvābhāvāviśeṣaśca rūpādiṣu vidhīyate // MSA_11.22 //	BAva aBAva aviSezaH ca rUpa Adizu viDIyate // MSAH _11.22 //
   samāropāpavādābha[nta?]pratiṣedhārthamiṣyate /	samAropa apavAda ABa[nta?] pratizeDa arTam izyate /
   hīnayānena yānasya pratiṣedhārthameva ca // MSA_11.23 //	hIna yAnena yAnasya pratizeDa arTam eva ca // MSAH _11.23 //
   bhrānternimittaṃ bhrāntiśca rūpavijñaptiriṣyate /	BrAnteH nimittam BrAntiH ca rUpa vijQaptiH izyate /
   arūpiṇī ca vijñaptirabhāvātsyānna cetarā // MSA_11.24 //	arUpiNI ca vijQaptiH aBAvAt syAt na ca itarA // MSAH _11.24 //
   māyāhastyākṛtigrāhabhrānterdvayamudāhṛtam /	mAyA hasti AkRti grAha BrAnteH dvayam udAhRtam /
   dvayaṃ tatra yathā nāsti dvayaṃ caivopalabhyate // MSA_11.25 //	dvayam tatra yaTA na asti dvayam ca eva upalaByate // MSAH _11.25 //
   bimbasaṃkalikāgrāhabhrānterdvayamudāhṛtam /	bimba saMkalikA grAha BrAnteH dvayam udAhRtam /
   dvayaṃ tatra yathā nāsti dvayaṃ caivopalabhyate // MSA_11.26 //	dvayam tatra yaTA na asti dvayam ca eva upalaByate // MSAH _11.26 //
   tathā bhāvāttathā'bhāvād bhāvābhāva[vā?]viśeṣataḥ /	taTA BAvAt taTA aBAvAt BAva aBAva [vA?] viSezataH /
   sadasanto 'tha māyābhā ye dharmā bhrāntilakṣaṇāḥ // MSA_11.27 //	sat asantaH aTa mAyA aBAH ye DarmAH BrAnti lakzaNAH // MSAH _11.27 //
   tathā 'bhāvāttathā ' bhāvāttathā 'bhāvādalakṣaṇāḥ /	taTA aBAvAt taTA a BAvAt taTA aBAvAt alakzaNAH /
   māyopamāśca nirdiṣṭā ye dharmāḥ prātipakṣikāḥ // MSA_11.28 //	mAyA upamAH ca nirdizwAH ye DarmAH prAtipakzikAH // MSAH _11.28 //
   māyārājeva cānyena māyārājñā parājitaḥ /	mAyA rAjA iva ca anyena mAyA rAjQA parAjitaH /
   ye sarvadharmān paśyanti nirmārāste jinātmajāḥ // MSA_11.29 //	ye sarva DarmAn paSyanti nirmArAH te jina AtmajAH // MSAH _11.29 //
   māyāsvapnamarīcibimbasadṛśāḥ prodbhāsaśrutkomapā	mAyA svapna marIci bimba sadRSAH prodBAsa Srut komapA
   vijñeyodakacandrabimbasadṛśā nirmāṇatulyāḥ punaḥ /	vijQeya udaka candra bimba sadRSAH nirmANa tulyAH punar /
   ṣaṭ ṣaṭ dvau ca punaśca ṣaṭ dvayamatā ekaikaśaśca trayaḥ saṃskārāḥ khalu	zax zaw dvO ca punar ca zaw dvaya matAH ekEkaSas ca trayaH saMskArAH Kalu
   tatra tatra kathitā buddhairvibuddhottamaiḥ // MSA_11.30 //	tatra tatra kaTitAH budDEH vibudDa uttamEH // MSAH _11.30 //
   abhūtakalpo na bhūto nābhūto 'kalpa eva ca /	aBUtakalpaH na BUtaH na aBUtaH akalpaH eva ca /
   na kalpo nāpi cākalpaḥ sarvaṃ jñeyaṃ nirucyate // MSA_11.31 //	na kalpaH na api ca AkalpaH sarvam jQeyam nirucyate // MSAH _11.31 //
   svadhātuto dvayābhāsāḥ sāvidyākleśavṛttayaḥ /	svaDAtutaH dvaya ABAsAH sAvidyA kleSa vRttayaH /
   vikalpāḥ saṃpravartante dvayadravyavivarjitāḥ // MSA_11.32 //	vikalpAH saMpravartante dvaya dravya vivarjitAH // MSAH _11.32 //
   ālambanaviśeṣāptiḥ svadhātusthānayogataḥ /	Alambana viSeza AptiH sva DAtu sTAna yogataH /
   ta eva hyadvayābhāsā vartante carmakāṇḍavat // MSA_11.33 //	te eva hi advaya ABAsAH vartante carma kANxa vat // MSAH _11.33 //
   cittaṃ dvayaprabhāsaṃ rāgādyābhāsamiṣyate tadvat /	cittam dvaya praBAsam rAga Adi ABAsam izyate tadvat /
   śraddhādyābhāsaṃ na tadanyo dharmaḥ kliṣṭakuśalo 'sti // MSA_11.34 //	SradDA Adi a ABAsam na tad anyaH DarmaH klizwa kuSalaH asti // MSAH _11.34 //
   yathā dvayapratibhāsādanyo na dvayalakṣaṇaḥ /	yaTA dvaya pratiBAsAt anyaH na dvaya lakzaNaH /
   iti cittaṃ citrābhāsaṃ citrākāraṃ pravartate // MSA_11.35 //	iti cittam citra ABAsam citra AkAram pravartate // MSAH _11.35 //
   lakṣyaṃ ca lakṣaṇaṃ caiva lakṣaṇā ca prabhedataḥ /	lakzyam ca lakzaNam ca eva lakzaNA ca praBedataH /
   anugrahārthaṃ sattvānāṃ saṃbuddhaiḥ saṃprakāśitā // MSA_11.36 //	anugraha arTam sattvAnAm saMbudDEH saMprakASitAH // MSAH _11.36 //
   sadṛṣṭikaṃ ca yaccittaṃ tatrāvasthāvikāritā /	sa dRzwikam ca yat cittam tatra avasTA vikAritA /
   lakṣyametatsamāsena hyapramāṇaṃ prabhedataḥ // MSA_11.37 //	lakzyam etat samAsena hi apramANam praBedataH // MSAH _11.37 //
   yathājalpārthasaṃjñāyā nimittaṃ tasya vāsanā /	yaTA jalpa arTa saMjQAyAH nimittam tasya vAsanA /
   tasmādapyarthavikhyānaṃ parikalpitalakṣaṇaṃ // MSA_11.38 //	tasmAt api arTa viKyAnam parikalpita lakzaNam // MSAH _11.38 //
   yathā nāmārthamarthasya nāmnaḥ prakhyānatā ca yā /	yaTA nAma arTam arTasya nAmnaH praKyAna tA ca yA /
   asaṃ[sat?] kalpanimittaṃ hi parikalpitalakṣaṇam // MSA_11.39 //	asaM[sat?] kalpa nimittam hi parikalpita lakzaNam // MSAH _11.39 //
   trividhatrividhābhāso grāhyagrāhakalakṣaṇaḥ /	triviDa triviDa ABAsaH grAhya grAhaka lakzaNaH /
   abhūtaparikalpo hi paratantrasya lakṣaṇam // MSA_11.40 //	aBUta parikalpaH hi paratantrasya lakzaNam // MSAH _11.40 //
   abhāvabhāvatā yā ca bhāvābhāvasamānatā /	aBAva BAva tA yA ca BAva aBAva samAna tA /
   aśāntaśāntā 'kalpā ca pariniṣpannalakṣaṇam // MSA_11.41 //	aSAnta SAntA akalpA ca parinizpanna lakzaNam // MSAH _11.41 //
   niṣpa[ṣya]ndadharmamālambya yoniśo manasikriyā /	nizpa[zya]nda Darmam Alambya yoniSas manasi kriyA /
   cittasya dhātau sthānaṃ ca sadasattārthapaśyanā // MSA_11.42 //	cittasya DAtO sTAnam ca sat asat ta arTa paSyanA // MSAH _11.42 //
   samatāgamanaṃ tasminnāryagotraṃ hi nirmalam /	samatA gamanam tasmin= Arya gotram hi nirmalam /
   samaṃ viśiṣṭamanyūnānadhikaṃ lakṣaṇā matā // MSA_11.43 //	samam viSizwa manyUna anaDikam lakzaNA matA // MSAH _11.43 //
   padārthadehanirbhāsaparāvṛttiranāsravaḥ /	padArTa deha nirBAsa parAvRttiH anAsravaH /
   dhāturbījaparāvṛtteḥ sa ca sarvatragāśrayaḥ // MSA_11.44 //	DAtuH bIja parAvRtteH sa ca sarvatragASrayaH // MSAH _11.44 //
   caturdhā vaśitā vṛttermanasaścodgrahaśca ca /	caturDA vaSitA vRtteH manasaH ca udgrahaH ca ca /
   vikalpasyāvikalpe hi kṣetre jñāne 'tha karmaṇi // MSA_11.45 //	vikalpasya avikalpe hi kzetre jQAne aTa karmaNi // MSAH _11.45 //
   acalāditribhūmau ca vaśitā sā caturvidhā /	acala Adi tri BUmO ca vaSitA sA caturviDAH /
   dvidhaikasyāṃ tadanyasyāmekaikā vaśitā matā // MSA_11.46 //	dviDA ekasyAm tad anyasyAm ekEkA vaSitA matA // MSAH _11.46 //
   viditvā nairātmyaṃ dvividhamiha dhīmānbhavagataṃ samaṃ tacca jñātvā	viditvA nErAtmyam dviviDam iha DImAn Bava gatam samam tat ca jQAtvA
   praviśati sa tatvaṃ grahaṇataḥ /	praviSati sa tatvam grahaNataH /
   tatastatra sthānānmanasa iha na khyāti tadapi tadakhyānaṃ muktiḥ parama	tatas tatra sTAnAt manasaH iha na KyAti tat api tat aKyAnam muktiH parama 
   upalambhasya vigamaḥ // MSA_11.47 //	upalamBasya vigamaH // MSAH _11.47 //
   ādhāre saṃbhārādādhāne sati hi nāmamātraṃpaśyan /	ADAre saMBArAt ADAne sati hi nAma mAtraMpaSyan /
   paśyati hi nāmamātraṃ tatpaśyaṃstacca naiva paśyati bhūyaḥ // MSA_11.48 //	paSyati hi nAma mAtram tat paSyan= tat ca na eva paSyati BUyas // MSAH _11.48 //
   cittametatsadauṣṭhulyamātmadarśanapāśitam /	cittam etat sat A ozWulyam Atma darSana pASitam /
   pravartate nivṛttistu tadadhyātmasthitermatā // MSA_11.49 //	pravartate nivRttiH tu tad aDyAtma sTiteH matA // MSAH _11.49 //
   svayaṃ svenātmanā 'bhāvātsvabhāve cānavasthiteḥ /	svayam svena AtmanA aBAvAt svaBAve ca anavasTiteH /
   grāhavattadā[da]bhāvācca niḥsvabhāvatvamiṣyate // MSA_11.50 //	grAha vat tadA[da]BAvAt ca niHsvaBAva tvam izyate // MSAH _11.50 //
   [niḥsvabhāvatayā siddhā uttarottaraniśrayāḥ /	[niHsvaBAva tayA sidDAH uttarottara niSrayAH /
   anutpādo 'nirodhaścādiśantiḥ parinirvṛtiḥ] // MSA_11.51 //	anutpAdaH aniroDaH ca Adi SantiH parinirvRtiH] // MSAH _11.51 //
   ādau tatve 'nyatve svalakṣaṇe svayamathānyathābhāve /	AdO tatve anya tve sva lakzaNe svayam aTa anyaTA aBAve /
   saṃkleśe 'tha viśeṣe kṣāntiranutpattidharmoktā // MSA_11.52 //	saMkleSe aTa viSeze kzAntiH anutpatti Darma uktAH // MSAH _11.52 //
   dharma nairātmyamuktīnāṃ tulyatvāt gotrabhedataḥ /	Darma nErAtmya muktInAm tulya tvAt gotra BedataH /
   dvyāśayāpteśca nirmāṇātparyantādekayānatā // MSA_11.53 //	dvi ASaya ApteH ca nirmANAt paryantAt eka yA AnatA // MSAH _11.53 //
   ākarṣaṇārthamekeṣāmanyasaṃdhāraṇāya ca /	AkarzaNa arTam ekezAm anya saMDAraNAya ca /
   deśitāniyatānāṃ hi saṃbuddhairekayānatā // MSA_11.54 //	deSita aniyatAnAm hi saMbudDEH eka yAnatA // MSAH _11.54 //
   śrāvako 'niyato dvedhā dṛṣṭādṛṣṭārthayānataḥ /	SrAvakaH aniyataH dveDA dRzwa adRzwa arTa yAnataH /
   dṛṣṭārtho vītarāgaścāvītarāgo 'pyasau mṛduḥ // MSA_11.55 //	dRzwa arTaH vIta rAgaH ca avIta rAgaH api asO mRduH // MSAH _11.55 //
   tau ca labdhāryamārgasya bhaveṣu pariṇāmanāt /	tO ca labDa Arya mArgasya Bavezu pariNAmanAt /
   acintyapariṇāmikyā upapattyā samanvitau // MSA_11.56 //	acintya pariNAmikyAH upapattyA samanvitO // MSAH _11.56 //
   praṇidhānavaśādeka upapattiṃ prapadyate /	praNiDAna vaSAt ekaH upapattim prapadyate /
   eko 'nāgāmitāyogānnirmāṇaiḥ pratipadyate // MSA_11.57 //	ekaH anAga amitA yogAt nirmANEH pratipadyate // MSAH _11.57 //
   nirvāṇābhiratatvācca tau dhandhagatikau matau /	nirvANa aBirata tvAt ca tO DanDa gatikO matO /
   punaḥ punaḥ svacittasya samudācārayogataḥ // MSA_11.58 //	punar punar sva cittasya samudAcAra yogataH // MSAH _11.58 //
   so 'kṛtārtho hyabuddhe ca jāto dhyānārthamudyataḥ /	saH akRtArTaH hi abudDe ca jAtaH DyAna arTam udyataH /
   nirmāṇārthī tadāśritya parāṃ bodhimavāpnute // MSA_11.59 //	nirmANa arTI tadASritya parAm boDim avApnute // MSAH _11.59 //
   vidyāsthāne pañcavidhe yogamakṛtvā sarvajñatvaṃ naiti kathaṃcitparamāryaḥ	vidyA sTAne paQcaviDe yogam akRtvA sarvajQa tvam na eti kaTaMcid param AryaH
   ityanyeṣāṃ nigrahaṇānugrahaṇāya svājñārthaṃ vā tatra karotyeva sa yogam //	iti anyezAm nigrahaNa anugrahaNAya sva AjQa arTam vA tatra karoti eva sa yogam //
   MSA_11.60 //	MSAH _11.60 //
   hetūpalabdhituṣṭiśca niśrayatadanusmṛtiḥ /	hetu upalabDi tuzwiH ca niSraya tad anu smRtiH /
   sādhāraṇaphalecchā ca yathābodhādhimucyanā // MSA_11.61 //	sADAraNa Pala icCA ca yaTA boDa aDimucyanA // MSAH _11.61 //
   caturvidhānubhāvena prīyaṇā khedaniścayaḥ /	caturviDa anuBAvena prIyaNA Keda niScayaH /
   vipakṣe pratipakṣe ca pratipattiścaturvidhā // MSA_11.62 //	vipakze pratipakze ca pratipattiH caturviDAH // MSAH _11.62 //
   prasādaḥ saṃpratīkṣā ca dānacchandaḥ paratra ca /	prasAdaH saMpratIkzA ca dAna= CandaH paratra ca /
   saṃnāhaḥ praṇidhānaṃ ca abhinandamanaskriyā // MSA_11.63 //	saMnAhaH praNiDAnam ca aBinanda manaskriyA // MSAH _11.63 //
   śaktilābhe sadautsukyaṃ dānādau ṣaḍvidhedyanam /	Sakti lABe sat A Otsukyam dAna AdO zaxviDet yanam /
   paripāke 'tha pūjāyāṃ sevāyāmanukampanā // MSA_11.64 //	paripAke aTa pUjAyAm sevAyAm anukampanAH // MSAH _11.64 //
   akṛte kukṛte lajjā kaukṛtyaṃ viṣaye ratiḥ /	akRte kukRte lajjA kOkRtyam vizaye ratiH /
   amitrasaṃjñā khede ca racanodbhāvanāmatiḥ // MSA_11.65 //	amitra saMjQA Kede ca racanA udBAvanA matiH // MSAH _11.65 //
   dānādayaḥ pratisaraṇaṃ sambodhau neśvarādayaḥ /	dAna AdayaH pratisaraNam samboDO na ISvara AdayaH /
   doṣāṇāṃ ca guṇānāṃ ca pratisaṃvedanād [?]dvayoḥ // MSA_11.66 //	dozANAm ca guNAnAm ca pratisaMvedanAt [?]dvayoH // MSAH _11.66 //
   cayānusmaraṇaprītirmāhārthyasya ca darśanam /	caya anusmaraNa prItiH mAhArTyasya ca darSanam /
   yoge 'bhilāṣo 'vikalpe taddhṛtyāṃ pratyayāgame // MSA_11.67 //	yoge aBilAzaH avikalpe tad DRtyAm pratyaya Agame // MSAH _11.67 //
   saptaprakārāsadgrāhavyutthāne śaktidarśanam /	sapta prakAra asat grAha vyutTAne Sakti darSanam /
   āścaryaṃ cāpyanāścaryaṃ saṃjñā caiva caturvidhā // MSA_11.68 //	AScaryam ca api anAScaryam saMjQA ca eva caturviDAH // MSAH _11.68 //
   samatā sarvasattveṣu dṛṣṭiścāpi mahātmikā /	sama tA sarva sattvezu dRzwiH ca api mahAtmikA /
   paraguṇapratikārastrayāśāstirnirantaraḥ // MSA_11.69 //	para guNa pratikAraH trayASa astiH nirantaraH // MSAH _11.69 //
   buddhapraṇītānuṣṭhānādarvāgasthānacetanāt[cetanā] /	budDa praNIta anuzWAnAt arvAga sTAna cetanAt[ cetanA] /
   taddhānivṛddhyā sattveṣu anāmodaḥ pramodanā // MSA_11.70 //	tad hAni vRdDyA sattvezu anAmodaH pramodanA // MSAH _11.70 //
   prativarṇikāyāṃ[varṇikā]bhūtāyāṃ bhāvanāyāṃ ca nārūciḥ /	prativarNikAyAM[varNikA] BUtAyAm BAvanAyAm ca na arUciH /
   nādhivāsamanaskāro vyākṛtaniyate spṛhā // MSA_11.71 //	na aDivAsa manaskAraH vyAkRta niyate spRhA // MSAH _11.71 //
   āyatyāṃ darśanādvṛtticetanā samatekṣaṇā /	AyatyAm darSanAt vRtti cetanA samatA IkzaNA /
   agradharmeṣu vṛttyā ca agratvātmāvadhāraṇāt[dhāraṇā] // MSA_11.72 //	agra Darmezu vRttyA ca agratva Atma avaDAraNa at[DAraNA] // MSAH _11.72 //
   ete śubhamanaskārā daśapāramitānvayāḥ /	ete SuBa manaskArAH daSa pAramitA anvayAH /
   sarvadā bodhisattvānāṃ dhātupuṣṭau bhavanti hi // MSA_11.73 //	sarvadA boDisattvAnAm DAtu puzwO Bavanti hi // MSAH _11.73 //
   puṣṭeradhyāśayato mahatī paryeṣṭiriṣyate dhīre /	puzweH aDyASayataH mahatI paryezwiH izyate DIre /
   savivāsā hyavivāsā tathaiva vaibhutvikī teṣām // MSA_11.74 //	sa vivAsA hi avivAsA taTA eva vEBu tvikI tezAm // MSAH _11.74 //
   asakāyā laghu[labdha]kāyā prapūrṇakāyā ca bodhisattvānām /	asakAyA laGu[ labDa]kAyA prapUrNakAyAH ca boDisattvAnAm /
   bahumānasūkṣmamānā nirmāṇā caiṣaṇābhimatā // MSA_11.75 //	bahu mAna sUkzma mAnA nirmANA ca ezaNa aBimatA // MSAH _11.75 //
   rūpārūpe dharmo lakṣaṇahetustathaiva cārogyaṃ[gye] /	rUpArUpe DarmaH lakzaNa hetuH taTA eva ca ArogyaM[gye] /
   aiśvarye 'bhijñābhistadakṣayatve ca dhīrāṇām // MSA_11.76 //	ESvarye aBijQABiH tat akzaya tve ca DIrANAm // MSAH _11.76 //
   abhāvabhāvādhyapavādakalpa ekatvanānāsvaviśeṣakalpāḥ /	aBAva BAva aDya pavAda kalpaH eka tva nAnA su aviSeza kalpAH /
   yathārthanāmābhiniveśakalpāḥ jinātmajaiḥ saṃparivarjanīyāḥ // MSA_11.77 //	yaTA arTa nAma aBiniveSa kalpAH jina AtmajEH saMparivarjanIyAH // MSAH _11.77 //
   iti śubhamatiretya yatnamugraṃ dvayaparyeṣitadharmatāsatatvaḥ /	iti SuBam atiH etya yatnam ugram dvaya paryezita DarmatA sata tvaH /
   pratiśaraṇamataḥ sadā prajānāṃ bhavati guṇaiḥ sa samudravatprapūrṇaḥ //	pratiSaraNam atas sadA prajAnAm Bavati guNEH sa samudra vat prapUrNaH //
   MSA_11.78 //	MSAH _11.78 //
   mahāyānasūtrālaṃkāre dharmaparyeṣṭyadhikāra ekādaśaḥ	mahAyAna sUtra alaMkAre Darma paryezwI aDikAraH ekAdaSaH
   dvādaśo 'dhikāraḥ	dvAdaSaH aDikAraH
   dharmadeśanāyāṃ mātsaryapratiṣedhe ślokaḥ	Darma deSanAyAm mAtsarya pratizeDe SlokaH
   prāṇānbhogāṃśca dhīrāḥ pramuditamanasaḥ kṛcchralabdhānasārān satvebhyo	prANAn BogAn= ca DIrAH pramudita manasaH kRcCra labDa an asArAn satveByaH 
   duḥkhitebhyaḥ satatamavasṛjantyuccadānaprakāraiḥ /	duHKiteByaH satatam avasRjanti ucca dAna prakArEH /
   prāgevodāradharmaṃ hitakaramasakṛtsarvathaiva prajānāṃ kṛcchre	prAk eva udAra Darmam hita karam asakRt sarvaTA eva prajAnAm kRcCre
   naivopalabdhaṃ bhṛśamavasṛjatāṃ vṛddhigaṃ cāvyayaṃ ca // MSA_12.1 //	na eva upalabDam BRSam avasRjatAm vRdDi gam ca avyayam ca // MSAH _12.1 //
   dharmo naiva ca deśito bhagavatā pratyātmayavedyo yata ākṛṣṭā janatā ca	DarmaH na eva ca deSitaH BagavatA pratyAtmayavet yaH yatas AkRzwA janatA ca
   yukta[yukti]vihitairdharmaiḥ svarkī dharmatāṃ /	yukta [yukti] vihitEH DarmEH svarkI Darma tAm /
   svaśāntyāsyapuṭe viśuddhivipule sādhāraṇe 'thākṣaye lāleneva	sva SAnti Asya puwe viSudDi vipule sADAraNe aTa akzaye lAlena iva
   kṛpātmabhistvajagaraprakhyaiḥ samāpāditā // MSA_12.2 //	kRpA AtmaBiH tu ajagara praKyEH samApAditAH // MSAH _12.2 //
   tasmānnaiva nirarthikā bhavati sā yā bhāvanā yogināṃ tasmānnaiva	tasmAt na eva nirarTikA Bavati sA yA BAvanA yoginAm tasmAt na eva
   nirarthikā bhavati sā yā deśanā saugatī /	nirarTikA Bavati sA yA deSanA sOgatI /
   dṛṣṭo 'rthaḥ śrutamātrakādyadi bhavet syādbhāvanāpārthikā aśrutvā yadi	dRzwaH arTaH Sruta mAtrakAt yadi Bavet syAt BAvanA pArTikAH aSrutvA yadi
   bhāvanāmanuviśet syāddeśanāpārthikā // MSA_12.3 //	BAvanAm anuviSet syAt deSanA pArTikAH // MSAH _12.3 //
   āgamato adhigamato vibhutvato deśanāgrasatvānāṃ /	AgamataH aDigamataH viBu tvataH deSana agra satvAnAm /
   mukhato rūpātsarvā[rvataḥā]kāśāduccaraṇatā'pi............ // MSA_12.4 //	muKataH rUpAt sarva a[rvataHA]kASAt uccaraNatA api............ // MSAH _12.4 //
   viṣadā saṃdehajahā ādeyā tatvadarśikā dvividhā /	vizadA saMdeha jahA AdeyA tatvadarSikAH dviviDAH /
   saṃpannadeśaneyaṃ vijñeyaṃ[yā] bodhisattvānāṃ // MSA_12.5 //	saMpanna deSanA iyam vijQeyaM[yA] boDisattvAnAm // MSAH _12.5 //
   madhurā madavyapetā na ca khinnā deśanāgrasatvānāṃ /	maDurA mada vyapetAH na ca KinnA deSanA agra satvAnAm /
   sphuṭacitrayuktagamikā nirāmiṣā sarvagā caiva // MSA_12.6 //	sPuwa citra yukta gamikA nirAmizA sarvagA ca eva // MSAH _12.6 //
   adīnā madhurā sūktā pratītā viṣadā tathā [vāgjinātmaje] /	adInA maDurA sUktA pratItA vizadA taTA [vAc jina Atmaje] /
   [yathārhā nirābhiṣā ca parimitākṣayā tathā] // MSA_12.7 //	[yaTArhA nirABizA ca parimita akzayA taTA] // MSAH _12.7 //
   uddeśānnirdeśāttathaiva yānānulomanāt ślākṣṇyāt /	uddeSAt nirdeSAt taTA eva yAna anulomanAt SlAkzNyAt /
   prātītyadyāthārhānnairyāṇyādānukūlyatvāt // MSA_12.8 //	prAti ityadya aTa arhAn nEryANyAt AnukUlya tvAt // MSAH _12.8 //
   vyañjanasaṃpaccaiṣā vijñeyā sarvathāgrasattvānāṃ /	vyaQjana saMpad ca ezA vijQeyA sarvaTA agra sattvAnAm /
   ṣaṣṭyaṅgī sācintyā ghoṣo 'nantastu sugatānāṃ // MSA_12.9 //	zazwi aFgI sa acintyAH GozaH anantaH tu sugatAnAm // MSAH _12.9 //
   vācā padaiḥ suyuktairanudeśavibhāgasaṃśayacchedaiḥ /	vAcA padEH su yuktEH anudeSa viBAga saMSaya= CedEH /
   bahulīkārānugatā hyuddhaṭitavipañcitajñeṣu // MSA_12.10 //	bahulIkAra anugatAH hi udDawita vipaQcita jQezu // MSAH _12.10 //
   śuddhā trimaṇḍalena hiteyaṃ deśanā hi buddhānāṃ /	SudDA tri maNxalena hitA iyam deSanA hi budDAnAm /
   doṣairvivarjitā punaraṣṭabhireṣaiva vijñeyā // MSA_12.11 //	dozEH vivarjitA punar azwaBiH ezA eva vijQeyAH // MSAH _12.11 //
   kauśīdyamanavabodho hyavakāśasyākṛtirhyanītatvam /	kOSIdyam anavaboDaH hi avakASasya akRtiH hi anIta tvam /
   saṃdehasyācchedastadvigamasyādṛḍhīkaraṇam // MSA_12.12 //	saMdehasya AcCedaH tad vigamasya adRXIkaraNam // MSAH _12.12 //
   khedo 'tha matsaritvaṃ doṣā hyete matā kathāyāṃ hi /	KedaH aTa matsaritvam dozAH hi ete matA kaTAyAm hi /
   tadabhāvādbuddhānāṃ nirūttarā deśanā bhavati // MSA_12.13 //	tad aBAvAt budDAnAm nirUttarA deSanA Bavati // MSAH _12.13 //
   kalyāṇo dharmo 'yaṃ hetutvādbhaktituṣṭibuddhīnāṃ /	kalyANaH DarmaH ayam hetu tvAt Bakti tuzwi budDInAm /
   dvividhārthaḥ sugrāhyaścaturguṇabrahmacaryavadaḥ // MSA_12.14 //	dviviDa arTaH sugrAhyaH caturguNa brahmacarya vadaH // MSAH _12.14 //
   parairasādhāraṇayogakevalaṃ tridhātukakleśavihānipūrakam /	parEH asADAraNa yoga kevalam tri DAtuka kleSa vihAni pUrakam /
   svabhāvaśuddhaṃ malaśuddhitaśca taccaturguṇabrahmavicaryamiṣyate //	svaBAva SudDam mala SudDitaH ca tad caturguNa brahma vicaryam izyate //
   MSA_12.15 //	MSAH _12.15 //
   avatāraṇasaṃdhiśca saṃdhirlakṣaṇato 'paraḥ /	avatAraNa saMDiH ca saMDiH lakzaNataH aparaH /
   pratipakṣābhisaṃdhiśca saṃdhiḥ pariṇatāvapi // MSA_12.16 //	pratipakza aBisaMDiH ca saMDiH pariNatO= api // MSAH _12.16 //
   śrāvakeṣu svabhāveṣu doṣāṇāṃ vinaye tathā /	SrAvakezu svaBAvezu dozANAm vinaye taTA /
