   śrīśivamahāpurāṇam	SrI-Siva-mahApurANam
   patiyogyaiḥ paśvalabhyaistau samarcayatāṃ patim // ŚivP_1,9.6ab/	pati-yogyEH paSu-alaByEH-tO samarcayatAm patim // ŚivS-_1,9.6ab/
   yadyacchreṣṭhatamaṃ vastu patiyogyaṃ hitaddhvaje // ŚivP_1,9.6cd/	yat-yat-SrezWatamam vastu pati-yogyam hitat-Dvaje // Śivj-_1,9.6cd/
   tadvastvakhilamīśopi pāraṃ paryacikīrṣayā // ŚivP_1,9.7ab/	tat-vastu-aKilam-ISopi pAram paryacikIrzayA // ŚivS-_1,9.7ab/
   sabhyānāṃ pradadau hṛṣṭaḥ pṛthaktatra yathākramam // ŚivP_1,9.7cd/	saByAnAm pradadO hRzwaH pRTak-tatra yaTAkramam // Śivj-_1,9.7cd/
   kolāhalo mahānāsīttatra tadvastu gṛhṇatām // ŚivP_1,9.8ab/	kolAhalaH mahAn-AsIt-tatra tat-vastu gRhNatAm // ŚivS-_1,9.8ab/
   tatraiva brahmaviṣṇubhyāṃ cārcitaḥ śaṃkaraḥ purā // ŚivP_1,9.8cd/	tatra-eva brahma-vizNuByAm ca-arcitaH SaMkaraH purA // Śivj-_1,9.8cd/
   prasannaḥ prāha tau namrau sasmitaṃ bhaktivardhanaḥ // ŚivP_1,9.9ab/	prasannaH prAha tO namrO sa-smitam Bakti-varDanaH // ŚivS-_1,9.9ab/
   īśvara uvāca	ISvaraH uvAca
   tuṣṭo 'hamadya vāṃ vatsau pūjayā 'sminmahādine // ŚivP_1,9.9cd/	tuzwaH aham-adya vAm vatsO pUjayA asmin-mahA-dine // Śivj-_1,9.9cd/
   dinametattataḥ puṇyaṃ bhaviṣyati mahattaram // ŚivP_1,9.10ab/	dinam-etat-tatas puNyam Bavizyati mahattaram // ŚivS-_1,9.10ab/
   śivarātririti khyātā tithireṣā mama priyā // ŚivP_1,9.10cd/	SivarAtriH-iti KyAtA tiTiH-ezA mama priyA // Śivj-_1,9.10cd/
   etatkāle tu yaḥ kuryātpūjāṃ malliṃgaberayoḥ // ŚivP_1,9.11ab/	etad-kAle tu yaH kuryAt-pUjAm mad-liMgaberayoH // ŚivS-_1,9.11ab/
   kuryāttu jagataḥ kṛtyaṃ sthitisargādikaṃ pumān // ŚivP_1,9.11cd/	kuryAt-tu jagataH kRtyam sTiti-sarga-Adikam pumAn // Śivj-_1,9.11cd/
   śivarātrāvahorātraṃ nirāhāro jiteṃdriyaḥ // ŚivP_1,9.12ab/	SivarAtrO=-ahorAtram nirAhAraH jiteMdriyaH // ŚivS-_1,9.12ab/
   arcayedvā yathānyāyaṃ yathābalamavaṃcakaḥ // ŚivP_1,9.12cd/	arcayet-vA yaTAnyAyam yaTAbalam-avaMcakaH // Śivj-_1,9.12cd/
   yatphalaṃ mama pūjāyāṃ varṣamekaṃ niraṃtaram // ŚivP_1,9.13ab/	yat-Palam mama pUjAyAm varzam-ekam niraMtaram // ŚivS-_1,9.13ab/
   tatphalaṃ labhate sadyaḥ śivarātrau madarcanāt // ŚivP_1,9.13cd/	tat-Palam laBate sadyas SivarAtrO mad-arcanAt // Śivj-_1,9.13cd/
   maddharmavṛddhikālo 'yaṃ caṃdrakāla ivāṃbudheḥ // ŚivP_1,9.14ab/	mad-Darma-vRdDi-kAlaH ayam caMdrakAle iva-aMbuDeH // ŚivS-_1,9.14ab/
   pratiṣṭhādyutsavo yatra māmako maṃgalāyanaḥ // ŚivP_1,9.14cd/	pratizWA-Adi-utsavaH yatra mAmakaH maMgalAyanaH // Śivj-_1,9.14cd/
   yatpunaḥ staṃbharūpeṇa svāvirāsamahaṃ purā // ŚivP_1,9.15ab/	yat-punar staMBa-rUpeNa svAvirAsam-aham purA // ŚivS-_1,9.15ab/
   sa kālo mārgaśīrṣe tu syādārdrā ṛkṣamarbhakau // ŚivP_1,9.15cd/	sa kAlaH mArgaSIrze tu syAt-ArdrAH Rkzam-arBakO // Śivj-_1,9.15cd/
   ārdrāyāṃ mārgaśīrṣe tu yaḥ paśyenmāmumāsakham // ŚivP_1,9.16ab/	ArdrAyAm mArgaSIrze tu yaH paSyet-mAm-umAsaKam // ŚivS-_1,9.16ab/
   madberamapi vā liṃgaṃ sa guhādapi me priyaḥ // ŚivP_1,9.16cd/	mad-beram-api vA liMgam sa guhAt-api me priyaH // Śivj-_1,9.16cd/
   alaṃ darśanamātreṇa phalaṃ tasmindine śubhe // ŚivP_1,9.17ab/	alam darSana-mAtreNa Palam tasmin-dine SuBe // ŚivS-_1,9.17ab/
   abhyarcanaṃ cedadhikaṃ phalaṃ vācāmagocaram // ŚivP_1,9.17cd/	aByarcanam ced-aDikam Palam vAcAm-agocaram // Śivj-_1,9.17cd/
   raṇaraṃgatale 'muṣminyadahaṃ liṃgavarṣmaṇā // ŚivP_1,9.18ab/	raNa-raMga-tale amuzmin-yat-aham liMga-varzmaNA // ŚivS-_1,9.18ab/
   jṛṃbhito liṃgavattasmālliṃgasthānamidaṃ bhavet // ŚivP_1,9.18cd/	jRMBitaH liMga-vat-tasmAt-liMga-sTAnam-idam Bavet // Śivj-_1,9.18cd/
   anādyaṃtamidaṃ staṃbhamaṇumātraṃ bhaviṣyati // ŚivP_1,9.19ab/	anAdi-aMtam-idam staMBa-m-aNu-mAtram Bavizyati // ŚivS-_1,9.19ab/
   darśanārthaṃ hi jagatāṃ pūjanārthaṃ hi putrako // ŚivP_1,9.19cd/	darSana-arTam hi jagatAm pUjana-arTam hi putrakaH // ŚivS-_1,9.19cd/
   bhogāvahamidaṃ liṃgaṃ bhuktiṃ muktyekasādhanam // ŚivP_1,9.20ab/	Boga-Avaham-idam liMgam Buktim mukti-eka-sADanam // ŚivS-_1,9.20ab/
   darśanasparśanadhyānājjaṃtūnāṃ janmamocanam // ŚivP_1,9.20cd/	darSana-sparSana-DyAnAt-jaMtUnAm janma-mocanam // Śivj-_1,9.20cd/
   analācalasaṃkāśaṃ yadidaṃ liṃgamutthitam // ŚivP_1,9.21ab/	anala-acala-saMkASam yat-idam liMgam-utTitam // ŚivS-_1,9.21ab/
   aruṇācalamityeva tadidaṃ khyātimeṣyati // ŚivP_1,9.21cd/	aruNAcalam-iti-eva tat-idam KyAtim-ezyati // Śivj-_1,9.21cd/
   atra tīrthaṃ ca bahudhā bhaviṣyati mahattaram // ŚivP_1,9.22ab/	atra tIrTam ca bahuDA Bavizyati mahattaram // ŚivS-_1,9.22ab/
   muktirapyatra jaṃtūnāṃ vāsena maraṇena ca // ŚivP_1,9.22cd/	muktiH-api-atra jaMtUnAm vAsena maraNena ca // Śivj-_1,9.22cd/
   sthotsavādikalyāṇaṃ janāvāsaṃ tu sarvataḥ // ŚivP_1,9.23ab/	sTa-utsava-Adi-kalyANam jana-AvAsam tu sarvatas // ŚivS-_1,9.23ab/
   atra dattaṃ hutaṃ japtaṃ sarvaṃ koṭiguṇaṃ bhavet // ŚivP_1,9.23cd/	atra dattam hutam japtam sarvam kowi-guNam Bavet // Śivj-_1,9.23cd/
   matkṣetrādapi sarvasmātkṣetrametanmahattaram // ŚivP_1,9.24ab/	mad-kzetrAt-api sarvasmAt-kzetram-etat-mahattaram // ŚivS-_1,9.24ab/
   atra saṃsmṛtimātreṇa muktirbhavati dehinām // ŚivP_1,9.24cd/	atra saMsmRti-mAtreNa muktiH-Bavati dehinAm // Śivj-_1,9.24cd/
   tasmānmahattaramidaṃ kṣetramatyaṃtaśobhanam // ŚivP_1,9.25ab/	tasmAt-mahattaram-idam kzetram-atyaMta-SoBanam // ŚivS-_1,9.25ab/
   sarvakalyāṇasaṃpūrṇaṃ sarvamuktikaraṃ śubham // ŚivP_1,9.25cd/	sarva-kalyANa-saMpUrNam sarva-mukti-karam SuBam // Śivj-_1,9.25cd/
   arcayitvā 'tra māmeva liṃge liṃginamīśvaram // ŚivP_1,9.26ab/	arcayitvA atra mAm-eva liMge liMginam-ISvaram // ŚivS-_1,9.26ab/
   sālokyaṃ caiva sāmīpyaṃ sārūpyaṃ sārṣṭireva ca // ŚivP_1,9.26cd/	sAlokyam ca-eva sAmIpyam sArUpyam sArzwiH-eva ca // Śivj-_1,9.26cd/
   sāyujyamiti pañcaite kriyādīnāṃ phalaṃ matam // ŚivP_1,9.27ab/	sAyujyam-iti paQca-ete kriyA-AdInAm Palam matam // ŚivS-_1,9.27ab/
   sarvepi yūyaṃ sakalaṃ prāpsyathāśu manoratham // ŚivP_1,9.27cd/	sarvepi yUyam sakalam prApsyaTa-ASu manoraTam // Śivj-_1,9.27cd/
   nandikeśvara uvāca	nandikeSvaraH uvAca
   ityanugṛhya bhagavānvinītau vidhimādhavau // ŚivP_1,9.28ab/	iti-anugRhya BagavAn-vinItO viDi-mADavO // ŚivS-_1,9.28ab/
   yatpūrvaṃ prahataṃ yuddhe tayoḥ sainyaṃ parasparam // ŚivP_1,9.28cd/	yat-pUrvam prahatam yudDe tayoH sEnyam parasparam // Śivj-_1,9.28cd/
   tadutthāpayadatyarthaṃ svaśaktyāmṛtadhārayā // ŚivP_1,9.29ab/	tat-utTApayat-atyarTam sva-SaktyA-amRta-DArayA // ŚivS-_1,9.29ab/
   tayormāḍhyaṃ ca vairaṃ ca vyapanetumuvāca tau // ŚivP_1,9.29cd/	tayoH-mAXyam ca vEram ca vyapanetum-uvAca tO // Śivj-_1,9.29cd/
   sakalaṃ niṣkalaṃ ceti svarūpadvayamasti me // ŚivP_1,9.30ab/	sakalam nizkalam ca-iti svarUpa-dvayam-asti me // ŚivS-_1,9.30ab/
   nānyasya kasyacittasmādanyaḥ sarvopyanīśvaraḥ // ŚivP_1,9.30cd/	na-anyasya kasyacid-tasmAt-anyaH sarva-upyani-ISvaraH // Śivj-_1,9.30cd/
   purastātstaṃbharūpeṇa paścādrūpeṇa cārbhakau // ŚivP_1,9.31ab/	purastAt-staMBa-rUpeNa paScAt-rUpeNa ca-arBakO // ŚivS-_1,9.31ab/
   brahmatvaṃ niṣkalaṃ proktamīśatvaṃ sakalaṃ tathā // ŚivP_1,9.31cd/	brahma-tvam nizkalam proktam-ISa-tvam sakalam taTA // Śivj-_1,9.31cd/
   dvayaṃ mamaiva saṃsiddhaṃ na madanyasya kasyacit // ŚivP_1,9.32ab/	dvayam mama-eva saMsidDam na mad-anyasya kasyacid // ŚivS-_1,9.32ab/
   tasmādīśatvamanyeṣāṃ yuvayorapi na kvacit // ŚivP_1,9.32cd/	tasmAt-ISa-tvam-anyezAm yuvayoH-api na kvacid // Śivj-_1,9.32cd/
   tadajñānena vāṃ vṛttamīśamānaṃ mahādbhutam // ŚivP_1,9.33ab/	tad-ajQAnena vAm vRttam-ISamAnam mahA-adButam // ŚivS-_1,9.33ab/
   tannirākartumatraivamutthito 'haṃ raṇakṣitau // ŚivP_1,9.33cd/	tat-nirAkartum-atra-evam-utTitaH aham raNa-kzitO // Śivj-_1,9.33cd/
   tyajataṃ mānamātmīyaṃ mayīśe kurutaṃ matim // ŚivP_1,9.34ab/	tyajatam mAnam-AtmIyam mayi-ISe kurutam matim // ŚivS-_1,9.34ab/
   matprasādena lokeṣu sarvopyarthaḥ prakāśate // ŚivP_1,9.34cd/	mad-prasAdena lokezu sarva-upyarTaH prakASate // Śivj-_1,9.34cd/
   gurūktirvyaṃjakaṃ tatra pramāṇaṃ vā punaḥ punaḥ // ŚivP_1,9.35ab/	guru-uktiH-vyaMjakam tatra pramANam vA punar punar // ŚivS-_1,9.35ab/
   brahmatattvamidaṃ gūḍhaṃ bhavatprītyā bhaṇāmyaham // ŚivP_1,9.35cd/	brahma-tattvam-idam gUXam Bavat-prItyA BaNAmi-aham // Śivj-_1,9.35cd/
   ahameva paraṃ brahma matsvarūpaṃ kalākalam // ŚivP_1,9.36ab/	aham-eva param brahma mad-svarUpam kalAkalam // ŚivS-_1,9.36ab/
   brahmatvādīśvaraścāhaṃ kṛtyaṃ menugrahādikam // ŚivP_1,9.36cd/	brahma-tvAt-ISvaraH-ca-aham kRtyam menu-graha-Adikam // Śivj-_1,9.36cd/
   bṛhattvādbṛṃhaṇatvācca brahmāhaṃ brahmakeśavau // ŚivP_1,9.37ab/	bRhat-tvAt-bRMhaNa-tvAt-ca brahmA-aham brahma-keSavO // ŚivS-_1,9.37ab/
   samatvādvyāpakatvācca tathaivātmāhamarbhakau // ŚivP_1,9.37cd/	sama-tvAt-vyApaka-tvAt-ca taTA-eva-AtmA-aham-arBakO // Śivj-_1,9.37cd/
   anātmānaḥ pare sarve jīvā eva na saṃśayaḥ // ŚivP_1,9.38ab/	anAtmAnaH pare sarve jIvAH eva na saMSayaH // ŚivS-_1,9.38ab/
   anugrahādyaṃ sargāṃgaṃ jagatkṛtyaṃ ca paṃkajam // ŚivP_1,9.38cd/	anugraha-Adyam sarga-aMgam jagat-kRtyam ca paMkajam // Śivj-_1,9.38cd/
   īśatvādeva me nityaṃ na madanyasya kasyacit // ŚivP_1,9.39ab/	ISa-tvAt-eva me nityam na mad-anyasya kasyacid // ŚivS-_1,9.39ab/
   ādau brahmattvabuddhyarthaṃ niṣkalaṃ liṃgamutthitam // ŚivP_1,9.39cd/	AdO brahmattva-budDi-arTam nizkalam liMgam-utTitam // Śivj-_1,9.39cd/
   tasmādajñātamīśatvaṃ vyaktaṃ dyotayituṃ hi vām // ŚivP_1,9.40ab/	tasmAt-ajQAtam-ISa-tvam vyaktam dyotayitum hi vAm // ŚivS-_1,9.40ab/
   sakalohamato jātaḥ sākṣādīśastu tatkṣaṇāt // ŚivP_1,9.40cd/	sakala-Uham-atas jAtaH sAkzAt-ISaH-tu tad-kzaNAt // Śivj-_1,9.40cd/
   sakalatvamato jñeyamīśatvaṃ mayi satvaram // ŚivP_1,9.41ab/	sakala-tvam-atas jQeyam-ISa-tvam mayi sa-tvaram // ŚivS-_1,9.41ab/
   yadidaṃ niṣkalaṃ staṃbhaṃ mama brahmatvabodhakam // ŚivP_1,9.41cd/	yat-idam nizkalam staMBam mama brahma-tva-boDakam // Śivj-_1,9.41cd/
   liṃgalakṣaṇayuktatvānmama liṃgaṃ bhavedidam // ŚivP_1,9.42ab/	liMga-lakzaNa-yukta-tvAt-mama liMgam Bavet-idam // ŚivS-_1,9.42ab/
   tadidaṃ nityamabhyarcyaṃ yuvābhyāmatra putrakau // ŚivP_1,9.42cd/	tat-idam nityam-aByarcyam yuvAByAm-atra putrakO // Śivj-_1,9.42cd/
   madātmakamidaṃ nityaṃ mama sānnidhyakāraṇam // ŚivP_1,9.43ab/	mad-Atmakam-idam nityam mama sAnniDya-kAraNam // ŚivS-_1,9.43ab/
   mahatpūjyamidaṃ nityamabhedālliṃgasiṃginoḥ // ŚivP_1,9.43cd/	mahat-pUjyam-idam nityam-aBedAt-liMga-siMginoH // ŚivS-_1,9.43cd/
   yatrapratiṣṭhitaṃ yena madīyaṃ liṃgamīdṛśam // ŚivP_1,9.44ab/	yatrapratizWitam yena madIyam liMgam-IdRSam // ŚivS-_1,9.44ab/
   tatra pratiṣṭhitaḥ sohamapratiṣṭhopi vatsakau // ŚivP_1,9.44cd/	tatra pratizWitaH soham-apratizWA-upi vatsakO // Śivj-_1,9.44cd/
   matsāmyamekaliṃgasya sthāpane phalamīritam // ŚivP_1,9.45ab/	mad-sAmyam-eka-liMgasya sTApane Palam-Iritam // ŚivS-_1,9.45ab/
   dvitīye sthāpite liṃge madaikyaṃ phalameva hi // ŚivP_1,9.45cd/	dvitIye sTApite liMge mada-Ekyam Palam-eva hi // Śivj-_1,9.45cd/
   liṃgaṃ prādhānyataḥ sthāpyaṃ tathāberaṃ tu gauṇakam // ŚivP_1,9.46ab/	liMgam prADAnyataH sTApyam taTA-aberam tu gONakam // ŚivS-_1,9.46ab/
   liṃgābhāvena tatkṣetraṃ saberamapi sarvataḥ // ŚivP_1,9.46cd/	liMga-aBAvena tat-kzetram sa-beram-api sarvatas // Śivj-_1,9.46cd/
   iti śrīśivamahāpurāṇe vidyeśvarasaṃhitāyāṃ navamo 'dhyāyaḥ	iti SrI-Siva-mahApurANe vidyeSvara-saMhitAyAm navamaH aDyAyaH
   Chapter 10	ChapteH 10
   brahmaviṣṇū ūcatuḥ	brahma-vizNU UcatuH
   sargādipañcakṛtyasya lakṣaṇaṃ brūhi nau prabho // ŚivP_1,10.1ab/	sarga-Adi-paQca-kRtyasya lakzaNam brUhi nO praBo // ŚivS-_1,10.1ab/
   śiva uvāca	SivaH uvAca
   matkṛtyabodhanaṃ guhyaṃ kṛpayā prabravīmi vām // ŚivP_1,10.1cd/	mad-kRtya-boDanam guhyam kRpayA prabravImi vAm // Śivj-_1,10.1cd/
   sṛṣṭiḥ sthitiśca saṃhārastirobhāvo 'pyanugrahaḥ // ŚivP_1,10.2ab/	sRzwiH sTitiH-ca saMhAraH-tiroBAvaH api-anugrahaH // ŚivS-_1,10.2ab/
   pañcaiva me jagatkṛtyaṃ nityasiddhamajācyutau // ŚivP_1,10.2cd/	paQca-eva me jagat-kRtyam nitya-sidDam-aja-acyutO // Śivj-_1,10.2cd/
   sargaḥ saṃsārasaṃraṃbhastatpratiṣṭhā sthitirmatā // ŚivP_1,10.3ab/	sargaH saMsAra-saMraMBaH-tad-pratizWA sTitiH-matAH // ŚivS-_1,10.3ab/
   saṃhāro mardanaṃ tasya tirobhāvastadutkramaḥ // ŚivP_1,10.3cd/	saMhAraH mardanam tasya tiroBAvaH-tad-utkramaH // Śivj-_1,10.3cd/
   tanmokṣo 'nugrahastanme kṛtyamevaṃ hi pañcakam // ŚivP_1,10.4ab/	tat-mokzaH anugrahaH-tat-me kRtyam-evam hi paQcakam // ŚivS-_1,10.4ab/
   kṛtyametadvahatyanyastūṣṇīṃ gopurabiṃbavat // ŚivP_1,10.4cd/	kRtyam-etat-vahati-anyaH-tUzNIm gopura-biMba-vat // Śivj-_1,10.4cd/
   sargādi yaccatuṣkṛtyaṃ saṃsāraparijṛṃbhaṇam // ŚivP_1,10.5ab/	sarga-Adi yat-catuzkRtyam saMsAra-parijRMBaNam // ŚivS-_1,10.5ab/
   pañcamaṃ muktiheturvai nityaṃ mayi ca susthiram // ŚivP_1,10.5cd/	paQcamam mukti-hetuH-vE nityam mayi ca susTiram // Śivj-_1,10.5cd/
   tadidaṃ pañcabhūteṣu dṛśyate māmakairjanaiḥ // ŚivP_1,10.6ab/	tat-idam paQcaBUtezu dRSyate mAm-akEH-janEH // ŚivS-_1,10.6ab/
   sṛṣṭirbhūmau sthitistoye saṃhāraḥ pāvake tathā // ŚivP_1,10.6cd/	sRzwiH-BUmO sTitiH-toye saMhAraH pAvake taTA // Śivj-_1,10.6cd/
   tirobhāvo 'nile tadvadanugraha ihāmbare // ŚivP_1,10.7ab/	tiroBAvaH anile tadvat-anugrahaH iha-ambare // ŚivS-_1,10.7ab/
   sṛjyate dharayā sarvamadbhiḥ sarvaṃ pravardhate // ŚivP_1,10.7cd/	sRjyate DarayA sarvam-adBiH sarvam pravarDate // Śivj-_1,10.7cd/
   ardyate tejasā sarvaṃ vāyunā cāpanīyate // ŚivP_1,10.8ab/	ardyate tejasA sarvam vAyunA ca-apanIyate // ŚivS-_1,10.8ab/
   vyomnānugṛhyate sarvaṃ jñeyamevaṃ hi sūribhiḥ // ŚivP_1,10.8cd/	vyomnA-anugRhyate sarvam jQeyam-evam hi sUriBiH // Śivj-_1,10.8cd/
   pañcakṛtyamidaṃ boḍhuṃ mamāsti mukhapañcakam // ŚivP_1,10.9ab/	paQcakRtyam-idam boXum mama-asti muKa-paQcakam // ŚivS-_1,10.9ab/
   caturdikṣu caturvaktraṃ tanmadhye pañcamaṃ mukham // ŚivP_1,10.9cd/	catur-dikzu catur-vaktram tad-maDye paQcamam muKam // Śivj-_1,10.9cd/
   yuvābhyāṃ tapasā labdhametatkṛtyadvayaṃ sutau // ŚivP_1,10.10ab/	yuvAByAm tapasA labDam-etat-kRtya-dvayam sutO // ŚivS-_1,10.10ab/
   sṛṣṭisthityabhīdhaṃ bhāgyaṃ mattaḥ prītādatipriyam // ŚivP_1,10.10cd/	sRzwi-sTiti-aBIDam BAgyam mattaH prItAt-ati-priyam // ŚivS-_1,10.10cd/
   tathā rudramaheśābhyāmanyatkṛtyadvayaṃ param // ŚivP_1,10.11ab/	taTA rudra-maheSAByAm-anyat-kRtya-dvayam param // ŚivS-_1,10.11ab/
   anugrahākhyaṃ kenāpi labdhuṃ naiva hi śakyate // ŚivP_1,10.11cd/	anugraha-AKyam kena-api labDum na-eva hi Sakyate // ŚivS-_1,10.11cd/
   tatsarvaṃ paurvikaṃ karma yuvābhyāṃ kālavismṛtam // ŚivP_1,10.12ab/	tat-sarvam pOrvikam karma yuvAByAm kAla-vismRtam // ŚivS-_1,10.12ab/
   na tadrudra maheśābhyāṃ vismṛtaṃ karma tādṛśam // ŚivP_1,10.12cd/	na tat-rudra maheSAByAm vismRtam karma tAdRSam // ŚivS-_1,10.12cd/
   rūpe veśe ca kṛtye ca vāhane cāsane tathā // ŚivP_1,10.13ab/	rUpe veSe ca kRtye ca vAhane ca-Asane taTA // ŚivS-_1,10.13ab/
   āyudhādau ca matsāmyamasmābhistatkṛte kṛtam // ŚivP_1,10.13cd/	AyuDa-AdO ca mad-sAmyam-asmABiH-tad-kRte kRtam // Śivj-_1,10.13cd/
   maddhyānavirahādvatsau mauḍhyaṃ vāmevamāgatam // ŚivP_1,10.14ab/	mad-DyAna-virahAt-vatsO mOXyam vAm-evam-Agatam // ŚivS-_1,10.14ab/
   majjñāne sati naivaṃ syānmānaṃ rūpe maheśavat // ŚivP_1,10.14cd/	mad-jQAne sati na-evam syAt-mAnam rUpe maheSa-vat // Śivj-_1,10.14cd/
   tasmānmajjñānasiddhyarthaṃ maṃtramoṃkāranāmakam // ŚivP_1,10.15ab/	tasmAt-mad-jQAna-sidDi-arTam maMtram-oMkAra-nAmakam // ŚivS-_1,10.15ab/
   itaḥ paraṃ prajapataṃ māmakaṃ mānabhaṃjanam // ŚivP_1,10.15cd/	itas param prajapatam mAmakam mAna-BaMjanam // ŚivS-_1,10.15cd/
   upādiśaṃ nijaṃ maṃtramoṃkāramurumaṃgalam // ŚivP_1,10.16ab/	upAdiSam nijam maMtram-oMkAram-uru-maMgalam // ŚivS-_1,10.16ab/
   oṃkāro manmukhājjajñe prathamaṃ matprabodhakaḥ // ŚivP_1,10.16cd/	oMkAraH mad-muKAt-jajQe praTamam mad-praboDakaH // Śivj-_1,10.16cd/
   vācako 'yamahaṃ vācyo maṃtro 'yaṃ hi madātmakaḥ // ŚivP_1,10.17ab/	vAcakaH ayam-aham vAcyaH maMtraH ayam hi mad-AtmakaH // ŚivS-_1,10.17ab/
   tadanusmaraṇaṃ nityaṃ mamānusmaraṇaṃ bhavet // ŚivP_1,10.17cd/	tad-anusmaraNam nityam mama-anusmaraNam Bavet // Śivj-_1,10.17cd/
   akārauttarātpūrvamukāraḥ paścimānanāt // ŚivP_1,10.18ab/	akAra-OttarAt-pUrvamukAraH paScima-AnanAt // ŚivS-_1,10.18ab/
   makāro dakṣiṇamukhādbiṃduḥ prāṅmukhatastathā // ŚivP_1,10.18cd/	makAraH dakziNa-muKAt-biMduH prAFmuKataH-taTA // ŚivS-_1,10.18cd/
   nādo madhyamukhādevaṃ pañcadhā 'sau vijṛṃbhitaḥ // ŚivP_1,10.19ab/	nAdaH maDya-muKAt-evam paQcaDA asO vijRMBitaH // ŚivS-_1,10.19ab/
   ekībhūtaḥ punastadvadomityekākṣaro bhavet // ŚivP_1,10.19cd/	ekIBUtaH punar-tadvat-om-iti-eka-akzaraH Bavet // Śivj-_1,10.19cd/
   nāmarūpātmakaṃ sarvaṃ vedabhūtakuladvayam // ŚivP_1,10.20ab/	nAma-rUpa-Atmakam sarvam veda-BUta-kula-dvayam // ŚivS-_1,10.20ab/
   vyāptametena maṃtreṇa śivaśaktyośca bodhakaḥ // ŚivP_1,10.20cd/	vyAptam-etena maMtreNa Siva-SaktyoH-ca boDakaH // Śivj-_1,10.20cd/
   asmātpañcākṣaraṃ jajñe bodhakaṃ sakalasyatat // ŚivP_1,10.21ab/	asmAt-paQcAkzaram jajQe boDakam sakalasyatat // ŚivS-_1,10.21ab/
   ākārādikrameṇaiva nakārādiyathākramam // ŚivP_1,10.21cd/	AkAra-Adi-krameNa-eva nakAra-Adi-yaTA-kramam // Śivj-_1,10.21cd/
   asmātpañcākṣarājjātā mātṛkāḥ pañcabhedataḥ // ŚivP_1,10.22ab/	asmAt-paQcAkzarAt-jAtAH mAtRkAH paQca-BedataH // ŚivS-_1,10.22ab/
   tasmācchiraścaturvaktrāttripādgāya trireva hi // ŚivP_1,10.22cd/	tasmAt-SiraH-catur-vaktrAt-tri-pAdgAya tris-eva hi // Śivj-_1,10.22cd/
   vedaḥ sarvastato jajñe tato vai maṃtrakoṭayaḥ // ŚivP_1,10.23ab/	vedaH sarvaH-tatas jajQe tatas vE maMtra-kowayaH // ŚivS-_1,10.23ab/
   tattanmaṃtreṇa tatsiddhiḥ sarvasiddhirito bhavet // ŚivP_1,10.23cd/	tat-tad-maMtreNa tad-sidDiH sarva-sidDiH-itas Bavet // Śivj-_1,10.23cd/
   anena maṃtrakaṃdena bhogo mokṣaśca siddhyati // ŚivP_1,10.24ab/	anena maMtra-kaMdena BogaH mokzaH-ca sidDyati // ŚivS-_1,10.24ab/
   sakalā maṃtrarājānaḥ sākṣādbhogapradāḥ śubhāḥ // ŚivP_1,10.24cd/	sakalAH maMtra-rAjAnaH sAkzAt-Boga-pradAH SuBAH // Śivj-_1,10.24cd/
   naṃdikeśvara uvāca	naMdikeSvaraH uvAca
   punastayostatra tiraḥ paṭaṃ guruḥ prakalpya maṃtraṃ ca samādiśatparam //	punar-tayoH-tatra tiras pawam guruH prakalpya maMtram ca samAdiSat-param //
   ŚivP_1,10.25ab/	ŚivS-_1,10.25ab/
   nidhāya tacchīrṣṇi karāṃbujaṃ śanairudaṅmukhaṃ saṃsthitayoḥ sahāṃbikaḥ //	niDAya tat-SIrzNi kara-aMbujam SanEs-udaFmuKam saMsTitayoH saha-aMbikaH //
   ŚivP_1,10.25cd/	Śivj-_1,10.25cd/
   triruccāryāgrahīnmaṃtraṃ yaṃtrataṃtroktipūrvakam // ŚivP_1,10.26ab/	tris-uccArya-agrahIt-maMtram yaMtra-taMtra-ukti-pUrvakam // ŚivS-_1,10.26ab/
   śiṣyau ca tau dakṣiṇāyāmātmānaṃ ca samarpayat // ŚivP_1,10.26cd/	SizyO ca tO dakziNAyAm-AtmAnam ca samarpayat // Śivj-_1,10.26cd/
   prabaddhahastau kila tau tadaṃtike tameva devaṃ jagaturjagadgurum //	prabadDa-hastO kila tO tad-aMtike tam-eva devam jagatuH-jagadgurum //
   ŚivP_1,10.27ab/	ŚivS-_1,10.27ab/
   brahmācyutāvūcatuḥ	brahma-acyutO=-UcatuH
   namo niṣkalarūpāya namo niṣkalatejase // ŚivP_1,10.28ab/	namaH nizkala-rUpAya namaH nizkala-tejase // ŚivS-_1,10.28ab/
   namaḥ sakalanāthāya namaste sakalātmane // ŚivP_1,10.28cd/	namaH sakala-nATAya namaH-te sakala-Atmane // Śivj-_1,10.28cd/
   namaḥ	namaH
   praṇavavācyāya namaḥ praṇavaliṃgine // ŚivP_1,10.29ab/	praNava-vAcyAya namaH praNava-liMgine // ŚivS-_1,10.29ab/
   namaḥ sṛṣṭyādikartre ca namaḥ pañcamukhāyate // ŚivP_1,10.29cd/	namaH sRzwi-Adi-kartre ca namaH paQcamuKAyate // ŚivS-_1,10.29cd/
   pañcabrahmasvarūpāya pañca kṛtyāyate namaḥ // ŚivP_1,10.30ab/	paQca-brahma-svarUpAya paQca kRtyAyate namaH // ŚivS-_1,10.30ab/
