   a-u-ma tryakṣaraṃ saṃkhyaṃ JñS_26.11c	a-u-ma tri-akzaram saMKyam JQH-_26.11c
   śūnyaśūnyāntare tathā MJ_86d	SUnya-SUnya-antare taTA M=-_86d
   śūnyastham anantaṃ viduḥ ? MJ_38d	SUnya-sTam anantam viduH ? M=-_38d
   śūnyaṃ ca paramaḥ śivaḥ MJ_83d	SUnyam ca paramaH SivaH M=-_83d
   śūnyaṃ sunirmalaṃ paśyet JñS_25.3a	SUnyam su-nirmalam paSyet JQH-_25.3a
   śūnyākhya ity anuccāryo JñS_9.3c	SUnya-AKyaH iti anuccAryaH JQH-_9.3c
   śūnyāc chūnyataram vāpi JñS_3.2c	SUnyAt SUnyataram vA-api JQH-_3.2c
   śūnyāc chūnyataraṃ vāpi JñS_17.4c	SUnyAt SUnyataram vA-api JQH-_17.4c
   śūnyātiśūnyaṃ cintyate GNP_23c	SUnya-ati-SUnyam cintyate GNP_23c
   śūnyāt parataram vāpi GNP_52c	SUnyAt parataram vA-api GNP_52c
   śūnyātmā na ca śṛṇoti GNP_7c	SUnya-AtmA na ca SRNoti GNP_7c
   śūnyātmā paramaśivaḥ JñS_10.16b	SUnya-AtmA parama-SivaH JQH-_10.16b
   śūnyātmā śrūtaye nāsti JñS_15.5c	SUnya-AtmA SrUtaye na-asti JQH-_15.5c
   śūnyātmā saptabhedakam JñS_10.4d	SUnya-AtmA saptaBedakam JQH-_10.4d
   śṛṇuṣva sahaṣaṇmukhe JñS_26.1d	SRNuzva saha-zaNmuKe JQH-_26.1d
   śaivaṃ sūkṣmaṃ paraṃ padam MJ_63b	SEvam sUkzmam param padam Mu-_63b
   śokitā bhūktā caiva a- Vṛh_19c	SokitA BUktA ca-eva a VRh_19c
   śaucam āhāralāghavam Vṛh_61b	SOcam AhAra-lAGavam VRh_61b
   śraddadhāno jitendriyaḥ JñS_19.3d	SraddaDAnaH jita-indriyaH JQH-_19.3d
   śraddhādhano jitendriyaḥ GNP_42b	SradDA-DanaH jita-indriyaH GNP_42b
   śravaṇaṃ mananaṃ tathā JñS_11.11d	SravaNam mananam taTA JQH-_11.11d
   śrāvanā śrāvanī jagrā JñS_11.15a	SrAvanA SrAvanI jagrA JQH-_11.15a
   śrotrādicakṣuparyantaṃ JñS_11.8a	Srotra-Adi-cakzu-paryantam JQH-_11.8a
   śvāso niḥśvāsaḥ samyoga GNP_2a	SvAsaH niHSvAsaH samyoga GNP_2a
   śvāso niḥśvāsaḥ samyoga JñS_14.1a	SvAsaH niHSvAsaH samyoga JQH-_14.1a
   śvetakam asthisaṃyuktaṃ JñS_25.13a	Svetakam asTi-saMyuktam JQH-_25.13a
   śvetarūpaṃ ca siddhāntaṃ JñS_25.1a	Sveta-rUpam ca sidDAntam JQH-_25.1a
   śvetaṃ ca bāyutattvaṃ hi JñS_11.24c	Svetam ca bAyu-tattvam hi JQH-_11.24c
   śvetaṃ raktaṃ ca pītakam JñS_25.11b	Svetam raktam ca pItakam JQH-_25.11b
   ṣaḍaṅgam iti kathyate GNP_3d	zaz-aFgam iti kaTyate GNP_3d
   ṣaḍaṅgam iti kathyate JñS_15.1d	zaz-aFgam iti kaTyate JQH-_15.1d
   ṣaḍango yoga ucyate Vṛh_53d	zaxangaH yogaH ucyate VRh_53d
   ṣaḍaṃśa iti kathyate JñS_9.6d	zaz-aMSaH iti kaTyate JQH-_9.6d
   ṣaḍvargarahitaḥ śivaḥ JñS_25.6d	zaxvarga-rahitaH SivaH JQH-_25.6d
   ṣaṣṭiṃśadvibhāgaḥ smṛtah JñS_12.25d	zazwiMSat-viBAgaH smRtah JQH-_12.25d
   ṣoḍaśanāḍīr ucyate JñS_11.11b	zoxaSa-nAxIH ucyate JQH-_11.11b
   sa eko bhagavān śarvaḥ JñS_8.2a	saH ekaH BagavAn SarvaH JQH-_8.2a
   sakalaniṣkalas tathā JñS_9.1d	sakala-nizkalaH taTA JQH-_9.1d
   sakalaniṣkalaṃ tyaktvā JñS_8.4c	sakala-nizkalam tyaktvA JQH-_8.4c
   sakalaniṣkalaṃ tyaktvā JñS_8.7a	sakala-nizkalam tyaktvA JQH-_8.7a
   sakalaṃ sakalatattvaṃ ca GNP_53a	sakalam sakala-tattvam ca GNP_53a
   sakalaḥ kevalaśuddhas GNP_43a	sakalaH kevala-SudDaH GNP_43a
   sakalaḥ kevalaḥ śuddhaḥ JñS_19.4c	sakalaH kevalaH SudDaH JQH-_19.4c
   sakāro dakṣiṇe pāde JñS_26.8a	sakAraH dakziNe pAde JQH-_26.8a
   sakṛt smaranti māṃ kecit MJ_29a	sakRt smaranti mAm kecid M=-_29a
   saṅgrāmavijayī bhavet GNP_56d	saFgrAma-vijayI Bavet GNP_56d
   sa jñānādhikārāj jñeyaḥ MJ_73a	sa jQAna-aDikArAt jQeyaH M=-_73a
   sa tataś cintāḥ pṛṇāti Vṛh_65c	sa tatas cintAH pRNAti VRh_65c
   sa tarka iti kathyate Vṛh_58d	sa tarkaH iti kaTyate VRh_58d
   sattvaṃ kasmāt saṃyuktaṃ vā Vṛh_21c	sattvam kasmAt saMyuktam vA VRh_21c
   sattvaṃ caiva maheśvaraḥ MJ_72d	sattvam ca-eva maheSvaraH M=-_72d
   sattvānāṃ caiva devānāṃ JñS_26.2c	sattvAnAm ca-eva devAnAm JQH-_26.2c
   satyam avyavahārikam Vṛh_60b	satyam avyavahArikam VRh_60b
   satyalokaḥ śiraḥ smṛtaḥ JñS_26.7d	satyalokaH SiraH smRtaH JQH-_26.7d
   sadasadbhāvarahitaṃ Vṛh_48c	sat-asat-BAva-rahitam VRh_48c
   sadādhikāram īśvaram JñS_8.6d	sadA-aDikAram ISvaram JQH-_8.6d
   sadāśivasya yo mārgaḥ GNP_47a	sadASivasya yaH mArgaH GNP_47a
   sadāśivasya yo mārgaḥ JñS_20.3a	sadASivasya yaH mArgaH JQH-_20.3a
   sadāśivaḥ paraṃśarva JñS_10.5c	sadASivaH paraMSarva JQH-_10.5c
   sadāśivaḥ śikhāntare JñS_12.2d	sadASivaH SiKA-antare JQH-_12.2d
   sadbhāvena parityaktam Vṛh_48a	sadBAvena parityaktam VRh_48a
   sadyaḥ rasurupaṃ śivamabhyaṃ masyāt? MJ_18d	sadyas rasuH-upam Sivam-aByam masya-at? M=-_18d
   santālaṃ caiva vaitālaṃ JñS_24.3c	santAlam ca-eva vEtAlam JQH-_24.3c
   sapadaḥ saguṇo vyāpī Vṛh_11c	sa-padaH sa-guNaH vyApI VRh_11c
   sa punar dvividho bhavet JñS_9.1b	sa punar dviviDaH Bavet JQH-_9.1b
   saptatiṃśat tu vibhāgāḥ JñS_12.26d	saptatiMSat tu viBAgAH JQH-_12.26d
   saptatīrthāḥ prakirtitāḥ JñS_24.5d	saptatIrTAH prakirtitAH JQH-_24.5d
   saptatīrthāḥ śarīreṣmin JñS_26.3a	saptatIrTAH SarIra-izmin JQH-_26.3a
   saptadvāre bhrūmadhye ca JñS_10.7b	sapta-dvAre BrU-maDye ca JQH-_10.7b
   saptadvāre mahādevaḥ JñS_10.13a	sapta-dvAre mahAdevaH JQH-_10.13a
   saptadvīpapramāṇaś ca GNP_20c	sapta-dvIpa-pramANaH ca GNP_20c
   saptadvīpapramāṇaś ca MJ_58c	sapta-dvIpa-pramANaH ca M=-_58c
   saptadvīpapramāṇaṃ ca JñS_16.11c	sapta-dvIpa-pramANam ca JQH-_16.11c
   saptadhā bhedalakṣaṇam JñS_26.9d	saptaDA Beda-lakzaNam JQH-_26.9d
   saptapātālā eva ca JñS_26.3b	sapta-pAtAlAH eva ca JQH-_26.3b
   saptalokān tu vakṣyāmi JñS_26.4c	sapta-lokAn tu vakzyAmi JQH-_26.4c
   saptaṃ ca bhedalakṣaṇam JñS_23.1b	saptam ca Beda-lakzaNam JQH-_23.1b
   saptāuṅkāramayo vahnir JñS_10.2c	sapta-auFkAra-mayaH vahniH JQH-_10.2c
   saptāumkāro hutāśanaḥ JñS_10.1b	saptAumkAraH hutASanaH JQH-_10.1b
   saptākāśam ity ucyate MJ_39d	sapta-AkASam iti ucyate M=-_39d
   saptākṣaraṃ ca siddhāntaṃ JñS_26.2a	sapta-akzaram ca sidDAntam JQH-_26.2a
   saptāṅgaṃ tu śṛṇūcyate Vṛh_62d	sapta-aFgam tu SRNUcyate VRh_62d
   saptātmā yajamānaś ca JñS_10.1a	sapta-AtmA yajamAnaH ca JQH-_10.1a
   saptāmṛtaṃ nigadyate Vṛh_64d	sapta-amRtam nigadyate VRh_64d
   saptārṇavā mahadevī JñS_26.3c	sapta-arNavA mahadevI JQH-_26.3c
   saphalaṃ tasya jīvitam JñS_27.6d	saPalam tasya jIvitam JQH-_27.6d
   samatvaṃ rajasaḥ proktaṃ Vṛh_21a	sama-tvam rajasaH proktam VRh_21a
   samākhyāhi tattvaṃ sarvaṃ Vṛh_2c	samAKyAhi tattvam sarvam VRh_2c
   sa mātā sa pitā mataḥ Vṛh_13b	sa mAtA sa pitA mataH VRh_13b
   samādhis tan nigadyate GNP_9d	samADiH tat nigadyate GNP_9d
   samādhis tu nigadyate JñS_15.7d	samADiH tu nigadyate JQH-_15.7d
   samādhis tena kathyate Vṛh_59d	samADiH tena kaTyate VRh_59d
   samānagatir gātreṣu Vṛh_43c	samAna-gatiH gAtrezu VRh_43c
   samāno nāma mārutaḥ Vṛh_43d	samAnaH nAma mArutaH VRh_43d
   samāno hṛdaye sthāpyaḥ JñS_12.19a	samAnaH hRdaye sTApyaH JQH-_12.19a
   samāno hṛdi saṃsthitaḥ Vṛh_41b	samAnaH hRdi saMsTitaH VRh_41b
   samāptā iha saṃśayāḥ MJ_86b	samAptAH iha saMSayAH M=-_86b
   sa mucyate vai janmanaḥ MJ_13d	sa mucyate vE janmanaH Mu-_13d
   samudrāḥ parikirtitāḥ JñS_24.2d	samudrAH parikirtitAH JQH-_24.2d
   samūhaṃ caikaviṃśati JñS_26.4d	samUham ca-ekaviMSati JQH-_26.4d
   sameṣṭaṃ mānuṣaṃ phalam Vṛh_22d	samezwam mAnuzam Palam VRh_22d
   sa mocakaḥ sarvaduḥkhād Vṛh_13c	sa mocakaH sarva-duHKAt VRh_13c
   samyagjñānāddhi kāmataḥ Vṛh_30a	samyak-jQAnAt-hi kAmataH VRh_30a
   samyogo puruṣo bhavet JñS_9.8d	samyogaH puruzaH Bavet JQH-_9.8d
   sa rāṣṭraṃ nagaraṃ hatvā MJ_6c	sa rAzwram nagaram hatvA M=-_6c
   sargeṣṭhanī ca malanī JñS_11.23b	sargezWanI ca malanI JQH-_11.23b
   sarpiś cekṣur apo 'param JñS_24.2b	sarpiH ca-ikzuH apaH aparam JQH-_24.2b
   sarpiḥ kṣīravad iṣyate JñS_25.1d	sarpiH kzIra-vat izyate JQH-_25.1d
   sarvakāmāñ juhoti saḥ JñS_10.1d	sarva-kAmAn juhoti saH JQH-_10.1d
   sarvagataḥ parisaṃsthitam Vṛh_10d	sarva-gataH parisaMsTitam VRh_10d
   sarvajñaḥ sarvakṛdvibhuḥ Vṛh_12d	sarvajQaH sarva-kRt-viBuH VRh_12d
   sarvataḥ pūjyate yasmān Vṛh_69c	sarvatas pUjyate yasmAn VRh_69c
   sarvabhūtadamanī ca JñS_12.5a	sarva-BUta-damanI ca JQH-_12.5a
   sarvabhogena tṛpyate Vṛh_32b	sarva-Bogena tRpyate VRh_32b
   sarvabhogeṣu tṛpyate Vṛh_29d	sarva-Bogezu tRpyate VRh_29d
   sarvamarme vyavasthitaḥ JñS_12.27b	sarva-marme vyavasTitaH JQH-_12.27b
   sarvamokṣapratijñātam Vṛh_20d	sarva-mokza-pratijQAtam VRh_20d
   sarvaviṣavināśanaṃ GNP_58a	sarva-viza-vinASanam GNP_58a
   sarvaśāstram adhiyīta JñS_27.5a	sarva-SAstram aDiyIta JQH-_27.5a
   sarvaśāstreṣu yat sāraṃ JñS_27.6a	sarva-SAstrezu yat sAram JQH-_27.6a
   sarvāṅge vimalaṃ bhūtam JñS_25.3c	sarva-aFge vimalam BUtam JQH-_25.3c
   sarvā nāḍīḥ samāhṛtya MJ_19c	sarvAH nAxIH samAhRtya M=-_19c
   sarvvadevasamanvitaḥ MJ_34d	sarvva-deva-samanvitaH M=-_34d
   sarvvabhāveṣu nityaśaḥ MJ_84b	sarvu-aBAvezu nityaSas M=-_84b
   sarvvaśvayathā nimahāt ? MJ_61c	sarvu-aSvayaTAH nimahAt ? M=-_61c
   sarvvā nāḍyo nadyaḥ smṛtāḥ MJ_11d	sarvvA nAxyaH nadyaH smRtAH M=-_11d
   sarvveṣām akṣarāṇāṃ ca MJ_66a	sarvu-ezAm akzarANAm ca M=-_66a
   sa vaktā hy upadeśānām MJ_78d	sa vaktA hi upadeSAnAm M=-_78d
   savyāpāraḥ śivaḥ sūryaḥ Vṛh_11a	sa-vyApAraH SivaH sUryaH VRh_11a
   sa sadyodṛṣṭa maheśvaraḥ MJ_73d	sa sadyodRzwa maheSvaraH M=-_73d
   sahasranāvasahāyaḥ MJ_73b	sahasra-nAva-sahAyaH M=-_73b
   saṃkalpo boddhavyaṃ tathā Vṛh_64c	saMkalpaH bodDavyam taTA VRh_64c
   saṃkālasaṃkhyam uttamam MJ_27b	saMkAla-saMKyam uttamam M=-_27b
   saṃkāsya yuddhe grahaṇāya nāmya JñS_22.1c	saMkAsya yudDe grahaNAya nAmya JQH-_22.1c
   saṃbhandhaṃ bhedalakṣaṇam JñS_26.10b	saMBanDam Beda-lakzaNam JQH-_26.10b
   saṃvartaḥ pittake sthitaḥ JñS_25.10d	saMvartaH pittake sTitaH JQH-_25.10d
   saṃsāraś ca carācaraḥ MJ_27d	saMsAraH ca carAcaraH M=-_27d
   saṃsārasāgare ghore MJ_64a	saMsAra-sAgare Gore M=-_64a
   saṃsārasāgare ghore MJ_74a	saMsAra-sAgare Gore M=-_74a
   saṃsthito 'pi dhanañjayaḥ JñS_12.29b	saMsTitaH api DanaQjayaH JQH-_12.29b
   saḥ pravartātmakaś caiva JñS_12.10c	saH pravarta-AtmakaH ca-eva JQH-_12.10c
   sācāraśatruḥ bhavatā ca tuṣṇim JñS_22.3c	sa-AcAra-SatruH BavatA ca tuzNim JQH-_22.3c
   sādhu sādhu mahāsattva Vṛh_3a	sADu sADu mahA-sattvaH VRh_3a
   sāmānyaṃ triṣu vijñeyaṃ Vṛh_28c	sAmAnyam trizu vijQeyam VRh_28c
   sārddhāṅgulis tribhuvane maṇḍalamadhyasāraḥ MJ_17a	sArdDA-aFguliH triBuvane maNxala-maDya-sAraH M=-_17a
   sāhasitvaṃ pracaṇḍatā Vṛh_18b	sAhasi-tvam pracaNxa-tA VRh_18b
   siddhayo 'ṣṭa prakīrtitāḥ Vṛh_33d	sidDayaH azwa prakIrtitAH VRh_33d
   siddhānta iti krameṇa JñS_23.1a	sidDAnte iti krameNa JQH-_23.1a
   siddhāntaṃ jñānam uttamam JñS_27.6b	sidDAntam jQAnam uttamam JQH-_27.6b
   siddhāntaṃ paramaṃ guhyaṃ JñS_26.1a	sidDAntam paramam guhyam JQH-_26.1a
   siddhāṃ tu paramaṃ gūhyaṃ JñS_23.2a	sidDAm tu paramam gUhyam JQH-_23.2a
   sinā jñānatrayaṃ jāgrat GNP_46a	sinA jQAna-trayam jAgrat GNP_46a
   sīghragācalā śaśāṅkā JñS_11.10a	sIGragAcalA SaSAFkAH JQH-_11.10a
   sukṣmetre mama vasatir MJ_4c	sukzmetre mama vasatiH M=-_4c
   sukhaṃ devaśarīratvaṃ GNP_41a	suKam deva-SarIra-tvam GNP_41a
   sukhaṃ devaśarīratvaṃ JñS_19.2a	suKam deva-SarIra-tvam JQH-_19.2a
   sukhe dehe virāgitā Vṛh_27b	suKe dehe virAgi-tA VRh_27b
   suṅkārākṣaravinduṣṭho JñS_12.22a	suFkAra-akzara-vinduzWaH JQH-_12.22a
   sutālaṃ buddhir eva ca JñS_24.7d	sutAlam budDiH eva ca JQH-_24.7d
   sudīptābhīmakālikā JñS_11.9b	su-dIptA-BImakAlikA JQH-_11.9b
   sudhumrāpiṅgalā caiva JñS_11.9c	suDumrA-piFgalA ca-eva JQH-_11.9c
   sunādi sandhakayaka Vṛh_22b	sunAdi sanDakayaka VRh_22b
   suptavat sukham āpnuyāt Vṛh_31b	supta-vat suKam ApnuyAt VRh_31b
   surā mūtrasamudraś ca JñS_24.7a	surA mUtra-samudraH ca JQH-_24.7a
   suśabdā vāhanī voḍhrī JñS_11.15c	su-SabdA vAhanI voXrI JQH-_11.15c
   suṣuptabhuk tite artho JñS_10.12c	suzupta-Buj tite arTaH JQH-_10.12c
   suṣuptasthānam ucyate MJ_35b	suzupta-sTAnam ucyate M=-_35b
   suṣuptasya devatokto MJ_51a	suzuptasya devatA-uktaH M=-_51a
   suṣuptaṃ candrasaṃkāśaṃ MJ_44c	suzuptam candra-saMkASam M=-_44c
   suṣuptaṃ padam eva ca MJ_39b	suzuptam padam eva ca M=-_39b
   suṣuptaṃ padaṃ rudrasya MJ_46c	suzuptam padam rudrasya M=-_46c
   suṣuptaṃ sthāna eva ca MJ_31d	suzuptam sTAnaH eva ca M=-_31d
   suṣuptājñānanā tathā JñS_11.10b	suzupta-ajQAnanA taTA JQH-_11.10b
   suṣumnā ca tato bhavet Vṛh_37b	suzumnA ca tatas Bavet VRh_37b
   susūkṣmo vai yathā dehaḥ Vṛh_67a	su-sUkzmaH vE yaTA dehaH VRh_67a
   sūkṣmacittanirbhūtaś ca JñS_16.13c	sUkzma-citta-nirBUtaH ca JQH-_16.13c
   sūkṣmacitte vibhutvaṃ ca GNP_22c	sUkzma-citte viBu-tvam ca GNP_22c
   sūkṣmajñānabhāvasthitam MJ_75b	sUkzma-jQAna-BAva-sTitam M=-_75b
   sūkṣmañcānupalabhyatvād Vṛh_9a	sUkzmaQca-anupalaBya-tvAt VRh_9a
   sūkṣmatanuḥ prakīrttitā MJ_42	sUkzma-tanuH prakIrttitAH M=-_42
   sūkṣmatamaḥ paraṃ tathā JñS_9.6b	sUkzmatamaH param taTA JQH-_9.6b
   sūkṣmatvaṃ ca vibhutvaṃ ca ? MJ_60c	sUkzma-tvam ca viBu-tvam ca ? M=-_60c
   sūkṣmam unneyaṃ yatnataḥ Vṛh_6d	sUkzmam unneyam yatnatas VRh_6d
   sūkṣmasūkṣmataraḥ śarvaḥ JñS_9.6a	sUkzma-sUkzmataraH SarvaH JQH-_9.6a
   sūkṣmaṃ cittamayaṃ bhavet JñS_8.3b	sUkzmam citta-mayam Bavet JQH-_8.3b
   sūkṣmaṃ sakalaniṣkalam JñS_3.3b	sUkzmam sakala-nizkalam JQH-_3.3b
   sūkṣmaṃ sakalaniṣkalaṃ GNP_53b	sUkzmam sakala-nizkalam GNP_53b
   sūkṣmaṃ sarvagataṃ nityaṃ Vṛh_7c	sUkzmam sarva-gatam nityam VRh_7c
   sūkṣmānantāpi durgrāhyaṃ JñS_8.6a	sUkzma-anantA-api durgrAhyam JQH-_8.6a
   sūrasvādukalāḥ saptāḥ JñS_24.2c	sUra-svAdu-kalAH saptAH JQH-_24.2c
   sūryyakoṭisahasrāṃśu MJ_62a	sUryya-kowi-sahasrAMSu M=-_62a
   sṛṣṭāḥ devatā dehaś ca JñS_9.5a	sRzwAH devatAH dehaH ca JQH-_9.5a
   sṛṣṭiḥ paramaśarvena JñS_9.3a	sRzwiH parama-Sarvena JQH-_9.3a
   so 'pi padmānte saṃsthitaḥ JñS_12.3b	saH api padma-ante saMsTitaH JQH-_12.3b
   saudāmanīsamaprabhaḥ JñS_12.20b	sOdAmanI-sama-praBaH JQH-_12.20b
   saumyabhāvaṃ tathaiva ca Vṛh_10b	sOmya-BAvam taTA-eva ca VRh_10b
   sauṣuptaṃ timirondhakāragahanañ cāvyaktam ātyantikaṃ Vṛh_47a	sOzuptam timira-unDakAra-gahanan ca-avyaktam Atyantikam VRh_47a
   skandho rātriś ca vijñeyaś MJ_13a	skanDaH rAtriH ca vijQeyaH M=-_13a
   sthānaṃ sasya pratiṣṭhati MJ_61d	sTAnam sasya pratizWati M=-_61d
   sthānānyatha catvāri MJ_71a	sTAnAni-aTa catvAri M=-_71a
   sthānāny etāni yathā brāhmyaṃ vyatiṣṭhitam JñS_7.1cd	sTAnAni etAni yaTA brAhmyam vyatizWitam JQH-_7.1cd
   sthāne pramāṇa ucyate MJ_32d	sTAne pramANaH ucyate M=-_32d
   sthāpayec ca vaṣatkāraṃ JñS_25.20c	sTApayet ca vazatkAram JQH-_25.20c
   sthāvaraṃ śīghram āyantaṃ Vṛh_24c	sTAvaram SIGram Ayantam VRh_24c
   sthitikālaḥ sa ucyate JñS_9.7d	sTiti-kAlaH saH ucyate JQH-_9.7d
   sthitimantram idaṃ sarvaṃ GNP_38c	sTiti-mantram idam sarvam GNP_38c
   sthitimantram idaṃ sarvaṃ JñS_18.11c	sTiti-mantram idam sarvam JQH-_18.11c
   sthitir iti smṛtaḥ JñS_26.15d	sTitiH iti smRtaH JQH-_26.15d
   sthitir eva nigadyate JñS_18.2d	sTitiH eva nigadyate JQH-_18.2d
   sthitir eva prakīrtitaḥ JñS_26.15b	sTitiH eva prakIrtitaH JQH-_26.15b
   sthitir evaṃ nigadyate GNP_29d	sTitiH evam nigadyate GNP_29d
   sthūlas tu sakalo jñeyaḥ JñS_9.5c	sTUlaH tu sakalaH jQeyaH JQH-_9.5c
   sthūlaṃ jāgarakaṃ vibhinnaracitaṃ pratyakṣato dṛśyate Vṛh_46bis_a	sTUlam jAgarakam viBinna-racitam pratyakzatas dRSyate VRh_46biH-_a
   sthūlaṃ tyaktvā yathecchayā Vṛh_67b	sTUlam tyaktvA yaTA-icCayA VRh_67b
   sthūlaṃ śabdamayaṃ proktaṃ JñS_8.3a	sTUlam Sabda-mayam proktam JQH-_8.3a
   sthūlaṃ sakalatattvam ca JñS_3.3a	sTUlam sakala-tattvam ca JQH-_3.3a
   sthūlaṃ sūkṣmaṃ param śūnyaṃ JñS_12.1a	sTUlam sUkzmam param SUnyam JQH-_12.1a
   sphaṭikabho maheśvaraḥ JñS_16.10b	sPawika-BaH maheSvaraH JQH-_16.10b
   sphaṭikābhaṃ maheśvaram MJ_57b	sPawika-ABam maheSvaram M=-_57b
   sphaṭikābho maheśvaraḥ GNP_19b	sPawika-ABaH maheSvaraH GNP_19b
   svapnabhoktā jagadrakṣa JñS_10.11c	svapna-BoktA jagadrakza JQH-_10.11c
   svapnaś ca ravisannibhaḥ MJ_44b	svapnaH ca ravi-sanniBaH M=-_44b
   svapnasya devatācyuto MJ_50a	svapnasya devatA-cyutaH M=-_50a
   svapna hṛdaya ucyate MJ_41b	svapna hRdayaH ucyate M=-_41b
   svapnaḥ phenataraṅgabudbudanibho māyopamaś cañcalaḥ Vṛh_46bis_b	svapnaH Pena-taraFga-budbuda-niBaH mAyA-upamaH caQcalaH VRh_46biH-_b
   svapno viṣṇupadaṃ tathā MJ_46b	svapnaH vizNu-padam taTA M=-_46b
   svayam eva karoti yaḥ GNP_11b	svayam eva karoti yaH GNP_11b
   svayam eva karoti yaḥ JñS_16.2b	svayam eva karoti yaH JQH-_16.2b
   svayam eva karoti yaḥ MJ_21b	svayam eva karoti yaH M=-_21b
   svayam eva ca pūjitam GNP_12b	svayam eva ca pUjitam GNP_12b
   svayaṃ niṣkramate devaḥ JñS_25.6a	svayam nizkramate devaH JQH-_25.6a
   svargabhikṣur vicakṣaṇaḥ Vṛh_50d	svarga-BikzuH vicakzaNaH VRh_50d
   svargaṃ dharmeṇa gamanaṃ Vṛh_29a	svargam DarmeNa gamanam VRh_29a
   svarṇaliṅgasahasrāṇi GNP_14a	svarNa-liFga-sahasrANi GNP_14a
   svarṇaliṅgasahasrāṇi JñS_16.5a	svarNa-liFga-sahasrANi JQH-_16.5a
   svarlokaś ca tathaiva ca JñS_26.5b	svarlokaH ca taTA-eva ca JQH-_26.5b
   svarlokaś ca hy upasthe JñS_26.6c	svarlokaH ca hi upasTe JQH-_26.6c
   svaliṅgam iti cocyate JñS_16.3b	sva-liFgam iti ca-ucyate JQH-_16.3b
   svaliṅgam iti codyate MJ_22b	sva-liFgam iti codyate M=-_22b
   svaliṅgaṃ paraliṅgaṃ vā GNP_11a	sva-liFgam para-liFgam vA GNP_11a
   svaliṅgaṃ paraliṅgaṃ vā JñS_16.2a	sva-liFgam para-liFgam vA JQH-_16.2a
   svaliṅgaṃ paraliṅgaṃ vā MJ_21a	sva-liFgam para-liFgam vA M=-_21a
   svaliṅgaṃ pūrvam utpannaṃ GNP_12c	sva-liFgam pUrvam utpannam GNP_12c
   svaliṅgaṃ pūrvam utpannaṃ JñS_16.3c	sva-liFgam pUrvam utpannam JQH-_16.3c
   svaliṅgaṃ pūrvvam utpannaṃ MJ_22c	sva-liFgam pUrvvam utpannam M=-_22c
   svaliṅgaṃ procyate budhaiḥ JñS_16.3d	sva-liFgam procyate buDEH JQH-_16.3d
   svaliṅgaṃ līyate dvijaḥ GNP_11d	sva-liFgam lIyate dvijaH GNP_11d
   svaliṅgaṃ līyate dvijaḥ JñS_16.2d	sva-liFgam lIyate dvijaH JQH-_16.2d
   svaliṅge līyate dvijaḥ MJ_21d	sva-liFge lIyate dvijaH M=-_21d
   svaṃ śarīraṃ manaḥ puṣpaṃ MJ_11a	svam SarIram manaH puzpam M=-_11a
   svādu jīhvāsamudrakaḥ JñS_24.7b	svAdu jIhvA-samudrakaH JQH-_24.7b
   svecchayā laghimā tathā Vṛh_68d	sva-icCayA laGimA taTA VRh_68d
   haro gārhaspatir mukham JñS_25.9a	haraH gArhaspatiH muKam JQH-_25.9a
   havyaṃ bhojantu sarvadā JñS_10.2d	havyam Bojantu sarvadA JQH-_10.2d
   haṃsarūpaṃ nirācāraṃ JñS_23.3c	haMsa-rUpam nirAcAram JQH-_23.3c
   hṛdayapade nyastaṃ hi GNP_24c	hRdaya-pade nyastam hi GNP_24c
   hṛdayasthaṃ sadāśivaṃ GNP_23a	hRdaya-sTam sadASivam GNP_23a
   hṛdayaṃ kṣetram ucyate MJ_5d	hRdayam kzetram ucyate M=-_5d
   hṛdayaṃ vimalaṃ śubham MJ_62b	hRdayam vimalam SuBam M=-_62b
   hṛdayādikaṇṭhānte JñS_11.12c	hRdaya-Adi-kaNWa-ante JQH-_11.12c
   hṛdayāntapadanyastaṃ JñS_16.15c	hRdaya-anta-pada-nyastam JQH-_16.15c
   hṛdayāntaṃ guhyālayaṃ JñS_16.14b	hRdaya-antam guhya-Alayam JQH-_16.14b
   hṛdayānte guhyālayam GNP_23b	hRdaya-ante guhya-Alayam GNP_23b
   hṛdayānte padaṃ śūnyaṃ MJ_62c	hRdaya-ante padam SUnyam M=-_62c
   hṛdayānte suṣuptaṃ ca MJ_41c	hRdaya-ante suzuptam ca M=-_41c
   hṛdaye padmakoṣaś ca MJ_61a	hRdaye padma-kozaH ca M=-_61a
   hṛdaye ravisannibham MJ_36b	hRdaye ravi-sanniBam M=-_36b
   hṛdaye lakṣayet tathā MJ_75c	hRdaye lakzayet taTA M=-_75c
   hṛdaye sūkṣmabhūtaś ca JñS_16.13a	hRdaye sUkzma-BUtaH ca JQH-_16.13a
   hṛdaye sūkṣmabhūtaṃ ca GNP_22a	hRdaye sUkzma-BUtam ca GNP_22a
   hṛdaye sūkṣmabhūtaṃ ca MJ_60a	hRdaye sUkzma-BUtam ca M=-_60a
   hṛdaye sthāpayed devaṃ JñS_16.14a	hRdaye sTApayet devam JQH-_16.14a
   hṛdi devo maheśvaraḥ JñS_25.7b	hRdi devaH maheSvaraH JQH-_25.7b
   hṛdi mūle kaṇṭhe matam MJ_19b	hRdi mUle kaNWe matam Mt-_19b
   hṛdim dharaṇakṛtyañ ca ? MJ_63a	hRdim DaraNa-kRtyan ca ? M=-_63a
