   praśnopaniṣad	praSna-upanizad
   sāmarthyātpralaye 'pi tasminnevākṣare sampratiṣṭhate jagattata evotpadyata	sAmarTyAt-pralaye api tasmin=-eva-akzare sampratizWate jagat-tatas eva-utpadyata
   iti siddhaṃ bhavati /	iti sidDam Bavati /
   na hyakāraṇe kāryasya sampratiṣṭhānamupapadyate /	na hi-akAraNe kAryasya sampratizWAnam-upapadyate /
   uktaṃ ca ātmana eṣa prāṇo jāyate'iti /	uktam ca AtmanaH eza prANaH jAyate-aiti /
   jagataśca yanmūlaṃ tatparijñānātparaṃ śreya iti sarvopaniṣadāṃ	jagataH-ca yat-mUlam tad-parijQAnAt-param SreyaH iti sarva-upanizadAm
   niścitor'thaḥ /	niScitor-aTaH /
   anantaraṃ coktaṃ 'sa sarvajñaḥ sarvo bhavati'iti vaktavyaṃ ca kva tarhi	anantaram ca-uktam asa sarvajQaH sarvaH Bavati-aiti vaktavyam ca kva tarhi
   tadakṣaraṃ satyaṃ puruṣākhyaṃ vijñeyamiti tadarthoyaṃ praśna ārabhyate /	tat-akzaram satyam puruza-AKyam vijQeyam-iti tad-arToyam praSne AraByate /
   vṛttānvākhyānaṃ ca vijñānasya durlabhatvakhyāpanena tallabdhyarthaṃ	vRttAn-vA-AKyAnam ca vijQAnasya durlaBa-tva-KyApanena tat-labDi-arTam
   mumukṣaṇāṃ yatnaviśeṣopādānārtham /	mumukzaNAm yatna-viSeza-upAdAna-arTam /
   he bhagavan hiraṇyanābho nāmataḥ kosalāyāṃ bhavaḥ kausalyo rājaputro	he Bagavan hiraNyanABaH nAmataH kosalAyAm BavaH kOsalyaH rAja-putraH-
   jātitaḥ kṣatriyo mām upetyopagamyaitamucyamānaṃ praśnamapṛcchata /	jAtitaH kzatriyaH mAm upetya-upagamya-etam-ucyamAnam praSnam-apRcCata /
   ṣoḍaśakalaṃ ṣoḍaśasaṃkhyākāḥ kalā avayavā iva ātmanyavidyādhyāropitarūpā	zoxaSa-kalam zoxaSa-saMKyAkAH kalAH avayavAH iva Atmani-avidyA-aDyAropita-rUpA
   yasmin puruṣe so 'yaṃ ṣoḍaśakalastaṃ ṣoḍaśakalaṃ he bhāradvāja puruṣaṃ	yasmin puruze saH ayam zoxaSa-kalaH-tam zoxaSa-kalam he BAradvAja puruzam
   vettha vijānāsi /	vetTa vijAnAsi /
   tamahaṃ rājaputraṃ kumāraṃ pṛṣṭavantamabruvamuktavānasmi nāhamimaṃ veda	tam-aham rAja-putram kumAram pRzwavantam-abruvam-uktavAn-asmi na-aham-imam veda
   yaṃ tvaṃ pṛcchasīti /	yam tvam pRcCasi-iti /
   evamuktavatyapi mayyajñānamasaṃbhāvayantaṃ tamajñāne kāraṇamavādiṣam /	evam-uktavatI-api mayi-ajQAnam-asaMBAvayantam tam-ajQAne kAraNam-avAdizam /
   yadi kathañcidahamimaṃ tvayā pṛṣṭaṃ puruṣamavediṣaṃ viditavānasmi	yadi kaTaQcid-aham-imam tvayA pRzwam puruzam-avedizam viditavAn-asmi
   kathamatyantaśiṣyaguṇavate 'rthine te tubhyaṃ nāvakṣyaṃ noktavānasmi na	kaTam-atyanta-Sizya-guNavate arTine te tuByam na-avakzyam na-uktavAn-asmi na
   brūyāmityarthaḥ /	brUyAm-iti-arTaH /
   bhūyo 'pyapratyayamivālakṣya pratyāyayitumabravam /	BUyas api-apratyayam-iva-Alakzya pratyAyayitum-abravam /
   samūlaḥ saha mūlena vā eṣo 'nyathā santamātmānamanyathā	sa-mUlaH saha mUlena vE ezaH anyaTA santam-AtmAnam-anyaTA
   kurvannanṛtamayathābhūtārthamabhivadati yaḥ sa pariśuṣyati	kurvan=-anRtam-ayaTABUta-arTam-aBivadati yaH sa pariSuzyati
   śoṣamupaitīhalokaparalokābhyāṃ vicchidyate vinaśyati /	Sozam-upEti-iha-loka-para-lokAByAm vicCidyate vinaSyati /
   yata evaṃ jāne tasmānnārhābhyahamanṛtaṃ vaktuṃ mūḍhavat /	yatas evam jAne tasmAt-na-arha-aByaham-anRtam vaktum mUXa-vat /
   sa rājaputra evaṃ pratyāyita tūṣṇīṃ vrīḍito rathamāruhya pravavrāja	sa rAja-putraH evam pratyAyita tUzNIm vrIxitaH raTam-Aruhya pravavrAja
   pragatavān yathāgatameva /	pragatavAn yaTAgatam-eva /
   ato nyāyata upasannāya yogyāya jānatā vidyā vaktavyaivānṛtaṃ ca na	atas nyAyate upasannAya yogyAya jAnatA vidyA vaktavyA-eva-anRtam ca na
   vaktavyaṃ sarvāsvapyavasthāsu ityetatsiddhaṃ bhavati /	vaktavyam sarvAsu-api-avasTAsu iti-etat-sidDam Bavati /
   taṃ puruṣaṃ tvā tvāṃ pṛcchāmi mama hṛdi vijñeyatvena śalyamiva sthitaṃ	tam puruzam tvA tvAm pRcCAmi mama hRdi vijQeya-tvena Salyam-iva sTitam
   kvāsau vartate vijñeyaḥ puruṣa iti //1//	kva-asO vartate vijQeyaH puruzaH iti //1//
   START PrUp 6.2	START PrUp 6.2
   tasmai sa hovāca |	tasmE sa ha-uvAca |
   ihaivāntaḥ śarīre somya sa puruṣo yasminn etāḥ ṣoḍaśa kalāḥ prabhavantīti	iha-eva-antar SarIre somya sa puruzaH yasmin etAH zoxaSa kalAH praBavanti-iti
   || PrUp_6.2 ||	|| PrUp_6.2 ||
   PrUpBh_6.2	PrUpB=-_6.2
   tasmai sa hovāca /	tasmE sa ha-uvAca /
   ihaivāntaḥśarīre hṛdayapuṇḍarīkākāśamadhye he somya sa puruṣo na deśāntare	iha-eva-antar-SarIre hRdaya-puNxarIka-AkASa-maDye he somya sa puruzaH na deSa-antare
   vijñeyo yasminnetā ucyamānāḥ ṣoḍaśa kalāḥ prāṇādyāḥ prabhavanti utpadyanta	vijQeyaH yasmin=-etAH ucyamAnAH zoxaSa kalAH prANa-AdyAH praBavanti utpadyanta
   iti ṣoḍaśakalābhiḥ upādhibhūtābhiḥ sakala iva niṣkalaḥ puruṣo lakṣyate	iti zoxaSa-kalABiH upADiBUtABiH sakalaH iva nizkalaH puruzaH lakzyate
   'vidyayeti tadupādhikalādhyāropāpanayena vidyayā sa puruṣaḥ kevalo	avidyayA-iti tad-upADi-kalA-aDya-Aropa-apanayena vidyayA sa puruzaH kevalaH-
   darśayitavya iti kalānāṃ tatprabhavatvamucyate /	darSayitavyaH iti kalAnAm tad-praBava-tvam-ucyate /
   prāṇādīnāmatyantanirviśeṣe hyadvaye śuddhe tattve na śakyo	prANa-AdInAm-atyanta-nirviSeze hi-advaye SudDe tattve na SakyaH-
   'dhyāropamantareṇa pratipādyapratipādanādivyavahāraḥ kartumiti kalānāṃ	aDyAropam-antareNa pratipAdya-pratipAdana-Adi-vyavahAraH kartum-iti kalAnAm
   prabhavasthityapyayā āropyante avidyāviṣayāḥ /	praBava-sTiti-apyayAH Aropyante avidyA-vizayAH /
   caitanyāvyatirekeṇaiva hi kalā jāyamānāḥ tiṣṭhantyaḥ pralīyamānāśca	cEtanya-avyatirekeNa-eva hi kalAH jAyamAnAH tizWantyaH pralIyamAnAH-ca
   sarvadā lakṣyante /	sarvadA lakzyante /
   ata eva bhrāntāḥ kecid agnisaṃyogād ghṛtamiva ghaṭādyākāreṇa caitanyam eva	atas eva BrAntAH kecid agni-saMyogAt GRtam-iva Gawa-Adi-AkAreNa cEtanyam eva
   pratikṣaṇaṃ jāyate naśyatīti /	pratikzaNam jAyate naSyati-iti /
   tannirodhe śūnyamiva sarvamityapare /	tad-niroDe SUnyam-iva sarvam-iti-apare /
   ghaṭādiviṣayaṃ caitanyaṃ cetayiturnityasyātmano 'nityaṃ jāyate	Gawa-Adi-vizayam cEtanyam cetayituH-nityasya-AtmanaH anityam jAyate
   vinaśyatītyapare /	vinaSyati-iti-apare /
   caitanyaṃ bhūtadharma iti laukayatikāḥ /	cEtanyam BUta-DarmaH iti lOkayatikAH /
   anapāyopajanadharmakacaitanyamātmā eva nāmarūpādyupādhidharmaiḥ	anapAya-upajana-Darmaka-cEtanyam-AtmA eva nAma-rUpa-Adi-upADi-DarmEH
   pratyavabhāsate "satyaṃ jñānamanantaṃ brahma"(tai.u.2 / 1 / 1) "prajñānaṃ	pratyavaBAsate "satyam jQAnam-anantam brahma-"(tE.u.2 / 1 / 1) "prajQAnam
   brahma"(ai.u.5 / 3) "vijñānamānandaṃ brahma"(bṛ.u.3 / 9 / 28)	brahma-"(E.u.5 / 3) "vijQAnam-Anandam brahma-"(bR.u.3 / 9 / 28)
   "vijñānaghana eva"(bṛ.u.2 / 4 / 12) ityādi śrutibhyaḥ /	"vijQAna-GanaH eva-"(bR.u.2 / 4 / 12) ityAdi SrutiByaH /
   svarūpavyabhicāriṣu padārtheṣu caitanyasyāvyabhicārādyathā yathā yo yaḥ	svarUpa-vyaBicArizu padArTezu cEtanyasya-avyaBicArAt-yaTA yaTA yaH yaH
   padārtho vijñāyate tathā tathā jñāyamānatvādeva tasya tasya	padArTaH vijQAyate taTA taTA jQAyamAna-tvAt-eva tasya tasya
   caitanyasyāvyabhicāritvam /	cEtanyasya-avyaBicAri-tvam /
   vastutattvaṃ bhavati kiñcit na jñāyata iti cānupapannam rūpaṃ ca dṛśyate	vastu-tattvam Bavati kiQcid na jQAyate iti ca-anupapannam rUpam ca dRSyate
   na cāsti cakṣuriti yathā /	na ca-asti cakzuH-iti yaTA /
   vyabhicarati tu jñeyam na jñānaṃ vyabhicarati kadācidapi jñeyam,	vyaBicarati tu jQeyam na jQAnam vyaBicarati kadAcid-api jQeyam,
   jñeyābhāve 'pi jñeyāntare bhāvājjñānasya /	jQeya-aBAve api jQeya-antare BAvAt-jQAnasya /
   na hi jñāne 'sati jñeyaṃ nāma bhavati kasyacit suṣupte 'darśanāt /	na hi jQAne asati jQeyam nAma Bavati kasyacid suzupte adarSanAt /
   jñānasyāpi suṣupte 'bhāvājjñeyavajjñānasvarūpasya vyabhicāra iti cet /	jQAnasya-api suzupte aBAvAt-jQeya-vat-jQAna-svarUpasya vyaBicAraH iti ced /
   na jñeyāvabhāsakasya jñānasyālokavajjñeyābhivyañjakatvātsvavyaṅgyābhāva	na jQeya-avaBAsakasya jQAnasya-Aloka-vat-jQeya-aBivyaQjaka-tvAt-su-avyaFgya-aBAva
   ālokābhāvānupapattivatsuṣupte vijñānabhāvānupapatteḥ /	Aloka-aBAva-anupapatti-vat-suzupte vijQAna-BAva-anupapatteH /
   na hyandhakāre cakṣuṣā rūpānupalabdhau cakṣuṣo 'bhāvaḥ śakyaḥ kalpayituṃ	na hi-anDakAre cakzuzA rUpa-anupalabDO cakzuzaH aBAvaH SakyaH kalpayitum
   vaināśikena /	vEnASikena /
   vaināśiko jñeyābhāve jñānābhāvaṃ kalpayatyeveti cet /	vEnASikaH jQeya-aBAve jQAna-aBAvam kalpayati-eva-iti ced /
   yena tadabhāvaṃ kalpayettasyābhāvaḥ kena kalpyata iti vaktavyaṃ	yena tad-aBAvam kalpayet-tasya-aBAvaH kena kalpyate iti vaktavyam
   vaināśikena, tadabhāvasyāpi jñeyatvājjñānābhāve tadanupapatteḥ /	vEnASikena, tad-aBAvasya-api jQeya-tvAt-jQAna-aBAve tad-anupapatteH /
   jñānasya jñeyāvyatiriktatvājjñeyābhāve jñānābhāva iti cet /	jQAnasya jQeya-avyatirikta-tvAt-jQeya-aBAve jQAna-aBAvaH iti ced /
   na abhāvasyāpi jñeyatvābhyupagamādabhāvo 'pi jñeyobhyupagamyate	na aBAvasya-api jQeya-tva-aByupagamAt-aBAvaH api jQeya-uByupagamyate
   vaināśikairnityaśca tadavyatiriktaṃ cejjñānaṃ nityaṃ kalpitaṃ	vEnASikEH-nityaH-ca tat-avyatiriktam ced-jQAnam nityam kalpitam
   syāttadabhāvasya ca jñānātmakatvādabhāvatvaṃ vāṅmātrameva na paramārthato	syAt-tad-aBAvasya ca jQAna-Atmaka-tvAt-aBAva-tvam vAc-mAtram-eva na paramArTa-taH-
   'bhāvatvamanityatvaṃ ca jñānasya /	aBAva-tvam-anitya-tvam ca jQAnasya /
   na ca nityasya jñānasyābhāvanāmamātrādhyārope kiñcinnaśchinnam /	na ca nityasya jQAnasya-aBAva-nAm-a-mAtra-aDyArope kiQcid-naH-Cinnam /
   athābhāvo jñeyo 'pi san jñānavyatirikta iti cet /	aTa-aBAvaH jQeyaH api san jQAna-vyatiriktaH iti ced /
   na tarhi jñeyābhāve jñānābhāvaḥ /	na tarhi jQeya-aBAve jQAna-aBAvaH /
   jñeyaṃ jñānavyatiriktaṃ na tu jñānaṃ jñeyavyatiriktamiti cet /	jQeyam jQAna-vyatiriktam na tu jQAnam jQeya-vyatiriktam-iti ced /
   na śabdamātratvādviśeṣānupapatteḥ /	na Sabda-mAtra-tvAt-viSeza-anupapatteH /
   jñeyajñānayorekatvaṃ cedabhyupagamyate jñeyaṃ jñānavyatiriktaṃ jñānaṃ	jQeya-jQAnayoH-ekatvam ced-aByupagamyate jQeyam jQAna-vyatiriktam jQAnam
   jñeyavyatiriktaṃ neti tu śabdamātrametadvahniragnivyatiriktaḥ agnirna	jQeya-vyatiriktam na-iti tu Sabda-mAtram-etat-vahniH-agni-vyatiriktaH agniH-na
   vahnivyatirikta iti yadvadabhyupagamyate /	vahni-vyatiriktaH iti yadvat-aByupagamyate /
   jñeyavyatireke tu jñānasya jñeyābhāve jñānābhāvānupapattiḥ siddhā /	jQeya-vyatireke tu jQAnasya jQeya-aBAve jQAna-aBAva-anupapattiH sidDAH /
   jñeyābhāve 'darśanādabhāvo jñānasyeti cet /	jQeya-aBAve adarSanAt-aBAvaH jQAnasya-iti ced /
   na, suṣupte jñaptyabhyupagamāt /	na, suzupte jQapti-aByupagamAt /
   vaināśikairabhyupagamyate hi suṣupte 'pi jñānāstitvam /	vEnASikEH-aByupagamyate hi suzupte api jQAna-astitvam /
   tatrāpi jñeyatvamabhyupagamyate jñānasya svenaiveti cet /	tatra-api jQeya-tvam-aByupagamyate jQAnasya svena-eva-iti ced /
   na, bhedasya siddhatvāt /	na, Bedasya sidDa-tvAt /
   siddhaṃ hyabhāvavijñeyaviṣayasya jñānasya	sidDam hi-aBAva-vijQeya-vizayasya jQAnasya
   abhāvajñeyavyatirekājjñeyajñānayoḥ anyatvam /	aBAva-jQeya-vyatirekAt-jQeya-jQAnayoH anya-tvam /
   na hi tatsiddhaṃ mṛtamivojjīvayituṃ punaranyathā kartuṃ śakyate	na hi tat-sidDam mRtam-iva-ujjIvayitum punar-anyaTA kartum Sakyate
   vaināśikaśatairapi /	vEnASika-SatEH-api /
   jñānasya jñeyatvameveti tadapyanyena tadapyanyeneti tvatpakṣe 'tiprasaṅga	jQAnasya jQeya-tvam-eva-iti tat-api-anyena tat-api-anyena-iti tvad-pakze ati-prasaFga
   iti cet /	iti ced /
   na, tadvibhāgopapatteḥ sarvastha /	na, tad-viBAga-upapatteH sarva-sTa /
   yadā hi sarvaṃ jñeyaṃ kasyacittadā tadvyatiriktaṃ jñānaṃ jñānameveti	yadA hi sarvam jQeyam kasyacid-tadA tad-vyatiriktam jQAnam jQAnam-eva-iti
   dvitīyo vibhāga evābhyupagamyate 'vaināśikerna tṛtīyastadviṣaya	dvitIyaH viBAgaH eva-aByupagamyate avEnASikeH-na tRtIyaH-tad-vizaya
   ityanavasthānupapattiḥ /	iti-anavasTA-anupapattiH /
   jñānasya svenaivāvijñeyatve sarvajñatvahāniriti cet /	jQAnasya svena-eva-avijQeya-tve sarvajQa-tva-hAniH-iti ced /
   so 'pi doṣastasyaivāstu kiṃ tannibarhaṇenāsmākam /	saH api dozaH-tasya-eva-astu kim tad-nibarhaNena-asmAkam /
   anavasthādoṣaśca jñānasya jñeyatvābhyupagamāt /	anavasTA-dozaH-ca jQAnasya jQeya-tva-aByupagamAt /
   avaśyaṃ ca vaināśikānāṃ jñānaṃ jñeyam /	avaSyam ca vEnASikAnAm jQAnam jQeyam /
   svātmanā cāvijñeyatvenānavasthānivāryā.	sva-AtmanA ca-avijQeya-tvena-anavasTA-nivAryA.
   samāna evāyaṃ doṣa iti cet /	samAnaH eva-ayam dozaH iti ced /
   na, jñānasyaikatvopapatteḥ /	na, jQAnasya-ekatva-upapatteH /
   sarvadeśakālapuruṣādyavasthamekameva jñānaṃ nāmarūpādyanekopādhibhedāt	sarva-deSa-kAla-puruza-Adi-avasTam-ekam-eva jQAnam nAma-rUpa-Adi-aneka-upADi-BedAt-
   savitrādijalādipratibimbavad anekadhāvabhāsata iti nāsau doṣaḥ /	savitrAdi-jala-Adi-pratibimba-vat anekaDA-ava-BAsate iti na-asO dozaH /
   tathā cehedamucyate /	taTA ca-iha-idam-ucyate /
   nanu śruterihaivāntaḥśarīre paricchinnaḥ kuṇḍabadaravatpuruṣa iti /	nanu SruteH-iha-eva-antar-SarIre paricCinnaH kuNxabadara-vat-puruzaH iti /
   na, prāṇādikalākāraṇatvāt /	na, prANa-Adi-kalA-kAraNa-tvAt /
   na hi śarīramātraparicchinnasya prāṇaśraddhādīnāṃ kalānāṃ kāraṇatvaṃ	na hi SarIra-mAtra-paricCinnasya prANa-SradDA-AdInAm kalAnAm kAraNa-tvam
   pratipattuṃ śaknuyāt /	pratipattum SaknuyAt /
   kalākāryatvācca śarīrasya /	kalA-kArya-tvAt-ca SarIrasya /
   na hi puruṣakāryāṇāṃ kalānāṃ kāryaṃ saccharīraṃ kāraṇakāraṇaṃ svasya	na hi puruza-kAryANAm kalAnAm kAryam sat-SarIram kAraNa-kAraNam svasya
   puruṣaṃ kuṇḍabadaramivābhyantarīkuryāt /	puruzam kuNxa-badaram-iva-aByantarIkuryAt /
   bījavṛkṣādivatsyāditi cet /	bIja-vRkza-Adi-vatsyAt-iti ced /
   yathā bījakāryaṃ vṛkṣastatkāryaṃ ca phalaṃ svakāraṇakāraṇaṃ	yaTA bIja-kAryam vRkzaH-tad-kAryam ca Palam sva-kAraNa-kAraNam
   bījamabhyantarīkarotyāmrādi tadvat puruṣamabhyantarīkuryāccharīraṃ	bIjam-aByantarIkaroti-Amra-Adi tadvat puruzam-aByantarIkuryAt-SarIram
   svakāraṇakāraṇamapīti cet /	sva-kAraNa-kAraNam-api-iti ced /
   na, anyatvātsāvayavatvācca /	na, anya-tvAt-sa-avayava-tvAt-ca /
   dṛṣṭānte kāraṇabījāt vṛkṣaphalasaṃvṛtānyanyānyeva bījāni dārṣṭāntike tu	dRzwAnte kAraNa-bIjAt vRkza-Pala-saMvRtAni-anyAni-eva bIjAni dArzwa-antike tu
   svakāraṇakāraṇabhūtaḥ sa eva puruṣaḥ śarīre 'bhyantarīkṛtaḥ śrūyate /	sva-kAraNa-kAraNa-BUtaH saH eva puruzaH SarIre aByantarIkRtaH SrUyate /
   bījavṛkṣādīnāṃ sāvayavatvācca syādādhārādheyatvaṃ niravayavaśca puruṣaḥ	bIja-vRkza-AdInAm sa-avayava-tvAt-ca syAt-ADAra-ADeya-tvam niravayavaH-ca puruzaH
   sāvayavāśca kalāḥ śarīraṃ ca /	sa-avayavAH-ca kalAH SarIram ca /
   etenākāśasyāpi śarīrādhāratvamanupapannaṃ kimutākāśakāraṇasya purusya	etena-AkASasya-api SarIra-ADAra-tvam-anupapannam kim-uta-AkASa-kAraNasya purusya
   tasmādasamāno dṛṣṭāntaḥ /	tasmAt-asamAnaH dRzwAntaH /
   kiṃ dṛṣṭāntena vacanātsyāditi cet /	kim dRzwAntena vacanAt-syAt-iti ced /
   na, vacanasyākārakatvāt /	na, vacanasya-akAraka-tvAt /
   na hi vacanaṃ vastuno 'nyathākaraṇe vyāpriyate /	na hi vacanam vastunaH anyaTA-karaNe vyApriyate /
   kiṃ tarhi?yathābhūtārthāvadyotane /	kim tarhi?yaTABUta-arTa-avat-yotane /
   tasmādantaḥśarīra ityetadvacanamaṇḍasyāntarvyometivacca draṣṭavyam /	tasmAt-antar-SarIraH iti-etat-vacana-maNxasya-antar-vyoma-iti-vat-ca drazwavyam /
   upalabdhinimittatvācca, darśanaśravaṇamananavijñānādiliṅgaiḥ antaḥ śarīre	upalabDi-nimitta-tvAt-ca, darSana-SravaNa-manana-vijQAna-Adi-liFgEH antar SarIre
   paricchinna iva hyupalabhyate puruṣa upalabhyate cāta ucyate 'ntaḥ śarīre	paricCinnaH iva hi-upalaByate puruzaH upalaByate ca-atas ucyate antar SarIre
   somya sa puruṣa iti /	somya sa puruzaH iti /
   na punarākāśakāraṇaḥ sankuṇḍabadaravaccharīraparicchinna iti	na punar-AkASa-kAraNaH san-kuNxa-badara-vat-SarIra-paricCinnaH iti
   manasāpīcchati vaktuṃ mūḍho 'pi kimuta pramāṇabhūtā śrutiḥ //2//	manasA-api-icCati vaktum mUXaH api kim-uta pramANa-BUtA SrutiH //2//
   yasminnetāḥ ṣoḍaśa kalāḥ prabhavantītyuktaṃ puruṣaviśeṣaṇārthaṃ kalānāṃ	yasmin=-etAH zoxaSa kalAH praBavanti-iti-uktam puruza-viSezaNa-arTam kalAnAm
   prabhavaḥ sa cānyārthe 'pi śrutaḥ kena krameṇa syādityata idamucyate -	praBavaH sa ca-anya-arTe api SrutaH kena krameNa syAt-iti-atas idam-ucyate -
   cetanapūrvikā ca sṛṣṭirityevamarthaṃ ca /	cetana-pUrvikA ca sRzwiH-iti-evam-arTam ca /
   START PrUp 6.3	START PrUp 6.3
   sa īkṣāṃ cakre |	saH IkzAm cakre |
   kasminn aham utkrānta utkrānto bhaviṣyāmi kasmin vā pratiṣṭhite	kasmin aham utkrAntaH utkrAntaH BavizyAmi kasmin vA pratizWite
   pratiṣṭhāsyāmīti || PrUp_6.3 ||	pratizWAsyAmi-iti || PrUp_6.3 ||
   PrUpBh_6.3	PrUpB=-_6.3
   sa puruṣaḥ ṣoḍaśakalaḥ pṛṣṭo yo bhāradvājena īkṣāntakra īkṣyaṃ darśanaṃ	sa puruzaH zoxaSa-kalaH pRzwaH yaH BAradvAjena IkzA-antakraH Ikzyam darSanam
   cakre kṛtavānityarthaḥ sṛṣṭiphalakramādiviṣayam /	cakre kRtavAn-iti-arTaH sRzwi-Pala-krama-Adi-vizayam /
   katham?ityucyate kasminakartṛviśeṣe dehādutkrānta utkrānte bhaviṣyāmi	kaTam-?iti-ucyate kasmina-kartR-viSeze dehAt-utkrAntaH utkrAnte BavizyAmi
   ahamevaṃ kasminvā śarīre pratiṣṭhite ahaṃ pratiṣṭhāsyāmi	aham-evam kasmin-vA SarIre pratizWite aham pratizWAsyAmi
   pratiṣṭhitasyāmityarthaḥ /	pratizWitasyAm-iti-arTaH /
   START PrUp 6.4	START PrUp 6.4
   sa prāṇamasṛjata |	sa prANam-asRjata |
   prāṇāc chadvāṃ khaṃ vāyur jyotir āpaḥ pṛthivīndriyaṃ mano 'nnam annād	prANAt CadvAm Kam vAyuH jyotiH ApaH pRTivI-indriyam manaH annam anna-Ad
   vīryaṃ tapo mantrāḥ karma lokā lokeṣu nāma ca || PrUp_6.4 ||	vIryam tapaH mantrAH karma lokAH lokezu nAma ca || PrUp_6.4 ||
   PrUpBh_6.4	PrUpB=-_6.4
   nanvātmākartā pradhānaṃ kartṛ, ataḥ puruṣārthaprayojanamurarīkṛtya	nanu-Atma-akartA praDAnam kartR, atas puruza-arTa-prayojana-m-urarIkRtya
   pradhānaṃ pravartate mahadādyākāreṇa /	praDAnam pravartate mahat-Adi-AkAreNa /
   tatredamanupapannaṃ puruṣasya svātantryeṇa īkṣāpūrvakaṃ kartṛtvavacam,	tatra-idam-anupapannam puruzasya svAtantryeNa IkzA-pUrvakam kartR-tva-vacam,
   sattvādiguṇasāmye pradhāne pramāṇopapanne sṛṣṭikartari	sattva-Adi-guNa-sAmye praDAne pramANa-upapanne sRzwi-kartari
   satīścarecchānuvartiṣu vā paramāṇuṣu satsvātmano 'pyekatvena kartṛtve	satIH-cara-it-CA-anuvartizu vA paramANuzu satsu-AtmanaH api-ekatvena kartR-tve
   sādhanābhāvādātmana ātmanyanarthakartṛtvānupapatteśca /	sADana-aBAvAt-AtmanaH Atmani-anarTa-kartR-tva-anupapatteH-ca /
   na hi cetanāvānbuddhipūrvakāryātmano 'nartha kuryāt /	na hi cetanAvAn-budDi-pUrva-kArya-AtmanaH anarTa kuryAt /
   tasmātpuruṣārthena prayojanena īkṣāpūrvakamiva niyatakrameṇa pravartamāne	tasmAt-puruza-arTena prayojanena IkzA-pUrvakam-iva niyata-krameNa pravartamAne
   'cetane pradhāne cetanavadupacāre 'yaṃ sa īkṣāñcakre ityādiḥ /	acetane praDAne cetanavat-upacAre ayam saH IkzAQcakre ityAdiH /
   yathā rājñaḥ sarvārthakāriṇi bhṛtye rājeti tadvat /	yaTA rAjQaH sarva-arTa-kAriNi BRtye rAjA-iti tadvat /
   na, ātmano bhoktṛtvavatkartṛtvopapatteḥ /	na, AtmanaH BoktRtva-vat-kartR-tva-upapatteH /
   yathā sāṃkhyasya cinmātrasyāpāraṇāmino 'pyātmano bhoktṛtvaṃ	yaTA sAMKyasya cit-mAtrasya-apAraNAminaH api-AtmanaH BoktR-tvam
   tadvadvedavādināmīkṣādipūrvakaṃ jagatkartṛtvamupapannaṃ śrutiprāmāṇyāt /	tadvat-veda-vAdinAm-IkzA-Adi-pUrvakam jagat-kartR-tvam-upapannam Sruti-prAmANyAt /
   tattvāntarapariṇāma ātmano 'nityatvāśuddhatvānekatvanimitto na	tattva-antara-pariNAmaH AtmanaH anitya-tva-aSudDa-tva-aneka-tva-nimittaH na
   cinmātrasvarūpavikriyā /	cit-mAtra-svarUpa-vikriyA /
   ataḥ puruṣasya svātmanyeva bhoktṛtvaṃ cinmātrasvarūpavikriyā na doṣāya	atas puruzasya sva-Atmani-eva BoktR-tvam cit-mAtra-svarUpa-vikriyA na dozAya
   bhavatāṃ punarvedavādināṃ sṛṣṭikartṛtve tattvāntarapariṇāma evetyātmano	BavatAm punar-veda-vAdinAm sRzwi-kartR-tve tattva-antara-pariNAmaH eva-iti-AtmanaH-
   'nityatvādisarvadoṣaprasaṅga iti cet /	anitya-tva-Adi-sarva-doza-prasaFgaH iti ced /
   na, ekasyāpyātmano 'vidyāyāṃ	na, ekasya-api-AtmanaH avidyAyAm
   viṣayanāmarūpopādhyanupādhikṛtaviśeṣobhyupagamādavidyākṛtanāmarūpopādhikṛto	vizaya-nAma-rUpa-upADi-anupADi-kRta-viSeza-uByupagamAt-avidyA-kRta-nAma-rUpa-upADi-kRtaH-
   hi viśeṣo 'bhyupagamyata ātmano bandhamokṣādiśāstrakṛtasaṃvyavahārāya	hi viSezaH aByupagamyate AtmanaH banDa-mokza-Adi-SAstra-kRta-saMvyavahArAya
   paramārthato 'nupādhikṛtaṃ ca tattvamekamevādvitīyamupādeyaṃ	paramArTataH anupADi-kRtam ca tattvam-ekam-eva-advitIyam-upAdeyam
   sarvatākiṅkabuddhyanavagāhyamabhayaṃ śivam iṣyate na tatra kartṛtvaṃ	sarvatAkiFka-budDi-anavagAhyam-aBayam Sivam izyate na tatra kartR-tvam
   bhoktṛtvaṃ vā kriyākārakaphalaṃ ca syād advaitatvātsarvabhāvānām.	BoktR-tvam vA kriyA-kAraka-Palam ca syAt advEta-tvAt-sarva-BAvAnAm-.
   sāṃkhyāstvavidyādhyāropitam eva puruṣe kartṛtvaṃ kriyākārakaṃ phalaṃ ceti	sAMKyAH-tu-avidyA-aDyAropitam eva puruze kartR-tvam kriyAkArakam Palam ca-iti
   kalpayitvāgamabāhyatvātpunastatastrasyantaḥ paramārthata eva bhoktṛtvaṃ	kalpayitvA-Agama-bAhya-tvAt-punar-tatas-trasyantaH paramArTataH eva BoktR-tvam
   puruṣasyecchanti tattvāntaraṃ ca pradhānaṃ puruṣātparamārthavastubhūtameva	puruzasya-icCanti tattva-antaram ca praDAnam puruzAt-parama-arTa-vastu-BUtam-eva
