   (Vajraṭ_95)	(Vajraj-_95)
   saṃhatārthāntaratve pṛthak pratibhāsaḥ syāt | āvṛtānāvṛtayośca	saMhata-arTa-antara-tve pRTak pratiBAsaH syAt | AvRta-anAvRtayoH-ca
   virodhānnaiva tāvad yujyata ekatvam | anekatve saṃghātasya paramāṇureva sa	viroDAt-na-eva tAvat yujyate ekatvam | aneka-tve saMGAtasya paramANuH-eva sa
   syānna tvarthāntaraḥ |	syAt-na tu-arTa-antaraH |
   na ca tāvannirākārapakṣaḥ- nīlādiṣvakiñcitkaratvāttasya | bhāvamātreṇa	na ca tAvat-nirAkAra-pakzaH nIla-Adizu-akiQcitkara-tvAt-tasya | BAva-mAtreNa
   vedane sati sarvaiḥ sarvavedanaprasaṅgaḥ, aviśiṣṭatvāt sarvasya | ato	vedane sati sarvEH sarva-vedana-prasaFgaH, aviSizwa-tvAt sarvasya | atas-
   nīlasaṃvedanamidam, na pītamiti vyavasthā na syāt, vyavasthāyāḥ kasyāpi	nIla-saMvedanam-idam, na pItam-iti vyavasTA na syAt, vyavasTAyAH kasya-api
   hetuviśeṣasyābhāvāt | viśeṣasya kasyacidabhyupagame sa eva tāvat	hetu-viSezasya-aBAvAt | viSezasya kasyacid-aByupagame saH eva tAvat-
   sākāratvābhyupagamaḥ | pratītisvabhāvamātre tāvad viśeṣābhāvājjñānātmani	sa-AkAra-tva-aByupagamaH | pratIti-svaBAva-mAtre tAvat viSeza-aBAvAt-jQAna-Atmani
   nākārātiriktaṃ bhedakamanyat syāt |	na-AkAra-atiriktam Bedakam-anyat syAt |
   naivānyākārapakṣaḥ, atiprasaṅgāt | evaṃ hi sati rūpaviṣayakamākāravijñānaṃ	na-eva-anya-AkAra-pakzaH, atiprasaFgAt | evam hi sati rUpa-vizaya-kama-AkAra-vijQAnam
   tāvat parīkṣāmarhati, tathā hi- na tāvat pratyakṣato 'rthaḥ sidhyati,	tAvat parIkzAm-arhati, taTA hi na tAvat pratyakzataH arTaH siDyati,
   nānumānādapi | apratyakṣasyārthasya jñānasya ca kenāpi hetunā	na-anumAnAt-api | apratyakzasya-arTasya jQAnasya ca kena-api hetunA
   sambandhāsiddheḥ | phalajñānād bhinnasya kāraṇamātratvānumāne	sambanDa-asidDeH | Pala-jQAnAt Binnasya kAraNa-mAtra-tva-anumAne
   neṣṭasiddhiḥ, itarasya samanantarapratyayasya vidyamānatvāt | itarat	na-izwa-sidDiH, itarasya samanantara-pratyayasya vidyamAna-tvAt | itarat-
   pramāṇaṃ nāsti, ato tāvannaiva sidhyati bāhyo 'rthaḥ |	pramANam nAsti, atas tAvat-na-eva siDyati bAhyaH arTaH |
   na tāvat paramārthataḥ jñānasvabhāvatā pratyakṣeṇa sidhyati,	na tAvat paramArTataH jQAna-svaBAva-tA pratyakzeNa siDyati,
   addhaitasvabhāvatāyā asaṃviditatvāt, anyathā na ko 'pi tattvadraṣṭā syāt |	adDA-eta-svaBAva-tAyAH asaMvidita-tva-at, anyaTA na kaH api tattvadrazwA syAt |
   nānumānenāpi evaṃvidhenākāreṇa kasyāpi hetoḥ sambandhasyāsiddheḥ |	na-anumAnena-api evaMviDena-AkAreNa kasya-api hetoH sambanDasya-asidDeH |
   nanvevaṃ kathaṃ saṃkleśavyavadāne syātāmiti cet? na, tvanmate tābhyāṃ saha	nanu-evam kaTam saMkleSa-vyavadAne syAtAm-iti cet? na, tvad-mate tAByAm saha
   tasya kasyacidapi sambandhasyāsiddhatvāt | tayoḥ paramārthataḥ kvacidapi	tasya kasyacid-api sambanDasya-asidDa-tvAt | tayoH paramArTataH kvacid-api
   vastuni (Vajraṭ_124) sambandhāsiddheḥ | na tāvat	vastuni (Vajraj-_124) sambanDa-asidDeH | na tAvat-
   tadutpattilakṣaṇasambandhaḥ, sarvathā parokṣatvāttasya | parokṣeṇa saha	tad-utpatti-lakzaNa-sambanDaH, sarvaTA parokza-tvAt-tasya | parokzeNa saha
   sambandhastu na kenāpyarvāgdarśinā grahītuṃ śakyate |	sambanDaH-tu na kena-api-arvAk-darSinA grahItum Sakyate |
   avidyādīnāmavicāraramaṇīyatve 'pi saṃkleśamūlatve nāsti virodhaḥ,	avidyA-AdInAm-avicAra-ramaNIya-tve api saMkleSa-mUla-tve na-asti viroDaH,
   avidyādau vicāreṇa tṛṣṇānivṛttau vyavadānam, tato vipakṣabhūtalakṣaṇam	avidyA-AdO vicAreNa tRzNA-nivRttO vyavadAnam, tatas vipakza-BUta-lakzaNam
   avicāraikaramaṇīyamupapadyate, tadā paramārthato vastvabhāvena kathaṃ	avicAra-eka-ramaNIyam-upapadyate, tadA paramArTataH vastu-aBAvena kaTam
   tayorapyabhāvaprasaṅgaḥ | ye etayorekāntena nirhetukatvamabhyupagacchanti,	tayoH-api-aBAva-prasaFgaH | ye etayoH-ekAntena nirhetuka-tvam-aByupagacCanti,
   teṣvevāyaṃ prasaṅgaḥ, na tu saṃvṛtitaḥ pratītyasamutpādavādiṣu |	tezu-eva-ayam prasaFgaH, na tu saMvRtitaH pratItyasamutpAda-vAdizu |
   ata eva paramārthataḥ bhāvasvabhāvasādhakaṃ kiñcidapi pramāṇaṃ nāsti,	atas eva paramArTataH BAva-svaBAva-sADakam kiQcid-api pramANam nAsti,
   astyeva ca bādhakam | ityevaṃ tāvat- yadekānekasvabhāvavigataṃ tat	asti-eva ca bADakam | iti-evam tAvat yat-eka-aneka-svaBAva-vigatam tat-
   paramārthato niḥsvabhāvam, gaganāravindavat | parairiṣṭāḥ sarve	paramArTataH niHsvaBAvam, gagana-aravinda-vat | parEH-izwAH sarve
   jñānajñeyātmakāḥ bhāvākārāḥ, ekānekasvabhāvaśūnyā ityato	jQAna-jQeya-AtmakAH BAva-AkArAH, eka-aneka-svaBAva-SUnyAH iti-atas-
   vyāpakānupalabdhiḥ, ekānekābhyāṃ vyāptatvāt svabhāvasya | dvayametat tatra	vyApaka-anupalabDiH, ekAnekAByAm vyApta-tvAt svaBAvasya | dvayam-etat tatra
   nāsti | evaṃ tāvad rūpādyāyatanānāṃ bāhyavastūnāṃ naikatvam,	na-asti | evam tAvat rUpa-Adi-AyatanAnAm bAhya-vastUnAm na-ekatvam,
   āvṛtyanāvṛtyorviruddharmayostatropalabdhe | api ca, viruddhadharmasaṃsarge	AvRti-anAvRtya-uH-virudDarmayoH-tatra-upalabDe | api ca, virudDa-Darma-saMsarge
   'pyekatve viśvamapyekadravyaṃ syāt | tato yugapadutpattivināśau syātām |	api-ekatve viSvam-api-eka-dravyam syAt | tatas yugapad-utpatti-vinASO syAtAm |
   nānekatvamapi, tathā hi- anekasmin vibhajyamāne sati vibhaktāḥ paramāṇava	na-aneka-tvam-api, taTA hi anekasmin viBajyamAne sati viBaktAH paramANava
   eva syuḥ tataśca paurvāparyāvasthānaṃ na syānniravayavatvāt paramāṇūnām,	eva syuH tatas-ca pOrvAparya-avasTAnam na syAt-niravayava-tvAt paramANUnAm,
   cittacaitasikavat | tato diśaṃ vyāpya avasthitā na pratibhāseran | ata eva	citta-cEtasika-vat | tatas diSam vyApya avasTitAH na pratiBAseran | atas eva
   digbhāgabhedo 'bhyupagantavya eva | sati cābhyupagame kathaṃ nāma	diS-BAga-BedaH aByupagantavyaH eva | sati ca-aByupagame kaTam nAma
   bhavedekatvam | ataḥ siddha eva tāvadekānekasvabhāvavirahatvaṃ	Bavet-ekatvam | atas sidDaH eva tAvat-eka-aneka-svaBAva-viraha-tvam
   bāhyārthānām |	bAhya-arTAnAm |
   (Vajraṭ_125)	(Vajraj-_125)
   nīlādipratibhāsino jñānasyāpi naikasvabhāvatvam,	nIla-Adi-pratiBAsinaH jQAnasya-api na-eka-svaBAva-tvam,
   citrākāragrahitayāvabhāsyamānatvāt,	citra-AkAra-grahitayA-avaBAsyamAna-tvAt,
   bhinnasantānavarttyanekavijñānakṣaṇavat | yathāsaṃkhyam anekavijñānāni	Binna-santAna-vartti-aneka-vijQAna-kzaNa-vat | yaTA-saMKyam aneka-vijQAnAni
   yugapat pravartanta ityapi vaktuṃ na yujyate niravayavānāmamūrtānāṃ khalu	yugapad pravartante iti-api vaktum na yujyate niravayavAnAm-amUrtAnAm Kalu
   paurvāparyāvasthiterayuktatvāt | tathāvasthānābhāve na tathāvabhāsaḥ |	pOrvAparya-avasTiteH-ayukta-tvAt | taTA-avasTAna-aBAve na taTA-avaBAsaH |
   atha syāt- vijñānaṃ tvekameva, mithyākārāṇāṃ tatrāvabhāsyamānatvānna	aTa syAt vijQAnam tu-ekam-eva, miTyA-AkArANAm tatra-avaBAsyamAna-tvAt-na
   nānātvadoṣa iti cet? sati caivaṃ kathaṃ te tatra bhāseran mṛṣāḥ | avabhāsa	nAnAtva-dozaH iti cet? sati ca-evam kaTam te tatra BAseran mRzAH | avaBAsa
   iti prakāśātmaka ucyate | tasya jñānagatadharmatve sati mithyākārāṇāṃ	iti prakASa-AtmakaH ucyate | tasya jQAna-gata-Darma-tve sati miTyA-AkArANAm
   śaśaviṣāṇādivadatyantābhyāvaḥ syāditi kathamavabhāseranniti |	SaSa-vizANa-Adi-vat-atyanta-aByAvaH syAt-iti kaTam-avaBAseran=-iti |
   tataḥ prakāśātmakākārebhyaḥ mṛṣātvenābhyupetebhyaḥ kastāvadanyaḥ	tatas prakASa-Atmaka-AkAreByaH mRzA-tvena-aByupeteByaH kaH-tAvat-anyaH
   jñānasvabhāvaḥ sadbhūtaste 'vaśiṣyate, prakāśātmalakṣaṇatvād vijñānasya |	jQAna-svaBAvaH sat-BUtaH-te avaSizyate, prakASa-Atma-lakzaNa-tvAt vijQAnasya |
   nīlādayo 'pi prakāśātmakāḥ svabhāvenāvabhāsyamānatvāt | nīlādīnāṃ	nIla-AdayaH api prakASa-AtmakAH svaBAvena-avaBAsyamAna-tvAt | nIla-AdInAm
   svasvabhāvād bhinnaṃ yadanyat prakāśarūpamiti sadbhūtaṃ kimapi nāti,	sva-svaBAvAt Binnam yat-anyat prakASa-rUpam-iti sadBUtam kim-api na-ati,
   anyavyavacchedāpekṣayā viśeṣe prāyaśo vyavahārāt |	anya-vyavacCeda-apekzayA viSeze prAyaSas vyavahArAt |
   viśeṣāṇāṃ mithyātve sarveṣāṃ mithyātvamativispaṣṭaṃ syāt | nirākārasya	viSezANAm miTyAtve sarvezAm miTyAtvam-ati-vispazwam syAt | nirAkArasya
   (mithyākārarasya) satyākārātmani (sākārātmani) jñāne kathaṃ	(miTyA-AkAra-rasya) satya-AkAra-Atmani (sA-AkAra-Atmani) jQAne kaTam
   niyamenāabhāsaḥ syāt, tayostāvat tādātmyalakṣaṇo vā tadutpattilakṣaṇo vā	niyamena-Aa-BAsaH syAt, tayoH-tAvat tAdAtmya-lakzaNaH vA tad-utpatti-lakzaNaH vA
   sambandha eva nāsti | sambandhābhāve na khalu yujyate 'vabhāsanam,	sambanDaH eva na-asti | sambanDa-aBAve na Kalu yujyate avaBAsanam,
   atiprasaṅgāt | ata eva nāsti tāvadasiddho hetuḥ |	atiprasaFgAt | atas eva na-asti tAvat-asidDaH hetuH |
   bhāvānāmanyākārābhāvānnāpyaikāntikaḥ | na cāpi viruddha, sapakṣe sattvāt |	BAvAnAm-anya-AkAra-aBAvAt-na-api-EkAntikaH | na ca-api virudDa, sa-pakze sattvAt |
   ata eva yathā yathārthāścityante viśīryante tathā tathā | tathā coktam-	atas eva yaTA yaTArTAH-cityante viSIryante taTA taTA | taTA ca-uktam-
   (Vajraṭ_126)	(Vajraj-_126)
   vastusvabhāvacintāyāṃ yathā na satsvabhāvatā |	vastu-svaBAva-cintAyAm yaTA na sat-svaBAva-tA |
   ekānekasvabhāvo 'pi na teṣāṃ vidyate tathā ||	eka-aneka-svaBAvaH api na tezAm vidyate taTA ||
   api cāryalaṅkāvatāre bhagavatoktam :	api cAri-alaFkA-avatAre BagavatA-uktam :
   yathā hi darpaṇe rūpamekatvānyatvavarjitam |	yaTA hi darpaNe rUpam-ekatva-anyatva-varjitam |
   dṛśyate na ca tannāsti tathā cotpādalakṣaṇam |	dRSyate na ca tat-na-asti taTA ca-utpAda-lakzaNam |
   buddhyā vivecyamānānāṃ svabhāvo nāvadhāryate |	budDyA vivecyamAnAnAm svaBAvaH na-avaDAryate |
   tasmādanabhilāpyāste niḥsvabhāvāśca deśitāḥ ||	tasmAt-anaBilApyAH-te niHsvaBAvAH-ca deSitAH ||
   tathā cāryamādhirājasūtre 'pi	taTA cAryam-ADirAja-sUtre api
   yathaiva ārdraṃ kadalīyaskandhaṃ sārārthikaḥ puruṣu vipāṭayet |	yaTA-eva Ardram kadalIya-skanDam sAra-arTikaH puruzu vipAwayet |
   bahirvā adhyātma na sāramasti tathopamān jānatha sarvadharmān ||	bahis-vA aDyAtma na sAram-asti taTA-upamAn jAnaTa sarva-DarmAn ||
   tasmāt sarvabhāvānāṃ māyāvadavicāraramaṇīyatvādanabhiniveśena dānaṃ	tasmAt sarva-BAvAnAm mAyA-vat-avicAra-ramaNIya-tvAt-anaBiniveSena dAnam
   dātavyam, na tu vastupratiṣṭhitena ityayamartho 'tra yuktisaṅgataḥ | evaṃ	dAtavyam, na tu vastu-pratizWitena iti-ayam-arTaH atra yukti-saFgataH | evam
   dānādiṣu yathā yogastathā ādarśitaḥ, nānyatra |	dAna-Adizu yaTA yogaH-taTA AdarSitaH, na-anyatra |
   yadi paramārthata kasyacidapi vastuno bhāvābhāvād vastupratiṣṭhitena dānaṃ	yadi paramArTata kasyacid-api vastunaH BAva-aBAvAt vastu-pratizWitena dAnam
   na dātavyam, tadā avastvabhiniveśena tu dānasya kathaiva kā, ata eva na	na dAtavyam, tadA avastu-aBiniveSena tu dAnasya kaTA-eva kA, atas eva na
   (Vajraṭ_127) kvacipratiṣṭhitena ityuktam | bodhisattvenābhāvavikalpo 'pi	(Vajraj-_127) kvacipratizWitena iti-uktam | boDisattvena-aBAva-vikalpaH api
   prahātavyaḥ, bhāvagrāhābhāve sati tasyāpyabhāvāt | saṃvṛtau tāvad	prahAtavyaH, BAva-grAha-aBAve sati tasya-api-aBAvAt | saMvRtO tAvat-
   deyadāyakādayo bhavantyeva | tato vastuno 'bhāve 'pi tāvadabhiniveśo na	deya-dAyaka-AdayaH Bavanti-eva | tatas vastunaH aBAve api tAvat-aBiniveSaH na
   yujyata evetyabhiprāyaḥ | na rūpapratiṣṭhitena ityādinā bodhisattvena na	yujyate eva-iti-aBiprAyaH | na rUpa-pratizWitena ityAdinA boDisattvena na
   kvacitpratiṣṭhitena dānaṃ dātavyamityeva vistareṇābhihitam |	kvacid-pratizWitena dAnam dAtavyam-iti-eva vistareNa-aBihitam |
   dharmaḥ ityanena śabdena dharmāyatanaṃ parigṛhyate, āyatanena prapañcaḥ	DarmaH iti-anena Sabdena Darma-Ayatanam parigRhyate, Ayatanena prapaQcaH
   abhivyajyate, ataścakṣurādīni ādhyātmikāyatanāni nocyante | anutpādādayo	aBivyajyate, atas-cakzuH-AdIni ADyAtmika-AyatanAni na-ucyante | anutpAdAt-ayaH-
   vikalpā api na karaṇīyā iti nidarśanārtha subhūte, yathā ityādyuktam |	vikalpAH api na karaNIyAH iti nidarSana-arTa suBUte, yaTA ityAdi-uktam |
   nimittaṃ tu vastusvalakṣaṇaṃ liṅgaṃ vānutpādādi, tasyodgrahaṇaṃ saṃjñā |	nimittam tu vastu-sva-lakzaNam liFgam vA-anutpAda-Adi, tasya-udgrahaNam saMjQA |
   tatra nirvikalpantu apratiṣṭhitam | ata eva na kvacit pratiṣṭhitena iti	tatra nirvikalpantu apratizWitam | atas eva na kvacid pratizWitena iti
   nirdiṣṭam | athavā samagreṇaitena gāmbhīryamasya vyapadiṣṭam,	nirdizwam | aTavA samagreNa-etena gAmBIryam-asya vyapadizwam,
   adhyāropāvādāntau pratiṣiddhau ceti |	aDyAra-upAvAda-antO pratizidDO ca-iti |
   asmin darśane upalambhakānāṃ jñānapuṇyasambhārapāripūroyogyatvaṃ	asmin darSane upalamBakAnAm jQAna-puNya-samBAra-pAripUraH-yogya-tvam
   pratiṣidhyate, evaṃ pūjānugrahakāmyayā yad dīyate, tenātitarāṃ samprasādo	pratiziDyate, evam pUjA-anugraha-kAmyayA yat dIyate, tena-atitarAm samprasAdaH-
   janyate, na tu deya-dāyaka-pratigrāhakānupalambhe pratiṣṭhitatvena, evaṃ	janyate, na tu deya--dAyaka-pratigrAhaka-an-upalamBe pratizWita-tvena, evam
   hyabhāvaḥ, deyādyanupalabdhatvād viṣayasyābhāvācca | prathamapakṣe kenāpi	hi-aBAvaH, deyA-Adi-anupalabDa-tvAt vizayasya-aBAvAt-ca | praTama-pakze kena-api
   kasyacidapi deyasyābhāvāt puṇyābhāvaḥ prasajyate, (dvitīyapakṣe tāvat)	kasyacid-api deyasya-aBAvAt puNya-aBAvaH prasajyate, (dvitIya-pakze tAvat-)
   bodhisattvaiḥ yo hi sattvārthaṃ śrama āsthitaḥ, so 'pi vyarthaḥ syāt	boDisattvEH yaH hi sattva-arTam SramaH AsTitaH, saH api vyarTaH syAt-
   sattvābhāvāt | ata eva nābhāvamātram |	sattva-aBAvAt | atas eva na-aBAva-mAtram |
   (Vajraṭ_128)	(Vajraj-_128)
   bhagavatā deyādivastūnāṃ dṛṣṭatvāt, na ca viṣayasyāpyabhāvaḥ | anyathā	BagavatA deyA-Adi-vastUnAm dRzwa-tvAt, na ca vizayasya-api-aBAvaH | anyaTA
   kathaṃ bhagavatārthijanebhyaḥ putrādayaḥ pradattā iti sarvāṇyetāni codyāni	kaTam BagavatA-arTi-janeByaH putra-AdayaH pradattA iti sarvANi-etAni ca-udyAni
   manasi nidhāya tatkasya hetoḥ? iti pṛcchāyāṃ yaḥ subhūte, bodhisattvaḥ	manasi niDAya tat-kasya hetoH? iti pRcCAyAm yaH suBUte, boDisattvaH
   ityādinā visarjitam |	ityAdinA visarjitam |
   ayamabhiprāyaḥ- samyagdṛṭivihitāni dānādīni suviśuddhatayā	ayam-aBiprAyaH samyak-dRwi-vihitAni dAna-AdIni su-viSudDa-tayA
   viśiṣṭeṣṭaphalāni abhinirvartayanti, na viparītatayā samudbhūtāni,	viSizwa-izwa-PalAni aBinirvartayanti, na viparIta-tayA samudBUtAni,
   mithyādṛṣṭipravartitaśīlāṅgādivat | deyādivastūni yathoktanyāyena	miTyA-dRzwi-pravartita-SIla-aFga-Adi-vat | deyA-Adi-vastUni yaTA-ukta-nyAyena
   kathañcidapyasattvāt mithyopalabdhānyeva, marīcikāsu udakopalambhavat |	kaTaQcid-api-asattvAt miTyA-upalabDAni-eva, marIcikAsu udaka-upalamBa-vat |
   tasmāt tadudbhūtaḥ sarvapāramitāidhistāvad	tasmAt tad-udBUtaH sarva-pAramitA-aiDiH-tAvat-
   ātmātmīyaviparyasodgatasodgatadānādivadaviśuddhahetoḥ sambhūtatvāt	Atma-AtmIya-viparyasa-udgata-sa-udgata-dAna-Adi-vat-aviSudDa-hetoH samBUta-tvAt-
   kṣīṇabalaḥ, deyādyupalakṣaṇaprāptānupalambhastu	kzINa-balaH, deyA-Adi-upalakzaNa-prApta-anupalamBaH-tu
   bhūrtārthagocaratvādaviparyastaḥ, maricikāyāmudakānupalabdhivat |	BUrta-arTa-gocara-tvAt-aviparyastaH, maricikAyAm-udaka-anupalabDi-vat |
   tasmādupacitahetusambhūtadānādīni bṛhatphalāni,	tasmAt-upacita-hetu-samBUta-dAna-AdIni bRhat-PalAni,
   puṣṭabījābhinirvṛttāṅkurādivat | ata eva anupalambhapratiṣṭhitāni dānādīni	puzwa-bIja-aBinirvRtta-aFkura-Adi-vat | atas eva anupalamBa-pratizWitAni dAna-AdIni
   samyagdṛṣṭisambhūtānīti vipaścitsu prasādātiśayaṃ janayanti, nānyeṣu |	samyak-dRzwi-samBUtAni-iti vipaScitsu prasAda-atiSayam janayanti, na-anyezu |
   tataśca dānādiṣvapravṛttatayā puṇyābhāvo deyādīnāṃ caikāntābhāvo neṣyate,	tatas-ca dAna-Adizu-apravRtta-tayA puNya-aBAvaH deyA-AdInAm ca-ekAnta-aBAvaH na-izyate,
   saṃvṛtisattvābhyupagamāt | asamāhitāvasthāyāṃ māyāvadupalambhānna	saMvRti-sattva-aByupagamAt | asamAhita-avasTAyAm mAyA-vat-upalamBAt-na
   sarvatrānupalambhaḥ | tadā cādhimuktitaḥ prādurbhāvādevānupalambho	sarvatra-anupalamBaH | tadA ca-aDimuktitaH prAdurBAvAt-eva-anupalamBaH-
   vyavasthāpyate | samāhitāvasthāyām upalambhasyātyantābhāvamātram, tadā	vyavasTApyate | samAhita-avasTAyAm upalamBasya-atyanta-aBAva-mAtram, tadA
   dānādiṣu pravṛttirnābhyupeyate prayogāvasthāyāṃ (Vajraṭ_129)	dAna-Adizu pravRttiH-na-aByupeyate prayoga-avasTAyAm (Vajraj-_129)
   vyutthitāvasthāyāṃ vā kriyayopālambho na yujyate | ato mahāphalatvāya	vyutTita-avasTAyAm vA kriyayA-upAlamBaH na yujyate | atas mahA-Pala-tvAya
   pāramitāyogasyaidāryamabhidhīyate | saṃvṛtau kāryakāraṇabhāvasyopadarśanād	pAramitA-yogasya-edAryam-aBiDIyate | saMvRtO kArya-kAraNa-BAvasya-upadarSanAt-
   apavādānto 'pi niṣidhyate |	apavAda-antaH api niziDyate |
   3. rūpakāyāptikāmatā-sthānam :	3. rUpa-kAya-AptikAma-tA--sTAnam :
   tridhā puṇyamākāśasamaṃ bhavati- sarvatragodārākṣayatvaiḥ |	triDA puNyam-AkASa-samam Bavati sarvatragodAra-akzaya-tvEH |
   laukikalokottarapuṇyaprasavanāt sarvatragatvam, laukikaṃ tāvat	lOkika-loka-uttara-puNya-prasavanAt sarvatraga-tvam, lOkikam tAvat-
   puṇyamasamāhitāvasthāyāṃ prasūyate, lokottaraṃ tu samāhitāvasthāyāmeva |	puNyam-asamAhita-avasTAyAm prasUyate, loka-uttaram tu samAhita-avasTAyAm-eva |
   viśiṣṭa-viśiṣṭataragamanādudāratvam | yāvatsaṃsāramaparyādānādakṣayatvam |	viSizwa--viSizwatara-gamanAt-udAra-tvam | yAvat-saMsAram-aparyAdAnAt-akzaya-tvam |
   tadabhāvānna rūpapratiṣṭhitena dānaṃ dātavyamiti bodhisattvaḥ	tad-aBAvAt-na rUpa-pratizWitena dAnam dAtavyam-iti boDisattvaH
   tathāgatarūpakāyāptikāmanayā dānādiṣu kathaṃ pravarteteti cediti	taTAgata-rUpa-kAya-AptikAmanayA dAna-Adizu kaTam pravarteta-iti ced-iti
   codyamāśaṅkaya tatkiṃ manyase subhūte ityādinā rūpakāyāptikāmatā sthānaṃ	codyam-ASaFkaya tat-kim manyase suBUte ityAdinA rUpa-kAya-Apti-kAma-tA sTAnam
   nirdiṣṭam | arthato 'tra rūpakāye tathāgatatvābhimānalakṣaṇo vipakṣo	nirdizwam | arTataH atra rUpa-kAye taTAgatatva-aBimAna-lakzaNaH vipakzaH-
   'pākriyate | lakṣaṇasampadā iti nimittamātrābhidhānena tathāgatasya	apAkriyate | lakzaNa-sampadA iti nimitta-mAtra-aBiDAnena taTAgatasya
   nikhilo rūpakāyaḥ lakṣaṇānuvyañjanairalaṅkṛtaḥ paridīpitaḥ |	niKilaH rUpa-kAyaH lakzaNa-anuvyaQjanEH-alaFkRtaH paridIpitaH |
   tatra lakṣaṇāni tāvat cakrāṅkahastapādatādīni dvātriṃśat padabāhulyabhiyā	tatra lakzaNAni tAvat cakra-aFka-hasta-pAda-tA-AdIni dvAtriMSat pada-bAhulya-BiyA
   nollikhyante, sūtreṣu yathoktānī tathaivāvadheyāni |	na-ulliKyante, sUtrezu yaTA-uktAnI taTA-eva-AvaDeyAni |
   sthānasthottaptapūrṇatvena niṣpattiḥ | (Vajraṭ_130) aśītiranuvyañcanāni	sTAna-sTa-uttapta-pUrNa-tvena nizpattiH | (Vajraj-_130) aSItiH-anu-vyaQcanAni
   tāmravarṇanakhādīni, yathāsūtraṃ jñātavyāni | tāni lakṣanādīnyapi	tAmra-varNa-naKa-AdIni, yaTAsUtram jQAtavyAni | tAni lakzanAdIni-api
   māyānirmitabuddhalakṣaṇavanmithyaiva | ata eva tathāvidhe rūpakāye	mAyA-nirmita-budDa-lakzaNa-vat-miTyA-eva | atas eva taTAviDe rUpa-kAye
   chandapraṇidhānābhyāṃ sthātavyamiti nirdeśaḥ |	Canda-praNiDAnAByAm sTAtavyam-iti nirdeSaH |
   athemāni lakṣaṇāni paramāṇusañcayasvabhāvāni vā tadārabdhāvayavirūpāṇi vā	aTa-imAni lakzaNAni paramANu-saQcaya-svaBAvAni vA tad-ArabDa-a=-ayavi-rUpANi vA
   bhaveyuriti? na tāvat prathamaḥ pakṣa, paramāṇūnāṃ pūrvameva nirastatvāt |	BaveyuH-iti? na tAvat praTamaH pakza, paramANUnAm pUrvam-eva nirasta-tvAt |
   nāpi dvitīyaḥ, asati cārambhake tadārabdhāvayavino 'pyabhāvāt,	na-api dvitIyaH, asati ca-AramBake tadA-ArabDO=-ayavinaH api-aBAvAt,
   pūrvoktāvaraṇādiviruddharmopalambhācca | taduddiṣṭenābhihito 'bhiprāyaḥ |	pUrva-ukta-AvaraNa-Adi-virudDarma-upalamBAt-ca | tad-uddizwena-aBihitaH aBiprAyaH |
   etad vicintya subhūtirāha no hīdam iti vyaktīkṛtam |	etat vicintya suBUtiH-Aha no hi-idam iti vyaktIkRtam |
   yadi lakṣaṇāni mṛṣā bhaveyustarhi kathaṃ bhagavatā tattatsūtreṣu lakṣaṇāni	yadi lakzaNAni mRzA BaveyuH-tarhi kaTam BagavatA tad-tad-sUtrezu lakzaNAni
   samupadiṣṭānīti cintayan tatkasya hetoḥ iti pṛṣṭvaivaṃ saivālakṣaṇasampad	samupadizwAni-iti cintayan tat-kasya hetoH iti pRzwvA-evam sA-eva-alakzaNa-sampad-
   ityāha | sā lakṣaṇasampat tāvannoktā paramārthataḥ |	iti-Aha | sA lakzaNa-sampad tAvat-na-uktA paramArTataH |
   māyānirmitabuddhavadityanena mṛṣāsvabhāvatvamātramuktamityarthaḥ |	mAyA-nirmita-budDa-vat-iti-anena mRzA-svaBAva-tva-mAtram-uktam-iti-arTaH |
   āryasubhūtinoktamevārtha paripūrayituṃ bhagavatā yāvat ityādyāha |	Arya-suBUtinA-uktam-eva-arTa paripUrayitum BagavatA yAvat iti-Adi-Aha |
   yāvallakṣaṇasampad iti paramārthato yāvallakṣanasampatsvabhiniveśaḥ,	yAvat-lakzaNa-sampad iti paramArTataH yAvat-lakzana-sampatsu-aBiniveSaH,
   tāvanmithyābhiniveśa evetyarthaḥ, yathoktameva pūrvam | yāvallakṣaṇasampad	tAvat-miTyA-aBiniveSaH eva-iti-arTaH, yaToktam-eva pUrvam | yAvat-lakzaNa-sampad-
   iti tadvīparītatayā abhihitetyavagantavyam | etena yogasamāpattyā kathaṃ	iti tad-vIparIta-tayA aBihitA-iti-avagantavyam | etena yoga-samApattyA kaTam
   pratipattavyamiti taddeśitam | kathamantadvayaṃ parivarjya cittaṃ	pratipattavyam-iti tad-deSitam | kaTam-anta-dvayam parivarjya cittam
