   śrīrāmajayam	SrI-rAma-jayam
   na caivamapyatra"jātiraprāṇinām"iti nityaikavadbhāvena	na ca-evam-api-atra"jAtiH-aprANinAm-"iti nitya-eka-vat-BAvena
   bahuvacanābhāvādidaṃ sūtraṃ vyarthamiti vācyam, tadvaikalpikatvasyāpyanena	bahuvacana-aBAvAt-idam sUtram vyarTam-iti vAcyam, tad-vEkalpika-tvasya-api-anena
   jñāpanāt/ na caite prāṇina iti vācyam,"āpomayaḥ prāṇaḥ"iti	jQApanAt/ na ca-ete prANinaH iti vAcyam-,"ApaH-mayaH prANaH"iti
   śruteradbhirvinā glāyamānaprāṇānāmeva prāṇitvāta/ spaṣṭam	SruteH-adBiH-vinA glAyamAna-prANAnAm-eva prANi-tvAta/ spazwam
   cedam"tiṣyapunarvasvoḥ"iti sūtre bhāṣye/	ca-idam-"tizya-punarvasvoH"iti sUtre BAzye/
   ata eva"dvandvaśca prāṇī"ityādeḥ prāṇyaṅgādīnāmeva samāhāra iti	atas eva"-dvandvaH-ca prANI"iti-AdeH prANi-aFga-AdInAm-eva samAhAraH iti
   viparītaniyamo na //	viparIta-niyamaH na //
   sarve vidhayaśchandasi vikalpyante // Paribh_34 //	sarve viDayaH-Candasi vikalpyante // PariB_34 //
   "vyatyayo bahulam"iti sūtre bhāṣye bahulamiti	"vyatyayaH bahulam-"iti sUtre BAzye bahulam-iti
   yogavibhāgena"ṣaṣṭhīyuktaśchandasi"iti sūtre veti yogavibhāgena caiṣā	yoga-viBAgena-"zazWI-yuktaH-Candasi"iti sUtre vA-iti yoga-viBAgena ca-ezA
   sādhitā/ tena"pratīpamanya ūrmiryudhyati"ityādi siddham/ yuddhayata iti	sADitA/ tena"-pratIpam-anyaH UrmiH-yuDyati"ityAdi sidDam/ yudDayate iti
   prāpnoti//	prApnoti//
   nanu kṣiya ityādāviyaṅ katham? ata āha :-	nanu kziyaH iti-AdO=-iyaF kaTam? atas Aha :-
   prakṛtivadanukaraṇaṃ bhavati // Paribh_35 //	prakRti-vat-anukaraNam Bavati // PariB_35 //
   kṣiya itīyaṅ nirdeśo 'syā jñāpakaḥ/ tatreva prātipadikatva nibandhana	kziyaH iti-iyaF nirdeSaH asyAH jQApakaH/ tatra-iva prAtipadika-tva nibanDana
   vibhaktikaraṇādanityā ceyamiti"kṣiyo dīrghāt"ita sūtre bhāṣye spaṣṭam//	viBakti-karaNAt-anityA ca-iyam-iti"kziyaH dIrGAt"ita sUtre BAzye spazwam//
   nanu"rāmau"ityādau vṛddhau kṛtāyāṃ kāryakāla pakṣe kathaṃ padatvam?	nanu"rAmO"iti-AdO vRdDO kRtAyAm kArya-kAla pakze kaTam padatvam?
   ubhayata āśrayaṇe 'ntāditvābhāvāt yasmādvahitastadāditadantatvābhāvādata	uBayatas ASrayaNe antAditva-aBAvAt yasmAt-vahitaH-tad-A-Adita-d-anta-tva-aBAvAdata
   āha :-	Aha :-
   ekadeśavikṛtamananyavat // Paribh_36 //	eka-deSa-vikRtam-ananya-vat // PariB_36 //
   ananyavadityasyānyavannetyarthaḥ/ tatrānyasādṛśyaniṣedhe 'nyatvābhāvaḥ	ananyavat-iti-asyAnya-vat-na-iti-arTaH/ tatra-anya-sAdRSya-nizeDe anya-tva-aBAvaH
   sutarām/ ata eva tādṛśādarthabodhaḥ, anyathā	sutarAm/ atas eva tAdRSAt-arTa-boDaH, anyaTA
   śaktatāvacchedakaimupūrvyajñānāt tato bodho na syāt/	Sakta-tAvacCeda-kEmupUrvya-jQAnAt tatas boDaH na syAt-/
   evañca rāniti māntasya yasmād vihitastatvam, au ityasya parādivatvena	evaQca rAniti mAntasya yasmAt vihitaH-tatvam, O iti-asya para-Adiva-tvena
   suptvamiti tadāditadantatvam	suptvam-iti tat-A-Aditad-anta-tvam
   ārthasamājagrastham/	ArTa-samAjagra-sTam-/
   chinnapucche śuni śvatvavyavacahāravanmānte tatvaṃ lokanyāya siddham/ ata	Cinna-pucCe Suni Sva-tva-vyavacahAra-vat-ma-ante tatvam loka-nyAya sidDam/ ata
   eva"prāgdīvyata"iti sūtre bhāṣye	eva"-prAk-dIvyata"iti sUtre BAzye
   dīvyatiśabdaikadeśadīvyacśabdānukaraṇamidamityuktvā, kimarthaṃ	dIvI-ati-Sabda-eka-deSa-dIvyat-Sabda-anukaraNam-idam-iti-uktvA, kim-arTam
   vikṛtanirdeśaḥ? etadeva jñāpayatyācāryo bhavatyeṣā	vikRta-nirdeSaH? etat-eva jQApayati-AcAryaH Bavati-ezA
   paribhāṣā"ekadeśavikṛtamananyavat"ityuktam/	pariBAzA"-eka-deSa-vikRtam-ananyavat"iti-uktam/
   etenāyaṃ nyāyaḥ śāstrīyakārya eva śāstrīvikāra evetyapāstam/ vikṛtāvayava	etena-ayam nyAyaH SAstrIya-kAryaH eva SAstrI-vikAraH eva-iti-apAstam/ vikRta-avayava
   nibandhana kārye tu nāyam,	nibanDana kArye tu na-ayam,
   chinnepucche śuni pucchavatvavyavahāravat vikṛtāvayavavyavahārasya	CinnepucCe Suni pucCava-tva-vyavahAra-vat vikRta-avayava-vyavahArasya
   durupapādatvāt/	durupapAda-tvAt/
   evamaktaparimāṇagrahaṇe 'pi nāyam, uktayukteḥ/	evam-akta-parimANa-grahaNe api na-ayam, ukta-yukteH/
   etat"yenavidhiḥ"ityatra bhāṣyakaiyaṭayordhvanitam/	etat"yena-viDiH"iti-atra BAzya-kEyawaya-UrDvanitam/
   yatra tvardhaṃ tadadhikaṃ vā vikṛtam, tatra jātivyañjakabhūyo	yatra tu-arDam tat-aDikam vA vikRtam, tatra jAti-vyaQjaka-BUyo
   'vayavadarśanābhāvena tatvāpratītau kāryasidhyarthaṃ	avayava-darSana-aBAvena tatva-apratItO kArya-siDyarTam
   vikṛtānalrūpāvayavatvapratītyarthaṃ ca"sathānivat"sūtram/ kvacittu	vikRta-Analru-upa-avayava-tva-prati-iti-arTam ca"saTA-nivat"-sUtram/ kvacid-tu
   lakṣyānurodhānnyāyānāśrayaṇam/ tena 'ābhīyāt ityādi siddhiḥ/ spaṣṭaṃ ca	lakzya-anuroDAt-nyAyAn-ASrayaNam/ tena aABIyAt ityAdi sidDiH/ spazwam ca
   kvacinnyāyāpravṛttiḥ"prathamayoḥ pūrvasavarṇaḥ"ityatra kaiyaṭena	kvacid-nyAya-apravRttiH-"praTamayoH pUrva-savarNaH"iti-atra kEyawena
   darśitetyanyatra vistaraḥ//	darSitA-iti-anyatra vistaraH//
   iti śrīnāgeśabhaṭṭaviracite paribhāṣenduśekhare	iti SrI-nAgeSa-Bawwa-viracite pariBAza-indu-SeKare
   śāstratvasampādanoddeśanāmakaṃ	SAstra-tva-sampAdana-uddeSa-nAmakam
   prathamaṃ prakaraṇam//	praTamam prakaraNam//
   atha bādhabījanāmakaṃ dvitīyaṃ prakaraṇam//	aTa bADa-bIja-nAmakam dvitIyam prakaraNam//
   pūrvaparanityāntarajṅgāpavādānāmuttarottaraṃ balīyaḥ // Paribh_37 //	pUrva-para-nitya-anta-rajFgA-pavAdAnAm-uttarottaram balIyaH // PariB_37 //
   pūrvātparaṃ balavat, vipratiṣedha śāstrāt, pūrvasyaparaṃ bādhakamiti	pUrvAt-param balavat, vipratizeDa SAstra-at, pUrvasya-param bADakam-iti
   yāvat//	yAvat//
   nanvevam 'bhindhi' ityatra paratvāt tātaṅā bādhito dhirna syādata āha :-	nanu-evam aBinDi-a iti-atra paratvAt tAtaFA bADitaH Dis-na syAt-atas Aha :-
   punaḥ prasaṅga vijñānāt siddham // Paribh_38 //	punar prasaFga vijQAnAt sidDam // PariB_38 //
   nanvevam 'tisṛṇām' ityatra paratvāt tisrādeśe punastrayādeśaḥ syādata āha	nanu-evam atisRNAm-a iti-atra paratvAt tisra-AdeSe punar-traya-AdeSaH syAt-atas Aha
   sakṛdgatau vipratiṣedhe yad bādhitaṃ tad bādhitameva // Paribh_39 //	sakRt-gatO vipratizeDe yat bADitam tat bADitam-eva // PariB_39 //
   tatra kvaciccaritārthayorekasmin yugapadubhayoḥ kāryayorasambhavena	tatra kvacid-carita-arTayoH-ekasmin yugapad-uBayoH kAryayoH-asamBavena
   bādhakābhāvāt paryāyeṇa tṛjādivacchāstra	bADaka-aBAvAt paryAyeNa tRja-Adi-vat-SAstra
   dvayaprasaṅge niyamārtham"vipratiṣedha"sūtramiti sakṛdgatinyāyasiddhiḥ/	dvaya-prasaFge niyama-arTam-"vipratizeDa"sUtram-iti sakRt-gati-nyAya-sidDiH/
   yathā tulyabalayorekaḥ preṣyo bhavati/ sa tayoḥ paryāyeṇa kāryaṃ karoti,	yaTA tulya-balayoH-ekaH prezyaH Bavati/ sa tayoH paryAyeNa kAryam karoti,
   yadā tamubhau yugapat preṣayato nānādikṣu ca kārye tadobhayorna karoti,	yadA tam-uBO yugapad prezayataH nAnA-dikzu ca kArye tadA-uBayoH-na karoti,
   yaugapadyāsambhavāt/ tathā śāstrayorlakṣyārthayoḥ kvacillakṣye	yOgapadya-asamBavAt/ taTA SAstrayoH-lakzya-arTayoH kvacid-lakzye
   yaugapadyena pravṛtyasambhavādapratipattau praptāyāmidaṃ paravidhyartham/	yOgapadyena pravRtya-samBavAt-apratipattO praptAyAm-idam para-viDi-arTam/
   tatra kṛte yadi pūrvaprāptirasti, tarhi tadapi bhavatyeveti 'punaḥ	tatra kRte yadi pUrva-prAptiH-asti, tarhi tat-api Bavati-eva-iti apunar-
   prasaṅgavijñāna' siddhiriti"vipratiṣedha"sūtre bhāṣye spaṣṭam/	prasaFga-vijQAna-a sidDiH-iti"-vipratizeDa"-sUtre BAzye spazwam/
   yattu kaiyaṭādayo vyaktau padārthe pratilakṣyaṃ lakṣaṇopaplavādubhayorapi	yat-tu kEyawa-AdayaH vyaktO padArTe pratilakzyam lakzaNa-upaplavAt-uBayoH-api
   śāstrayostattallakṣyayoracaritārthyena paryāyeṇa dvayorapi prāptau	SAstrayoH-tad-tad-lakzyayoH-acarita-arTyena paryAyeNa dvayoH-api prAptO
   parameveti niyamārthamidamiti 'sakṛdgati' nyāyasiddhiḥ/ atra pakṣe	param-eva-iti niyama-arTam-idam-iti asakRt-gati-a nyAya-sidDiH/ atra pakze
   etanniyamavaśādetallakṣyaviṣayaka pūrvaśāstrānupaplava eva/	etat-niyama-vaSAt-etat-lakzya-vizayaka pUrva-SAstra-anupaplavaH eva/
   jātipakṣe tūddeśyatāvacchedakākrānte kvacillakṣye caritārthayordvayoḥ	jAti-pakze tu-uddeSya-tAvat-Cedaka-AkrAnte kvacid-lakzye carita-arTayoH-dvayoH
   śāstrayoḥ satpratipakṣanyāyena yugadubhayāsambhavarūpavirodhasthala	SAstrayoH sat-pratipakza-nyAyena yugaduBayA-samBava-rUpa-viroDa-sTala
   ubhayorapyaprāptau paravidhyarthamidamiti punaḥ	uBayoH-api-aprAptO para-viDi-arTam-idam-iti punar-
   prasaṅgavijñānasiddhirityāhuḥ, tanna ; vyaktipakṣe sarvaṃ lakṣyaṃ śāstraṃ	prasaFga-vijQAna-sidDiH-iti-AhuH, tat-naH ; vyakti-pakze sarvam lakzyam SAstram
   vyāpnoti na jātipakṣa ityatra mānābhāvāt/	vyApnoti na jAti-pakzaH iti-atra mAna-aBAvAt/
   'na brāhmaṇaṃ hanyāt' ityādau jātyāśrayasakalavyaktiviṣayatvārthameva	anaH brAhmaNam hanyAt-a ityAdO jAti-ASraya-sakala-vyakti-vizaya-tva-arTam-eva
   jātipakṣāśrayaṇasya bhāṣye darśanāt/ ata eva"sarūpa"sūtre bhaṣye jātau	jAti-pakza-ASrayaNasya BAzye darSana-at/ atas eva"-sarUpa"sUtre Bazye jAtO
   padārthe 'navayavena sākalyena vidhipravṛtteḥ"gauranubandhyaḥ"ityādau	padArTe anavayavena sAkalyena viDi-pravRtteH"-gOH-anubanDyaH"ityAdO
   sakala gavānubandhanāsambhavāt karmaṇo vaiguṇyamuktam/ dravyavāde	sakala gavA-anubanDana-asamBavAt karmaNaH vEguNyam-uktam/ dravya-vAde
   cāsarvadravyāvagateḥ 'gauranubandhyaḥ' ityādāvekaḥ śāstrokto 'paro	ca-asarva-dravya-avagateH agOH-anubanDyaH-a iti-AdO=-ekaH SAstra-uktaH aparaH-
   'śāstrokta ityuktam/	aSAstra-uktaH iti-uktam/
   kiñca nahi bhāṣyokta tṛjādidṛṣṭāntasya vyaktivakṣa eva sarva viṣayatvam na	kiQca na-hi BAzya-ukta tRjAdi-dRzwAntasya vyakti-vakzaH eva sarva vizaya-tvam na
   dātipakṣa ityatra mānamasti/	dAti-pakzaH iti-atra mAnam-asti/
   api ca vyaktipakṣe 'pyanyavyaktirūpa viṣayalābhena caritārthayoriyaṃ	api ca vyakti-pakze api-anya-vyakti-rUpa vizaya-lABena carita-arTayoH-iyam
   vyaktivirodhāt svaviṣayakatvaṃ na	vyakti-viroDAt sva-vizayaka-tvam na
   kalpayatīti vaktuṃ śakyam/ jātipakṣe 'pi	kalpayati-iti vaktum Sakyam/ jAti-pakze api
   tajjātyāśrayatadvyaktiviṣayakatvameva ; naitadvyaktiviṣayakatvamityatra	tad-jAti-ASraya-tad-vyakti-vizayaka-tvam-eva ; na-etat-vyakti-vizayaka-tvam-iti-atra
   niyāmakābhāvaḥ/	niyAmaka-aBAvaH/
   tatra lakṣyānusārāt kvacicchāstrīyadṛṣaṭāntāśrayaṇam,	tatra lakzya-anusArAt kvacid-SAstrIya-dRzawa-anta-ASrayaNam,
   kvacillaukikadṛṣṭāntāśrayaṇamiti bhāṣyasammata mārga eva yukta iti	kvacid-lOkika-dRzwAnta-ASrayaNam-iti BAzya-sammata mArgaH eva yuktaH iti
   bodhyam/	boDyam/
   dvayoḥ kāryayoryaugapadyenāsambhava eva vipratiṣedha śāstropayogī/	dvayoH kAryayoH-yOgapadyena-asamBavaH eva vipratizeDa SAstra-upayogI/
   idam"iko guṇa"iti sūtre kaiyaṭe	idam"ikaH guNa"-iti sUtre kEyawe
   spaṣṭam/	spazwam/
   yathā 'śiṣṭāt' ityādau tātaṅśībhāvayoryugapatpravṛttau	yaTA aSizwAt-a ityAdO tAtaFSI-BAvayoH-yugapad-pravRttO
   svasvanimittanantaryāsambhavaḥ/ yadyapi tātaṅādeḥ sthānivadbhavenāsthyeva	sva-sva-nimitta-nantaryA-samBavaH/ yadi-api tAtaFAdeH sTAni-vat-Bavena-asTi-eva
   tat, tathāpyādeśapravṛtyuttarameva saḥ, na tu tatpravṛttikāle/	tat, taTA-api-AdeSa-pravRti-uttaram-eva saH, na tu tad-pravRtti-kAle/
   evaṃ numtṛjvatvayoḥ 'priyakroṣṭūni' ityādau yugapadasambhavaḥ, yadāgamā	evam numtR-jva-tvayoH apriya-krozwUni-a ityAdO yugapad-a-samBavaH, yad-AgamA
   ityasya numpravṛtyuttaraṃ pravṛttaḥ/ evam 'bhindhi' ityatra	iti-asya numpravRti-uttaram pravRttaH/ evam aBinDi-a iti-atra
   tātaṅdhibhāvayoryugapadekasthānisambandhasyāṅgarūpanimittānantaryasya	tAtaFDi-BAvayoH-yugapad-eka-sTAni-sambanDasya-aFga-rUpa-nimitta-anantaryasya
   cāsambhavo bodhyaḥ/ numnuṭorapi nuṭyajādivibhaktyānantaryabādhaḥ, numi	ca-asamBavaH boDyaH/ numnuwoH-api nuwyaja-Adi-viBaktyA-anantarya-bADaH, numi
   hrasvantāṅgabādha ityasambhavāt vipratiṣedhaḥ/	hrasvanta-aFga-bADaH iti-asamBavAt vipratizeDaH/
   kvacidiṣṭānurodhena pūrvaśāstre svaritatvapratijñābalāt svaritenādhikaṃ	kvacid-izwa-anuroDena pUrvaSAstre svarita-tva-pratijQA-balAt svaritena-aDikam
   kāryamityarthāt pūrvameva bhavati/ tena sarve pūrva vipratiṣedhāḥ	kAryam-iti-arTAt pUrvam-eva Bavati/ tena sarve pUrva vipratizeDAH
   saṅgṛhītā iti"svaritena"iti sūtre bhāṣye/	saFgRhItAH iti"svaritena"-iti sUtre BAzye/
   vipratiṣedhasūtrasthaparaśabdhasyeṣṭavācitvāt tatsaṅgraha	vipratizeDa-sUtra-sTa-para-SabDasya-izwa-vAci-tvAt tad-saFgraha
   iti"vipratiṣedha" sūtre bhāṣye//	iti"vipratizeDa" sUtre BAzye//
   nanvevam 'edhate' ityādau paratvāt vikaraṇe"anudāttaṅitaḥ"ityādi	nanu-evam aeDate-a ityAdO paratvAt vikaraNe"anudAt-taFitaH"-ityAdi
   niyamānupapattiḥ, tena vyavadhānāt,	niyama-anupapattiH, tena vyavaDAnAt-,
   ata āha :-	atas Aha :-
   vikaraṇebhyo niyamo balīyān // Paribh_40 //	vikaraNeByaH niyamaH balIyAn // PariB_40 //
   atra"vṛdbhyaḥ syasanoḥ"iti sūtreṇa sye vibhāṣātaṅvidhānaṃ jñāpakam/	atra"vRdByaH syasanoH"iti sUtreNa sye viBAzA-taFviDAnam jQApakam/
   anyathā svavyavadhāne niyamāpravṛttau sāmānya śāstreṇobhayasiddhau	anyaTA sva-vyavaDAne niyama-apravRttO sAmAnya SAstreNa-uBaya-sidDO
   vikalpavidhānaṃ vyarthaṃ syāt/ atrārthe jñapite tu 'sya' iti tatra	vikalpa-viDAnam vyarTam syAt/ atra-arTe jQapite tu asyaa iti tatra
   viṣayasaptamī bodyeti"anudāttaṅitaḥ"ityatra bhāṣyakaiyaṭayoḥ spaṣṭam/	vizaya-saptamI bodya-iti-"anudAt-taFitaH"iti-atra BAzya-kEyawayoH spazwam/
   vikaraṇavyavadhāne 'pi niyamapravṛtteridaṃ jñapakamiti"śadeḥ śitaḥ"ityatra	vikaraNa-vyavaDAne api niyama-pravRtteH-idam jQapakam-iti"-SadeH SitaH"iti-atra
   bhāṣye dhvanitam/	BAzye Dvanitam/
   vastuto 'smājjñāpakāt"anudāttaṅitaḥ"ityādiprakaraṇaṃ	vastutas asmAd-jQApa-kAt"anudAt-taFitaH"iti-Adi-prakaraNam
   tibādividhyekavākyatayā vidhāyakam/ tatra"dhātoḥ"iti vihita pañcamī,	tibAdi-viDi-eka-vAkya-tayA viDAyakam/ tatra"DAtoH"iti vihita paQcamI,
   tatsāmānādhikaraṇam"anudāttaṅita"ityādi vihitaviśeṣaṇameva/	tad-sAmAna-aDikaraNam-"anudAttaFita"-ityAdi vihita-viSezaNam-eva/
   evañca lāvasthāyāṃ sye 'pi tadvyavadhāne taṅsiddhiḥ/ śabādibhyastu	evaQca lAvasTAyAm sye api tad-vyavaDAne tak-sidDiH/ Saba-AdiByaH-tu
   pūrvameva niyamaḥ/	pUrvam-eva niyamaH/
   yadvā lamātrāpekṣatvādantaraṅgā ādeśāḥ, lakāraviśeṣāpekṣatvāt syādayo	yat-vA la-mAtra-apekza-tvAt-antaraFgAH AdeSAH, lakAra-viSeza-apekza-tvAt syAt-ayaH-
   bahiraṅgā iti digyogalakṣaṇapañcamyāmapi na doṣaḥ/	bahis-aFgAH iti digyoga-lakzaNa-paQcamyAm-api na dozaH/
   atra pakṣe"vṛdbhyaḥ syasanoḥ"iti sūtraṃ syaviṣaya iti vyākhyayam/ ātmane	atra pakze"-vRdByaH syasanoH"iti sUtram syavizayaH iti vyAKyayam/ Atmane
   pada śabdādau bhavisaṃjñā'śrayaṇīyeti tatvam/	pada Sabda-AdO Bavi-saMjQA-aSrayaNIyA-iti tatvam/
   bhinnavākyatayā sāmānya śāstravihitānāṃ niyame tu lugādineva niyamena	Binna-vAkya-tayA sAmAnya SAstra-vihitAnAm niyame tu luga-AdinA-iva niyamena
   jātinivṛttiraṅgīkāryā/"bhuktavantaṃ prati mā bhukthā iti brūyāt, kiṃ tena	jAti-nivRttiH-aFgI-kArya-a/"Buktavantam prati mA BukTAH iti brUyAt, kim tena
   kṛtaṃ syāt"iti nyāyastu nātra śāstra āśrayituṃ yuktaḥ, niyamādi śāstrāṇāṃ	kRtam syAt-"iti nyAyaH-tu na-atra SAstre ASrayitum yuktaH, niyama-Adi SAstrANAm
   vaiyarthyāpatteḥ/ dhvanitaṃ cedam"sthane 'ntaratamaḥ"iti sūtre bhāṣye/	vEyarTya-ApatteH/ Dvanitam ca-idam"sTane antaratamaH"iti sUtre BAzye/
   śāstrānarthakyaṃ tu vṛddhisaṃjñā sūtre bhāṣyetiraskṛtam/	SAstra-AnarTakyam tu vRdDi-saMjQA sUtre BAzyetiraskRtam/
   sāmānyaśāstreṇotpattistu sarūpasūtrasttha kaiyaṭa rītyā pradhānānurodhena	sAmAnya-SAstreNa-utpattiH-tu sarUpa-sUtraH-tTa kEyawa rItyA praDAna-anuroDena
   guṇabhedakalpanā tāvatprakṛti kalpanayā kāryā, pratyayanivṛttau ca	guNa-Beda-kalpanA tAvat-prakRti kalpanayA kAryA, pratyaya-nivRttO ca
   tatkalpitaprakṛterapi nivṛttiḥ kalpyeti gauravamityanyatra vistaraḥ//	tad-kalpita-prakRteH-api nivRttiH kalpyA-iti gOravam-iti-anyatra vistaraH//
   parānnityaṃ balavat // Paribh_41 //	parAn-nityam balavat // PariB_41 //
   kṛtākṛtaprasaṅgitvāt/ tatrākḷptābhāvakasyābhāvakalpanāpekṣayā	kRta-akRta-prasaFgi-tva-at/ tatra-Ak?pta-aBAvakasya-aBAva-kalpanA-apekzayA
   kḷptābhāvakasyaiva tatkalpanamucitamiti, nityasya balavatve bījam//	k?pta-aBAvakasya-eva tat-kalpanam-ucitam-iti, nityasya balavatve bIjam//
   tadāha :-	tat-Aha :-
   kṛtākṛtaprasaṅgi nityam, tadviparītamanityam // Paribh_42 //	kRta-akRta-prasaFgi nityam, tad-viparItam-anityam // PariB_42 //
   ata eva 'tudati' ityādau parādapi guṇānnityatvāt śapratyayādirbhavati//	atas eva atudati-a ityAdO parAt-api guNAn-nitya-tvAt Sapratyaya-AdiH-Bavati//
   yadvyaktisambhandhitayā pūrvaṃ pravṛttistadvyaktisambhandhitayaiva punaḥ	yad-vyakti-samBanDi-tayA pUrvam pravRttiH-tad-vyakti-samBanDi-tayA-eva punar-
   pravṛttau	pravRttO
   kṛtākṛtaprasaṅgitvamityāśakhayenāha :-	kRta-akRta-prasaFgi-tvam-iti-ASa-Kayena-Aha :-
   śabdāntarasya prāpnuvanvidhiranityo bhavati // Paribh_43 //	Sabda-antarasya prApnuvan-viDiH-anityaH Bavati // PariB_43 //
   idaṃ 'śadeḥ śitaḥ' iti sūtre bhāṣye spaṣṭam/ tatra hi 'nyaviśata' ityatra	idam aSadeH SitaH-a iti sUtre BAzye spazwam/ tatra hi anya-viSata-a iti-atra
   vikaraṇe kṛte tadantasyāḍ, akṛte vikaraṇe dhātumātratasyetyaḍanitya	vikaraNe kRte tad-antasya-Ax, akRte vikaraNe DAtu-mAtratasya-iti-axa-nitya
   ityuktam//	iti-uktam-//
   etattulyanyāyenāha :-	etad-tulya-nyAyena-Aha :-
   śabdāntarāt prāpnuvataḥ śabdāntare prāpnuvataścānityatvam // Paribh_44 //	Sabda-antarAt prApnuvataH Sabda-antare prApnuvataH-ca-anitya-tvam // PariB_44 //
   etanmūlakamevāha :-	etat-mUlakam-eva-Aha :-
   latraṇāntareṇa prāpnuvan vidhiranityaḥ // Paribh_45 //	latraNa-antareNa prApnuvan viDiH-anityaH // PariB_45 //
   atideśaviṣaye iyam"asiddhavat"sūtre kaiyaṭenoktā //	atideSa-vizaye iyam"a-sidDavat"-sUtre kEyawena-uktA //
   yadā tu śāstravyatirekeṇa tadvidheyakāryayoreva nityatvādi vicāro yadāpi	yadA tu SAstra-vyatirekeNa tad-viDeya-kAryayoH-eva nitya-tva-Adi vicAraH yadA-api
   vyaktiviśeṣāśrayaṇābhāvaḥ, tadāha :-	vyakti-viSeza-ASrayaNa-aBAvaH, tat-Aha :-
   kvacitkṛtākṛtaprasaṅgamātreṇāpi nityatā // Paribh_46 //	kvacid-kRta-akRta-prasaFga-mAtreNa-api nitya-tA // PariB_46 //
   kṛte dvitīye nityatvenābhimatasya punaḥ prasaṅgamātraṃ nityatvavyavahāre	kRte dvitIye nitya-tvena-aBimatasya punar prasaFga-mAtram nitya-tva-vyavahAre
   prayojakam, na tu bādhakābādhita phalopahita prasaṅgo 'pi tatheti bhāvaḥ//	prayojakam, na tu bADaka-AbADita Pala-upahita prasaFgaH api taTA-iti BAvaH//
   tadāha :-	tat-Aha :-
   yasya ca lakṣaṇāntareṇa nimittaṃ vihanyate na tadanityam // Paribh_47 //	yasya ca lakzaNa-antareNa nimittam vihanyate na tat-anityam // PariB_47 //
   kvacittu bādhakābādhita phalopahita prasaṅga eva gṛhyate tadāha :-	kvacid-tu bADaka-AbADita Pala-upahita prasaFgaH eva gRhyate tat-Aha :-
   yasya ca lakṣaṇāntareṇa nimittaṃ vihanyate tadapyanityam // Paribh_48/./	yasya ca lakzaNa-antareNa nimittam vihanyate tat-api-anityam // PariB_48/./
   saptame kaiyaṭenaitadupaṣṭambhakaṃ lokavyavahāradvayamudāhṛtam/	saptame kEyawena-etat-upazwamBakam loka-vyavahAra-dvayam-udAhRtam/
   vālisugrīvayoryudhyamānayorbhagavatā vālini hate 'pi sugrīvasya vālitaḥ	vAli-sugrIvayoH-yuDyamAnayoH-BagavatA vAlini hate api sugrIvasya vAlitaH
   prābalyaṃ na vyavaharanti, bhagavatsahāyaiḥ pāṇḍavairjaye labdhepi	prAbalyam na vyavaharanti, Bagavat-sahAyEH pANxavEH-jaye labDepi
   pāṇḍavānāṃ prābalyaṃ vyavaharanti ceti	pANxavAnAm prAbalyam vyavaharanti ca-iti
   sarvaṃ cedaṃ lakṣyānurodhād vyavasthitam//	sarvam ca-idam lakzya-anuroDAt vyavasTitam//
   "luṭaḥ prathamasya"iti sūtre bhāṣye -	"luwaH praTamasya"-iti sUtre BAzye -
   svaribhannasya prāpnuvanvidhiranityo bhavati // Paribh_49 //	svari-Bannasya prApnuvan-viDiH-anityaH Bavati // PariB_49 //
   iti paṭhyate/ yatra tvekasyaiva kāryasya paratvaṃ nityatvaṃ ca,	iti paWyate/ yatra tu-ekasya-eva kAryasya paratvam nitya-tvam ca,
   tatrecchayānyatarattadubhayaṃ vā tasya balavatve niyāmakamullekhyam/ ata	tatra-icCayA-anyatarat-tat-uBayam vA tasya balavatve niyAmakam-ulleKyam/ ata
   eva tatra paratvānnityatvācceti bhāṣye ucyate/	eva tatra para-tvAt-nitya-tvAt-ca-iti BAzye ucyate/
   vastutastatra paratvādityuktirekadeśinaḥ/ spaṣṭaṃ cedaṃ vipratiṣedha sūtre	vastutas-tatra paratva-Adi-tyuktiH-eka-deSinaH/ spazwam ca-idam vipratizeDa sUtre
   kaiyaṭe/"ṇaucaṅi"iti hrasvāpekṣayā nityatvāntaraṅgatvaprayuktadvitvasya	kEyawe/"NOcaFi"iti hrasva-apekzayA nitya-tva-antaraFga-tva-prayukta-dvi-tvasya
   prathamataḥ pravṛttau nityatvādityeva bhāṣya uktam/ evaṃ	praTamatas pravRttO nitya-tvAt-iti-eva BAzya uktam/ evam
   nityāntaraṅgayorbalavatvamapi yaugapadyāsambhava eveti bodyam//	nitya-antaraFgayoH-balava-tvam-api yOgapadya-asamBavaH eva-iti bodyam//
   nityādapyantaraṅgaṃ balīyaḥ ; antaraṅge bahiraṅgasyāsiddhatvāt/ tadāha :-	nityAt-api-antaraFgam balIyaH ; antaraFge bahis-aFgasya-asidDa-tvAt/ tat-Aha :-
   asiddhaṃ bahiraṅgamantaraṅge // Paribh_50 //	asidDam bahis-aFgam-antaraFge // PariB_50 //
   antaḥumadhye, bahiraṅga śāstrīya nimittasamudāyamadhye, antarbhūtānyaṅgāni	antaHu-maDye, bahis-aFga SAstrIya nimitta-samudAya-maDye, antarBUtAni-aFgAni
   nimittāni yasya tadantaraṅgam/ evaṃ tadīyanimittasamudāyād	nimittAni yasya tad-antaraFgam/ evam tadIya-nimitta-samudAyAt-
