   // nyāyavārttikatātparyapariśuddhiḥ //	// nyAyavArttika tAtparya pariSudDiH //
   tatra sukhalakṣaṇaṃ śreyo dṛṣṭamadṛṣṭaṃ vā /	tatra suKa lakzaNam SreyaH dRzwam adRzwam vA /
   naitacchāstrasādhyam, tasya sragādiyāgādisādhyatvāt /	na etat SAstra sADyam, tasya sraj Adi yAga Adi sADya tvAt /
   ātyantikasya ca tasyābhāvāt /	Atyantikasya ca tasya aBAvAt /
   ahitanivṛttirapyanātyantikī dṛṣṭādṛṣṭabhinnā naitacchāstrasādhyā, tasyāḥ	ahita nivRttiH api anAtyantikI dRzwa adRzwa BinnAH na etat SAstra sADyA, tasyAH
   prasaktakaṇṭakādihisādiparihārasādhyatvāt, tadaprasaktau tvasādhyatvāt /	prasakta kaNwaka Adi hisA Adi parihAra sADya tva at, tad aprasaktO tu asADya tvAt /
   ata	ata
   ātyantikīmahitanivṛtti nirdhārayituṃ punarbhinattītyāha  ahitanivṛtteriti	AtyantikIm ahita nivRtti nirDArayitum punar Binatti iti Aha  ahita nivRtteH iti
   nanu yadi nivṛttiriti nanu yadi nivṛttiḥ prāgabhāvo duḥkhasya, sa	nanu yadi nivRttiH iti nanu yadi nivRttiH prAgaBAvaH duHKasya, sa
   kathamātyantikaḥ? uttarāntānavacchedo hi ātyantikatvam /	kaTam AtyantikaH? uttara anta anavacCedaH hi Atyantika tvam /
   prāgābhāvasya ca tathātve prāgityeva na syāt /	prAgABAvasya ca taTA tve prAk iti eva na syAt /
   atha nivṛttiḥ pradhvaṃsaḥ, sa ca sarva evātyantika iti kuto	aTa nivRttiH praDvaMsaH, sa ca sarve eva AtyantikaH iti kuto
   nivṛtterātyantikatvavyutpādanamityata āha  ātyantikatvamiti /	nivRtteH Atyantika tva vyutpAdanam iti atas Aha  Atyantika tvam iti /
   nivṛttasya nivṛttajātīyasya punaranutpādaḥ /	nivRttasya nivRtta jAtIyasya punar anutpAdaH /
   tatraivātmanīti śeṣaḥ //	tatra eva Atmani iti SezaH //
   nanvekaviṃśatiprabhedabhinnaduḥkṣahānireva ātyantikī duḥkhanivṛttiḥ,	nanu ekaviMSati praBeda Binna duHkzahAniH eva AtyantikI duHKa nivRttiH,
   tatkathaṃ hānyeti vāttikamityata āha  sa ceti /	tat kaTam ha anyeti vAttikam iti atas Aha  sa ca iti /
   nivṛttyā nivṛttisvarūpeṇa lakṣyate /	nivRttyA nivRtti svarUpeNa lakzyate /
   atra ca kāryaśabdena duḥkhamuktam /	atra ca kArya Sabdena duHKam uktam /
   kāraṇaśabdena śarīrendriyaviṣayabuddhayaḥ /	kAraNa Sabdena SarIra indriya vizaya budDayaH /
   anuṣaḍgi sukhaṃ duḥkhenaikakāraṇatvāt /	anuzaxgi suKam duHKena eka kAraNa tvAt /
   atha śarīrādiṣu nivṛtteṣvapi dukhaṃ kiṃ na bhavet? mā bhūd duḥkham, sukhaṃ	aTa SarIra Adizu nivRttezu api duKam kim na Bavet? mA BUt duHKam, suKam
   kiṃ na bhavet? na	kim na Bavet? na
   hyanyasminnatyantanivṛtte anyanna bhavati /	hi anyasmin= atyanta nivRtte anyat na Bavati /
   tathā cānuṣaḍgāsukhinivṛttiḥ kimupavarṇyaya ityata āha  na hīti /	taTA ca anuzaxgA suKi ni vRttiH kim upavarNyayaH iti atas Aha  na hi iti /
   kāraṇa vinā bhavatkāryaṃ kāryatāmava jahyāt /	kAraNa vinA Bavat kAryam kArya tAm ava jahyAt /
   atḥ śarīrādiṣvasatsu duḥkhavat sukhamapi na bhavati, tasyāpi tatkāryatvāt	atH SarIra Adizu asatsu duHKa vat suKam api na Bavati, tasya api tad kAryatvAt
   bhavadvā śarīrādiṣu satsveva bhavet /	Bavat vA SarIra Adizu satsu eva Bavet /
   tathā ca duḥkhamapi bhavet kāraṇasadbhāvādityarthaḥ /	taTA ca duHKam api Bavet kAraNa sadBAvAt iti arTaH /
   atraivārthe vāttikaṃ yojanayati  tadidamuktamiti /	atra eva arTe vAttikam yojana yati   tad idam uktam iti /
   anenaiva kāraṇamavidyātṛṣṇe, kāryāpravṛttiranuṣaḍgiṇau dharmādharmāviti	anena eva kAraNam avidyA tRzNe, kArya apravRttiH anuzaxgiNO Darma aDarmO= iti
   ṭīkāvyākhyānam apahastitam, śarīrādīnāṃ duḥkhatvamanubhavabādhitamityata	wIkA vyAKyAnam apahastitam, SarIra AdInAm duHKa tvam anuBava bADitam iti ata
   āha   gauṇeti //	Aha  gONa iti //
   nuna ghrāṇādisūtre(1.1.12) pañcendriyāṇi prasiddhāni /	nuna GrANa Adi sUtre(1.1.12) paQca indriyANi prasidDAni /
   na ca pradeśāntare 'pi ṣaḍityata āha  ṣaṣṭhamiti /	na ca pradeSa antare api zaw iti atas Aha  zazWam iti /
   tantrayuktyeti bhāvaḥ /	tantra yuktyA iti BAvaH /
   nanu viṣayā apyanitaretarasādhanasādhyāḥ pajcaiva vibhāge parīkṣāyāṃ ca	nanu vizayAH api anitaretara sADana sADyAH pajcA eva viBAge parIkzAyAm ca
   siddhāḥ, na tu ṣaḍityata āha  tasyeti /	sidDAH, na tu zaz iti atas Aha  tasya iti /
   yadyapi buddhisukhaduḥkhānyapi manaso viṣayaḥ, tathāpi, tasyaiva	yadi api budDi suKa duHKAni api manasaH vizayaH, taTA api, tasya eva
   viṣayatvena duḥkhatvopacāro cadviṣayīkriyamāṇaṃ duḥkhamupajanayati /	vizaya tvena duHKa tva upacAraH cat vizayIkriyamANam duHKam upajanayati /
   vakṣyati hi  viṣayā bodhyatvāditi /	vakzyati hi  vizayA boDya tvAt iti /
   na ca buddhirbudhyamānā duḥkhahetuḥ /	na ca budDiH buDyamAnAH duHKa hetuH /
   vakṣyati hi  buddhayastu sākṣāditi /	vakzyati hi   budDayaH tu sAkzAt iti /
   sukhaduḥkhayostu duḥkhahetutvameva nāsti, sukhasya vijātīyārambhakatve 'pi	suKa duHKayoH tu duHKa hetu tvam eva nAsti, suKasya vijAtIya AramBaka tve api
   rāgamātrāmbhakatvāt /	rAga mAtra amBaka tvAt /
   duḥkhasya tu vijātīyārambhakatvādeva /	duHKasya tu vijAtIya AramBaka tvAt eva /
   icchādveṣaprayatnāstu pratīyamānā eva sākṣād duḥkha janayanti /	icCA dveza prayatnAH tu pratIyamAnAH eva sAkzAt duHKa janayanti /
   tathā hi, mumukṣustāvadicchāmi dveṣmi yogābhyāsādanyatra prayata iti	taTA hi, mumukzuH tAvat icCAmi dvezmi yoga aByAsAt anyatra prayate iti
   pratītyaiva duḥkhī bhavati, ahitasādhanatvenecchādveṣaprayatnānāṃ	pratItyA eva duHKI Bavati, ahita sADana tvena icCA dveza prayatnAnAm
   tenāvadhāritatvāt /	tena avaDArita tvAt /
   anyo 'pīṣyamāṇālābhe bubhukṣito 'smi pipāsito 'smīti pratītya duḥkhī	anyaH apIzyamANa alABe buBukzitaH asmi pipAsitaH asmi iti pratItya duHKI
   bhavati /	Bavati /
   hitamevāhitamupalabhya dviṣato nivṛttabhramasya hitameva dveṣmi, dhiḍ	hitam eva ahitam upalaBya dvizataH nivRtta Bramasya hitam eva dvezmi, Dix
   māmiti duḥkham /	mAm iti duHKam /
   evamaniṣṭa evārthe iṣṭabuddhyā prayatamānasya nivṛtte bhrame tathā	evam anizwaH eva arTe izwa budDyA prayatamAnasya nivRtte Brame taTA
   alasasya prayatnamupalabhyaiva duḥkhamityetāvataita eva manaso viṣayatvena	alasasya prayatnam upalaBya eva duHKam iti etAvatA ete eva manasaH vizaya tvena
   nirdiṣṭāḥ //	nirdizwAH //
   nanu jarākuṣṭādyupahatadehasyopalabhyamānameva śarīraṃ duḥkhahetuḥ,	nanu jarA kuzwa Adi upahata dehasya upalaByamAnam eva SarIram duHKa hetuH,
   tatrāpi viṣayatvenaiva duḥkhatvopacāraḥ syādityata āha  yadyapīti /	tatra api vizaya tvena eva duHKa tva upacAraH syAt iti atas Aha  yat yapi iti /
   anyathāsya duḥkhahetubhāvo 'sādhāraṇa iti śeṣaḥ /	anyaTA asya duHKa hetu BAvaH asADAraNaH iti SezaH /
   viṣayatvena puraridaṃ na ṣaḍbhyo bhidyate /	vizaya tvena puraridam na zaxByaH Bidyate /
   asādhāraṇendriyasaṃbandhāttu bhidyate /	asADAraNa indriya saMbanDAt tu Bidyate /
   na tu svarūpeṇa, viṣayāṇāmanantatvādityarthaḥ /	na tu svarUpeNa, vizayANAm ananta tvAt iti arTaH /
   iha yadyapi anuṣaḍgo 'vinābhāva iti vakṣyati vāttikakāraḥ, tadupapattaye	iha yadi api anuzaxgaH avinABAvaH iti vakzyati vAttikakAraH, tad upapattaye
   ca samānanimittatāsāmānādhāratāsamānopalabhyatāḥ, tathāpi na	ca samAna nimitta tA sA mAna ADAra tA samAna upalaByatAH, taTA api na
   tāvanmātreṇāvinābhāvo nirvahati /	tAvat mAtreNa AvinA BAvaH nirvahati /
   sādhāraṇanimittāyāmapi hyanyatarāsādhāraṇanimittanivṛttāvekataranivṛttau	sADAraNa nimittAyAm api hi anyatarA sADAraNa nimitta nivRttO= ekatara nivRttO
   itarānavṛttisaṃbhavāt /	itarAna vRtti saMBavAt /
   ata eva ādhārasyopalabdhisādhanasya ca sāmye 'pyekatarasya	atas eva ADArasya upalabDi sADanasya ca sAmye api ekatarasya
   kāraṇābhāvenābhāve 'pyanyatarasabhdāvenāvinābhāva ityāśaḍkya sukhasya	kAraNa aBAvena aBAve api anyatara saBdO= ena avinABAvaH iti ASaxkya suKasya
   duḥkhānuṣaḍgopapattaye duḥkhahetvanuṣaṅgamevāha  sādhaneti /	duHKa anuzaxga upapattaye duHKa hetu anuzaFgam eva aha   sADana iti /
   ato na dvitīyasūtravārtikaṭīkābhyāṃ virodhaḥ /	atas na dvitIya sUtra vArti kawIkAByAm viroDaH /
   sādhanapāratantryaṃ kāryātvāt /	sADana pAratantryam kAryAtvAt /
   akāryasya ca sukhasyābhāvāt /	akAryasya ca suKasya aBAvAt /
   pāratantryaṃ ca daṃḥkhahetuḥ /	pAratantryam ca daMHKa hetuH /
   yadāha  	yat A aha  
   sarva paravaśaṃ duḥkham /	sarva para vaSam duHKam /
   iti /	iti /
   kṣayitvaṃ ca sukhasya samavāyikāraṇavattvāt /	kzayitvam ca suKasya samavAyikAraNavat tvAt /
   tadapi duḥkhahetuḥ, iṣṭaviyogo hi duḥkhaṃ janayatīti /	tat api duHKa hetuH, izwa viyogaH hi duHKam janayati iti /
   kṣayitvaṃ kāme satīti tu vyākhyānaṃ duḥkhahetava iti bahuvacanaviruddham,	kzayitvam kAme sati iti tu vyAKyAnam duHKa hetavaH iti bahuvacana virudDam,
   ataḥ svatantramevedaṃ hetutrayam //	atas svatantram eva idam hetu trayam //
   kāma icchā /	kAmaH icCA /
   sāca sukhatatsādhanayorvyāpikā /	sA ca suKa tad sADanayoH vyApikA /
   na hi sukha tatsādhanaṃ vā anicchataḥ sukhaṃ nāma sukhasādhanaṃ ca /	na hi suKa tad sADanam vA anicCataH suKam nAma suKa sADanam ca /
   tadapi sulabhaṃ durlabhaṃ ca /	tat api sulaBam durlaBam ca /
   tatra durlabhecchā duḥkhaikaphalaiva /	tatra durlaBa icCA duHKa eka PalA eva /
   sulabhecchātvaniṣiddhasādhanagocarā niṣiddhasādhanagocarā ca /	sulaBa icCAtu anizidDa sADana gocarA nizidDa sADana gocarA ca /
   tatra niṣaddhasādhānagocarāpi svarūpataḥ	tatra nizadDa sADAna gocarA api svarUpataH
   kāryataścādharmajananadvāreṇāvaśyaṃ duḥkhaphaleti /	kAryataH ca aDarma janana dvAreNa avaSyam duHKa Pala iti /
   aniṣiddhasulabhasādhānagocarāpi śarīrapāṭave satsati vā /	anizidDa sulaBa sADAna gocarA api SarIra pAwave satsati vA /
   tatrāsati duḥkhahetureva /	tatra asati duHKa hetuH eva /
   śarīrādipāṭave 'pi savighnā nirvighnā ca /	SarIra Adi pAwave api sa viGnA nirviGnA ca /
   tatra savighnā duḥkhameva prasūte /	tatra sa viGnA duHKam eva prasUte /
   nirvighnāpyaniṣṭasaṃbhinnaviṣayā tadviparītā ca /	nirviGnA api anizwa saMBinna vizayA tad viparItA ca /
   tatra prathamā avaśyaṃ	tatra praTamA avaSyam
   duḥkhahetuḥ /	duHKa hetuH /
   dvitīyā tu viphalā saphalā ca /	dvitIyA tu viPalA saPalA ca /
   tatra prathamā duḥkhahetureva /	tatra praTamA duHKa hetuH eva /
   dvitīyā tu savilambaphalā avilambphalā ca /	dvitIyA tu sa vilamba PalA avilambPalA ca /
   tatra prathamā avaśyameva duḥkhahetuḥ /	tatra praTamAH avaSyam eva duHKa hetuH /
   dvitīyāpyanāyativiśuddhā tadviparītā ca /	dvitIyA api anAyati viSudDA tad viparItA ca /
   tatra prathamā duḥkhahetureva /	tatra praTamA duHKa hetuH eva /
   dvitīyā tu viṣayasya piriṇativirasatvād duḥkhameva prasūte, ativyāmohād	dvitIyA tu vizayasya piriNati virasa tvAt duHKam eva prasUte, ati vyAmohAt 
   viṣayeṣveva magnasyecchāntarameva vā, ubhayathāpyanarthamūlamiti /	vizayezu eva magnasya icCA antaram eva vA, uBayaTA api anarTa mUlam iti /
   evaṃ sukhānuṣaktaḥ kāmo 'pi duḥkhaheturiti /	evam suKa anuzaktaH kAmaH api duHKa hetuH iti /
   iha yadyapi rāgadveṣamohapravṛttayo 'pi	iha yadi api rAga dveza moha pravRttayaH api
   duḥkhatadanuḍgisādhanabhāvādindriyādivat duḥkhatvena	duHKa tadanuxgi sADana BAvAt indriya Adi vat duHKa tvena
   parisaṃkhyātumucitāstathāpi na śarīrendriyādivyatirekeṇāmūṣāmātmalābho	parisaMKyAtum ucitAH taTA api na SarIra indriya Adi vyatirekeNa am UzAm Atma lABaH 
   duḥkhaṃ prati vyāpāro vā, indriyādīnāṃ punardeṣapravṛttyabhāve 'pi duḥkhaṃ	duHKam prati vyApAraH vA, indriya AdInAm punar deza pravRtti aBAve api duHKam
   prati vyāpāro jīvanmuktasyāstyeva /	prati vyApAraH jIvanmuktasya asti eva /
   pravṛttiphalaṃ tu dharmādharmau yadyapi sukhaduḥkhahetū,	pravRtti Palam tu Darma aDarmO yadi api suKa duHKa hetU,
   tathāpyekaviṃśatividha duḥkhamayasaṃsāranṛtyaśālā	taTA api ekaviMSati viDa duHKa maya saMsAra nRtya SAlA
   mūlastambhatvādanayornātra parisaṃkhyānam /	mUla stamBa tvAt anayoH na atra parisaMKyAnam /
   na hi bhāvini janmāntare śarīrendriyāviṣayabuddhisukhaduḥkhānyāhatya	na hi BAvini janma antare SarIra indriya avizaya budDi suKa duHKAni Ahatya
   vyāpriyante yathā dharmādharmau //	vyApriyante yaTA Darma aDarmO //
   etadevābhisaṃdhāya kāraṇarūpadharmādharmocchedakrameṇa	etat eva aBisaMDAya kAraNa rUpa Darma aDarma ucCeda krameNa
   kāryarūpaikaviṃśatividhaduḥkhasyocchedovārttikakṛtā darśita iti tathaiva	kArya rUpa ekaviMSativiDa duHKasya ucCedaH vArttika kRtA darSitaH iti taTA eva
   vāttikamavatārayati  uktaprakāreti /	vAttikam avatArayati   ukta prakAra iti /
   iha cāgāmidharmādharmanivṛttāvupāyastatsādhanapravṛttiparityāgaḥ,	iha ca AgAmi Darma aDarma nivRttO= upAyaH tad sADana pravRtti parityAgaH,
   utpannanivṛtau tūpabhoga iti	utpanna nivRtO tu upaBogaH iti
   darśitam /	darSitam /
   tadubhayamapyanupapannam, vāgbuddhiśarīrāmbhaṃ parityajya	tat uBayam api anupapannam, vAc budDi SarIra amBam parityajya
   jīvitumaśaktayatvāt /	jIvitum aSaktayatvAt /
   mṛte 'pi śadīrādyantarajralepasya dupaneyatvāt, upabhāgaścāśakyaḥ,	mRte api SadIra Adi antarajra lepasya dupaneya tva at, upaBAgaH ca aSakyaH,
   aniyatavipākasamayatvāt, anantatvādanantaphalatvācca /	aniyata vipAka samaya tva at, ananta tvAt ananta Pala tvAt ca /
   bhogāvasthāyāmapyanantakarmāntarotpādanatāyā avarāmāt /	Boga avasTAyAm api ananta karma antara utpAda natAyAH avarAmAt /
   atha kathañcidupabhogānutpādābhyāmutpannānutpannayoḥ śakyaḥ prakṣayaḥ,	aTa kaTaQcid upaBoga anutpAdAByAm utpanna an utpannayoH SakyaH prakzayaH,
   tarhi śāstravaiyarthyaprasaṅgaḥ, tata eva tatsiddherityāśaḍkya	tarhi SAstra vEyarTya prasaFgaH, tatas eva tad sidDa iriti ASaxkya
   vārttikasyopaskurūte  saṃśayādīti /	vArttikasya upaskurUte  saMSaya Adi iti /
   saṃśayādītyādipadena caturdaśāpi nyāyaparikaratvena saṃgṛhītāḥ /	saMSaya Adi ityAdi padena caturdaSA api nyAya parikara tvena saMgRhItAH /
   paramanyāyetyanene mūlamūlībhāvavyavasthitāni catvāryapi pramāṇāni /	param anyAya iti anene mUlamUlIBAva vyavasTitAni catvAri api pramANAni /
   nyāyo mārga iva nyāyamārgaḥ, niḥreyasabhūmeḥ prāptihetutvāt /	nyAyaH mArgaH iva nyAya mArgaH, niHreyasa BUmeH prApti hetu tvAt /
   dvādaśavidhetyātmādi prameyam /	dvAdaSaviDA iti Atma Adi prameyam /
   tadanena śāstrasyāvasaropayogau darśitau /	tat anena SAstrasya avasara upayogO darSitO /
   tattvaparibhāvanetyanenābhyāsasya /	tattva pariBAvanA iti anena aByAsasya /
   tadevaṃ pūrvoktena nyāyena mokṣamāṇasya śāstre pravṛttiḥ /	tat evam pUrva uktena nyAyena mokzamANasya SAstre pravRttiH /
   tataḥ parikaraparijñānam /	tatas parikara parijQAnam /
   tato nyāyamārgapariśodhanam /	tatas nyAya mArga pariSoDanam /
   tatastena dvādaśavidhaprameyāsādanam, tato 'bhyāsaḥ, tataḥ prasaṃkhyānam /	tatas tena dvAdaSaviDa prameya AsAdanam, tatas aByAsaH, tatas prasaMKyAnam /
   tataḥ samūladoṣānuṣaṅganirmokṣaḥ /	tatas sa mUla doza anuzaFga nirmokzaH /
   tato 'pravṛttiḥ /	tatas apravRttiH /
   tata āgāminordharmādharmayorasaṃcayaḥ /	tatas AgAminoH Darma aDarmayoH asaMcayaH /
   ityevamanāgataḥ pravāho nivāritaḥ //	iti evam anAgataH pravAhaH nivAritaH //
   yadyapi ca yāvaccharīrādibhāvinī pravṛttistathāpi	yadi api ca yAvat SarIra Adi BAvinI pravRttiH taTA api
   doṣānuṣaṅgasahakārivirahānnāsau pravṛttiḥ	doza anuzaFga sahakAri virahAt na asO pravRttiH
   tatkāryāsamarthatvāditi /	tad kArya asamarTa tvAt iti /
   utpannabhogamupapādayati  anādīti /	utpanna Bogam upapAdayati  anAdi iti /
   yadyapi yathānādau bhāvaparamparāyāṃ karmāṇi pracīyante tathāpacīcante 'pi	yadi api yaTA anAdO BAva paramparAyAm karmANi pracIyante taTA apacIcante api
   na hyārambhe paraṃ bhavasyānāditā /	na hi AramBe param Bavasya anAditA /
   nanūpabhoge karmārambho hyadhikāriṇi śarīre /	na nu upaBoge karma AramBaH hi aDikAriNi SarIre /
   tacca śarīrakoṭimadhyapatitamekaṃ śarīraṃ	tat ca SarIra kowi maDya patitam ekam SarIram
   kadācit kiñcit kvacideva /	kadAcid kiQcid kvacid eva /
   bhogastu nāstyeva taccharīraṃ yatra nāsti, bhogasya tadāyatanatvāt /	BogaH tu na asti eva tat SarIram yatra nAsti, Bogasya tad Ayatana tvAt /
   tasmādāyavyayaparyālocanayā parimitameva karma /	tasmAdAya vyaya paryAlocanayA parimitam eva karma /
   ata eva niyavipākasamayamapi /	atas eva niyavipAka samayam api /
   tasya ca kramabhāvibhirapi kiyadbhiḥ	tasya ca krama BAviBiH api kiyadBiH
   kaiścideva śarīrairūpabhogāt prakṣayo 'pi na durūpapādaḥ /	kEScid eva SarIrE rUpa BogAt prakzayaH api na durUpa pAdaH /
   tathāpyāgamaprāmāṇyāt kāyayaugapadyasyāpi prasaṃkhyānaphalatayā	taTA api Agama prAmANyAt kAya yOgapadyasya api prasaMKyAna Pala tayA
   siddhatvādanantāmaniyatavipākasamayatāṃ cābhyupagamyaiva parihṛtam /	sidDa tvAt ananta Am a niyata vipAka samaya tAm ca aByupagamya eva parihRtam /
   vibhūtimatā anekakālopabhogyamapyekadā bhujyata ityatra	viBUtimatA aneka kAla upaBogyam api ekadA Bujyate iti atra
   samudrapānamudāharaṇam /	samudra pAnam udAharaNam /
   yogardhiprabhāvasampanno vividhaphalabhogino vicitrasvabhāvānekadaiva	yogarDi praBAva sampannaH viviDa Pala BoginaH vicitra svaBAvAn ekadA eva
   bahūn kāyān icchāmātreṇaiva nirmimīta ityatra	bahUn kAyAn icCA mAtreNa eva nirmimItaH iti atra
   daṇḍakāraṇyasṛṣṭirūdāhaṇamiti //	daNxaka araNya sRzwiH u udAhaNam iti //
   iha kecid āhuḥ, duḥkhanivṛtti puruṣārtha eva svarūpato na bhavati	iha kecid AhuH, duHKa nivRtti puruza arTaH eva svarUpataH na Bavati
   sopādhitvāt /	sa upADi tvAt /
   sukhaṃ duḥkhābhāve satyeva bhavatīti sukhasādhanāntaravat duḥkhābhāvo 'pi	suKam duHKa aBAve satyeva Bavati iti suKa sADana antara vat duHKa aBAvaH api
   mṛtyate /	mRtyate /
   na nu sa eva puruṣasya samīhita iti /	na nu saH eva puruzasya samIhitaH iti /
   taduktam,	tat uktam,
   varaṃ vṛndāvane 'raṇye kroṣṭatvamabhivāñchitum /	varam vRndAvane araNye krozwa tvam aBivAQCitum /
   na tu vaiśeṣikī muktiṃ gautamo gantumicchati //	na tu vESezikI muktim gOtamaH gantum icCati //
   iti /	iti /
   tadanupapannam, viparyāsasyāpi saṃbhavāt, bhojanādisukhe satyeva hi	tad anupapannam, viparyAsasya api saMBavAt, Bojana Adi suKe sati eva hi
   bubhukṣādiduḥkhaṃ nivartata iti duḥkhanivṛttyarthameva bhojanādisukhaṃ	buBukzA Adi duHKam nivartate iti duHKa nivRtti arTam eva Bojana Adi suKam
   mṛgyate /	mRgyate /
   na punastadeva tasya samīhitamiti kiṃ na kalpayate /	na punar tat eva tasya samIhitam iti kim na kalpayate /
   kvacid duḥkhabhāve 'pi sukhasyeṣyamāṇatvā diti cet  na, duḥkhanivṛtterapi	kvacid duHKa BAve api suKasya izyamANa tvA diti cet  na, duHKa nivRtteH api
   kvacit sukhābhāve 'pīṣyamāṇatvādeva /	kvacid suKa aBAve apIzyamANa tvAt eva /
   duḥkhanivṛttau satyāṃ sukhameva bhaviṣyatītyabhisandhistāvadastīti cet na,	duHKa nivRttO satyAm suKam eva Bavizyati iti aBisanDiH tAvat asti iti cet na,
   sukhāvasthāyāṃ niyamato duḥkhaviraho bhaviṣyatītyabhisandhestatrāpi	suKa avasTAyAm niyamataH duHKa virahaH Bavizyati iti aBisanDeH tatra api
   saṃbhavāt /	saMBavAt /
   tasmād yadyapi duḥkhahānau sukham, sukhe ca duḥkhahānirniyatā, tathāpi	tasmAt yadi api duHKa hAnO suKam, suKe ca duHKa hAniH niyatA, taTA api
   parasparanirapekṣameva puruṣārthatvamanayoricchayoḥ apyasaṃkīrṇaviṣayatvāt	paraspara nirapekzam eva puruza arTa tvam anayoH icCayoH api asaMkIrNa vizaya tvAt
   anyastvāha  bhavatyeva hi duḥkhahāniḥ puruṣārthaḥ, kiṃ tvanubhūyamānatayā	anyaH tu Aha  Bavati eva hi duHKa hAniH puruza arTaH, kim tu anuBUyamAna tayA
   na hi viṣādijanyamohāvasthāyāṃ duḥkhanivṛttiriti tadarthaṃ prekṣāvantaḥ	na hi viza Adi janya moha avasTAyAm duHKa nivRttiH iti tad arTam prekzAvantaH
   pravartante /	pravartante /
   tasmāt mokṣe duḥkhahānerananubhūyamānatvānna puruṣārthatvamiti /	tasmAt mokze duHKa hAneH ananuBUyamAna tvAt na puruza arTa tvam iti /
   taduktam,	tat uktam,
   duḥkhābhāvo 'pi nāvedyaḥ puruṣārthatayeṣyate /	duHKa aBAvaH api na AvedyaH puruza arTa tayA izyate /
   na hi mūrcchādyavasthārthaṃ pravṛtto dṛśyate sudhīḥ //	na hi mUrcCA Adi avasTa arTam pravRttaH dRSyate suDIH //
   iti /	iti /
   tadapyanupapannam, putrādiviyogajanyaduḥkhahānimicchato keṣāñcid	tat api anupapannam, putra Adi viyoga janya duHKa hAnim icCataH kezAQcid 
