   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati sAhasrikA PrajQApAramitA
   yāvad akaniṣṭhā devās te 'pi tasya bodhisattvasya mahāsattvasya rakṣāṃ	yAvat akanizWAH devAH te api tasya boDisattvasya mahAsattvasya rakzAm
   kurvanti, mā khalv asya bodhisattvasya mahāsattvasyāntarāyo 'bhūd iti.	kurvanti, mA Kalu asya boDisattvasya mahAsattvasya antarAyaH aBUt iti.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm
   carataḥ, alpakṛcchreṇa dhāraṇīmukhāni samādhimukhāni cāmukhībhavanti	carataH, alpa kRcCreNa DAraNI muKAni samADi muKAni ca amuKIBavanti
   sarvopapattyāyataneṣu ca tathāgatān arhataḥ samyaksaṃbuddhān ārāgayati	sarva upapatti Ayatanezu ca taTAgatAn arhataH samyaksaMbudDAn ArAgayati
   nanu kadācid buddhair bhagavadbhir virahito bhavati, yāvad anuttarāṃ	nanu kadAcid budDEH BagavadBiH virahitaH Bavati, yAvat anuttarAm
   samyaksaṃbodhim abhisaṃbuddhya iti, evaṃ hi śāriputra bodhisattvo	samyaksaMboDim aBisaMbudDyaH iti, evam hi SAriputra boDisattvaH 
   mahāsattvaḥ prajñāpāramitāyāṃ caran yukta iti vaktavyaḥ.	mahAsattvaH prajQApAramitAyAm caran yuktaH iti vaktavyaH.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm
   carato naivaṃ bhavati, asti sa kaścid dharmo yo dharmaiḥ saha saṃyujyate	carataH na evam Bavati, asti sa kaScid DarmaH yaH DarmEH saha saMyujyate
   vā visaṃyujyate vā.	vA visaMyujyate vA.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm
   carato naivaṃ bhavati, kañcid ahaṃ kṣiprataraṃ dharmadhātum	carataH na evam Bavati, kaQcid aham kziprataram DarmaDAtum
   abhisaṃbudhyeyaṃ vā na cābhisaṃbudhyeyaṃ, tat kasya hetoḥ? na hi	aBisaMbuDyeyam vA na ca aBisaMbuDyeyan, tat kasya hetoH? na hi
   dharmadhātur dharmadhātunābhisaṃbudhyate, evaṃ hi śāriputra bodhisattvo	DarmaDAtuH DarmaDAtu nABisaMbuDyate, evam hi SAriputra boDisattvaH 
   mahāsattvaḥ prajñāpāramitāyāṃ caran yukta iti vaktavyaḥ.	mahAsattvaH prajQApAramitAyAm caran yuktaH iti vaktavyaH.
   punar aparaṃ śāriputra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran na	punar aparam SAriputra boDisattvaH mahAsattvaH prajQApAramitAyAm caran na
   kiñcid dharmadhātor vyatiriktaṃ samanupaśyati, nāpi dharmadhātor	kiQcid DarmaDAtoH vyatiriktam samanupaSyati, na api DarmaDAtoH 
   dharmanānākaraṇaṃ karoti, nāpy asyaivaṃ bhavati, ayaṃ dharmadhātur evaṃ	Darma nAnA karaNam karoti, na api asya evam Bavati, ayam DarmaDAtuH evam
   pratividhyate na vā pratividhyata iti, tathā hi na sa kañcid dharmaṃ	prativiDyate na vA prativiDyate iti, taTA hi na sa kaQcid Darmam
   samanupaśyati yena dharmeṇa tāṃ dharmatāṃ pratividhyed iti, tathā hi sa na	samanupaSyati yena DarmeNa tAm Darma tAm prativiDyet iti, taTA hi sa na
   dharmadhātuṃ śūnyam iti yojayati nāśūnyam iti yojayati, evaṃ hi (PvsP1 1:	DarmaDAtum SUnyam iti yojayati na aSUnyam iti yojayati, evam hi (PvsP1 1:
   78) śāriputra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran yukta iti	78) SAriputra boDisattvaH mahAsattvaH prajQApAramitAyAm caran yuktaH iti
   vaktavyaḥ.	vaktavyaH.
   punar aparaṃ śāriputra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran na	punar aparam SAriputra boDisattvaH mahAsattvaH prajQApAramitAyAm caran na
   cakṣurdhātuṃ śūnyatayā yojayati na śūnyatāṃ cakṣurdhātunā yojayanti, na	cakzuH DAtum SUnyatayA yojayati na SUnyatAm cakzuH DAtunA yojayanti, na
   rūpadhātuṃ śūnyatayā yojayati na śūnyatāṃ rūpadhātunā yojayati, na	rUpa DAtum SUnyatayA yojayati na SUnyatAm rUpa DAtunA yojayati, na
   cakṣurvijñānadhātuṃ śūnyatayā yojayati na śūnyatāṃ cakṣurvijñānadhātunā	cakzuH vijQAna DAtum SUnyatayA yojayati na SUnyatAm cakzuH vijQAna DAtunA
   yojayati.	yojayati.
   na śrotradhātuṃ śūnyatayā yojayati na śūnyatāṃ śrotradhātunā yojayati, na	na Srotra DAtum SUnya tayA yojayati na SUnyatAm Srotra DAtunA yojayati, na
   śabdadhātuṃ śūnyatayā yojayati na śūnyatāṃ śabdadhātunā yojayanti, na	Sabda DAtum SUnyatayA yojayati na SUnyatAm Sabda DAtunA yojayanti, na
   śrotravijñānadhātuṃ śūnyatayā yojayati na śūnyatāṃ cakṣurdhātunā yojayati.	Srotra vijQAna DAtum SUnyatayA yojayati na SUnyatAm cakzuH DAtunA yojayati.
   na ghrāṇadhātuṃ śūnyatayā yojayati na śūnyatāṃ ghrāṇadhātunā yojayanti, na	na GrANa DAtum SUnyatayA yojayati na SUnyatAm GrANa DAtunA yojayanti, na
   gandhadhātuṃ śūnyatayā yojayati na śūnyatāṃ gandhadhātunā yojayati, na	ganDaDAtum SUnyatayA yojayati na SUnyatAm ganDa DAtunA yojayati, na
   ghrāṇavijñānadhātuṃ śūnyatayā yojayati na śūnyatāṃ ghrāṇavijñānadhātunā	GrANa vijQAna DAtum SUnyatayA yojayati na SUnyatAm GrANa vijQAna DAtunA
   yojayati.	yojayati.
   na jihvādhātuṃ śūnyatayā yojayati na śūnyatāṃ jihvādhātunā yojayanti, na	na jihvA DAtum SUnyatayA yojayati na SUnyatAm jihvA DAtunA yojayanti, na
   rasadhātuṃ śūnyatayā yojayati na śūnyatāṃ rasadhātunā yojayati, na	rasaDAtum SUnyatayA yojayati na SUnyatAm rasa DAtunA yojayati, na
   jihvāvijñānadhātuṃ śūnyatayā yojayati na śūnyatāṃ jihvāvijñānadhātunā	jihvA vijQAna DAtum SUnyatayA yojayati na SUnyatAm jihvA vijQAna DAtunA
   yojayati.	yojayati.
   na kāyadhātuṃ śūnyatayā yojayati na śūnyatāṃ kāyadhātunā yojayati, na	na kAya DAtum SUnyatayA yojayati na SUnyatAm kAya DAtunA yojayati, na
   spraṣṭavyadhātuṃ śūnyatayā yojayati na śūnyatāṃ spraṣṭavyadhātunā	sprazwavya DAtum SUnya tayA yojayati na SUnyatAm sprazwavya DAtunA
   yojayati, na kāyavijñānadhātuṃ śūnyatayā yojayati na śūnyatāṃ	yojayati, na kAya vijQAna DAtum SUnyatayA yojayati na SUnyatAm
   kāyavijñānadhātunā yojayati.	kAya vijQAna DAtunA yojayati.
   na manodhātuṃ śūnyatayā yojayati na śūnyatāṃ manodhātunā yojayanti, na	na manaH DAtum SUnyatayA yojayati na SUnyatAm manaH DAtunA yojayanti, na
   dharmadhātuṃ śūnyatayā yojayati na śūnyatāṃ dharmadhātunā yojayati, na	DarmaDAtum SUnyatayA yojayati na SUnyatAm DarmaDAtunA yojayati, na
   manovijñānadhātuṃ śūnyatayā yojayati na śūnyatāṃ manovijñānadhātunā	manaH vijQAna DAtum SUnyatayA yojayati na SUnyatAm manaH vijQAna DAtunA
   yojayati. tat kasya hetoḥ? eṣa hi śāriputra paramo yogo bodhisattvasya	yojayati. tat kasya hetoH? eza hi SAriputra paramaH yogaH boDisattvasya
   mahāsattvasya yad uta śūnyatāyogaḥ, śūnyatāyāṃ śāriputra caran bodhisattvo	mahAsattvasya yat uta SUnyatA yogaH, SUnyatAyAm SAriputra caran boDisattvaH 
   mahāsattvo na śrāvakapratyekabuddhabhūmau patati buddhakṣetraṃ	mahAsattvaH na SrAvaka pratyekabudDa BUmO patati budDa kzetram
   pariśodhayati sattvān paripācayati kṣipraṃ cānuttarāṃ samyaksaṃbodhim	pariSoDayati sattvAn paripAcayati kzipram ca anuttarAm samyaksaMboDim
   abhisaṃbudhyate.	aBisaMbuDyate.
   ye kecic chāriputra bodhisattvasya mahāsattvasya yogās teṣāṃ	ye kecid SAriputra boDisattvasya mahAsattvasya yogAH tezAm
   prajñāpāramitāyogo (PvsP1 1: 79) 'gra ākhyāyate śreṣṭha ākhyāyate jyeṣṭha	prajQApAramitA yogaH (PvsP1 1: 79) agre AKyAyate SrezWaH AKyAyate jyezWa
   ākhyāyate varaḥ pravara uttamo 'nuttamo niruttamo 'samo 'samasamaḥ praṇīta	AKyAyate varaH pravaraH uttamaH anuttamaH niruttamaH asamaH asamasamaH praNIta
   ākhyāyate. tat kasya hetoḥ? niruttamo hy eṣaḥ śāriputra yogo yad uta	AKyAyate. tat kasya hetoH? niruttamaH hi ezaH SAriputra yogaH yat uta
   prajñāpāramitāyogaḥ śūnyatāyoga ānimittayogo 'praṇihitayogaḥ, evaṃ	prajQApAramitA yogaH SUnyatA yogaH Animitta yogaH apraNihita yogaH, evam
   yujyamānaḥ śāriputra bodhisattvo mahāsattvo vyākṛta iti dhārayitavyaḥ,	yujyamAnaH SAriputra boDisattvaH mahAsattvaH vyAkRtaH iti DArayitavyaH,
   āsannībhūto vyākaraṇasya.	AsannIBUtaH vyAkaraNasya.
   evaṃ yujyamānaḥ śāriputra bodhisattvo mahāsattvo 'prameyāṇām asaṃkhyeyānāṃ	evam yujyamAnaH SAriputra boDisattvaH mahAsattvaH aprameyANAm asaMKyeyAnAm
   sattvānām arthaṃ kariṣyati, na cāsyaivaṃ bhaviṣyati, māṃ buddhā bhagavanto	sattvAnAm arTam karizyati, na ca asya evam Bavizyati, mAm budDAH BagavantaH 
   vyākariṣyantīti, aham āsannībhūto vyākaraṇasyeti, ahaṃ buddhakṣetraṃ	vyAkarizyanti iti, aham AsannIBUtaH vyAkaraNasya iti, aham budDa kzetram
   pariśodhayiṣyāmīti, ahaṃ sattvān paripācayiṣyāmīti, aham anuttarāṃ	pariSoDayizyAmi iti, aham sattvAn paripAcayizyAmi iti, aham anuttarAm
   samyaksaṃbodhim abhisaṃbudhya dharmacakraṃ pravartayiṣyāmīti. tat kasya	samyaksaMboDim aBisaMbuDya Darma cakram pravartayizyAmi iti. tat kasya
   hetoḥ? tathā hi sa dharmadhātuṃ na viviktīkaroti, na ca dharmadhātor	hetoH? taTA hi sa DarmaDAtum na viviktIkaroti, na ca DarmaDAtoH 
   anyadharmaṃ samanupaśyati, yaḥ prajñāpāramitāyāṃ caret, yo vā buddhair	anya Darmam samanupaSyati, yaH prajQApAramitAyAm caret, yaH vA budDEH 
   bhagavadbhir vyākriyeta anuttarāyāṃ samyaksaṃbodhau. tat kasya hetoḥ?	BagavadBiH vyAkriyeta anuttarAyAm samyaksaMboDO. tat kasya hetoH?
   tathā hi bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carato na	taTA hi boDisattvasya mahAsattvasya prajQApAramitAyAm carataH na
   sattvasaṃjñotpadyate. tat kasya hetoḥ? tathā hy atyantatayā sattvo	sattva saMjQA utpadyate. tat kasya hetoH? taTA hi atyanta tayA sattvaH 
   notpadyate na nirūdhyate, anutpādānirodhadharmatvāt, yasya ca notpādo na	na utpadyate na nirUDyate, anutpAda aniroDa Darma tvAt, yasya ca na utpAdaH na
   nirodhaḥ sa kathaṃ prajñāpāramitāyāṃ cariṣyati. evaṃ caran bodhisattvo	niroDaH sa kaTam prajQApAramitAyAm carizyati. evam caran boDisattvaH 
   mahāsattvaḥ sattvānutpādatayā prajñāpāramitāyāṃ carati, sattvaśūnyatayā	mahAsattvaH sattva anutpAda tayA prajQApAramitAyAm carati, sattva SUnyatayA
   prajñāpāramitāyāṃ carati, sattvānupalabdhyā prajñāpāramitāyāṃ carati,	prajQApAramitAyAm carati, sattva anupalabDyA prajQApAramitAyAm carati,
   sattvaviviktatayā prajñāpāramitāyāṃ carati.	sattva vivikta tayA prajQApAramitAyAm carati.
   evaṃ hi śāriputra bodhisattvānāṃ mahāsattvānāṃ paramo yogo yad uta	evam hi SAriputra boDisattvAnAm mahAsattvAnAm paramaH yogaH yat uta
   śūnyatāyogaḥ sarvān anyān yogān abhibhūyāvatiṣṭhate, atra hi śāriputra	SUnyatA yogaH sarvAn anyAn yogAn aBiBUya avatizWate, atra hi SAriputra
   yoge caran bodhisattvo mahāsattvo mahākaruṇām abhinirharati, mahāmaitrīm	yoge caran boDisattvaH mahAsattvaH mahA karuNAm aBinirharati, mahA mEtrIm
   abhinirharati, na ca mātsaryacittam utpādayati, na dauḥśīlyacittam	aBinirharati, na ca mAtsarya cittam utpAdayati, na dOHSIlya cittam
   utpādayati, na vyāpādacittam utpādayati, na kuśīdacittam utpādayati, na	utpAdayati, na vyApAda cittam utpAdayati, na kuSIda cittam utpAdayati, na
   vikṣiptacittam utpādayati, na dauṣprajñācittam utpādayati.	vikzipta cittam utpAdayati, na dOzprajQA cittam utpAdayati.
   iti dharmaratnāvavādaḥ	iti Darma ratna avavAdaH
   (PvsP1 1: 80)	(Pu sP1 1: 80)
   evam ukte āyuṣmān śāriputro bhagavantam etad avocat: yo bhagavan	evam ukte AyuzmAn SAriputraH Bagavantam etat avocat: yaH Bagavan
   bodhisattvo 'nena prajñāpāramitāvihāreṇa viharati sa kutaś cyuta	boDisattvaH anena prajQApAramitA vihAreNa viharati sa kutas cyuta
   ihopapadyate, ito vā cyutaḥ kutropapatsyate?	iha upapadyate, itas vA cyutaH kutra upapatsyate?
   evam ukte bhagavān āyuṣmantaṃ śāriputram etad avocat: yaḥ śāriputra	evam ukte BagavAn Ayuzmantam SAriputram etat avocat: yaH SAriputra
   bodhisattvo mahāsattvo 'nena prajñāpāramitāvihāreṇa viharati sa itaś cyuta	boDisattvaH mahAsattvaH anena prajQApAramitA vihAreNa viharati saH itas cyuta
   ihaiva buddhakṣetre upapadyate, anyebhyo vā buddhakṣetrebhyaś cyutas	iha eva budDa kzetre upapadyate, anyeByaH vA budDa kzetreByaH cyutas
   tuṣitebhyo vā devebhyaś cyuta ihopapadyate.	tuziteByaH vA deveByaH cyutaH iha upapadyate.
   iti bodhisattvo 'ṣṭamakaḥ	iti boDisattvaH azwamakaH
   tatra śāriputra yo 'yaṃ bodhisattvo mahāsattvo manuṣyebhya eva cyutvā	tatra SAriputra yaH ayam boDisattvaH mahAsattvaH manuzyeByaH eva cyutvA
   manuṣyāṇām eva sabhāgatāyām upapadyate, tasya bodhisattvasya	manuzyANAm eva saBA gatAyAm upapadyate, tasya boDisattvasya
   mahāsattvasyāvinivartanīyān bodhisattvān mahāsattvān sthāpayitvā	mahAsattvasya avinivartanIyAn boDisattvAt mahAsattvAn sTApayitvA
   dhanvānīndriyāṇi bhavanti, na ca kṣipraṃ prajñāpāramitāyogaṃ samāpadyate,	DanvAni indriyANi Bavanti, na ca kzipram prajQApAramitA yogam samApadyate,
   na cāsya dhāraṇīmukham abhimukhībhavati na ca samādhimukham,	na ca asya DAraNI muKam aBimuKIBavati na ca samADi muKam,
   yat punaḥ śāriputra evaṃ vadasi, yo bhagavan bodhisattvo mahāsattvaimaṃ	yat punar SAriputraH evam vadasi, yaH Bagavan boDisattvaH mahAsattvEmam
   prajñāpāramitāyogaṃ samāpadyate sa itaś cyutaḥ kutropapadyata iti, yaḥ	prajQApAramitA yogam samApadyate saH itas cyutaH kutra upapadyate iti, yaH
   śāriputra bodhisattvo mahāsattva imaṃ prajñāpāramitāyogaṃ samāpadyate, sa	SAriputra boDisattvaH mahAsattvaH imam prajQApAramitA yogam samApadyate, sa
   ito buddhakṣetrāc cyutaḥ buddhakṣetrād buddhakṣetraṃ saṃkramiṣyati, tatra	itas budDa kzetrAt cyutaH budDa kzetrAt budDa kzetram saMkramizyati, tatra
   buddhakṣetre buddhān bhagavata ārāgayiṣyati, na kadācid buddhavirahito	budDa kzetre budDAn BagavataH ArAgayizyati, na kadAcid budDa virahitaH 
   bhaviṣyati.	Bavizyati.
   iti bodhisattvaśraddhānusārī	iti boDisattva SradDA anusArI
   yaḥ punaḥ śāriputrāyaṃ bodhisattvo mahāsattvo 'nyebhyo buddhakṣetrebhyaś	yaH punar SAriputra ayam boDisattvaH mahAsattvaH anyeByaH budDa kzetreByaS
   cyuta ihopapadyate tasya tīkṣṇānīndriyāṇi bhavanti, sa kṣipram imaṃ yogam	cyutaH iha upapadyate tasya tIkzNAni indriyANi Bavanti, sa kzipram imam yogam
   āpadyate, yad uta prajñāpāramitāyogam, tasya jātivyativṛttasyāpy amī	Apadyate, yat uta prajQApAramitA yogam, tasya jAti vyativRttasya api amI
   gambhīragambhīrā dharmā abhimukhībhavanti, sa paścāt prajñāpāramitāyogaṃ	gamBIra gamBIrAH DarmAH aBimuKIBavanti, sa paScAt prajQApAramitA yogam
   samāpadyate, yatra yatra buddhakṣetre upapadyate tatra tatra tathāgatān	samApadyate, yatra yatra budDa kzetre upapadyate tatra tatra taTAgatAn
   arhataḥ samyaksaṃbuddhān ārāgayiṣyati.	arhataH samyaksaMbudDAn ArAgayizyati.
   yaḥ punaḥ śāriputra bodhisattvo mahāsattvaḥ tuṣitebhyo devebhyaś cyutvā	yaH punar SAriputra boDisattvaH mahAsattvaH tuziteByaH deveByaH cyutvA
   ihopapanno bhavati tasyāpi paṭutarāṇīndriyāṇi bhavanti, avipramuṣitāḥ ṣaṭ	iha upapannaH Bavati tasya api pawutarANi indriyANi Bavanti, avipramuzitAH zax 
   pāramitāḥ sarvadhāraṇīsamādhimukhāni cābhimukhībhavanti.	pAramitAH sarva DAraNI samADi muKAni ca aBimuKIBavanti.
   (PvsP1 1: 81)	(Pu sP1 1: 81)
   iti bodhisattvadharmānusārī	iti boDisattva Darma anusArI
   santi śāriputra bodhisattvā mahāsattvāḥ prajñāpāramitāyāṃ caranto	santi SAriputra boDisattvAH mahAsattvAH prajQApAramitAyAm carantaH 
   ghaṭamānā vyāyacchantaḥ sattvaparipākāyopāyakauśalyabalena	GawamAnAH vyAyacCantaH sattva paripAkAya upAya kOSalya balena
   srotaāpattiphalaṃ sākṣātkurvanti, na ca tena manyante.	srotaApatti Palam sAkzAt kurvanti, na ca tena manyante.
   iti srotaāpannaḥ	iti srotaApannaH
   santi śāriputra bodhisattvā mahāsattvā anupāyakuśalā ye catvāri dhyānāni	santi SAriputra boDisattvAH mahAsattvAH anupAya kuSalAH ye catvAri DyAnAni
   niṣpādayanti pāramitāsu ca caranti, tena ca dhyānalābhena dīrghāyuṣkeṣu	nizpAdayanti pAramitAsu ca caranti, tena ca DyAna lABena dIrGa Ayuzkezu
   deveṣūpapadyante, sacet tataś cyutvā manuṣyeṣu deveṣu copapadyante,	devezu upapadyante, saced tatas cyutvA manuzyezu devezu ca upapadyante,
   buddhāṃś ca bhagavata ārāgayiṣyanti, teṣām api dhanvānīndriyāṇi bhavanti	budDAn ca BagavataH ArAgayizyanti, tezAm api DanvAni indriyANi Bavanti
   na tīkṣṇāni.	na tIkzNAni.
   santi śāriputra bodhisattvā mahāsattvā dhyānāni ca samāpadyante	santi SAriputra boDisattvAH mahAsattvAH DyAnAni ca samApadyante
   prajñāpāramitāyāṃ ca caranti, te cānupāyakauśalyena dhyānāny utsṛjya	prajQApAramitAyAm ca caranti, te ca anupAya kOSalyena DyAnAni utsRjya
   kāmadhātāv upapadyante, teṣām api śāriputra bodhisattvānāṃ mahāsattvānāṃ	kAmaDAtO upapadyante, tezAm api SAriputra boDisattvAnAm mahAsattvAnAm
   dhanvānīndriyāṇi bhavanti na tīkṣṇāni.	DanvAni indriyANi Bavanti na tIkzNAni.
   iti dvitīyatṛtīyaphalapratipannakaḥ śraddhādhimuktaḥ	iti dvitIya tRtIya Pala pratipannakaH SradDA aDimuktaH
   santi śāriputra bodhisattvā mahāsattvāś catvāri dhyānāny utpādya catvāry	santi SAriputra boDisattvAH mahAsattvAH catvAri DyAnAni utpAdya catvAri 
   apramāṇāni samāpadyante, catasra ārūpyasamāpattīḥ	apramANAni samApadyante, catasraH ArUpya samApattIH
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgān	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgAn
   samāpadyante, mahākāruṇikā upāyakauśalyena copapadyante, na dhyānavaśena	samApadyante, mahA kAruNikAH upAya kOSalyena ca upapadyante, na DyAna vaSena
   nāpramāṇavaśena nārūpyasamāpattivaśena tatra copapadyante yatra tathāgatān	na apramANa vaSena na ArUpya samApatti vaSena tatra ca upapadyante yatra taTAgatAn
   arhataḥ samyaksaṃbuddhān ārāgayiṣyanti, te punaḥ	arhataH samyaksaMbudDAn ArAgayizyanti, te punar 
   prajñāpāramitāvihāreṇāvirahitā ihaiva bhadrakalpe anuttarāṃ	prajQApAramitA vihAreNa avirahitAH iha eva Badra kalpe anuttarAm
   samyaksaṃbodhim abhisaṃbhotsyante.	samyaksaMboDim aBisaMBotsyante.
   iti dvitīyatṛtīyaphalapratipannako dṛṣṭiprāptaḥ	iti dvitIya tRtIya Pala pratipannakaH dRzwi prAptaH
   santi śāriputra bodhisattvā mahāsattvā ekajātipratibaddhā ye	santi SAriputra boDisattvAH mahAsattvAH eka jAti pratibadDAH ye
   prajñāpāramitāyāṃ caranta upāyakauśalyena catvāri dhyānāni samāpadyante,	prajQApAramitAyAm carantaH upAya kOSalyena catvAri DyAnAni samApadyante,
   catvāry apramāṇāni catasra ārūpyasamāpattīḥ	catvAri apramANAni catasraH ArUpya samApattIH
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgān bhāvayanti,	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArgAn BAvayanti,
   śūnyatāsamādhiṃ samāpadyante, ānimittasamādhiṃ samāpadyante,	SUnyatA samADim samApadyante, Animitta samADim samApadyante,
   apraṇihitasamādhiṃ samāpadyante, na ca teṣāṃ vaśena gacchanti	apraNihita samADim samApadyante, na ca tezAm vaSena gacCanti
   saṃmukhībhūtāṃś (PvsP1 1: 82) ca buddhān bhagavata ārāgayitvā tatra	saMmuKIBUtAn (Pu sP1 1: 82) ca budDAn BagavataH ArAgayitvA tatra
   brahmacaryaṃ caritvā punar eva tuṣitānāṃ sabhāgatāyai upapadyante, te	brahmacaryam caritvA punar eva tuzitAnAm saBA gatAyE upapadyante, te
   tatra yāvad āyus tiṣṭhanti, te tatra yāvad āyuḥ sthitvā ahīnendriyāḥ	tatra yAvat AyuH tizWanti, te tatra yAvat AyuH sTitvA ahIna indriyAH
   smṛtimantaḥ saṃprajānānā anekair devakoṭīniyutaśatasahasraiḥ parivṛtāḥ	smRtimantaH saMprajAnAnAH anekEH deva kowI niyuta Sata sahasrEH parivRtAH
   puraskṛtā ihopapattiṃ darśayitvā nānābuddhakṣetreṣv anuttarāṃ	puraskRtAH iha upapattim darSayitvA nAnA budDa kzetrezu anuttarAm
   samyaksaṃbodhim abhisaṃbudhyante.	samyaksaMboDim aBisaMbuDyante.
   iti sakṛdāgāmī	iti sakRdAgAmI
   santi śāriputra bodhisattvā mahāsattvāḥ ṣaṇṇām abhijñānāṃ lābhino ye na	santi SAriputra boDisattvAH mahAsattvAH zaNNAm aBijQAnAm lABinaH ye na
   kāmadhātau na rūpadhātau nārūpyadhātāv upapadyante, api tu buddhakṣetreṇa	kAmaDAtO na rUpa DAtO na ArUpya DAtO upapadyante, api tu budDa kzetreNa
   buddhakṣetraṃ saṃkrāmanti, tathāgatān arhataḥ samyaksaṃbuddhān satkurvanto	budDa kzetram saMkrAmanti, taTAgatAn arhataH samyaksaMbudDAn satkurvantaH 
   gurukurvanto mānayantaḥ pūjayantaḥ.	gurukurvantaH mAnayantaH pUjayantaH.
   santi śāriputra bodhisattvā mahāsattvāḥ ṣaṇṇām abhijñānāṃ lābhinas te	santi SAriputra boDisattvAH mahAsattvAH zaNNAm aBijQAnAm lABinaH te
   tābhir abhijñābhir vikrīḍanto buddhakṣetreṇa buddhakṣetraṃ saṃkrāmanti	tABiH aBijQABiH vikrIxantaH budDa kzetreNa budDa kzetram saMkrAmanti
   yeṣu buddhakṣetreṣu na śrāvakapratyekabuddhayānasya prajñaptir apy asti.	yezu budDa kzetrezu na SrAvaka pratyekabudDa yAnasya prajQaptiH api asti.
   santi śāriputra bodhisattvā mahāsattvāḥ ṣaṇṇām abhijñānāṃ lābhinas te	santi SAriputra boDisattvAH mahAsattvAH zaNNAm aBijQAnAm lABinaH te
   tābhir abhijñābhir vikrīḍanto buddhakṣetreṇa buddhakṣetraṃ saṃkrāmanti	tABiH aBijQABiH vikrIxantaH budDa kzetreNa budDa kzetram saMkrAmanti
   yeṣu buddhakṣetreṣv amitam āyuḥ.	yezu budDa kzetrezu amitam AyuH.
