   dvitīya uddyotaḥ	dvitIyaH uddyotaH
   nijacitsvabhāvā svātmacaitanyarūpā ca yā nivṛtiḥ lokottarānandaḥ, tasyāṃ	nija cit svaBAvA sva Atma cEtanya rUpA ca yA nivRtiH loka uttara AnandaH, tasyAm
   viśrāntiḥ vigalitavedyāntaratayā sthitiḥ tallakṣaṇa ityarthaḥ /	viSrAntiH vigalita vedya antara tayA sTitiH tad lakzaNaH iti arTaH /
   atra rajaso guṇasyānuvedhena drutiḥ tamaso vistāraḥ satvasya vikāsa iti	atra rajasaH guNasya anuveDena drutiH tamasaH vistAraH satvasya vikAsaH iti
   vivekaḥ /	vivekaH /
   uktaṃ hi kāvyaprakāśasaṅkete   "yadāhi rajaso guṇasya drutiḥ tamaso	uktam hi kAvya prakASa saFkete   "yat Ahi rajasaH guNasya drutiH tamasaH 
   vistāraḥ satvasya vikāsaḥ tadā bhogaḥ svarūpaṃ lamata" iti /	vistAraH satvasya vikAsaH tadA BogaH svarUpam lamata" iti /
   uktarītyā bhogasyātmānandaviṣayakatvādāha   pareti /	ukta rItyA Bogasya Atma Ananda vizayaka tvAt Aha    para iti /
   sa eveti /	saH eva iti /
   uktavidhabhoga evetyarthaḥ /	uktaviDa BogaH eva iti arTaH /
   siddharūpa iti /	sidDa rUpaH iti /
   cidānandarūpasyātmanaḥ siddharūpatvāditi bhāvaḥ /	cit Ananda rUpasya AtmanaH sidDa rUpa tvAt iti BAvaH /
   vyutpattiriti /	vyutpattiH iti /
   pratipattṝṇāṃ locanam atrocyate   rasasvarūpa eva tāvadvipratipattayaḥ	pratipattLNAm locanam atra ucyate    rasa svarUpaH eva tAvat vipratipattayaH
   prativādinām /	prativAdinAm /
   tathāhi pūrvāvasthāyāṃ yaḥ sthāyī sa eva vyabhicārisampātādinā	taTA hi pUrva avasTAyAm yaH sTAyI saH eva vyaBicAri sampAta AdinA
   prāptaparipoṣo 'nukāryagata eva rasaḥ /	prApta paripozaH anukArya gataH eva rasaH /
   nāṭye tu prayujyamānatvānnāṭyarasa iti kecit /	nAwye tu prayujyamAna tvAt nAwya rasaH iti kecid /
   pravāhadharmiṇyāṃ cittavṛttau cittavṛtteḥ cittavṛttyantareṇa kaḥ	pravAha DarmiNyAm citta vRttO citta vRtteH citta vRtti antareNa kaH
   paripoṣārthaḥ? vismayaśokakrodhādeśca krameṇa tāvanna paripoṣa iti	paripoza arTaH? vismaya Soka kroDa AdeH ca krameNa tAvat na paripozaH iti
   nānukārye rasaḥ /	na anukArye rasaH /
   anukartari catadbhāve layādyananusaraṇaṃ syāt /	anukartari catad BAve laya Adi ananusaraNam syAt /
   rāmajikagate vā bālapriyā caturvargopāyavyutpattirityarthaḥ /	rAmajika gate vA bAla priyA caturvarga upAya vyutpattiH iti arTaH /
   itīti /	iti iti /
   iti bhaṭṭanāyakoktamiti sambandhaḥ /	iti BawwanAyaka uktam iti sambanDaH /
   rasasvarūpa eveti /	rasa svarUpaH eva iti /
   rasapadārtha evetyarthaḥ /	rasa padArTaH eva iti arTaH /
   vibhinnāḥ pratipattayo vipratipattayaḥ vibhinnāni matāni /	viBinnAH pratipattayaH vipratipattayaH viBinnAni matAni /
   tathāhīti /	taTA hi iti /
   nāṭyasthale vipratipattīrādau vivṛṇuma ityarthaḥ /	nAwya sTale vipratipad tIH AdO vivRNumaH iti arTaH /
   tatra lalanādibhirālambanavibhāvaiḥ sthāyī ratyādiko janitaḥ,	tatra lalana AdiBiH Alambana viBAvEH sTAyI rati AdikaH janitaH,
   udyānādibhirvyabhicāribhiḥ paripoṣito rāmādāvanukārye rasaḥ, naṭe tu	udyAna AdiBiH vyaBicAriBiH paripozitaH rAma AdO= anukArye rasaH, nawe tu
   rāmādirūpatānusandhānavaśādāropyamāṇassāmājikānāṃ camatkārakārīti	rAma Adi rUpa tA anusanDAna vaSAt AropyamANa ssAmAjikAnAm camatkAra kArI iti
   bhaṭṭalollaṭādimatamādau darśayati   pūrvetyādi /	Bawwala ullawa Adi matam AdO darSayati    pUrva ityAdi /
   pūrvāvastāyāmiti /	pUrvAvastAyAm iti /
   aprāptaparipoṣāvasthāyāmityarthaḥ /	aprApta paripoza avasTAyAm iti arTaH /
   yaḥ sthāyīti /	yaH sTAyI iti /
   sthāyitvena vyapadiśyamāno yo ratyādirityarthaḥ /	sTAyi tvena vyapadiSyamAnaH yaH rati AdiH iti arTaH /
   'sa eva prāptaparipoṣo rasa' itisambandhaḥ /	asaH eva prApta paripozaH rasa a itisambanDaH /
   rasaḥ rasapadārthaḥ /	rasaH rasa padArTaH /
   sa cānukāryagata eveti /	sa ca anukArya gataH eva iti /
   anukāryarāmādāvevotpadyamāno vartata ityarthaḥ /	anukArya rAma AdO= eva utpadyamAnaH vartate iti arTaH /
   anenānukartari tadāropa iti darśitam /	anena anukartari tat AropaH iti darSitam /
   tasmānnāṭyarasā iti bharatoktanāṭyarasaśabdārthamāha    nāṭya ityādi /	tasmAt nAwya rasAH iti Barata ukta nAwya rasa Sabda arTam Aha    nAwyaH ityAdi /
   nāṭyasya nāṭyasambandhī vā raso nāṭyarasa iti vyutpattiriti bhāvaḥ /	nAwyasya nAwya sambanDI vA rasaH nAwya rasaH iti vyutpattiH iti BAvaH /
   matamidaṃ dūṣayitvā prakārāntareṇa vadatāṃ śrīśaṅkukādīnāṃ mataṃ	matam idam dUzayitvA prakAra antareNa vadatAm SrI SaFkukA AdInAm matam
   darśayati    pravāhetyādi /	darSayati      pravAha ityAdi /
   cittavṛttau ratyādicittavṛttau /	citta vRttO rati Adi citta vRttO /
   pravāhadharmiṇyāṃ tattatkāraṇavaśena punaḥ punarutpadyamānāyāṃ naśyantyāṃ	pravAha DarmiNyAm tad tad kAraNa vaSena punar punar utpadyamAnAyAm naSyantyAm
   ca satyāmiti hetugarbham /	ca satyAm iti hetu garBam /
   cittavṛtteḥ ratyādisyāyicittavṛtteḥ /	citta vRtteH rati Adi syAyi citta vRtteH /
   cittavṛtyantareṇa utkaṇṭhādivyabhicāriṇī paripoṣārthaḥ ka iti /	citta vRti antareNa utkaNWA Adi vyaBicAriNI paripoza arTaH kaH iti /
   paripoṣarūpaṃ phalaṃ na bhavatītyarthaḥ /	paripoza rUpam Palam na Bavati iti arTaH /
   ato vyabhicāribhiḥ paripoṣasya kathanamanupapannamiti bhāvaḥ /	atas vyaBicAriBiH paripozasya kaTanam anupapannam iti BAvaH /
   viṣaryayaścāstītyāha   vismayetyādi /	vizaryayaH ca asti iti Aha    vismaya ityAdi /
   krameṇa kālakrameṇa /	krameNa kAla krameNa /
   na paripoṣa iti /	na paripozaH iti /
   kintvapacaya eveti bhāvaḥ /	kintu apacayaH eva iti BAvaH /
   yathoktaṃ kāvyaprakāśasaṅkete   "iṣṭaviyogajo mahān śokaḥ kramema śāmyati,	yaTA uktam kAvya prakASa saFkete   "izwa viyoga jaH mahAn SokaH kramema SAmyati,
   na tu dṛḍhībhavati krodhotsāharatayaśca nijanijakāraṇodbhūtā api	na tu dRXIBavati kroDa utsAharatayaH ca nija nija kAraNa udBUtAH api
   kālavasādamarṣasthairyasavāviparyaye 'pacīyanta" iti /	kAla vasAt amarza sTErya sava aviparyaye apacIyanta" iti /
   itīti hetau /	iti iti hetO /
   nānukārye rasa iti /	na anukArye rasaH iti /
   anukāryarāmādigato rasa ityuktapakṣo na yukta ityarthaḥ /	anukArya rAma Adi gataH rasaH iti ukta pakzaH na yuktaH iti arTaH /
   tarhi anukartṛgato 'stvityatrāha   anukartarītyādi /	tarhi anukartR gataH astu iti atra aha   anukartarI ityAdi /
   anukartari naṭe /	anukartari nawe /
   tadbhāve rasasatve sati /	tad BAve rasa satve sati /
   layādīti /	laya Adi iti /
   layo nāma nṛttagītavādyānāmekatānatārūpaṃ sāmyaṃ rasasya naṭe siddhatvena	layaH nAma nRtta gIta vAdyAnAm ekatA AnatA rUpam sAmyam rasasya nawe sidDa tvena
   tadupayogilayādyanusaraṇaṃ na syādityarthaḥ /	tad upayogi layA Adi anusaraNam na syAt iti arTaH /
   tarhi sāmājikato 'stvityatrāhasāmājiketyādi /	tarhi sAmAjikataH astu iti atra ahasAmAjikA ityAdi /
   locanam kaścamatkāraḥ? pratyuta karuṇādau duḥkhaprāptiḥ /	locanam kaH camatkAraH? pratyuta karuNA AdO duHKa prAptiH /
   tasmānnāyaṃ pakṣaḥ /	tasmAt na ayam pakzaH /
   kastarhi? ihānantyānniyatasyānukāro na śakyaḥ, niṣprayojanaśca	kaH tarhi? iha AnantyAt niyatasya anukAraH na SakyaH, nizprayojanaH ca
   viśiṣṭatāpratītau tāṭasthyena vyutpattyabhāvāt /	viSizwa tA pratItO tAwasTyena vyutpatti aBAvAt /
   tasmādaniyatāvasthātmakaṃ sthāyinamuddiśya vibhāvānubhāvyabhicāribhiḥ	tasmAt aniyata avasTA Atmakam sTAyinam uddiSya viBAva anuBAvi aBicAriBiH
   saṃyujyamānairayaṃ rāmaḥ sukhīti smṛtivilakṣaṇā sthāyini	saMyujyamAnEH ayam rAmaH suKI iti smRti vilakzaNA sTAyini
   pratītigocaratayāsvādarūpā pratipattiranu kartrālambanā nāṭyaikagāminī	pratIti gocara tayA AsvAda rUpA pratipattiH anu kartR AlambanA nAwya eka gAminI
   rasaḥ /	rasaH /
   sa ca na vyatiriktamādhāramapekṣate /	sa ca na vyatiriktam ADAram apekzate /
   kiṃ tvanukāryābhinnābhimate nartake āsvādayitā sāmājika	kim tu anukArya aBinna aBimate nartake AsvAdayitA sAmAjika
   ityetāvanmātramadaḥ /	iti etAvat mAtra madaH /
   tena nāṭya eva bālapriyā tadbhāve ityanuṣajyate /	tena nAwyaH eva bAlapriyA tad BAve iti anuzajyate /
   kaścamatkāra iti /	kaScamatkAraH iti /
   rāmāderiva sāmājikasyāpi ratyādirūparasotpattau camatkāro na jāyeteti	rAma AdeH iva sAmAjikasya api rati Adi rUpa rasa utpattO camatkAraH na jAyeta iti
   bhāvaḥ /	BAvaH /
   duḥkhaprāptiriti /	duHKa prAptiH iti /
   syāditi śeṣaḥ /	syAt iti SezaH /
   nāyaṃ pakṣa iti /	na ayam pakzaH iti /
   uktaḥ pakṣo na yukta ityarthaḥ /	uktaH pakzaH na yuktaH iti arTaH /
   kastarhīti /	kaH tarhi iti /
   pakṣa ityanuṣajyate /	pakzaH iti anuzajyate /
   praśrasyottaraṃ vaktumupakramamāṇa āha   ihetyādi /	praSrasya uttaram vaktum upakramamANaH Aha   iha ityAdi /
   ānantyāditi /	AnantyAt iti /
   tattadgatasya ratyādibhāvasya	tad tad gatasya rati Adi BAvasya
   mandatamamandataramandamadhyamatvādibhedenāsaṃkhvatvādityarthaḥ /	mandatama mandatara manda maDyama tva Adi Bedena asaMKva tvAt iti arTaH /
   niyatasyeti /	niyatasya iti /
   niścitaikāvasthāviśiṣṭasyetyarthaḥ /	niScitA eka avasTA viSizwasya iti arTaH /
   sthāyina iti śeṣaḥ /	sTAyinaH iti SezaH /
   anukāro na śakya iti /	anukAraH na SakyaH iti /
   sthāyina ānantyānniyataikāvasthatvena jñātumaśakyatvāditi bhāvaḥ /	sTAyinaH AnantyAt niyata eka avasTa tvena jQAtum aSakya tvAt iti BAvaH /
   kathañcittatsambhave 'pyāha   niṣprayejanaścetyādi /	kaTaQcid tad samBave api Aha    nizprayejanaH ca ityAdi /
   anukāra ityanuṣajyate /	anukAraH iti anuzajyate /
   niṣprayojanatve hetumāha   viśiṣṭatetyādi /	nizprayojana tve hetum Aha    viSizwa tA ityAdi /
   sthāyino rāmādivyaktiviśeṣavṛttitvavaiśiṣṭyamavabudhya naṭena tadanukāre	sTAyinaH rAma Adi vyakti viSeza vRtti tva vESizwyam avabuDya nawena tad anukAre
   kriyamāṇe tathaiva sāmājikānāṃ pratītyā tasya taṭasthatvena	kriyamANe taTA eva sAmAjikAnAm pratItyA tasya tawa sTa tvena
   caturvargopāyavyutpatteranudayādityarthaḥ /	caturvarga upAya vyutpatteH anudayAt iti arTaH /
   anena sthāyyanukāro rasa iti pakṣo 'pyayukta iti darśitam /	anena sTAyI anukAraH rasaH iti pakzaH api ayuktaH iti darSitam /
   khamatamāha   tasmādityādi /	Ka matam Aha   tasmAt ityAdi /
   'sthāyinamuddiśya saṃyujyamānai'riti sambandhaḥ /	asTAyinam uddiSya saMyujyamAnE ariti sambanDaH /
   'sthāyipratītimuddiśya saṃyujyamānai'riti sambandhaḥ /	asTAyi pratItim uddiSya saMyujyamAnE ariti sambanDaH /
   sthāyipratītimuddiśya naṭena prayujyamānairityarthaḥ /	sTAyi pratItim uddiSya nawena prayujyamAnEH iti arTaH /
   vibhāveti /	viBAva iti /
   tairliṅgairityarthaḥ /	tEH liFgEH iti arTaH /
   pratipattirityanenāsya sambandhaḥ /	pratipattiH iti anena asya sambanDaH /
   ayaṃ rāmaḥ sukhīti /	ayam rAmaH suKI iti /
   rāmo 'yaṃ sītāviṣayakaratimānityarthaḥ /	rAmaH ayam sItA vizaya karatimAn iti arTaH /
   sāmājikānāṃ citraturaganyāyena naṭe rāmādibuddharjāyate /	sAmAjikAnAm citra turaga nyAyena nawe rAma Adi budDarjAyate /
   itītyasya pratipattirityanena sambandhaḥ /	iti iti asya pratipattiH iti anena sambanDaH /
   sthāyini pratītigocaratayeti /	sTAyini pratIti gocaratayA iti /
   sthāyinaḥ pratītiviṣayatvena hetunetyarthaḥ /	sTAyinaH pratIti vizaya tvena hetunA iti arTaH /
   vastusaundaryāditi bhāvaḥ /	vastu sOndaryAt iti BAvaH /
   āsvādarūpeti /	AsvAda rUpA iti /
   camatkāricarvaṇārūpetyarthaḥ /	camatkAri carvaNa arUpA iti arTaH /
   pratipattiriti /	pratipattiH iti /
   sāmājikānāmanumitirityarthaḥ /	sAmAjikAnAm anumitiH iti arTaH /
   anukartrālambaneti /	anukartR A AlambanA iti /
   ayamityanena naṭasya viṣayīkaraṇādanukartṛviṣayiketyarthaḥ /	ayam iti anena nawasya vizayIkaraNAt anukartR vizayikA iti arTaH /
   sa ceti /	sa ca iti /
   tathāvidhasthāyipratītirūpo rasaścetyarthaḥ /	taTAviDa sTAyi pratIti rUpaH rasaH ca iti arTaH /
   vyatiriktamiti /	vyatiriktam iti /
   vakṣyamāṇādanyamityarthaḥ /	vakzyamANAt anyam iti arTaH /
   anukāryābhinnābhimate anukāryarāmādyabhedena gṛhīte /	anukArya aBinna aBimate anukArya rAma Adi aBedena gRhIte /
   nartaka iti /	nartakaH iti /
   astīti śeṣaḥ /	asti iti SezaH /
   tathāvidhapratītirūparasasya nartakaviśeṣyakatvānnartake	taTAviDa pratIti rUpa rasasya nartaka viSezyaka tvAt nartake
   viśeṣyatāsambandhena satvātsa evāśraya ityarthaḥ /	viSezyatA sambanDena satvAt saH eva ASrayaH iti arTaH /
   āsvādayitā āsvādarūpapratīteḥ samavāyenāśrayaḥ /	AsvAdayitA AsvAda rUpa pratIteH samavAyena ASrayaH /
   nāṭya eveti /	nAwyaH eva iti /
   locanam rasaḥ, nānukāryādiṣviti kecit /	locanam rasaH, na anukArI Adizu iti kecid /
   anye tu   anukartari yaḥ sthāyyavabhāso 'bhinayādisāmagpyādikṛto	anye tu   anukartari yaH sTAyI avaBAsaH aBinaya Adi sAmagpi Adi kRtaH 
   bhittāvivaharitālādinā aśvāvabhāsaḥ, sa eva lokātītatayāsvādāparasaṃjñayā	BittO= iva hari tAla AdinA aSva avaBAsaH, saH eva lokAtIta tayA AsvAda apara saMjQayA
   pratītyā rasyamāno rasa iti nāṭyādrasā nāṭyarasāḥ /	pratItyAH rasyamAnaH rasaH iti nAwyAt rasAH nAwya rasAH /
   apare punarvibhāvānubhāvamātrameva viśiṣṭasāmagapyā samarpyamāṇaṃ	apare punar viBAva anuBAva mAtram eva viSizwa sAmagapyA samarpyamANam
   tadvibhāvanīyānubhāvanīyasthāyirūpacittavṛttyucitavāsanānuṣaktaṃ	tad viBAvanIya anuBAvanIya sTAyi rUpa citta vRtti ucita vAsanA anuzaktam
   svanirvṛticarvaṇāviśiṣṭameva rasaḥ /	sva nirvRti carvaNa aviSizwam eva rasaH /
   tannāṭyameva rasāḥ /	tat nAwyam eva rasAH /
   anye tu śuddhaṃ vibhāvam, apare śuddhamanu bhāvam, kecittu sthāyimātram,	anye tu SudDam viBAvam, apare SudDam anu BAvam, kecid tu sTAyi mAtram,
   itare vyabhicāriṇam, anye tatsaṃyogam, eke 'nukāryam, kecana sakalameva	itare vyaBicAriNam, anye tad saMyogam, eke anukAryam, kecana sakalam eva
   samudāyaṃ rasamāhurityalaṃ bahunā /	samudAyam rasam AhuH iti alam bahunA /
   kāvye 'pi ca lokanāṭyadharmisthānīyena	kAvye api ca loka nAwya Darmi sTAnIyena
   svabhāvoktivakroktiprakāradvayenālaukikaprasannamadhuraujasviśabdasamarpyamāṇavibhāvādiyogādi	svaBAva ukti vakra ukti prakAra dvayena AlOkika prasanna maDura ojasvi Sabda samarpyamANa viBAva Adi yoga Adi
   yameva rasavārtā /	yam eva rasa vArtA /
   astu vātra nāṭyādvicitrarūpā rasapratītiḥ; upāyavailakṣaṇyādiyameva	astu vA atra nAwyAt vicitra rUpA rasa pratItiH; upAya vElakzaNyAt iyam eva
   tāvadatra saraṇiḥ /	tAvat atra saraNiH /
   evaṃ sthite prathamapakṣa bālapriyā nāṭye iti chedaḥ /	evam sTite praTama pakza bAlapriyA nAwye iti CedaH /
   rasasyoktarītyā naṭāśrayakatvena nāṭyāśrayakatvamityarthaḥ /	rasasya ukta rItyA nawa ASrayaka tvena nAwya ASrayaka tvam iti arTaH /
   rāmādigatasthāyino 'nukāre naṭe sthāyyavabhāso mithyājñānarūpaḥ	rAma Adi gata sTAyinaH anukAre nawe sTAyI avaBAsaH miTyAjQAna rUpaH
   sāmājikānāṃ jāyate, sa eva camatkārakārī rasa iti kecittanmatamāha    anya	sAmAjikAnAm jAyate, saH eva camatkAra kArI rasaH iti kecid tat matam Aha    anya
   ityādi /	ityAdi /
   'aśvāvabhāsa ive'tyanvayaḥ /	aaSva avaBAsaH ive atyanvayaH /
   sa eveti /	saH eva iti /
   avabhāsamānaḥ sthāyyevetyarthaḥ /	avaBAsamAnaH sTAyI A iva iti arTaH /
   rasyamāna iti /	rasyamAnaH iti /
   viṣayīkriyamāṇa ityarthaḥ /	vizayI kriyamANaH iti arTaH /
   nāṭyādrasā iti /	nAwyAt rasAH iti /
   sthāyyavabhāsasya nāṭyahetukatvāditi bhāvaḥ /	sTAyI avaBAsasya nAwya hetuka tvAt iti BAvaH /
   matāntaramāha   apara ityādi /	mata antara m Aha   a paraH ityAdi /
   vibhāvānubhāvamātrameveti /	viBAva anuBAva mAtram eva iti /
   rasa ityanenāsya sambandhaḥ /	rasaH iti anena asya sambanDaH /
   kathamityatrāha   viśiṣṭetyādi /	kaTam iti atra Aha    viSizwa ityAdi /
   viśiṣṭasāmagrayā bhāvakatvaviśiṣṭayā nāṭyādisāmagrayā /	viSizwa sAmagrayA BAvaka tva viSizwayA nAwya Adi sAmagrayA /
   samarpyamāṇamiti /	samarpyamANam iti /
   sāmājikeṣpiti śeṣaḥ /	sAmAjikezu iti SezaH /
   taditi /	tat iti /
   tābhyāṃ vibhavānubhavābhyāṃ kramādvibhāvaniyā anubhāvanīyā ca yā	tAByAm viBava anuBavAByAm kramAt viBAva niyA anuBAvanIyA ca yA
   ratyādisthāyirūpacittavṛtyucitā vāsanā sāmājikagatā tadanuṣaktaṃ	rati Adi sTAyi rUpa citta vRti u citA vAsanA sAmAjika gatA tad anuzaktam
   tatsambaddham /	tad sambadDam /
   sveti /	sva iti /
   svasya sāmājikasya nirvṛtirūpā yā carvaṇā tadviśiṣṭaṃ tadviṣayabhūtam /	svasya sAmAjikasya nirvRti rUpA yA carvaNA tad viSizwam tad vizaya BUtam /
   nāṭyameveti /	nAwyam eva iti /
   vibhavānubhavayornaṇṭanayogyatvarūpanāṭyatvāditi bhāvaḥ /	viBava anuBavayoH naNwana yogya tva rUpa nAwya tvAt iti BAvaH /
   'śuddhaṃ vibhāvam' ityādau sarvatra rasamāhurityasya sambandho bodhyaḥ /	aSudDam viBAvam a ityAdO sarvatra rasam AhuH iti asya sambanDaH boDyaH /
   loketyādi /	loka ityAdi /
   "svabhāvābhinayopetaṃ na nāstrīpuruṣāśrayaṃ nāṭyaṃ lokadharmi"	"svaBAva aBinaya upetam na na astrI puruza ASrayam nAwyam loka Darmi"
   "svarālaṅkārasaṃyuktamasvasthapuruṣāśrayaṃ nāṭyaṃ nāṭyadharmi"	"svara alaFkAra saMyuktam asvasTa puruza ASrayam nAwyam nAwya Darmi"
   tatsthānīyena tattulyena /	tad sTAnIyena tad tulyena /
   svabhāveti /	svaBAva iti /
   vakroktiśabdārthaḥ pūrvamuktaḥ /	vakrokti Sabda arTaH pUrvam uktaH /
   dvayeneti tṛtīyārtho vaiśiṣṭyaṃ śabde 'nveti /	dvayena iti tRtIya arTaH vESizwyam Sabde anveti /
   dvayenetyalaukikatve heturvā /	dvayena iti alOkika tve hetuH vA /
   alaukiketi /	alOkikA iti /
   alaukiko laukikaśabdavyatiriktaḥ prasanno madhura ojasvī ca yaḥ śabdaḥ,	alOkikaH lOkika Sabda vyatiriktaH prasannaH maDuraH ojasvI ca yaH SabdaH,
   tena samarpyamāṇānāṃ vibhāvādīnāṃ yogādityarthaḥ /	tena samarpyamANAnAm viBAva AdInAm yogAt iti arTaH /
   iyameveti /	iyam eva iti /
   uktaprakāraivetyarthaḥ /	ukta prakArA eva iti arTaH /
   rasavārtā rasapadārthaḥ tatpratītirvā /	rasa vArtA rasa padArTaH tat pratItiH vA /
   astu vātreti /	astu vAtra iti /
   atra kāvye /	atra kAvye /
   vicitrarūpā vijātīyā /	vicitra rUpA vijAtIyAH /
   atra hetumāha   upāyeti /	atra hetum Aha    upAya iti /
   iyamiti /	iyam iti /
   vakṣyamāṇarūpetyarthaḥ /	vakzyamANa rUpA iti arTaH /
   locanam evaitāni dūṣaṇāni, pratīteḥ svaparagatatvādivikalpanena /	locanam eva etAni dUzaNAni, pratIteH sva para gata tva Adi vikalpanena /
   sarvapakṣeṣu ca pratītiraparihāryā rasasya /	sarva pakzezu ca pratItiraparihAryAH rasasya /
   apratītaṃ hi piśācavadavyavahārya syāt /	apratItam hi piSAca vat avyavahArya syAt /
   kiṃ tu yathā pratītimātratvenāviśiṣṭatve 'pi prātyakṣikī ānumānikī	kim tu yaTA pratIti mAtra tvena aviSizwa tve api prAtyakzikI AnumAnikI
   āgamotthā pratibhānakṛtā yogipratyakṣajā ca	Agama utTA pratiBAna kRtA yogi pratyakza jA ca
   pratītirupāyavailakṣṇyādanyaiva, tadvadiyamapi	pratItiH upAya vElakzNyAt anyA eva, tadvat iyam api
   pratītiścarvaṇāsvādanabhogāparanāmā bhavatu /	pratItiH carvaNa AsvAdana Boga apara nAmA Bavatu /
   tannidānabhūtāyā hṛdayasaṃvādādyupakṛtāyā vibhāvādisāmagpyā	tad nidAna BUtAyAH hRdaya saMvAda Adi upakRtAyAH viBAva Adi sAmagpyA
   lokottararūpatvāt /	loka uttara rUpa tvAt /
   rasāḥ pratīyanta iti odanaṃ pacatītivadyvavahāraḥ pratīyamāna eva hi rasaḥ	rasAH pratIyante iti odanam pacati iti vadyu avahAraH pratIyamAnaH eva hi rasaH
   pratītireva viśiṣṭā rasanā /	pratItiH eva viSizwA rasanA /
   sā ca nāṭye laukikānumānapratītervilakṣaṇā; tāṃ ca pramukhe upāyatayā	sA ca nAwye lOkika anumAna pratIteH vilakzaNA; tAm ca pramuKe upAya tayA
   sandadhānā /	sandaDAnAH /
   evaṃ kāvye anyaśābdapratītervilakṣaṇā, tāṃ ca pramukhe upāyatayāpekṣamāṇā	evam kAvye anya SAbda pratIteH vilakzaNA, tAm ca pramuKe upAya tayA apekzamANA
   tasmādanutthānopahataḥ pūrvapakṣaḥ /	tasmAt anutTAna upahataH pUrva pakzaH /
   rāmādicaritaṃ tu na sarvasya hṛdayasaṃvādīti mahatsāhasam /	rAma Adi caritam tu na sarvasya hRdaya saMvAdI iti mahat sAhasam /
   citravāsanāviśiṣṭatvāccetasaḥ /	citra vAsanA viSizwa tvAt cetasaH /
   yadāha "tāsāmanāditvaṃ āśiṣo nityatvāt /	yat A aha "tAsAm anAdi tvam ASizaH nitya tvAt /
   bālapriyā atra kāvye /	bAla priyAH atra kAvye /
   prathamapakṣa iti /	praTama pakzaH iti /
   bhaṭṭalollaṭoktotpattipakṣa ityarthaḥ /	Bawwa la ullawA ukta utpatti pakzaH iti arTaH /
   vikalpanena dūṣaṇāniti sambandhaḥ /	vikalpanena dUzaNAn iti sambanDaH /
   sarveti /	sarva iti /
   sahṛdayānāṃ rasapratītiḥ sarvapakṣe 'pyaparihāryetyarthaḥ /	sahRdayAnAm rasa pratItiH sarva pakze api aparihArya iti arTaH /
   vipakṣe bādhakamāha apratītamityādi /	vipakze bADakam Aha a pratItam ityAdi /
   apratītaṃ viśiṣyājñātaṃ vastu /	apratItam viSizya ajQAtam vastu /
   atryavahāryam vyavahārāyogyam /	atri avahAryam vyavahAra ayogyam /
   atra dṛṣṭāntaḥ   piśācacaditi /	atra dRzwAntaH   piSAca cat iti /
