   (KpSū 1)	(KpSU 1)
   / duṣṭakleśānukūlavigataḥ sa mārgaḥ anunayapratighaprahīṇatvāt /	/ duzwa kleSa anukUla vigataH sa mArgaH anunaya pratiGa prahINa tvAt /
   nihatarajaḥ sa mārgaḥ vyāpādakhilakrodhāpagatatvāt / (KpSū 79)	nihata rajaH sa mArgaH vyApAt aKila kroDa apagata tvAt / (KpSU 79)
   sugatigamanīyaḥ sa mārgaḥ sarvākuśalavirahitatvāt / kṣemaṃgamo mahārāja	sugati gamanIyaH sa mArgaH sarva akuSala virahita tvAt / kzemaMgamaH mahA rAja
   saṃbodhimārgaḥ nirvāṇaparyavasānaḥ / utpādaya mahārāja bodhicittaṃ" / rājā	saMboDi mArgaH nirvANa paryavasAnaH / utpAdaya mahA rAja boDi cittaM" / rAjA
   prāha   "ayaṃ brāhmaṇa tathāgataḥ aśītivarṣasāhasrikāyāṃ prajāyāṃ loka	prAha  "ayam brAhmaNa taTAgataH aSIti varza sAhasrikAyAm prajAyAm loka
   utpanno, na śakyaṃ tathāgatena sarve 'pāyaḥ śamayituṃ / ye sattvā	utpanno, na Sakyam taTAgatena sarve apAyaH Samayitum / ye sattvA
   avaruptakuśalamūlaste sattvāḥ phale sthitāḥ, kecit samādhidhāraṇīkṣāntiṣu	avarupta kuSala mUlaH te sattvAH Pale sTitAH, kecid samADi DAraNI kzAntizu
   niṣpannāḥ, utkṛṣṭakuśalamūlāstu ye sattvāste bodhau avaivartyāḥ saṃvṛttāḥ,	nizpannAH, utkRzwa kuSala mUlAH tu ye sattvAH te boDO avEvartyAH saMvRttAH,
   kecidavaruptakuśalamūlāḥ devamanuṣyaśriyamanubhavanti / svakasvakaiḥ	kecid avarupta kuSala mUlAH deva manuzya Sriyam anuBavanti / sva ka svakEH
   sattvāḥ kuśalākuśalaiḥ karmabhirbhramanti / katame sattvā bhagavatā	sattvAH kuSala akuSalEH karmaBiH Bramanti / katame sattvAH BagavatA
   vinītāḥ sadekasattvasyāpi duḥkhaṃ na praśāntaṃ, kṣetrabhūtaḥ kevalaṃ	vinItAH sat eka sattvasya api duHKam na praSAntan, kzetra BUtaH kevalam
   bhagavata āśrayaḥ, nānavaruptakuśalamūlānāṃ sattvānāṃ duḥkhamocanaṃ karoti	BagavataH ASrayaH, nAna varupta kuSala mUlAnAm sattvAnAm duHKa mocanam karoti
   / utpādayāmyahaṃ bodhicittaṃ / bodhisattvacaryāṃ caraṃstenāhaṃ	/ utpAdayAmi aham boDi cittam / boDisattva caryAm caran= tena aham
   mahājñānasamucchrayeṇa acintyenodāreṇa dharmamukhapraveśena sattvān	mahA jQAna samucCrayeNa acintyena udAreNa Darma muKa praveSena sattvAn
   vinayeyaṃ buddhakāryaṃ ca kuryāṃ / na kevalamasmiṃ kliṣṭe buddhakṣetre	vinayeyam budDa kAryam ca kuryAm / na kevalam asmim klizwe budDa kzetre
   bodhāya cittaṃ (KpSū 80) pariṇāmayeyaṃ / yadyahaṃ tādṛśaṃ buddhakṣetraṃ	boDAya cittam (KpSU 80) pariNAmayeyam / yadi aham tAdRSam budDa kzetram
   labheyamutpādayeyamahaṃ bodhicittaṃ, tadāhaṃ bodhisattvacaryāṃ cariṣyāmi	laBeyam utpAdayeyam aham boDi cittaM, tadA aham boDisattva caryAm carizyAmi
   yadāhamanuttarāṃ samyaksaṃbodhiṃ ca spṛśeyaṃ, sarvaṃ ca tatra buddhakṣetre	yadA aham anuttarAm samyaksaMboDim ca spRSeyaM, sarvam ca tatra budDa kzetre
   sattvānāṃ duḥkhaṃ praśamayeyaṃ" /	sattvAnAm duHKam praSamayeyan" /
   atha khalu kulaputra ratnagarbhastathāgato 'rhan	aTa Kalu kula putra ratnagarBaH taTAgataH arhan
   samyaksaṃbuddhastādṛśamṛddhyabhisaṃskāramabhisaṃskṛtavān tadādarśavyūhaṃ	samyaksaMbudDaH tAdRSa m RdDi aBisaMskAram aBisaMskRtavAn tad AdarSa vyUham
   nāma samādhiṃ samāpannaḥ / tathā samāhitena bhagavatā ādarśavyūhe samādhau	nAma samADim samApannaH / taTA samAhitena BagavatA AdarSa vyUhe samADO
   tathārūpāvabhāsaḥ prādurbhūtaḥ, yenāvabhāsena daśasu dikṣvekaikasyāṃ diśi	taTArUpa avaBAsaH prAdurBUtaH, yena avaBAsena daSasu dikzu ekEkasyAm diSi
   sahasrabuddhakṣetraparamāṇurajaḥsamā lokadhātavaḥ sarvaguṇavyūhā dṛṣyante;	sahasra budDa kzetra paramANu rajaH samAH lokaDAtavaH sarva guNa vyUhAH dRzyante;
   keṣucid buddhā bhagavantaḥ parinirvṛtāḥ, keṣucit parinirvāṇāya saṃsthitāḥ;	kezucid budDAH BagavantaH parinirvRtAH, kezucid parinirvANAya saMsTitAH;
   yatra ca bodhisattvā mahāsattvā bodhivṛkṣamūle niṣaṇṇā māraṃ parājayanti,	yatra ca boDisattvAH mahAsattvAH boDi vRkza mUle nizaNNAH mAram parAjayanti,
   yatra cācirābhisaṃbuddhā dharmacakraṃ pravartayanti, yatra	yatra ca acira aBisaMbudDAH Darma cakram pravartayanti, yatra
   cācirapravṛttadharmacakraṃ dharmaṃ deśayanti, yatra ca buddhānāṃ	ca acira pravRtta Darma cakram Darmam deSayanti, yatra ca budDAnAm
   bodhisattvānāṃ sphuṭāṃ buddhakṣetrāṃ, yatra śrāvakapratyekabuddhānāmutpādo	boDisattvAnAm sPuwAm budDa kzetrAn, yatra SrAvaka pratyekabudDAnAm utpAdaH 
   nāsti, yatra ca śrāvakapratyekabuddhā utpadyante, yatra ca śūnyaṃ	nAsti, yatra ca SrAvaka pratyekabudDAH utpadyante, yatra ca SUnyam
   buddhakṣetraṃ buddhebhyo bodhisattvebhyaḥ (KpSū 81)	budDa kzetram budDeByaH boDisattveByaH (KpSU 81)
   śrāvakapratyekabuddhebhyaḥ; kvacit kliṣṭaṃ buddhakṣetraṃ pañcakaṣāyaṃ,	SrAvaka pratyekabudDeByaH; kvacid klizwam budDa kzetram paQcakazAyaM,
   kvacit pariśuddhamapagatapañcakaṣāyaṃ, kvacidutkṛṣṭāḥ sattvāḥ,	kvacid pariSudDam apagata paQcakazAyaM, kvacid utkRzwAH sattvAH,
   kvaciddhīnāḥ, kvaciddīrghāyuṣkāḥ, kvacidalpāyuṣkāḥ;	kvacid hInAH, kvacid dIrGa AyuzkAH, kvacid alpa AyuzkAH;
   kānicidbuddhakṣetrānyagninā saṃvartante, kānicidudakena, kānicidvāyunā;	kAnicid budDa kzetrAni agninA saMvartante, kAnicid udakena, kAnicid vAyunA;
   kvacidvivartante, kvacidvivṛttāstiṣṭhanti; te sarva udāreṇāvabhāsena	kvacid vivartante, kvacid vivRttAH tizWanti; te sarve udAreNa avaBAsena
   sphuṭāḥ saṃdṛśyante / sarvāvatī sā parṣattāṃ dṛṣṭvā buddhakṣetre	sPuwAH saMdRSyante / sarvAvatI sA parzattAm dRzwvA budDa kzetre
   guṇavyūhān, samudrareṇurbrāhmaṇaḥ punā rājānametadavocat   "paśya	guNa vyUhAn, samudra reNuH brAhmaNaH punA rAjAnam etat avocat  "paSya
   mahārājaitān buddhakṣetraguṇavyūhān, utpādaya mahārājanuttarāyāṃ	mahA rAja etAn budDa kzetra guNa vyUhAn, utpAdaya mahA rAja nuttarAyAm
   samyaksaṃbodhau cittaṃ, gṛhāṇa mahārāja buddhakṣetraṃ yādṛśamākāṅkṣasi" /	samyaksaMboDO cittaM, gRhANa mahA rAja budDa kzetram yAdRSam AkAFkzasi" /
   athāraṇemī rājā yena bhagavāṃstenāñjaliṃ praṇamya bhagavantametadavocat  	aTa araNemiH rAjA yena BagavAn= tena aQjalim praNamya Bagavantam etat avocat  
   "kena bhagavan karmaṇā bodhisattvo mahāsattvaḥ pariśuddhaṃ buddhakṣetraṃ	"kena Bagavan karmaNA boDisattvaH mahAsattvaH pariSudDam budDa kzetram
   parigṛhṇāti, kena karmaṇāpariśuddhaṃ; utkṛṣṭāḥ sattvāḥ kena karmaṇā,	parigRhNAti, kena karmaNA apariSudDaM; utkRzwAH sattvAH kena karmaNA,
   yāvaddīrghāyuṣkāḥ sattvā vistaraḥ" / bhagavān āha   "praṇidhānavaśena	yAvat dIrGa AyuzkAH sattvAH vistaraH" / BagavAn Aha  "praNiDAna vaSena
   mahārāja bodhisattvo mahāsattvaḥ pariśuddhaṃ buddhakṣetraṃ parigṛhṇāti	mahA rAja boDisattvaH mahAsattvaH pariSudDam budDa kzetram parigRhNAti
   apagatapañcakaṣāyaṃ, praṇidhānenāpariśuddhaṃ" / rājā prāha   "ahaṃ	apagata paQcakazAyaM, praNiDAnena apariSudDaM" / rAjA prAha  "aham
   bhadanta (KpSū 82) bhagavan nagaraṃ praviśyaikāgre niṣadya praṇidhānaṃ	Badanta (KpSU 82) Bagavat nagaram praviSya ekAgre nizadya praNiDAnam
   cintayiṣyāmi, tathārūpaṃ me buddhakṣetramapagatapañcakaṣāyaṃ rocate	cintayizyAmi, taTArUpam me budDa kzetram apagata paQcakazAyam rocate
   tatremā subhavacaryā pariṇāmayiṣyāmi" / bhagavān āha   "yasyedānīṃ	tatra imA suBava caryA pariNAmayizyAmi" / BagavAn Aha  "yasya idAnIm
   mahārāja kālaṃ manyase" / atha khalu kulaputra rājāraṇemī bhagavataḥ pādau	mahA rAja kAlam manyase" / aTa Kalu kula putra rAjAraNemI BagavataH pAdO
   śirasā vanditvā bhikṣusaṅghaṃ ca triṣkṛtvaḥ pradakṣiṇīkṛtya bhagavato	SirasA vanditvA Bikzu saFGam ca trizkRtvas pradakziNIkRtya BagavataH 
   'ntikāt prakāntaḥ / nagaraṃ praviśya svake gṛha ekāgraḥ pratisaṃlīno	antikAt prakAntaH / nagaram praviSya svake gRhe ekAgraH pratisaMlInaH 
   niṣaṇṇaḥ, buddhakṣetrapraṇidhānaṃ vyūhaṃ cintayati /	nizaNNaH, budDa kzetra praNiDAnam vyUham cintayati /
   atha khalu samudrareṇurbrāhmaṇaḥ jyeṣṭhaṃ rājaputramanimiṣamāmantrayati /	aTa Kalu samudra reNuH brAhmaNaH jyezWam rAja putram animizam Amantrayati /
   "utpādaya tvamanimiṣānuttarāyāṃ samyaksaṃbodhau cittaṃ / yacca tvayā	"utpAdaya tvam animizA anuttarAyAm samyaksaMboDO cittam / yat ca tvayA
   tribhiḥ puṇyakriyāvastubhiḥ śubhaṃ caratā puṇyamārjitaṃ	triBiH puNya kriyA vastuBiH SuBam caratA puNya mArjitam
   tatsarvamanuttarayāṃ samyaksaṃbodhau pariṇāmayā" / sa prāha  	tat sarvam anuttarayAm samyaksaMboDO pariNAmayA" / sa prAha  
   "ahamapyupādhyāya svagṛhaṃ gatvaikākī rahogato niṣadya	"aham api upADyAya sva gRham gatvA ekAkI rahaH gataH nizadya
   buddhakṣetraguṇavyūhāṃścintayiṣyāmi / yadi bodhāya cittamutpatsyate,	budDa kzetra guNa vyUhAn= cintayizyAmi / yadi boDAya cittam utpatsyate,
   punarāgamya bhagavataḥ sakāśaṃ bodhicittaṃ pariṇāmayiṣyāmi" / ataḥ so 'pi	punar Agamya BagavataH sakASam boDi cittam pariNAmayizyAmi" / atas saH api
   rājaputro bhagavataḥ pādau śirasābhivandya bhikṣusaṅghasya ca triṣkṛtvaḥ	rAja putraH BagavataH pAdO SirasA aBivandya Bikzu saFGasya ca trizkRtvas 
   pradakṣiṇīkṛtvā bhagavato 'ntikāt prakāntaḥ, (KpSū 83) svakaṃ niveśanaṃ	pradakziNIkRtvA BagavataH antikAt prakAntaH, (KpSU 83) svakam niveSanam
   gatvā ekākī rahogato niṣadya buddhakṣetraguṇavyūhaṃ cintayati / atha khalu	gatvA ekAkI rahaH gataH nizadya budDa kzetra guNa vyUham cintayati / aTa Kalu
   kulaputra samudrareṇurbrāhmaṇo 'grapurohito dvitīyaṃ rājaputraṃ	kula putra samudra reNuH brAhmaNaH agra purohitaH dvitIyam rAja putram
   nimantrayitvovāca, "utpādaya tvaṃ kumāra bodhicittaṃ", vistareṇa peyālaṃ	nimantrayitvA uvAca, "utpAdaya tvam kumAra boDi cittaM", vistareNa peyAlam
   yāvat, sarvarājaputrasahasraṃ bodhau samādāpayati, caturaśītiḥ	yAvat, sarva rAja putra sahasram boDO samAdApayati, caturaSItiH
   koṭṭarājasahasrāṇi, anyāni ca navatiḥ koṭyaḥ sattvānāṃ bodhau samādāpayati	kowwa rAja sahasrANi, anyAni ca navatiH kowyaH sattvAnAm boDO samAdApayati
   / te 'pi sarva evamāhuḥ, "vayamapi svasvagṛhaṃ gatvaikākino niṣadya	/ te api sarve evam AhuH, "vayam api sva sva gRham gatvA ekAkinaH nizadya
   buddhakṣetraguṇavyūhaṃ cintayiṣyāmaḥ" / evamuktvā sarva eva svagṛhāṇi	budDa kzetra guNa vyUham cintayizyAmaH" / evam uktvA sarve eva sva gRhANi
   gatvaikākino niṣaṇṇāḥ saptavarṣāṇi buddhakṣetraguṇavyūhapraṇidhānāni	gatvA ekAkinaH nizaNNAH sapta varzANi budDa kzetra guNa vyUha praNiDAnAni
   cintayanti //	cintayanti //
   atha khalu kulaputra samudrareṇorbrāhmaṇasyaivaṃ apareṇa samayena cetasaḥ	aTa Kalu kula putra samudra reNoH brAhmaNasya evam apareNa samayena cetasaH
   parivitarka udāpādi / "mayā khalvanuttarāyāṃ samyaksaṃbodhau	parivitarkaH udApAdi / "mayA Kalu anuttarAyAm samyaksaMboDO
   bahuprāṇakoṭīnayutaśatasahasrāṇi samādāpitāni / ayaṃ ca mayā buddho	bahu prANa kowIn ayuta Sata sahasrANi samAdApitAni / ayam ca mayA budDaH 
   bhagavān saptavarṣāṇi sarvopakarṇairupanimantritaḥ sārdhamaparimitena	BagavAn sapta varzANi sarva upakarNEH upanimantritaH sArDam aparimitena
   bhikṣusaṅghena / yadi ca mamānuttarāyāṃ samyaksaṃbodhau āśā paripūryate	Bikzu saFGena / yadi ca mama anuttarAyAm samyaksaMboDO ASA paripUryate
   tathā cāyaṃ praṇidhānaṃ saṃpadyate yad ahaṃ	taTA ca ayam praNiDAnam saMpadyate yat aham
   devāsuragandharvayakṣarākṣasakumbhāṇḍān asmin mahāyajñe samādāpayāmi" /	deva asura ganDarva yakza rAkzasa kumBa aNxAn asmin mahA yajQe samAdApayAmi" /
   (KpSū 84)	(KpSU 84)
   atha kulaputra samudrareṇurbrāhmaṇaḥ purohito vaiśravaṇamākāṅkṣate	aTa kula putra samudra reNuH brAhmaNaH purohitaH vESravaNam AkAFkzate
   darśanāya / atha khalu vaiśravaṇo mahārājānekairyakṣaśatasahasraiḥ	darSanAya / aTa Kalu vESravaNaH mahA rAja anekEH yakza Sata sahasrEH
   parivṛtaḥ puraskṛto yena samudrareṇurbrāhmaṇastenopajagāmopetya	parivRtaH puraskRtaH yena samudra reNuH brAhmaNaH tena upajagAma upetya
   samudrareṇorbrāhmaṇasyāgrataḥ sthitvaitadavocat   "kiṃ brāhmaṇa matto	samudra reNoH brAhmaNasya agratas sTitvA etat avocat  "kim brAhmaNa mattaH 
   hyākāṅkṣase?" brāhmaṇaḥ prāha   "ko bhavān?" vaiśrāvaṇaḥ prāha   "śrutaṃ	hi AkAFkzase?" brAhmaNaH prAha  "kaH BavAn ?" vESrAvaNaH prAha  "Srutam
   tvayā brāhmaṇāsti vaiśravaṇo nāma yakṣādhipatiḥ / so ahaṃ; brāhmaṇa kim	tvayA brAhmaNa asti vESravaNaH nAma yakza aDipatiH / saH ahaM; brAhmaNa kim
   ājñāpayasi kiṃ karavāṇi?" / brāhmaṇaḥ prāha / "śṛṇu yakṣādhipate 'haṃ	AjQApayasi kim karavANi?" / brAhmaNaH prAha / "SRNu yakza aDipate aham
   bhagavatpūjāṃ kariṣye, tvamatrautsukyamāpadyasva" / sa prāha   "tathāstu	Bagavat pUjAm karizye, tvam atra Otsukyam Apadya sva" / sa prAha  "taTA astu
   yathā tvaṃ brāhmaṇākāṅkṣase" / "tena hi tvaṃ mahārāja yākṣān asmākaṃ	yaTA tvam brAhmaNa AkAFkzase" / "tena hi tvam mahA rAja yAkzAn asmAkam
   vacanenānuttarāyāṃ samyaksaṃbodhau samādāpaya / evaṃ ca punaḥ samādāpaya,	vacanena anuttarAyAm samyaksaMboDO samAdApaya / evam ca punar samAdApaya,
   sacedyūyaṃ yakṣā anuttarāyāṃ samyaksaṃbodhāvarthikā gacchata, yūyaṃ pārāt	saced yUyam yakzAH anuttarAyAm samyaksaMboDOvarTikA gacCata, yUyam pArAt 
   samudrasya gośīrṣaṃ uragasāracandanamānayantu, apare bhagavato 'rthe	samudrasya goSIrzam uraga sAra candanam Anayantu, apare BagavataH arTe
   gandhamapare vividhāṃ puṣpān, yenāhaṃ divasedivase bhagavataḥ pūjāṃ	ganDam apare viviDAm puzpAn, yena aham divasedivase BagavataH pUjAm
   kariṣyāmi" / "evamastu brāhmaṇa", vaiśravaṇo mahārājā tasya brāhmaṇasya	karizyAmi" / "evam astu brAhmaNa", vESravaNaH mahA rAjA tasya brAhmaNasya
   pratiśrutya tatraivāntarhitaḥ bherīmāhatya yakṣarākṣasāṃ	pratiSrutya tatra eva antarhitaH BerIm Ahatya yakza rAkzasAm
   sannipātyaitadavocat (KpSū 85)   "yat khalu mārṣā jānīyuḥ, ayaṃ jambudvīpe	sannipAtya etat avocat (KpSU 85)  "yat Kalu mArzAH jAnIyuH, ayam jambudvIpe
   samudrareṇurnāma brāhmaṇo rājño 'raṇemino 'grapurohitaḥ, taṃ ratnagarbhaṃ	samudrareNuH nAma brAhmaNaH rAjQaH araNeminaH agra purohitaH, tam ratna garBam
   tathāgatamarhantaṃ samyaksaṃbuddhaṃ sārdhaṃ bhikṣusaṅghena saptavarṣāṇi	taTAgatam arhantam samyaksaMbudDam sArDam Bikzu saFGena sapta varzANi
   sarvopakaraṇairupasthāsyati / tadyuṣmābhistat kuśalamanumoditavyaṃ, tena	sarva upakaraNEH upasTAsyati / tat yuzmABiH tat kuSalam anumoditavyan, tena
   ca yūyaṃ kuśalamūlenānuttarāyāṃ samyaksaṃbodhau cittamutpādayatā" / tena	ca yUyam kuSala mUlena anuttarAyAm samyaksaMboDO cittam utpAdayatA" / tena
   khalu punaḥ samayena bahuyakṣarākṣasakoṭīnayutaśatasahasrāṇi añjaliṃ	Kalu punar samayena bahu yakza rAkzasa kowIn ayuta Sata sahasrANi aQjalim
   kṛtvocuḥ / "yaḥ samudrareṇorbrāhmaṇasya puṇyābhisyandaḥ kuśalābhiṣyando	kRtvA UcuH / "yaH samudra reNoH brAhmaNasya puNya aBisyandaH kuSala aBizyandaH 
   ratnagarbhaṃ tathāgatamarhantaṃ samyaksaṃbuddhaṃ saptavarṣāṇi	ratna garBam taTAgatam arhantam samyaksaMbudDam sapta varzANi
   sarvopakaraṇairupatiṣṭhati sārdhamaparimitena bhikṣusaṅghena, tatsarvaṃ	sarva upakaraNEH upatizWati sArDam aparimitena Bikzu saFGena, tat sarvam
   vayaṃ puṇyaskandhamanumodāmastena ca kuśalamūlenānuttarāṃ	vayam puNya skanDam anumodAmaH tena ca kuSala mUlena anuttarAm
   samyaksaṃbodhimabhisaṃbuddhyemahi" / vaiśravaṇo mahārājaḥ prāha  	samyaksaMboDim aBisaMbudDyemahi" / vESravaNaH mahA rAjaH prAha  
   "śṛṇvantu bhavantaḥ, yaḥ kaścid yuṣmākaṃ kuśalamūlenārthikaḥ puṇyārthī sa	"SRNvantu BavantaH, yaH kaScid yuzmAkam kuSala mUlena arTikaH puNya arTI sa
   saptavarṣān pārāt samudrasya gośīrṣoragasāracandanamānayatu, yena	sapta varzAn pArAt samudrasya goSIrza uraga sAra candanam Anayatu, yena
   samudrareṇurbrāhmaṇo bhagavato bhikṣusaṅghasya cāhāraṃ sajjīkuryāt" / tato	samudra reNuH brAhmaNaH BagavataH Bikzu saFGasya ca AhAram sajjIkuryAt" / tatas 
   dvānavatiyakṣasahasrāṇi ekakaṇṭhenodāhṛtavantaḥ / "vayaṃ mārṣā imān	dvAnavati yakza sahasrANi eka kaNWena udAhRtavantaH / "vayam mArzAH imAn
   saptavarṣān gośīrṣamuragasāracandanamānayiṣyāmo, (KpSū 86) yena	sapta varzAn goSIrzam uraga sAra candanam AnayizyAmo, (KpSU 86) yena
   samudrareṇurbrāhmaṇo bhagavato 'rthāyāhāraṃ sajjīkariṣyati bhikṣusaṅghasya	samudra reNuH brAhmaNaH BagavataH arTAya AhAram sajjIkarizyati Bikzu saFGasya
   ca" / ṣaṭcatvāriṃśadyakṣasahasrāṇi kathayanti / "vayaṃ gandhamānayiṣyāmaḥ"	ca" / zawcatvAriMSat yakza sahasrANi kaTayanti / "vayam ganDam AnayizyAmaH"
   / dvāpañcāśadyakṣasahasrāṇi kathayanti / "vayaṃ vicitrān puṣpān	/ dvApaQcASat yakza sahasrANi kaTayanti / "vayam vicitrAn puzpAn
   ānayiṣyāmaḥ" / viṃśadyakṣasahasrāṇi kathayanti / "vayaṃ	AnayizyAmaH" / viMSat yakza sahasrANi kaTayanti / "vayam
   vividharasāyanānāmojāṃ gṛhnīmo bhagavato 'rthāya bhikṣusaṅghasya ca,	viviDa rasAyanAnAm ojAm gRhnImaH BagavataH arTAya Bikzu saFGasya ca,
   yadannapānasajjīkṛtaṃ bhaviṣyati tatraujāṃ prakṣepsyāmaḥ" /	yat anna pAna sajjIkRtam Bavizyati tatra ojAm prakzepsyAmaH" /
   saptatiryakṣasahasrāṇi kathayanti / "vayaṃ mārṣā bhagavato 'rthāyāhāraṃ	saptatiH yakza sahasrANi kaTayanti / "vayam mArzAH BagavataH arTAya AhAram
   sajjīkariṣyāmo bhikṣusaṅghasya ca" /	sajjIkarizyAmaH Bikzu saFGasya ca" /
   atha khalu kulaputra samudrareṇurbrāhmaṇo viruḍhakasya mahārājasyākāṅkṣati	aTa Kalu kula putra samudra reNuH brAhmaNaH viruXakasya mahA rAjasya AkAFkzati
   darśanaṃ / tato virūḍhako mahārājā yena	darSanam / tatas virUXakaH mahA rAjAH yena
   samudrareṇurbrāhmaṇastenopajagāmopetya yāvad	samudra reNuH brAhmaNaH tena upajagAma upetya yAvat 
   anekakumbhāṇḍakoṭīnayutaśatasahasrāṇi anuttarāyāṃ samyaksaṃbodhau	aneka kumBa aNxa kowIn ayuta Sata sahasrANi anuttarAyAm samyaksaMboDO
   cittānyutpādayanti / evaṃ virūpākṣo dhṛtarāṣṭro	cittAni utpAdayanti / evam virUpAkzaH DRtarAzwraH 
   bahunāgagandharvakoṭīnayutaśatasahasrāṇyanuttarāyāṃ samyaksaṃbodhau	bahu nAga ganDarva kowIn ayuta Sata sahasrANi anuttarAyAm samyaksaMboDO
   cittānyutpādayanti / atha khalu dvitīyikāyāścāturdvīpikāyā lokapālā	cittAni utpAdayanti / aTa Kalu dvitIyikAyAH cAturdvIpikAyAH lokapAlA
   buddhānubhāvenāgatāḥ samudrareṇorbrāhmaṇasya sakāśat, tān api brāhmaṇaḥ	budDa anuBAvena AgatAH samudra reNoH brAhmaNasya sakASat, tAn api brAhmaNaH
   samādāpayati / te 'pi gatvā svakaṃ svakaṃ parṣadamanuttarāyāṃ (KpSū 87)	samAdApayati / te api gatvA svakam svakam parzadam anuttarAyAm (KpSU 87)
   samyaksaṃbodhau samādāpayanti, yāvat trisāhasramahāsāhasrāt koṭīśataṃ	samyaksaMboDO samAdApayanti, yAvat tri sAhasra mahA sAhasrAt kowI Satam
   vaiśravaṇānām saparṣatkānāmanuttarāyāṃ samyaksaṃbodhau samādāpayanti,	vESravaNAnAm sa parzatkAnAm anuttarAyAm samyaksaMboDO samAdApayanti,
   koṭīśataṃ vīrūḍhakānām koṭiśataṃ virūpākṣāṇāṃ koṭiśataṃ dhṛtarāṣṭrāṇāṃ	kowI Satam vIrUXakAnAm kowi Satam virUpa akzANAm kowi Satam DRtarAzwrANAm
   sapārṣadyānāmanuttarāyāṃ samyaksaṃbodhau samādāpayanti /	sa pArzadyAnAm anuttarAyAm samyaksaMboDO samAdApayanti /
   atha khalu kulaputra samudrareṇorbrāhmaṇasyaitad abhavat /	aTa Kalu kula putra samudra reNoH brAhmaNasya etat aBavat /
   "yadyahamanuttarāṃ samyaksaṃbodhimabhisaṃbuddhyeyaṃ āśā ca samṛdhyeta yadi	"yadi aham anuttarAm samyaksaMboDim aBisaMbudDyA iyam ASA ca samRDyeta yadi
   ca me praṇidhiḥ samṛdhyeta, virūḍhakānāṃ tadahaṃ kārayeyaṃ kāraṃ, asmin	ca me praNiDiH samRDyeta, virUXakAnAm tat aham kArayeyam kAraM, asmin
   mahāyajñe tat sattvānāṃ saṃvibhajeyaṃ, anuttarāyāṃ samyaksaṃbodhau	mahA yajQe tat sattvAnAm saMviBajeyan, anuttarAyAm samyaksaMboDO
   samādāpayeyaṃ / sacedahamanena puṇyenānuttarāṃ	samAdApayeyam / sa ced aham anena puNyena anuttarAm
   samyaksaṃbodhimabhisaṃbuddhyeyañchakro mamādya devānāmindro	samyaksaMboDim aBisaMbudDyeyan SakraH mama adya devAnAm indraH 
   darśanāyopasaṃkrāmatu, suyamo devaputraḥ saṃtuṣito devaputraḥ sunirmito	darSanAya upasaMkrAmatu, suyamaH deva putraH saMtuzitaH deva putraH su nirmitaH 
   devaputraḥ paranirmitavaśavartī ca devaputraḥ darśanāyopasaṃkrāmatu" /	deva putraH paranirmita vaSavartI ca deva putraH darSanAya upasaMkrAmatu" /
   sahacittotpādādeva kulaputra samudrareṇorbrāhmaṇasya śakro devānāmindro	saha citta utpAdAt eva kula putra samudra reNoH brAhmaNasya SakraH devAnAm indraH 
   darśanāyopasaṃkrāntaḥ, suyāmaśca (KpSū 88) devaputraḥ saṃtuṣitaśca	darSanAya upasaMkrAntaH, suyAmaH ca (KpSU 88) deva putraH saMtuzitaH ca
   devaputraḥ sunirmitaśca devaputraḥ paranirmitavaśavartī ca devaputraḥ taṃ	deva putraH su nirmitaH ca deva putraH paranirmita vaSavartI ca deva putraH tam
   brāhmaṇaṃ darśanāyopasaṃkrāntaḥ / tāṃ samudrareṇurbrāhmaṇaḥ pṛcchati / "ke	brAhmaNam darSanAya upasaMkrAntaH / tAm samudra reNuH brAhmaNaH pRcCati / "ke
