   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   niṣiktā yatrayatrāsaṃstatratatrācalo 'bhavat // BndP_1,5.26 //	niziktAH yatrayatra Asan= tatra tatra acalaH aBavat // Bndu _1,5.26 //
   tatasteṣu prakīrṇeṣu lokodadhigirīṃstathā /	tatas tezu prakIrNezu loka udaDi girIn= taTA /
   viśvakarmā vibhajate kalpādiṣu punaḥ punaḥ // BndP_1,5.27 //	viSvakarmA viBajate kalpa Adizu punar punar // Bndu _1,5.27 //
   sasamudrāmimāṃ pṛthvīṃ saptadvīpāṃ saparvatām /	sa samudrAm imAm pRTvIm sapta dvIpAm sa parvatAm /
   bhūrādyāṃścaturo lokānpunaḥpunarakalpayat // BndP_1,5.28 //	BUH AdyAn= caturaH lokAn punar punar akalpayat // Bndu _1,5.28 //
   lākānprakalpayitvā ca prajāsarga sasarja ha /	lAkAn prakalpayitvA ca prajA sarga sasarja ha /
   brahmā svayaṃbhūrbhagavām sisṛkṣurvividhāḥ prajāḥ // BndP_1,5.29 //	brahmA svayaMBUH BagavAm sisRkzuH viviDAH prajAH // Bndu _1,5.29 //
   sasarja sṛṣṭaṃ tadrūpaṃ kalpādiṣu yathā purā /	sasarja sRzwam tad rUpam kalpa Adizu yaTA purA /
   tasyābhidhyāyataḥ sargaṃ tadā vai buddhipūrvakam // BndP_1,5.30 //	tasya aBiDyAyataH sargam tadA vE budDi pUrvakam // Bndu _1,5.30 //
   pradhānasamakāle ca prādurbhūtastamo mayaḥ /	praDAna sama kAle ca prAdurBUtaH tamaH mayaH /
   tamo moho mahāmohastāmisro hyandhasaṃjñitaḥ // BndP_1,5.31 //	tamaH mohaH mahAmohaH tAmisraH hi anDa saMjQitaH // Bndu _1,5.31 //
   avidyā pañcaparvaiṣā prādurbhūtā mahātmanaḥ /	avidyA paQca parvA ezA prAdurBUtA mahAtmanaH /
   pañcadhāvasthitaḥ sargo dhyāyata sābhimāninaḥ // BndP_1,5.32 //	paQcaDA avasTitaH sargaH DyAyata sa aBimAninaH // Bndu _1,5.32 //
   sarvatastamasā caiva bījakuṃbhalatāvṛtāḥ /	sarvatas tamasA ca eva bIja kuMBa lata AvRtAH /
   bahirantaścāprakāśastathāniḥsaṃjña eva ca // BndP_1,5.33 //	bahis antar ca aprakASaH taTA niHsaMjQaH eva ca // Bndu _1,5.33 //
   yasmātteṣāṃ kṛtā buddhir duḥkhāni karaṇāni ca /	yasmAt tezAm kRtA budDiH duHKAni karaNAni ca /
   tasmācca saṃvṛtātmāno nagā mukhyāḥ prakīrtitāḥ // BndP_1,5.34 //	tasmAt ca saMvRta AtmAnaH nagAH muKyAH prakIrtitAH // Bndu _1,5.34 //
   mukhyasarge tadodbhūtaṃ dṛṣṭvā brahmātmasaṃbhavaḥ /	muKya sarge tadA udBUtam dRzwvA brahma Atma saMBavaH /
   apratī tamanāḥ sotha tadotpattimamanyata // BndP_1,5.35 //	apratI tamanAH soTa tadA utpattim amanyata // Bndu _1,5.35 //
   tasyābhidhyāyataścānyastiryaksroto 'bhyavartata /	tasya aBiDyAyataH ca anyaH tiryaksrotaH aByavartata /
   yasmāttiryagvivartteta tiryakasrotastataḥ smṛtaḥ // BndP_1,5.36 //	yasmAt tiryak vivartteta tiryaka srotaH tatas smRtaH // Bndu _1,5.36 //
   tamobahutvātte sarve hyajñānabahulāḥ smṛtāḥ /	tamaH bahutvAt te sarve hi ajQAna bahulAH smRtAH /
   utpādyagrāhimaścaiva te 'jñāne jñānamāninaḥ // BndP_1,5.37 //	utpAdya grAhimaH ca eva te ajQAne jQAna mAninaH // Bndu _1,5.37 //
   ahaṅkṛtā ahaṃmānā aṣṭāviṃśaddvidhātmikāḥ /	ahaFkRtAH ahaMmAnAH azwAviMSat dviDA AtmikAH /
   ekādaśandriyavidhā navadhātmādayastathā // BndP_1,5.38 //	ekAdaSandriyaviDAH navaDA Atma AdayaH taTA // Bndu _1,5.38 //
   aṣṭau tu tārakādyāśca teṣāṃ śaktivadhāḥ smṛtāḥ /	azwO tu tAraka AdyAH ca tezAm Sakti vaDAH smRtAH /
   antaḥ prakāśāste sarve āvṛtāśca bahiḥ punaḥ // BndP_1,5.39 //	antar prakASAH te sarve AvRtAH ca bahis punar // Bndu _1,5.39 //
   tiryak srotasa ucyante vaśyātmānastrisaṃjñakāḥ // BndP_1,5.40 //	tiryak srotasaH ucyante vaSya AtmAnaH tri saMjQakAH // Bndu _1,5.40 //
   tiryak srotastu sṛṣṭvā vai dvitīyaṃ viśvamīśvaraḥ /	tiryak srotaH tu sRzwvA vE dvitIyam viSvam ISvaraH /
   abhiprāyamathodbhūtaṃ dṛṣṭvā sargaṃ tathāvidham // BndP_1,5.41 //	aBiprAyam aTa udBUtam dRzwvA sargam taTAviDam // Bndu _1,5.41 //
   tasyābhidhyāyato yontyaḥ sāttvikaḥ samajāyata /	tasya aBiDyAyataH yontyaH sAttvikaH samajAyata /
   ūrddhasrotastṛtīyastu tadvai corddhaṃ vyavasthitam // BndP_1,5.42 //	UrdDasrotaH tRtIyaH tu tat vE ca UrdDam vyavasTitam // Bndu _1,5.42 //
   yasmādūrddhaṃ nyavartanta tadūrddhasrotasaṃjñakam /	yasmAt UrdDam nyavartanta tad UrdDa srota saMjQakam /
   tāḥ sukhaṃ prītibahulā bahirantaśca vāvṛtāḥ // BndP_1,5.43 //	tAH suKam prIti bahulAH bahis antar ca vA AvRtAH // Bndu _1,5.43 //
   prakāśā bahirantaśca ūrddhasrotaḥprajāḥ smṛtāḥ /	prakASAH bahis antar ca UrdDa srotaH prajAH smRtAH /
   navadhātādayaste vai tuṣṭātmāno budhāḥ smṛtāḥ // BndP_1,5.44 //	navaDAta AdayaH te vE tuzwa AtmAnaH buDAH smRtAH // Bndu _1,5.44 //
   ūrddhasrota stutīyo yaḥ smṛtaḥ sarvaḥ sadaivikaḥ /	UrdDasra uta stutIyaH yaH smRtaH sarvaH sa dA evikaH /
   ūrddhasrotaḥsu sṛṣṭeṣu deveṣu sa tadā prabhuḥ // BndP_1,5.45 //	UrdDa srotaHsu sRzwezu devezu sa tadA praBuH // Bndu _1,5.45 //
   prītimānabhavadbrahmā tato 'nyaṃ nābhimanyata /	prItimAn aBavat brahmA tatas anyam na aBimanyata /
   sargamanyaṃ simṛkṣustaṃ sādhakaṃ punarīśvaraḥ // BndP_1,5.46 //	sargam anyam simRkzuH tam sADakam punar ISvaraH // Bndu _1,5.46 //
   tasyābhidhyāyataḥ sargaṃ satyābhidhyāyinastadā /	tasya aBiDyAyataH sargam satya aBiDyAyinaH tadA /
   prādurbabhau bhautasargaḥ sorvāk srotastu sādhakaḥ // BndP_1,5.47 //	prAdurbaBO BOta sargaH sa urvAk srotaH tu sADakaH // Bndu _1,5.47 //
   yasmāttervākpravartante tatorvākūsrotasastu te /	yasmAt teH vAk pravartante tata urvAkU srotasaH tu te /
   te ca prakāśabahulāstamaspṛṣṭarajodhikāḥ // BndP_1,5.48 //	te ca prakASa bahulAH tamaspRzwa rajoDikAH // Bndu _1,5.48 //
   tasmātte duḥkhabahulā bhūyobhūyaśca kārimaḥ /	tasmAt te duHKa bahulA BUyas BUyas ca kArimaH /
   prakāśā bahirantaśca manuṣyāḥ sādhakāśca te // BndP_1,5.49 //	prakASAH bahis antar ca manuzyAH sADakAH ca te // Bndu _1,5.49 //
   lakṣaṇairnārakādyaistairaṣṭadhā ca vyavasthitāḥ /	lakzaNEH nAraka AdyEH tEH azwaDA ca vyavasTitAH /
   siddhātmāno manuṣyāste gandharvaiḥ saha dharmiṇaḥ // BndP_1,5.50 //	sidDa AtmAnaH manuzyAH te ganDarvEH saha DarmiNaH // Bndu _1,5.50 //
   pañcamo 'nugrahaḥ sargaścaturddhā sa vyavasthitaḥ /	paQcamaH anugrahaH sargaH caturdDA sa vyavasTitaH /
   viparyayeṇa śaktyā ca siddha mukhyāstathaiva ca // BndP_1,5.51 //	viparyayeNa SaktyA ca sidDa muKyAH taTA eva ca // Bndu _1,5.51 //
   nivṛttā vartamānāśca prajāyante punaḥpunaḥ /	nivRttAH vartamAnAH ca prajAyante punar punar /
   bhūtādikānāṃ sattvānāṃ ṣaṣṭhaḥ sargaḥ sa ucyate // BndP_1,5.52 //	BUta AdikAnAm sattvAnAm zazWaH sargaH saH ucyate // Bndu _1,5.52 //
   svādanāścāpyaśīlāśca jñeyā bhūtādikāśca te /	svAdanAH ca api aSIlAH ca jQeyAH BUta AdikAH ca te /
   prathamo mahataḥ sargo vijñeyo brahmaṇastu saḥ // BndP_1,5.53 //	praTamaH mahataH sargaH vijQeyaH brahmaNaH tu saH // Bndu _1,5.53 //
   tanmātrāṇāṃ dvitīyastu bhūta sargaḥ sa ucyate /	tanmAtrANAm dvitIyaH tu BUta sargaH saH ucyate /
   vaikārikastṛtīyastu caidriyaḥ sarga ucyate // BndP_1,5.54 //	vEkArikaH tRtIyaH tu cEdriyaH sargaH ucyate // Bndu _1,5.54 //
   ityeta prākṛtāḥ sargā utpannā buddhipūrvakāḥ /	iti eta prAkRtAH sargAH utpannAH budDi pUrvakAH /
   mukhyasargaśca turthastu mukhyā vai sthāvarāḥ smṛtāḥ // BndP_1,5.55 //	muKya sargaH ca turTaH tu muKyAH vE sTAvarAH smRtAH // Bndu _1,5.55 //
   tiryaksrotaḥsasargastu tairyagyonyastu pañcamaḥ /	tiryak srotaH sa sargaH tu tEryagyonyaH tu paQcamaH /
   tathorddhasrotasāṃ sargaḥ ṣaṣṭho devata ucyate // BndP_1,5.56 //	taTA UrdDa srotasAm sargaH zazWaH devataH ucyate // Bndu _1,5.56 //
   tatrorddhasrotasāṃ sargaḥ saptamaḥ sa tu mānuṣaḥ /	tatra UrdDa srotasAm sargaH saptamaH sa tu mAnuzaH /
   aṣṭamonugrahaḥ sargaḥ sāttvikastāmasaśca saḥ // BndP_1,5.57 //	azwa monugrahaH sargaH sAttvikaH tAmasaH ca saH // Bndu _1,5.57 //
   pañcaite vaikṛtāḥ sargāḥ prākṛtādyāstrayaḥ smṛtāḥ /	paQca ete vEkRtAH sargAH prAkRta AdyAH trayaH smRtAH /
   prākṛto vaikṛtaścaiva kaumāro navamaḥ smṛtaḥ // BndP_1,5.58 //	prAkRtaH vEkRtaH ca eva kOmAraH navamaH smRtaH // Bndu _1,5.58 //
   prakṛtā buddhipūrvāstu trayaḥ sargāstu vaikṛtāḥ /	prakRtAH budDi pUrvAH tu trayaH sargAH tu vEkRtAH /
   duddhiburvāḥ pravarteyustadvargā brāhmaṇāstu vai // BndP_1,5.59 //	dudDi burvAH pravarteyuH tad vargAH brAhmaNAH tu vE // Bndu _1,5.59 //
   vistarācca yathā sarve kīrtyamānaṃ nibodhata /	vistarAt ca yaTA sarve kIrtyamAnam niboData /
   caturddhā ca sthitasso 'pi sarvabhūteṣu kṛtsnaśaḥ // BndP_1,5.60 //	caturdDA ca sTitassaH api sarva BUtezu kRtsnaSas // Bndu _1,5.60 //
   viparyayoṇa śattyā ca buddhyā siddhyā tathaiva ca /	viparyayoNa SattyA ca budDyA sidDyA taTA eva ca /
   sthāvareṣu viparyāsastiryagyoniṣu śaktitaḥ // BndP_1,5.61 //	sTAvarezu viparyAsaH tiryagyonizu Saktitas // Bndu _1,5.61 //
   siddhātmāno manuṣyāstu puṣṭirdeveṣu kṛtsnaśaḥ /	sidDa AtmAnaH manuzyAH tu puzwiH devezu kRtsnaSas /
   atho sasarja vai brahmā mānasānātmanaḥ samān // BndP_1,5.62 //	aTo sasarja vE brahmA mAnasAn AtmanaH samAn // Bndu _1,5.62 //
   vaivartyena tu jñānena nivṛttāste mahau jasaḥ /	vEvartyena tu jQAnena nivRttAH te mahO jasaH /
   saṃbuddhya caiva nāmātho apavṛttāstrayastu te // BndP_1,5.63 //	saMbudDya ca eva nAma aTo apavRttAH trayaH tu te // Bndu _1,5.63 //
   asṛṣṭvaiva prajāsargaṃpratisargaṃ tatastataḥ /	asRzwvA eva prajA sargaMpratisargam tatas tatas /
   brahmā teṣu vyarakteṣu tato 'nyānsā dhakānsṛjan // BndP_1,5.64 //	brahmA tezu vyaraktezu tatas anyAn sA DakAn sRjan // Bndu _1,5.64 //
   sthānābhimānino devāḥ punarbrahmānuśāsanam /	sTAna aBimAninaH devAH punar brahma anuSAsanam /
   abhūtasṛṣṭyavasthā ce sthāninastānnibodha me // BndP_1,5.65 //	aBUta sRzwi avasTA ce sTAninaH tAn niboDa me // Bndu _1,5.65 //
   āpo 'gniḥ pṛthivī vāyurantarikṣo divaṃ tathā /	ApaH agniH pRTivI vAyuH antarikzaH divam taTA /
   svargo diśaḥ samudrāśca nadyaścaiva vanaspatīn // BndP_1,5.66 //	svargaH diSaH samudrAH ca nadyaH ca eva vanaspatIn // Bndu _1,5.66 //
   auṣadhīnāṃ tathātmāno hyātmano vṛkṣavīrudhām /	OzaDInAm taTA AtmAnaH hi AtmanaH vRkza vIruDAm /
   latāḥ kāṣṭhāḥ kalāścaiva muhūrtāḥ saṃdhirātryahāḥ // BndP_1,5.67 //	latAH kAzWAH kalAH ca eva muhUrtAH saMDi rAtrI ahAH // Bndu _1,5.67 //
   arddhamāsāśca māsāśca ayanābdayugāni ca /	ardDa mAsAH ca mAsAH ca ayana abda yugAni ca /
   sthāne srotaḥsvabhīmānāḥ sthānākhyāścaiva te smṛtāḥ // BndP_1,5.68 //	sTAne srotaH su aBImAnAH sTAna AKyAH ca eva te smRtAH // Bndu _1,5.68 //
   sthānātmanaḥ sa sṛṣṭvā tu tato 'nyānsa tadāsṛjat /	sTAna AtmanaH sa sRzwvA tu tatas anyAn sa tadA sRjat /
   devāṃścaiva pitṝṃścaiva yaurimā varddhitāḥ prajāḥ // BndP_1,5.69 //	devAn= ca eva pitLn= ca eva yOH imAH vardDitAH prajAH // Bndu _1,5.69 //
   bhṛgvaṅgirā marīciśca pulastyaḥ pulahaḥ kratuḥ /	BRgu aFgirAH marIciH ca pulastyaH pulahaH kratuH /
   dakṣo 'triśca vasiṣṭhaśca sāsṛjannava mānasān // BndP_1,5.70 //	dakzaH atriH ca vasizWaH ca sAsRjat nava mAnasAn // Bndu _1,5.70 //
   nava brahmāṇa ityete purāṇe niścayaṃ gatāḥ /	nava brahmANaH iti ete purANe niScayam gatAH /
   brahmā yathātmakānāṃ tu sarveṣāṃ brahmayoginām // BndP_1,5.71 //	brahmA yaTA AtmakAnAm tu sarvezAm brahma yoginAm // Bndu _1,5.71 //
   tato 'sṛjatpunarbrahmā rudraṃ roṣatmasaṃbhavam /	tatas asRjat punar brahmA rudram rozatma saMBavam /
   saṃkalpaṃ caiva dharma ca sarveṣāmeva parvatau // BndP_1,5.72 //	saMkalpam ca eva Darma ca sarvezAm eva parvatO // Bndu _1,5.72 //
   so 'sṛjadvyavasāyaṃ tu brahmā bhūtaṃ sukhātmakam /	saH asRjat vyavasAyam tu brahmA BUtam suKa Atmakam /
   saṃkalpāccaiva saṃkalpo jajñe so 'vyaktayoninaḥ // BndP_1,5.73 //	saMkalpAt ca eva saMkalpaH jajQe saH avyakta yoninaH // Bndu _1,5.73 //
   prāṇāddakṣo 'sṛjadvācaṃ cakṣurbhyāṃ ca marīcinam /	prANAt dakzaH asRjat vAcam cakzurByAm ca marIcinam /
   bhṛguśca hṛdayājjajñe ṛṣiḥ salilayoninaḥ // BndP_1,5.74 //	BRguH ca hRdayAt jajQe RziH salila yoninaH // Bndu _1,5.74 //
   śirasaścāṅgirāścaiva śrotrādatristathaiva ca /	SirasaH ca aFgirAH ca eva SrotrAt atriH taTA eva ca /
   pulastyaśca tathodānādvyānāttu pulahastathā // BndP_1,5.75 //	pulastyaH ca taTA udAnAt vyAnAt tu pulahaH taTA // Bndu _1,5.75 //
   samānato vasiṣṭhaśca hyapānānnirmame kratum /	samAnatas vasizWaH ca hi apAnAt nirmame kratum /
   ityete brahmaṇaḥ śreṣṭhāḥ putrā vai dvādaśa smṛtāḥ // BndP_1,5.76 //	iti ete brahmaNaH SrezWAH putrAH vE dvAdaSa smRtAH // Bndu _1,5.76 //
   dharmādayaḥ prathamajā vijñeyā brahmamaḥ smṛtāḥ /	Darma AdayaH praTama jAH vijQeyAH brahmamaH smRtAH /
   bhṛgvādayastu ye sṛṣṭā na ca te brahmavādinaḥ // BndP_1,5.77 //	BRgu AdayaH tu ye sRzwAH na ca te brahma vAdinaH // Bndu _1,5.77 //
   gṛhamedhipurāṇāste vijñeyā brahmaṇaḥ sutāḥ /	gRhameDi purANAH te vijQeyAH brahmaNaH sutAH /
   dvādaśaite prasūyante saha rūdreṇa ca dvijāḥ // BndP_1,5.78 //	dvAdaSA ete prasUyante saha rUdreNa ca dvijAH // Bndu _1,5.78 //
   kratuḥ sanatkumāraśca dvāvetāvūrddharetasau /	kratuH sanatkumAraH ca dvO= etO= UrdDaretasO /
   pūrvotpattau purā hyetau sarveṣāmapi pūrvajau // BndP_1,5.79 //	pUrva utpattO purA hi etO sarvezAm api pUrva jO // Bndu _1,5.79 //
   vyatītau saptame kalpe purāṇau lokasādhakau /	vyatItO saptame kalpe purANO loka sADakO /
   virajete 'tra vai loke tejasākṣipya cātmanaḥ // BndP_1,5.80 //	virajete atra vE loke tejasA Akzipya ca AtmanaH // Bndu _1,5.80 //
   tāpubhau yogadharmāṇāvāropyātmānamātmanā /	tApuBO yoga DarmANO= Aropya AtmAnam AtmanA /
   prajādharmaṃ ca kāmaṃ ca vartayete mahaujasau // BndP_1,5.81 //	prajA Darmam ca kAmam ca vartayete mahA ojasO // Bndu _1,5.81 //
   yathotpannastathaiveha kumāra iti cocyate /	yaTA utpannaH taTA eva iha kumAraH iti ca ucyate /
   tataḥ sanatkumāreti nāma tasya pratiṣṭhitam // BndP_1,5.82 //	tatas sanatkumArA iti nAma tasya pratizWitam // Bndu _1,5.82 //
   teṣāṃ dvādaśa te vaṃśā divyā devagāṇānvitāḥ /	tezAm dvAdaSa te vaMSAH divyAH deva gANa anvitAH /
   kriyāvantaḥ prajāvanto maharṣibhiralaṅkṛtāḥ // BndP_1,5.83 //	kriyAvantaH prajAvantaH mahA RziBiH alaFkRtAH // Bndu _1,5.83 //
   prāṇajāṃstu sa dṛṣṭvā vai brahmā dvādaśa sāttvikān /	prANa jAn= tu sa dRzwvA vE brahmA dvAdaSa sAttvikAn /
   tato 'surānpitṝndevānmanuṣyāṃścāsṛjatprabhuḥ // BndP_1,5.84 //	tatas asurAn pitLn devAn manuzyAn= ca asRjat praBuH // Bndu _1,5.84 //
   mukhāddevānajanayat pitṝṃścaivātha vakṣasaḥ /	muKAt devAn ajanayat pitLn= ca eva aTa vakzasaH /
   prajananānmanuṣyānvai jaghanānnirmame 'surān // BndP_1,5.85 //	prajananAt manuzyAn vE jaGanAt nirmame asurAn // Bndu _1,5.85 //
   naktaṃ sṛjanpunarbrahmā jyotsnāyā mānuṣātmanaḥ /	naktam sRjan punar brahmA jyotsnAyAH mAnuza AtmanaH /
   sudhāyāśca pitṝṃścaiva devadevaḥ sasarjaha // BndP_1,5.86 //	suDAyAH ca pitLn= ca eva devadevaH sasarjaha // Bndu _1,5.86 //
   mukhyāmukhyān mṛjandevānasurāṃśca tataḥ punaḥ /	muKyA muKyAn mRjan devAn asurAn= ca tatas punar /
   sanasaśca manuṣyāṃśca pitṛvanmahataḥ pitṝn // BndP_1,5.87 //	sanasaH ca manuzyAn= ca pitR vat mahataH pitLn // Bndu _1,5.87 //
   vidyuto 'śanimeghāṃśca lohitendradhanūṃṣi ca /	vidyutaH aSani meGAn= ca lohita indraDanUMzi ca /
   ṛco yajūṃṣi sāmāni nirmame yajñasiddhaye // BndP_1,5.88 //	RcaH yajUMzi sAmAni nirmame yajQa sidDaye // Bndu _1,5.88 //
   uccāvacāni bhūtāni mahasastasya jajñire /	uccAvacAni BUtAni mahasaH tasya jajQire /
   brahmaṇastu prajāsargaṃ devārṣipitṛmānavam // BndP_1,5.89 //	brahmaNaH tu prajA sargam deva Arzi pitR mAnavam // Bndu _1,5.89 //
   punaḥ sṛjati bhūtāni carāṇi sthāvarāṇi ca /	punar sRjati BUtAni carANi sTAvarANi ca /
   yakṣānpiśācān gandharvānsarvaśo 'psarasastathā // BndP_1,5.90 //	yakzAn piSAcAn ganDarvAn sarvaSas apsarasaH taTA // Bndu _1,5.90 //
   narakinnararakṣāṃsi vayaḥ paśumṛgoragān /	nara kinnara rakzAMsi vayaH paSu mRga uragAn /
   avyayaṃ vā vyayañcaiva dvayaṃ sthāvarajaṅgamam // BndP_1,5.91 //	avyayam vA vyayaQca eva dvayam sTAvara jaFgamam // Bndu _1,5.91 //
   teṣāṃ te yānti karmāṇi prāk sṛṣṭāni svayaṃbhuvā /	tezAm te yAnti karmANi prAk sRzwAni svayaMBuvA /
   tānyeva pratipadyante sṛjyamānāḥ punaḥ punaḥ // BndP_1,5.92 //	tAni eva pratipadyante sRjyamAnAH punar punar // Bndu _1,5.92 //
   hiṃsrāhiṃsre mṛdukrūre dharmādharmauṃ kṛtākṛte /	hiMsra ahiMsre mRdu krUre Darma aDarmOm kRta akRte /
   teṣāmeva pṛthak sūtamavibhaktaṃ trayaṃ viduḥ // BndP_1,5.93 //	tezAm eva pRTak sUtam aviBaktam trayam viduH // Bndu _1,5.93 //
   etadevaṃ ca naivaṃ ca na cobhe nānubhe tathā /	etat evam ca na evam ca na ca uBe na anuBe taTA /
   karma svaviṣayaṃ prāhuḥ sattvasthāḥ samadarśinaḥ // BndP_1,5.94 //	karma sva vizayam prAhuH sattva sTAH sama darSinaH // Bndu _1,5.94 //
   nāmātmapañcabhūtānāṃ kṛtānāṃ ca prapañcatām /	nAma Atma paQcaBUtAnAm kRtAnAm ca prapaQcatAm /
   divaśabdena pañcaite nirmame samaheśvaraḥ // BndP_1,5.95 //	diva Sabdena paQca ete nirmame sa maheSvaraH // Bndu _1,5.95 //
   ārṣāṇi caiva nāmāni yāśca deveṣu sṛṣṭayaḥ /	ArzANi ca eva nAmAni yAH ca devezu sRzwayaH /
   śarvaryāṃ na prasūyante punastebhyodadhatprabhuḥ // BndP_1,5.96 //	SarvaryAm na prasUyante punar teBya udaDat praBuH // Bndu _1,5.96 //
   ityevaṃ kāraṇādbhūto lokasargaḥ svayaṃbhuvaḥ /	iti evam kAraNAt BUtaH loka sargaH svayaMBuvaH /
   mahadādyā viśeṣāntā vikārāḥ prākṛtāḥ svayam // BndP_1,5.97 //	mahat AdyAH viSeza antAH vikArAH prAkRtAH svayam // Bndu _1,5.97 //
   candrasūryaprabho loko grahanakṣatramaṇḍitaḥ /	candra sUrya praBaH lokaH graha nakzatra maNxitaH /
   nadībhiśca samudraiśca parvataiśca sahasraśaḥ // BndP_1,5.98 //	nadIBiH ca samudrEH ca parvatEH ca sahasraSas // Bndu _1,5.98 //
   puraiśca vividhai ramyaiḥ sphītairjanapadaistathā /	purEH ca viviDEH ramyEH sPItEH janapadEH taTA /
   asmin brahmavane 'vyakto brahmā carati sarvavit // BndP_1,5.99 //	asmin brahma vane avyaktaH brahmA carati sarva vid // Bndu _1,5.99 //
   avyaktabījaprabhavastasyaivānugrahe sthitaḥ /	avyakta bIja praBavaH tasya eva anugrahe sTitaH /
   buddhiskandhamayaścaiva indriyāntarakoṭaraḥ // BndP_1,5.100 //	budDi skanDa mayaH ca eva indriya antara kowaraH // Bndu _1,5.100 //
   mahābhūtaprakāśaśca viśeṣaiḥ patravāṃstu saḥ /	mahABUta prakASaH ca viSezEH patravAn= tu saH /
   dharmādharmasupuṣpastu sukhaduḥkhaphalodayaḥ // BndP_1,5.101 //	Darma aDarma supuzpaH tu suKa duHKa Pala udayaH // Bndu _1,5.101 //
   ājīvaḥ sarvabhūtānāṃ brahmavṛkṣaḥ sanātanaḥ /	AjIvaH sarva BUtAnAm brahmavRkzaH sanAtanaH /
   etadbrahmavanaṃ caiva brahmavṛkṣasya tasya tat // BndP_1,5.102 //	etat brahma vanam ca eva brahmavRkzasya tasya tat // Bndu _1,5.102 //
   avyaktaṃ kāraṇaṃ yatra nityaṃ sadasadātmakam /	avyaktam kAraNam yatra nityam sat asat Atmakam /
   pradhānaṃ prakṛtiṃmāyāṃ caivāhustattvacintakāḥ // BndP_1,5.103 //	praDAnam prakRtiMmAyAm ca eva AhuH tattva cintakAH // Bndu _1,5.103 //
   ityeṣo 'nugrahaḥmargo brahmanaimittikaḥ smṛtaḥ /	iti ezaH anugrahaH margaH brahma nEmittikaH smRtaH /
   abuddhipūrvakāḥ sargā brahmaṇaḥ prākṛtāstrayaḥ // BndP_1,5.104 //	abudDi pUrvakAH sargAH brahmaNaH prAkRtAH trayaH // Bndu _1,5.104 //
   sukhyādayastu ṣaṭ sargā vaikṛtā buddhipūrvakāḥ /	suKya AdayaH tu zaw sargAH vEkRtAH budDi pUrvakAH /
   vaikalpātsaṃpravartante brahmaṇastebhimanyavaḥ // BndP_1,5.105 //	vEkalpAt saMpravartante brahmaNaH teBi manyavaH // Bndu _1,5.105 //
   ityete prākṛtāścaiva vaikṛtāśca nava smṛtāḥ /	iti ete prAkRtAH ca eva vEkRtAH ca nava smRtAH /
   sargāḥ parasparotpannāḥ kāraṇaṃ tu budhaiḥ smṛtam // BndP_1,5.106 //	sargAH paraspara utpannAH kAraNam tu buDEH smRtam // Bndu _1,5.106 //
   mūrddhānaṃ vai yasya vedā vadanti viyannābhiścandrasūryauṃ ca netre /	mUrdDAnam vE yasya vedAH vadanti viyat nABiH candra sUrya om ca netre /
   diśaḥ śrotre viddhi pādau kṣitiṃ ca so 'cintyātmā sarvabhūtapraṇetā //	diSaH Srotre vidDi pAdO kzitim ca saH acintya AtmA sarva BUta praNetA //
   BndP_1,5.107 //	Bndu _1,5.107 //
   vaktrādyasya brāhmaṇāḥ saṃprasūtā vakṣasaścaiva kṣatriyāḥ pūrvabhāge /	vaktra Adyasya brAhmaNAH saMprasUtAH vakzasaH ca eva kzatriyAH pUrva BAge /
   vaiśyā ūrubhyāṃ yasya padbhyāṃ ca śūdrāḥsarvevarṇā gātrataḥ saṃprasūtāḥ //	vESyAH UruByAm yasya padByAm ca SUdrAH sarvevarNAH gAtrataH saMprasUtAH //
   BndP_1,5.108 //	Bndu _1,5.108 //
   nārāyaṇātparovyaktādaṇḍamavyaktasaṃjñitam /	nArAyaNAt parovyaktAt aNxam avyakta saMjQitam /
   aṇḍajastu svayaṃ brahmā lokāstena kṛtāḥ svayam // BndP_1,5.109 //	aNxajaH tu svayam brahmA lokAH tena kRtAH svayam // Bndu _1,5.109 //
   tatra kalpān daśasthitvā satyaṃ gacchanti te punaḥ /	tatra kalpAn daSa sTitvA satyam gacCanti te punar /
   te lokā brahmalokaṃ vai aparāvartinīṃ gatim // BndP_1,5.110 //	te lokAH brahma lokam vE aparAvartinIm gatim // Bndu _1,5.110 //
   ādhipatyaṃ vinā te vai aiśvaryeṇa tu tatsamāḥ /	ADipatyam vinA te vE ESvaryeNa tu tad samAH /
   bhavanti brahmaṇā tulyā rūpeṇa viṣayeṇa ca // BndP_1,5.111 //	Bavanti brahmaNA tulyAH rUpeNa vizayeNa ca // Bndu _1,5.111 //
   tatra te hyavatiṣṭhante prītiyuktāḥ svasaṃyutāḥ /	tatra te hi avatizWante prIti yuktAH sva saMyutAH /
