   1. jñānādhikāraḥ //	1. jQAna-aDikAraH //
   sarvendriyaśaktisādhāraṇajīvanākhyaprāṇādipreraṇāntarvṛttir jīvākhyas,	sarva-indriya-Sakti-sADAraNa-jIvana-AKya-prANa-Adi-preraNa-antar-vRttiH jIva-AKyas,
   tāsām indriyaśaktīnām ahaṃtayā saha puryaṣṭakatvam athavā prāṇāhaṃtayā	tAsAm indriya-SaktInAm ahaMtayA saha puryazwaka-tvam aTavA prANa-ahaMtayA
   pramātṛtvena puryaṣṭakatā //	pramAtR-tvena puryazwaka-tA //
   tāvan mātrasthitau proktaṃ sauṣupta[ṃ] pralayopamam /	tAvat mAtra-sTitO proktam sOzupta[M] pralaya-upamam /
   savedyam apavedyaṃ ca māyāmalayutāyutam // Ipk_3,2.15 //	sa-vedyam apavedyam ca mAyA-mala-yuta-ayutam // IpS-_3,2.15 //
   Ipv: śūnyatāyāṃ sthitau vedyābhāvān māyāmalābhāvaḥ, prāṇādau	Ipv: SUnyatAyAm sTitO vedya-aBAvAt mAyA-mala-aBAvaH, prANa-AdO
   sukhasparśādivedyayogān māyāmalavat pralaya iva sauṣuptaṃ padam //	suKa-sparSa-Adi-vedya-yogAt mAyA-mala-vat pralayaH iva sOzuptam padam //
   manomātrapathe 'py akṣa- viṣayatvena vibhramāt /	manaH-mAtra-paTe api akza vizaya-tvena viBramAt /
   spaṣṭāvabhāsā bhāvānāṃ sṛṣṭiḥ svapnapadaṃ matam // Ipk_3,2.16 //	spazwa-avaBAsAH BAvAnAm sRzwiH svapna-padam matam // Ipk-_3,2.16 //
   Ipv: cakṣurādīndriyaśaktyapravṛttav api manaḥśaktyaiva	Ipv: cakzuH-Adi-indriya-Sakti-apravRttav api manaH-SaktyA-eva
   dṛṣṭarūpādyābhāseśvarasṛṣṭir aṇoḥ svapnapadam /	dRzwa-rUpa-Adi-ABAsa-ISvara-sRzwiH aNoH svapna-padam /
   anyapramātṛsādhāraṇarūpādyābhāsānuvṛttitaḥ kālāntarānanuvṛtter bhrāntir	anya-pramAtR-sADAraNa-rUpa-Adi-ABAsa-anuvRttitaH kAla-antarAn-anuvRtteH BrAntiH-
   eṣā //	ezA //
   sarvākṣagocaratvena yā tu bāhyatayā sthirā /	sarvAkza-gocara-tvena yA tu bAhya-tayA sTirA /
   sṛṣṭiḥ sādhāraṇī sarva- pramātṝṇāṃ sa jāgaraḥ // Ipk_3,2.17 //	sRzwiH sADAraNI sarva pramAtLNAm sa jAgaraH // Ipk-_3,2.17 //
   Ipv: sarvāntarbahiḥkaraṇaśaktyā sṛṣṭir jāgarā, tatrāpi pūrvavad	Ipv: sarva-antar-bahis-karaNa-SaktyA sRzwiH jAgarA, tatra-api pUrvavat-
   dvicandrādibhrāntiḥ //	dvi-candra-Adi-BrAntiH //
   heyā trayīyaṃ prāṇādeḥ prādhānyāt kartṛtāguṇe /	heyA trayIyam prANa-AdeH prADAnyAt kartR-tA-guNe /
   taddhānopacayaprāya- sukhaduḥkhādiyogataḥ // Ipk_3,2.18 //	tad-hAna-upacaya-prAya suKa-duHKa-Adi-yogataH // IpS-_3,2.18 //
   Ipv: etāni jāgarasvapnasuṣuptāni prāṇāder ātmatvenābhimanyamānasyodrekāt	Ipv: etAni jAgara-svapna-suzuptAni prANa-AdeH Atma-tvena-aBimanyamAnasya-udrekAt
   svātantryasyāpahrāsād dheyāni, svātantryasya mātrayopacayaḥ	svAtantryasya-apahrAsAt DeyAni, svAtantryasya mAtrayA-upacayaH
   sukhaharṣādayas tathaiva nyūnatā duḥkhadveṣādayaḥ / sarvabhogātmā saṃsāro	suKa-harza-AdayaH taTA-eva nyUna-tA duHKa-dveza-AdayaH / sarva-Boga-AtmA saMsAraH-
   bandhaḥ //	banDaH //
   prāṇāpānamayaḥ prāṇaḥ pratyekaṃ suptajāgratoḥ /	prANa-apAna-mayaH prANaH pratyekam supta-jAgratoH /
   tacchedātmā samānākhyaḥ sauṣupte viṣuvatsv iva // Ipk_3,2.19 //	tad-Ceda-AtmA samAna-AKyaH sOzupte vizuvatsu iva // IpS-_3,2.19 //
   Ipv: sa ca prāṇātmā [svapne] prāṇāpānarūpaśvāsapraśvāsarūpo jāgare 'tha	Ipv: sa ca prANa-AtmA [svapne] prANa-apAna-rUpa-SvAsa-praSvAsa-rUpaH jAgare aTa
   supte [atra] tayor api viṣuvatīva rātridinayoḥ sāmye	supte [atra] tayoH api vizuvati-iva rAtri-dinayoH sAmye
   tannyūnatādhikyarodhāt samānasaṃjñaḥ //	tat-nyUna-tA-ADikya-roDAt samAna-saMjQaH //
   madhyordhvagāmyudānākhyas turyago hutabhuṅmayaḥ /	maDya-UrDva-gAmI-udAna-AKyaH turya-gaH hutaBuj-mayaH /
   vijñānākalamantreśo vyāno viśvātmakaḥ paraḥ // Ipk_3,2.20 //	vijQAnAkala-mantra-ISaH vyAnaH viSva-AtmakaH paraH // IpS-_3,2.20 //
   Ipv: prāṇāpānayoḥ pārśvadvayatiryakpravāhavicchedenaikatām	Ipv: prANa-apAnayoH pArSva-dvaya-tiryak-pravAha-vicCedena-ekatAm
   āpādyordhvarūpamadhyamārgapravāheṇodgamanād udānaḥ / madhyanetram	ApAdya-UrDvarUpa-maDya-mArga-pravAheNa-udgamanAt udAnaH / maDyanetram
   ivordhvabhāktvād agnidharmā turyadaśāyām / turyātīte dikkālānavacchede	iva-UrDva-BAktvAt agni-DarmA turyadaSAyAm / turyAtIte diS-kAlAnavacCede
   pūrṇe pravāhatāṃ hitvātinirbharāvastho vyānasaṃjñaḥ / etac ca daśādvayam	pUrNe pravAhatAm hitvA-ati-nirBara-avasTaH vyAna-saMjQaH / etat ca daSA-dvayam
   upādeyaṃ prāṇaśakteḥ parameśvarakalpatvenāvasthānāt //	upAdeyam prANa-SakteH parameSvara-kalpatvena-avasTAnAt //
   ity āgamādhikāre dvitīyam āhnikam //	iti Agama-aDikAre dvitIyam Ahnikam //
   ity āgamādhikāraḥ //	iti Agama-aDikAraH //
   4. tattvasaṃgrahādhikāraḥ //	4. tattva-saMgraha-aDikAraH //
   svātmaiva sarvajantūnām eka eva maheśvaraḥ /	sva-AtmA-eva sarva-jantUnAm ekaH eva maheSvaraH /
   viśvarūpo 'ham idam ity akhaṇḍāmarśabṛṃhitaḥ // Ipk_4.1 //	viSvarUpaH aham idam iti aKaNxa-AmarSa-bRMhitaH // Ipk-_4.1 //
   Ipv: ekaḥ prathamopādeyaturyadaśāyām	Ipv: ekaH praTama-upAdeya-turya-daSAyAm
   akhaṇḍitagrāhakākhaṇḍitagrāhyatanmelanācamatkāropabṛṃhitaḥ sādhāraṇa eva	aKaNxita-grAhaka-aKaNxita-grAhya-tad-melana-AcamatkAra-upabRMhitaH sADAraNaH eva
   sarvaprāṇinām ātmā viśvarūpo maheśvaraḥ //	sarva-prANinAm AtmA viSvarUpaH maheSvaraH //
   tatra svasṛṣṭedaṃbhāge buddhyādigrāhakātmanā /	tatra sva-sRzwedaMBAge budDi-Adi-grAhaka-AtmanA /
   ahaṃkāraparāmarśa- padam nītam anena tat // Ipk_4.2 //	ahaMkAra-parAmarSa padam nItam anena tat // Ipk-_4.2 //
   Ipv: maheśvarasya jṛmbhāmaye 'smin nirgate tasminn idaṃtāparāmarśe grāhyaṃ	Ipv: maheSvarasya jRmBA-maye asmin nirgate tasmin idaMtA-parAmarSe grAhyam
   yan nirmitaṃ buddhiḥ prāṇo 'tha śūnyaṃ tad vedyaikadeśarūpam	yat nirmitam budDiH prANaH aTa SUnyam tat vedya-eka-deSa-rUpam
   ahaṃkārāvamṛśyatāpādanena paricchinnagrāhakīkṛtam //	ahaMkAra-avamRSyatA-ApAdanena paricCinna-grAhakIkRtam //
   svasvarūpāparijñāna- mayo 'nekaḥ pumān mataḥ /	sva-svarUpa-aparijQAna mayaH anekaH pumAn mataH /
   tatra sṛṣṭau kriyānandau bhogo duḥkhasukhātmakaḥ // Ipk_4.3 //	tatra sRzwO kriyA-AnandO BogaH duHKa-suKa-AtmakaH // IpS-_4.3 //
   Ipv: etad eva viśvātmanaḥ parimitatvakaraṇam apratyabhijñānam ucyate /	Ipv: etat eva viSva-AtmanaH parimita-tva-karaNam apratyaBijQAnam ucyate /
   evaṃ cānekabuddhiprāṇādikhaṇḍagatāparāhaṃkāraparāmarśaḥ	evam ca-aneka-budDi-prANa-Adi-KaNxa-gata-apara-ahaMkAra-parAmarSaH
   parāparijñānasaṃjñaḥ / pratyakātmano bahavas, teṣu pramātṛrūpeṣu	para-aparijQAna-saMjQaH / pratyaka-AtmanaH bahavas, tezu pramAtR-rUpezu
   maheśvareṇa svānandaḥ svakriyaikakartṛtānusāriṇī nirmitā / sa eva bhoga	maheSvareNa sva-AnandaH sva-kriyA-eka-kartR-tA-anusAriNI nirmitA / saH eva Boga
   ānandaleśākhyaḥ sukhasaṃjñitaḥ kriyālavātmā duḥkharūpaḥ kriyā duḥkhaṃ ca	Ananda-leSa-AKyaH suKa-saMjQitaH kriyA-lava-AtmA duHKa-rUpaH kriyA duHKam ca
   vakṣyate //	vakzyate //
   svāṅgarūpeṣu bhāveṣu patyur jñānaṃ kriyā ca yā /	sva-aFga-rUpezu BAvezu patyuH jQAnam kriyA ca yA /
   māyātṛtīye te eva paśoḥ sattvaṃ rajas tamaḥ // Ipk_4.4 //	mAyA-tRtIye te eva paSoH sattvam rajaH tamaH // Ipk-_4.4 //
   Ipv: īśvarasya jñānakriye te māyayā sahite paśoḥ sattvarajastamāṃsi //	Ipv: ISvarasya jQAna-kriye te mAyayA sahite paSoH sattva-rajaH-tamAMsi //
   bhedasthitaḥ śāktimataḥ śaktitvaṃ nāpadiśyate /	Beda-sTitaH SAktimataH Sakti-tvam na-apadiSyate /
   eṣāṃ guṇānāṃ karaṇa- kāryatvapariṇāminām // Ipk_4.5 //	ezAm guNAnAm karaNa kAryatva-pariNAminAm // IpS-_4.5 //
   Ipv: sattvarajastamasāṃ ca bhedenāvabhāsān na śaktivyapadeśaḥ	Ipv: sattva-rajaH-tamasAm ca Bedena-avaBAsAt na Sakti-vyapadeSaH
   śaktiśaktimator abhedāt / vastutaḥ śaktivikāso viśvam //	Sakti-SaktimatoH aBedAt / vastutas Sakti-vikAsaH viSvam //
   sattānandaḥ kriyā patyus tadabhāvo 'pi sā paśoh /	sattA-AnandaH kriyA patyuH tad-aBAvaH api sA paSoh /
   dvayātmā tad rajo duḥkhaṃ śleṣi sattvatamomayam // Ipk_4.6 //	dvaya-AtmA tat rajaH duHKam Slezi sattva-tamaH-mayam // Ipk-_4.6 //
   Ipv: īśvarasyānantakartṛtā camatkārarūpā kriyoktā paramaprakāśānandamayī,	Ipv: ISvarasya-ananta-kartR-tA camatkAra-rUpA kriyA-uktA parama-prakASa-Ananda-mayI,
   pratyagātmanas tu tau prakāśānandau grāhyabhūtau sattvam ucyate /	pratyak-AtmanaH tu tO prakASa-AnandO grAhya-BUtO sattvam ucyate /
   tadabhāvaś ca tamaḥ, sattvatamasī prakāśānandatadabhāvarūpe dve api	tad-aBAvaH ca tamaH, sattva-tamasI prakASa-Ananda-tada-BAva-rUpe dve api
   śleṣātmanī [rajaḥ] / paśoḥ rajaḥsaṃjñayā kriyā ca duḥkhaṃ cocyate //	Sleza-AtmanI [rajaH] / paSoH rajaH-saMjQayA kriyA ca duHKam ca-ucyate //
   ye 'py asāmayikedantāparāmarśabhuvaḥ prabhoḥ /	ye api asAmayikedanta-aparAmarSa-BuvaH praBoH /
   te vimiśrā vibhinnāś ca tathā citrāvabhāsinaḥ // Ipk_4.7 //	te vimiSrAH viBinnAH ca taTA citra-avaBAsinaH // IpS-_4.7 //
   Ipv: ye caite maheśvarasyedaṃśabdasaṃketānusaṃdhānaṃ vināpi prakāśasya	Ipv: ye ca-ete maheSvarasya-idaMSabda-saMketa-anusaMDAnam vinA-api prakASasya
   parāmarśasāratvād bāladaśāyām ivedamarthanirdeśyā bhāvās, te	parAmarSa-sAra-tvAt bAladaSAyAm iva-idam-arTa-nirdeSyAH BAvAs, te
   'nekābhāsasāmānādhikaraṇyena svalakṣaṇātmanaḥ pṛthaksāmānyarūpatayā	aneka-ABAsa-sAmAnA-aDikaraNyena sva-lakzaNa-AtmanaH pRTak-sAmAnya-rUpa-tayA
   nānākārāś ca tathā tannirmāṇāt prathante //	nAnA-AkArAH ca taTA tad-nirmANAt praTante //
   te tu bhinnāvabhāsārthāḥ prakalpyāḥ pratyagātmanaḥ /	te tu Binna-avaBAsa-arTAH prakalpyAH pratyak-AtmanaH /
   tattadvibhinnasaṃjñābhiḥ smṛtyutprekṣādigocare // Ipk_4.8 //	tad-tad-viBinna-saMjQABiH smRti-utprekzA-Adi-gocare // Ipk-_4.8 //
   Ipv: te vibhinnāvabhāsāḥ sāmānyātmano 'rthās tadanubhavasaṃskṛtaiḥ kṛśo	Ipv: te viBinna-avaBAsAH sAmAnya-AtmanaH arTAH tad-anuBava-saMskRtEH kRSaH-
   'haṃ duḥkhī sukhī vāham iti vicitravyapadeśaviṣayīkriyamāṇātmabhiḥ	aham duHKI suKI vA-aham iti vicitra-vyapadeSa-vizayI-kriyamANa-AtmaBiH
   kṣetrajñair vikalpanaśaktyā	kzetrajQEH vikalpana-SaktyA
   tattadghaṭarajataśuklapaṭaśakaṭādināmnāntaspratyavamarśanīyatvena	tad-tad-Gawa-rajata-Sukla-pawa-Sa-kawa-Adi-nAmnA-antaspratyavamarSanIya-tvena
   pradarśyante smṛtau pūrvānubhavāpramoṣe, vicitrotprekṣādiṣu tu	pradarSyante smRtO pUrva-anuBava-apramoze, vicitra-utprekzA-Adizu tu
   svātantryeṇa / ayam eva grāhyagrāhakabhedāvabhāsaḥ śabdamayaḥ paśubhāve	svAtantryeNa / ayam eva grAhya-grAhaka-Beda-avaBAsaH Sabda-mayaH paSu-BAve
   saṃsārabandhaḥ //	saMsAra-banDaH //
   tasyāsādhāraṇī sṛṣṭir īśasṛṣṭyupajīvinī /	tasya-asADAraNI sRzwiH ISa-sRzwi-upajIvinI /
   saiṣāpy ajñatayā satyaiveśaśāktyā tadātmanaḥ // Ipk_4.9 //	sA-ezA-api ajQa-tayA satya-eva-ISa-SAktyA tad-AtmanaH // IpS-_4.9 //
   svaviśrāntyuparodhāyācalayā prāṇarūpayā /	sva-viSrAnti-uparoDAya-acalayA prANa-rUpayA /
   vikalpakriyayā tattad- varṇavaicitryarūpayā // Ipk_4.10 //	vikalpa-kriyayA tat-tad varNa-vEcitrya-rUpayA // Ipk-_4.10 //
   Ipv: kṣetraś ceśvararūpa eva tattatsāmānyarūpānarthān	Ipv: kzetraH ca-ISvara-rUpaH eva tad-tad-sAmAnya-rUpa-an-arTAn
   īśaśaktyaivāparijñātayā sarvasādhāraṇārthadarśanasaṃskṛtānanyavedyān	ISa-SaktyA-eva-aparijQAtayA sarva-sADAraNa-arTa-darSana-saMskRta-ananya-vedyAn
   nirmimīte / sā ceśvaraśāktiḥ svātmamātraviśrāntivirodhāya māyāvyapadeśyā	nirmimIte / sA ca-ISvara-SAktiH sva-Atma-mAtra-viSrAnti-viroDAya mAyA-vyapadeSyA
   tattatkakārādivarṇabhedaśatānantagaṇanā prāṇarūpeṇa cañcalatām āpannā	tad-tad-kakAra-Adi-varNa-Beda-Sata-ananta-gaNanA prANa-rUpeNa caQcala-tAm ApannA
   vikalpākhyavyāpārā tathāntaḥ sṛjaty arthān //	vikalpa-AKya-vyApArA taTA-antar sRjati arTAn //
   sādhāraṇo 'nyathā caiśaḥ sargaḥ spaṣṭāvabhāsanāt /	sADAraNaH anyaTA ca-ESas sargaH spazwa-avaBAsanAt /
   vikalpahānaikāgryāt krameṇeśvaratāpadam // Ipk_4.11 //	vikalpa-hAna-ekAgryAt krameNa-ISvara-tApadam // IpS-_4.11 //
   Ipv: īśvarasya tu sṛṣṭiḥ sarvapramātṝṇāṃ sādhāraṇī teṣāṃ tanmadhya	Ipv: ISvarasya tu sRzwiH sarva-pramAtLNAm sADAraNI tezAm tad-maDya
   evotpādād, ekapramātṛniyatā caikapramātrāveśena svapnabhrāntyādau sṛṣṭiḥ /	eva-utpAdAd, eka-pramAtR-niyatA ca-eka-pramAtR-a-AveSena svapna-BrAnti-AdO sRzwiH /
   sā cāham idam ity etāvat parāmarśamayī bhedānudayād vikalpojjhitā	sA ca-aham idam iti etAvat parAmarSa-mayI BedAn-udayAt vikalpa-ujJitA
   spaṣṭāvabhāsā ca /	spazwa-avaBAsA ca /
   tatrāntarāntarodyatkṣetrajñavyāpāravikalpananirhrāsapariśīlanena	tatra-antara-antara-udyat-kzetrajQa-vyApAra-vikalpana-nirhrAsa-pariSIlanena
   saṃsāriṇāṃ krameṇaikarasaiśvaryodgamāt kṣetrajñatāvimuktiḥ //	saMsAriNAm krameNa-ekarasa-ESvarya-udgamAt kzetrajQa-tA-vimuktiH //
   sarvo mamāyaṃ vibhava ityevaṃ parijānataḥ /	sarvaH mama-ayam viBavaH iti-evam parijAnataH /
   viśvātmano vikalpānāṃ prasare 'pi maheśatā // Ipk_4.12 //	viSva-AtmanaH vikalpAnAm prasare api maheSatA // IpS-_4.12 //
   Ipv: kṣetrajñasyāpīśvaraśāktyaiva vikalpārambha iti taddaśāyām api	Ipv: kzetrajQasya-api-ISvara-SAktyA-eva vikalpa-AramBaH iti tad-daSAyAm api
   parijñāteśvarabhāvasya mamāyaṃ saṃsāramayo vibhava ity abhedena viśvam	parijQAteSvara-BAvasya mama-ayam saMsAra-mayaH viBavaH iti aBedena viSvam
   āviśataḥ parāmarśamātrān aśeṣān vikalpān saṃpādayato maheśvarataiva //	AviSataH parAmarSa-mAtrAn aSezAn vikalpAn saMpAdayataH maheSvara-tA-eva //
   meyaṃ sādhāraṇaṃ muktaḥ svātmābhedena manyate /	meyam sADAraNam muktaH sva-Atma-aBedena manyate /
   maheśvaro yathā baddhaḥ puna atyantabhedavat // Ipk_4.13 //	maheSvaraH yaTA badDaH puna atyanta-Beda-vat // Ipk-_4.13 //
   Ipv: baddhamuktayor vedyam ekaṃ, kiṃ tu baddho 'tyantavibhedena tad vetti	Ipv: badDa-muktayoH vedyam ekaM, kim tu badDaH atyanta-viBedena tat vetti
   vimuktaḥ svātmadehatvena //	vimuktaH sva-Atma-deha-tvena //
   sarvathā tv antarālīnānantatattvaughanirbharaḥ /	sarvaTA tu antarAlIna-ananta-tattva-oGa-nirBaraH /
   śivaḥ cidānandaghanaḥ paramākṣaravigrahaḥ // Ipk_4.14 //	SivaH cit-Ananda-GanaH parama-akzara-vigrahaH // IpS-_4.14 //
   Ipv: sarvathā tv antarlīne prameye 'haṃmatau pūrṇāyāṃ śivataiva //	Ipv: sarvaTA tu antar-lIne prameye ahaMmatO pUrNAyAm Siva-tA-eva //
   evam ātmānam etasya samyagjñānakriye tathā /	evam AtmAnam etasya samyak-jQAna-kriye taTA /
   jānan yathepsitān paśyañ jānāti ca karoti ca // Ipk_4.15 //	jAnan yaTA-IpsitAn paSyan jAnAti ca karoti ca // IpS-_4.15 //
   Ipv: ittham āviṣkṛtaśaktyabhijñānam ātmānam anantajñānakriyāśaktinibhṛtam	Ipv: itTam AvizkRta-Sakti-aBijQAnam AtmAnam ananta-jQAna-kriyA-Sakti-niBRtam
   īśvaraṃ pratyabhijñāya yathecchaṃ sarvaṃ paśyati nirmimīte //	ISvaram pratyaBijQAya yaTecCam sarvam paSyati nirmimIte //
   iti prakaṭito mayā sughaṭa eṣa mārgo navo mahāgurubhir ucyate sma	iti prakawitaH mayA suGawaH eza mArgaH navaH mahA-guruBiH ucyate sma
   śivadṛṣṭiśāstre yathā /	Siva-dRzwi-SAstre yaTA /
   tad atra nidadhat padaṃ bhuvanakartṛtām ātmano vibhāvya śivatāmayīm aniśam	tat atra nidaDat padam Buvana-kartRtAm AtmanaH viBAvya Siva-tA-mayIm aniSam
   āviśan siddhyati // Ipk_4.16 //	AviSan sidDyati // IpS-_4.16 //
   Ipv: yatra yathāvasthita eva vyavahāre pratyabhijñāmātrāc chivatālābhaḥ /	Ipv: yatra yaTA-avasTitaH eva vyavahAre pratyaBijQA-mAtrAt Siva-tAla-ABaH /
   sa ayam avakra evābhinavo mārgaḥ sākṣātkṛtaparameśvarabhaṭṭārakākārair	sa ayam avakraH eva-aBinavaH mArgaH sAkzAtkRta-parameSvara-BawwAraka-AkArEH-
   bhaṭṭaśrīsomānandapādaiḥ śivadṛṣṭināmni prakaraṇe nirdiṣṭo mayā	Bawwa-SrI-soma-Ananda-pAdEH Siva-dRzwi-nAmni prakaraNe nirdizwaH mayA
   yuktinibandhanena hṛdayaṃgamīkṛtaḥ / etat pariśīlanena śivatāveśāj jīvann	yukti-nibanDanena hRdayaMgamIkRtaH / etat pariSIlanena Siva-tA-AveSAt jIvan=-
   eva mukto bhavati //	eva muktaH Bavati //
   tais tair apy upayācitair upanatas tanvyāḥ sthito 'py antike kānto	tEH tEH api upayAcitEH upanataH tanvyAH sTitaH api antike kAntaH-
   lokasamāna evam aparijñāto na rantuṃ yathā /	loka-samAnaH evam aparijQAtaH na rantum yaTA /
   lokasyaiṣa tathānavekṣitaguṇaḥ svātmāpi viśveśvaro naivālaṃ nijavaibhavāya	lokasya-eza taTA-anavekzita-guNaH sva-AtmA-api viSveSvaraH na-eva-alam nija-vEBavAya
   tad iyaṃ tatpratyabhijñoditā // Ipk_4.17 //	tat iyam tad-pratyaBijQA-uditA // Ipk-_4.17 //
   Ipv: kāntadṛṣṭānteneśvarapratyabhijñopapādanīyā cāpūrvaphalā ca //	Ipv: kAnta-dRzwAntena-ISvara-pratyaBijQA-upapAdanIyA ca-apUrva-PalA ca //
   janasyāyatnasiddhyartham udayākarasūnunā /	janasya-ayatna-sidDi-arTam udayAkara-sUnunA /
   īśvarapratyabhijñeyam utpalenopapāditā // Ipk_4.18 //	ISvara-pratyaBijQeyam utpalena-upapAditA // Ipk-_4.18 //
   Ipv: sulabho 'yaṃ siddhimārgaḥ pradarśitaḥ //	Ipv: sulaBaH ayam sidDi-mArgaH pradarSitaH //
   iti tattvasaṃgrahādhikāraḥ //	iti tattva-saMgraha-aDikAraH //
   //samāpteyam īśvarapratyabhijñāvṛttiḥ //	//samAptA-iyam ISvara-pratyaBijQA-vRttiH //
