   prathamaṃ kośasthānam	praTamam koSa sTAnam
   te hyātmanaḥ kṣīṇamāyuḥ paśyanti /	te hi AtmanaH kzINam AyuH paSyanti /
   na ca tatrānyaṃ śaktaṃ paśyanti /	na ca tatra anyam Saktam paSyanti /
   atha kimarthamutsṛjanti /	aTa kim arTam utsRjanti /
   alpaṃ ca parahitaṃ jīvite paśyanti rogābhibhūtaṃ cātmabhāvam /	alpam ca para hitam jIvite paSyanti roga aBiBUtam ca Atma BAvam /
   yathoktaṃ	yaTA uktam
        "sucīrṇe brahmacarye 'smin mārge caiva subhāvite /	"sucIrNe brahmacarye asmin mArge ca eva su BAvite /
        tuṣṭa āyuḥkṣayāt bhavati rogasyāpagame yathā //"	tuzwaH AyuH kzayAt Bavati rogasya apagame yaTA //"
   iti /	iti /
   athaitadāyuḥ saṃskārāṇāṃ sthāpanārthamutsarjanaṃ vā kva kasya vā	aTa etat AyuH saMskArANAm sTApana arTam utsarjanam vA kva kasya vA
   veditavyam /	veditavyam /
   manuṣyeṣvevatriṣu dvīpeṣu strīpuruṣayorasamayavimuktasyārhataḥ	manuzyezu eva trizu dvIpezu strI puruzayoH asamaya vimuktasya arhataH
   prāntakoṭikadhyānalābhinaḥ /	prAnta kowika DyAna lABinaH /
   tasya hi samādhau vaśitvam /	tasya hi samADO vaSitvam /
   kleśaiścānupastabdhā santatiḥ /	kleSEH ca anupastabDA santatiH /
   sūtra uktam "bhagavān jīvitasaṃskārānadhiṣṭhāyāyuḥsaṃskārānustsṛṣṭavān" /	sUtre uktam "BagavAn jIvita saMskArAn aDizWAya AyuH saMskAra anuH tsRzwavAn" /
   teṣāṃ ko viśeṣaḥ /	tezAm kaH viSezaH /
   na kaścidityeke /	na kaScid iti eke /
   tathā hyuktam "jīvitendriyaṃ katamat /	taTA hi uktam "jIvita indriyam katamat /
   traidhātukamāyuri"ti /	trEDAtukam AyuH i"ti /
   pūrvakarmaphalamāyuḥsaṃskārāḥ pratyutpannakarmaphalaṃ jīvitasaṃskārā	pUrva karma Palam AyuH saMskArAH pratyutpanna karma Palam jIvita saMskArA
   ityapare /	iti apare /
   yairvā nikāyasabhāgasthitista āyuḥsaṃskārāḥ /	yEH vA nikAya sa BAga sTitiH te AyuH saMskArAH /
   yaistu kālāntaraṃ jīvati te jīvitasaṃskārā iti /	yEH tu kAla antaram jIvati te jIvita saMskArAH iti /
   bahuvacanaṃ bahūnāmāyurjīvitasaṃskārakṣaṇānāmutsarjanā dhiṣṭhānāt /	bahuvacanam bahUnAm AyuH jIvita saMskAra kzaNAnAm utsarjanA DizWAnAt /
   nahyekasya kṣaṇasyotsarjanamadhiṣṭhanaṃ cāsti /	na hi ekasya kzaNasya utsarjanam aDizWanam ca asti /
   na ca kālāntarasthāvaramekamāyurdravyamiti dyotanārthamityeke /	na ca kAla antara sTAvaram ekam AyuH dravyam iti dyotana arTam iti eke /
   bahuśveva saṃskāreṣvāyurākhyā nāstyekamāyurdravyam /	bahu SvA iva saMskArezu AyuH AKyA na asti ekam AyuH dravyam /
   anyathā naiva saṃskāragrahaṇamakariṣyadityapare /	anyaTA na eva saMskAra grahaNam akarizyat iti apare /
   kimarthaṃ punarbhagavatā āyuhsaṃskārā utsṛṣṭāścādhiṣṭitāśca /	kimarTam punar BagavatA Ayuh saMskArAH utsRzwAH ca aDizwitAH ca /
   maraṇavaśitvajñāpanārthamutsṛṣṭājīvitavaśitvajñāpanārthamadhiṣṭitāḥ /	maraNa vaSi tva jQApana arTam utsRzwA jIvita vaSi tva jQApana arTam aDizwitAH /
   traimāsyameva nodhrvam vineyakāryābhāvāt /	trEmAsyam eva na uDrvam vineya kArya aBAvAt /
   yaccāpi tat pratijñātam "evaṃbhāvitairahaṃ caturbhirṛddhi	yat ca api tat pratijQAtam "evaMBAvitEH aham caturBiH RdDi
   pādairākāṅkṣankalpamapi tiṣṭheyaṃ kalpāvaśeṣamapī"ti /	pAdEH AkAFkzan kalpam api tizWeyam kalpa avaSezam apI"ti /
   tasyāpi saṃpādanārtham /	tasya api saMpAdana arTam /
   skandhamaraṇamārayornirjayārthamiti vaibhaṣikāḥ /	skanDa maraNam ArayoH nirjaya arTam iti vEBazikAH /
   bodhimūle kleśadevaputramārau nirjitāviti /	boDi mUle kleSa deva putra m ArO nirjitO= iti /
   niṣṭhitamānuṣaṅgikam //	nizWita m AnuzaFgikam //
   prakṛtamevārabhyate /	prakRtam eva AraByate /
        dvedhā dvādaśa	dveDA dvAdaSa
   katamāni dvādaśa /	katamAni dvAdaSa /
        antyāṣṭakādṛte /	antya azwakAt Rte /
        daurmanasyācca	dOrmanasyAt ca
   antyamaṣṭakaṃ śraddhādīni daurmanasyaṃ ca varjayitvā /	antyam azwakam SradDA AdIni dOrmanasyam ca varjayitvA /
   jīvitendriyādanyāni dvādaśa dvividhāni vipākaścāvipākaśca /	jIvita indriyAt anyAni dvAdaSa dviviDAni vipAkaH ca avipAkaH ca /
   tatra cakṣurādīni saptaupacayikāni avipākaḥ /	tatra cakzuH AdIni sapta OpacayikAni avipAkaH /
   śeṣāṇi vipākaḥ /	SezANi vipAkaH /
   manoduḥkhasukhasaumanasyopekṣendriyāṇi kuśalakliṣṭānya vipākaḥ /	manaH duHKa suKa sOmanasya upekza indriyANi kuSala klizwAnya vipAkaH /
   airyāpathikaśāilpasthānikanairmāṇikāni ca yathāyogam /	EryApaTika SAilpa sTAnika nErmANikAni ca yaTAyogam /
   śeṣāṇi vipākaḥ /	SezANi vipAkaH /
   jīvitendriyaṃ cakṣurādīni dvādaśa hitvā śeṣāṇyavipāka iti siddham /	jIvita indriyam cakzuH AdIni dvAdaSa hitvA SezANi avipAkaH iti sidDam /
   yadi dauarmanasyendriyaṃ na vipāka iti sūtraṃ kathaṃ nīyate "trīṇi kāryāṇi	yadi dOarmanasya indriyam na vipAkaH iti sUtram kaTam nIyate "trINi kAryANi
   saumanasyavedanīyaṃ karma daurmanasyavedanīyaṃ karma upekṣā vedanīyaṃ	sOmanasya vedanIyam karma dOrmanasya vedanIyam karma upekzA vedanIyam
   karme"ti saṃprayogavedanīyatāmadhikṛtyoktam /	karme"ti saMprayoga vedanIya tAm aDikRtya uktam /
   daurmasyena saṃprayuktaṃ karma daurmanasyavedanīyam /	dOrmasyena saMprayuktam karma dOrmanasya vedanIyam /
   yathā sukhasaṃparayuktaḥ sparśaḥ sukhavedanīyaḥ /	yaTA suKa saMpara yuktaH sparSaH suKa vedanIyaH /
   saumanasyopekṣāvedanīye api tarhi karmaṇī evaṃ bhaviṣyataḥ /	sOmanasya upekzA vedanIye api tarhi karmaNI evam BavizyataH /
   yathecchasi tathā 'stu /	yaTA icCasi taTA astu /
   saṃprayoge 'pi na doṣaḥ vipāke 'pi na doṣaḥ /	saMprayoge api na dozaH vipAke api na dozaH /
   agatyā hyetadevaṃ gamyeta /	agatyAH hi etat evam gamyeta /
   kā punratra yuktirdaurmanasyaṃ na vipāka iti /	kA punratra yuktiH dOrmanasyam na vipAkaH iti /
   daurmanasyaṃ hi parikalpaviśeṣairutpādyate ca vyupaśāmyate ca /	dOrmanasyam hi parikalpa viSezEH utpAdyate ca vyupaSAmyate ca /
   nacaivam vipākaḥ /	naca evam vipAkaH /
   saumanasyamapyevaṃ na syādvipākaḥ /	sOmanasyam api evam na syAt vipAkaH /
   yadi tarhi daumanasyaṃ vipākaḥ syādānantaryakāriṇāṃ tannimittaṃ	yadi tarhi dOmanasyam vipAkaH syAt Anantarya kAriNAm tad nimittam
   daurmanasyotpādāttatkarma vipakvaṃ syāt /	dOrmanasya utpAdAt tat karma vipakvam syAt /
   saumanasyamapyevam /	sOmanasyam api evam /
   yadi saumanasyaṃ vipākaḥ syāt puṇyakāriṇāṃ tannimittaṃ	yadi sOmanasyam vipAkaH syAt puNya kAriNAm tad nimittam
   saumanasyotpādāttatkarma vipakvaṃ syāt /	sOmanasya utpAdAt tat karma vipakvam syAt /
   vītarāgāṇāṃ tarhi daurmanasyāsaṃbhavāt /	vIta rAgANAm tarhi dOrmanasya asaMBavAt /
   na caivaṃ vipākaḥ /	na ca evam vipAkaH /
   saumanasyamapyeṣāmavyākṛtaṃ kodṛśaṃ vipākaḥ syāt /	sOmanasyam api ezAm avyAkRtam kodRSam vipAkaH syAt /
   yādṛśaṃ tādṛśamastu /	yAdRSam tAdRSam astu /
   sati tu saṃbhave saumanasyasyāsti vipākāvakāśī na dauarmanasyasya /	sati tu saMBave sOmanasyasya asti vipAka avakASI na dOarmanasyasya /
   sarvathā 'samudācārāditi nāstyevaṃ daurmanasyaṃ vipāka iti vaibhāṣikāḥ /	sarvaTA asamudAcArAt iti na asti evam dOrmanasyam vipAkaH iti vEBAzikAH /
   tatra jīvitendriyāṣṭamāni sugatau kuśalasya vipāko durgatāvakuśalasya /	tatra jIvita indriya azwamAni sugatO kuSalasya vipAkaH durgatO= akuSalasya /
   manaindriyamubhayorubhayasya /	manEndriyam uBayoH uBayasya /
   sukhasaumanasyopekṣendriyāṇi kuśalasya /	suKa sOmanasya upekza indriyANi kuSalasya /
   duḥkhendriyamakuśalasya /	duHKa indriyam akuSalasya /
   sugatābubhayavyañjanasyākuśalenatatsthānapratilambhaḥ /	sugata abu Baya vyaQjanasya akuSalena tad sTAna pratilamBaH /
   natvindriyasya kuśalākṣepāt /	natu indriyasya kuSala AkzepAt /
   gatametad /	gatam etat /
   idaṃ nu vaktavyam /	idam nu vaktavyam /
   katīndriyāṇi savipākāni katyavipākāni /	kati indriyANi sa vipAkAni kati avipAkAni /
   yadetat daurmanasyamanantaroktaṃ	yat etat dOrmanasyam anantara uktam
        tattvekaṃ savipākaṃ /	tat tu ekam sa vipAkam /
   tadekaṃ savipākameva /	tat ekam sa vipAkam eva /
   tuśabda evakārārtho bhinnakramaśca veditavyaḥ /	tuSabdaH eva kAra arTaH BinnakramaH ca veditavyaH /
   nahi tadavyākṛtamasti nāpyanāsravamasamāhitatvāt /	na hi tat avyAkRtam asti na api anAsravam asamAhita tvAt /
   ato nāstyavipākaṃ daurmanasyam /	atas na asti avipAkam dOrmanasyam /
        daśa dvidhā // VAkK_2.10 //	daSa dviDA // VAkK_2.10 //
   savipākānyavipākāni ca /	sa vipAkAni avipAkAni ca /
   katamāni daśa /	katamAni daSa /
        mano 'nyavittiśraddhādīni	manaH anya vitti SradDA AdIni
   anyavittigrahaṇāt daurmanasyādanyat veditaṃ gṛhyate /	anya vitti grahaNAt dOrmanasyAt anyat veditam gRhyate /
   śraddhādīni śraddhāvīryasmṛtisamāchiprajñāḥ /	SradDA AdIni SradDA vIrya smRti samACi prajQAH /
   tatra manaḥsukhasaumanasyopekṣā akuāśalāḥ kuśalāḥ sāsravāśca savipākāḥ /	tatra manaH suKa sOmanasya upekzAH akuASalAH kuSalAH sa AsravAH ca sa vipAkAH /
   anāsravā avyākṛtāścāvipākāḥ /	anAsravAH avyAkRtAH ca avipAkAH /
   duḥkhendriyaṃ kuśalākuāśalaṃ savipākamavyākṛtamavipākam /	duHKa indriyam kuSala akuASalam sa vipAkam avyAkRtam avipAkam /
   śraddhādīni sasravāṇi savipākānyanāsravāṇyavipākāni /	SradDA AdIni sa sravANi sa vipAkAni anAsravANi avipAkAni /
   anyadavipākamiti siddham /	anyat avipAkam iti sidDam /
   kati kuśalāni katyakuśalāni katyavyākṛtāni /	kati kuSalAni kati akuSalAni kati avyAkRtAni /
   ekāntena tāvat /	ekAntena tAvat /
        aṣṭakaṃ kuśalaṃ	azwakam kuSalam
   pañcaśraddhādīni trīṇi cājñāsyāmīndriyādīni /	paQca SradDA AdIni trINi ca AjQAsyAmi indriya AdIni /
        dvidhā /	dviDA /
        daurmanasyaṃ /	dOrmanasyam /
   kuśalaṃ cākuśalaṃ ca /	kuSalam ca akuSalam ca /
        mano 'nyā ca vittistredhā	manaH anyA ca vittiH treDA
   kuśalākuśalāvyākṛtāni /	kuSala akuSala avyAkRtAni /
        anyadekadhā // VAkK_2.11 //	anyat ekaDA // VAkK_2.11 //
   kiñcidanyat /	kiQcid anyat /
   jīvitāṣṭamaṃ cakṣurādi /	jIvita azwamam cakzuH Adi /
   etadavyākṛtameva //	etat avyAkRtam eva //
   katamadindriyaṃ katamadhātvāptameṣāmindriyāṇām /	katamat indriyam katama DAtu Aptam ezAm indriyANAm /
        kāmāptamamalaṃ hitvā /	kAma Aptam amalam hitvA /
   kāmapratisaṃyuktaṃ tāvadindriyaṃ veditavyam /	kAma pratisaMyuktam tAvat indriyam veditavyam /
   ekāntānāsravamājñāsyāmīndriyāditrayaṃ hitvā /	ekAntAn Asravam AjQAsyAmi indriya Adi trayam hitvA /
   taddhyapratisaṃyuktameva /	tat hi apratisaMyuktam eva /
        rūpāptaṃ strīpumindriye /	rUpAptam strI pum indriye /
        duḥkhe ca hitvā	duHKe ca hitvA
   amalaṃ ceti varttate /	amalam ca iti varttate /
   duḥkhe iti duḥkhadaurmanasye /	duHKe iti duHKa dOrmanasye /
   tatra maithunadharmavairāgyādaśobhākaratvācca rūpadhātau strīpuruṣendriye	tatra mETuna Darma vErAgyAdaSoBAkara tvAt ca rUpa DAtO strI puruza indriye
   na staḥ /	na staH /
   kathamidānīṃ puruṣāsta ucyante /	kaTam idAnIm puruzAH te ucyante /
   kvocyante /	kvocyante /
   sūtre /	sUtre /
   "asthānamanavakāśo yat strī brahmatvaṃ kārayiṣyati /	"a sTAnam anavakASaH yat strI brahma tvam kArayizyati /
   nedaṃ sthānaṃ vidyate /	na idam sTAnam vidyate /
   sthānametat vidyate yat puruṣa" iti /	sTAnam etat vidyate yat puruza" iti /
   anyaḥ puruṣabhāvo yaḥ kāmachātau puruṣāṇāṃ bhavati /	anyaH puruza BAvaH yaH kAma CAtO puruzANAm Bavati /
   duḥkhendriyaṃ nāstyāśrayasyācchatvādakuśalā bhāvāccha /	duHKa indriyam na asti ASrayasya acCa tvAt akuSalAH BAvAcCa /
   daurmanasyendriyaṃ nāsti śamathasnigdhasantānatvādāghātavastvabhāvācca /	dOrmanasya indriyam na asti SamaTa snigDa santAna tvAt AGAta vaH tu aBAvAt ca /
        ārūpyāptaṃ sukhe cāpohya rūpi ca // VAkK_2.12 //	ArUpya Aptam suKe ca apohya rUpi ca // VAkK_2.12 //
   strīpuruṣendriye duḥkhe cāmalaṃ hitveti varttate /	strI puruza indriye duHKe ca amalam hitvA iti varttate /
   kimavaśāiṣyate /	kim avaSAizyate /
   manojīvitopekṣendriyāṇi śraddhādīni ca pañca /	manaH jIvita upekza indriyANi SradDA AdIni ca paQca /
   etānyārūpyapratisaṃyuktāni santi nānyāni /	etAni ArUpya pratisaMyuktAni santi na anyAni /
   katīndriyāṇi darśanaprahātavyāni kati bhāvanāprahātavyāni	kati indriyANi darSana prahAtavyAni kati BAvanA prahAtavyAni
   katyaprahātavyāni /	kati aprahAtavyAni /
        manovittitrayaṃ tredhā	manaH vitti trayam treDA
   katamad vittitrayam /	katamat vitti trayam /
   sukhasaumanasyopekṣāḥ /	suKa sOmanasya upekzAH /
        dviheyā durmanaskatā /	dvi heyAH durmanaska tA /
   dauarmanasyaṃ dvābhyāṃ praheyaṃ darśanabhāvanābhyām /	dOarma nasyam dvAByAm praheyam darSana BAvanAByAm /
        nava bhāvanayā /	nava BAvanayA /
   heyānītyadhikāraḥ /	heyAni iti aDikAraH /
   jīvitāṣṭamāni cakṣurādīni duḥkhendriyaṃ ca bhāvanāheyānyeva /	jIvita azwamAni cakzuH AdIni duHKa indriyam ca BAvanA AheyAni eva /
        pañca tvaheyānyapi	paQca tu aheyAni api
   śraddhādīni pañca bhāvanāheyānyapyaheyānyapi /	SradDA AdIni paQca BAvanA AheyAni api aheyAni api /
   sāsravānāsravatvāt /	sa AsravAnAsrava tvAt /
        na trayam // VAkK_2.13 //	na trayam // VAkK_2.13 //
   trayaṃ naiva praheyamājñāsyāmīndriyādikamanāsravatvāt /	trayam na eva praheyam AjQAsyAmi indriya Adi kam ana Asrava tvAt /
   nahi nirdoṣaṃ prahāṇārham /	na hi nirdozam prahANa arham /
   uktaḥ prakārabhedaḥ /	uktaH prakAra BedaH /
   lābha idānīṃ vaktavyaḥ /	lABaH idAnIm vaktavyaH /
   katīndriyāṇi kasmindhātau vipākaḥ prathamato labhyante /	kati indriyANi kasmin DAtO vipAkaH praTamatas laByante /
        kāmeṣvādau vipāko dve labhyate	kAmezu AdO vipAkaH dve laByate
   kāyendriyaṃ jīvitendriyaṃ ca /	kAya indriyam jIvita indriyam ca /
   te punaḥ	te punar 
        nopapādukaiḥ /	na upapAdukEH /
   upapādukapratiṣedhādaṇḍajajarāyujasaṃsvedajaīriti veditavyam /	upapAduka pratizeDAt aNxa ja jarAyuja saMsveda jaIH iti veditavyam /
   kasmānna manaupekṣendriye /	kasmAt na manOpekza indriye /
   pratisandhikāle tayoravaśyaṃ kliṣṭatvāt /	pratisanDi kAle tayoH avaSyam klizwa tvAt /
   athopapādukaiḥ kati labhyante /	aTa upapAdukEH kati laByante /
        taiḥ ṣaḍa vā	tEH zaxa vA
   yadyavyañjanā bhavanti /	yadi avyaQjanAH Bavanti /
   yathā prāthamakalpikāḥ /	yaTA prATama kalpikAH /
   katamāni ṣaṭ /	katamAni zaw /
   cakṣuḥśrotraghrāṇajihvākāyajīvitendriyāṇi /	cakzuH Srotra GrANa jihvA kAya jIvita indriyANi /
        sapta vā	sapta vA
   yadyekavyañjanā bhavanti /	yadi eka vyaQjanAH Bavanti /
   yathā devādiṣu /	yaTA deva Adizu /
        aṣṭau vā	azwO vA
   yadyubhayavyañjanā bhavanti /	yadi uBaya vyaQjanAH Bavanti /
   kiṃ punarubhayavyañjanā apyupapādukā bhavanti /	kim punar uBaya vyaQjanAH api upapAdukAH Bavanti /
   bhavantyapāyeṣu	Bavanti apAyezu
   evaṃ tāvat kāmadhātau /	evam tAvat kAmaDAtO /
   atha rūpadhātāvārūpyadhātau ca kathamityāha /	aTa rUpa DAtO= ArUpya DAtO ca kaTam iti Aha /
        ṣaḍ rūpeṣu	zaw rUpezu
   kāmapradhānatvāt kāmadhātuḥ kāmā iti nirdiśyate /	kAma praDAna tvAt kAmaDAtuH kAmAH iti nirdiSyate /
   rūpapradhānatvād rūpadhātū rūpāṇīti /	rUpa praDAna tvAt rUpa DAtuH rUpANi iti /
   sūtre 'pyuktaṃ "ye 'pi te bhikṣavaḥ śāntā vimokṣā atikramya rūpāṇyārupyā"	sUtre api uktam "ye api te BikzavaH SAntAH vimokzAH atikramya rUpANi ArupyA"
   iti /	iti /
   tatra rūpadhātau ṣaḍḍindriyāṇi vipākaḥ parathamato labhyante /	tatra rUpa DAtO zaz xindriyANi vipAkaH paraTam atas laByante /
   yānyeva kāmadhātāvavyañjanaiarupapādukaiḥ	yAni eva kAmaDAtO= a vyaQjana earupa pAdukEH
        ekamuttare // VAkK_2.14 //	ekam uttare // VAkK_2.14 //
   rūpadhātorārūpyadhāturuttaraḥ /	rUpa DAtoH ArUpya DAtuH uttaraH /
   samāpattitaśca paratvādupapattitaśca pradhānataratvāt /	samApattitaH ca para tvAt upapattitaH ca praDAnatara tvAt /
   tasmin ekameva jīvitendriyaṃ vipākaḥ prathamato labhyate nānyat /	tasmin ekam eva jIvita indriyam vipAkaH praTamatas laByate na anyat /
   ukto lābhaḥ /	uktaH lABaH /
   tyāga idānīṃ vaktavyaḥ /	tyAgaH idAnIm vaktavyaH /
   kasmindhātau mriyamāṇaḥ katīndriyāṇi nirodhayatīti	kasmin DAtO mriyamANaH kati indriyANi niroDayati iti
        nirodhayatyuparamānnārūpye jīvitam manaḥ /	niroDayati uparamAnna ArUpye jIvitam manaH /
        upekṣāṃ caiva rūpe 'ṣṭau	upekzAm ca eva rUpe azwO
   rūpadhātau mriyalmāṇo 'ṣṭau nirodhayati /	rUpa DAtO mriyalmANaH azwO niroDayati /
   tāni ca trīṇi cakṣurādīni pañca /	tAni ca trINi cakzuH AdIni paQca /
   sarve hyupapādukāḥ samagrendriyā upapadyante mriyante ca /	sarve hi upapAdukAH samagra indriyAH upapadyante mriyante ca /
        kāme daśa navāṣṭau vā // VAkK_2.15 //	kAme daSa nava azwO vA // VAkK_2.15 //
   kāmadhātau mriyamāṇa ubhayavyañjanī daśendriyāṇi nirodhayati /	kAmaDAtO mriyamANaH uBaya vyaQjanI daSa indriyANi niroDayati /
   tāni cāṣṭau strī puruṣendriye ca /	tAni ca azwO strI puruza indriye ca /
   ekavyañjano nava /	eka vyaQjanaH nava /
   avyañjano 'ṣṭau /	avyaQjanaH azwO /
   sakṛnmaraṇa eṣa nyāyaḥ /	sakRt maraNaH eza nyAyaH /
        kramamṛtyau tu catvāri /	krama mRtyO tu catvAri /
   krameṇa tu mriyamāṇaścatvārīndriyāṇi nirodhayati /	krameNa tu mriyamANaH catvAri indriyANi niroDayati /
   kāyajīvitamanaupekṣendriyāṇi /	kAya jIvitam anOpekza indriyANi /
   nahyeṣāṃ pṛthagnirodhaḥ /	na hi ezAm pRTak niroDaH /
   eṣa ca nyāyaḥ kliṣṭāvyākṛtacittasya maraṇe veditavyaḥ /	eza ca nyAyaH klizwa avyAkRta cittasya maraNe veditavyaH /
   yadā tu kuśale cetasi sthito mriyate tadā	yadA tu kuSale cetasi sTitaH mriyate tadA
        ṣubhe sarvatra pañca ca /	zuBe sarvatra paQca ca /
   kuśale cetasi mriyamāṇaḥ sarvatra yathoktamindriyāṇi nirodhayati /	kuSale cetasi mriyamANaH sarvatra yaToktam indriyANi niroDayati /
   śraddhādīni ca pañcādhikāni /	SradDA AdIni ca paQca aDikAni /
   eṣāṃ kuśale cetasyavaśyaṃbhāvaḥ /	ezAm kuSale cetasya vaSyaMBAvaH /
   evamārūpyeṣvaṣṭau nirodhayati rūpeṣu trayodaśāeti vistareṇa gaṇanīyam /	evam ArUpyezu azwO niroDayati rUpezu trayodaSAa iti vistareNa gaNanIyam /
   indriyaprakaraṇe sarva indriyadharmā vicāryante /	indriya prakaraNe sarve indriya DarmAH vicAryante /
   atha katamacchrāmaṇyaphalaṃ katibhirindriyaiḥ prāpyate /	aTa katamat SrAmaNya Palam katiBiH indriyEH prApyate /
        navāptirantya phalayoḥ	navAptiH antya PalayoH
   navabhirindriyaiḥ praptirantyaphalayoḥ /	navaBiH indriyEH praptiH antya PalayoH /
   ke punarantye /	ke punar antye /
   srota āpattiphalamarhattvaṃ ca /	srotaH Apatti Palam arhat tvam ca /
   ke madhye /	ke maDye /
   sakṛdāgāmiphalamanāgāmiphalaṃ ca /	sakRdAgAmi Palam anAgAmi Palam ca /
   tatra srota āpattiphalasya	tatra srotaH Apatti Palasya
   śraddhādibhirājñātāvīndriyavarjyairmanaupekṣendriyābhyāṃ ceti navabhiḥ /	SradDA AdiBiH AjQAta avi indriya varjyEH manOpekza indriyAByAm ca iti navaBiH /
   ājñāsyāmīndriyamānantaryamārge veditavyamājñendriyaṃ ca vimuktimārge /	AjQAsyAmi indriyam Anantarya mArge veditavyam AjQA indriyam ca vimukti mArge /
   ubhābhyāṃ hi tasya	uBAByAm hi tasya
   prāptirvisaṃyiogaprāpterāvāhakasanniśrayatvādyathākramam /	prAptiH visaMyioga prApteH AvAhaka sanniSraya tvAt yaTAkramam /
   arhattvamasya punaḥ śraddhādibhirājñāsyāmīndriyavarjyairmanaindriyeṇa	arhat tvam asya punar SradDA AdiBiH AjQAsyAmi indriya varjyEH manA EndriyeNa
   sukhasaumanasyopekṣendriyāṇāṃ cānyatameneti navabhiḥ /	suKa sOmanasya upekza indriyANAm ca anyatamena iti navaBiH /
        saptāṣṭnavabhirdvayoḥ // VAkK_2.16 //	sapta azwnavaBiH dvayoH // VAkK_2.16 //
   sakṛdāgāmyanāgāmiphalayoḥ pratyekaṃ saptabhiraṣṭabhirnavabhiṣcendriyaiḥ	sakRdAgAmi anAgAmi PalayoH pratyekam saptaBiH azwaBiH navaBiH ca indriyEH
   prāptiḥ /	prAptiH /
   kathaṃ kṛtvā /	kaTam kRtvA /
   sakṛdāgāmiphalaṃ tāvadyadyānupūrvikaḥ prāpnoti sa ca laukikena mārgeṇa	sakRdAgAmi Palam tAvat yat yAnupUrvikaH prApnoti sa ca lOkikena mArgeNa
   tasya saptabhirindriyaiḥ prāptiḥ /	tasya saptaBiH indriyEH prAptiH /
   pañcabhiḥ śraddhādibhirupekṣāmanaindriyābhyāṃ ceti /	paQcaBiH SradDA AdiBiH upekzA manEndriyAByAm ca iti /
   atha lokottareṇa mārgeṇa tasyāṣṭabhirindriyai praptiḥ /	aTa lokottareNa mArgeNa tasya azwaBiH indriyE praptiH /
   ājñendriyamaṣṭamaṃ bhavati /	AjQa indriyam azwamam Bavati /
   atha bhūyovītarāgaḥ prāpnoti tasya navabhiryeneva srota āpattiphalasya /	aTa BUyovIta rAgaH prApnoti tasya navaBiH yena iva srotaH Apatti Palasya /
