   Sātvatatantra, prathamaḥ paṭalaḥ	SAtvata-tantra, praTamaH pawalaH
   vinā yena pumān yāti kurvan bhaktim api śramam // SatvT_4.56	vinA yena pumAn yAti kurvan Baktim api Sramam // SatvT_4.56
   śrīśiva uvāca /	SrI-SivaH uvAca /
   kāyavāṅmanasāṃ sākṣāt kṛṣṇe paramapūruṣe /	kAya-vAc-manasAm sAkzAt kRzNe parama-pUruze /
   pariniṣṭhāśrayaṃ yad vai śaraṇaṃ parikīrtitam // SatvT_4.57	parinizWA-ASrayam yat vE SaraNam parikIrtitam // SatvT_4.57
   etad vai trividhaṃ proktaṃ vedavidbhir dvijottama /	etat vE triviDam proktam veda-vidBiH dvijottamaH /
   prathamaṃ madhyamaṃ śreṣṭhaṃ kramaśaḥ śṛṇu tan mune // SatvT_4.58	praTamam maDyamam SrezWam kramaSas SRNu tat mune // SatvT_4.58
   dharme tīrthe ca devādau rakṣakatvamaghāditaḥ /	Darme tIrTe ca deva-AdO rakzaka-tvam-aGAditaH /
   yad buddhiniṣṭhitaṃ kṛṣṇe kṛtaṃ tat prathamaṃ smṛtam // SatvT_4.59	yat budDi-nizWitam kRzNe kRtam tat praTamam smRtam // SatvT_4.59
   kalatraputramitreṣu dhane gehagavādiṣu /	kalatra-putra-mitrezu Dane geha-gava-Adizu /
   yan mamatvāśrayaṃ kṛṣṇe kṛtaṃ tan madhyamaṃ smṛtam // SatvT_4.60	yat mamatva-ASrayam kRzNe kRtam tat maDyamam smRtam // SatvT_4.60
   dehādāv ātmano yāvad ātmatvāśrayaṇādi yat /	deha-AdO AtmanaH yAvat Atma-tva-ASrayaNa-Adi yat /
   tat sarvaṃ kṛṣṇapādābje kṛtaṃ śreṣṭhaṃ prakīrtitam // SatvT_4.61	tat sarvam kRzNa-pAda-abje kRtam SrezWam prakIrtitam // SatvT_4.61
   īśvaraṃ tadadhīnaṃ ca taddharmaṃ ca sanātanam /	ISvaram tat-aDInam ca tad-Darmam ca sanAtanam /
   hitvānyad āśrayaṃ tasya vastuto naiva dṛśyate // SatvT_4.62	hitvA-anyat ASrayam tasya vastutas na-eva dRSyate // SatvT_4.62
   etaccharaṇasampanno bhaktimān puruṣottame /	etat-SaraNa-sampannaH BaktimAn puruzottame /
   punāti sarvabhuvanaṃ hṛdisthenācyutena saḥ // SatvT_4.63	punAti sarva-Buvanam hRdisTena-acyutena saH // SatvT_4.63
   tasmād bhaktādṛter viṣṇor deho 'pi naiva satpriyaḥ /	tasmAt Bakta-At-RteH vizNoH dehaH api na-eva sat-priyaH /
   kim utānye vibhūtādyāḥ paramānandarūpiṇaḥ // SatvT_4.64	kim uta-anye viBUta-AdyAH parama-Ananda-rUpiNaH // SatvT_4.64
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   bhaktānāṃ lakṣaṇaṃ sākṣād brūhi me surattama /	BaktAnAm lakzaNam sAkzAt brUhi me surattamaH /
   tathaiva teṣv ahaṃ prītiṃ kariṣyāmi samāhitaḥ // SatvT_4.65	taTA-eva tezu aham prItim karizyAmi samAhitaH // SatvT_4.65
   śrīśiva uvāca /	SrI-SivaH uvAca /
   bhaktānāṃ lakṣaṇaṃ sākṣād durvijñeyaṃ nṛbhir mune /	BaktAnAm lakzaNam sAkzAt durvijQeyam nRBiH mune /
   vaiṣṇavair eva tad vedyaṃ padāny ahir aher iva // SatvT_4.66	vEzNavEH eva tat vedyam padAni ahiH aheH iva // SatvT_4.66
   tathāpi sāratas teṣāṃ lakṣaṇaṃ yad alaukikam /	taTA-api sArataH tezAm lakzaNam yat alOkikam /
   vakṣye tat te muniśreṣṭha viṣṇubhakto yato bhavān // SatvT_4.67	vakzye tat te muni-SrezWa vizNu-BaktaH yatas BavAn // SatvT_4.67
   maccittā nirahaṃkārā mamakāravivarjitāḥ /	mad-cittAH nirahaMkArAH mamakAra-vivarjitAH /
   śāstrānuvartinaḥ śāntāḥ suhṛdaḥ sarvadehinām // SatvT_4.68	SAstra-anuvartinaH SAntAH suhRdaH sarva-dehinAm // SatvT_4.68
   yadā sarveṣu bhūteṣu hiṃsantam api kaṃcana /	yadA sarvezu BUtezu hiMsantam api kaMcana /
   na hiṃsanti tadā muktā nirguṇā bhagavatparāḥ // SatvT_4.69	na hiMsanti tadA muktAH nirguNAH Bagavat-parAH // SatvT_4.69
   harisevāṃ vinā kiṃcin manyante nātmanaḥ priyam /	hari-sevAm vinA kiMcid manyante na-AtmanaH priyam /
   vāsudevaparā dehageha indriyavṛttayaḥ // SatvT_4.70	vAsudeva-parAH deha-gehaH indriya-vRttayaH // SatvT_4.70
   rāgadveṣādirahitā mānāmānavivarjitāḥ /	rAga-dveza-Adi-rahitAH mAna-AmAna-vivarjitAH /
   sadā saṃtuṣṭamanaso bhaktā bhāgavatā matāḥ // SatvT_4.71	sadA saMtuzwa-manasaH BaktAH BAgavatAH matAH // SatvT_4.71
   satprītiparamāḥ śuddhāḥ śrutikīrtyuktiniṣṭhitāḥ /	sat-prIti-paramAH SudDAH Sruti-kIrti-ukti-nizWitAH /
   traivargikaparālāpasnehasaṅgavivarjitāḥ // SatvT_4.72	trEvargika-para-AlApa-sneha-saFga-vivarjitAH // SatvT_4.72
   sadvākyakāriṇaḥ kṛṣṇayaśasy utsukamānasāḥ /	sat-vAkya-kAriNaH kRzNa-yaSasi utsuka-mAnasAH /
   hariprītiparā ete bhaktā lokapraṇāmakāḥ // SatvT_4.73	hari-prIti-parAH ete BaktAH loka-praNAmakAH // SatvT_4.73
   bhaktānāṃ lakṣaṇaṃ hy etat sāmānyena nirūpitam /	BaktAnAm lakzaNam hi etat sAmAnyena nirUpitam /
   idānīm ātmajijñāsyaṃ lakṣaṇaṃ trividhaṃ śṛṇu // SatvT_4.74	idAnIm Atma-jijQAsyam lakzaNam triviDam SRNu // SatvT_4.74
   sarvātmānaṃ hariṃ jñātvā sarveṣu prītimān naraḥ /	sarva-AtmAnam harim jQAtvA sarvezu prItimAn naraH /
   sevāparo dveṣahīno janeṣu sa ca sattamaḥ // SatvT_4.75	sevA-paraH dveza-hInaH janezu sa ca sattamaH // SatvT_4.75
   jñātvāpi sarvagaṃ viṣṇuṃ tāratamyena prītimān /	jQAtvA-api sarvagam vizNum tAratamyena prItimAn /
   śreṣṭhamadhyamanīceṣu hy ātmanaḥ sa tu madhyamaḥ // SatvT_4.76	SrezWa-maDyama-nIcezu hi AtmanaH sa tu maDyamaH // SatvT_4.76
   pratimādiṣv eva harau prītimān na tu sarvage /	pratimA-Adizu eva harO prItimAn na tu sarvage /
   prāṇiprāṇavadhatyāgī prākṛtaḥ sa tu vaiṣṇavaḥ // SatvT_4.77	prANi-prANa-vaDa-tyAgI prAkRtaH sa tu vEzNavaH // SatvT_4.77
   yasyendriyāṇāṃ sarveṣāṃ harau svābhāvikī ratiḥ /	yasya-indriyANAm sarvezAm harO svABAvikI ratiH /
   sa vai mahābhāgavato hy uttamaḥ parikīrtitaḥ // SatvT_4.78	sa vE mahA-BAgavataH hi uttamaH parikIrtitaH // SatvT_4.78
   yasya yatnenendriyāṇāṃ viṣṇau prītir hi jāyate /	yasya yatnena-indriyANAm vizNO prItiH hi jAyate /
   sa vai bhāgavato vipraḥ madhyamaḥ samudāhṛtaḥ // SatvT_4.79	sa vE BAgavataH vipraH maDyamaH samudAhRtaH // SatvT_4.79
   yasyendriyaiḥ kṛṣṇasevā kṛtā prītivivarjitā /	yasya-indriyEH kRzNa-sevA kRtA prIti-vivarjitAH /
   sa prākṛto bhāgavato bhaktaḥ kāmavivarjitaḥ // SatvT_4.80	sa prAkRtaH BAgavataH BaktaH kAma-vivarjitaH // SatvT_4.80
   harilīlāśrutoccāraṃ yaḥ prītyā kurute sadā /	hari-lIlA-aSruta-uccAram yaH prItyA kurute sadA /
   sa vai mahābhāgavato hy uttamo lokapāvanaḥ // SatvT_4.81	sa vE mahA-BAgavataH hi uttamaH loka-pAvanaH // SatvT_4.81
   śravaṇaṃ kīrtanaṃ viṣṇau prītyāyāsau tu yo naraḥ /	SravaNam kIrtanam vizNO prIti-AyAsO tu yaH naraH /
   kuryād aharahaḥ śaśvat prītimān sa ca madhyamaḥ // SatvT_4.82	kuryAt aharahar SaSvat prItimAn sa ca maDyamaH // SatvT_4.82
   yāmaikamātraṃ yaḥ kuryāc chravaṇaṃ kīrtanaṃ hareḥ /	yAma-eka-mAtram yaH kuryAt SravaNam kIrtanam hareH /
   prītyā viṣṇujanadveṣahīnaḥ prākṛta ucyate // SatvT_4.83	prItyA vizNu-jana-dveza-hInaH prAkRtaH ucyate // SatvT_4.83
   yady anyalakṣaṇaṃ cānyabhakte lakṣyeta sajjanaiḥ /	yadi anya-lakzaNam ca-anya-Bakte lakzyeta sat-janEH /
   tathāpi niṣṭhām ālakṣya taṃ taṃ jānīhi sattama // SatvT_4.84	taTA-api nizWAm Alakzya tam tam jAnIhi sattamaH // SatvT_4.84
   yaddharmaniṣṭhā ye bhaktā bhavanti dvijasattama /	yat-Darma-nizWAH ye BaktAH Bavanti dvijasattamaH /
   tatprasaṅgādyanuṣṭhānaṃ tatprīteḥ kāraṇaṃ param // SatvT_4.85	tad-prasaFga-Adi-anuzWAnam tat-prIteH kAraNam param // SatvT_4.85
   tathāpi nirguṇā ye ca ye ca bhāgavatā matāḥ /	taTA-api nirguNAH ye ca ye ca BAgavatAH matAH /
   teṣu prītir mahābhāga duṣkareti mayocyate // SatvT_4.86	tezu prItiH mahABAga duzkara-iti mayA-ucyate // SatvT_4.86
   harilīlāśrutopacārapareṣu satataṃ tvayā /	hari-lIlA-aSruta-upacAra-parezu satatam tvayA /
   kāryā prītis tava harer yathā bhaktir na naśyati // SatvT_4.87	kAryA prItiH tava hareH yaTA BaktiH na naSyati // SatvT_4.87
   ity etat kathitaṃ vipra sādhūnāṃ lakṣaṇaṃ pṛthak /	iti etat kaTitam vipra sADUnAm lakzaNam pRTak /
   bhakteṣu prītikaraṇaṃ janānāṃ muktikāraṇam // SatvT_4.88	Baktezu prIti-karaNam janAnAm mukti-kAraNam // SatvT_4.88
   sādhanena mayā bāla bhaktibhedo nirūpitaḥ /	sADanena mayA bAla Bakti-BedaH nirUpitaH /
   sa sārvavarṇikaḥ śuddhaḥ sarvāśramiśramāpahaḥ // SatvT_4.89	sa sArvavarNikaH SudDaH sarva-ASrami-Srama-apahaH // SatvT_4.89
   sarvakālabhavo nityaḥ sarvadaiśikasiddhidaḥ /	sarva-kAla-BavaH nityaH sarva-dESika-sidDi-daH /
   caturyugeṣv abhimato bhagavatpriyasādhakaḥ // SatvT_4.90	catur-yugezu aBimataH Bagavat-priya-sADakaH // SatvT_4.90
   Sātvatatantra, pañcamaḥ paṭalaḥ	SAtvata-tantra, paQcamaH pawalaH
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   kathitaṃ me suraguro bhagavadbhaktilakṣaṇam /	kaTitam me suraguro Bagavat-Bakti-lakzaNam /
   caturyuge 'py abhimataṃ sarvalokasukhāvaham // SatvT_5.1	catur-yuge api aBimatam sarva-loka-suKa-Avaham // SatvT_5.1
   adhunā vada deveśa janānāṃ hitakāmyayā /	aDunA vada deveSa janAnAm hita-kAmyayA /
   yugānurūpaṃ śrīviṣṇoḥ sevayā mokṣasādhanam // SatvT_5.2	yuga-anurUpam SrI-vizNoH sevayA mokza-sADanam // SatvT_5.2
   prajānāṃ lakṣaṇaṃ viṣṇor bhūtir liṅgaṃ pṛthagvidham /	prajAnAm lakzaNam vizNoH BUtiH liFgam pRTagviDam /
   dharmaṃ ca nāmasaṃkhyā ca samāsena sureśvara // SatvT_5.3	Darmam ca nAma-saMKyA ca samAsena sureSvara // SatvT_5.3
   śrīśiva uvāca /	SrI-SivaH uvAca /
   kṛte yuge prajāḥ sarvāḥ śuddhā rāgādivarjitāḥ /	kRte yuge prajAH sarvAH SudDAH rAga-Adi-varjitAH /
   autpattikena yogena śāntāḥ śamadṛśo matāḥ // SatvT_5.4	Otpattikena yogena SAntAH Sama-dRSaH matAH // SatvT_5.4
   teṣāṃ tu bhagavaddhyānaṃ saṃsārārṇavatārakam /	tezAm tu Bagavat-DyAnam saMsAra-arNava-tArakam /
   tad eva paramo dharmas tadyugasya mahāmate // SatvT_5.5	tat eva paramaH DarmaH tad-yugasya mahAmate // SatvT_5.5
   taddhyānaṃ trividhaṃ proktaṃ daśabhir nāmabhir yutam /	tat-DyAnam triviDam proktam daSaBiH nAmaBiH yutam /
   nirālambaṃ sāvalambaṃ sarvāntaryāmidhāraṇam // SatvT_5.6	nirAlambam sa-avalambam sarva-antaryAmi-DAraNam // SatvT_5.6
   tatṣaḍaṅgayutaṃ kuryāt samādhyavadhim uttamam /	tad-zaxaFga-yutam kuryAt samADi-avaDim uttamam /
   duḥkhagrahaṃ nirālambaṃ prathamaṃ śṛṇu sattama // SatvT_5.7	duHKa-graham nirAlambam praTamam SRNu sattamaH // SatvT_5.7
   ahiṃsā brahmacaryaṃ ca satyaṃ lajjā hy akāryataḥ /	ahiMsA brahmacaryam ca satyam lajjA hi akAryataH /
   asteyo 'saṃcayo maunam asaṅgam abhayaṃ dayā // SatvT_5.8	asteyaH asaMcayaH mOnam asaFgam aBayam dayA // SatvT_5.8
   dharme sthairyaṃ ca viśvāso yamā dvādaśa sattama /	Darme sTEryam ca viSvAsaH yamAH dvAdaSa sattamaH /
   yamādyam aṅgaṃ prathamaṃ kuryād dhyātā hy atandritaḥ // SatvT_5.9	yama-Adyam aFgam praTamam kuryAt DyAtAH hi atandritaH // SatvT_5.9
   dehaśaucaṃ manaḥśaucaṃ jāpyaṃ homaṃ tapo vratam /	deha-SOcam manaH-SOcam jApyam homam tapaH vratam /
   śrāddham atithiśuśrūṣāṃ tīrthasevāṃ sutuṣṭidām // SatvT_5.10	SrAdDam atiTi-SuSrUzAm tIrTa-sevAm su-tuzwi-dAm // SatvT_5.10
   parārthehāṃ guroḥ sevāṃ dviṣaṅniyamasaṃjñitam /	para-arTa-IhAm guroH sevAm dvizaj-niyama-saMjQitam /
   kuryād dhyānaṃ dvitīyāṅgaṃ tṛtīyāṅgaṃ ca me śṛṇu // SatvT_5.11	kuryAt DyAnam dvitIya-aFgam tRtIya-aFgam ca me SRNu // SatvT_5.11
   svajānulagne pādāgre kuryāj jaṅghe 'ntarāntare /	sva-jAnu-lagne pAda-agre kuryAt jaFGe antarA-antare /
   utsaṅgamadhye hastau dvau tat sthānam āsanaṃ smṛtam // SatvT_5.12	utsaFga-maDye hastO dvO tat sTAnam Asanam smRtam // SatvT_5.12
   praṇavenaiva mantreṇa pūrakumbhakarecakaiḥ /	praNavena-eva mantreNa pUra-kumBaka-recakEH /
   viparyayeṇa vā kuryāt turyāṅgaṃ prāṇasaṃyamam // SatvT_5.13	viparyayeNa vA kuryAt turya-aFgam prANa-saMyamam // SatvT_5.13
   viṣayebhyas tv indriyāṇāṃ saṃyamaṃ manasā hṛdi /	vizayeByaH tu indriyANAm saMyamam manasA hRdi /
   kuryād atandrito yogī pratyāhāraṃ tu pañcamam // SatvT_5.14	kuryAt atandritaH yogI pratyAhAram tu paQcamam // SatvT_5.14
   prāṇena manasaḥ sākṣāt sthairyaṃ dhyānāṅgam uttamam /	prANena manasaH sAkzAt sTEryam DyAna-aFgam uttamam /
   kuryāt samāhito yogī svanāsāgrāvalokanaḥ // SatvT_5.15	kuryAt samAhitaH yogI sva-nAsA-agra-avalokanaH // SatvT_5.15
   tejomayaṃ svaprakāśam avāṅmanasagocaram /	tejaH-mayam sva-prakASam avAFmanasa-gocaram /
   lakṣīkṛtya dhiyā tiṣṭhed yāvan naiva prakāśate // SatvT_5.16	lakzIkRtya DiyA tizWet yAvat na-eva prakASate // SatvT_5.16
   evaṃ cāharahaḥ kurvan yogī saṃśuddhakilbiṣaḥ /	evam ca-aharahar kurvan yogI saMSudDa-kilbizaH /
   cirāt prāpnoti paramāṃ samādhiṃ brahmaṇaḥ padam // SatvT_5.17	cirAt prApnoti paramAm samADim brahmaNaH padam // SatvT_5.17
   sāvaśeṣaṃ harer dhyānaṃ śṛṇu vipra samāsataḥ /	sa-avaSezam hareH DyAnam SRNu vipra samAsatas /
   tenaiva vidhinā yukto manasā cintayed yathā // SatvT_5.18	tena-eva viDinA yuktaH manasA cintayet yaTA // SatvT_5.18
   hṛtpadmakarṇikāmadhye śuddhasattvatanuṃ harim /	hRd-padma-karNikA-maDye SudDa-sattva-tanum harim /
   puruṣaṃ caturbhujaṃ dhyāyec chuddhasphaṭikasaṃnibham // SatvT_5.19	puruzam catur-Bujam DyAyet SudDa-sPawika-saMniBam // SatvT_5.19
   jaṭādharaṃ valkalinaṃ kṛṣṇasārājinottaram /	jawA-Daram valkalinam kRzNasAra-ajina-uttaram /
   akṣamālāṃ yajñasūtraṃ tathā daṇḍakamaṇḍalum // SatvT_5.20	akzamAlAm yajQasUtram taTA daNxa-kamaNxalum // SatvT_5.20
   bibhrāṇaṃ hṛdyugārādhyaṃ brahmacāriṇam avyayam /	biBrANam hRd-yuga-ArADyam brahmacAriNam avyayam /
   mukhāravindaṃ sunasaṃ subhruvaṃ sukapālinam // SatvT_5.21	muKa-aravindam su-nasam suBruvam sukapAlinam // SatvT_5.21
   suvarṇaśakalābhātaṃ sudvijaṃ kambukaṃdharam /	suvarNa-Sakala-ABAtam su-dvijam kambu-kaMDaram /
   dīrghāyatacaturbāhuṃ karapallavaśobhitam // SatvT_5.22	dIrGa-Ayata-catur-bAhum karapallava-SoBitam // SatvT_5.22
   sucakṣuṣaṃ suhṛdayaṃ sūdaraṃ valibhir yutam /	sucakzuzam suhRdayam su-udaram valiBiH yutam /
   nimnanābhiṃ sucārūrujānujaṅghāpadaṃ śubham // SatvT_5.23	nimna-nABim sucAru-Uru-jA-anujaFGA-padam SuBam // SatvT_5.23
   cārvaṅgulidalākāraṃ nakhacandradyutiprabham /	cAru-aFguli-dala-AkAram naKa-candra-dyuti-praBam /
   evaṃ cintayato rūpaṃ viṣṇor lokamanoharam // SatvT_5.24	evam cintayataH rUpam vizNoH loka-manoharam // SatvT_5.24
   tasyāśu paramānandaḥ sampad āśu bhaviṣyati /	tasya-ASu parama-AnandaH sampad ASu Bavizyati /
   āśusiddhikaraṃ cātaḥ sarvāntaryāmidhāraṇam // SatvT_5.25	ASu-sidDi-karam ca-atas sarva-antaryAmi-DAraNam // SatvT_5.25
   śṛṇu svavahito vipra mānastambhavivarjitam /	SRNu su-avahitaH vipra mAna-stamBa-vivarjitam /
   sarvaṃ carācaram idaṃ bhagavadrūpādhiṣṭhitam // SatvT_5.26	sarvam carAcaram idam Bagavat-rUpa-aDizWitam // SatvT_5.26
   bhāvayed dveṣahīnena kāyavāṅmanasā dvija /	BAvayet dveza-hInena kAya-vAc-manasA dvija /
   uttamān mānayed bhaktyā samān mitratayā dvija // SatvT_5.27	uttamAt mAnayet BaktyA samAn mitra-tayA dvija // SatvT_5.27
   adhamān dayayā śatrūn upekṣeta dayānvitaḥ /	aDamAn dayayA SatrUn upekzeta dayA-anvitaH /
   evaṃ bhāvayatas tasya yāvat sarvātmadarśanam // SatvT_5.28	evam BAvayataH tasya yAvat sarva-Atma-darSanam // SatvT_5.28
   acirāt paramānandasaṃdohaṃ manasāpnuyāt /	acirAt parama-Ananda-saMdoham manasA-ApnuyAt /
   tretāyāṃ prāṇinaḥ sarve japahomaparāyaṇāḥ // SatvT_5.29	tretAyAm prANinaH sarve japa-homa-parAyaNAH // SatvT_5.29
   suvinītāḥ sukhāvṛttā mahāśālā mahātmanaḥ /	su-vinItAH suKa-AvRttA mahA-SAlAH mahAtmanaH /
   teṣāṃ tu bhagavadyāgo hy añjasā muktisādhakaḥ // SatvT_5.30	tezAm tu Bagavat-yAgaH hi aQjasA mukti-sADakaH // SatvT_5.30
   sa eva paramo dharmas tretāyāṃ dvijasattama /	saH eva paramaH DarmaH tretAyAm dvijasattamaH /
   tasmin yajanti raktābhaṃ yajñamūrtiṃ jagadgurum // SatvT_5.31	tasmin yajanti rakta-ABam yajQamUrtim jagadgurum // SatvT_5.31
   nityanaimittikaiḥ sattrair yāgair nāmāṣṭakāyutaiḥ /	nitya-nEmittikEH sattrEH yAgEH nAma-azwaka-AyutEH /
   traividyena vidhānena yānti muktiṃ tadā janāḥ // SatvT_5.32	trEvidyena viDAnena yAnti muktim tadA janAH // SatvT_5.32
   dvāpare tu janā hṛṣṭāḥ puṣṭāḥ karmakṛtikṣamāḥ /	dvApare tu janAH hRzwAH puzwAH karma-kRti-kzamAH /
   bhogānuṣaktamanasaḥ sukhaduḥkhatvam āvṛtāḥ // SatvT_5.33	Boga-anuzakta-manasaH suKa-duHKa-tvam AvRtAH // SatvT_5.33
   bhagavatpūjanaṃ teṣāṃ mokṣasādhanam uttamam /	Bagavat-pUjanam tezAm mokza-sADanam uttamam /
   sāṅgopāṅgaṃ kevalaṃ ca dvividhaṃ pūjanaṃ smṛtam // SatvT_5.34	sa-aFga-upAFgam kevalam ca dviviDam pUjanam smRtam // SatvT_5.34
   tad eva paramo dharmo dvāparasya yugasya vai /	tat eva paramaH DarmaH dvAparasya yugasya vE /
   tasmin yajanti puruṣā mahārājoktalakṣaṇam // SatvT_5.35	tasmin yajanti puruzAH mahA-rAja-ukta-lakzaNam // SatvT_5.35
   pītavarṇaṃ vedamantrair nāmnāṃ dvādaśabhiḥ samam /	pIta-varNam veda-mantrEH nAmnAm dvAdaSaBiH samam /
   kalau prajā mandabhāgyā alasā duḥkhasaṃyutāḥ // SatvT_5.36	kalO prajAH mandaBAgyAH alasAH duHKa-saMyutAH // SatvT_5.36
   śiśnodaraparāḥ kṣudrā dīnā malinacetasaḥ /	SiSna-udara-parAH kzudrAH dInAH malina-cetasaH /
   teṣām ekavidhaṃ proktam añjasā muktikāraṇam // SatvT_5.37	tezAm ekaviDam proktam aQjasA mukti-kAraNam // SatvT_5.37
   sarvasaukhyakaraṃ cāpi kṛṣṇanāmānukīrtanam /	sarva-sOKya-karam ca-api kRzNa-nAma-anukIrtanam /
   yataḥ kaliyugasyādau bhagavān puruṣottamaḥ // SatvT_5.38	yatas kali-yugasya-AdO BagavAn puruzottamaH // SatvT_5.38
   avatīrya yaśas tene śuddhaṃ kalimalāpaham /	avatIrya yaSaH tene SudDam kali-mala-apaham /
   dhyānayogakriyāḥ sarvāḥ sa saṃhatya dayāparaḥ // SatvT_5.39	DyAna-yoga-kriyAH sarvAH sa saMhatya dayA-paraH // SatvT_5.39
   svakīye yaśasi sthāpya gato vaikuṇṭham uttamam /	svakIye yaSasi sTApya gataH vEkuNWam uttamam /
   sa tāta paramo devo devakīdevinandanaḥ // SatvT_5.40	sa tAta paramaH devaH devakI-devinandanaH // SatvT_5.40
   indranīlasamaḥ śyāmas tantramantrair ya ijyate /	indranIla-samaH SyAmaH tantra-mantrEH yaH ijyate /
   tasmin kaliyuge vipra śrutvā hariyaśo 'malāḥ // SatvT_5.41	tasmin kali-yuge vipra SrutvA hari-yaSaH amalAH // SatvT_5.41
   prāyo bhaktā bhaviṣyanti tasmāc chreṣṭhayugaḥ kaliḥ /	prAyas BaktAH Bavizyanti tasmAt SrezWa-yugaH kaliH /
   ataḥ kṛtādiṣu prajāḥ kalau sambhavam ātmanaḥ // SatvT_5.42	atas kRta-Adizu prajAH kalO samBavam AtmanaH // SatvT_5.42
   vāñchanti dharmaparamā bhagavadbhaktikāraṇam /	vAQCanti Darma-paramA Bagavat-Bakti-kAraNam /
   dhyāneneṣṭayā pūjanena yat phalaṃ labhyate janaiḥ // SatvT_5.43	DyAnena-izwayA pUjanena yat Palam laByate janEH // SatvT_5.43
   kṛtādiṣu kalau tad vai kīrtanādiṣu labhyate /	kRta-Adizu kalO tat vE kIrtana-Adizu laByate /
   na deśakālakartṇāṃ niyamaḥ kīrtane smṛtaḥ // SatvT_5.44	na deSa-kAla-kartNAm niyamaH kIrtane smRtaH // SatvT_5.44
   tasmāt kalau paro dharmo harikīrteḥ sukīrtanam /	tasmAt kalO paraH DarmaH hari-kIrteH su-kIrtanam /
   yataḥ kaliṃ praśasanti śiṣṭāstriyugavartinaḥ // SatvT_5.45	yatas kalim praSasanti SizwAH-tri-yuga-vartinaH // SatvT_5.45
   yatra kīrtanamātreṇa prāpnoti paramaṃ padam /	yatra kIrtana-mAtreNa prApnoti paramam padam /
   kṛtādāv api ye jīvā na muktā nijadharmataḥ // SatvT_5.46	kRta-AdO api ye jIvAH na muktAH nija-DarmataH // SatvT_5.46
   te 'pi muktiṃ prayāsyanti kalau kīrtanamātrataḥ /	te api muktim prayAsyanti kalO kIrtana-mAtrataH /
   kaler doṣasamudrasya guṇa eko mahān yataḥ // SatvT_5.47	kaleH doza-samudrasya guNaH ekaH mahAn yatas // SatvT_5.47
   nāmnāṃ saṃkīrtanenaiva cāturvargaṃ jano 'śnute /	nAmnAm saMkIrtanena-eva cAturvargam janaH aSnute /
   kṛtādiṣv api viprendra harināmānukīrtanam // SatvT_5.48	kRta-Adizu api vipra-indra hari-nAma-anukIrtanam // SatvT_5.48
   tapādisādhyaṃ tad bhūyaḥ kalāv ubhayatāṃ gatam /	tapa-Adi-sADyam tat BUyas kalO uBaya-tAm gatam /
   tasmāt kaliyuge viṣṇor nāmakīrtanam uttamam // SatvT_5.49	tasmAt kali-yuge vizNoH nAma-kIrtanam uttamam // SatvT_5.49
   sādhanaṃ bhaktiniṣṭhānāṃ sādhyaṃ caiva prakīrtitam /	sADanam Bakti-nizWAnAm sADyam ca-eva prakIrtitam /
   yena kenāpi bhāvena kīrtayan satataṃ harim // SatvT_5.50	yena kena-api BAvena kIrtayan satatam harim // SatvT_5.50
   hitvā pāpaṃ gatiṃ yānti kim utacchraddhayā gṛṇan /	hitvA pApam gatim yAnti kim utad-SradDayA gRNan /
   kalau nāmaparā eva satataṃ dvijasattama // SatvT_5.51	kalO nAma-parAH eva satatam dvijasattamaH // SatvT_5.51
   uktā mahābhāgavatā bhagavatpriyakāriṇaḥ /	uktAH mahA-BAgavatAH Bagavat-priya-kAriNaH /
   tasmāt sarvātmanā vipra kuru śrīkṛṣṇakīrtanam // SatvT_5.52	tasmAt sarva-AtmanA vipra kuru SrI-kRzNa-kIrtanam // SatvT_5.52
   śraddhayā satataṃ yukta etad eva mahāphalam // SatvT_5.53	SradDayA satatam yuktaH etat eva mahA-Palam // SatvT_5.53
   Sātvatatantra, ṣaṣṭhaḥ paṭalaḥ	SAtvata-tantra, zazWaH pawalaH
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   kathitaṃ me tvayā deva harināmānukīrtanam /	kaTitam me tvayA deva hari-nAma-anukIrtanam /
   pāpāpahaṃ mahāsaukhyaṃ bhagavadbhaktikāraṇam // SatvT_6.1	pApa-apaham mahA-sOKyam Bagavat-Bakti-kAraNam // SatvT_6.1
   tatrāhaṃ yāni nāmāni kīrtayāmi surottama /	tatra-aham yAni nAmAni kIrtayAmi sura-uttamaH /
   tāny ahaṃ jñātum icchāmi sākalyena kutūhalāt // SatvT_6.2	tAni aham jQAtum icCAmi sAkalyena kutUhalAt // SatvT_6.2
   śrīśiva uvāca /	SrI-SivaH uvAca /
   bhūmyambutejasāṃ ye vai paramāṇūn api dvija /	BUmi-ambu-tejasAm ye vE paramANUn api dvija /
   śakyante gaṇituṃ bhūyo janmabhir na harer guṇān // SatvT_6.3	Sakyante gaNitum BUyas janmaBiH na hareH guNAn // SatvT_6.3
   tathāpi mukhyaṃ vakṣyāmi śrīviṣṇoḥ paramādbhutam /	taTA-api muKyam vakzyAmi SrI-vizNoH parama-adButam /
   nāmnāṃ sahasraṃ pārvatyai yadi hoktaṃ kṛpālunā // SatvT_6.4	nAmnAm sahasram pArvatyE yadi ha-uktam kRpAlunA // SatvT_6.4
