   1st kāṇḍa	1st kANxa
   vṛṣalair na praveṣṭavyam ity etasmin gṛhe yathā /	vRzalEH na pravezwavyam iti etasmin gRhe yaTA /
   pratyekaṃ saṃhatānāṃ ca praveśaḥ pratiṣidhyate // BVaky_2.385 //	pratyekam saMhatAnAm ca praveSaH pratiziDyate // BVakI _2.385 //
   saṃbhūya tv arthalipsādi  pratiṣedhopadeśane /	saMBUya tu arTa lipsA Adi pratizeDa upadeSane /
   pṛthag apratiṣiddhatvāt pravṛttir na virudhyate // BVaky_2.386 //	pRTak apratizidDa tvAt pravRttiH na viruDyate // BVakI _2.386 //
   vyavāyalakṣaṇārthātvād aṭkupvāṅādibhis tathā /	vyavAya lakzaNa arTAtvAt awkupvAFa AdiBiH taTA /
   pratyekaṃ vā samastair vā ṇatvaṃ na pratiṣidhyate // BVaky_2.387 //	pratyekam vA samastEH vA Na tvam na pratiziDyate // BVakI _2.387 //
   anugrahārthā bhoktṝṇāṃ bhujir ārabhyate yadā /	anugraha arTAH BoktLNAm BujiH AraByate yadA /
   deśakālādyabhedena nānugṛhṇāti tān asau // BVaky_2.388 //	deSa kAla Adi aBedena na anugRhNAti tAn asO // BVakI _2.388 //
   pātrādibhedān nānātvaṃ yasyaikasyopadiśyate /	pAtra Adi BedAt nAnAtvam yasya ekasya upadiSyate /
   viparyaye vā bhinnasya tasyaikatvaṃ prakalpyate // BVaky_2.389 //	viparyaye vA Binnasya tasya ekatvam prakalpyate // BVakI _2.389 //
   saṃhatyāpi ca kurvāṇā bhedena pratipāditāḥ /	saMhatya api ca kurvANAH Bedena pratipAditAH /
   svaṃ svaṃ bhojyaṃ vibhāgena prāptaṃ saṃbhūya bhuñjate // BVaky_2.390 //	svam svam Bojyam viBAgena prAptam saMBUya BuQjate // BVakI _2.390 //
   vīpsāyā viṣayābhāvād virodhād anyasaṃkhyayā /	vIpsAyAH vizaya aBAvAt viroDAt anya saMKyayA /
   dvidhā samāptyayogāc ca śatam saṅghe 'vatiṣṭhate // BVaky_2.391 //	dviDA samApti ayogAt ca Satam saFGe avatizWate // BVakI _2.391 //
   bhujir dvandvaikaśeṣābhyāṃ yatrānyaiḥ saha śiṣyate /	BujiH dvandva eka SezAByAm yatra anyEH saha Sizyate /
   tatrāpi lakṣaṇārthatvād dvidhā vākyaṃ samāpyate // BVaky_2.392 //	tatra api lakzaNa arTa tvAt dviDA vAkyam samApyate // BVakI _2.392 //
   vākyāntarāṇāṃ pratyekaṃ samāptiḥ kaiś cid iṣyate /	vAkya antarANAm pratyekam samAptiH kEH cit izyate /
   rūpāntareṇa yuktānāṃ vākyanāṃ tena saṃgrahaḥ // BVaky_2.393 //	rUpa antareNa yuktAnAm vAkyanAm tena saMgrahaH // BVakI _2.393 //
   na vākyasyābhidheyāni bhedavākyāni kāni cit /	na vAkyasya aBiDeyAni Beda vAkyAni kAni cit /
   tasmiṃs tūccarite bhedāṃs tathānyān pratipadyate // BVaky_2.394 //	tasmin tu uccarite BedAn taTA anyAn pratipadyate // BVakI _2.394 //
   yeṣāṃ samasto vākyārthaḥ pratibhedaṃ samāpyate /	yezAm samastaH vAkya arTaH pratiBedam samApyate /
   teṣāṃ tadānīṃ bhinnasya kiṃ padārthasya sattayā // BVaky_2.395 //	tezAm tadAnIm Binnasya kim padArTasya sat tayA // BVakI _2.395 //
   atha tair eva janitaḥ so 'rtho bhinneṣu vartate /	aTa tEH eva janitaH saH arTaH Binnezu vartate /
   pūrvasyārthasya tena syād virodhaḥ saha vā sthitiḥ // BVaky_2.396 //	pUrvasya arTasya tena syAt viroDaH saha vA sTitiH // BVakI _2.396 //
   sahasthitau virodhitvaṃ syād viśiṣṭāviśiṣṭayoḥ /	saha sTitO viroDi tvam syAt viSizwa aviSizwayoH /
   vyabhicārī tu saṃbandhas tyāge 'rthasya prasajyate // BVaky_2.397 //	vyaBicArI tu saMbanDaH tyAge arTasya prasajyate // BVakI _2.397 //
   ekaḥ sādhāraṇo vācyaḥ pratiśabdam avasthitaḥ /	ekaH sADAraNaH vAcyaH pratiSabdam avasTitaH /
   saṅghe saṅghiṣu cārthātmā samnidhānanideśakaḥ // BVaky_2.398 //	saFGe saFGizu ca arTa AtmA samniDAna nideSakaH // BVakI _2.398 //
   yathā sādhāraṇe svatvaṃ tyāgasya ca phalaṃ dhane /	yaTA sADAraNe sva tvam tyAgasya ca Palam Dane /
   prītiś cāvikalā tadvat saṃbandho 'rthena tadvatām // BVaky_2.399 //	prItiH ca avikalA tadvat saMbanDaH arTena tadvatAm // BVakI _2.399 //
   varṇānām arthavattāyāṃ tenaivārthena tadvati /	varNAnAm arTavat tAyAm tena eva arTena tadvati /
   samudāye na caikatvaṃ bhedena vyavatiṣṭhate // BVaky_2.400 //	samudAye na ca eka tvam Bedena vyavatizWate // BVakI _2.400 //
   ekenaiva pradīpena sarve sādhāraṇaṃ dhanam /	ekena eva pradIpena sarve sADAraNam Danam /
   paśyanti tadvad ekena supā saṃkhyābhidhīyate // BVaky_2.401 //	paSyanti tadvat ekena supA saMKyA aBiDIyate // BVakI _2.401 //
   nārthavattā pade varṇe vākye caivaṃ viśiṣyate /	na arTavattA pade varNe vAkye ca evam viSizyate /
   abhyāsāt prakramo 'nyas tu viruddha iva dṛśyate // BVaky_2.402 //	aByAsAt prakramaH anyaH tu virudDaH iva dRSyate // BVakI _2.402 //
   viniyogād ṛte śabdo na svārthasya prakāśakaḥ /	viniyogAt Rte SabdaH na sva arTasya prakASakaH /
   arthābhidhānasaṃbandham uktidvāraṃ pracakṣate // BVaky_2.403 //	arTa aBiDAna saMbanDam ukti dvAram pracakzate // BVakI _2.403 //
   yathā praṇihitaṃ cakṣur darśanāyopakalpate /	yaTA praNihitam cakzuH darSanAya upakalpate /
   tathābhisaṃhitaḥ śabdo bhavaty arthasya vācakaḥ // BVaky_2.404 //	taTA aBisaMhitaH SabdaH Bavati arTasya vAcakaH // BVakI _2.404 //
   kriyāvyavetaḥ saṃbandho dṛṣṭaḥ karaṇakarmabhiḥ /	kriyA vyavetaH saMbanDaH dRzwaH karaNa karmaBiH /
   abhidhāniyamas tasmād abhidhānābhidheyayoḥ // BVaky_2.405 //	aBiDA niyamaH tasmAt aBiDAna aBiDeyayoH // BVakI _2.405 //
   bahuṣv ekābhidhāneṣu sarveṣv ekārthakāriṣu /	bahuzu eka aBiDAnezu sarvezu eka arTa kArizu /
   yat prayoktābhisaṃdhatte śabdas tatrāvatiṣṭhate // BVaky_2.406 //	yat prayoktA aBisaMDatte SabdaH tatra avatizWate // BVakI _2.406 //
   āmnāyaśabdān abhyāse ke cid āhur anarthakān /	AmnAya SabdAn aByAse ke cit AhuH anarTakAn /
   svarūpamātravṛttīṃś ca pareṣāṃ pratipādane // BVaky_2.407 //	sva rUpa mAtra vRttIn ca parezAm pratipAdane // BVakI _2.407 //
   abhidhānakriyāyogād arthasya pratipādakān /	aBiDAna kriyA yogAt arTasya pratipAdakAn /
   niyogabhedān manyante tān evaikatvadarśinaḥ // BVaky_2.408 //	niyoga BedAn manyante tAn eva eka tva darSinaH // BVakI _2.408 //
   teṣām atyantanānātvaṃ nānātvavyavahāriṇaḥ /	tezAm atyanta nAnA tvam nAnA tva vyavahAriNaH /
   akṣādīnām iva prāhur ekajātisamanvayāt // BVaky_2.409 //	akza AdInAm iva prAhuH eka jAti samanvayAt // BVakI _2.409 //
   prayogād abhisaṃdhānam anyad eṣu na vidyate /	prayogAt aBisaMDAnam anyat ezu na vidyate /
   viṣaye yataśaktitvāt sa tu tatra vyavasthitaḥ // BVaky_2.410 //	vizaye yata Sakti tvAt sa tu tatra vyavasTitaH // BVakI _2.410 //
   nānātvasyaiva saṃjñānam arthaprakaraṇādibhiḥ /	nAnAtvasya eva saMjQAnam arTa prakaraNa AdiBiH /
   na jātv arthāntare vṛttir anyārthānāṃ kathaṃ cana // BVaky_2.411 //	na jAtu arTa antare vRttiH anya arTAnAm kaTam cana // BVakI _2.411 //
   padarūpam ca yad vākyam astitvopanibandhanam /	pada rUpam ca yat vAkyam astitva upanibanDanam /
   kāmaṃ vimarśas tatrāyaṃ na vākyāvayave pade // BVaky_2.412 //	kAmam vimarSaH tatra ayam na vAkya avayave pade // BVakI _2.412 //
   yathaivānarthakair varṇair viśiṣṭo 'rtho 'bhidhīyate /	yaTA eva anarTakEH varNEH viSizwaH arTaH aBiDIyate /
   padair anarthakair evaṃ viśiṣṭo 'rtho 'bhidhīyate // BVaky_2.413 //	padEH anarTakEH evam viSizwaH arTaH aBiDIyate // BVakI _2.413 //
   yad antarāle jñānaṃ tu padārtheṣūpajāyate /	yat antarAle jQAnam tu padArTezu upajAyate /
   pratipatter upāyo 'sau prakramānavadhāraṇāt // BVaky_2.414 //	pratipatteH upAyaH asO prakramAnavaDAraNAt // BVakI _2.414 //
   pūrvair arthair anugato yathārthātmā paraḥ paraḥ /	pUrvEH arTEH anugataH yaTA arTa AtmA paraH paraH /
   saṃsarga eva prakrāntas tathānyeṣv arthavastuṣu // BVaky_2.415 //	saMsargaH eva prakrAntaH taTA anyezu arTa vastuzu // BVakI _2.415 //
   aṅgīkṛte tu keṣāṃ cit sādhyenārthena sādhane /	aFgIkRte tu kezAm cit sADyena arTena sADane /
   ārādhaniyamārthaiva sādhanānāṃ punaḥ śrutiḥ // BVaky_2.416 //	ArADa niyama arTA eva sADanAnAm punar SrutiH // BVakI _2.416 //
   ādhāre niyamābhāvāt tadākṣepo na vidyate /	ADAre niyama aBAvAt tad AkzepaH na vidyate /
   sāmarthyāt saṃbhavas tasya śrutis tv anyanivṛttaye // BVaky_2.417 //	sAmarTyAt saMBavaH tasya SrutiH tu anya nivRttaye // BVakI _2.417 //
   kriyā kriyāntarād bhinnā niyatādhārasādhanā /	kriyA kriyA antarAt BinnA niyata ADAra sADanAH /
   prakrāntā pratipattṝṇāṃ bhedāḥ saṃbodhahetavaḥ // BVaky_2.418 //	prakrAntA pratipattLNAm BedAH saMboDa hetavaH // BVakI _2.418 //
   avibhāgaṃ tu śabdebhyaḥ kramavadbhyo 'padakramam /	aviBAgam tu SabdeByaH kramavadByaH apadakramam /
   prakāśate tadanyeṣāṃ vākyaṃ vākyārtha eva ca // BVaky_2.419 //	prakASate tad anyezAm vAkyam vAkya arTaH eva ca // BVakI _2.419 //
   svarūpaṃ vidyate yasya tasyātmā na nirūpyate /	svarUpam vidyate yasya tasya AtmA na nirUpyate /
   nāsti yasya svarūpaṃ tu tasyaivātmā nirūpyate // BVaky_2.420 //	na asti yasya svarUpam tu tasya eva AtmA nirUpyate // BVakI _2.420 //
   aśabdam apare 'rthasya rūpanirdhāraṇaṃ viduḥ /	aSabdam apare arTasya rUpa nirDAraNam viduH /
   arthāvabhāsarūpā ca śabdebhyo jāyate smṛtiḥ // BVaky_2.421 //	arTa avaBAsa rUpA ca SabdeByaH jAyate smRtiH // BVakI _2.421 //
   anyathaivāgnisaṃbandhād dāhaṃ dagdho 'bhimanyate /	anyaTA eva agni saMbanDAt dAham dagDaH aBimanyate /
   anyathā dāhaśabdena dāhārthaḥ saṃpratīyate // BVaky_2.422 //	anyaTA dAha Sabdena dAha arTaH saMpratIyate // BVakI _2.422 //
   pṛthaṅniviṣṭatattvānāṃ pṛthagarthānupātinām /	pRTak nivizwa tattvAnAm pRTak arTa anupAtinAm /
   indriyāṇāṃ yathā kāryam ṛte dehān na kalpate // BVaky_2.423 //	indriyANAm yaTA kAryam Rte dehAn na kalpate // BVakI _2.423 //
   tathā padānāṃ sarveṣāṃ pṛthagarthaniveśinām /	taTA padAnAm sarvezAm pRTak arTa niveSinAm /
   vākyebhyaḥ pravibhaktānām arthavattā na vidyate // BVaky_2.424 //	vAkyeByaH praviBaktAnAm arTavat tA na vidyate // BVakI _2.424 //
   saṃsargarūpaṃ saṃsṛṣṭeṣv arthavastuṣu gṛhyate /	saMsarga rUpam saMsRzwezu arTa vastuzu gRhyate /
   nātropākhyāyate tattvam apadārthasya darśanāt // BVaky_2.425 //	na atra upAKyAyate tattvam apadArTasya darSanAt // BVakI _2.425 //
   darśanasyāpi yat satyaṃ na tathā darśanaṃ sthitam /	darSanasya api yat satyam na taTA darSanam sTitam /
   vastu saṃsargarūpeṇa tad arūpaṃ nirūpyate // BVaky_2.426 //	vastu saMsarga rUpeNa tat arUpam nirUpyate // BVakI _2.426 //
   astitvenānuṣakto vā nivṛttyātmani vā sthitaḥ /	astitvena anuzaktaH vA nivRtti a Atmani vA sTitaH /
   artho 'bhidhīyate yasmād ato vākyaṃ prayujyate // BVaky_2.427 //	arTaH aBiDIyate yasmAt atas vAkyam prayujyate // BVakI _2.427 //
   kriyānuṣaṅgeṇa vinā na padārthaḥ pratīyate /	kriyA anuzaFgeNa vinA na padArTaH pratIyate /
   satyo vā viparīto vā vyavahāre na so 'sty ataḥ // BVaky_2.428 //	satyaH vA viparItaH vA vyavahAre na saH asti atas // BVakI _2.428 //
   sad ity etat tu yad vākyaṃ tad abhūd asti neti vā /	sat iti etat tu yat vAkyam tat aBUt asti na iti vA /
   kriyābhidhānasaṃbandham antareṇa na gamyate // BVaky_2.429 //	kriyA aBiDAna saMbanDam antareNa na gamyate // BVakI _2.429 //
   ākhyātapadavācye 'rthe sādhanopanibandhane /	AKyAta pada vAcye arTe sADana upanibanDane /
   vinā sattvābhidhānena nākāṅkṣā vinivartate // BVaky_2.430 //	vinA sattva aBiDAnena na AkAFkzA vinivartate // BVakI _2.430 //
   prādhānyāt tu kriyā pūrvam arthasya pravibhajyate /	prADAnyAt tu kriyA pUrvam arTasya praviBajyate /
   sādhyaprayuktāny aṅgāni phalaṃ tasya prayojakam // BVaky_2.431 //	sADya prayuktAni aFgAni Palam tasya prayojakam // BVakI _2.431 //
   prayoktaivābhisaṃdhatte sādhyasādhanarūpatām /	prayoktA eva aBisaMDatte sADya sADana rUpa tAm /
   arthasya cābhisaṃbandha  kalpanāṃ prasamīhate // BVaky_2.432 //	arTasya ca aBisaMbanDa kalpanAm prasamIhate // BVakI _2.432 //
   pacikriyāṃ karotīti karmatvenābhidhīyate /	pacikriyAm karoti iti karma tvena aBiDIyate /
   paktiḥ karaṇarūpaṃ tu sādhyatvena pratīyate // BVaky_2.433 //	paktiH karaNa rUpam tu sADya tvena pratIyate // BVakI _2.433 //
   yo 'ṃśo yenopakāreṇa prayoktṝṇāṃ vivakṣitaḥ /	yaH aMSaH yena upakAreNa prayoktLNAm vivakzitaH /
   arthasya sarvaśaktitvāt sa tathaiva vyavasthitaḥ // BVaky_2.434 //	arTasya sarva Sakti tvAt sa taTA eva vyavasTitaH // BVakI _2.434 //
   ārādvṛttiṣu saṃbandhaḥ kadā cid abhidhīyate /	ArAt vRttizu saMbanDaH kadA cit aBiDIyate /
   āśliṣṭo yo 'nupaśliṣṭaḥ sa kadā cit pratīyate // BVaky_2.435 //	ASlizwaH yaH anupaSlizwaH sa kadA cit pratIyate // BVakI _2.435 //
   saṃsṛṣṭānāṃ vibhaktatvaṃ saṃsargaś ca vivekinām /	saMsRzwAnAm viBakta tvam saMsargaH ca vivekinAm /
   nānātmakānām ekatvaṃ nānātvaṃ ca viparyaye // BVaky_2.436 //	nAnA AtmakAnAm eka tvam nAnAtvam ca viparyaye // BVakI _2.436 //
   sarvātmakatvād arthasya nairātmyād vā vyavasthitam /	sarva Atmaka tvAt arTasya nErAtmyAt vA vyavasTitam /
   atyantayataśaktitvāc chabda eva nibandhanam // BVaky_2.437 //	atyantayata Sakti tvAt SabdaH eva nibanDanam // BVakI _2.437 //
   vastūpalakṣaṇaḥ śabdo nopakārasya vācakaḥ /	vastu upalakzaNaH SabdaH na upakArasya vAcakaH /
   na svaśaktiḥ padārthānāṃ saṃspraṣṭuṃ tena śakyate // BVaky_2.438 //	na sva SaktiH padArTAnAm saMsprazwum tena Sakyate // BVakI _2.438 //
   saṃbandhidharmā saṃyogaḥ svaśabdenābhidhīyate /	saMbanDi DarmA saMyogaH sva Sabdena aBiDIyate /
   saṃbandhaḥ samavāyas tu saṃbandhitvena gamyate // BVaky_2.439 //	saMbanDaH samavAyaH tu saMbanDi tvena gamyate // BVakI _2.439 //
   lakṣaṇād vyavatiṣṭhante padārthā na tu vastutaḥ /	lakzaNAt vyavatizWante padArTAH na tu vastutas /
   upakārāt sa evārthaḥ kathaṃ cid anugamyate // BVaky_2.440 //	upakArAt saH eva arTaH kaTam cit anugamyate // BVakI _2.440 //
   vākyārtho yo 'bhisaṃbandho na tasyātmā kva cit sthitaḥ /	vAkya arTaH yaH aBisaMbanDaH na tasya AtmA kva cit sTitaH /
   vyavahāre padārthānāṃ tam ātmānaṃ pracakṣate // BVaky_2.441 //	vyavahAre padArTAnAm tam AtmAnam pracakzate // BVakI _2.441 //
   padārthe samudāye vā samāpto naiva vā kva cit /	padArTe samudAye vA samAptaH na eva vA kva cit /
   padārtharūpabhedena tasyātmā pravibhajyate // BVaky_2.442 //	padArTa rUpa Bedena tasya AtmA praviBajyate // BVakI _2.442 //
   anvākhyānāya yo bhedaḥ pratipattinibandhanam /	anvAKyAnAya yaH BedaH pratipatti nibanDanam /
   sākāṅkṣāvayavaṃ bhede tenānyad upavarṇyate // BVaky_2.443 //	sa AkAFkza avayavam Bede tena anyat upavarNyate // BVakI _2.443 //
   anekaśakter ekasya pravibhāgo 'nugamyate /	aneka SakteH ekasya praviBAgaH anugamyate /
   ekārthatvaṃ hi vākyasya mātrayāpi pratīyate // BVaky_2.444 //	eka arTa tvam hi vAkyasya mAtrayA api pratIyate // BVakI _2.444 //
   saṃpratyayārthād bāhyo 'rthaḥ sann asan vā vibhajyate /	saMpratyaya arTAt bAhyaH arTaH san asan vA viBajyate /
   bāhyīkṛtya vibhāgas tu śaktyapoddhāralakṣaṇaḥ // BVaky_2.445 //	bAhyIkRtya viBAgaH tu Sakti apa udDAra lakzaNaH // BVakI _2.445 //
   pratyayārthātmaniyatāḥ śaktayo na vyavasthitāḥ /	pratyaya arTa Atma niyatAH SaktayaH na vyavasTitAH /
   anyatra ca tato rūpaṃ na tāsām upalabhyate // BVaky_2.446 //	anyatra ca tatas rUpam na tAsAm upalaByate // BVakI _2.446 //
   bahuśv api tiṅanteṣu sākāṅkṣeṣv ekavākyatā /	bahuSv api tiFantezu sa AkAFkzezu eka vAkyatA /
   tiṅā tiṅbhyo nighātasya paryudāsas tathārthavān // BVaky_2.447 //	tiFA tiFByaH niGAtasya paryudAsaH taTA arTavAn // BVakI _2.447 //
   ekatiṅ yasya vākyaṃ tu śāstre niyatalakṣaṇam /	ekatiF yasya vAkyam tu SAstre niyata lakzaNam /
   tasyātiṅgrahaṇenārtho vākyabhedān na vidyate // BVaky_2.448 //	tasya atiFgrahaNena arTaH vAkya BedAt na vidyate // BVakI _2.448 //
   tiṅantāntarayukteṣu yuktayukteṣu vā punaḥ /	tiFantA antara yuktezu yukta yuktezu vA punar /
   mṛgaḥ paśyata yātīti bhedābhedau na tiṣṭhataḥ // BVaky_2.449 //	mRgaH paSyata yAti iti Beda aBedO na tizWataH // BVakI _2.449 //
   itikartavyatārthasya sāmarthyād yatra kāṅkṣyate /	itikartavya tA arTasya sAmarTyAt yatra kAFkzyate /
   aśabdalakṣaṇākāṅkṣaṃ samāptārthaṃ tad ucyate // BVaky_2.450 //	aSabda lakzaNa AkAFkzam samApta arTam tat ucyate // BVakI _2.450 //
   tattvānvākhyānamātre tu yāvān artho 'nuṣajyate /	tattva anvAKyAna mAtre tu yAvAn arTaH anuzajyate /
   vināpi tatprayogeṇa śruter vākyaṃ samāpyate // BVaky_2.451 //	vinA api tad prayogeNa SruteH vAkyam samApyate // BVakI _2.451 //
   ciṅkramyamāṇo 'dhīṣvātra japaṃś caṅkramaṇaṃ kuru /	ciFkramyamANaH aDIzva atra japan caFkramaNam kuru /
   tādarthyasyāviśeṣe 'pi śabdād bhedaḥ pratīyate // BVaky_2.452 //	tAdarTyasya aviSeze api SabdAt BedaH pratIyate // BVakI _2.452 //
   phalavantaḥ kriyābhedāḥ kriyāntaranibandhanāḥ /	PalavantaH kriyA BedAH kriyA antara nibanDanAH /
   asaṃkhyātāḥ kramoddeśair ekākhyātanidarśitāḥ // BVaky_2.453 //	asaMKyAtAH krama uddeSEH eka AKyAta nidarSitAH // BVakI _2.453 //
   nivṛtabhedā sarvaiva kriyākhyāte 'bhidhīyate /	nivRta BedA sarvA eva kriyA AKyAte aBiDIyate /
   śruter aśakyā bhedānāṃ pravibhāgaprakalpanā // BVaky_2.454 //	SruteH aSakyA BedAnAm praviBAga prakalpanAH // BVakI _2.454 //
   aśvamedhena yakṣyante rājānaḥ sattram āsate /	aSvameDena yakzyante rAjAnaH sattram Asate /
   brāhmaṇā iti nākhyāta  rūpād bhedaḥ pratīyate // BVaky_2.455 //	brAhmaNAH iti na AKyAta rUpAt BedaH pratIyate // BVakI _2.455 //
   sakṛc chrutā saptadaśasv anāvṛttāpi yā kriyā /	sakRt SrutA saptadaSasu anAvRttA api yA kriyA /
   prajāpatyeṣu sāmarthyāt sā bhedaṃ pratipadyate // BVaky_2.456 //	prajApatyezu sAmarTyAt sA Bedam pratipadyate // BVakI _2.456 //
   devadattādiṣu bhujiḥ pratyekam avatiṣṭhate /	devadatta Adizu BujiH pratyekam avatizWate /
   pratisvatantraṃ vākyaṃ vā bhedena pratipadyate // BVaky_2.457 //	pratisvatantram vAkyam vA Bedena pratipadyate // BVakI _2.457 //
   uccāraṇe tu vākyānām anyad rūpaṃ na gṛhyate /	uccAraNe tu vAkyAnAm anyat rUpam na gRhyate /
   pratipattau tu bhinnānām anyad rūpaṃ pratīyate // BVaky_2.458 //	pratipattO tu BinnAnAm anyat rUpam pratIyate // BVakI _2.458 //
   ekaṃ grahaṇavākyaṃ ca sāmānyenābhidhīyate /	ekam grahaNa vAkyam ca sAmAnyena aBiDIyate /
   kartarīti yathā tac ca paśvādiṣu vibhajyate // BVaky_2.459 //	kartarI iti yaTA tat ca paSu Adizu viBajyate // BVakI _2.459 //
   yadi ākāṅkṣā nivarteta tadbhūtasya sakṛc chrutau /	yadi AkAFkzA nivarteta tad BUtasya sakRt SrutO /
   naivānyenābhisaṃbandhaṃ tad upeyāt kathaṃ cana // BVaky_2.460 //	na eva anyena aBisaMbanDam tat upeyAt kaTam cana // BVakI _2.460 //
   ekarūpam anekārthaṃ tasmād upanibandhanam /	eka rUpam aneka arTam tasmAt upanibanDanam /
   yonir vibhāgavākyānāṃ tebhyo 'nanyad iva sthitam // BVaky_2.461 //	yoniH viBAga vAkyAnAm teByaH ananyat iva sTitam // BVakI _2.461 //
   kva cit kriyā vyaktibhāgair upakāre pravartate /	kva cit kriyA vyakti BAgEH upakAre pravartate /
   sāmānyabhāga evāsyāḥ kva cid arthasya sādhakaḥ // BVaky_2.462 //	sAmAnya BAgaH eva asyAH kva cit arTasya sADakaH // BVakI _2.462 //
   kālabhinnāś ca ye bhedā ye cāpy uṣṭrāsikādiṣu /	kAla BinnAH ca ye BedAH ye ca api uzwrAsikA Adizu /
   prakrame jātibhāgasya śabdātmā tair na bhidyate // BVaky_2.463 //	prakrame jAti BAgasya Sabda AtmA tEH na Bidyate // BVakI _2.463 //
   ekasaṃkhyeṣu bhedeṣu bhinnā jātyādibhiḥ kriyāḥ /	eka saMKyezu Bedezu BinnAH jAti AdiBiH kriyAH /
   bhedena viniyujyante tacchabdasya sakṛc chrutau // BVaky_2.464 //	Bedena viniyujyante tad Sabdasya sakRt SrutO // BVakI _2.464 //
   akṣādeṣu yathā bhinnā bhakṣibhañjidivikriyāḥ /	akzAdezu yaTA BinnAH Bakzi BaQji divikriyAH /
   prayogakālābhede 'pi pratibhedaṃ pṛthak sthitāḥ // BVaky_2.465 //	prayoga kAla aBede api pratiBedam pRTak sTitAH // BVakI _2.465 //
   akṣiṇāṃ tantriṇāṃ tantram upāyas tulyarūpatā /	akziNAm tantriNAm tantram upAyaH tulya rUpa tA /
   eṣāṃ kramo vibhaktānāṃ tannibaddhā sakṛc chrutiḥ // BVaky_2.466 //	ezAm kramaH viBaktAnAm tat nibadDA sakRt SrutiH // BVakI _2.466 //
   dvāv apy upāyau śabdānāṃ prayoge samavasthitau /	dvO api upAyO SabdAnAm prayoge samavasTitO /
   kramo vā yaugapadyaṃ vā yau loko nātivartate // BVaky_2.467 //	kramaH vA yOgapadyam vA yO lokaH na ativartate // BVakI _2.467 //
   krame vibhajyate rūpaṃ yaugapadye na bhidyate /	krame viBajyate rUpam yOgapadye na Bidyate /
   kriyā tu yaugapadye 'pi kramarūpānupātinī // BVaky_2.468 //	kriyA tu yOgapadye api krama rUpa anupAtinI // BVakI _2.468 //
   bhedasaṃsargaśaktī dve śabdād bhinne iva sthite /	Beda saMsarga SaktI dve SabdAt Binne iva sTite /
   yaugapadye 'py anekena prayoge bhidyate śrutiḥ // BVaky_2.469 //	yOgapadye api anekena prayoge Bidyate SrutiH // BVakI _2.469 //
