   Ḍhuṇḍhukanātha: Rasendracintāmaṇi	ḌhuNXuka-nATa: RasendracintAmaNi
   sūtaṃ gandhaṃ sarvasāmyena kūpyāmīṣatsādhyaṃ cātra no vismayadhvam //	sUtam ganDam sarva-sAmyena kUpyAm-Izat-sADyam ca-atra naH vismayaDvam //
   RCint_3.167 //	RCint-_3.167 //
   <hemakṛṣṭi:: production>	<hema-kRzwi:: production>
   rasadaradatāpyagandhakamanaḥśilābhiḥ krameṇa vṛddhābhiḥ /	rasadarada-tApya-ganDaka-manaHSilABiH krameNa vRdDABiH /
   puṭamṛtaśulbaṃ tāre trirvyūḍhaṃ hemakṛṣṭiriyam // RCint_3.168 //	puwa-mRta-Sulbam tAre tris-vyUXam hema-kRzwiH-iyam // RCint-_3.168 //
   <śatāṃśavidhi (1)>	<Sata-aMSa-viDi (1)>
   aṣṭānavatibhāgaṃ ca rūpyamekaṃ ca hāṭakam /	azwAnavati-BAgam ca rUpyam-ekam ca hAwakam /
   sūtaikena ca vedhaḥ syācchatāṃśavidhir īritaḥ // RCint_3.169 //	sUta-ekena ca veDaH syAt-Sata-aMSa-viDiH IritaH // RCint-_3.169 //
   <śatāṃśavidhi (2)>	<Sata-aMSa-viDi (2)>
   candrasyaikonapañcāśattathā śuddhasya bhāsvataḥ /	candrasya-ekonapaQcASat-taTA SudDasya BAsvataH /
   vahnirekaḥ śambhurekaḥ śatāṃśavidhirīritaḥ // RCint_3.170 //	vahniH-ekaH SamBuH-ekaH Sata-aMSa-viDiH-IritaH // RCint-_3.170 //
   dvāveva rajatayonitāmrayonitvenopacaryete /	dvO=-eva rajata-yoni-tAmra-yoni-tvena-upacaryete /
   evaṃ sahasravedhādayo jāraṇabījavaśād anusartavyāḥ // RCint_3.171 //	evam sahasra-veDa-AdayaH jAraNa-bIja-vaSAt anusartavyAH // RCint-_3.171 //
   <vedhavidhāna>	<veDa-viDAna>
   catvāraḥ prativāpāḥ sulakṣayā matsyapittabhāvitayā /	catvAraH prativApAH su-lakzayA matsya-pitta-BAvitayA /
   tāre vā śulbe vā tārāriṣṭe'thavā kṛṣṭau // RCint_3.172 //	tAre vA Sulbe vA tArArizwe-aTavA kRzwO // RCint-_3.172 //
   tadanu krāmaṇamṛditaḥ sikthakapariveṣṭito deyaḥ /	tadanu krAmaNa-mRditaH sikTaka-parivezwitaH deyaH /
   atividrute ca tasmin vedho'sau kuntavedhena // RCint_3.173 //	ati-vidrute ca tasmin veDaH-asO kuntaveDena // RCint-_3.173 //
   tadanu siddhatailenāplāvya bhasmāvachādanapūrvakam avatārya	tadanu sidDa-tElena-AplAvya Basma-avaCAdana-pUrvakam avatArya
   svāṅgaśaityaparyantam apekṣitavyamiti // RCint_3.174 //	svAFgaSEtya-paryantam apekzitavyam-iti // RCint-_3.174 //
   <selling factitious gold/silver>	<sellinc factitiouH gold/silver>
   viddhaṃ rasena yaddravyaṃ pakṣārdhaṃ sthāpayedbhuvi /	vidDam rasena yat-dravyam pakza-arDam sTApayet-Buvi /
   tata ānīya nagare vikrīṇīta vicakṣaṇaḥ // RCint_3.175 //	tatas AnIya nagare vikrINIta vicakzaNaH // RCint-_3.175 //
   <bubhukṣitavidhiḥ>	<buBukzita-viDiH>
   samarpitaḥ saindhavakhaṇḍakoṭare vidhāya piṣṭiṃ sikatākhyayantre /	samarpitaH sEnDava-KaNxa-koware viDAya pizwim sikata-AKya-yantre /
   viśuddhagandhādibhirīṣadagninā samastam aśnātyaśanīyam īśajaḥ //	viSudDa-ganDa-AdiBiH-Izat-agninA samastam aSnAti-aSanIyam ISa-jaH //
   RCint_3.176 //	RCint-_3.176 //
   <rañjana (??)>	<raQjanaH (??)>
   karṣāṣṭaṅkaṇakañjalīharirasair gandhasya ca dvau rajaḥ siddhākhyaṃ	karzAH-waFkaNa-kaQjalI-hari-rasEH ganDasya ca dvO rajaH sidDa-AKyam
   sakalaiḥ kṛtaṃ palamatha dvitraiśca lohaiḥ śritam /	sakalEH kRtam palam-aTa dvitrEH-ca lohEH Sritam /
   bhūyo gandhayutaṃ caturdaśapuṭaiḥ syādindragopāruṇaṃ tattāre laghunā	BUyas ganDa-yutam caturdaSa-puwEH syAt-indragopa-aruNam tat-tAre laGunA
   puṭena dhamanenārkachavīm īhate // RCint_3.177 //	puwena Damanena-arka-CavIm Ihate // RCint-_3.177 //
   karṣā iti bahuvacanāttrayaḥ /	karzAH iti bahuvacanAt-trayaH /
   karmāsya tridhā patralepeneti jñeyam // RCint_3.178 //	karma-asya triDA patra-lepena-iti jQeyam // RCint-_3.178 //
   <gold:: production>	<gold:: productiA-Un>
   tulyaṃ tāraṃ tāmram ādāya svacchaṃ tāvattaptaṃ gandhacūrṇe kunaṭyām /	tulyam tAram tAmram AdAya svacCam tAvat-taptam ganDa-cUrNe kunawyAm /
   nyastaṃ yāvajjīryate khaṇḍaśo'tha prājyairgādhaiḥ pācayetkācakūpyām //	nyastam yAvat-jIryate KaNxaSas-aTa prAjyEH-gADEH pAcayet-kAca-kUpyAm //
   RCint_3.179 //	RCint-_3.179 //
   khaṇḍākāraṃ tādṛśaṃ ṭaṅkaṇena svarṇāntaḥsthaṃ bhasmamūṣāntarāle /	KaNxa-AkAram tAdRSam waFkaNena svarNa-antaHsTam BasmamUzA-antarAle /
   dhmātaṃ sādhu syātsuvarṇaṃ satāraṃ hīne varṇe rañjayenmākṣikeṇa //	DmAtam sADu syAt-suvarNam sa-tAram hIne varNe raQjayet-mAkzikeNa //
   RCint_3.180 //	RCint-_3.180 //
   <copper:: preparing a dravīkāraka>	<ca-upper:: preparing a dravIkAraka>
   tālatāmraśilāgandhasaṃyutaṃ daradaṃ yadi /	tAla-tAmra-SilA-ganDa-saMyutam daradam yadi /
   kūpikāyāṃ muhuḥ pakvaṃ dravakāri tadā matam // RCint_3.181 //	kUpikAyAm muhur pakvam drava-kAri tadA matam // RCint-_3.181 //
   <kṣetrīkaraṇam>	<kzetrIkaraNam>
   snigdhaṃ svinnaṃ viriktaṃ yannīrujaṃ siddhabheṣajaiḥ /	snigDam svinnam viriktam yat-nIrujam sidDa-BezajEH /
   etatkṣetraṃ samāsena rasabījārpaṇakṣayam // RCint_3.182 //	etat-kzetram samAsena rasa-bIja-arpaNa-kzayam // RCint-_3.182 //
   <pañcakarmāṇi>	<paQca-karmANi>
   snigdhaṃ prātastridinaṃ ghṛtasaindhavapānena svinnaṃ vastrādipuṭavahninā	snigDam prAtar-tri-dinam GRta-sEnDava-pAnena svinnam vastra-Adi-puwa-vahninA
   viriktam icchābhedinā vāntaṃ vacādirasena	viriktam icCA-BedinA vAntam vacA-Adi-rasena
   palāśabījaviḍaṅgaguḍamodakabhakṣaṇāt kīṭapātanam api kartavyam /	palASa-bIja-vixaFga-guxa-modaka-BakzaNAt kIwa-pAtanam api kartavyam /
   nīrujaṃ saṃvatsaramayanaṃ vā pariśodhitaiḥ	nIrujam saMvatsaram-ayanam vA pariSoDitEH
   śṛṅgārābhralakṣmīvilāsādyabhrasattvapradhānaprayogair iti // RCint_3.183	SRFgAra-aBra-lakzmI-vilAsa-Adi-aBra-sattva-praDAna-prayogEH iti // RCint-_3.183
   nimbakvāthaṃ bhasmasūtaṃ vacācūrṇayutaṃ pibet /	nimba-kvATam Basma-sUtam vacA-cUrNa-yutam pibet /
   pītāntaṃ vamanaṃ tena jāyate kleśavarjitam // RCint_3.184 //	pIta-antam vamanam tena jAyate kleSa-varjitam // RCint-_3.184 //
   pañcakarmabhayatrastaiḥ sukumārairnarairiha /	paQcakarma-Baya-trastEH sukumArEH-narEH-iha /
   recanānte idaṃ sevyaṃ sarvadoṣāpanuttaye // RCint_3.185 //	recana-ante idam sevyam sarva-doza-apanuttaye // RCint-_3.185 //
   akṣetrīkaraṇe sūto mṛto'pi viṣavadbhavet /	akzetrIkaraNe sUtaH mRtaH-api viza-vat-Bavet /
   phalasiddhiḥ kutastasya subījasyoṣare yathā // RCint_3.186 //	Pala-sidDiH kutas-tasya su-bIjasya-Uzare yaTA // RCint-_3.186 //
   akṛte kṣetrīkaraṇe rasāyanaṃ yo naraḥ prayuñjīta /	akRte kzetrIkaraNe rasAyanam yaH naraH prayuQjIta /
   tasya krāmati na rasaḥ sarvāṅgadoṣakṛdbhavati // RCint_3.187 //	tasya krAmati na rasaH sarva-aFga-doza-kRt-Bavati // RCint-_3.187 //
   kartavyaṃ kṣetrakaraṇaṃ sarvasmiṃśca rasāyane /	kartavyam kzetrakaraNam sarvasmin=-ca rasAyane /
   na kṣetrakaraṇāddevi kiṃcit kuryād rasāyanam // RCint_3.188 //	na kzetrakaraNAt-devi kiMcid kuryAt rasAyanam // RCint-_3.188 //
   iti śuddho jātabalaḥ śālyodanajāṅgalādimudgarasaiḥ /	iti SudDaH jAta-balaH SAlyodana-jAFgala-Adi-mudga-rasEH /
   kṣetrīkṛtanijadehaḥ kurvīta rasāyanaṃ matimān // RCint_3.189 //	kzetrIkRta-nija-dehaH kurvIta rasAyanam matimAn // RCint-_3.189 //
   mṛtābhraṃ bhakṣayenmāsam ekam ādau vicakṣaṇaḥ /	mRta-aBram Bakzayet-mAsam ekam AdO vicakzaNaH /
   paścātsa yojyatāṃ dehe kṣetrīkaraṇamicchatā // RCint_3.190 //	paScAt-sa yojyatAm dehe kzetrIkaraNam-icCatA // RCint-_3.190 //
   ghanasattvapādajīrṇo 'rdhakāntajīrṇaśca tīkṣṇasamajīrṇaḥ /	Gana-sattva-pAda-jIrNaH arDa-kAnta-jIrNaH-ca tIkzNa-sama-jIrNaH /
   kṣetrīkaraṇāya rasaḥ prayujyate bhūya ārogyāya // RCint_3.191 //	kzetrIkaraNAya rasaH prayujyate BUyas ArogyAya // RCint-_3.191 //
   yo'gnisahatvaṃ prāptaḥ saṃjāto hematārakartā ca /	yaH-agni-saha-tvam prAptaH saMjAtaH hema-tAra-kartA ca /
   śuddho rasaśca bhuktau vidhinā siddhiprado bhavati // RCint_3.192 //	SudDaH rasaH-ca BuktO viDinA sidDi-pradaH Bavati // RCint-_3.192 //
   <mercury:: jīrṇa:: right measure>	<mercuH-y:: jIrNa:: riGt measure>
   ghanasattvakāntatāmrasaṅkaratīkṣṇādijīrṇasya /	Gana-sattva-kAnta-tAmra-saFkara-tIkzNa-Adi-jIrNasya /
   sūtasya guñjāvṛddhyā māṣakamātraṃ parā mātrā // RCint_3.193 //	sUtasya guQjA-vRdDyA mAzaka-mAtram parA mAtrA // RCint-_3.193 //
   guñjāmātraṃ rasaṃ devi hemajīrṇaṃ tu bhakṣayet /	guQjA-mAtram rasam devi hema-jIrNam tu Bakzayet /
   dviguṇaṃ tārajīrṇasya ravijīrṇasya ca trayam // RCint_3.194 //	dviguNam tAra-jIrNasya ravi-jIrNasya ca trayam // RCint-_3.194 //
   tīkṣṇābhrakāntamāṣaikaṃ prāyo mātreti kīrtitā /	tIkzNa-aBra-kAnta-mAza-ekam prAyas mAtrA-iti kIrtitA /
   vajravaikrāntajīrṇaṃ tu bhakṣayetsarṣapopamam // RCint_3.195 //	vajra-vEkrAnta-jIrNam tu Bakzayet-sarzapa-upamam // RCint-_3.195 //
   nāgavaṅgādibhir baddhaṃ viṣopaviṣabandhitam /	nAga-vaFga-AdiBiH badDam viza-upaviza-banDitam /
   mūtraśukrahaṭhād baddhaṃ tyajetkalpe rasāyane // RCint_3.196 //	mUtra-Sukra-haWAt badDam tyajet-kalpe rasAyane // RCint-_3.196 //
   <mercury:: jīrṇa:: longevity>	<mercuH-y:: jIrNa:: longeviti->
   bhasmanastīkṣṇajīrṇasya lakṣāyuḥ palabhakṣaṇāt /	BasmanaH-tIkzNa-jIrNasya lakza-AyuH pala-BakzaNAt /
   evaṃ bhuktvā daśapalaṃ tīkṣṇajīrṇasya mānavaḥ /	evam BuktvA daSa-palam tIkzNa-jIrNasya mAnavaH /
   tadā jīvenmahākalpaṃ pralayānte śivaṃ vrajet // RCint_3.197 //	tadA jIvet-mahA-kalpam pralaya-ante Sivam vrajet // RCint-_3.197 //
   bhasmanaḥ śulbajīrṇasya lakṣāyuḥ palabhakṣaṇāt /	BasmanaH Sulba-jIrNasya lakza-AyuH pala-BakzaNAt /
   koṭyāyurbrāhmamāyuṣyaṃ vaiṣṇavaṃ rudrajīvitam /	kowI-AyuH-brAhmam-Ayuzyam vEzNavam rudra-jIvitam /
   dvitricatuḥpañcaṣaṣṭhe mahākalpāyurīśvaraḥ // RCint_3.198 //	dvi-tri-catur-paQca-zazWe mahA-kalpa-AyuH-ISvaraH // RCint-_3.198 //
   bhasmano hemajīrṇasya lakṣāyuḥ palabhakṣaṇāt /	BasmanaH hema-jIrNasya lakza-AyuH pala-BakzaNAt /
   viṣṇurudraśivatvaṃ ca dvitricaturbhirāpnuyāt // RCint_3.199 //	vizNu-rudra-Siva-tvam ca dvi-tri-caturBiH-ApnuyAt // RCint-_3.199 //
   guñjāmātraṃ hemajīrṇaṃ jñātvā cāgnibalābalam /	guQjA-mAtram hema-jIrNam jQAtvA ca-agni-bala-abalam /
   ghṛtena madhunā cādyāttāmbūlaṃ kāminīṃ tyajet // RCint_3.200 //	GRtena maDunA ca-adyAt-tAmbUlam kAminIm tyajet // RCint-_3.200 //
   eko hi doṣaḥ sūkṣmo'sti bhakṣite bhasmasūtake /	ekaH hi dozaH sUkzmaH-asti Bakzite Basma-sUtake /
   trisaptāhādvarārohe kāmāndho jāyate naraḥ // RCint_3.201 //	tri-sapta-ahAt-varArohe kAma-anDaH jAyate naraH // RCint-_3.201 //
   nārīsaṃgādvinā devi hyajīrṇaṃ tasya jāyate /	nArI-saMgAt-vinA devi hi-ajIrNam tasya jAyate /
   maithunāccalite śukre jāyate prāṇasaṃśayaḥ // RCint_3.202 //	mETunAt-calite Sukre jAyate prANa-saMSayaH // RCint-_3.202 //
   yuvatyā jalpanaṃ kāryaṃ tāvattanmaithunaṃ tyajet // RCint_3.203 //	yuvatyA jalpanam kAryam tAvat-tat-mETunam tyajet // RCint-_3.203 //
   brahmacaryeṇa vā yogī sadā seveta sūtakam /	brahmacaryeNa vA yogI sadA seveta sUtakam /
   samādhikaraṇaṃ tasya krāmaṇaṃ paramaṃ matam // RCint_3.204 //	samADi-karaNam tasya krAmaNam paramam matam // RCint-_3.204 //
   prabhāte bhakṣayetsūtaṃ pathyaṃ yāmadvayādhike /	praBAte Bakzayet-sUtam paTyam yAma-dvaya-aDike /
   na laṅghayet triyāmaṃ tu madhyāhne caiva bhojayet // RCint_3.205 //	na laFGayet tri-yAmam tu maDyAhne ca-eva Bojayet // RCint-_3.205 //
   sakaṇāmamṛtāṃ bhuktvā male baddhe svapenniśi /	sa-kaNAm-amRtAm BuktvA male badDe svapet-niSi /
   tāmbūlāntargate sūte kiṭṭabandho na jāyate // RCint_3.206 //	tAmbUla-antargate sUte kiwwabanDaH na jAyate // RCint-_3.206 //
   <mercury:: sevana:: rules of conduct>	<meH-cuH-y:: sevana:: ruleH of ca-unduct>
   atipānaṃ cātyaśanam atinidrāṃ prajāgaram /	atipAnam ca-ati-aSanam ati-nidrAm prajAgaram /
   strīṇām atiprasaṅgaṃ cāpyadhvānaṃ ca vivarjayet // RCint_3.207 //	strINAm atiprasaFgam ca-api-aDvAnam ca vivarjayet // RCint-_3.207 //
   atikopaṃ cātiharṣaṃ nātiduḥkham atispṛhām /	ati-kopam ca-ati-harzam na-ati-duHKam ati-spRhAm /
   śuṣkavādaṃ jalakrīḍām aticintāṃ ca varjayet // RCint_3.208 //	Suzka-vAdam jala-krIxAm ati-cintAm ca varjayet // RCint-_3.208 //
   <kakārāṣṭaka>	<kakAra-azwaka>
   kūṣmāṇḍakaṃ karkaṭīṃ ca kaliṅgaṃ kāravellakam /	kUzmANxakam karkawIm ca kaliFgam kAravellakam /
   kusumbhikāṃ ca karkoṭīṃ kadalīṃ kākamācikām // RCint_3.209 //	kusumBikAm ca karkowIm kadalIm kAkamAcikAm // RCint-_3.209 //
   kakārāṣṭakametaddhi varjayedrasabhakṣakaḥ /	kakArAzwakam-etat-hi varjayet-rasa-BakzakaH /
   pātakaṃ ca na kartavyaṃ paśusaṅgaṃ ca varjayet // RCint_3.210 //	pAtakam ca na kartavyam paSu-saFgam ca varjayet // RCint-_3.210 //
   catuṣpathe na gantavyaṃ viṇmūtraṃ ca na laṅghayet /	catuzpaTe na gantavyam viz-mUtram ca na laFGayet /
   dhīrāṇāṃ nindanaṃ devi strīṇāṃ nindāṃ ca varjayet // RCint_3.211 //	DIrANAm nindanam devi strINAm nindAm ca varjayet // RCint-_3.211 //
   satyena vacanaṃ brūyādapriyaṃ na vadedvacaḥ /	satyena vacanam brUyAt-apriyam na vadet-vacaH /
   kulatthānatasītailaṃ tilānmāṣānmasūrakān // RCint_3.212 //	kulatTAn-atasI-tElam tilAn-mAzAn-masUrakAn // RCint-_3.212 //
   kapotān kāñjikaṃ caiva takrabhaktaṃ ca varjayet /	kapotAn kAQjikam ca-eva takra-Baktam ca varjayet /
   hemacandrādayaḥ prāhuḥ kukkuṭānapi varjayet // RCint_3.213 //	hema-candra-AdayaH prAhuH kukkuwAn-api varjayet // RCint-_3.213 //
   kaṭvamlatiktalavaṇaṃ pittalaṃ vātalaṃ ca yat /	kawu-amla-tikta-lavaNam pittalam vAtalam ca yat /
   badaraṃ nārikelaṃ ca sahakāraṃ suvarcalam // RCint_3.214 //	badaram nArikelam ca sahakAram suvarcalam // RCint-_3.214 //
   nāgaraṅgaṃ kāmaraṅgaṃ śobhāñjanamapi tyajet /	nAgaraFgam kAma-raFgam SoBAQjanam-api tyajet /
   na vādajalpanaṃ kuryāddivā cāpi na paryaṭet // RCint_3.215 //	na vAda-jalpanam kuryAt-divA ca-api na paryawet // RCint-_3.215 //
   naivedyaṃ naiva bhuñjati karpūraṃ varjayetsadā /	nEvedyam na-eva BuQjati karpUram varjayet-sadA /
   kuṅkumālepanaṃ varjyaṃ na svapetkuśalaḥ kṣitau // RCint_3.216 //	kuFkuma-Alepanam varjyam na svapet-kuSalaH kzitO // RCint-_3.216 //
   na ca hanyātkumārīṃ ca mātulānīṃ ca varjayet /	na ca hanyAt-kumArIm ca mAtulAnIm ca varjayet /
   kṣudhārto naiva tiṣṭheta hyajīrṇaṃ naiva kārayet /	kzuDA-ArtaH na-eva tizWeta hi-ajIrNam na-eva kArayet /
   divārātraṃ japenmantraṃ nāsatyavacanaṃ vadet // RCint_3.217 //	divArAtram japet-mantram na-asatya-vacanam vadet // RCint-_3.217 //
   hitaṃ mudgānnadugdhājyaśālyannāni sadā yataḥ /	hitam mudga-anna-dugDa-Ajya-SAli-annAni sadA yatas /
   śākaṃ paunarnavaṃ devi meghanādaṃ savāstukam // RCint_3.218 //	SAkam pOnarnavam devi meGanAdam sa-vAstukam // RCint-_3.218 //
   saindhavaṃ nāgaraṃ mustāṃ padmamūlāni bhakṣayet /	sEnDavam nAgaram mustAm padma-mUlAni Bakzayet /
   ātmajñānaṃ kathā pūjā śivasya ca viśeṣataḥ // RCint_3.219 //	Atma-jQAnam kaTA pUjA Sivasya ca viSezataH // RCint-_3.219 //
   etāṃstu samayādbhadre na laṅghed rasabhakṣaṇe /	etAn=-tu samayAt-Badre na laFGet rasa-BakzaNe /
   evaṃ caiva mahāvyādhīn rase'jīrṇe tu lakṣayet // RCint_3.220 //	evam ca-eva mahA-vyADIn rase-ajIrNe tu lakzayet // RCint-_3.220 //
   <rasājīrṇaśamanam>	<rasa-ajIrNa-Samanam>
   kārṣikaṃ svarjikakṣāraṃ kāravellīrasaplutam /	kArzikam svarjika-kzAram kAravellI-rasa-plutam /
   gomūtraṃ saindhavayutaṃ tasya saṃsrāvaṇaṃ param // RCint_3.221 //	go-mUtram sEnDava-yutam tasya saMsrAvaNam param // RCint-_3.221 //
   sindhukarkoṭigomūtraṃ kāravellīrasaplutam /	sinDu-karkowi-go-mUtram kAravellI-rasa-plutam /
   sauvarcalasamopetaṃ rasājīrṇī pibed budhaḥ // RCint_3.222 //	sOvarcala-samopetam rasa-ajIrNI pibet buDaH // RCint-_3.222 //
   śarapuṅkhāṃ suradālīṃ paṭolabījaṃ ca kākamācīṃ ca /	SarapuFKAm suradAlIm pawola-bIjam ca kAkamAcIm ca /
   ekatamāṃ tu kvathitām avijīrṇarasāyane tu pibet // RCint_3.223 //	ekatamAm tu kvaTitAm avijIrNa-rasAyane tu pibet // RCint-_3.223 //
   kathamapi yadyajñānānnāgādikalaṅkito raso bhuktaḥ /	kaTam-api yadi-ajQAnAt-nAga-Adi-kalaFkitaH rasaH BuktaH /
   tatsrāvaṇāya vijñaḥ pibecchiphāṃ kāravellabhavām // RCint_3.224 //	tat-srAvaNAya vijQaH pibet-SiPAm kAravella-BavAm // RCint-_3.224 //
   niṣiddhavarjaṃ matimānvicitrarasabhojanaṃ kuryāt /	nizidDa-varjam matimAn-vicitra-rasa-Bojanam kuryAt /
   sravati na yathā rasendro na ca naśyati jāṭharo vahniḥ // RCint_3.225 //	sravati na yaTA rasendraH na ca naSyati jAWaraH vahniH // RCint-_3.225 //
   kṣārakṣoṇīruhāṇāṃ vidhivadavahitāḥ kṣāram ākalpayadhvam /	kzAra-kzoNIruhANAm viDivat-avahitAH kzAram AkalpayaDvam /
   kāsīsasvarjikābhyāṃ paṭucayanarasārakṣapāpakṣiṭaṅkaiḥ // RCint_3.226 //	kAsIsa-svarjikAByAm pawu-caya-narasAra-kzapA-pakzi-waFkEH // RCint-_3.226 //
   kūpībhiḥ pātayadhvaṃ bahu bahulayavakṣāramambho hi kalpyam /	kUpIBiH pAtayaDvam bahu bahula-yavakzAram-amBaH hi kalpyam /
   tasminnādhatta dhīrāḥ sakavalam agajāvallabhaṃ jāraṇāya // RCint_3.227 //	tasmin=-ADatta DIrAH sa-kavalam agajA-vallaBam jAraNAya // RCint-_3.227 //
   RCint, 4	RCint, 4
   athābhrīyaṃ vyācakṣmahe // RCint_4.1 //	aTa-aBrIyam vyAcakzmahe // RCint-_4.1 //
   tatkila nikhilajarāmaraṇaparihāreṇa sudhārasasadhrīcīnatvam aṅgīkaroti /	tat-kila niKila-jarA-maraNa-parihAreNa suDA-rasa-saDrIcIna-tvam aFgIkaroti /
   sādhanānāmasya bahubhirbahudhopavarṇitānāṃ rasamaṅgalīyamanyatamaṃ	sADanAnAm-asya bahuBiH-bahuDA-upavarNitAnAm rasa-maFgalIyam-anyatamam
   vilikhāmaḥ // RCint_4.2 //	viliKAmaH // RCint-_4.2 //
   <abhra:: vajra>	<aBra:: vajra>
   yadañjananibhaṃ kṣiptaṃ na vahnau vikṛtiṃ vrajet /	yat-aQjana-niBam kziptam na vahnO vikRtim vrajet /
   vajrasaṃjñaṃ hi tadyojyamabhraṃ sarvatra netarat // RCint_4.3 //	vajra-saMjQam hi tat-yojyam-aBram sarvatra na-itarat // RCint-_4.3 //
   <abhra:: subtypes>	<aBra:: subti-pes>
   vajraṃ bhekavapuḥ kṛṣṇamabhrakaṃ trividhaṃ matam /	vajram Beka-vapuH kRzNam-aBrakam triviDam matam /
   tataḥ kṛṣṇaṃ samādāya pācayet kāṇḍike rase // RCint_4.4 //	tatas kRzNam samAdAya pAcayet kANxike rase // RCint-_4.4 //
   <abhra:: subtypes:: quality>	<aBra:: subti-pes:: quality>
   tataḥ kṛṣṇaṃ samādāyetyanena kṛṣṇatvasāmānyād vajrakṛṣṇābhrayor grahaṇam /	tatas kRzNam samAdAya-iti-anena kRzNa-tva-sAmAnyAt vajra-kRzNa-aBrayoH grahaNam /
   bhekavapustu haritapītādivarṇaṃ na grāhyamiti // RCint_4.5 //	Beka-vapuH-tu harita-pIta-Adi-varNam na grAhyam-iti // RCint-_4.5 //
   <abhra:: sattvapātana>	<aBra:: sattva-pAtana>
   cūrṇīkṛtaṃ gaganapatramathāranāle dhṛtvā dinaikam avaśoṣya ca sūraṇasya /	cUrNIkRtam gagana-patram-aTa-AranAle DRtvA dina-ekam avaSozya ca sUraNasya /
   bhāvyaṃ rasaistadanu mūlarasaiḥ kadalyāḥ pādāṃśaṭaṅkaṇayutaṃ śapharaiḥ	BAvyam rasEH-tadanu mUla-rasEH kadalyAH pAda-aMSa-waFkaNa-yutam SaParEH
   sametam // RCint_4.6 //	sametam // RCint-_4.6 //
   piṇḍīkṛtaṃ tu bahudhā mahiṣīmalena saṃśoṣya koṣṭhagatamāśu	piNxIkRtam tu bahuDA mahizI-malena saMSozya kozWa-gatam-ASu
   dhameddhaṭhāgnau /	Damet-haWa-agnO /
   sattvaṃ patatyatirasāyanajāraṇārthaṃ yogyaṃ bhavet sakalalauhaguṇādhikaṃ	sattvam patati-ati-rasAyana-jAraNa-arTam yogyam Bavet sakala-lOha-guNa-aDikam
   ca // RCint_4.7 //	ca // RCint-_4.7 //
   <abhra:: sattva:: ekīkaraṇa>	<aBra:: sattva:: ekIkaraNa>
   kaṇaśo yadbhavetsattvaṃ mūṣāyāṃ praṇidhāya tat /	kaNaSas yat-Bavet-sattvam mUzAyAm praNiDAya tat /
   mitrapañcakayugdhmātamekībhavati ghoṣavat // RCint_4.8 //	mitrapaQcaka-yuj-DmAtam-ekIBavati Gozavat // RCint-_4.8 //
   <pañcamitra>	<paQcamitra>
   ghṛtamadhugugguluguñjāṭaṅkaṇamiti pañcamitrasaṃjñaṃ ca /	GRta-maDu-guggulu-guQjA-waFkaNam-iti paQcamitra-saMjQam ca /
   melayati sarvadhātūnaṅgārāgnau tu dhamanena // RCint_4.9 //	melayati sarva-DAtUn-aFgAra-agnO tu Damanena // RCint-_4.9 //
   samagandhamabhrasattvaṃ saṭaṅkaṇaṃ śūkamūṣayā dhmātam /	sama-ganDam-aBra-sattvam sa-waFkaNam SUka-mUzayA DmAtam /
   sārdhaṃ tatsattvarajaḥ sapāradaṃ sakalakāryakaram // RCint_4.10 //	sArDam tat-sattva-rajaH sa-pAradam sakala-kArya-karam // RCint-_4.10 //
   <abhra:: sattva:: śodhana, māraṇa>	<aBra:: sattva:: SoDana, mAraNa>
   ayodhātuvacchodhanamāraṇametasya // RCint_4.11 //	ayaH-DAtu-vat-SoDana-mAraNam-etasya // RCint-_4.11 //
   <abhra:: sattva:: sevana>	<aBra:: sattva:: sevana>
   cūrṇam abhrakasattvasya kāntalohasya vā tataḥ /	cUrNam aBraka-sattvasya kAntalohasya vA tatas /
   tīkṣṇasya mahādevi triphalākvāthabhāvitam // RCint_4.12 //	tIkzNasya mahAdevi triPalA-kvATa-BAvitam // RCint-_4.12 //
   yāvadañjanasaṃkāśaṃ vastracchannaṃ viśoṣya ca /	yAvat-aQjana-saMkASam vastra=-Cannam viSozya ca /
   bhṛṅgāmalakasāreṇa haridrāyā rasena ca // RCint_4.13 //	BRFga-Amalaka-sAreNa haridrAyAH rasena ca // RCint-_4.13 //
   miśritaṃ krauñcajaghṛtamadhusaṃmiśritaṃ tataḥ /	miSritam krOQca-ja-GRta-maDu-saMmiSritam tatas /
   lohasampuṭamadhyasthaṃ māsaṃ dhānye pratiṣṭhitam // RCint_4.14 //	loha-sampuwa-maDya-sTam mAsam DAnye pratizWitam // RCint-_4.14 //
   ghṛtena madhunā lihyātkṣetrīkaraṇamuttamam /	GRtena maDunA lihyAt-kzetrIkaraNam-uttamam /
   evaṃ varṣaprayogena sahasrāyurbhavennaraḥ // RCint_4.15 //	evam varza-prayogena sahasra-AyuH-Bavet-naraH // RCint-_4.15 //
