   atha trayoviṃśaṃ pūraṇam	aTa trayoviMSam pUraNam
   evaṃ rādhā prema dhāmā yayā'sāv	evam rADA  prema  DAmA yayA asO= 
   ātmārāmo' py āpta kāmo' py adabhram |	Atma ArAmaH a pi Apta kAmaH a pi adaBram |
   reme yasmāt kāmināṃ kāminīnāṃ	reme yasmAt kAminAm kAminInAm
   nyakkāro' bhūd ātmanaiveti manye ||JGc_1,24.45|| [śālinī]	nyakkAraH a BUt AtmanA eva iti manye ||JGc_1,24.45|| [SAlinI]
   [70] ātmārāmatā hy atra paramānanda rūpatayā āpta kāmatā ca	[70] Atma ArAma tA hi atra parama Ananda  rUpa tayA Apta kAma tA ca
   parama lakṣmī lakṣaṇa gopī lakṣa vallabhatā vilakṣaṇatayā, [71] adabhratā	parama lakzmI  lakzaNa  gopI lakza  vallaBa tA  vilakzaNa tayA, [71] adaBra tA
   ca tāḥ parityajyāpi tasyām akhaṇḍitatāyā vyajyamānatayeti prasajyate |	ca tAH parityajya api tasyAm aKaNxita tAyA vyajyamAna tayA iti prasajyate |
   [72] tatra ca sati 	[72] tatra ca sati 
   anyo' nyānugatiṃ yadapy anusṛtau premṇaḥ pravāhau tayo	anyaH a nyAnugatim yat api anusRtO premNaH pravAhO tayo
   rādhā mādhavayos tadapy anupadaṃ kauṭilyam āsīdataḥ |	rADA  mADavayoH tat api anupadam kOwilyam AsIdatas |
   yo gāmbhīryam apāṃ javaṃ ca dadhate pūraḥ sa hi prekṣyate	yaH gAmBIryam apAm javam ca daDate pUraH sa hi prekzyate
   sāvarta pracayas tataḥ parataraḥ sāralya kaivalyavān ||JGc_1,24.46||	sAvarta  pracayaH tatas parataraH sAralya  kEvalyavAn ||JGc_1,24.46||
   [śārdūla] [73] yathoktam 	[SArdUla] [73] yaTA uktam 
   aher iva gatiḥ premṇaḥ svabhāva kuṭilo bhavet | ato hetor ahetoś ca yūnor	aheH iva gatiH premNaH svaBAva  kuwilaH Bavet | atas hetoH ahetoH ca yUnoH 
   māna udañcati ||[UN 15.102] ||	mAnaH udaQcati ||[Uj 15.102] ||
   [74] tad evaṃ sthite tan maya vilāsa viśeṣo varṇyate 	[74] tat evam sTite tan maya  vilAsa  viSezaH varNyate 
   dara mukulita netrā tiryag ālambi kaṇṭhī	dara  mukulita netrA tiryak  A Alambi kaNWI
   śithilita bhuja yugmā stabdha sakthīyam āsīt |	SiTilita  Buja  yugmA stabDa sakTI iyam AsIt |
   tad api ca madhu hantrā jānatā svaṃ kṛtārthaṃ	tat api ca maDu hantrA jAnatA svam kRtArTam
   muhur api hasitā kiṃ bhrū kuṭiṃ nāpi kuryāt? ||JGc_1,24.47|| [mālinī] ||	muhur api hasitA kim BrU kuwim na api kuryAt? ||JGc_1,24.47|| [mAlinI] ||
   [75] tad evaṃ vṛtte vṛtte netari cānunetari mānvat tasyāḥ kiñcid	[75] tat evam vRtte vRtte na itari ca anunetari mAnvat tasyAH kiQcid 
   ahaṃ māna sparśo' pi sadarśo babhūva | yathā ca tayā pūrvaṃ	ahaM mAna  sparSaH a pi sa darSaH baBUva | yaTA ca tayA pUrvam
   nātyūhāpoha sāmarthyam āsīd ity adhunā khalv idaṃ bhāvitam 	na atyUha apoha  sAmarTyam AsIt iti aDunA Kalu idam BAvitam 
   etāvantaṃ diṣṭam ajñāsiṣaṃ na	etAvantam dizwam ajQAsizam na
   preyaḥ saṅgāt kintv idānīṃ tad ūhe |	preyaH  saFgAt kintu idAnIm tat Uhe |
   preyān sarvāḥ projjhya mām eva ramyāṃ	preyAn sarvAH projJya mAm eva ramyAm
   saṅgamyāntaḥ kānanaṃ yan nināya ||JGc_1,24.48|| [śālinī]	saFgamya antaH  kAnanam yat ninAya ||Ju c_1,24.48|| [SAlinI]
   [76] tataś cāgrima gamanāya vyagreṇa nāthena prārthitāpi sā lālityena	[76] tatas ca agri ma  gamanAya vyagreNa nATena prArTitA api sA lAlityena
   kiñcid ālasyam api vyañjayāmāsa, yathā 	kiQcid Alasyam api vyaQjayAmAsa, yaTA 
   tvad gātra spṛṣṭatā mātra 	tvad  gAtra  spRzwa tA  mAtra 
   ślathāṅga gatitāṃ gatām |	SlaTa aFga  gati tAm gatAm |
   spandāya cātimandāṃ māṃ	spandAya ca ati mandAm mAm
   yatra tatra svayaṃ naya ||JGc_1,24.49|| [anuṣṭubh] ||	yatra tatra svayam naya ||Ju c_1,24.49|| [anuzwuB] ||
   [77] tad anu ca tad udāsīnatādhīna bhāva samūham ūhamānaḥ praṇayavān api	[77] tat anu ca tat  udAsI nata aDIna BAva  samUham UhamAnaH praNayavAn api
   praṇaya mānavān idaṃ sopalambha parīhāsa lambham uvāca kathaṃ bhavatyā	praNaya  mAnavAn idam sa upalamBa  parIhAsa  lamBam uvAca  kaTam BavatyA
   muhyate? mama skandha eva sa nirbandham āruhyatām iti | [78] tadā ca	muhyate? mama skanDaH eva sa nirbanDam AruhyatAm iti | [78] tadA ca
   tajjayā serṣyālajjayādhaḥsajjadānanam asyāḥ paśyann, antarhitavān api	tad jayA sa IrzyA lat jaya aDas sajjadAnanam asyAH paSyann, antarhitavAn api
   sakautukam antarhitavān | sahasāntarhite ca tasmin vismitā vismitā ca sā	sa kOtukam antarhitavAn | sahasA antarhite ca tasmin vismitA vismitA ca sA
   vidhurahitā kumudinīva vidhuritā babhūva | tatra kila sānulāpaṃ vilalāpa	viDura hitA kumudinI iva viDuritA baBUva | tatra kila sa anulApam vilalApa
   ca 	ca 
   hā nātha ha ramaṇa hā priyatātikānta	hA nATa ha ramaNa hA priya tA atikAnta
   hā hā kva gacchasi mahābhuja hā kva vāsi? |	hA hA kva gacCasi mahA Buja hA kva vAsi? |
   dāsyāṃ sadā kṛpaṇatājuṣi nanv amuṣyām	dAsyAm sadA kRpaNa tA juzi nanu amuzyAm
   ātmopakaṇṭham api sūcaya jīviteśa ||JGc_1,24.50|| [vasantatilakā]	Atma upakaNWam api sUcaya jIvita ISa ||Ju c_1,24.50|| [vasanta tilakA]
   [79] atrāstu tāvat tava rūpa nirūpaṇaṃ tvan nikaṭa bhūmim	[79] atra astu tAvat tava rUpa nirUpaNam tu an nikawa  BUmim
   ivodhaghaṭanayāpi dhīratāṃ dhārayāmīti dhvanitam |	iva UDa GawanayA api DIra tAm DArayAmi iti Dvanitam |
   [80] tataś ca, yadyapy evam api catura śiromaṇinā tena vicāritam asti sma,	[80] tatas ca, yadi api evam api catura SiraH maNinA tena vicAritam asti sma,
   yathā yady etasyāś ca mayā parityāgaḥ parityaktābhiḥ samprati pratīyate,	yaTA yadi etasyAH ca mayA parityAgaH parityaktABiH samprati pratIyate,
   mayā pṛthag enayā ca saṅgamyate, tadā parasparam āsattyāṃ satyāṃ	mayA pRTak enayA ca saFgamyate, tadA parasparam AsattyAm satyAm
   mahā rāsa mahaḥ sampadyate iti, tathāpi sneha vaśān mūrcchantīṃ tām	mahA  rAsa  mahaH sampadyate iti, taTA api sneha  vaSAt mUrcCantIm tAm
   āgacchati tasminn accha hṛdaye mṛgayamāṇā mṛgalocanā drutam āgacchanti sma	AgacCati tasmin acCa  hRdaye mRgayamANAH mRga locanAH drutam AgacCanti sma
   [81] tataś ca sambhramataḥ pracchannatāṃ gacchati śrī kṛṣṇaḥ 	[81] tatas ca samBramataH pracCanna tAm gacCati SrI  kRzNaH 
   eṣā campaka mālikātra patitā kiṃ candralekhāthavā	ezA campaka mAlikA atra patitA kim candraleKA aTavA
   kāntīnām adhidevatā bhavati vā vṛndāvana śrīr uta? |	kAntInAm aDidevatA Bavati vA vRndAvana  SrIH uta? |
   hā kaṣṭaṃ nahi ceṣṭate kim iyam ity udvigna dhī vṛttayas	hA kazwam na hi cezwate kim iyam iti udvigna  DI  vRttayaH 
   tām āvavrur amūś camūru nayanā bhṛṅgī nibhāḥ padminīm ||JGc_1,24.51||	tAm AvavruH amUH cam Uru  nayanAH BRFgI  niBAH padminIm ||JGc_1,24.51||
   [śārdūla]	[SArdUla]
   tatrānyās tu sakhī nibhāḥ samabhavaṃs tasyāṃ dravan mānasāḥ	tatra anyAH tu saKI  niBAH samaBavan tasyAm dravan  mAnasAH
   prāṇa prāṇa samāḥ sa māna manasaḥ sakhyaś citaṃ tatyajuḥ |	prANa  prANa  samAH sa mAna  manasaH saKyaH citam tatyajuH |
   yasmin nāsty avalambanaṃ kila kim apy asmin vidhiḥ sad vidhis	yasmin na asti avalambanam kila kim api asmin viDiH sad viDis
   tādṛkṣeṣu vilakṣaṇeṣu valayaty anyac ca dhanyaṃ bahu ||JGc_1,24.52||	tAdRkzezu vilakzaNezu valayati anyat ca Danyam bahu ||JGc_1,24.52||
   [śārdūla]	[SArdUla]
   kṛṣṇa prasaṅga parivāsitam aṅganānām	kRzNa  prasaFga  parivAsitam aFganAnAm
   aṅgaṃ yadā tu nasi saṅgatim aṅgati sma |	aFgam yadA tu nasi saFgatim aFgati sma |
   sāraṅga laṅgima dṛśaḥ param aṅga saṅghāś	sAraFga laFgima dRSaH param aFga  saFGAH 
   cācetiṣuḥ savayaso' pi tadāṅga tulyāḥ ||JGc_1,24.53|| [vasantatilakā]	ca acetizuH savayasaH a pi tadA aFga tulyAH ||JGc_1,24.53|| [vasanta tilakA]
   [82] tadā tu 	[82] tadA tu 
   kāśmīrārdraṃ kvāpi sindūra liptaṃ	kASmIra Ardram kvApi sindUra liptam
   kvāpi cchinnaṃ kvāpi bhinnaṃ kva cāpi |	kvApi cCinnam kvApi Binnam kva ca api |
   antaḥ pītācchādanaṃ tan nicolaṃ	antaH pIta AcCAdanam tan  nicolam
   paśyan saṅghaḥ saṅginīnāṃ nananda ||JGc_1,24.54|| [śālinī]	paSyan saFGaH saFginInAm nananda ||Ju c_1,24.54|| [SAlinI]
   svayam api yadapi tadā sā	svayam api yat api tadA sA
   hari parimala bhāg athāpi tāsāṃ tu |	hari  parimala BAj aTa api tAsAm tu |
   āgantuka subahūnāṃ	Agantuka su bahUnAm
   gātrāt tad bhāg uvāha vailakṣyam ||JGc_1,24.55|| [āryā]	gAtrAt tad  BAj uvAha vElakzyam ||JGc_1,24.55|| [AryA]
   [83] tad evaṃ sarvā eva hṛdya sauhṛdya visrabdhās tām ātmaikadhyam āgatāṃ	[83] tat evam sarvAH eva hRdya  sOhRdya  visrabDAH tAm Atma EkaDyam AgatAm
   madhyam adhyāsya tayā saha paraspara parīrambha baddhāḥ	maDyam aDyAsya tayA saha paraspara  parIramBa  badDAH
   sudustara duḥkha naddhāḥ puru ruruduḥ |	su dustara  duHKa nadDAH puru ruruduH |
   [84] sudustaraṃ ruditvā ca tām amūs tu papracchuḥ asmākaṃ khalu na duḥkhaṃ	[84] su dustaram ruditvA ca tAm amUH tu papracCuH  asmAkam Kalu na duHKam
   pañcabhiḥ saheti kalpenānalpam api duḥkhaṃ kalpatvāya nākalpata kalpam |	paQcaBiH saha iti kalpena analpam api duHKam kalpa tvAya na akalpata kalpam |
   tatas tan nātipraṣṭavyaṃ bhavatīty ananya gatyā bhavatyās tu tat tyāgaḥ	tatas tat na ati prazwavyam Bavati iti ananya  gatyAH BavatyAH tu tat tyAgaH
   katham iti kathyatām, kathaṃ vā vikalatā hetuḥ kevalatā jātā, tad api ca |	kaTam iti kaTyatAm, kaTam vA vikala tA  hetuH kevala tA jAtA, tat api ca |
   [85] sā punar anutāpa vipad uttaram uttaram uvāca 	[85] sA punar anutApa  vipad uttaram uttaram uvAca 
   kutaḥ kathaṃ kutra ca tena nītā	kutas kaTam kutra ca tena nItA
   cakāra kiṃ vāham idaṃ na jāne |	cakAra kim vA aham idam na jAne |
   anena hīnā tu vicārayāmi	anena hInA tu vicArayAmi
   svīyaṃ tu daurātmyam anartha hetuḥ ||JGc_1,24.56|| [upajāti 11]	svIyam tu dOrAtmyam anarTa  hetuH ||JGc_1,24.56|| [upajAti 11]
   [86] tataś ca dhairya paryayataḥ punaḥ krandanam anuvindamānā	[86] tatas ca DErya  paryayataH punar krandanam anuvindamAnA
   khinnatā nati bhinna sakhīkābhiḥ kābhiścit kṛta sāntvanā mārjitānanā	Kinna tA nati  Binna  saKIkABiH kABiScit kRta  sAntvanA mArjita AnanA
   veśa niveśa kṛta mānanā sā samam unnamayāmāse |	veSa  niveSa  kRta mA AnanA sA samam unnamayAmAse |
   [87] tayā ca samam unnayanam āyāmase samprati ca kutra sa pratilabhyate?	[87] tayA ca samam unnayanam AyAmase  samprati ca kutra sa pratilaByate?
   iti | [88] sā covāca nātidūram akrūra cetāḥ sa tu kutukitayā vilasati, na	iti | [88] sA ca uvAca na ati dUram akrUra cetAH sa tu kutukitayA vilasati, na
   tu kitavatayā 	tu kitavatayA 
   yataḥ gokula rāja kumāraḥ	yatas gokula rAja  kumAraH
   śuci rati gambhīra dhīr hrīmān |	Suci rati gamBIra DIH hrImAn |
   tad api ca maryādāṃ naḥ	tat api ca maryAdAm naH
   svīkārāyātyajat karuṇaḥ ||JGc_1,24.57|| iti [upagīti]	svIkArAyAtyajat karuNaH ||Ju c_1,24.57|| iti [upagIti]
   [89] tasmāt tadīya caraṇa carita vartmānucaraṇam eva naḥ śreyaḥ | tad etad	[89] tasmAt tadIya  caraNa  carita  vartma anucaraNam eva naH SreyaH | tat etat 
   vacanaṃ racayamānā vana pracayaṃ puṣpāvacaya parā iva vicinvanti sma |	vacanam racayamAnAH vana  pracayam puzpa avacaya  parAH iva vicinvanti sma |
   tato dhvajādi padāni pada padma cihnāni kramatas tāvad amūr anvakrāman	tatas Dvaja Adi  padAni pada padma  cihnAni kramatas tAvat amUH anvakrAman
   yāvat tāni spaṣṭāni dṛṣṭāni | paratas tu parivīrun mahīruha niviḍatam	yAvat tAni spazwAni dRzwAni | paratas tu parivIrun  mahIruha  nivixatam
   āraṇya dharaṇy andha tama praviṣṭāni dṛṣṭvā nyavartanta, na ca	AraNya  DaraNI  anDa tama  pravizwAni dRzwvA nyavartanta, na ca
   tatrāvartanta |	tatra Avartanta |
   [90] tatra cedaṃ vicārayāmāsuḥ nūnam asmajjayā lajjayā sajjann asāv iha	[90] tatra ca idam vicArayAmAsuH nUnam asmad jayA lajjayA sajjan asO iha
   sahasā na sākṣād bhavitum adhyavasyati, tasmāt tad abodha nidhāya bhūr	sahasA na sAkzAt  Bavitum aDyavasyati, tasmAt tat aboDa  niDAya  BUH 
   iyaṃ dūrataḥ pariharaṇīyā parihṛtya ca sā pulina dharaṇir evānusaraṇīyā |	iyam dUratas pariharaNIyA parihRtya ca sA pulina  DaraNiH eva anusaraNIyA |
   [91] yatrāham atrāsmi tatra bhavatyas tu kutratyatām itā ity apadeśād	[91] yatra aham atra asmi  tatra BavatyaH tu kutratyatAm itA iti apadeSAt 
   apatrapām apanayann ayam aparokṣatāṃ prapanīpadyate |	apatrapAm apanayan ayam aparokzatAm prapanIpadyate |
   [92] tad etad vicārya samācārya ca paryanveṣaṇās tam uddiśya diśyaṃ diśyaṃ	[92] tat etat vicArya samAcArya ca paryanvezaNAH tam uddiSya diSyam diSyam
   vanaṃ praviśya, svayam anvicchantam iva saṃcarantaṃ dainya sainya mayam	vanam praviSya, svayam anvicCantam iva saMcarantam dEnya  sEnya mayam
   atigāna vitānam ācaranti sma iti |	atigAna  vitAnam Acaranti smaH iti |
   [93] tad evaṃ teṣāṃ sabhāsadāṃ kathā samādher avadhāya kathakaḥ samāpanam	[93] tat evam tezAm saBAsadAm kaTA  samADeH avaDAya kaTakaH samApanam
   āha 	Aha 
   īdṛg eṣa varaḥ kṛṣṇas tava vṛndāvaneśvari |	IdRS eza varaH kRzNaH tava vRndAvaneSvari |
   tvāṃ vinā tu paraḥ koṭīr api nāṅgīcakāra yaḥ ||JGc_1,24.58|| [anuṣṭubh]	tvAm vinA tu paraH  kowIH api na aFgIcakAra yaH ||JGc_1,24.58|| [anuzwuB]
   iti śrī śrī gopāla campūm anu	iti SrI  SrI  gopAla campUm anu
   śrī rādhā saubhāgya śravaṇa subhāgyaṃ nāma	SrI  rADA  sOBAgya  SravaNa  su BAgyam nAma
   caturviṃśaṃ pūraṇam	caturviMSam pUraNam
   atha pañcaviṃśaṃ pūraṇam	aTa paQcaviMSam pUraNam
   vipralambhana stambhana śrī kṛṣṇa lambhanam	vipralamBa na  stamBana  SrI  kRzNa lamBanam
   [1] atha madhukaṇṭha uvāca tac ca gānam avadhīyatām | yathā 	[1] aTa maDukaNWaH uvAca  tat ca gAnam avaDIyatAm | yaTA 
   vrajavidho daśāsmākam īkṣyatām	vrajaviDaH daSa asmAkam IkzyatAm
   vrajavidho daśāsmākam īkṣyatām ||JGc_1,25.1||	vrajaviDaH daSa asmAkam IkzyatAm ||JGc_1,25.1||
   jayati te' dhikaṃ janmanā vrajaḥ	jayati te a Dikam janmanA vrajaH
   śrayata indirāpy asya bhūrajaḥ |	SrayataH indirA api asya BUrajaH |
   tad api hā'jahā nas tvam atra bho	tat api hA ajahA naH tvam atra Bo
   vayam imaḥ kathaṃ vānyatāṃ prabho ||JGc_1,25.2||	vayam imaH kaTam vA anyatAm praBo ||JGc_1,25.2||
   parama jāti bhāg uttamaṃ svataḥ	parama jAti BAj uttamam svatas 
   śaradijaṃ ca yat paṅkajaṃ tataḥ |	Saradijam ca yat paFkajam tatas |
   dala kulāvṛteḥ kānti devatāṃ	dala kula AvRteH kAnti  devatAm
   harasi yad dṛśā śaśvad eva tām ||JGc_1,25.3||	harasi yat dRSA SaSvat eva tAm ||JGc_1,25.3||
   katham aho vayaṃ svacchatām itā	kaTam aho vayam svacCa tAm itA
   bhavitum īśmahe tad bahiḥ sthitāḥ |	Bavitum ISmahe tad  bahis  sTitAH |
   api kila tvayā yācñayā sitāḥ	api kila tvayA yAcQayA sitAH
   svayam amūr vareṇāpi sanditāḥ ||JGc_1,25.4||	svayam amUH vareNa api sanditAH ||JGc_1,25.4||
   iti gatās tava preṣyatāṃ punaḥ	iti gatAH tava prezyatAm punar 
   kim u tayā dṛśā haṃsi tās tu naḥ? |	kim u tayA dRSA haMsi tAH tu naH? |
   yad iha śastrataḥ kevalaṃ vadhaḥ	yat iha SastrataH kevalam vaDaH
   sphurati nākṣitas tan mataṃ tv adhaḥ ||JGc_1,25.5||	sPurati na akzitaH tan  matam tu aDas ||JGc_1,25.5||
   bahu vidhād bhayād yat tvayāvitaṃ	bahu viDAt BayAt yat tvayA avitam
   sakala gokulaṃ kānanānvitam |	sakala  gokulam kAnana anvitam |
   tad api manmahe svāvanaṃ yatas	tat api manmahe svAvanam yatas 
   tvad anurāgataḥ so' pi kiṃ hataḥ? ||JGc_1,25.6||	tvad  anurAgataH saH a pi kim hataH? ||JGc_1,25.6||
   kṛpaṇa pālaka śrī vrajeśvarī 	kRpaNa  pAlaka SrI vrajeSvarI 
   tanuja yogya dhīr asti naśvarī |	tanuja yogi a DIH asti naSvarI |
   iti tavātmaval lipti riktatā	iti tava Atma vat lipti  rikta tA
   paraga pīḍayā bhāti tiktatā ||JGc_1,25.7||	para ga pIxayA BAti tikta tA ||JGc_1,25.7||
   tvam asi nānyavat ko' pi kopanaḥ	tvam asi na anya vat kaH a pi kopanaH
   sphurasi yat prabho viśva gopanaḥ |	sPurasi yat praBo viSva gopanaH |
   tad iha padmajābhyarthitaḥ sva bhūḥ	tat iha padmaja aByarTitaH sva BUH
   parama sātvatād anvayād abhūḥ ||JGc_1,25.8||	parama sAtvatAt anvayAt aBUH ||JGc_1,25.8||
   iti taveśituḥ suṣṭhu yaḥ karaḥ	iti tava ISituH suzWu yaH karaH
   prathita saṃsṛter bhīti bhīkaraḥ |	praTita  saMsRteH BIti BIkaraH |
   śirasi naḥ kuru śrī kara grahaṃ	Sirasi naH kuru SrI kara graham
   tam iha nānyathā bhāvayāgraham ||JGc_1,25.9||	tam iha na anyaTA BAvayAgraham ||JGc_1,25.9||
   vrajaga bhī hṛtau vīra yoṣitāṃ	vraja ga BI  hRtO vIra yozitAm
   śamayasi smitenaiva roṣitām |	Samayasi smitena eva rozitAm |
   tad iha nānyathā daṇḍanaṃ kuru	tat iha na anyaTA daNxanam kuru
   prakaṭayānana śrī mahaḥ puru ||JGc_1,25.10||	prakawayA Anana  SrI m ahaH puru ||JGc_1,25.10||
   yad api te padaṃ śrī niketanam	yat api te padam SrI  niketanam
   vṛjinajin mahā puṇya ketanam |	vRjina jit mahA  puNya  ketanam |
   tad api go gaṇasyānuvartanaṃ	tat api go gaNasya anuvartanam
   viṣa bhṛtaḥ śiro varti nartanam ||JGc_1,25.11||	viza BRtaH Siro  varti nartanam ||JGc_1,25.11||
   yad adhi tat tad apy ātta duḥsthiti	yat aDi tat tat api Atta duHsTiti
   svayam abhūt tataḥ śāntatākṣitiḥ |	svayam aBUt tatas SAntatA AkzitiH |
   ahaha tan manāg nas tu vakṣasi	ahaha tat manAk naH tu vakzasi
   sva viraha jvale kiṃ na rakṣasi? ||JGc_1,25.12||	sva  viraha  jvale kim na rakzasi? ||JGc_1,25.12||
   madhura līlayā karṇa ramyayā	maDura  lIlayA karNa  ramyayA
   viśada vākyayā vyakta gamyayā |	viSada  vAkyayA vyakta  gamyayA |
   mukha sugandhitāsātmyayā cirāt	muKa  suganDitA sAtmyayA cirAt 
   tṛṣam itā vayaṃ hanta te girā ||JGc_1,25.13||	tRzam itA vayam hanta te girA ||JGc_1,25.13||
   tava kathāmṛtaṃ tapta jīvanaṃ	tava kaTA amRtam tapta  jIvanam
   kavibhir īḍitaṃ kalmaṣārdanam |	kaviBiH Ixitam kalmaza ardanam |
   pravitaranti ye teṣu durjanāḥ	pravitaranti ye tezu durjanAH
   sapadi naḥ kṛte jñapta varjanāḥ ||JGc_1,25.14||	sapadi naH kRte jQapta varjanAH ||JGc_1,25.14||
   prahasitaṃ tava preṅkhi locanaṃ	prahasitam tava preFKi locanam
   viharaṇa kramād bhāva rocanam |	viharaNa kramAt BAva rocanam |
   muralikā rutaṃ sarva śocanaṃ	muralikA rutam sarva Socanam
   vipinatas tu naḥ prāṇa mocanam ||JGc_1,25.15||	vipinataH tu naH prANa mocanam ||JGc_1,25.15||
   calasi yarhi vā dhenu cāraṇe	calasi yarhi vA Denu  cAraNe
   dalati dhīs tu nas tatra kāraṇe |	dalati DIH tu naH tatra kAraNe |
   śila tṛṇāṅkurair yāva sannatā	Sila  tRNa aFkurEH yAva  sanna tA
   kila bhavat padoḥ sāsmakān gatā ||JGc_1,25.16||	kila Bavat padoH sa asmakAn gatAH ||JGc_1,25.16||
   ahaha jājvalaty antarāṇi naḥ	ahaha jAjvalati antarANi naH
   smara nijān janān dīna māninaḥ |	smara nijAn janAn dIna mAninaH |
   caraṇa paṅkajaṃ hṛdy amūdṛśāṃ	caraNa  paFkajam hRdi amUdRSAm
   ramaṇa he tvayā dhīyatāṃ bhṛśam ||JGc_1,25.17||	ramaNa he tvayA DIyatAm BRSam ||JGc_1,25.17||
   ahaha yarhi yāsy ahni kānanaṃ	ahaha yarhi yAsi ahni kAnanam
   kuṭila kuntalaṃ śrīmad ānanam |	kuwila  kuntalam SrImat  Ananam |
   muhur apaśyatāṃ tarhi sa kṣaṇaḥ	muhur apaSyatAm tarhi sa kzaNaH
   sphurati sarvadā kalpa lakṣaṇaḥ ||JGc_1,25.18||	sPurati sarvadA kalpa  lakzaNaH ||JGc_1,25.18||
   kim iha tac ca vā vācyatāṃ vrajen	kim iha tat ca vA vAcya tAm vrajet 
   nimir apīha yac chapyate vraje? |	nimiH api iha yat Sapyate vraje? |
   katham aho vayaṃ tās tu gopikā	kaTam aho vayam tAH tu gopikA
   na hi bhavāma vā tatra kopikāḥ? ||JGc_1,25.19||vitata gītikā jāla sanditāḥ	na hi BavAma vA tatra kopikAH? ||JGc_1,25.19||vitata gIti kA  jAla  sanditAH
   svaka janān atikramya cārditāḥ |	sva ka janAn atikramya ca arditAH |
   karam itā mahāraṇya bhṛd diśi	karam itA mahA araNya BRt diSi
   cchalamayaḥ striyaḥ kas tyajen niśi? ||JGc_1,25.20||	cCala mayaH striyaH kaH tyajet niSi? ||JGc_1,25.20||
   prahasitaṃ priya prema vīkṣaṇaṃ	prahasitam priya prema vIkzaNam
   vihasitādikaṃ valgu lakṣaṇam |	vihasita Adikam valgu  lakzaNam |
   bṛhad uraḥ śriyo dhāma vīkṣyate	bRhat uraH SriyaH DAma vIkzyate
   nija vimūḍhatāsmābhir īkṣyate ||JGc_1,25.21||	nija  vimUXa tA asmABiH Ikzyate ||JGc_1,25.21||
   dina laye' laka dhvāntam ekataḥ	dina laye a laka DvAntam ekatas 
   prasṛta gorajaḥ sandhyam anyataḥ |	prasRta gorajaH sanDyam anyatas |
   mukhatayā mataṃ yāminīśvaraṃ	muKa tayA matam yAminISvaram
   darśayan muhur yacchasi smaram ||JGc_1,25.22||	darSayan muhur yacCasi smaram ||JGc_1,25.22||
