   akasmānmṛtyurāyāto Bca_7.8c	akasmAt-mRtyuH-AyAtaH Bca_7.8c
   janmanyatraiva vā punaḥ Bca_2.28b	janmani-atra-eva vA punar Bca_2.28b
   janmāntare 'pi so 'bhyāsaḥ Bca_7.48a	janma-antare api saH aByAsaH Bca_7.48a
   janmāvāsaparigrahaḥ Bca_8.34d	janma-AvAsa-parigrahaH Bca_8.34d
   japāstapāṃsi sarvāṇi Bca_5.16a	japAH-tapAMsi sarvANi Bca_5.16a
   jambudvīpagatā narāḥ Bca_2.56b	jambudvIpa-gatAH narAH Bca_2.56b
   jalāni ca svacchamanoramāṇi Bca_2.2d	jalAni ca svacCa-manoramANi Bca_2.2d
   jātametadrasāyanaṃ Bca_3.28b	jAtam-etat-rasAyanam Bca_3.28b
   jātaṃ cedapriyaṃ śatros Bca_6.87a	jAtam ced-apriyam SatroH Bca_6.87a
   jātaṃ saṃbodhicittaṃ sakalajanaparitrāṇamātā dayā ca Bca_10.13d	jAtam saMboDi-cittam sakala-jana-paritrANa-mAtA dayA ca Bca_10.13d
   jātā mayyapakāriṇaḥ Bca_6.47b	jAtAH mayi-apakAriNaH Bca_6.47b
   jātismaratvaṃ pravrajyām Bca_10.51a	jAti-smara-tvam pravrajyAm Bca_10.51a
   jānatāpi nṛpāpadam Bca_8.106b	jAnatA-api nRpa-Apadam Bca_8.106b
   jānannapi ca nīyo 'haṃ Bca_4.26c	jAnan=-api ca nIyaH aham Bca_4.26c
   jāyantāṃ kalpapādapāḥ Bca_10.6d	jAyantAm kalpa-pAdapAH Bca_10.6d
   jāyante pāpakāriṇām Bca_7.41d	jAyante pApa-kAriNAm Bca_7.41d
   jinaputtreṣu śubhaṃ tvayatnataḥ Bca_1.35d	jina-puttrezu SuBam tu-ayatnatas Bca_1.35d
   jinabimbaṃ tathekṣyate Bca_9.36d	jina-bimbam taTA-Ikzyate Bca_9.36d
   jinaratnapratimāṃ karotyanarghāṃ Bca_1.10b	jinaratna-pratimAm karoti-anarGAm Bca_1.10b
   jinasiṃhasuto hyaham Bca_7.55d	jinasiMha-sutaH hi-aham Bca_7.55d
   jinastambho 'pi sādhitaḥ Bca_9.38b	jina-stamBaH api sADitaH Bca_9.38b
   jineṣu gauravaṃ yadvan Bca_6.113c	jinezu gOravam yadvan Bca_6.113c
   jinairapi na toṣitāḥ Bca_8.22b	jinEH-api na tozitAH Bca_8.22b
   jīvamatsya ivāsmīti Bca_7.11a	jIva-matsyaH iva-asmi-iti Bca_7.11a
   jīvalokamimaṃ tyaktvā Bca_2.62a	jIva-lokam-imam tyaktvA Bca_2.62a
   jīvitārthe 'pi na tyajet Bca_5.102b	jIvita-arTe api na tyajet Bca_5.102b
   jīvinā vā mṛtena vā Bca_8.179b	jIvinA vA mRtena vA Bca_8.179b
   jñātvā jñānena kathyate Bca_9.22b	jQAtvA jQAnena kaTyate Bca_9.22b
   jñātvā sadoṣamātmānaṃ Bca_8.113a	jQAtvA sa-dozam-AtmAnam Bca_8.113a
   jñātvedaṃ kena kathyate Bca_9.22d	jQAtvA-idam kena kaTyate Bca_9.22d
   jñānatā cettataḥ sarva- Bca_9.67c	jQAna-tA ced-tatas sarva Bca_9.67c
   jñānaṃ jñeyādanādi ca Bca_9.122d	jQAnam jQeyAt-anAdi ca Bca_9.122d
   jñānaṃ nāstīti niścayaḥ Bca_9.62d	jQAnam na-asti-iti niScayaH Bca_9.62d
   jñānāstitvaṃ kuto jñātaṃ Bca_9.116c	jQAna-astitvam kutas jQAtam Bca_9.116c
   jñānāstitve tu kā gatiḥ Bca_9.112d	jQAna-astitve tu kA gatiH Bca_9.112d
   jñeyasaṃkleśavāsanā Bca_9.32b	jQeya-saMkleSa-vAsanA Bca_9.32b
   jñeyaṃ yattena gamyate Bca_9.116d	jQeyam yat-tena gamyate Bca_9.116d
   jñeyaṃ vinā tu kiṃ vetti Bca_9.61c	jQeyam vinA tu kim vetti Bca_9.61c
   jñeyaṃ sūtrāntavācanāt Bca_5.103d	jQeyam sUtrAnta-vAcanAt Bca_5.103d
   jñeyājjñānena jātena Bca_9.115c	jQeyAt-jQAnena jAtena Bca_9.115c
   jñeyātpūrvaṃ yadi jñānaṃ Bca_9.105a	jQeyAt-pUrvam yadi jQAnam Bca_9.105a
   jñeyāstitve tu kā gatiḥ Bca_9.113b	jQeya-astitve tu kA gatiH Bca_9.113b
   jñeyena saha cejjñānaṃ Bca_9.105c	jQeyena saha ced-jQAnam Bca_9.105c
   jvaladasiśaktighātaśataśātitamāṃsadalaḥ Bca_7.45c	jvalat-asi-Sakti-GAta-Sata-SAtita-mAMsa-dalaH Bca_7.45c
   ḍākinīrākṣasādayaḥ Bca_10.40d	xAkinI-rAkzasa-AdayaH Bca_10.40d
   ḍākinyo rākṣasāstathā Bca_5.4d	xAkinyaH rAkzasAH-taTA Bca_5.4d
   ta eva nāthāḥ kimanādaro 'tra Bca_6.126d	te eva nATAH kim-anAdaraH atra Bca_6.126d
   tacca nirvāṇamucyate Bca_9.111d	tat-ca nirvANam-ucyate Bca_9.111d
   taccittaratnagrahaṇāya samyak Bca_2.1a	tad-citta-ratna-grahaNAya samyak Bca_2.1a
   taccittasya dṛḍhatvena Bca_6.18a	tad-cittasya dRXa-tvena Bca_6.18a
   taccintayā mudhā yāti Bca_8.8a	tad-cintayA muDA yAti Bca_8.8a
   taccedbuddhoktamiṣyate Bca_9.50b	tat-ced-budDa-uktam-izyate Bca_9.50b
   tacchastrayuddhaṃ ca paraspareṇa Bca_10.9c	tad-Sastra-yudDam ca paraspareNa Bca_10.9c
   tacchastraṃ mama kāyaśca Bca_6.43a	tat-Sastram mama kAyaH-ca Bca_6.43a
   tajjīyate 'nyena śubhena kena Bca_1.6c	tat-jIyate anyena SuBena kena Bca_1.6c
   tatastajjñānamapyasat Bca_9.63d	tatas-tat-jQAnam-api-asat Bca_9.63d
   tataḥ kiṃ jāyate bhayam Bca_9.56d	tatas kim jAyate Bayam Bca_9.56d
   tataḥ kiṃ bodhicaryayā Bca_9.14b	tatas kim boDi-caryayA Bca_9.14b
   tataḥ koṭiśatenāpi Bca_8.83a	tatas kowi-Satena-api Bca_8.83a
   tataḥ prabhṛti suptasya Bca_1.19a	tatas praBRti suptasya Bca_1.19a
   tataḥ satyadvayaṃ kutaḥ Bca_9.107b	tatas satya-dvayam kutas Bca_9.107b
   tataḥ suraktāni sudhūpitāni Bca_2.12c	tatas su-raktAni su-DUpitAni Bca_2.12c
   tato 'nyanna vicintayet Bca_5.43b	tatas anyat-na vicintayet Bca_5.43b
   tato 'pi na nivartyaścet Bca_9.78c	tatas api na nivartyaH-ced Bca_9.78c
   tatkathaṃ hi pramīyatāṃ Bca_1.26d	tat-kaTam hi pramIyatAm Bca_1.26d
   tatkaroti kramātpaścād Bca_7.25c	tat-karoti kramAt-paScAt Bca_7.25c
   tatkarturapi jāyate Bca_9.31d	tad-kartuH-api jAyate Bca_9.31d
   tatkarmavyasanī bhavet Bca_7.62b	tad-karma-vyasanI Bavet Bca_7.62b
   tatkarmaśauṇḍo 'tṛptātmā Bca_7.62c	tad-karma-SONxaH atRpta-AtmA Bca_7.62c
   tatkiṃ mamānena parigraheṇa Bca_8.134d	tat-kim mama-anena parigraheNa Bca_8.134d
   tatko 'syecchāṃ kariṣyati Bca_8.175d	tat-kaH asya-icCAm karizyati Bca_8.175d
   tatkṣaṇaṃ tatparityājyaṃ Bca_6.71c	tad-kzaNam tat-parityAjyam Bca_6.71c
   tattatsarvaṃ jagau muniḥ Bca_5.8b	tat-tat-sarvam jagO muniH Bca_5.8b
   tattatsahasraguṇitaṃ Bca_8.18c	tad-tad-sahasra-guNitam Bca_8.18c
   tattatsmaraṇatāṃ yāti Bca_2.36a	tad-tad-smaraNa-tAm yAti Bca_2.36a
   tattadātmani sattvārthe Bca_8.165c	tat-tad-Atmani sattva-arTe Bca_8.165c
   tattadevāpahṛtyarthaṃ Bca_8.159c	tat-tat-eva-apahRti-arTam Bca_8.159c
   tattadevāpahṛtyāsmāt Bca_8.139c	tat-tat-eva-apahRtya-asmAt Bca_8.139c
   tattoṣaṇātsarvamunīndratuṣṭis Bca_6.122c	tad-tozaNAt-sarva-muni-indra-tuzwiH Bca_6.122c
   tattvajñasyāpi sā sthitiḥ Bca_9.137d	tattva-jQasya-api sA sTitiH Bca_9.137d
   tattvataḥ kṣaṇikā naite Bca_9.7c	tattvataH kzaNikAH na-ete Bca_9.7c
   tattvataḥ śūnyatā tasmād Bca_9.139c	tattvataH SUnyatA tasmAt Bca_9.139c
   tattvayānavabuddhatvād Bca_9.52c	tat-tvayA-anavabudDa-tvAt Bca_9.52c
   tatparaḥ syāttathā vratī Bca_7.70d	tad-paraH syAt-taTA vratI Bca_7.70d
   tatra kiṃ parilambyate Bca_4.3d	tatra kim parilambyate Bca_4.3d
   tatra kuryānnavetyevaṃ Bca_4.2c	tatra kuryAt-nava-iti-evam Bca_4.2c
   tatra khaḍgaṃ yathā bhraṣṭaṃ Bca_7.68a	tatra Kaxgam yaTA Brazwam Bca_7.68a
   tatra cākhaṇḍitavratāḥ Bca_10.45d	tatra ca-aKaNxita-vratAH Bca_10.45d
   tatra cānupamāstīvrā Bca_9.159a	tatra ca-anupamAH-tIvrA Bca_9.159a
   tatra cāsattvamīdṛśam Bca_9.158b	tatra ca-asattvam-IdRSam Bca_9.158b
   tatra tatraiva tatpāpair Bca_7.43c	tatra tatra-eva tad-pApEH Bca_7.43c
   tatra tatraiva tatpuṇyaiḥ Bca_7.42c	tatra tatra-eva tad-puNyEH Bca_7.42c
   tatra doṣakṣayārambhe Bca_7.34a	tatra doza-kzaya-AramBe Bca_7.34a
   tatra prākṛtako loko Bca_9.3c	tatra prAkRtakaH lokaH Bca_9.3c
   tatra loko dvidhā dṛṣṭo Bca_9.3a	tatra lokaH dviDA dRzwaH Bca_9.3a
   tatra sarvajñavaidyasya Bca_2.57a	tatra sarvajQa-vEdyasya Bca_2.57a
   tatrānyonyavirodhaśca Bca_9.158c	tatra-anyonya-viroDaH-ca Bca_9.158c
   tatrāpakāre 'pakṛtaṃ munīnām Bca_6.122d	tatra-apakAre apakRtam munInAm Bca_6.122d
   tatrāpi jīvitārogya- Bca_9.160a	tatra-api jIvita-Arogya Bca_9.160a
   tatrāpi māro yatate Bca_9.162a	tatra-api mAraH yatate Bca_9.162a
   tatrāpyabhyastavikṣepa- Bca_9.161c	tatra-api-aByasta-vikzepa Bca_9.161c
   tatrāpyalpatvamāyuṣaḥ Bca_9.159d	tatra-api-alpa-tvam-AyuzaH Bca_9.159d
   tatrāpyahaṃ na kupyāmi Bca_4.29c	tatra-api-aham na kupyAmi Bca_4.29c
   tatrāpyevamasaṃbandhāt Bca_6.97c	tatra-api-evam-asaMbanDAt Bca_6.97c
   tatrāmedhyamaniṣṭaṃ te Bca_8.49c	tatra-ameDyam-anizwam te Bca_8.49c
   tatrāsanmārgabāhulyād Bca_9.162c	tatra-Asat-mArga-bAhulyAt Bca_9.162c
   tatraikaikaguṇābhyāso Bca_7.35c	tatra-ekEka-guNa-aByAsaH Bca_7.35c
   tatraivamalpabalatā Bca_9.159c	tatra-evam-alpa-bala-tA Bca_9.159c
   tatsattā kiṃ na gamyate Bca_9.115d	tad-sattA kim na gamyate Bca_9.115d
   tat sattvānāṃ samṛdhyatu Bca_10.49d	tat sattvAnAm samRDyatu Bca_10.49d
   tatsarvaṃ deśayāmyaham Bca_2.31d	tat-sarvam deSayAmi-aham Bca_2.31d
   tatsarvaṃ deśayāmyeṣa Bca_2.65a	tat-sarvam deSayAmi-eza Bca_2.65a
   tat sarvaṃ mayi pacyatām Bca_10.56b	tat sarvam mayi pacyatAm Bca_10.56b
   tatsukhena sukhitvaṃ cet Bca_6.96a	tad-suKena suKi-tvam ced Bca_6.96a
   tatsthitaṃ ghoramagrataḥ Bca_2.38d	tat-sTitam Goram-agratas Bca_2.38d
   tathā kathaṃcidapyetad Bca_3.27c	taTA kaTaMcid-api-etat Bca_3.27c
   tathā kasmānna dehinaḥ Bca_8.114d	taTA kasmAt-na dehinaH Bca_8.114d
   tathākāyo 'nyadīyo 'pi Bca_8.112a	taTA-kAyaH anyadIyaH api Bca_8.112a
   tathā kiṃcit parāpekṣam Bca_9.20a	taTA kiMcid para-apekzam Bca_9.20a
   tathāgatārādhanametadeva Bca_6.127a	taTAgata-ArADanam-etat-eva Bca_6.127a
   tathā jagadbhinnamabhinnaduḥkha- Bca_8.91c	taTA jagat-Binnam-aBinna-duHKa Bca_8.91c
   tathā tathāgatānnāthān Bca_2.22c	taTA taTAgatAn-nATAn Bca_2.22c
   tathādhunā mayā kāryaṃ Bca_3.26a	taTA-aDunA mayA kAryam Bca_3.26a
   tathā na durbalaṃ kaṃcid Bca_6.129c	taTA na durbalam kaMcid Bca_6.129c
   tathānyeṣvapi bhāvaya Bca_8.158d	taTA-anyezu-api BAvaya Bca_8.158d
   tathāpi tadduḥkhameva Bca_8.92c	taTA-api tad-duHKam-eva Bca_8.92c
   tathāpi tasya tadduḥkham Bca_8.93c	taTA-api tasya tad-duHKam Bca_8.93c
   tathāpi nidrāṃ yāsyeva Bca_7.5c	taTA-api nidrAm yAsi-eva Bca_7.5c
   tathāpi syānna vā sukham Bca_7.63b	taTA-api syAt-na vA suKam Bca_7.63b
   tathāpyete na rakṣitāḥ Bca_6.51b	taTA-api-ete na rakzitAH Bca_6.51b
   tathā bhavādhvagasyāpi Bca_8.34c	taTA Bava-aDvagasya-api Bca_8.34c
   tathā bhedo 'nayorjñeyo Bca_1.16c	taTA BedaH anayoH-jQeyaH Bca_1.16c
   tathābhyāṃ vyākulaṃ cittaṃ Bca_5.24c	taTA-AByAm vyAkulam cittam Bca_5.24c
   tathā yatnaṃ karomyaham Bca_6.69b	taTA yatnam karomi-aham Bca_6.69b
   tathā yadyapyasaṃvedyam Bca_8.93a	taTA yadi-api-asaMvedyam Bca_8.93a
   tathā sattvaṃ tayordvayoḥ Bca_9.114d	taTA sattvam tayoH-dvayoH Bca_9.114d
   tathā stutiyaśohānau Bca_6.93c	taTA stuti-yaSaH-hAnO Bca_6.93c
   tathāhamapyasadbhūto Bca_9.75c	taTA-aham-api-asadBUtaH Bca_9.75c
   tathedaṃ kutra kupyate Bca_6.46d	taTA-idam kutra kupyate Bca_6.46d
   tathaiva cchidramāsādya Bca_7.69c	taTA-eva cCidram-AsAdya Bca_7.69c
   tathotsāhavaśaṃ yāyād Bca_7.75c	taTA-utsAha-vaSam yAyAt Bca_7.75c
   tadacchannaṃ kimapriyam Bca_8.51b	tat-acCannam kim-apriyam Bca_8.51b
   tadatyayaṃ deśayāmi Bca_2.29c	tat-atyayam deSayAmi Bca_2.29c
   tadadya pāpaṃ pratideśayāmi Bca_6.124c	tat-adya pApam pratideSayAmi Bca_6.124c
   tadadya bhakṣitaṃ yāvat Bca_8.46c	tat-adya Bakzitam yAvat Bca_8.46c
   tadanantaramastu sā Bca_9.46b	tad-anantaram-astu sA Bca_9.46b
   tadabhāvātsukhādyasat Bca_9.132b	tad-aBAvAt-suKAt-yasat Bca_9.132b
   tadabhāvo na gṛhyate Bca_9.140b	tad-aBAvaH na gRhyate Bca_9.140b
   tadarthamarjanāyāso Bca_8.71c	tad-arTam-arjana-AyAsaH Bca_8.71c
   tadarthamātmanyapi nirvyapekṣāḥ Bca_6.121b	tad-arTam-Atmani-api nirvyapekzAH Bca_6.121b
   tadavasthaḥ kathaṃ bhāvaḥ Bca_9.147c	tad-avasTaH kaTam BAvaH Bca_9.147c
   tadā kā strī pumāṃśca kaḥ Bca_9.88d	tadA kA strI pumAn=-ca kaH Bca_9.88d
   tadā kimupalabhyate Bca_9.16b	tadA kim-upalaByate Bca_9.16b
   tadā kiṃ kena dṛśyate Bca_9.17b	tadA kim kena dRSyate Bca_9.17b
   tadā kiṃ na śṛṇotyapi Bca_9.63b	tadA kim na SRNoti-api Bca_9.63b
   tadā kiṃ nāma duṣkaram Bca_7.26d	tadA kim nAma duzkaram Bca_7.26d
   tadākṛṣyāpanīyate Bca_6.70d	tadA-AkRzyA-apanIyate Bca_6.70d
   tadā jñānaṃ kuto bhavet Bca_9.106b	tadA jQAnam kutas Bavet Bca_9.106b
   tadātmajānāṃ ca sagītavādyaṃ Bca_2.11d	tad-AtmajAnAm ca sa-gIta-vAdyam Bca_2.11d
   tadātmanaḥ ko viśeṣo Bca_8.95c	tad-A-AtmanaH kaH viSezaH Bca_8.95c
   tadātmanaḥ ko viśeṣo Bca_8.96c	tad-A-AtmanaH kaH viSezaH Bca_8.96c
   tadā tvaṃ kiṃ kariṣyasi Bca_5.67d	tadA tvam kim karizyasi Bca_5.67d
   tadānavasthā tasyāpi Bca_9.110c	tadA-anavasTA tasya-api Bca_9.110c
   tadā nirāśrayo 'bhāvaḥ Bca_9.34c	tadA nirASrayaH aBAvaH Bca_9.34c
   tadānyagatyabhāvena Bca_9.35c	tadA-anyagati-aBAvena Bca_9.35c
   tadāvasthāmimāṃ dṛṣṭvā Bca_9.99c	tadA-avasTAm-imAm dRzwvA Bca_9.99c
   tadā sarve tathāgatāḥ Bca_9.30b	tadA sarve taTAgatAH Bca_9.30b
   tadāhaṃ kiṃ kariṣyāmi Bca_2.47c	tadA-aham kim karizyAmi Bca_2.47c
   tadindrasyāpi durlabham Bca_8.88d	tad-indrasya-api durlaBam Bca_8.88d
   tadīyaiścakṣurādibhiḥ Bca_8.138b	tadIyEH-cakzuH-AdiBiH Bca_8.138b
   tadutpādanaduḥkhavat Bca_7.22d	tad-utpAdana-duHKa-vat Bca_7.22d
   tadupasthāyakaścaiva Bca_3.7c	tad-upasTAyakaH-ca-eva Bca_3.7c
   tadupāyena sidhyatu Bca_10.23d	tad-upAyena siDyatu Bca_10.23d
   tadeva tāvanniṣpādyaṃ Bca_5.43c	tat-eva tAvat-nizpAdyam Bca_5.43c
   tadeva yadi naśyati Bca_6.61b	tat-eva yadi naSyati Bca_6.61b
   tadeva rūpaṃ jānāti Bca_9.63a	tat-eva rUpam jAnAti Bca_9.63a
   tadeva sūkṣmatāṃ yāti Bca_9.133c	tat-eva sUkzma-tAm yAti Bca_9.133c
   tadeva hi bhavāmīti Bca_6.27c	tat-eva hi BavAmi-iti Bca_6.27c
   tadevaṃ śūnyatāpakṣe Bca_9.54a	tat-evam SUnyatA-pakze Bca_9.54a
   tadevaṃ sparśanābhāve Bca_9.98a	tat-evam sparSana-aBAve Bca_9.98a
   tadevānyena rūpeṇa Bca_9.66a	tat-eva-anyena rUpeNa Bca_9.66a
   tadaiṣāṃ parakāyeṣu Bca_6.37c	tadA-ezAm para-kAyezu Bca_6.37c
   tadgatenāntarātmanā Bca_5.43d	tad-gatena-antarAtmanA Bca_5.43d
   tadduṣṭāśayamevātaḥ Bca_6.111a	tat-duzwa-ASayam-eva-atas Bca_6.111a
   tadduḥkhe kiṃ sukhaṃ tava Bca_6.88b	tad-duHKe kim suKam tava Bca_6.88b
   tadduḥkhena na me bādhety Bca_8.97a	tad-duHKena na me bADA-iti Bca_8.97a
   taddṛṣṭikāle tasyāto Bca_9.32c	tad-dRzwi-kAle tasya-atas Bca_9.32c
   taddheturūpā bhāvāścen Bca_9.131a	tad-hetu-rUpAH BAvAH-ced Bca_9.131a
   tadbījaṃ tena vardhitam Bca_8.59d	tad-bIjam tena varDitam Bca_8.59d
   tadbodhicittaṃ dvividhaṃ Bca_1.15a	tat-boDi-cittam dviviDam Bca_1.15a
   tadbhāvakalpanotpādaṃ Bca_9.141c	tad-BAva-kalpanA-utpAdam Bca_9.141c
   tadrūpagrahaṇaṃ katham Bca_9.64b	tad-rUpa-grahaNam kaTam Bca_9.64b
   tadvadutpādayāmyeṣa Bca_3.23a	tadvat-utpAdayAmi-eza Bca_3.23a
   tadvadeva ca tāḥ śikṣāḥ Bca_3.23c	tadvat-eva ca tAH SikzAH Bca_3.23c
   tadvipakṣaḥ ka ucyate Bca_7.2b	tad-vipakzaH kaH ucyate Bca_7.2b
   tanna kiṃcidataḥ sattvāḥ Bca_9.104c	tat-na kiMcid-atas sattvAH Bca_9.104c
   tanna prāptaṃ mudhaivāyur Bca_8.75c	tat-na prAptam muDA-eva-AyuH Bca_8.75c
   tannārakavyathāhetuḥ Bca_6.73c	tad-nAraka-vyaTA-hetuH Bca_6.73c
   tannāsti kāyo mohāttu Bca_9.84a	tat-na-asti kAyaH mohAt-tu Bca_9.84a
   tannimittaṃ tu yatpāpaṃ Bca_2.38c	tad-nimittam tu yat-pApam Bca_2.38c
   tanmukhaṃ tūtparikleśam Bca_8.45a	tad-muKam tu-utpari-kleSam Bca_8.45a
   tanme syādavicārataḥ Bca_7.20d	tat-me syAt-avicArataH Bca_7.20d
   taptā ca bhūḥ sphāṭikakuṭṭimaṃ syāt Bca_10.8b	taptA ca BUH sPAwika-kuwwimam syAt Bca_10.8b
   taptāyaḥkuṭṭimaṃ kena Bca_5.7c	tapta-ayaH-kuwwimam kena Bca_5.7c
   tameva nāthaṃ paśyeyaṃ Bca_10.53c	tam-eva nATam paSyeyam Bca_10.53c
   tayoryenāstitā samā Bca_9.68b	tayoH-yena-astitA samA Bca_9.68b
   tara duḥkhamahānadīm Bca_7.14b	tara duHKa-mahA-nadIm Bca_7.14b
   talenāsmi talaṃ gataḥ Bca_4.12d	talena-asmi talam gataH Bca_4.12d
   tallokacittarakṣārthaṃ Bca_5.107c	tad-loka-citta-rakzA-arTam Bca_5.107c
   tavedaṃ yadi na priyam Bca_6.78b	tava-idam yadi na priyam Bca_6.78b
   tasmācchubhaṃ durbalameva nityaṃ Bca_1.6a	tasmAt-SuBam durbalam-eva nityam Bca_1.6a
   tasmātkarmāvasāne 'pi Bca_7.65a	tasmAt-karma-avasAne api Bca_7.65a
   tasmātkāryaḥ śubhacchando Bca_7.46a	tasmAt-kAryaH SuBa=-CandaH Bca_7.46a
   tasmāt kiṃ kokacintayā Bca_8.22d	tasmAt kim koka-cintayA Bca_8.22d
   tasmātkleśavadhe sadā Bca_4.42d	tasmAt-kleSa-vaDe sadA Bca_4.42d
   tasmāt kṣāntiṃ prayatnena Bca_6.2c	tasmAt kzAntim prayatnena Bca_6.2c
   tasmāttiṣṭhāmi kāṣṭhavat Bca_5.51d	tasmAt-tizWAmi kAzWa-vat Bca_5.51d
   tasmāttiṣṭhāmi kāṣṭhavat Bca_5.52d	tasmAt-tizWAmi kAzWa-vat Bca_5.52d
   tasmāttiṣṭhāmi kāṣṭhavat Bca_5.53d	tasmAt-tizWAmi kAzWa-vat Bca_5.53d
   tasmāt prājño na tamicched Bca_8.19a	tasmAt prAjQaH na tam-icCet Bca_8.19a
   tasmātsattvā jinaiḥ samāḥ Bca_6.116b	tasmAt-sattvAH jinEH samAH Bca_6.116b
   tasmātsarvamidaṃ jagat Bca_9.150d	tasmAt-sarvam-idam jagat Bca_9.150d
   tasmāt sā cittameva tu Bca_5.10d	tasmAt sA cittam-eva tu Bca_5.10d
   tasmātsāpyasya sūkṣmatā Bca_9.91d	tasmAt-sApi-asya sUkzma-tA Bca_9.91d
   tasmātsūtrāṇi vācayet Bca_5.104b	tasmAt-sUtrANi vAcayet Bca_5.104b
   tasmātstutyādighātāya Bca_6.99a	tasmAt-stuti-Adi-GAtAya Bca_6.99a
   tasmāt snehaṃ karomi kim Bca_8.181d	tasmAt sneham karomi kim Bca_8.181d
   tasmātsmṛtirmanodvārān Bca_5.29a	tasmAt-smRtiH-manaH-dvArAn Bca_5.29a
   tasmātsvaduḥkhaśāntyarthaṃ Bca_8.136a	tasmAt-sva-duHKa-SAnti-arTam Bca_8.136a
   tasmātsvadhiṣṭhitaṃ cittaṃ Bca_5.18a	tasmAt-su-aDizWitam cittam Bca_5.18a
   tasmātsvapne sute naṣṭe Bca_9.141a	tasmAt-svapne sute nazwe Bca_9.141a
   tasmādamitraṃ mitraṃ vā Bca_6.33a	tasmAt-amitram mitram vA Bca_6.33a
   tasmādahaṃ stuto 'smīti Bca_6.97a	tasmAt-aham stutaH asmi-iti Bca_6.97a
   tasmādārādhayetsattvān Bca_6.130c	tasmAt-ArADayet-sattvAn Bca_6.130c
   tasmādāvaraṇaṃ hantuṃ Bca_8.186a	tasmAt-AvaraNam hantum Bca_8.186a
   tasmādutpādayet prajñāṃ Bca_9.1c	tasmAt-utpAdayet prajQAm Bca_9.1c
   tasmādutsaṅgage sarpe Bca_7.71a	tasmAt-utsaFga-ge sarpe Bca_7.71a
   tasmādekākitā ramyā Bca_8.38a	tasmAt-ekAkitA ramyA Bca_8.38a
   tasmādetatkṣamāphalam Bca_6.108b	tasmAt-etat-kzamA-Palam Bca_6.108b
   tasmādetatparityāge Bca_8.3c	tasmAt-etat-parityAge Bca_8.3c
   tasmādevaṃ vicāreṇa Bca_9.142a	tasmAt-evam vicAreNa Bca_9.142a
   tasmāddṛḍhena cittena Bca_7.54a	tasmAt-dRXena cittena Bca_7.54a
   tasmādbahūni duḥkhāni Bca_7.23c	tasmAt-bahUni duHKAni Bca_7.23c
   tasmādbhāvo mṛṣā yo hi Bca_9.140c	tasmAt-BAvaH mRzA yaH hi Bca_9.140c
   tasmādyathāntaśo 'varṇād Bca_8.110a	tasmAt-yaTA-antaSas avarNAt Bca_8.110a
   tasmādyathānyadīyeṣu Bca_8.158a	tasmAt-yaTA-anyadIyezu Bca_8.158a
   tasmādyathā pratijñātaṃ Bca_4.12a	tasmAt-yaTA pratijQAtam Bca_4.12a
   tasmādyathārtiśokāder Bca_8.117a	tasmAt-yaTA-Arti-Soka-AdeH Bca_8.117a
   tasmādvighātayiṣyāmi Bca_6.8a	tasmAt-viGAtayizyAmi Bca_6.8a
   tasmānna kaścitrailokye Bca_5.8c	tasmAt-na kaScitrElokye Bca_5.8c
   tasmānna tāvadahamatra dhuraṃ kṣipāmi Bca_4.36a	tasmAt-na tAvat-aham-atra Duram kzipAmi Bca_4.36a
   tasmānna prasaro deyaḥ Bca_8.177a	tasmAt-na prasaraH deyaH Bca_8.177a
   tasmānnaṣṭāstapasvinaḥ Bca_6.51d	tasmAt-nazwAH-tapasvinaH Bca_6.51d
   tasmānnirvicikitsena Bca_9.54c	tasmAt-nirvicikitsena Bca_9.54c
   tasmānmamāstu vratametadeva Bca_6.127d	tasmAt-mama-astu vratam-etat-eva Bca_6.127d
   tasmānmayānapekṣeṇa Bca_8.184a	tasmAt-mayA-anapekzeNa Bca_8.184a
   tasmānmayā yajjanaduḥkhadena Bca_6.124a	tasmAt-mayA yat-jana-duHKa-dena Bca_6.124a
   tasmānmayaiṣāṃ kartavyaṃ Bca_7.50c	tasmAt-mayA-ezAm kartavyam Bca_7.50c
   tasmānmṛduvyathābhyāsāt Bca_6.14c	tasmAt-mRdu-vyaTA-aByAsAt Bca_6.14c
   tasmānme yuktamevaitat Bca_6.42c	tasmAt-me yuktam-eva-etat Bca_6.42c
   tasmāllokaṃ parityajya Bca_8.2c	tasmAt-lokam parityajya Bca_8.2c
   tasminsthāne mahābhaye Bca_2.47d	tasmin-sTAne mahA-Baye Bca_2.47d
   tasya kriyeti saṃbandhe Bca_6.30c	tasya kriyA-iti saMbanDe Bca_6.30c
   tasya durgatiparyanto Bca_4.9c	tasya durgati-paryantaH Bca_4.9c
   tasya rājabalaṃ balam Bca_6.129b	tasya rAja-balam balam Bca_6.129b
   tasya saṃpadajīrṇikā Bca_8.176d	tasya saMpad-ajIrNikA Bca_8.176d
   tasyāpi mūlaṃ satataṃ Bca_7.40c	tasya-api mUlam satatam Bca_7.40c
   tasyābhāvaḥ sphuṭaṃ mṛṣā Bca_9.140d	tasya-aBAvaH sPuwam mRzA Bca_9.140d
   tasyāśanamahaṃ ripoḥ Bca_6.8b	tasya-aSanam-aham ripoH Bca_6.8b
