   Paraśurāmakalpasūtra	ParaSurAma-kalpa-sUtra
   maghavañ chagdhi tava tan na ūtaye vidviṣo vimṛdho jahi ||	maGavan CagDi tava tat naH Utaye vidvizaH vimRDaH jahi ||
   svastidā viśaspatir vṛtrahā vimṛdho vaśī |	svasti-dA viSaspatiH vRtrahA vimRDaH vaSI |
   [258] vṛṣendraḥ pura etu naḥ svastidā abhayaṅkaraḥ ||	[258] vRza-indraH puras etu naH svasti-dAH aBayaFkaraH ||
   ity aindrī saptaṣaṣṭyarṇā saṅkaṭe bhayanāśinī ||	iti EndrI sapta-zazwi-arNA saFkawe Baya-nASinI ||
   (3) praṇavo ghṛṇis sūrya āditya ity aṣṭārṇā saurī tejodā ||	(3) praNavaH GRNiH sUryaH AdityaH iti azwa-arNA sOrI tejodAH ||
   (4) praṇavaḥ kevalo brahmavidyā muktidā ||	(4) praNavaH kevalaH brahma-vidyA mukti-dA ||
   (5) tāraḥ parorajase (')sāvad om iti navārṇā turyagāyatrī svaikyavimarśinī	(5) tAraH paras-rajase (-a)sA-vat om iti nava-arNA turya-gAyatrI sva-Ekya-vimarSinI
   raśmipañcakam etanmūlahṛtphālavidhibiladvādaśāntabījatayā vimṛṣṭavyam ||	raSmi-paQcakam etad-mUla-hRd-PAla-viDi-bila-dvAdaSa-anta-bIja-tayA vimRzwavyam ||
   Parks_10.10 ||	ParkH-_10.10 ||
   (1) sūryākṣitejase namaḥ | (2) khecarāya namaḥ | (3) asato mā sad gamaya |	(1) sUrya-akzi-tejase namaH | (2) KecarAya namaH | (3) asataH mA sat gamaya |
   (4) tamaso mā jyotir gamaya | (5) mṛtyor māmṛtaṃ gamaya | (6) uṣṇo	(4) tamasaH mA jyotiH gamaya | (5) mRtyoH mA-amRtam gamaya | (6) uzNaH-
   bhagavān śucirūpaḥ | (7) haṃso bhagavān śucir apratirūpaḥ ||	BagavAn Suci-rUpaH | (7) haMsaH BagavAn SuciH apratirUpaH ||
   (8) viśvarūpaṃ ghṛṇinaṃ jātavedasaṃ	(8) viSva-rUpam GRNinam jAtavedasam
   hiraṇmayaṃ jyotir ekaṃ tapantam |	hiraNmayam jyotiH ekam tapantam |
   sahasraraśmiḥ śatadhā vartamānaḥ	sahasraraSmiH SataDA vartamAnaH
   prāṇaḥ prajānām udayaty eṣa sūryaḥ ||	prANaH prajAnAm udayati eza sUryaH ||
   [259] (9) oṃ namo bhagavate sūryāya aho vāhini vāhiny aho vāhini vāhini	[259] (9) om namaH Bagavate sUryAya aho vAhini vAhini aho vAhini vAhini
   svāhā ||	svAhA ||
   (10) vayas suparṇā upasedur indraṃ	(10) vayaH suparNAH upaseduH indram
   priyamedhā ṛṣayo nāthamānāḥ |	priyameDAH RzayaH nATamAnAH |
   apadhvāntam ūrṇuhi pūrdhi cakṣur	apaDvAntam UrNuhi pUrDi cakzuH-
   mumugdhy asmān nidhayeva baddhān ||	mumugDi asmAn niDayA-iva badDAn ||
   (11) puṇḍarīkākṣāya namaḥ | (12) puṣkarekṣaṇāya namaḥ | (13) amalekṣaṇāya	(11) puNxarIkAkzAya namaH | (12) puzkara-IkzaNAya namaH | (13) amala-IkzaNAya
   namaḥ | (14) kamalekṣaṇāya namaḥ | (15) viśvarūpāya namaḥ | (16)	namaH | (14) kamala-IkzaNAya namaH | (15) viSvarUpAya namaH | (16)
   śrīmahāviṣṇave namaḥ ||	SrI-mahAvizNave namaH ||
   iti ṣoḍaśamantrasamaṣṭirūpiṇī dūradṛṣṭipradā cākṣuṣmatī vidyā ||	iti zoxaSa-mantra-samazwi-rUpiNI dUra-dRzwi-pradA cAkzuzmatI vidyA ||
   Parks_10.11 ||	ParkH-_10.11 ||
   praṇavo gandharvarāja viśvāvaso mama abhilaṣitāmukāṃ kanyāṃ prayaccha tato	praNavaH ganDarva-rAja viSvAvasaH mama aBilazita-amukAm kanyAm prayacCa tatas-
   'gnivallabhety uttamakanyāvivāhadāyinī vidyā || Parks_10.12 ||	agnivallaBa-iti uttama-kanyA-vivAha-dAyinI vidyA || ParkH-_10.12 ||
   tāro namo rudrāya pathiṣade svasti mā sampāraya iti mārgasaṅkaṭahāriṇī	tAraH namaH rudrAya paTiza-de svasti mA sampArayaH iti mArga-saFkawa-hAriNI
   vidyā || Parks_10.13 ||	vidyA || ParkH-_10.13 ||
   tāras tāre padam uktvā tuttāre ture śabdaṃ ca dahanadayiteti	tAraH tAre padam uktvA tuttAre ture Sabdam ca dahanadayitA-iti
   jalāpacchamanī vidyā || Parks_10.14 ||	jalApacSamanI vidyA || ParkH-_10.14 ||
   acyutāya namaḥ, anantāya namaḥ, govindāya namaḥ iti mahāvyādhivināśinī	acyutAya namaH, anantAya namaH, govindAya namaH iti mahA-vyADi-vinASinI
   nāmatrayī vidyā || Parks_10.15 ||	nAma-trayI vidyA || ParkH-_10.15 ||
   pañcemā raśmayo mūlādiparikaratayā prapañcyāḥ || Parks_10.16 ||	paQca-imAH raSmayaH mUla-Adi-parikaratayA prapaQcyAH || ParkH-_10.16 ||
   praṇavaḥ kamalā bhuvanā madano glāc caturdaśapañcadaśau gaṃ gaṇapataye	praNavaH kamalAH BuvanA madanaH glAt caturdaSa-paQcadaSO gam gaNapataye
   varayugalaṃ da sarvajanaṃ me śabdo vaśam ānayāgnivāmalocaneti	vara-yugalam da sarva-janam me SabdaH vaSam Anaya-agni-vAma-locanA-iti
   mahāgaṇapatividyā pratyūhaśamanī || Parks_10.17 ||	mahAgaNapati-vidyA pratyUha-SamanI || ParkH-_10.17 ||
   praṇavo namaḥ śivāyai, praṇavo namaḥ śivāyeti dvādaśārṇā,	praNavaH namaH SivAyE, praNavaH namaH SivAya-iti dvAdaSa-arNA,
   śivatattvavimarśinī vidyā || Parks_10.18 ||	Siva-tattva-vimarSinI vidyA || ParkH-_10.18 ||
   praṇavaḥ kāṣṭamadakṣaśrutibindupiṇḍo bhṛguṣoḍaśo māṃ pālayadvandvam iti	praNavaH kAzwama-dakza-Sruti-bindu-piNxaH BRguzoxaSaH mAm pAlaya-dvandvam iti
   daśārṇā mṛtyor api mṛtyur eṣā vidyā || Parks_10.19 ||	daSArNA mRtyoH api mRtyuH ezA vidyA || ParkH-_10.19 ||
   tāraḥ namo brahmaṇe dhāraṇaṃ me astv anirākaraṇaṃ dhārayitā bhūyāsaṃ	tAraH namaH brahmaNe DAraNam me astu anirAkaraNam DArayitA BUyAsam
   karṇayoḥ śrutaṃ mācyoḍhvaṃ mamāmuṣya oṃ iti śrutadhāriṇī vidyā ||	karNayoH Srutam mAcyA-UXvam mama-amuzya om iti Sruta-DAriNI vidyA ||
   Parks_10.20 ||	ParkH-_10.20 ||
   śrīkaṇṭādikṣāntāḥ sarve varṇāḥ bindusahitāḥ mātṛkā sarvajñatākarī vidyā ||	SrIkaNwA-Adi-kzAntAH sarve varNAH bindu-sahitAH mAtRkA sarvajQa-tA-karI vidyA ||
   Parks_10.21 ||	ParkH-_10.21 ||
   raśmayaḥ pañca mūlādirakṣātmakatayā yaṣṭavyāḥ || Parks_10.22 ||	raSmayaH paQca mUla-Adi-rakza-Atmaka-tayA yazwavyAH || ParkH-_10.22 ||
   śivaśaktikāmakṣitimāyāravīndusmarahaṃsapurandarabhuvanāparāmanmathavāsavabhauvanāś	Siva-Sakti-kAma-kziti-mAyA-ravi-indu-smara-haMsa-purandara-Buvana-aparAmanmaTa-vAsava-BOvanAH-
   ca śivādividyā svasvarūpavimarśinī || Parks_10.23 ||	ca Siva-Adi-vidyA sva-svarUpa-vimarSinI || ParkH-_10.23 ||
   klaśabdād vāmekṣaṇabindur eko 'nantayonibindavo 'nyaḥ	kla-SabdAt vAma-IkzaNa-binduH ekaH ananta-yoni-bindavaH anyaH
   śaṅkaraparātriśūlavisṛṣṭayo 'paraś caita eva khaṇḍāḥ pratilomāḥ ṣaṭkūṭā	SaFkara-parAtriSUla-visRzwayaH aparaH ca-ete eva KaNxAH pratilomAH zaz-kUwA
   sampatkarī vidyā || Parks_10.24 ||	sampad-karI vidyA || ParkH-_10.24 ||
   sam uccārya sṛṣṭinitye svāheti ham ity uktvā sthitipūrṇe namaḥ ity	sam uccArya sRzwi-nitye svAhA-iti ham iti uktvA sTiti-pUrNe namaH iti-
   analabindumahāsaṃhāriṇī kṛśe padāc caṇḍaśabdaḥ kāli phaṭ ity	anala-bindu-mahA-saMhAriNI kRSe padAt caNxa-SabdaH kAli Paw iti-
   agnibindusaptamamudrābījaṃ mahānākhye anantabhāskari mahācaṇḍapadāt kāli	agni-bindu-saptama-mudrA-bIjam mahAn-AKye ananta-BAskari mahA-caNxapadAt kAli
   phaṭ iti sṛṣṭisthitisaṃhārākhyānāṃ prātilomyaṃ khecarībījaṃ mahācaṇḍavāṇī	Paw iti sRzwi-sTiti-saMhAra-AKyAnAm prAtilomyam KecarI-bIjam mahA-caNxavANI
   ca yogīśvarīti vidyāpañcakarūpiṇī kālasaṅkarṣiṇī paramāyuḥpradāyinī ||	ca yogISvarI-iti vidyA-paQcaka-rUpiNI kAla-saFkarziNI parama-AyuH-pradAyinI ||
   Parks_10.25 ||	ParkH-_10.25 ||
   tritārī saptamamudrā śivayukśaktir ahaṃyugalam etatpañcaiva lomyam iti	tritArI saptama-mudrA Siva-yuj-SaktiH ahaMyugalam etat-paQca-eva lomyam iti
   śuddhajñānamayī śāmbhavī vidyā || Parks_10.26 ||	SudDa-jQAna-mayI SAmBavI vidyA || ParkH-_10.26 ||
   bhṛgutriśūlavisṛṣṭayaḥ parāvidyā || Parks_10.27 ||	BRgutriSUla-visRzwayaH parAvidyAH || ParkH-_10.27 ||
   pañcemā raśmayo mūlādyadhiṣṭhānatayā parikalpanīyāḥ || Parks_10.28 ||	paQca-imAH raSmayaH mUla-Adi-aDizWAna-tayA parikalpanIyAH || ParkH-_10.28 ||
   vākkāmaśaktayo 'nulomavilomāḥ punar anulomāḥ iti śriyo 'ṅgabālā ||	vAc-kAma-SaktayaH anuloma-vilomAH punar anulomAH iti SriyaH aFga-bAlAH ||
   Parks_10.29 ||	ParkH-_10.29 ||
   bhuvanā kamalā subhagā tāro namo bhagavati pūrṇe śekharam anna	BuvanA kamalA suBagA tAraH namaH Bagavati pUrNe SeKaram anna
   mamābhilaṣitam uktvānnaṃ dehi dahanajāyeti śriya upāṅgam annapūrṇā ||	mama-aBilazitam uktvA-annam dehi dahana-jAyA-iti SriyaH upAFgam anna-pUrNAH ||
   Parks_10.30 ||	ParkH-_10.30 ||
   praṇavaḥ pāśāditryarṇā ehi parameśvarīty uktvā vahnivāmākṣyuktir iti	praNavaH pASa-Adi-tri-arNA ehi parameSvarI-iti uktvA vahni-vAmAkzyuktiH iti
   śrīpratyaṅgam aśvārūḍhā || Parks_10.31 ||	SrI-pratyaFgam aSva-ArUXAH || ParkH-_10.31 ||
   tāritrikaṃ saptamamudrā śivaśaktisaṃvartapupañcamapurandaravarayūṃ	tAri-trikam saptama-mudrA Siva-Sakti-saMvarta-pupaQcama-purandara-vara-yUm
   śaktiśivakṣamānte vādivarayīṃ	Sakti-Siva-kzamA-ante vAdi-varayIm
   śivabhṛgutriśūlabindubhṛguśivatriśūlavisṛṣṭayaḥ śrīpūrvaṃ svagurunāmato	Siva-BRgutriSUla-bindu-BRgu-Siva-triSUla-visRzwayaH SrI-pUrvam sva-guru-nAmataH-
   'ṣṭākṣarī ceti śrīpādukā ca || Parks_10.32 ||	azwa-akzarI ca-iti SrI-pAdukA ca || ParkH-_10.32 ||
   etābhiś catasṛbhir yuktā mūlavidyā sāmrājñī mūlādhāre vilocanīyā ||	etABiH catasRBiH yuktA mUla-vidyA sAmrAjQI mUlADAre vilocanIyAH ||
   Parks_10.33 ||	ParkH-_10.33 ||
   mādanaśaktibindumālinīvāsavamāyāghoṣadoṣākarakandarpagaganamaghavadbhuvanabhṛgupuṣpabāṇabhūmāyeti	mAdana-Sakti-bindumAlinI-va-Asava-mAyA-Goza-doza-Akara-kandarpa-gagana-maGavat-Buvana-BRgu-puzpa-bANa-BUmAya-iti
   seyaṃ tasyā mahāvidyā || Parks_10.34 ||	sA-iyam tasyAH mahAvidyA || ParkH-_10.34 ||
   vāṅnatir ucchiṣṭacāṇḍali mātam uktvā gi sarvapadād vaśaṅkari	vAc-natiH ucCizwa-cANxali mAtam uktvA gi sarva-padAt vaSaFkari
   vahnivāmalocaneti śyāmāṅgaṃ laghuśyāmā || Parks_10.35 ||	vahni-vAma-locanA-iti SyAma-aFgam laGu-SyAmAH || ParkH-_10.35 ||
   kumārīm uccārya vadadvandvaṃ vākpadaṃ vādini vahnipriyeti śyāmopāṅgaṃ	kumArIm uccArya vada-dvandvam vAc-padam vAdini vahnipriyA-iti SyAma-upAFgam
   vāgvādinī || Parks_10.36 ||	vAc-vAdinI || ParkH-_10.36 ||
   praṇava opinākudaṃpavṛpasasyaicaśācāmāhadaśabdāḥ,	praNave opinAku-daMpa-vRpasasya-ecaSAcAmAhat-a-SabdAH,
   ṣṭhādhānalītaiḥritāviḥrvavāīnārumivāyecchekharā, nakulī śyāmāpratyaṅgam ||	zWADAna-lItEHritOviHrvavAInArum-ivAyet-SeKarA, nakulI SyAmA-pratyaFgam ||
   Parks_10.37 ||	ParkH-_10.37 ||
   lalitāpādukāditrikasthāne kumārī yojyā śiṣṭaṃ tadvat iti śyāmāpādukā ca ||	lalitA-pAdukA-Adi-trika-sTAne kumArI yojyA Sizwam tadvat iti SyAmA-pAdukA ca ||
   Parks_10.38 ||	ParkH-_10.38 ||
   catasṛbhir yuktā hṛccakre śyāmā yaṣṭavyā || Parks_10.39 ||	catasRBiH yuktA hRd-cakre SyAmA yazwavyAH || ParkH-_10.39 ||
   tadvidyā tu tritārī kumārī	tat-vidyA tu tritArI kumArI
   nabhavaśrītaṃśvasajamahāsamuraṃnimāyāsarāvakasastrīruvakasadumṛvakasasavakasalovakaakaṃvamāyahāvarṇā	naBava-SrItaMSvasaja-mahA-samuraM-nimAya-asarAvaka-sa-strI-ruvaka-sa-dumRvaka-sa-sava-ka-salovakaa-kaMvamAya-hAvarNA
   oṃmogatimāgīrirvananorirvakhajimadanaśrīṃrvajaśaṃrirvapuṣaśaṃrirvaṣṭagaśaṃrirvatvaśaṃrirvakaśaṃrimumeśanasvānta	oM-mogatimA-gIriH-vananorirvaKaji-madana-SrIMrvaja-SaMriH-vapuza-SaMriH-u-azwa-gaSaMrirvatva-SaMriH-vaka-SaMri-muma-ISana-svAnta
   mantrādi bījaṣaṭkaṃ prātilomyam iti aṣṭanavativarṇāḥ || Parks_10.40 ||	mantra-Adi bIja-zawkam prAtilomyam iti azwanavati-varNAH || ParkH-_10.40 ||
   haraḥ sabindur vāpūrvarāhi sthāṇuḥ sabindur unmattapadaṃ bhaiśabdo	haraH sa-binduH vA-apUrva-rAhi sTANuH sa-binduH unmatta-padam BESabdaH-
   ravipādukābhyāṃ nama iti vārtālyaṅgaṃ laghuvārtālī || Parks_10.41 ||	ravi-pAdukAByAm namaH iti vArtAlI-aFgam laGu-vArtAlI || ParkH-_10.41 ||
   vedādibhuvanaṃ namo vārāhi ghore svapnaṃ ṭhadvitayaṃ agnidārā iti	veda-Adi-Buvanam namaH vArAhi Gore svapnam Wa-dvitayam agni-dArAH iti
   vārtālyupāṅgaṃ svapnavārtālī svapne śubhāśubhaphalavaktrī || Parks_10.42	vArtAlI-upAFgam svapna-vArtAlI svapne SuBa-aSuBa-Pala-vaktrI || ParkH-_10.42
   vāg ghṛdayaṃ bhagavati tiraskariṇi mahāmāye paśupadāj	vAc GRdayam Bagavati tiraskariNi mahA-mAye paSupadAt-
   janamanaścakṣustiraskaraṇaṃ kurudvitayaṃ varma phaṭ pāvakaparigraha iti	jana-manaH-cakzuH-tiraskaraNam kuru-dvitayam varma Paw pAvaka-parigrahaH iti
   vārtālīpratyaṅgaṃ, tiraskariṇī || Parks_10.43 ||	vArtAlI-pratyaFgaM, tiraskariNI || ParkH-_10.43 ||
   śyāmāpādukāmantrāditribījam apahāya vāg glaum iti yojyam | eṣā	SyAmA-pAdukA-mantra-Adi-tri-bIjam apahAya vAc glOm iti yojyam | ezA
   vārtālīpādukā || Parks_10.44 ||	vArtAlI-pAdukAH || ParkH-_10.44 ||
   vidyābhir etābhir yuktā phālacakre paripūjyā bhagavatīyaṃ bhūdāramukhī ||	vidyABiH etABiH yuktA PAlacakre paripUjyA BagavatI-iyam BUdAra-muKI ||
   Parks_10.45 ||	ParkH-_10.45 ||
   manur idam īyo 'yaṃ vākpuṭitaṃ glauṃ	manuH idam IyaH ayam vAc-puwitam glOm
   nabhavavālirtāvāhirāvahakhirāmuaṃaṃnimaḥdhedhinajaṃjaṃnimaḥhehinastaṃstaṃnimaḥrvaṣṭadunāṃrvesavākttakṣukhatihvābhakukuśīvaśabdā	na-Bava-vAliH-tO=-AhirAvaha-KirAm-uaMaMnimaH-DeDina-jaMjaMnimaH-hehinaH-tan=-taMnimaHH-vazwa-dunAMrvesa-vAkttakzu-Kati-hvA-Ba-kukuSIva-SabdA
   yathākramaṃ	yaTAkramam
   mogatirtāvālirāvāhirāmuvahakhidhedhinaruṃruṃnimaḥbhebhinamomonimaḥbhebhinasadupraṣṭāsaṣāṃrvacicarmugajistaṃnaṃrurughraṃśyaṃśabdopetā	mogatiH-tO=-Ali-H-AvAhirAm-u-vaha-KiDeDina-ruMruMnimaH-BeBina-maH-monimaHBeBina-sat-uprazwAsazAnrvaci-carmu-gajiH-taMnaMruru-GraMSyaMSabda-upetA
   vāk glauṃ visṛṣṭyantāś ca saptamāś catvāro varmāstrāya phaḍ iti	vAc glOm visRzwi-antAH ca saptamAH catvAraH varma-astrAya Paw iti
   dvādaśottaraśatākṣarā || Parks_10.46 ||	dvAdaSa-uttara-Sata-akzarAH || ParkH-_10.46 ||
   pañcamaikādaśabījavarjā śrīr eva śrīpūrtividyā brahmakoṭare yaṣṭavyā ||	paQcama-ekAdaSa-bIja-varjA SrIH eva SrI-pUrti-vidyA brahma-koware yazwavyAH ||
   Parks_10.47 ||	ParkH-_10.47 ||
   śyāmāpādukāprathamatrikasthāne tāratrayaṃ kumārī vāk glauṃ iti yojyam |	SyAmA-pAdukA-praTama-trika-sTAne tAra-trayam kumArI vAc glOm iti yojyam |
   tataḥ parastāc cheṣaṃ samānam || Parks_10.48 ||	tatas parastAt Sezam samAnam || ParkH-_10.48 ||
   iyaṃ mahāpādukā sarvamantrasamaṣṭirūpiṇī svaikyavimarśinī	iyam mahApAdukA sarva-mantra-samazwi-rUpiNI sva-Ekya-vimarSinI
   mahāsiddhipradāyinī dvādaśānte yaṣṭavyā || Parks_10.49 ||	mahA-sidDi-pradAyinI dvAdaSAnte yazwavyAH || ParkH-_10.49 ||
   evaṃ raśmimālā sampūrṇā | sarvagātraḥ śuddhavidyāmayatanuḥ sa eva	evam raSmi-mAlA sampUrNAH | sarva-gAtraH SudDa-vidyA-maya-tanuH saH eva
   paramaśivaḥ || Parks_10.50 ||	parama-SivaH || ParkH-_10.50 ||
   atha vighnadevatāḥ | irimilikirikilipadāt parimirom ity ekaḥ | praṇavo	aTa viGna-devatAH | irimili-kirikilipadAt parimirom iti ekaH | praNavaH-
   māyā namo bhagavati mahātripurād bhaivarṇād ravipadam anu mama	mAyA namaH Bagavati mahA-tripurAt BEvarNAt ravi-padam anu mama
   traipurarakṣāṃ kuru kuru iti dvitīyaḥ | saṃhara saṃhara	trEpura-rakzAm kuru kuru iti dvitIyaH | saMhara saMhara
   vighnarakṣovibhīṣakān kālaya huṃ phaṭ svāhā iti tṛtīyaḥ | blūṃ raktābhyo	viGna-rakzaH-viBIzakAn kAlaya hum Paw svAhA iti tRtIyaH | blUm rakta-aByaH-
   yoginībhyo namaḥ iti caturthaḥ | sāṃ sārasāya bahvāśanāya namaḥ iti	yoginIByaH namaH iti caturTaH | sAm sArasAya bahvASanAya namaH iti
   pañcamaḥ | dumuluṣu muluṣu māyā cāmuṇḍāyai namaḥ iti ṣaṣṭhaḥ | ete manavo	paQcamaH | dumuluzu muluzu mAyA cAmuNxAyE namaH iti zazWaH | ete manavaH-
   lalitājapavighnadevatāḥ || Parks_10.51 ||	lalitA-japa-viGna-devatAH || ParkH-_10.51 ||
   hasanti hasitālāpe padaṃ mātam uktvā gīparicārike mama bhayavighnanāśaṃ	hasanti hasita-AlApe padam mAtam uktvA gIparicArike mama Baya-viGna-nASam
   kurudvitayaṃ savisargaṭhatritayam iti śyāmāvighnadevī || Parks_10.52 ||	kuru-dvitayam sa-visargaWa-tritayam iti SyAmA-viGna-devI || ParkH-_10.52 ||
   staṃ stambhinyai namaḥ iti kolamukhīvighnadevī || Parks_10.53 ||	stam stamBinyE namaH iti kola-muKI-viGna-devI || ParkH-_10.53 ||
   ete tattajjapārambhe japtavyāḥ || Parks_10.54 ||	ete tad-tad-japa-AramBe japtavyAH || ParkH-_10.54 ||
   lalitā prāhṇe | aparāhṇe śyāmā | vārtālī rātrau | brāhme muhūrte parā ||	lalitA prAhNe | aparAhNe SyAmA | vArtAlI rAtrO | brAhme muhUrte parA ||
   Parks_10.55 ||	ParkH-_10.55 ||
   vyavahāradeśasvātmyaprāṇodvegasahāyāmayavayāṃsi pravicāryaiva tadanukūlaḥ	vyavahAra-deSa-svAtmya-prANa-udvega-sahAya-Amaya-vayAMsi pravicArya-eva tad-anukUlaH
   pañcamādiparāmarśaḥ || Parks_10.56 ||	paQcama-Adi-parAmarSaH || ParkH-_10.56 ||
   sarvabhūtair avirodhaḥ || Parks_10.57 ||	sarva-BUtEH aviroDaH || ParkH-_10.57 ||
   paripanthiṣu nigrahaḥ || Parks_10.58 ||	paripanTizu nigrahaH || ParkH-_10.58 ||
   anugrahaḥ saṃśriteṣu || Parks_10.59 ||	anugrahaH saMSritezu || ParkH-_10.59 ||
   guruvat guruputrakalatrādiṣu vṛttiḥ || Parks_10.60 ||	guru-vat guru-putra-kalatra-Adizu vRttiH || ParkH-_10.60 ||
   ādimasya svayaṃ sevanam āgamadṛṣṭyā doṣadaṃ tyājyam || Parks_10.61 ||	Adimasya svayam sevanam Agama-dRzwyA doza-dam tyAjyam || ParkH-_10.61 ||
   sānandasya rucirasyāmodino laghuno vārkṣasya gauḍasya piṣṭaprakṛtinaḥ	sa-Anandasya rucirasya-AmodinaH laGunaH vArkzasya gOxasya pizwa-prakRtinaH
   andhaso vālkalasya kausumasya vā yathādeśasiddhasya vā tasya parigrahaḥ ||	anDasaH vAlkalasya kOsumasya vA yaTAdeSa-sidDasya vA tasya parigrahaH ||
   Parks_10.62 ||	ParkH-_10.62 ||
   tadanantaraṃ madhyamayor asvayam asuvimocanam | upādime nāyaṃ niyamaḥ |	tad-anantaram maDyamayoH asvayam asu-vimocanam | upAdime na-ayam niyamaH |
   madhyame tu svayaṃ saṃjñapane tatrāyaṃ mantraḥ	maDyame tu svayam saMjQapane tatra-ayam mantraH
   udbudhyasva paśo tvaṃ hi nāśivas tvaṃ śivo hy asi |	udbuDyasva paSo tvam hi nASivaH tvam SivaH hi asi |
   śivotkṛttam idaṃ piṇḍaṃ mattas tvaṃ śivatāṃ vraja ||	Siva-utkRttam idam piNxam mattaH tvam Siva-tAm vrajaH ||
   iti || Parks_10.63 ||	iti || ParkH-_10.63 ||
   sarvatra vacanapūrvaṃ pravṛttiḥ || Parks_10.64 ||	sarvatra vacana-pUrvam pravRttiH || ParkH-_10.64 ||
   daśakulavṛkṣānupaplavaḥ || Parks_10.65 ||	daSa-kula-vRkzAn-upaplavaH || ParkH-_10.65 ||
   strīvṛndādimakalaśasiddhaliṅgikrīḍākulakumārīkulasahakārāśokaikataruparetāvanimattaveśyāśyāmāraktavasanāmattebhānāṃ	strI-vRnda-Adi-makalaSa-sidDa-liFgi-krIxA-kula-kumArI-kula-sahakAra-aSoka-eka-taru-pareta-avanimatta-veSyA-SyAmA-rakta-vasanA-matta-iBAnAm
   darśane vandanam || Parks_10.66 ||	darSane vandanam || ParkH-_10.66 ||
   pañcaparvasu viśeṣārcā || Parks_10.67 ||	paQca-parvasu viSeza-arcAH || ParkH-_10.67 ||
   ārambhataruṇayauvanaprauḍhatadantonmanānavasthollāseṣu prauḍhāntāḥ	AramBa-taruNa-yOvana-prOXata-d-anta-unmanAn-avasTa-ullAsezu prOXa-antAH
   samayācārāḥ | tataḥ paraṃ yathākāmī | svairavyavahāreṣu vīrāvīreṣv	samaya-AcArAH | tatas param yaTAkAmI | svEra-vyavahArezu vIrA-vIrezu-
   ayathāmananād adhaḥ pātaḥ || Parks_10.68 ||	ayaTAmananAt aDas pAtaH || ParkH-_10.68 ||
   raktātyāgaviraktākramaṇodāsīnāpralobhanavarjanam || Parks_10.69 ||	rakta-atyAga-virakta-AkramaNa-udAsInA-praloBana-varjanam || ParkH-_10.69 ||
   ghṛṇāśaṅkābhayalajjājugupsākulajātiśīlānāṃ krameṇāvasādanam || Parks_10.70	GRNA-SaFkA-Baya-lat-jAju-gupsA-kula-jAti-SIlAnAm krameNa-avasAdanam || ParkH-_10.70
   gurupragurusannipāte praguroḥ prathamaṃ praṇatiḥ tadagre tadanurodhena	guru-praguru-sannipAte praguroH praTamam praNatiH tad-agre tad-anuroDena
   tannativarjanam || Parks_10.71 ||	tat-nati-varjanam || ParkH-_10.71 ||
   abhyarhiteṣv aparāṅmukhyam || Parks_10.72 ||	aByarhitezu aparAFmuKyam || ParkH-_10.72 ||
   mukhyatayā prakāśavibhāvanā || Parks_10.73 ||	muKya-tayA prakASa-viBAvanA || ParkH-_10.73 ||
   adhijigamiṣā śarīrārthāsūnāṃ gurave dhāraṇam || Parks_10.74 ||	aDijigamizA SarIra-arTa-asUnAm gurave DAraNam || ParkH-_10.74 ||
   etaduktakaraṇam || Parks_10.75 ||	etat-ukta-karaNam || ParkH-_10.75 ||
   aparīkṣaṇaṃ tadvacane vyavasthā || Parks_10.76 ||	aparIkzaNam tad-vacane vyavasTA || ParkH-_10.76 ||
   sarvathā satyavacanam || Parks_10.77 ||	sarvaTA satya-vacanam || ParkH-_10.77 ||
   paradāradhaneṣv anāsaktiḥ || Parks_10.78 ||	para-dAra-Danezu anAsaktiH || ParkH-_10.78 ||
   svastutiparanindāmarmaviruddhavacanaparihāsadhikkārākrośatrāsanavarjanam	sva-stuti-para-nindA-marma-virudDa-vacana-parihAsa-DikkAra-AkroSa-trAsana-varjanam
   || Parks_10.79 ||	|| ParkH-_10.79 ||
   prayatnena vidyārādhanadvārā pūrṇakhyātisamāveśanecchā cety ete	prayatnena vidyA-ArADana-dvArA pUrNa-KyAti-samAveSana-icCA ca-iti ete
   sāmāyikācārāḥ || Parks_10.80 ||	sAmAyika-AcArAH || ParkH-_10.80 ||
   pare ca śāstrānuśiṣṭāḥ || Parks_10.81 ||	pare ca SAstra-anuSizwAH || ParkH-_10.81 ||
   itthaṃ viditvā vidhivad anuṣṭhitavataḥ kulaniṣṭhasya sarvataḥ kṛtakṛtyatā	itTam viditvA viDivat anuzWitavataH kula-nizWasya sarvatas kRtakRtya-tA
   śarīratyāge śvapacagṛhakāśyor nāntaraṃ jīvanmuktaḥ || Parks_10.82 ||	SarIra-tyAge Svapaca-gRha-kASyoH na-antaram jIvanmuktaH || ParkH-_10.82 ||
   ya imāṃ daśakhaṇḍīṃ mahopaniṣadaṃ mahātraipurasiddhāntasarvasvabhūtām	yaH imAm daSa-KaNxIm mahA-upanizadam mahA-trEpura-sidDAnta-sarvasva-BUtAm
   adhīte saḥ sarveṣu yajñeṣu yaṣṭā bhavati yaṃ yaṃ kratum adhīte tena	aDIte saH sarvezu yajQezu yazwA Bavati yam yam kratum aDIte tena
   tenāsyeṣṭaṃ bhavati iti hi śrūyate ity upaniṣat iti śivam || Parks_10.83	tena-asya-izwam Bavati iti hi SrUyate iti upanizad iti Sivam || ParkH-_10.83
