   REFERENCE SYSTEM:	RA eFA eRENCE SYSTEM:
   asti hi teṣu vidyudādivilakṣaṇakālāntarasthāyirūpaprakāśa' /	asti hi tezu vidyut Adi vilakzaNa kAla antara sTAyi rUpa prakASa a /
   sannihitāvāntarasambandho na pratyakṣa iti tadrūpamapratyakṣaṃ bhavati /	sannihita avAntara sambanDaH na pratyakzaH iti tad rUpam apratyakzam Bavati /
   apratyakṣe hi tasmin nedaṃ rajatamiti sūrvānubhūtarajatabādho na syād,	apratyakze hi tasmin na idam rajatam iti sUrva anuBUta rajata bADaH na syAt ,
   bhinnaviṣayatvāt /	Binna vizaya tvAt /
   svakāle hi pūrvavijñānena rajataṃ viṣayīkṛtaṃ na	sva kAle hi pUrva vijQAnena rajatam vizayIkRtam na
   bhaviṣyadvādhakajñānakṣaṇa iti kathaṃ tatrāprasaktaṃ bādhyate /	Bavizyat vADaka jQAna kzaNaH iti kaTam tatra aprasaktam bADyate /
   kālāntarasambdho 'pi tena rūpeṇa pūrvajñānāvadhāritaṃ	kAla antara sambDaH api tena rUpeNa pUrva jQAna avaDAritam
   bhaviṣyajjñānakālamapi vyāptotīti bhavati samānaviṣayatāmāsādya bādha' /	Bavizyat jQAna kAlam api vyAptoti iti Bavati samAna vizaya tAm AsAdya bADa a /
   nanu yad vastuno rūpaṃ tatparānapekṣamavagamyate, agnerivoṣṇatvam /	nanu yat vastunaH rUpam tad para anapekzam avagamyate, agneH iva uzNa tvam /
   na ca dhūmasyāgṛhītapratisambandhinā tadrūpamavagamyata iti kathaṃ	na ca DUmasya agRhIta pratisambanDinA tad rUpam avagamyate iti kaTam
   vasturūpatvam /	vastu rUpa tvam /
   maivam /	mA evam /
   sambandho hyasau, kathamanavagate pratisambdhinyavasīyate /	sambanDaH hi asO, kaTam anavagate pratisambDini avasIyate /
   yathāha 	yaTA Aha 
   'niyamo nāma sambandha' svamatenocyate 'dhunā'	aniyamaH nAma sambanDa a sva matena ucyate aDunA a
   iti /	iti /
   ato yadetadagninā dhūmasya niyatvaṃ bhāvātmakamidaṃ	atas yat etat agninA DUmasya niyatvam BAva Atmakam idam
   tatpratyakṣeṇāvagamyata iti kimanupapannam /	tad pratyakzeNa avagamyate iti kim anupapannam /
   yathā cānagninivṛttirna niyama' tathā varṇitameva /	yaTA ca anagni nivRttiH na niyamaH a taTA varNitam eva /
   vipakṣavyāvṛttyā tu vidhirūpa eva niyama' parīkṣakairvyākhyāya parebhya'	vipakza vyAvRttyA tu viDi rUpaH eva niyama a parIkzakEH vyAKyAya pareByaH a
   pratipādyate /	pratipAdyate /
   kṛttikodayamālakṣya rohiṇyāsattikḷptivat /	kRttikA udayam Alakzya rohiNI A satti k?pti vat /
   nanu niyamyatvamapi karmakārakatvaṃ tacca śaktirūpaṃ kathaṃ pratyakṣam /	nanu niyamya tvam api karma kAraka tvam tat ca Sakti rUpam kaTam pratyakzam /
   na /	na /
   kārakāntarapratyakṣavadupapatte' /	kAraka antara pratyakza vat upapatte a /
   kārakāntaraśaktayo 'pi hi na pratyakṣā', ato 'satyeva śaktipratyakṣatve	kAraka antara SaktayaH api hi na pratyakzA a, atas asati eva Sakti pratyakza tve
   kārakaṃ pratyakṣameṣitavyam /	kArakam pratyakzam ezitavyam /
   evamihāpi niyamya' pratyakṣo bhaviṣyatīti	evam iha api niyamya a pratyakzaH Bavizyati iti
   kimanupapannam /	kim anupapannam /
   ata' siddhaṃ tāvat pratyakṣatvam /	ata a sidDam tAvat pratyakza tvam /
   āgamikeṣu cārtheṣu tasya tasya phalasya tena tena vedavedyen karmaṇā	Agamikezu ca arTezu tasya tasya Palasya tena tena veda vedyet karmaNA
   samanvayāt, karmāntarānvayasya cānavagamād anenaiva karmaṇedaṃ phalaṃ	samanvayAt, karma antara anvayasya ca anavagamAt anena eva karmaNA idam Palam
   vyāptamiti śāstrādadagamyate /	vyAptam iti SAstra Adadagamyate /
   niyatasādhyatvāvagamāt /	niyata sADya tva avagamAt /
   meghābhāvavṛṣṭyabhāvayośca svatantrābhāvapratīkāśamākāśasya vapu'	meGa aBAva vRzwi aBAvayoH ca svatantra aBAva pratIkASam AkASasya vapu a
   saṃlakṣyate /	saMlakzyate /
   vṛṣṭyabhāva iti ca pṛthivyā eva	vRzwi aBAvaH iti ca pRTivyAH eva
   nibiḍakaṭhorapāṇḍurādibhāva' /	nibixa kaWora pANxura Adi BAva a /
   tacca rūpamubhayasyāpi pratyakṣasamadhigamyameveti tadeva tatra	tat ca rUpam uBayasya api pratyakza samaDigamyam eva iti tat eva tatra
   vyāptipramāṇam /	vyApti pramANam /
   evamanyatrāpi darśayitavyamiti /	evam anyatra api darSayitavyam iti /
   bhavatu tāvadanyad vyākhyāsyāma iti samadhigataṃ tāvad vyāpte' svarūpaṃ	Bavatu tAvat anyat vyAKyAsyAmaH iti samaDigatam tAvat vyApte a svarUpam
   pramāṇaṃ ca /	pramANam ca /
   idaṃ tu cintanīyam /	idam tu cintanIyam /
   kasya kena vyāptiriti /	kasya kena vyAptiH iti /
   na hyekatra viditāvagnidhūmaviśeṣau pradeśāntare dṛśyete /	na hi ekatra viditO= agni DUma viSezO pradeSa antare dRSyete /
   yat tayorakasyaikenānvayavyatirekasamadhigamyā vyāptirbhavet, ato vācyaṃ	yat tayorakasya ekena anvaya vyatireka samaDigamyAH vyAptiH Bavet, atas vAcyam
   vyāpteradhikaraṇam /	vyApteH aDikaraNam /
   ata āha  sāmānyeti /	atas Aha sAmAnyA iti /
   satyaṃ na viśeṣayorvyāpti', sāmānyātmanoreva dhūmākṛtiragnayākṛtyā	satyam na viSezayoH vyApti a, sAmAnya AtmanoH eva DUma AkRtiH agnayA AkRtyA
   niyateti /	niyata iti /
   ato na kaścid doṣa iti /	atas na kaScid dozaH iti /
   idaṃ tu prāyikam, sthāyinostu viśeṣayorapi kvacid	idam tu prAyikam, sTAyinoH tu viSezayoH api kvacid 
   vyāptirbhavatyevetyāha  kvaciditi ||12||	vyAptiH Bavati eva iti Aha kvacid iti ||12||
   atraivodāharaṇamāha kṛttikodayamiti /	atra eva udAharaNam Aha kRttika udayam iti /
   yatra hi kṛttikodayaṃ dṛṣṭvā rohiṇyāsatti' kathyate  anantaramudeṣyati	yatra hi kRttika udayam dRzwvA rohiNyA asatti a kaTyate anantaram udezyati
   rohiṇīti, tasminnanumāne viśeṣasyaiva viśeṣeṇa vyāpti' /	rohiNI iti, tasmin= anumAne viSezasya eva viSezeNa vyApti a /
   na hi tayo' sāmānyamasti /	na hi tayaH a sAmAnyam asti /
   vyaktibhede pramāṇābhāvāt /	vyakti Bede pramANa aBAvAt /
   pratyabhijñāyate hi saiveyaṃ kṛttikā, saiveyaṃ rohiṇīti /	pratyaBijQAyate hi sA eva iyam kRttikA, sA eva iyam rohiNI iti /
   kathamanyā bhaviṣyati /	kaTam anyA Bavizyati /
   ata' siddhaṃ viśeṣayorevātra vyāptiriti /	ata a sidDam viSezayoH eva atra vyAptiH iti /
   yadi tarhi vyāptiranumānām, asti khalvasau hiṃsātvasyādharmatvena	yadi tarhi vyAptiH anumAnAm, asti Kalu asO hiMsA tu asya aDarma tvena
   bāhyahiṃsāsvityata' kratāvapi hiṃsātvādadharmatvamanumīyate /	bAhya hiMsAsu iti ata a kratO= api hiMsA tvAt aDarma tvam anumIyate /
   tatra ca	tatra ca
   vyāpteśca dṛśyamānāyā' kaścid dharma' prayojaka' // Msv_5,4.13 //	vyApteH ca dRSyamAnAyAa kaScid Darma a prayojaka a // Msu _5,4.13 //
   asmin satyamunā bhāvyamiti śaktyā nirūpyate /	asmin sati amunA BAvyam iti SaktyA nirUpyate /
   anye paraprayuktānāṃ vyāptīnāmupajīvakā' // Msv_5,4.14 //	anye para prayuktAnAm vyAptInAm upajIvakA a // Msu _5,4.14 //
   tairdṛṣṭairapi naiveṣṭā vyāpakāṃśāvadhāraṇā /	tEH dRzwEH api na eva izwA vyApaka aMSa avaDAraNAH /
   ye tu tānapi visrabdhaṃ sādhyasiddhai prayuñjate // Msv_5,4.15 //	ye tu tAn api visrabDam sADya sidDEH prayuQjate // Msu _5,4.15 //
   daikṣapaśuhiṃsādīnāmadharmatvaṃ prasajyetetyata āha vyāpteśceti dvayena /	dEkza paSu hiMsA AdInAm aDarma tvam prasajyeta iti atas Aha vyApteH ca iti dvayena /
   ayamabhiprāya'    satyāmāpātād bhavati bhrama', yathā kila	ayam aBiprAya a   satyAm ApAtAt Bavati Brama a, yaTA kila
   hiṃsātvamātrānubandhyadharmatvamiti /	hiMsA tva mAtra anubanDya Darma tvam iti /
   natvetadevam /	na tu etat evam /
   nirjñātena hyadharmatvena hiṃsātvaṃ vyāpyate /	nirjQAtena hi aDarma tvena hiMsA tvam vyApyate /
   na ca śāstrādṛte tajjñānopāya' sambhavati /	na ca SAstrAt Rte tat jQAna upAya a samBavati /
   naca hiṃsātvamātramanarthasādhanamiti śāstramasti /	na ca hiMsA tva mAtram anarTa sADanam iti SAstram asti /
   viśeṣahiṃsāyā vihitatvāt /	viSeza hiMsAyAH vihita tvAt /
   vidhyavarūddhaviṣaye ca pratiṣedhānavakāśāt /	viDi avarUdDa vizaye ca pratizeDa an avakASAt /
   pratiṣedhamantareṇa cānarthasādhanatvajñānopāyābhāvāt /	pratizeDam antareNa ca anarTa sADana tva jQAna upAya aBAvAt /
   ata' parihṛtyāpavādaviṣayamutsargau'bhiniviśata iti hiṃsāntarāṇi 'na	ata a parihRtya apavAda vizayam utsargO aBiniviSataH iti hiMsA antarANi ana
   hiṃsyādi'ti pratiṣedho 'valambate /	hiMsi Adi ati pratizeDaH avalambate /
   evaṃ ca yadyapi bāhyahiṃsāsu hiṃsātvādharmatvayo' sāhityamavagataṃ,	evam ca yadi api bAhya hiMsAsu hiMsA tva aDarma tvayaH a sAhityam avagataM,
   tathāpi na hiṃsātvamadharmatvaprayojakam /	taTA api na hiMsA tvam aDarma tva prayojakam /
   kintu niṣiddhatvam /	kintu nizidDa tvam /
   asatyapi hiṃsātve niṣiddhatvamātreṇa surāpānādāvadharmatvasiddhe' /	asati api hiMsA tve nizidDa tva mAtreNa surA pAnAdO= a Darma tva sidDe a /
   ato ya evāsmin satyevāsya bhavituṃ śaktirasti ityanena rūpeṇa nirūpyate /	atas yaH eva asmin sati eva asya Bavitum SaktiH asti iti anena rUpeNa nirUpyate /
   vyāpyatayāvagamyata iti yāvat /	vyApya tayA avagamyate iti yAvat /
   sa eva dharma' prayojaka ityucyate /	saH eva Darma a prayojakaH iti ucyate /
   paraprayuktavyāptyujīvinastu hiṃsātvādaya', na	para prayukta vyApti u jIvinaH tu hiMsA tvAdaya a, na
   tairadharmatvādivyāpakakāṃśo 'vadhārayituṃ kvacidvihitānāṃ	tEH aDarma tva Adi vyApakaka aMSaH avaDArayitum kvacid vihitAnAm
   daikṣapaśvādihiṃsānāmadharmatvamiti ||14||	dEkza paSu Adi hiMsA nAma Darma tvam iti ||14||
   ye tvevañjātīyakānapyaprayojakān hetūn prayuñjate, te sulabhai'	ye tu evan jAtIyakAn api aprayojakAn hetUn prayuQjate, te sulaBE a
   pratihetvādidauṣauściraṃ bhrāmyanti /	pratihetu Adi dOzOH ciram BrAmyanti /
   śakyate hi pratiheturdarśayituṃ, daikṣapaśuhiṃsādharma'	Sakyate hi pratihetuH darSayituM, dEkza paSu hiMsA Darma a
   vihitatvādagnihautrādivaditi /	vihita tvAt agni hOtra Adi vat iti /
   prayojake hi hetāvevañjātīyakā doṣā nāspadaṃ labhante /	prayojake hi hetO= evan jAtIyakAH dozAH na Aspadam laBante /
   aprayojake tu sulabhā eva /	aprayojake tu sulaBAH eva /
   tadetadāha yetviti /	tat etat Aha yetu iti /
   visrabdhamiti kriyāviśeṣaṇam /	visrabDam iti kriyA viSezaNam /
   yathā viśvāso bhavati tathā prayuñjata ityartha' ||15||	yaTA viSvAsaH Bavati taTA prayuQjate iti arTa a ||15||
   sulabhai' pratihetvādidauṣairbhrāmyanti te ciram /	sulaBE a pratihetu Adi dOzEH BrAmyanti te ciram /
   teṣvāgamaviruddhatvaṃ svayaṃ ceṣṭavighātitā // Msv_5,4.16 //	tezu Agama virudDa tvam svayam ca izwa viGAti tAH // Msu _5,4.16 //
   alaukikavivādāśca varjyāste haitukaistata' /	alOkika vivAdAH ca varjyAH te hEtukEH tatas a /
   niṣiddhatvena hiṃsānāmadharmatvaṃ prayujyate // Msv_5,4.17 //	nizidDa tvena hiMsA nAm aDarma tvam prayujyate // Msu _5,4.17 //
   tadabhāve na tatsiddhirhiṃsātvādaprayojakāt /	tad aBAve na tad sidDiH hiMsA tvAt aprayojakAt /
   hetudvayaprayukte ca mithyātve sarvabuddhiṣu // Msv_5,4.18 //	hetu dvaya prayukte ca miTyAtve sarva budDizu // Msu _5,4.18 //
   jñānattvotpattimattvādisādhako /	jQAnattva utpattimat tva Adi sADakaH /
   na prayojaka' /	na prayojaka a /
   traivarṇikaprayuktā ca yāgāde' svargahetutā // Msv_5,4.19 //	trEvarNika prayuktA ca yAgAde a svarga hetu tAH // Msu _5,4.19 //
   pratihetvādidoṣairbhrāmyantītyuktam tāneva doṣānupanyasyati teṣviti /	pratihetu Adi dozEH BrAmyanti iti uktam tAn eva dozAn upanyasi ati tezu iti /
   pratihetustāvadasmābhirukta eva /	pratihetuH tAvat asmABiH uktaH eva /
   āgamavirodho 'pyevaṃvādināmāpadyata eva, āgamaikapramāṇatvād	Agama viroDaH api evaMvAdinAm Apadyate eva, Agama eka pramANa tvAt 
   dharmādharmayo' /	Darma aDarmayaH a /
   kvacidiṣṭavighāta' kvacidalaukikavivāda iti ||16||	kvacid izwa viGAta a kvacid alOkika vivAdaH iti ||16||
   āgamavirodhodāharaṇaṃ tāvadāha  niṣiddhatveneti /	Agama viroDa udAharaNam tAvat Aha nizidDa tvena iti /
   idaṃ cānāgatāvekṣaṇanyāyena pragevāsmābhirvyākhyātamiti ||17||	idam ca anAgata avekzaNa nyAyena pragA iva asmABiH vyAKyAtam iti ||17||
   iṣṭavirodhodāharaṇamāha hetudvayeti /	izwa viroDa udAharaNam Aha  hetu dvaya iti /
   bādhakāraṇadoṣādhīnaṃ hi sarvatra mithyābuddhīnāṃ mithyātvam, na ca	bADa kAraNa doza aDInam hi sarvatra miTyA budDInAm miTyAtvam, na ca
   jñānatvenotpattittvena vā	jQAna tvena utpattittvena vA
   prayujyate, satyamithyātvasādhāraṇatvādanayo' /	prayujyate, satya miTyA tva sADAraNa tvAt anayaH a /
   jñānatvādeva tanmithyātvaṃ sādhayato bauddhasyeṣṭavighātakārī hetu',	jQAna tvAt eva tat miTyA tvam sADayataH bOdDasya izwa viGAta kArI hetu a,
   dharmadharmisvarūpasvaviśeṣayorapi pratikṣepāt /	Darma Darmi svarUpa sva viSezayoH api pratikzepAt /
   sarvalokaprasiddhapṛthivyādyapalāpāccālokikavivādo 'pyatraiva	sarva loka prasidDa pRTivI Adi a palApAt ca Alokika vivAdaH api atra eva
   darśayitavya', na hi sarvavijñānāni mithyetyevaṃvidhaṃ vivādaṃ lokikā'	darSayitavya a, na hi sarva vijQAnAni miTyA iti evaMviDam vivAdam lokikA a
   sahante /	sahante /
   sahasaiva hyevaṃvidhavivādaśrāviṇāmudvego jāyate /	sahasA eva hi evaMviDa vivAda SrAviNAm udvegaH jAyate /
   yathā    acandra' śaśītyādau /	yaTA   acandra a SaSI iti AdO /
   ato 'yamalokiko vivāda' /	atas ayam alokikaH vivAda a /
   tathā coktam   	taTA ca uktam   
   "sarvalokaprasiddhyā ca pakṣabādho 'tra te dhruvam" iti ||18||	"sarva loka prasidDyA ca pakza bADaH atra te Druvam" iti ||18||
   aparamapyāgamavirodhasyodāharaṇaṃ darśayati traivarṇaketi /	aparam api Agama viroDasya udAharaNam darSayati trEvarNaka iti /
   santi khalu svargakāmo yajetetyevaṃ vihitāni somādīni karmāṇi /	santi Kalu svarga kAmaH yajeta iti evam vihitAni soma AdIni karmANi /
   teṣu kiṃ	tezu kim
   na manuṣyatvamātreṇa śūdrasthena prayujyate /	na manuzya tva mAtreNa SUdra sTena prayujyate /
   kṛtasāyavayavatvādiprayuktā ca vināśitā // Msv_5,4.20 //	kRta sAya vayava tva Adi prayuktA ca vinASitA // Msu _5,4.20 //
   prayatnānantarajñānasadṛśairna prayujyate /	prayatna anantara jQAna sadRSEH na prayujyate /
   caturṇāṃ varṇānāmadhikāra', utāpaśūdrāṇāṃ trayāṇāmiti saṃśaye caturṇāmiti	caturNAm varNAnAm aDikAra a, uta apa SUdrANAm trayANAm iti saMSaye caturNAm iti
   prāptam, catvāro 'pi hi varṇā' svargaṃ kāmayantara iti	prAptam, catvAraH api hi varNA a svargam kAmayantaraH iti
   svargakāmapadenābhidhīyante /	svarga kAma padena aBiDIyante /
   svargakāmaścātrādhikāritayā jñāyata iti prāpte uktam   apaśūdrāṇāmadhikāra	svarga kAmaH ca atra aDikAri tayA jQAyate iti prApte uktam   apaSUdrANAm aDikAra
   iti /	iti /
   vidyāgnisādhyā hi te kratava' /	vidyA agni sADyAH hi te kratava a /
   anagniravidvāṃścāntimo varṇa' /	anagniH avidvAn= ca antimaH varNa a /
   kathamasau vaitānike karmaṇyadhikriyate /	kaTam asO vEtAnike karmaNi aDikriyate /
   nanu śrutyarthāvagatādhikārasāmarthyādeva śūdrasyāgnividyayorakṣepo	nanu Sruti arTa avagata aDikAra sAmarTyAt eva SUdrasya agni vidyayoH akzepaH 
   bhaviṣyati /	Bavizyati /
   na /	na /
   avidhānāt /	aviDAnAt /
   traivarṇakasyaiva 'aṣṭavarṣaṃ brāhmaṇamavupanayīta' 'vasante brāhmaṇo	trEvarNakasya eva aazwa varzam brAhmaNam avupanayIta a avasante brAhmaNaH 
   'gnīnādadhīta' ityevamādibhiragnividye vihite /	agnInAt aDIta a iti evamAdiBiH agni vidye vihite /
   na cāniyamenaiva te śūdrasyāpi bhaviṣyata' iti śakyate vaktum /	na ca aniyamena eva te SUdrasya api Bavizyata a iti Sakyate vaktum /
   ko hi pratilabdhavidyāgnisambandhastraivarṇikādhikārasampāditāsu	kaH hi pratilabDa vidyA agni sambanDaH trEvarNikA aDikAra sampAditAsu
   kāmaśrutiṣu niyatakālayovasthamupanayanamādhānaṃ vā	kAmaSrutizu niyata kAlayovasTam upanayanam ADAnam vA
   jaghanyavarṇasyopakalpayitumutsahate /	jaGanya varNasya upakalpayitum utsahate /
   atastraivarṇikatvaprayuktameva yāgādīnāṃ svargahetutvam /	atas trEvarNika tva prayuktam eva yAga AdInAm svarga hetu tvam /
   na manuṣyatvamātreṇa śūdramavāyinā prayujyate /	na manuzya tva mAtreNa SUdram avAyinA prayujyate /
   tad yadi kaścadanumānakuśala' prayuṅkte śūdrakṛto yāga' svargahetu'	tat yadi kaScat anumAna kuSala a prayuFkte SUdra kRtaH yAga a svarga hetu a
   manuṣyakṛtatvāt traivarṇikācaritayāgavaditi /	manuzya kRta tvAt trEvarNikA Acarita yAga vat iti /
   tasyāgamavirodha' /	tasya Agama viroDaH a /
   nanvāgamavirodha udāhṛta eva, kiṃ punastadudāharaṇena /	nanu Agama viroDaH udAhRtaH eva, kim punar tad udAharaNena /
   ucyate /	ucyate /
   pūrvamadharmatvānumānasya vaidikahiṃsāviṣayasya sākṣādāgamavirodho	pUrvam aDarma tva anumAnasya vEdika hiMsA vizayasya sAkzAt Agama viroDaH 
   varṇita', vyaktameva daikṣapaśuhiṃsā vidhīyamānatvād	varNita a, vyaktam eva dEkza paSu hiMsA viDIyamAna tvAt 
   arthasādhanamityetadavagamyate, kathamasāvadharmo bhaviṣyatīti,	arTa sADanam iti etat avagamyate, kaTam asO= aDarmaH Bavizyati iti,
   codanālakṣaṇasyārthasya dharmatvāt /	codanA lakzaNasya arTasya Darma tvAt /
   iha tu śūdrakṛtasya yāgāde' svargahetutā na sākṣādāgamena pratikṣipyate /	iha tu SUdra kRtasya yAgAde a svarga hetu tA na sAkzAt Agamena pratikzipyate /
   kintu traivarṇikādhikāralābhādarthāditaranirāsa iti viśeṣa' ||19||	kintu trEvarNikA aDikAra lABAt arTAditara nirAsaH iti viSeza a ||19||
   aprayojakodāharaṇacchalenedānīṃ paropālambhānārthamudāharaṇāntarāṇi	aprayojaka udAharaNa= Calena idAnIm para upAlamBAna arTam udAharaNa antarANi
   darśayati   kṛtetidvayena /	darSayati    kRtA iti dvayena /
   prayatnānantarajñānasadṛśā' pratyayānavasthānādayo 'bhimatā' tai'	prayatna anantara jQAna sadRSA a pratyaya anavasTAna AdayaH aBimatAa tE a
   śabdagocaraistasya vināśitā na prayujyate /	Sabda gocarEH tasya vinASitA na prayujyate /
   kṛtakatvādiprayuktā hyasau /	kRtaka tva Adi prayuktAH hi asO /
   na ca kṛtakatvameva prayatnānantaradarśanena sādhayituṃ śakyam /	na ca kRtaka tvam eva prayatna anantara darSanena sADayitum Sakyam /
   ākāśādibhirvyabhicārāt /	AkASa AdiBiH vyaBicArAt /
   yadi tarhi sāvayavatvaprayuktā vināśitā,	yadi tarhi sAvayava tva prayuktA vinASitA,
   jātimattvendriyatvādi vastusanmātrabandhanam // Msv_5,4.21 //	jAtimat tva indriya tva Adi vastu sanmAtra banDanam // Msu _5,4.21 //
   śabdānityatvasiddhyarthaṃ ko vaded yo na tārkika' /	Sabda anitya tva sidDi arTam kaH vadet yaH na tArkika a /
   tasmād ya eva yasyārtho dṛṣṭa' sādhanaśaktita' // Msv_5,4.22 //	tasmAt yaH eva yasya arTaH dRzwa a sADana Saktita a // Msu _5,4.22 //
   sa eva gamakastasya na prasaṅgānvito 'pi ya' /	saH eva gamakaH tasya na prasaFga anvitaH api yaH a /
   upāttaścaikadeśābhyāṃ dharmyapyatraikadeśavān // Msv_5,4.23 //	upAttaH ca eka deSAByAm DarmI api atra eka deSavAn // Msu _5,4.23 //
   kimidānīṃ naśvarāṇi bhuvanāni bhuvanasanniveśāśca	kim idAnIm naSvarANi BuvanAni Buvana sanniveSAH ca
   mahīmahīdharodadhiprabhṛtaya' /	mahI mahIDara udaDi praBRtaya a /
   satyam /	satyam /
   sarvameva sāvayavaṃ vināśadharmakam, mahīmahīdharādayo 'pi	sarvam eva sa avayavam vinASa Darmakam, mahI mahIDara AdayaH api
   samāsāditasvāvayavasaṃyogāvibhāgāviśeṣā bhāgaśo naśyantyeva /	samAsAdita sva avayava saMyoga aviBAga aviSezAH BAgaSas naSyanti eva /
   niranvayaṃ tu vināśaṃ na kasyacidabhyupagacchāma' /	niranvayam tu vinASam na kasyacid aByupagacCa Ama a /
   evaṃ mahābhūmerapyāvāpodvāpabhedānnāśo darśayitavya' /	evam mahA BUmeH api AvApa udvApa BedAt nASaH darSayitavya a /
   tathā yadapi vaiśeṣikairjātimattvādaindriyakatvācca	taTA yat api vESezikEH jAtimat tvAt Endriyaka tvAt ca
   śabdānityatvamanumitaṃ, tadapyayuktam /	Sabda anitya tvam anumitaM, tat api ayuktam /
   etaddhi jātimattvādi vastusanmātranibandhanameva nityānityasādhāraṇam,	etat hi jAtimattva Adi vastu sanmAtra nibanDanam eva nitya anitya sADAraNam,
   nānenānityatā sādhyate /	na anena anitya tA sADyate /
   kimidaṃ vastusanmātranibandhanamiti, paramārthasannibandhanamityuktaṃ	kim idam vastu sanmAtra nibanDanam iti, parama arTa sannibanDanam iti uktam
   bhavati /	Bavati /
   paramārthasanta eva ghaṭākāśātmādaya	parama arTa santaH eva GawAkASa Atma Adaya
