   Rmañj, 1	RmaQj, 1
   vaṅgaṃ tiktoṣṇakaṃ rūkṣamīṣadvātaprakopanam /	vaFgam tikta-uzNakam rUkzam-Izat-vAta-prakopanam /
   mehaśleṣmāmayaghnaṃ ca kṛmighnaṃ mohanāśanam // Rmañj_5.49 //	meha-Slezma-Amaya-Gnam ca kRmi-Gnam moha-nASanam // RmaQt-_5.49 //
   <iron:: śodhana:: adri>	<iron:: SoDana:: adri>
   triphalādaṣṭaguṇe toye triphalā ṣoḍaśaṃ palam /	triPalAt-azwaguNe toye triPalA zoxaSam palam /
   tatkvāthe pādaśeṣe tu lohasya palapañcakam // Rmañj_5.50 //	tad-kvATe pAda-Seze tu lohasya pala-paQcakam // RmaQt-_5.50 //
   kṛtvā patrāṇi taptāni saptavāraṃ niṣecayet /	kRtvA patrANi taptAni sapta-vAram nizecayet /
   evaṃ pralīyate doṣo girijo lohasambhavaḥ // Rmañj_5.51 //	evam pralIyate dozaH girijaH loha-samBavaH // RmaQt-_5.51 //
   <lohabhasma>	<loha-Basma>
   śuddhasya sūtarājasya bhāgo bhāgadvayaṃ baleḥ /	SudDasya sUtarAjasya BAgaH BAga-dvayam baleH /
   dvayoḥ samaṃ sāracūrṇaṃ mardayet kanyakāmbunā // Rmañj_5.52 //	dvayoH samam sAra-cUrNam mardayet kanyakA-ambunA // RmaQt-_5.52 //
   yāmadvayaṃ tato golaṃ sthāpayettāmrabhājane /	yAma-dvayam tatas golam sTApayet-tAmra-BAjane /
   ācchādyairaṇḍajaiḥ patrairuṣṇo yāmadvayaṃ bhavet // Rmañj_5.53 //	AcCAdya-eraNxa-jEH patrEH-uzNaH yAma-dvayam Bavet // RmaQt-_5.53 //
   tridinaṃ dhānyarāśisthaṃ taṃ tato mardayed dṛḍham /	tri-dinam DAnya-rASi-sTam tam tatas mardayet dRXam /
   rajastadvastragalitaṃ nīre tarati haṃsavat // Rmañj_5.54 //	rajaH-tad-vastra-galitam nIre tarati haMsa-vat // RmaQt-_5.54 //
   tīkṣṇaṃ muṇḍaṃ kāntalohaṃ nirutthaṃ jāyate mṛtam /	tIkzNam muNxam kAntaloham nirutTam jAyate mRtam /
   triphalāmadhusaṃyuktam etatsevyaṃ rasāyanam // Rmañj_5.55 //	triPalA-maDu-saMyuktam etat-sevyam rasAyanam // RmaQt-_5.55 //
   <lohabhasma>	<loha-Basma>
   dvādaśāṃśena daradaṃ tīkṣṇacūrṇasya melayet /	dvAdaSa-aMSena daradam tIkzNa-cUrNasya melayet /
   kanyānīreṇa saṃmardya yāmayugmaṃ tu tatpuṭet /	kanyA-nIreNa saMmardya yAma-yugmam tu tat-puwet /
   puṭedevaṃ lohacūrṇaṃ saptadhā maraṇaṃ vrajet // Rmañj_5.56 //	puwet-evam loha-cUrNam saptaDA maraNam vrajet // RmaQt-_5.56 //
   <lohabhasma>	<loha-Basma>
   kākodumbarikānīre lohapatrāṇi secayet /	kAkodumbarikA-nIre loha-patrANi secayet /
   taptataptāni ṣaḍvāraṃ kuṭṭayettad udūkhale // Rmañj_5.57 //	tapta-taptAni zaz-vAram kuwwayet-tat udUKale // RmaQt-_5.57 //
   tatpañcamāṃśaṃ daradaṃ kṣiptvā sarvaṃ vimardayet /	tad-paQcama-aMSam daradam kziptvA sarvam vimardayet /
   kumārīnīratas tīkṣṇaṃ puṭe gajapuṭe tathā // Rmañj_5.58 //	kumArI-nIrataH tIkzNam puwe gajapuwe taTA // RmaQt-_5.58 //
   trivāraṃ triphalākvāthaistatsaṃkhyākairatandritaḥ /	tri-vAram triPalA-kvATEH-tad-saMKyAkEH-atandritaH /
   evaṃ caturdaśapuṭairlohaṃ vāritaraṃ bhavet // Rmañj_5.59 //	evam caturdaSa-puwEH-loham vAritaram Bavet // RmaQt-_5.59 //
   <lohabhasma>	<loha-Basma>
   tindūphalasya majjāyāṃ khaḍgaṃ liptvātape khare /	tindU-Palasya majjAyAm Kaxgam liptvA-Atape Kare /
   dhārayet kāṃsyapātreṇa dinaikena puṭatyalam // Rmañj_5.60 //	DArayet kAMsya-pAtreNa dina-ekena puwati-alam // RmaQt-_5.60 //
   lepaṃ punaḥ punaḥ kuryād dinānte tatprapeṣayet /	lepam punar punar kuryAt dina-ante tat-prapezayet /
   triphalākvāthasaṃyuktaṃ dinaikena mṛtirbhavet // Rmañj_5.61 //	triPalA-kvATa-saMyuktam dina-ekena mRtiH-Bavet // RmaQt-_5.61 //
   <lohabhasma>	<loha-Basma>
   lohaṃ patramatīva taptamasakṛtkvāthe kṣipettraiphale cūrṇībhūtamato bhavet	loham patram-atIva taptam-asakRt-kvATe kzipet-trEPale cUrNIBUtam-atas Bavet-
   triphalaje kvāthe pacet gojale /	triPala-je kvATe pacet go-jale /
   matsyākṣītriphalārasena puṭayedyāvannirutthaṃ bhavet paścādājyamadhuplutaṃ	matsyAkzI-triPalA-rasena puwayet-yAvat-nirutTam Bavet paScAt-Ajya-maDu-plutam
   supuṭitaṃ bhasma bhaved āyasam // Rmañj_5.62 //	su-puwitam Basma Bavet Ayasam // RmaQt-_5.62 //
   <iron:: checking the vāritara state>	<iron:: Ceckinc Te vAritara state>
   sarvametanmṛtaṃ lohaṃ dhmātavyaṃ mṛtapañcake /	sarvam-etat-mRtam loham DmAtavyam mRta-paQcake /
   yadyeva syānnirutthānaṃ satyaṃ vāritaraṃ bhavet // Rmañj_5.63 //	yadi-eva syAt-nirutTAnam satyam vAritaram Bavet // RmaQt-_5.63 //
   <lohanirutthabhasma>	<loha-nirutTa-Basma>
   gandhakaṃ tutthakaṃ lohaṃ tulyaṃ khalve vimardayet /	ganDakam tutTakam loham tulyam Kalve vimardayet /
   dinaikaṃ kanyakādrāvai ruddhvā gajapuṭe pacet /	dina-ekam kanyakA-drAvEH rudDvA gajapuwe pacet /
   ityevaṃ sarvalohānāṃ kartavyetthaṃ nirutthitiḥ // Rmañj_5.64 //	iti-evam sarva-lohAnAm kartavyA-itTam nirutTitiH // RmaQt-_5.64 //
   <lohabhasmaguṇāḥ>	<loha-Basma-guNAH>
   kṛṣṇāyaso'tha śūlārśaḥkuṣṭhapāṇḍutvamehanut /	kRzNAyasaH-aTa SUla-arSaH-kuzWa-pANxu-tva-meha-nud /
   vayaḥsthaṃ guru cakṣuṣyaṃ saraṃ medogadāpaham // Rmañj_5.65 //	vayaHsTam guru cakzuzyam saram medaH-gada-apaham // RmaQt-_5.65 //
   āyuḥpradātā balavīryakartā rogasya hartā madanasya kartā /	AyuH-pradAtA bala-vIrya-kartA rogasya hartA madanasya kartA /
   ayaḥsamānaṃ nahi kiṃcid anyad rasāyanaṃ śreṣṭhatamaṃ hi janto //	ayaH-samAnam na-hi kiMcid anyat rasAyanam SrezWatamam hi jantaH //
   Rmañj_5.66 //	RmaQt-_5.66 //
   kūṣmāṇḍaṃ tilatailaṃ ca māṣānnaṃ rājakaṃ tathā /	kUzmANxam tila-tElam ca mAza-annam rAjakam taTA /
   madyamamlarasaṃ caiva tyajellohasya sevakaḥ // Rmañj_5.67 //	madyam-amla-rasam ca-eva tyajet-lohasya sevakaH // RmaQt-_5.67 //
   <muṇḍa>	<muNxa>
   ye guṇā mārite muṇḍe te guṇā muṇḍakiṭṭake /	ye guNAH mArite muNxe te guNAH muNxa-kiwwake /
   tasmāt sarvatra maṇḍūraṃ rogaśāntyai niyojayet // Rmañj_5.68 //	tasmAt sarvatra maNxUram roga-SAntyE niyojayet // RmaQt-_5.68 //
   śatotthamuttamaṃ kiṭṭaṃ madhyamāśītivārṣikam /	Sata-utTam-uttamam kiwwam maDyama-aSIti-vArzikam /
   adhamaṃ ṣaṣṭivarṣīyaṃ tato hīnaṃ viṣopamam // Rmañj_5.69 //	aDamam zazwi-varzIyam tatas hInam viza-upamam // RmaQt-_5.69 //
   dagdhākṣakāṣṭhair malam āyasaṃ tu gomūtranirvāpitamaṣṭavārān /	dagDa-akza-kAzWEH malam Ayasam tu go-mUtra-nirvApitam-azwa-vArAn /
   vicūrṇya līḍhaṃ madhunācireṇa nṛṇāṃ kṣayaṃ pāṇḍugadaṃ nihanti //	vicUrNya lIXam maDunA-acireNa nRNAm kzayam pANxu-gadam nihanti //
   Rmañj_5.70 //	RmaQt-_5.70 //
   kiṭṭāddaśaguṇaṃ muṇḍaṃ muṇḍāttīkṣṇaṃ śatādhikam /	kiwwAt-daSaguNam muNxam muNxAt-tIkzNam Sata-aDikam /
   tīkṣṇāllakṣaguṇaṃ kāntaṃ bhakṣaṇāt kurute guṇam // Rmañj_5.71 //	tIkzNAt-lakza-guNam kAntam BakzaNAt kurute guNam // RmaQt-_5.71 //
   Rmañj, 6	RmaQj, 6
   kṣīrābdherutthitaṃ devaṃ pītavastraṃ caturbhujam /	kzIrAbDeH-utTitam devam pIta-vastram catur-Bujam /
   vande dhanvantariṃ nityaṃ nānāgadaniṣūdanam // Rmañj_6.1 //	vande Danvantarim nityam nAnA-gada-nizUdanam // RmaQt-_6.1 //
   yathā gurumukhaṃ śrutvā sānubhūtaṃ ca tadrasam /	yaTA guru-muKam SrutvA sa-anuBUtam ca tad-rasam /
   sa rasaḥ procyate hyatra vyādhināśanahetave // Rmañj_6.2 //	sa rasaH procyate hi-atra vyADi-nASana-hetave // RmaQt-_6.2 //
   muktvaikaṃ rasavaidyaṃ ca lābhapūjāyaśasvinam /	muktvA-ekam rasa-vEdyam ca lABa-pUjA-yaSasvinam /
   tṛṇakāṣṭhauṣadhair vaidyaḥ ko labheta varāṭikām // Rmañj_6.3 //	tRNa-kAzWa-OzaDEH vEdyaH kaH laBeta varAwikAm // RmaQt-_6.3 //
   yasya rogasya yo yogo munibhiḥ parikīrtitaḥ /	yasya rogasya yaH yogaH muniBiH parikIrtitaH /
   tattadyogasamāyuktaṃ bhiṣak sūtaṃ prayojayet // Rmañj_6.4 //	tad-tad-yoga-samAyuktam Bizaj sUtam prayojayet // RmaQt-_6.4 //
   mātrādhikaṃ na seveta rasaṃ vā viṣam auṣadham /	mAtrA-aDikam na seveta rasam vA vizam OzaDam /
   tryādhibaddhaṃ ca koṣṭhaṃ ca vīkṣya mātrāṃ prayojayet // Rmañj_6.5 //	tri-ADi-badDam ca kozWam ca vIkzya mAtrAm prayojayet // RmaQt-_6.5 //
   <ratnagarbhapaṭolī>	<ratna-garBa-pawolI>
   rasaṃ vajraṃ hema tāraṃ nāgaṃ lohaṃ ca tāmrakam /	rasam vajram hema tAram nAgam loham ca tAmrakam /
   tulyāṃśamārite yojyaṃ muktāmākṣikavidrumam // Rmañj_6.6 //	tulya-aMSa-mArite yojyam muktA-mAkzika-vidrumam // RmaQt-_6.6 //
   śaṃkhaṃ ca tulyatulyāṃśaṃ saptāhaṃ citrakadravaiḥ /	SaMKam ca tulya-tulya-aMSam sapta-aham citraka-dravEH /
   mardayitvā vicūrṇyātha tenāpūrya varāṭikām // Rmañj_6.7 //	mardayitvA vicUrNya-aTa tena-ApUrya varAwikAm // RmaQt-_6.7 //
   ṭaṅkaṇaṃ ravidugdhena piṣṭvā mūṣāṃ ca bandhayet /	waFkaNam ravi-dugDena pizwvA mUzAm ca banDayet /
   mṛdbhāṇḍe ca nirudhyātha samyaggajapuṭe pacet // Rmañj_6.8 //	mRd-BANxe ca niruDya-aTa samyak-gajapuwe pacet // RmaQt-_6.8 //
   svāṅgaśītaṃ samuddhṛtya sūkṣmacūrṇāni kārayet /	svAFgaSItam samudDRtya sUkzma-cUrNAni kArayet /
   ādāya cūrṇayetsarvaṃ nirguṇḍyāḥ saptabhāvanāḥ // Rmañj_6.9 //	AdAya cUrNayet-sarvam nirguNxyAH sapta-BAvanAH // RmaQt-_6.9 //
   ārdrakasya rasaiḥ sapta citrakasyaikaviṃśatiḥ /	Ardrakasya rasEH sapta citrakasya-ekaviMSatiH /
   dravairbhāvyaṃ tataḥ śoṣyaṃ deyaṃ guñjācatuṣṭayam // Rmañj_6.10 //	dravEH-BAvyam tatas Sozyam deyam guQjA-catuzwayam // RmaQt-_6.10 //
   kṣayarogaṃ nihantyāśu sādhyāsādhyaṃ na saṃśayaḥ /	kzaya-rogam nihanti-ASu sADya-asADyam na saMSayaH /
   yojayet pippalīkṣaudraiḥ saghṛtairmaricena ca // Rmañj_6.11 //	yojayet pippalI-kzOdrEH sa-GRtEH-maricena ca // RmaQt-_6.11 //
   mahārogāṣṭake kāse jvare śvāse'tisārake /	mahAroga-azwake kAse jvare SvAse-atisArake /
   poṭalīratnagarbho'yaṃ yogavāheṣu yojayet // Rmañj_6.12 //	powalI-ratnagarBaH-ayam yogavAhezu yojayet // RmaQt-_6.12 //
   <mṛgāṅkarasaḥ>	<mRgAFka-rasaH>
   syādrasena samaṃ hema mauktikaṃ dviguṇaṃ bhavet /	syAt-rasena samam hema mOktikam dviguNam Bavet /
   gandhakaṃ ca samaṃ tena rasapādastu ṭaṃkaṇam // Rmañj_6.13 //	ganDakam ca samam tena rasa-pAdaH-tu waMkaNam // RmaQt-_6.13 //
   sarvaṃ tadgolakaṃ kṛtvā kāñjikenāvaśoṣayet /	sarvam tad-golakam kRtvA kAQjikena-avaSozayet /
   bhāṇḍe lavaṇapūrṇe ca pacedyāmacatuṣṭayam // Rmañj_6.14 //	BANxe lavaNa-pUrNe ca pacet-yAma-catuzwayam // RmaQt-_6.14 //
   mṛgāṅkasaṃjñako jñeyo rājayoganikṛntanaḥ /	mRgAFka-saMjQakaH jQeyaH rAjayoga-nikRntanaH /
   guñjācatuṣṭayaṃ cāsya maricairbhakṣayedbhiṣak // Rmañj_6.15 //	guQjA-catuzwayam ca-asya maricEH-Bakzayet-Bizaj // RmaQt-_6.15 //
   pippalīdaśakairvāpi madhunā lehayed budhaḥ /	pippalI-daSakEH-vA-api maDunA lehayet buDaH /
   pathyaṃ sulaghumāṃsena prāyeṇāsya prayojayet // Rmañj_6.16 //	paTyam su-laGu-mAMsena prAyeNa-asya prayojayet // RmaQt-_6.16 //
   dadhyājyagavyaṃ takraṃ vā kṣīraṃ vājaṃ prayojayet /	daDi-Ajya-gavyam takram vA kzIram vA-Ajam prayojayet /
   vyañjanair mṛtapakvaiśca nātikṣārair ahiṅgukaiḥ // Rmañj_6.17 //	vyaQjanEH mRta-pakvEH-ca na-ati-kzArEH ahiFgukEH // RmaQt-_6.17 //
   elājambīramaricaiḥ saṃskṛtairavidāhibhiḥ /	elA-jambIra-maricEH saMskRtEH-avidAhiBiH /
   vṛntākatailabilvāni kāravellaṃ ca varjayet // Rmañj_6.18 //	vRntAka-tEla-bilvAni kAravellam ca varjayet // RmaQt-_6.18 //
   striyaṃ parihared dūrāt kopaṃ cāpi parityajet /	striyam pariharet dUrAt kopam ca-api parityajet /
   vallī tumbarikānāma tanmūlaṃ kvāthayetpalam // Rmañj_6.19 //	vallI tumbarikA-nAma tad-mUlam kvATayet-palam // RmaQt-_6.19 //
   kaṭukatrayasaṃyuktaṃ pāyayetkāsaśāntaye /	kawukatraya-saMyuktam pAyayet-kAsa-SAntaye /
   triśūlī yā samākhyātā tanmūlaṃ kvāthayed valam // Rmañj_6.20 //	triSUlI yA samAKyAtA tad-mUlam kvATayet valam // RmaQt-_6.20 //
   īṣaddhiṅgusamāyuktaṃ kākiṇī citrakaṃ vacā /	Izat-hiFgu-samAyuktam kAkiNI citrakam vacA /
   bhakṣayetpathyabhojyaṃ ca sarvarogapraśāntaye // Rmañj_6.21 //	Bakzayet-paTya-Bojyam ca sarva-roga-praSAntaye // RmaQt-_6.21 //
   markaṭīpatracūrṇasya guṭikāṃ madhunā kṛtām /	markawI-patra-cUrNasya guwikAm maDunA kRtAm /
   dhārayet satataṃ vaktre kāsaviṣṭambhanāśinīm // Rmañj_6.22 //	DArayet satatam vaktre kAsa-vizwamBa-nASinIm // RmaQt-_6.22 //
   chāgamāṃsaṃ payaśchāgaṃ chāgaṃ sarpiḥ sanāgaram /	CAga-mAMsam payaH-CAgam CAgam sarpiH sa-nAgaram /
   chāgopasevāsahanaṃ chāgamadhye tu yakṣmanut // Rmañj_6.23 //	CAga-upasevA-sahanam CAga-maDye tu yakzma-nud // RmaQt-_6.23 //
   malāyattaṃ balaṃ puṃsāṃ śukrāyattaṃ ca jīvitam /	mala-Ayattam balam puMsAm Sukra-Ayattam ca jIvitam /
   ato viśeṣato rakṣedyakṣmiṇo malaretasī // Rmañj_6.24 //	atas viSezataH rakzet-yakzmiNaH mala-retasI // RmaQt-_6.24 //
   <lokanātharasaḥ>	<loka-nATa-rasaH>
   palaṃ kapardacūrṇasya palaṃ pāradagandhayoḥ /	palam kaparda-cUrNasya palam pArada-ganDayoH /
   māṣo'pi ṭaṃkaṇasyaiko jambīreṇa vimardayet // Rmañj_6.25 //	mAzaH-api waMkaNasya-ekaH jambIreNa vimardayet // RmaQt-_6.25 //
   puṭellokeśvaro nāma lokanātho'yamuttamaḥ /	puwet-lokeSvaraH nAma lokanATaH-ayam-uttamaH /
   jayetkuṣṭhaṃ raktapittamanyarogaṃ kṣayaṃ nayet // Rmañj_6.26 //	jayet-kuzWam raktapittam-anya-rogam kzayam nayet // RmaQt-_6.26 //
   puṣṭavīryapradātā ca kāntilāvaṇyadaḥ paraḥ /	puzwa-vIrya-pradAtA ca kAnti-lAvaNya-daH paraH /
   ko'sti lokeśvarād anyo nṛṇāṃ śambhumukhodgatāt // Rmañj_6.27 //	kaH-asti loka-ISvarAt anyaH nRNAm SamBu-muKa-udgatAt // RmaQt-_6.27 //
   <lokeśvarapaṭolīrasaḥ>	<loka-ISvara-pawolI-rasaH>
   rasasya bhasmanā hema pādāṃśena prakalpayet /	rasasya BasmanA hema pAda-aMSena prakalpayet /
   dviguṇaṃ gandhakaṃ dattvā mardayeccitrakāmbunā // Rmañj_6.28 //	dviguNam ganDakam dattvA mardayet-citraka-ambunA // RmaQt-_6.28 //
   varāṭakāṃśca sampūrya ṭaṅkaṇena nirudhya ca /	varAwakAn=-ca sampUrya waFkaNena niruDya ca /
   bhāṇḍe cūrṇaṃ pratilikhetkṣiptvā rundhīta mṛnmaye // Rmañj_6.29 //	BANxe cUrNam pratiliKet-kziptvA runDIta mRd-maye // RmaQt-_6.29 //
   śoṣayitvā puṭedgarbhe vahniṃ dattvā parāhnike /	SozayitvA puwet-garBe vahnim dattvA parAhnike /
   svāṃgaśītaṃ samuddhṛtya cūrṇayitvātha vinyaset // Rmañj_6.30 //	svAMgaSItam samudDRtya cUrNayitvA-aTa vinyaset // RmaQt-_6.30 //
   eṣa lokeśvaro nāma vīryapuṣṭivivarddhanaḥ /	eza lokeSvaraH nAma vIrya-puzwi-vivardDanaH /
   guñjācatuṣṭayaṃ cāsya pippalīmadhusaṃyutam // Rmañj_6.31 //	guQjA-catuzwayam ca-asya pippalI-maDu-saMyutam // RmaQt-_6.31 //
   khādayetparayā bhaktyā lokeśaḥ sarvasiddhidaḥ /	KAdayet-parayA BaktyA lokeSaH sarva-sidDi-daH /
   aṅgakārśye'gnimāndye ca kāsapitte rasastvayam // Rmañj_6.32 //	aFga-kArSye-agni-mAndye ca kAsa-pitte rasaH-tu-ayam // RmaQt-_6.32 //
   maricairghṛtasaṃyuktaiḥ pradātavyo dinatrayam /	maricEH-GRta-saMyuktEH pradAtavyaH dina-trayam /
   lavaṇaṃ varjayettatra śayītottānapādataḥ // Rmañj_6.33 //	lavaNam varjayet-tatra SayIta-uttAna-pAdataH // RmaQt-_6.33 //
   ekaviṃśaddinaṃ yāvanmaricaṃ saghṛtaṃ pibet /	ekaviMSat-dinam yAvat-maricam sa-GRtam pibet /
   pathyaṃ mṛgāṅkavaddeyaṃ śayītottānapādataḥ // Rmañj_6.34 //	paTyam mRgAFka-vat-deyam SayIta-uttAna-pAdataH // RmaQt-_6.34 //
   ye śuṣkā viṣamānilaiḥ kṣayarujā vyāptāśca ye kuṣṭhino ye pāṇḍutvahatāḥ	ye SuzkAH vizama-anilEH kzaya-rujA vyAptAH-ca ye kuzWinaH ye pANxu-tvahatAH
   kuvaidyavidhinā ye śoṣiṇo durbhagāḥ /	ku-vEdya-viDinA ye SoziNaH durBagAH /
   ye taptā vividhair jvarair bhramamadonmādaiḥ pramādaṃ gatāste sarve	ye taptAH viviDEH jvarEH Brama-mada-unmAdEH pramAdam gatAH-te sarve
   vigatāmayā hatarujaḥ syuḥ poṭalīsevayā // Rmañj_6.35 //	vigata-AmayAH hata-rujaH syuH powalI-sevayA // RmaQt-_6.35 //
   <rājamṛgāṅkarasaḥ>	<rAjamRgAFka-rasaH>
   rasabhasma trayo bhāgā bhāgaikaṃ hemabhasmakam /	rasa-Basma trayaH BAgAH BAga-ekam hema-Basmakam /
   mṛtatāmrasya bhāgaikaṃ śilāgandhakatālakam // Rmañj_6.36 //	mRta-tAmrasya BAga-ekam SilA-ganDaka-tAlakam // RmaQt-_6.36 //
   pratibhāgadvayaṃ śuddhamekīkṛtya vicūrṇayet /	pratiBAga-dvayam SudDam-ekIkRtya vicUrNayet /
   varāṭīḥ pūrayettena hyajākṣīreṇa ṭaṃkaṇam // Rmañj_6.37 //	varAwIH pUrayet-tena hi-ajA-kzIreNa waMkaNam // RmaQt-_6.37 //
   piṣṭvā tena mukhaṃ ruddhvā mṛdbhāṇḍe ca nirodhayet /	pizwvA tena muKam rudDvA mRd-BANxe ca niroDayet /
   śuṣkaṃ gajapuṭe pācyaṃ cūrṇayetsvāṅgaśītalam // Rmañj_6.38 //	Suzkam gajapuwe pAcyam cUrNayet-svAFgaSItalam // RmaQt-_6.38 //
   raso rājamṛgāṅko'yaṃ caturguñjaḥ kaphāpahaḥ /	rasaH rAjamRgAFkaH-ayam catur-guQjaH kaPa-apahaH /
   daśabhiḥ pippalīkṣaudrairmaricaikonaviṃśatiḥ /	daSaBiH pippalI-kzOdrEH-marica-ekonaviMSatiH /
   saghṛtairdāpayetkvāthaṃ vātaśleṣmodbhave kṣaye // Rmañj_6.39 //	sa-GRtEH-dApayet-kvATam vAta-Slezma-udBave kzaye // RmaQt-_6.39 //
   <ratnagirirasaḥ>	<ratna-giri-rasaH>
   śuddhaṃ sūtaṃ samaṃ gandhaṃ mṛtaṃ svarṇābhratāmrakam /	SudDam sUtam samam ganDam mRtam svarNa-aBra-tAmrakam /
   pratyekaṃ sūtatulyaṃ syātsūtārddhaṃ mṛtalohakam // Rmañj_6.40 //	pratyekam sUta-tulyam syAt-sUta-ardDam mRta-lohakam // RmaQt-_6.40 //
   lohārddhaṃ mṛtavaikrāntaṃ mardayedbhṛṅgajairdravaiḥ /	loha-ardDam mRta-vEkrAntam mardayet-BRFga-jEH-dravEH /
   parpaṭīrasavatpācyaṃ cūrṇitaṃ bhāvayetpṛthak // Rmañj_6.41 //	parpawI-rasa-vat-pAcyam cUrNitam BAvayet-pRTak // RmaQt-_6.41 //
   śigruvāsakanirguṇḍīvacāsomāgnibhṛṅgajaiḥ /	Sigru-vAsaka-nirguNxI-vacA-soma-agni-BRFga-jEH /
   kṣudrāmṛtājayantībhir munibrāhmīsutiktakaiḥ // Rmañj_6.42 //	kzudra-amRtA-ajayantIBiH muni-brAhmI-su-tiktakEH // RmaQt-_6.42 //
   kanyādrāvaiśca saṃbhāvya pratidrāvaistridhā tridhā /	kanyA-drAvEH-ca saMBAvya pratidrAvEH-triDA triDA /
   ruddhvā laghupuṭe pācyaṃ bhūdhare taṃ samuddharet // Rmañj_6.43 //	rudDvA laGu-puwe pAcyam BUDare tam samudDaret // RmaQt-_6.43 //
   imaṃ navajvare dadyānmāṣamātraṃ rasasya tu // Rmañj_6.44 //	imam navajvare dadyAt-mAza-mAtram rasasya tu // RmaQt-_6.44 //
   kṛṣṇādhānyakasammiśraṃ muhūrtādvijvaro bhavet /	kRzNA-DAnyaka-sammiSram muhUrtAt-vijvaraH Bavet /
   ayaṃ ratnagirirnāma raso yogasya vāhakaḥ // Rmañj_6.45 //	ayam ratnagiriH-nAma rasaH yogasya vAhakaH // RmaQt-_6.45 //
   <hiṅguleśvararasaḥ (?)>	<hiFguleSvara-rasaH (?)>
   tulyāṃśaṃ cūrṇayet khalve pippalīṃ hiṅgulaṃ viṣam /	tulya-aMSam cUrNayet Kalve pippalIm hiFgulam vizam /
   dviguṃjaṃ madhunā deyaṃ vātajvaranivṛttaye // Rmañj_6.46 //	dvi-guMjam maDunA deyam vAta-jvara-nivRttaye // RmaQt-_6.46 //
   <śītabhañjīrasaḥ>	<SIta-BaQjI-rasaH>
   pāradaṃ rasakaṃ tālaṃ tutthaṃ ṭaṅkaṇagandhakam /	pAradam rasakam tAlam tutTam waFkaNa-ganDakam /
   sarvametatsamaṃ śuddhaṃ kāravellyā dravairdinam // Rmañj_6.47 //	sarvam-etat-samam SudDam kAravellyAH dravEH-dinam // RmaQt-_6.47 //
   mardayettena kalkena tāmrapātrodaraṃ lipet /	mardayet-tena kalkena tAmra-pAtra-udaram lipet /
   aṅgulyardhapramāṇena pacettatsikatāhvaye // Rmañj_6.48 //	aFguli-arDa-pramANena pacet-tat-sikata-Ahvaye // RmaQt-_6.48 //
   yantre yāvatsphuṭantyevaṃ vrīhayastasya pṛṣṭhataḥ /	yantre yAvat-sPuwanti-evam vrIhayaH-tasya pRzWatas /
   tataḥ suśītalaṃ grāhyaṃ tāmrapātrodarādbhiṣak // Rmañj_6.49 //	tatas suSItalam grAhyam tAmra-pAtra-udarAt-Bizaj // RmaQt-_6.49 //
   śītabhañjīraso nāma cūrṇayenmaricaiḥ samam /	SItaBaQjI-rasaH nAma cUrNayet-maricEH samam /
   māṣaikaṃ parṇakhaṇḍena bhakṣayennāśayejjvaram /	mAza-ekam parNa-KaNxena Bakzayet-nASayet-jvaram /
   tridinair viṣamaṃ tīvramekadvitricaturthakam // Rmañj_6.50 //	tri-dinEH vizamam tIvram-eka-dvi-tri-caturTakam // RmaQt-_6.50 //
   <śītabhañjīrasaḥ>	<SIta-BaQjI-rasaH>
   rasahiṅgulagandhaṃ ca jaipālaṃ ca tribhiḥ samam /	rasa-hiFgula-ganDam ca jEpAlam ca triBiH samam /
   dantīkvāthena saṃmardya raso jvaraharaḥ smṛtaḥ // Rmañj_6.51 //	dantI-kvATena saMmardya rasaH jvara-haraH smRtaH // RmaQt-_6.51 //
   ārdrakasya rasenātha dāpayedraktikādvayam /	Ardrakasya rasena-aTa dApayet-raktikA-dvayam /
   navajvaraṃ mahāghoraṃ nāśayedyāmamātrataḥ // Rmañj_6.52 //	navajvaram mahA-Goram nASayet-yAma-mAtrataH // RmaQt-_6.52 //
   śarkarā dadhibhaktaṃ ca pathyaṃ deyaṃ prayatnataḥ /	SarkarA daDi-Baktam ca paTyam deyam prayatnataH /
   śītatoyaṃ pibeccānu ikṣumudgaraso hitaḥ /	SIta-toyam pibet-ca-anu ikzu-mudga-rasaH hitaH /
   śītabhañjīraso nāma sarvajvaravināśakaḥ // Rmañj_6.53 //	SItaBaQjI-rasaH nAma sarva-jvara-vinASakaH // RmaQt-_6.53 //
   <śītārirasaḥ>	<SIta-ari-rasaH>
   sūtakaṃ ṭaṅkaṇaṃ gandhaṃ śulbacūrṇaṃ samaṃ samam /	sUtakam waFkaNam ganDam Sulba-cUrNam samam samam /
   sūtāddviguṇitaṃ deyaṃ jaipālaṃ tuṣavarjitam // Rmañj_6.54 //	sUtAt-dvi-guNitam deyam jEpAlam tuza-varjitam // RmaQt-_6.54 //
   saindhavaṃ maricaṃ ciñcātvagbhasmāpi ca śarkarāḥ /	sEnDavam maricam ciQcA-tvac-Basma-api ca SarkarAH /
   pratyekaṃ sūtatulyaṃ syājjambīrair mardayed dinam // Rmañj_6.55 //	pratyekam sUta-tulyam syAt-jambIrEH mardayet dinam // RmaQt-_6.55 //
   dviguñjaṃ taptatoyena vātaśleṣmajvarāpaham /	dvi-guQjam tapta-toyena vAta-Slezma-jvara-apaham /
