   Revākhaṇḍa of the Vāyupurāṇa	RevAKaNxaH of Te VAyupurANa
   akṣe sureśvaraṃ devam agrakīlyāṃ dhanādhipam // RKV_28.11 //	akze sureSvaram devam agrakIlyAm DanADipam // RKV_28.11 //
   yamaṃ tu dakṣiṇe pārśve vāme kālaṃ sudāruṇam /	yamam tu dakziNe pArSve vAme kAlam su dAruNam /
   ādityacandrau cakre tu gandharvānārakādiṣu // RKV_28.12 //	Aditya candrO cakre tu ganDarva anAraka Adizu // RKV_28.12 //
   yantāraṃ ca surajyeṣṭhaṃ vedānkṛtvā hayottamān /	yantAram ca sura jyezWam vedAn kRtvA haya uttamAn /
   khalīnādiṣu cāṅgāni raśmīṃśchandāṃsi cākarot // RKV_28.13 //	KalIna Adizu ca aFgAni raSmIn= CandAMsi ca akarot // RKV_28.13 //
   kṛtvā pratodam oṃkāraṃ mukhagrāhyaṃ maheśvaraḥ /	kRtvA pratodam oMkAram muKa grAhyam maheSvaraH /
   dhātāraṃ cāgrataḥ kṛtvā vidhātāraṃ ca pṛṣṭhataḥ // RKV_28.14 //	DAtAram ca agratas kRtvA viDAtAram ca pRzWatas // RKV_28.14 //
   mārutātsarvato digbhya ūrdhvayantre tathaiva ca /	mArutAt sarvatas digByaH UrDva yantre taTA eva ca /
   mahoragapiśācāṃśca siddhavidyādharāṃstathā // RKV_28.15 //	mahA uraga piSAcAn= ca sidDa vidyADarAn= taTA // RKV_28.15 //
   gaṇāṃśca bhūtasaṅghāṃśca sarve sarvāṅgasaṃdhiṣu /	gaNAn= ca BUta saFGAn= ca sarve sarva aFga saMDizu /
   yugamadhye sthito meruryugasyādho mahāgiriḥ // RKV_28.16 //	yuga maDye sTitaH meruH yugasya aDas mahA giriH // RKV_28.16 //
   sarpā yantrasthitā ghorāḥ śamye varuṇanairṛtau /	sarpAH yantra sTitAH GorAH Samye varuNa nErRtO /
   gāyatrī caiva sāvitrī sthite te raśmibandhane // RKV_28.17 //	gAyatrI ca eva sAvitrI sTite te raSmibanDane // RKV_28.17 //
   satyaṃ rathadhvaje śaucaṃ damaṃ rakṣāṃ samantataḥ /	satyam raTa Dvaje SOcam damam rakzAm samantataH /
   rathaṃ devamayaṃ kṛtvā devadevo maheśvaraḥ // RKV_28.18 //	raTam deva mayam kRtvA devadevaH maheSvaraH // RKV_28.18 //
   saṃnaddhaḥ kavacī khaḍgī baddhagodhāṅgulitravān /	saMnadDaH kavacI KaxgI badDa goDA aFgulitravAn /
   baddhā parikaraṃ gāḍhaṃ jaṭājūṭaṃ niyamya ca // RKV_28.19 //	badDA parikaram gAXam jawA jUwam niyamya ca // RKV_28.19 //
   sajjaṃ kṛtvā dhanurdivyaṃ yojayitvā rathottamam /	sajjam kRtvA DanuH divyam yojayitvA raTa uttamam /
   rathamadhye sthito devaḥ śuśubhe ca yudhiṣṭhira // RKV_28.20 //	raTa maDye sTitaH devaH SuSuBe ca yuDizWiraH // RKV_28.20 //
   dhanuṣaḥ śabdanādenākampayacca jagattrayam /	DanuzaH Sabda nAdena akampayat ca jagattrayam /
   sthānaṃ kṛtvā tu vaiśākhaṃ nibhṛtaṃ saṃsthito haraḥ // RKV_28.21 //	sTAnam kRtvA tu vESAKam niBRtam saMsTitaH haraH // RKV_28.21 //
   nirīkṣya suciraṃ kālaṃ kopasaṃraktalocanaḥ /	nirIkzya su ciram kAlam kopa saMrakta locanaH /
   dhyātvā taṃ paramaṃ mantram ātmānaṃ ca nirudhya saḥ // RKV_28.22 //	DyAtvA tam paramam mantram AtmAnam ca niruDya saH // RKV_28.22 //
   mumoca sahasā bāṇaṃ purasya vadhakāṅkṣayā /	mumoca sahasA bANam purasya vaDa kAFkzayA /
   yadā trīṇi sametāni antarikṣasthitāni tu // RKV_28.23 //	yadA trINi sametAni antarikza sTitAni tu // RKV_28.23 //
   tataḥ kālanimeṣārdhaṃ dṛṣṭvaikyaṃ tripurasya ca /	tatas kAla nimeza arDam dRzwvA Ekyam tripurasya ca /
   triparvaṇā triśalyena tatastānyavasādayat // RKV_28.24 //	tri parvaNA tri Salyena tatas tAni avasAdayat // RKV_28.24 //
   tato lokā bhayatrastās tripure bharatottama /	tatas lokAH Baya trastAH tripure Barata uttamaH /
   sarvāsuravināśāya kālarūpā bhayāvahāḥ // RKV_28.25 //	sarva asura vinASAya kAla rUpAH Baya AvahAH // RKV_28.25 //
   aṭṭahāsān pramuñcanti kaṣṭarūpā narās tadā /	awwahAsAn pramuQcanti kazwa rUpAH narAH tadA /
   nimeṣonmeṣaṇaṃ caiva kurvanti lipikarmasu // RKV_28.26 //	nimeza unmezaNam ca eva kurvanti lipi karmasu // RKV_28.26 //
   niṣpandanayanā martyāścitreṣvālikhitā iva /	nizpanda nayanAH martyAH citrezu AliKitAH iva /
   devāyatanagā devā raṭanti prahasanti ca /	deva Ayatana gAH devAH rawanti prahasanti ca /
   svapne paśyanti cātmānaṃ raktāmbaravibhūṣitam // RKV_28.27 //	svapne paSyanti ca AtmAnam rakta ambara viBUzitam // RKV_28.27 //
   raktamālyottamāṅgāśca patantaḥ kārdame hrade /	rakta mAlya uttamAFgAH ca patantaH kArdame hrade /
   paśyanti nāma cātmānaṃ satailābhyaṅgamastakam // RKV_28.28 //	paSyanti nAma ca AtmAnam sa tEla aByaFga mastakam // RKV_28.28 //
   paśyanti yānamārūḍhaṃ rāsabhaiśca nṛpottama /	paSyanti yAnam ArUXam rAsaBEH ca nRpa uttamaH /
   saṃvartako mahāvāyuryugāntapratimo mahān // RKV_28.29 //	saMvartakaH mahA vAyuH yugAnta pratimaH mahAn // RKV_28.29 //
   gṛhān unmūlayāmāsa vṛkṣajātīnanekaśaḥ /	gRhAn unmUlayAmAsa vRkza jAtIn anekaSas /
   bhūmikampāḥ sanirghātā ulkāpātāḥ sahasraśaḥ // RKV_28.30 //	BUmi kampAH sa nirGAtAH ulkA pAtAH sahasraSas // RKV_28.30 //
   rudhiraṃ varṣate devo miśritaṃ karkarairbahu /	ruDiram varzate devaH miSritam karkarEH bahu /
   agnikuṇḍeṣu viprāṇāṃ hutaḥ samyagghutāśanaḥ // RKV_28.31 //	agnikuNxezu viprANAm hutaH samyak hutASanaH // RKV_28.31 //
   jvalate dhūmasaṃyukto visphuliṅgakaṇaiḥ saha /	jvalate DUma saMyuktaH visPuliFga kaNEH saha /
   kuṃjarā vimadā jātāsturagāḥ sattvavarjitāḥ // RKV_28.32 //	kuMjarAH vimadAH jAtAH turagAH sattva varjitAH // RKV_28.32 //
   avāditāni vādyante vāditrāṇi sahasraśaḥ /	avAditAni vAdyante vAditrANi sahasraSas /
   dhvajā hyakampitāḥ petuśchatrāṇi vividhāni ca // RKV_28.33 //	DvajAH hi akampitAH petuH CatrANi viviDAni ca // RKV_28.33 //
   jvalati pādapāstatra parṇāni ca sabhaṃ tataḥ /	jvalati pAdapAH tatra parNAni ca saBam tatas /
   sarvaṃ tadvyākulībhūtaṃ hāhākārasamanvitam // RKV_28.34 //	sarvam tat vyAkulIBUtam hAhAkAra samanvitam // RKV_28.34 //
   udyānāni vicitrāṇi prababhañja prabhañjanaḥ /	udyAnAni vicitrANi prabaBaQja praBaQjanaH /
   tena saṃpreritāḥ sarve jvalanti viśikhāḥ śikhāḥ // RKV_28.35 //	tena saMpreritAH sarve jvalanti viSiKAH SiKAH // RKV_28.35 //
   vṛkṣagulmalatāvallyo gṛhāṇi ca samantataḥ /	vRkza gulma latA vallyaH gRhANi ca samantataH /
   digvibhāgaiśca sarvaiśca pravṛtto havyavāhanaḥ // RKV_28.36 //	diS viBAgEH ca sarvEH ca pravRttaH havyavAhanaH // RKV_28.36 //
   sarvaṃ kiṃśukaparṇābhaṃ prajvalaccaiva dṛśyate /	sarvam kiMSuka parNa ABam prajvalat ca eva dRSyate /
   gṛhādgṛhaṃ tadā gantuṃ naiva dhūmena śakyate // RKV_28.37 //	gRhAt gRham tadA gantum na eva DUmena Sakyate // RKV_28.37 //
   harakopāgninirdagdhāḥ krandante tripure janāḥ /	hara kopa agni nirdagDAH krandante tripure janAH /
   pradīptaṃ sarvato dikṣu dahyate tripuraṃ param // RKV_28.38 //	pradIptam sarvatas dikzu dahyate tripuram param // RKV_28.38 //
   patanti śikharāgrāṇi viśīrṇāni sahasraśaḥ /	patanti SiKara agrANi viSIrNAni sahasraSas /
   pāvako dhūmasaṃpṛkto dahyamānaḥ samantataḥ // RKV_28.39 //	pAvakaH DUma saMpRktaH dahyamAnaH samantataH // RKV_28.39 //
   nṛtyanvai vyāptadigdeśaḥ kāntāreṣvabhidhāvati /	nRtyan vE vyApta diS deSaH kAntArezu aBiDAvati /
   devāgāreṣu sarveṣu gṛheṣvaṭṭālakeṣu ca // RKV_28.40 //	devAgArezu sarvezu gRhezu awwAlakezu ca // RKV_28.40 //
   pravṛtto hutabhuktatra pure kālapracoditaḥ /	pravRttaH hutaBuj tatra pure kAla pracoditaH /
   dadāha lokānsarvatra harakopaprakopitaḥ // RKV_28.41 //	dadAha lokAn sarvatra hara kopa prakopitaH // RKV_28.41 //
   dahate traipuraṃ lokaṃ bālavṛddhasamanvitam /	dahate trEpuram lokam bAla vRdDa samanvitam /
   sapuraṃ sagṛhadvāraṃ savāhanavanaṃ nṛpa // RKV_28.42 //	sa puram sa gRha dvAram sa vAhana vanam nRpa // RKV_28.42 //
   kecidbhojanasaktāśca pānāsaktāstathāpare /	kecid Bojana saktAH ca pAna AsaktAH taTA apare /
   aparā nṛtyagīteṣu saṃsaktā vārayoṣitaḥ // RKV_28.43 //	aparA nRtya gItezu saMsaktAH vAra yozitaH // RKV_28.43 //
   anyonyaṃ ca pariṣvajya hutāśanaśikhārditāḥ /	anyonyam ca parizvajya hutASana SiKA arditAH /
   dahyamānā nṛpaśreṣṭha sarve gacchantyacetanāḥ // RKV_28.44 //	dahyamAnAH nRpa SrezWa sarve gacCanti acetanAH // RKV_28.44 //
   athānye dānavāstatra dahyante 'gnivimohitāḥ /	aTa anye dAnavAH tatra dahyante agni vimohitAH /
   na śaktāścānyato gantuṃ dhūmenākulitānanāḥ /	na SaktAH ca anyatas gantum DUmena Akulita AnanAH /
   haṃsakāraṇḍavākīrṇā nalinyo hemapaṅkajāḥ // RKV_28.45 //	haMsa kAraNxava AkIrNAH nalinyaH hema paFkajAH // RKV_28.45 //
   dahyante vividhās tatra vāpyaḥ kūpāśca bhārata /	dahyante viviDAH tatra vApyaH kUpAH ca BArata /
   dṛśyante 'naladagdhāni purodyānāni dīrghikāḥ /	dRSyante anala dagDAni pura udyAnAni dIrGikAH /
   amlānaiḥ paṅkajaiśchannā vistīrṇāvasuyojanāḥ // RKV_28.46 //	amlAnEH paFkajEH CannAH vistIrNO= asu yojanAH // RKV_28.46 //
   girikūṭanibhāstatra prāsādā ratnaśobhitāḥ /	giri kUwa niBAH tatra prAsAdAH ratna SoBitAH /
   dṛśyante 'nalasaṃdagdhā viśīrṇā dharaṇītale // RKV_28.47 //	dRSyante anala saMdagDAH viSIrNAH DaraNI tale // RKV_28.47 //
   narastrībālavṛddheṣu dahyamāneṣu sarvataḥ /	nara strI bAla vRdDezu dahyamAnezu sarvatas /
   nirdayaṃ jvalate vahnirhāhākāro mahānabhūt /	nirdayam jvalate vahniH hAhAkAraH mahAn aBUt /
   kācicca sukhasaṃsuptāpramattānyā nṛpottama // RKV_28.48 //	kAcid ca suKa saMsupta apramattA anyA nRpa uttamaH // RKV_28.48 //
   krīḍitvā ca suvistīrṇaśayanasthā varāṅganā /	krIxitvA ca su vistIrNa Sayana sTA vara aFganA /
   kācitsuptā viśālākṣī hārāvalivibhūṣitā /	kAcid suptA viSAla akzI hAra Avali viBUzitA /
   dhūmenākulitā dīnā nyapataddhavyavāhane // RKV_28.49 //	DUmena AkulitAH dInA nyapatat havyavAhane // RKV_28.49 //
   kācittasminpure dīpte putrasnehānulālasā /	kAcid tasmin pure dIpte putra sneha anulAlasA /
   putram āliṅgate gāḍhaṃ dahyate tripure 'gninā // RKV_28.50 //	putram AliFgate gAXam dahyate tripure agninA // RKV_28.50 //
   kācitkanakavarṇābhā indranīlavibhūṣitā /	kAcid kanaka varNa ABAH indranIla viBUzitA /
   bhartāraṃ patitaṃ dṛṣṭvā patitā tasya copari // RKV_28.51 //	BartAram patitam dRzwvA patitA tasya ca upari // RKV_28.51 //
   kācidādityavarṇābhā prasuptā tu priyopari /	kAcid Aditya varNa ABA prasuptA tu priya upari /
   agnijvālāhatā gāḍhaṃ kaṃṭhamāliṅgate nṛpa // RKV_28.52 //	agni jvAlA hatA gAXam kaMWam AliFgate nRpa // RKV_28.52 //
   medhavarṇā parā nārī calatkanakamekhalā /	meDa varNA parA nArI calat kanaka meKalA /
   śvetavastrottarīyā tu papāta dharaṇītale // RKV_28.53 //	Sveta vastra uttarIyA tu papAta DaraNI tale // RKV_28.53 //
   kācitkundenduvarṇābhā nīlaratnavibhūṣitā /	kAcid kunda indu varNa ABA nIla ratna viBUzitA /
   śirasā prāñjalir bhūtvā vijñāpayati pāvakam // RKV_28.54 //	SirasA prAQjaliH BUtvA vijQApayati pAvakam // RKV_28.54 //
   kasyāścijjvalate vastraṃ keśāḥ kasyāśca bhārata /	kasyAScid jvalate vastram keSAH kasyAH ca BArata /
   jvalajjvalanasaṅkāśair hemabhāṇḍaistrasaṃhita ca // RKV_28.55 //	jvalat jvalana saFkASEH hema BANxEstra saMhita ca // RKV_28.55 //
   kācitprabhūtaduḥkhārtā vilalāpa varāṅganā /	kAcid praBUta duHKa ArtA vilalApa vara aFganA /
   bhasmībhūtaṃ patiṃ dṛṣṭvā krandantī kurarī yathā // RKV_28.56 //	BasmIBUtam patim dRzwvA krandantI kurarI yaTA // RKV_28.56 //
   āliṅgya gāḍhaṃ sahasā patitā tasya mūrdhani /	AliFgya gAXam sahasA patitA tasya mUrDani /
   kācicca bahuduḥkhārtā vyalapatstrī svaveśmani // RKV_28.57 //	kAcid ca bahu duHKa ArtA vyalapat strI sva veSmani // RKV_28.57 //
   bhasmasācca kṛtaṃ dṛṣṭvā krandate kurarī yathā /	BasmasAt ca kRtam dRzwvA krandate kurarI yaTA /
   mātaraṃ pitaraṃ kāciddṛṣṭvā vigatacetanam // RKV_28.58 //	mAtaram pitaram kAcid dRzwvA vigata cetanam // RKV_28.58 //
   vepate patitā bhūmau kheditā vaḍavā yathā /	vepate patitA BUmO KeditA vaxavA yaTA /
   itaścetaśca kācicca dahyamānā varāṅganā // RKV_28.59 //	itas ca itas ca kAcid ca dahyamAnA vara aFganA // RKV_28.59 //
   nāpaśyadbālamutsaṅge viparītamukhī sthitā /	na apaSyat bAlam utsaFge viparIta muKI sTitA /
   kumbhilasya gṛhaṃ dagdhaṃ patitaṃ dharaṇītale // RKV_28.60 //	kumBilasya gRham dagDam patitam DaraNI tale // RKV_28.60 //
   kūṣmāṇḍasya ca dhūmrasya kuhakasya bakasya ca /	kUzmANxasya ca DUmrasya kuhakasya bakasya ca /
   virūpanayanasyāpi virūpākṣasya caiva hi // RKV_28.61 //	virUpa nayanasya api virUpAkzasya ca eva hi // RKV_28.61 //
   śumbho ḍimbhaśca raudraśca prahlādaścāsurottamaḥ /	SumBaH ximBaH ca rOdraH ca prahlAdaH ca asura uttamaH /
   daṇḍapāṇir vipāṇiśca siṃhavaktras tathānagha // RKV_28.62 //	daNxapANiH vipANiH ca siMhavaktraH taTA anaGe // RKV_28.62 //
   dundubhaścaiva saṃhrādo ḍiṇḍirmuṇḍis tathaiva ca /	dunduBaH ca eva saMhrAdaH xiNxiH muNxiH taTA eva ca /
   bāṇabhrātā ca bāṇaśca kravyādavyāghravaktrakau // RKV_28.63 //	bANa BrAtA ca bANaH ca kravyAda vyAGra vaktrakO // RKV_28.63 //
   evamanye 'pi ye keciddānavā baladarpitāḥ /	evam anye api ye kecid dAnavAH bala darpitAH /
   teṣāṃ gṛhe tathā vahnirjvalate nirdayo nṛpa /	tezAm gRhe taTA vahniH jvalate nirdayaH nRpa /
   dahyamānāḥ striyastāta vilapanti gṛhe gṛhe // RKV_28.64 //	dahyamAnAH striyaH tAta vilapanti gRhe gRhe // RKV_28.64 //
   karuṇākṣaravādinyo nirādhārā gatāḥ śivam /	karuNA akzara vAdinyaH nirADArAH gatAH Sivam /
   yadi vairaṃ surāreśca puruṣoparipāvaka // RKV_28.65 //	yadi vEram surAreH ca puruza upari pAvakaH // RKV_28.65 //
   striyaḥ kimaparādhyanti gṛhapañjarakokilāḥ /	striyaH kim aparADyanti gRha paQjara kokilAH /
   anirdayo nṛśaṃsastvaṃ kaste kopaḥ striyaṃ prati // RKV_28.66 //	anirdayaH nRSaMsaH tvam kaH te kopaH striyam prati // RKV_28.66 //
   kiṃ tvayā na śrutaṃ loke avadhyāḥ sarvathā striyaḥ /	kim tvayA na Srutam loke avaDyAH sarvaTA striyaH /
   kiṃ tu tubhyaṃ guṇo hyasti dahane pavaneritaḥ // RKV_28.67 //	kim tu tuByam guNaH hi asti dahane pavana IritaH // RKV_28.67 //
   na kāruṇyaṃ tvayā kiṃcid dākṣiṇyaṃ ca striyaṃ prati /	na kAruNyam tvayA kiMcid dAkziNyam ca striyam prati /
   dayāṃ mlecchā hi kurvanti vacanaṃ vīkṣya yoṣitām // RKV_28.68 //	dayAm mlecCAH hi kurvanti vacanam vIkzya yozitAm // RKV_28.68 //
   mlecchānām api ca mleccho durnivāryo hyacetanaḥ /	mlecCAnAm api ca mlecCaH durnivAryaH hi acetanaH /
   evaṃ vilapamānānāṃ strīṇāṃ tatraiva bhārata // RKV_28.69 //	evam vilapamAnAnAm strINAm tatra eva BArata // RKV_28.69 //
   jvālākalāpabahulaḥ prajvalatyeva pāvakaḥ /	jvAlA kalApa bahulaH prajvalati eva pAvakaH /
   evaṃ dṛṣṭvā tato bāṇo dahyamāna uvāca ha // RKV_28.70 //	evam dRzwvA tatas bANaH dahyamAnaH uvAca ha // RKV_28.70 //
   avajñāya vinaṣṭo 'haṃ pāpātmā haramañjasā /	avajQAya vinazwaH aham pApa AtmA haram aQjasA /
   mayā pāpena mūrkheṇa ye lokā nāśitā dhruvam // RKV_28.71 //	mayA pApena mUrKeNa ye lokAH nASitAH Druvam // RKV_28.71 //
   gobrāhmaṇā hatā nityamiha loke paratra ca /	go brAhmaNAH hatAH nityam iha loke paratra ca /
   nāśitānyannapānāni maṭhārāmāśramāstathā // RKV_28.72 //	nASitAni anna pAnAni maWa ArAma ASramAH taTA // RKV_28.72 //
   ṛṣīṇāmāśramāścaiva devārāmā gaṇālayāḥ /	RzINAm ASramAH ca eva deva ArAmAH gaNa AlayAH /
   tena pāpena me dhvaṃsastapasaśca balasya ca // RKV_28.73 //	tena pApena me DvaMsaH tapasaH ca balasya ca // RKV_28.73 //
   kiṃ dhanena kariṣyāmi rājyeṇāntaḥpureṇa ca // RKV_28.74 //	kim Danena karizyAmi rAjyeNa antaHpureNa ca // RKV_28.74 //
   varaṃ śaṅkarapādau ca śaraṇaṃ yāmi mūḍhadhīḥ /	varam SaFkara pAdO ca SaraNam yAmi mUXa DIH /
   na mātā na pitā caiva na bandhur nāparo janaḥ // RKV_28.75 //	na mAtA na pitA ca eva na banDuH na aparaH janaH // RKV_28.75 //
   muktvā caiva maheśānaṃ paramārtiharaṃ param /	muktvA ca eva maheSAnam parama Arti haram param /
   ātmanā ca kṛtaṃ pāpamātmanaiva tu bhujyate // RKV_28.76 //	AtmanA ca kRtam pApam AtmanA eva tu Bujyate // RKV_28.76 //
   ahaṃ punaḥ samastaiśca dahyāmi saha sādhubhiḥ /	aham punar samastEH ca dahyAmi saha sADuBiH /
   evamuktvā śivaṃ liṅgaṃ kṛtvā tanmastakopari // RKV_28.77 //	evam uktvA Sivam liFgam kRtvA tad mastaka upari // RKV_28.77 //
   nirjagāma gṛhācchīghraṃ pāvakenāvaguṇṭhitaḥ /	nirjagAma gRhAt SIGram pAvakena avaguNWitaH /
   sa khinnaḥ svinnagātrastu praskhalaṃstu muhur muhuḥ // RKV_28.78 //	sa KinnaH svinna gAtraH tu prasKalan= tu muhur muhur // RKV_28.78 //
   haraṃ gadgadayā vācā stuvanvai śaraṇaṃ yayau /	haram gadgadayA vAcA stuvan vE SaraNam yayO /
   tvatkopānalanirdagdho yadi vadhyo 'smi śaṅkara // RKV_28.79 //	tvad kopa anala nirdagDaH yadi vaDyaH asmi SaFkaraH // RKV_28.79 //
   tvatprasādānmahādeva mā me liṅgaṃ praṇaśyatu /	tvad prasAdAt mahAdeva mA me liFgam praNaSyatu /
   arcitaṃ me suraśreṣṭha dhyātaṃ bhaktyā mayā vibho // RKV_28.80 //	arcitam me suraSrezWa DyAtam BaktyA mayA viBo // RKV_28.80 //
   prāṇādiṣṭatamaṃ deva tasmād rakṣitum arhasi /	prANAt izwatamam deva tasmAt rakzitum arhasi /
   yadi te 'ham anugrāhyo vadhyo vā surasattama // RKV_28.81 //	yadi te aham anugrAhyaH vaDyaH vA sura sattamaH // RKV_28.81 //
   pratijanma mahādeva tvadbhaktiracalāstu me /	pratijanma mahAdeva tvad BaktiH acalAstu me /
   paśukīṭapataṅgeṣu tiryagyonigateṣu ca /	paSu kIwa pataFgezu tiryagyoni gatezu ca /
   svakarmaṇā mahādeva tvadbhaktiracalāstu me // RKV_28.82 //	sva karmaNA mahAdeva tvad BaktiH acalAstu me // RKV_28.82 //
   evamuktvā mahābhāgo bāṇo bhaktimatāṃ varaḥ /	evam uktvA mahABAgaH bANaH BaktimatAm varaH /
   stotreṇa devadeveśaṃ chandayāmāsa bhārata // RKV_28.83 //	stotreNa devadeveSam CandayAmAsa BArata // RKV_28.83 //
   bāṇa uvāca:	bANaH uvAca:
   śiva śaṅkara sarvaharāya namo bhavabhītabhayārtiharāya namaḥ /	Siva SaFkara sarva harAya namaH Bava BIta Baya Arti harAya namaH /
   kusumāyudhadehavināśaṃkara pramadāpriyakāmaka deva namaḥ // RKV_28.84 //	kusumAyuDa deha vinASaMkara pramadA priya kAmaka deva namaH // RKV_28.84 //
   jaya pārvatīśa paramārthasāra jaya viracitabhīmabhujaṅgahāra /	jaya pArvatISa parama arTa sAra jaya viracita BIma BujaFga hAra /
   jaya nirmalabhasmaviliptagātra jaya mantramūla jagadekapātra // RKV_28.85	jaya nirmala Basma vilipta gAtra jaya mantra mUla jagat eka pAtra // RKV_28.85
   jaya viṣadharakapilajaṭākalāpa jaya bhairavavighṛtapinākacāpa /	jaya vizaDara kapila jawA kalApa jaya BErava viGRta pinAka cApa /
   jaya viṣamanayanaparimuktasaṅga jaya śaṅkara dhṛtagāṅgataraṅga //	jaya vizama nayana parimukta saFga jaya SaFkara DRta gAFga taraFgaH //
   RKV_28.86 //	RKV_28.86 //
   jaya bhīmarūpa khaṭvāṅgahasta śaśiśekhara jaya jagatāṃ praśasta /	jaya BIma rUpa KawvAFga hasta SaSiSeKara jaya jagatAm praSastaH /
   jaya sukhareśa suralokasāra jaya sarvasakalanirdagdhasāra // RKV_28.87 //	jaya suKareSa sura loka sAra jaya sarva sakala nirdagDa sAraH // RKV_28.87 //
   jaya kīrtanīya jagatāṃ pavitra jaya vṛṣāṅka bahuvidhacaritra /	jaya kIrtanIya jagatAm pavitra jaya vRzAFka bahuviDa caritra /
   jaya viracitanarakaṅkālamāla aghāsuradehakaṅkālakāla // RKV_28.88 //	jaya viracita nara kaFkAla mAla aGa asura deha kaFkAla kAle // RKV_28.88 //
   jaya nīlakaṃṭha varavṛṣabhagamana jaya sakalalokaduritānuśamana /	jaya nIlakaMWa vara vRzaBa gamana jaya sakala loka durita anuSamana /
   jaya siddhasurāsuravinatacaraṇa jaya rudra raudrabhavajaladhitaraṇa //	jaya sidDa sura asura vinata caraNa jaya rudra rOdra Bava jalaDi taraNaH //
   RKV_28.89 //	RKV_28.89 //
   jaya giriśa sureśvaramānanīya jaya sūkṣmarūpa saṃcitanīya /	jaya giriSa sureSvaramAna nIya jaya sUkzma rUpa saMcitanIya /
   jaya dagdhatripura viśvasattva jaya sakalaśāstraparamārthatattva //	jaya dagDa tripura viSva sattva jaya sakala SAstra parama arTa tattva //
   RKV_28.90 //	RKV_28.90 //
   jaya duravabodha saṃsāratāra kalikaluṣamahārṇavaghoratāra /	jaya duravaboDa saMsAra tAra kali kaluza mahA arNava Gora tAra /
   jaya surāsuradevagaṇeśa namo hayavānarasiṃhagajendramukha // RKV_28.91 //	jaya sura asura deva gaNa ISa namaH haya vAnara siMha gaja indra muKaH // RKV_28.91 //
   atihrasvasthūlasudīrghatama upalabdhir na śakyate te hyamaraiḥ /	ati hrasva sTUla su dIrGatamaH upalabDiH na Sakyate te hi amarEH /
   praṇato 'smi nirañjana te caraṇau jaya sāmba sulocanakāntihara //	praNataH asmi niraQjana te caraNO jaya sa amba su locana kAnti hara //
   RKV_28.92 //	RKV_28.92 //
   aprāpya tvāṃ kim atyantam ucchrayī na vināśayet /	aprApya tvAm kim atyantam ucCrayI na vinASayet /
   atipramāthi ca tadā tapo mahatsudāruṇam // RKV_28.93 //	atipramATi ca tadA tapaH mahat su dAruNam // RKV_28.93 //
   na putrabāndhavā dārā na samastaḥ suhṛjjanaḥ /	na putra bAnDavAH dArAH na samastaH suhRd janaH /
   saṅkaṭe 'bhyupagacchanti vrajantamekagāminam // RKV_28.94 //	saFkawe aByupagacCanti vrajantam eka gAminam // RKV_28.94 //
   yadeva karma kaivalyaṃ kṛtaṃ tena śubhāśubham /	yat eva karma kEvalyam kRtam tena SuBa aSuBam /
