   1. (avidyāpratyayāḥ saṃskārāḥ)	1. (avidyA-pratyayAH saMskArAH)
   api khalv evam uktaṃ bhagavatā ṣaḍāyatanike vyākaraṇe /	api Kalu evam uktam BagavatA zaz-Ayatanike vyAkaraNe /
   rūpasyāhaṃ bhikṣavaḥ āsvādaparyeṣaṇām acārṣam* / (DhskD 10v3) yo rūpe	rUpasya-aham BikzavaH AsvAda-paryezaNAm acArzam* / (DhskD 10v3) yaH rUpe
   āsvādas tam anvabhotsyaṃ yāvad rūpe āsvādaḥ prajñayā me sa sudṛṣṭaḥ / ity	AsvAdaH tam anvaBotsyam yAvat rUpe AsvAdaH prajQayA me sa su-dRzwaH / iti-
   etad rūpāsvādavedayitaṃ pratītya yāvat tṛṣṇā / tad ucyate vedanāpratyayā	etat rUpa-AsvAda-vedayitam pratItya yAvat tRzNA / tat ucyate vedanA-pratyayA
   tṛṣṇā /	tRzNA /
   evaṃ śabdagandharasasparśadharmāṇām ahaṃ bhikṣava āsvādaparyeṣaṇām (DhskD	evam Sabda-ganDa-rasa-sparSa-DarmANAm aham BikzavaH AsvAda-paryezaNAm (DhskD
   10v4) acārṣaṃ / yo dharme āsvādas taṃ anvabhotsyaṃ / yāvān dharmeṣv	10v4) acArzam / yaH Darme AsvAdaH tam anvaBotsyam / yAvAn Darmezu-
   āsvādaḥ prajñayā me sa sudṛṣṭaḥ / ity etad dharmāsvādavedayitaṃ pratītya	AsvAdaH prajQayA me sa su-dRzwaH / iti etat Darma-AsvAda-vedayitam pratItya
   vistareṇa yāvat tṛṣṇā / tad ucyate vedanāpratyayā tṛṣṇā /	vistareNa yAvat tRzNA / tat ucyate vedanA-pratyayA tRzNA /
   api khalv evam uktaṃ bhagavatā (DhskD 10v5) ṣaḍāyatanike vyākaraṇe /	api Kalu evam uktam BagavatA (DhskD 10v5) zaz-Ayatanike vyAkaraNe /
   rūpe ced bhikṣava āsvādo na bhaven neme satvā rūpe saṃrajyeran / yasmāt tu	rUpe ced BikzavaH AsvAdaH na Bavet na-ime satvAH rUpe saMrajyeran / yasmAt tu
   bhikṣavo 'sti rūpe āsvādas tasmād ime satvā rūpe saṃrajyante / ity etad	BikzavaH asti rUpe AsvAdaH tasmAt ime satvAH rUpe saMrajyante / iti etat-
   rūpāsvādavedayitaṃ pratītya vistareṇa yāvat (DhskD 10v6) tṛṣṇā / tad	rUpa-AsvAda-vedayitam pratItya vistareNa yAvat (DhskD 10v6) tRzNA / tat-
   ucyate vedanāpratyayā tṛṣṇā /	ucyate vedanA-pratyayA tRzNA /
   evaṃ śabde gandhe rase spraṣṭavye dharme ced bhikṣava āsvādo na bhaven	evam Sabde ganDe rase sprazwavye Darme ced BikzavaH AsvAdaH na Bavet-
   neme satvā dharme saṃrajyeran* / tasmāt tu bhikṣavo 'sti dharmeṣv āsvādas	na-ime satvAH Darme saMrajyeran* / tasmAt tu BikzavaH asti Darmezu AsvAdas
   / teneme satvā dharme saṃrajyante / ity etad (DhskD 10v7) dharmāsvādaṃ	/ tena-ime satvAH Darme saMrajyante / iti etat (DhskD 10v7) Darma-AsvAdam
   pratītya vedayitaṃ vistareṇa yāvat tṛṣṇā / tad ucyate vedanāpratyayā tṛṣṇā	pratItya vedayitam vistareNa yAvat tRzNA / tat ucyate vedanA-pratyayA tRzNA
   api khalv evam uktaṃ bhagavatā mahānāmānaṃ licchavim āgamya /	api Kalu evam uktam BagavatA mahAnAmAnam licCavim Agamya /
   rūpaṃ cen mahānāmann ekāntaduḥkhaṃ bhaven na sukhaṃ na sukhānugataṃ (DhskD	rUpam ced mahAnAman ekAnta-duHKam Bavet na suKam na suKa-anugatam (DhskD
   10v8) na sukhasaumanasyaparītam avakrāntam eva sukhena hetur api mahānāman	10v8) na suKa-sOmanasya-parItam avakrAntam eva suKena hetuH api mahAnAm-an
   na prajñāyeta satvānāṃ rūpe saṃrāgāya na ceme satvā rūpe saṃrajyeran* /	na prajQAyeta satvAnAm rUpe saMrAgAya na ca-ime satvAH rUpe saMrajyeran* /
   yasmāt tu mahānāman rūpaṃ naikāntaduḥkhaṃ sukhaṃ (DhskD 10v9) sukhānugataṃ	yasmAt tu mahAnAman rUpam na-ekAnta-duHKam suKam (DhskD 10v9) suKa-anugatam
   sukhasaumanasyaparītam avakrāntam eva sukhena tasmād ime satvā rūpe	suKa-sOmanasya-parItam avakrAntam eva suKena tasmAt ime satvAH rUpe
   saṃrajyante saṃraktāḥ saṃyujyante saṃyuktāḥ saṃkliṣyante / ity etad	saMrajyante saMraktAH saMyujyante saMyuktAH saMklizyante / iti etat-
   rūpāsvādavedayitaṃ pratītya vistareṇa yāvat tṛṣṇā / tad ucyate (DhskD	rUpa-AsvAda-vedayitam pratItya vistareNa yAvat tRzNA / tat ucyate (DhskD
   10v10) vedanāpratyayā tṛṣṇā /	10v10) vedanA-pratyayA tRzNA /
   vedanā saṃjñā saṃskārā vijñānaṃ cen mahānāmann ekāntaduḥkhaṃ bhaven na	vedanA saMjQA saMskArAH vijQAnam ced mahAnAman ekAnta-duHKam Bavet na
   sukhaṃ na sukhānugataṃ na sukhasaumanasyaparītam avakrāntaṃ caiva sukhena	suKam na suKa-anugatam na suKa-sOmanasya-parItam avakrAntam ca-eva suKena
   hetur api mahānāman na prajñāyeta sattvānāṃ (DhskD 11r1) vijñāne saṃrāgāya	hetuH api mahAnAmat na prajQAyeta sattvAnAm (DhskD 11r1) vijQAne saMrAgAya
   na ceme satvā vijñāne saṃrajyeran* / yasmāt tu mahānāman vijñānaṃ	na ca-ime satvAH vijQAne saMrajyeran* / yasmAt tu mahAnAman vijQAnam
   naikāntaduḥkhaṃ sukhaṃ sukhānugataṃ sukhasaumanasyaparītaṃ anavakrāntam	na-ekAnta-duHKam suKam suKa-anugatam suKa-sOmanasya-parItam anavakra-antam
   eva sukhena tasmād ime satvā vijñāne saṃrajyante saṃraktāḥ saṃyujyante	eva suKena tasmAt ime satvAH vijQAne saMrajyante saMraktAH saMyujyante
   (DhskD 11r2) saṃyuktāḥ saṃkliṣyante / ity etad vijñānāsvādavedayitaṃ	(DhskD 11r2) saMyuktAH saMklizyante / iti etat vijQAna-AsvAda-vedayitam
   pratītya vistareṇa yāvat tṛṣṇā / tad ucyate vedanāpratyayā tṛṣṇā /	pratItya vistareNa yAvat tRzNA / tat ucyate vedanA-pratyayA tRzNA /
   api khalv evam uktaṃ bhagavatā paurṇamāsike vyākaraṇe /	api Kalu evam uktam BagavatA pOrNamAsike vyAkaraNe /
   yad bhikṣavo rūpaṃ pratītyotpadyate (DhskD 11r3) sukham utpadyate	yat BikzavaH rUpam pratItya-utpadyate (DhskD 11r3) suKam utpadyate
   saumanasyam ayaṃ rūpe āsvādaḥ / ity etad rūpāsvādavedayitaṃ pratītya yāvat	sOmanasyam ayam rUpe AsvAdaH / iti etat rUpa-AsvAda-vedayitam pratItya yAvat-
   tṛṣṇā / tad ucyate vedanāpratyayā tṛṣṇā /	tRzNA / tat ucyate vedanA-pratyayA tRzNA /
   yad bhikṣavo vedanāsaṃjñāsaṃskārān yad vijñānaṃ pratītyotpadyate sukham	yat BikzavaH vedanA-saMjQA-saMskArAn yat vijQAnam pratItya-utpadyate suKam
   utpadyate saumanasyam (DhskD 11r4) ayaṃ vijñāne āsvāda / ity etad	utpadyate sOmanasyam (DhskD 11r4) ayam vijQAne AsvAda / iti etat-
   vijñānāsvādavedayitaṃ pratītya bhūyo bhūyo vijñāne apratikūlatā	vijQAna-AsvAda-vedayitam pratItya BUyas BUyas vijQAne apratikUla-tA
   saṃtiṣṭhate / apratikūle sati bhūyo bhūyo vijñāne utpadyate rāgaḥ saṃrāgaḥ	saMtizWate / apratikUle sati BUyas BUyas vijQAne utpadyate rAgaH saMrAgaH
   ālayo niyantir adhyavasānam* (DhskD 11r5) tṛṣṇā / tad ucyate	AlayaH niyantiH aDyavasAnam* (DhskD 11r5) tRzNA / tat ucyate
   vedanāpratyayā tṛṣṇā /	vedanA-pratyayA tRzNA /
   api khalv evam uktaṃ bhagavatā mahānidānaparyāye āyuṣmaty ānande /	api Kalu evam uktam BagavatA mahAnidAna-paryAye Ayuzmati Anande /
   tatrānanda yā ca bhavatṛṣṇā yā ca vibhavatṛṣṇā itīme dve tṛṣṇādvayena	tatra-Ananda yA ca Bava-tRzNA yA ca viBava-tRzNA iti-ime dve tRzNA-dvayena
   vedanāsamavasaraṇe (DhskD 11r6) bhavataḥ / tad ucyate vedanāpratyayā tṛṣṇā	vedanA-samavasaraNe (DhskD 11r6) BavataH / tat ucyate vedanA-pratyayA tRzNA
   10. (tṛṣṇāpratyayam upādānam)	10. (tRzNA-pratyayam upAdAnam)
   uddānaṃ //	uddAnam //
   tatprathamābhinipātaḥ kāmaiś cāvekṣāvāṃs tathā	tad-praTama-aBinipAtaH kAmEH ca-avekzAvAn taTA
   dṛṣṭir vicikitsā upādānaṃ vibhāgo nandam eva ca //	dRzwiH vicikitsA upAdAnam viBAgaH nandam eva ca //
   tṛṣṇāpratyayam upādānaṃ katamad / āha / yat prathamābhinipātaṃ (DhskD	tRzNA-pratyayam upAdAnam katamat / Aha / yat praTama-aBinipAtam (DhskD
   11r7) tṛṣṇāvaipulyam upādānaṃ yathā katham iti /	11r7) tRzNA-vEpulyam upAdAnam yaTA kaTam iti /
   yathā khalv ihaikatyaḥ kāmeṣv avekṣāvān bhavati pratibaddhacittaḥ	yaTA Kalu iha-ekatyaH kAmezu avekzAvAn Bavati pratibadDa-cittaH
   kāmarāgaparyavasthānaṃ utpādayati / sa tasmāt paryavasthānād anyaṃ	kAma-rAga-paryavasTAnam utpAdayati / sa tasmAt paryavasTAnAt anyam
   paryavasthānam utpādayati (DhskD 11r8) adhimātrād adhimātrataraṃ tīvrāt	paryavasTAnam utpAdayati (DhskD 11r8) aDimAtrAt aDimAtrataram tIvrAt-
   tīvrataraṃ pūrṇāt pūritataraṃ / iti pūrvakaṃ paryavasthānaṃ tṛṣṇā paścimam	tIvrataram pUrNAt pUritataram / iti pUrvakam paryavasTAnam tRzNA paScimam
   upādānaṃ tad ucyante tṛṣṇāpratyayaṃ upādānaṃ /	upAdAnam tat ucyante tRzNA-pratyayam upAdAnam /
   yathā khalv ihaikatyo rūpeṣv ārūpyeṣv avekṣāvān bhavati pratibaddhacitta	yaTA Kalu iha-ekatyaH rUpezu ArUpyezu avekzAvAn Bavati pratibadDa-citta
   (DhskD 11r9) ārūpyarāgaparyavasthānam utpādayati / sa tasmāt	(DhskD 11r9) ArUpya-rAga-paryavasTAnam utpAdayati / sa tasmAt-
   paryavasthānād anyat paryavasthānam utpādayati adhimātrād adhimātrataraṃ	paryavasTAnAt anyat paryavasTAnam utpAdayati aDimAtrAt aDimAtra-taram
   yāvat paripūrṇāt paripūrṇataraṃ / iti pūrvakaṃ paryavasthānaṃ tṛṣṇā	yAvat paripUrNAt paripUrNataram / iti pUrvakam paryavasTAnam tRzNA
   paścimam upādānam* / (DhskD 11r10) tad ucyate tṛṣṇāpratyayam upādānaṃ /	paScimam upAdAnam* / (DhskD 11r10) tat ucyate tRzNA-pratyayam upAdAnam /
   asti khalv evam uktaṃ bhagavatā pātaleyavyākaraṇe /	asti Kalu evam uktam BagavatA pAtaleya-vyAkaraNe /
   deśitā vo bhikṣavo mayā dharmāḥ skandhānāṃ pravicayāya / yad uta catvāri	deSitAH vaH BikzavaH mayA DarmAH skanDAnAm pravicayAya / yat uta catvAri
   smṛtyupasthānāni catvāri samyakpradhānāni (DhskD 11v1) catvāra ṛddhipādāḥ	smRti-upasTAnAni catvAri samyak-praDAnAni (DhskD 11v1) catvAraH RdDi-pAdAH
   paṃcendriyāṇi paṃca balāni sapta bodhyaṃgāny āryāṣṭāṃgo mārga / evaṃ	paMca-indriyANi paMca balAni sapta boDi-aMgAni Arya-azwa-aMgaH mArga / evam
   deśiteṣu vo bhikṣavo mayā dharmeṣu skandhānāṃ pravicayāya /	deSitezu vaH BikzavaH mayA Darmezu skanDAnAm pravicayAya /
   atha ca punar ihaikatyā mohapuruṣā na tīvracchandā viharanti na tīvrasnehā	aTa ca punar iha-ekatyAH moha-puruzAH na tIvra=-CandAH viharanti na tIvra-snehA
   na tīvrapremāṇo (DhskD 11v2) na tīvrapramādās / te dhandham evānuttaryaṃ	na tIvra-premANaH (DhskD 11v2) na tIvra-pramAdAH / te DanDam eva-anuttaryam
   spṛśanti yad utāsravāṇāṃ kṣayāya / evaṃ deśiteṣu vo bhikṣavo mayā dharmeṣu	spRSanti yat uta-AsravANAm kzayAya / evam deSitezu vaH BikzavaH mayA Darmezu
   skandhānāṃ pravicayāya /	skanDAnAm pravicayAya /
   atha ca punar ihaikatyāḥ kulaputrāḥ atīvatīvracchandā viharanti	aTa ca punar iha-ekatyAH kula-putrAH atIva-tIvra=-CandAH viharanti
   atīvatīvrasnehā (DhskD 11v3) atīvatīvrapremāṇo 'tīvatīvrapramādās / te	atIva-tIvra-snehAH (DhskD 11v3) atIva-tIvra-premANaH atIva-tIvra-pramAdAH / te
   kṣipram evānuttaryaṃ spṛśanti yad utāsravāṇāṃ kṣayāya / evaṃ deśiteṣu vo	kzipram eva-anuttaryam spRSanti yat uta-AsravANAm kzayAya / evam deSitezu vaH-
   bhikṣavo mayā dharmeṣu skandhānāṃ pravicayāya /	BikzavaH mayA Darmezu skanDAnAm pravicayAya /
   atha ca punar ihaikatyo rūpam ātmataḥ (DhskD 11v4) samanupaśyati / yā sā	aTa ca punar iha-ekatyaH rUpam AtmataH (DhskD 11v4) samanupaSyati / yA sA
   samanupaśyanā saṃskārās te / te punaḥ saṃskārāḥ kinnidānāḥ kiṃsamudayāḥ	samanupaSyanA saMskArAH te / te punar saMskArAH kinnidAnAH kiMsamudayAH
   kiṃjātīyāḥ kiṃprabhavāḥ / avidyāsaṃsparśajaṃ bhikṣavo vedayitaṃ pratītya	kiMjAtIyAH kiMpraBavAH / avidyA-saMsparSa-jam BikzavaH vedayitam pratItya
   tṛṣṇotpannā / tatas te saṃskārās / tṛṣṇā punar bhikṣavaḥ (DhskD 11v5)	tRzNA-utpannA / tatas te saMskArAH / tRzNA punar BikzavaH (DhskD 11v5)
   kinnidānā kiṃsamudayā kiṃjātīyā kiṃprabhavā / tṛṣṇā bhikṣavo vedanānidānā	kinnidAnA kiMsamudayA kiMjAtIyA kiMpraBavAH / tRzNA BikzavaH vedanA-nidAnA
   vedanāsamudayā vedanājātīyā vedanāprabhavā / vedanā punar bhikṣavaḥ	vedanA-samudayA vedanA-jAtIyAH vedanA-praBavAH / vedanA punar BikzavaH
   kinnidānā kiṃsamudayā kiṃjātīyā kiṃprabhavā / vedanā bhikṣavaḥ (DhskD	kinnidAnA kiMsamudayA kiMjAtIyA kiMpraBavAH / vedanA BikzavaH (DhskD
   11v6) sparśanidānā sparśasamudayā sparśajātīyā sparśaprabhavā / sparśaḥ	11v6) sparSa-nidAnA sparSa-samudayA sparSa-jAtIyA sparSa-praBavAH / sparSaH
   kinnidānaḥ kiṃsamudayaḥ kiṃjātīyaḥ kiṃprabhavaḥ / sparśo bhikṣavaḥ	kinnidAnaH kiMsamudayaH kiMjAtIyaH kiMpraBavaH / sparSaH BikzavaH
   ṣaḍāyatananidānaḥ ṣaḍāyatanasamudayaḥ ṣaḍāyatanajātīyaḥ (DhskD 11v7)	zaz-Ayatana-nidAnaH zaz-Ayatana-samudayaH zaz-Ayatana-jAtIyaH (DhskD 11v7)
   ṣaḍāyatanaprabhavaḥ / tatra bhikṣavaḥ ṣaḍāyatanam anityaṃ saṃskṛtaṃ	zaz-Ayatana-praBavaH / tatra BikzavaH zaz-Ayatanam anityam saMskRtam
   cetitaṃ pratītyasamutpannaṃ / so 'pi sparśaḥ sāpi vedanā sāpi tṛṣṇā sāpi	cetitam pratItyasamutpannam / saH api sparSaH sA-api vedanA sA-api tRzNA sA-api
   samanupaśyanā anityā saṃskṛtā cetitā pratītyasamutpannā / (DhskD 11v8)	samanupaSyanA anityA saMskRtA cetitA pratItyasamutpannAH / (DhskD 11v8)
   sa rūpam ātmeti samanupaśyatīti satkāyadṛṣṭiparyavasthānam utpādayati / sa	sa rUpam AtmA-iti samanupaSyati-iti sat-kAya-dRzwi-paryavasTAnam utpAdayati / sa
   tasmāt paryavasthānād anyat paryavasthānam utpādayati adhimātrād	tasmAt paryavasTAnAt anyat paryavasTAnam utpAdayati aDimAtrAt-
   adhimātrataraṃ yāvat paripūrṇāt paripūrṇataraṃ (DhskD 11v9) / iti pūrvakaṃ	aDimAtrataram yAvat paripUrNAt paripUrNataram (DhskD 11v9) / iti pUrvakam
   paryavasthānaṃ tṛṣṇā paścimam upādānaṃ / tad ucyate tṛṣṇāpratyayam	paryavasTAnam tRzNA paScimam upAdAnam / tat ucyate tRzNA-pratyayam
   upādānaṃ /	upAdAnam /
   na haiva rūpam ātmeti samanupaśyaty api tu rūpavantam ātmānaṃ	na ha-eva rUpam AtmA-iti samanupaSyati api tu rUpavantam AtmAnam
   samanupaśyati / na haiva rūpavantam ātmānaṃ saṃanupaśyaty api (DhskD	samanupaSyati / na ha-eva rUpavantam AtmAnam saManupaSyati api (DhskD
   11v10) tu rūpam ātmīyaṃ samanupaśyati / na haiva rūpam ātmīyaṃ	11v10) tu rUpam AtmIyam samanupaSyati / na ha-eva rUpam AtmIyam
   samanupaśyaty api tu rūpe ātmānaṃ samanupaśyati /	samanupaSyati api tu rUpe AtmAnam samanupaSyati /
   na haiva rūpe ātmānaṃ samanupaśyaty api tu vedanām ātmataḥ samanupaśyati /	na ha-eva rUpe AtmAnam samanupaSyati api tu vedanAm AtmataH samanupaSyati /
   na haiva vedanām ātmataḥ (DhskD 12r1) saṃanupaśyaty api tu vedanāvantam	na ha-eva vedanAm AtmataH (DhskD 12r1) saManupaSyati api tu vedanAvantam
   ātmānaṃ samanupaśyati / na haiva vedanāvantaṃ ātmānaṃ samanupaśyaty api tu	AtmAnam samanupaSyati / na ha-eva vedanAvantam AtmAnam samanupaSyati api tu
   vedanām ātmīyāṃ samanupaśyati / na haiva vedanām ātmīyāṃ samanupaśyaty api	vedanAm AtmIyAm samanupaSyati / na ha-eva vedanAm AtmIyAm samanupaSyati api
   tu vedanāyām ātmānaṃ samanupaśyati /	tu vedanAyAm AtmAnam samanupaSyati /
   (DhskD 12r2) na haiva vedanāyām ātmānaṃ samanupaśyaty api tu saṃjñām	(DhskD 12r2) na ha-eva vedanAyAm AtmAnam samanupaSyati api tu saMjQAm
   ātmataḥ samanupaśyati / na haiva saṃjñām ātmataḥ samanupaśyaty api tu	AtmataH samanupaSyati / na ha-eva saMjQAm AtmataH samanupaSyati api tu
   saṃjñāvantam ātmānaṃ samanupaśyati / na haiva saṃjñāvantam ātmānaṃ	saMjQAvantam AtmAnam samanupaSyati / na ha-eva saMjQAvantam AtmAnam
   samanupaśyaty api tu saṃjñām ātmīyāṃ (DhskD 12r3) samanupaśyati / na haiva	samanupaSyati api tu saMjQAm AtmIyAm (DhskD 12r3) samanupaSyati / na ha-eva
   saṃjñām ātmīyāṃ samanupaśyaty api tu saṃjñāyām ātmānaṃ samanupaśyati /	saMjQAm AtmIyAm samanupaSyati api tu saMjQAyAm AtmAnam samanupaSyati /
   na haiva saṃjñāyām ātmānaṃ samanupaśyaty api tu saṃskārān ātmataḥ	na ha-eva saMjQAyAm AtmAnam samanupaSyati api tu saMskArAn AtmataH
   samanupaśyati / na haiva saṃskārān ātmataḥ (DhskD 12r4) samanupaśyaty api	samanupaSyati / na ha-eva saMskArAn AtmataH (DhskD 12r4) samanupaSyati api
   tu saṃskāravantam ātmānaṃ samanupaśyati / vistaraḥ /	tu saMskAravantam AtmAnam samanupaSyati / vistaraH /
   vijñānam ātmataḥ samanupaśyati / na haiva vijñānam ātmataḥ samanupaśyaty	vijQAnam AtmataH samanupaSyati / na ha-eva vijQAnam AtmataH samanupaSyati-
   api tu vijñānavantam ātmānaṃ samanupaśyati / na haiva vijñānavantam	api tu vijQAnavantam AtmAnam samanupaSyati / na ha-eva vijQAnavantam
   ātmānaṃ (DhskD 12r5) samanupaśyati api tu vijñānam ātmīyaṃ samanupaśyati /	AtmAnam (DhskD 12r5) samanupaSyati api tu vijQAnam AtmIyam samanupaSyati /
   na haiva vijñānam ātmīyaṃ samanupaśyaty api tu vijñāne ātmānaṃ	na ha-eva vijQAnam AtmIyam samanupaSyati api tu vijQAne AtmAnam
   samanupaśyati /	samanupaSyati /
   na haiva vijñāne ātmānaṃ samanupaśyaty api tu kāṃkṣī bhavati vicikitsī /	na ha-eva vijQAne AtmAnam samanupaSyati api tu kAMkzI Bavati vicikitsI /
   na haiva kāṃkṣī bhavati vicikitsī api (DhskD 12r6) tu bhavadṛṣṭir bhavati	na ha-eva kAMkzI Bavati vicikitsI api (DhskD 12r6) tu Bava-dRzwiH Bavati
   vibhavadṛṣṭiḥ / na haiva bhavadṛṣṭir bhavati vibhavadṛṣṭiḥ api tv astīti	viBava-dRzwiH / na ha-eva Bava-dRzwiH Bavati viBava-dRzwiH api tu asti-iti
   vācādhigataṃ bhavaty / ayam aham asmīti samanupaśyati / yo 'sāv asmīty	vAcA-aDigatam Bavati / ayam aham asmi-iti samanupaSyati / yaH asO asmi-iti-
   adhigamo 'yam aham asmīty adhigamo / yāsāv asmīti samanupaśyanā (DhskD	aDigamaH ayam aham asmi-iti aDigamaH / yA-asO asmi-iti samanupaSyanAH (DhskD
   12r7) saṃskārās te / te punaḥ saṃskārāḥ kiṃnidānāḥ kiṃsamudayāḥ kiṃjātīyāḥ	12r7) saMskArAH te / te punar saMskArAH kiMnidAnAH kiMsamudayAH kiMjAtIyAH
   kiṃprabhavā / vistareṇa yāvat /	kiMpraBavAH / vistareNa yAvat /
   tatra bhikṣavaḥ ṣaḍāyatanam anityaṃ saṃskṛtaṃ cetitaṃ pratītyasamutpannaṃ	tatra BikzavaH zaz-Ayatanam anityam saMskRtam cetitam pratItyasamutpannam
   / so 'pi sparśaḥ sāpi vedanā sāpi tṛṣṇā (DhskD 12r8) te 'pi saṃskārāḥ sāpi	/ saH api sparSaH sA-api vedanA sA-api tRzNA (DhskD 12r8) te api saMskArAH sA-api
   samanupaśyanā anityā saṃskṛtā cetitā pratītyasamutpannā asmīty adhigatā	samanupaSyanA anityA saMskRtA cetitA pratItyasamutpannA asmi-iti aDigatA
   bhavaty / ayam aham asmīti saṃanupaśyati / satkāyadṛṣṭiparyavasthānaṃ	Bavati / ayam aham asmi-iti saManupaSyati / sat-kAya-dRzwi-paryavasTAnam
   utpādayati / sa tasmāt paryavasthānād anyat (DhskD 12r9) paryavasthānam	utpAdayati / sa tasmAt paryavasTAnAt anyat (DhskD 12r9) paryavasTAnam
   utpādayati adhimātrād adhimātrataraṃ tīvrāt tīvrataraṃ paripūrṇāt	utpAdayati aDimAtrAt aDimAtrataram tIvrAt tIvrataram paripUrNAt-
   paripūrṇataraṃ / iti pūrvakaṃ paryavasthānaṃ trṣṇā paścimam upādānaṃ / tad	paripUrNataram / iti pUrvakam paryavasTAnam trzNA paScimam upAdAnam / tat-
   ucyate tṛṣṇāpratyayam upādānaṃ /	ucyate tRzNA-pratyayam upAdAnam /
   api khalu śāśvato lokaḥ (DhskD 12r10) antagrāhadṛṣṭiparyavasthānam	api Kalu SASvataH lokaH (DhskD 12r10) anta-grAha-dRzwi-paryavasTAnam
   utpādayaty adhimātrād adhimātrataraṃ yāvat paripūrṇāt paripūrṇataram / iti	utpAdayati aDimAtrAt aDimAtrataram yAvat paripUrNAt paripUrNataram / iti
   pūrvakaṃ paryavasthānaṃ tṛṣṇā paścimakam upādānaṃ / tad ucyate	pUrvakam paryavasTAnam tRzNA paScimakam upAdAnam / tat ucyate
   tṛṣṇāpratyayam upādānaṃ /	tRzNA-pratyayam upAdAnam /
   aśāśvato (DhskD 12v1) lokaḥ / śāśvataś cāśāśvataś ca / naiva śāśvato	aSASvataH (DhskD 12v1) lokaH / SASvataH ca-aSASvataH ca / na-eva SASvataH-
   nāśāśvataḥ / antavān lokaḥ / anantavān lokaḥ / antavāṃś cānantavāṃś ca /	na-aSASvataH / antavAn lokaH / anantavAn lokaH / antavAn ca-anantavAn ca /
   naivāntavān anantavāṃś ca / sa jīvas tac charīraṃ / anyo jīvo 'nyac	na-eva-antavAn anantavAn ca / sa jIvaH tat SarIram / anyaH jIvaH anya-t-
   charīraṃ bhavati / tathāgataḥ paraṃ maraṇān na bhavati / tathāgataḥ (DhskD	SarIram Bavati / taTAgataH param maraNAt na Bavati / taTAgataH (DhskD
   12v2) paraṃ maraṇād bhavati ca na bhavati ca / naiva bhavati na na bhavati	12v2) param maraNAt Bavati ca na Bavati ca / na-eva Bavati na na Bavati
   paraṃ maraṇād / antagrāhadṛṣṭiparyavasthānam utpādayati / sa tasmāt	param maraNAt / anta-grAha-dRzwi-paryavasTAnam utpAdayati / sa tasmAt-
   paryavasthānād yāvat paripūrṇāt paripūrṇataraṃ / iti pūrvakaṃ	paryavasTAnAt yAvat paripUrNAt paripUrNataram / iti pUrvakam
   paryavasthānaṃ tṛṣṇā paścimakam (DhskD 12v3) upādānaṃ / tad ucyate	paryavasTAnam tRzNA paScimakam (DhskD 12v3) upAdAnam / tat ucyate
   tṛṣṇāpratyayam upādānaṃ /	tRzNA-pratyayam upAdAnam /
   api khalu na bhagavāṃs tathāgato 'rhan samyaksaṃbuddho na	api Kalu na BagavAn taTAgataH arhan samyaksaMbudDaH na
   vidyācaraṇasaṃpanno na sugato lokavid anuttaraḥ puruṣadaṃyasārathi śāstā	vidyA-caraNa-saMpannaH na sugataH loka-vid anuttaraH puruza-daMya-sAraTi SAstA
   devamanuṣyāṇāṃ buddho bhagavāṃ mithyā dṛṣṭiparyavasthānaṃ (DhskD 12v4)	deva-manuzyANAm budDaH BagavAm miTyA dRzwi-paryavasTAnam (DhskD 12v4)
   utpādayati / sa tasmāt paryavasthānād vistareṇa paripūrṇāt paripūrṇataraṃ	utpAdayati / sa tasmAt paryavasTAnAt vistareNa paripUrNAt paripUrNataram
   / tad ucyate tṛṣṇāpratyayam upādānaṃ /	/ tat ucyate tRzNA-pratyayam upAdAnam /
   na svākhyāto bhagavato dharmo na sāṃdṛṣṭiko na nirjvaraḥ nākālikaḥ	na su-AKyAtaH BagavataH DarmaH na sAMdRzwikaH na nirjvaraH nAkAlikaH
   naupanāyiko naihipaśyakaḥ (DhskD 12v5) na pratyātmavedanīyo vijñair /	na-OpanAyikaH nEhipaSyakaH (DhskD 12v5) na pratyAtma-vedanIyaH vijQEH /
