   akṣarā kuṭajā tathā YRps_9.7b	akzarA kuwajA taTA YRpH-_9.7b
   ghaṭīmadhye payaḥ kṣiptvā YRps_6.33a	GawI-maDye payaH kziptvA YRpH-_6.33a
   ghaṭīyantraṃ garbhayantram YRps_10.3a	GawIyantram garBayantram YRpH-_10.3a
   ghanaghātākṣamā rūkṣā YRps_4.107c	Gana-GAta-akzamA rUkzA YRpH-_4.107c
   ghanarase samabhāgaviloḍitaḥ YRps_3.2d	Gana-rase sama-BAga-viloxitaH YRpH-_3.2d
   ghanasatvaṃ hi sādhayet YRps_1.102d	Gana-satvam hi sADayet YRpH-_1.102d
   ghanasāreṇa saṃyuktaṃ YRps_13.11c	GanasAreNa saMyuktam YRpH-_13.11c
   ghanaṃ raktaṃ suśobhanam YRps_7.3d	Ganam raktam su-SoBanam YRpH-_7.3d
   ghanībhūtaṃ ca saṃjātaṃ YRps_5.69a	GanIBUtam ca saMjAtam YRpH-_5.69a
   gharṣaṇaṃ tu prakārayet YRps_4.99d	GarzaNam tu prakArayet YRpH-_4.99d
   gharṣayet triguṇaṃ sūtaṃ YRps_5.84a	Garzayet triguNam sUtam YRpH-_5.84a
   gharṣayedvaṭikāyugmaṃ YRps_11.70a	Garzayet-vawikA-yugmam YRpH-_11.70a
   gharṣayellohadaṇḍena YRps_5.129c	Garzayet-loha-daNxena YRpH-_5.129c
   gharṣaśca biṃduśca tathaiva reṣā YRps_7.52a	GarzaH-ca biMduH-ca taTA-eva rezA YRpH-_7.52a
   ghāṇikāyantramuddiṣṭaṃ YRps_10.8a	GANikAyantram-uddizwam YRpH-_10.8a
   ghṛtakṣaudraplutaṃ prage YRps_6.65d	GRta-kzOdra-plutam prage YRpH-_6.65d
   ghṛtagandhā nimbuvallī YRps_9.8a	GRtaganDA nimbu-vallI YRpH-_9.8a
   ghṛtaprasthatrayeṇaiva YRps_12.5a	GRta-prasTa-trayeNa-eva YRpH-_12.5a
   ghṛtaśākādivarjitam YRps_4.113f	GRta-SAka-Adi-varjitam YRpH-_4.113f
   ghṛtāktaṃ ṭaṃkaṇopetaṃ YRps_11.121a	GRta-aktam waMkaNa-upetam YRpH-_11.121a
   ghṛtena ca pariplutam YRps_5.30d	GRtena ca pariplutam YRpH-_5.30d
   ghṛṣṭaṃ kanyārasena vai YRps_11.51d	GRzwam kanyA-rasena vE YRpH-_11.51d
   ghorān vyādhīn sṛjanti hi YRps_5.6d	GorAn vyADIn sRjanti hi YRpH-_5.6d
   ghoṣākṛṣṭaṃ ca tāmrakam YRps_1.94b	GozAkRzwam ca tAmrakam YRpH-_1.94b
   ghoṣākṛṣṭaṃ tu yattāmraṃ YRps_11.51a	GozAkRzwam tu yat-tAmram YRpH-_11.51a
   cakravallī sarpadaṃṣṭrā YRps_9.36c	cakravallI sarpa-daMzwrA YRpH-_9.36c
   cakrākāramathābhrakam YRps_5.21d	cakra-AkAram-aTa-aBrakam YRpH-_5.21d
   cakrākāraṃ kṛtaṃ śuṣkaṃ YRps_5.16c	cakra-AkAram kRtam Suzkam YRpH-_5.16c
   cakrībaddharase hitā YRps_10.29d	cakrIbadDa-rase hitAH YRpH-_10.29d
   cakrīṃ caturguṇenaiva YRps_4.82a	cakrIm caturguNena-eva YRpH-_4.82a
   catura eva bhāgāṃśca YRps_11.36c	caturaH eva BAgAn=-ca YRpH-_11.36c
   caturaṅgulakaṃ dṛḍham YRps_10.36d	catur-aFgulakam dRXam YRpH-_10.36d
   caturasramatho nimnaṃ YRps_4.85c	catur-asram-aTo nimnam YRpH-_4.85c
   caturasraṃ hi gartakam YRps_10.44b	catur-asram hi gartakam YRpH-_10.44b
   caturasrā ca nimnakā YRps_10.27b	catur-asrA ca nimnakA YRpH-_10.27b
   caturasrā prakīrtitā YRps_10.30d	catur-asrA prakIrtitAH YRpH-_10.30d
   caturaṃgulasaṃmitā YRps_1.121d	catur-aMgula-saMmitAH YRpH-_1.121d
   caturguñjāpramāṇaṃ hi YRps_11.87a	catur-guQjA-pramANam hi YRpH-_11.87a
   caturguṇe 'bhrake jīrṇe YRps_1.116c	caturguNe aBrake jIrNe YRpH-_1.116c
   caturṇāṃ jāyate khalu YRps_1.18d	caturNAm jAyate Kalu YRpH-_1.18d
   caturthakaṅkuṣṭhamihaiva vājināṃ YRps_6.55a	caturTa-kaFkuzWam-iha-eva vAjinAm YRpH-_6.55a
   caturthāṃśaṃ viśeṣataḥ YRps_11.23d	caturTa-aMSam viSezataH YRpH-_11.23d
   caturthāṃśena rūpyakam YRps_11.107b	caturTa-aMSena rUpyakam YRpH-_11.107b
   caturthenātha bhāgena YRps_1.89c	caturTena-aTa BAgena YRpH-_1.89c
   caturdikṣu gatāni ca YRps_2.62d	catur-dikzu gatAni ca YRpH-_2.62d
   caturdikṣu gatāni ca YRps_11.136d	catur-dikzu gatAni ca YRpH-_11.136d
   caturdikṣu gato dvijaḥ YRps_1.18b	catur-dikzu gataH dvijaH YRpH-_1.18b
   caturdhā baṃdhavijñānaṃ YRps_1.6a	caturDA baMDa-vijQAnam YRpH-_1.6a
   caturbhāgena raviṇā YRps_4.111a	catur-BAgena raviNA YRpH-_4.111a
   caturyāmaṃ dhmāpitā hi YRps_10.20a	catur-yAmam DmApitAH hi YRpH-_10.20a
   caturyāmaṃ prayatnena YRps_4.100a	catur-yAmam prayatnena YRpH-_4.100a
   caturyāmāvadhiṃ tathā YRps_13.5b	catur-yAma-avaDim taTA YRpH-_13.5b
   caturvāram idaṃ khalu YRps_4.69d	catur-vAram idam Kalu YRpH-_4.69d
   caturvidhānyeva tu bandhanāni YRps_2.108a	caturviDAni-eva tu banDanAni YRpH-_2.108a
   caturviṃśatiyāmakam YRps_11.3b	caturviMSati-yAmakam YRpH-_11.3b
   catuṣṭaṃkamitā kāryā YRps_11.61c	catuzwaMka-mitA kAryA YRpH-_11.61c
   catuḥṣaṣṭimitāḥ samyag- YRps_9.1c	catuHzazwi-mitAH samyak- YRpH-_9.1c
   catuḥṣaṣṭiriti proktā YRps_9.9c	catuHzazwiH-iti proktA YRpH-_9.9c
   catuḥṣaṣṭyaṃśakaṃ cābhra- YRps_1.82c	catuHzazwi-aMSakam ca-aBra YRpH-_1.82c
   catuḥṣaṣṭyaṃśato bījaṃ YRps_1.87c	catuHzazwi-aMSataH bIjam YRpH-_1.87c
   catuḥṣaṣṭyaṃśamānena YRps_11.126c	catuHzazwi-aMSa-mAnena YRpH-_11.126c
   catvāra ete sūtasya YRps_2.4c	catvAraH ete sUtasya YRpH-_2.4c
   catvāri kāṃsyabhāṇḍāni YRps_11.136c	catvAri kAMsya-BANxAni YRpH-_11.136c
   candrikārahitaṃ samyak YRps_5.19e	candrikA-rahitam samyak YRpH-_5.19e
   candrodakā sārivā ca YRps_9.18a	candrodakA sArivA ca YRpH-_9.18a
   carācaraviṣaṃ jayet YRps_5.77b	carAcara-vizam jayet YRpH-_5.77b
   carmaraṅgyā rasenaiva YRps_11.8c	carmaraFgyAH rasena-eva YRpH-_11.8c
   carmāraḥ prathamaḥ prokto YRps_6.75c	carmAraH praTamaH proktaH YRpH-_6.75c
   caṃdranakṣatrasannibham YRps_11.94b	caMdra-nakzatra-sanniBam YRpH-_11.94b
   cāṇḍālī tāmravallikā YRps_9.3d	cANxAlI tAmravallikA YRpH-_9.3d
   cātiprayatnena tu vaidyavaryaiḥ YRps_7.64d	ca-ati-prayatnena tu vEdya-varyEH YRpH-_7.64d
   cāndhamūṣāgataṃ dhamet YRps_1.136d	ca-anDamUzA-gatam Damet YRpH-_1.136d
   cāndhayed anyamūṣayā YRps_2.20b	ca-anDayet anya-mUzayA YRpH-_2.20b
   cāraṇaṃ guṇavardhanam YRps_1.93b	cAraNam guNa-varDanam YRpH-_1.93b
   cāraṇaṃ ca krameṇa hi YRps_1.24b	cAraNam ca krameNa hi YRpH-_1.24b
   cārayetsamabhāgikam YRps_1.95d	cArayet-sama-BAgikam YRpH-_1.95d
   cārdhaṃ śubhraṃ graṃthilaṃ mauktikaṃ ca YRps_7.9b	ca-arDam SuBram graMTilam mOktikam ca YRpH-_7.9b
   cārśorogavināśinī YRps_3.49b	ca-arSaH-roga-vinASinI YRpH-_3.49b
   cāṣṭamāṃśaṃ tu kārayet YRps_6.6d	ca-azwama-aMSam tu kArayet YRpH-_6.6d
   cāṃgulārdhamapi mānameva hi YRps_8.7b	ca-aMgula-arDam-api mAnam-eva hi YRpH-_8.7b
   cāṃgerīsvarasenaiva YRps_2.80c	cAMgerI-svarasena-eva YRpH-_2.80c
   citrakasya rasena vai YRps_2.37d	citrakasya rasena vE YRpH-_2.37d
   citrakeṇa samanvitā YRps_1.31d	citrakeNa samanvitA YRpH-_1.31d
   citrako bhṛṅgarājakaḥ YRps_3.49d	citrakaH BRFgarAjakaH YRpH-_3.49d
   citramūlakarudantike śubhā YRps_7.59a	citra-mUla-karudantike SuBAH YRpH-_7.59a
   citraṃ gharmaprasaṃgena YRps_2.63a	citram Garma-prasaMgena YRpH-_2.63a
   citrāgharme dviyāmakam YRps_11.136b	citrA-Garme dvi-yAmakam YRpH-_11.136b
   citronmattair mardayedvāsaraikam YRps_8.27b	citra-unmattEH mardayet-vAsara-ekam YRpH-_8.27b
   cipiṭākhyaṃ tulābhidham YRps_10.3d	cipiwa-AKyam tulA-aBiDam YRpH-_10.3d
   ciṃcātvakcūrṇakaṃ kṣipet YRps_4.81b	ciMcA-tvac-cUrNakam kzipet YRpH-_4.81b
   culyāmāropaṇaṃ kāryaṃ YRps_2.74a	culyAm-AropaNam kAryam YRpH-_2.74a
   culyāṃ niveśya taṃ yaṃtraṃ YRps_1.84a	culyAm niveSya tam yaMtram YRpH-_1.84a
   culyāṃ sthālīṃ niveśyātha YRps_1.52c	culyAm sTAlIm niveSya-aTa YRpH-_1.52c
   cullyāṃ ca kuryādatha vahnimeva YRps_4.52c	cullyAm ca kuryAt-aTa vahnim-eva YRpH-_4.52c
   cuṃbakaṃ drāvakaṃ tathā YRps_4.65d	cuMbakam drAvakam taTA YRpH-_4.65d
   cūrṇatoyena vā svinnaṃ YRps_6.4e	cUrNa-toyena vA svinnam YRpH-_6.4e
   cūrṇayenmatimāṃstataḥ YRps_11.138d	cUrNayet-matimAn=-tatas YRpH-_11.138d
   cūrṇaṃ kajjalasaṃkāśaṃ YRps_4.41a	cUrNam kajjala-saMkASam YRpH-_4.41a
   cūrṇaṃ kṛtvā nikṣipet kācakūpyām YRps_11.33c	cUrNam kRtvA nikzipet kAca-kUpyAm YRpH-_11.33c
   cūrṇaṃ kṛtvā marditaṃ daṃtitoyair YRps_8.19c	cUrNam kRtvA marditam daMti-toyEH YRpH-_8.19c
   cūrṇaṃ cātidravīkṛtam YRps_4.47d	cUrNam ca-ati-dravIkRtam YRpH-_4.47d
   cūrṇaṃ caitad bhāvayettadrasena YRps_8.15c	cUrNam ca-etat BAvayet-tad-rasena YRpH-_8.15c
   cūrṇitaḥ śukapicchena YRps_5.55a	cUrNitaH SukapicCena YRpH-_5.55a
   cūrṇitā ca niśā tathā YRps_4.85b	cUrNitA ca niSA taTA YRpH-_4.85b
   cūrṇitā yāti raktāṅgī YRps_6.17c	cUrNitA yAti rakta-aFgI YRpH-_6.17c
   cūrṇīkṛtaṃ gālitameva vastrād YRps_12.12c	cUrNIkRtam gAlitam-eva vastrAt YRpH-_12.12c
   cūrṇīkṛtaṃ tu madhvājyaiḥ YRps_4.49c	cUrNIkRtam tu maDu-AjyEH YRpH-_4.49c
   cūrṇīkṛtāni satataṃ YRps_2.28a	cUrNIkRtAni satatam YRpH-_2.28a
   cūrṇīkṛtya ca tatsarvaṃ YRps_3.51a	cUrNIkRtya ca tat-sarvam YRpH-_3.51a
   cūrṇenācchādya yatnena YRps_4.88a	cUrNena-AcCAdya yatnena YRpH-_4.88a
   cūrṇairetaiḥ śaṃkhamāpūritaṃ vai YRps_8.27c	cUrNEH-etEH SaMKam-ApUritam vE YRpH-_8.27c
   cūlikālavaṇamamlavetasaṃ YRps_7.58c	cUlikA-lavaNam-amlavetasam YRpH-_7.58c
   caikaviṃśativārakam YRps_11.75b	ca-ekaviMSati-vArakam YRpH-_11.75b
   caiteṣāṃ kalkamādiśet YRps_1.125d	ca-etezAm kalkam-AdiSet YRpH-_1.125d
   cocchritā tu ṣaḍaṃgulā YRps_1.48f	ca-ucCritA tu zaz-aMgulAH YRpH-_1.48f
   cotsedho 'pi navāṃgulaḥ YRps_1.38b	ca-utseDaH api nava-aMgulaH YRpH-_1.38b
   cobhayaṃ samabhāgikam YRps_6.65b	ca-uBayam sama-BAgikam YRpH-_6.65b
   cordhvagaṃ satvamāharet YRps_11.98d	ca-UrDva-gam satvam-Aharet YRpH-_11.98d
   chagaṇakaiśca puṭaṃ paridīyatām YRps_3.30b	CagaNakEH-ca puwam paridIyatAm YRpH-_3.30b
   chagaṇānāṃ sahasreṇa YRps_10.41c	CagaNAnAm sahasreNa YRpH-_10.41c
   chagaṇena viśuṣkeṇa YRps_4.82c	CagaNena viSuzkeNa YRpH-_4.82c
   chagaṇenātha pūrayet YRps_4.88b	CagaNena-aTa pUrayet YRpH-_4.88b
   chagaṇenātha pūrvavat YRps_2.16b	CagaNena-aTa pUrvavat YRpH-_2.16b
   chagaṇairaṣṭabhiḥ kṛtvā YRps_5.111a	CagaNEH-azwaBiH kRtvA YRpH-_5.111a
   chagaṇairaṣṭabhiḥ samyak YRps_10.47a	CagaNEH-azwaBiH samyak YRpH-_10.47a
   chagaṇopalasārī ca YRps_10.53c	CagaNa-upala-sArI ca YRpH-_10.53c
   chataśaratsu nirāmayakṛtparam YRps_3.18b	Cata-Saratsu nirAmaya-kRt-param YRpH-_3.18b
   chattriṇī caiva gośṛṃgī YRps_9.3a	CattriNI ca-eva go-SRMgI YRpH-_9.3a
   chāṇairdadyātsvedanaṃ mandavahnau YRps_8.23b	CANEH-dadyAt-svedanam manda-vahnO YRpH-_8.23b
   chāṇopari kṛte garte YRps_4.81a	CANa-upari kRte garte YRpH-_4.81a
   chāyāyāṃ sthāpayecciram YRps_4.76b	CAyAyAm sTApayet-ciram YRpH-_4.76b
   chidre cāyasanālikām YRps_1.57b	Cidre ca-Ayasa-nAlikAm YRpH-_1.57b
   chinnāṅgāyāḥ kvāthapānaṃ vidheyam YRps_8.16b	Cinna-aFgAyAH kvATa-pAnam viDeyam YRpH-_8.16b
   chucchuṃdarīsthaṃ hi vipācitaṃ puṭe YRps_7.28c	CucCuMdarI-sTam hi vipAcitam puwe YRpH-_7.28c
   chede kṛṣṇaṃ guru snigdhaṃ YRps_4.95a	Cede kRzNam guru snigDam YRpH-_4.95a
   jananapālanasaṃharaṇātmakaṃ YRps_1.1c	janana-pAlana-saMharaNa-Atmakam YRpH-_1.1c
   jantukārī śigruvallī YRps_9.38a	jantukArI Sigru-vallI YRpH-_9.38a
   jantupādī ca nirguṇḍī YRps_9.27c	jantupAdI ca nirguNxI YRpH-_9.27c
   japāpuṣpanibhaṃ svarṇaṃ YRps_11.56e	japA-puzpa-niBam svarNam YRpH-_11.56e
   jambīrais tanmarditaṃ yāmayugmam YRps_8.30d	jambIrEH tat-marditam yAma-yugmam YRpH-_8.30d
   jambukī jalayutā dravantikā YRps_7.59b	jambukI jala-yutA dravantikA YRpH-_7.59b
   jayantikāyāḥ svarasena mauktikam YRps_7.54d	jayantikAyAH svarasena mOktikam YRpH-_7.54d
   jayedbahuvidhān rogān YRps_4.55a	jayet-bahuviDAn rogAn YRpH-_4.55a
   jarādāridryanāśanaḥ YRps_2.70d	jarA-dAridrya-nASanaH YRpH-_2.70d
   jarādāridryanāśanaḥ YRps_9.10d	jarA-dAridrya-nASanaH YRpH-_9.10d
   jarādoṣakṛtān rogān YRps_4.78c	jarA-doza-kRtAn rogAn YRpH-_4.78c
   jarāmṛtyuvināśanam YRps_4.50b	jarA-mRtyu-vinASanam YRpH-_4.50b
   jarāmṛtyuvināśanam YRps_4.56d	jarA-mRtyu-vinASanam YRpH-_4.56d
   jarāyur bahirujjhitaḥ YRps_6.83b	jarAyuH bahis-ujJitaH YRpH-_6.83b
   jarāṃ ca maraṇaṃ vyādhiṃ YRps_4.78a	jarAm ca maraNam vyADim YRpH-_4.78a
   jalakumbhī meghanādā YRps_9.13a	jala-kumBI meGanAdAH YRpH-_9.13a
   jalakūmbhīrasaiḥ paścān YRps_2.24c	jalakUmBI-rasEH paScAn YRpH-_2.24c
   jalapippalikā bhārṃgī YRps_9.17c	jalapippalikA BArMgI YRpH-_9.17c
   jalaprasthatrayaṃ tathā YRps_1.62b	jala-prasTa-trayam taTA YRpH-_1.62b
   jalabhedo yadā na syān YRps_11.14c	jala-BedaH yadA na syAn YRpH-_11.14c
   jalayaṃtrasya yogena YRps_1.79a	jalayaMtrasya yogena YRpH-_1.79a
   jalayaṃtreṇa vai pācyaṃ YRps_11.3a	jalayaMtreNa vE pAcyam YRpH-_11.3a
   jalasekaḥ prakartavyaḥ YRps_2.89c	jala-sekaH prakartavyaH YRpH-_2.89c
   jalasaiṃdhavasaṃyukto YRps_1.65c	jala-sEMDava-saMyuktaH YRpH-_1.65c
   jalaṃ tatrāḍhakatrayam YRps_1.80d	jalam tatra-AXaka-trayam YRpH-_1.80d
   jalāpāmārgamāṃsike YRps_9.12d	jala-apAmArga-mAMsike YRpH-_9.12d
   jalena dhautaṃ tāvacca YRps_11.8e	jalena DOtam tAvat-ca YRpH-_11.8e
   jalena paripeṣitam YRps_12.1d	jalena paripezitam YRpH-_12.1d
   jalenoṣṇena pūritam YRps_1.84b	jalena-uzNena pUritam YRpH-_1.84b
   jalotpalā ciñcikā ca YRps_9.12c	jalotpalA ciQcikA ca YRpH-_9.12c
   jalaukā khoṭapāṭakau YRps_2.2b	jalOkA Kowa-pAwakO YRpH-_2.2b
   jalaukāmeṣasūkarāḥ YRps_1.123d	jalOkA-meza-sUkarAH YRpH-_1.123d
   jaṃbīrapūrakajalair YRps_1.74c	jaMbIra-pUraka-jalEH YRpH-_1.74c
   jaṃbīrasya draveṇātha YRps_4.47c	jaMbIrasya draveNa-aTa YRpH-_4.47c
   jātaṃ tad vartalohakam YRps_4.114b	jAtam tat vartalohakam YRpH-_4.114b
   jātaṃ tutthasamaṃ nīlaṃ YRps_1.106c	jAtam tutTa-samam nIlam YRpH-_1.106c
   jātaṃ dṛṣṭaṃ nānṛtaṃ satyametat YRps_11.123f	jAtam dRzwam na-anRtam satyam-etat YRpH-_11.123f
   jātīpattrī devapuṣpaṃ ca śuṇṭhī YRps_8.31a	jAtIpattrI devapuzpam ca SuNWI YRpH-_8.31a
   jātīpatraṃ phalaṃ tathā YRps_13.6b	jAtI-patram Palam taTA YRpH-_13.6b
   jātīpatraṃ śatāvarī YRps_12.2d	jAtI-patram SatAvarI YRpH-_12.2d
   jātīphalasamāṃśakān YRps_13.2d	jAtIPala-sama-aMSakAn YRpH-_13.2d
   jātīphalārkakarahāṭalavaṅgaśuṇṭhīkaṅkolakeśarakaṇāharicandanāni	jAtIPala-arka-karahAwala-vaFga-SuNWI-kaFkola-keSara-kaNA-haricandanAni
   YRps_13.10a	YRpH-_13.10a
   jātīphalodbhavenāpi YRps_2.82a	jAtIPala-udBavena-api YRpH-_2.82a
   jāte sati virecane YRps_6.59b	jAte sati virecane YRpH-_6.59b
   jāyate'tiruciraṃ kaṅkuṣṭhakam YRps_6.52b	jAyate-ati-ruciram kaFkuzWakam YRpH-_6.52b
   jāyate'tiruciro jvarārikaḥ YRps_8.8c	jAyate-ati-ruciraH jvarArikaH YRpH-_8.8c
   jāyate daśavarṇaṃ tu YRps_11.53c	jAyate daSa-varNam tu YRpH-_11.53c
   jāyate'dhikataraṃ guṇena vai YRps_3.64e	jAyate-aDikataram guNena vE YRpH-_3.64e
   jāyate nātra saṃdeho YRps_2.79e	jAyate na-atra saMdehaH YRpH-_2.79e
   jāyate nātra saṃdeho YRps_4.19c	jAyate na-atra saMdehaH YRpH-_4.19c
   jāyate nātra saṃdeho hy YRps_6.29c	jAyate na-atra saMdehaH hi YRpH-_6.29c
   jāyate nātra saṃśayaḥ YRps_1.155d	jAyate na-atra saMSayaH YRpH-_1.155d
   jāyate nātra saṃśayaḥ YRps_2.33b	jAyate na-atra saMSayaH YRpH-_2.33b
   jāyate nātra saṃśayaḥ YRps_4.70b	jAyate na-atra saMSayaH YRpH-_4.70b
   jāyate nātra saṃśayaḥ YRps_5.88d	jAyate na-atra saMSayaH YRpH-_5.88d
   jāyate nātra saṃśayaḥ YRps_11.4b	jAyate na-atra saMSayaH YRpH-_11.4b
   jāyate nātra saṃśayaḥ YRps_11.30b	jAyate na-atra saMSayaH YRpH-_11.30b
   jāyate nātra saṃśayaḥ YRps_11.44d	jAyate na-atra saMSayaH YRpH-_11.44d
   jāyate nātra saṃśayaḥ YRps_11.55b	jAyate na-atra saMSayaH YRpH-_11.55b
   jāyate nātra saṃśayaḥ YRps_11.56f	jAyate na-atra saMSayaH YRpH-_11.56f
   jāyate nātra saṃśayaḥ YRps_11.60d	jAyate na-atra saMSayaH YRpH-_11.60d
   jāyate nātra saṃśayaḥ YRps_11.108b	jAyate na-atra saMSayaH YRpH-_11.108b
   jāyate niṃbukadravaiḥ YRps_5.83d	jAyate niMbuka-dravEH YRpH-_5.83d
   jāyate pāradastataḥ YRps_2.13d	jAyate pAradaH-tatas YRpH-_2.13d
   jāyate pravaraṃ kāṃsyaṃ YRps_4.111c	jAyate pravaram kAMsyam YRpH-_4.111c
   jāyate pravaraṃ tāraṃ YRps_11.87c	jAyate pravaram tAram YRpH-_11.87c
   jāyate pravaraṃ tāraṃ YRps_11.94a	jAyate pravaram tAram YRpH-_11.94a
   jāyate pravaraṃ tāraṃ YRps_11.99c	jAyate pravaram tAram YRpH-_11.99c
   jāyate pravaraṃ tāraṃ YRps_11.127a	jAyate pravaram tAram YRpH-_11.127a
   jāyate pravaraṃ hema YRps_11.7a	jAyate pravaram hema YRpH-_11.7a
   jāyate bahubhiḥ puṭaiḥ YRps_5.25d	jAyate bahuBiH puwEH YRpH-_5.25d
   jāyate rasavaṅgakam YRps_4.91b	jAyate rasa-vaFgakam YRpH-_4.91b
   jāyate ruciraṃ tāraṃ YRps_11.76e	jAyate ruciram tAram YRpH-_11.76e
   jāyate ruciraḥ sākṣād YRps_1.17c	jAyate ruciraH sAkzAt YRpH-_1.17c
   jāyate sarvakāryeṣu YRps_4.101a	jAyate sarva-kAryezu YRpH-_4.101a
   jāyate sarvarogānāṃ YRps_4.71a	jAyate sarva-rogAnAm YRpH-_4.71a
   jāyate hema sundaraṃ YRps_4.5b	jAyate hema sundaram YRpH-_4.5b
   jāyante doṣavarjitāḥ YRps_6.89d	jAyante doza-varjitAH YRpH-_6.89d
   jāraṇaṃ na śrutaṃ mayā YRps_1.114d	jAraNam na Srutam mayA YRpH-_1.114d
   jāraṇaḥ paramaḥ smṛtaḥ YRps_6.84d	jAraNaH paramaH smRtaH YRpH-_6.84d
   jāraṇe ca niyāmane YRps_9.21d	jAraNe ca niyAmane YRpH-_9.21d
   jārayed gurumārgataḥ YRps_1.113d	jArayet guru-mArgataH YRpH-_1.113d
   jārāvalī mahārāṣṭrī YRps_9.35a	jArA-AvalI mahArAzwrI YRpH-_9.35a
   jāritarasarājakaḥ YRps_6.77d	jArita-rasarAjakaH YRpH-_6.77d
   jāvitrikābdhiśoṣaṃ ca YRps_13.2a	jAvitrika-abDi-Sozam ca YRpH-_13.2a
   jīrṇe pañcaguṇe cābhre YRps_1.117a	jIrNe paQcaguNe ca-aBre YRpH-_1.117a
   jīvakarṣabhakau jīvāṃ YRps_12.17c	jIvaka-RzaBakO jIvAm YRpH-_12.17c
   jīvedvarṣaśataṃ sāgraṃ YRps_5.112c	jIvet-varza-Satam sAgram YRpH-_5.112c
   jīved varṣaśataṃ sukhī YRps_5.67b	jIvet varza-Satam suKI YRpH-_5.67b
   jūrtiṃ jayennīlamidaṃ praśastam YRps_7.44d	jUrtim jayet-nIlam-idam praSastam YRpH-_7.44d
   jūrtiṃ raktaṃ nāśayeccātisāram YRps_8.35b	jUrtim raktam nASayet-ca-atisAram YRpH-_8.35b
   jūrtiṃ samyaṅ nāśayatyāśu tīvrām YRps_8.16d	jUrtim samyak nASayati-ASu tIvrAm YRpH-_8.16d
   jyotirnāmnī ca raktikā YRps_9.3b	jyotiH-nAmnI ca raktikA YRpH-_9.3b
   jyotiṣmatī tejavatī YRps_9.23a	jyotizmatI tejavatI YRpH-_9.23a
   jvaraghnam atihidhmāghnaṃ YRps_6.25c	jvara-Gnam ati-hiDmA-Gnam YRpH-_6.25c
   jvarapāṇḍupramehanut YRps_5.99b	jvara-pANxu-prameha-nud YRpH-_5.99b
   jvarānmehāṃśca kāsāṃśca YRps_5.51a	jvarAn-mehAn=-ca kAsAn=-ca YRpH-_5.51a
   jvarāṃśca viṣamānapi YRps_5.132b	jvarAn=-ca vizamAn-api YRpH-_5.132b
   jvālayet kramaśaścaiva YRps_5.96c	jvAlayet kramaSas-ca-eva YRpH-_5.96c
   jvālayenmūrdhni pāvakam YRps_1.54f	jvAlayet-mUrDni pAvakam YRpH-_1.54f
   jvālāmukhīrasenaiva YRps_2.66a	jvAlAmuKI-rasena-eva YRpH-_2.66a
   jvālāmukhīrase ṣaṣṭhī- YRps_4.12c	jvAlAmuKI-rase zazWI YRpH-_4.12c
   ṭaṅkaṇaṃ dugdham āvikam YRps_5.36d	waFkaNam dugDam Avikam YRpH-_5.36d
   ṭaṅkaṇena samanvitam YRps_11.47b	waFkaNena samanvitam YRpH-_11.47b
   ṭaṅkabhārā hi madhyamā YRps_6.70d	waFka-BArAH hi maDyamA YRpH-_6.70d
   ṭaṅkamānaṃ prakartavyaṃ YRps_11.64a	waFka-mAnam prakartavyam YRpH-_11.64a
   ṭaṃkaṇaṃ vallapañcakam YRps_11.82b	waMkaNam valla-paQcakam YRpH-_11.82b
   ṭaṃkaṇaṃ śāṇamānaṃ hi YRps_11.69c	waMkaNam SANa-mAnam hi YRpH-_11.69c
   ṭaṃkaṇena samanvitam YRps_11.48d	waMkaNena samanvitam YRpH-_11.48d
   ṭaṃkaṇena samaṃ piṣṭvā YRps_5.21c	waMkaNena samam pizwvA YRpH-_5.21c
   ṭaṃkaṇena samāyuktaṃ YRps_5.88a	waMkaNena samAyuktam YRpH-_5.88a
   ṭaṃkatrayamitaṃ pṛthak YRps_11.110b	waMka-traya-mitam pRTak YRpH-_11.110b
   ṭaṃkamānena miśritam YRps_4.77d	waMka-mAnena miSritam YRpH-_4.77d
   ḍamarukābhidhayaṃtraniveśitas YRps_3.3a	xamaruka-aBiDa-yaMtra-niveSitaH YRpH-_3.3a
   ḍamarūkābhidhayaṃtravareṇa taṃ YRps_3.8a	xamarUka-aBiDa-yaMtra-vareNa tam YRpH-_3.8a
   ḍākinībhūtasaṃveśa- YRps_5.77a	xAkinIBUta-saMveSa YRpH-_5.77a
   ḍhekīsaṃjñam udāhṛtam YRps_10.5b	XekI-saMjQam udAhRtam YRpH-_10.5b
   takramadhye trivāraṃ hi YRps_4.80e	takra-maDye tri-vAram hi YRpH-_4.80e
   takre mūtre'tha vahninā YRps_5.13d	takre mUtre-aTa vahninA YRpH-_5.13d
   taccaturguṇamṛttikā YRps_10.13b	tad-caturguNa-mRttikA YRpH-_10.13b
   taccaturdaśavarṇakam YRps_4.6d	tat-caturdaSa-varNakam YRpH-_4.6d
   taccaturdaśavarṇāḍhyaṃ YRps_4.5c	tat-caturdaSa-varNa-AXyam YRpH-_4.5c
   taccāpyuktaṃ śakranīlābhidhānam YRps_7.41f	tat-ca-api-uktam SakranIla-aBiDAnam YRpH-_7.41f
   taccāvakraṃ masṛṇaṃ komalaṃ ca YRps_7.17c	tat-ca-avakram masRNam komalam ca YRpH-_7.17c
