   ācāryadaṇḍinaḥ kāvyādarśaḥ	AcArya-daNxinaH kAvyAdarSaH
   cirārjitaṃ hṛtaṃ teṣāṃ yaśaḥ kumudapāṇḍuram //iti parivṛttiḥ// //	cira-arjitam hRtam tezAm yaSaH kumuda-pANxuram //iti parivRttiH// //
   DKd_2.356 //	DKd-_2.356 //
   āśīrnāmābhilaṣite vastuny āśaṃsanaṃ yathā &	ASIH-nAma-aBilazite vastuni ASaMsanam yaTA &
   pātu vaḥ paramaṃ jyotir avāṅmanasagocaram //ity āśīḥ// // DKd_2.357 //	pAtu vaH paramam jyotiH avAFmanasa-gocaram //iti ASIH// // DKd-_2.357 //
   ananvayasasaṃdehāv upamāsv eva darśitau &	ananvayasa-saMdehO upamAsu eva darSitO &
   upamārūpakaṃ cāpi rūpakeṣv eva darśitam // DKd_2.358 //	upamArUpakam ca-api rUpakezu eva darSitam // DKd-_2.358 //
   utprekṣābheda evāsāv utprekṣāvayavo 'pi ca &	utprekzA-BedaH eva-asO utprekzA-avayavaH api ca &
   nānālaṃkārasaṃsṛṣṭiḥ saṃsṛṣṭis tu nigadyate // DKd_2.359 //	nAnA-alaMkAra-saMsRzwiH saMsRzwiH tu nigadyate // DKd-_2.359 //
   aṅgāṅgibhāvāvasthānaṃ sarveṣāṃ samakakṣatā &	aFga-aFgi-BAva-avasTAnam sarvezAm sama-kakzatA &
   ity alaṃkārasaṃsṛṣṭer lakṣaṇīyā dvayī gatiḥ // DKd_2.360 //	iti alaMkAra-saMsRzweH lakzaNIyA dvayI gatiH // DKd-_2.360 //
   ākṣipanty aravindāni mugdhe tava mukhaśriyam &	Akzipanti aravindAni mugDe tava muKa-Sriyam &
   kośadaṇḍasamagrāṇāṃ kim eṣām asti duṣkaram // DKd_2.361 //	koSa-daNxa-samagrANAm kim ezAm asti duzkaram // DKd-_2.361 //
   limpatīva tamo 'ṅgāni varṣatīvāñjanaṃ nabhaḥ &	limpati-iva tamaH aFgAni varzati-iva-aQjanam naBaH &
   asatpuruṣaseveva dṛṣṭir niṣphalatāṃ gatā // DKd_2.362 //	asat-puruza-sevA-iva dRzwiH nizPala-tAm gatAH // DKd-_2.362 //
   śleṣaḥ sarvāsu puṣṇāti prāyo vakroktiṣu śriyam &	SlezaH sarvAsu puzNAti prAyas vakra-uktizu Sriyam &
   bhinnaṃ dvidhā svabhāvoktir vakroktiś ceti vāṅmayam //iti saṃsṛṣtiḥ// //	Binnam dviDA svaBAva-uktiH vakroktiH ca-iti vAc-mayam //iti saMsRztiH// //
   DKd_2.363 //	DKd-_2.363 //
   tad bhāvikam iti prāhuḥ prabandhaviṣayaṃ guṇam &	tat BAvikam iti prAhuH prabanDa-vizayam guNam &
   bhāvaḥ kaver abhiprāyaḥ kāvyeṣv āsiddhi saṃsthitaḥ // DKd_2.364 //	BAvaH kaveH aBiprAyaH kAvyezu Asidhi saMsTitaH // DKd-_2.364 //
   parasparopakāritvaṃ sarveṣāṃ vastuparvaṇām &	paraspara-upakAri-tvam sarvezAm vastu-parvaNAm &
   viśeṣāṇāṃ vyarthānām akriyā sthānavarṇanā // DKd_2.365 //	viSezANAm vyarTAnAm akriyA sTAna-varNanA // DKd-_2.365 //
   vyaktir uktikramabalād gambhīrasyāpi vastunaḥ &	vyaktiH ukti-krama-balAt gamBIrasya-api vastunaH &
   bhāvāyattām idaṃ sarvam iti tad bhāvikaṃ viduḥ //iti bhāvikam// //	BAva-AyattAm idam sarvam iti tat BAvikam viduH //iti BAvikam// //
   DKd_2.366 //	DKd-_2.366 //
   yac ca saṃdhyaṅgavṛttyaṅgalakṣaṇādy āgamāntare &	yat ca saMDi-aFga-vRtti-aFga-lakzaNa-Adi Agama-antare &
   vyāvarṇitam idaṃ ceṣṭam alaṅkāratayāiva naḥ // DKd_2.367 //	vyAvarNitam idam ca-izwam alaFkAra-tayA-aiva naH // DKd-_2.367 //
   panthāḥ sa eṣa vivṛtaḥ parimāṇavṛttyā saṃhṛtya vistaram anantam	panTAH saH eza vivRtaH parimANa-vRttyA saMhRtya vistaram anantam
   alaṅkriyāṇām &	alaFkriyANAm &
   vācām atītya viṣayaṃ parivartamānān abhyāsa eva vivarītum alaṃ viśeṣān //	vAcAm atItya vizayam parivartamAnAn aByAse eva vivarItum alam viSezAn //
   DKd_2.368 //	DKd-_2.368 //
   ity ācāryadaṇḍinaḥ kṛtau kāvyādarśe 'rthālaṅkāravibhāgo nāma dvitīyo	iti AcArya-daNxinaH kRtO kAvya-AdarSe arTa-alaFkAra-viBAgaH nAma dvitIyaH-
   paricchedaḥ //	paricCedaH //
