   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   gajai tu pāśanvyoḥkuryāddhemakuṃbhakarau punaḥ /	gajE tu pASanvyoHkuryAt hema kuMBa karO punar /
   siṃcantau tau mahālakṣmīṃ kuryātkuṃbhajalaistathā // BhS_17.75 //	siMcantO tO mahA lakzmIm kuryAt kuMBa jalEH taTA // BhH _17.75 //
   śrībhūmyorvīravijayalakṣmyoreva vidhīyate /	SrI BUmyoH vIra vijaya lakzmyoH eva viDIyate /
   dhravaberānurūpeṇa berāntarasamarcanam // BhS_17.76 //	Dravabera anurUpeNa bera antara samarcanam // BhH _17.76 //
   tadrūpaṃ kautukaṃ kuryādutsavādi yathecchayā /	tad rUpam kOtukam kuryAt utsava Adi yaTA icCayA /
   anyāsāṃnaiva kurvīta dhruvārcāmeva kārayet // BhS_17.77 //	anyAsAMna eva kurvIta Druva arcAm eva kArayet // BhH _17.77 //
   paiṇḍarīke pradhānāgnau hautraṃ tatra praśaṃsya ca /	pENxarIke praDAna agnO hOtram tatra praSaMsya ca /
   śrībhūmyormūrtimantraiśca krameṇāvāhanādikam // BhS_17.78 //	SrI BUmyoH mUrti mantrEH ca krameNa AvAhana Adikam // BhH _17.78 //
   "godāṃ kṛṣṇapriyāṃ lakṣmīṃ rukmiṇī'miti cāhvayet /	"godAm kRzNapriyAm lakzmIm rukmiNI am iti ca Ahvayet /
   āvāhanakrameṇaiva tanmantrairjuhuyātkrarūt // BhS_17.79 //	AvAhana krameNa eva tad mantrEH juhuyAt krarUt // BhH _17.79 //
   pratiṣṭhoktakrameṇaiva sarvaṃ pūrvavadācaret /	pratizWA ukta krameNa eva sarvam pUrvavat Acaret /
   navaṣaṭpañcamūrtīnāṃ vimānasyālayasya ca // BhS_17.80 //	nava zawpaQcamUrtInAm vimAnasya Alayasya ca // BhH _17.80 //
   dvimūrtisthāpanaṃ tadvatrimūrtasthāpanaṃ tathā /	dvi mUrti sTApanam tat vatri mUrta sTApanam taTA /
   anyeṣāṃ parivārāṇāṃ sthāpanaṃ vidhivaccaret // BhS_17.81 //	anyezAm parivArANAm sTApanam viDivat caret // BhH _17.81 //
   yadyatsamarpyate vastu deveśasya tu mandire /	yat yat samarpyate vastu deveSasya tu mandire /
   tattatsarvaṃ vidhānena pratiṣṭhāpya samarpayet // BhS_17.82 //	tat tat sarvam viDAnena pratizWApya samarpayet // BhH _17.82 //
   asaṃskṛtaṃ tu na grāhyaṃ na taddevapriyaṃ bhavet /	asaMskRtam tu na grAhyam na tat deva priyam Bavet /
   bhūṣaṇāni ca vā sāṃsi pātrāṇyanyatparicchadam // BhS_17.83 //	BUzaNAni ca vA sAMsi pAtrANi anyat paricCadam // BhH _17.83 //
   berālaṅkārayogyāni dhāmālaṅkaraṇāni ca /	bera alaFkAra yogyAni DAma alaFkaraNAni ca /
   yathāhaṃn saṃskṛtānyeva gṛhṇīyātsaphalaṃ bhavet // BhS_17.84 //	yaTA ahaM saMskRtAni eva gRhNIyAt sa Palam Bavet // BhH _17.84 //
   tattaddravyādhidaivatyaṃ devatāmūrtimantrakam /	tad tad dravya aDidEvatyam devatA mUrti mantrakam /
   juhuyātsarvamanyacca pratiṣṭhoktavadācaret // BhS_17.85 //	juhuyAt sarvam anyat ca pratizWA ukta vat Acaret // BhH _17.85 //
   dravyādhidevatākalbassamyagukto mayākhile // BhS_17.86 //	dravya aDidevatA kalba ssamyak uktaH mayA aKile // BhH _17.86 //
   iti śrīvaikhānase bhagavacchāstre bhṛsuproktāyāṃ	iti SrI vEKAnase Bagavat SAstre BRsu proktAyAm
   saṃhitāyāṃ prakīrṇādhikāre saptadaśo 'dhyāyaḥ	saMhitAyAm prakIrNa aDikAre saptadaSaH aDyAyaH
   athāṣṭādaśo 'dhyāyaḥ.	aTa azwAdaSaH aDyAyaH.
   bhagavadarcanam	Bagavat arcanam
   atha vakṣye viśeṣeṇa viṣṇorarcanamuttamam /	aTa vakzye viSezeNa vizNoH arcanam uttamam /
   "pravaḥ pāntama'ndhetyādi śrutibhirvihitaṃ tathā // BhS_18.1 //	"pravaH pAntama anDa ityAdi SrutiBiH vihitam taTA // BhH _18.1 //
   yaccoktaṃ guruṇā sūtre samāsena maharṣiṇā /	yat ca uktam guruNA sUtre samAsena mahA RziNA /
   tenaiva vivṛtaṃ śāstre sārdhakoṭī pramāṇataḥ // BhS_18.2 //	tena eva vivRtam SAstre sArDa kowI pramANataH // BhH _18.2 //
   asmābhistu susaṃkṣiptaṃ cāturlakṣapramāṇataḥ /	asmABiH tu su saMkziptam cAturlakza pramANataH /
   tadarcanakramaṃ vakṣye śruṇudhvamṛṣisattamāḥ // BhS_18.3 //	tad arcana kramam vakzye SruNuDvam Rzi sattamAH // BhH _18.3 //
   vaikhānasena sūtreṇa niṣekādi kriyānvitaḥ /	vEKAnasena sUtreNa nizeka Adi kriyA anvitaH /
   ṛtviguktaguṇopetassupuṣṭāṅgassamāhitaḥ // BhS_18.4 //	Rtvij ukta guNa upetassu puzwa aFga ssamAhitaH // BhH _18.4 //
   gṛhastho brahmacārī vā bhaktyaivār'canamācaret /	gRhasTaH brahmacArI vA BaktyA eva aracanam Acaret /
   dravyairanekaissaṃpādyaṃ tathānantopacārakaiḥ // BhS_18.5 //	dravyEH anekEssaMpAdyam taTA ananta upacArakEH // BhH _18.5 //
   āśakyaṃ vidhivatkartuṃ brahmādyairapi pūjanam /	ASakyam viDivat kartum brahma AdyEH api pUjanam /
   manuṣyaiḥkimuvaktavyaṃ daridrairadṛḍhātmabhiḥ // BhS_18.6 //	manuzyEH kim uvaktavyam daridrEH adRXa AtmaBiH // BhH _18.6 //
   yathāśakti tataḥ kuryāttasmādbahubhirarcakaiḥ /	yaTASakti tatas kuryAt tasmAt bahuBiH arcakEH /
   bahubhiḥ paricāraiśca tathai vānyapadārthibhiḥ // BhS_18.7 //	bahuBiH paricArEH ca taTE vA anya padArTiBiH // BhH _18.7 //
   nirvartyaṃ pūjanaṃ viṣṇośśraddhābhaktisamanvitaiḥ /	nirvartyam pUjanam vizNoH SradDA Bakti samanvitEH /
   tasmānnavavidhā grāhyā arcakāḥ paricārakāḥ // BhS_18.8 //	tasmAt navaviDAH grAhyAH arcakAH paricArakAH // BhH _18.8 //
   uttame tūttamaṃ proktamarcakānāntu viṃśatiḥ /	uttame tu uttamam proktam arcakAna antu viMSatiH /
   aśītiḥ paricārāṇāmuttame madhyamaṃ tataḥ // BhS_18.9 //	aSItiH paricArANAm uttame maDyamam tatas // BhH _18.9 //
   paricārāṇāṃ catuṣṣaṣṭidarcakāṣṣoḍaśa smṛtāḥ /	paricArANAm catuzzazwi darcakAzzoxaSa smRtAH /
   uttame tvadhamaṃ proktamarcakā dvādaśa smṛtāḥ // BhS_18.10 //	uttame tu aDamam proktam arcakAH dvAdaSa smRtAH // BhH _18.10 //
   pañcāśatparicārāśca madhyame cottamaṃ punaḥ /	paQcASat paricArAH ca maDyame ca uttamam punar /
   catvāriṃśatparicarāḥ pūjakāścāṣṭakīrtitāḥ // BhS_18.11 //	catvAriMSat paricarAH pUjakAH ca azwa kIrtitAH // BhH _18.11 //
   madhyame madhyamaṃ proktamacankāṣṣaḍudīritāḥ /	maDyame maDyamam proktam acan kAzzaxudIritAH /
   pañcaviṃśatparicarā madhyame tvadhamaṃ punaḥ // BhS_18.12 //	paQcaviMSat paricarA maDyame tu aDamam punar // BhH _18.12 //
   catvāraḥ pūjakāstatra paricārāstu ṣoḍaśa /	catvAraH pUjakAH tatra paricArAH tu zoxaSa /
   trayor'cakāḥ paricarā nava syuradhamottame // BhS_18.13 //	trayoH acakAH paricarA nava syuH aDama uttame // BhH _18.13 //
   pūjakau dvauparicarāścatvāro 'dhamamadhyame /	pUjakO dvOparicarAH catvAraH aDama maDyame /
   ekor'cakaḥ paricarau dvauproktāvadhamādhame // BhS_18.14 //	ekoracakaH paricarO dvOproktO= aDama aDame // BhH _18.14 //
   ācāryassyādupadraṣṭā devassānnidhyakārakaḥ /	AcArya ssyAt upadrazwA devassAnniDya kArakaH /
   arcanādyakhilaṃ kāryaṃ tanniyogena kārayet // BhS_18.15 //	arcana Adi aKilam kAryam tat niyogena kArayet // BhH _18.15 //
   sa hi kāryasya nirṇetā goptādharmasyadeśikaḥ /	sa hi kAryasya nirNetA goptA Darmasya deSikaH /
   arcako devadevasya kuryānmantrāsanādiṣu // BhS_18.16 //	arcakaH devadevasya kuryAt mantra Asana Adizu // BhH _18.16 //
   upacārānanantāṃśca vidhinā śāstracoditān /	upacArAn anantAn= ca viDinA SAstra coditAn /
   arcakasya sahāyantu kiṅkaraḥ paricārakaḥ // BhS_18.17 //	arcakasya sahAyantu kiFkaraH paricArakaH // BhH _18.17 //
   bahukāryakarāścaite grāhyāstu paricārakāḥ /	bahu kArya karAH ca ete grAhyAH tu paricArakAH /
   sammājannakaraścaiva tathā syādupalepakaḥ // BhS_18.18 //	sammAjanna karaH ca eva taTA syAt upalepakaH // BhH _18.18 //
   dīpoddīpayitā cauva potraśodhanakārakaḥ /	dIpa uddIpayitA ca Ova potra SoDana kArakaH /
   pānīya vāhakaścaiva puṣpāpacayakārakaḥ // BhS_18.19 //	pAnIya vAhakaH ca eva puzpa apacaya kArakaH // BhH _18.19 //
   dhūpadīpādikartā ca gandhapeṣaṇatatparaḥ /	DUpa dIpa Adi kartA ca ganDa pezaNa tatparaH /
   tattatparicchadāhartā tathaiva balivāhakaḥ // BhS_18.20 //	tad tad paricCada AhartA taTA eva bali vAhakaH // BhH _18.20 //
   evamādīni kāryāṇi kurvanti paricārakāḥ /	evamAdIni kAryANi kurvanti paricArakAH /
   pācakaḥ paricārassyātpacanālayasaṃgataḥ // BhS_18.21 //	pAcakaH paricAra ssyAt pacana Alaya saMgataH // BhH _18.21 //
   haviṣpākavidhānajñaśśaucācāraparāyaṇaḥ /	havizpAka viDAna jQa SSOca AcAra parAyaNaH /
   etānvaikhānasāneva vṛṇetsarvān padārthinaḥ // BhS_18.22 //	etAn vEKAnasAn eva vRNet sarvAn padArTinaH // BhH _18.22 //
   alābhe tatra sarveṣāmācāryaṃ cārcakānpusaḥ /	alABe tatra sarvezAm AcAryam ca arcakAn pusaH /
   vaikhānasāneva vṛṇannakyudaryādanyasūtriṇaḥ // BhS_18.23 //	vEKAnasAn eva vRNannakI udaryAt anya sUtriNaH // BhH _18.23 //
   avaikhānasa viprastu pūjayedālaye harim /	avEKAnasa vipraH tu pUjayet Alaye harim /
   sa vai devalako nāma sarva karmabahiṣkṛtaḥ // BhS_18.24 //	sa vE devalakaH nAma sarva karma bahizkRtaH // BhH _18.24 //
   paricārāṃntu vṛṇuyādalābhe tvanyasūtriṇaḥ /	paricArAM= tu vRNuyAt alABe tu anyasUtriNaH /
   dīkṣitānevasadvṛttānāgamoktavidhānataḥ // BhS_18.25 //	dIkzita aneva sat vRttAn Agama ukta viDAnataH // BhH _18.25 //
   yajamānassadādhyātmarato mokṣārthacintakaḥ /	yajamAna ssadA aDyAtma rataH mokza arTa cintakaH /
   dhanī sarvasamastyāgī bhaktiyuktaḥ prasannadhīḥ // BhS_18.26 //	DanI sarva samaH tyAgI Bakti yuktaH prasanna DIH // BhH _18.26 //
   śāstroktena vidhānena viṣṇulāñchanalāñchitaḥ /	SAstra uktena viDAnena vizNulAQSana lAQCitaH /
   devasya nityapūjārthamutsavārthaṃ viśeṣataḥ // BhS_18.27 //	devasya nitya pUjA arTam utsava arTam viSezataH // BhH _18.27 //
   tathānyavibhavārthaṃ ca dāpayeddhanasaṃcayam /	taTA anya viBava arTam ca dApayet Dana saMcayam /
   ācāryājñāpratīkṣassyātṝjake hitacintakaḥ // BhS_18.28 //	AcArya AjQA pratIkzassyAtLjake hita cintakaH // BhH _18.28 //
   paricāre prasannaśca kiṅkareṣu dayāparaḥ /	paricAre prasannaH ca kiFkarezu dayA paraH /
   tīrthaprasādasevī ca nirmālyeṣu kṛtādaraḥ // BhS_18.29 //	tIrTa prasAda sevI ca nirmAlyezu kRta AdaraH // BhH _18.29 //
   iti lakṣaṇasaṃpannāḥ prabhavantyālayārcane /	iti lakzaNa saMpannAH praBavanti Alaya arcane /
   athārcakaḥ pramannātmā pañcakālaparāyaṇaḥ // BhS_18.30 //	aTa arcakaH pramanna AtmA paQca kAla parAyaNaH // BhH _18.30 //
   brāhmemuhūrte codthāya nārāyaṇamanusmaret /	brAhmemuhUrte ca udTAya nArAyaNam anusmaret /
   kṛtvā sūtroktavidhinā śaucādīni yathāvidhi // BhS_18.31 //	kRtvA sUtra ukta viDinA SOca AdIni yaTAviDi // BhH _18.31 //
   snātvā snānavidhānena dhṛtvā dhautāṃbare punaḥ /	snAtvA snAna viDAnena DRtvA DOta aMbare punar /
   ūrdhvapuṇḍrāṇi saṃdhārya vidhinā keśavādibhiḥ // BhS_18.32 //	UrDva puNxrANi saMDArya viDinA keSava AdiBiH // BhH _18.32 //
   dhṛtvā pavitrapadmākṣatulasīmaṇimālikāḥ /	DRtvA pavitra padma akza tulasI maNi mAlikAH /
   dhṛtvobhayapavitre ca tathā sandhyāmupāsya ca // BhS_18.33 //	DRtvA uBaya pavitre ca taTA sanDyAm upAsya ca // BhH _18.33 //
   uṣṇīṣeṇa ca pañcāgabhūṣaṇainsuvibhūṣitaḥ /	uzNIzeNa ca paQcAga BUzaNa Ensu viBUzitaH /
   samāpya nityakarmāṇi mahāmantrādikaṃ japan // BhS_18.34 //	samApya nityakarmANi mahA mantra Adikam japan // BhH _18.34 //
   aruṇaṃ tu japitvaiva nārāyaṇamataḥ param /	aruNam tu japitvA eva nArAyaNam atas param /
   praṇamya yantrikāñcaiva karābhyāṃ parigṛhya ca // BhS_18.35 //	praNamya yantri kAQcA eva karAByAm parigRhya ca // BhH _18.35 //
   bāhvośśirasi vā nyasya bhaktyā paramayā yutaḥ /	bAhvoH Sirasi vA nyasya BaktyA paramayA yutaH /
   saṃgataḥ paricāraiśca yajamānena sādaram // BhS_18.36 //	saMgataH paricArEH ca yajamAnena sa Adaram // BhH _18.36 //
   sarvavādya samāyuktaḥ sarvamaṅgalaśobhitaḥ /	sarva vAdya samAyuktaH sarva maFgala SoBitaH /
   kramamāṇaśśanairvidvān devāgāraṃ prati vrajet // BhS_18.37 //	kramamANaSSanEH vidvAn devAgAram prati vrajet // BhH _18.37 //
   "pratadviṣṇu'riti procya cālayaṃ paritaḥkramāt /	"pratat vizNu ariti procya ca Alayam paritas kramAt /
   yugmapradakṣiṇaṃ kuryāddeva devamanusmaran // BhS_18.38 //	yugma pradakziNam kuryAt deva devam anusmaran // BhH _18.38 //
   yugmapradakṣiṇaṃ kuryādayugmaṃ tvābhicārikam /	yugma pradakziNam kuryAt ayugmam tu ABicArikam /
   āyugmaṃ tu parītyāpi tathāyugmaṃ praṇamya ca // BhS_18.39 //	Ayugmam tu parItya api taTA yugmam praNamya ca // BhH _18.39 //
   prekṣetodyantamādityaṃ japeddvādaśasūktakam /	prekzeta udyantam Adityam japet dvAdaSa sUktakam /
   chāyālaṅghanadoṣantu na tatra syātpradakṣiṇe // BhS_18.40 //	CAyA laFGana dozantu na tatra syAt pradakziNe // BhH _18.40 //
   devāgāraṃ praviśyaiva tattanmantramanusmaran /	devAgAram praviSya eva tat tad mantram anusmaran /
   dvāradevān praṇamyātha nirastaṃ rakṣamastrataḥ // BhS_18.41 //	dvAra devAn praNamya aTa nirastam rakzam astrataH // BhH _18.41 //
   gṛhītvā yantrikāṃ caiva "hiraṇyapāṇi' muccaran /	gRhItvA yantrikAm ca eva "hiraNya pANi a muccaran /
   kavāṭe tu susaṃyojya "divaṃ' vīti samuccaran // BhS_18.42 //	kavAwe tu su saMyojya "divana vi iti samuccaran // BhH _18.42 //
   kavāṭodghāyanaṃ kṛtvā praviśedantaraṃ budhaḥ /	kavAwa udGAyanam kRtvA praviSet antaram buDaH /
   "ato devā' itiprocya devaṃ vīkṣyapraṇamya ca // BhS_18.43 //	"ataH devAa itiprocya devam vIkzya praNamya ca // BhH _18.43 //
   paricārakamāhūya dīpānuddīpayetkramāt /	paricArakam AhUya dIpAn uddIpayet kramAt /
   praṇavaṃ mantramuccārya tatra kāryaṃ samācaret // BhS_18.44 //	praNavam mantram uccArya tatra kAryam samAcaret // BhH _18.44 //
   trissaṃprahārya pāṇibhyāṃ "śāmyantvi'tyādi coccaran /	trissaMprahArya pANiByAm "SAmyantu i atyAdi ca uccaran /
   ādarśaṃ gāśca kanyāśca hastyaśvādīn śubhodayān // BhS_18.45 //	AdarSam gAH ca kanyAH ca hasti aSva AdIn SuBa udayAn // BhH _18.45 //
   brāhmaṇānvedaviduṣo nartakāṃścaiva gāyakān /	brAhmaNAn veda viduzaH nartakAn= ca eva gAyakAn /
   devasya puratasthsāpya mukhamaṇḍapa evacā // BhS_18.46 //	devasya puratasTsApya muKa maNxapaH eva cAH // BhH _18.46 //
   pracchanna paṭamudvāsya kṛtvā nīrājanaṃ tathā /	pracCan na pawam udvAsya kRtvA nIrAjanam taTA /
   sarvavādyasamāyuktaṃ darśayeddharaye mudā // BhS_18.47 //	sarva vAdya samAyuktam darSayet haraye mudA // BhH _18.47 //
   dhāroṣṇaṃ caiva gokṣīraṃ navanītaṃ saśarkaram /	DArozNam ca eva go kzIram navanItam sa Sarkaram /
   deveśāya nivedyātha kuryādyavanikāṃ punaḥ // BhS_18.48 //	deveSAya nivedya aTa kuryAt yavanikAm punar // BhH _18.48 //
   "bhūḥ prapadye' samuccārya deveśaṃ praṇamenmuhuḥ /	"BUH prapadye a samuccArya deveSam praNamet muhur /
   "paraṃ raṃ'hīti mantreṇa śayanasthaṃ śriyaḥpatim // BhS_18.49 //	"param raM ahi iti mantreNa Sayana sTam SriyaH patim // BhH _18.49 //
   "bhūrasī bhū'riti procya jīvasthāne niveśayet /	"BU rasI BU ariti procya jIva sTAne niveSayet /
   tasmin kāletu ye bhaktyā sevante puruṣottamam // BhS_18.50 //	tasmin kAletu ye BaktyA sevante puruzottamam // BhH _18.50 //
   teṣāṃ puṇyaphalaṃ vaktuṃ na śakyaṃ tridaśairapi /	tezAm puNya Palam vaktum na Sakyam tridaSEH api /
   tataśśiṣyaṃ samāhūya vinayānvitamādarāt // BhS_18.51 //	tatas Sizyam samAhUya vinaya anvitam AdarAt // BhH _18.51 //
   sammārjanādikarmāṇi gurustasmai samādiśet /	sammArjana Adi karmANi guruH tasmE samAdiSet /
   "ava dhūti'miti procya garbhagehādi sarvataḥ // BhS_18.52 //	"ava DUti amiti procya garBa geha Adi sarvatas // BhH _18.52 //
   mārjanyā mārjayecchiṣyaḥ prādakṣiṇyakrameṇa vai /	mArjanyA mArjayet SizyaH prAdakziNya krameNa vE /
   pāṃsvādīn parihṛtyāpi prākārāntaṃ ca sarvaśaḥ // BhS_18.53 //	pAMsu AdIn parihRtya api prAkAra antam ca sarvaSas // BhH _18.53 //
   "āśā'sviti samuccārya gomayenopalepayet /	"ASA asu iti samuccArya gomayena upalepayet /
   pañcagavyaistu saṃprokṣya raṅgavallīssamācaret // BhS_18.54 //	paQcagavyEH tu saMprokzya raFgavallIssamAcaret // BhH _18.54 //
   "ā mā vājasya' mantreṇa yathoktena vidhānataḥ /	"A mA vAjasya a mantreNa yaTA uktena viDAnataH /
   sarvaṇyapi ca pātrāṇi śodhayetsumanorame // BhS_18.55 //	sarvaNi api ca pAtrANi SoDayet su manorame // BhH _18.55 //
   to yasaṃgrahaṇārthaṃ tu niyuktaḥ pūjakena tu /	taH ya saMgrahaNa arTam tu niyuktaH pUjakena tu /
   ghaṭamādāya śiṣyastu "duhatāṃ diva'muccaran // BhS_18.56 //	Gawam AdAya SizyaH tu "duhatAm diva amuccaran // BhH _18.56 //
   nadītaṭākakūpānāṃ pūrvālābhe paraṃ vrajet /	nadI tawAka kUpAnAm pUrva alABe param vrajet /
   upasthāya jalaṃ smṛtvā jāhnavīṃ lokapāvanīm // BhS_18.57 //	upasTAya jalam smRtvA jAhnavIm loka pAvanIm // BhH _18.57 //
   "ājyamabhigṛhṇā'mīti cāppavitreṇa vāsasā /	"Ajyam aBigRhNa Aami iti ca appavitreNa vAsasA /
   gṛhītvotpūtamādhāvaṃ gāyatrīmuccaran punaḥ // BhS_18.58 //	gRhItvA utpUtam ADAvam gAyatrIm uccaran punar // BhH _18.58 //
   alaṅkṛtyaghaṭaṃ samyak kṣaumenācchādya tanmukham /	alaFkRtya Gawam samyak kzOmena AcCAdya tad muKam /
   gaje śirasi vā kṣiptvā sarvavādyasamāyutam // BhS_18.59 //	gaje Sirasi vA kziptvA sarva vAdya samAyutam // BhH _18.59 //
   punarālayamāviśya kṛtvā caiva pradakṣiṇam /	punar Alayam AviSya kRtvA ca eva pradakziNam /
   somaṃ rājānamuccārya garbhagehe tu dakṣiṇe // BhS_18.60 //	somam rAjAnam uccArya garBa gehe tu dakziNe // BhH _18.60 //
   vinyasecca tataḥ kuṃbhaṃ tripādopari śobhite /	vinyaset ca tatas kuMBam tri pAda upari SoBite /
   elośīrādicāhṛtya gandhadravyaṃ yathāvidhi // BhS_18.61 //	elA uSIH a Adica AhRtya ganDa dravyam yaTAviDi // BhH _18.61 //
   dadyādarcakahaste tu gṛhītvā tattu pūjakaḥ /	dadyAt arcaka haste tu gRhItvA tat tu pUjakaH /
   pūrṇakuṃbhe tu nikṣipyatoyaṃ tadadhivāsayet // BhS_18.62 //	pUrNa kuMBe tu nikzipya toyam tat aDivAsayet // BhH _18.62 //
   alābhe kuśadūrvairvā tulasīdalamiśritaiḥ /	alABe kuSa dUrvEH vA tulasI dala miSritEH /
   abhimṛśya tataḥ kuṃbha "midamāpaśśivā'iti // BhS_18.63 //	aBimRSya tatas kuMBaH "midam ApaH SivA aiti // BhH _18.63 //
   sūtroktavidhinā kṛtvā puṇyāhaṃ vidhivattadā /	sUtra ukta viDinA kRtvA puNya aham viDivat tadA /
   "śuci vo havya'mantreṇa saṃbhārān prokṣayetkramāt // BhS_18.64 //	"Suci vaH havya amantreNa saMBArAn prokzayet kramAt // BhH _18.64 //
   śodhayitvātu nirmālyaṃ "naśyastu jagatā'miti /	SoDayitvA atu nirmAlyam "naSyaH tu jagatA am iti /
   "ahameveda'muktvā tu pīṭhapuṣpaṃ ca śodhayet // BhS_18.65 //	"aham eva ida amuktvA tu pIWapuzpam ca SoDayet // BhH _18.65 //
   "pūtastasya' samuccārya vedimadbhissuśodhayet /	"pUtaH tasya a samuccArya vedim adBiH suSoDayet /
   dhruvasya pādapuṣpastu viṣṇugāyatriyā tathā // BhS_18.66 //	Druvasya pAdapuzpaH tu vizNu gAyatriyA taTA // BhH _18.66 //
   pañcabhirmūrti mantraiśca datvā devaṃ praṇamya ca /	paQcaBiH mUrti mantrEH ca datvA devam praNamya ca /
   devanirmālyaśeṣeṇa viṣvaksenaṃ vibhūṣya ca // BhS_18.67 //	deva nirmAlya SezeNa vizvaksenam viBUzya ca // BhH _18.67 //
   anyannirmālyamādāya śucisthāne 'psu vā kṣivet /	anyat nirmAlyam AdAya Suci sTAne apsu vA kzivet /
   pūjanārthāṃśca saṃbhārān yathāśakti susaṃbharet // BhS_18.68 //	pUjana arTAn= ca saMBArAn yaTASakti su saMBaret // BhH _18.68 //
   tatassamāhito bhūtvāsaṃbhārārcanamārabhet /	tatassamAhitaH BUtvA asaMBAra arcanam AraBet /
   tattatthsāneṣu pātrāṇi yathārhaṃ sthāpayedbudhaḥ // BhS_18.69 //	tad tatTsAnezu pAtrANi yaTArham sTApayet buDaH // BhH _18.69 //
   snānārthamagnikoṇe syādarghyarthaṃ nairṛte 'pi ca /	snAna arTam agni koNe syAt arGi arTam nErRte api ca /
   pādyārthaṃ vāyudeśe syādācamārthamatheśake // BhS_18.70 //	pAdya arTam vAyu deSe syAt Acama arTam aTa ISake // BhH _18.70 //
   śuddhyarthamekaṃ madhye tu pañcapātramidaṃ kramāt /	SudDi arTam ekam maDye tu paQca pAtram idam kramAt /
   tripādopare nikṣipte viśāle tāmrabhājane // BhS_18.71 //	tri pAda upare nikzipte viSAle tAmra BAjane // BhH _18.71 //
   "agniśśu'cīti mantreṇa sthāpayecca hariṃ smaran /	"agniH Su aci iti mantreNa sTApayet ca harim smaran /
   kuryācca pātrasaṃskāraṃ śoṣaṇādi yathāvidhi // BhS_18.72 //	kuryAt ca pAtra saMskAram SozaNa Adi yaTAviDi // BhH _18.72 //
   uddhariṇyāṃ gṛhītvātu praṇavena jalaṃ tadā /	udDariNyAm gRhItvA atu praNavena jalam tadA /
   nikṣipya tulasīṃ tasyāṃ puṣpaṃ vā dhāraṇaṃ caret // BhS_18.73 //	nikzipya tulasIm tasyAm puzpam vA DAraNam caret // BhH _18.73 //
   vārikuṃbhamukhe brahmā tadadho rudra īritaḥ /	vAri kuMBa muKe brahmA tad aDas rudraH IritaH /
   varuṇastu jale dhyeyastathai vāvāhanaṃ caret // BhS_18.74 //	varuNaH tu jale DyeyaH taTE vA AvAhanam caret // BhH _18.74 //
   tripāde candramāvāhya cādityaṃ cordhvabhājane /	tri pAde candram AvAhya ca Adityam ca UrDva BAjane /
   vasiṣṭhasomayajñāṅgāninduṃ mandraṃ krameṇavai // BhS_18.75 //	vasizWa soma yajQa aFgAn indum mandram krameNa vE // BhH _18.75 //
   āgneyādikrameṇaiva pañcapātreṣu cāhvayet /	Agneya Adi krameNa eva paQca pAtrezu ca Ahvayet /
   karpūrośīrakaṃ caiva gandhānelālavaṅgakam // BhS_18.76 //	karpUroSIrakam ca eva ganDAn elA lavaFgakam // BhH _18.76 //
   snānadravyamidaṃ proktaṃ snānapātre tunikṣipet /	snAna dravyam idam proktam snAna pAtre tunikzipet /
