   kūrmapurāṇam 1	kUrmapurANam 1
   svaṃ rūpaṃ darśayāmāsa divyaṃ tat pārameśvaram // KūrmP_1,11.66 //	svam rUpam darSayAmAsa divyam tat pArameSvaram // KUrmP_1,11.66 //
   koṭisūryapritīkāśaṃ tejobimbaṃ nirākulam /	kowi sUrya pritIkASam tejaH bimbam nirAkulam /
   jvālāmālāsahastrāḍhyaṃ kālānalaśatopamam // KūrmP_1,11.67 //	jvAlA m AlAsa hastra AXyam kAla anala Sata upamam // KUrmP_1,11.67 //
   daṃṣṭrākarālaṃ durdharṣa jaṭāmaṇḍalamaṇḍitam /	daMzwrA karAlam durDarza jawA maNxala maNxitam /
   triśūlavarahastaṃ ca ghorarūpaṃ bhayānakam // KūrmP_1,11.68 //	triSUla vara hastam ca Gora rUpam BayAnakam // KUrmP_1,11.68 //
   praśāntaṃ saumyavadanamanantāścaryasaṃyutam /	praSAntam sOmya vadanam ananta AScarya saMyutam /
   candrāvayavalakṣmāṇaṃ candrakoṭisamaprabham // KūrmP_1,11.69 //	candra avayava lakzmANam candra kowi sama praBam // KUrmP_1,11.69 //
   kirīṭinaṃ gadāhastaṃ nūpurairupaśobhitam /	kirIwinam gadA hastam nUpurEH upaSoBitam /
   divyamālyāmbaradharaṃ divyagandhānulepanam // KūrmP_1,11.70 //	divya mAlya ambara Daram divya ganDa anulepanam // KUrmP_1,11.70 //
   śaṅkhacakradharaṃ kāmyaṃ trinetraṃ kṛttivāsasam /	SaFKa cakra Daram kAmyam trinetram kRttivAsasam /
   aṇḍasthaṃ cāṇḍabāhyasthaṃ bāhyamābhyantaraṃ param // KūrmP_1,11.71 //	aNxa sTam ca aNxa bAhya sTam bAhyam AByantaram param // KUrmP_1,11.71 //
   sarvaśaktimayaṃ śubhraṃ sarvākāraṃ sanātanam /	sarva Sakti mayam SuBram sarva AkAram sanAtanam /
   brahmondropendrayogīndrairvandyamānapadāmbujam // KūrmP_1,11.72 //	brahma undra upendra yogi indrEH vandya mAna pada ambujam // KUrmP_1,11.72 //
   sarvataḥ pāṇipādāntaṃ sarvato 'kṣiśiromukham /	sarvatas pANi pAda antam sarvatas akzi SiraH muKam /
   sarvamāvṛtya tiṣṭhantaṃ dadarśa parameśvaram // KūrmP_1,11.73 //	sarvam AvRtya tizWantam dadarSa parameSvaram // KUrmP_1,11.73 //
   dṛṣṭvā tadīdṛśaṃ rūpaṃ devyā māheśvaraṃ param /	dRzwvA tad IdRSam rUpam devyAH mAheSvaram param /
   bhayena ca samāviṣṭaḥ sa rājā hṛṣṭamānasaḥ // KūrmP_1,11.74 //	Bayena ca samAvizwaH sa rAjA hRzwa mAnasaH // KUrmP_1,11.74 //
   ātmanyādhāya cātmānamoṅkāraṃ samanusmaran /	Atmani ADAya ca AtmAnam oFkAram samanusmaran /
   nāmnāmaṣṭasahastreṇa tuṣṭāva parameśvarīm // KūrmP_1,11.75 //	nAmnAm azwa sahastreNa tuzwAva parameSvarIm // KUrmP_1,11.75 //
   hīmavānuvāca	hImavAn uvAca
   śivomā paramā śaktiranantā niṣkalāmalā /	SivomA paramA SaktiH anantA nizkala amalA /
   śāntā māheśvarī nityā śāśvatī paramākṣarā // KūrmP_1,11.76 //	SAntA mAheSvarI nityA SASvatI parama akzarAH // KUrmP_1,11.76 //
   acintyā kevalānantyā śivātmā paramātmikā /	acintyA kevala AnantyA Siva AtmA parama AtmikA /
   anādiravyayā śuddhā devātmā sarvagācalā // KūrmP_1,11.77 //	anAdiH avyayA SudDA deva AtmA sarvagAcalAH // KUrmP_1,11.77 //
   ekānekavibhāgasthā māyātītā sunirmalā /	eka aneka viBAga sTA mAyA atItA su nirmalAH /
   mahāmāheśvarī satyā mahādevī nirañjanā // KūrmP_1,11.78 //	mahAmAheSvarI satyA mahAdevI niraQjanAH // KUrmP_1,11.78 //
   kāṣṭhā sarvāntarasthā ca cicchaktiratilālasā /	kAzWA sarva antara sTA ca cicCakti rati lAlasA /
   nandā sarvātmikā vidyā jyotīrūpāmṛtākṣarā // KūrmP_1,11.79 //	nandA sarva AtmikA vidyA jyotIrUpa amRta akzarAH // KUrmP_1,11.79 //
   śāntiḥ pratiṣṭhā sarveṣāṃ nivṛttiramṛtapradā /	SAntiH pratizWA sarvezAm nivRttiH amRta pradA /
   vyomamūrtirvyomalayā vyomādhārācyutāmarā // KūrmP_1,11.80 //	vyoma mUrtiH vyomalayA vyoma ADAra acyuta amarAH // KUrmP_1,11.80 //
   anādinidhanāmoghā kāraṇātmā kalākalā /	anAdiniDanA amoGA kAraNa AtmA kalA kalAH /
   kratuḥ prathamajā nābhiramṛtasyātmasaṃśrayā // KūrmP_1,11.81 //	kratuH praTama jAH nABiH amRtasya Atma saMSrayAH // KUrmP_1,11.81 //
   prāṇeśvarapriyā mātā mahāmahiṣaghātinī /	prANeSvara priyA mAtA mahA mahiza GAtinI /
   prāṇeśvarī prāṇarūpā pradhānapuruṣeśvarī // KūrmP_1,11.82 //	prANeSvarI prANa rUpA praDAna puruza ISvarI // KUrmP_1,11.82 //
   sarvaśaktikalākārā jyotsnā dyormahimāspadā /	sarva Sakti kalA AkArA jyotsnA dyoH mahima AspadA /
   sarvakāryaniyantrī ca sarvabhūteśvareśvarī // KūrmP_1,11.83 //	sarva kArya niyantrI ca sarva BUta ISvara ISvarI // KUrmP_1,11.83 //
   anādiravyaktaguhā mahānandā sanātanī /	anAdiH avyakta guhA mahAnandA sanAtanI /
   ākāśayoniryogasthā mahāyogeśvareśvarī // KūrmP_1,11.84 //	AkASa yoniH yoga sTA mahA yoga ISvara ISvarI // KUrmP_1,11.84 //
   mahāmāyā suduṣpūrā mūlaprakṛtirīśvarī /	mahAmAyA su duzpUrA mUlaprakRtiH ISvarI /
   saṃsārayoniḥ sakalā sarvaśaktisamudbhavā // KūrmP_1,11.85 //	saMsAra yoniH sakalA sarva Sakti samudBavAH // KUrmP_1,11.85 //
   saṃsārapārā durvārā durnirokṣyā durāsadā /	saMsAra pArA durvArAH durnirokzyAH durAsadA /
   prāṇaśaktiḥ praṇavidyā yoginī paramā kalā // KūrmP_1,11.86 //	prANa SaktiH praNavidyA yoginI paramA kalA // KUrmP_1,11.86 //
   mahāvibhūtirdurdharṣā mūlaprakṛtisaṃbhavā /	mahA viBUtiH durDarzA mUlaprakRti saMBavAH /
   anādyanantavibhavā parārthā puruṣāraṇiḥ // KūrmP_1,11.87 //	anAdi ananta viBavA para arTA puruza araNiH // KUrmP_1,11.87 //
   sargasthityantakaraṇī sudurvācyā duratyayā /	sarga sTiti anta karaNI su durvAcyA duratyayAH /
   śabdayoniḥ śabdamayī nādākhyā nādavigrahā // KūrmP_1,11.88 //	SabdayoniH Sabda mayI nAda AKyA nAda vigrahAH // KUrmP_1,11.88 //
   pradhānapuruṣātītā pradhānapuruṣātmikā /	praDAna puruza atItA praDAna puruza AtmikA /
   purāṇī cinmayī puṃsāmādiḥ puruṣarūpiṇī // KūrmP_1,11.89 //	purANI cit mayI puMsAm AdiH puruza rUpiNI // KUrmP_1,11.89 //
   bhūtāntarātmā kūṭasthā mahāpuruṣasaṃjñitā /	BUta antarAtmA kUwasTA mahApuruza saMjQitAH /
   janmamṛtyujarātītā sarvaśaktisamanvitā // KūrmP_1,11.90 //	janma mRtyu jarA atItA sarva Sakti samanvitAH // KUrmP_1,11.90 //
   vyāpinī cānavacchinnā pradhānānupraveśinī /	vyApinI ca anavacCinnA praDAna anupraveSinI /
   kṣetrajñaśaktiravyaktalakṣaṇā malavarjitā // KūrmP_1,11.91 //	kzetrajQa SaktiH avyakta lakzaNAH mala varjitAH // KUrmP_1,11.91 //
   anādimāyasaṃbhinnā tritattvā prakṛtirguhā /	anAdi mAya saMBinnA tri tattvA prakRtiH guhA /
   mahāmāyāsamutpannā tāmasī pauruṣī dhruvā // KūrmP_1,11.92 //	mahAmAyA samutpannA tAmasI pOruzI DruvAH // KUrmP_1,11.92 //
   vyaktāvyaktātmikākṛṣṇā raktāśuklā prasūtikā /	vyakta avyakta AtmikA kRzNA rakta ASuklA prasUtikAH /
   akāryā kāryajananī nityaṃ prasavadharmiṇī // KūrmP_1,11.93 //	akAryA kArya jananI nityam prasava DarmiNI // KUrmP_1,11.93 //
   sargapralayanirmuktā sṛṣṭisthityantadharmiṇī /	sarga pralaya nirmuktA sRzwi sTiti anta DarmiNI /
   brahmagarbhā caturviśā padmanābhācyutātmikā // KūrmP_1,11.94 //	brahmagarBA catur viSA padmanABa acyuta AtmikAH // KUrmP_1,11.94 //
   vaidyutī śāśvatī yonirjaganmāteśvarapriyā /	vEdyutI SASvatI yoniH jaganmAtA ISvara priyA /
   sarvādhārā mahārūpā sarvaiśvaryasamanvitā // KūrmP_1,11.95 //	sarva ADArAH mahA rUpA sarva ESvarya samanvitAH // KUrmP_1,11.95 //
   viśvarūpā mahāgarbhā viśveśecchānuvartinī /	viSva rUpA mahAgarBA viSveSa icCA anuvartinI /
   mahīyasī brahmayonirmahālakṣmīsamudbhāvā // KūrmP_1,11.96 //	mahIyasI brahma yoniH mahA lakzmI samudBAvAH // KUrmP_1,11.96 //
   mahāvimānamadhyasthā mahānidrātmahetukā /	mahA vimAna maDya sTA mahA nidrA Atma hetukAH /
   sarvasādhāraṇī sūkṣmā hyavidyā pāramārthikā // KūrmP_1,11.97 //	sarva sADAraNI sUkzmA hi avidyA pAramArTikAH // KUrmP_1,11.97 //
   anantarūpānantasthā devī puruṣamohinī /	ananta rUpA ananta sTA devI puruza mohinI /
   anekākārasaṃsthānā kālatrayavivarjitā // KūrmP_1,11.98 //	aneka AkAra saMsTAnA kAla traya vivarjitAH // KUrmP_1,11.98 //
   brahmajanmā harermūrtirbrahmaviṣṇuśivātmikā /	brahmajanmA hareH mUrtiH brahma vizNu Siva AtmikA /
   brahmeśaviṣṇujananī brahmākhyā brahmasaṃśrayā // KūrmP_1,11.99 //	brahma ISa vizNu jananI brahma AKyAH brahma saMSrayAH // KUrmP_1,11.99 //
   vyaktā prathamajā brāhmī mahatī jñānarūpiṇī /	vyaktA praTama jA brAhmI mahatI jQAna rUpiNI /
   vairāgyaiśvaryadharmātmā brahmamūrtirhṛdisthitā /	vErAgya ESvarya Darma AtmA brahmamUrtiH hRdisTitA /
   apāṃyoniḥ svayaṃbhūtirmānasī tattvasaṃbhavā // KūrmP_1,11.100 //	apAMya UniH svayaMBUtiH mAnasI tattva saMBavAH // KUrmP_1,11.100 //
   īśvarāṇī ca śarvāṇī śaṅkarārdhaśarīriṇī /	ISvarANI ca SarvANI SaFkara arDa SarIriNI /
   bhavānī caiva rudrāṇī mahālakṣmīrathāmbikā // KūrmP_1,11.101 //	BavAnI ca eva rudrANI mahA lakzmI H aTa ambikA // KUrmP_1,11.101 //
   maheśvarasamutpannā bhuktimuktiphalapradā /	maheSvara samutpannA Bukti mukti Pala pradA /
   sarveśvarī sarvavandyā nityaṃ muditamānasā // KūrmP_1,11.102 //	sarva ISvarI sarva vandyAH nityam mudita mAnasA // KUrmP_1,11.102 //
   brahmendropendranamitā śaṅkarecchānuvartinī /	brahma indra upendra namitA SaFkara icCA anuvartinI /
   īśvarārdhāsanagatā maheśvarapativratā // KūrmP_1,11.103 //	ISvara arDAsana gatAH maheSvara pativratA // KUrmP_1,11.103 //
   sakṛdvibhāvitā sarvā samudrapariśoṣiṇī /	sakRt viBAvitA sarvA samudra pariSoziNI /
   pārvatī himavatputrī paramānandadāyinī // KūrmP_1,11.104 //	pArvatI himavat putrI parama Ananda dAyinI // KUrmP_1,11.104 //
   guṇāḍhyā yogajā yogyā jñānamūrtirvikāsinī /	guNa AXyA yoga jA yogyA jQAna mUrtiH vikAsinI /
   sāvitrīkamalā lakṣmīḥ śrīranantorasi sthitā // KūrmP_1,11.105 //	sAvitrI kamalA lakzmIH SrIH ananta urasi sTitAH // KUrmP_1,11.105 //
   sarojanilayā mudrā yoganidrā surārdinā /	saroja nilayA mudrA yoganidrA surArdinA /
   sarasvatī sarvavidyā jagajjyeṣṭhā sumaṅgalā // KūrmP_1,11.106 //	sarasvatI sarva vidyA jagat jyezWA su maFgalAH // KUrmP_1,11.106 //
   vāgdevī varadā vācyā kīrtiḥ sarvārthasādhikā /	vAgdevI vara dA vAcyA kIrtiH sarva arTa sADikAH /
   yogīśvarī brahmavidyā mahāvidyā suśobhanā // KūrmP_1,11.107 //	yogi ISvarI brahma vidyA mahAvidyA su SoBanAH // KUrmP_1,11.107 //
   guhyavidyātmavidyā ca dharmavidyātmabhāvitā /	guhya vidyA Atma vidyA ca Darma vidyA Atma BAvitA /
   svāhā viśvaṃbharā siddhiḥ svadhā medhā dhṛtiḥ śrutiḥ // KūrmP_1,11.108 //	svAhA viSvaMBarA sidDiH svaDA meDA DRtiH SrutiH // KUrmP_1,11.108 //
   nītiḥ sunītiḥ sukṛtirmādhavī naravāhinī /	nItiH sunItiH sukRtiH mADavI nara vAhinI /
   ajā vibhāvarī saumyā bhoginī bhogadāyinī // KūrmP_1,11.109 //	ajA viBAvarI sOmyA BoginI Boga dAyinI // KUrmP_1,11.109 //
   śobhā vaṃśakarī lolā mālinī parameṣṭhinī /	SoBA vaMSakarI lolA mAlinI paramezWinI /
   trailokyasundarī ramyā sundarī kāmacāriṇī // KūrmP_1,11.110 //	trElokyasundarI ramyA sundarI kAma cAriNI // KUrmP_1,11.110 //
   mahānubhāvā sattvasthā mahāmahiṣamardanī /	mahA anuBAvA sattva sTA mahA mahiza mardanI /
   padmamālā pāpaharā vicitrā mukuṭānanā // KūrmP_1,11.111 //	padma mAlA pApa harAH vicitrAH mukuwa AnanAH // KUrmP_1,11.111 //
   niryantrā yantravāhasthā nandinī bhadrakālikā /	niryantrA yantra vAha sTA nandinI BadrakAlikAH /
   ādityavarṇā kaumārī mayūravaravāhinī // KūrmP_1,11.112 //	Aditya varNA kOmArI mayUra vara vAhinI // KUrmP_1,11.112 //
   niryantrā yantravāhasthā nandinī bhadrakālikā /	niryantrA yantra vAha sTA nandinI BadrakAlikAH /
   ādityavarṇā kaumārī mayūravaravāhinī // KūrmP_1,11.113 //	Aditya varNA kOmArI mayUra vara vAhinI // KUrmP_1,11.113 //
   vṛṣāsanagatā gauro mahākālī surārcitā /	vRzAsana gatA gOraH mahAkAlI sura arcitA /
   aditirniyatā raudrī padmagarbhā vivāhanā // KūrmP_1,11.114 //	aditiH niyatA rOdrI padma garBAH vivAhanAH // KUrmP_1,11.114 //
   virūpākṣī lelihānā mahāpuranivāsinī /	virUpAkzI lelihAnA mahApura nivAsinI /
   mahāphalānavadyāṅgī kāmapūrā vibhāvarī // KūrmP_1,11.115 //	mahA PalA anavadya aFgI kAmapUrA viBAvarI // KUrmP_1,11.115 //
   vicitraratnamukuṭā praṇatārtiprabhañjanī /	vicitra ratna mukuwA praNata Arti praBaQjanI /
   kauśikī karṣaṇī rātristridaśārtivināśinī // KūrmP_1,11.116 //	kOSikI karzaNI rAtriH tridaSa Arti vinASinI // KUrmP_1,11.116 //
   bahurūpā surūpā ca virūpā rūpavarjitā /	bahurUpA surUpA ca virUpA rUpa varjitA /
   bhaktārtiśamanī bhavyā bhavabhāvavināśanī // KūrmP_1,11.117 //	Bakta Arti SamanI BavyA Bava BAva vinASanI // KUrmP_1,11.117 //
   nirguṇā nityavibhavā niḥ sārā nirapatrapā /	nirguNA nitya viBavA niH sArAH nirapatrapAH /
   yaśasvinī sāmagītirbhavāṅganilayālayā // KūrmP_1,11.118 //	yaSasvinI sAma gItiH Bava aFga nilaya AlayA // KUrmP_1,11.118 //
   dīkṣā vidyādharī dīptā mahendravinipātinī /	dIkzA vidyADarI dIptA mahA indra vinipAtinI /
   sarvātiśāyinī vidyā sarvasiddhipradāyinī // KūrmP_1,11.119 //	sarva atiSAyinI vidyA sarva sidDi pradAyinI // KUrmP_1,11.119 //
   sarveśvarapriyā tārkṣyā samudrāntaravāsinī /	sarveSvara priyA tArkzyA samudra antara vAsinI /
   akalaṅkā nirādhārā nityasiddhā nirāmayā // KūrmP_1,11.120 //	akalaFkA nirADArAH nitya sidDAH nirAmayAH // KUrmP_1,11.120 //
   kāmadhenurbṛhadgarbhā dhīmatī mohanāśinī /	kAmaDenuH bRhadgarBA DImatI moha nASinI /
   niḥ saṅkalpā nirātaṅkā vinayā vinayapradā // KūrmP_1,11.121 //	niH saFkalpAH nirAtaFkAH vinayAH vinaya pradA // KUrmP_1,11.121 //
   jvālāmālāsahastrāḍhyā devadevī manonmanī /	jvAlA m AlAsa hastra AXyA devadevI manonmanI /
   mahābhagavatī durgā vāsudevasamudbhavā // KūrmP_1,11.122 //	mahA BagavatI durgAH vAsudeva samudBavA // KUrmP_1,11.122 //
   mahendropendrabhaginī bhaktigamyā parāvarā /	mahA indra upendra BaginI Bakti gamyA parAvarAH /
   jñānajñeyā jarātītā vedāntaviṣayā gatiḥ // KūrmP_1,11.123 //	jQAna jQeyA jarA atItA vedAnta vizayA gatiH // KUrmP_1,11.123 //
   dakṣiṇā dahanā dāhyā sarvabhūtanamaskṛtā /	dakziNA dahanA dAhyA sarva BUta namaskRtA /
   yogamāyā vibhāvajñā mahāmāyā mahīyasī // KūrmP_1,11.124 //	yoga mAyA viBAva jQA mahAmAyA mahIyasI // KUrmP_1,11.124 //
   saṃdhyā sarvasamudbhūtirbrahmavṛkṣāśrayānatiḥ /	saMDyA sarva samudBUtiH brahmavRkza ASraya AnatiH /
   bījāṅkurasamudbhūtirmahāśaktirmahāmatiḥ // KūrmP_1,11.125 //	bIja aFkura samudBUtiH mahASaktiH mahAmatiH // KUrmP_1,11.125 //
   khyātiḥ prajñā citiḥ saṃvit mahābhogīndraśāyinī /	KyAtiH prajQA citiH saMvid mahA Bogi indra SAyinI /
   vikṛtiḥ śāṃsarī śāstrī gaṇagandharvasevitā // KūrmP_1,11.126 //	vikRtiH SAMsarI SAstrI gaNa ganDarva sevitAH // KUrmP_1,11.126 //
   vaiśvānarī mahāśālā devasenā guhapriyā /	vESvAnarI mahA SAlAH deva senA guhapriyA /
   mahārātriḥ śivānandā śacī duḥ svapnanāśinī // KūrmP_1,11.127 //	mahArAtriH SivAnandA SacI duH svapna nASinI // KUrmP_1,11.127 //
   ijyā pūjyā jagaddhātrī durvijñeyā surūpiṇī /	ijyA pUjyA jagadDAtrI durvijQeyA surUpiNI /
   guhāmbikā guṇotpattirmahāpīṭhā marutsutā // KūrmP_1,11.128 //	guhA ambikA guNa utpattiH mahA pIWAH marut sutAH // KUrmP_1,11.128 //
   havyavāhāntarāgādiḥ havyavāhasamudbhavā /	havyavAha anta rAga AdiH havyavAha samudBavA /
   jagadyonirjaganmātā janmamṛtyujarātigā // KūrmP_1,11.129 //	jagadyoniH jaganmAtA janma mRtyu jarA atigAH // KUrmP_1,11.129 //
   buddhimātā buddhimatī puruṣāntaravāsinī /	budDimAtA budDimatI puruza antara vAsinI /
   tarasvinī samādhisthā trinetrā divisaṃsthitā // KūrmP_1,11.130 //	tarasvinI samADi sTA trinetrAH divi saMsTitAH // KUrmP_1,11.130 //
   sarvendriyamanomātā sarvabhūtahṛdi sthitā /	sarva indriya manaH mAtA sarva BUta hRdi sTitAH /
   saṃsāratāriṇī vidyā brahmavādimanolayā // KūrmP_1,11.131 //	saMsAra tAriNI vidyA brahma vAdi manolayA // KUrmP_1,11.131 //
   brahmāṇī bṛhatī brāhmī brahmabhūtā bhavāraṇiḥ /	brahmANI bRhatI brAhmI brahma BUtA Bava araNiH /
   hiraṇmayī mahārātriḥ saṃsāraparivartikā // KūrmP_1,11.132 //	hiraNmayI mahArAtriH saMsAra parivartikA // KUrmP_1,11.132 //
   sumālinī surūpā ca bhāvinī tāriṇī prabhā /	sumAlinI surUpA ca BAvinI tAriNI praBA /
   unmīlanī sarvasahā sarvapratyayasākṣiṇī // KūrmP_1,11.133 //	unmIlanI sarva sahA sarva pratyaya sAkziNI // KUrmP_1,11.133 //
   susaumyā candravadanā tāṇḍavāsaktamānasā /	su sOmyA candra vadanA tANxava Asakta mAnasA /
   sattvaśuddhikarī śuddhirmalatrayavināśinī // KūrmP_1,11.134 //	sattva SudDi karI SudDiH mala traya vinASinI // KUrmP_1,11.134 //
   jagatpriyā jaganmūrtistrimūrtiramṛtāśrayā /	jagat priyA jagat mUrtiH trimUrtiH amRta ASrayAH /
   nirāśrayā nirāhārā niraṅkuravanodbhavā // KūrmP_1,11.135 //	nirASrayA nirAhArAH niraFkura vana udBavA // KUrmP_1,11.135 //
   candrahastā vicitrāṅgī stragviṇī padmadhāriṇī /	candra hastA vicitra aFgI stragviNI padma DAriNI /
   parāvaravidhānajñā mahāpuruṣapūrvajā // KūrmP_1,11.136 //	parAvara viDAna jQAH mahApuruza pUrvajAH // KUrmP_1,11.136 //
   vidyeśvarapriyā vidyā vidyujjihvā jitaśramā /	vidyeSvara priyA vidyA vidyujjihvA jita SramAH /
   vidyāmayī sahastrākṣī sahastravadanātmajā // KūrmP_1,11.137 //	vidyA mayI sa hastrAkzI saha stra vadana AtmajA // KUrmP_1,11.137 //
   sahastraraśmiḥ sattvasthā maheśvarapadāśrayā /	sa hastra raSmiH sattva sTAH maheSvara pada ASrayAH /
   kṣālinī sanmayī vyāptā taijasī padmabodhikā // KūrmP_1,11.138 //	kzAlinI sat mayI vyAptA tEjasI padma boDikA // KUrmP_1,11.138 //
   mahāmāyāśrayā mānyā mahādevamanoramā /	mahAmAyA ASrayA mAnyAH mahAdeva manoramA /
   vyomalakṣmīḥ siharathā cekitānāmitaprabhā // KūrmP_1,11.139 //	vyoma lakzmIH siharaTA cekitAna amita praBA // KUrmP_1,11.139 //
   vīreśvarī vimānasthā viśokāśokanāśinī /	vIreSvarI vimAna sTA viSoka aSoka nASinI /
   anāhatā kuṇḍalinā nalinī padmavāsinī // KūrmP_1,11.140 //	anAhatA kuNxalinA nalinI padma vAsinI // KUrmP_1,11.140 //
   sadānandā sadākīrtiḥ sarvabhūtāśrayasthitā /	sadAnandA sadAkIrtiH sarva BUta ASraya sTitAH /
   vāgdevatā brahmakalā kalātītā kalāraṇiḥ // KūrmP_1,11.141 //	vAgdevatA brahmakalA kalA atItA kalA araNiH // KUrmP_1,11.141 //
   brahmaśrīrbrahmahṛdayā brahmaviṣṇuśivapriyā /	brahmaSrIH brahma hRdayAH brahma vizNu Siva priyA /
   vyomaśaktiḥ kriyāśaktirjñānaśaktiḥ parāgatiḥ // KūrmP_1,11.142 //	vyomaSaktiH kriyASaktiH jQAnaSaktiH parAgatiH // KUrmP_1,11.142 //
   kṣobhikā bandhikā bhedyā bhedābhedavivarjitā /	kzoBikA banDikA BedyAH Beda aBeda vivarjitAH /
   abhinnābhinnasaṃsthānā vaṃśinī vaṃśahāriṇī // KūrmP_1,11.143 //	aBinna aBinna saMsTAnA vaMSinI vaMSa hAriNI // KUrmP_1,11.143 //
   guhyaśaktirguṇātītā sarvadā sarvatomukhī /	guhya SaktiH guNa atItA sarvadA sarvatomuKI /
   bhaginī bhagavatpatnī sakalā kālakāriṇī // KūrmP_1,11.144 //	BaginI Bagavat patnI sakalA kAla kAriNI // KUrmP_1,11.144 //
   sarvavit sarvatobhadrā guhyātītā guhāraṇiḥ /	sarva vid sarvatoBadrA guhya atItA guhA araNiH /
   prakriyā yogamātā ca gaṅgā viśveśvareśvarī // KūrmP_1,11.145 //	prakriyA yogamAtA ca gaFgA viSveSvara ISvarI // KUrmP_1,11.145 //
   kapilā kāpilā kāntākanakābhākalāntarā /	kapilA kApilA kAntA kanaka ABAkala antarA /
   puṇyā puṣkariṇī bhoktrī purandarapurassarā // KūrmP_1,11.146 //	puNyA puzkariNI BoktrI purandara purassarAH // KUrmP_1,11.146 //
   poṣaṇī paramaiśvaryabhūtidā bhūtibhūṣaṇā /	pozaNI parama ESvarya BUti dA BUti BUzaNA /
   pañcabrahmasamutpattiḥ paramārthārthavigrahā // KūrmP_1,11.147 //	paQca brahma samutpattiH parama arTa arTa vigrahAH // KUrmP_1,11.147 //
   dharmodayā bhānumatī yogijñeya manojavā /	Darma udayA BAnumatI yogi jQeya manojavAH /
   manoharā manorakṣā tāpasī vedarūpiṇī // KūrmP_1,11.148 //	manoharA manorakzA tApasI veda rUpiNI // KUrmP_1,11.148 //
   vedaśaktirvedamātā vedavidyāprakāśinī /	veda SaktiH vedamAtA veda vidyA prakASinI /
   yogeśvareśvarī mātā mahāśaktirmanomayī // KūrmP_1,11.149 //	yogeSvara ISvarI mAtA mahA SaktiH manaH mayI // KUrmP_1,11.149 //
   viśvāvasthā viyanmūrtirvidyunmālā vihāyasī /	viSva avasTA viyat mUrtiH vidyunmAlA vihAyasI /
   kiṃnarī surabhī vandyā nandinī nandivallabhā // KūrmP_1,11.150 //	kiMnarI suraBI vandyA nandinI nandi vallaBA // KUrmP_1,11.150 //
   bhāratī paramānandā parāparavibhedikā /	BAratI parama AnandA para apara viBedikA /
   sarvapraharaṇopetā kāmyā kāmeśvareśvarī // KūrmP_1,11.151 //	sarva praharaNa upetA kAmyA kAmeSvara ISvarI // KUrmP_1,11.151 //
   acintyācintyavibhavā hṛllekhā kanakaprabhā /	acintya acintya viBavA hRlleKA kanaka praBA /
   kūṣmāṇḍī dhanaratnāḍhyā sugandhā gandhāyinī // KūrmP_1,11.152 //	kUzmANxI Dana ratna AXyA suganDA ganDAyinI // KUrmP_1,11.152 //
   trivikramapadodbhūtā dhanuṣpāṇiḥ śivodayā /	trivikrama pada udBUtA DanuzpANiH Siva udayA /
   sudurlabhā dhanādyakṣā dhanyā piṅgalalocanā // KūrmP_1,11.153 //	su durlaBA DanAt yakzAH DanyA piFgala locanA // KUrmP_1,11.153 //
   śāntiḥ prabhāvatī dīptiḥ paṅkajāyatalocanā /	SAntiH praBAvatI dIptiH paFkaja Ayata locanA /
   ādyā hṛtkamalodbhūtā gavāṃ matā raṇapriyā // KūrmP_1,11.154 //	AdyAH hRd kamala udBUtA gavAm matAH raNa priyA // KUrmP_1,11.154 //
   satkriyā girijā śuddhā nityapuṣṭā nirantarā /	satkriyA girijA SudDA nitya puzwA nirantarA /
