   atha pañcamaṃ pūraṇam	aTa paQcamam pUraNam
   pālyāsīr vāsa-sajjā paricarasi purā rādhayā mām viśākhe |	pAlyAsIH vAsa--sajjA paricarasi purA rADayA mAm viSAKe |
   etad diṃ-mātram uktaṃ bhavad-avagataye jñeyam anyat kathaṃ vā	etat diM--mAtram uktam Bavat--avagataye jQeyam anyat kaTam vA
   svapnaṃ tat tat viditvā glapayatha nijakaṃ mānasaṃ mām apīha ? ||	svapnam tat tat viditvA glapayaTa nijakam mAnasam mAm api-iha ? ||
   GC_2,6.12 ||	GC_2,6.12 ||
   padme bhadre sa-śaivye tritayam api bhavad-rūpam udbhrānta-cittaṃ	padme Badre sa-SEvye tritayam api Bavat--rUpam udBrAnta--cittam
   mad-viśleṣāt tamālaṃ pari viluṭhitavad yatra tatrāham āsam |	mad--viSlezAt tamAlam pari viluWita-vat yatra tatra-aham Asam |
   āliṅgan yuṣmad-aṅgāny udanamayam aho yāvad abhyasya tāvat	AliFgan yuzmad--aFgAni udanam-ayam aho yAvat aByasya tAvat-
   Kruddhā bṛddhāḥ kutaścid vata yad-upagatās tan na me yāti duḥkham ||	KrudDAH bRdDAH kutaScid vata yat--upagatAH tat na me yAti duHKam ||
   GC_2,6.13 ||	GC_2,6.13 ||
   ānyedyuḥ śrīla-rādhe mama pura-gamana-sphūrti-sañjāta-mūrtiṃ	Anyedyus SrIla-rADe mama pura-gamana--sPUrti--saQjAta-mUrtim
   tvām āliṅgyānucu mban giri-vanam anayaṃ tat kathaṃ vyasmaras tvaṃ ?	tvAm AliFgya-anucu mban giri-vanam anayam tat kaTam vyasmaraH tvam ?
   tatrāgamyātha sarvāḥ kala-kala-virutaṃ yarhi cakrus tadānīṃ	tatra-agamya-aTa sarvAH kala-kala--virutam yarhi cakruH tadAnIm
   tatrāvāṃ hā yathāsvaṃ pṛthakad apagatau na smarasy eva tac ca || GC_2,6.14	tatra-AvAm hA yaTAsvam pRTakat apagatO na smarasi eva tat ca || GC_2,6.14
   svapne yad rādhike tvaṃ mama śayanam ihāpy āśritā rāja-puryāṃ	svapne yat rADike tvam mama Sayanam iha-api ASritAH rAja--puryAm
   svapnas tan nasti nūnaṃ parimalitam abhūd yat-tvayā tasya vāsaḥ |	svapnaH tat nasti nUnam parimalitam aBUt yat-tvayA tasya vAsaH |
   āstāṃ tat spaṣṭam adyāpy anu mad avayavaṃ padminī-ratna-gandhaṃ	AstAm tat spazwam adya-api anu mat avayavam padminI--ratna-ganDam
   Vindann andho'pi lokaḥ smita-śavala-mukhaḥ śīrṣam īṣad dhunīte ||	Vindan anDaH-api lokaH smita--Savala-muKaH SIrzam Izat DunIte ||
   GC_2,6.15 ||	GC_2,6.15 ||
   āstāṃ prāg adya sadya-stana-śaśi-kalayālaṃkṛta-śrī-rasau yad-	AstAm prAk adya sadya--stana-Sa-Si-kalayA-alaMkRta--SrI--rasO yat--
   vṛttaṃ tad-yuṣmākābhiḥ sa-śapatham abhitaḥ pṛcchyatāṃ śyāmalaiva |	vRttam tat--yuzmAkABiH sa-SapaTam aBitas pRcCyatAm SyAmalA-eva |
   yady apy evaṃ tathāpi sphuṭa-gatim acirād āgatiṃ cen-madīyām	yadi api evam taTA-api sPuwa--gatim acirAt Agatim ced--madIyAm
   īhadhve sarva-vighna-praśamana-racanā syād yadā tarhi kuryām || GC_2,6.16	IhaDve sarva-viGna--praSamana--racanA syAt yadA tarhi kuryAm || GC_2,6.16
   [60] tad-eva etāvat-prathām eva kathāṃ samāpya punar madhukaṇṭhaḥ	[60] tat--eva etAvat-praTAm eva kaTAm samApya punar maDukaNWaH
   provāca,(	provAca,(
   rādhe so'yaṃ satyavādī tvām alaṃkṛtya śobhate |	rADe saH-ayam satya-vAdI tvAm alaMkRtya SoBate |
   tvad-gandha-bandhanaḥ puṣpandhayaḥ svarṇābjinīm iva || GC_2,6.17 ||	tvad--ganDa--banDanaH puzpanDayaH svarNa-abjinIm iva || GC_2,6.17 ||
   ūṣā-niruddha-vad rādhe yayoḥ svāpnaś ca saṅgamaḥ |	UzA--nirudDa-vat rADe yayoH svApnaH ca saFgamaH |
   ṣākṣād āsīt tayor vā kiṃ viśleṣaḥ sthātum arhati ? || GC_2,6.18 ||	zAkzAt AsIt tayoH vA kim viSlezaH sTAtum arhati ? || GC_2,6.18 ||
   iti visṛmarasāndrānandaśas taṃ samastaṃ	iti visRmarasAndra-AnandaSas tam samastam
   sapadi kathaka-varyau tāv anujñāpya yātau |	sapadi kaTaka-varyO tO anujQApya yAtO |
   harir api nija-kāntā-saṅga-sarvāṅga-śobhaḥ	hariH api nija--kAntA--saFga--sarva-aFga-SoBaH
   subhaga-śayana-lakṣmīm añjasālaṃ cakāra || GC_2,6.19 ||	suBaga--Sayana--lakzmIm aQjasAlam cakAra || GC_2,6.19 ||
   iti śrī-śrī-mad-uttara-gopāla-campūm anu vraja-pati-visarjana-kaṣṭaṃ	iti SrI--SrI-mat--uttara--gopAla--campUm anu vraja-pati--visarjana--kazwam
   nāma ṣaṣṭhaṃ pūraṇam || 6 ||	nAma zazWam pUraNam || 6 ||
