   Kāśyapaparivarta Sūtra	KASyapa-parivarta SUtra
   kāśyapa dvau pravrajitasya malo / tatredamucyate // 4 //	kASyapa dvO pravrajitasya malaH / tatra-idam-ucyate // 4 //
   kleśaśca yo pravrajito dhivāsayet mitraṃ sa bhekṣākakulaṃ ca sevati /	kleSaH-ca yaH pravrajitaH DivAsayet mitram sa BekzAka-kulam ca sevati /
   etau jinendreṇa hi deśitau malo tau bodhisattvena vivarjanīyoḥ //	etO jinendreNa hi deSitO malaH tO boDisattvena vivarjanIyoH //
   KP.115 dvāvimau kāśyapa pravrajitasyāśaniprapātau / katamau dvau /	KP.115 dvO=-imO kASyapa pravrajitasya-aSani-prapAtO / katamO dvO /
   saddharmapratikṣepaśca cyutaśīlasya ca śraddhādeyaparibhogaṃ cetīme	sadDarma-pratikzepaH-ca cyuta-SIlasya ca SradDA-Adeya-pariBogam ceti-ime
   kāśyapa dvau pravrajitasya aśanīprapāto dharmaḥ tatredamucyate // 5 //	kASyapa dvO pravrajitasya aSanI-prapAtaH DarmaH tatra-idam-ucyate // 5 //
   saddharmasya pratikṣepa śyutaśīlasya bhojanaṃ /	sadDarmasya pratikzepa Syuta-SIlasya Bojanam /
   aśaniprapāto dvāvetau varjanīyo nṛpātmakaiḥ //	aSani-prapAtaH dvO=-etO varjanIyaH nRpa-AtmakEH //
   KP.116 dvāvimau kāśyapa pravrajitasya vraṇau katamau dvau / paradau	KP.116 dvO=-imO kASyapa pravrajitasya vraNO katamO dvO / para-dO
   pratyavekṣanatā ca svadauṣapraticchādanatā cetīme kāśyapa dvau pravrajita	pratyavekzana-tA ca sva-dOza-praticCAdana-tA ceti-ime kASyapa dvO pravrajita
   vraṇau tatredamucyate 16 //	vraNO tatra-idam-ucyate 16 //
   vṛṇute ca svakā dauṣā paridoṣāśca vīkṣate /	vRNute ca svakAH dOzAH paridozAH-ca vIkzate /
   viṣāgnitulyo dvāvetau vraṇau tyajyau parikṣakaiḥ //	viza-agni-tulyaH dvO=-etO vraNO tyajyO parikzakEH //
   KP.117 dvāvimau kāśyapa pravrajitasya paridāgho katamo dvau / yaduta	KP.117 dvO=-imO kASyapa pravrajitasya paridAGaH katamaH dvO / yat-uta
   sakāṣāyasya ca kāṣāyadhāraṇaṃ śīlavantā guṇavantā	sa-kAzAyasya ca kAzAya-DAraNam SIlavantA guNavantA
   cāntikādupasthānaparicaryāsvīkaraṇaṃ cetīme kāśyapa dvau pravrajitasya	ca-antikAt-upasTAna-paricaryA-svIkaraNam ceti-ime kASyapa dvO pravrajitasya
   paridāgho / tatredamucyate 7 //	paridAGaH / tatra-idam-ucyate 7 //
   sakaṣāyacittasya kāṣāyadhāraṇaṃ śīlānvitānāṃ ca sakāśa sevanā	sa-kazAya-cittasya kAzAya-DAraNam SIla-anvitAnAm ca sakASa sevanA
   paricaryupasthānabhivādanaṃ ca dharmāvimau dvau parivarjaṇīyā //	paricaryupasTAn-aBivAdanam ca DarmO=-imO dvO parivarjaNIyAH //
   KP.118 dvāvimau kāśyapa pravrajitasya dīrghaglānyau katamau dvau / yad	KP.118 dvO=-imO kASyapa pravrajitasya dIrGa-glAnyO katamO dvO / yat-
   abhimānikasya ca cittanidhyaptirmahāyānasamprasthitānāṃ sattvānā	aBimAnikasya ca citta-niDi-aptiH-mahAyAna-samprasTitAnAm sattvAnA
   vicchandanā ime kāśyapa dvau pravrajitasya dīrghagailā / tatredamucyate 18	vicCandanAH ime kASyapa dvO pravrajitasya dIrGagElA / tatra-idam-ucyate 18
   nidhyapti cittasyabhimānikānāṃ vicchandanāyāpi ca buddhayānaṃ /	niDyapti cittasI-aBimAnikAnAm vicCandanAya-api ca budDa-yAnam /
   ime hi dve pravrajitasya glānye ukte jinenāpratipudgalena //	ime hi dve pravrajitasya glAnye ukte jinena-apratipudgalena //
   KP.119 dvāvimau kāśyapa pravrajitasya acikitso gailānyau / katamau dvau /	KP.119 dvO=-imO kASyapa pravrajitasya acikitsaH gElA-anyO / katamO dvO /
   yādutābhīkṣṇāpattiāpadyanatā / avyutthānatā ceti ime kāśyapa dvau	yAduta-aBIkzNa-Apatti-Apadyana-tA / avyutTAna-tA ca-iti ime kASyapa dvO
   pravrajitasya acikitso glānyo 9 //	pravrajitasya acikitsaH glAnyaH 9 //
   KP.120 dvāvimau kāśyapa pravrajitasya śalyo katamau dvau / yaduta	KP.120 dvO=-imO kASyapa pravrajitasya SalyaH katamO dvO / yat-uta
   śikṣāpadasamatikramaṃ ca anādattasārasya ca kālakriyā ime kāśyapa dvau	SikzA-pada-samatikramam ca anAdatta-sArasya ca kAla-kriyA ime kASyapa dvO
   pravrajitasya śalyo 10	pravrajitasya SalyaH 10
   KP.121 śramaṇa śramaṇa iti kāśyapa ucyate / kiyannu tāvat kāśyapa śramaṇaḥ	KP.121 SramaNa SramaNaH iti kASyapaH ucyate / kiyannu tAvat kASyapa SramaNaH
   śramaṇa ityucyate / catvāra ime kāśyapa śramaṇaḥ katame catvāraḥ yaduta	SramaNaH iti-ucyate / catvAraH ime kASyapa SramaNaH katame catvAraH yat-uta
   varṇarūpaliṅgasaṃsthānaśramaṇa / ācāraguptikuhakaśramaṇaḥ	varNa-rUpa-liFga-saMsTAna-SramaNa / AcAra-gupti-kuhaka-SramaNaH
   kīrtiśabdaślokaśramaṇaḥ bhūtapratipattiśramaṇaḥ ime kāśyapa catvāraḥ	kIrti-Sabda-Sloka-SramaNaH BUta-pratipatti-SramaNaH ime kASyapa catvAraH
   śramaṇāḥ /	SramaNAH /
   KP.122 tatra kāśyapa katamo varṇarūpaliṅgasaṃsthānaśramaṇaḥ iha kāśyapa	KP.122 tatra kASyapa katamaH varNa-rUpa-liFga-saMsTAna-SramaNaH iha kASyapa
   ihekatyaśramaṇa varaṇarupaliṅgasaṃsthānasamanvāgato bhavati /	iha-ikatyaSramaNa varaNarupaliFga-saMsTAna-samanvAgataH Bavati /
   saṅghāṭīpariveṣṭhito muṇḍaśiraḥ supātrapāṇaiḥ parigṛhītaḥ sa ca	saFGAwI-parivezWitaH muNxaSiraH su-pAtra-pANEH parigRhItaH sa ca
   bhavatyapariśuddhakāyakarmasamudācāra apariśuddhavākkarmasamudācāraḥ	Bavati-apariSudDa-kAya-karma-samudAcAra apariSudDa-vAc-karma-samudAcAraH
   apariśuddhamanaskarmasamudācārauḥ bhavati / ayukta amuktaḥ adāntaḥ aśāntaḥ	apariSudDa-manaskarma-samudAcArOH Bavati / ayukta amuktaH adAntaH aSAntaH
   aguptaḥ avinitaḥ lubdhaḥ alasoḥ duḥśīlappāpadharmasamācāraḥ ayamucyate	aguptaH avinitaH lubDaH alasoH duHSIlappApa-Darma-samAcAraH ayam-ucyate
   kāśyapa varṇarūpaliṅgasaṃsthānaśramaṇaḥ //	kASyapa varNa-rUpa-liFga-saMsTAna-SramaNaH //
   KP.123 tatra kāśyapa katamaḥ ācāraguptikuhakaḥ śramaṇaḥ iha kāśyapa	KP.123 tatra kASyapa katamaH AcAra-gupti-kuhakaH SramaNaH iha kASyapa
   ihaikatyaśramaṇaḥ ācāracāritrasampano bhavati samprajānacārī caturbhi	iha-ekatya-SramaNaH AcAra-cAritra-sampanaH Bavati samprajAna-cArI caturBi
   īryāpathairlūhānnapānabhojī santuṣṭaḥ caturbhirāryavaṃśerasaṃsṛṣṭo	IryA-paTEH-lUha-anna-pAna-BojI santuzwaH caturBiH-Arya-vaMSeH-a-saMsRzwaH-
   gṛhasthapravrajitairalpabhāṣyo 'lpamantraḥ te cāsyeryāpathāḥ	gRhasTa-pravrajitEH-alpaBAzyaH alpa-mantraH te ca-asya-IryApaTAH
   kuhanalapanatayā kalpitā bhavanti / na cittapariśuddhaye / na śamāya	kuhana-lapana-tayA kalpitAH Bavanti / na citta-pariSudDaye / na SamAya
   nopaśamāya / na damāya / upalambhadṛṣṭikaśca bhavati /	na-upaSamAya / na damAya / upalamBa-dRzwikaH-ca Bavati /
   śūnyatānupalambhāśca dharmesu śrutvā prapātasañjñī bhavati /	SUnyatA-anupalamBAH-ca Darmesu SrutvA prapAta-saQjQI Bavati /
   śūnyatāvādināṃ ca bhikṣuṇām antike aprasādasañjñim utpādayati iyam ucyate	SUnyatA-vAdinAm ca BikzuNAm antike aprasAda-saQjQim utpAdayati iyam ucyate
   kāśyapa ācāraguptikuhaka śramaṇaḥ //	kASyapaH AcAra-gupti-kuhaka SramaNaH //
   KP.124 tatra kāśyapa katamaḥ kīrtiśabdaślokaḥ śramaṇaḥ iha kāśyapa	KP.124 tatra kASyapa katamaH kIrti-SabdaSlokaH SramaNaH iha kASyapa
   ihaikatyaśramaṇaḥ pratisaṅkhyāya śīlaṃ rakṣati / kathamān pare	iha-ekatya-SramaNaH pratisaFKyAya SIlam rakzati / kaTamAn pare
   jānīyurśīlavatān iti / pratisaṅkhyāya śrutam udgṛhṇīte kathamāṃ pare	jAnIyuH-SIlavatAn iti / pratisaFKyAya Srutam udgRhNIte kaTamAm pare
   jānīyurbahuśruta iti / pratisaṅkhyāyāraṇye prativasati / kathamāṃ pare	jAnIyuH-bahu-SrutaH iti / pratisaFKyAya-araNye prativasati / kaTamAm pare
   jānīyu āraṇyaka iti / pratisaṅkhyāya alpecchaḥ santuṣṭaḥ pravivikto	jAnIyu AraNyakaH iti / pratisaFKyAya alpa-icCaH santuzwaH praviviktaH-
   viharat / yāvad eva paropadarśanāya na nirvedāya na virāgāya na nirodhāya	viharat / yAvat eva para-upadarSanAya na nirvedAya na virAgAya na niroDAya
   nopaśamāya / nā sambodhaye / na śrāmaṇyāya / na brāhmaṇāya / na nirvāṇāya	na-upaSamAya / nA samboDaye / na SrAmaNyAya / na brAhmaNAya / na nirvANAya
   / ayamucyate kāśyapa kīrtiśabdaślokaśramaṇa //	/ ayam-ucyate kASyapa kIrti-Sabda-Sloka-SramaNa //
   KP.125 tatra kāśyapa katamo bhūtapratipattiḥ śramaṇaḥ yaḥ kāśyapa	KP.125 tatra kASyapa katamaH BUta-pratipattiH SramaNaH yaH kASyapa
   bhikṣuranarthiko bhavati kāyena ca jīvitenāpi / kaḥ punarvvādo	BikzuH-anarTikaH Bavati kAyena ca jIvitena-api / kaH punar-vvAdaH-
   lābhasatkāraśloke / śūnyatā ānimittā apraṇihitāśca dhrmāṃ śrutvā āptamano	lABa-satkAra-Sloke / SUnyatA AnimittAH apraNihitAH-ca DrmAm SrutvA Apta-manaH-
   bhavati tathatvatāyāṃ pratipanno nirvāṇe cāpyanarthikā brahmacaryaṃ carati	Bavati taTatvatAyAm pratipannaH nirvANe ca-api-anarTikA brahmacaryam carati
   / kaḥ punarvādastraidhātukābhinandanatayā śūnyatādṛṣṭyāpyanarthiko bhavati	/ kaH punarvAdaH-trEDAtuka-aBinandana-tayA SUnyatA-dRzwyA-api-anarTikaH Bavati
   / kaḥ punarvāda ātmasattvajīvapauṣapudgaladṛṣṭyā / dharmapratisaraṇaśca	/ kaH punar-vAdaH Atma-sattva-jIva-pOza-pudgala-dRzwyA / Darma-pratisaraNaH-ca
   bhavati / kleṣānāṃ ca adhyātmavimokṣamargati / na bahirdhā dhāvati	Bavati / klezAnAm ca aDyAtma-vimokza-margati / na bahirDA DAvati
   atyantapariśuddhāśca prakṛtyā sarvadharmā asaṅkliṣṭān paśyati /	atyanta-pariSudDAH-ca prakRtyA sarva-DarmAH asaFklizwAn paSyati /
   ātmadvīpaśca bhavatyananyadvīpaḥ dharmato 'pi tathāgataṃ na samanupaśyati	Atma-dvIpaH-ca Bavati-ananya-dvIpaH DarmataH api taTAgatam na samanupaSyati
   kaḥ punarvāda rūpakāyena / virāgato 'pi dharmaṃ nābhiniviśate kaḥ	kaH punar-vAda rUpa-kAyena / virAgataH api Darmam na-aBiniviSate kaH
   punarvāda uta vākpathodāharaṇena / asaṃskṛtamapi cāryasaṅghaṃ na	punar-vAdaH uta vAc-paTa-udAharaNena / asaMskRtam-api ca-Arya-saFGam na
   vikalpayati / kaḥ punarvādo gaṇasaṃ nipātataḥ nāpi kasyaciddharmasya	vikalpayati / kaH punar-vAdaH gaNasam nipAtataH na-api kasyacid-Darmasya
   prarhāṇāyābhiyukto bhavati na bhāvanāyairna sākṣīkriyāya / na saṃsāre	prarhANAya-aBiyuktaH Bavati na BAvanAyEH-na sAkzIkriyAya / na saMsAre
   virohati / na nirvāṇam abhinandati / na mokṣaṃ paryeṣate / na bandhaṃ /	virohati / na nirvANam aBinandati / na mokzam paryezate / na banDam /
   prakṛtiparinirvṛtā ca sarvadharmān viditvā na saṃsarati na pariṇirvāyati /	prakRti-parinirvRtA ca sarva-DarmAn viditvA na saMsarati na pariNirvAyati /
   ayamucyate kāśyapa bhūtapratipattiḥ śramaṇaḥ // bhūtapratipattyā	ayam-ucyate kASyapa BUta-pratipattiH SramaNaH // BUta-pratipattyA
   śrāmaṇyāyogaḥ karaṇīya na nāmahetena bhavitavyo ime kāśyapa catvāra	SrAmaNyA-yogaH karaNIya na nAma-hetena BavitavyaH ime kASyapa catvAra
   śramaṇā / tatredamucyate //	SramaNAH / tatra-idam-ucyate //
   KP.126 yo kāyavākcittamaneraśuddho adāntagupto avinīta lubdho	KP.126 yaH kAya-vAc-citta-maneH-aSudDaH adAntaguptaH avinIta lubDaH-
   muṇḍaḥśiraścīvarapātrapāṇī saṃsthānaliṅgā śramaṇeṣu vukto 1	muNxaH-SiraH-cIvara-pAtra-pANI saMsTAna-liFgA SramaNezu vuktaH 1
   ācāracaryāpsamanvito 'pi rūkṣānnabhojī kuhanādisevī	AcAra-caryA-apsamanvitaH api rUkza-anna-BojI kuhana-Adi-sevI
   caturāryavaṃśehi samanvito 'pi saṃsarga durāt parivarjayanto 2	catur-Arya-vaMSe-hi samanvitaH api saMsarga durAt parivarjayantaH 2
   te cāsya sarve na damāya bhonti na śāntaye nāpi ca nirvidāya /	te ca-asya sarve na damAya Bonti na SAntaye na-api ca nirvidAya /
   śūnyānimitteṣu prapātasañjñī ācāraguptiḥ kuhako dvitīyoḥ 3	SUnya-animittezu prapAta-saQjQI AcAra-guptiH kuhakaH dvitIyoH 3
   dhutā guṇā śīla śrutaṃ samādhiḥ parasya visvāpanahetu kurvati /	DutA guNA SIla Srutam samADiH parasya visvApana-hetu kurvati /
   na śāntaye nāpi ca nirvidāya kīrtīyaślokaśramaṇostṛtīya / 4	na SAntaye na-api ca nirvidAya kIrtIyaSloka-SramaNoH-tRtIya / 4
   kāyena yo arthika jīvitena vā yo lābhasatkāraparāmukhaśca	kAyena yaH arTika jIvitena vA yaH lABa-satkAra-parAmuKaH-ca
   vimokṣa utpādamukhaṃ ca śrutvā anarthikā sarvabhavadgatīṣu / 5 //	vimokzaH utpAda-muKam ca SrutvA anarTikA sarva-Bavat-gatIzu / 5 //
   atyantaśūnyāśca parīkṣa dharmān na nirvṛtiṃ paśyati nāpyanirvṛtiṃ /	atyanta-SUnyAH-ca parIkza DarmAt na nirvRtim paSyati na-api-anirvRtim /
   virāgato dharmamavekṣate sadā asaṃskṛtaṃ dharmam anitya nirvṛtaḥ 6 //	virAgataH Darmam-avekzate sadA asaMskRtam Darmam anitya nirvRtaH 6 //
   KP.127 tadythāpi nāma kāśyapa daridrapuruṣasya samṛdhakośa iti	KP.127 tat-yTA-api nAma kASyapa daridra-puruzasya samRDa-koSaH iti
   nāmadheyamaṃ bhavet / tatkiṃ manyase kāśyapa anurūpaṃ tasya	nAmaDeyamam Bavet / tat-kim manyase kASyapa anurUpam tasya
   daridrapuruṣasya tannāmadheyaṃ bhavet / āha no hīdam bhadanta bhagavan /	daridra-puruzasya tad-nAmaDeyam Bavet / Aha no hi-idam Badanta Bagavan /
   bhagavān āha / evameva kāśyapa ye te śramaṇabrāhmaṇa ityucyante / na ca	BagavAn Aha / evam-eva kASyapa ye te SramaNa-brAhmaNaH iti-ucyante / na ca
   śramaṇabrāhmaṇasamanvāgatā bhavanti / tān ahaṃ daridiapuruṣān iti vadāmi /	SramaNa-brAhmaNa-samanvAgatAH Bavanti / tAn aham daridia-puruzAn iti vadAmi /
   tatredamucyate	tatra-idam-ucyate
   // yathā daridrasya bhaveta nāmaṃ samṛddhakośambhi na tacca śobhate /	// yaTA daridrasya Baveta nAmam samRdDaka-uSamBi na tat-ca SoBate /
   śrāmaṇyahīna śramaṇo na śobhate daridra āḍhyetiva ucyamānaḥ //	SrAmaNya-hIna SramaNaH na SoBate daridraH AXyetivaH ucyamAnaH //
   KP.128 tadyathāpi nāma kāśyapa kaścideva puruṣo mahatā	KP.128 tat-yaTA-api nAma kASyapa kaScid-eva puruzaH mahatA
   udakārṇavenohyamānaḥ tṛṣayā kālaṃ kuryāt / evameva kāśyapa ihekatye	udaka-arNavena-uhyamAnaH tRzayA kAlam kuryAt / evam-eva kASyapaH iha-ikatye
   śramaṇabrāhmaṇo bahun dharmān paryāpnuvanti na rāgatṛṣṇān vinodayanti / na	SramaNa-brAhmaNaH bahun DarmAn paryApnuvanti na rAga-tRzNAn vinodayanti / na
   dveṣatṛṣṇā na mohatṛṣṇā śaknuvanti vinodayituṃ / te mahatā	dveza-tRzNAH na moha-tRzNA Saknuvanti vinodayitum / te mahatA
   dharmārṇavenohyamānā kleśatṛṣāyā kālagatā durgatigāmino bhavanti /	Darma-arNavena-uhyamAnA kleSa-tRzAyA kAlagatAH durgati-gAminaH Bavanti /
   tatredamucyate 2 //	tatra-idam-ucyate 2 //
   yathā manuṣyo udakārṇavena uhyanti tṛṣṇāya kareya kālam /	yaTA manuzyaH udaka-arNavena uhyanti tRzNAya kareya kAlam /
   tathā paṭhantā bahudharmatṛṣṇayā dharmārṇavasthāmi vrajantyapāyaṃ //	taTA paWantA bahu-Darma-tRzNayA Darma-arNava-sTAmi vrajanti-apAyam //
   KP.129 tadyathāpi nāma kāśyapa vaidyo oṣadhabhāraṃ gṛhītvā anuvicaret	KP.129 tat-yaTA-api nAma kASyapa vEdyaH ozaDa-BAram gRhItvA anuvicaret-
   tasya kaścid eva vyādhi utpadyeta na ca taṃ vyādhi śaknuyācikitsituṃ /	tasya kaScid eva vyADi utpadyeta na ca tam vyADi SaknuyAcikitsitum /
   evameva kāśyapa bahuśrutasya kleśavyādhi draṣṭavyā yastena śrutena na	evam-eva kASyapa bahu-Srutasya kleSa-vyADi drazwavyAH yaH-tena Srutena na
   śaknoti ātmanaḥ kleṣavyādhi cikitsituṃ / nirarthakaṃ tasya tacchrutaṃ	Saknoti AtmanaH kleza-vyADi cikitsitum / nirarTakam tasya tat-Srutam
   bhaviṣyati / tatredamucyate 3 //	Bavizyati / tatra-idam-ucyate 3 //
   yatheva vaidyauṣadharbharastrasaṃsthe parilhrameta nikhilaṃhi loke /	yaTA-iva vEdya-ozaDarBara-stra-saMsTe parilhrameta niKilaMhi loke /
   utpannavyādhīn a nivartayeca nirarthakaṃ tasya bhaveta taṃ hi /	utpanna-vyADIn a nivartayeca nirarTakam tasya Baveta tam hi /
   bhikṣustathā śīlaguṇerupetaḥ śrutena yukto 'pi na ca ścikitset /	BikzuH-taTA SIla-guNeH-upetaH Srutena yuktaH api na ca Scikitset /
   ayoniśa kleśasamutthitā rujā vṛthā śramastasya śrutābhiyogaḥ //	ayoniSa kleSa-samutTitA rujA vRTA SramaH-tasya Sruta-aBiyogaH //
   KP.130 tadyathāpi nāma kāśyapa / glānaḥ puruṣo rājārhan bhaiṣajyam	KP.130 tat-yaTA-api nAma kASyapa / glAnaH puruzaH rAja-arhan BEzajyam
   upayujyāsaṃvareṇa kālaṃ kuryāt / evameva kāśyapa bahuśrutasya kleśavyādhiṃ	upayujya-asaMvareNa kAlam kuryAt / evam-eva kASyapa bahu-Srutasya kleSa-vyADim
   draṣṭavyāḥ yastenāsṃvareṇa kālaṃ karoti / yo rājārhāṃ bhaiṣajyāṃ	drazwavyAH yaH-tena-asMvareNa kAlam karoti / yaH rAja-arhAm BEzajyAm
   paryāpunitvā asaṃvareṇa apāyagāmī bhavati / tatredamucyate 4 //	paryApunitvA asaMvareNa apAya-gAmI Bavati / tatra-idam-ucyate 4 //
   yathāpi rājārhaṃ pītva bheṣajaṃ vrajennaro saṃvarato nipātaṃ /	yaTA-api rAja-arham pItva Bezajam vrajet-naraH saMvarataH nipAtam /
   bahuśrutasyeṣa tu kleśavyādhir yo saṃvareṇeha karoti kālam /	bahu-Srutasya-iza tu kleSa-vyADiH yaH saMvareNa-iha karoti kAlam /
   KP.131 tadyathāpi nāma kāśyapa anarghaṃ vaiḍūryamahāmaṇiratnam uccāre	KP.131 tat-yaTA-api nAma kASyapa anarGam vExUrya-mahA-maNi-ratnam uccAre
   patitam akāryopakaṃ bhavati / evameva kāśyapa bahuśrutasya	patitam akAryopakam Bavati / evam-eva kASyapa bahu-Srutasya
   lābhasatkārauccārapatanaṃ draṣṭavya / niṣkiñcanaṃ devamanuṣyeṣu /	lABa-satkAra-OccAra-patanam drazwavyaH / nizkiQcanam deva-manuzyezu /
   tatredamucyate 5 //	tatra-idam-ucyate 5 //
   ratnaṃ yathoccāragataṃ juguspitaṃ yathā syānna tathā yathā pura /	ratnam yaTA-uccAra-gatam juguspitam yaTA syAt-na taTA yaTA puras /
   bahuśrutasyāpi vadāmi bhikṣoḥ satkāramīḍe patanaṃ tatheva /	bahu-Srutasya-api vadAmi BikzoH satkAram-Ixe patanam taTA-iva /
   // tadyathāpi nāma kāśyapā tadeva vaiḍūryaṃ mahāmaṇiratnam	// tat-yaTA-api nAma kASyapA tat-eva vExUryam mahA-maNi-ratnam
   ameddhyāvaskarāduddhṛtaṃ bhavet suddhautaṃ suprakṣālitaṃ suparimārjitaṃ /	amet-hyA-avaskarAt-udDRtam Bavet sudDOtam su-prakzAlitam su-parimArjitam /
   taṃ maṇiratnasvabhāvam eva na vijahatyevameva kāśyapa bahuśruto	tam maNi-ratna-svaBAvam eva na vijahati-evam-eva kASyapa bahu-SrutaH-
   'lpaprayatnena sarvakleśān viśodhayati mahāprajñāratnasvabhāvam eva na	alpa-prayatnena sarva-kleSAn viSoDayati mahA-prajQA-ratna-svaBAvam eva na
   vijahāti 6 / //	vijahAti 6 / //
   KP.132 tadyathāpi nāma kāśyapa mṛtakasya śirasi suvarṇamālā / evameva	KP.132 tat-yaTA-api nAma kASyapa mRtakasya Sirasi suvarNa-mAlA / evam-eva
   kāśyapa duḥśīlasya kāṣāyadhāraṇaṃ draṣṭavyaṃ / tatredamucyate / 7 //	kASyapa duHSIlasya kAzAya-DAraNam drazwavyam / tatra-idam-ucyate / 7 //
   suvarṇamāleva mṛtasya śīrṣe nyastā yathā syād atha puṣpamālā	suvarNa-mAlA-iva mRtasya SIrze nyastA yaTA syAt aTa puzpamAlA
   kāṣāyavastrāṇi tathā viśīle dṛṣṭvā 'nna kuryān manasaḥ pradoṣāṃ //	kAzAya-vastrANi taTA viSIle dRzwvA anna kuryAt manasaH pradozAm //
   KP.133 tadyathāpi nāma kāśyapa	KP.133 tat-yaTA-api nAma kASyapa
   avadātavas................................... sya pravaracandanānuliptasya	avadAta-vas................................... sya pravara-candana-anuliptasya
   śreṣṭhiputrasya vā rājaputrasya vā śirasi campakamālābaddhaṃ bhavet / evam	SrezWi-putrasya vA rAja-putrasya vA Sirasi campaka-mAlA-badDam Bavet / evam
   e.................................... lavato bahuśrutasya kāṣāyadhāraṇaṃ	e.................................... lavataH bahu-Srutasya kAzAya-DAraNam
   draṣṭavyaḥ tatredamucyate 8 //	drazwavyaH tatra-idam-ucyate 8 //
   susnātasyānuliptasya śreṣṭhiputrasya śobhe X	su-snAtasya-anuliptasya SrezWi-putrasya SoBe X
   XXX mpakāmāleva śubhagandhā manoramāṃ	XXX mpakAmAlA-iva SuBa-ganDA manoramAm
   yathā tatheva kāṣāyaṃ saṃvarasthe bahuśrute	yaTA taTA-iva kAzAyam saMvara-sTe bahu-Srute
   draṣṭavyaṃ śīlasampanna XXXX guṇānvite 2 //	drazwavyam SIla-sampanna XXXX guNa-anvite 2 //
   KP.134 catvāra ime kāśyapa duḥśīlā śīlavantapratirūpakāḥ katame catvāraḥ	KP.134 catvAraH ime kASyapa duHSIlA SIlavanta-pratirUpakAH katame catvAraH
   iha kāśyapa e................. tyo bhikṣuḥ prātimokṣasaṃvarasaṃvṛto	iha kASyapaH e................. tyaH BikzuH prAtimokza-saMvara-saMvRtaH-
   viharati / ācāragocarasampanna aṇumātreṣvavadyeṣu bhayadarśī	viharati / AcAra-gocara-sampad-na aNu-mAtrezu-avadyezu Baya-darSI
   samā....................... ya śikṣate śikṣāpadeṣu /	samA....................... yaH Sikzate SikzA-padezu /
   pariśuddhakāyakarmavāṅmanaskarmaṇā samanvāgato viharati / pariśuddhājīvaḥ	pariSudDa-kAya-karma-vAc-manaskarmaNA samanvAgataH viharati / pariSudDa-AjIvaH
   sa ca bha...................... tyātmavādī ayam kāśyapa prathamo duḥśīlaḥ	sa ca Ba...................... tyAtma-vAdI ayam kASyapa praTamaH duHSIlaH
   śīlavantaḥpratirūpako draṣṭavyaḥ // punar aparaṃ kāśyapa ihekatyo	SIlavantaH-pratirUpakaH drazwavyaH // punar aparam kASyapaH iha-ikatyaH-
   bhikṣurvinayadharo bhavati / pravartavinayo vinayaguptiḥpratiṣṭhitaḥ	BikzuH-vinaya-DaraH Bavati / pravarta-vinayaH vinaya-guptiH-pratizWitaH
   satkāyadṛṣṭirasyānucalitā bhavati / ayaṃ kāśyapa dvitīyo duḥśīlaḥ	sat-kAya-dRzwiH-asya-anucalitA Bavati / ayam kASyapa dvitIyaH duHSIlaH
   śīlavantaḥpratirūpakaḥ // punaraparaṃ kāśyapa ihekatyo bhikṣuḥ	SIlavantaH-pratirUpakaH // punar-aparam kASyapaH iha-ikatyaH BikzuH
   maitrāvihāri bhavati sattvā............. ṇayā samanvāgataḥ sa ca ajāti	mEtrAvihAri Bavati sattva-a............. NayA samanvAgataH sa ca ajAti
   sarvvadharmāṇāṃ śrutvā utrasati / santrasati / santrāsamāpadyate / ayaṃ	sarvu-aDarmANAm SrutvA utrasati / santrasati / santrAsam-Apadyate / ayam
   kāśyapa tṛtīyo duḥśīlaḥ śīlavantaḥpratirūpakaḥ // punaraparaṃ kāśyapa	kASyapa tRtIyaH duHSIlaH SIlavantaH-pratirUpakaH // punar-aparam kASyapa
   ihekatyo bhikṣuḥ dvādaśadhutaguṇasa................. upalambhadṛṣṭikaśca	iha-ikatyaH BikzuH dvAdaSa-Duta-guNa-sa................. upalamBa-dRzwikaH-ca
   bhavatyahaṅkārasthitaḥ ayaṃ kāśyapa caturtho duḥśīlaḥ śīlavantapratirūpako	Bavati-ahaFkAra-sTitaH ayam kASyapa caturTaH duHSIlaH SIlavanta-pratirUpa-ko
   dra..................... pa catvāro duḥlā śīlavantapratirūpakā draṣṭavyāḥ	dra..................... pa catvAraH duHlA SIlavanta-pratirUpakAH drazwavyAH
   KP.135 śīlam śīlam iti kāśyapa ucyate / yatra nātma.....................	KP.135 SIlam SIlam iti kASyapaH ucyate / yatra na-Atma.....................
   nātmīya na sattvo na sattvaprajñaptiḥ na kriyā nākriyā / na karaṇaṃ	na-AtmIya na sattvaH na sattva-prajQaptiH na kriyA na-akriyA / na karaNam
   nākaraṇaṃ / cāro nācāraḥ na pracā................. nāpracāraḥ na nāmaṃ na	na-akaraNam / cAraH na-AcAraH na pracA................. na-apracAraH na nAmam na
   rūpa / nimittaṃ nānimittaṃ / na śamo napraśamaḥ na grāho notsargaḥ na	rUpaH / nimittam na-animittam / na SamaH na-praSamaH na grAhaH na-utsargaH na
   grāhyaṃ ............... hya / na sattvo na sattvaprajñaptiḥ na vāṅ na	grAhyam ............... hyas / na sattvaH na sattva-prajQaptiH na vAc na
