   akaṇṭakaṃ bhoktumanā Ram_2,84.13c	akaNwakam Boktu manAH Ram_2,84.13c
   evaṃ viparidhāvatām Ram_3,67.21b	evam vipariDAvatAm Ram_3,67.21b
   evaṃ vilapatīṃ dṛṣṭvā Ram_2,51.29a	evam vilapatIm dRzwvA Ram_2,51.29a
   evaṃ vilapamānasya Ram_2,69.33a	evam vilapamAnasya Ram_2,69.33a
   evaṃ vilapamānaṃ taṃ Ram_2,70.10a	evam vilapamAnam tam Ram_2,70.10a
   evaṃ vilapamānāṃ tāṃ Ram_2,69.12a	evam vilapamAnAm tAm Ram_2,69.12a
   evaṃ śreṣṭhair guṇair yuktaḥ Ram_2,1.26a	evam SrezWEH guNEH yuktaH Ram_2,1.26a
   evaṃ sa kṛpaṇaṃ tatra Ram_2,58.39a	evam sa kRpaNam tatra Ram_2,58.39a
   evaṃ samādhinā yuktas Ram_2,85.19a	evam samADinA yuktaH Ram_2,85.19a
   evaṃ sambhāṣamāṇasya Ram_2,79.14a	evam samBAzamANasya Ram_2,79.14a
   evaṃ sambhāṣamāṇaṃ taṃ Ram_2,73.14a	evam samBAzamANam tam Ram_2,73.14a
   evaṃ sambhāṣamāṇau tāv Ram_3,60.15a	evam samBAzamANO tO Ram_3,60.15a
   evaṃ sa ruṣito rāmo Ram_3,60.22a	evam sa ruzitaH rAmaH Ram_3,60.22a
   evaṃ sa vilapan rāmaḥ Ram_3,59.25a	evam sa vilapan rAmaH Ram_3,59.25a
   evaṃ sa vilapaṃs tasmin Ram_2,93.17a	evam sa vilapan tasmin Ram_2,93.17a
   evaṃ sītāvacaḥ śrutvā Ram_3,41.22a	evam sItA vacaH SrutvA Ram_3,41.22a
   evaṃ hi kathayantyās tu Ram_2,56.16a	evam hi kaTayantyAH tu Ram_2,56.16a
   eṣa krośati natyūhas Ram_2,50.9a	eza kroSati natyUhaH Ram_2,50.9a
   eṣa gacchāmy ahaṃ tāta Ram_3,40.3c	eza gacCAmi aham tAta Ram_3,40.3c
   eṣa cābhyudayo mahān Ram_2,35.23b	eza ca aByudayaH mahAn Ram_2,35.23b
   eṣa caiva mṛgaḥ śrīmān Ram_3,41.35a	eza ca eva mRgaH SrImAn Ram_3,41.35a
   eṣa jñātisahasreṇa Ram_2,78.11a	eza jQAti sahasreNa Ram_2,78.11a
   eṣa dharmas tu suśroṇi Ram_2,27.29a	eza DarmaH tu suSroNi Ram_2,27.29a
   eṣa dharmaḥ purā dṛṣṭo Ram_2,21.21c	eza DarmaH purA dRzwaH Ram_2,21.21c
   eṣa dharmaḥ sanātanaḥ Ram_3,3.24b	eza DarmaH sanAtanaH Ram_3,3.24b
   eṣa panthā naravyāghra Ram_3,4. 31a	eza panTAH nara vyAGraH Ram_3,4. 31a
   eṣa panthā maharṣīṇāṃ Ram_2,111.19a	eza panTAH mahA RzINAm Ram_2,111.19a
   eṣa prārthayate muniḥ Ram_3,10.13f	eza prArTayate muniH Ram_3,10.13f
   eṣa manye mahābāhur Ram_2,91.10c	eza manye mahA bAhuH Ram_2,91.10c
   eṣa me jīvitasyānto Ram_3,45.8c	eza me jIvitasya antaH Ram_3,45.8c
   eṣa me prathamaḥ kalpo Ram_2,46.53a	eza me praTamaH kalpaH Ram_2,46.53a
   eṣa me prathamaḥ kāmaḥ Ram_3,18.16a	eza me praTamaH kAmaH Ram_3,18.16a
   eṣa rāma śivaḥ panthā Ram_3,69.2a	eza rAma SivaH panTAH Ram_3,69.2a
   eṣa lakṣmaṇa niṣkrāmaty Ram_3,11.20a	eza lakzmaNa nizkrAmati Ram_3,11.20a
   eṣa lokārcitaḥ sādhur Ram_3,10.85a	eza loka arcitaH sADuH Ram_3,10.85a
   eṣa loke satāṃ dharmo Ram_2,35.6c	eza loke satAm DarmaH Ram_2,35.6c
   eṣa vañculako nāma Ram_3,65.11a	eza vaQculakaH nAma Ram_3,65.11a
   eṣa vāditraniḥsvanaḥ Ram_3,10.18b	eza vAditra niHsvanaH Ram_3,10.18b
   eṣa vā samare mama Ram_3,26.4b	eza vA samare mama Ram_3,26.4b
   eṣa vai sumahāñ śrīmān Ram_2,90.14a	eza vE su mahAn SrImAn Ram_2,90.14a
   eṣa vyaktaṃ vijānāti Ram_3,58.16c	eza vyaktam vijAnAti Ram_3,58.16c
   eṣa śriyaṃ gacchati rāghavo 'dya Ram_2,14.25a	eza Sriyam gacCati rAGavaH adya Ram_2,14.25a
   eṣa svargasya mārgaś ca Ram_2,35.23c	eza svargasya mArgaH ca Ram_2,35.23c
   eṣā ca divi devatā Ram_2,110.11b	ezA ca divi devatA Ram_2,110.11b
   eṣā taṃ puruṣavyāghraṃ Ram_2,86.21a	ezA tam puruza vyAGram Ram_2,86.21a
   eṣā nātipratītā me Ram_2,65.15a	ezA na ati pratItAH me Ram_2,65.15a
   eṣā bāṇavinirbhinnā Ram_3,29.3a	ezA bANa vinirBinnAH Ram_3,29.3a
   eṣā hi prakṛtiḥ strīṇām Ram_3,12.5a	ezA hi prakRtiH strINAm Ram_3,12.5a
   eṣā hi sukumārī ca Ram_3,12.3a	ezA hi sukumArI ca Ram_3,12.3a
   eṣā hy asya parā prītir Ram_2,1.30a	ezA hi asya parA prItiH Ram_2,1.30a
   eṣāṃ tapasvināṃ vīra Ram_3,7.12c	ezAm tapasvinAm vIraH Ram_3,7.12c
   eṣāṃ vadhārthaṃ krūrāṇāṃ Ram_3,29.31c	ezAm vaDa arTam krUrANAm Ram_3,29.31c
   eṣu tāta caran dharmaṃ Ram_2,103.5c	ezu tAta caran Darmam Ram_2,103.5c
   eṣu tīrtheṣu lakṣmaṇa Ram_3,71. 4b	ezu tIrTezu lakzmaNa Ram_3,71. 4b
   eṣu lokeṣu dṛśyate Ram_3,43.27b	ezu lokezu dRSyate Ram_3,43.27b
   eṣopamā mahābāho Ram_2,98.10a	ezA upamA mahA bAho Ram_2,98.10a
   eṣo 'pi hi mahābhāgaḥ Ram_2,103.21a	ezaH api hi mahABAgaH Ram_2,103.21a
   eṣṭavyā bahavaḥ putrā Ram_2,99.13a	ezwavyAH bahavaH putrAH Ram_2,99.13a
   ehi paśya śarīrāṇi Ram_3,5.15a	ehi paSya SarIrANi Ram_3,5.15a
   ehi siddhārtha vijaya Ram_2,62.5a	ehi sidDArTa vijayaH Ram_2,62.5a
   aikṣvākam idam abravīt Ram_2,46.8d	EkzvAkam idam abravIt Ram_2,46.8d
   aiṅgudaṃ badarīmiśraṃ Ram_2,95.30a	EFgudam badarI miSram Ram_2,95.30a
   aiṇeyaṃ māṃsam āhṛtya Ram_2,50.15c	ENeyam mAMsam AhRtya Ram_2,50.15c
   airāvataviṣāṇāgrair Ram_3,30.7c	ErAvata vizANa agrEH Ram_3,30.7c
   airāvatān aindraśirān Ram_2,64.20a	ErAvatAn EndraSirAn Ram_2,64.20a
   aiśvaryakāmāṃ kaikeyīm Ram_2,86.25a	ESvarya kAmAm kEkeyIm Ram_2,86.25a
   aiśvaryam abhisamprāpto Ram_3,48.10c	ESvaryam aBisamprAptaH Ram_3,48.10c
   aiśvaryasya rasajñaḥ san Ram_2,30.7a	ESvaryasya rasa jQaH san Ram_2,30.7a
   aiśvaryaṃ prāpya tiṣṭhanti Ram_3,28.7c	ESvaryam prApya tizWanti Ram_3,28.7c
   oṣadhīṃ cāpi siddhārthāṃ Ram_2,22.15a	ozaDIm ca api sidDArTAm Ram_2,22.15a
   oṣadhyaḥ svaprabhā lakṣmyā Ram_2,88.21c	ozaDyaH sva praBA lakzmyA Ram_2,88.21c
   audakānīva sattvāni Ram_2,30.13c	OdakAni iva sattvAni Ram_2,30.13c
   audāryeṇāvagacchāmi Ram_3,11.20c	OdAryeNa avagacCAmi Ram_3,11.20c
   aupavāsyaṃ tadākārṣīd Ram_2,81.17c	OpavAsyam tat AkArzIt Ram_2,81.17c
   aupavāhyaṃ rathaṃ yuktvā Ram_2,34.10a	OpavAhyam raTam yuktvA Ram_2,34.10a
   aupavāhyaḥ pratīkṣate Ram_2,13.10d	OpavAhyaH pratIkzate Ram_2,13.10d
   aurasān api putrān hi Ram_2,23.33a	OrasAn api putrAn hi Ram_2,23.33a
   aurdhvadehanimittārtham Ram_2,77.21c	OrDva deha nimitta arTam Ram_2,77.21c
   auṣṇyaṃ tathā vikramaṃ ca Ram_3,38.12e	OzNyam taTA vikramam ca Ram_3,38.12e
   ka etacchraddadhecchrutvā Ram_2,21.4a	kaH etat SraddaDet SrutvA Ram_2,21.4a
   ka eṣa dyutimān rathe Ram_3,4. 15d	kaH eza dyutimAn raTe Ram_3,4. 15d
   kakutsthasya tu putro 'bhūd Ram_2,102.22c	kakutsTasya tu putraH aBUt Ram_2,102.22c
   kakubhaḥ kakubhoruṃ tāṃ Ram_3,58.15a	kakuBaH kakuBa Urum tAm Ram_3,58.15a
   kakṣeṣv iva hutāśanam Ram_2,90.22d	kakzezu iva hutASanam Ram_2,90.22d
   kakṣyā daśarathātmajaḥ Ram_2,15.13b	kakzyA daSaraTa AtmajaH Ram_2,15.13b
   kakṣyāyāṃ kurute manaḥ Ram_2,33.3b	kakzyAyAm kurute manaH Ram_2,33.3b
   kakṣyāḥ saptābhicakrāma Ram_2,51.15c	kakzyAH sapta aBicakrAmaH Ram_2,51.15c
   kaṅkapattrān ajihmagān Ram_3,24.16d	kaFka pattrAn ajihmagAn Ram_3,24.16d
   kaccic ca saha sainyasya Ram_2,83.5c	kaccit ca saha sEnyasya Ram_2,83.5c
   kaccic cāpararātriṣu Ram_2,94.12c	kaccit ca apara rAtrizu Ram_2,94.12c
   kaccic cārogatā rāme Ram_2,64.6c	kaccit ca arogatA rAme Ram_2,64.6c
   kaccic caityaśatair juṣṭaḥ Ram_2,94.37a	kaccit cEtya SatEH juzwaH Ram_2,94.37a
   kaccic chuśrūṣamāṇā vaḥ Ram_2,108.7a	kaccit SuSrUzamANAH vaH Ram_2,108.7a
   kaccij janapadaḥ sphītaḥ Ram_2,94.39c	kaccit janapadaH sPItaH Ram_2,94.39c
   kaccij jānapado vidvān Ram_2,94.29a	kaccit jAnapadaH vidvAn Ram_2,94.29a
   kaccij jīvati vaidehī Ram_3,56.6a	kaccit jIvati vEdehI Ram_3,56.6a
   kaccit karmasu daṃśitāḥ Ram_2,2.27b	kaccit karmasu daMSitAH Ram_2,2.27b
   kaccit kāle vibudhyase Ram_2,94.12b	kaccit kAle vibuDyase Ram_2,94.12b
   kaccit kuryāḥ śaravyayam Ram_3,8.11d	kaccit kuryAH Sara vyayam Ram_3,8.11d
   kaccit kṣemaṃ na manthare Ram_2,7.13b	kaccit kzemam na manTare Ram_2,7.13b
   kaccit tāś ca surakṣitāḥ Ram_2,94.42b	kaccit tAH ca su rakzitAH Ram_2,94.42b
   kaccit tu sukṛtāny eva Ram_2,94.15a	kaccit tu sukRtAni eva Ram_2,94.15a
   kaccit te guruśuśrūṣā Ram_3,70.8e	kaccit te guru SuSrUzA Ram_3,70.8e
   kaccit te dayitāḥ sarve Ram_2,94.40a	kaccit te dayitAH sarve Ram_2,94.40a
   kaccit te niyataḥ kopa Ram_3,70.8a	kaccit te niyataH kopaH Ram_3,70.8a
   kaccit te niyamāḥ prāptāḥ Ram_3,70.8c	kaccit te niyamAH prAptAH Ram_3,70.8c
   kaccit te nirjitā vighnāḥ Ram_3,70.7c	kaccit te nirjitAH viGnAH Ram_3,70.7c
   kaccit te paruṣaṃ kiṃcid Ram_2,16.16a	kaccit te paruzam kiMcid Ram_2,16.16a
   kaccit te brāhmaṇāḥ śarma Ram_2,94.55a	kaccit te brAhmaNAH SarmaH Ram_2,94.55a
   kaccit te bharaṇaṃ kṛtam Ram_2,94.41b	kaccit te BaraNam kRtam Ram_2,94.41b
   kaccit te manasaḥ sukham Ram_3,70.8d	kaccit te manasaH suKam Ram_3,70.8d
   kaccit te mantrito mantro Ram_2,94.13c	kaccit te mantritaH mantraH Ram_2,94.13c
   kaccit te vardhate tapaḥ Ram_3,70.7d	kaccit te varDate tapaH Ram_3,70.7d
   kaccit tvaṃ tāta manyase Ram_2,94.9d	kaccit tvam tAta manyase Ram_2,94.9d
   kaccit tvaṃ varjayasy etān Ram_2,94.58c	kaccit tvam varjayasi etAn Ram_2,94.58c
   kaccit tvāṃ nāvajānanti Ram_2,94.22a	kaccit tvAm na avajAnanti Ram_2,94.22a
   kaccit pulinaśālinīm Ram_2,89.9b	kaccit pulina SAlinIm Ram_2,89.9b
   kaccit pravrājanaṃ saumya Ram_3,56.6c	kaccit pravrAjanam sOmya Ram_3,56.6c
   kaccit prāṇāṃs tavārtheṣu Ram_2,94.28c	kaccit prANAn tava arTezu Ram_2,94.28c
   kaccit sakāmā sukhitā Ram_3,56.7c	kaccit sa kAmA suKitAH Ram_3,56.7c
   kaccit samuditāṃ sphītām Ram_2,94.36c	kaccit samuditAm sPItAm Ram_2,94.36c
   kaccit sarvāṇi durgāṇi Ram_2,94.44a	kaccit sarvANi durgANi Ram_2,94.44a
   kaccit sarve 'nuraktās tvāṃ Ram_2,94.28a	kaccit sarve anuraktAH tvAm Ram_2,94.28a
   kaccit sahasrān mūrkhāṇām Ram_2,94.17a	kaccit sahasrAn mUrKANAm Ram_2,94.17a
   kaccit siddhajanākīrṇāṃ Ram_2,89.9c	kaccit sidDa jana AkIrNAm Ram_2,89.9c
   kaccit sukuśalī rājā Ram_2,64.6a	kaccit su kuSalI rAjA Ram_2,64.6a
   kaccit sukhaṃ nadītīre Ram_2,83.5a	kaccit suKam nadI tIre Ram_2,83.5a
   kaccit sumitrā dharmajñā Ram_2,64.8a	kaccit sumitrA Darma jQAH Ram_2,64.8a
   kaccit saumya na kaikayīm Ram_3,56.8d	kaccit sOmya na kEkayIm Ram_3,56.8d
   kaccit striyaḥ sāntvayasi Ram_2,94.42a	kaccit striyaH sAntvayasi Ram_2,94.42a
   kaccit svasti bhaved iti Ram_3,55.16d	kaccit svasti Bavet iti Ram_3,55.16d
   kaccit svādukṛtaṃ bhojyam Ram_2,94.59a	kaccit svAdu kRtam Bojyam Ram_2,94.59a
   kaccid agniṣu te yukto Ram_2,94.8a	kaccit agnizu te yuktaH Ram_2,94.8a
   kaccid atra sukhā rātris Ram_2,86.3a	kaccit atra suKA rAtriH Ram_2,86.3a
   kaccid arthaṃ ca dharmaṃ ca Ram_2,94.54a	kaccit arTam ca Darmam ca Ram_2,94.54a
   kaccid arthaṃ viniścitya Ram_2,94.14a	kaccit arTam viniScitya Ram_2,94.14a
   kaccid arthena vā dharmaṃ Ram_2,94.53a	kaccit arTena vA Darmam Ram_2,94.53a
   kaccid alpataro vyayaḥ Ram_2,94.45b	kaccit alpataraH vyayaH Ram_2,94.45b
   kaccid aṣṭādaśāny eṣu Ram_2,94.30a	kaccit azwAdaSAni ezu Ram_2,94.30a
   kaccid ātmasamāḥ śūrāḥ Ram_2,94.10a	kaccit Atma samAH SUrAH Ram_2,94.10a
   kaccid āryo viśuddhātmā Ram_2,94.47a	kaccit AryaH viSudDa AtmA Ram_2,94.47a
   kaccid āśaṃsamānebhyo Ram_2,94.59c	kaccit ASaMsamAneByaH Ram_2,94.59c
   kaccid enaṃ na bādhate Ram_2,16.12d	kaccit enam na bADate Ram_2,16.12d
   kaccid gacchati te vyayaḥ Ram_2,94.46d	kaccit gacCati te vyayaH Ram_2,94.46d
   kaccid gurūṃś ca vṛddhāṃś ca Ram_2,94.52a	kaccit gurUn ca vRdDAn ca Ram_2,94.52a
   kaccid guhyaṃ na bhāṣase Ram_2,94.42d	kaccit guhyam na BAzase Ram_2,94.42d
   kaccid darśayase nityaṃ Ram_2,94.43c	kaccit darSayase nityam Ram_2,94.43c
   kaccid daśaratho rājā Ram_2,94.4a	kaccit daSaraTaH rAjA Ram_2,94.4a
   kaccid dhṛṣṭaś ca śūraś ca Ram_2,94.24a	kaccit DRzwaH ca SUraH ca Ram_2,94.24a
   kaccid balasya bhaktaṃ ca Ram_2,94.26a	kaccit balasya Baktam ca Ram_2,94.26a
   kaccid vinayasampannaḥ Ram_2,94.7a	kaccit vinaya sampannaH Ram_2,94.7a
   kaccid vṛddhāṃś ca bālāṃś ca Ram_2,94.51a	kaccit vRdDAn ca bAlAn ca Ram_2,94.51a
   kaccid vyapāstān ahitān Ram_2,94.31a	kaccit vyapAstAn ahitAn Ram_2,94.31a
   kaccin na kiṃcid bharate Ram_2,16.13a	kaccit na kiMcid Barate Ram_2,16.13a
   kaccin na tarkair yuktvā vā Ram_2,94.16a	kaccit na tarkEH yuktvA vE Ram_2,94.16a
   kaccin na tasyāpāpasya Ram_2,84.13a	kaccit na tasya apApasya Ram_2,84.13a
   kaccin na duṣṭo vrajasi Ram_2,79.7a	kaccit na duzwaH vrajasi Ram_2,79.7a
   kaccin na paradārān vā Ram_2,66.38a	kaccit na para dArAn vA Ram_2,66.38a
   kaccin na bahubhiḥ saha Ram_2,94.13b	kaccit na bahuBiH saha Ram_2,94.13b
   kaccin na brāhmaṇadhanaṃ Ram_2,66.37a	kaccit na brAhmaNa Danam Ram_2,66.37a
   kaccin na mucyate coro Ram_2,94.48c	kaccit na mucyate coraH Ram_2,94.48c
   kaccin na lakṣmaṇe putra Ram_2,81.10a	kaccit na lakzmaNe putraH Ram_2,81.10a
   kaccin na lokāyatikān Ram_2,94.32a	kaccit na lokAyatikAn Ram_2,94.32a
   kaccin na śraddadhāsyāsāṃ Ram_2,94.42c	kaccit na SraddaDAsi AsAm Ram_2,94.42c
   kaccin na sagajā sāśvā Ram_2,51.6a	kaccit na sa gajA sa aSvAH Ram_2,51.6a
   kaccin nāgavanaṃ guptaṃ Ram_2,94.43a	kaccit nAga vanam guptam Ram_2,94.43a
   kaccin nāḍhyo daridro vā Ram_2,66.37c	kaccit na AXyaH daridraH vE Ram_2,66.37c
   kaccin nidrāvaśaṃ naiṣi Ram_2,94.12a	kaccit nidrA vaSam na ezi Ram_2,94.12a
   kaccin maṇinikāśodāṃ Ram_2,89.9a	kaccit maNi nikASa udAm Ram_2,89.9a
   kaccin mantrayase naikaḥ Ram_2,94.13a	kaccit mantrayase na ekaH Ram_2,94.13a
   kaccin mayā nāparādham Ram_2,16.11a	kaccit mayA na aparADam Ram_2,16.11a
   kaccin mukhyā mahatsv eva Ram_2,94.20a	kaccit muKyAH mahatsu eva Ram_2,94.20a
   kañjakiñjalkasaṃnibhaḥ Ram_3,40.14d	kaQja kiQjalka saMniBaH Ram_3,40.14d
   kaṇḍunāpi vipaścitā Ram_2,18.27d	kaNxunA api vipaScitAH Ram_2,18.27d
   katareṇa gamiṣyāmi Ram_2,79.4a	katareNa gamizyAmi Ram_2,79.4a
   katthanena vidarśitam Ram_3,28.20b	katTanena vidarSitam Ram_3,28.20b
   katham anyat samācare Ram_2,97.19d	kaTam anyat samAcare Ram_2,97.19d
   katham apriyam evāhaṃ Ram_2,46.37c	kaTam apriyam eva aham Ram_2,46.37c
   katham asmadvidhe śastraṃ Ram_2,57.18e	kaTam asmadviDe Sastram Ram_2,57.18e
   katham āryasya sevyate Ram_2,93.34d	kaTam Aryasya sevyate Ram_2,93.34d
   katham āryo 'bhidhāsyati Ram_3,57.11b	kaTam AryaH aBiDAsyati Ram_3,57.11b
   katham iṅgudīpiṇyākaṃ Ram_2,96.10c	kaTam iFgudI piNyAkam Ram_2,96.10c
   katham indīvaraśyāmaṃ Ram_3,43.23a	kaTam indIvara SyAmam Ram_3,43.23a
   katham indīvaraśyāmo Ram_2,82.17a	kaTam indIvara SyAmaH Ram_2,82.17a
   katham uñchena vartayet Ram_2,21.2d	kaTam uQCena vartayet Ram_2,21.2d
   katham uṣṇaṃ ca śītaṃ ca Ram_2,55.4c	kaTam uzNam ca SItam ca Ram_2,55.4c
   katham ekā mahāraṇye Ram_3,44.29c	kaTam ekA mahA araNye Ram_3,44.29c
   katham evaṃvidhaṃ pāpaṃ Ram_3,47.25c	kaTam evaMviDam pApam Ram_3,47.25c
   kathaya tvaṃ mamopāyaṃ Ram_2,9.7a	kaTaya tvam mama upAyam Ram_2,9.7a
   kathayanti dvijātayaḥ Ram_3,64.34b	kaTayanti dvijAtayaH Ram_3,64.34b
   kathayanti na te kiṃcit Ram_3,28.17c	kaTayanti na te kiMcid Ram_3,28.17c
   kathayanti mithaḥ kathāḥ Ram_2,108.10d	kaTayanti miTas kaTAH Ram_2,108.10d
   kathayanto mithas tatra Ram_2,6.20c	kaTayantaH miTas tatra Ram_2,6.20c
   kathayantyā hi madhuraṃ Ram_2,111.10c	kaTayantyA hi maDuram Ram_2,111.10c
   kathayann āsta vai nityam Ram_2,1.17c	kaTayan Asta vE nityam Ram_2,1.17c
   kathayasva na te bhayam Ram_3,58.22d	kaTayasva na te Bayam Ram_3,58.22d
   kathayasva varārohāṃ Ram_3,58.18c	kaTayasva vara ArohAm Ram_3,58.18c
   kathayāmāsa tāṃ kathām Ram_2,110.25d	kaTayAmAsa tAm kaTAm Ram_2,110.25d
   kathayāmāsa sūtāya Ram_2,41.13c	kaTayAmAsa sUtAya Ram_2,41.13c
   kathayitvā suduḥkhārtaḥ Ram_2,51.1a	kaTayitvA su duHKa ArtaH Ram_2,51.1a
   kathayiṣyanti lokeṣu Ram_3,51.7a	kaTayizyanti lokezu Ram_3,51.7a
   kathaṃ kumārau vaidehyā Ram_2,52.6c	kaTam kumArO vEdehyAH Ram_2,52.6c
   kathaṃ kṛtvā na lajjase Ram_3,51.6b	kaTam kRtvA na lajjase Ram_3,51.6b
   kathaṃ kravyādasiṃhānāṃ Ram_2,55.6c	kaTam kravyAda siMhAnAm Ram_2,55.6c
   kathaṃcit tena saṃyuge Ram_3,37.1b	kaTaMcid tena saMyuge Ram_3,37.1b
   kathaṃcit prāpya jīvitam Ram_3,37.14b	kaTaMcid prApya jIvitam Ram_3,37.14b
   kathaṃcit saumya jīvatīm Ram_3,17.19d	kaTaMcid sOmya jIvatIm Ram_3,17.19d
   kathaṃcid upakāreṇa Ram_2,1.16a	kaTaMcid upakAreNa Ram_2,1.16a
   kathaṃ tac candrasaṃkāśaṃ Ram_3,64.6a	kaTam tat candra saMkASam Ram_3,64.6a
   kathaṃ tasmin na varteta Ram_2,16.15c	kaTam tasmin na varteta Ram_2,16.15c
   kathaṃ tasyāparādhyasi Ram_3,48.12d	kaTam tasya aparADyasi Ram_3,48.12d
   kathaṃ tāpasayor vāṃ ca Ram_3,2.11c	kaTam tApasayoH vAm ca Ram_3,2.11c
   kathaṃ tebhyo na bibhyasi Ram_3,44.28d	kaTam teByaH na biByasi Ram_3,44.28d
   kathaṃ tv apararātreṣu Ram_3,15.28c	kaTam tu apararAtrezu Ram_3,15.28c
   kathaṃ tvaṃ tasya vaidehīṃ Ram_3,35.14a	kaTam tvam tasya vEdehIm Ram_3,35.14a
   kathaṃ tvaṃ rakṣasāṃ vara Ram_3,48.10b	kaTam tvam rakzasAm varaH Ram_3,48.10b
   kathaṃ tvānena karmaṇā Ram_2,52.22d	kaTam tvA anena karmaNA Ram_2,52.22d
   kathaṃ daśarathāj jātaḥ Ram_2,98.48a	kaTam daSaraTAt jAtaH Ram_2,98.48a
   kathaṃ daśarathāj jāto Ram_2,76.11a	kaTam daSaraTAt jAtaH Ram_2,76.11a
   kathaṃ dāśarathau bhūmau Ram_2,45.9a	kaTam dASaraTO BUmO Ram_2,45.9a
   kathaṃ dāśarathau bhūmau Ram_2,80.10a	kaTam dASaraTO BUmO Ram_2,80.10a
   kathaṃ dāsasya me dāsī Ram_3,17.9a	kaTam dAsasya me dAsI Ram_3,17.9a
   kathaṃ duḥkhena hṛdayaṃ Ram_2,96.12c	kaTam duHKena hRdayam Ram_2,96.12c
   kathaṃ devi na budhyase Ram_2,7.19d	kaTam devi na buDyase Ram_2,7.19d
   kathaṃ naravaraśreṣṭha Ram_2,55.3a	kaTam nara vara SrezWa Ram_2,55.3a
   kathaṃ nu cīraṃ badhnanti Ram_2,33.10e	kaTam nu cIram baDnanti Ram_2,33.10e
   kathaṃ nu tvam ihāgatā Ram_3,44.27d	kaTam nu tvam iha AgatAH Ram_3,44.27d
   kathaṃ nu putrāḥ pitaraṃ Ram_2,91.6a	kaTam nu putrAH pitaram Ram_2,91.6a
   kathaṃ nu mayi dharmeṇa Ram_2,2.17a	kaTam nu mayi DarmeNa Ram_2,2.17a
   kathaṃ nu śastreṇa vadho Ram_2,57.20c	kaTam nu SastreNa vaDaH Ram_2,57.20c
   kathaṃ nu sāmbā kaikeyī Ram_3,15.33c	kaTam nu sa ambA kEkeyI Ram_3,15.33c
   kathaṃ nu sukṛtaṃ bhavet Ram_2,58.1d	kaTam nu sukRtam Bavet Ram_2,58.1d
   kathaṃ pāpe na śocasi Ram_2,67.8d	kaTam pApe na Socasi Ram_2,67.8d
   kathaṃ putra bhariṣyāmi Ram_2,58.30c	kaTam putra BarizyAmi Ram_2,58.30c
   kathaṃ puruṣamānī syāt Ram_2,20.30c	kaTam puruza mAnI syAt Ram_2,20.30c
   kathaṃ prakṛtisampannā Ram_2,19.17a	kaTam prakRti sampannAH Ram_2,19.17a
   kathaṃ pratijñāṃ saṃśrutya Ram_3,59.7a	kaTam pratijQAm saMSrutya Ram_3,59.7a
   kathaṃ yuddhaṃ bhaviṣyati Ram_3,23.18d	kaTam yudDam Bavizyati Ram_3,23.18d
   kathaṃ rathaṃ tvayā hīnaṃ Ram_2,46.38c	kaTam raTam tvayA hInam Ram_2,46.38c
   kathaṃ rākṣasasevitam Ram_3,16.11d	kaTam rAkzasa sevitam Ram_3,16.11d
   kathaṃ rājā bhaviṣyasi Ram_3,31.7d	kaTam rAjA Bavizyasi Ram_3,31.7d
   kathaṃ rājā sthito dharme Ram_3,48.6a	kaTam rAjA sTitaH Darme Ram_3,48.6a
   kathaṃ vatsyanti kṛpaṇāḥ Ram_2,38.8c	kaTam vatsyanti kRpaNAH Ram_2,38.8c
   kathaṃvīryaḥ kathaṃrūpaḥ Ram_3,64.7a	kaTaMvIryaH kaTaMrUpaH Ram_3,64.7a
   kathaṃ vairaṃ na yātayet Ram_2,8.26d	kaTam vEram na yAtayet Ram_2,8.26d
   kathaṃ vaiśravaṇaṃ devaṃ Ram_3,46.20a	kaTam vESravaNam devam Ram_3,46.20a
   kathaṃ śete mahītale Ram_2,82.4d	kaTam Sete mahI tale Ram_2,82.4d
   kathaṃ sa bhokṣyate nātho Ram_2,21.3c	kaTam sa Bokzyate nATaH Ram_2,21.3c
   kathaṃ sītopabhokṣyate Ram_2,55.5d	kaTam sItA upaBokzyate Ram_2,55.5d
   kathaṃ syād vipravāsanam Ram_2,30.11b	kaTam syAt vipravAsanam Ram_2,30.11b
   kathaṃ syān mama pīḍane Ram_2,19.14b	kaTam syAt mama pIxane Ram_2,19.14b
   kathaṃ hi tvadvihīno 'haṃ Ram_2,46.31a	kaTam hi tvad vihInaH aham Ram_2,46.31a
   kathaṃ hi dhenuḥ svaṃ vatsaṃ Ram_2,21.6a	kaTam hi DenuH svam vatsam Ram_2,21.6a
   kathaṃ hy ahaṃ pratijñāya Ram_2,101.24a	kaTam hi aham pratijQAya Ram_2,101.24a
   kathaṃ hy etad asambhrāntas Ram_2,20.6c	kaTam hi etat asamBrAntaH Ram_2,20.6c
   kathābhir anurajyante Ram_2,61.14c	kaTABiH anurajyante Ram_2,61.14c
   kathābhir aparikramau Ram_2,58.4b	kaTABiH aparikramO Ram_2,58.4b
   kathāśīlāḥ kathāpriyaiḥ Ram_2,61.14d	kaTA SIlAH kaTA priyEH Ram_2,61.14d
   kathāś cakrur mitho janāḥ Ram_2,6.15b	kaTAH cakruH miTas janAH Ram_2,6.15b
   kathā śrutim upāgatā Ram_2,110.23d	kaTA Srutim upAgatAH Ram_2,110.23d
   kathāsaṃsaktacetasaḥ Ram_3,16.4b	kaTA saMsakta cetasaH Ram_3,16.4b
