   śrī bhakti sandarbhaḥ	SrI  Bakti sandarBaH
   paricaryāyāṃ kriyamāṇāyāṃ sarveṣām anyeṣām api devādīnām upāsanā	paricaryAyAm kriyamANAyAm sarvezAm anyezAm api deva AdInAm upAsanA
   svata eva sidhyatīty ato'pi sārvatrikatā | yathoktaṃ skānde brahma nārada 	svatas eva siDyati iti atas api sArvatrika tA | yaToktam skAnde brahma  nArada 
   saṃvāde  	saMvAde  
   arcite deva deveśa śaṅkha cakra gadādhare |	arcite deva deveSa SaFKa  cakra  gadA Dare |
   arcitāḥ sarva devāḥ syur yataḥ sarva gato hariḥ ||	arcitAH sarva devAH syuH yatas sarva gataH hariH ||
   evaṃ yo bhaktiṃ karoti yad gavādikaṃ bhagavate dīyate yena dvāra bhūtena	evam yaH Baktim karoti yat gavA Adikam Bagavate dIyate yena dvAra BUtena
   bhaktiḥ kriyate, yasmai śrī bhagavat prīṇanārthaṃ dīyate, yasmād gavādikāt	BaktiH kriyate, yasmE SrI  Bagavat  prINana arTam dIyate, yasmAt gavA AdikAt 
   paya ādikam ādāya bhagavate nivedyate, yasmin deśādau kule vā kaścid	paya Adikam AdAya Bagavate nivedyate, yasmin deSa AdO kule vA kaScid 
   bhaktim anutiṣṭhati teṣām api kṛtārthatvaṃ purāṇeṣu dṛśyate iti kāraka 	Baktim anutizWati tezAm api kRtArTa tvam purANezu dRSyate iti kAraka 
   gatā | evaṃ sārvatrikatvaṃ sādhitam |	gatAH | evam sArvatrika tvam sADitam |
   sadātanatvam āha sarvadeti | tatra sargādau yathā    kālena naṣṭā pralaye	sadAtana tvam Aha sarva dA iti | tatra sarga AdO yaTA   kAlena nazwA pralaye
   vāṇīyaṃ veda saṃjñitā [BhP 11.14.3] iti vidura praśne |	vANIyam veda  saMjQitAH [Bhj 11.14.3] iti vidura  praSne |
   sarveṣu yugeṣu   	sarvezu yugezu   
   kṛte yad dhyāyato viṣṇuṃ tretāyāṃ yajato makhaiḥ |	kRte yat DyAyataH vizNum tretAyAm yajataH maKEH |
   dvāpare paricaryāyāṃ kalau tad dhari kīrtanāt || [BhP 12.3.52] iti |	dvApare paricaryAyAm kalO tat Dari  kIrtanAt || [Bhj 12.3.52] iti |
   kiṃ bahunā  	kim bahunA  
   sā hānis tan mahac chidraṃ sa mohaḥ sa ca vibhramaḥ |	sA hAniH tat mahat Cidram sa mohaH sa ca viBramaH |
   yan muhūrtaṃ kṣaṇaṃ vāpi vāsudevo na cintyate || iti vaiṣṇave |	yan  muhUrtam kzaNam vA api vAsudevaH na cintyate || iti vEzNave |
   sarvāvasthāsv api   garbhe śrī nārada kārita śravaṇe prahlāde prasiddham |	sarva avasTAsu api  garBe SrI nArada  kArita  SravaNe prahlAde prasidDam |
   bālye śrī dhruvādiṣu | yauvane śrīmad ambarīṣādiṣu | vārdhakye	bAlye SrI  Druva Adizu | yOvane SrImat  ambarIza Adizu | vArDakye
   dhṛtarāṣṭrādiṣu | maraṇe'jāmilādiṣu | svargitāyāṃ śrī citraketv ādiṣu |	DRtarAzwra Adizu | maraNe ajAmilA Adizu | svargitAyAm SrI  citraketv a Adizu |
   nārakitāyām api  	nArakitAyAm api  
   yathā yathā harer nāma	yaTA yaTA hareH nAma
   kīrtayanti sma nārakāḥ |	kIrtayanti sma nArakAH |
   tathā tathā harau bhaktim	taTA taTA harO Baktim
   udvahanto divaṃ yayuḥ || [NṛsiṃhaP 8.31] iti śrī nṛsiṃha purāṇāt |	udvahantaH divam yayuH || [NR siMhaP 8.31] iti SrI nRsiMha purANAt |
   ataevoktaṃ durvāsasā mucyeta yan nāmny udite nārako'pi [BhP 9.4.45] iti |	ataeva uktam durvAsasA mucyeta yan nAmni udite nArakaH api [Bhj 9.4.45] iti |
   yathā  	yaTA  
   etan nirvidyamānānām icchatām akuto bhayam |	etat nirvidyamAnAnAm icCatAm akuto Bayam |
   yogināṃ nṛpa nirṇītaṃ harer nāmānukīrtanam || [BhP 2.1.11] ity atrāpi |	yoginAm nRpa nirNItam hareH nAma anukIrtanam || [Bhj 2.1.11] iti atra api |
   (page 53)	(page 53)
   tatra tatra vyatirekodāharaṇāni ca kiyanti darśyante  	tatra tatra vyatireka udAharaNAni ca kiyanti darSyante  
   kiṃ vedaiḥ kim u śāstrair vā kiṃ vā tīrtha niṣevaṇaiḥ |	kim vedEH kim u SAstrEH vA kim vA tIrTa nizevaNEH |
   viṣṇu bhakti vihīnānāṃ kiṃ tapobhiḥ kim adhvaraiḥ || [NāradaP 1.30.111]	vizNu  Bakti vihInAnAm kim tapoBiH kim aDvarEH || [NAradaP 1.30.111]
   iti |	iti |
   kiṃ tasya bahubhiḥ śāstraiḥ kiṃ tapobhiḥ kim adhvaraiḥ |	kim tasya bahuBiH SAstrEH kim tapoBiH kim aDvarEH |
   vājapeya sahasrair vā bhaktir yasya janārdane ||	vAjapeya  sahasrEH vA BaktiH yasya janArdane ||
   iti bṛhan nāradīya pādmavacanādīni |	iti bRhan  nAradIya  pAdma vacana AdIni |
   tapasvino dāna parā yaśasvino	tapasvinaH dAna  parAH yaSasvinaH 
   manasvino mantra vidaḥ sumaṅgalāḥ |	manasvinaH mantra vidaH su maFgalAH |
   kṣemaṃ na vindanti vinā yad arpaṇaṃ	kzemam na vindanti vinA yat  arpaNam
   tasmai subhadra śravase namo namaḥ || [BhP 2.4.17]	tasmE suBadra  Sravase namaH namaH || [Bhj 2.4.17]
   na yatra vaikuṇṭha kathā sudhāpagā	na yatra vEkuNWa  kaTA a  suDA ApagA
   na sādhavo bhāgavatās tadāśrayāḥ |	na sADavaH BAgavatAH tad ASrayAH |
   na yatra yajñeśa makhā mahotsavāḥ	na yatra yajQeSa  maKAH mahA utsavAH
   sureśa loko'pi na vai sa sevyatām || [BhP 5.19.24]	sureSa  lokaH api na vE sa sevyatAm || [Bhj 5.19.24]
   yayāca ānamya kirīṭa koṭibhiḥ	yayAcaH Anamya kirIwa  kowiBiH
   pādau spṛśann acyutam artha sādhanam |	pAdO spRSan acyutam arTa  sADanam |
   siddhārtha etena vigṛhyate mahān	sidDArTaH etena vigRhyate mahAn
   aho surāṇāṃ ca tamo dhig āṭhyatām || [BhP 10.59.41]	aho surANAm ca tamaH Dik AWyatAm || [Bhj 10.59.41]
   sālokya sārṣṭi sālokya  [BhP 3.29.11] ity ādi, no dānaṃ no tapo nejyā [BhP	sAlokya  sArzwi  sAlokya [Bhj 3.29.11] iti Adi, naH dAnam no tapaH na ijyA [BhP
   7.7.44] ity ādi | naiṣkarmyam apy acyuta bhāva varjitam [BhP 1.5.12] ity	7.7.44] iti Adi | nEzkarmyam api acyuta BAva  varjitam [Bhj 1.5.12] iti 
   ādi |	Adi |
   nātyantikaṃ vigaṇayanty api te [BhP 3.15.48] ity ādi ca |	na Atyantikam vigaNayanti api te [Bhj 3.15.48] iti Adi ca |
   atha sadā sarvatra yad upapadyate [BhP 2.9.35] ity ādi yojanikārtho	aTa sadA sarvatra yat upapadyate [Bhj 2.9.35] iti Adi yojanikA arTaH 
   yugapad	yugapad 
   yathā tasmāt sarvātmanā rājan hariḥ sarvatra sarvadā [BhP 2.2.36] ity ādi	yaTA tasmAt sarva AtmanA rAjan hariH sarvatra sarvadA [Bhj 2.2.36] iti Adi
   anvaya vyatirekābhyāṃ sadā sarvatra yad upapadyate ity ādi | yathā   	anvaya  vyatirekAByAm sadA sarvatra yat upapadyate iti Adi | yaTA   
   smartavyaḥ satataṃ viṣṇur vismartavyo na jātucit |	smartavyaH satatam vizNuH vismartavyaH na jAtucit |
   sarve vidhi niṣedhāḥ syur etasyaiva vidhiṅkarāḥ || [PadmaP 6.71.100] iti |	sarve viDi  nizeDAH syuH etasya eva viDiFkarAH || [Pat maP 6.71.100] iti |
   anvaya vyatirekābhyāṃ sadā sarvatra yad upapadyate iti sākalyena yathā na	anvaya  vyatirekAByAm sadA sarvatra yat upapadyate iti sAkalyena yaTA na
   hy ato'nyaḥ śivaḥ panthāḥ [BhP 2.2.33] ity upakramya, tad upasaṃhāre  	hi atas anyaH SivaH panTAH [Bhu 2.2.33] iti upakramya, tad  upasaMhAre  
   tasmāt sarvātmanā rājan hariḥ sarvatra sarvadā |	tasmAt sarva AtmanA rAjan hariH sarvatra sarvadA |
   śrotavyaḥ kīrtitavyaś ca smartavyo bhagavān nṝṇām || [BhP 2.2.36] iti |	SrotavyaH kIrtitavyaH ca smartavyaH BagavAn nLNAm || [Bhj 2.2.36] iti |
   nṝṇāṃ jīvānāṃ iti nṛgatiṃ vivicya kavayaḥ [BhP 10.87.16] itivat | etad	nLNAm jIvAnAm iti nR gatim vivicya kavayaH [Bhj 10.87.16] iti vat | etat 
   uktaṃ	uktam
   bhavati   yat karma tat sannyāsa bhoga śarīra prāpty avadhi yogaḥ siddhy 	Bavati  yat karma tat sannyAsa  Boga  SarIra  prApti  avaDi yogaH sidDi  
   avadhiḥ | sāṅkhyam ātma jñānāvadhi | jñānaṃ mokṣāvadhi | tathā tathā tat 	avaDiH | sAFKyam Atma  jQAna avaDi | jQAnam mokza avaDi | taTA taTA tat 
   tad yogyatādikāni ca sarvāṇi | evaṃ teṣu karmādiṣu śāstrādi vyabhicāritā	tad  yogya tA AdikAni ca sarvANi | evam tezu karma Adizu SAstra Adi  vyaBicAritA
   jñeyā | hari bhaktes tu anvaya vyaktirekābhyāṃ sadā sarvatra tat tan 	jQeyA | hari BakteH tu anvaya  vyaktiH ekAByAm sadA sarvatra tat tan 
   mahimabhir upapannatvāt tathā bhūtasya rahasyasyāṅgatvaṃ yuiktam | yato	mahimaBiH upapanna tvAt taTA a BUtasya rahasi asya aFga tvam yuiktam | yatas 
   rahasyāṅgatvena ca jñāna rūpārthāntarācchannatayaivedam uktam iti |	rahasya aFga tvena ca jQAna   rUpa arTa antarAt Canna tayA eva idam uktam iti |
   tad evaṃ śrī bhāgavataṃ saṅkṣepeṇopadekṣyantaṃ śrī nāradaṃ śrī brahmāpi	tat evam SrI  BAgavatam saFkzepeNa upadekzyantam SrI nAradam SrI  brahmA api
   tathaiva saṅkalpaṃ kāritavān   	taTA eva saFkalpam kAritavAn   
   yathā harau bhagavati nṛṇāṃ bhaktir bhaviṣyati	yaTA harO Bagavati nRNAm BaktiH Bavizyati
   sarvātmany akhilādhāre iti saṅkalpya varṇaya || [BhP 2.7.52] (page 54)	sarva Atmani aKila ADAre iti saFkalpya varNayaH || [Bhj 2.7.52] (page 54)
   bhaviṣyati avaśyaṃ bhaved itīmaṃ prakāraṃ saṅkalpya niyamenāṅgīkṛtya |	Bavizyati avaSyam Bavet iti imam prakAram saFkalpya niyamena aFgIkRtya |
   || 2.7 || śrī brahmā nāradam || 115 ||	|| 2.7 || SrI  brahmA nAradam || 115 ||
   śrī nāradenāpi tan mahā purāṇāvirbhāvārthaṃ tathaivopadiṣṭam  	SrI nAradena api tat mahA  purANa AvirBAva arTam taTA eva upadizwam  
   atho mahā bhāga bhavān amogha dṛk	aTo mahA BAga BavAn amoGa dRS 
   śuci śravāḥ satya rato dhṛta vrataḥ |	Suci SravAH satya rataH DRta vrataH |
   urukramasyākhila bandha muktaye	urukramasya aKila   banDa  muktaye
   samādhinānusmara tad viceṣṭitam || [BhP 1.5.13]	samADinA anusmara tat  vicezwitam || [Bhj 1.5.13]
   atho ato naiṣkarmyam apy acyuta bhāva varjitam [BhP 1.5.12] ity ādi 	aTo atas nEzkarmyam api acyuta BAva  varjitam [Bhj 1.5.12] iti Adi 
   kāraṇāt |	kAraNAt |
   ante ca  	ante ca  
   tvam apy adabhra śruta viśrutaṃ vibhoḥ	tvam api adaBra  Sruta viSrutam viBoH
   samāpyate yena vidāṃ bubhutsitam |	samApyate yena vidAm buButsitam |
   prākhyāhi duḥkhair muhur arditātmanāṃ	prAKyAhi duHKEH muhur ardita AtmanAm
   saṅkleśa nirvāṇam uśanti nānyathā || [BhP 1.5.40]	saFkleSa  nirvANam uSanti na anyaTA || [Bhj 1.5.40]
   vidāṃ viduṣām |	vidAm viduzAm |
   || 1.5 || śrī nāradaḥ śrī vyāsam || 116 117 ||	|| 1.5 || SrI nAradaH SrI  vyAsam || 116 117 ||
   śrī vyāso'pi tan mahā purāṇa pracāraṇārambhe bhaktim eva parama śreyaḥ 	SrI  vyAsaH api tan  mahA  purANa  pracAraNa AramBe Baktim eva parama  SreyaH 
   pradatvena samādhāv anubhūtavān iti prathama sandarbhe darśitaṃ bhakti 	pradatvena samADO anuBUtavAn iti praTama sandarBe darSitam Bakti 
   yogena manasi [BhP 1.7.4] ity ādi prakaraṇe | tathaiva ko lābha iti	yogena manasi [Bhj 1.7.4] iti  Adi prakaraNe | taTA eva kaH lABaH iti
   praśnāntaraṃ 11.19.28] śrī bhagavataiva sammatam | bhago me [BhP 11.19.37]	praSna antaram 11.19.28] SrI  BagavatA eva sammatam | BagaH me [Bhj 11.19.37]
   ity ādau lābho mad bhaktir uttamaḥ [BhP 11.19.37] iti | spaṣṭam ||	iti AdO lABaH mad BaktiH uttamaH [Bhu 11.19.37] iti | spazwam ||
   || 11.19 || śrī bhagavān || 118 ||	|| 11.19 || SrI  BagavAn || 118 ||
   ataeva svagataṃ vicārayati sma   	ataeva sva gatam vicArayati sma   
   kiṃ vā bhāgavatā dharmā na prāyeṇa nirūpitāḥ |	kim vA BAgavatAH DarmAH na prAyeNa nirUpitAH |
   priyāḥ paramahaṃsānāṃ ta eva hy acyuta priyāḥ || [BhP 1.4.31]	priyAH paramahaMsAnAm te eva hi acyuta  priyAH || [Bhj 1.4.31]
   spaṣṭam |	spazwam |
   || 1.4 || śrī vyāsaḥ || 119 ||	|| 1.4 || SrI  vyAsaH || 119 ||
   aśeṣopadeṣṭur api tad upadeśenaiva bhagavataḥ parama utkarṣa ucyate |	aSeza upadezwuH api tad  upadeSena eva BagavataH paramaH utkarzaH ucyate |
   yathā    jitam ajita tadā bhavatā yad āha bhāgavataṃ dharmam anavadyam	yaTA   jitam ajita tadA BavatA yat Aha BAgavatam Darmam anavadyam
   [BhP 6.16.40] iti | jitam ity atra bhavateti jñeyam | āhety atra bhagavān	[Bhj 6.16.40] iti | jitam iti atra BavatA iti jQeyam | Aha iti atra BagavAn
   iti |	iti |
   || 6.16 || citraketuḥ śrī saṅkarṣaṇam || 120 ||	|| 6.16 || citraketuH SrI  saFkarzaNam || 120 ||
   tad evaṃ bhakter evābhidheyatvaṃ sthitam | tatra yad bahutra karmādi 	tat evam BakteH eva aBiDeya tvam sTitam | tatra yat bahutra karma Adi 
   miśratvena tad dharma upadiśyate, tat tu tat tan mārga niṣṭhān bhakti 	miSra tvena tat DarmaH upadiSyate, tat tu tat tan  mArga  nizWAn Bakti 
   sambandhena kṛtārthayituṃ tān eva kāṃścid bhakty āsvādanena śuddhāyām	sambanDena kRta arTayitum tAn eva kAMScid Bakti  AsvAdanena SudDAyAm
   eva bhaktau pravartayituṃ ceti jñeyam | punaś ca sarvatra tasyā	eva BaktO pravartayitum ca iti jQeyam | punar ca sarvatra tasyAH 
   evābhidheyatvaṃ vaktuṃ tadīyo mahimā pūrvatra vyākhyāto'pi krameṇa	eva aBiDeya tvam vaktum tadIyaH mahimA pUrvatra vyAKyAtaH api krameNa
   vyākhyāyate sarvair eva | viśeṣato bhakter anyat tu na kartavyam ity	vyAKyAyate sarvEH eva | viSezataH BakteH anyat tu na kartavyam iti 
   abhiprāyeṇa | tatra tasyāḥ parama dharmatvaṃ sarva kāma pradatvaṃ ca	aBiprAyeNa | tatra tasyAH parama  Darma tvam sarva kAma  prada tvam ca
   etāvān eva loke'smin [BhP 3.25.41] ity ādau | akāmaḥ sarva kāmo vā [BhP	etAvAn eva loke asmin [Bhu 3.25.41] iti AdO | akAmaH sarva kAmaH vA [BhP
   2.3.10] ity ādau, sarvāsām api siddhānāṃ [BhP 10.81.16] ity ādau ca	2.3.10] iti AdO, sarvAsAm api sidDAnAm [Bhj 10.81.16] iti AdO ca
   darśitam	darSitam
   eva | skānde ca śrī sanāt kumāra mārkaṇḍeya saṃvāde  	eva | skAnde ca SrI  sanAt kumAra  mArkaNxeya  saMvAde  
   viśiṣṭaḥ sarva dharmāṇāṃ dharmo viṣṇv arcanaṃ nṛṇām |	viSizwaH sarva DarmANAm DarmaH vizNu  arcanam nRNAm |
   sarva yajña tapo homa tīrtha snānaiś ca yat phalam || (page 55)	sarva yajQa  tapo  homa  tIrTa  snAnEH ca yat Palam || (page 55)
   tat phalaṃ koṭi guṇitaṃ viṣṇuṃ sampūjya cāpnuyāt |	tat Palam kowi  guNitam vizNum sampUjya ca ApnuyAt |
   tasmāt sarva prayatnena nārāyaṇam ihārcayet ||	tasmAt sarva  prayatnena nArAyaNam iha arcayet ||
   bṛhan nāradīye ca   	bRhan  nAradIye ca   
   aśvamedha sahasrāṇāṃ sahasraṃ yaḥ karoti vai |	aSvameDa  sahasrANAm sahasram yaH karoti vE |
   na tat phalam avāpnoti mad bhaktair yad avāpyate || iti |	na tat Palam avApnoti mad BaktEH yat avApyate || iti |
   aśubhaghnatvam api sadhrīcīno hy ayaṃ loke panthāḥ [BhP 6.1.15] ity ādau	aSuBa Gna tvam api saDrIcInaH hi ayam loke panTAH [Bhu 6.1.15] iti AdO
   darśitam | ṭīkā ca   ato na jñāna mārga ivāsahāyatā nimittaṃ bhayaṃ nāpi	darSitam | wIkA ca  atas na jQAna  mArgaH iva asahAya tA  nimittam Bayam na api
   karma mārgavan matsarādi yuktebhyo bhayam iti bhāvaḥ ity eṣā |	karma  mArga van  matsara Adi  yukteByaH Bayam iti BAvaH iti ezA |
   tathā ca skānde dvārakā māhātmye parameśvara vākyam  	taTA ca skAnde dvArakA mAhAtmye parameSvara  vAkyam  
   mad bhaktiṃ vahatāṃ puṃsām iha loke pare'pi vā |	mad Baktim vahatAm puMsAm iha loke pare api vA |
   nāśubhaṃ vidyate loke kula koṭiṃ nayed divam || iti |	na aSuBam vidyate loke kula  kowim nayet divam || iti |
   śrī viṣṇu purāṇe  	SrI  vizNu purANe  
   smṛte sakala kalyāṇa bhājanaṃ yatra jāyate |	smRte sakala  kalyANa  BAjanam yatra jAyate |
   puruṣaṃ tam ajaṃ nityaṃ vrajāmi śaraṇaṃ harim || [ViP 5.17.17]	puruzam tam ajam nityam vrajAmi SaraNam harim || [ViS 5.17.17]
   sarvāntarāya nivārakatvam āhuḥ  	sarva antara aya  nivAraka tvam AhuH  
   tathā na te mādhava tāvakāḥ kvacid	taTA na te mADava tAvakAH kvacid 
   bhraśyanti mārgāt tvayi baddha sauhṛdāḥ |	BraSyanti mArgAt tvayi badDa  sOhRdAH |
   tvayābhiguptā vicaranti nirbhayā	tvayA aBiguptAH vicaranti nirBayA
   vināyakānīkapa mūrdhasu prabho || [BhP 10.2.33]	vinAyaka anIka pa  mUrDasu praBo || [Bhj 10.2.33]
   pūrvaṃ ye'nye'ravindākṣa [BhP 10.2.26*] ity ādinā muktānām api bhagavad 	pUrvam ye anye aravinda akzaH [Bhj 10.2.26*] iti AdinA muktAnAm api Bagavat  
   anādareṇa pāramārthiko bhraṃśa uktaḥ | bhaktānāṃ sa nāstīty āha tatheti |	anAdareNa pAramArTikaH BraMSaH uktaH | BaktAnAm sa na asti iti Aha taTA iti |
   tathā pūrvaṃ ārūḍha parama padatvāvasthāto'pi bhraśyanti tathā tāvakā	taTA pUrvam ArUXa  parama  pada tva avasTAtaH api BraSyanti taTA tAvakA
   mārgāt sādhanāvasthāto'pi na bhraśyantīty arthaḥ | śrī vṛtra gajendra 	mArgAt sADana avasTAtaH api na BraSyanti iti arTaH | SrI vRtra  gaja indra 
   bharatādīnāṃ saj janmato bhraṃśe'pi bhakti vāsanānugati darśanāt |	Barata AdInAm saj janmataH BraMSe api Bakti  vAsanA anugati  darSanAt |
   muktā api prapadyante punaḥ saṃsāra vāsanām |	muktAH api prapadyante punar saMsAra  vAsanAm |
   yady acintya mahā śaktau bhagavaty aparādhinaḥ ||	yadi acintya  mahA  SaktO Bagavati aparADinaH ||
   teṣāṃ tu punaḥ saṃsāravāsanānugateḥ | yatas tvayi baddha sauhṛdāḥ |	tezAm tu punar saMsAra vAsanA anugateH | yatas tvayi badDa  sOhRdAH |
   sauhṛdam atra śraddhā | mārgād iti sādhakatva pratīter eva | tvad baddha 	sOhRdam atra SradDA | mArgAt iti sADaka tva  pratIteH eva | tvad  badDa 
   sauhṛdatvād eva tvayety ādi | tathoktaṃ tvāṃ sevatāṃ sura kṛtāḥ [BhP	sOhRda tvAt eva tvayA iti Adi | taTA uktam tvAm sevatAm sura kRtAH [BhP
   ity ādau | dhāvan nimīlya vā netre na skhalen na patet [BhP 11.2.33] ity	iti AdO | DAvat nimIlya vA netre na sKalet na patet [Bhj 11.2.33] iti 
   ādau	AdO
   ca |	ca |
   || 10.2 || śrī brahmādayaḥ śrī bhagavantam || 121 ||	|| 10.2 || SrI  brahma AdayaH SrI  Bagavantam || 121 ||
   na vai jātu mṛṣaiva syāt prajādhyakṣa mad arhaṇam |	na vE jAtu mRzA eva syAt prajADyakza mad  arhaNam |
   bhavad vidheṣv atitarāṃ mayi saṅgṛbhitātmanām || [BhP 3.21.24]	Bavat  viDezu atitarAm mayi saFgRBita AtmanAm || [Bhj 3.21.24]
   mayi saṃgṛbhitaḥ saṃgṛhīto baddha ātmā yeṣām | tathā bādhyamāno'pi [BhP	mayi saMgRBitaH saMgRhItaH badDaH AtmA yezAm | taTA bADyamAnaH api [BhP
   11.14.17] ity ādikam atrodāharaṇīyam | atra prāyo bādhyamānatvaṃ kadācit	11.14.17] iti Adikam atra udAharaNIyam | atra prAyas bADyamAna tvam kadAcid 
   tad dhyānādita ākṛṣyamāṇatvam eva gamyate | tathāpy anabhibhūtatvaṃ veda	tad  DyAna Aditas AkRzyamANa tvam eva gamyate | taTA api anaBiBUta tvam veda
   duḥkhātmakān kāmān parityāge'py anīśvaraḥ [BhP 11.20.27] ity ādi 	duHKa AtmakAn kAmAn parityAge api anISvaraH [Bhj 11.20.27] iti  Adi 
   nyāyena | tatrāpi bhagavantaṃ prati nija dainyādi vedanādinā bhakter	nyAyena | tatra api Bagavantam prati nija  dEnya Adi  vedana AdinA BakteH 
   evānuvṛttir iti jñeyam |	eva anuvRttiH iti jQeyam |
   || 3.21 || śrī śukaḥ kardamam || 122 ||	|| 3.21 || SrI  SukaH kardamam || 122 ||
   duṣṭa jīvādi bhaya nivārakatvam āha  	duzwa  jIva Adi  Baya  nivAraka tvam Aha  
   dig gajair dandaśūkendrair abhicārāvapātanaiḥ |	diS  gajEH dandaSUka indrEH aBicAra avapAtanEH |
   māyābhiḥ sannirodhaiś ca gara dānair abhojanaiḥ || (page 56)	mAyABiH sanniroDEH ca gara dAnEH aBojanEH || (page 56)
   hima vāyv agni salilaiḥ parvatākramaṇair api |	hima  vAyu  agni  salilEH parvata AkramaNEH api |
   na śaśāka yadā hantum apāpam asuraḥ sutam ||	na SaSAka yadA hantum apApam asuraH sutam ||
   cintāṃ dīrghatamāṃ prāptas tat kartuṃ nābhyapadyata | [BhP 7.5.43 45]	cintAm dIrGatamAm prAptaH tat kartum na aByapadyata | [Bhj 7.5.43 45]
   atra dantā gajānāṃ kuliśāstra niṣṭhurāḥ [ViP 1.17.44] ity ādikaṃ vaiṣṇava 	atra dantAH gajAnAm kuliSa astra nizWurAH [ViS 1.17.44] iti Adikam vEzNava 
   vacana jātam anusandheyam | na yatra śravaṇādīni [BhP 10.6.3] ity ādikaṃ	vacana jAtam anusanDeyam | na yatra SravaNa AdIni [Bhj 10.6.3] iti Adikam
   ca |	ca |
   yathā bṛhan nāradīye  	yaTA bRhan  nAradIye  
   yatra pūjā paro viṣṇor vahnis tatra na bādhate |	yatra pUjA a  paraH vizNoH vahniH tatra na bADate |
   rājā vā taskaro vāpi vyādhayaś ca na santi hi ||	rAjA vA taskaraH vA api vyADayaH ca na santi hi ||
   pretāḥ piśācāḥ kūṣmāṇḍa grahā bāla grahās tathā |	pretAH piSAcAH kUzmANxa  grahAH bAla  grahAH taTA |
   ḍākinyo rākṣasāś caiva na bādhante'cyutārcakam || [NārP 1.10.8 9]	xAkinyaH rAkzasAH ca eva na bADante acyuta arcakam || [NA arP 1.10.8 9]
   || 7.5 || śrī nāradaḥ śrī yudhiṣṭhiram || 123 ||	|| 7.5 || SrI nAradaH SrI yuDizWiram || 123 ||
   tathā  	taTA  
   śārīrā mānasā divyā vaiyāse ye ca mānuṣāḥ |	SArIrAH mAnasAH divyAH vEyAse ye ca mAnuzAH |
   bhautikāś ca kathaṃ kleśā bādhante hari saṃśrayam || [BhP 3.22.37]	BOtikAH ca kaTam kleSAH bADante hari  saMSrayam || [Bhj 3.22.37]
   evam apy uktaṃ gāruḍe  	evam api uktam gAruxe  
   na ca durvāsasaḥ śāpo vajraṃ cāpi śacīpateḥ |	na ca durvAsasaH SApaH vajram ca api SacIpateH |
   hantuṃ samarthaṃ puruṣaṃ hṛdisthe madhusūdane || [GarP 1.234.33] iti |	hantum samarTam puruzam hRdisTe maDusUdane || [GA rP 1.234.33] iti |
   || 3.22 || śrī maitreyo viduram || 124 ||	|| 3.22 || SrI mEtreyaH viduram || 124 ||
   atha pāpaghnatve tāvad aprārabdha pāpaghnatvam āha  	aTa pApa Gna tve tAvat aprArabDa   pApa Gna tvam Aha  
   yathāgniḥ su samṛddhārciḥ karoty edhāṃsi bhasmasāt |	yaTA agniH su samRdDArciH karoti eDAMsi BasmasAt |
   tathā mad viṣayā bhaktir uddhavaināṃsi kṛtsnaśaḥ || [BhP 11.14.19]	taTA mad  vizayA BaktiH udDava enAMsi kRtsnaSas || [Bhj 11.14.19]
