   śāstrasaṃgrahaḥ prathamo 'dhyāyaḥ 1	SAstra-saMgrahaH praTamaH aDyAyaH 1
   saṃskāro hi sarvasya guṇamutkarṣayati /	saMskAraH hi sarvasya guNam-utkarzayati /
   dvādaśavarṇamapi suvarṇaṃ pāvakapākena hemībhavati /	dvAdaSa-varNam-api suvarNam pAvaka-pAkena hemIBavati /
   śeṣā grāhyāḥ /	SezAH grAhyAH /
   svabhāvaśuddhaṃ hi na saṃskāramapaikṣate /	svaBAva-SudDam hi na saMskAram-apEkzate /
   na muktāmaṇeḥ śāṇastāratāyai prabhavati /	na muktAmaNeH SANaH-tAratAyE praBavati /
   anavasthitapākaṃ punaḥ kapitthapākamāmaninti /	anavasTita-pAkam punar kapitTa-pAkam-Amaninti /
   tatra palāladhūnanena annakaṇalābhavatsubhāṣitalābhaḥ /	tatra palAla-DUnanena anna-kaNalA-Bavat-su-BAzita-lABaH /
   sabhyagabhyasyataḥ kāvyaṃ navadhā paripacyate /	saByak-aByasyataH kAvyam navaDA paripacyate /
   hānopādānasūtreṇa vibhajettaddhi buddhimān //	hAna-upAdAna-sUtreNa viBajet-tat-hi budDimAn //
   ayamatraiva śiṣyāṇāṃ darśitastraghividho vidhiḥ /	ayam-atra-eva SizyANAm darSita-straGiviDaH viDiH /
   kintu vaividhyamapyetatghatrijagatyasya varttate //	kintu vEviDyam-api-etat-Ga-trijagati-asya varttate //
   iti rājaśekharakṛtau kāvyamīmāṃsāyāṃ kavirahasye prathame 'dhikaraṇe	iti rAja-SeKara-kRtO kAvya-mImAMsAyAm kavi-rahasye praTame aDikaraNe
   vyutpattikavipākānāṃ nirupaṇaṃ pañcamo 'dhyāyaḥ //	vyutpattika-vipAkAnAm nirupaNam paQcamaH aDyAyaH //
   ____________________________ Adhyaya 6 _____________________________	____________________________ ADyaya 6 _____________________________
   padavākyavivekaḥ	pada-vAkya-vivekaH
   ṣaṣṭho 'dhyāyaḥ 6	zazWaH aDyAyaH 6
   padavākyavivekaḥ vyākaraṇasmṛtinirṇītaḥ śabdo	pada-vAkya-vivekaH vyAkaraNa-smRti-nirNItaH SabdaH-
   niruktanighaṇṭvādibhirnirdiṣṭastadabhidheyo 'rthastau padam /	nirukta-niGaNwvAdiBiH-nirdizwaH-tad-aBiDeyaH arTaH-tO padam /
   tasya pañca vṛttayaḥ subvṛttiḥ, samāsavṛttiḥ, taddhitavṛttiḥ, kṛdvṛttiḥ,	tasya paQca vRttayaH subvRttiH, samAsa-vRttiH, tad-hita-vRttiH, kRt-vRttiH,
   tiṅvṛttiśca /	tiFvRttiH-ca /
   gauraśvaḥ puruṣo hastīti jātivācinaḥ śabdāḥ /	gOH-aSvaH puruzaH hastI-iti jAti-vAcinaH SabdAH /
   haro harirharaṇyagarbhaḥ kāla ākāśaṃ digiti dravyavācinaḥ /	haraH hariH-haraNyagarBaH kAlaH AkASam diS-iti dravya-vAcinaH /
   śvetaḥ kṛṣṇo raktaḥ pīta iti ca guṇavācinuḥ /	SvetaH kRzNaH raktaH pItaH iti ca guNa-vAcinuH /
   pācakaḥ pāṭhaka iti kriyāvācinaḥ prādayaścādayaśvāsattvavacanāḥ /	pAcakaH pAWakaH iti kriyA-vAcinaH prAdayaH-ca-Adaya-SvA-sattva-vacanAH /
   nagaramupa prasthitaḥ panthāḥ, vṛkṣamanu dyotate vidyuditi	nagaram-upa prasTitaH panTAH, vRkzam-anu dyotate vidyut-iti
   karmapravacanīyāḥ /	karma-pravacanIyAH /
   "seyaṃ subvṛttiḥ pañcatayyapi vāṅmayasya mātā"iti vidvāṃsaḥ /	"sA-iyam su-bvRttiH paQcatayi-api vAc-mayasya mAtA"iti vidvAMsaH /
   subvṛttireva samāsavṛttiḥ /	subvRttiH-eva samAsa-vRttiH /
   vyāsasamāsāvesānayorbhedahetū /	vyAsa-samAsa-AvesAnayoH-Beda-hetU /
   sā ca ṣoḍhā dvandādibhedena /	sA ca zoXA dvanda-Adi-Bedena /
   tatra paṭsamāsīsamāsasūktam-	tatra pawsamAsI-sa-mAsasUktam-
   "dvando 'smi dvigurasmi ca gṛhe ca me satatamavyayībhāvaḥ /	"dvandaH asmi dvi-guH-asmi ca gRhe ca me satatam-avyayIBAvaH /
   tatpuruṣa karma dhāraya yenāṅgaṃ syāṃ bahuvrīhiḥ" //	tatpuruza karma DAraya yena-aFgam syAm bahuvrIhiH" //
   tadvitavṛttiḥ punaranantā /	tad-vita-vRttiH punar-anantA /
   taddhi śāstraprāyovādo yadutataddhitamūḍhāḥ pāṇinīyāḥ /	tat-hi SAstra-prAyovAdaH yat-uta-tat-hita-mUXAH pANinIyAH /
   māñjiṣṭaṃ raucanikaṃ sauraṃ saindhavaṃ vaiyāsīyamiti vaddhitāntāḥ /	mAQjizwam rOcanikam sOram sEnDavam vEyAsIyam-iti vadDita-antAH /
   prātipadikaviṣayā ceyam /	prAtipadika-vizayA ca-iyam /
   kṛdvṛttiśca dhātuviṣayā /	kRt-vRttiH-ca DAtu-vizayA /
   karttā harttā kumbhakāro nagarakāra iti kṛdantāḥ /	karttA harttA kumBakAraH nagara-kAraH iti kRdantAH /
   tiṅvṛttirdaśadhā daśalakārībhedena /	tiFvRttiH-daSaDA daSalakArI-Bedena /
   dvidhā ca sā dhātusubdhātuviṣayatvena /	dviDA ca sA DAtu-subDAtu-vizaya-tvena /
   apākṣīt pacati pakṣyatīti dhātavīyānyākhyātāni /	apAkzIt pacati pakzyati-iti DAtavIyAni-AKyAtAni /
   apallavayat pallavayati pallavayiṣyatīti saubdhātavīyāni /	apallavayat pallavayati pallavayizyati-iti sObDAtavIyAni /
   tadidamitthaṅkāraṃ pañcaprakāramapi padajātaṃ mithaḥ	tat-idam-itTaFkAram paQca-prakAram-api pada-jAtam miTas-
   samantrīyamānamānantyāya kalpate /	sa-mantrIyamAnam-AnantyAya kalpate /
   tajjanmā caiṣa viduṣāṃ vādo yatkila divyaṃ samāsahasraṃ bṛhaspatirvaktā	tad-janmA ca-eza viduzAm vAdaH yat-kila divyam samA-sahasram bRhaspatiH-vaktA
   śatakraturadhyetā tathāpi nāntaḥ śabdarāśerāsīt /	SatakratuH-aDyetA taTA-api na-antar SabdarASeH-AsIt /
   tatra dayitasubvṛttayo vidarbhāḥ /	tatra dayita-subvRttayaH vidarBAH /
   vallabhasamāsavṛttayo gauḍāḥ /	vallaBa-samAsa-vRttayaH gOxAH /
   priyataddhitā dākṣiṇātyāḥ /	priya-tad-hitAH dAkziNAtyAH /
   kṛtprayogarucaya udīcyāḥ /	kRt-prayoga-rucayaH udIcyAH /
   abhīṣṭatiṅgavṛttayaḥ sarve 'pi santaḥ /	aBIzwa-tiFga-vRttayaH sarve api santaH /
   teṣāṃ ca viśeṣalakṣaṇānusandhānenāvarddhatākhyātagaṇaḥ /	tezAm ca viSeza-lakzaNa-anusanDAnena-avardData-AKyAta-gaNaH /
   uktañca-	uktaQca-
   "viśeṣalakṣaṇavidāṃ prayogāḥ pratibhānti ye /	"viSeza-lakzaNa-vidAm prayogAH pratiBAnti ye /
   ākhyātarāśistaireṣa pratyahaṃ hyupacīyate" //	AKyAta-rASiH-tEH-eza pratyaham hi-upacIyate" //
   padānāmabhidhitsitārthagranthanākaraḥ sandarbho vākyam /	padAnAm-aBiDitsita-arTa-granTana-AkaraH sandarBaH vAkyam /
   "tasya ca tridhābhidhāvyāpāraḥ" ityaudbhaṭāḥ /	"tasya ca triDA-aBiDA-vyApAraH" iti-OdBawAH /
   vaibhaktaḥ śāktaḥ śaktivibhaktimayaśca /	vEBaktaH SAktaH Sakti-viBakti-mayaH-ca /
   pratipadaṃ śrūyamāṇāsūpapadavibhaktiṣu kārakavibhaktiṣu vā vaibhaktaḥ /	pratipadam SrUyamANA-su-upapada-viBaktizu kAraka-viBaktizu vA vEBaktaH /
   lutpāsvapi vibhaktiṣu samāsasāmarthyāttadarthāvagatau śāktaḥ /	lutpAsu-api viBaktizu samAsa-sAmarTyAt-tad-arTa-avagatO SAktaH /
   ubhayātmā ca śaktivibhaktimayaḥ /	uBaya-AtmA ca Sakti-viBakti-mayaH /
   tatra vaibhaktaḥ-	tatra vEBaktaH-
   "namastasmai varāhāya līlayoddharate mahīm /	"namaH-tasmE varAhAya lIlayA-udDarate mahIm /
   khurayormadhyago yasya meruḥ khaṇakhaṇāyate" //	KurayoH-maDya-gaH yasya meruH KaNa-KaNa-Ayate" //
   śaktiḥ-	SaktiH-
   "vitrastaśatruḥ spṛhayālulokaḥ prapannasāmanta udagrasattvaḥ /	"vitrasta-SatruH spRhayAlu-lokaH prapanna-sAmantaH udagra-sattvaH /
   adhiṣṭitaudāryaguṇo 'sipatrajitāvanirnāsti nṛpastvadanyaḥ" //	aDizwita-OdArya-guNaH asi-patrajita-avanirna-asti nRpaH-tvad-anyaH" //
   yathā vā-	yaTA vA-
   "kaṇṭhadolāyitoddāmanīlendīvaradāmakāḥ /	"kaNWa-dolAyita-uddAma-nIla-indIvara-dAmakAH /
   haribhītyāśritāśeṣakāliyāhikulā iva" //	hari-BIti-ASrita-aSeza-kAliyAhi-kulAH iva" //
   śaktivibhaktimayaḥ-	Sakti-viBakti-mayaH-
   "athāgādekadā spaṣṭacaturāśāmukhadyutiḥ /	"aTa-agAt-ekadA spazwa-caturASA-muKa-dyutiH /
   taṃ brahmeva śaratkālaḥ protphullakamalāsanaḥ" //	tam brahmA-iva Sarad-kAlaH protPulla-kamala-AsanaH" //
   tatra vākyaṃ daśadhā /	tatra vAkyam daSaDA /
   ekākhyātam, anekākhyātam, āvṛttākhyātam, ekābhidheyākhyātaṃ,	eka-AKyAtam, aneka-AKyAtam, AvRtta-AKyAtam, eka-aBiDeya-AKyAtaM,
   pariṇatākhyātam, anuvṛttākhyātaṃ, samucutākhyātam, adhyāhṛtākhyātaṃ,	pariNata-AKyAtam, anuvRtta-AKyAtaM, samucutA-AKyAtam, aDyAhRta-AKyAtaM,
   kṛdabhihitākhyātam, anapekṣitākhyātamiti //	kRt-aBihita-AKyAtam, anapekzita-AKyAtam-iti //
   tatraikākhyātam-	tatra-ekAKyAtam--
   "jayatyekapadākrāntasamastabhuvanatrayaḥ /	"jayati-eka-pada-AkrAnta-samasta-Buvana-trayaH /
   dvitīyapadavinyāsavyākulābhinayaḥ śivaḥ" //	dvitIya-pada-vinyAsa-vyAkula-aBinayaH SivaH" //
   anekākhyātam-	aneka-AKyAtam-
   tacca dvidhā sāntaraṃ nirantaram //	tat-ca dviDA sAntaram nirantaram //
   tayoḥ prathamam-	tayoH praTamam-
   "devāsurāstamatha manthagirāṃ virāme padmāsanaṃ jaya jayeti babhāṣire ca /	"deva-asurAH-tam-aTa manTa-girAm virAme padmAsanam jaya jaya-iti baBAzire ca /
   prāgbhejire ca parito bahu menire ca ṭa svāgresaraṃ vidadhire ca vavandire	prAc-Bejire ca paritas bahu menire ca wa sva-agresaram vidaDire ca vavandire
   ca" //	ca" //
   dvitīyam-	dvitIyam-
   "tvaṃ pāsi haṃsi tanuṣe manuṣe bibharṣi vibhrājase sṛjasi saṃharase	"tvam pAsi haMsi tanuze manuze biBarzi viBrAjase sRjasi saMharase
   virauṣi /	virOzi /
   āḥse nirasyasi sarasyasi rāsi lāsi saṅkrīḍase bruḍasi meghasi modase ca"	AHse nirasyasi sarasI-asi rAsi lAsi saFkrIxase bruxasi meGasi modase ca"
   "ākhyātaparatantraghā vākyavṛttirato yāvadākhyātamiha vākyāni" ityācāryāḥ	"a-AKyAta-paratantraGA vAkya-vRttiH-atas yAvat-AKyAtam-iha vAkyAni" iti-AcAryAH
   "ekākāratayā kārakagrāmasyaikārthatayā ca vacovṛtterekamevedaṃ vākyam" iti	"eka-AkAra-tayA kAraka-grAmasya-eka-arTa-tayA ca vacaH-vRtteH-ekam-eva-idam vAkyam" iti
   yāyāvarīyaḥ /	yAyAvarIyaH /
   āvṛttākhyātam-	AvRtta-AKyAtam-
   "jayatyamalakaustubhastabakitāṃsapīṭho harir jayanti ca	"jayati-amala-kOstu-Ba-sta-bakita-aMsa-pIWaH hariH jayanti ca
   mṛgekṣaṇāścaladapāṅgadṛṣṭikramaḥ /	mRga-IkzaNAH-calat-apAFga-dRzwi-kramaH /
   tato jayati mallikā tadanu sarvasaṃvedanā-vināśakaraṇakṣamo jayati	tatas jayati mallikA tadanu sarva-saMvedanA--vinASa-karaNa-kzamaH jayati
   pañcamasya dhvaniḥ" //	paQcamasya DvaniH" //
   ekābhidheyākhyātam-	eka-aBiDeya-AKyAtam-
   "hṛṣyati cūteṣu ciraṃ tuṣyati bakuleṣu bhodate maruti /	"hRzyati cUtezu ciram tuzyati bakulezu Bodate maruti /
   iha hi madhau kalakūjuṣu pikeṣu ca prīyate rāgī" //	iha hi maDO kala-kUjuzu pikezu ca prIyate rAgI" //
   pariṇatākhyātam-	pariNata-AKyAtam-
   "so 'smiñjayati jīvātuḥ pañceṣoḥ pañcamadhvaniḥ /	"saH asmin-jayati jIvAtuH paQca-izoH paQcama-DvaniH /
   te ca caitre vicitrailākakkolīkelayo 'nilāḥ" //	te ca cEtre vicitra-elA-kakkolI-kelayaH anilAH" //
   anuvṛttākhyātam-	anuvRtta-AKyAtam-
   "caranti caturambhodhivelodyāneṣu dantinaḥ /	"caranti catur-amBoDi-velA-udyAnezu dantinaH /
   cakravālādrikuñjeṣu kundabhāso guṇāśca te" //	cakravAla-adri-kuQjezu kunda-BAsaH guNAH-ca te" //
   samucitākhyātam-	samucita-AKyAtam-
   "parigrahabharākrāntaṃ daurgatyagaticoditam /	"parigraha-Bara-AkrAntam dOrgatya-gati-coditam /
   mano gantrīva kupathe cītkaroti ca yāti ca" //	manaH gantrI-iva kupaTe cItkaroti ca yAti ca" //
   yathā ca-	yaTA ca-
   "sa devaḥ sā daṃṣṭrā kiṭikṛtavilāsasmitasitā dvayaṃ diśyāttubhyaṃ	"sa devaH sA daMzwrA kiwi-kRta-vilAsa-smita-sitA dvayam diSyAt-tuByam
   mudamidamudāraṃ jayati ca /	mudam-idam-udAram jayati ca /
   udañcadbhiyastaralitaniveśā vasumattī yadagre	udaQcat-BiyaH-taralita-niveSA vasumattI yat-agre
   yacchravāsairgiriguḍakalīlāmudavahati" //	yat-SravAsEH-giri-guxaka-lIlAm-udavahati" //
   adhyāhṛtākhyātam-	aDyAhRta-AKyAtam-
   "dordaṇḍatāṇḍavabhraṣṭamuḍukhaṇḍaṃ bibharti yaḥ /	"dordaNxa-tANxava-Brazwa-muxuKaNxam biBarti yaH /
   vyastapuṣpāñjalipade candracūḍaḥ śriye sa vaḥ" //	vyasta-puzpa-aQjali-pade candracUxaH Sriye sa vaH" //
   kṛdabhihitākhyātam-	kRt-aBihita-AKyAtam-
   "abhimukhe mayi saṃhṛtamīkṣitaṃ hasitamanyanimittakathodayaṃ /	"aBimuKe mayi saMhRtam-Ikzitam hasitam-anya-nimitta-kaTA-udayam /
   vinayavādhitavṛttiratastayā na vivṛto madano na ca saṃvṛtaḥ" //	vinaya-vADita-vRttiH-atas-tayA na vivRtaH madanaH na ca saMvRtaH" //
   anapekṣitākhyātam-	anapekzita-AKyAtam-
   "kiyanmātraṃ jalaṃ vipra? jānudadhnaṃ narādhipa /	"kiyat-mAtram jalam vipra? jAnu-daDnam narADipa /
   tathāpīyamavasthā te na sarvatragha bhavādṛśāḥ" //	taTA-api-iyam-avasTA te na sarvatraGa BavAdRSAH" //
   guṇavadalaṅkṛtañca vākyameva kāvyam //	guNavat-alaFkRtaQca vAkyam-eva kAvyam //
   "asatyārthābhidhāyitvānnopadeṣṭavyaṃ kāvyam"ityeke //	"asatya-arTa-aBiDAyitvA-anna-upadezwavyam kAvyam-"iti-eke //
   yathā-	yaTA-
   "stemaḥ stoko 'pi nāṅge śrasitamavikalaṃ cakṣuṣāṃ saiva vṛttiḥ	"H-temaH stokaH api na-aFge Srasitam-avikalam cakzuzAm sA-eva vRttiH
   madhyekṣīrābdhi magnāḥ sphutamatha ca vayaṃ ko 'yamīdṛkprakāraḥ /	maDyekzIra-abDi magnAH sPutam-aTa ca vayam kaH ayam-IdRS-prakAraH /
   itthaṃ digbhittirodhakṣatavisaratayā māṃsalaistvadyaśobhiḥ	itTam diS-Bitti-roDa-kzata-visara-tayA mAMsalEH-tvad-yaSoBiH
   stokāvasthānadusthaistrijagati dhavale vismayante mṛgākṣyaḥ" //	stoka-avasTAna-dusTEH-trijagati Davale vismayante mRga-akzyaH" //
   yathā ca -	yaTA ca -
   "bhraśyadbhūgnabhogīśvaraphaṇapavanādhmātapātālatāluḥ	"BraSyat-BUgna-Bogi-ISvara-PaNa-pavana-aDmAta-pAtAla-tAluH
   truṭyannānāgirīndrāvaliśikharakharāsphālalolāmburāśiḥ /	truwi-anna-anAgiri-indra-Avali-SiKara-Kara-AsPAla-lola-amburASiH /
   udyannirandhralīvidhurasuravadhūmucyamānopaśalyaḥ kalyodyogasya yasya	udyat-niranDra-lI-viDura-sura-vaDU-mucyamAna-upaSalyaH kalya-udyogasya yasya
   tribhuvanadamanaḥ sainyasaṃmarda āsīt" //	triBuvana-damanaH sEnya-saMmardaH AsIt" //
   āhuśca-	AhuH-ca-
   "dṛṣṭaṃ kiñcidadṛṣṭamanyadaparaṃ vācālavārttārpitaṃ bhūyastuṇḍapurāṇataḥ	"dRzwam kiQcid-adRzwam-anyat-aparam vAcA-la-vArtta-arpitam BUyas-tuNxa-purANatas-
   pariṇataṃ kiñciñca śāstraśrutam /	pariNatam kiQciQca SAstra-Srutam /
   sūktyā vastu yadatra citraracanaṃ tatkāvyamavyāhataṃ ratnasyeva na tasya	sUktyA vastu yat-atra citraracanam tat-kAvyam-avyAhatam ratnasya-iva na tasya
   janma jaladherno rohaṇādvā gireḥ" //	janma jalaDeH-naH rohaNAt-vA gireH" //
   "na" iti yāyāvarīyaḥ-	"na" iti yAyAvarIyaH-
   "nāsatyaṃ nāma kiñcana kāvye yastu stutyeṣvarthavādaḥ /	"nAsatyam nAma kiQcana kAvye yaH-tu stutyezu-arTa-vAdaH /
   sa na paraṃ kavikarmaṇi śrutau ca śāstre ca loke ca" //	sa na param kavi-karmaNi SrutO ca SAstre ca loke ca" //
   tatra śrautaḥ-	tatra SrOtaH-
   "puṣpiṇyau carato jaṅghe bhūṣṇurātmā phalegrahiḥ /	"puzpiNyO carataH jaFGe BUzNuH-AtmA PalegrahiH /
   śere 'sya sarve pāpmānaḥ śrameṇa prapathe hṛtāḥ" //	Sere asya sarve pApmAnaH SrameNa prapaTe hRtAH" //
   śāstrīyaḥ-	SAstrIyaH-
   "āpaḥ pavitraṃ prathamaṃ pṛthivyāmapāṃ pavitraṃ paramaṃ ca mantrāḥ /	"ApaH pavitram praTamam pRTivyAm-apAm pavitram paramam ca mantrAH /
   teṣāṃ ca sāmargyajuṣāṃ pavighatraṃ maharṣayo vyākaraṇaṃ nirāhuḥ" //	tezAm ca sAmargya-juzAm pavi-Gatram mahA-RzayaH vyAkaraNam nirAhuH" //
   kiñca-	kiQca-
   "yastu prayuṅkte kuśalo viśeṣe śabdānyathāvadvayavahārakāle /	"yaH-tu prayuFkte kuSalaH viSeze SabdAni-aTAvadvaya-vahAra-kAle /
   so 'nantamānpoti jayaṃ paraghatra vāgyogaviduṣyati cāpaśabdaiḥ" //	saH anantamAnpoti jayam para-Gatra vAc-yoga-viduzyati cApa-SabdEH" //
   "kaḥ? /	"kaH? /
   vāgyogavideva /	vAc-yoga-vid-eva /
   kuta etat ? /	kutas etat ? /
   yohi śabdāñjānātyapaśabdānapyasau jānāti /	yohi SabdAn-jAnAti-apaSabdAn-api-asO jAnAti /
   yathaiva hi śabdajñāne dharmaḥ, evamapaśabdajñaghānepyadharmaḥ /	yaTA-eva hi Sabda-jQAne DarmaH, evam-apaSabda-jQa-GAnepya-DarmaH /
   athavā bhūyānadharmaḥ prānpoti /	aTavA BUyAna-DarmaH prAn-poti /
   bhūyāṃso hṛpaśabdā alpīyāṃsaḥ śabdāḥ /	BUyAMsaH hRpa-SabdAH alpIyAMsaH SabdAH /
   ekaikasya hi śabdasya bahavo 'prabhraṃśāḥ /	ekEkasya hi Sabdasya bahavaH apraBraMSAH /
   tadyathā /	tat-yaTA /
   gaurityasya śabdasya gāvo goṇī gotā gopātaliketyevamādayo 'pabhraṃśāḥ /	gOrityasya Sabdasya gAvaH goNI gotAH gopAtalikA-iti-evamAdayaH apaBraMSAH /
   atha yo 'vāgyogavid ajñānaṃ tasya śaraṇam /	aTa yaH avAc-yoga-vid ajQAnam tasya SaraNam /
   viṣama upanyāsaḥ /	vizamaH upanyAsaH /
   nātyantāyājñānaṃ śaraṇaṃ bhavitumarhati /	na-atyantAya-ajQAnam SaraNam Bavitum-arhati /
   yo hyajānanvai brāhmaṇaṃ hanyātsurāṃ vā pibetse 'pi manye patitaḥ syāt /	yaH hi-ajAnan-vE brAhmaNam hanyAt-surAm vA pibet-se api manye patitaH syAt /
   evaṃ tarhi so 'nantamāpnoti jayaṃ paratra vāgyogavidduṣyati cāpaśabdaiḥ /	evam tarhi saH anantam-Apnoti jayam paratra vAc-yoga-vid-duzyati cApa-SabdEH /
   kaḥ? /	kaH? /
   avāgyogavideva /	avAc-yoga-vid-eva /
   atha yo vāgyogavid vijñaghānaṃ tasya śaraṇam /	aTa yaH vAc-yoga-vid vijQaGAnam tasya SaraNam /
   kva punaridaṃ paṭhitam? /	kva punar-idam paWitam? /
   bhrājā nāma ślokāḥ /	BrAjA nAma SlokAH /
   kiñca bhoḥ ślokā api pramāṇam? /	kiQca BoH SlokAH api pramANam? /
   kiñcātaḥ? /	kiQca-ataH? /
   yadi pramāṇamayamapi ślokaḥ pramāṇaṃ bhavitumarhati /	yadi pramANa-mayam-api SlokaH pramANam Bavitum-arhati /
   " "yadyudumbaravarṇānāṃ ghaṭīnāṃ maṇḍalaṃ mahat /	" "yadi-udumbara-varNAnAm GawInAm maNxalam mahat /
   pītaṃ na gamayetsvargaṃ kiṃ tatkratugataṃ nayet" //	pItam na gamayet-svargam kim tad-kratu-gatam nayet" //
   iti /	iti /
   "pramattagīta eṣa tatrabhavato yastvapramattagītastatpramāṇameva"iti	"pramatta-gItaH eza tatraBavataH yaH-tu-apramatta-gItaH-tad-pramANam-eva"-iti
   gonardīyaḥ /	gonardIyaH /
   laukikaḥ-	lOkikaH-
   "guṇānurāgamiśreṇa yaśasā tava sarpatā /	"guNa-anurAga-miSreNa yaSasA tava sarpatA /
   digvadhūnāṃ mukhe jātamakasmādarddhakuṅkumam" //	diS-vaDUnAm muKe jAtam-akasmAt-ardDa-kuFkumam" //
   "asadupadeśakatvāttarhi nopadeṣṭavyaṃ kāvyam" ityapare /	"asat-upadeSaka-tvAt-tarhi na-upadezwavyam kAvyam" iti-apare /
   yathā evaṃ-	yaTA evaM-
   "vayaṃ bāvye ḍimbhāṃstaruṇimani yūnaḥ pariṇatāv apīcchāmo	"vayam bAvye ximBAn=-taruNimani yUnaH pariNatO api-icCAmaH-
   dṛddhānpariṇayavidhestu sthitiriyam /	dRdDAn-pariNaya-viDeH-tu sTitiH-iyam /
   tvayārabdhaṃ janma kṣapayitumamārgeṇa kimidaṃ na no goghatre putri	tvayA-ArabDam janma kzapayitum-amArgeNa kim-idam na naH go-Gatre putri
   kvacidapi satīlāñchanamabhūt" //	kvacid-api satI-lAn-Canam-aBUt" //
   "astyayamupadeśaḥ kintu niṣedhyatvena na vidhetvena" iti yāyāvarīyaḥ /	"asti-ayam-upadeSaH kintu nizeDya-tvena na viDetu-ena" iti yAyAvarIyaH /
   ya evaṃvidhā vidhayaḥ parastrīṣu puṃsāṃ sambhavanti tānavabudhyeteti	yaH evaMviDAH viDayaH para-strIzu puMsAm samBavanti tAn-avabuDyeta-iti
   kavīnāṃ bhāvaḥ /	kavInAm BAvaH /
   kiñca kavivacanāyattā lokayātrā /	kiQca kavi-vacana-AyattA lokayAtrA /
   "sā ca niḥśreyasamūlam" iti maharṣayaḥ /	"sA ca niHSreyasa-mUlam" iti mahA-RzayaH /
   yadāhuḥ-	yat-AhuH-
   "kāvyamayyo giro yāvañcaranti viśadā bhuvi /	"kAvya-mayyaH giraH yAvaQcaranti viSadAH Buvi /
   tāvatsārasvataṃ sthānaṃ kavirāsādya modate" //	tAvat-sArasvatam sTAnam kaviH-Asa-adya modate" //
   kiñca-	kiQca-
   "śrīmanti rājñāṃ caritāni yāni prabhutvalālāśva sudhāśināṃ yāḥ /	"SrImanti rAjQAm caritAni yAni praBu-tva-lAlA-aSva suDA-ASinAm yAH /
   ye ca prabhāvāstapasāmṛṣīṇāṃ tāḥ satkavibhyaḥ śrutayaḥ prasūtāḥ" //	ye ca praBAvAH-tapasAm-RzINAm tAH sat-kaviByaH SrutayaH prasUtAH" //
   uktañca-	uktaQca-
   "khyātā narādhipatayaḥ kavisaṃśrayeṇa rājāśrayeṇa ca gatāḥ kavayaḥ	"KyAtAH nara-aDipatayaH kavi-saMSrayeNa rAja-ASrayeNa ca gatAH kavayaH
   prasiddhim /	prasidDim /
   rājñā samo 'sti na kaveḥ paramopakārī rājñe na cāsti kavinā sadṛśaḥ	rAjQA samaH asti na kaveH parama-upakArI rAjQe na ca-asti kavinA sadRSaH
   sahāyaḥ" //	sahAyaH" //
   "balmīkajanmā sa kaviḥ purāṇaḥ kavīśvaraḥ satyavatīsutaśca /	"balmIka-janmA sa kaviH purANaH kavi-ISvaraH satyavatI-sutaH-ca /
   yasya praṇetā tadihānavadyaṃ sārasvataṃ vartma na kasya vandyam ?" //	yasya praNetA tat-iha-anavadyam sArasvatam vartma na kasya vandyam ?" //
   "asabhyārthābhidhāyitvānnopadeṣṭavyaṃ kāvyam" iti ca kecit /	"asaBya-arTa-aBiDAyitvA-anna-upadezwavyam kAvyam" iti ca kecid /
   yathā-	yaTA-
   "prasarpanpragrīvairbhṛtabhruvanakukṣirjhaṇajhaṇā-karālaḥ prāgalbhyaṃ	"prasarpan-pragrIvEH-BRta-Bruvana-kukziH-JaNa-JaNA--karAlaH prAgalByam
   vadati taruṇīnāṃ praṇayiṣu /	vadati taruNInAm praNayizu /
   vilāsavyatyāsājjaghanaphalakāsphālanaghana-sphudacchedotsoktaḥ	vilAsa-vyatyAsAt-jaGana-Palaka-AsPAlana-Gana--sPuda=-Ceda-utsa-uktaH
   kalakanakakāñcīkalakālaḥ" //	kala-kanaka-kAQcI-kala-kAlaH" //
   api ca-	api ca-
   "nityaṃ tvayi pracuracitrakapatrabhaṅgī-tāṭaṅkatānavipaṇḍuragaṇḍalekhāḥ /	"nityam tvayi pracura-citraka-patra-BaFgI--ta-AwaFka-tAna-vipaNxura-gaNxa-leKAH /
   snihyantu ratnaraśanāraṇanābhirāma-kāmārtinartitanitambataṭāstaruṇyaḥ" //	snihyantu ratna-raSa-nAraNa-nABirAma-kAma-Arti-nartita-nitamba-tawAH-taruNyaH" //
   "prakamāpanno nibandhanīya evāyamarthaḥ" iti yāyāvarīyaḥ /	"prakama-ApannaH nibanDanIyaH eva-ayam-arTaH" iti yAyAvarIyaH /
   yadidaṃ śrutau śāstre copalabhyate /	yat-idam SrutO SAstre ca-upalaByate /
   tatra yājuṣaḥ-	tatra yAjuzaH-
   "upopa me parāmṛśa mā me dabhrāṇi manyathāḥ /	"upopa me parAmRSa mA me daBrANi manyaTAH /
   sarvāhamasti romaśā gāndhārīṇāmivāvikā" //	sarva-aham-asti romaSAH gAnDArINAm-iva-AvikA" //
   śāstrīyaḥ-	SAstrIyaH-
   "yasyāḥ prasannadhavalaṃ caśruḥ paryantapakṣmalam /	"yasyAH prasanna-Davalam caSruH paryanta-pakzmalam /
   navanītopamaṃ tasyā bhavati smaramandiram" //	navanIta-upamam tasyAH Bavati smara-mandiram" //
