   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   dvitīyamāhnikakam /	dvitIyam-Ahnikakam /
   dharmavidyāsthāneṣvapi hi bahirdaleṣvatisaṃrambho mumukṣorapodyate--- "na	Darma-vidyA-sTAnezu-api hi bahis-dalezu-ati-saMramBaH mumukzoH-apa-udyate-- "na
   śabdaśāstrābhiratasya mokṣo na caiva ramyāvasathapriyasya /	Sabda-SAstra-aBiratasya mokzaH na ca-eva ramya-AvasaTa-priyasya /
   na bhojanācchādanatatparasya na lokacittagrahaṇe ratasya" //	na Bojana-AcCAdana-tatparasya na loka-citta-grahaNe ratasya" //
   iti, tat śābdaṃ prameyatattvamadhijigamiṣatāṃ pramāṇeṣu sāram, tadabhāve	iti, tat SAbdam prameya-tattvam-aDijigamizatAm pramANezu sAram, tad-aBAve
   puṃsaḥ paśubhiḥ samatvaprasaṅgāt iti //	puMsaH paSuBiH samatva-prasaFgAt iti //
   yasyājñā nigamaikaharmyavalabhīvāstavyapārāvatī yadbhrūlāsyavaśaṃvadā	yasya-AjQA nigama-eka-harmI-a-valaBI-va-astavya-pArAvatI yat-BrU-lAsi-avaSaMvadA
   vidhiśivasvasthānasusthāsikā /	viDi-Siva-sva-sTAna-su-sTAsikA /
   yaḥ sarvatra yathāpuraṃ vitanute nāmāni viśvākṛti- rnityaṃ naḥ pratibhātu	yaH sarvatra yaTApuram vitanute nAmAni viSva-AkRti rnityam naH pratiBAtu
   sarvavacasāṃ niṣṭhā sa nārāyaṇaḥ //	sarva-vacasAm nizWA sa nArAyaNaH //
   iti śrīkavitārkikasiṃhasya sarvatantrasvatantrasya śrīmadveṅkaṭanāthasya	iti SrI-kavi-tArkika-siMhasya sarva-tantra-svatantrasya SrImat-veFkawa-nATasya
   vedāntānacāryasya kṛtiṣunyāyapariśuddhau śabdādhyāye dvitīyamāhnikam //	vedAntAn-acAryasya kRtizu-nyAya-pariSudDO Sabda-aDyAye dvitIyam-Ahnikam //
   samāptaśca tṛtīyodhyāyaḥ //	samAptaH-ca tRtIyoDyAyaH //
