   namo buddhāya	namaH budDAya
   kānte talpam upāgate vigalitā nīvī svayaṃ bandhanād vāsaś ca	kAnte talpam upAgate vigalitA nIvI svayam banDanAt vAsaH ca
   ślathamekhalāguṇadhṛtaṃ kiṃcin nitambe sthitam /	SlaTa meKalA guNa DRtam kiMcid nitambe sTitam /
   etāvat sakhi vedmi kevalam ahaṃ tasyāṅgasaṅge punaḥ ko 'sau kāsmi rataṃ tu	etAvat saKi vedmi kevalam aham tasya aFga saFge punar kaH asO kA asmi ratam tu
   kiṃ katham api svalpāpi me na smṛtiḥ // VidSrk_19.14 *(572) //.	kim kaTam api su alpA api me na smRtiH // Vit Srj _19.14 *(572) //.
   vikaṭanitambāyāḥ	vikawa nitambAyAH
   atiprauḍhā rātrir bahalaśikhadīpaḥ prabhavati priyaḥ	atiprOXA rAtriH bahala SiKa dIpaH praBavati priyaH
   premārabdhasmaravidhirasajñaḥ param asau /	prema ArabDa smara viDi rasajQaH param asO /
   sakhi svairaṃ svairaṃ suratam akarod vrīḍitavapur yataḥ paryaṅgo 'yaṃ	saKi svEram svEram suratam akarot vrIxita vapuH yatas paryaFgaH ayam
   ripur iva kaḍatkāramukharaḥ // VidSrk_19.15 *(573) //.	ripuH iva kaxatkAra muKaraH // Vit Srj _19.15 *(573) //.
   dhanyāsi yat kathayasi priyasaṃgamena narmasmitaṃ ca vacanaṃ ca rasaṃ ca	DanyA asi yat kaTayasi priya saMgamena narma smitam ca vacanam ca rasam ca
   tasya /	tasya /
   nīvīṃ prati praṇihite tu kare priyeṇa sakhyaḥ śapāmi yadi kiṃcid api	nIvIm prati praNihite tu kare priyeNa saKyaH SapAmi yadi kiMcid api
   smarāmi // VidSrk_19.16 *(574) //	smarAmi // Vit Srj _19.16 *(574) //
   vidyāyāḥ	vidyAyAH
   jayati samaratāntāndolanāpāṇḍagaṇḍa  sthalakṛtanijavāsakhedapūrānujanmā /	jayati samarata anta Andolana ApANxa gaNxa sTala kRta nija vAsa Keda pUra anujanmA /
   ślathatanubhujabandhaprāpradīrghaprasāro mukhaparimalamugdhaḥ kāntayoḥ	SlaTa tanu Buja banDa prApradIrGa prasAraH muKa parimala mugDaH kAntayoH
   śvāsavātaḥ // VidSrk_19.17 *(575) //	SvAsa vAtaH // Vit Srj _19.17 *(575) //
   manojanmaprauḍhavyatikaraśatāyāsavidhiṣu priyaḥ prāyo mugdho jhagiti	manaH janma prOXa vyatikara Sata AyAsa viDizu priyaH prAyas mugDaH Jagiti
   kṛtacetobhavavidhiḥ /	kRta cetaH Bava viDiH /
   sahūṃkārojjṛmbhā smaraparavaśā kāntavimukhaṃ mukhaṃ mugdhāpāṅgaṃ kṣipati	sa hUMkAra ujjRmBA smara paravaSA kAnta vimuKam muKam mugDA apAFgam kzipati
   virasaṃ prauḍhayuvatī // VidSrk_19.18 *(576) //.	virasam prOXa yuvatI // Vit Srj _19.18 *(576) //.
   navanavaraholīlābhyāsaprapañcitamanmatha 	navana varahaH lIlA aByAsa prapaQcita manmaTa 
   vyatikarakalākallolāntarnimagnamanaskayoḥ /	vyatikara kalA kat lola antar nimagna manaskayoH /
   api taruṇayoḥ kiṃ syāt tasyāṃ divi spṛhayālutā mukulitadṛśor udbhidyante	api taruNayoH kim syAt tasyAm divi spRha yAlutAH mukulita dRSoH udBidyante
   na ced virahatviṣaḥ // VidSrk_19.19 *(577) //.	na ced viraha tvizaH // Vit Srj _19.19 *(577) //.
   tasyāpāṅgavilokitasya madhuraprollāsitārdhabhruvas tasya smeraśuceḥ	tasya apAFga vilokitasya maDura prollAsita arDa BruvaH tasya smera SuceH
   kramasya ca girāṃ mugdhākṣarāṇāṃ hriyā /	kramasya ca girAm mugDa akzarANAm hriyA /
   bhāvānām api tādṛśāṃ mṛgadṛśo hāvānugānām aho nādhanyaḥ kurute	BAvAnAm api tAdRSAm mRga dRSaH hAva anugAnAm aho na aDanyaH kurute
   prarūḍhapulakair ātithyam aṅgair janaḥ // VidSrk_19.20 *(578) //.	prarUXa pulakEH AtiTyam aFgEH janaH // Vit Srj _19.20 *(578) //.
   samākṛṣṭaṃ vāsaḥ katham api haṭhāt paśyati mayi kramād ūrudvandvaṃ	samAkRzwam vAsaH kaTam api haWAt paSyati mayi kramAt Uru dvandvam
   jaraṭhaśaragauraṃ mṛgadṛśaḥ /	jaraWa Sara gOram mRga dRSaH /
   tayā dṛṣṭiṃ dattvā mahati maṇidīpe nipuṇayā niruddhaṃ hastābhyāṃ jhagiti	tayA dRzwim dattvA mahati maNi dIpe nipuNayA nirudDam hastAByAm Jagiti
   mama netrotpalayugam // VidSrk_19.21 *(579) //.	mama netra utpala yugam // Vit Srj _19.21 *(579) //.
   analpaṃ saṃtāpaṃ śamayati manojanmajanitaṃ tathā śītaṃ sphītaṃ himavati	analpam saMtApam Samayati manaH janma janitam taTA SItam sPItam himavati
   niśīthe glapayati /	niSITe glapayati /
   tad evaṃ ko 'py ūṣmā ramaṇaparirambhotsavamilat 	tat evam kaH api UzmA ramaNa pariramBa utsavamilat 
   purandhrīnīrandhrastanakalaśajanmā vijayate // VidSrk_19.22 *(580) //	puranDrI nI ranDra stanakalaSa janmA vijayate // Vit Srj _19.22 *(580) //
   nādhanyān viparītamohanarasapreṅkhannitambasthalī 	na aDanyAn viparIta mohana rasa preFKat nitamba sTalI 
   loladbhūṣaṇakiṅkiṇīkalaravavyāmiśrakaṇṭhasvanam /	lolat BUzaNa kiFkiNI kalara va vyAmiSrakaNWa svanam /
   saṃrambhaślathakeśabandhavigalanmuktākalāpadruta 	saMramBa SlaTa keSa banDa vigalat muktA kalApadruta 
   śvāsacchedataraṅgitastanayugaṃ prīṇāti śṛṅgāriṇī // VidSrk_19.23 *(581) //	SvAsa= Ceda taraFgita stana yugam prINAti SRFgAriNI // Vit Srj _19.23 *(581) //
   sonnokasya	sa unnokasya
   śītkāravanti daramīlitalocanāni romāñcamuñcitanugharmakaṇāvalīni /	SItkAravanti dara mIlita locanAni romAQca muQci tanuGarma kaNA AvalIni /
   eṇīdṛśāṃ makaraketuniketanāni vandāmahe suratavibhramaceṣṭitāni //	eNi IdRSAm makara ketu niketanAni vandAmahe surata viBrama cezwitAni //
   VidSrk_19.24 *(582) //	Vit Srj _19.24 *(582) //
   muhur vrīḍāvatyāḥ pratihasitavatyāḥ pratimuhur muhur viśrāntāyā muhur	muhur vrIxAvatyAH pratihasitavatyAH pratimuhuH muhur viSrAntAyAH muhur 
   abhiniviṣṭavyavasiteḥ /	aBinivizwa vyavasiteH /
   śramāmbhobhis tamyattilakamalikāghūrṇadalakaṃ mukhaṃ līlāvatyā harati	Srama amBoBiH tamyat tila kamalikA GUrNa dalakam muKam lIlAvatyA harati
   viparītavyatikare // VidSrk_19.25 *(583) //.	viparIta vyatikare // Vit Srj _19.25 *(583) //.
   surabheḥ	suraBeH
   āstāṃ dūreṇa viśleṣaḥ priyām āliṅgato mama /	AstAm dUreNa viSlezaH priyAm AliFgataH mama /
   svedaḥ kiṃ na sarinnātho romāñcaḥ kiṃ na parvataḥ // VidSrk_19.26 *(584)	svedaH kim na sarit nATaH romAQcaH kim na parvataH // Vit Srj _19.26 *(584)
   cirārūḍhapremapraṇayaparihāsena hṛtayā tad ārabdhaṃ tanvyā na tu yad	cira ArUXa prema praNaya parihAsena hRtayA tat ArabDam tanvyA na tu yat 
   abalāyāḥ samucitam /	abalAyAH samucitam /
   anirvyūḍhe tasmin prakṛtisukumārāṅgalatayā punar lajjālolaṃ mayi vinihitaṃ	anirvyUXe tasmin prakRti sukumAra aFgala tayA punar lajjA lolam mayi vinihitam
   locanayugam // VidSrk_19.27 *(585) //	locana yugam // Vit Srj _19.27 *(585) //
   nakhadaśananipātajarjarāṅgī ratikalahe paripīḍitā prahāraiḥ /	naKa daSana nipAta jarjara aFgI rati kalahe paripIxitA prahArEH /
   sapadi maraṇam eva sā tu yāyād yadi na pibed adharāmṛtaṃ priyasya //	sapadi maraNam eva sA tu yAyAt yadi na pibet aDara amRtam priyasya //
   VidSrk_19.28 *(586) //	Vit Srj _19.28 *(586) //
   mugdhe tavāsmi dayitā dayito bhava tvam ity uktayā na hi na hīti śiro	mugDe tava asmi dayitA dayitaH Bava tvam iti uktayA na hi na hi iti SiraH 
   'vadhūya /	avaDUya /
   svasmāt karān mama kare valayaṃ kṣipantyā vācaṃ vinābhyupagamaḥ kathito	svasmAt karAt mama kare valayam kzipantyAH vAcam vinA aByupagamaH kaTitaH 
   mṛgākṣyā // VidSrk_19.29 *(587) //	mRga akzyAH // Vit Srj _19.29 *(587) //
   patatu tavorasi satataṃ dayitādhammillamallikāprakaraḥ /*	patatu tava urasi satatam dayita aDammilla mallikA prakaraH /*
   ratirasarabhasakacagrahalulitālakavallarīgalitaḥ // VidSrk_19.30 *(588)	ratiH asara Basaka cagraha lulita alaka vallarI galitaH // Vit Srj _19.30 *(588)
   bāṇasya	bANasya
   āvṛṇvānā jhagiti jaghanaṃ maddukūlāñcalena	AvRNvAnA Jagiti jaGanam mad dukUla aQcalena
   preṅkhakrīḍākulitakabarībandhanavyagrapāṇiḥ /	preFKa krIxA Akulita kabarI banDana vyagra pANiH /
   ardhocchvāsasphuṭanakhapadālaṃkṛtābhyāṃ stanābhyāṃ dṛṣṭā	arDa ucCvAsa sPuwa naKa pada alaMkRtAByAm stanAByAm dRzwA
   dhārṣṭyasmṛtinatamukhī mohanānte mayā sā // VidSrk_19.31 *(589) //.	DArzwya smRti nata muKI mohana ante mayA sA // Vit Srj _19.31 *(589) //.
   abhinandasya	aBinandasya
   harati rativimarde luptapātrāṅkuratvāt prakaṭanakhapadāṅkaḥ kiṃ ca	harati rati vimarde lupta pAtra aFkura tvAt prakawa naKa padAFkaH kim ca
   romāñcamudraḥ /	romAQcamudraH /
   hariṇaśiśudṛśo 'syā mugdhamugdhaṃ hasantyāḥ pariṇataśarakāṇḍasnigdhapāṇḍuḥ	hariNa SiSu dRSaH asyAH mugDa mugDam hasantyAH pariNata Sara kANxa snigDa pANxuH
   kapolaḥ // VidSrk_19.32 *(590) //	kapolaH // Vit Srj _19.32 *(590) //
   vīryamitrasya	vIrya mitrasya
   karakisalayaṃ dhūtvā dhūtvā vimārgati vāsasī kṣipati sumanomālāśeṣaṃ	kara kisalayam DUtvA DUtvA vimArgati vAsasI kzipati sumanaH mAlA Sezam
   pradīpaśikhāṃ prati /	pradIpa SiKAm prati /
   sthagayati karaiḥ patyur netre vihasya samākulā surataviratau ramyā tanvī	sTagayati karEH patyuH netre vihasya samAkulA surata viratO ramyA tanvI
   muhur muhur īkṣitum // VidSrk_19.33 *(591) //.	muhur muhur Ikzitum // Vit Srj _19.33 *(591) //.
   viśrāntiṃ nūpure yāte śrūyate rasanādhvaniḥ /	viSrAntim nUpure yAte SrUyate rasanA DvaniH /
   prāyaḥ kānte ratiśrānte kāminī puruṣāyate // VidSrk_19.34 *(592) //	prAyas kAnte rati SrAnte kAminI puruzAyate // Vit Srj _19.34 *(592) //
   bhāvodgāḍham upoḍhakampapulakair aṅgaiḥ samāliṅgitaṃ rāgāc cumbitam	BAva udgAXam upoXa kampa pulakEH aFgEH samAliFgitam rAgAt cumbitam
   abhyupetya vadanaṃ pītaṃ ca vaktrāmṛtam /	aByupetya vadanam pItam ca vaktra amRtam /
   jalpantyaiva muhur na neti nibhṛtaṃ pradhvastacāritrayā niḥśeṣeṇa samāpito	jalpantyA eva muhur na na iti niBRtam praDvasta cAritrayA niHSezeNa samApitaH 
   ratavidhir vācā tu nāṅgīkṛtaḥ // VidSrk_19.35 *(593) //.	rata viDiH vAcA tu na aFgIkRtaH // Vit Srj _19.35 *(593) //.
   yat pīnastanabhāralālasalasadvāsaḥsphuradgaṇḍayā tanvaṅgyā rabhasārpitaṃ	yat pIna stana BAra lAla salasat vAsaH sPurat gaNxayA tanu aFgyA raBasa arpitam
   sarabhasaṃ vaktraṃ muhuḥ pīyate /	sa raBasam vaktram muhur pIyate /
   tac chlāghyaṃ surataṃ ca tat tad amṛtaṃ tad vastu tad brahma tac cetohāri	tat SlAGyam suratam ca tat tat amRtam tat vastu tat brahma tat cetaH ha ari
   tad eva tat kim api tat tattvāntaraṃ sarvathā // VidSrk_19.36 *(594) //.	tat eva tat kim api tat tattva antaram sarvaTA // Vit Srj _19.36 *(594) //.
   na bata vidhṛtaḥ kāñcīsthāne karaḥ ślathavāsasi prahitam asakṛd dīpe	na bata viDRtaH kAQcI sTAne karaH SlaTa vAsasi prahitam asakRt dIpe
   cakṣur ghanasthiratejasi /	cakzuH Gana sTira tejasi /
   kucakalaśayor ūḍhaḥ kampas tayā mama saṃnidhau manasijarujo bhāvair uktā	kuca kalaSayoH UXaH kampaH tayA mama saMniDO manasija rujaH BAvEH uktA
   vacobhir apahnutāḥ // VidSrk_19.37 *(595) //.	vacoBiH apahnutAH // Vit Srj _19.37 *(595) //.
   abhinandasya	aBinandasya
   harṣāśrudūṣitavilocanayā mayādya kiṃ tasya tat sakhi nirūpitam aṅgam aṅgam	harza aSru dUzita vilocanayA mayA adya kim tasya tat saKi nirUpitam aFgam aFgam
   romāñcakañcukatiraskṛtadehayā vā jñātāni tāni parirambhasukhāni kiṃ vā //	romAQca kaQcuka tiraskRta dehayA vA jQAtAni tAni pariramBa suKAni kim vA //
   VidSrk_19.38 *(596) //	Vit Srj _19.38 *(596) //
   acalasya	acalasya
   sa kasmān me preyān sakhi katham ahaṃ tasya dayitā yato māṃ spṛṣṭvaiva	sa kasmAt me preyAn saKi kaTam aham tasya dayitA yatas mAm spRzwvA eva
   snapayati karaṃ svedapayasā /	snapayati karam sveda payasA /
   vilokyāśleṣād apy avahita ivāmīlya nayane vyudañcadromāñcasthagitavapur	vilokya ASlezAt api avahitaH iva AmIlya nayane vyudaQcat romAQca sTa gita vapuH 
   āliṅgati samām // VidSrk_19.39 *(597) //.	AliFgati samAm // Vit Srj _19.39 *(597) //.
   kim api kim api mandaṃ mandam āsattiyogād avicalitakapolaṃ jalpatoś ca	kim api kim api mandam mandam Asatti yogAt avicalita kapolam jalpatoH ca
   krameṇa /	krameNa /
   aśithilaparirambhavyāpṛtaikaikadoṣṇor aviditagatayāmā rātrir eva vyaraṃsīt	aSiTila pariramBa vyApRta eka eka dozNoH avidita gata yAmA rAtriH eva vyaraMsIt 
   // VidSrk_19.40 *(598) //	// Vit Srj _19.40 *(598) //
   % QUOTE Uttararāmacarita 1.27	% QUOTEH Uttara rAma caritaH 1.27
   bhavabhūteḥ	Bava BUteH
   dākṣiṇyād abhimānato rasavaśād viśrāmahetor mama prāgalbhyād yad	dAkziNyAt aBimAnataH rasa vaSAt viSrAma hetoH mama prAgalByAt yat 
   anuṣṭhitaṃ mṛgadṛśā śakyaṃ na tad yoṣitām /	anuzWitam mRga dRSA Sakyam na tat yozitAm /
   nirvyūḍhaṃ na yadā tayā tad akhilaṃ khinnais tarattārakaiḥ savrīḍaiś ca	nirvyUXam na yadA tayA tat aKilam KinnEH tarat tArakEH sa vrIxEH ca
   vilokitair mayi punar nyastaḥ samasto vyayaḥ // VidSrk_19.41 *(599) //.	vilokitEH mayi punar nyastaH samastaH vyayaH // Vit Srj _19.41 *(599) //.
   valitamanasor apy anyonyaṃ samāvṛtabhāvayoḥ punar upacitaprāyapremṇoḥ	valita manasoH api anyonyam samAvRta BAvayoH punar upacita prAya premNoH
   punas trapamāṇayoḥ /	punar trapamANayoH /
   iha hi nibiḍavrīḍānaṅgajvarāturacetasor navataruṇayoḥ ko jānīte kim adya	iha hi nibixa vrIxA anaFga jvara Atura cetasoH nava taruNayoH kaH jAnIte kim adya
   phaliṣyati // VidSrk_19.42 *(600) //	Palizyati // Vit Srj _19.42 *(600) //
   lakṣmīdharasya	lakzmIDarasya
   draṣṭuṃ ketakapatragarbhasubhagām ūruprabhām utsukas tatsaṃvāhanalīlayā ca	drazwum ketaka patra garBa suBagAm Uru praBAm utsukaH tad saMvAhana lIlayA ca
   śanakair ākṣiptacaṇḍātakaḥ /	SanakEs Akzipta caNxAtakaH /
   lajjāmugdhavilocanasmitasudhānirdhautabimbādharaṃ	lajjA mugDa vilocana smita suDA nirDOta bimba aDaram
   kamapraślathabāhubandhanam asav āliṅgito bālayā // VidSrk_19.43 *(601) //.	kama praSlaTa bAhu banDanam asa AliFgitaH bAlayA // Vit Srj _19.43 *(601) //.
   nidrārtaṃ kila locanaṃ mṛgadṛśā viśleṣayantyā kathāṃ	nidrA Artam kila locanam mRga dRSA viSlezayantyA kaTAm
   dīrghāpāṅgasarittaraṅgataralaṃ śayyām anupreṣitam /	dIrGa apAFga sarit taraFga taralam SayyAm anuprezitam /
   ujjṛmbhaḥ kila vallabho 'pi virate vastuny api prastute ghūrṇantī kila	ujjRmBaH kila vallaBaH api virate vastuni api prastute GUrNantI kila
   sāpi hūṃkṛtavatī śūnyaṃ sakhī dakṣiṇā // VidSrk_19.44 *(602) //.	sA api hUMkRtavatI SUnyam saKI dakziNA // Vit Srj _19.44 *(602) //.
   dṛṣṭvaikāsanasaṃsthite priyatame paścād upetyādarād ekasyā nayane nimīlya	dRzwvA eka Asana saMsTite priyatame paScAt upetya AdarAt ekasyAH nayane nimIlya
   vihitakrīḍānubandhacchalaḥ /	vihita krIxA anubanDa= CalaH /
   tiryagvartitakandharāṃ sapulakasvedodgamotkampinīm	tiryak vartita kanDarAm sa pulaka sveda udgama utkampinIm
   antarhāsacalatkapolaphalakāṃ dhūrto 'parāṃ cumbati // VidSrk_19.45 *(603)	antarhAsa calat kapola PalakAm DUrtaH aparAm cumbati // Vit Srj _19.45 *(603)
   kucopāntaṃ kānte likhati nakharāgrair akalitaṃ tataḥ kiṃcit paścād valati	kuca upAntam kAnte liKati naKara agrEH akalitam tatas kiMcid paScAt valati
   ca mukhendau mṛgadṛśaḥ /	ca muKa indO mRga dRSaH /
   bahir vyājāmarṣaprasaraparuṣāntargatarasā nirīkṣyā re māyī kim idam iti	bahis vyAja amarza prasara paruza antargata rasA nirIkzyA re mAyI kim idam iti
   pūrvā vijayate // VidSrk_19.46 *(604) //	pUrvA vijayate // Vit Srj _19.46 *(604) //
   jīvacandrasya	jIva candrasya
   āśleṣe prathamaṃ kramād apahṛte hṛdye 'dharasyārpaṇe kelidyūtavidhau paṇaṃ	ASleze praTamam kramAt apahRte hRdye aDarasya arpaNe keli dyUta viDO paNam
   priyatame kāntāṃ punaḥ pṛcchati /	priyatame kAntAm punar pRcCati /
   antargūḍhavigāḍhasambhramarasasphārībhavadgaṇḍayā tūṣṇīṃ śārivisāraṇāya	antar gUXa vigAXa samBrama rasa sPArIBavat gaNxayA tUzNIm SAri visAraNAya
   nihitaḥ svedāmbugarbhaḥ karaḥ // VidSrk_19.47 *(605) //.	nihitaH sveda ambu garBaH karaH // Vit Srj _19.47 *(605) //.
   rājaśekharasya	rAjaSeKarasya
   āśleṣacumbanaratotsavakautukāni krīḍā durodarapaṇaḥ pratibhūr anaṅgaḥ /	ASleza cumbana rata utsava kOtukAni krIxA durodara paNaH pratiBUH anaFgaH /
   bhogaḥ sa yady api jaye ca parājaye ca yūnor manas tad api vāñchati jetum	BogaH sa yadi api jaye ca parAjaye ca yUnoH manaH tat api vAQCati jetum
   eva // VidSrk_19.48 *(606) //	eva // Vit Srj _19.48 *(606) //
   murāreḥ	murAreH
   kalahakalayā yat saṃvṛtyai trapāvanatānanā pihitapulakodbhedaṃ subhrūś	kalaha kalayA yat saMvRtyE trapa avana tA AnanA pihita pulaka udBedam suBrUH 
   cakarṣa na kañcukam /	cakarza na kaQcukam /
   dayitam abhitas tām utkaṇṭhāṃ vivavrur anantaraṃ jhaṭiti jhaṭiti truṭyanto	dayitam aBitas tAm utkaNWAm vivavruH anantaram Jawiti Jawiti truwi antaH 
   'ntaḥ stanāṃśukasandhayaḥ // VidSrk_19.49 *(607) //	antar stana aMSuka sanDayaH // Vit Srj _19.49 *(607) //
   ratipatidhanur jyāṭaṅkāro madadvipaḍiṇḍimaḥ	rati pati DanuH jyA waFkAraH mada dvipa xiNximaH
   sapulakajalapremaprāvṛṭpayodharagarjitam /	sa pulaka jala prema prAvRz payoDara garjitam /
   nidhuvanayudhastūryātodyaṃ jahāra natabhruvāṃ jaghanasarasīhaṃsasvānaḥ	niDuvana yuDaH tUrya Atodyam jahAra nata BruvAm jaGana sarasI haMsa svAnaH
   śrutiṃ rasanāravaḥ // VidSrk_19.50 *(608) //.	Srutim rasa nAravaH // Vit Srj _19.50 *(608) //.
   yugalam agalat tarṣotkarṣe tarūtpalagaurayoḥ paṭuvighaṭanād ūrvoḥ pūrvaṃ	yugalam agalat tarza utkarze taru utpala gOrayoH pawu viGawanAt UrvoH pUrvam
   priye paripaśyati /	priye paripaSyati /
   śrutikuvalayaṃ dīpocchittyai nirāsa yad aṅganā jvalati rasanārocir dīpe	Sruti kuvalayam dIpa ucCittyE nirAsa yat aFganA jvalati rasanA rociH dIpe
   tad āpa nirarthatām // VidSrk_19.51 *(609) //.	tat Apa nirarTatAm // Vit Srj _19.51 *(609) //.
   % QUOTE Kapphiṇābhyudaya 14.24	% QUOTE KapPiNA aByudaya 14.24
   daśanadaśanair oṣṭho mamlau na pallavakomalo vyasahata nakhacchedānaṅgaṃ	daSana daSanEH ozWaH mamlO na pallava komalaH vyasahata naKa= Ceda anaFgam
   śirīṣamṛducchavi /	SirIza mRdu= Cavi /
   na bhujalatikāgāḍhāśleṣaiḥ śramaṃ lalitā yayur yuvatiṣu kim apy	na Buja latikA gAXa ASlezEH Sramam lalitAH yayuH yuvatizu kim api 
   avyākhyeyaṃ smarasya vijṛmbhitam // VidSrk_19.52 *(610) //.	avyAKyeyam smarasya vijRmBitam // Vit Srj _19.52 *(610) //.
   % QUOTE Kapphiṇābhyudaya 14.28	% QUOTE KapPiNA aByudaya 14.28
   kim upagamitā bhartrā taptadvilohavedakatām uta ramayituḥ syūtāṅge 'ṅge	kim upagamitA BartrA taptad viloha vedaka tAm uta ramayituH syUta aFge aFge
   śitaiḥ smarasāyakaiḥ /	SitEH smara sAyakEH /
   vilayanam atha prāptā rāgānaloṣmabhir ity aho na patibhujayor niṣyandāntaḥ	vilayanam aTa prAptAH rAgAnala UzmaBiH iti aho na pati BujayoH nizyanda antaH
   priyā niravīyata // VidSrk_19.53 *(611) //.	priyA niravIyate // Vit Srj _19.53 *(611) //.
   % QUOTE Kapphiṇābhyudaya 14.29	% QUOTE KapPiNA aByudaya 14.29
   kāśmīrabhaṭṭaśrīśivasvāminaś caite	kASmIra Bawwa SrI Siva svAminaH ca ete
   /Colo iti sambhogavrajyā	/ColaH iti samBoga vrajyA
   tataḥ samāptanidhuvanacihnavrajyā	tatas samApta niDuvana cihna vrajyA
   rājanti kāntanakharakṣatayo mṛgākṣyā lākṣārasadravamucaḥ kucayor upānte /	rAjanti kAnta naKa ra kzatayaH mRga akzyAH lAkzA rasa drava mucaH kucayoH upAnte /
   antaḥpravṛddhamakaradhvajapāvakasya śaṅke vibhidya hṛdayaṃ niraguḥ	antar pravRdDa makara Dvaja pAvakasya SaFke viBidya hRdayam niraguH
   sphuliṅgāḥ // VidSrk_20.1 *(612) //	sPuliFgAH // Vit Srj _20.1 *(612) //
   rājaśekharasya	rAjaSeKarasya
   jayanti kāntāstanamaṇḍaleṣu viṭārpitāny ārdranakhakṣatāni /	jayanti kAntA stana maNxalezu viwa arpitAni Ardra naKa kzatAni /
   lāvaṇyasaṃbhāranidhānakumbhe mudrākṣarāṇīva manobhavasya // VidSrk_20.2	lAvaNya saMBAra niDAna kumBe mudrA akzarANi iva manoBavasya // Vit Srj _20.2
   kvacit tāmbūlāṅkaḥ kvacid agarupaṅkāṅkamalinaḥ kvacic cūrṇodgāraiḥ kvacid	kvacid tAmbUla aFkaH kvacid agaru paFka aFka malinaH kvacid cUrNa udgArEH kvacid 
   api ca sālaktakapadaḥ /	api ca sa alaktaka padaH /
   valībhaṅgābhogeṣv alakapatitākīrṇakusumaḥ striyāḥ sarvāvasthaṃ kathayati	valI BaFga ABogezu alaka patita AkIrNa kusumaH striyAH sarva avasTam kaTayati
   rataṃ pracchadapaṭaḥ // VidSrk_20.3 *(614) //.	ratam pracCada pawaH // Vit Srj _20.3 *(614) //.
   pītatuṅgakaṭhinastanāntare kāntadattam abalā nakhakṣatam /	pIta tuFga kaWina stanAntare kAnta dattam abalA naKa kzatam /
   āvṛṇoti vivṛṇoti cekṣate labdharatnam iva duḥkhito janaḥ // VidSrk_20.4	AvRNoti vivRNoti ca Ikzate labDa ratnam iva duHKitaH janaH // Vit Srj _20.4
   uṣasi gurusamakṣaṃ lajjamānā mṛgākṣī ratirutam anukartuṃ rājakīre pravṛtte	uzasi guru samakzam lajjamAnA mRga akzI rati rutam anukartum rAja kIre pravRtte
   tirayati śiśulīlānartanacchadmatāla  pracalavalayamālāsphālakolāhalena //	tirayati SiSulIlA nartana= Cadma tAla pracala valaya mAlA sPAla kolAhalena //
