   Aśokāvadānaṃ	ASoka-avadAnam
   yāvat suśikṣitā saṃvṛttā / yadārabhate rājñaḥ keśaśmaśru prasādhayituṃ	yAvat su-SikzitA saMvRttAH / yadA-AraBate rAjQaH keSa-SmaSru prasADayitum
   tadā rājā śete / yāvadrājñā prītena vareṇa pravāritā / kiṃ tvaṃ	tadA rAjA Sete / yAvat-rAjQA prItena vareNa pravAritA / kim tvam
   varamicchasīti / tayābhihitaṃ / devena me saha samāgamaḥ syāt / rājāha /	varam-icCasi-iti / tayA-aBihitam / devena me saha samAgamaH syAt / rAjA-Aha /
   tvaṃ nāpinī ahaṃ rājā kṣatriyo mūrdhābhiṣiktaḥ / kathaṃ mayā sārdhaṃ	tvam nApinI aham rAjA kzatriyaH mUrDABiziktaH / kaTam mayA sArDam
   samāgamo bhaviṣyati / sā kathayati / deva nāhaṃ nāpinī / api	samAgamaH Bavizyati / sA kaTayati / deva na-aham nApinI / api
   brāhmaṇasyāhaṃ duhitā / tena devasya patnyarthaṃ dattā / rājā kathayati /	brAhmaNasya-aham duhitA / tena devasya patnI-arTam dattA / rAjA kaTayati /
   kena tvaṃ nāpitakarma śikṣāpitā / sā kathayati / antaḥpurikābhiḥ / rājāha	kena tvam nApita-karma SikzA-pitA / sA kaTayati / antaHpurikABiH / rAjA-Aha
   / na bhūyastvayā nāpitakarma kartavyaṃ /	/ na BUyas-tvayA nApita-karma kartavyam /
   yāvadrājāgramahiṣī sthāpitā / tayā sārdhaṃ krīḍati ramate paricārayati /	yAvat-rAja-agra-mahizI sTApitA / tayA sArDam krIxati ramate paricArayati /
   sā apannasattvā saṃvṛttā / yāvadaṣṭānāṃ navānāṃ māsānāmatyayāt prasūtā /	sA apannasattvA saMvRttAH / yAvat-azwAnAm navAnAm mAsAnAm-atyayAt prasUtA /
   tasyāḥ putro jātaḥ /	tasyAH putraH jAtaH /
   tasya vistareṇa jātimahaṃ kṛtvā [pṛcchati] kiṃ kumārasyabhavatu nāma / sā	tasya vistareNa jAti-maham kRtvA [pRcCati] kim kumArasI-aBavatu nAma / sA
   kathayati / asya dārakasya jātasya aśokāsmi saṃvṛttā / tasyāśoka iti nāma	kaTayati / asya dArakasya jAtasya aSokA-asmi saMvRttA / tasya-aSokaH iti nAma
   kṛtam /	kRtam /
   yāvad dvitīyaḥ putro jātaḥ / vigate śoke jātas tasya vītaśoka iti nāma	yAvat dvitIyaH putraH jAtaH / vigate Soke jAtaH tasya vIta-SokaH iti nAma
   kṛtaṃ /	kRtam /
   aśoko duḥsparśagātraḥ / rājño bindusārasyānabhipretaḥ /	aSokaH duHsparSa-gAtraH / rAjQaH bindusArasya-anaBipretaH /
   atha rājā bindusāraḥ kumāraṃ parīkṣitukāmaḥ piṅgalavatsājīvaṃ	aTa rAjA bindusAraH kumAram parIkzitu-kAmaH piFgala-vat-sa-AjIvam
   parivrājakamāmantrayate / upādhyāya kumārāṃstāvat parīkṣayāmaḥ / (A-av 37)	parivrAjakam-Amantrayate / upADyAya kumArAn=-tAvat parIkzayAmaH / (A-au 37)
   kaḥ śakyate mamātyayād rājyaṃ kārayituṃ / piṅgalavatsājīvaḥ parivrājakaḥ	kaH Sakyate mama-atyayAt rAjyam kArayitum / piFgala-vat-sAjIvaH parivrAjakaH
   kathayati / tena hi deva kumārānādāya suvarṇamaṇḍapamudyānaṃ nirgaccha,	kaTayati / tena hi deva kumArAn-AdAya suvarNa-maNxapam-udyAnam nirgacCa,
   parīkṣayāmaḥ / yāvadrājā kumārānādāya suvarṇamaṇḍapamudyānaṃ nirgataḥ /	parIkzayAmaH / yAvat-rAjA kumArAn-AdAya suvarNa-maNxapam-udyAnam nirgataH /
   yāvadaśokaḥ kumāro mātrā cocyate / vatsa rājā kumārān parīkṣitukāmaḥ	yAvat-aSokaH kumAraH mAtrA ca-ucyate / vatsa rAjA kumArAn parIkzitu-kAmaH
   suvarṇamaṇḍapamudyānaṃ gataḥ / tvamapi tatra gaccheti / aśokaḥ kathayati /	suvarNa-maNxapam-udyAnam gataH / tvam-api tatra gacCa-iti / aSokaH kaTayati /
   rājño 'hamanabhipreto darśanenāpi / kimahaṃ tatra gamiṣyāmi / sā kathayati	rAjQaH aham-anaBipretaH darSanena-api / kim-aham tatra gamizyAmi / sA kaTayati
   / tathāpi gaccheti / aśoka uvāca / āhāraṃ preṣaya /	/ taTA-api gacCa-iti / aSokaH uvAca / AhAram prezaya /
   yāvadaśokaḥ pāṭaliputrannirgacchati / rādhaguptena cāgrāmātyaputreṇoktaḥ /	yAvat-aSokaH pAwaliputrat-nirgacCati / rADaguptena ca-agra-amAtya-putreNa-uktaH /
   aśoka kva gamiṣyasīti / aśokaḥ kathayati / rājādya suvarṇamaṇḍape udyāne	aSoka kva gamizyasi-iti / aSokaH kaTayati / rAjA-adya suvarNa-maNxape udyAne
   kumārān parīkṣayati / tatra rājño mahallako hastināgastiṣṭhati /	kumArAn parIkzayati / tatra rAjQaH mahallakaH hasti-nAgaH-tizWati /
   yāvadaśokastasmin mahallake 'bhiruhya suvarṇamaṇḍapamudyānaṃ gatvā	yAvat-aSokaH-tasmin mahat-lake aBiruhya suvarNa-maNxapam-udyAnam gatvA
   kumārāṇāṃ madhye 'tra pṛthivyāṃ prastīrya niṣasāda /	kumArANAm maDye atra pRTivyAm prastIrya nizasAda /
   yāvat kumārāṇāmāhāra upanāmitaḥ / aśokasyāpi mātrā śālyodanaṃ	yAvat kumArANAm-AhAraH upanAmitaH / aSokasya-api mAtrA SAlyodanam
   dadhisaṃmiśraṃ mṛdbhājane preṣitaṃ / tato rājñā bindusāreṇa	daDi-saMmiSram mRd-BAjane prezitam / tatas rAjQA bindusAreNa
   piṅgalavatsājīvaḥ parivrājako 'bhihitaḥ / upādhyāya parīkṣasva kumārān /	piFgala-vat-sAjIvaH parivrAjakaH aBihitaH / upADyAya parIkzasva kumArAn /
   kaḥ śakyate mamātyayād rājyaṃ kartumiti / paśyati piṅgalavatsājīvaḥ	kaH Sakyate mama-atyayAt rAjyam kartum-iti / paSyati piFgala-vat-sAjIvaH
   parivrājakaḥ / cintayati ca / aśoko rājā bhaviṣyati / ayaṃ ca rājño	parivrAjakaH / cintayati ca / aSokaH rAjA Bavizyati / ayam ca rAjQaH-
   nābhipretaḥ / yadi kathayiṣyāmi aśoko rājā bhaviṣyatīti, nāsti me jīvitaṃ	na-aBi-pretaH / yadi kaTayizyAmi aSokaH rAjA Bavizyati-iti, na-asti me jIvitam
   / sa kathayati / devābhedena (A-av 38) vyākariṣyāmi / rājāha / abhedena	/ sa kaTayati / deva-aBedena (A-au 38) vyAkarizyAmi / rAjA-Aha / aBedena
   vyākuruṣva / āha / yasya yānaṃ śobhanaṃ sa rājā bhaviṣyati /	vyAkuruzva / Aha / yasya yAnam SoBanam sa rAjA Bavizyati /
   teṣāmekaikasya buddhirutpannā / mama yānaṃ śobhanamahaṃ rājā bhaviṣyāmi /	tezAm-ekEkasya budDiH-utpannA / mama yAnam SoBanam-aham rAjA BavizyAmi /
   aśokaścintayati / ahaṃ hastiskandhenāgato mama yānaṃ śobhanamahaṃ rājā	aSokaH-cintayati / aham hasti-skanDena-AgataH mama yAnam SoBanam-aham rAjA
   bhaviṣyāmīti / rājāha / bhūyastāvad upādhyāya parīkṣasva /	BavizyAmi-iti / rAjA-Aha / BUyas-tAvat upADyAya parIkzasva /
   piṅgalavatsājīvaḥ parivrājakaḥ kathayati / deva yasyāsanamagraṃ sa rājā	piFgala-vat-sAjIvaH parivrAjakaH kaTayati / deva yasya-Asanam-agram sa rAjA
   bhaviṣyati /	Bavizyati /
   teṣāmekaikasya buddhirutpannā / mamāsanamagraṃ / aśokaścintayati / mama	tezAm-ekEkasya budDiH-utpannA / mama-Asanam-agram / aSokaH-cintayati / mama
   pṛthivī āsanamahaṃ rājā bhaviṣyāmi / evaṃ bhājanaṃ bhojanaṃ pānaṃ	pRTivI Asanam-aham rAjA BavizyAmi / evam BAjanam Bojanam pAnam
   vistareṇa kumārāṇāṃ parīkṣya [pāṭaliputraṃ] praviṣṭaḥ /	vistareNa kumArANAm parIkzya [pAwaliputraM] pravizwaH /
   yāvadaśoko mātrocyate / ko vyākṛto rājā bhaviṣyatīti / aśokaḥ kathayati /	yAvat-aSokaH mAtrA-ucyate / kaH vyAkRtaH rAjA Bavizyati-iti / aSokaH kaTayati /
   abhedena vyākṛtaṃ / yasya yānamagramāsanaṃ pānaṃ bhājanaṃ bhojanaṃ ceti sa	aBedena vyAkRtam / yasya yAnam-agram-Asanam pAnam BAjanam Bojanam ca-iti sa
   rājā bhaviṣyatīti / yathā paśyāmi ahaṃ rājā bhaviṣyāmi / mama	rAjA Bavizyati-iti / yaTA paSyAmi aham rAjA BavizyAmi / mama
   hastiskandhaṃ yānaṃ pṛthivī āsanaṃ mṛnmayaṃ bhājanaṃ śālyodanaṃ	hasti-skanDam yAnam pRTivI Asanam mRd-mayam BAjanam SAlyodanam
   dadhivyañjanaṃ bhojanaṃ pānīyaṃ pānamiti /	daDi-vyaQjanam Bojanam pAnIyam pAnam-iti /
   tataḥ piṅgalavatsājīvaḥ parivrājako 'śoko rājā bhaviṣyatīti tasya	tatas piFgala-vat-sAjIvaH parivrAjakaH aSokaH rAjA Bavizyati-iti tasya
   mātaramārabdha sevituṃ / yāvat tayocyate / upādhyāya kataraḥ kumāro rājño	mAtaram-ArabDa sevitum / yAvat tayA-ucyate / upADyAya kataraH kumAraH rAjQaH-
   bindusārasyātyayād rājā bhaviṣyatīti / āha / aśokaḥ / tayocyate / kadācit	bindusArasya-atyayAt rAjA Bavizyati-iti / Aha / aSokaH / tayA-ucyate / kadAcid-
   tvāṃ rājā nirbandhena pṛccheta / (A-av 39) gaccha tvaṃ pratyantaṃ	tvAm rAjA nirbanDena pRcCeta / (A-au 39) gacCa tvam pratyantam
   samāśraya / yadā śrṛṇoṣi aśoko rājā saṃvṛttastadāgantavyaṃ / yāvatsa	samASraya / yadA SrRNozi aSokaH rAjA saMvRttaH-tad-Agantavyam / yAvat-sa
   prayanteṣu janapadeṣu saṃśritaḥ /	prayantezu janapadezu saMSritaH /
   atha rājño bindusārasya takṣaśilā nāma nagaraṃ viruddhaṃ / tatra rājñā	aTa rAjQaH bindusArasya takzaSilA nAma nagaram virudDam / tatra rAjQA
   bindusāreṇa aśoko visarjitaḥ / gaccha kumāra takṣiśīlānagaraṃ / saṃnāhaya	bindu-sAreNa aSokaH visarjitaH / gacCa kumAra takzi-SIlA-nagaram / saMnAhaya
   / caturaṅgabalakāyaṃ dattaṃ / yānaṃ praharaṇaṃ ca pratiṣiddhaṃ /	/ caturaFga-balakAyam dattam / yAnam praharaNam ca pratizidDam /
   yāvadaśokaḥ kumāraḥ pāṭaliputrānnirgacchan bhṛtyairvijñaptaḥ / kumāra	yAvat-aSokaH kumAraH pAwaliputrAt-nirgacCan BRtyEH-vijQaptaH / kumAra
   naivāsmākaṃ sainyapraharaṇaṃ kena vayaṃ kaṃ yodhayāmaḥ / tato	na-eva-asmAkam sEnya-praharaNam kena vayam kam yoDayAmaH / tatas-
   'śokenābhihitaṃ /	aSokena-aBihitam /
   yadi mama rājyavaipākyaṃ kuśalamasti sainyapraharaṇaṃ prādurbhavatu /	yadi mama rAjya-vEpAkyam kuSalam-asti sEnya-praharaNam prAdurBavatu /
   evamukte kumāreṇa pṛthivyāmavakāśo datto devatābhiḥ sainyapraharaṇāni	evam-ukte kumAreNa pRTivyAm-avakASaH dattaH devatABiH sEnya-praharaNAni
   copanītāni / yāvat kumāraścaturaṅgeṇa balakāyena takṣaśilāṃ gataḥ /	ca-upanItAni / yAvat kumAraH-caturaFgeNa bala-kAyena takzaSilAm gataH /
   śrutvā takṣaśilānivāsinaḥ paurā ardhatṛtīyāni yojanāni mārge śobhāṃ kṛtvā	SrutvA takzaSilA-nivAsinaH pOrAH arDa-tRtIyAni yojanAni mArge SoBAm kRtvA
   pūrṇaghaṭamādāya pratyudgatāḥ / pratyudgamya ca kathayanti / na vayaṃ	pUrNa-Gawam-AdAya pratyudgatAH / pratyudgamya ca kaTayanti / na vayam
   kumārasya viruddhā nāpi rājño bindusārasya / api tu duṣṭāmātyā asmākaṃ	kumArasya virudDAH na-api rAjQaH bindusArasya / api tu duzwa-amAtyAH asmAkam
   paribhavaṃ kurvanti / mahatā ca satkāreṇa takṣaśilāṃ praveśitaḥ /	pariBavam kurvanti / mahatA ca satkAreNa takzaSilAm praveSitaH /
   (A-av 40)	(a-a-au 40)
   evaṃ vistareṇa aśokaḥ khaśarājyaṃ praveśitaḥ / tasya dvau mahānagnau	evam vistareNa aSokaH KaSa-rAjyam praveSitaH / tasya dvO mahAn-agnO
   saṃśritau / tena tau vṛttyā saṃvibhaktau / tasyāgrataḥ parvatān	saMSritO / tena tO vRttyA saMviBaktO / tasya-agratas parvatAn
   saṃchindantau saṃprasthitau / devatābhiścoktaṃ /	saMCindantO saMprasTitO / devatABiH-ca-uktam /
   aśokaścaturbhāgacakravartī bhaviṣyati / na kenacid virodhitavyamiti /	aSokaH-catur-BAga-cakravartI Bavizyati / na kenacid viroDitavyam-iti /
   vistareṇa yāvadāsamudrā pṛthivī ājñāpitā /	vistareNa yAvat-AsamudrA pRTivI AjQApitA /
   yāvat susīmaḥ kumāra udyānāt pāṭaliputraṃ praviśati / rājño	yAvat susImaH kumAraH udyAnAt pAwaliputram praviSati / rAjQaH-
   bindusārasyāgrāmātyaḥ khalvāṭakaḥ pāṭaliputrānnirgacchati / tasya susīmena	bindusArasya-agra-amAtyaH KalvAwakaH pAwaliputrAt-nirgacCati / tasya su-sImena
   kumāreṇa krīḍābhiprāyatayā khaṭakā murdhni pātitā / yāvadamātyaścintayati	kumAreNa krIxA-aBiprAya-tayA KawakAH murDni pAtitAH / yAvat-amAtyaH-cintayati
   / idānīṃ khaṭakāṃ nipātayati / yadā rājā bhaviṣyati tadā śasraṃ	/ idAnIm KawakAm nipAtayati / yadA rAjA Bavizyati tadA Sasram
   pātayiṣyati / tathā kariṣyāmi yathā rājaiva na bhaviṣyati / tena	pAtayizyati / taTA karizyAmi yaTA rAjA-eva na Bavizyati / tena
   pañcāmātyaśatāni bhinnāni / aśokaścaturbhāgacakravartī nirdiṣṭaḥ / etaṃ	paQcAmAtya-SatAni BinnAni / aSokaH-catur-BAga-cakravartI nirdizwaH / etam
   rājye pratiṣṭhāpayiṣyāmaḥ / takṣaśilāśca punar virodhitāḥ /	rAjye pratizWApayizyAmaH / takzaSilAH-ca punar viroDitAH /
   yāvadrājñā susīmaḥ kumārastakṣaśilāmanupreṣitaḥ / na ca śakyate	yAvat-rAjQA susImaH kumAraH-takza-SilAm-anuprezitaH / na ca Sakyate
   saṃnāmayituṃ / bindusāraśca rājā glānībhūtaḥ / tenābhihitaṃ / (A-av 41)	saMnAmayitum / bindusAraH-ca rAjA glAnIBUtaH / tena-aBihitam / (a-a-au 41)
   susīmaṃ kumāramānayata / rājye pratiṣṭhāpayiṣyāmīti / aśokaṃ takṣaśilāṃ	su-sImam kumAram-Anayata / rAjye pratizWApayizyAmi-iti / aSokam takzaSilAm
   praveśayata /	praveSayata /
   yāvadamātyairaśokaḥ kumāro haridrayā praliptaḥ / lākṣāṃ ca lohapātre	yAvat-amAtyEH-aSokaH kumAraH haridrayA praliptaH / lAkzAm ca loha-pAtre
   kvāthayitvā kvathitena rasena lohapātrāṇi mrakṣayitvā chorayanti / aśokaḥ	kvATayitvA kvaTitena rasena loha-pAtrANi mra-kzayitvA Corayanti / aSokaH
   kumāro glānībhūta iti / yadā bindusāraḥ svalpāvaśeṣaprāṇaḥ	kumAraH glAnIBUtaH iti / yadA bindusAraH su-alpa-avaSeza-prANaH
   saṃvṛttastadāmātyairaśokaḥ kumāraḥ sarvālaṅkārairbhūṣayitvā rājño	saMvRttaH-tadA-amAtyEH-aSokaH kumAraH sarva-alaFkArEH-BUzayitvA rAjQaH-
   bindusārasyopanītaḥ / imaṃ tāvad rājye pratiṣṭhāpaya / yadā susīma āgato	bindusArasya-upanItaH / imam tAvat rAjye pratizWApaya / yadA su-sImaH AgataH-
   bhaviṣyati tadā taṃ rājye pratiṣṭhāpayiṣyāmaḥ /	Bavizyati tadA tam rAjye pratizWApayizyAmaH /
   tato rājā ruṣitaḥ / aśokena cābhihitaṃ / yadi mama dharmeṇa rājyaṃ bhavati	tatas rAjA ruzitaH / aSokena ca-aBihitam / yadi mama DarmeNa rAjyam Bavati
   devatā mama paṭṭaṃ badhnantu / yāvad devatābhiḥ paṭṭo baddhaḥ / taṃ dṛṣṭvā	devatAH mama pawwam baDnantu / yAvat devatABiH pawwaH badDaH / tam dRzwvA
   bindusārasya rājña uṣṇaṃ śoṇitiaṃ mukhādāgataṃ / yāvat kālagataḥ /	bindusArasya rAjQaH uzNam SoNitiam muKAt-Agatam / yAvat kAlagataH /
   yadāśoko rājye pratiṣṭhitas tasyordhva yojanaṃ yakṣāḥ [ādeśaṃ] śrṛṇvanti /	yadA-aSokaH rAjye pratizWitaH tasya-UrDva yojanam yakzAH [AdeSaM] SrRNvanti /
   adho yojanaṃ nāgāḥ / tena rādhagupto 'grāmātyaḥ sthāpitaḥ /	aDas yojanam nAgAH / tena rADaguptaH agra-amAtyaH sTApitaH /
   susīmenāpi śrutaṃ bindusāro rājā kālagato 'śoko rājye pratiṣṭhitaḥ / iti	su-sImena-api Srutam bindusAraH rAjA kAlagataH aSokaH rAjye pratizWitaH / iti
   śrutvā ca rūṣitamabhyāgataḥ / tvaritaṃ ca tasmād deśād āgataḥ /	SrutvA ca rUzitam-aByAgataH / tvaritam ca tasmAt deSAt AgataH /
   (A-av 42)	(a-a-au 42)
   aśokenāpi pāṭaliputre nagare ekasmin dvāre eko nagnaḥ sthāpitaḥ / dvitīye	aSokena-api pAwaliputre nagare ekasmin dvAre ekaH nagnaH sTApitaH / dvitIye
   dvitīyastṛtīye rādhaguptaḥ pūrvadvāre svayameva rājāśoko 'vasthitaḥ /	dvitIyaH-tRtIye rADaguptaH pUrva-dvAre svayam-eva rAja-aSokaH avasTitaH /
   rādhaguptena ca pūrvasmin dvāre yantramayo hastī sthāpitaḥ / tasyopari	rADaguptena ca pUrvasmin dvAre yantra-mayaH hastI sTApitaH / tasya-upari
   aśokasya ca pratimā nirmitā / paritaśca parikhāṃ khanayitvā	aSokasya ca pratimA nirmitA / paritas-ca pariKAm KanayitvA
   khadirāṅgāraiśca pūrayitvā tṛṇenācchādya [sā] pāṃśunākīrṇā /	Kadira-aFgArEH-ca pUrayitvA tRNena-AcCAdya [sA] pAMSunA-AkIrNA /
   susīmaścābhihito yadi śakyase 'śokaṃ ghātayituṃ rājeti /	su-sImaH-ca-aBihitaH yadi Sakyase aSokam GAtayitum rAjA-iti /
   sa yāvat pūrvadvāraṃ gataḥ / aśokena saha yotsyāmīti / aṅgārapūrṇāyāṃ	sa yAvat pUrva-dvAram gataH / aSokena saha yotsyAmi-iti / aFgAra-pUrNAyAm
   parikhāyāṃ patitaḥ / tatraiva cānayena vyasanamāpannaḥ / yadā ca susīmaḥ	pariKAyAm patitaH / tatra-eva ca-anayena vyasanam-ApannaH / yadA ca su-sImaH
   praghātitas tasyāpi mahānagno bhadrāyudho nāmnānekasahasraparivāraḥ / sa	praGAtitaH tasya-api mahAnagnaH BadrAyuDaH nAmnA-aneka-sahasra-parivAraH / sa
   bhagavacchāsane pravrajito 'rhan saṃvṛttaḥ /	Bagavat-SAsane pravrajitaH arhan saMvRttaH /
   yadāśoko rājye pratiṣṭhitaḥ sa tairamātyairavajñādṛśyate / tenāmātyānāṃ	yadA-aSokaH rAjye pratizWitaH sa tEH-amAtyEH-avajQAdRSyate / tena-amAtyAnAm
   śāsanārthamabhihitaṃ / bhavantaḥ puṣpavṛkṣān phalavṛkṣāṃśca chittvā	SAsana-arTam-aBihitam / BavantaH puzpa-vRkzAn Pala-vRkzAn=-ca CittvA
   kaṇṭakavṛkṣān paripālayantu / amātyā āhuḥ / devena kutra dṛṣṭaṃ / api tu	kaNwaka-vRkzAn paripAlayantu / amAtyAH AhuH / devena kutra dRzwam / api tu
   kaṇṭakavṛkṣān chittvā puṣpavṛkṣāḥ phalavṛṃkṣāśca paripālayitavyāḥ /	kaNwaka-vRkzAn CittvA puzpavRkzAH Pala-vRMkzAH-ca paripAlayitavyAH /
   tairyāvat trirapi rājña ājñā pratikalitā / tato (A-av 43) rājñā ruṣitena	tEH-yAvat tris-api rAjQaH AjQA pratikalitAH / tatas (A-au 43) rAjQA ruzitena
   asiṃ niṣkośaṃ kṛtvā pañcānāmamātyaśatānāṃ śirāṃsi chinnāni /	asim nizkoSam kRtvA paQcAnAm-amAtya-SatAnAm SirAMsi CinnAni /
   yāvad rājāśoko 'pareṇa samayenāntaḥ puraparivṛto vasantakāle samaye	yAvat rAja-aSokaH apareNa samayena-antar pura-parivRtaH vasanta-kAle samaye
   puṣpitaphaliteṣu pādapeṣu pūrvanagarasya udyānaṃ gataḥ / tatra ca	puzpita-Palitezu pAdapezu pUrva-nagarasya udyAnam gataH / tatra ca
   paribhramatāśokavṛkṣaḥ supuṣpito dṛṣṭaḥ / tato rājño mamāyaṃ sahanāmā	pariBramatA-Soka-vRkzaH su-puzpitaH dRzwaH / tatas rAjQaH mama-ayam sahanAmA
   ityanunayo jātaḥ / sa ca rājāśoko duḥsparśagātraḥ / tā yuvatayastaṃ	iti-anunayaH jAtaH / sa ca rAja-aSokaH duHsparSa-gAtraH / tAH yuvatayaH-tam
   necchanti spraṣṭuṃ / yāvad rājā śayitastasyāntaḥpureṇa roṣeṇa	na-icCanti sprazwum / yAvat rAjA SayitaH-tasya-antaHpureNa rozeNa
   tasmādaśokavṛkṣāt puṣpāṇi śākhāśca chinnāḥ /	tasmAt-aSoka-vRkzAt puzpANi SAKAH-ca CinnAH /
   yāvad rājñā pratibuddhena so 'śokavṛkṣo dṛṣṭaḥ / puṣṭāśca tatrasthāḥ kena	yAvat rAjQA pratibudDena saH aSoka-vRkzaH dRzwaH / puzwAH-ca tatrasTAH kena
   sa chinnaḥ / te kathayanti devāntaḥpurikābhiriti / śrutvā ca	sa CinnaH / te kaTayanti deva-antaHpurikABiH-iti / SrutvA ca
   rājñāmarṣajātena pañcastrīśatāni kiṭikaiḥ saṃveṣṭaya dagdhāni /	rAjQA-amarza-jAtena paQca-strI-SatAni kiwikEH saMvezwaya dagDAni /
   tasyemāni aśubhāni ālokya caṇḍo rājā caṇḍāśoka iti vyavasthāpitaḥ /	tasya-imAni aSuBAni Alokya caNxaH rAjA caNxa-aSokaH iti vyavasTApitaH /
   yāvad rādhaguptenāgrāmātyenābhihitaḥ / deva na sadṛśaṃ	yAvat rADaguptena-agra-amAtyena-aBihitaH / deva na sadRSam
   svayamevedṛśamakāryaṃ kartuṃ / api tu devasya vadhyaghātakāḥ puruṣāḥ	svayam-eva-IdRSam-akAryam kartum / api tu devasya vaDya-GAtakAH puruzAH
   sthāpayitavyā ye devasya vadhyakaraṇīyaṃ śodhayiṣyanti / yāvadrājñā	sTApayitavyAH ye devasya vaDyakaraNIyam SoDayizyanti / yAvat-rAjQA
   rājapuruṣāḥ pratyuktā vadhyaghātaṃ me mārgadhvamiti /	rAja-puruzAH pratyuktA vaDya-GAtam me mArgaDvam-iti /
   (A-av 44)	(a-a-au 44)
   yāvat tatra nātidūre parvatapādamūle karvaṭakaṃ / tatra tantravāyaḥ	yAvat tatra na-ati-dUre parvata-pAda-mUle karvawakam / tatra tantravAyaH
   prativasati / tasya putro jātaḥ / girika iti nāmadheyaṃ kṛtaṃ / caṇḍo	prativasati / tasya putraH jAtaH / girikaH iti nAmaDeyam kRtam / caNxo
   duṣṭātmā mātaraṃ pitaraṃ ca paribhāṣate /	duzwa-AtmA mAtaram pitaram ca pariBAzate /
   dārakadārikāśca tāḍayati / pipīlikān makṣikān mūṣikān matsyāṃśca jālena	dAraka-dArikAH-ca tAxayati / pipIlikAn makzikAn mUzikAn matsyAn=-ca jAlena
   baḍiśena praghātayati / caṇḍo dārakastasya caṇḍagirika iti nāmadheyaṃ	baxiSena praGAtayati / caNxaH dArakaH-tasya caNxagirikaH iti nAmaDeyam
   kṛtaṃ /	kRtam /
   yāvad rājapuruṣairdṛṣṭaḥ pāpe karmaṇi pravṛttaḥ / sa tairabhihitaḥ /	yAvat rAja-puruzEH-dRzwaH pApe karmaNi pravRttaH / sa tEH-aBihitaH /
   śakyase rājño 'śokasya vadhyakaraṇīyaṃ kartuṃ / sa āha / kṛtsnasya	Sakyase rAjQaH aSokasya vaDyakaraNIyam kartum / saH Aha / kRtsnasya
   jambudvīpasya vadhyakaraṇīyaṃ sādhayiṣyāmīti /	jambudvIpasya vaDyakaraNIyam sADayizyAmi-iti /
   yāvad rājño niveditaṃ / rājñābhihitamānīyatāmiti / sa ca	yAvat rAjQaH niveditam / rAjQA-aBihitam-AnIyatAm-iti / sa ca
   rājapuruṣairabhihitaḥ / āgaccha rājā tvāmāhvayatīti / tenābhihitam /	rAja-puruzEH-aBihitaH / AgacCa rAjA tvAm-Ahvayati-iti / tena-aBihitam /
   āgamayata / yāvadahaṃ mātāpitarāvavalokayāmīti / yāvan mātāpitarāvuvāca /	Agamayata / yAvat-aham mAtA-pitarAvavalokayAmi-iti / yAvat mAtA-pitarA=-uvAca /
   amba, tātānujānīdhvaṃ yāsyāmyahaṃ rājño 'śokasya vadhyakaraṇīyaṃ	amba, tAta-anujAnIDvam yAsyAmi-aham rAjQaH aSokasya vaDyakaraNIyam
   sādhayituṃ / tābhyāṃ ca sa nivāritaḥ / tena tau jīvitād vyaparopitau /	sADayitum / tAByAm ca sa nivAritaH / tena tO jIvitAt vyaparopitO /
   evaṃ yāvad rājapuruṣairabhihitaḥ / kimarthaṃ cireṇābhyāgato 'si / tena	evam yAvat rAja-puruzEH-aBihitaH / kimarTam cireNa-aByAgataH asi / tena
   caitat prakaraṇaṃ vistareṇārocitaṃ /	ca-etat prakaraNam vistareNa-Arocitam /
   sa tairyāvad rājño 'śokasyopanāmitaḥ / tena rājño 'bhihitaṃ / (A-av 45)	sa tEH-yAvat rAjQaH aSokasya-upanAmitaH / tena rAjQaH aBihitam / (a-a-au 45)
   mamārthāya gṛhaṃ kārayasveti / yāvad rājñā gṛhaṃ kārāpitaṃ / paramadāruṇaṃ	mama-arTAya gRham kArayasva-iti / yAvat rAjQA gRham kArApitam / parama-dAruNam
