   uttarabhāgaḥ	uttara BAgaH
   śvapaco 'pi mahīpāla viṣṇubhakto dvijādhikaḥ // NarP_2,10.37 //	SvapacaH api mahIpAla vizNu BaktaH dvija aDikaH // NA rP_2,10.37 //
   viṣṇubhaktivihīnastu dvijo 'pi śvapacādhikaḥ /	vizNu Bakti vihInaH tu dvijaH api Svapaca aDikaH /
   durlabhā bhūpa rājāno viṣṇubhaktā mahītale // NarP_2,10.38 //	durlaBAH BUpa rAjAnaH vizNu BaktAH mahI tale // NA rP_2,10.38 //
   nāvaiṣṇavo bhavedrājā kṣitilakṣmīprasādhakaḥ /	na avEzNavaH Bavet rAjA kziti lakzmI prasADakaH /
   yo na rājā raherbhakto deveṣvanyeṣu bhaktimān // NarP_2,10.39 //	yaH na rAjA raheH BaktaH devezu anyezu BaktimAn // NA rP_2,10.39 //
   yathā jāre patiṃ tyaktvā ratā strī sa tathā nṛpaḥ /	yaTA jAre patim tyaktvA ratA strI sa taTA nRpaH /
   evaṃ vyatikramastasya nṛpaterbhavati dhruvam // NarP_2,10.40 //	evam vyatikramaH tasya nRpateH Bavati Druvam // NA rP_2,10.40 //
   dharmasyārthasya kāmasya prajñāyāśca gaterapi /	Darmasya arTasya kAmasya prajQAyAH ca gateH api /
   tattvayā nyāyavihitaṃ kṛtaṃ viṣṇoḥ prapūjanam // NarP_2,10.41 //	tattvayA nyAya vihitam kRtam vizNoH prapUjanam // NA rP_2,10.41 //
   tena dhanyo 'si nṛpate vayaṃ dhanyāstavekṣaṇāt /	tena DanyaH asi nRpate vayam DanyAH tava IkzaNAt /
   ityevaṃ bhāṣamāṇaṃ tu vāmadevaṃ nṛpottamaḥ // NarP_2,10.42 //	iti evam BAzamANam tu vAmadevam nRpa uttamaH // NA rP_2,10.42 //
   uvācāvanato bhūtvā prakṛtyā vinayānvitaḥ /	uvAca avanataH BUtvA prakRtyA vinaya anvitaH /
   kṣāmaye tvā dvijaśreṣṭha nāhametādṛśo vibho // NarP_2,10.43 //	kzAmaye tvA dvijaSrezWa na aham etAdRSaH viBo // NA rP_2,10.43 //
   tvatpādapāṃsunā tulyo nāhaṃ vipra bhavāmi hi /	tvad pAda pAMsunA tulyaH na aham vipra BavAmi hi /
   na viprebhyo 'dhikā devā bhavantīha kadācana // NarP_2,10.44 //	na vipreByaH aDikAH devAH Bavanti iha kadAcana // NA rP_2,10.44 //
   parituṣṭairdvijairbhaktirjantorbhavati mādhave /	parituzwEH dvijEH BaktiH jantoH Bavati mADave /
   dveṣyo bhavati tai ruṣṭaiḥ satyametanmayeritam // NarP_2,10.45 //	dvezyaH Bavati tEH ruzwEH satyam etat mayA Iritam // NA rP_2,10.45 //
   tamāha vāmadevastu brūhi kiṃ te dadāmyaham /	tam Aha vAmadevaH tu brUhi kim te dadAmi aham /
   nādeyaṃ vidyate rājangṛhāyātasya te 'dhunā // NarP_2,10.46 //	nAdeyam vidyate rAjan gRha AyAtasya te aDunA // NA rP_2,10.46 //
   abhīṣṭaṃ hi mahīpāla yo dadāti mahītale /	aBIzwam hi mahIpAla yaH dadAti mahI tale /
   paṭahaṃ vāsare viṣṇoḥ prajābhojanavāraṇam // NarP_2,10.47 //	pawaham vAsare vizNoH prajA Bojana vAraNam // NA rP_2,10.47 //
   tamāha nṛpatirvipraṃ kṛtāñjalipuṭastadā /	tam Aha nRpatiH vipram kRta aQjali puwaH tadA /
   prāptameva mayā sarvaṃ tvadaṅghriyugalekṣaṇāt // NarP_2,10.48 //	prAptam eva mayA sarvam tvad aFGri yugala IkzaNAt // NA rP_2,10.48 //
   mamaikaḥ saṃśayo brahman vartate bahukālataḥ /	mama ekaH saMSayaH brahman vartate bahu kAlataH /
   taṃ pṛcchāmi dvijāgryaṃ tvāṃ sarvasaṃdehabhañjanam // NarP_2,10.49 //	tam pRcCAmi dvijAgryam tvAm sarva saMdeha BaQjanam // NA rP_2,10.49 //
   trailokyasundarī bhāryā mama kena sukarmaṇā /	trElokya sundarI BAryA mama kena sukarmaNA /
   yā vilokayate dṛṣṭyā māṃ sadā manmathādhikam // NarP_2,10.50 //	yA vilokayate dRzwyA mAm sadA manmaTa aDikam // NA rP_2,10.50 //
   yatra yatra padaṃ devī dadāti varavarṇinī /	yatra yatra padam devI dadAti varavarNinI /
   tatra tatra nidhānāni prakāśayati medinī // NarP_2,10.51 //	tatra tatra niDAnAni prakASayati medinI // NA rP_2,10.51 //
   yasyāścāṅgaṃ jarāhīnaṃ valīpalitavarjitam /	yasyAH ca aFgam jarA hInam valI palita varjitam /
   sadā bhāti muniśreṣṭha śāradenduprabhā yathā // NarP_2,10.52 //	sadA BAti muni SrezWa SArada indu praBA yaTA // NA rP_2,10.52 //
   vināgnināpi sā vipra sādhayatyeva ṣaḍrasam /	vinA agninA api sA vipra sADayati eva zaz rasam /
   annaṃ pacati yatsvalpaṃ tasminbhuñjanti koṭayaḥ // NarP_2,10.53 //	annam pacati yat svalpam tasmin BuQjanti kowayaH // NA rP_2,10.53 //
   pitavratā dānaśīlā sarvabhūtasukhāvahā /	pita vratA dAna SIlA sarva BUta suKa AvahAH /
   nāvajñā kriyate brahman vākyenāpi prasūptayā // NarP_2,10.54 //	na avajQA kriyate brahman vAkyena api prasUptayA // NA rP_2,10.54 //
   yasyāṃ jātastu tanayo mamājñāyāṃ sthitaḥ sadā /	yasyAm jAtaH tu tanayaH mama AjQAyAm sTitaH sadA /
   ahameva dharāpṛṣṭhe putrī dvijavarottama // NarP_2,10.55 //	aham eva DarA pRzWe putrI dvijavara uttamaH // NA rP_2,10.55 //
   yasya putraḥ piturbhakto hyadhiko guṇasaṃcayaiḥ /	yasya putraH pituH BaktaH hi aDikaH guNa saMcayEH /
   ekadvīpapatiścāhaṃ vidito dharaṇītale // NarP_2,10.56 //	eka dvIpa patiH ca aham viditaH DaraNI tale // NA rP_2,10.56 //
   putro mamādhiko jātaḥ saptadvīpaprapālakaḥ /	putraH mama aDikaH jAtaH sapta dvIpa prapAlakaH /
   madarthe yena viprendra samānītā nṛpātmajā // NarP_2,10.57 //	mad arTe yena vipra indra samAnItAH nRpa AtmajA // NA rP_2,10.57 //
   vidyullekheti vikhyātā raṇe jitvā mahībhujaḥ /	vidyut leKA iti viKyAtAH raNe jitvA mahIBujaH /
   atha tenādhipatinā rūpadraviṇaśālinā // NarP_2,10.58 //	aTa tena aDipatinA rUpa draviNa SAlinA // NA rP_2,10.58 //
   ṣaṇmāsena raṇe jitvā kṛtvā sarvānnirāyudhān /	zaz mAsena raNe jitvA kRtvA sarvAn nirAyuDAn /
   yo gatvā pramadārājyaṃ jitvā tāḥ pramadā raṇe // NarP_2,10.59 //	yaH gatvA pramadA rAjyam jitvA tAH pramadAH raNe // NA rP_2,10.59 //
   ājahāra śubhāstāsāṃ madhyādaṣṭau varāṅganāḥ /	AjahAra SuBAH tAsAm maDyAt azwO vara aFganAH /
   pradadau mayi tāḥ sarvāḥ praṇamya ca punaḥ punaḥ // NarP_2,10.60 //	pradadO mayi tAH sarvAH praNamya ca punar punar // NA rP_2,10.60 //
   yāni vāsāṃsi divyāni yāni ratnāni bhūtale /	yAni vAsAMsi divyAni yAni ratnAni BU tale /
   tāni me pradadau putro jananyā tūpavarṇitaḥ // NarP_2,10.61 //	tAni me pradadO putraH jananyA tu upavarNitaH // NA rP_2,10.61 //
   ekāhnā pṛthivīṃ sarvāmatītya bahuyojanām /	eka ahnA pRTivIm sarvAm atItya bahu yojanAm /
   punarāyāti śarvaryāṃ matpādābhyaṅgakāraṇāt // NarP_2,10.62 //	punar AyAti SarvaryAm mad pAda aByaFga kAraNAt // NA rP_2,10.62 //
   niśītheṃ'gāni saṃvāhya dvāri tiṣṭhati daṃśitaḥ /	niSITeM agAni saMvAhya dvAri tizWati daMSitaH /
   prabodhayanpreṣyajanānnidrayā saṃkulendriyān // NarP_2,10.63 //	praboDayan prezya janAt nidrayA saMkula indriyAn // NA rP_2,10.63 //
   tathāyaṃ me muniśreṣṭha deho rogavivarjitaḥ /	taTA ayam me muni SrezWa dehaH roga vivarjitaH /
   aprameyaṃ mama sukhaṃ vaśagā hi priyā gṛhe // NarP_2,10.64 //	aprameyam mama suKam vaSagAH hi priyAH gRhe // NA rP_2,10.64 //
   vājino vāraṇāścaiva dhanadhānyamanantakam /	vAjinaH vAraNAH ca eva Dana DAnyam anantakam /
   vartate hi janaḥ sarvo mamājñāpālakaḥ kṣitau // NarP_2,10.65 //	vartate hi janaH sarvaH mama AjQA pAlakaH kzitO // NA rP_2,10.65 //
   kena karmaprabhāveṇa mamedaṃ sāṃprataṃ sukham /	kena karma praBAveNa mama idam sAMpratam suKam /
   iha janmakṛtaṃ vāpi parajanmakṛtaṃ tathā // NarP_2,10.66 //	iha janma kRtam vA api para janma kRtam taTA // NA rP_2,10.66 //
   mama puṇyaṃ vada brahman vicārya svamanīṣayā // NarP_2,10.67 //	mama puNyam vada brahman vicArya sva manIzayA // NA rP_2,10.67 //
   dehe na rogo vaśagāpriyā ca gṛhe vibhūtirnṛharau ca bhaktiḥ /	dehe na rogaH vaSagA priyA ca gRhe viBUtiH nRharO ca BaktiH /
   vidvatsu pūjā dvijadānaśaktirmanye 'hametatsukṛtaprasūtam // NarP_2,10.68	vidvatsu pUjA dvija dAna SaktiH manye aham etat su kRta prasUtam // NA rP_2,10.68
   iti śrībṛhannāradīyapurāṇottarabhāge rukmāṅgada vāmadevasaṃvādo nāma	iti SrI bRhat nAradIyapurANa uttara BAge rukma aFgada vAmadeva saMvAdaH nAma
   daśamo 'dhyāyaḥ	daSamaH aDyAyaH
   vasiṣṭha uvāca	vasizWaH uvAca
   tacchrutvā nṛpatervākyaṃ mahājñānī munīśvaraḥ /	tat SrutvA nRpateH vAkyam mahA jQAnI muni ISvaraH /
   cintayitvā kṣaṇaṃ jñātvā kāraṇaṃ tamucāva ha // NarP_2,11.1 //	cintayitvA kzaNam jQAtvA kAraNam tam ucAva ha // NA rP_2,11.1 //
   vāmadeva uvāca	vAmadevaH uvAca
   purā tvamavanīpāla śūdrajātisamudbhavaḥ /	purA tvam avanIpAla SUdra jAti samudBavaH /
   dārirdyeṇa parābhūto duṣṭayā bhāryayā tathā // NarP_2,11.2 //	dArirdyeNa parABUtaH duzwayA BAryayA taTA // NA rP_2,11.2 //
   parasevanayā caiva vetanena bhujikriyā /	para sevanayA ca eva vetanena Buji kriyAH /
   nivasanduḥkhasaṃtapto bahuvarṣāṇi pārthiva // NarP_2,11.3 //	nivasan duHKa saMtaptaH bahu varzANi pArTiva // NA rP_2,11.3 //
   kadāciddvijasaṃsargāttīrthayātrāṃ gato bhavān /	kadAcid dvija saMsargAt tIrTa yAtrAm gataH BavAn /
   tataḥ sarvāṇi tīrthāni parakramya mahīpate // NarP_2,11.4 //	tatas sarvANi tIrTAni para kramya mahIpate // NA rP_2,11.4 //
   dvijasevāparo jāto mathurāṃ puṇyarūpiṇīm /	dvija sevA paraH jAtaH maTurAm puNya rUpiNIm /
   tatra snātaṃ tvayā viprasaṃgena yamunājale // NarP_2,11.5 //	tatra snAtam tvayA vipra saMgena yamunA jale // NA rP_2,11.5 //
   viśrāntisaṃjñake tīrthe sarvatīrthottamottame /	viSrAnti saMjQake tIrTe sarva tIrTa uttama uttame /
   mandire ca varāhasya kathyamānāṃ kathāṃ nṛpa // NarP_2,11.6 //	mandire ca varAhasya kaTyamAnAm kaTAm nRpa // NA rP_2,11.6 //
   purāṇoktāṃ ca śuśrāva aśūnyaśayanavratam /	purANa uktAm ca SuSrAva aSUnyaSayana vratam /
   caturbhiḥ pāraṇairyasya niṣpattistu vidhīyate // NarP_2,11.7 //	caturBiH pAraNEH yasya nizpattiH tu viDIyate // NA rP_2,11.7 //
   yena cīrṇena deveśo jīmūtābhaḥ prasīdati /	yena cIrNena deveSaH jImUta ABaH prasIdati /
   lakṣmībhartā jagannātho niḥśeṣāghaughanāśanaḥ // NarP_2,11.8 //	lakzmI BartA jagannATaH niHSeza aGa oGa nASanaH // NA rP_2,11.8 //
   tatkṛtaṃ bhavatā rājanpunarabhyetya mandiram /	tat kRtam BavatA rAjan punar aByetya mandiram /
   aśūnyaśayanaṃ puṇyaṃ gṛhe vṛddhikaraṃ param // NarP_2,11.9 //	aSUnya Sayanam puNyam gRhe vRdDi karam param // NA rP_2,11.9 //
   akṛtvedaṃ mahārāja vrataṃ pātakanāśanam /	akRtvA idam mahA rAja vratam pAtaka nASanam /
   gārhasthyamanutiṣṭheta vandhyāvanniṣphalo bhavet /	gArhasTyam anutizWeta vanDyAvat nizPalaH Bavet /
   sukhamīdṛgvidhaṃ loke durlabhaṃ pratibhāti me // NarP_2,11.10 //	suKam IdRgviDam loke durlaBam pratiBAti me // NA rP_2,11.10 //
   śrāvaṇasya tu māsasya dvitīyayāṃ mahīpate /	SrAvaNasya tu mAsasya dvitIyayAm mahIpate /
   grāhyametadvrataṃ puṇyaṃ janmamṛtyujarāpaham // NarP_2,11.11 //	grAhyam etat vratam puNyam janma mRtyu jarA apaham // NA rP_2,11.11 //
   lakṣmīyukto jagannāthaḥ pūjanīyo 'tra pārthiva /	lakzmI yuktaH jagannATaH pUjanIyaH atra pArTiva /
   phalaiḥ puṣpaistathā dhūpaiścāruraktānulepanaiḥ /	PalEH puzpEH taTA DUpEH cAru rakta anulepanEH /
   śayyādānairvastradānaistathā brāhmaṇabhojanaiḥ // NarP_2,11.12 //	SayyA dAnEH vastra dAnEH taTA brAhmaNa BojanEH // NA rP_2,11.12 //
   tattvayā sarvametaddhikṛtaṃ rājansudustaram /	tat tvayA sarvam etat hikRtam rAjan su dustaram /
   tasyaiva karmaṇaḥ puṣṭiraśūnyasya mahīpate /	tasya eva karmaNaH puzwiH aSUnyasya mahIpate /
   imānevāgrataḥ puṇyāstvayoktānvistarācchṛṇu // NarP_2,11.13 //	imAn eva agratas puNyAH tvayA uktAn vistarAt SRNu // NA rP_2,11.13 //
   nāprasanneṃ jagannāthe bhaveyuriti niścitam /	na aprasannem jagannATe BaveyuH iti niScitam /
   pūrvajanmani deveśastvayāśūnyena pūjitaḥ // NarP_2,11.14 //	pUrva janmani deveSaH tvayA aSUnyena pUjitaH // NA rP_2,11.14 //
   iha janmani rājendra dvādaśyārcayase harim /	iha janmani rAja indra dvAdaSya arcayase harim /
   avaśyaṃ prāpyase rājan viṣṇoḥ sāyujyatāṃ dhruvam // NarP_2,11.15 //	avaSyam prApyase rAjan vizNoH sAyujyatAm Druvam // NA rP_2,11.15 //
   eṣa praśno mayā rājanvyākhyātaste sumaṅgalaḥ /	eza praSnaH mayA rAjan vyAKyAtaH te sumaFgalaH /
   saṃpadāṃ prabhavopeto jñāterutkarṣaṇārthakaḥ // NarP_2,11.16 //	saMpadAm praBava upetaH jQAteH utkarzaNa arTakaH // NA rP_2,11.16 //
   kimanyatte mahīpāla dadāmīha karomi ca /	kim anyat te mahIpAla dadAmi iha karomi ca /
   avaśyaṃ sarvayogyo 'si bhakto 'si tvaṃ janārdane // NarP_2,11.17 //	avaSyam sarva yogyaH asi BaktaH asi tvam janArdane // NA rP_2,11.17 //
   rājovāca	rAjA uvAca
   utsuko 'haṃ dvijaśreṣṭha mandaraṃ parvataṃ prati /	utsukaH aham dvijaSrezWa mandaram parvatam prati /
   tatrāścaryāṇyanekāni draṣṭukāmastavājñayā // NarP_2,11.18 //	tatra AScaryANi anekAni drazwu kAmaH tava AjQayA // NA rP_2,11.18 //
   laghurbhūtvā guruṃ tyaktvā putropari dvijottama /	laGuH BUtvA gurum tyaktvA putra upari dvijottamaH /
   rājyaśāsanajaṃ bhāraṃ durvahaṃ yacca bhūmipaiḥ // NarP_2,11.19 //	rAjya SAsana jam BAram durvaham yat ca BUmipEH // NA rP_2,11.19 //
   so 'haṃ svecchācaro yāto matkṛtyaṃ tanayaścaret /	saH aham svecCA caraH yAtaH mad kRtyam tanayaH caret /
   tacchatvā vacanaṃ rājño vāmadevo 'bravīdidam // NarP_2,11.20 //	tat SatvA vacanam rAjQaH vAmadevaH abravIt idam // NA rP_2,11.20 //
   etaddhi paramaṃ kṛtyaṃ putrasya nṛpapuṅgavaṃ /	etat hi paramam kRtyam putrasya nRpa puFgavam /
   yatkleśātpitaraṃ premṇā vimocayati sarvadā // NarP_2,11.21 //	yat kleSAt pitaram premNA vimocayati sarvadA // NA rP_2,11.21 //
   piturvacanakārī ca manovākkāyaśaktitaḥ /	pituH vacana kArI ca manaH vAkkAya SaktitaH /
   tasya bhāgīrathīsnānamahanyahani jāyate // NarP_2,11.22 //	tasya BAgIraTI snAnam ahani ahani jAyate // NA rP_2,11.22 //
   nirasya pitṛvākyaṃ tu vrajetsnātuṃ surāpagām /	nirasya pitR vAkyam tu vrajet snAtum surApagAm /
   no śuddhistasya putrasya itītthaṃ vaidikī śrutiḥ // NarP_2,11.23 //	no SudDiH tasya putrasya iti itTam vEdikI SrutiH // NA rP_2,11.23 //
   sa tvaṃ gaccha yathākāmaṃ kṛtakṛtyo 'si bhūpate /	sa tvam gacCa yaTAkAmam kRtakRtyaH asi BUpate /
   hariprasādātte jāto vaṃśe putraḥ sa puṇyakṛt // NarP_2,11.24 //	hari prasAdAt te jAtaH vaMSe putraH sa puNya kRt // NA rP_2,11.24 //
   evamukte tu muninā samāruhya turaṅgamam /	evam ukte tu muninA samAruhya turaFgamam /
   yayau śīghragatiḥ śrīmānsadāgatiriva svayam // NarP_2,11.25 //	yayO SIGra gatiH SrImAn sadA gatiH iva svayam // NA rP_2,11.25 //
   vīkṣyamāṇo girīnsarvānvanāni saritastathā /	vIkzyamANaH girIn sarvAn vanAni saritaH taTA /
   sarvāścaryāṇi rājendraḥ sarāṃsyupavanāni ca // NarP_2,11.26 //	sarva AScaryANi rAja indraH sarAMsi upavanAni ca // NA rP_2,11.26 //
   so 'cireṇaiva kālena saṃprāpto mandarācalam /	saH acireNa eva kAlena saMprAptaH mandara acalam /
   bhrāmayitvā giriṃ śvetaṃ gandhamādanameva ca // NarP_2,11.27 //	BrAmayitvA girim Svetam ganDamAdanam eva ca // NA rP_2,11.27 //
   atītya ca mahāmeruṃ dṛṣṭvā caivottarānkurūn /	atItya ca mahA merum dRzwvA ca eva uttarAn kurUn /
   śatasūryapratīkāśaṃ sarvataḥ kāñcanāvṛtam // NarP_2,11.28 //	Sata sUrya pratIkASam sarvatas kAQcana AvRtam // NA rP_2,11.28 //
   saṃghṛṣṭaṃ haribāhubhyāṃ sravantaṃ kāñcanaṃ rasam /	saMGRzwam hari bAhuByAm sravantam kAQcanam rasam /
   tadbhūbhāgaṃ nagākīrṇaṃ bahudhātuvibhūṣitam // NarP_2,11.29 //	tat BU BAgam naga AkIrNam bahu DAtu viBUzitam // NA rP_2,11.29 //
   bahunirjharasaṃyuktaṃ bahukandarabhūṣitam /	bahu nirJara saMyuktam bahu kandara BUzitam /
   nimnāgāyutasaṃpūrṇaṃ dhautaṃ gaṅgājalaiḥ śubhaiḥ // NarP_2,11.30 //	nimnAga ayuta saMpUrNam DOtam gaFgA jalEH SuBEH // NA rP_2,11.30 //
   viśvastairyuvatīvṛndaiḥ kāntāśarmopasevibhiḥ /	viSvastEH yuvatI vRndEH kAntA Sarma upaseviBiH /
   ghaṭapramāṇairnṛpate paripakvaiḥ sugandhibhiḥ // NarP_2,11.31 //	Gawa pramANEH nRpate paripakvEH suganDiBiH // NA rP_2,11.31 //
   phalairyuvatisaṃbhūtaiḥ kucairiva vibhūṣitam /	PalEH yuvati saMBUtEH kucEH iva viBUzitam /
   dvirephadhvanisaṃyuktaṃ kokilasvaranāditam // NarP_2,11.32 //	dvirePa Dvani saMyuktam kokila svara nAditam // NA rP_2,11.32 //
   anekasattvavirutaiḥ samantānnāditaṃ girim /	aneka sattva virutEH samantAt nAditam girim /
   saṃpaśyamāno nṛpatirviveśa sa mahāgirim // NarP_2,11.33 //	saMpaSyamAnaH nRpatiH viveSa sa mahA girim // NA rP_2,11.33 //
   āroḍhukāmastu kutūhalāttamanveṣayankena pathā praroham /	AroXu kAmaH tu kutUhalAt tam anvezayan kena paTA praroham /
   sa vīkṣate yāvadasau samantāttāvatsamastaṃ drumapakṣisaṃgham //	sa vIkzate yAvat asO samantAt tAvat samastam druma pakzi saMGam //
   NarP_2,11.34 //	NA rP_2,11.34 //
   visarpamāṇaṃ dhvaninā gṛhītaṃ vimohinīvaktrasamudbhavena /	visarpamANam DvaninA gRhItam vimohinI vaktra samudBavena /
   upaplavantaṃ tarasā mahīpastenaiva sārddhaṃ sa jagāma tūrṇam //	upaplavantam tarasA mahIpaH tena eva sArdDam sa jagAma tUrNam //
   NarP_2,11.35 //	NA rP_2,11.35 //
   tasyāpi karṇe dhvanirāviveśa vimohinīvaktrasamudbhavo yaḥ /	tasya api karNe DvaniH AviveSa vimohinI vaktra samudBavaH yaH /
   vimohito yena vimucya vāhaṃ trivikrameṇeva vilaṅghyamānam // NarP_2,11.36	vimohitaH yena vimucya vA aham trivikrameNa iva vilaFGyamAnam // NA rP_2,11.36
   mārgaṃ girermohinigītamugdhaṃ kṣaṇena rājā sahasā dadarśa /	mArgam gireH mohi nigIta mugDam kzaNena rAjA sahasA dadarSa /
   girau sthitāṃ taptasuvarṇabhāsaṃ kāmasya yaṣṭīmiva nirmitāṃ ca //	girO sTitAm tapta suvarNa BAsam kAmasya yazwIm iva nirmitAm ca //
   NarP_2,11.37 //	NA rP_2,11.37 //
   śakrasya liṅgaṃ gagane prasaktaṃ saṃpūjayantīmiva lokasūtyai /	Sakrasya liFgam gagane prasaktam saMpUjayantIm iva loka sUtyE /
   kṣamāsvarūpāmiva vai rasāyā gireḥ sutāyā iva rūparāśim // NarP_2,11.38 //	kzamA svarUpAm iva vE rasAyAH gireH sutAyAH iva rUpa rASim // NA rP_2,11.38 //
   siṃdhostu velāmiva rūpayuktāṃ tasyāstanuṃ vai ratimandirākhyām /	siMDoH tu velAm iva rUpa yuktAm tasyAH tanum vE rati mandirA AKyAm /
   vikarṣamāṇāṃ sahasā trinetraṃ liṅgāśrayaṃ devavinodanārtham //	vikarzamANAm sahasA trinetram liFga ASrayam deva vinodana arTam //
   NarP_2,11.39 //	NA rP_2,11.39 //
   tatpuṇyakartturmanasābhilāṣāṃ vyavasthito mohinirūpadarśī /	tad puNya karttuH manasA aBilAzAm vyavasTitaH mohini rUpa darSI /
   vimohito 'sau nipapāta rājā vimohinīkāmaśareṇa viddhaḥ // NarP_2,11.40 //	vimohitaH asO nipapAta rAjA vimohinI kAma SareNa vidDaH // NA rP_2,11.40 //
   jvareṇa tīvreṇa gṛhītadehaḥ samīpamasyāḥ sa sasarpa śīghram /	jvareNa tIvreNa gRhIta dehaH samIpam asyAH sa sasarpa SIGram /
   visarpiṇaṃ bhūmipatiṃ sunetrā vilokayāmāsa kaṭākṣadṛṣṭyā // NarP_2,11.41	visarpiNam BUmipatim sunetrA vilokayAmAsa kawAkza dRzwyA // NA rP_2,11.41
   vimucya vīṇāṃ virarāma gītātpāptaṃ ca kāryaṃ sahasaiva mene /	vimucya vINAm virarAma gItAt pAptam ca kAryam sahasA eva mene /
   vidhūnayantī mṛgapakṣisaghānsuvāsasā gaṇḍabhujau nivārya // NarP_2,11.42	viDUnayantI mRga pakzi saGAn su vAsasA gaNxa BujO nivArya // NA rP_2,11.42
   śilīmukhān śvāsasugandhamugdhān jagāma devī nṛpateḥ samīpam /	SilImuKAn SvAsa suganDa mugDAn jagAma devI nRpateH samIpam /
   tyaktvā haraṃ pūjyatamaṃ suliṅgaṃ gagatvā tu pārśve tamudāraceṣṭā //	tyaktvA haram pUjyatamam su liFgam gagatvA tu pArSve tam udAra cezwA //
   NarP_2,11.43 //	NA rP_2,11.43 //
   vimohinī nīrarajapatranetrā uvāca vākyaṃ madhuraṃ manojñam /	vimohinI nIra raja patra netrAH uvAca vAkyam maDuram manojQam /
   rukmāṅgadaṃ kāmaśarābhitaptamuttiṣṭha rājanvaśagā tavāham // NarP_2,11.44	rukma aFgadam kAma Sara aBitaptam uttizWa rAjan vaSa gA tava aham // NA rP_2,11.44
   kiṃ mūrcchayā dehamimaṃ kṣiṇoṣi yastvaṃ dharābhāramimaṃ mahāntam /	kim mUrcCayA deham imam kziNozi yaH tvam DarA BAram imam mahAntam /
   tṛṇīkṛtaṃ bhūpa samudvahethā yanmāmakaṃ rūpamavekṣya hāri // NarP_2,11.45	tRNIkRtam BUpa samudvaheTAH yat mAmakam rUpam avekzya hAri // NA rP_2,11.45
   kiṃ muhyase durbalagauriveha paṅke nimagnā bhava tvam /	kim muhyase durbala gOH iva iha paFke nimagnA Bava tvam /
   dhīro 'si viḍaṃbayethāḥ kimarthamātmānamudāraceṣṭam // NarP_2,11.46 //	DIraH asi vixaMbayeTAH kimarTam AtmAnam udAra cezwam // NA rP_2,11.46 //
   yadyasti vāñchā tava bhūpatīśa mamānukūle surate 'tihṛdye /	yadi asti vAQCA tava BUpati ISa mama anukUle surate ati hRdye /
   pradāya dānaṃ ca sudharmamuktaṃ bhuṅkṣva svadāsīmiva māṃ ratijñām //	pradAya dAnam ca suDarmam uktam BuFkzva sva dAsIm iva mAm rati jQAm //
   NarP_2,11.47 //	NA rP_2,11.47 //
   iti śrībṛhannāradīyapurāṇottarebhāge mohinīdarśanaṃ nāma ekādaśo 'dhyāyaḥ	iti SrI bRhat nAradIya purANa uttareBAge mohinIdarSanam nAma ekAdaSaH aDyAyaH
   vasiṣṭa uvāca	vasizwaH uvAca
   vyāhṛte śobhane vākye mohinyā nṛpatistadā /	vyAhRte SoBane vAkye mohinyA nRpatiH tadA /
   unmīlya netre rājendra śatapatranibhe tathā // NarP_2,12.1 //	unmIlya netre rAja indra Satapatra niBe taTA // NA rP_2,12.1 //
   sagadgadamuvācedaṃ mugdho mohinidarśanāt /	sa gadgadam uvAca idam mugDaH mohi ni darSanAt /
   mayā bāle subahuśaḥ pūrṇacandranibhānanāḥ // NarP_2,12.2 //	mayA bAle su bahuSas pUrNa candra niBa AnanAH // NA rP_2,12.2 //
   dṛṣṭāstathānubhūtāśca nedṛgdṛṣṭaṃ vapuḥ kvacit /	dRzwAH taTA anuBUtAH ca na IdRS dRzwam vapuH kvacid /
   yādṛśaṃ tvaṃ dhārayase rūpaṃ lokavimohanam // NarP_2,12.3 //	yAdRSam tvam DArayase rUpam loka vimohanam // NA rP_2,12.3 //
   so 'haṃ darśanamātreṇa tvadīyena varānane /	saH aham darSana mAtreNa tvadIyena varAnane /
