   mālinīvijayottaratantram	mAlinIvijaya-uttaratantram
   7.34cd: aṅguṣṭhau madhyamūlasthau mudreyam amṛtaprabhā	7.34cd: aFguzWO maDya-mUla-sTO mudrA-iyam amRta-praBA
   7.35ab: dakṣiṇaṃ nābhimūle tu vāmasyopari saṃsthitam	7.35ab: dakziNam nABi-mUle tu vAmasya-upari saMsTitam
   7.35cd: tarjanyaṅguṣṭhakau lagnau ucchritau yogakarmaṇi	7.35cd: tarjanI-aFguzWakO lagnO ucCritO yoga-karmaNi
   7.36ab: evaṃ mudrāgaṇaṃ mantrī badhnīyad dhṛdaye budhaḥ	7.36ab: evam mudrA-gaNam mantrI baDnIyat DRdaye buDaH
   7.36cd: sarvāsāṃ vācakāś cāsāṃ oṃ hrīṃ nāma tato namaḥ	7.36cd: sarvAsAm vAcakAH ca-AsAm om hrIm nAma tatas namaH
   iti śrīmālinīvijayottare tantre mudrādhikāro saptamaḥ samāptaḥ	iti SrI-mAlinI-vijaya-uttare tantre mudrA-aDikAraH saptamaH samAptaH
   8.1ab: athātaḥ saṃpravakṣyāmi yajanaṃ sarvakāmadam	8.1ab: aTa-atas saMpravakzyAmi yajanam sarva-kAma-dam
   8.1cd: yasya darśanamātreṇa yoginīsaṃmato bhavet	8.1cd: yasya darSana-mAtreNa yoginI-saMmataH Bavet-
   8.2ab: tatrādau yāgasadanaṃ śubhe kṣetre manoramam	8.2ab: tatra-AdO yAga-sadanam SuBe kzetre manoramam
   8.2cd: kārayed agnikuṇḍena vartulena samanvitam	8.2cd: kArayet agnikuNxena vartulena samanvitam
   8.3ab: pañcaviṃśatiparveṇa samantād ardhanābhinā	8.3ab: paQcaviMSati-parveNa samantAt arDanABinA
   8.3cd: turyāṃśamekhalenāpi parvauṣṭhena suśobhinā	8.3cd: turya-aMSa-meKalena-api parva-ozWena su-SoBinA
   8.4ab: tataḥ snātvā jitadvandvo bhāvasnānena mantravit	8.4ab: tatas snAtvA jita-dvandvaH BAva-snAnena mantra-vid-
   8.4cd: tac ca ṣaḍvidham uddiṣṭaṃ bhasmasnānādyanukramāt	8.4cd: tat ca zaxviDam uddizwam Basma-snAna-Adi-anukramAt-
   8.5ab: bhasmasnānaṃ mahāstreṇa bhasma saptābhimantritam	8.5ab: Basma-snAnam mahA-astreNa Basma sapta-aBimantritam
   8.5cd: malasnānāya saṃhārakrameṇoddhūlayet tanum	8.5cd: mala-snAnAya saMhAra-krameNa-udDUlayet tanum
   8.6ab: vidyāṅgaiḥ pañcabhiḥ paścāc chiraḥ prabhṛti guṇṭhayet	8.6ab: vidyA-aFgEH paQcaBiH paScAt SiraH praBRti guNWayet-
   8.6cd: abhiṣekaṃ tu kurvīta mūlenaiva ṣaḍaṅginā	8.6cd: aBizekam tu kurvIta mUlena-eva zaxaFginA
   8.7ab: tato 'vāsāḥ suvāsā ca hastau pādau ca dhāvayet	8.7ab: tatas avAsAH su-vAsA ca hastO pAdO ca DAvayet-
   8.7cd: ācamya mārjanaṃ kuryād vidyayā bhūrivarṇayā	8.7cd: Acamya mArjanam kuryAt vidyayA BUri-varNayA
   8.8ab: nyāsaṃ kṛtvā tu sāmānyām aghamarṣaṃ dvitīyayā	8.8ab: nyAsam kRtvA tu sAmAnyAm aGamarzam dvitIyayA
   8.8cd: upasthānaṃ ca mālinyā japec caikākṣarāṃ parām	8.8cd: upasTAnam ca mAlinyAH japet ca-eka-akzarAm parAm
   8.9ab: jalasnāne 'pi cāstreṇa mṛdaṃ saptābhimantritam	8.9ab: jala-snAne api ca-astreNa mRdam sapta-aBimantritam
   8.9cd: pūrvavat tanum ālabhya malasnānaṃ samācaret	8.9cd: pUrvavat tanum AlaBya mala-snAnam samAcaret-
   8.10ab: vidhisnānādikaṃ cātra pūrvavat kiṃ tu vāriṇā	8.10ab: viDi-snAna-Adikam ca-atra pUrvavat kim tu vAriNA
   8.10cd: sādhāraṇavidhisnāto vidyātritayamantritam	8.10cd: sADAraNa-viDi-snAtaH vidyA-tritaya-mantritam
   8.11ab: toyaṃ vinikṣipen mūrdhni mantrasnānāya mantravit	8.11ab: toyam vinikzipet mUrDni mantra-snAnAya mantra-vid-
   8.11cd: rajasā godhutenaiva vāyavyaṃ snānam ācaret	8.11cd: rajasA goDutena-eva vAyavyam snAnam Acaret-
   8.12ab: mahāstram uccaran gacched dhyānayuk padasaptakam	8.12ab: mahA-astram uccaran gacCet DyAna-yuj pada-saptakam
   8.12cd: tad eva punar āgacched anusmṛtya parāparām	8.12cd: tat eva punar AgacCet anusmRtya parAparAm
   8.13ab: varṣātapasamāyogād divyo .apy evaṃvidho mataḥ	8.13ab: varza-Atapa-samAyogAt divyaH .api evaMviDaH mataH
   8.13cd: kiṃ tu tatra parāṃ mantrī sravantīm amṛtaṃ smaret	8.13cd: kim tu tatra parAm mantrI sravantIm amRtam smaret-
   8.14ab: astreṇāṅguṣṭhamūlāt tu vahnim utthāpya nirdahet	8.14ab: astreNa-aFguzWa-mUlAt tu vahnim utTApya nirdahet-
   8.14cd: svatanuṃ plāvayet paścāt parayaivāmṛtena tu	8.14cd: sva-tanum plAvayet paScAt parayA-eva-amRtena tu
   8.15ab: sūryādau mantram ādāya gacched astram anusmaran	8.15ab: sUrya-AdO mantram AdAya gacCet astram anusmaran
   8.15cd: yāgaveśmāstrasaṃśuddhaṃ viśec chucir anākulaḥ	8.15cd: yAga-veSma-astra-saMSudDam viSet SuciH anAkulaH
   8.16ab: tatra dvārapatīn pūjya mahāstreṇābhimantritam	8.16ab: tatra dvAra-patIn pUjya mahA-astreNa-aBimantritam
   8.16cd: puṣpaṃ vinikṣiped dhyātvā jvaladvighnapraśāntaye	8.16cd: puzpam vinikzipet DyAtvA jvalat-viGna-praSAntaye
   8.17ab: daśasv api tato 'streṇa dikṣu saṃkalpya rakṣaṇaṃ	8.17ab: daSasu api tatas astreNa dikzu saMkalpya rakzaNam
   8.17cd: praviśed yāgasadanaṃ vahnivad vahnisaṃyutam	8.17cd: praviSet yAga-sadanam vahni-vat vahni-saMyutam
   8.18ab: pūrvāsyaḥ saumyavaktro vā viśeṣanyāsam ārabhet	8.18ab: pUrva-AsyaH sOmya-vaktraH vA viSeza-nyAsam AraBet-
   8.18cd: tatrādāv astramantreṇa kālānalasamatviṣā	8.18cd: tatra-AdO astra-mantreNa kAla-anala-sama-tvizA
   8.19ab: aṅguṣṭhāgrāt tanuṃ dagdhāṃ sabāhyābhyantarāṃ smaret	8.19ab: aFguzWa-agrAt tanum dagDAm sa-bAhya-aByantarAm smaret-
   8.19cd: vikīryamāṇaṃ tadbhasma dhyātvā kavacavāyunā	8.19cd: vikIryamANam tat-Basma DyAtvA kavaca-vAyunA
   8.20ab: śivabindusamākāram ātmānam anucintayet	8.20ab: Siva-bindu-sama-AkAram AtmAnam anucintayet-
   8.20cd: tato 'sya yojayec chaktiṃ so 'ham ity aparājitaḥ	8.20cd: tatas asya yojayet Saktim saH aham iti aparAjitaH
   8.21ab: vidyāmūrtiṃ tato dadhyān mantreṇānena śāṅkari	8.21ab: vidyA-mUrtim tatas daDyAt mantreNa-anena SAFkari
   8.21cd: daṇḍākrāntaṃ mahāprāṇaṃ daṇḍārūḍhaṃ sanābhikam	8.21cd: daNxa-AkrAntam mahA-prANam daNxa-ArUXam sa-nABikam
   8.22ab: nitambaṃ tadadhastāc ca vāmastanam adhaḥ punaḥ	8.22ab: nitambam tat-aDastAt ca vAma-stanam aDas punar-
   8.22cd: kaṇṭhaṃ ca vāmaśikharaṃ vāmamudrāvibhūṣitam	8.22cd: kaNWam ca vAma-SiKaram vAma-mudrA-viBUzitam
   8.23ab: bindvardhacandrakhaṃ nādaśaktibinduvibhūṣitam	8.23ab: bindu-arDacandraKam nAda-Sakti-bindu-viBUzitam
   8.23cd: eṣa piṇḍakaro devi navātmaka iti śrutaḥ	8.23cd: eza piNxa-karaH devi nava-AtmakaH iti SrutaH
   8.24ab: sarvasiddhikaraś cāyaṃ sarahasyam udāhṛtaḥ	8.24ab: sarva-sidDi-karaH ca-ayam sa-rahasyam udAhRtaH
   8.24cd: eṣa tryarṇojjhito .adhastād dīrghaiḥ ṣaḍbhiḥ svarair yutaḥ	8.24cd: eza tri-arNa-ujJitaH .aDastAt dIrGEH zaxBiH svarEH yutaH
   8.25ab: ṣaḍaṅgāni hṛdādīni jātibhedena kalpayet	8.25ab: zaz-aFgAni hRd-AdIni jAti-Bedena kalpayet-
   8.25cd: kṣayaravalabījaiś ca dīptair binduvibhūṣitaiḥ	8.25cd: kzaya-ravala-bIjEH ca dIptEH bindu-viBUzitEH
   8.26ab: vaktrāṇi kalpayet pūrvam ūrdhvavaktrāditaḥ kramāt	8.26ab: vaktrANi kalpayet pUrvam UrDva-vaktra-Aditas kramAt-
   8.26cd: pratyaṅgavidhisiddhyarthaṃ lalāṭādiṣv atho nyaset	8.26cd: pratyaFga-viDi-sidDi-arTam lalAwa-Adizu aTo nyaset-
   8.27ab: a lalāṭe dvitīyaṃ ca vaktre saṃparikalpayet	8.27ab: a lalAwe dvitIyam ca vaktre saMparikalpayet-
   8.27cd: i ī netradvaye dattvā u ū karṇadvaye nyaset	8.27cd: i I netra-dvaye dattvA u U karNa-dvaye nyaset-
   8.28ab: ṛ .R nāsāpuṭe tadvad ḷ .L gaṇḍadvaye tathā	8.28ab: R .R nAsA-puwe tadvat ? .L gaNxa-dvaye taTA
   8.28cd: e ai adhordhvadanteṣu o-aukārau tathoṣṭhayoḥ	8.28cd: e E aDorDva-dantezu o-OkArO taTA-uzWayoH
   8.29ab: aṃ śikhāyāṃ visargeṇa jihvāṃ saṃparikalpayet	8.29ab: am SiKAyAm visargeNa jihvAm saMparikalpayet-
   8.29cd: dakṣiṇaskandhadordaṇḍa karāṅgulinakheṣu ca	8.29cd: dakziNa-skanDa-dos-daNxa kara-aFguli-naKezu ca
   8.30ab: kavargaṃ vinyased vāme tadvac cādyam anukramāt	8.30ab: kavargam vinyaset vAme tadvat ca-Adyam anukramAt-
   8.30cd: ṭatādyau pūrvavad vargau nitamborvādiṣu nyaset	8.30cd: watA-AdyO pUrvavat vargO nitamba-UH-u-Adizu nyaset-
   8.31ab: pādyaṃ pārśvadvaye pṛṣṭhe jaṭhare hṛdy anukramāt	8.31ab: pAdyam pArSva-dvaye pRzWe jaWare hRdi anukramAt-
   8.31cd: tvagraktamāṃsasūtreṣu yavargaṃ parikalpayet	8.31cd: tvac-rakta-mAMsa-sUtrezu yavargam parikalpayet-
   8.32ab: śādyam asthivasāśukraprāṇakopeṣu pañcakam	8.32ab: SAdyam asTi-vasA-Sukra-prANa-kopezu paQcakam
   8.32cd: mūrtyaṅgāni tato dattvā śivam āvāhayed budhaḥ	8.32cd: mUrti-aFgAni tatas dattvA Sivam AvAhayet buDaH
   8.33ab: prāṇopari nyasen nābhiṃ tadūrdhve dakṣiṇāṅgulim	8.33ab: prANa-upari nyaset nABim tad-UrDve dakziNa-aFgulim
   8.33cd: vāmakarṇaprameyotaḥ sarvasiddhipradaḥ śivaḥ	8.33cd: vAma-karNa-prameyotaH sarva-sidDi-pradaH SivaH
   8.34ab: sadbhāvaḥ paramo hy eṣaḥ bhairavasya mahātmanaḥ	8.34ab: sadBAvaH paramaH hi ezaH BEravasya mahAtmanaH
   8.34cd: aṅgāny anena kāryāṇi pūrvavat svarabhedataḥ	8.34cd: aFgAni anena kAryANi pUrvavat svaraBedataH
   8.35ab: mūrtiḥ sṛṣṭis tritattvaṃ ca aṣṭau mūrtyaṅgasaṃyutāḥ	8.35ab: mUrtiH sRzwiH tri-tattvam ca azwO mUrti-aFga-saMyutAH
   8.35cd: śivaḥ sāṅgaś ca ṣoḍhaiva nyāsaḥ saṃparikīrtitaḥ	8.35cd: SivaH sa-aFgaH ca zoXA-eva nyAsaH saMparikIrtitaH
   8.36ab: asyopari tataḥ śāktaṃ kuryān nyāsaṃ yathā śṛṇu	8.36ab: asya-upari tatas SAktam kuryAt nyAsam yaTA SRNu
   8.36cd: mūrtau parāparāṃ nyasya tadvaktrāṇi ca mālinīm	8.36cd: mUrtO parAparAm nyasya tad-vaktrANi ca mAlinIm
   8.37ab: parāditritayaṃ paścāc chikhāhṛtpādagaṃ nyaset	8.37ab: para-Adi-tritayam paScAt SiKA-hRd-pAda-gam nyaset-
   8.37cd: kavaktrakaṇṭhahṛnnābhiguhyorūpādagaṃ kramāt	8.37cd: ka-vaktra-kaNWa-hRd-nABi-guhyaH-rUpAdagam kramAt-
   8.38ab: aghoryādyaṣṭakaṃ nyasya vidyāṅgāni tu pūrvavat	8.38ab: aGoryAdi-azwakam nyasya vidyA-aFgAni tu pUrvavat-
   8.38cd: tatas tv āvāhayec chaktiṃ sarvayoginamaskṛtām	8.38cd: tatas tu AvAhayet Saktim sarva-yogi-namaskRtAm
   8.39ab: jīvaḥ prāṇapuṭāntasthaḥ kālānalasamadyutiḥ	8.39ab: jIvaH prANa-puwa-anta-sTaH kAla-anala-sama-dyutiH
   8.39cd: atidīptas tu vāmāṅghribhūṣito mūrdhni bindunā	8.39cd: ati-dIptaH tu vAma-aFGri-BUzitaH mUrDni bindunA
   8.40ab: dakṣajānuyutaś cāyaṃ sarvamātṛgaṇānvitaḥ	8.40ab: dakza-jAnu-yutaH ca-ayam sarva-mAtR-gaNa-anvitaH
   8.40cd: anena prīṇitāḥ sarvā dadate vāñchitaṃ phalam	8.40cd: anena prINitAH sarvAH dadate vAQCitam Palam
   8.41ab: sadbhāvaḥ paramo hy eṣa mātṛṇāṃ paripaṭhyate	8.41ab: sadBAvaH paramaH hi eza mAtRNAm paripaWyate
   8.41cd: tasmād enāṃ japen mantrī ya icchet siddhim uttamām	8.41cd: tasmAt enAm japet mantrI yaH icCet sidDim uttamAm
   8.42ab: rudraśaktisamāveśo nityam atra pratiṣṭhitaḥ	8.42ab: rudra-Sakti-samAveSaH nityam atra pratizWitaH
   8.42cd: yasmād eṣā parāśaktir bhedenānena kīrtitā	8.42cd: yasmAt ezA parASaktiH Bedena-anena kIrtitA
   8.43ab: yāvatyaḥ siddhayas tantre sarvāḥ syur anayā kṛtāḥ	8.43ab: yAvatyaH sidDayaH tantre sarvAH syuH anayA kRtAH
   8.43cd: aṅgāni kalpayed asyāḥ pūrvavat svarabhedataḥ	8.43cd: aFgAni kalpayet asyAH pUrvavat svaraBedataH
   8.44ab: mūrtiḥ savaktrā śaktiś ca vidyātritaya eva ca	8.44ab: mUrtiH sa-vaktrA SaktiH ca vidyA-tritayaH eva ca
   8.44cd: aghoryādyaṣṭakaṃ ceti tathā vidyāṅgapañcakam	8.44cd: aGorya-Adi-azwakam ca-iti taTA vidyA-aFga-paQcakam
   8.45ab: sāṅgāś caiva parā śaktir nyāsaḥ prokto .atha ṣaḍvidhaḥ	8.45ab: sa-aFgAH ca-eva parA SaktiH nyAsaH proktaH .aTa zaxviDaH
   8.45cd: yāmalo 'yam ato nyāsaḥ sarvasiddhiprasiddhaye	8.45cd: yAmalaH ayam atas nyAsaH sarva-sidDi-prasidDaye
   8.46ab: vāmo vāyaṃ vidhiḥ kāryo muktimārgāvalambibhiḥ	8.46ab: vAmaH vA-ayam viDiH kAryaH mukti-mArga-avalambiBiH
   8.46cd: varṇamantravibhedena pṛthag vā tatphalārthibhiḥ	8.46cd: varNa-mantra-viBedena pRTak vA tad-Pala-arTiBiH
   8.47ab: yāvantaḥ kīrtitā bhedaiḥ śaṃbhuśaktyaṇuvācakāḥ	8.47ab: yAvantaH kIrtitAH BedEH SaMBu-Sakti-aNu-vAcakAH
   8.47cd: tāvatsv apy evam evāyaṃ nyāsaḥ pañcavidho mataḥ	8.47cd: tAvatsu api evam eva-ayam nyAsaH paQcaviDaH mataH
   8.48ab: kiṃ tu bāhyas tu yo yatra sa tatrāṅgasamanvitaḥ	8.48ab: kim tu bAhyaH tu yaH yatra sa tatra-aFga-samanvitaH
   8.48cd: ṣaṣṭhaḥ syād iti sarvatra ṣoḍhaivāyam udāhṛtaḥ	8.48cd: zazWaH syAt iti sarvatra zoXA-eva-ayam udAhRtaH
   8.49ab: svānuṣṭhānāvirodhena bhāvābhāvavikalpanaiḥ	8.49ab: sva-anuzWAna-aviroDena BAva-aBAva-vikalpanEH
   8.49cd: yāgadravyāṇi sarvāṇi kāryāṇi vidhivad budhaiḥ	8.49cd: yAga-dravyANi sarvANi kAryANi viDivat buDEH
   8.50ab: tato 'rghapātram ādāya bhāvābhāvavikalpitam	8.50ab: tatas arGapAtram AdAya BAva-aBAva-vikalpitam
   8.50cd: tataś cāstrāgnisaṃdagdhaṃ śaktyambuplāvitaṃ śuci	8.50cd: tatas ca-astra-agni-saMdagDam Sakti-ambu-plAvitam Suci
   8.51ab: kartavyā yasya saṃśuddhir anyasyāpy atra vastunaḥ	8.51ab: kartavyA yasya saMSudDiH anyasya-api atra vastunaH
   8.51cd: tasyānenaiva mārgeṇa prakartavyā vijānatā	8.51cd: tasya-anena-eva mArgeNa prakartavyA vijAnatA
   8.52ab: na cāsaṃśodhitaṃ vastu kiñcid apy atra kalpayet	8.52ab: na ca-asaMSoDitam vastu kiQcid api atra kalpayet-
   8.52cd: tena śuddhaṃ tu sarvaṃ yad aśuddham api tac chuci	8.52cd: tena SudDam tu sarvam yat aSudDam api tat Suci
   8.53ab: tad ambunā samāpūrya ṣaḍbhir aṅgaiḥ samarpya ca	8.53ab: tat ambunA samApUrya zaxBiH aFgEH samarpya ca
   8.53cd: amṛtīkṛtya sarvāṇi tena dravyāṇi śodhayet	8.53cd: amRtIkRtya sarvANi tena dravyANi SoDayet-
   8.54ab: ātmānaṃ pūjayitvā tu kuryād antaḥkṛtiṃ yathā	8.54ab: AtmAnam pUjayitvA tu kuryAt antaHkRtim yaTA
   8.54cd: tathā te kathayiṣyāmi sarvayogigaṇārcite	8.54cd: taTA te kaTayizyAmi sarva-yogi-gaNa-arcite
   8.55ab: ādāvauāv ādhāraśaktiṃ tu nābhyadhaś caturaṅgulām	8.55ab: AdO=-OO ADAra-Saktim tu na-aByaDas catur-aFgulAm
   8.55cd: dharāṃ surodaṃ potaṃ ca kandaś ceti catuṣṭayam	8.55cd: DarAm surodam potam ca kandaH ca-iti catuzwayam
   8.56ab: ekaikāṅgulam etat syāc chūlasyāmalasārakam	8.56ab: ekEka-aFgulam etat syAt SUlasya-amala-sArakam
   8.56cd: tato nālam anantākhyaṃ daṇḍam asya prakalpayet	8.56cd: tatas na-alam ananta-AKyam daNxam asya prakalpayet-
   8.57ab: lambikāvadhitaś cātra śūlordhvaṃ granthir iṣyate	8.57ab: lambikA-avaDitaH ca-atra SUla-UrDvam granTiH izyate
   8.57cd: abhittvainaṃ mahādevi pāśajālamahārṇavam	8.57cd: aBittva-enam mahAdevi pASa-jAla-mahA-arNavam
   8.58ab: na sa yogam avāpnoti śivena saha mānavaḥ	8.58ab: na sa yogam avApnoti Sivena saha mAnavaH
   8.58cd: dharmaṃ jñānaṃ ca vairāgyam aiśvaryaṃ ca catuṣṭayam	8.58cd: Darmam jQAnam ca vErAgyam ESvaryam ca catuzwayam
   8.59ab: koṇeṣu cintayen mantrī āgneyādiṣv anukramāt	8.59ab: koNezu cintayet mantrI Agneya-Adizu anukramAt-
   8.59cd: gātrakāṇāṃ catuṣkaṃ ca dikṣu pūrvādiṣu smaret	8.59cd: gAtrakANAm catuzkam ca dikzu pUrva-Adizu smaret-
   8.60ab: granther ūrdhvaṃ triśūlādho bhavitavyā catuṣkikā	8.60ab: granTeH UrDvam triSUla-aDas BavitavyA catuzkikA
   8.60cd: vidyātattvaṃ tad evāhuś chadanatrayasaṃyutam	8.60cd: vidyA-tattvam tat eva-AhuH Cadana-traya-saMyutam
   8.61ab: kakhalambikayor madhye tat tattvam anucintayet	8.61ab: kaKa-lambikayoH maDye tat tattvam anucintayet-
   8.61cd: padmākṛti kakhatattvam aiśvaraṃ cintayed budhaḥ	8.61cd: padma-AkRti kaKa-tattvam ESvaram cintayet buDaH
   8.62ab: karṇikākesaropetaṃ sabījaṃ vikasat sitam	8.62ab: karNikA-kesara-upetam sa-bIjam vikasat sitam
   8.62cd: pūrvapatrāditaḥ paścād vāmādinavakaṃ nyaset	8.62cd: pUrva-patra-Aditas paScAt vAma-Adi-navakam nyaset-
   8.63ab: vāmā jyeṣṭhā ca raudrī ca kālī ceti tathā parā	8.63ab: vAmA jyezWA ca rOdrI ca kAlI ca-iti taTA parA
   8.63cd: kalavikaraṇī caiva balavikaraṇī tathā	8.63cd: kalavikaraNI ca-eva balavikaraNI taTA
   8.64ab: balapramathanī cānyā sarvabhūtadamany api	8.64ab: bala-pramaTanI ca-anyA sarva-BUta-damanI api
   8.64cd: manonmanī ca madhye 'pi bhānumārgeṇa vinyaset	8.64cd: manonmanI ca maDye api BAnu-mArgeNa vinyaset-
   8.65ab: vibhvādinavakaṃ cānyad vilomāt parikalpayet	8.65ab: viBvAdi-navakam ca-anyat vilomAt parikalpayet-
   8.65cd: vibhur jñānī kriyā cecchā vāgīśī jvālinī tathā	8.65cd: viBuH jQAnI kriyA ca-icCA vAgISI jvAlinI taTA
   8.66ab: vāmā jyeṣṭhā ca raudrī ca sarvāḥ kālānalaprabhāḥ	8.66ab: vAmA jyezWA ca rOdrI ca sarvAH kAla-anala-praBAH
   8.66cd: brahmaviṣṇuharāḥ pūrvaṃ ye śāktāḥ pratipāditāḥ	8.66cd: brahma-vizNu-harAH pUrvam ye SAktAH pratipAditAH
   8.67ab: dalakesaramadhyasthā maṇḍalānāṃ ta īśvarāḥ	8.67ab: dala-kesara-maDya-sTAH maNxalAnAm te ISvarAH
   8.67cd: dhvani [?] cārkenduvahnīnāṃ saṃjñeyā paribhāvayet	8.67cd: Dvani [?] ca-arka-indu-vahnInAm saMjQeyA pariBAvayet-
   8.68ab: īśvaraṃ ca mahāpretaṃ prahasantaṃ sacetanam	8.68ab: ISvaram ca mahA-pretam prahasantam sa-cetanam
   8.68cd: kālāgnikoṭivapuṣam ity evaṃ sarvam āsanam	8.68cd: kAlAgni-kowi-vapuzam iti evam sarvam Asanam
   8.69ab: tasya nābhyutthitaṃ śaktiśūlaśṛṅgatrayaṃ smaret	8.69ab: tasya na-aByutTitam Sakti-SUla-SRFga-trayam smaret-
   8.69cd: kakhatrayeṇa niryātaṃ dvādaśāntāvasānakam	8.69cd: kaKatrayeNa niryAtam dvAdaSAnta-avasAnakam
   8.70ab: cintayet tasya śṛṅgeṣu śāktaṃ padmatrayaṃ tataḥ	8.70ab: cintayet tasya SRFgezu SAktam padma-trayam tatas-
   8.70cd: sarvādhiṣṭhāyakaṃ śuklamām ity etat paramāsanam	8.70cd: sarva-aDizWAyakam SuklamAm iti etat parama-Asanam
   8.71ab: tatropari tato mūrtiṃ vidyākhyām anucintayet	8.71ab: tatra-upari tatas mUrtim vidyA-AKyAm anucintayet-
   8.71cd: ātmākhyāṃ ca tatas tasyāṃ pūrvanyāsaṃ śivātmakam	8.71cd: AtmA-AKyAm ca tatas tasyAm pUrva-nyAsam Siva-Atmakam
   8.72ab: tato madhye parāṃ śaktiṃ dakṣiṇottarayor dvayam	8.72ab: tatas maDye parAm Saktim dakziNa-uttarayoH dvayam
   8.72cd: parāparāṃ svarūpeṇa raktavarṇāṃ mahābalām	8.72cd: parAparAm svarUpeNa rakta-varNAm mahA-balAm
   8.73ab: icchārūpadharāṃ dhyātvā kiṃ cid ugrāṃ na bhīṣaṇām	8.73ab: icCA-rUpa-DarAm DyAtvA kim cit ugrAm na BIzaNAm
   8.73cd: aparāṃ vāmaśṛṅge tu bhīṣaṇāṃ kṛṣṇapiṅgalām	8.73cd: aparAm vAma-SRFge tu BIzaNAm kRzNa-piFgalAm
   8.74ab: icchārūpadharāṃ devīṃ praṇatārtivināśinīm	8.74ab: icCA-rUpa-DarAm devIm praNata-Arti-vinASinIm
   8.74cd: parāṃ cāpyāyanīṃ devīṃ candrakoṭyayutaprabhām	8.74cd: parAm ca-ApyAyanIm devIm candra-kowi-ayuta-praBAm
   8.75ab: ṣaḍvidhe 'pi kṛte śākte mūrtyādāv api cintayet	8.75ab: zaxviDe api kRte SAkte mUrti-AdO api cintayet-
   8.75cd: vidyāṅgapañcakaṃ paścād āgneyyādiṣu vinyaset	8.75cd: vidyA-aFga-paQcakam paScAt AgneyI-Adizu vinyaset-
   8.76ab: agnīśarakṣovāyūnāṃ dakṣiṇe ca yathākrama	8.76ab: agnISa-rakzaH-vAyUnAm dakziNe ca yaTAkrama
   8.76cd: śaktyaṅgāni śivāṅgāni tathaiva vidhinā smaret	8.76cd: Sakti-aFgAni Siva-aFgAni taTA-eva viDinA smaret-
   8.77ab: kiṃ tu śakrādidikṣv astramantraṃ madhye ca locanam	8.77ab: kim tu Sakra-Adi-dikzu astra-mantram maDye ca locanam
   8.77cd: aghorādyaṣṭakaṃ dhyāyed aghoryādyaṣṭakānvitam	8.77cd: aGora-Adi-azwakam DyAyet aGoryAdi-azwaka-anvitam
   8.78ab: sarvāsām āvṛtatvena lokapālāṃś ca bāhyataḥ	8.78ab: sarvAsAm AvRta-tvena lokapAlAn ca bAhyatas-
   8.78cd: sāstrān svamantraiḥ saṃcintya japaṃ paścāt samārabhet	8.78cd: sa-astrAn sva-mantrEH saMcintya japam paScAt samAraBet-
   8.79ab: svarūpe tallayo bhūtvā ekaikāṃ daśadhā smaret	8.79ab: svarUpe tad-layaH BUtvA ekEkAm daSaDA smaret-
   8.79cd: jvalatpāvakasaṃkāśāṃ dhyātvā svāhāntam uccaret	8.79cd: jvalat-pAvaka-saMkASAm DyAtvA svAhA-antam uccaret-
   8.80ab: sakṛd ekaikaśo mantrī homakarmaprasiddhaye	8.80ab: sakRt ekEkaSas mantrI homa-karma-prasidDaye
   8.80cd: ity eva mānaso yāgaḥ kathitaḥ sāmudāyikaḥ	8.80cd: iti eva mAnasaH yAgaH kaTitaH sAmudAyikaH
   8.81ab: etat triśūlam uddiṣṭam ekadaṇḍaṃ triśaktikam	8.81ab: etat triSUlam uddizwam eka-daNxam tri-Saktikam
   8.81cd: ittham etad avijñāya śaktiśūlaṃ varānane	8.81cd: itTam etat avijQAya Sakti-SUlam varAnane
   8.82ab: baddhvāpi khecarīṃ mudrāṃ notpatayaty avanītalāt	8.82ab: badDvA-api KecarIm mudrAm na-utpatayati avanI-talAt-
   8.82cd: ity etac chāmbhavaṃ proktam aṣṭāntaṃ śāktam iṣyate	8.82cd: iti etat SAmBavam proktam azwa-antam SAktam izyate
   8.83ab: turyāntam āṇavaṃ vidyād iti śūlatrayaṃ matam	8.83ab: turya-antam ANavam vidyAt iti SUla-trayam matam
   8.83cd: pṛthag yāgavidhānena śakticakraṃ vicintayet	8.83cd: pRTak yAga-viDAnena Sakti-cakram vicintayet-
   8.84ab: tenāpi khecarīṃ baddhvā tyajaty evaṃ mahītalam	8.84ab: tena-api KecarIm badDvA tyajati evam mahI-talam
   8.84cd: tato 'bhimantrya dhānyāni mahāstreṇa trisaptadhā	8.84cd: tatas aBimantrya DAnyAni mahA-astreNa tri-saptaDA
   8.85ab: nikṣiped dikṣu sarvāsu jvalatpāvakavat smaret	8.85ab: nikzipet dikzu sarvAsu jvalat-pAvaka-vat smaret-
   8.85cd: nirvighnaṃ tad gṛhaṃ dhyātvā saṃhṛtyeśadiśaṃ nayet	8.85cd: nirviGnam tat gRham DyAtvA saMhRtya-ISa-diSam nayet-
   8.86ab: pañcagavyaṃ tataḥ kuryād vadanaiḥ pañcabhir budhaḥ	8.86ab: paQcagavyam tatas kuryAt vadanEH paQcaBiH buDaH
   8.86cd: gomūtraṃ gomayaṃ caiva kṣīraṃ dadhi ghṛtaṃ tathā	8.86cd: go-mUtram gomayam ca-eva kzIram daDi GRtam taTA
