   || śrīḥ ||	|| SrIH ||
   "rajaso mithuna sattvaṃ sattvasya mithunaṃ rajaḥ /	"rajasaH miTuna sattvam sattvasya miTunam rajaH /
   ubhayoḥ sattvarajasor mithunaṃ tama ucyate" //	uBayoH sattva-rajasoH miTunam tamaH ucyate" //
   (devībhāgavatapurāṇa 3 |50)	(devI-BAgavata-purANaH 3 |50)
   kiṃ cānyat --- anyonyavṛttayaś ca guṇāḥ | anyonyasya vṛttiṃ janayanti |	kim ca-anyat -- anyonya-vRttayaH ca guNAH | anyonyasya vRttim janayanti |
   yathā kācit strī nayavinayavilāsalīlāvatī bhartur ātmano bandhuvargasya ca	yaTA kAcid strI naya-vinaya-vilAsa-lIlAvatI BartuH AtmanaH banDu-vargasya ca
   prītiṃ janayati | saiva sapatnīṣu duḥkhamohau janayati | evaṃ sattvena	prItim janayati | sA-eva sapatnIzu duHKa-mohO janayati | evam sattvena
   strībhūtena rajasas tamasaś ca vṛttir janitā | evam anyeṣv api yojyam //	strI-BUtena rajasaH tamasaH ca vRttiH janitA | evam anyezu api yojyam //
   SkMv_12 //	SkMu-_12 //
   (p.16)	(p.16)
   atrāha --- na khalu sattvarajastamāṃsi jātyantarāṇi | kutaḥ | svabhāveṣv	atra-Aha -- na Kalu sattva-rajaH-tamAMsi jAti-antarANi | kutas | svaBAvezu-
   avasthānāt | iha khalu	avasTAnAt | iha Kalu
   rūpayauvanadākṣiṇyamatisādhutvasmṛtyugrabhāvābhāvalīlāvilāsasampannā strī	rUpa-yOvana-dAkziNyam-ati-sADu-tva-smRti-ugra-BAva-aBAva-lIlA-vilAsa-sampannA strI
   sattvasya rūpam upadiśyate | sā ca bhartuḥ sukhāvahā bhavati, sapatnīnāṃ	sattvasya rUpam upadiSyate | sA ca BartuH suKa-AvahA Bavati, sapatnInAm
   duḥkhāya rāgiṇāṃ mohāya ca | tathā kṣatriyā duḥkhapraharaṇakṛtāparādhāṃ	duHKAya rAgiNAm mohAya ca | taTA kzatriyAH duHKa-praharaNa-kRta-aparADAm
   dasyusenām abhinighnatī rajaso rūpam ity upadiśyate | tena ca dasyubhir	dasyu-senAm aBiniGnatI rajasaH rUpam iti upadiSyate | tena ca dasyuBiH-
   upadrutānāṃ dāryamāṇānāṃ sukhāvahā bhavati | dasyūnāṃ duḥkhāya mohāya ca |	upadrutAnAm dAryamANAnAm suKa-AvahA Bavati | dasyUnAm duHKAya mohAya ca |
   tathā ghanāghano mahākṛṣṇo meghas toyādhmāto 'valambī grasamāna iva nabho	taTA GanAGanaH mahAkRzNaH meGaH toya-ADmAtaH avalambI grasamAnaH iva naBaH-
   bhūmiṃ cābhivardhamānaḥ sabalākaḥ savidyudgambhīrastanitas tamaso rūpam	BUmim ca-aBivarDamAnaH sa-balAkaH sa-vidyut-gamBIra-stanitaH tamasaH rUpam
   ity upadiśyate | sa ca karṣakāṇāṃ sajjīkṛtabījopakaraṇānāṃ sukho bhavati |	iti upadiSyate | sa ca karzakANAm sajjIkRta-bIja-upakaraNAnAm suKaH Bavati |
   sa evānācchāditaśaraṇānām anupārjitabhaktasnehalavaṇānām	saH eva-anAcCAdita-SaraNAnAm anupArjita-Bakta-sneha-lavaNAnAm
   apraguṇitatṛṇakāṣṭhānāṃ proṣitavadhūnāṃ ca duḥkho mūḍhaś ca | tad evam	apraguNita-tRNa-kAzWAnAm prozita-vaDUnAm ca duHKaH mUXaH ca | tat evam
   avasthitasvabhāvatvād ekaṃ sattvarajastamāṃsi |	avasTita-svaBAva-tvAt ekam sattva-rajaH-tamAMsi |
   atrocyate jātyantarāṇy amūni trīṇi | lakṣaṇapṛthaktvavyavasthānāt | katham	atra-ucyate jAti-antarANi amUni trINi | lakzaNa-pRTaktva-vyavasTAnAt | kaTam
   iti cet tad ucyate ---	iti ced tat ucyate ---
   sattvaṃ laghu prakāśakam iṣṭam upaṣṭambhakaṃ calaṃ ca rajaḥ /	sattvam laGu prakASakam izwam upazwamBakam calam ca rajaH /
   guru varaṇakam eva tamaḥ pradīpavac cārthato vṛttiḥ // ISk_13 //	guru varaNakam eva tamaH pradIpa-vat ca-arTataH vRttiH // ISc-_13 //
   atra yat pūrvasyām āryāyām abhihitaṃ sattvalakṣaṇaṃ tal	atra yat pUrvasyAm AryAyAm aBihitam sattva-lakzaNam tal
   laghutvaprakāśakalakṣaṇaṃ ca | yadā sattvam utkaṭaṃ bhavati devadatte tadā	laGu-tva-prakASaka-lakzaNam ca | yadA sattvam utkawam Bavati devadatte tadA
   laghūny aṅgāni, viśuddhānīndriyāṇi svaviṣayagrahaṇasamarthāni bhavanti |	laGUni aFgAni, viSudDAni-indriyANi sva-vizaya-grahaNa-samarTAni Bavanti |
   tadā mantavyam adya me sattvam utkaṭatvena vartate | iṣṭaṃ ca	tadA mantavyam adya me sattvam utkawa-tvena vartate | izwam ca
   svarūpasādhanahetutvāt | upaṣṭambhakaṃ calaṃ ca rajaḥ | upaṣṭambhakaṃ	svarUpa-sADana-hetu-tvAt | upazwamBakam calam ca rajaH | upazwamBakam
   prerakamunnāḍir ity arthaḥ | yathā mattavṛṣo vṛṣaṃ dṛṣṭvā uddhato bhavati	prerakam-unnAxiH iti arTaH | yaTA matta-vRzaH vRzam dRzwvA udDataH Bavati
   tadvat | athavā garvaś calā kriyety arthaḥ | evaṃ yasmin devadatte	tadvat | aTavA garvaH calA kriyA-iti arTaH | evam yasmin devadatte
   yajñadatte vā raja utkaṭaṃ bhavati sa kalahaṃ mṛgayate | kiṃ cānyat	yajQadatte vA rajaH utkawam Bavati sa kalaham mRgayate | kim ca-anyat-
   calacittaś ca bhavati grāmaṃ gacchāmi striyaṃ kāmaye tapaḥ karomi ityādi |	cala-cittaH ca Bavati grAmam gacCAmi striyam kAmaye tapaH karomi ityAdi |
   evaṃ nityam utsukamanā bhavati | etad rajolakṣaṇam | tama āha --- guru	evam nityam utsuka-manAH Bavati | etat rajaH-lakzaNam | tamaH Aha -- guru
   varaṇakam eva tamaḥ | yad gurutvam āvaraṇatvaṃ cāsti tat tamaḥ | yadā	varaNakam eva tamaH | yat guru-tvam AvaraNa-tvam ca-asti tat tamaH | yadA
   gurūṇy aṅgāni bhavanti | indriyāṇy alasāni svaviṣayagrahaṇāsamarthāni	gurUNi aFgAni Bavanti | indriyANi alasAni sva-vizaya-grahaNa-asamarTAni
   bhavanti | tadānīṃ mantavyam etat tama utkaṭatvena vartata iti | tasmāj	Bavanti | tadAnIm mantavyam etat tamaH utkawa-tvena vartate iti | tasmAt-
   jātyantarāṇy eva sattvarajastamāṃsi | yat punar abhyadhāyi --- strī	jAti-antarANi eva sattva-rajaH-tamAMsi | yat punar aByaDAyi -- strI
   kṣatriyā meghaś ceti | atra traye 'pi brūmaḥ | sattvaṃ rajastamasī āśritya	kzatriyA meGaH ca-iti | atra traye api brUmaH | sattvam rajaH-tamasI ASritya
   svena rūpeṇāṅgāṅgibhāvaṃ gacchati | tasyāpakārād duḥkham utpadyate | evaṃ	svena rUpeNa-aFga-aFgi-BAvam gacCati | tasya-apakArAt duHKam utpadyate | evam
   rajastamasī yojye | parasparaviruddhānāṃ guṇānāṃ katham ekā vṛttir	rajaH-tamasI yojye | paraspara-virudDAnAm guNAnAm kaTam ekA vRttiH-
   bhavatīty atrāha --- parasparaviruddhāḥ(p.17) śatravo na hy ekam arthaṃ	Bavati-iti atra-Aha -- paraspara-virudDAH-(p.17) SatravaH na hi ekam arTam
   kurvanti | ime ca guṇāḥ parasparaviruddhā api puruṣārthaṃ kurvanti | kutaḥ	kurvanti | ime ca guNAH paraspara-virudDAH api puruza-arTam kurvanti | kutas-
   | pradīpavac cārthato vṛttiḥ | pradīpena tulyaṃ pradīpavat | arthataḥ	| pradIpa-vat ca-arTataH vRttiH | pradIpena tulyam pradIpa-vat | arTataH
   kāryavaśāt | parasparaviruddhānām apy amīṣāṃ vṛttir dṛṣṭā | yathā	kArya-vaSAt | paraspara-virudDAnAm api amIzAm vRttiH dRzwA | yaTA
   tailāgnivarttikāsaṃyogāt parasparaviruddhā api padārthāḥ saṃhatya ekam	tEla-agni-varttikA-saMyogAt paraspara-virudDAH api padArTAH saMhatya ekam
   arthaṃ prakāśarūpaṃ niṣpādayanty evaṃ guṇā api parasparaviruddhāḥ saṃhatya	arTam prakASa-rUpam nizpAdayanti evam guNAH api paraspara-virudDAH saMhatya
   puruṣārthaṃ kurvanti // SkMv_13 //	puruza-arTam kurvanti // SkMu-_13 //
   atrāha --- ayam antaraḥ praśno hi | yad uktaṃ pūrvasyām āryāyāṃ "triguṇam	atra-Aha -- ayam antaraH praSnaH hi | yat uktam pUrvasyAm AryAyAm "triguNam
   aviveki viṣayaḥ sāmānyam acetanaṃ prasavadharmi | vyaktam --- "tat katham	aviveki vizayaH sAmAnyam acetanam prasava-Darmi | vyaktam -- "tat kaTam
   evaṃ jñāyate 'vyaktam api triguṇatvādiyuktam | atrocyate ---	evam jQAyate avyaktam api triguNa-tva-Adi-yuktam | atra-ucyate ---
   avivekyādiḥ siddhas traiguṇyāt tadviparyayābhāvāt /	aviveki-AdiH sidDaH trEguNyAt tad-viparyaya-aBAvAt /
   kāraṇaguṇātmakatvāt kāryasyāvyaktam api siddham // ISk_14 //	kAraNa-guNa-Atmaka-tvAt kAryasya-avyaktam api sidDam // ISc-_14 //
   yo 'py ayam avivekyādir gaṇaḥ prasavadharmyantaḥ sa vyakte 'pi siddho	yaH api ayam aviveki-AdiH gaNaH prasava-DarmI-antar sa vyakte api sidDaH-
   'vyakte 'pi siddhaḥ | kathaṃ gamyate | traiguṇyāt | yat triguṇaṃ tad	avyakte api sidDaH | kaTam gamyate | trEguNyAt | yat triguNam tat-
   aviviktam, yad aviviktaṃ tad viṣayaṃ, yad viṣayaṃ tat sāmānyaṃ, yat	aviviktam, yat aviviktam tat vizayan, yat vizayam tat sAmAnyaM, yat-
   sāmānyaṃ tad acetanam, yad acetanaṃ tat prasavadharmi | tasmād avivekyādir	sAmAnyam tat acetanam, yat acetanam tat prasava-Darmi | tasmAt aviveki-AdiH-
   guṇas traiguṇyād eva siddhaḥ | tadviparyayābhāvāt | iha hi yatra tantavas	guNaH trEguNyAt eva sidDaH | tad-viparyaya-aBAvAt | iha hi yatra tantavaH-
   tatraiva paṭaḥ yatra paṭas tatraiva tantavaḥ, yas tantūn paśyati sa paṭaṃ	tatra-eva pawaH yatra pawaH tatra-eva tantavaH, yaH tantUn paSyati sa pawam
   paśyati, yo vā paṭaṃ paśyati sa tantūn paśyati | evam eva tantupaṭayor iva	paSyati, yaH vA pawam paSyati sa tantUn paSyati | evam eva tantu-pawayoH iva
   vyaktāvyaktayoḥ sambandhaḥ | dūre hi pradhānaṃ sannikṛṣṭe vyaktam | yo hi	vyakta-avyaktayoH sambanDaH | dUre hi praDAnam sannikRzwe vyaktam | yaH hi
   vyaktaṃ paśyati sa cāvyaktam api paśyati | yo vā yogī pradhānaṃ paśyati sa	vyaktam paSyati sa ca-avyaktam api paSyati | yaH vA yogI praDAnam paSyati sa
   vyaktam api paśyati | tasmād viparyayābhāvād avivekyādigaṇena siddham	vyaktam api paSyati | tasmAt viparyaya-aBAvAt aviveki-Adi-gaNena sidDam
   avyaktam | itaś ca siddham | kāraṇaguṇātmakatvāt kāryasyāvyaktam api	avyaktam | itas ca sidDam | kAraNa-guNa-Atmaka-tvAt kAryasya-avyaktam api
   siddham | kāraṇasya guṇāḥ kāraṇaguṇās te ātmā svabhāvo yasya tadbhāvaḥ	sidDam | kAraNasya guNAH kAraNa-guNAH te AtmA svaBAvaH yasya tad-BAvaH
   kāraṇaguṇātmakatvam | ātmaśabdaḥ svabhāve vartate | kāraṇaguṇasvabhāvatvāt	kAraNa-guNa-Atmaka-tvam | Atma-SabdaH svaBAve vartate | kAraNa-guNa-svaBAva-tvAt
   kāryasya | iha loke yadātmakaṃ karaṇaṃ tadātmakam eva kāryam api bhavati |	kAryasya | iha loke yad-Atmakam karaNam tad-Atmakam eva kAryam api Bavati |
   kāraṇānugatatvāt kāryasya | yathā kaṭunimbavṛkṣāt kaṭur eva raso bhavati	kAraNa-anugata-tvAt kAryasya | yaTA kawu-nimba-vRkzAt kawuH eva rasaH Bavati
   madhurāc ca madhuro drākṣādirasaḥ | tasmād avivekyādigaṇena siddham	maDurAt ca maDuraH drAkzA-Adi-rasaH | tasmAt aviveki-Adi-gaNena sidDam
   avyaktam | tatra yad uktaṃ bhavatā tat(p.18) katham evaṃ jñāyate avyaktam	avyaktam | tatra yat uktam BavatA tat(p.18) kaTam evam jQAyate avyaktam
   avivekyādigaṇena yuktam iti tad evam eva tribhir hetubhiḥ pratipāditam |	avivekyAdi-gaNena yuktam iti tat evam eva triBiH hetuBiH pratipAditam |
   atrāha --- iha loke yan na vidyate tan nāsti | yathā dvitīyam	atra-Aha -- iha loke yat na vidyate tat na-asti | yaTA dvitIyam
   anīśvaraśiraḥ, tṛtīyaḥ pāṇiḥ, śaśaviṣāṇaṃ, vandhyāputrikābhrūvilāsādayo vā	anISvaraSiraH, tRtIyaH pANiH, SaSa-vizANaM, vanDyA-putrikA-BrU-vilAsa-AdayaH vA
   | naiva tāvat pradhānapuruṣāv upalabhyete, tau kathaṃ hi sta iti gamyate |	| na-eva tAvat praDAna-puruzO upalaByete, tO kaTam hi staH iti gamyate |
   himavata upalagaṇaparimāṇaṃ nopalabhyate | kiṃ tan nāsti? evaṃ	himavataH upala-gaNa-parimANam na-upalaByate | kim tat nAsti? evam
   pradhānapuruṣāv anupalabhyamānāv apy upalabhyete hetubhiḥ | tāṃś ca hetūn	praDAna-puruzO anupalaByamAnO api upalaByete hetuBiH | tAn ca hetUn
   upariṣṭād vakṣyāmaḥ // SkMv_14 //	uparizwAt vakzyAmaH // SkMu-_14 //
   ta ucyante ---	te ucyante ---
   bhedānāṃ parimāṇāt samanvayāc chaktitaḥ pravṛtteś ca /	BedAnAm parimANAt samanvayAt SaktitaH pravRtteH ca /
   kāraṇakāryavibhāgād avibhāgād vaiśvarūpyasya // ISk_15 //	kAraNa-kArya-viBAgAt aviBAgAt vESvarUpyasya // ISc-_15 //
   asti pradhānam | kutaḥ? bhedānāṃ parimāṇāt | loke yatra kartāsti tasya	asti praDAnam | kutas-? BedAnAm parimANAt | loke yatra kartA-asti tasya
   parimāṇaṃ dṛṣṭam | yathā kulālaḥ parimitāt mṛtpiṇḍāt parimitam eva ghaṭaṃ	parimANam dRzwam | yaTA kulAlaH parimitAt mRd-piNxAt parimitam eva Gawam
   kurute prasthagrāhakam āḍhakagrāhakaṃ vā | evaṃ vyaktaṃ parimitam | ekā	kurute prasTa-grAhakam AXaka-grAhakam vA | evam vyaktam parimitam | ekA
   buddhir eko 'haṅkāraḥ pañca tanmātrāṇi ekādaśendriyāṇi pañca mahābhūtāni	budDiH ekaH ahaFkAraH paQca tanmAtrANi ekAdaSa-indriyANi paQca mahABUtAni
   iti trayoviṃśatikam | evam etat parimitaṃ vyaktaṃ dṛṣṭvānumānena sādhayāmo	iti trayoviMSatikam | evam etat parimitam vyaktam dRzwvA-anumAnena sADayAmaH-
   'sty asya kāraṇaṃ pradhānaṃ yad vyaktaṃ parimitam utpādayati | yadi ca	asti asya kAraNam praDAnam yat vyaktam parimitam utpAdayati | yadi ca
   pradhānaṃ kāraṇaṃ na syān niṣparimāṇam idaṃ vyaktaṃ syāt | asti cāsya	praDAnam kAraNam na syAt nizparimANam idam vyaktam syAt | asti ca-asya
   parimāṇaṃ tasmād asti pradhānam | itaś cāsti samanvayadarśanāt | kasya	parimANam tasmAt asti praDAnam | itas ca-asti samanvaya-darSanAt | kasya
   samanvayāt? bhedānām eva | asmād eva kāraṇāc	samanvayAt? BedAnAm eva | asmAt eva kAraNAt-
   śakalakapālamātrasamastasamanvayaḥ | bhūṣaṇādīn dṛṣṭvā tattvena darśayati	Sakala-kapAla-mAtra-samasta-samanvayaH | BUzaNa-AdIn dRzwvA tattvena darSayati
   | sāmānyaprakaraṇāl lokabhedānām ekaikajātisamanvayo dṛṣṭaḥ | teṣāṃ dharmo	| sAmAnya-prakaraNAt loka-BedAnAm ekEka-jAti-samanvayaH dRzwaH | tezAm DarmaH-
   'nvayaḥ, tasmāt samanvayadarśanāt paśyāmo 'sti pradhānaṃ kāraṇam iti |	anvayaH, tasmAt samanvaya-darSanAt paSyAmaH asti praDAnam kAraNam iti |
   itaś cāsti --- śaktitaḥ pravṛtteś ca | iha yo yasminn arthe śaktaḥ sa	itas ca-asti -- Saktitas pravRtteH ca | iha yaH yasmin arTe SaktaH sa
   tasminn eva pravartate | tad yathā kumbhakāro	tasmin eva pravartate | tat yaTA kumBakAraH-
   ghaṭaghaṭikāśarāvodañcavādikaraṇe śaktaḥ | ataḥ sādhayāmaḥ pradhānasyāpy	Gawa-GawikA-SarAva-udaQca-vAdi-karaNe SaktaH | atas sADayAmaH praDAnasya-api-
   asti śaktir yayā śaktyā vyaktam utpādayati | sā ca śaktir nirāśrayā na	asti SaktiH yayA SaktyA vyaktam utpAdayati | sA ca SaktiH nirASrayA na
   bhavati | tasmād asti pradhānaṃ yatra śaktir avatiṣṭhate | itaś cāsti ---	Bavati | tasmAt asti praDAnam yatra SaktiH avatizWate | itas ca-asti ---
   kāraṇakāryavibhāgāt | karotīti kāraṇam, kriyata iti kāryaṃ, tayor vibhāgas	kAraNa-kArya-viBAgAt | karoti-iti kAraNam, kriyate iti kAryan, tayoH viBAga-s
   tasmāt | tad yathā mṛtpiṇḍaḥ kāraṇaṃ ghaṭaḥ kāryam | sa eva(p.19) hi	tasmAt | tat yaTA mRd-piNxaH kAraNam GawaH kAryam | saH eva(p.19) hi
   madhūdakapayaḥprabhṛtīnāṃ dhāraṇe samartho na tu mṛtpiṇḍaḥ | evaṃ	maDu-udaka-payaH-praBRtInAm DAraNe samarTaH na tu mRd-piNxaH | evam
   vyaktāvyaktayor vibhāgaḥ | anyad vyaktaṃ	vyakta-avyaktayoH viBAgaH | anyat vyaktam
   mahadahaṅkāratanmātrendriyamahābhūtaparyantaṃ, tac ca kāryam | anyac ca	mahat-ahaFkAra-tanmAtra-indriya-mahABUta-paryantan, tat ca kAryam | anyat ca
   avyaktaṃ pradhānaṃ viparītaṃ kāraṇam iti | tasmād asti pradhānam | itaś	avyaktam praDAnam viparItam kAraNam iti | tasmAt asti praDAnam | itas-
   cāsti --- avibhāgād vaiśvarūpyasya | na vibhāgo 'vibhāgaḥ | viśvarūpasya	ca-asti -- aviBAgAt vESvarUpyasya | na viBAgaH aviBAgaH | viSvarUpasya
   bhāvo vaiśvarūpyam | bahurūpam ity arthaḥ | tasya | trailokyaṃ pañcasu	BAvaH vESvarUpyam | bahu-rUpam iti arTaH | tasya | trElokyam paQcasu
   mahābhūteṣv avibhāgaṃ gacchati | pañcamahābhūtāni tanmātreṣv avibhāgaṃ	mahABUtezu aviBAgam gacCati | paQca-mahABUtAni tanmAtrezu aviBAgam
   gacchanti | pañcatanmātrāṇy ekādaśendriyāṇi cāhaṅkāre | ahaṅkāro buddhau |	gacCanti | paQca-tanmAtrANi ekAdaSa-indriyANi ca-ahaFkAre | ahaFkAraH budDO |
   sā ca pradhāne | itthaṃ trayo lokāḥ pralayakāle pradhāne 'vibhaktāḥ |	sA ca praDAne | itTam trayaH lokAH pralaya-kAle praDAne aviBaktAH |
   prakarṣeṇa dhīyate sthāpyate atrākhilam iti pradhānam | tato hi sṛṣṭau sad	prakarzeNa DIyate sTApyate atra-aKilam iti praDAnam | tatas hi sRzwO sat-
   evāvirbhavati | na hy asata utpattir na ca sato 'bhāvaḥ |	eva-AvirBavati | na hi asataH utpattiH na ca sataH aBAvaH |
   "nāsato vidyate bhāvo nābhāvo vidyate sataḥ" /	"nAsataH vidyate BAvaH na-aBAvaH vidyate sataH" /
   iti gītāsu(2 |16) | "sad eva somyedam agra āsīt"[chāndogyopaniṣad 6 |2 |1]	iti gIta-asu(2 |16) | "sat eva somya-idam agre AsIt-"[CAnda-ugya-upanizad 6 |2 |1]
   iti śruteś ca | tad yathā --- dadhyādayaḥ prāk prasūteḥ kṣīre 'vibhaktāḥ	iti SruteH ca | tat yaTA -- daDi-AdayaH prAk prasUteH kzIre aviBaktAH
   santy eva | yady asata utpattis tadā kāṣṭhakhaṇḍād api ghaṭādyutpattiḥ	santi eva | yadi asataH utpattiH tadA kAzWa-KaNxAt api Gawa-Adi-utpattiH
   syāt | yato na bhavati | tasmān mṛtpiṇḍe kāraṇe ghaṭādeḥ sata evotpattir	syAt | yatas na Bavati | tasmAt mRd-piNxe kAraNe Gawa-AdeH sataH eva-utpattiH-
   iti samīcīnam | yathā jalabhūmyor etadrasagandhādivaiśvarūpyam avibhaktam	iti samIcInam | yaTA jala-BUmyoH etat-rasa-ganDa-Adi-vESvarUpyam aviBaktam
   asty eva sthāvarāṇāṃ jaṅgameṣu jaṅgamānāṃ sthāvareṣu | evaṃ	asti eva sTAvarANAm jaFgamezu jaFgamAnAm sTAvarezu | evam
   jātyanucchedena sarvaṃ sarvātmakam iti // SkMv_15 //	jAti-anucCedena sarvam sarva-Atmakam iti // SkMu-_15 //
   asti pradhānaṃ yatra mahadādiliṅgam avibhāgaṃ gacchati | ity evam	asti praDAnam yatra mahat-Adi-liFgam aviBAgam gacCati | iti evam
   avaśyambhāvī avibhāgaḥ paścād vibhāgaś cāvirbhavati tat pradhānam |	avaSyamBAvI aviBAgaH paScAt viBAgaH ca-AvirBavati tat praDAnam |
   atrocyate ---	atra-ucyate ---
   kāraṇam asty avyaktaṃ pravartate triguṇataḥ samudayāc ca /	kAraNam asti avyaktam pravartate triguNataH samudayAt ca /
   pariṇāmataḥ salilavat pratipratiguṇāśrayaviśeṣāt // ISk_16 //	pariNAmataH salila-vat prati-prati-guNa-ASraya-viSezAt // ISc-_16 //
   kāraṇam asty avyaktam iti | tad evaṃ pañcabhir ebhir hetubhir jñāyate 'sti	kAraNam asti avyaktam iti | tat evam paQcaBiH eBiH hetuBiH jQAyate asti
   tatkāraṇam ekam asya jagato 'vyaktaṃ mūlam iti | atrāha yady ekaṃ	tad-kAraNam ekam asya jagataH avyaktam mUlam iti | atra-Aha yadi ekam
   pradhānaṃ kathaṃ tarhi anekaṃ kāryam utpādayati | tathā hi naikas tantuḥ	praDAnam kaTam tarhi anekam kAryam utpAdayati | taTA hi na-ekaH tantuH
   paṭākhyaṃ kāryaṃ janayati | itthaṃ pradhānam ekam anekaṃ kāryaṃ janayatīti	pawa-AKyam kAryam janayati | itTam praDAnam ekam anekam kAryam janayati-iti
   na jāghaṭīti | ataḥ samādhīyate --- pravartate triguṇataḥ | pradhāne hi	na jAGawI-iti | atas samADIyate -- pravartate triguNataH | praDAne hi
   sattvarajastamasām avasthānād bahutvasambhavaḥ | tasmāt triguṇataḥ	sattva-rajaH-tamasAm avasTAnAt bahu-tva-samBavaH | tasmAt triguNataH
   pravartate tridhā vyavahāraḥ | samudayāc ca | yathā gaṅgāyāṃ srotāṃsi	pravartate triDA vyavahAraH | samudayAt ca | yaTA gaFgAyAm srotAMsi
   samuditāni gaṅgām ārabhante, yathā vā tantavaḥ samuditāḥ paṭaṃ kurvanti	samuditAni gaFgAm AraBante, yaTA vA tantavaH samuditAH pawam kurvanti
   evaṃ sattvarajastamāṃsi trayo guṇāḥ samuditāḥ pradhānasthā vyaktaṃ	evam sattva-rajaH-tamAMsi trayaH guNAH samuditAH praDAna-sTA vyaktam
   kurvanti | atrāha --- iha loke dvividhaṃ kāraṇaṃ pariṇāmakatvād(p.20)	kurvanti | atra-Aha -- iha loke dviviDam kAraNam pariNAmaka-tvAt-(p.20)
   apariṇāmakatvāc ca | tatrāpariṇāmakatvān mṛtpiṇḍadaṇḍasūtrodakavidalān	apariNAmaka-tvAt ca | tatra-apariNAmaka-tvAt mRd-piNxa-daNxa-sUtra-udaka-vidalAn
   paśyāmaḥ | pariṇāmataś ca kṣīraṃ dadhīti | tatra pradhānaṃ kathaṃ kāraṇam	paSyAmaH | pariNAmataH ca kzIram daDi-iti | tatra praDAnam kaTam kAraNam
   ity atrocyate --- pariṇāmataḥ | yathā kṣīraṃ dadhibhāvena pariṇamati, yad	iti atra-ucyate -- pariNAmataH | yaTA kzIram daDi-BAvena pariNamati, yat-
   eva kṣīraṃ tad eva dadhi, evaṃ pradhānaṃ vyaktabhāvena pariṇamati |	eva kzIram tat eva daDi, evam praDAnam vyakta-BAvena pariNamati |
   dadhivad vyaktaṃ kṣīravat pradhānam ity arthaḥ | yad evāvyaktaṃ tad eva	daDi-vat vyaktam kzIra-vat praDAnam iti arTaH | yat eva-avyaktam tat eva
   vyaktam iti | tasmād ucyate pariṇāmataḥ pradhānaṃ kāraṇam iti | atrāha ko	vyaktam iti | tasmAt ucyate pariNAmataH praDAnam kAraNam iti | atra-Aha kaH-
   dṛṣṭāntaḥ? tad ucyate --- salilavat | yathā salilam ekaṃ himavad	dRzwAntaH? tat ucyate -- salila-vat | yaTA salilam ekam himavat-
   himabhāvena pariṇamati, yathā cekṣuraso	hima-BAvena pariNamati, yaTA ca-ikzu-rasaH-
   rasikāṣaṇḍamatsarikāśarkarāphāṇitaguḍabhāvena pariṇamati | yathā vā kṣīraṃ	rasikA-zaNxa-matsarikA-SarkarA-PANita-guxa-BAvena pariNamati | yaTA vA kzIram
   drapsyadadhimastunavanītaghṛtāriṣṭakilāṭakūrcikādibhāvena pariṇamati |	drapsya-daDi-mastu-nava-nIta-GRta-arizwa-kilAwa-kUrcikA-Adi-BAvena pariNamati |
