   daśamaḥ paricchedaḥ	daSamaH paricCedaH
        tathā cālaṅkārāntarasaṃkare śleṣa evālaṅkāra ityarthaḥ /	taTA ca alaFkAra antara saMkare SlezaH eva alaFkAraH iti arTaH /
        Locanā:	LocanA:
        (lo, e) eṣa ca niyamādalaṅkāraṇāṃ vicchittimādāyaiva	(lo, e) eza ca niyamAt alaFkAraNAm vicCittim AdAya eva
   sambhavatītyetadviṣaye vidyamānānāmalaṅkāraṇāṃ bādha iti ye manyante teṣāṃ	samBavati iti etat vizaye vidyamAnAnAm alaFkAraNAm bADaH iti ye manyante tezAm
   pakṣamupanyasya dūṣayati  asya ceti /	pakzam upanyasya dUzayati  asya ca iti /
        vidyamāneṣvetadviṣayeṣu /	vidyamAnezu etat vizayezu /
        tadvādhakatvāt /	tad vA aDaka tvAt /
        teṣāmalaṅkāraṇāṃ bādhakatvādavakāśāntarābhāvena tahyapadeśaṃ bādhitvā	tezAm alaFkAraNAm bADaka tvAt avakASa antara aBAvena tahi apadeSam bADitvA
   mukhyatvena vyapadeṣṭuṃ yogyatvāt /	muKya tvena vyapadezwum yogya tvAt /
        asya ca heturapavādatveneti /	asya ca hetuH apavAda tvena iti /
        teṣāmalaṅkāraṇāṃ pratibhābuddhisvitā utpattiheturasyeti	tezAm alaFkAraNAm pratiBA budDi svitA utpatti hetuH asya iti
   tatpratibhotpattihetuḥ /	tad pratiBA utpatti hetuH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   itthamatra vicāryate  samāsoktyaprastutapraśāṃsādau	itTam atra vicAryate   samAsa uktya prastuta praSAMsa AdO
   dvitīyārthasyānabhidheyatayā nāsya gandho 'pi /	dvitIya arTasya anaBiDeya tayA na asya ganDaH api /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ra) tanmate 'pi sakalālaṅkārasaṃkare śleṣo na bādakaḥ, kintu	(vi, ra) tad mate api sakala alaFkAra saMkare SlezaH na bAdakaH, kintu
   katipayālaṅkārasaṃkare eveti niṣkarṣaṃ pratipādayitumāha   itthamatreti /	katipaya alaFkAra saMkare eva iti nizkarzam pratipAdayitum Aha   itTam atra iti /
        tatra samāsoktyaprastutapraśaṃsāsaṅkīrṇasya śleṣasya	tatra samAsa uktya prastuta praSaMsA saFkIrNasya Slezasya
   taddvayabādhakaprasaktireva nāsti ityāha   samāsektīti /	tad dvaya bADaka prasaktiH eva na asti iti Aha    samAsekti iti /
        prastutakathanenāprastutavyañjanaṃ samāsoktiḥ /	prastuta kaTanena aprastuta vyaQjanam samAsa uktiH /
        kvacit śleṣasaṅkīrṇā sā /	kvacid Sleza saFkIrNA sA /
        yathā    "anurāgavatī sandhyā divasastatpuraḥ saraḥ /	yaTA   "anurAgavatI sanDyA divasaH tad puras saraH /
        aho daivagatiścitrā tathāpi na samāgamaḥ" //	aho dEva gatiH citrA taTA api na samAgamaH" //
        ityatra prakṛtadivasapuraḥ sarasandhyākathanādaprakṛtanāyakapuraḥ	iti atra prakRta divasa puras sarasanDyA kaTanAdaprakRta nAyaka puraH
   saranāyikāpratītau raktimānuragobhayārthakānurāgapadaśleṣasaṃkaraḥ /	saranAyikA pratItO raktimAn uraga uBaya arTaka anurAga pada Sleza saMkaraH /
        aprastutakathanena prastutavyañjanaṃ cāprastutapraśaṃsā; sā ca kvacit	aprastuta kaTanena prastuta vyaQjanam ca aprastuta praSaMsA; sA ca kvacid 
   ślṣasaṅkīrṇāpi bhavati /	Slza saFkIrNA api Bavati /
        yathā    "satataṃ yā madhyasthā kathayati yaṣṭiḥ pratiṣṭitāsīti /	yaTA   "satatam yA maDyasTA kaTayati yazwiH pratizwitA asi iti /
        puṣkariṇī naiva taducitaṃ pūrṇāyattāmadho nayasi" //	puzkariNI na eva tat ucitam pUrNa AyattAm aDas nayasi" //
        ityatra janaiḥ yaṣṭiplāvanāprākaraṇikapuṣkariṇīkathanena	iti atra janEH yazwi plAvana aprAkaraNika puzkariNI kaTanena
   prākaraṇikapratiṣṭāgāyakajanatiraskārakasampattimajjanapratītau	prAkaraNika pratizwA gAyaka jana tiraskAraka sampatti mat jana pratItO
   madhyasthādipadaśleṣasaṃkaraḥ /	maDyasTa Adi pada Sleza saMkaraH /
        etadubhayatra śleṣālaṅkāraprasaktireva nāstītyata āha    nāsya gandho	etat uBayatra Sleza alaFkAra prasaktiH eva na asti iti atas Aha    na asya ganDaH 
   'pīti /	api iti /
        atra hetumāha   dvitīyārthasyeti /	atra hetum Aha    dvitIya arTasya iti /
        anayordvitīyārthasya vyaṅgyatvādeva /	anayoH dvitIya arTasya vyaFgya tvAt eva /
        arthadvayasya vācyatva eva śleṣālaṅkāraḥ /	arTa dvayasya vAcyatvaH eva Sleza alaFkAraH /
        aprastutapraśaṃsādau ityādipadādupamādhvaniparigrahaḥ, yathā	aprastuta praSaMsA AdO ityAdi padAt upama aDvani parigrahaH, yaTA
   durgālaṅghitetyādau /	durga alaFGita ityAdO /
        Locanā:	LocanA:
        (lo, ai) itthamiti vakṣyamāṇasya buddhisthitayāṃ idamā parāmarśaḥ /	(lo, E) itTam iti vakzyamANasya budDi sTitayAm idamA parAmarSaH /
        atretthamanataroktam /	atra itTam anatara uktam /
        keṣāñcit pūrvapakṣiṇāṃ mate samāsoktiryathā   	kezAQcid pUrva pakziNAm mate samAsoktiH yaTA   
        "upoḍharāgeṇa vilolatārakaṃ, tathā gṛhītaṃ śaśinā niśāmukham /	"upoXa rAgeNa vilola tArakaM, taTA gRhItam SaSinA niSA muKam /
        yathā samastaṃ timirāṃśukaṃ tayā puro 'pi rāgād galitaṃ na lakṣitam"	yaTA samastam timira aMSukam tayA puras api rAgAt galitam na lakzitam"
        aprastutapraśaṃsā yathā   	aprastuta praSaMsA yaTA   
        "eṇālaṃ sambhrameṇa tyaja gavaya ! bhayaṃ sairibha ! svairamāssva	"eNa alam samBrameNa tyaja gavaya ! Bayam sEriBaH ! svEramAssva
   kṣaubhaṃ mā yāstarakṣo ! vihara giridarīṃ svecchayaivācyabhalla !	kzOBam mA yAH tarakzaH ! vihara giridarIm sva icCayA eva acya Balla !
   pārindraḥ pāradṛśvā nikhilavanabhuvaḥ kevalaṃ modate 'sau	pArindraH pAradRSvAH niKila vana BuvaH kevalam modate asO
   mādyatkumbhīndrakumbhasthalagalitaghanasthūlamuktāphaloghaiḥ" //	mAdyat kumBi indra kumBa sTala galita Gana sTUla muktAPaloGEH" //
        ādiśabdena paryyāyoktyādiḥ /	Adi Sabdena paryyAya ukti AdiH /
        dvitīyārthaḥ prakṛtāprakṛto vā yathā nāyakayyavahārādiḥ /	dvitIya arTaH prakRta aprakRtaH vA yaTA nAyakayi avahAra AdiH /
        anabhidheyatayā abhidhāyāḥ prakṛtabodhanena viramād asya śleṣasya /	anaBiDeya tayA aBiDAyAH prakRta boDanena viramAt asya Slezasya /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "vidvanmānasahaṃsa  " ityādau śleṣagarbhe rūpake 'pi mānasaśabdasya	"vidvat mAnasa haMsa  " ityAdO Sleza garBe rUpake api mAnasa Sabdasya
   cittasarorūpobhayārthatve 'pi rūpakeṇa śleṣo bādhyate /	citta saraH rUpa uBaya arTa tve api rUpakeNa SlezaH bADyate /
   sarorūpasyaivārthasya viśrāntidhāmatayā prādhānyāt, śleṣe	saraH rUpasya eva arTasya viSrAnti DAma tayA prADAnya at, Sleze
   hyarthadvayasyāpi samakakṣatvam /	hi arTa dvayasya api sama kakza tvam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, la) pūrvokte śliṣṭaparamparitarūpake 'pi na	(vi, la) pUrva ukte Slizwa paramparita rUpake api na
   śleṣālaṅkāraprasaktirityāha   vidvanmānaseti /	Sleza alaFkAra prasaktiH iti Aha   vidvat mAnasa iti /
        viduṣāṃ mana eva mānasaṃ sarastatra haṃseti rājñaḥ sambodhanam /	viduzAm manaH eva mAnasam saraH tatra haMsa iti rAjQaH samboDanam /
        atra rūpakasya śleṣabādhakatve hetumāha   sarorūpasyeti /	atra rUpakasya Sleza bADaka tve hetum Aha    saraH rUpasya iti /
        viśrāntidhāmatā paryyantikapratītiviṣayatā, haṃsāśrayatvena na	viSrAnti DAma tA paryyantika pratIti vizaya tA, haMsa ASraya tvena na
   tadrūpakasyaiva tathātvāt /	tad rUpakasya eva taTAtvAt /
        ubhayatraiva viśrāntisattve eva śleṣaprasāktiḥ /	uBayatra eva viSrAnti sattve eva Sleza prasAktiH /
        yathā "pṛthukārttasvarapātram" ityatra sadanadvayaviśeṣaṇayoḥ	yaTA "pRTuka Artta svara pAtram" iti atra sadana dvaya viSezaNayoH
   śliṣṭārthayoḥ viśrāntistadāha   śleṣe hīti /	Slizwa arTayoH viSrAntiH tadAha   Sleze hi iti /
        Locanā:	LocanA:
        (lo, o) śleṣo bādhyate  śleṣavyapadeśamanūdyātmanā vyapadeśaḥ	(lo, o) SlezaH bADyate   Sleza vyapadeSam anUdya AtmanA vyapadeSaH
   kāryyate /	kAryyate /
        viśrāntidhāmatā cittarūpārthānuvādena vidheyatvālābhāt /	viSrAnti DAma tA citta rUpa arTa anuvAdena viDeya tva alABAt /
        iha hi cittādikamavacchāditasvarūpaṃ sarovarādirūpatvamāpadyate /	iha hi citta Adikam avacCAdita svarUpam sarovara Adi rUpa tvam Apadyate /
        ataevātra "rājanārāyaṇaṃ lakṣmīḥ samāliṅgati nirbharam" ityatra rājño	ataeva atra "rAjanArAyaNam lakzmIH samAliFgati nirBaram" iti atra rAjQaH 
   nārāyaṇatvocitalakṣmīsamāliṅganaṃ varṇyate /	nArAyaNa tva ucita lakzmI samAliFganam varNyate /
        tathā "mukhacandra prakāśate" ityatra mukhaṃ candrarūpatāmāpadyata	taTA "muKa candra prakASate" iti atra muKam candra rUpa tAm Apadyata
   ityuparacitacandradharmasya tatra varṇanam /	iti uparacita candra Darmasya tatra varNanam /
        samakakṣatvaṃ na khalu rūpakavad ekasya gauṇatānyasya prādhānyam /	sama kakza tvam na Kalu rUpaka vat ekasya gONa tA anyasya prADAnyam /
        svasvasāmagrīvaśena pṛthakpṛthaksvasvārthabodhanenopakṣepāt /	sva sva sAmagrI vaSena pRTak pRTak sva sva arTa boDanena upakzepAt /
        yathā   "hṛdijñeṣu vakṣyati" ityādau vahanavacanayoḥ tathā	yaTA   "hRdijQezu vakzyati" ityAdO vahana vacanayoH taTA
   "pṛthukārtasvara" ityādau pṛthukādīnām /	"pRTuka Arta svara" ityAdO pRTuka AdInAm /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "sannihitabālāndhakārā bhāsvanmūrtiśca" ityādau virodhābhāse 'pi	"sannihita bAla anDakArA BAsvat mUrtiH ca" ityAdO viroDa ABAse api
   viruddhārthasya pratibhātamātrasya prarohābhāvānna śleṣaḥ /	virudDa arTasya pratiBAta mAtrasya praroha aBAvAt na SlezaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, va) śliṣṭavirodhābhāse 'pi na	(vi, va) Slizwa viroDa ABAse api na
   śleṣālaṅkāraprasaktirityāha   sannihiteti /	Sleza alaFkAra prasaktiH iti Aha   sannihitA iti /
        nāyikā bhāsvanmūrttirdepyamānamūrttiḥ sannihitabālarūpāndhakārā ca	nAyikA BAsvat mUrttiH depyamAna mUrttiH sannihita bAla rUpa anDakArA ca
   mohajanakatvena /	moha janaka tvena /
        bālasyāndhakāratvarūpaṇam /	bAlasya anDakAra tva rUpaNam /
        atra bhāsvanmūrtteḥ sūryyavimbasyālpāndhakārasānnidhyaṃ	atra BAsvat mUrtteH sUryyavimbasya alpa anDakA rasAnniDyam
   bālapadabhāsvatpadaśleṣādupasthitaṃ viruddhatayā'bhāsate /	bAla pada BAsvat pada SlezAt upasTitam virudDa tayA aBAsate /
        atra śleṣālaṅkārāprasaktibījamāha   viruddhārthasyeti /	atra Sleza alaFkAra aprasakti bIjam Aha    virudDa arTasya iti /
        pratibhātamātrasya upasthitamātrasya ityarthaḥ /	pratiBAta mAtrasya upasTita mAtrasya iti arTaH /
        prarohābhāvād anvayabodhābhāvāt /	praroha aBAvAt anvaya boDa aBAvAt /
        nahī andhakārasannihitasūryyamūrttirnāyikā na vāndhakārasānnidhyaṃ	nahI anDakAra sannihita sUryya mUrttiH nAyikA na vA anDakA rasAnniDyam
   sūryyabimbasya iti bādhasyāpi upasthitimātreṇa eva virodhābhāsālaṅkāratā	sUryya bimbasya iti bADasya api upasTiti mAtreNa eva viroDa ABAsa alaFkAra tA
   śleṣasya tu śliṣṭārthasyānvaye satyeva alaṅkāratā virodhābhāsavat	Slezasya tu Slizwa arTasya anvaye sati eva alaFkAra tA viroDa ABAsa vat
   śleṣābhāsālaṅkārānabhyugamāt /	Sleza ABAsa alaFkAra anaByugamAt /
        Locanā:	LocanA:
        (lo, au) bālaḥ kṣudraḥ keśaśca /	(lo, O) bAlaH kzudraH keSaH ca /
        bhāsvataḥ sūryyasya, bhāsvataḥ kāntimato 'pīvā sūryyamūrttau	BAsvataH sUryyasya, BAsvataH kAntimataH api ivA sUryya mUrttO
   andhakārasya sannidhānābhāvād virodhābhāsaḥ /	anDakArasya sanniDAna aBAvAt viroDa ABAsaH /
        yathā bhāsanaṃ na tathā viśrāntiprarohaḥ /	yaTA BAsanam na taTA viSrAnti prarohaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   evaṃ punaruktavadābhāse 'pi /	evam punar ukta vat ABAse api /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, śa) evaṃ punarurakteti   na hi bhujaṅgakuṇḍaliśabdayoḥ	(vi, Sa) evam punar uraktA iti   na hi BujaFga kuNxali SabdayoH
   ekārthatvabodhaḥ paryntikaḥ; āpātamātrataḥ śleṣeṇa tathā bodhāt /	eka arTa tva boDaH paryntikaH; ApAta mAtrataH SlezeNa taTA boDAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tena "yena dhvasta " ityādau prākaraṇikayoḥ, "nītānām "	tena "yena Dvasta " ityAdO prAkaraNikayoH, "nItAnAm "
   ityādāvaprakāraṇikayorekadharmābhisaṃbandhāttulyayogitāyām,	iti AdO= aprakAraNikayoH eka Darma aBisaMbanDAt tulya yogitAyAm,
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṣa) itthamuktasthaleṣu śleṣālaṅkāraṃ bādhitvā te te alaṅkārā	(vi, za) itTam ukta sTalezu Sleza alaFkAram bADitvA te te alaFkArA
   evetyuktvā alaṅkārāntarasyaiva bādhakaḥ śleṣa iti tadabhipretaṃ	eva iti uktvA alaFkAra antarasya eva bADakaH SlezaH iti tad aBipretam
   vaktumāha   yena dhvastamiti /	vaktum Aha    yena Dvastam iti /
        yena dhvastamityādau nītānāmityādau ca tulyayogitāyāṃ,	yena Dvastam iti AdO nItAnAm ityAdO ca tulya yogitAyAM,
   svecchopajātetyādau dapike sakalakalamityādau copamāyāṃ vidyamānāyāmapi	sva icCA upajAta ityAdO dapike sakala kalam iti AdO ca upamAyAm vidyamAnAyAm api
   śleṣeṇaiva vyapadeśo bhavituṃ yukta ityagre 'nvayaḥ /	SlezeNa eva vyapadeSaH Bavitum yuktaH iti agre anvayaH /
        tena yena dhvastamityādau mādhavomādhavayordvayorapi prākaraṇikayoḥ	tena yena Dvastam iti AdO mADavaH mADavayoH dvayoH api prAkaraNikayoH
   yena dhvastetyādyekadharmānvayarūpastulyayogitālaṅkāraḥ /	yena Dvasta ityAdi eka Darma anvaya rUpaH tulya yogita alaFkAraH /
        "padārthānāṃ prastutānāmanyeṣāṃ vā yadā bhavet /	"padArTAnAm prastutAnAm anyezAm vA yadA Bavet /
        ekadharmābhisambandhaḥ syāttadā tulyayogitā //	eka Darma aBisambanDaH syAt tadA tulyayogitAH //
        "iti lakṣaṇāt /	"iti lakzaNAt /
        atra hi prastutānāṃ prākaraṇikānāmevānyeṣāmaprākaraṇikānāmevetyarthaḥ	atra hi prastutAnAm prAkaraNikAnAm eva anyezAm aprAkaraNikAnAm eva iti arTaH
        nītānāmityādau tu aprākaraṇikayoreva vanavṛddharakamalayoḥ	nItAnAm iti AdO tu aprAkaraNikayoH eva vana vRdDa ra ka malayoH
   nītānīmityādi pūrvārddhekte karmānvayaḥ /	nItAnIm ityAdi pUrva ardDekte karma anvayaH /
        svecchopajātetyādau salakṣaṇaṃ dīpakaṃ darśayiṣyate /	sva icCA upajAta ityAdO sa lakzaNam dIpakam darSayizyate /
        Locanā:	LocanA:
        (lo, a) punaruktavadābhāse yathodāhṛtabhujaṅgakuṇḍalītyādau /	(lo, a) punar ukta vat ABAse yaTA udAhRta BujaFga kuNxalI ityAdO /
        tena hetunā tulyayogitāyāmityāderuparitanena vidyamānāyāmityanena	tena hetunA tulya yogitAyAm iti AdeH u paritanena vidyamAnAyAm iti anena
   sambandhaḥ /	sambanDaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "svecchopajātaviṣayo 'pi na yāti vaktuṃ dehīti mārgaṇaśataiśca dadāti	"sva icCA upajAta vizayaH api na yAti vaktum dehi iti mArgaNa SatEH ca dadAti
   duḥkham /	duHKam /
   mohātsamutkṣipati jīvanamapyakāṇḍe kaṣṭaṃ prasūnaviśikhaḥ	mohAt samutkzipati jIvanam api akANxe kazwam prasUna viSiKaH
   prabhuralpabuddhiḥ" //	praBuH alpabudDiH" //
   ityādau ca prākaraṇikāprākaraṇikayorekadharmābhisambandhād dīpake /	ityAdO ca prAkaraNikA prAkaraNikayoH eka Darma aBisambanDAt dIpake /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, sa) tacclokārthastu yathā   prabhuralpabuddhirityatra cakārārtho	(vi, sa) tat cloka arTaH tu yaTA    praBuH alpabudDiH iti atra cakAra arTaH 
   gamyaḥ /	gamyaH /
        vaktumityatra bhāvatumvacanamityarthaḥ /	vaktum iti atra BAvatumvacanam iti arTaH /
        tathā ca kaṣṭaṃ khede /	taTA ca kazwam Kede /
        prasūnaviśikho 'lpabuddhiḥ prabhuśca svecchopajātaviṣayo 'pi	prasUna viSiKaH alpabudDiH praBuH ca sva icCA upajAta vizayaH api
   svecchayā sarvalokopari prāptādhikāro 'pi dehīti vacanaṃ na yāti na	sva icCayA sarva loka upari prApta aDikAraH api dehi iti vacanam na yAti na
   prāptoti /	prAptoti /
        dehābhāvena dehīti vāgviṣayo na prasūnaviśikhaḥ /	deha aBAvena dehi iti vAc vizayaH na prasUna viSiKaH /
        tathāpi mārgaṇaśataiḥ asaṃkhyabāṇaiḥ duḥ khaṃ dadāti /	taTA api mArgaNa SatEH asaMKya bANEH duH Kam dadAti /
        uktarūpaḥ prabhustu lokeṣu dehīti dadasveti vacanaṃ na yāti na	ukta rUpaH praBuH tu lokezu dehi iti dadasva iti vacanam na yAti na
   prāptoti /	prAptoti /
        etādṛśavāgvaktāna bhavatītyarthaḥ /	etAdRSa vAc vaktAna Bavati iti arTaH /
        mārgaṇaśataiḥ paradhanānveṣaṇarūpamārgaṇaśataiḥ arthāt	mArgaNa SatEH para Dana anvezaNa rUpa mArgaNa SatEH arTAt 
   īdṛśapadātiśataiḥ duḥ khaṃ dadāti /	IdRSa padAti SatEH duH Kam dadAti /
        dehītyanuktvāpi padatidvārā sarvasaṃva hṛtvā duḥ khaṃ dadātītyarthaḥ	dehi iti anuktvA api padati dvArA sarva saMva hRtvA duH Kam dadAti iti arTaH
        adhikārasattvāddehītyuktvāpi sarvasvaṃ grahītuṃ sāmarthyasattve 'pi	aDikAra sattvAt dehi iti uktvA api sarva svam grahItum sAmarTya sattve api
   alpabuddhitvāttathā na karotītyarthaḥ /	alpabudDi tvAt taTA na karoti iti arTaH /
        evaṃ prasūnaviśikhaḥ svadattamohād akāṇḍe 'kasmājjīvanamapi	evam prasUna viSiKaH sva datta mohAt akANxe akasmAt jIvanam api
   samākṣipati harati ityarthaḥ /	samAkzipati harati iti arTaH /
        atra prākaraṇi ka uktarūpaḥ prabhuraprākaraṇikaḥ prasūnaviśikhaḥ;	atra prAkaraNi kaH ukta rUpaH praBuH aprAkaraNikaH prasUna viSiKaH;
   tayorna yāti ityādyekadharmānvayarūpaṃ dīpakam /	tayoH na yAti ityAdi eka Darma anvaya rUpam dIpakam /
        taduktam   "aprastutaprastutayordepakantu taducyate"iti /	tat uktam    "a prastuta prastutayoH depakantu tat ucyate"iti /
        ekadharmānvaya iti tatra śeṣaḥ /	eka Darma anvayaH iti tatra SezaH /
        Locanā:	LocanA:
        (lo, ā) sveccheti /	(lo, A) sva icCA iti /
        svecchayā upajāta āśritaḥ viṣayaḥ bhogaḥ yasya /	sva icCayA upajAtaH ASritaH vizayaH BogaH yasya /
        vaktuṃ na yātīti na tatra svārthanivedanaṃ vaktuṃ śakya ityarthaḥ /	vaktum na yAti iti na tatra sva arTa nivedanam vaktum SakyaH iti arTaH /
        dehi prayaccha /	dehi prayacCa /
        iti mārgaṇaśataiḥ yācanaśataiḥ pradānābhāvāt punaḥ punaḥ kṛtaiḥ /	iti mArgaNa SatEH yAcana SatEH pradAna aBAvAt punar punar kRtEH /
        mohādaparādhagurulaghuvicārādakṣatvāt /	mohAt aparADa guru laGu vicArAt akza tvAt /
        akāṇḍe 'kasmāt, svalpe'pyāgasīti yāvat /	akANxe akasma at, su alpe api Agasi iti yAvat /
        pakṣāntare tu viṣayaḥ kāmasyāśrayo vanitādiḥ /	pakza antare tu vizayaH kAmasya ASrayaH vanitA AdiH /
        vaktuṃ na yātīti /	vaktum na yAti iti /
        vaktuṃ na yātīdṛśaḥ samprati me kāma iti /	vaktum na yAti IdRSaH samprati me kAmaH iti /
        dehā prāṇītyetāvanmātreṇa viśeṣamanapekṣya, mārgaṇaśatairmohādātmano	dehA prANi iti etAvat mAtreNa viSezam anapekzya, mArgaNa SatEH mohAt AtmanaH 
   nivekābhāvāt /	niveka aBAvAt /
        kaṣṭamiti nirvede 'vyayam /	kazwam iti nirvede avyayam /
        dīpake vidyamāna ityarthaḥ /	dIpake vidyamAnaH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "sakalakalaṃ purametajjātaṃ saṃprati sudhāṃśubimbamiva" /	"sakala kalam puram etat jAtam saMprati suDAMSu bimbam iva" /
