   śrīHarṣadeva-viracitā |	SrIHarza-deva--viracitAH |
   Sāṅkṛtyāyanī - rāja-putri dharmaśāstra-vihita eṣa gāndharvo vivāhaḥ | kim	SAFkRtyAyanI  rAja--putri Darma-SAstra--vihitaH eza gAnDarvaH vivAhaH | kim
   atra lajjā-sthānam | prekṣaṇīyakam idam | tan na yuktam a-sthāne	atra lajjA--sTAnam | prekzaNIyakam idam | tat na yuktam a-sTAne
   rasa-bhaṅgaṃ kṛtvā gantum |	rasa-BaFgam kRtvA gantum |
   (Vāsavadattā parikrāmati |)	(VAsavadattA parikrAmati |)
   Indīvarikā - (vilokya |) bhaṭṭiṇi Vasantao citta-sālā-duvāre pasutto	IndIvarikA  (vilokya |) BawwiNi VasantaaH citta-sAlA-duvAre pasuttaH-
   ciṭṭhai | [bhaṭṭini Vasantakaś citra-śālā-dvāre prasuptas tiṣṭhati |]	ciwWE | [Bawwini VasantakaH citra--SAlA-dvAre prasuptaH tizWati |]
   Vāsavadattā -(nirūpya |) Vasantao evva eso | (vicintya |) raṇṇā vi ettha	Va-AsavadattAH -(nirUpya |) VasantaaH evva esaH | (vicintya |) raNNA vi etTa
   hodavvaṃ | tā bodhia pucchissaṃ dāva ṇaṃ | [Vasantaka evaiṣaḥ | (vicintya	hodavvam | tAH boDia pucCissam dAva Nam | [VasantakaH eva-ezaH | (vicintya
   |) rājñāpy atra bhavitavyam | tad bodhayitvā prakṣyāmi tāvad enam |]	|) rAjQA-api atra Bavitavyam | tat boDayitvA prakzyAmi tAvat enam |]
   (prabodhayati |)	(praboDayati |)
   vidūṣakaḥ - (nidrā-jaḍam utthāya sahasā vilokya |) Maṇorame kiṃ ṇaccia	vidUzakaH  (nidrA--jaxam utTAya sahasA vilokya |) MaNa-urame kim Nat-cia
   āado pia-vaasso | ādu ṇaccadi evva | [Manorame kiṃ nartitv āgataḥ	AadaH pia-vaassaH | Adu Naccadi evva | [Manorame kim nartitu AgataH
   priya-vayasyaḥ | athavā nṛtyaty eva |]	priya-vayasyaH | aTavA nRtyati eva |]
   Vāsavadattā -(sa-viṣādam) kahaṃ ajja-utto ṇaccadi | Maṇoramā dāṇiṃ kahiṃ |	VAsavadattA -(sa-vizAdam) kaham ajja-uttaH Naccadi | MaNoramA dANim kahim |
   [katham ārya-putro nṛtyati | Manoramedānīṃ kutra |]	[kaTam Arya-putraH nRtyati | Manorama-idAnIm kutra |]
   vidūṣakaḥ - esā citta-sālāe ciṭṭhai | [eṣā citra-śālāyāṃ tiṣṭhati |]	vidUzakaH  esA citta-sAlAe ciwWE | [ezA citra--SAlAyAm tizWati |]
   Manoramā - (sa-bhayam ātma-gatam |) kahaṃ aṇṇahā evva hiae karia devīe	ManoramAH  (sa-Bayam Atma--gatam |) kaham aNNa-hA evva hiae karia devIe
   mantidaṃ | edeṇa vi mukkha-baḍueṇa aṇṇahā evva buddhia savvaṃ āulīkidaṃ |	manti-dam | edeNa vi mukKa-baxueNa aNNa-hA evva budDia savvam AulIkidam |
   [p. 42] [katham anyathaiva hṛdaye kṛtvā devyā mantritam | etenāpi	[p. 42] [kaTam anyaTA-eva hRdaye kRtvA devyAH mantritam | etena-api
   mūrkha-baṭukenānyathaiva buddhvā sarvam ākulī-kṛtam |]	mUrKa-bawukena-anyaTA-eva budDvA sarvam AkulI-kRtam |]
   Vāsavadattā -(sa-roṣaṃ hasantī |) sāhu Maṇorame sāhu | sohaṇaṃ tue	VAsavadattA -(sa--rozam hasantI |) sAhu MaNa-urame sAhu | sohaNam tue
   ṇaccidaṃ | [sādhu Manorame sādhu | śobhanaṃ tvayā nartitam |]	Naccit-am | [sADu Manorame sADu | SoBanam tvayA nartitam |]
   Manoramā - (sa-bhayaṃ kampamānā pādayor nipatya |) bhaṭṭiṇi ṇa hu ahaṃ	ManoramA  (sa-Bayam kampamAnA pAdayoH nipatya |) BawwiNi Na hu aham
   ettha avarajjhāmi | edeṇa kkhu hadāseṇa balādo alaṃkaraṇāiṃ geṇhia	etTa avarajJAmi | edeNa kKu hadAseNa balAdaH alaMkaraNAim geNhia
   duvāra-ṭṭhideṇa iha ṇiruddhā | ṇa uṇa maha akkandantīe saddo	duvAra--wWideNaH iha NirudDA | NaH uNa mahe akkandantIe sat-do
   mura-ṇigghos'-antarido keṇa vi sudo | [bhaṭṭini na khalv aham	mura-Nighosa-antari-daH keNa vi sudaH | [Bawwini na Kalu aham
   atrāparādhyāmi | etena khalu hatāśena balād alaṃkaraṇāni gṛhītvā	atra-aparADyAmi | etena Kalu hata-ASena balAt alaMkaraNAni gRhItvA
   dvāra-sthiteneha niruddhā | na punar mamākrandantyāḥ śabdo	dvAra--sTitena-iha nirudDAH | na punar mama-AkrandantyAH SabdaH-
   muraja-nirghoṣāntaritaḥ kenāpi śrutaḥ |]	muraja--nirGoza-antaritaH kena-api SrutaH |]
   Vāsavadattā - hanje uṭṭhehi | jāṇidaṃ savvaṃ | Vasantao kkhu	Va-AsavadattAH  hanje uwWehi | jANidam savvam | VasantaaH kKu
   Āraṇṇiā-vuttanta-ṇāḍae suttadhāro | [hañje uttiṣṭha | jñātaṃ sarvam |	ĀraNNiA--vuttanta-NAxae sutta-DAraH | [haQje uttizWa | jQAtam sarvam |
   vasantakaḥ khalv Āraṇyikā-vṛttānta-nāṭake sūtradhāraḥ |]	vasantakaH Kalu ĀraNyikA--vRttAnta--nAwake sUtraDAraH |]
   vidūṣakaḥ - saaṃ evva cintehi | kahiṃ Āraṇṇiā kahiṃ Vasantao tti | [svayam	vidUzakaH  saam evva cintA-ihi | kahim ĀraNNiA kahim VasantaaH tti | [svayam
   eva cintaya | kutrāraṇyikā kutra Vasantaka iti |]	eva cintaya | kutra-AraNyikA kutra VasantakaH iti |]
   Vāsavadattā - Maṇorame su-ggahīdaṃ karia ṇaṃ āaccha dāva | pekkhaṇīaṃ se	VAsavadattA  MaNa-urame su-ggahi-idam karia Nam AacCa dAvaH | pekKaNIam se
   pekkhamhi | [Manorame sugṛhītaṃ kṛtvainam āgaccha tāvat | prekṣaṇīyam asya	pekKamhi | [Manorame su-gRhItam kRtvA-enam AgacCa tAvat | prekzaNIyam asya
   paśyāmi |]	paSyAmi |]
   Manoramā - (sva-gatam |) dāṇiṃ samassasida mhi | (vidūṣakaṃ kare badhnāti	ManoramAH  (sva--gatam |) dANim samassasida mhi | (vidUzakam kare baDnAti
   | prakāśam |) hadāsa dāṇiṃ aṇubhava attaṇo duṇṇaassa phalaṃ | [idānīṃ	| prakASam |) hadAsa dANim aNu-BavaH attaNaH duNNaassa Palam | [idAnIm
   samāśvasitāsmi | (vidūṣakaṃ kare badhnāti | prakāśam |) hatāśa idānīm	samASvasitA-asmi | (vidUzakam kare baDnAti | prakASam |) hata-ASaH idAnIm
   anubhavātmano durnayasya phalam |]	anuBava-AtmanaH durnayasya Palam |]
   Vāsavadattā - (sa-saṃbhramam upasṛtya |) ajja-utta paḍihadaṃ edaṃ	VAsavadattA  (sa--saMBramam upasRtya |) ajja-utta paxiha-dam edam
   a-maṅgalaṃ | (iti pādayor nīlotpala-dāmāpanayantī sotprāsam |) marisadu	a-maFgalam | (iti pAdayoH nIlotpala--dAma-apanayantI sa-utprAsam |) marisa-du
   ajja-utto jaṃ Maṇorame tti karia ṇīl'-uppala-dāmaeṇa bandhāvido si |	ajja--uttaH jam MaNa-urame tti karia NIl-a-uppala-dAmaeNa banDa-avidaH si |
   [ārya-putra pratihastam etad a(maṅgalam | (iti pādayor	[Arya-putra pratihastam etat a(maFgalam | (iti pAdayoH-
   nīlotpala-dāmāpanayantī sotprāsam |) marṣatv ārya-putro yan Manorameti	nIlotpala--dAma-apanayantI sa-utprAsam |) marzatu Arya-putraH yat Manorama-iti
   kṛtvā nīlotpala-dāmakena bandhito 'si |]	kRtvA nIlotpala--dAmakena banDitaH asi |]
   (Āraṇyikā sa-bhayam apasṛtya tiṣṭhati |)	(ĀraNyikA sa-Bayam apasRtya tizWati |)
   [p. 43]	[p. 43]
   rājā - (sahasotthāya vidūṣakam Manoramāṃ ca dṛṣṭvātma-gatam |) kathaṃ	rAjA  (sahasA-utTAya vidUzakam ManoramAm ca dRzwvA-Atma--gatam |) kaTam
   vijñāto 'smi devyā | (vailakṣyaṃ nāṭayati |)	vijQAtaH asmi devyA | (vElakzyam nAwayati |)
   Sāṅkṛtyāyanī - (sarvān avalokya sa-smitam |) katham anyad evedaṃ	SAFkRtyAyanI  (sarvAn avalokya sa--smitam |) kaTam anyat eva-idam
   prekṣaṇīyakaṃ saṃvṛttam | a-bhūmir iyam asmad-vidhānām |	prekzaNIyakam saMvRttam | a-BUmiH iyam asmad--viDAnAm |
   (iti niṣkrāntā |)	(iti nizkrAntAH |)
   rājā - (sva-gatam |) a-pūrvo 'yaṃ kopa-prakāraḥ | durlabham atrānunayaṃ	rAjA  (sva--gatam |) a-pUrvaH ayam kopa--prakAraH | durlaBam atra-anunayam
   paśyāmi | (vicintya |) evaṃ tāvat kariṣye | (prakāśam |) devi tyajyatāṃ	paSyAmi | (vicintya |) evam tAvat karizye | (prakASam |) devi tyajyatAm
   kopaḥ |	kopaH |
   Vāsavadattā -ajja-utta ko ettha kuvido [āryaputra ko 'tra kupitaḥ |]	VAsavadattA -ajja-utta kaH etTa kuvidaH [Arya-putra kaH atra kupitaH |]
   rājā - kathaṃ na kupitāsi |	rAjA  kaTam na kupitA-asi |
   snigdhaṃ yady api vīkṣitaṃ nayanayos tāmrā tathāpi dyutir	snigDam yadi api vIkzitam nayanayoH tAmrA taTA-api dyutiH-
   mādhurye 'pi sati skhalaty anupadaṃ te gadgadā vāg iyam /	mADurye api sati sKalati anupadam te gadgadA vAc iyam /
   niśvāsā niyatā api stana-bharotkampena saṃlakṣitāḥ	niSvAsAH niyatAH api stana--Bara-utkampena saMlakzitAH
   kopas te prakaṭa-prayatna-vidhṛto 'py eṣa sphuṭaṃ lakṣyate // HPri_3.13 //	kopaH te prakawa--prayatna--viDRtaH api eza sPuwam lakzyate // HPri_3.13 //
   (pādayor nipatya) prasīda priye prasīda |	(pAdayoH nipatya) prasIda priye prasIda |
   Vāsavadattā - Āraṇṇie tumaṃ kuvida tti saṃbhāvaanto ajja-utto pie pasīda	Va-AsavadattA  ĀraNNie tumam kuvida tti saMBAvaantaH ajja-uttaH pie pasIda
   tti pasādaadi | tā uvasappa | [Āraṇyike tvaṃ kupiteti saṃbhāvayann	tti pasAdaa-di | tAH uvasappa | [ĀraNyike tvam kupitA-iti saMBAvayan=-
   ārya-putraḥ priye prasīdeti prasādayati | tad upasarpa |]	Arya-putraH priye prasIda-iti prasAdayati | tat upasarpa |]
   (iti hastenākarṣati |)	(iti hastena-Akarzati |)
   Āraṇyikā - (sa-bhayam |) bhaṭṭiṇi ṇa hu ahaṃ kiṃ vi jāṇāmi | [bhaṭṭini na	ĀraNyikA  (sa-Bayam |) BawwiNi Na hu aham kim vi jANAmi | [Bawwini na
   khalv ahaṃ kimapi jānāmi |]	Kalu aham kim-api jAnAmi |]
   Vāsavadattā - Āraṇṇie tumaṃ kahaṃ ṇa āṇāsi | dāṇiṃ de sikkhāvemi |	Va-AsavadattA  ĀraNNie tumam kaham Na ANAsi | dANim de sikKAvemi |
   Indīvarie geṇha edaṃ | [Āraṇyike tvaṃ kathaṃ na jānāsi | idānīṃ te	IndIvarie geNhaH edam | [ĀraNyike tvam kaTam na jAnAsi | idAnIm te
   śikṣayāmi | Indīvarike gṛhāṇainām |]	SikzayAmi | IndIvarike gRhANa-enAm |]
   vidūṣakaḥ - hodi ajja komudī-mahūsave tuha cittaṃ avahariduṃ vaasseṇa	vidUzakaH  hodi ajja komudI--mahUsave tuha cittam avahari-dum vaasseNa
   pekkhaṇīaṃ aṇuciṭṭhidaṃ | [bhavati adya kaumudī-mahotsave tava cittam	pekKaNIam aNu-ciwWi-dam | [Bavati adya kOmudI--mahA-utsave tava cittam
   apahartuṃ vayasyena prekṣaṇīyam anuṣṭhitam |]	apahartum vayasyena prekzaNIyam anuzWitam |]
   [p. 44]	[p. 44]
   Vāsavadattā - edaṃ tuṃhāṇaṃ duṇṇaaṃ pekkhia hāso me jāadi | [etaṃ yuṣmākaṃ	VAsavadattA  edam tuMhANam duNNaam pekKia hAsaH me jAadi | [etam yuzmAkam
   durnayaṃ prekṣya hāso me jāyate |]	durnayam prekzya hAsaH me jAyate |]
   rājā - devi alam anyathā vikalpitena | paśya |	rAjA  devi alam anyaTA vikalpitena | paSya |
   bhrū-bhaṅgaiḥ kriyate lalāṭa-śaśinaḥ kasmāt kalaṅko mudhā	BrU-BaFgEH kriyate lalAwa--SaSinaH kasmAt kalaFkaH muDA
   vātākampita-bandhujīva-samatāṃ nīto 'dharaḥ kiṃ sphuran /	vAta-akampita--banDu-jIva--sama-tAm nItaH aDaraH kim sPuran /
   madhyaś cādhika-kampita-stana-bhareṇāyam punaḥ khidyate	maDyaH ca-aDika--kampita-stana--BareNa-ayam punar Kidyate
   kopam muñca tavaiva citta-haraṇāyaitan mayā krīḍitam // HPri_3.14 //	kopam muQca tava-eva citta-haraNAya-etat mayA krIxitam // HPri_3.14 //
   devi prasīda prasīda | (iti pādayoḥ patati |)	devi prasIda prasIda | (iti pAdayoH patati |)
   Vāsavadattā - hanje ṇivuttaṃ pekkhaṇaaṃ | tā ehi | abbhantaraṃ evva	Va-AsavadattAH  hanje Ni-vuttam pekKaNaam | tAH ehi | abBantaram evva
   pavisamha | [hañje nivṛttaṃ prekṣaṇakam | tad ehi | abhyantaram eva	pavi-samha | [haQje nivRttam prekzaNakam | tat ehi | aByantaram eva
   praviśāvaḥ |]	praviSAvaH |]
   (iti niṣkrāntā |)	(iti nizkrAntAH |)
   iti garbha-nāṭakam |	iti garBa-nAwakam |
   rājā - (vilokya |) katham akṛtvaiva prasādaṃ gatā devī |	rAjA  (vilokya |) kaTam akRtvA-eva prasAdam gatA devI |
   svedāmbhaḥ-kaṇa-bhinna-bhīṣaṇatara-bhrūbhaṅgam ekaṃ ruṣā	sveda-amBaH--kaNa-Bid-na--BIzaNatara--BrU-BaFgam ekam ruzA
   trāsenāparam utplutotpluta-mṛga-vyālola-netrotpalam /	trAsena-aparam utpluta-utpluta--mRga--vyAlola--netra-utpalam /
   utpaśyann aham agrato mukham idaṃ devyāḥ priyāyās tathā	utpaSyan aham agratas muKam idam devyAH priyAyAH taTA
   bhītaś cotsuka-mānasaś ca mahati kṣipto 'smy ahaṃ saṃkaṭe // HPri_3.15 //	BItaH ca-utsuka-mAnasaH ca mahati kziptaH asmi aham saMkawe // HPri_3.15 //
   tad yāvad idānīṃ śayanīyaṃ gatvā devyāḥ prasādanopāyaṃ cintayāmi |	tat yAvat idAnIm SayanIyam gatvA devyAH prasAdana-upAyam cintayAmi |
   (iti niṣkrāntāḥ sarve |)	(iti nizkrAntAH sarve |)
   iti tṛtiyo 'ṅkaḥ |	iti tRtiyaH aFkaH |
   [p. 45]	[p. 45]
   cathurtho 'ṅkaḥ	caTurTaH aFkaH
   (tataḥ praviśati Manoramā)	(tatas praviSati ManoramA)
   Manoramā - (sodvegam |) aho diggha-rosadā devīe | ettiaṃ kālaṃ baddhāe	ManoramAH  (sA-udvegam |) aho diS-ha-rosadA devIe | ettiam kAlam badDAe
   pia-sahīe Āraṇṇiāe uvari aṇukampaṃ ṇa geṇhai | sā tavassiṇī attaṇo	pia-sahIe ĀraNNiAe uvari aNu-kampam Na geNhE | sA tavassiNI attaNaH-
   bandhaṇassa kileseṇa taha ṇa saṃtappadi jaha bhaṭṭiṇo daṃsaṇa-ṇirāsadāe |	banDaNassa kileseNa taha Na saMtappadi jaha BawwiNaH daMsaNa--NirAsadAe |
   īrisaṃ ca se dukkhaṃ jeṇa ajja evva attāṇaṃ vāvādaantī mae kahaṃ vi	Irisam ca se dukKam jeNa ajjaH evva attANam vA-avAdaantI mae kaham vi
   ṇivāridā | edaṃ uttantaṃ bhaṭṭiṇo ṇivedehi tti Vasantaaṃ bhaṇia āada mhi |	Ni-vAri-dAH | edam uttantam BawwiNaH Ni-vedehi tti Vasantaam BaNiaH Aada mhi |
   [aho dīrgha-roṣatā devyāḥ | etāvantaṃ kālaṃ baddhāyā api priya-sakhyā	[ahaH dIrGa--roza-tAH devyAH | etAvantam kAlam badDAyAH api priya--saKyA
   Āraṇyikāyā upary anukampāṃ na gṛhṇāti | sā tapasviny ātmano bandhanasya	ĀraNyikAyAH upari anukampAm na gRhNAti | sA tapasvini AtmanaH banDanasya
   kleśena tathā na saṃtapyate yathā bhartur darśana-nirāśatayā | īdṛśaṃ	kleSena taTA na saMtapyate yaTA BartuH darSana--nirASa-tayA | IdRSam
   cāsyā duḥkhaṃ yenādyaivātmānaṃ vyāpādayantī mayā katham api nivāritā |	ca-asyAH duHKam yena-adya-eva-AtmAnam vyApAdayantI mayA kaTam api nivAritA |
   etaṃ vṛttāntaṃ bhartre nivedayeti Vasantakaṃ bhaṇitvāgatāsmi |	etam vRttAntam Bartre nivedaya-iti Vasantakam BaNitva-AgatA-asmi |
   (tataḥ praviśati Kāñcanamālā |)	(tatas praviSati KAQcana-mAlA |)
   Kāñcanamālā - kahaṃ aṇṇesantīe vi mae bhaavaī Saṃkiccāaṇī ṇa diṭṭhā | tā	KAQcana-mAlA  kaham aNNesantIe vi mae BaavaI SaMkit-ca-AaNI Na diwWA | tA
   edaṃ vi dāva Maṇoramaṃ pucchissam | (upasṛtya |) Maṇorame avi jāṇāsi kahiṃ	edam vi dAva MaNoramam pucCissam | (upasRtya |) MaNa-urame avi jANAsi kahiM
   bhaavaī Saṃkiccāaṇi tti | [kathaṃ anviṣyantyāpi mayā bhagavatī	BaavaI SaMkit-ca-AaNi tti | [kaTam anvizyantyA-api mayA BagavatI
   Sāṅkṛtyāyanī na dṛṣṭā | (vilokya|) tad etām api tāvan Manoramāṃ prakṣyāmi	SAFkRtyAyanI na dRzwA | (vilokya|) tat etAm api tAvat ManoramAm prakzyAmi
   | (upasṛtya |) Manorame api jānāsi kutra bhagavatī Sāṅkṛtyāyanīti |]	| (upasRtya |) Manorame api jAnAsi kutra BagavatI SAFkRtyAyanI-iti |]
   Manoramā - (vilokyāśrūṇi pramṛjya |) halā Kancaṇamāle diṭṭhā | kim uṇa tāe	ManoramA  (vilokya-aSrUNi pramRjya |) halA KancaNa-mAle diwWA | kim uNa tAe
   paoaṇam | [halā Kāñcanamāle dṛṣṭā | kiṃ punas tayā prayojanam |]	paoaNam | [halA KAQcana-mAle dRzwA | kim punar tayA prayojanam |]
   Kāñcanamālā - Maṇorame ajja devīe Aṃgāravadīe leho pesido | tassi vācide	KAQcana-mAlA  MaNa-urame ajja devIe AMgAravadIe lehaH pesidaH | tassi vAcide
   bappha- puṇṇa-ṇaaṇā diḍhaṃ saṃtappiduṃ āraddhā devī | tā viṇodaṇa-ṇimittaṃ	bapPa puNNa-NaaNA diXam saMtappidum AradDA devI | tAH viNA-udaNa--Nimittam
   tāe bhaavadiṃ aṇṇesāmi | [Manorame adya devyāṅgāravatyā lekhaḥ preṣitaḥ |	tAe Baavadim aNNesAmi | [Manorame adya devyA-aFgAravatyA leKaH prezitaH |
   tasmin vācite bāṣpa-pūrṇa-nayanā dṛḍhaṃ saṃtaptum ārabdhā devī | tad	tasmin vA-Acite bAzpa--pUrNa-nayanA dRXam saMtaptum ArabDA devI | tat-
   vinodana-nimittaṃ tasyā bhagavatīṃ anviṣyāmi |]	vinodana--nimittam tasyAH BagavatIm anvizyAmi |]
   [p. 46]	[p. 46]
   Manoramā - halā kiṃ uṇa tassiṃ lehe ālihidaṃ | [halā kiṃ punas tasmiṃl	ManoramAH  halA kim uNa tassim lehe Alihidam | [halA kim punar tasmin=-
   lekha ālikhitam |]	leKaH AliKitam |]
   Kāñcanamālā - jā maha bhaiṇī sā tava jaṇaṇī evva | tāe bhattā Diḍhavammā	KAQcana-mAlA  jAH maha BENI sA tava jaNaNI evva | tAe BattA DiXavam-mA
   tādo de | tā tava kiṃ edaṃ āakkhidavvaṃ | tassa samahiaṃ saṃvaccharaṃ	tAdaH de | tA tava kim edam AakKidavvam | tassa sa-mahiam saMvacSaram
   Kaliṃga-hadaeṇa baddhassa | tā ṇa juttaṃ edaṃ uttantaṃ aṇ-iṭṭhaṃ suṇia	KaliMga-hadaeNa badDassa | tAH Na juttam edam uttantam aN-iwWam suNia
   samīva-ṭṭhidassa samatthassa bhattuṇo de evvam udāsīṇattaṇaṃ olambiduṃ tti	samIva-wWidaH-sa samatTassa BattuNaH de evvam udAsINattaNam olambi-dum tti
   | [yā mama bhaginī sā tava janany eva | tasyā bhartā Dṛḍhavarmā tātas te |	| [yA mama BaginI sA tava jananI eva | tasyAH BartA DRXavarmA tAtaH te |
   tat tava kim etad ākhyātavyaṃ | tasya samadhikaṃ saṃvatsaraṃ	tat tava kim etat AKyAtavyam | tasya samaDikam saMvatsaram
   Kaliṅga-hatakena baddhasya | tan na yuktam etaṃ vṛttāntam an-iṣṭaṃ śrutvā	KaliFga-hatakena badDasya | tat na yuktam etam vRttAntam an-izwam SrutvA
   samīpa sthitasya samarthasya bhartus ta evam udāsīnatvam avalambitum iti	samIpa sTitasya samarTasya BartuH te evam udAsIna-tvam avalambitum iti
   Manoramā - halā Kancaṇamāle | jadā dāva aaṃ uttanto bhaṭṭiṇīe ṇa keṇa vi	ManoramAH  halA KancaNa-mAle | jadAH dAva aam uttantaH BawwiNIe Na keNa vi
   viṇṇaviidavvo tti bhaṭṭiṇā āṇattaṃ tā keṇa uṇa dāṇiṃ so leho suṇāvido |	viNNa-viidavvaH tti BawwiNA ANattam tA keNaH uNa dANim saH lehaH suNA-vidaH |
   [halā Kāñcanamāle | yadā tāvad ayaṃ vṛttānto bhaṭṭinyai na kenāpi	[halA KAQcana-mAle | yadA tAvat ayam vRttAntaH BawwinyE na kena-api
   vijñāpitavya iti bhartrājñaptaṃ tat kena punar idānīṃ sa lekhaḥ śrāvitaḥ	vijQApitavyaH iti BartR-AjQaptam tat kena punar idAnIm sa leKaH SrAvitaH
   Kāñcanamālā - aṇuvāia tuṇhīṃ (sic) bhūdāe maha hatthādo geṇhia saaṃ evva	KAQcana-mAlA  aNuvAia tuNhIm (sic) BUdAe maha hatTa-AdaH geNhia saam evva
   bhaṭṭiṇīe vāido | [anuvācya tūṣṇīṃ bhūtāyā mama hastād gṛhītvā svayam eva	BawwiNIe vAidaH | [anuvAcya tUzNIm BUtAyAH mama hastAt gRhItvA svayam eva
   bhaṭṭiṇyā vācitaḥ |]	BawwiNyAH vA-AcitaH |]
   Manoramā - teṇa gaccha tumaṃ | esā kkhu devī tāe evva saha danta-valahīe	ManoramAH  teNa gacCa tumam | esA kKu devI tAe evva saha danta--vala-hIe
   ciṭṭhai | teṇa gaccha tvaṃ | [eṣā khalu devī tayaiva saha danta-valabhyāṃ	ciwWE | teNa gacCa tvam | [ezA Kalu devI tayA-eva saha danta--valaByAm
   tiṣṭhati |]	tizWati |]
   Kāñcanamālā - teṇa hi bhaṭṭiṇī-saāsaṃ gamissaṃ | [tena hi bhaṭṭinī-sakāśaṃ	KAQcana-mAlA  teNa hi BawwiNI--saAsam gamissam | [tena hi BawwinI--sakASam
   gamiṣyāmi |]	gamizyAmi |]
   (iti niṣkrāntā |)	(iti nizkrAntAH |)
   Manoramā - ciraṃ khu me Āraṇṇiā-saāsādo āadāe | diḍhaṃ ca ṇivviṇṇā sā	ManoramAH  ciram Ku me ĀraNNiA--saAsAdaH AadAe | diXam ca NivviNNA sA
   tavassiṇī attaṇo jīvideṇa | kadāi accāhidaṃ bhave | tā tahi evva gacchāmi	tavassiNI attaNaH jIvideNa | kadAi at-ca-ahidam Bave | tA tahi evva gacCAmi
   (Kale : -ahmi) | [ciraṃ khalu ma Āraṇyikā-sakāśād āgatāyāḥ | dṛḍhaṃ ca	(Kale : -ahmi) | [ciram Kalu me ĀraNyikA--sakASAt AgatAyAH | dRXam ca
   nirviṇṇā sā tapasviny ātmano jīvitena | kadā cid aty-āhitaṃ bhavet | tat	nirviNNA sA tapasvini AtmanaH jIvitena | kadA cit aty-Ahitam Bavet | tat-
   tatraiva gacchāmi | (iti niṣkrāntā |)	tatra-eva gacCAmi | (iti nizkrAntAH |)
   (iti praveśakaḥ |)	(iti praveSakaH |)
   [p. 47]	[p. 47]
   (tataḥ praviśati sodvegāsana-sthā Vāsavadattā Sāṅkṛtyāyanī vibhavataś ca	(tatas praviSati sa-udvega-Asana---sTA VAsavadattA SAFkRtyAyanI viBavataH ca
   parivāraḥ)	parivAraH)
   Sāṅkṛtyāyanī - rāja-putri alam udvegena | nedṛśo Vatsa-rājaḥ | katham	SAFkRtyAyanI  rAja--putri alam udvegena | na-IdRSaH Vatsa-rAjaH | kaTam
   itthaṃ gatam api bhavatyā mātṛ-ṣvasṛ-patiṃ vijñāya Vatsa-rājo niścintaṃ	itTam gatam api BavatyA mAtR-zu-asR-patim vijQAya Vatsa-rAjaH niScintam
   sthāsyati |	sTAsyati |
   Vāsavadattā - (sāsram|) bhaavadi adi-ujjuā dāṇiṃ tumaṃ | jassa mae ṇa	VAsavadattA  (sA-asram|) Baavadi adi-ujjuAH dANim tumam | jassa mae Na
   kajjaṃ tassa mama-kerayeṇa kiṃ kajjaṃ | ajjuāe juttaṃ mama edaṃ ālihiduṃ |	kajjam tassa mama-kerayeNa kim kajjam | ajjuAe juttam mama edam Alihidum |
   sā uṇa ṇa āṇādi ajja vi tārisī ṇa Vāsavadatte tti | tuha uṇa edaṃ Āraṇṇiāe	sA uNa NaH ANa-Adi ajja vi tArisI Na VAsavadatte tti | tuha uNaH edam ĀraNNiAe
   uttantaṃ paccakkhaṃ | tā kahaṃ edaṃ bhaṇāsi | [bhagavati ati(ṛjukedānīṃ	uttantam pad-cakKam | tA kaham edam BaNAsi | [Bagavati ati-(Rjuka-idAnIm
   tvam | yasya mayā na kāryaṃ tasya madīyena kiṃ kāryam | mātur yuktaṃ	tvam | yasya mayA na kAryam tasya madIyena kim kAryam | mAtuH yuktam
   mamaitad ālikhituṃ | sā punar na jānāty adyāpi tādṛśī na Vāsavadatteti |	mama-etat AliKitum | sA punar na jAnAti adya-api tAdRSI na VAsavadattA-iti |
   tava punar eṣa Ārāṇyikā-vṛttāntaḥ pratyakṣaḥ | tat katham etad bhaṇāsi |	tava punar eza ĀrANyikA--vRttAntaH pratyakzaH | tat kaTam etat BaNAsi |
   Sāṅkṛtyāyanī - yata eva me pratyakṣaṃ tata eva bravīmi | tena nanu	SAFkRtyAyanI  yatas eva me pratyakzam tatas eva bravImi | tena nanu
   kaumudī-mahotsave tvāṃ hāsayituṃ tathā krīḍitam |	kOmudI--mahA-utsave tvAm hAsayitum taTA krIxitam |
   Vāsavadattā - bhaavadi edaṃ ettha saccaṃ | taha hāsida mhi jeṇa bhaavadīe	VAsavadattA  Baavadi edam etTa sat-cam | taha ha-asida mhi jeNa BaavadIe
   purado lajjāe kahaṃ vi ciṭṭhāmi | tā kiṃ ta-kkerakāe kahāe | ṇam edeṇa	puradaH lajjAe kaham vi ciwWAmi | tA kim ta-kkerakAe kahAe | Nam edeNa
   evva pakkha-vādeṇa ettiaṃ bhūmiṃ ṇīda mhi | [bhagavati etad atra satyam |	evva pakKa-vAdeNa ettiam BUmim NIda mhi | [Bagavati etat atra satyam |
   tathā hāsitāsmi yena bhagavatyāḥ purato lajjayā katham api tiṣṭhāmi | tat	taTA hAsitAsmi yena BagavatyAH puratas lajjayA kaTam api tizWAmi | tat-
   kiṃ tadīyayā kathayā | nanv etenaiva pakṣa-pātenaitāvatīṃ bhūmiṃ nītāsmi |	kim tadIyayA kaTayA | nanu etena-eva pakza-pAtena-etAvatIm BUmim nItA-asmi |
   (iti roditi |)	(iti roditi |)
