   Govind Kaul: Pradeśasaṃgraha	Govind KOl: PradeSa-saMgraha
   sarvarddhīnāṃ bhūtīnāṃ samastānāṃ prabhuś ca sa īśānapadābhidheyaḥ |	sarva-RdDInAm BUtInAm samastAnAm praBuH ca saH ISAna-pada-aBiDeyaH |
   śiveśānayoḥ padayor ekaparyāyatvena varṇyamānapradeśasthaiṣā śivamūrtir	Siva-ISAnayoH padayoH eka-paryAya-tvena varNyamAna-pradeSa-sTA-ezA Siva-mUrtiH-
   ity arthaḥ |	iti arTaH |
   atha vā kalhaṇapaṇḍitakṛtarājataraṅgiṇīdvitīyataraṅgavarṇyamānasandhimān	aTa vA kalhaNa-paNxita-kRta-rAja-taraFgiNI-dvitIya-taraFga-varNya-mAna-sanDimAn
   sandhimatiś cety ākhyasya rājño yo gurur yasya prasādāt tena mṛtenāpi	sanDi-matiH ca-iti AKyasya rAjQaH yaH guruH yasya prasAdAt tena mRtena-api
   rājñā sandhimatinā punarjīvitaṃ samākalitaṃ sa eva īśānanāmā yatas	rAjQA sanDi-matinA punar-jIvitam samAkalitam saH eva ISAna-nAmA yatas-
   tadākhyayāpy atrasthaiṣā śivamūrtir īśānapadavācyā saṃjātā |	tad-AKyayA-api atrasTA-ezA Siva-mUrtiH ISAna-pada-vAcyA saMjAtAH |
   tathā ca kalhaṇarājataraṅgiṇīdvitīyataraṅgasyaikaśatādhike	taTA ca kalhaNa-rAja-taraFgiNI-dvitIya-taraFgasya-eka-Sata-aDike
   saptatriṃśattame śloke	saptatriMSattame Sloke
        kṛtvā sandhīśvaraṃ dehasandhānapitṛkānane |	kRtvA sanDISvaram deha-sanDAna-pitR-kAnane |
        īśānasya guror nāmnā vyadhād īśeśvaraṃ haram ||	ISAnasya guroH nAmnA vyaDAt ISeSvaram haram ||
   īśeśvara iti nāmnākhyāto 'pi bhaktasya tasyaiveśānasya nāmnā prakhyātim	ISeSvaraH iti nAmnA-AKyAtaH api Baktasya tasya-eva-ISAnasya nAmnA praKyAtim
   āgataḥ |	AgataH |
   yadi apy e[...] śānakālāt pūrvam api śivamūrtiprākaṭyenātra pradeśe	yadi api e[...] SAna-kAlAt pUrvam api Siva-mUrti-prAkawyena-atra pradeSe
   'tipūtatvātimāhātmyavattvaṃ cāsīd eva tathāpi	ati-pUta-tva-ati-mAhAtmyavat-tvam ca-AsIt eva taTA-api
   īśānasyevāticitrīyamāṇacaritraprākaṭyakaraṇavaśataḥ sarvathaiva	ISAnasya-iva-ati-citrIyamANa-caritra-prAkawya-karaNa-vaSataH sarvaTA-eva
   khyātimattvaṃ sampannam |	KyAtimat-tvam sampannam |
   atra dvitīyataraṅge pañcādhikaṃ ṣaṣṭitamaṃ ślokam ārabhya varṇanīyo yo	atra dvitIya-taraFge paQca-aDikam zazwitamam Slokam AraBya varNanIyaH yaH-
   jayendrākhyo rājño vijayasya putras tasyaivāyaṃ sandhimatir nāmā īśānasya	jaya-indra-AKyaH rAjQaH vijayasya putraH tasya-eva-ayam sanDimatiH nAmA ISAnasya
   śiṣyo mantrī matimaduttamo pūrvaṃ babhūva |	SizyaH mantrI matimat-uttamaH pUrvam baBUva |
   atha bhūtaṃ puruṣās taṃ capalakarṇaṃ mattakariṇam iva rājānam ayaṃ	aTa BUtam puruzAH tam capalakarNam matta-kariNam iva rAjAnam ayam
   sandhimatir bhavanmantry atyadbhutam ativaibhavavān sarvathaivāsty ato	sanDi-matiH Bavat-mantrI ati-adButam ati-vEBavavAn sarvaTA-eva-asti atas-
   'smād rājyaharaṇādiśaṃkāvaśyaṃ vidheyetyādi kathayām āsuḥ |	asmAt rAjya-haraNa-Adi-SaMkA-avaSyam viDeya-ityAdi kaTayAm AsuH |
   asmād eva hetor anena bhūtaṃ vañcitena rājñā tasmin buddhimantriṇy api	asmAt eva hetoH anena BUtam vaQcitena rAjQA tasmin budDi-mantriNi api
   vairabuddhiḥ kopena samyaktam ākalitā |	vEra-budDiH kopena samyaktam AkalitAH |
   atha tadvairavismāritatatprītis sa rājā svasabhāpraveśanivāraṇapūrvakaṃ	aTa tad-vEra-vismArita-tad-prItiH sa rAjA sva-saBA-praveSa-nivAraNa-pUrvakam
   tatsarvasvāpaharaṇapūrvakaṃ ca taṃ mantriṇam ahetukam eva yāvajjīvaṃ	tad-sarva-sva-apaharaNa-pUrvakam ca tam mantriNam ahetukam eva yAvat-jIvam
   daridratām anayat |	daridra-tAm anayat |
   etādṛśīṃ duravasthām āpto 'pi sa mantrī tat svasya rājyakāryādibhraṃśaṃ	etAdRSIm duravasTAm AptaH api sa mantrI tat svasya rAjya-kAri-Adi-BraMSam
   pratyūharahitaśivapūjāvasaralābhena vyathākāri nājñāsīt |	pratyUha-rahita-Siva-pUjA-vasara-lABena vyaTA-kAri na-ajQAsIt |
   atha bhāvino 'rthasya balavattayā sandhimater eva rājyaṃ bhaviṣyatīdṛśy	aTa BAvinaH arTasya balavat-tayA sanDi-mateH eva rAjyam Bavizyati-IdRSy
   eva vāṇī prativeśmākasmāt prakhyātiṃ prāptā |	eva vANI prativeSma-akasmAt praKyAtim prAptA |
   tathā ca dvitīyataraṅgasya catussaptatitame śloke	taTA ca dvitIya-taraFgasya catussaptatitame Sloke
        atha bhāvyarthamāhātmyāt paprathe pratimandiram |	aTa BAvi-arTa-mAhAtmyAt papraTe pratimandiram |
        rājyaṃ sandhimater bhāvīty aśrutāpi sarasvatī ||	rAjyam sanDi-mateH BAvi-iti aSrutA-api sarasvatI ||
   tataś ca sa rājā pūrvoktāyā etādṛśyā vāṇyāḥ śravaṇenākasmād īdṛśī vāṇī	tatas ca sa rAjA pUrva-uktAyAH etAdRSyAH vANyAH SravaNena-akasmAt IdRSI vANI
   nava pracaraty ato devādipreritaivāvaśyaṃ bhavatīti jñātvā ca	nava pracarati atas deva-Adi-preritA-eva-avaSyam Bavati-iti jQAtvA ca
   samutpannamahābhītis taṃ maṃtriṇaṃ kārāgṛhe sthāpayām āsa |	samutpanna-mahA-BItiH tam maMtriNam kArA-gRhe sTApayAm Asa |
   tatra tasyogranigaḍapīḍitapādasyāta eva śoṣaṃ prāptasya daśavarṣāṇi	tatra tasya-ugra-nigaxa-pIxita-pAdasya-atas eva Sozam prAptasya daSa-varzANi
   pūrṇatām īyuḥ |	pUrNa-tAm IyuH |
   tāny eva daśavarṣāṇi sandhimatisvāmino 'sya jayendrasya rājña āyuḥ	tAni eva daSa-varzANi sanDimati-svAminaH asya jaya-indrasya rAjQaH AyuH
   śeṣasyāvadhi bhūtāny athāsanathāputramararogakṛtapīḍas tasya mātreṇa	Sezasya-avaDi BUtAni aTa-AsanaTA-putramara-roga-kRta-pIxaH tasya mAtreNa
   ścintayā ca kṛtātipīḍāte eva mumūrṣarantar eva mahāntaṃ dāham āsasāda |	ScintayA ca kRta-atipIxAte eva mumUrzarantar eva mahAntam dAham AsasAda |
   ittham eva tena mantrividveṣajvalanenāharniśaṃ jvalatā tāpyamānas sa bhūpo	itTam eva tena mantri-vidveza-jvalanena-aharniSam jvalatA tApyamAnaH sa BUpaH-
   tasya mantriṇo vadhaṃ vinā bhavitavyapratīkāraṃ kim api na mene |	tasya mantriNaH vaDam vinA Bavitavya-pratIkAram kim api na mene |
   aho paṇḍitam manyāḥ pumāṃso asya bhāvino 'rthasya gopanāya yaṃ	aho paNxitam manyAH pumAMsaH asya BAvinaH arTasya gopanAya yam
   kaṃcanopāyaṃ vidadhati sa evopāya nivāritaṃ hāraṃ daivena tasyārthasya	kaMcana-upAyam vidaDati saH eva-upAya nivAritam hAram dEvena tasya-arTasya
   kalpate |	kalpate |
   yathā daivaṃ svājñayā kāṣṭhavṛndasthasya stokatejaso 'py agnikaṇasya	yaTA dEvam sva-AjQayA kAzWa-vRnda-sTasya stoka-tejasaH api agni-kaNasya
   nirupamāṃ śaktim ādhātuṃ icchati |	nirupamAm Saktim ADAtum icCati |
   tadā tasya mahatīm eva śaktim ādhāsyamānasyoktāgnikaṇasya nirvāpaṇaṃ yaḥ	tadA tasya mahatIm eva Saktim ADAsyamAnasya-ukta-agni-kaNasya nirvApaNam yaH
   kaścana daivabalam ajānataḥ kartum īheta tasya tad daivaṃ	kaScana dEva-balam ajAnataH kartum Iheta tasya tat dEvam
   tāpagalitaghṛtayute ghṛtakumbhe vārikumbhabhramaṃ karoti |	tApa-galita-GRta-yute GRta-kumBe vAri-kumBa-Bramam karoti |
   atha yadaiva rājñā mantrighātāya vadhakarmādhikāriṇaḥ samādiṣṭāḥ tadaiva	aTa yadA-eva rAjQA mantri-GAtAya vaDa-karma-aDikAriNaH samAdizwAH tadA-eva
   sa sandhimatis taiḥ śūlaṃ samāropya hanyate sma |	sa sanDi-matiH tEH SUlam samAropya hanyate sma |
   tato 'pi tasmin mantriṇi śūlaṃ prote sati tasya rājña ādau sa mantricintād	tatas api tasmin mantriNi SUlam prote sati tasya rAjQaH AdO sa mantri-cintAt-
   duḥkhaśaṅkur niragacchat |	duHKa-SaFkuH niragacCat |
   paścāj jīvitam api nirjagāma |	paScAt jIvitam api nirjagAma |
   atha tathāhatasya svakīyaśiṣyasya vadhaṃ śrutvā vaśino 'pīśānābhidhasya	aTa taTA-ahatasya svakIya-Sizyasya vaDam SrutvA vaSinaH api-ISAna-aBiDasya
   tadguror mano 'ntastaptaṃ babhūva |	tad-guroH manaH antar-taptam baBUva |
   atha eva tasya vinītasya śiṣyasyāntakālīno citasatkriyākarmaṇe sa īśāno	aTa eva tasya vinItasya Sizyasya-antaka-AlInaH cita-satkriyA-karmaNe saH ISAnaH-
   yasyāṃ bhuvi sandhimati mṛtyur abhūt tām eva śmaśānabhuvam ājagāma |	yasyAm Buvi sanDimati mRtyuH aBUt tAm eva SmaSAna-Buvam AjagAma |
   tatra sa īśānas taṃ svaśiṣyaṃ tasminn eva śūlamūle 'vaṣṭabdhvāsthiśakalam	tatra saH ISAnaH tam sva-Sizyam tasmin eva SUla-mUle avazwabDvA-asTi-Sakalam
   adhastād vṛkair balāt kṛṣyamāṇām asthiśeṣam eva dadarśa |	aDastAt vRkEH balAt kRzyamANAm asTi-Sezam eva dadarSa |
   dṛṣṭā ca samahatātiśokena hā vatsedṛśīṃ tvad avasthām eva draṣṭuṃ jīvāmīty	dRzwA ca sa-ma-hata-atiSokena hA vatsa-IdRSIm tvat avasTAm eva drazwum jIvAmi-iti-
   uktā tasmiñ śūle protaṃ kaṅkālaṃ vāśato vṛkāt nivārayan sa nināya |	uktA tasmin SUle protam kaFkAlam vASataH vRkAt nivArayan sa ninAya |
   athocitaṃ saṃskāram antimaṃ kartuṃ yāvat sa īśānaḥ samudyatas tāvat asya	aTa-ucitam saMskAram antimam kartum yAvat saH ISAnaH samudyataH tAvat asya
   svaśiṣyasya lalāṭapaṭṭe daivalikhitam idaṃ ślokaṃ papāṭha |	sva-Sizyasya lalAwa-pawwe dEva-liKitam idam Slokam papAWa |
   tadyathā |	tat-yaTA |
        yāvajjīvaṃ daridratvaṃ daśa varṣāṇi bandhanam |	yAvajjIvam daridra-tvam daSa varzANi banDanam |
        śūlasya pṛṣṭe maraṇaṃ punā rājyaṃ bhaviṣyati ||	SUlasya pRzwe maraNam punA rAjyam Bavizyati ||
   iti |	iti |
   tataś ca sa gurur asyoktaślokapādatrayasya yathārthatayā jñātārtho 'taś	tatas ca sa guruH asya-ukta-Sloka-pAda-trayasya yaTArTa-tayA jQAta-arTaH atas-
   caturthapādārthe 'vaśyadraṣṭavye kautukānvito bhūtvā manasi katham ivaitad	caturTa-pAda-arTe avaSya-drazwavye kOtuka-anvitaH BUtvA manasi kaTam iva-etat-
   bhaviṣyatīty acintayat |	Bavizyati-iti acintayat |
   atha sadaiva śaktim acintyaprabhāvāṃ yayā pūrvam arjunaparīkṣitkacādayo	aTa sadA-eva Saktim acintya-praBAvAm yayA pUrvam arjuna-parIkzit-kacAdayaH-
   mṛtāḥ santaḥ punarjīvitaṃ prāptās tām evāghaṭyamānaghaṭakāṃ vicārya devaṃ	mRtAH santaH punar-jIvitam prAptAH tAm eva-AGawyamAna-GawakAm vicArya devam
   sarvasiddhiṣu nirnirodham atipragalbhaṃ stutvā bhāvino 'rthasya	sarva-sidDizu nirniroDam ati-pragalBam stutvA BAvinaH arTasya
   siddhidarśanāyodyatas tasminn eva śmaśāne kṛtavasatis taṃ tasya kaṅkālaṃ	sidDi-darSanAya-udyataH tasmin eva SmaSAne kRta-vasatiH tam tasya kaFkAlam
   rarakṣa |	rarakza |
   athaikadā niśīthe tayaivāścaryacintayā jāgran sa īśānaḥ pūrvaṃ	aTa-ekadA niSITe tayA-eva-AScarya-cintayA jAgran saH ISAnaH pUrvam
   divyadhūpagandham akasmād āghrāya ḍamarugharāṭādinānāvādyānāṃ dhvaniṃ	divya-DUpa-ganDam akasmAt AGrAya xamaru-GarAwa-Adi-nAnOvAdyAnAm Dvanim
   śuśrāva |	SuSrAva |
   tataḥ sa śabdaṃ śrutvaiva yāvat tamo 'rim udghaṭyamānaḥ paśyati tāvad eva	tatas sa Sabdam SrutvA-eva yAvat tamaH arim udGawyamAnaH paSyati tAvat eva
   tena tejomaṇḍalavirājamānaṃ yoginīcakraṃ tasyāṃ pitṛvanabhūmau samāgataṃ	tena tejaH-maNxala-virAjamAnam yoginI-cakram tasyAm pitR-vana-BUmO samAgatam
   dṛṣṭam |	dRzwam |
   atha tābhir yoginībhir yāvad eva tat asya kaṅkālam apavāsyate tāvad eva	aTa tABiH yoginIBiH yAvat eva tat asya kaFkAlam apavAsyate tAvat eva
   bhītasya tasya gurur dhṛtakhaḍgas tāṃ śmaśanabhūmim āgacchat |	BItasya tasya guruH DRta-KaxgaH tAm SmaSana-BUmim AgacCat |
   āgatya sa vṛkṣacchannas tair yoginīgaṇais saṃpujyamānasamastāvayavam ata	Agatya sa vRkza=-CannaH tEH yoginI-gaNEH saMpujyamAna-samasta-avayavam ata
   eva maṇḍale śāyitaṃ taṃ kaṅkālaṃ paśyati sma |	eva maNxale SAyitam tam kaFkAlam paSyati sma |
   tābhir madirāpāpidevatābhir yoginībhir uttamavarasaṃyogakāminībhir yadānyo	tABiH madirA-apApi-devatABiH yoginIBiH uttama-vara-saMyoga-kAminIBiH yadA-anyo
   varaḥ ko 'pi na labdhas tadā sa eva kaṅkālo tviṣyāpasyataḥ |	varaH kaH api na labDaH tadA saH eva kaFkAlaH tvizi-ApasyataH |
   atha tāḥ svam ekam ekam aṅgaṃ kṣaṇād eva tasmin saṃsthāpya kuto 'pi	aTa tAH svam ekam ekam aFgam kzaNAt eva tasmin saMsTApya kutas api
   puruṣalakṣmyāpy ānīya taṃ pūrṇāṅgaṃ cakruḥ |	puruza-lakzmyA-api AnIya tam pUrNa-aFgam cakruH |
   punaś ca yoginyo yad anākrāntānyavigrahaṃ puryaṣṭakam ata eva bhrāmyat tad	punar ca yoginyaH yat anAkrAntAnyavigraham puryazwakam atas eva BrAmyat tat-
   eva yogabalena kuto'py ākṛṣya tasya sandhimateḥ kaṃkasya sthāpayām āsuḥ |	eva yoga-balena kutas-api AkRzya tasya sanDi-mateH kaMkasya sTApayAm AsuH |
   tataḥ sa sandhimatiḥ suptaprabuddha iva tābhir dattadivyāṅgarāgaś	tatas sa sanDimatiH supta-prabudDaH iva tABiH datta-divya-aFga-rAga-H-
   cakranāyakatvam ādadhānas tābhis saha yatheṣṭasambhogādilābhavān babhūva |	cakra-nAyaka-tvam AdaDAnaH tABiH saha yaTezwa-samBoga-Adi-lABavAn baBUva |
   atha prabhātībhūtāyāṃ rātrau sa īśānas tadyoginīdattāṅgādivibhāgaṃ punar	aTa praBAtIBUtAyAm rAtrO saH ISAnaH tad-yoginI-datta-aFga-Adi-viBAgam punar-
   api nīyamānam āśaṅkabhītaḥ saṃs tadrakṣārthaṃ dhīras sann ata eva nadaś ca	api nIyamAnam ASaFka-BItaH san tad-rakzA-arTam DIraH san atas eva nadaH ca
   tad eva sthānaṃ yāvad eva samāgacchati tāvad eva tadyoginīvṛndaṃ kṣipram	tat eva sTAnam yAvat eva samAgacCati tAvat eva tad-yoginI-vRndam kzipram
   eva 'tirohitam |	eva ati-rohitam |
   tāsāṃ cāntarhitānāṃ yoginīnāṃ tenetthaṃ vāṇy api śrutā he īśāna tava	tAsAm ca-antarhitAnAm yoginInAm tena-itTam vANi api SrutA he ISAna tava
   bhayaṃ māstu |	Bayam mA-astu |
   yato 'smākam anena karmaṇām aṅgahānir nāsti |	yatas asmAkam anena karmaNAm aFga-hAniH na-asti |
   asmin bate vañcanāpi nāsti |	asmin bate vaQcanA-api na-asti |
   pratyutāyam asmad varād divyaśarīreṇa sandhīyamāno 'taḥ sandhimannāmā rājā	pratyutA-ayam asmat varAt divya-SarIreNa sanDIyamAnaH atas sanDimat-nAmA rAjA
   punaś cāryatayā āryarājākhyayā bhuvi khyato bhaviṣyati |	punar ca-AryatayA AryarAja-AKyayA Buvi KyataH Bavizyati |
   tataś ca sa sandhimatir divyāṃśuko divyabhūṣaṇaḥ sragvī labdhapūrvasmṛtiś	tatas ca sa sanDi-matiH divya-aMSukaH divya-BUzaNaH sragvI labDa-pUrva-smRtiH-
   ca prahvībhūya taṃ svaguruṃ vavande |	ca prahvIBUya tam sva-gurum vavande |
   atha sa rājā tena guruṇā saha saṃsārasyāsāratāyāś cittatāyāś ca kathāṃ	aTa sa rAjA tena guruNA saha saMsArasya-asAra-tAyAH citta-tAyAH ca kaTAm
   kṛtvā tad anumanyaiva katham api kṛccheṇa niḥspṛho rājyapālanam anumatavān	kRtvA tat anumanyA-eva kaTam api kRcCeNa niHspRhaH rAjya-pAlanam anumatavAn
   itītthaṃ varṇito yo guros tasyānirvācyopakārasya vāsya varṇyamāneśeśvareti	iti-itTam varNitaH yaH guroH tasya-anirvAcya-upakArasya vA-asya varNyamAna-ISa-ISvara-iti
   khyātapradeśasya nirmityādau mukhyo hetuḥ |	KyAta-pradeSasya nirmitya-AdO muKyaH hetuH |
   yady api pūrvam atrastho 'pi mahādevābhidhaḥ śivo 'bhūt tathāpi	yadi api pUrvam atrasTaH api mahAdeva-aBiDaH SivaH aBUt taTA-api
   tasyeśānasyaiva nāmnādyāpi khyātimatvaṃ bhajate |	tasya-ISAnasya-eva nAmnA-adya-api KyAtimatvam Bajate |
   asya pradeśasyādhunā guptagaṅgā iti nāma sarvajagatkhyātaṃ bhavati |	asya pradeSasya-aDunA guptagaFgA iti nAma sarva-jagat-KyAtam Bavati |
   tatra mahādevena gaṅgā yato guptāgopiteti yāvat atas sārthakaṃ	tatra mahAdevena gaFgA yatas guptA-gopitA-iti yAvat atas sArTakam
   guptagaṅgeti nāma etat |	guptagaFgA-iti nAma etat |
   pradeśanikaṭasthamahādevākhyagirim ārūḍhena mahādevena gopitā gaṅgā	pradeSa-nikawa-sTa-mahAdeva-AKya-girim ArUXena mahAdevena gopitA gaFgA
   prativatsaraṃ vaiśākhyāṃ saṃkrānau guptagaṅgām atrasthāṃ gaṅgām eva	prativatsaram vESAKyAm saMkrAnO guptagaFgAm atrasTAm gaFgAm eva
   manyamānāḥ sarva eva kāśmīrikāḥ sabālavṛddhāḥ snātuṃ samāyānti |	manyamAnAH sarve eva kASmIrikAH sa-bAla-vRdDAH snAtum samAyAnti |
   asya pradeśasyādhunā īśabhrāra iti nāmāpi vadanti |	asya pradeSasya-aDunA ISa-BrAraH iti nAma-api vadanti |
   tatra īśasya īśānasya bhrār devatā iti yataḥ kaśmīrabhāṣāyāṃ bhror bhrār	tatra ISasya ISAnasya BrAs devatAH iti yatas kaSmIra-BAzAyAm BroH BrAr
   iti khyātaṃ padadvayaṃ devadevyor arthe vidyamānaṃ dṛśyate |	iti KyAtam pada-dvayam deva-devyoH arTe vidyamAnam dRSyate |
   tatrāpi bhror devaḥ bhrār devīti |	tatra-api BroH devaH BrAs devI-iti |
   punaś ca devatāśabdasya śāstre striyāṃ vartamānasya bhrār iti bhāṣāyām api	punar ca devatA-Sabdasya SAstre striyAm vartamAnasya BrAs iti BAzAyAm api
   strītvenaiva vyapadeśaḥ |	strI-tvena-eva vyapadeSaH |
   grāmīṇās tu asya iśabhrār padasyāpabhraṃśavaśāt iśavar iti kathayanti |	grAmINAH tu asya iSaBrAr padasya-apaBraMSa-vaSAt iSavar iti kaTayanti |
   punaś cāyaṃ pradeśo yasmin puragaṇo vartate tasya puragaṇasya phākpargaṇa	punar ca-ayam pradeSaH yasmin pura-gaNaH vartate tasya pura-gaNasya PAc-pargaNa
   iti nāma bruvāṇāḥ santi |	iti nAma bruvANAH santi |
   ayaṃ puragaṇaḥ kaśmīranagarāt krośatrayeṇa dūre vartate |	ayam pura-gaNaH kaSmIra-nagarAt kroSa-trayeNa dUre vartate |
   atra gamāgamau jalamārgeṇa naukābhis tathā sthalamārgeṇāpy aśvādinā	atra gama-AgamO jala-mArgeNa nOkABiH taTA sTala-mArgeNa-api aSva-AdinA
   bhavataḥ |	BavataH |
   ayaṃ pradeśo niśāt vāgākhyo pavanāt pādonakrośadūratāyāṃ bhavati |	ayam pradeSaH niSAt vAc-AKyaH pavanAt pAda-Una-kroSa-dUra-tAyAm Bavati |
   atraiko jalāśayaś śītalajaś catuṣkoṇākāro 'ntar asti |	atra-ekaH jalASayaH SItala-jaH catuzkoNa-AkAraH antar asti |
   punaś caitādṛśa evānyo 'pi jalāśayas tasyāntaḥsthajalāśayasya vārye	punar ca-etAdRSaH eva-anyaH api jalASayaH tasya-antar-sTa-jala-ASayasya vArye
   pradeśe vartate |	pradeSe vartate |
   ubhayor eva jalāśayayor madhye 'lpaḥ prākāra iṣṭakāpāṣāṇādinirmito	uBayoH eva jalASayayoH maDye alpaH prAkAraH izwakA-pAzANa-Adi-nirmitaH-
   'dhunāpy avaśiṣṭo bhāti |	aDunA-api avaSizwaH BAti |
   paraṃ tu snānādivyavahāro vārya eva jalāśaye bhavati |	param tu snAna-Adi-vyavahAraH vAryaH eva jalASaye Bavati |
   āntare tu kevalaṃ pūjanādikam eva sarvaiḥ kriyate |	Antare tu kevalam pUjana-Adikam eva sarvEH kriyate |
   asya jalāśayasyoparitane bhāge purātanarājanirmitam ekaṃ mandiram api	asya jalASayasya-uparitane BAge purAtana-rAja-nirmitam ekam mandiram api
   sarvathāvinaṣṭam ākṛtyaivopalakṣyamāṇaṃ ādyāpi dṛśyate |	sarvaTA-vinazwam AkRtya-eva-upalakzyamANam Adya-api dRSyate |
   kathayanti tatratyā anyāś ca vṛddhāḥ |	kaTayanti tatratyAH anyAH ca vRdDAH |
   ayaṃ devālayo rajñā sandhimatinā svasya guror arthe sampādito 'stīti	ayam devAlayaH rajQA sanDi-matinA svasya guroH arTe sampAditaH asti-iti
   mandirasaṃgrahādāv api sandhimatir evāsya pradeśasya kartā jñāto bhavati |	mandira-saMgraha-AdO api sanDi-matiH eva-asya pradeSasya kartA jQAtaH Bavati |
   asmāt pradeśād ūrdhvaṃ parvato 'py anyo 'sti |	asmAt pradeSAt UrDvam parvataH api anyaH asti |
   ata evedaṃ sthānaṃ parvatasya pādadeśe bhāti |	atas eva-idam sTAnam parvatasya pAda-deSe BAti |
   asmin parvate kiyanmātradūratāyāṃ gopītīrthābhidhaṃ tīrtham api bhavati |	asmin parvate kiyat-mAtra-dUra-tAyAm gopItIrTa-aBiDam tIrTam api Bavati |
   grāmīṇā apabhraṃśāt tasya gupatrath iti nāma vadanti |	grAmINAH apaBraMSAt tasya gupatraT iti nAma vadanti |
   atreśānatīrthāt katicit padāni gatvādhastane bhāge guhāpy asti |	atra-ISAna-tIrTAt katicid padAni gatvA-aDastane BAge guhA-api asti |
   tasyā guhāyā nikaṭe sāhibapadavācyānāṃ vaiṣṇavabrāhmaṇānāṃ gṛham apy asti	tasyAH guhAyAH nikawe sa-ahiba-pada-vAcyAnAm vEzNava-brAhmaNAnAm gRham api asti
   te brāhmaṇāḥ kadāpi māṃsādi na bhakṣayanti |	te brAhmaNAH kadApi mAMsa-Adi na Bakzayanti |
   atrādhunikarājakṛtārambhamandiram ardhasampannam apy asti |	atra-aDunika-rAja-kRta-AramBa-mandiram arDa-sampannam api asti |
   etaj jalāśayadvayaṃ caturbhir eva digbhiḥ prākāraveṣṭitam adhunā vartate	etat jalASaya-dvayam caturBiH eva digBiH prAkAra-vezwitam aDunA vartate
   14. Loloraṃ Lolaraṃ vā	14. Loloram Lolaram vA
   ślokasaṃ 86 nambara 14 caturaśīti ślokād ārabhya varṇyamāne lavarājñaś	Slokasam 86 nambara 14 caturaSIti SlokAt AraBya varNyamAne lava-rAjQaS
   caritre loloraṃ lolaraṃ vā |	caritre loloram lolaram vA |
   tatra loloraniruktiḥ |	tatra lolora-niruktiH |
   lolāś cañcalamanasaḥ rānti dadati ye te rāḥ dātāra iti yāvat |	lolAH caQcala-manasaH rAnti dadati ye te rAH dAtAraH iti yAvat |
   na rāḥ arā adātāraḥ |	na rAH arAH adAtAraH |
   lolāś ca arāś ca janā yasmin sthāne nivasanto bhavanti sa loloraḥ |	lolAH ca arAH ca janAH yasmin sTAne nivasantaH Bavanti sa lola-uraH |
   atha vā laḥ śeṣe ca bhaye khyātaḥ śāstrataḥ pūrvasūribhir ity	aTa vA laH Seze ca Baye KyAtaH SAstrataH pUrva-sUriBiH iti-
   ekākṣarakośokter laḥ śeṣaṃ bhayaṃ ca tatrāsya maṇḍalasya śeṣatayā	eka-akzara-koSa-ukteH laH Sezam Bayam ca tatra-asya maNxalasya Seza-tayA
   prāntasthitirūpayā yad ayaṃ pradeśaḥ sthito yataś	prAnta-sTiti-rUpayA yat ayam pradeSaH sTitaH yatas-
   cātiprāntarakāntāragahvarādimārgair bhayayutaś ca |	ca-ati-prAntara-kAntAra-gahvara-Adi-mArgEH Baya-yutaH ca |
   kiṃ tu kevalaṃ sthānamanoharatvādinaiva raḥ sukhado yaḥ so 'pi loloraḥ |	kim tu kevalam sTAna-manohara-tva-AdinA-eva raH suKa-daH yaH saH api lola-uraH |
   atha dvitīyasya lolaranāmno niruktiḥ |	aTa dvitIyasya lolara-nAmnaH niruktiH |
