   Rāṣṭrapālaparipṛcchā	RAzwrapAla-paripRcCA
   puruṣa vadhaku tena me prayukto na ca pratighāta kṛtaśca me tadāsmin //	puruza vaDaku tena me prayuktaH na ca pratiGAta kRtaH-ca me tadA-asmin //
   āsi gajo himakundanikāśo bodhivarāśrita buddhaguṇārthī /	Asi gajaH hima-kunda-nikASaH boDivara-ASrita budDa-guNa-arTI /
   sa viṣeṇa śareṇa ca viddho daṃṣṭravarāṃstyajamāna na dviṣṭaḥ // 149 //	sa vizeNa SareNa ca vidDaH daMzwra-varAn=-tyajamAna na dvizwaH // 149 //
   (Vaidya, RP 136)	(VEdya, RS 136)
   vanagocari khaṇḍakadvīpe tittiripotaka maitravihārī /	vana-gocari KaNxaka-dvIpe tittiri-potaka mEtra-vihArI /
   sahadarśanena śamito 'gniṃ devagaṇā kusumāni kṣipanti // 150 //	saha-darSanena SamitaH agnim deva-gaNAH kusumAni kzipanti // 150 //
   gaṅgataraṅgajalairhiyamāṇaḥ tārita me yada āsi mṛgatve /	gaFga-taraFga-jalEH-hiyamANaH tArita me yadaH Asi mRga-tve /
   vadhakā mama tenapanītā naiva mano mama tatra praduṣṭam // 151 //	vaDakAH mama tenapanItAH na-eva manaH mama tatra praduzwam // 151 //
   tārita pañcaśataṃ vaṇijānāṃ sāgaramadhyagatāśca anāthāḥ /	tArita paQca-Satam vaNijAnAm sAgara-maDya-gatAH-ca anATAH /
   taiśca hataḥ kṣudhitaiśca tadāhaṃ kacchapayonigato 'pi ca maitraḥ // 152	tEH-ca hataH kzuDitEH-ca tadA-aham kacCapa-yoni-gataH api ca mEtraH // 152
   bodhicariṃ caramāṇahu pūrvaṃ matsya babhūva yadā jalacarī /	boDi-carim caramANa-hu pUrvam matsya baBUva yadA jalacarI /
   tyakta mayāśraya sattvahitāya bhakṣita prāṇisahasraśatebhiḥ // 153 //	tyakta mayA-ASraya sattva-hitAya Bakzita prANi-sahasra-SateBiH // 153 //
   vyādhiśatābhihataṃ jagadīkṣya samucchraya kṛtvā /	vyADi-Sata-aBihatam jagat-Ikzya samucCraya kRtvA /
   sattva kṛtāḥ sukhitā nirujāśca prāṇaku saumya tadā ca yadāsīt // 154 //	sattva kRtAH suKitAH nirujAH-ca prANaku sOmya tadA ca yadA-AsIt // 154 //
   siṃha babhūva yadā mṛgarājā sthāmabalānvita kāruṇikaśca /	siMha baBUva yadA mRgarAjA sTAma-bala-anvita kAruNikaH-ca /
   viddha śareṇa na dūṣita cittaṃ maitri tadā vadhake 'pi tadā me // 155 //	vidDa SareNa na dUzita cittam mEtri tadA vaDake api tadA me // 155 //
   śaṅkhatuṣāranibho hayarājā āsi purā ca samudrataṭe 'ham /	SaFKa-tuzAra-niBaH haya-rAjA Asi purA ca samudra-tawe aham /
   rākṣasimadhyagatā vaṇijo me tārita kṛtva kṛpāṃ karuṇāṃ ca // 156 //	rAkzasi-maDya-gatAH vaNijaH me tArita kRtva kRpAm karuNAm ca // 156 //
   bodhicariṃ caramāṇa janārthe āsi kuṇāla ahaṃ yada pakṣī /	boDi-carim caramANa jana-arTe Asi kuNAla aham yada pakzI /
   varjita kāmaguṇā bahudoṣā no ca vaśaṃ pramadāna gato 'ham // 157 //	varjita kAma-guNAH bahu-dozAH no ca vaSam pramadAna gataH aham // 157 //
   āsi śaśo vanagulmanivāsī śāsatī taṃ sukṛte śaśavargam /	Asi SaSaH vana-gulma-nivAsI SAsatI tam sukRte SaSa-vargam /
   munirāśramavāsi kṣudhārtastasya kṛtena mayāśrayu tyaktaḥ // 158 //	muniH-ASrama-vAsi kzuDA-ArtaH-tasya kRtena mayA-ASrayu tyaktaH // 158 //
   āsi śuko drumapuṣpaphalāḍhyo śuṣkadrumo na ca me sa hi tyaktaḥ /	Asi SukaH druma-puzpa-Pala-AXyaH Suzka-drumaH na ca me sa hi tyaktaH /
   dṛṣṭa kṛtajña tadā mama śakrastaṃ kṛtavāṃstaru patraphalāḍhyam // 159 //	dRzwa kRtajQa tadA mama SakraH-tam kRtavAn=-taru patra-Pala-AXyam // 159 //
   vānarasaṃghamupadruta dṝṣṭvā nāganṛpeṇa vivarjītadeśam /	vAnara-saMGam-upadruta dLzwvA nAga-nRpeNa vivarjIta-deSam /
   rājabhayāttu vimokṣita te me vānararāja ahaṃ yada āsīt // 160 //	rAja-BayAt-tu vimokzita te me vAnara-rAja aham yadaH AsIt // 160 //
   śuka bhūta purā guruhetoḥ śāli haraṃśca nareṇa gṛhītaḥ /	Suka BUta purA guru-hetoH SAli haran=-ca nareNa gRhItaH /
   kiṃ nu śukā harase mama śāli nāśayate 'pi ca pakṣi maśasyam ( matsasyam)	kim nu SukA harase mama SAli nASayate api ca pakzi maSasyam ( mad-sasyam)
   śuka so 'bravīdbhadra śṛṇuṣva caurya harāmi na te ahu śālim /	Suka saH abravIt-Badra SRNuzva cOrya harAmi na te ahu SAlim /
   jīrṇagurudvayapoṣaṇahetoḥ śāli harāmi kṛpārtha tu teṣām // 162 //	jIrNa-guru-dvaya-pozaNa-hetoH SAli harAmi kRpA-arTa tu tezAm // 162 //
   (Vaidya, RP 137)	(VEdya, RS 137)
   bīja prakīrṇa yadā prathamaṃ te bhāga dadāmi sarvajanasya /	bIja prakIrNa yadA praTamam te BAga dadAmi sarva-janasya /
   tacca giraṃ vadato mama śrutvā tenāpi caurya bhavenna kadācit // 163 //	tat-ca giram vadataH mama SrutvA tena-api cOrya Bavet-na kadAcid // 163 //
   sādhu śukā hara śāli yatheṣṭaṃ durlabha mānuṣa yasyimu bhaktiḥ /	sADu SukAH hara SAli yaTezwam durlaBa mAnuza yasyimu BaktiH /
   mānuṣa tvaṃ maya tīryagatehā sādhu damaḥ śama saṃyama tubhyam // 164 //	mAnuza tvam maya tIrya-gata-IhA sADu damaH Sama saMyama tuByam // 164 //
   ityevamāni caritāni pūrva caranta duṣkara kṛtāni /	iti-evamAni caritAni pUrva caranta duzkara kRtAni /
   na ca me manasi tatra bhavi kheda eṣata uttamāṃ viraja bodhim // 165 //	na ca me manasi tatra Bavi KedaH ezataH uttamAm viraja boDim // 165 //
   ādhyātmikaṃ hyatha ca bāhyaṃ nāsti hi vastu yanmayā na dattam /	ADyAtmikam hi-aTa ca bAhyam na-asti hi vastu yat-mayA na dattam /
   śīle ca kṣānti tatha vīrya dhyāna upāya prajña carito 'ham // 166 //	SIle ca kzAnti taTa vIrya DyAnaH upAya prajQa caritaH aham // 166 //
   māṃsaṃ tvacaṃ tathapi ca majja śoṇitameva datta svaśarīrāt /	mAMsam tvacam taTapi ca majja SoNitam-eva datta sva-SarIrAt /
   prānte guhāsu ca yadā me śoṣita āśrayo 'pi caratā me // 167 //	prAnte guhAsu ca yadA me SozitaH ASrayaH api caratA me // 167 //
   dhutayāna deśita jinebhiḥ yatra prayujyato jina bhavanti /	DutayAna deSita jineBiH yatra prayujyataH jina Bavanti /
   tatra dhute satataṃ ca prayukto āsi caranta pure ahu nityam // 168 //	tatra Dute satatam ca prayuktaH Asi caranta pure ahu nityam // 168 //
   etādṛśā vrata udārā ye ca niṣevitā caratā me /	etAdRSAH vrataH udArAH ye ca nizevitA caratA me /
   śrutvā ca teṣamimāścaryamekapade na bhaviṣyati chandaḥ // 169 //	SrutvA ca tezam-ima-AScaryam-eka-pade na Bavizyati CandaH // 169 //
   hāsyu bhaviṣyati ima śruṇitvā śāsanametadeva ca taḍānīm /	hAsyu Bavizyati ima SruNitvA SAsanam-etat-eva ca taxAnIm /
   āhāramaithunaparāste middhasadābhibhūta śatakāṅkṣāḥ // 170 //	AhAra-mETuna-parAH-te midDa-sadA-aBiBUta Sata-kAFkzAH // 170 //
   dharmadviṣaḥ sada anāryāḥ śāsanadūṣakā guṇavihīnāḥ /	Darma-dvizaH sadaH anAryAH SAsana-dUzakAH guNa-vihInAH /
   śrutvā ca dharmamima śāntaṃ naiṣa jinokta ityabhivadanti // 171 //	SrutvA ca Darmam-ima SAntam na-eza jina-uktaH iti-aBivadanti // 171 //
   ācāryo me śrutasamudro āsi bahuśrutaḥ kathikaśreṣṭhaḥ /	AcAryaH me Sruta-samudraH Asi bahu-SrutaH kaTika-SrezWaH /
   tenāpi caiṣa pratiṣiddho buddhavaco hi naiṣa tu kathaṃcit // 172 //	tena-api ca-eza pratizidDaH budDa-vacaH hi na-eza tu kaTaMcid // 172 //
   parato 'pyabhūdapi ca vṛddhaḥ tasya guruḥ sa śāmitaguṇaughaḥ /	paratas api-aBUt-api ca vRdDaH tasya guruH sa SAmita-guNa-oGaH /
   tenāpi naiṣa hi gṛhīto mātra prayujyatha vitathametat // 173 //	tena-api na-eza hi gRhItaH mA-atra prayujyaTa vitaTam-etat // 173 //
   yatrātma nāsti na ca jīvo deśita pudgalo 'pi na kathaṃcit /	yatra-Atma na-asti na ca jIvaH deSita pudgalaH api na kaTaMcid /
   vyarthaḥ śramo 'tra ghaṭate yaḥ śīlaprayoga saṃvarakriyā ca // 174 //	vyarTaH SramaH atra Gawate yaH SIla-prayoga saMvara-kriyA ca // 174 //
   yadyasti caiva mahāyānaṃ nātra hi ātma sattva manujo vā /	yadi-asti ca-eva mahAyAnam na-atra hi Atma sattva manujaH vA /
   vyarthaḥ śramo 'tra hi kṛto me yatra na cātmasattvaupalabdhiḥ // 175 //	vyarTaH SramaH atra hi kRtaH me yatra na ca-Atma-sattva-OpalabDiH // 175 //
   kavitāni haiva svamatāni pāpamataiḥ kutīrthikamataiśca /	kavitAni ha-eva sva-matAni pApa-matEH kutIrTika-matEH-ca /
   bhāṣeta no jina kadācit vācamimāṃ hi bhikṣuparibhāṣām // 176 //	BAzeta naH jina kadAcid vAcam-imAm hi Bikzu-pariBAzAm // 176 //
   hrīrapatrāpaśīlacaritāśca dhvāṅkṣa pragambha uddhatapracaṇḍāḥ /	hrIH-apatra-apaSIla-caritAH-ca DvAFkza pragamBaH udData-pracaNxAH /
   bhavitā hi bhikṣava mameha śāsani īrṣyamānamadadagdhāḥ // 177 //	BavitA hi Bikzava mama-iha SAsani IrzyamAna-mada-dagDAH // 177 //
   vidhyanta hasta tathā pādāṃścīvarakarṇakā nidhunantaḥ /	viDyanta hasta taTA pAdAn=-cIvara-karNakAH niDunantaH /
   kāṣāyakaṇṭha vicarantā grāmakuleṣu madyamadamattāḥ // 178 //	kAzAya-kaNWa vicarantA grAma-kulezu madya-mada-mattAH // 178 //
   (Vaidya, RP 138)	(VEdya, RS 138)
   buddhasya te dhvaja gṛhītvā sevakarā gṛhasthajanatāyām /	budDasya te Dvaja gRhItvA seva-karAH gRhasTa-janatAyAm /
   lekhaṃ vahanti satataṃ te śāsanadaṃ vihāya guṇarāśim / 179 //	leKam vahanti satatam te SAsana-dam vihAya guNa-rASim / 179 //
   gogardabhāśvapaśudānātsaṃbhavate hi dāsya pi teṣām /	go-gardaBa-aSva-paSu-dAnAt-saMBavate hi dAsya pi tezAm /
   kṛṣikarmavāṇijyaprayogā yuktamanāśca te 'niśamāryāḥ // 180 //	kRzi-karma-vANijya-prayogAH yukta-manAH-ca te aniSam-AryAH // 180 //
   naiṣāmanāryamapi vācyaṃ naiva ca kiṃcidasti yadakāryam /	na-ezAm-anAryam-api vAcyam na-eva ca kiMcid-asti yat-akAryam /
   staupika sāṃghikaṃ hyapi ca vittaṃ paugdalikaṃ ca yacca samameṣām // 181	stOpika sAMGikam hi-api ca vittam pOgdalikam ca yat-ca samam-ezAm // 181
   bhikṣuṇa vīkṣya ca guṇāḍhyaṃ teṣvapi cāpyavarṇa kathayanti /	BikzuNa vIkzya ca guNa-AXyam tezu-api ca-api-avarNa kaTayanti /
   duḥśīla vañcaka praviśya kuhāste strī ca vināśayanti hi sughorāḥ // 182 //	duHSIla vaQcaka praviSya kuhAH-te strI ca vinASayanti hi su-GorAH // 182 //
   gṛddho gṛhīṇa tathā kāmairyādṛśe pravrajitva te gṛddhāḥ /	gRdDaH gRhINa taTA kAmEH-yAdRSe pravrajitva te gRdDAH /
   bhāryāṃ sutā duhitaraśca teṣu bhaviṣya gṛhisamānam // 183 //	BAryAm sutAH duhitaraH-ca tezu Bavizya gRhi-samAnam // 183 //
   yatraiva satkṛta kule te cīvarapiṇḍapātaparibhogaiḥ /	yatra-eva satkRta kule te cIvara-piNxapAta-pariBogEH /
   tasyaiva dāraparigṛddhā kleśavaśānugāḥ sada anāryāḥ // 184 //	tasya-eva dAra-parigRdDA kleSa-vaSa-anugAH sadaH anAryAH // 184 //
   kāmā ime khalu na sevyāḥ pātana tiryakpretanirayeṣu /	kAmAH ime Kalu na sevyAH pAtana tiryak-preta-nirayezu /
   vakṣyanti te sada gṛhīṇāṃ te ca svayamadānta anupaśāntāḥ // 185 //	vakzyanti te sada gRhINAm te ca svayam-adAnta anupaSAntAH // 185 //
   svayameva te yatha adāntāḥ śiṣyagaṇo 'pi teṣa na sudāntaḥ /	svayam-eva te yaTaH adAntAH Sizya-gaNaH api teza na su-dAntaH /
   āhāramaithunakathāyāṃ rātridivāni teṣu gamiṣyanti // 186 //	AhAra-mETuna-kaTAyAm rAtri-divAni tezu gamizyanti // 186 //
   sevārthameva na guṇārthaṃ te khalu saṃgrahaṃ dadati teṣām /	sevA-arTam-eva na guNa-arTam te Kalu saMgraham dadati tezAm /
   śiṣyagaṇaiḥ svakaiḥ parivṛto 'haṃ pūja jane sadātra cala sidhya // 187 //	Sizya-gaNEH svakEH parivRtaH aham pUja jane sadA-atra cala siDyaH // 187 //
   kathayanti te 'pi ca janasya saṃgraha eṣa me karuṇayaiṣām /	kaTayanti te api ca janasya saMgrahaH eza me karuNayA-ezAm /
   upasthāma prārthayāmi tebhya śiṣyagaṇebhya eva na kadācit // 188 //	upasTAma prArTayAmi teByaH Sizya-gaNeByaH eva na kadAcid // 188 //
   rogābhibhūta bahu tatra kuṣṭhilāścitragātrasuvirūpāḥ /	roga-aBiBUta bahu tatra kuzWilAH-citra-gAtra-su-virUpAH /
   pravrajiṣyanti narakeṣu āgatā āgatā sada anāryāḥ // 189 //	pravrajizyanti narakezu AgatAH AgatA sadaH anAryAH // 189 //
   uddeśasaṃvaravihīnā bhikṣuguṇeṣu te sada viyuktāḥ /	uddeSa-saMvara-vihInAH Bikzu-guNezu te sada viyuktAH /
   gṛhiṇo na te 'pi vna ca bhikṣū varjita te yathā śmaśāna iva dāruḥ // 190	gRhiNaH na te api vna ca BikzU varjita te yaTA SmaSAnaH iva dAruH // 190
   śikṣāsu cādara na teṣāṃ syānna ca prātimokṣavinaye vā /	SikzAsu ca-Adara na tezAm syAt-na ca prAtimokza-vinaye vA /
   uddāmagāḥ svavaśagāste aṅkuśamuktakā iva gajendrāḥ // 191 //	uddAma-gAH sva-vaSagAH-te aFkuSa-muktakAH iva gaja-indrAH // 191 //
   vanavāsināmapi hi teṣāṃ grāmagataṃ bhaviṣyati hi cittam /	vana-vAsinAm-api hi tezAm grAma-gatam Bavizyati hi cittam /
   kleśāgninā prapatitānāṃ cittamavasthitaṃ hi na ca teṣām // 192 //	kleSa-agninA prapatitAnAm cittam-avasTitam hi na ca tezAm // 192 //
   vismṛtya buddhaguṇa sarvān śikṣadhutāṃśca te 'pi ca upāyāna /	vismRtya budDaguNa sarvAn Sikza-DutAn=-ca te api ca upAyAnaH /
   madamānadarpaparipūrṇāṃ te prapatanti dāruṇavīcīm // 193 //	mada-mAna-darpa-paripUrNAm te prapatanti dAruNa-vIcIm // 193 //
   (Vaidya, RP 139)	(VEdya, RS 139)
   rājakathāratāśca satataṃ te corakathābhikīrtanaratāśca /	rAja-kaTA-ratAH-ca satatam te cora-kaTA-aBikIrtana-ratAH-ca /
   jñātiniṣevane ca niratāste cintayamāna rātriṃdivasāni // 194 //	jQAti-nizevane ca niratAH-te cintayamAna rAtriMdivasAni // 194 //
   dhyānaṃ tathādhyayanaṃ tyaktvā nitya vihārakarmaṇi niyuktāḥ /	DyAnam taTA-aDyayanam tyaktvA nitya vihAra-karmaNi niyuktAH /
   āvāsagṛdhrakuṭīkāste ca adāntaśiṣyaparivārāḥ // 195 //	AvAsa-gRDra-kuwIkAH-te ca adAnta-Sizya-parivArAH // 195 //
   na ca karmiko hyahaṃ vihāre ātmana hetureṣa hi kṛto me /	na ca karmikaH hi-aham vihAre Atmana hetuH-eza hi kRtaH me /
   ye bhikṣavo mamānukūlāsteṣvavakāśamasti hi vihāre // 196 //	ye BikzavaH mama-anukUlAH-tezu-avakASam-asti hi vihAre // 196 //
   ye śīlavanta guṇavanto dharmadharā janārthamabhiyuktāṃ /	ye SIlavanta guNavantaH Darma-DarAH jana-arTam-aBiyuktAm /
   damasaṃyame satatayuktāḥ saṃgraha teṣu te na kurute ca // 197 //	dama-saMyame satata-yuktAH saMgraha tezu te na kurute ca // 197 //
   layanaṃ mamaitaduddiṣṭaṃ sārdhavihāriṇo 'pi ca mamedam /	layanam mama-etat-uddizwam sArDa-vihAriNaH api ca mama-idam /
   saṃmodikasya ca mamedaṃ gaccha na te 'sti vāsa iha kaścit // 198 //	saMmodikasya ca mama-idam gacCa na te asti vAsaH iha kaScid // 198 //
   śayyāsanaṃ nikhila dattaṃ bhikṣavaḥ sthāpitā iha prabhūtāḥ /	SayyA-Asanam niKila dattam BikzavaH sTApitAH iha praBUtAH /
   na ca lābhasaṃbhava ihāsti kiṃ paribhokṣyase 'tra vraja bhikṣo // 199 //	na ca lABa-saMBavaH iha-asti kim pariBokzyase atra vraja BikzaH // 199 //
   śayyāsanoddiśana teṣāṃ naiva bhaviṣyate 'pi ca kadācit /	SayyA-Asana-uddiSana tezAm na-eva Bavizyate api ca kadAcid /
   gṛhisaṃcayāśca bhavitāraste ca prabhūtabhāṇḍaparivārāḥ // 200 //	gRhi-saMcayAH-ca BavitAraH-te ca praBUta-BANxa-parivArAH // 200 //
   nirbhartsitā pi ca samantātte hi mamaurasāścarimakāle /	nirBartsitA pi ca samantAt-te hi mama-OrasAH-carima-kAle /
   vacanaṃ na caite mam hi smṛtvā prāntavane tadābhinivasanti // 201 //	vacanam na ca-ete mam hi smRtvA prAnta-vane tadA-aBinivasanti // 201 //
   hā śāsanaṃ jinavarasya nāśamupekṣya hi nacireṇa /	hA SAsanam jinavarasya nASam-upekzya hi nacireNa /
   lābhābhibhūta guṇadviṣṭā bhikṣavaḥ prādurbhūta bahu yatra // 202 //	lABa-aBiBUta guNa-dvizwA BikzavaH prAdurBUta bahu yatra // 202 //
   paribhūtakāśca satataṃ te paścimakāli śīlaguṇayuktāḥ /	pariBUtakAH-ca satatam te paScima-kAli SIla-guNa-yuktAH /
   te cāpyaraṇyavanavāsī grāma vihāya rāṣṭranagarāṇi // 203 //	te ca-api-araNyavana-vAsI grAma vihAya rAzwra-nagarANi // 203 //
   sada satkṛtā guṇavihīnā bhedaka sūcakāḥ kalahakāmāḥ /	sada satkRtAH guNa-vihInAH Bedaka sUcakAH kalaha-kAmAH /
   te śāstṛsaṃmata janasya te ca bhaviṣyanti mānamadadagdhāḥ // 204 //	te SAstR-saMmata janasya te ca Bavizyanti mAna-mada-dagDAH // 204 //
   ima śāsanaṃ guṇanidhānaṃ sarvaguṇākāraṃ paramaramyam /	ima SAsanam guNa-niDAnam sarva-guNa-AkAram parama-ramyam /
   nāśaṃ prayāsyati mameha śīlavipattirirṣyamadadoṣaiḥ // 205 //	nASam prayAsyati mama-iha SIla-vipad-tiH-irzya-mada-dozEH // 205 //
   ratnākaro yatha viluptaḥ sthāsyati padminīva pariśuṣkā /	ratna-AkaraH yaTa viluptaH sTAsyati padminI-iva pariSuzkA /
   yūpa vararatnamayaṃ bhagnaṃ naśyati śāsanaṃ carimakāle // 206 //	yUpa vara-ratna-mayam Bagnam naSyati SAsanam carima-kAle // 206 //
   pretādṛśaścarimakāle dharmavilopa vartato sughoraḥ /	preta-adRSaH-carima-kAle Darma-vilopa vartataH su-GoraH /
   te cāpi bhikṣava adāntā nāśayitāraḥ śāsanaṃ mamedam // 207 //	te ca-api Bikzava adAntAH nASayitAraH SAsanam mama-idam // 207 //
   ma caryasevaniratānāṃ dūrata saṃgatiḥ kvacana teṣām /	me carya-seva-niratAnAm dUrata saMgatiH kvacana tezAm /
   pretagatirnrake 'pi ca vāsaḥ tiryagatiśca ito hi cyutānām // 208 //	preta-gatiH-nrake api ca vAsaH tirya-gatiH-ca itas hi cyutAnAm // 208 //
   (Vaidya, RP 140)	(VEdya, RS 140)
   anubhūya tīvrakaṭukāni duḥkhamananta varṣaśatamanekaiḥ /	anuBUya tIvra-kawukAni duHKam-ananta varza-Satam-anekEH /
   labdhvā sa mānuṣabhavaṃ vā jāyati duḥkhitaḥ satata śocyaḥ // 209 //	labDvA sa mAnuza-Bavam vA jAyati duHKitaH satata SocyaH // 209 //
   andho 'tha vā badhira kāṇo jāyati citragātra suvirūpā /	anDaH aTa vA baDira kANaH jAyati citragA-atra su-virUpAH /
   bībhatsarūpabhayadarśī pāpacarīmimāṃ satata sevī // 210 //	bIBatsa-rUpa-Baya-darSI pApa-carIm-imAm satata sevI // 210 //
   viśrambhate 'sya na ca kaścit śraddadhate 'sya cāpi na ca vākyam /	viSramBate asya na ca kaScid SraddaDate asya ca-api na ca vAkyam /
   nirbharstito bhavati nityaṃ yo 'bhiniṣevate viṣamacaryām // 211 //	nirBarstitaH Bavati nityam yaH aBinizevate vizama-caryAm // 211 //
   te rogaduḥkhaśatataptāstāḍita loṣṭakāṣṭhapraharebhiḥ /	te roga-duHKa-Sata-taptAH-tAxita lozwa-kAzWa-prahareBiH /
   kṣuttṛṣṇa yena paritaptāste ca bhavanti sadā suparibhūtāḥ // 212 //	kzuD-tRzNa yena paritaptAH-te ca Bavanti sadA su-pariBUtAH // 212 //
   duḥkhā ananta iti jñātvā dūra pāpacaryaṃ vijahitvā /	duHKAH anantaH iti jQAtvA dUra pApa-caryam vijahitvA /
   sevetha sādhucari nityaṃ mā bhavitānutāpa iha paścāt // 213 //	seveTa sADu-cari nityam mA BavitA-anutApaH iha paScAt // 213 //
   yasya priyo bhavati buddho āryagaṇaśca śikṣa dhutadharmāḥ /	yasya priyaH Bavati budDaH Arya-gaNaH-ca Sikza Duta-DarmAH /
   abhiyujyathā satatamevaṃ tyaktva ca jñātralābhayaśakīrti // 214 //	aBiyujyaTA satatam-evam tyaktva ca jQAtra-lABa-yaSa-kIrti // 214 //
   māyopamaṃ hi (bhi ?) durametatsvapnasamaṃ ca saṃskṛtamavīkṣyam /	mAyA-upamam hi (Bi ?) durametat-svapna-samam ca saMskRtam-avIkzyam /
   nacirādbhaviṣyati viyogaḥ sarvapriyairna nityamiha kaścit // 215 //	nacirAt-Bavizyati viyogaH sarva-priyEH-na nityam-iha kaScid // 215 //
   udyujyatāṃ ghaṭata nityaṃ pāramitāsu bhūmiṣu baleṣu /	udyujyatAm Gawata nityam pAramitAsu BUmizu balezu /
   mā jātu saṃśayata vīryaṃ yāvanna budhyathā pravarabodhim // 216 //	mA jAtu saMSayata vIryam yAvat-na buDyaTA pravara-boDim // 216 //
   nidānaparivartaḥ prathamaḥ //	nidAna-parivartaH praTamaH //
   dvitīyaḥ parivartaḥ /	dvitIyaH parivartaH /
   yadbhūyasā rāṣṭrapāla bodhisattvayānīyānāṃ pudgalānāmime doṣā bhaviṣyanti	yat-BUyasA rAzwrapAla boDisattvayAnIyAnAm pudgalAnAm-ime dozAH Bavizyanti
   - anabhiyuktā anabhiyuktān pūjayiṣyanti, śaṭhāḥ śaṭhān pūjayiṣyanti, ajñā	 anaBiyuktAH anaBiyuktAn pUjayizyanti, SaWAH SaWAn pUjayizyanti, ajQA
   ajñān satkartavyān manyante, āmiṣapriyāśca bhaviṣyanti / adhyavasāne	ajQAn satkartavyAn manyante, Amiza-priyAH-ca Bavizyanti / aDyavasAne
   bahulāḥ kulamatsarāḥ śaṭhā dhvāṅkṣā mukharāḥ kuhakāḥ kṣātragurukāḥ /	bahulAH kula-matsarAH SaWAH DvAFkzAH muKarAH kuhakAH kzAtra-gurukAH /
   anyonyavarṇabhāṣaṇatayā lābhaṃ niṣpādayiṣyanti / lābhaparyeṣṭyarthaṃ ca te	anyonya-varNa-BAzaNa-tayA lABam nizpAdayizyanti / lABa-paryezwi-arTam ca te
   grāmaṃ pravekṣyanti, na sattvaparipākārthaṃ na sattvānukampārtham / te	grAmam pravekzyanti, na sattva-paripAka-arTam na sattva-anukampA-arTam / te
   ajñānino jñānanimittamātmānaṃ pratijñāsyanti - kathaṃ māṃ pare vijānīyuḥ ?	ajQAninaH jQAna-nimittam-AtmAnam pratijQAsyanti  kaTam mAm pare vijAnIyuH ?
   bahuśrutaḥ kalyāṇadharma iti / agauravāśca bhaviṣyanti yathātrānabhiyuktāḥ	bahu-SrutaH kalyANa-DarmaH iti / agOravAH-ca Bavizyanti yaTA-atra-anaBiyuktAH
   / bhinnabhājanībhūtā bhaviṣyanti anyonyaskhalitagaveṣiṇaḥ / naṣṭaprayogā	/ Binna-BAjanI-BUtAH Bavizyanti anyonya-sKalita-gaveziNaH / nazwa-prayogA
   ajñāḥ kusīdājñānā navakalpanabahulāḥ / anyonyabhinnadharmasaṃgāyanatayā	ajQAH kusIda-ajQAnAH nava-kalpana-bahulAH / anyonya-Binna-Darma-saMgAyana-tayA
   svacchandā dṛḍhavairā ākīrṇavyāpādā ayuktaparibhāṣāñjanasaṃjñaptyā iha	svacCandA dRXa-vErAH AkIrNa-vyApAdAH ayukta-pariBAzA-aQjana-saMjQaptyE iha
   śāsane cariṣyanti āparipṛcchanaśīlāḥ / dharmaśravaṇenānarthikāḥ /	SAsane carizyanti AparipRcCana-SIlAH / Darma-SravaNena-AnarTikAH /
