   sphuṭārthā	sPuwa arTA
   iti vacanāt. eṣa hi dṛṣṭāṃtadharma iti. etad dṛṣtāṃtacaritaṃ yad ekam api	iti vacanAt. eza hi dRzwAMta DarmaH iti. etat dRzta aMta caritam yat ekam api
   tatprakāraṃ nirdiśate na sarvaṃ śeṣasaṃpratyayaś ca bhavati. tadyathā	tad prakAram nirdiSate na sarvam Seza saMpratyayaH ca Bavati. tat yaTA
   anityaḥ śabdaḥ. kṛtakatvāt yathā ghaṭa iti paṭādīny api gṛhyaṃte.	anityaH SabdaH. kRtaka tvAt yaTA GawaH iti pawa AdIni api gRhyaMte.
   tadyathāśabdasya dṛṣṭāṃtavācakatvāt. anupasaṃhāra eṣa iti. adṛṣṭāṃta ity	tat yaTA Sabdasya dRzwa aMta vAcaka tvAt. anupasaMhAraH ezaH iti. adRzwAMtaH iti 
   arthaḥ. manuṣyās tadekatyāś ca devā iti. tadeke devāḥ ṣaṭ kāmāvacarā devāḥ	arTaH. manuzyAH tad ekatyAH ca devAH iti. tat eke devAH zaw kAmAvacarAH devAH
   prathamābhinirvṛttavarjyāś ca prathamadhyānopapannā devā ity etāvaṃta eva	praTama aBinirvRtta varjyAH ca praTama DyAna upapannAH devAH iti etA= aMtaH eva
   nānātvakāyā nānātvasaṃjñinaḥ sattvā naitadvyatiriktāḥ saṃtīti nāyaṃ	nAnA tva kAyAH nAnAtva saMjQinaH sattvAH na etat vyatiriktAH saMti iti na ayam
   tadyathāśabdo dṛṣṭāṃtavācakaḥ. tasmād upadarśanārtha evāyaṃ draṣṭavyaḥ.	tat yaTA SabdaH dRzwAMtavAcakaH. tasmAt upadarSana arTaH eva ayam drazwavyaH.
   upadarśanārthatve ca sati tad eva sthitam etat. paryaṃtagrahaṇāt	upadarSana arTa tve ca sati tat eva sTitam etat. paryaMta grahaNAt 
   tadādisaṃpratyaya iti.	tad Adi saMpratyayaH iti.
   (II.46cd) viparyayād asaṃskṛta iti. yatraitāni na bhavaṃti. so 'saṃskṛta	(II.46cd) viparyayAt asaMskRtaH iti. yatra etAni na BavaMti. saH asaMskRta
   iti. nanu ca sthitir asaṃskṛtalakṣaṇam asti. nāsaṃskṛtasya sthitir	iti. nanu ca sTitiH asaMskRta lakzaNam asti. na asaMskRtasya sTitiH 
   dravyāṃtararūpāsti. dravyāṃtararūpāṇi ceha saṃskṛtalakṣaṇānīṣyaṃta ity	dravya aMtara rUpa Asti. dravya aMtara rUpANi ca iha saMskRta lakzaNa AnIzyaMte iti 
   acodyam etat. nanu ca trīṇīmānīti vistaraḥ. kathaṃ. sūtre trīṇīmāni	acodyam etat. nanu ca trINi imAni iti vistaraH. kaTaM. sUtre trINi imAni
   bhikṣavaḥ saṃskṛtasya saṃskṛtalakṣaṇāni. katamāni trīṇi. saṃskṛtasya	BikzavaH saMskRtasya saMskRta lakzaNAni. katamAni trINi. saMskRtasya
   bhikṣava utpādo 'pi prajñāyate. vyayo 'pi prajñāyate. sthityanyathātvam	BikzavaH utpAdaH api prajQAyate. vyayaH api prajQAyate. sTiti anyaTAtvam
   apīti. caturtham apy atra vaktavyaṃ syād iti vaibhāṣikāḥ. kiṃ cātra noktam	api iti. caturTam api atra vaktavyam syAt iti vEBAzikAH. kim ca atra na uktam
   iti codakaḥ. sthitir iti vaibhāṣikāḥ. yat tarhīdaṃ sthityanyathātvam apīti	iti ca udakaH. sTitiH iti vEBAzikAH. yat tarhi idam sTiti anyaTAtvam api iti
   [Tib. 159a] sthitiśabdo 'tra śrūyate. katham idam ucyate sthitir nokteti	[Ti b. 159a] sTiti SabdaH atra SrUyate. kaTam idam ucyate sTitiH na ukta iti
   codakābhiprāyaḥ. jarāyā eṣa paryāya iti. jareyam uktā sthiter anyathātvaṃ	ca udaka aBiprAyaH. jarAyAH eza paryAyaH iti. jarA iyam uktA sTiteH anyaTAtvam
   sthityanyathātvam iti. tadyathā jāter utpāda iti paryāyaḥ. anityatāyāś ca	sTiti anyaTAtvam iti. tat yaTA jAteH utpAdaH iti paryAyaH. anitya tAyAH ca
   vyayaḥ. tathā jarāyāḥ (Abhidh k vy 172) sthityanyathātvaṃ paryāya iti.	vyayaH. taTA jarAyAH (a aBiD k vI 172) sTiti anyaTAtvam paryAyaH iti.
   kasmāt punar lakṣaṇacatuṣṭe sati bhagavatā trīṇy evoktānīti. ata āha. ye	kasmAt punar lakzaNa catuzwe sati BagavatA trINi eva ukta Ani iti. atas Aha. ye
   hi dharmā iti vistaraḥ. udvejanārthaṃ vineyānāṃ jātijarānityatā iti	hi DarmAH iti vistaraH. udvejana arTam vineyAnAm jAti jarA anitya tA iti
   dharmāṇāṃ lakṣaṇāny uktāni. ābhiprāyiko hi sūtranirdeśo na lākṣaṇiko	DarmANAm lakzaNAni uktA ni. ABiprAyikaH hi sUtra nirdeSaH na lAkzaNikaH 
   yathābhidharmaḥ. jarānityate punaḥ pratyutpannād atītam iti. saṃcārayati	yaTA aBiDarmaH. jarA anityate punar pratyutpannAt atItam iti. saMcArayati
   ity adhikāro 'nuvartate. jarānityate pratyutpannād adhvano 'tītam adhvānaṃ	iti aDikAraH anuvartate. jarA anityate pratyutpannAt aDvanaH atItam aDvAnam
   saṃcārayataḥ. kasmāt. durbalīkṛtya vighātāt. jarā durbalīkaroti. anityatā	saMcArayataH. kasmAt. durbalIkRtya viGAta at. jarA durbalIkaroti. anitya tA
   nihaṃtīti kṛtvā. nanu cānityataiva dharmaṃ pratyutpannād adhvano 'tītam	nihaMti iti kRtvA. nanu ca anitya tA eva Darmam pratyutpannAt aDvanaH atItam
   adhvānaṃ saṃcārayati. na jarā. jarā hi kevalaṃ dharmaṃ durbalīkaroti.	aDvAnam saMcArayati. na jarA. jarA hi kevalam Darmam durbalIkaroti.
   kasmād evam ucyate. jarānityate pratyutpannād atītaṃ saṃcārayata iti. āha.	kasmAt evam ucyate. jarA anityate pratyutpannAt atItam saMcArayate iti. Aha.
   durbalīkaraṇaṃ api tadadhvasaṃcārāyaiva vartate. na hy	durbalIkaraNam api tad aDva saMcArAya eva vartate. na hi 
   adurbalīkṛtasyādhvasaṃcāro 'stīti jarāpi tatsaṃcāre vyavasthāpyate.	adurbalIkRtasya aDva saMcAraH asti iti jarA api tad saMcAre vyavasTApyate.
   asaṃskṛtasyāpi ca svalakṣaṇasthitibhāvād iti. svalakṣaṇe sthitiḥ. sthityā	asaMskRtasya api ca sva lakzaNa sTiti BAvAt iti. sva lakzaNe sTitiH. sTityA
   bhāvaḥ. tasmāt sthitibhāvāt. asau sthitiḥ saṃskṛtalakṣaṇaṃ na	BAvaH. tasmAt sTiti BAvAt. asO sTitiH saMskRta lakzaNam na
   vyavasthāpitā. sthitir hy asaṃskṛtāvasthāviśeṣalakṣaṇayā sthityā [Tib.	vyavasTApitA. sTitiH hi asaMskRta avasTA viSeza lakzaNayA sTityA [Tib.
   159b] sadṛśīti tasyāsaṃskṛtasya saṃskṛtatvaprasaṃgaparijihīrṣayā na	159b] sadRSI iti tasya asaMskRtasya saMskRta tva prasaMga parijihIrzayA na
   lakṣaṇam uktam ity abhiprāyo bhagavato dharmasvāminaḥ.	lakzaNam uktam iti aBiprAyaH BagavataH Darma svAminaH.
   anye punaḥ kalpayaṃtīti. sūtre 'pi sthitir ukteti kathayaṃti. sthitiṃ	anye punar kalpayaMti iti. sUtre api sTitiH uktA iti kaTayaMti. sTitim
   jarāṃ cābhisamasya sthitiś ca sthityanyathātvaṃ ca sthityanyathātvam iti	jarAm ca aBisamasya sTitiH ca sTiti anyaTAtvam ca sTiti anyaTAtvam iti
   abhisamasya ekaṃ lakṣaṇam uktaṃ sūtre. na vibhāgaśaḥ. kasmāt. trīṇīmāni	aBisamasya ekam lakzaNam uktam sUtre. na viBAgaSaH. kasmAt. trINi imAni
   saṃskṛtalakṣaṇānīti vacanavirodhaprasaṃgāt. kim atra prayojanam ity ata	saMskRta lakzaNAni iti vacana viroDa prasaMga at. kim atra prayojanam iti ata
   āha. eṣā hy eṣu saṃgāspadam iti vistaraḥ. eṣā hi sthitir eṣu jātyādiṣu	Aha. ezA hi ezu saMgAspadam iti vistaraH. ezA hi sTitiH ezu jAti Adizu
   saṃgāspadaṃ saṃgasthānaṃ dharmo 'nayā tiṣṭhatīty abhiprāyaḥ śriyam ivaināṃ	saMgAspadam saMga sTAnam DarmaH anayA tizWati iti aBiprAyaH Sriyam iva enAm
   sthitiṃ kālakarṇīsahitāṃ alakṣṃīsahitāṃ darśayāmāsa bhagavān tasyāṃ	sTitim kAlakarNI sahitAm alakzMI sahitAm darSayAmAsa BagavAn tasyAm
   sthityām asaṃgārthaṃ. nāsyām āsaṃgaḥ kartavyo yasmād iyam	sTityAm asaMga arTaM. na asyAm AsaMgaH kartavyaH yasmAt iyam
   anitatayānubaddhā lakṣmīr ivālakṣmyeti tad ekīyaṃ vyākhyānaṃ. apare tu	anitatayA anubadDA lakzmIH iva alakzmyA iti tat ekIyam vyAKyAnan. apare tu
   vyācakṣate. nāsyām āsaṃktavyaṃ yasmād iyaṃ jarayānubaddhā lakṣmīr	vyAcakzate. na asyAm AsaMktavyam yasmAt iyam jarayA anubadDA lakzmIH 
   ivālakṣmyeti. jarayā hy anyathātvalakṣaṇayā asyā ekīkaraṇaṃ nānityatayeti.	iva alakzmya iti. jarayA hi anyaTAtva lakzaNayA asyAH ekIkaraNam na anityatayA iti.
   ataś catvāry eva saṃskṛtalakṣaṇānīti. ubhayor api pakṣayor ayam	atas catvAri eva saMskRta lakzaNa Ani iti. uBayoH api pakzayoH ayam
   upasaṃhāraḥ.	upasaMhAraH.
   (II.47ab) anyair jātyādibhir bhavitavyam iti. jātisāmarthyāt kaścit	(II.47ab) anyEH jAti AdiBiH Bavitavyam iti. jAti sAmarTyAt kaScid 
   saṃskṛto dharmo jāyate. jātir api saṃskṛtā. tasmāt tasyā api anyayā jātyā	saMskRtaH DarmaH jAyate. jAtiH api saMskRtA. tasmAt tasyAH api anyayA jAtyA
   bhavitavyaṃ svātmani vṛttivirodhāt.	Bavitavyam sva Atmani vRtti viroDAt.
   sarvaṃ saṃskṛtalakṣaṇair	sarvam saMskRta lakzaNEH 
   iti ca siddhaṃtāt. evaṃ jarādayo [Tib. 160a] 'pi yojyāḥ.	iti ca sidDaMtAt. evam jarA AdayaH [Tib. 160a] api yojyAH.
   jātijātyādayas teṣām	jAti jAti AdayaH tezAm
   (Abhidh k vy 173)	(a aBiD k vi 173)
   iti. jātijātyādayaś ca teṣām iti caśabdo luptanirdiṣṭo draṣṭavyaḥ. nanu	iti. jAti jAti AdayaH ca tezAm iti caSabdaH lupta nirdizwaH drazwavyaH. nanu
   caikaikasyeti vistaraḥ. ekaikasya lakṣaṇasya caturlakṣaṇī caturṇāṃ	ca ekEkasya iti vistaraH. ekEkasya lakzaNasya catur lakzaNI caturNAm
   lakṣaṇānāṃ samāhāraḥ caturlakṣaṇī prāpnoti. aparyavasānadoṣaś ca	lakzaNAnAm samAhAraH catur lakzaNI prApnoti. aparyavasAna dozaH ca
   aniṣṭhādoṣaś ca. teṣām anulakṣaṇānāṃ punar anyajātyādiprasaṃgāt. jāter	anizWA dozaH ca. tezAm anulakzaNAnAm punar anya jAti Adi prasaMgAt. jAteH 
   jāter jātijāter yāvad antiyatāyā anityatāyā anityatānityatāyāś ca	jAteH jAti jAteH yAvat antiyatAyAH anitya tAyAH anitya tA anityatAyAH ca
   prasaṃgāt.	prasaMgAt .
   te 'ṣṭadharmaikavṛttayaḥ.	te azwa Darma eka vRttayaH.
   te iti puṃliṃganirdeśo dharmābhisaṃbaṃdhāt. te jātyādijātijātyādisvabhāvā	te iti puMliMga nirdeSaH Darma aBisaMbaMDAt. te jAti Adi jAti jAti Adi svaBAvA
   dharmā yathākramam aṣṭadharmaikavṛttayaḥ. jātyādīnām aṣṭāsu dharmeṣu	DarmAH yaTAkramam azwa Darma eka vRttayaH. jAti AdInAm azwAsu Darmezu
   vṛttiḥ. jātijātyādīnāṃ caikadharme. ātmanavamā hīti lakṣaṇānulakṣaṇāpekṣa	vRttiH. jAti jAti AdInAm ca eka Darme. Atmana vamA hi iti lakzaNa anulakzaNa apekza
   evam uktaṃ. na hi yathāsaṃbhavaṃ tatra prāptyādayo bhūtāni bhautikāni vā	evam uktaM. na hi yaTAsaMBavam tatra prApti AdayaH BUtAni BOtikAni vA
   notpadyaṃte.	na utpadyaMte.
   kāme 'ṣṭadravyako 'śabdaḥ.	kAme azwa dravyakaH aSabdaH.
   sarvaṃ saṃskṛtalakṣaṇaiḥ prāptyā veti	sarvam saMskRta lakzaNEH prAptyA vA iti
   caivamādivacanāt. jātir ātmānaṃ virahayyeti vistaraḥ. svātmani	ca evamAdi vacana at. jAtiH AtmAnam virahayya iti vistaraH. sva Atmani
   vṛttivirodha ity ataḥ ātmānam virahayya muktvāṣṭau dharmān janayati.	vRtti viroDaH iti atas AtmAnam virahayya muktvA azwO DarmAn janayati.
   katamān aṣṭau. taṃ dharmaṃ rūpaṃ cittaṃ vā sthitiṃ jarām anityatāṃ	katamAn azwO. tam Darmam rUpam cittam vA sTitim jarAm anitya tAm
   jātijātiṃ sthitisthitiṃ jarājarām anityatānityatāṃ ca janayati. jātijātis	jAti jAtim sTiti sTitim jarA jarAm anitya tA anitya tAm ca janayati. jAti jAti s
   tu tām eva jātiṃ janayati. evaṃ jarānityate api yathāyogaṃ yojye iti.	tu tAm eva jAtim janayati. evam jarA anityate api yaTAyogam yojye iti.
   [Tib. 160b] jarā ātmānaṃ virahayya aṣṭau dharmān jarayati. jarājarā punas	[Tib. 160b] jarA AtmAnam virahayya azwO DarmAn jarayati. jarA jarA punar 
   tām eva jarāṃ. anityatā ātmānaṃ virahayya aṣṭau dharmān vināśayati.	tAm eva jarAn. anitya tA AtmAnam virahayya azwO DarmAn vinASayati.
   anityatānityatā punas tām evānityatām iti.	anitya tA anitya tA punar tAm eva anitya tAm iti.
   tad etad ākāśaṃ pāṭyata iti. vibhidyata ity abhiprāyaḥ.	tat etat AkASam pAwyate iti. viBidyate iti aBiprAyaH.
   sapratighadravyābhāvamātram ākāśaṃ. nākāśaṃ nāma kiṃcid asti. tad	sa pratiGa dravya aBAva mAtram AkASaM. na AkASam nAma kiMcid asti. tat 
   vibhaktuṃ yathā na śakyate na yujyate vā. evam ime jātyādayaḥ asaṃto	viBaktum yaTA na Sakyate na yujyate vA. evam ime jAti AdayaH asaMto
   dharmā vibhaktuṃ na śakyaṃte na yujyaṃte vā. tata āha. na hy eta iti	DarmAH viBaktum na SakyaMte na yujyaMte vA. tatas Aha. na hi ete iti
   vistaraḥ. na hy ete dravyataḥ svalakṣaṇataḥ saṃvidyaṃte yathā vibhajyaṃte.	vistaraH. na hi ete dravyataH sva lakzaNataH saMvidyaMte yaTA viBajyaMte.
   jātir ātmānaṃ virahayyāṣṭau dharmān janayatīty evaṃ vistareṇa vibhajyaṃte	jAtiH AtmAnam virahayya azwO DarmAn janayati iti evam vistareNa viBajyaMte
   yathā rūpādīnāṃ dharmāṇām iti. atrādiśabdena śabdādivedanādicakṣurādīnāṃ	yaTA rUpa AdInAm DarmANAm iti. atra Adi Sabdena Sabda Adi vedanA Adi cakzuH AdInAm
   grahaṇaṃ. tatra rūpaśabdādi tāvat pratyakṣeṇa cakṣurvijñānādilakṣaṇena	grahaNaM. tatra rUpa Sabda Adi tAvat pratyakzeNa cakzuH vijQAna Adi lakzaNena
   pramāṇenopalabhyate. vedanādy api pratyakṣeṇaivopalabhyate	pramANena upalaByate. vedanA Adi api pratyakzeNa eva upalaByate
   svasaṃvedyatvāt. cakṣurādi tu cakṣurvijñānādinānumānenānumīyate.	sva saMvedya tvAt. cakzuH Adi tu cakzuH vijQAna AdinA anumAnena anumIyate.
   cakṣurvijñānādisaṃniśrayo rūpaprasādaś cakṣurādīni tadbhāvabhāvayos	cakzuH vijQAna Adi saMniSrayaH rUpa prasAdaH cakzuH AdIni tad BAva BAvayoH 
   tdbhāvābhāvāt. āgamo 'pi cakṣuṣā rūpāṇi dṛṣṭveti vistaraḥ. evaṃ śrotreṇa	tdBAva aBAva at. AgamaH api cakzuzA rUpANi dRzwvA iti vistaraH. evam SrotreNa
   śabdāṃ cchrutveti vistareṇa evaṃ gandhādiṣv api yojyaṃ. [Tib. 161a] tathā	SabdAm cSrutvA iti vistareNa evam ganDa Adizu api yojyan. [Tib. 161a] taTA
   yatkiṃcid rūpam atītanāgatapratyutpannam (Abhidh k vy 174) iti vistaraḥ.	yat kiMcid rUpam atItana Agata pratyutpannam (a aBiD k vI 174) iti vistaraH.
   evaṃ vedanādiṣv api yojyaṃ. pārasāṃtānikānāṃ tv arūpiṇāṃ vedanādīnām	evam vedanA Adizu api yojyan. pArasAMtAnikAnAm tu arUpiNAm vedanA AdInAm
   astitvānumānam ātmīyavac charīravikāraṃ dṛṣṭvā tatsaṃpratipatteḥ. āgamo	astitva anumAnam AtmIya vat SarIra vikAram dRzwvA tad saMpratipatteH. AgamaH 
   'pi cakṣuḥ pratītya rūpāṇi cotpadyate cakṣurvijñānaṃ sahajātā vedānā	api cakzuH pratItya rUpANi ca utpadyate cakzuH vijQAnam saha jAtA vedAnA
   saṃjñā cetaneti vistaraḥ. jātyādayas tu na cakṣurindriyādipratyakṣā	saMjQA cetanA iti vistaraH. jAti AdayaH tu na cakzuH indriya Adi pratyakzA
   bhavaṃti. na caiṣām astitve samartham anumānam asti. na cāpy āgamo	BavaMti. na ca ezAm astitve samarTam anumAnam asti. na ca api AgamaH 
   dravyato 'stitve. yat tarhi sūtra uktam iti vistaraḥ. nanu cāyam āgamo	dravyataH astitve. yat tarhi sUtraH uktam iti vistaraH. nanu ca ayam AgamaH 
   'sti saṃskṛtasyotpādo 'pi prajñāyate iti vistaraḥ. arthaś ca pratisaraṇam	asti saMskRtasya utpAdaH api prajQAyate iti vistaraH. arTaH ca pratisaraNam
   uktaṃ bhagavateti. catvārīmāni bhikṣavaḥ pratisaraṇāni. katamāni catvāri.	uktam BagavatA iti. catvAri imAni BikzavaH pratisaraNAni. katamAni catvAri.
   dharmaḥ pratisaraṇaṃ na pudgalaḥ. arthaḥ pratisaraṇaṃ na vyaṃjanaṃ.	DarmaH pratisaraNam na pudgalaH. arTaH pratisaraNam na vyaMjanaM.
   nītārthasūtraṃ pratisaraṇaṃ. na neyārthaṃ. jñānaṃ pratisaraṇaṃ na vijñānam	nIta arTa sUtram pratisaraNan. na neyArTaM. jQAnam pratisaraNam na vijQAnam
   iti. tathārthapratisaraṇo bhavati. na vyaṃjanapratisaraṇa iti. kaḥ punaḥ	iti. taTA arTa pratisaraNaH Bavati. na vyaMjana pratisaraNaH iti. kaH punar 
   asyārtha iti. asyopanyastasya saṃskṛtalakṣaṇasūtrasya. tam artham āha.	asya arTaH iti. asya upanyastasya saMskRta lakzaNa sUtrasya. tam arTam Aha.
   avidyāṃdhā hi bālā iti vistaraḥ. saṃskāraprabandham ātmata ātmīyataś	avidyA aMDAH hi bAlAH iti vistaraH. saMskAra prabanDam AtmataH AtmIyatas 
   cādhimuktāḥ kṛtarucayo 'bhiṣvajaṃte ity arthaḥ. saṃskṛtatvaṃ	ca aDimuktAH kRta rucayaH aBizvajaMte iti arTaH. saMskRta tvam
   pratītyasamutpannatvam iti paryāyāv etau. sametya saṃbhūya pratyayaiḥ	pratItyasamutpanna tvam iti paryAyO etO. sametya saMBUya pratyayEH
   kṛtaṃ saṃskṛtaṃ. taṃ [Tib. 161b] taṃ pratyayaṃ pratītya samutpannaṃ	kRtam saMskRtan. tam [Ti b. 161b] tam pratyayam pratItya samutpannam
   pratītyasamutpannam iti. na tu kṣaṇasyeti. pravāhasyaiva saṃskṛtatvaṃ	pratItyasamutpannam iti. na tu kzaNasya iti. pravAhasya eva saMskRta tvam
   dyotayitukāma idam āha. na tu kṣaṇasya saṃskṛtatvaṃ. na hi	dyotayitu kAmaH idam Aha. na tu kzaNasya saMskRta tvaM. na hi
   kṣaṇasyotpādādaya utpādavyayasthityanyathātvalakṣaṇā dharmāḥ prajñāyaṃte	kzaNasya utpAda AdayaH utpAda vyaya sTiti anyaTAtva lakzaNAH DarmAH prajQAyaMte
   kṣaṇasya duravadhāratvāt. brūyās tvam aprajñāyamānā apy ete lakṣaṇaṃ	kzaNasya duravaDAra tva at. brUyAH tvam aprajQAyamAnAH api ete lakzaNam
   bhavitum arhaṃtīty ata āha. na cāprajñāyamānā ete lakṣaṇaṃ bhavitum	Bavitum arhaMti iti atas Aha. na ca aprajQAyamAnAH ete lakzaNam Bavitum
   arhaṃtīti. prajñāyamānam eva hi lakṣaṇaṃ bhavati. tadyathā jalasya	arhaMti iti. prajQAyamAnam eva hi lakzaNam Bavati. tat yaTA jalasya
   balāketi. ata evātreti. ata evātra sūtre prajñāyata iti padagrahaṇam.	balAkA iti. atas eva atra iti. atas eva atra sUtre prajQAyate iti pada grahaNam.
   anyathā hi saṃskṛtasyotpādo 'pi vyayo 'pi sthityanyathātvam apīty	anyaTA hi saMskRtasya utpAdaH api vyayaH api sTiti anyaTAtvam api iti 
   evāvakṣyat. saṃskṛtatve lakṣaṇānīti. saṃskṛtam iti lakṣaṇānīty	eva avakzyat. saMskRta tve lakzaNa Ani iti. saMskRtam iti lakzaNAni iti 
   arthapratigrahārthaṃ punaḥ saṃskṛtagrahaṇaṃ. jalabalākāvad iti.	arTa pratigraha arTam punar saMskRta grahaNaM. jala balAkA vat iti.
   vaidharmadṛṣṭāṃto 'yaṃ yathā balākā jalāstitve lakṣaṇaṃ na punar jalasya	vEDarma dRzwa aMtaH ayam yaTA balAkAH jala astitve lakzaNam na punar jalasya
   jalatve lakṣaṇaṃ. maivaṃ vijñāyi. kiṃ. saṃskṛtasya vastunaḥ astitve 'mūni	jala tve lakzaNan. mA evam vijQAyi. kiM. saMskRtasya vastunaH astitve amUni
   lakṣaṇāni. sādhvasādhutve vā kanyālakṣaṇavad iti. yathā kanyāyāḥ	lakzaNAni. sADu asADu tve vA kanyA lakzaNa vat iti. yaTA kanyAyAH
   śubhāśubhāni lakṣaṇāni yathākramaṃ sādhvasādhutve lakṣaṇānīti. yadi hy	SuBa aSuBAni lakzaNAni yaTAkramam sADu asADu tve lakzaNa Ani iti. yadi hi 
   amūni tathā saṃskṛtasya vastuno 'stitve sādhvasādhutve vā lakṣaṇānīṣyeran	amUni taTA saMskRtasya vastunaH astitve sADu asADu tve vA lakzaNAn Izyeran
   trīṇīmāni saṃskṛtalakṣaṇānīty ucyeta. saṃskṛtasya saṃskṛtalakṣaṇānīti na	trINi imAni saMskRta lakzaNAni iti ucyeta. saMskRtasya saMskRta lakzaNAni iti na
   kriyeta. kṛtam ca. tena jñāyate saṃskṛtatve lakṣaṇānīti. [Tib. 162a]	kriyeta. kRtam ca. tena jQAyate saMskRta tve lakzaNa Ani iti. [Ti b. 162a]
   kathaṃ punar avidyamānā jātyādayaḥ pravāhe vyavasthāpyaṃte prajñāyaṃte vā.	kaTam punar avidyamAnAH jAti AdayaH pravAhe vyavasTApyaMte prajQAyaMte vA.
   na brūmo jātyādayo na saṃvidyaṃta iti. yathā tu dravyarūpeṇa vibhajyaṃte.	na brUmaH jAti AdayaH na saMvidyaMtaH iti. yaTA tu dravya rUpeNa viBajyaMte.
   tathā na saṃvidyaṃta iti brūmaḥ. yathā tarhi bhavatāṃ (Abhidh k vy 175)	taTA na saMvidyaMte iti brUmaH. yaTA tarhi BavatAm (a aBiD k vI 175)
   saṃvidyaṃte. tathā kathyatāṃ. ata āha. pravāhasyādir utpāda iti vistaraḥ.	saMvidyaMte. taTA kaTyatAn. atas Aha. pravAhasya AdiH utpAdaH iti vistaraH.
   nivṛttir vyaya iti. pravāhasyoparatir vyayaḥ. sa eva pravāho 'nuvartamāna	nivRttiH vyayaH iti. pravAhasya uparatiH vyayaH. saH eva pravAhaH anuvartamAna
   iti. sadṛśakṣaṇānuvṛtter anuvartamānaḥ pravāhaḥ. sthitir iti ucyate.	iti. sadRSa kzaNa anuvRtteH anuvartamAnaH pravAhaH. sTitiH iti ucyate.
   tasyāḥ pūrvāparaviśeṣa iti. pūrvasmād aparasya kṣaṇasya viśeṣaḥ.	tasyAH pUrva apara viSezaH iti. pUrvasmAt aparasya kzaNasya viSezaH.
   pūrvāparayoḥ kṣaṇayor vā viśeṣaḥ pūrvāparaviśeṣaḥ. evaṃ ca kṛtvoktam iti.	pUrva aparayoH kzaNayoH vA viSezaH pUrva apara viSezaH. evam ca kRtvA uktam iti.
   pravāharūpān evotpādādīn kṛtvānityopasthitasmṛtitām āyuṣmataḥ	pravAha rUpAn eva utpAda AdIn kRtvA anitya upasTita smRti tAm AyuzmataH
   suṃdaranandasyārabhyoktaṃ. pravāhagatā hi vedanās tasya viditā	suMdara nandasya AraBya uktaM. pravAha gatAH hi vedanAH tasya viditA
   ivotpadyaṃte viditā iva tiṣṭhaṃte viditā iva parikṣayaṃ paryādānaṃ	iva utpadyaMte viditAH iva tizWaMte viditAH iva parikzayam paryAdAnam
   gacchaṃti na kṣaṇagatāḥ. kṣaṇasya duravadhāratvād iti. viditasya ca	gacCaMti na kzaNa gatAH. kzaNasya duravaDAra tvAt iti. viditasya ca
   kṣaṇasyāvasthānāsaṃbhavāt. etam evārthaṃ ślokadvayena saṃgṛhṇann āha.	kzaNasya avasTAna asaMBava at. etam eva arTam Sloka dvayena saMgRhNan Aha.
   jātir ādiḥ pravāhasyety	jAtiH AdiH pravAhasya iti 
   ādi sarvam uktaṃ.	Adi sarvam uktaM.
   sthitis tu sa	sTitiH tu sa
   iti. sa eva pravāhaḥ sthitiḥ.	iti. saH eva pravAhaH sTitiH.
