   śikṣāsamuccaye caturthaḥ paricchedaḥ ||	SikzA-samuccaye caturTaH paricCedaH ||
   uddiśya vā pāṃśukarâśayo 'pi aṭavīṣu durgeṣu ca	uddiSya vA pAMSu-karâSayaH api awavIzu durgezu ca
   kārayanti ||	kArayanti ||
   siktāmayā vā puna kūṭa kṛtvā ye kecid uddiśya jināna stūpān |	sikta-AmayAH vA puna kUwa kRtvA ye kecid uddiSya jinAna stUpAn |
   kumārakāḥ krīḍiṣu tatra tatra |	kumArakAH krIxizu tatra tatra |
   te sarvi bodhāyâbhūṣi lābhinaḥ ||	te sarvi boDAyâBUzi lABinaH ||
   [ Bendall ed p93 ---> ]	[ Bet-dalt ed p93 ---> ]
   yāvat ||	yAvat ||
   ye citrabhittīṣu karonti vigrahaṃ |	ye citra-BittIzu karonti vigraham |
   paripūrṇagātrāṃś chatapuṇyalakṣaṇān ||	paripUrNa-gAtrAn Cata-puNya-lakzaNAn ||
   likhet svayaṃ câpi likhāpayed vā |	liKet svayam câpi liKApayet vA |
   te sarvi bodhāyâbhūṣi lābhinaḥ ||	te sarvi boDAyâBUzi lABinaH ||
   ye câpi kecit tarhi śikṣamāṇāḥ |	ye câpi kecid tarhi SikzamANAH |
   krīḍāratiṃ câpi vinodayantaḥ ||	krIxA-ratim câpi vinodayantaH ||
   nakhena kāṣṭhena kṛtāsi vigrahān |	naKena kAzWena kRtA-asi vigrahAn |
   bhittīṣu puruṣâtha kumārakā vā ||	BittIzu puruzâTa kumArakAH vA ||
   sarve ca te bodhi abhūṣi lābhinaḥ ||	sarve ca te boDi aBUzi lABinaH ||
   pe ||	pe ||
   vādāpitā jhallariyo 'pi ye hī |	vAdApitA JallariyaH api ye hI |
   jalamaṇḍakā vâpy atha maṇḍakā vā |	jalamaNxakAH vâpi aTa maNxakAH vA |
   sugatānam uddiśyatha pūjanârthaṃ gītaṃ ca gītaṃ madhuraṃ manojñaṃ |	sugatAnam uddiSyaTa pUjan-ârTam gItam ca gItam maDuram manojQam |
   sarve ca te buddhâbhūṣi loke ||	sarve ca te budDâ-BUzi loke ||
   kṛtvā ca yāṃ bahuvidhadhātupūjāṃ |	kRtvA ca yAm bahuviDa-DAtu-pUjAm |
   kim alpakampī sugatāna dhātuṣu |	kim alpa-kampI sugatAna DAtuzu |
   ekaṃ pi vādāyiya vādyabhāṇḍam |	ekam pi vA-AdAyiya vAdya-BANxam |
   puṣpeṇa câikena hi pūjayitvā |	puzpeNa câikena hi pUjayitvA |
   [ Bendall ed p94 ---> ]	[ Bet-dalt ed p94 ---> ]
   anupūrva drakṣyanti hi buddhakoṭyaḥ |	anupUrva drakzyanti hi budDa-kowyaH |
   yaiś ca	yEH ca
   [ Cambridge MS f52a ---> ]	[ Cambridge M f52aH ---> ]
   añjalis tatra kṛtâpi stūpe |	aQjaliH tatra kRtâpi stUpe |
   paripūrṇâikātalaśaktikā vā |	paripUrNâikA-tala-SaktikA vA |
   onāmitaṃ śīrṣa bhaven muhūrttaṃ |	onAmitam SIrza Bavet muhUrttam |
   onāmitaṃ kāya tathâikavāraṃ |	onAmitam kAya taTâika-vAram |
   namo 'stu buddhāya kṛtâikavāraṃ |	namaH astu budDAya kRtâika-vAram |
   ye hī tadā dhātudhāreṣu teṣu |	ye hI tadA DAtu-DArezu tezu |
   vikṣiptacittair api yathâikavāraṃ |	vikzipta-cittEH api yaTâika-vAram |
   te sarvi prāptêmam agrabodhim |	te sarvi prAptêmam agra-boDim |
   sugatāna teṣāṃ tada tasmi kāle |	sugatAna tezAm tada tasmi kAle |
   parinirvṛtānām atha tiṣṭhatāṃ vā |	parinirvRtAnAm aTa tizWatAm vA |
   ye dharmanāmâpi śṛṇūṣu satvās |	ye DarmanAmâpi SRNUzu satvAH |
   te sarvi bodhāyâbhūṣi lābhina |	te sarvi boDAyâBUzi lABinaH |
   iti ||	iti ||
   mahākaruṇāsūtre 'py uktaṃ ||	mahA-karuNA-sUtre api uktam ||
   tad yathā vāḍiśikena mahaty udakasarasi matsyâkarṣaṇârthaṃ sâmiṣaṃ vaḍiśaṃ	tat yaTA vAxiSikena mahati udaka-sarasi matsyâkarzaNârTam sâmizam vaxiSam
   prakṣiptaṃ bhavet samanantaraprakṣiptaṃ ca	prakziptam Bavet samanantara-prakziptam ca
   matsyena nigīrṇaṃ bhavet |	matsyena nigIrNam Bavet |
   kiṃ câpi sa matsyôdakasarasi bhramaty atha ca punar vaddhâiva	kim câpi sa matsyôdaka-sarasi Bramati aTa ca punar vadDâiva
   sa vaktavyo dṛḍhena sūtreṇa sthalagatadaṇḍasunibaddhena |	sa vaktavyaH dRXena sUtreNa sTala-gata-daNxa-su-nibadDena |
   yat sa vāḍiśikâgatya tena sūtralāghavena jānāti |	yat sa vAxiSikâgatya tena sUtra-lAGavena jAnAti |
   gṛhīto matsyêti |	gRhItaH matsyêti |
   tam enaṃ sūtrād gṛhītvā sthalagataṃ ka-	tam enam sUtrAt gRhItvA sTala-gatam ka-
   [ Bendall ed p95 ---> ]	[ Bet-dalt ed p95 ---> ]
   roti	roti
   yathākāmakaraṇāya paribhogāya |	yaTAkAma-karaNAya pariBogAya |
   evam eva ye satvā buddheṣu bhagavatsu cittaṃ prasādya kuśalamūlam	evam eva ye satvAH budDezu Bagavatsu cittam prasAdya kuSala-mUlam
   avaropayanti |	avaropayanti |
   antaśâikacittaprasādam api |	anta-Sâika-citta-prasAdam api |
   kiṃ câpi te satvā duṣkṛtena karmâvaraṇenâkṣaṇeṣûpapannā bhavanty atha ca	kim câpi te satvAH duzkRtena karmâ-varaNenâ-kzaNezû-papannAH Bavanti aTa ca
   buddhā bhagavantas tān satvān bauddhena	budDAH BagavantaH tAn satvAn bOdDena
   jñānena saṃgrahavastusūtreṇa gṛhītvā saṃsārôdakasarasôddhṛtya	jQAnena saMgraha-vastu-sUtreNa gRhItvA saMsArôdaka-sarasôdDRtya
   nirvāṇasthale sthāpayantîti ||	nirvANa-sTale sTApayantîti ||
   tasmād eṣu śāstṛsaṃjñā kāryā |	tasmAt ezu SAstR-saMjQA kAryA |
   vandamānāś ca manasā vanditavyāḥ |	vandamAnAH ca manasA vanditavyAH |
   bhavati hi navako 'pi bodhicittabalād vandyo |	Bavati hi navakaH api boDi-citta-balAt vandyaH |
   yathā meghena dramiḍena mahābodhisatvenâpi satā navakâryasudhanaḥ	yaTA meGena dramixena mahA-boDisatvenâpi satA nava-kârI-a-su-DanaH
   sarvaśarīreṇa praṇipatya vanditaḥ |	sarva-SarIreNa praNipatya vanditaH |
   niyatârthaṃ cêdaṃ |	niyatârTam cêdam |
   yathâdhyāśayasaṃcodanâdiṣu	yaTâDi-ASaya-saMcodanâdizu
   sarvabodhisatvayānikapudgalanamaskāro 'nujñātavyaḥ |	sarva-boDisatvayAnika-pudgala-namaskAraH anujQAtavyaH |
   sarvaśabdenâtmano 'pi grahaṇāt |	sarva-SabdenâtmanaH api grahaNAt |
   katham ekatra vandya	kaTam ekatra vandya
   [ Cambridge MS f52b ---> ]	[ Cambridge M f52B ---> ]
   vandakatvaṃ na virudhyate |	vandaka-tvam na viruDyate |
   parasparaṃ vandyatvenâivâlambanāt |	parasparam vandya-tvenâivâlambanAt |
   atâivânāsvādanād apuṇyabhāvaḥ |	atâivâna-AsvAdanAt apuNya-BAvaH |
   kiṃ ca buddhānām apy evam iṣyate |	kim ca budDAnAm api evam izyate |
   mā bhūd anavasthā |	mA BUt anavasTA |
   ekasya cânyūnatêti ||	ekasya cânyUnatêti ||
   āryasarvadharmavaipulyasaṃgrahasūtre 'py anarthôktaḥ |	Arya-sarva-Darma-vEpulya-saMgraha-sUtre api anarTôktaH |
   sūkṣmaṃ hi mañjuśrīḥ saddharmapratikṣepakarmâvāraṇaṃ |	sUkzmam hi maQjuSrIH sadDarma-pratikzepa-karmâ-vAraNam |
   yo hi kaścin mañjuśrīs tathāgatabhāṣitadharme kasmiṃścic chobhanasaṃjñāṃ	yaH hi kaScid maQjuSrIH taTAgata-BAzita-Darme kasmiMScid SoBana-saMjQAm
   karoti |	karoti |
   kvacid aśobhanasaṃjñāṃ sa saddharmaṃ pratikṣipati |	kvacid aSoBana-saMjQAm sa sadDarmam pratikzipati |
   tena saddharmaṃ pratikṣipatā tathāgato 'bhyākhyāto bhavati |	tena sadDarmam pratikzipatA taTAgataH aByAKyAtaH Bavati |
   dharmaḥ pratikṣipto bhavati |	DarmaH pratikziptaH Bavati |
   saṃgho 'pavādito bhavati |	saMGaH apavAditaH Bavati |
   yâivaṃ vadatîdaṃ yuktam idam ayuktam iti sa saddharmaṃ pratikṣipati |	yâivam vadatîdam yuktam idam ayuktam iti sa sadDarmam pratikzipati |
   na mayā pṛthak kaścid dharmaḥ śrāvakayānasaṃprayuktaḥ	na mayA pRTak kaScid DarmaH SrAvaka-yAna-saMprayuktaH
   pratyekabuddhayānasaṃprayukto mahāyānasaṃprayukto deśitaḥ |	pratyekabudDa-yAna-saMprayuktaH mahAyAna-saMprayuktaH deSitaH |
   tat te mohapuruṣêmaṃ mama dharmaṃ nānākariṣyanti |	tat te moha-puruzêmam mama Darmam nAnA-Akarizyanti |
   idaṃ śrāvakāṇāṃ deśitam idaṃ pratyekabuddhānām idaṃ bodhisatvānām iti |	idam SrAvakANAm deSitam idam pratyekabudDAnAm idam boDisatvAnAm iti |
   sa nānātvasaṃjñayā saddharmaṃ pratikṣipati |	sa nAnAtva-saMjQayA sadDarmam pratikzipati |
   iyaṃ bodhisatvasya śikṣā |	iyam boDisatvasya SikzA |
   iyaṃ bodhisatvasyâśikṣêti saddharmaṃ pratikṣipati |	iyam boDisatvasyâSikzêti sadDarmam pratikzipati |
   dharmabhāṇakasyâsti pratibhānaṃ nâsti pratibhānam iti	Darma-BANakasi-âsti pratiBAnam nâsti pratiBAnam iti
   saddharmaṃ pratikṣipati |	sadDarmam pratikzipati |
   dharmaṃ dharmatayā ka-	Darmam Darma-tayA ka-
   [ Bendall ed p96 ---> ]	[ Bet-dalt ed p96 ---> ]
   thayati saddharmaṃ pratikṣipati |	Tayati sadDarmam pratikzipati |
   apagate buddhôtpāde nâsti dhāraṇīpratilambhêti dharmaṃ pratikṣipati |	apagate budDôt-pAde nâsti DAraNI-pratilamBêti Darmam pratikzipati |
   nâsti dharmabhāṇakasya dhāraṇīpratilambhêti dharmaṃ pratikṣipati |	nâsti Darma-BANakasya DAraNI-pratilamBêti Darmam pratikzipati |
   dharmabhāṇakasya caryāṃ dūṣayati dharmaṃ pratikṣipati |	Darma-BANakasya caryAm dUzayati Darmam pratikzipati |
   dharmabhāṇako na pratipattisaṃpannêti dharmaṃ pratikṣipati |	Darma-BANakaH na pratipatti-saMpannêti Darmam pratikzipati |
   pramādenâinaṃ codayati saddharmaṃ pratikṣipati |	pramAdenâinam codayati sadDarmam pratikzipati |
   īryāpathena codayati saddharmaṃ pratikṣipati |	IryA-paTena codayati sadDarmam pratikzipati |
   akṣaracaryayā śīlavipattyā codayati dharmaṃ pratikṣipati |	akzara-caryayA SIla-vipattyA codayati Darmam pratikzipati |
   prati-	prati-
   [ Cambridge MS f53a ---> ]	[ Cambridge M f53aH ---> ]
   bhānena saṃpādayatîti dharmaṃ pratikṣipati |	BAnena saMpAdayatîti Darmam pratikzipati |
   āloko 'sya dharmāṇāṃ na suviditêti dharmaṃ pratikṣipati |	AlokaH asya DarmANAm na su-viditêti Darmam pratikzipati |
   mantreṇa mantram abudhyamānaḥ prativadatîti dharmaṃ pratikṣipati |	mantreNa mantram abuDyamAnaH prativadatîti Darmam pratikzipati |
   akṣarasaṃjñyā tathāgataśāsanaṃ nâvagāhatêti dharmaṃ pratikṣipati |	akzara-saMjQyA taTAgata-SAsanam nâvagAhatêti Darmam pratikzipati |
   sūtreṇa sūtraṃ virodhayatîti dharmaṃ pratikṣipati |	sUtreNa sUtram viroDayatîti Darmam pratikzipati |
   gāthayā gāthāṃ virodhayatîti dharmaṃ pratikṣipati |	gATayA gATAm viroDayatîti Darmam pratikzipati |
   akṣarasaṃjñayā kañcid adhimuktaṃ karoti kañcin na karotîti	akzara-saMjQayA kaQcid aDimuktam karoti kaQcid na karotîti
   dharmaṃ pratikṣipati |	Darmam pratikzipati |
   dharmabhaṇakasyârthāny akathām abhināmayatîti dharmaṃ pratikṣipati |	Darma-BaNakasi-ârTAni akaTAm aBinAmayatîti Darmam pratikzipati |
   vicakṣuḥ karmâsya karoti dharmaṃ pratikṣipati |	vicakzuH karmâsya karoti Darmam pratikzipati |
   saṃlāpayan vadatîti dharmaṃ pratikṣipati |	saMlApayan vadatîti Darmam pratikzipati |
   ihâsyâsti caryêhâsya nâsti caryêti dharmaṃ pratikṣipati |	ihâsi-âsti caryêhâsya nâsti caryêti Darmam pratikzipati |
   idaṃ sûktam idam asûktam iti dharmaṃ pratikṣipati |	idam sûktam idam asûktam iti Darmam pratikzipati |
   anena nâsti caryêti dharmaṃ pratikṣipati |	anena nâsti caryêti Darmam pratikzipati |
   anena buddhavacanasamayôkto nânena buddhavacanasamayôktêti	anena budDa-vacana-samayôktaH nânena budDa-vacana-samayôktêti
   dharmaṃ pratikṣipatîti hi mañjuśrīr yāvat kiñcid vilopayati	Darmam pratikzipatîti hi maQjuSrIH yAvat kiQcid vilopayati
   tāvad dharmaṃ pratikṣipati |	tAvat Darmam pratikzipati |
   dharmabhāṇakasyêdaṃ rūpam iti cintayati vadati bhikṣur vā	Darma-BANakasyêdam rUpam iti cintayati vadati BikzuH vA
   bhikṣuṇī vôpāsako vôpāsikā vā |	BikzuNI vôpAsakaH vôpAsikAH vA |
   sarvaḥ sa saddharmaṃ pratikṣipatîty ādi ||	sarvaH sa sadDarmam pratikzipatîti Adi ||
   atrâiva côktaṃ |	atrâiva côktam |
   yasya kasyacit kulaputra tathāgatasya parinirvṛtasya dharmaḥ pratibhāti	yasya kasyacid kula-putra taTAgatasya parinirvRtasya DarmaH pratiBAti
   yathâdhimuktānāṃ satvānāṃ deśayituṃ |	yaTâDi-muktAnAm satvAnAm deSayitum |
   tasyāṃ ca parṣadi yady ekasatvasyâpi ekaromaharṣo bhaved ekâśrupāto vā	tasyAm ca parzadi yadi eka-satvasi-âpi eka-roma-harzaH Bavet ekâSru-pAtaH vA
   sarvaḥ sa tathāgatânubhāvena |	sarvaH sa taTAgatânu-BAvena |
   tatra mohapuruṣâbodhisatvā bodhisatvapratijñā bodhisatvadūṣakā	tatra moha-puruzâ-boDisatvA boDisatva-pratijQA boDisatva-dUzakA
   dharmastainyakuhakâivaṃ vakṣyanti	Darma-stEnya-kuha-kâivam vakzyanti
   dharmôpadeśakebhyaḥ |	DarmôpadeSakeByaH |
   kim ete |	kim ete |
   na budhyantae iti ||	na buDyantae iti ||
   [ Bendall ed p97 ---> ]	[ Bet-dalt ed p97 ---> ]
   pe ||	pe ||
   ye bodhisatveṣv avamanyanāṃ kurvanti |	ye boDisatvezu avamanyanAm kurvanti |
   nâhaṃ teṣāṃ paryantakṛtaṃ nirayaṃ-	nâham tezAm paryanta-kRtam nirayaM-
   [ Cambridge MS f53b ---> ]	[ Cambridge M f53B ---> ]
   saṃvadāmi |	saMvadAmi |
   tat kasya hetoḥ |	tat kasya hetoH |
   yo bodhisatvo dharmabhāṇakam apavādati buddhaṃ sa vigarhati	yaH boDisatvaH Darma-BANakam apavAdati budDam sa vigarhati
   dharmaṃ sa pratikṣipati saṃghaṃ sa jugupsati |	Darmam sa pratikzipati saMGam sa jugupsati |
   buddhe so 'gauravo yo dharmabhāṇake 'gauravaḥ |	budDe saH agOravaH yaH Darma-BANake agOravaH |
   buddhaṃ sa na draṣṭukāmo yo dharmabhāṇakam adraṣṭukāmaḥ |	budDam sa na drazwu-kAmaH yaH Darma-BANakam adrazwu-kAmaH |
   buddhasya so 'varṇaṃ bhāṣate yo dharmabhāṇakasyâvarṇaṃ bhāṣate |	budDasya saH avarNam BAzate yaH Darma-BANakasyâvarNam BAzate |
   buddhas tena parityakto bhavati yaḥ prathamacittôtpādike 'pi	budDaH tena parityaktaH Bavati yaH praTama-cittôtpAdike api
   bodhisatve pratighacittaṃ karotîti ||	boDisatve pratiGa-cittam karotîti ||
   pe ||	pe ||
   yo 'py ayaṃ maitreya ṣaṭpāramitāsamudāgamo bodhisatvānāṃ saṃbodhāya taṃ te	yaH api ayam mEtreya zaz-pAramitA-samudAgamaH boDisatvAnAm saMboDAya tam te
   mohapuruṣâivaṃ vakṣyanti |	moha-puruzâivam vakzyanti |
   prajñāpāramitāyām eva bodhisatvena śikṣitavyaṃ |	prajQApAramitAyAm eva boDisatvena Sikzitavyam |
   kiṃ śeṣābhiḥ pāramitābhiḥ |	kim SezABiH pAramitABiH |
   te 'nyāṃ pāramitāṃ dūṣayitavyāṃ manyante |	te anyAm pAramitAm dUzayitavyAm manyante |
   tat kiṃ manyase 'jita duṣprajñaḥ sa kāśirājâbhūd yena	tat kim manyase ajita duzprajQaH sa kASi-rAjâ-BUt yena
   kapotârthaṃ śyenāya svamāṃsāni dattāni |	kapotârTam SyenAya sva-mAMsAni dattAni |
   maitreyâha |	mEtreyâha |
   nô hîdaṃ bhagavan |	nô hîdam Bagavan |
   bhagavān āha |	BagavAn Aha |
   yāni mayā maitreya bodhisatvacaryāṃ caratā ṣaṭpāramitāpratisaṃyuktāni	yAni mayA mEtreya boDisatva-caryAm caratA zaz-pAramitA-pratisaMyuktAni
   kuśalamūlāny upacitāni apakṛtaṃ nu taiḥ kuśalamūlaiḥ ||	kuSala-mUlAni upacitAni apakRtam nu tEH kuSala-mUlEH ||
   maitreyâha |	mEtreyâha |
   nô hîdaṃ bhagavan ||	nô hîdam Bagavan ||
   bhagavān āha |	BagavAn Aha |
   tvaṃ tāvad ajita ṣaṣṭiṃ kalpān dānapāramitāyāṃ ṣaṣṭiṃ kalpān	tvam tAvat ajita zazwim kalpAn dAna-pAramitAyAm zazwim kalpAn
   śīlapāramitāyāṃ ṣaṣṭiṃ kalpān	SIla-pAramitAyAm zazwim kalpAn
   kṣāntipāramitāyāṃ ṣaṣṭiṃ kalpān vīryapāramitāyāṃ ṣaṣṭiṃ kalpān	kzAnti-pAramitAyAm zazwim kalpAn vIrya-pAramitAyAm zazwim kalpAn
   dhyānapāramitāyāṃ ṣaṣṭiṃ kalpān prajñāpāramitāyāṃ samudāgataḥ |	DyAna-pAramitAyAm zazwim kalpAn prajQApAramitAyAm samudAgataH |
   tat te mohapuruṣâivaṃ vakṣyanti |	tat te moha-puruzâivam vakzyanti |
   ekanayenâiva bodhir yad uta śūnyatānayenêti |	ekanayenâiva boDiH yat uta SUnyatA-Anayenêti |
   te caryāsu pariśuddhā bhaviṣyantîty ādi ||	te caryAsu pariSudDAH Bavizyantîti Adi ||
   iti śikṣāsamuccaye caturthaḥ paricchedaḥ ||	iti SikzA-samuccaye caturTaH paricCedaH ||
   Copyright (c) 2002 by Jens Braarvig - Oslo	CopyriGt (c) 2002 bi Jens Braarvij  Oslo
