   Pāṇḍulohitakavastu	PANxu-lohitakavaH-tu
   paryuṣitaparivāsa antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsa antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaḥ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitaH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣito bhikṣūṇām ārocayati / aham asmy	praticCannAyAH mUla-apakarza-paryuzitaH BikzUNAm Arocayati / aham asmi-
   āyuṣmanta udāyī bhikṣuḥ saṃghāvaśeṣām āpattim āpannaḥ	AyuzmantaH udAyI BikzuH saMGa-a=-aSezAm Apattim ApannaH
   saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / tena mayā	saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / tena mayA
   udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	udAyinAH BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyāḥ	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'haṃ pārivāsika eva	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH aham pArivAsikaH eva
   saṃghāvaśeṣām āpattim āpanno 'ntarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatter	praticCannAm / tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlaparivāso	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH saMGAn mUla-parivAsaH-
   yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter	yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaḥ / so 'haṃ	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsaH / saH aham
   mūlapārivāsika eva san saṃghāvaśeṣām āpattim āpannaḥ pratyantarāpattim	mUla-pArivAsikaH eva san saMGa-a=-aSezAm Apattim ApannaH pratyantara-Apattim
   antarāpattipratirūpāṃ praticchannāṃ / tena mayā udāyinā bhikṣuṇā asyāḥ	antarApatti-pratirUpAm praticCannAm / tena mayA udAyinA BikzuNA asyAH
   saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyāḥ	saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyAH
   saṃghān mūlaparivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	saMGAn mUla-parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaḥ / so 'ham asyāḥ saṃghāvaśeṣāyā āpatteḥ	mUla-apakarzaH / saH aham asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsaḥ antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsaH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaḥ pratyantarāpatter antarāpattipratirūpāyā	mUla-parivAsa-paryuzitaH pratyantara-ApatteH antarApatti-pratirUpAyA
   praticchannāyā mūlāpakarṣaparyuṣitaḥ / kiṃ mayā karaṇīyam iti Ś etat	praticCannAyAH mUla-apakarza-paryuzitaH / kim mayA karaNIyam iti Ś etat-
   prakaraṇaṃ bhikṣavo bhagavata ārocayanti Ś bhagavān āha Ś dadata yūyaṃ	prakaraNam BikzavaH BagavataH Arocayanti Ś BagavAn Aha Ś dadata yUyam
   bhikṣava udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	BikzavaH udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā (298v1 = GBM 6.909)	saMcintya-Sukra-visRzwi-samutTitAyAH (298v1  GBm 6.909)
   ardhamāsapraticchannāyāḥ paryuṣitaparivāsasya antarāpatteḥ	arDa-mAsa-praticCannAyAH paryuzita-parivAsasya antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaparyuṣitasya	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsa-paryuzitasya
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaparyuṣitasya ṣaḍrātraṃ mānāpyam iti / yo vā punar anyo 'py	mUla-apakarza-paryuzitasya zaz-rAtram mAnApyam iti / yaH vA punar anyaH api-
   evaṃjātīyaḥ /	evaMjAtIyaH /
   Pāṇḍ-v § 7.4.2 evaṃ ca punar dātavyaḥ / śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm	PANx-u § 7.4.2 evam ca punar dAtavyaH / Sayana-Asana-prajQaptim kRtvA gaNxIm
   ākoṭya pṛṣṭavācikayā bhikṣūn samanuyujya sarvasaṃghe saṃniṣaṇṇe	Akowya pRzwa-vAcikayA BikzUn samanuyujya sarva-saMGe saMnizaNNe
   saṃnipatite udāyinā bhikṣuṇā vṛddhānte utkuṭukena sthitvā aṃjaliṃ pragṛhya	saMnipatite udAyinA BikzuNA vRdDAnte utkuwukena sTitvA aMjalim pragRhya
   idaṃ syād vacanīyaṃ /	idam syAt vacanIyam /
   Pāṇḍ-v § 7.4.3 śṛṇotu bhadantāḥ saṃghaḥ / aham udāyī bhikṣuḥ saṃghāvaśeṣām	PANx-u § 7.4.3 SRNotu BadantAH saMGaH / aham udAyI BikzuH saMGa-avaSezAm
   āpattim āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ /	Apattim ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm /
   tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	arDa-mAsam parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaṃ parivāsaḥ / so 'haṃ pārivāsika eva san*	arDa-mAsa-praticCannAyAH arDa-mAsam parivAsaH / saH aham pArivAsikaH eva san*
   saṃghāvaśeṣām āpattim āpanno 'ntarāpattiṃ pūrvāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH antarApattim pUrva-Apatti-pratirUpAm
   praticchannāṃ / tena mayā udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatter	praticCannAm / tena mayA udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyāḥ saṃghān mūlaparivāso	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH saMGAn mUla-parivAsaH-
   yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter	yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH-
   antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaḥ / so 'haṃ	antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsaH / saH aham
   mūlapārivāsika eva san* saṃghāvaśeṣām āpattim āpannaḥ pratyantarāpattim	mUla-pArivAsikaH eva san* saMGa-a=-aSezAm Apattim ApannaH pratyantara-Apattim
   antarāpattipratirūpāṃ praticchannām* / tena mayā bhikṣuṇā asyāḥ	antarApatti-pratirUpAm praticCat-nAm* / tena mayA BikzuNA asyAH
   saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyāḥ	saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyAH
   saṃghān mūlāpakarṣo yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	saMGAn mUla-apakarzaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyāḥ pratyantarāpatteḥ antarāpattipratirūpāyāḥ praticchannāyā	saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaḥ / so 'ham udāyī bhikṣur asyāḥ saṃghāvaśeṣāyā āpatteḥ	mUla-apakarzaH / saH aham udAyI BikzuH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsaḥ antarāpatter pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsaH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaḥ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitaH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaḥ saṃghāt ṣaḍrātraṃ mānāpyaṃ yāce /	praticCannAyAH mUla-apakarza-paryuzitaH saMGAt zaz-rAtram mAnApyam yAce /
   dadātu bhadantāḥ saṃgho mamodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	dadAtu BadantAH saMGaH mama-udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsasya antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsasya antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitasya pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitasya pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitasya ṣaḍrātraṃ mānāpyam anukaṃpaka	praticCannAyAH mUla-apakarza-paryuzitasya zaz-rAtram mAnApyam anukaMpaka
   anukaṃpām upādāya / evaṃ dvir api trir api /	anukaMpAm upAdAya / evam dvis api tris api /
   Pāṇḍ-v § 7.4.4 tataḥ paścād ekena bhikṣuṇā jñaptiṃ kṛtvā karma kartavyam*	PANx-u § 7.4.4 tatas paScAt ekena BikzuNA jQaptim kRtvA karma kartavyam*
   / śṛṇotu bhadantāḥ saṃghaḥ / ayam udāyī bhikṣuḥ saṃghāvaśeṣām āpattim	/ SRNotu BadantAH saMGaH / ayam udAyI BikzuH saMGa-a=-aSezAm Apattim
   āpannaḥ saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / tenānena	ApannaH saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / tena-anena
   udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	udAyinAH BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaṃ parivāso yācitaḥ / datto 'sya saṃghena (299r1 = GBM 910)	arDa-mAsam parivAsaH yAcitaH / dattaH asya saMGena (299r1  GBm 910)
   udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyā ardhamāsaṃ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH arDa-m-Asam
   parivāsaḥ / so 'yaṃ pārivāsika eva san* saṃghāvaśeṣām āpattim āpanno	parivAsaH / saH ayam pArivAsikaH eva san* saMGa-a=-aSezAm Apattim ApannaH-
   'ntarāpattiṃ pūrvāpattipratirūpāṃ praticchannāṃ / tenānena udāyinā	antarApattim pUrva-Apatti-pratirUpAm praticCannAm / tena-anena udAyinA
   bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatter antarāpatteḥ pūrvāpattipratirūpāyāḥ	BikzuNA asyAH saMGa-avaSezAyAH ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH
   praticchannāyā mūlaparivāso yācitaḥ / dattaḥ saṃghenāsyodāyino bhikṣor	praticCannAyAH mUla-parivAsaH yAcitaH / dattaH saMGena-Asya-udAyinaH BikzoH-
   asyāḥ saṃghāvaśeṣāyā āpatter antarāpatteḥ pūrvāpattipratirūpāyāḥ	asyAH saMGa-avaSezAyAH ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH
   praticchannāyā mūlaparivāsaḥ / so 'yaṃ mūlapārivāsaḥ eva san*	praticCannAyAH mUla-parivAsaH / saH ayam mUla-pArivAsaH eva san*
   saṃghāvaśeṣām āpattim āpannaḥ pratyantarāpattim antarāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH pratyantara-Apattim antarApatti-pratirUpAm
   praticchannāṃ / tenānena udāyino bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	praticCannAm / tena-anena udAyinaH BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyāḥ saṃghān	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyAH saMGAn
   mūlāpakarṣo yācitaḥ / dattaḥ saṃghenāsyodāyino bhikṣor asyāḥ	mUla-apakarzaH yAcitaH / dattaH saMGena-Asya-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaḥ / so 'yam udāyī bhikṣur asyāḥ saṃghāvaśeṣāyā āpatteḥ	mUla-apakarzaH / saH ayam udAyI BikzuH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsa antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsa antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaḥ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitaH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaḥ ṣaḍrātraṃ mānāpyaṃ yācate / sacet	praticCannAyAH mUla-apakarza-paryuzitaH zaz-rAtram mAnApyam yAcate / saced-
   saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho yat saṃgha udāyino bhikṣor	saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH yat saMGaH udAyinaH BikzoH-
   asyāḥ saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	asyAH saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ paryuṣitaparivāsasya antarāpatteḥ	arDa-mAsa-praticCannAyAH paryuzita-parivAsasya antarApatteH
   pūrvāpattipratirūpāyāḥ praticchannāyā mūlaparivāsaparyuṣitasya	pUrva-Apatti-pratirUpAyAH praticCannAyAH mUla-parivAsa-paryuzitasya
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyā	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyA
   mūlāpakarṣaparyuṣitasya ṣaḍrātraṃ mānāpyaṃ dadyād ity eṣā jñaptiḥ /	mUla-apakarza-paryuzitasya zaz-rAtram mAnApyam dadyAt iti ezA jQaptiH /
   Pāṇḍ-v § 7.4.5 evaṃ ca karma kartavyam* / śṛṇotu bhadantāḥ saṃghaḥ / ayam	PANx-u § 7.4.5 evam ca karma kartavyam* / SRNotu BadantAH saMGaH / ayam
   udāyī bhikṣuḥ saṃghāvaśeṣām āpattim āpannaḥ	udAyI BikzuH saMGa-a=-aSezAm Apattim ApannaH
   saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / tenānena udāyinā	saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / tena-anena udAyinA
   bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	BikzuNA asyAH saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyāḥ saṃghād ardhamāsaṃ parivāso yācitaḥ / datto 'sya	arDa-mAsa-praticCannAyAH saMGAt arDa-mAsam parivAsaH yAcitaH / dattaH asya
   saṃghena udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	saMGena udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyā ardhamāsaṃ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH arDa-m-Asam
   parivāsaḥ / so 'yaṃ pārivāsika eva san* saṃghāvaśeṣām āpattim āpanno	parivAsaH / saH ayam pArivAsikaH eva san* saMGa-a=-aSezAm Apattim ApannaH-
   'ntarāpattiṃ pūrvāpattipratirūpāṃ praticchannāṃ / tenānenodāyinā bhikṣuṇā	antarApattim pUrva-Apatti-pratirUpAm praticCannAm / tena-anena-udAyinA BikzuNA
   asyāḥ saṃghāvaśeṣāyā āpatter antarāpatteḥ pūrvāpattipratirūpāyāḥ	asyAH saMGa-avaSezAyAH ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH
   praticchannāyāḥ saṃghān mūlaparivāso yācitaḥ / dattaḥ saṃghenāsyodāyino	praticCannAyAH saMGAn mUla-parivAsaH yAcitaH / dattaH saMGena-Asya-udAyinaH-
   bhikṣor asyāḥ saṃghāvaśeṣāyā āpatter antarāpatteḥ pūrvāpattipratirūpāyāḥ	BikzoH asyAH saMGa-avaSezAyAH ApatteH antarApatteH pUrva-Apatti-pratirUpAyAH
   praticchannāyā mūlaparivāsaḥ / so 'yaṃ mūlapārivāsika eva san*	praticCannAyAH mUla-parivAsaH / saH ayam mUla-pArivAsikaH eva san*
   saṃghāvaśeṣām āpattim āpannaḥ pratyantarāpattim antarāpattipratirūpāṃ	saMGO=-aSezAm Apattim ApannaH pratyantara-Apattim antarApatti-pratirUpAm
   praticchannāṃ / tenānena udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	praticCannAm / tena-anena udAyinA BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   pratyantarāpatter antarāpattipratirūpāyāḥ praticchannāyāḥ saṃghān	pratyantara-ApatteH antarApatti-pratirUpAyAH praticCannAyAH saMGAn
   mūlāpakarṣo (299v1 = GBM 911) yācitaḥ / dattaḥ saṃghenāsyodāyino bhikṣor	mUla-apakarzaH (299v1  GBm 911) yAcitaH / dattaH saMGena-Asya-udAyinaH BikzoH-
   asyāḥ saṃghāvaśeṣāyāḥ pratyantarāpatter antarāpattipratirūpāyāḥ	asyAH saMGa-avaSezAyAH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaḥ / so 'yam udāyī bhikṣur asyāḥ saṃghāvaśeṣāyā	praticCannAyAH mUla-apakarzaH / saH ayam udAyI BikzuH asyAH saMGa-avaSezAyA
   āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsa antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsa antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaḥ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitaH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaḥ ṣaḍrātraṃ mānāpyaṃ yācate / tat	praticCannAyAH mUla-apakarza-paryuzitaH zaz-rAtram mAnApyam yAcate / tat-
   saṃgha udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	saMGaH udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsasya antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsasya antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitasya pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitasya pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitasya ṣaḍrātraṃ mānāpyam dadāti / yeṣām	praticCannAyAH mUla-apakarza-paryuzitasya zaz-rAtram mAnApyam dadAti / yezAm
   āyuṣmatāṃ kṣamante udāyino bhikṣor asyāḥ saṃghāvaśeṣāyā āpatteḥ	AyuzmatAm kzamante udAyinaH BikzoH asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsasya antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsasya antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitasya pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitasya pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitasya ṣaḍrātraṃ mānāpyam dātuṃ te tūṣṇīṃ	praticCannAyAH mUla-apakarza-paryuzitasya zaz-rAtram mAnApyam dAtum te tUzNIm
   na kṣamate bhāṣantāṃ / iyaṃ prathamā karmavācanā / evaṃ dvitīyā tṛtīyā	na kzamate BAzantAm / iyam praTamA karma-vAcanA / evam dvitIyA tRtIyA
   karmavācanā vaktavyā // dattaḥ saṃghenodāyino bhikṣor asyāḥ saṃghāvaśeṣāyā	karma-vAcanA vaktavyAH // dattaH saMGena-udAyinaH BikzoH asyAH saMGa-avaSezAyA
   āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsasya antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsasya antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitasya pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitasya pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitasya ṣaḍrātraṃ mānāpyaṃ / kṣāntam	praticCannAyAH mUla-apakarza-paryuzitasya zaz-rAtram mAnApyam / kzAntam
   anujñātaṃ saṃghena yasmāt tūṣṇīm evam etad dhārayāmi Ś // //	anujQAtam saMGena yasmAt tUzNIm evam etat DArayAmi Ś // //
   Pāṇḍ-v § 7.5.1 so 'pareṇa samayena saṃghāvaśeṣāyā āpatteḥ	PANx-u § 7.5.1 saH apareNa samayena saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH
   paryuṣitaparivāsaḥ antarāpatteḥ pūrvāpattipratirūpāyāḥ praticchannāyā	paryuzita-parivAsaH antarApatteH pUrva-Apatti-pratirUpAyAH praticCannAyA
   mūlaparivāsaparyuṣitaḥ pratyantarāpatter antarāpattipratirūpāyāḥ	mUla-parivAsa-paryuzitaH pratyantara-ApatteH antarApatti-pratirUpAyAH
   praticchannāyā mūlāpakarṣaparyuṣitaḥ ṣaḍrātraṃ cīrṇamānāpyo bhikṣūṇām	praticCannAyAH mUla-apakarza-paryuzitaH zaz-rAtram cIrNam-AnApyaH BikzUNAm
   ārocayaty / aham asmy āyuṣmann udāyī bhikṣuḥ saṃghāvaśeṣām āpattim āpannaḥ	Arocayati / aham asmi Ayuzman udAyI BikzuH saMGa-a=-aSezAm Apattim ApannaH
   saṃcintyaśukravisṛṣṭisamutthitām ardhamāsapraticchannāṃ / tena mayā	saMcintya-Sukra-visRzwi-samutTitAm arDa-mAsa-praticCannAm / tena mayA
   udāyinā bhikṣuṇā asyāḥ saṃghāvaśeṣāyā āpatteḥ	udAyinAH BikzuNA asyAH saMGa-avaSezAyAH ApatteH
   saṃcintyaśukravisṛṣṭisamutthitāyā ardhamāsapraticchannāyāḥ saṃghād	saMcintya-Sukra-visRzwi-samutTitAyAH arDa-mAsa-praticCannAyAH saMGAd
   ardhamāsaparivāso yācitaḥ / dattaḥ saṃghena mamodāyino bhikṣor asyāḥ	arDa-mAsa-parivAsaH yAcitaH / dattaH saMGena mama-udAyinaH BikzoH asyAH
   saṃghāvaśeṣāyā āpatteḥ saṃcintyaśukravisṛṣṭisamutthitāyā	saMGa-avaSezAyAH ApatteH saMcintya-Sukra-visRzwi-samutTitAyAH-
   ardhamāsapraticchannāyā ardhamāsaparivāsaḥ / so 'haṃ pārivāsika eva san*	arDa-mAsa-praticCannAyAH arDa-mAsa-parivAsaH / saH aham pArivAsikaH eva san*
