   Kātyāyanasmṛtisāroddhāraḥ	KAtyAyana-smRti-sAra-udDAraH
   abhyantaras tu nikṣepe sākṣyam eko 'pi vācyate /	aByantaraH tu nikzepe sAkzyam ekaH api vAcyate /
   arthinā prahitaḥ sākṣī bhavaty eko 'pi dūtakaḥ // K_353 //	arTinA prahitaH sAkzI Bavati ekaH api dUtakaH // K_353 //
   saṃskṛtaṃ yena yat paṇyaṃ tat tenaiva vibhāvayet /	saMskRtam yena yat paNyam tat tena-eva viBAvayet /
   eka eva pramāṇaṃ sa vivāde tatra kīrtitaḥ // K_354 //	ekaH eva pramANam sa vivAde tatra kIrtitaH // K_354 //
   lekhakaḥ prāṅvivākaś ca sabhyāś caivānupūrvaśaḥ /	leKakaH prAFvivAkaH ca saByAH ca-eva-anupUrvaSas /
   nṛpe paśyati yat kāryaṃ sākṣiṇaḥ samudāhṛtāḥ // K_355 //	nRpe paSyati yat kAryam sAkziNaH samudAhRtAH // K_355 //
   anye punar anirdiṣṭāḥ sākṣiṇaḥ samudāhṛtāḥ /	anye punar anirdizwAH sAkziNaH samudAhRtAH /
   grāmaś ca prāṅvivākaś ca rājā ca vyavahāriṇām // K_356 //	grAmaH ca prAFvivAkaH ca rAjA ca vyavahAriNAm // K_356 //
   kāryeṣv abhyantaro yaś ca arthinā prahitaś ca yaḥ /	kAryezu aByantaraH yaH ca arTinA prahitaH ca yaH /
   kulyāḥ kulavivādeṣu bhaveyus te 'pi sākṣiṇaḥ // K_357 //	kulyAH kula-vivAdezu BaveyuH te api sAkziNaH // K_357 //
   rikthabhāgavivāde tu saṃdehe samupasthite /	rikTa-BAga-vivAde tu saMdehe samupasTite /
   kulyānāṃ vacanaṃ tatra pramāṇaṃ tadviparyaye // K_358 //	kulyAnAm vacanam tatra pramANam tad-viparyaye // K_358 //
   sākṣiṇāṃ likhitānāṃ tu nirdiṣṭānāṃ ca vādinā /	sAkziNAm liKitAnAm tu nirdizwAnAm ca vAdinA /
   teṣām eko 'nyathāvādī bhedāt sarve na sākṣiṇaḥ // K_359 //	tezAm ekaH anyaTAvAdI BedAt sarve na sAkziNaH // K_359 //
   anyena hi kṛtaḥ sākṣī naivānyastaṃ vivādayet /	anyena hi kRtaH sAkzI na-eva-anyaH-tam vivAdayet /
   tadabhāve niyukto vā bāndhavo vā vivādayet // K_360 //	tad-aBAve niyuktaH vA bAnDavaH vA vivAdayet // K_360 //
   tadvṛttijīvino ye ca tatsevāhitakāriṇaḥ /	tad-vRtti-jIvinaH ye ca tad-sevA-hita-kAriNaH /
   tadbandhusuhṛdo bhṛtyā āptās te tu na sākṣiṇaḥ // K_361 //	tad-banDu-suhRdaH BRtyAH AptAH te tu na sAkziNaH // K_361 //
   mātṛṣvasṛsutāś caiva sodaryāsutamātulāḥ /	mAtRzvasR-sutAH ca-eva sodaryA-suta-mAtulAH /
   ete sanābhayas tūktāḥ sākṣyaṃ teṣu na yojayet // K_362 //	ete sanABayaH tu-uktAH sAkzyam tezu na yojayet // K_362 //
   kulyāḥ saṃbandhinaś caiva vivāhyo bhaginīpatiḥ /	kulyAH saMbanDinaH ca-eva vivAhyaH BaginI-patiH /
   pitā bandhuḥ pitṛvyaś ca śvaśuro guravas tathā // K_363 //	pitA banDuH pitRvyaH ca SvaSuraH guravaH taTA // K_363 //
   nagaragrāmadeśeṣu niyuktā ye padeṣu ca /	nagara-grAma-deSezu niyuktAH ye padezu ca /
   vallabhāś ca na pṛccheyur bhaktās te rājapūruṣāḥ // K_364 //	vallaBAH ca na pRcCeyuH BaktAH te rAja-pUruzAH // K_364 //
   ṛṇādiṣu parīkṣeta sākṣiṇaḥ sthirakarmasu /	RNa-Adizu parIkzeta sAkziNaH sTira-karmasu /
   sāhasātyayike caiva parīkṣā kutracit smṛtā // K_365 //	sAhasa-Atyayike ca-eva parIkzA kutracid smRtA // K_365 //
   vyāghāteṣu nṛpājñāyāḥ saṃgrahe sāhaseṣu ca /	vyAGAtezu nRpa-AjQAyAH saMgrahe sAhasezu ca /
   steyapāruṣyayoś caiva na parīkṣeta sākṣiṇaḥ // K_366 //	steya-pAruzyayoH ca-eva na parIkzeta sAkziNaH // K_366 //
   antarveśmani rātrau ca bahirgrāmāc ca yad bhavet /	antarveSmani rAtrO ca bahis-grAmAt ca yat Bavet /
   eteṣv evābhiyogaś cen na parīkṣeta sākṣiṇaḥ // K_367 //	etezu eva-aBiyogaH ced na parIkzeta sAkziNaH // K_367 //
   na sākṣyaṃ sākṣibhir vācyam apṛṣṭair arthinā sadā /	na sAkzyam sAkziBiH vAcyam apRzwEH arTinA sadA /
   na sākṣyaṃ teṣu vidyeta svayam ātmani yojayet // K_368 //	na sAkzyam tezu vidyeta svayam Atmani yojayet // K_368 //
   lekhyārūḍhaś cottaraś ca sākṣī mārgadvayānvitaḥ // K_369 //	leKya-ArUXaH ca-uttaraH ca sAkzI mArga-dvaya-anvitaH // K_369 //
   atha svahastenārūḍhas tiṣṭhaṃś caikaḥ sa eva tu /	aTa sva-hastena-ArUXaH tizWan ca-ekaH saH eva tu /
   na cet pratyabhijānīyāt tatsvahastaiḥ prasādhayet // K_370 //	na ced pratyaBijAnIyAt tad-sva-hastEH prasADayet // K_370 //
   arthinā svayam ānīto yo lekhye saṃniveśyate /	arTinA svayam AnItaH yaH leKye saMniveSyate /
   sa sākṣī likhito nāma smāritaḥ patrakād ṛte // K_371 //	sa sAkzI liKitaH nAma smAritaH patrakAt Rte // K_371 //
   yas tu kāryaprasiddhyarthaṃ dṛṣṭvā kāryaṃ punaḥ punaḥ /	yaH tu kArya-prasidDi-arTam dRzwvA kAryam punar punar /
   smāryate hy arthinā sākṣī sa smārita ihocyate // K_372 //	smAryate hi arTinA sAkzI sa smAritaH iha-ucyate // K_372 //
   prayojanārtham ānītaḥ prasaṅgād āgataś ca yaḥ /	prayojana-arTam AnItaH prasaFgAt AgataH ca yaH /
   dvau sākṣiṇau tv alikhitau pūrvapakṣasya sādhakau // K_373 //	dvO sAkziNO tu aliKitO pUrva-pakzasya sADakO // K_373 //
   arthinā svārthasiddyarthaṃ pratyarthivacanaṃ sphuṭam /	arTinA sva-arTa-siddI-arTam pratyarTi-vacanam sPuwam /
   yaḥ śrāvitaḥ sthito gūḍho gūḍhasākṣī sa ucyate // K_374 //	yaH SrAvitaH sTitaH gUXaH gUXa-sAkzI saH ucyate // K_374 //
   sākṣiṇām api yaḥ sākṣyam uparyupari bhāṣate /	sAkziNAm api yaH sAkzyam upari-upari BAzate /
   śravaṇāc chrāvaṇād vāpi sa sākṣyuttarasaṃjñitaḥ // K_375 //	SravaNAt SrAvaNAt vA-api sa sAkzI-uttara-saMjQitaH // K_375 //
   ullapyaṃ yasya viśrambhāt kāryaṃ vā viniveditam /	ullapyam yasya viSramBAt kAryam vA viniveditam /
   gūḍhacārī sa vijñeyaḥ kāryam adhyagatas tathā // K_376 //	gUXa-cArI sa vijQeyaH kAryam aDyagataH taTA // K_376 //
   arthī yatra vipannaḥ syāt tatra sākṣī mṛtāntaraḥ /	arTI yatra vipannaH syAt tatra sAkzI mRta-antaraH /
   pratyarthī ca mṛto yatra tatrāpy evaṃ prakalpyate // K_377 //	pratyarTI ca mRtaH yatra tatra-api evam prakalpyate // K_377 //
   [sākṣidoṣodbhāvanam]	[sA-akzi-doza-udBAvanam]
   lekhyadoṣās tu ye kecit sākṣiṇāṃ caiva ye smṛtāḥ /	leKya-dozAH tu ye kecid sAkziNAm ca-eva ye smRtAH /
   vādakāle tu vaktavyāḥ paścād uktān na dūṣayet // K_378 //	vAda-kAle tu vaktavyAH paScAt uktAn na dUzayet // K_378 //
   ukter arthe sākṣiṇo yas tu dūṣayet prāgdūṣitān /	ukteH arTe sAkziNaH yaH tu dUzayet prAk-dUzitAn /
   na ca tatkāraṇaṃ brūyāt prāpnuyāt pūrvasāhasam // K_379 //	na ca tad-kAraNam brUyAt prApnuyAt pUrva-sAhasam // K_379 //
   nātathyena pramāṇaṃ tu doṣeṇaiva tu dūṣayet /	na-ataTyena pramANam tu dozeNa-eva tu dUzayet /
   mithyābhiyoge daṇḍyaḥ syāt sādhyārthāc cāpi hīyate // K_380 //	miTyA-aBiyoge daNxyaH syAt sADya-arTAt ca-api hIyate // K_380 //
   pratyarthinārthinā vāpi sākṣidūṣaṇasādhane /	pratyarTinA-arTinA vA-api sAkzi-dUzaNa-sADane /
   prastutārthopayogitvād vyavahārāntaraṃ na ca // K_381 //	prastuta-arTa-upayogi-tvAt vyavahAra-antaram na ca // K_381 //
   sākṣidoṣāḥ pravaktavyāḥ saṃsadi prativādinā /	sAkzi-dozAH pravaktavyAH saMsadi prativAdinA /
   patre vilikhya tān sarvān vācyaḥ pratyuttaraṃ tataḥ // K_382 //	patre viliKya tAn sarvAn vAcyaH pratyuttaram tatas // K_382 //
   pratipattau tu sākṣitvam arhanti na kadācana /	pratipattO tu sAkzi-tvam arhanti na kadAcana /
   ato 'nyathā bhāvanīyāḥ kriyayā prativādinā // K_383 //	atas anyaTA BAvanIyAH kriyayA prativAdinA // K_383 //
   abhāvayan dhanam dāpyaḥ pratyarthī sākṣiṇaḥ sphuṭam /	aBAvayan Danam dApyaH pratyarTI sAkziNaH sPuwam /
   bhāvitāḥ sākṣiṇaḥ sarve sākṣidharmanirākṛtāḥ // K_384 //	BAvitAH sAkziNaH sarve sAkzi-Darma-nirAkRtAH // K_384 //
   ākāro 'ṅgitaceṣṭābhis tasya bhāvaṃ vibhāvayet /	AkAraH aFgita-cezwABiH tasya BAvam viBAvayet /
   prativādī bhaved dhīnaḥ so 'numānena lakṣyate // K_385 //	prativAdI Bavet DInaH saH anumAnena lakzyate // K_385 //
   kampaḥ svedo 'tha vaikalyam oṣṭhaśoṣābhimarśane /	kampaH svedaH aTa vEkalyam ozWa-Soza-aBimarSane /
   bhūlekhanaṃ sthānahānis tiryagūrdhvanirīkṣaṇam /	BU-leKanam sTAna-hAniH tiryak-UrDva-nirIkzaNam /
   svarabhedaś ca duṣṭasya cihnāny āhur manīṣiṇaḥ // K_386 //	svaraBedaH ca duzwasya cihnAni AhuH manIziNaH // K_386 //
   sabhāntaḥsthais tu vaktavyaṃ sākṣyaṃ nānyatra sākṣibhiḥ /	saBA-antar-sTEH tu vaktavyam sAkzyam na-anyatra sAkziBiH /
   sarvasākṣyeṣv ayaṃ dharmo hy anyatra sthāvareṣu tu // K_387 //	sarva-sAkzyezu ayam DarmaH hi anyatra sTAvarezu tu // K_387 //
   arthipratyarthisāṃnidhye sādhyārthasya ca saṃnidhau /	arTi-pratyarTi-sAMniDye sADya-arTasya ca saMniDO /
   pratyakṣaṃ deśayet sakṣyaṃ parokṣaṃ na kathaṃcana // K_388 //	pratyakzam deSayet sakzyam parokzam na kaTaMcana // K_388 //
   arthasyopari vaktavyaṃ tayor api vinā kvacit /	arTasya-upari vaktavyam tayoH api vinA kvacid /
   catuṣpadeṣv ayaṃ dharmo dvipadasthāvareṣu ca // K_389 //	catuzpadezu ayam DarmaH dvipada-sTAvarezu ca // K_389 //
   taulyagaṇimameyānām abhāve 'pi vivādayet /	tOlya-gaNima-meyAnAm aBAve api vivAdayet /
   kriyākāreṣu sarveṣu sākṣitvaṃ na tato 'nyathā // K_390 //	kriyAkArezu sarvezu sAkzi-tvam na tatas anyaTA // K_390 //
   vadhe cet prāṇināṃ sākṣyaṃ vādayec chivasaṃnidhau /	vaDe ced prANinAm sAkzyam vAdayet Siva-saMniDO /
   tadabhāve tu cihnasya nānyathaiva pravādayet // K_391 //	tad-aBAve tu cihnasya na-anyaTA-eva pravAdayet // K_391 //
   svabhāvoktaṃ vacas teṣāṃ grāhyaṃ yad doṣavarjitam /	svaBAva-uktam vacaH tezAm grAhyam yat doza-varjitam /
   ukte tu sākṣiṇo rājñā na praṣṭavyāḥ punaḥ punaḥ // K_392 //	ukte tu sAkziNaH rAjQA na prazwavyAH punar punar // K_392 //
   svabhāvenaiva yad brūyus tad grāhyaṃ vyāvahārikam /	svaBAvena-eva yat brUyuH tat grAhyam vyAvahArikam /
   ato yad anyad vibrūyur dharmārthaṃ tad apārthakam // K_393 //	atas yat anyat vibrUyuH Darma-arTam tat apArTakam // K_393 //
   samavetais tu yad dṛṣṭaṃ vaktavyaṃ tat tathaiva tu /	samavetEH tu yat dRzwam vaktavyam tat taTA-eva tu /
   vibhinnaikaikakāryaṃ yad vaktavyaṃ tat pṛthak pṛthak // K_394 //	viBinna-eka-eka-kAryam yat vaktavyam tat pRTak pRTak // K_394 //
   bhinnakāle tu yat kāryaṃ vijñātaṃ tatra sākṣibhiḥ /	Binna-kAle tu yat kAryam vijQAtam tatra sAkziBiH /
   ekaikaṃ vādayet tatra bhinnakālaṃ tu tad bhṛguḥ // K_395 //	ekEkam vAdayet tatra Binna-kAlam tu tat BRguH // K_395 //
   ṛṇādiṣu vivādeṣu sthiraprāyeṣu niścitam /	RNa-Adizu vivAdezu sTira-prAyezu niScitam /
   ūne vāpy adhike vārthe prokte sādhyaṃ na sidhyati // K_396 //	Une vA-api aDike vA-arTe prokte sADyam na siDyati // K_396 //
   sādhyārthāṃśe 'pi gadite sākṣibhiḥ sakalaṃ bhavet /	sADya-arTa-aMSe api gadite sAkziBiH sakalam Bavet /
   strīsaṅge sāhase caurye yat sādhyaṃ parikalpitam // K_397 //	strI-saFge sAhase cOrye yat sADyam parikalpitam // K_397 //
   ūnādhikaṃ tu yatra syāt tat sākṣyaṃ tatra varjayet /	Una-aDikam tu yatra syAt tat sAkzyam tatra varjayet /
   sākṣī tatra na daṇḍyaḥ syād abruvan daṇḍam arhati // K_398 //	sAkzI tatra na daNxyaH syAt abruvan daNxam arhati // K_398 //
   deśaṃ kālaṃ dhanaṃ saṃkhyāṃ rūpaṃ jātyākṛtī vayaḥ /	deSam kAlam Danam saMKyAm rUpam jAti-AkRtI vayaH /
   visaṃvaded yatra sākṣye tad anuktaṃ vidur budhāḥ // K_399 //	visaMvadet yatra sAkzye tat anuktam viduH buDAH // K_399 //
   nirdiṣṭeṣv arthajāteṣu sākṣī cet sākṣya āgate /	nirdizwezu arTa-jAtezu sAkzI ced sAkzyaH Agate /
   na brūyād akṣarasamaṃ na tan nigaditaṃ bhavet // K_400 //	na brUyAt akzara-samam na tat nigaditam Bavet // K_400 //
   ūnam abhyadhikaṃ vārthaṃ vibrūyur yatra sākṣiṇaḥ /	Unam aByaDikam vA-arTam vibrUyuH yatra sAkziNaH /
   tad apy ayuktaṃ vijñeyam eṣa sākṣiviniścayaḥ // K_401 //	tat api ayuktam vijQeyam eza sAkzi-viniScayaH // K_401 //
   [sākṣiṇāṃ doṣā daṇḍāś ca]	[sAkziNAm dozAH daNxAH ca]
   apṛṣṭaḥ sarvavacane pṛṣṭasyākathane tathā /	apRzwaH sarva-vacane pRzwasya-akaTane taTA /
   sākṣiṇaḥ saṃniroddhavyā garhyā daṇḍyāś ca dharmataḥ // K_402 //	sAkziNaH saMnirodDavyAH garhyAH daNxyAH ca DarmataH // K_402 //
   vākpāruṣye chale vāde dapyāḥ syur triśataṃ damam /	vAc-pAruzye Cale vAde dapyAH syuH tri-Satam damam /
   ṛṇādivādeṣu dhanaṃ te syur dāpyā ṛṇaṃ tathā // K_403 //	RNa-Adi-vAdezu Danam te syuH dApyAH RNam taTA // K_403 //
   yaḥ sākṣī naiva nirdiṣṭā nāhūto nāpi darśitaḥ /	yaH sAkzI na-eva nirdizwA na-AhUtaH na-api darSitaH /
   brūyān mithyeti tathyaṃ vā daṇḍyaḥ so 'pi narādhamaḥ // K_404 //	brUyAt miTyA-iti taTyam vA daNxyaH saH api nara-aDamaH // K_404 //
   sākṣī sākṣyaṃ na ced brūyāt samadaṇḍaṃ vahed ṛṇam /	sAkzI sAkzyam na ced brUyAt sama-daNxam vahet RNam /
   ato 'nyeṣu vivādeṣu triśataṃ daṇḍam arhati // K_405 //	atas anyezu vivAdezu tri-Satam daNxam arhati // K_405 //
   uktvānyathā bruvāṇāś ca daṇḍyāḥ syur vākchalānvitāḥ // K_406 //	uktvA-anyaTA bruvANAH ca daNxyAH syuH vAc-Cala-anvitAH // K_406 //
   yena kāryasya lobhena nirdiṣṭāḥ kūṭasākṣiṇaḥ /	yena kAryasya loBena nirdizwAH kUwa-sAkziNaH /
   gṛhītvā tasya sarvasvaṃ kuryān nirviṣayaṃ tataḥ // K_407 //	gRhItvA tasya sarva-svam kuryAt nirvizayam tatas // K_407 //
   yatra vai bhāvitaṃ kāryaṃ sākṣibhir vādinā bhavet /	yatra vE BAvitam kAryam sAkziBiH vAdinA Bavet /
   prativādī yadā tatra bhāvayet kāryam anyathā /	prativAdI yadA tatra BAvayet kAryam anyaTA /
   bahubhiś ca kulīnair vā pūrvāḥ syuḥ kūṭasākṣiṇaḥ // K_408 //	bahuBiH ca kulInEH vA pUrvAH syuH kUwa-sAkziNaH // K_408 //
   yadā śuddhā kriyā nyāyāt tadā tadvākyaśodhanam /	yadA SudDA kriyA nyAyAt tadA tad-vAkya-SoDanam /
   śuddhāc ca vākyād yaḥ śuddhaḥ sa śuddho 'rtha iti sthitiḥ // K_409 //	SudDAt ca vAkyAt yaH SudDaH sa SudDaH arTaH iti sTitiH // K_409 //
   saptāhāt tu pratīyeta yatra sākṣy anṛtaṃ vadet /	sapta-ahAt tu pratIyeta yatra sAkzI anRtam vadet /
   rogo 'gnir jñātimaraṇaṃ dvisaptāhāt trisapta vā /	rogaH agniH jQAti-maraNam dvi-sapta-ahAt tri-sapta vA /
   ṣaṭcatvāriṃśake vāpi dravyajātyādibhedataḥ // K_410 //	zawcatvAriMSake vA-api dravya-jAti-Adi-BedataH // K_410 //
   [divyāni teṣāṃ ca vivādapadaviṣayiṇī vyavasthā]	[divyAni tezAm ca vivAda-pada-vizayiNI vyavasTA]
   na kaścid abhiyoktāraṃ divyeṣu viniyojayet /	na kaScid aBiyoktAram divyezu viniyojayet /
   abhiyuktāya dātavyaṃ divyaṃ divyaviśāradaiḥ // K_411 //	aBiyuktAya dAtavyam divyam divya-viSAradEH // K_411 //
   pārthivaiḥ śaṅkitānāṃ tu tulādīni niyojayet /	pArTivEH SaFkitAnAm tu tulA-AdIni niyojayet /
   ātmaśuddhividhāne ca na śiras tatra kalpayet // K_412 //	Atma-SudDi-viDAne ca na SiraH tatra kalpayet // K_412 //
   lokāpavādaduṣṭānāṃ śaṅkitānāṃ ca dasyubhiḥ /	loka-apavAda-duzwAnAm SaFkitAnAm ca dasyuBiH /
   tulādīni niyojyāni na śiras tatra vai bhṛguḥ // K_413 //	tulA-AdIni niyojyAni na SiraH tatra vE BRguH // K_413 //
   na śaṅkāsu śiraḥ kośe kalpayet tu kadācana /	na SaFkAsu SiraH koSe kalpayet tu kadAcana /
   aśirāṃsi ca divyāni rājabhṛtyeṣu dāpayet // K_414 //	aSirAMsi ca divyAni rAja-BRtyezu dApayet // K_414 //
   śaṅkāviśvāsasaṃdhāne vibhāge rikthināṃ sadā /	SaFkA-viSvAsa-saMDAne viBAge rikTinAm sadA /
   kriyāsamūhakartṛtve kośam eva pradāpayet // K_415 //	kriyA-samUha-kartR-tve koSam eva pradApayet // K_415 //
   dattasyāpahnavo yatra pramāṇaṃ tatra kalpayet /	dattasya-apahnavaH yatra pramANam tatra kalpayet /
   steyasāhasayor divyaṃ svalpe 'py arthe pradāpayet // K_416 //	steya-sAhasayoH divyam su-alpe api arTe pradApayet // K_416 //
   sarvadravyapramāṇaṃ tu jñātvā hema prakalpayet /	sarva-dravya-pramANam tu jQAtvA hema prakalpayet /
   hemapramāṇayuktaṃ tu tadā divyaṃ niyojayet // K_417 //	hema-pramANa-yuktam tu tadA divyam niyojayet // K_417 //
   jñātvā saṃkhyāṃ suvarṇānāṃ śatanāśe viṣaṃ smṛtam /	jQAtvA saMKyAm suvarNAnAm Sata-nASe vizam smRtam /
   aśītes tu vināśe vai dadyāc caiva hutāśanam // K_418 //	aSIteH tu vinASe vE dadyAt ca-eva hutASanam // K_418 //
   ṣaṣṭyā nāśe jalaṃ deyaṃ catvāriṃśati vai ghaṭam /	zazwyA nASe jalam deyam catvAriMSati vE Gawam /
   viṃśaddaśavināśe vai kośapānaṃ vidhīyate // K_419 //	viMSat-daSa-vinASe vE koSa-pAnam viDIyate // K_419 //
   pañcādhikasya vā nāśe tadardhārdhasya tandulāḥ /	paQca-aDikasya vA nASe tad-arDa-arDasya tandulAH /
   tadardhārdhasya nāśe tu spṛśet putrādimastakam // K_420 //	tad-arDa-arDasya nASe tu spRSet putra-Adi-mastakam // K_420 //
   tadardhārdhasya nāśe tu laukikāś ca kriyāḥ smṛtāḥ /	tad-arDa-arDasya nASe tu lOkikAH ca kriyAH smRtAH /
   evaṃ vicārayan rājā dharmārthābhyāṃ na hīyate // K_421 //	evam vicArayan rAjA Darma-arTAByAm na hIyate // K_421 //
   [divyānām arthipratyarthijātiśilpānusāriṇyo vyavasthāḥ]	[divyAnAm arTi-pratyarTi-jAti-Silpa-anusAriNyaH vyavasTAH]
   rājanye 'gniṃ ghaṭaṃ vipre vaiśye toyaṃ niyojayet /	rAjanye agnim Gawam vipre vESye toyam niyojayet /
   sarveṣu sarvadivyaṃ vā viṣaṃ varṃjya dviyottame // K_422 //	sarvezu sarva-divyam vA vizam varMjya dviyottame // K_422 //
   gorakṣakān vāṇijakāṃs tathā kārukuśīlavān /	gorakzakAn vANijakAn taTA kAru-kuSIlavAn /
   preṣyān vārdhuṣikāṃś caiva grāhayec śūdravad dvijān // K_423 //	prezyAn vArDuzikAn ca-eva grAhayet SUdra-vat dvijAn // K_423 //
   na lohaśilpinām agniṃ salilaṃ nāmbusevinām /	na loha-SilpinAm agnim salilam na-ambu-sevinAm /
   mantrayogavidāṃ caiva viṣaṃ dadyāc ca na kvacit /	mantra-yoga-vidAm ca-eva vizam dadyAt ca na kvacid /
   taṇḍulair na niyuñjīta vratinaṃ mukharogiṇam // K_424 //	taNxulEH na niyuQjIta vratinam muKa-rogiNam // K_424 //
   kuṣṭhināṃ varjayed agniṃ salilaṃ śvāsakāsinām /	kuzWinAm varjayet agnim salilam SvAsa-kAsinAm /
   pittaśleṣmavatāṃ nityaṃ viṣaṃ tu parivarjayet // K_425 //	pitta-SlezmavatAm nityam vizam tu parivarjayet // K_425 //
   madyapastrīvyasanināṃ kitavānāṃ tathaiva ca /	madyapa-strI-vyasaninAm kitavAnAm taTA-eva ca /
   kośaḥ prājñair na dātavyo ye ca nāstikavṛttayaḥ // K_426 //	koSaH prAjQEH na dAtavyaH ye ca nAstika-vRttayaH // K_426 //
   mātāpitṛdvijaguru- bālastrīrājaghātinām /	mAtA-pitR-dvija-guru bAla-strI-rAja-GAtinAm /
   mahāpātakayuktānāṃ nāstikānāṃ viśeṣataḥ // K_427 //	mahApAtaka-yuktAnAm nAstikAnAm viSezataH // K_427 //
   liṅgināṃ praśaṭhānāṃ tu mantrayogakriyāvidām /	liFginAm praSaWAnAm tu mantra-yoga-kriyA-avidAm /
   varṇasaṃkarajātānāṃ pāpābhyāsapravartinām // K_428 //	varNa-saMkara-jAtAnAm pApa-aByAsa-pravartinAm // K_428 //
   eteṣv evābhiyogeṣu nindyeṣv eva ca yatnataḥ /	etezu eva-aBiyogezu nindyezu eva ca yatnatas /
   divyaṃ prakalpyen naiva rājā dharmaparāyaṇaḥ // K_429 //	divyam prakalpyet na-eva rAjA Darma-parAyaNaH // K_429 //
   etair eva niyuktānāṃ sādhūnāṃ divyam arhati /	etEH eva niyuktAnAm sADUnAm divyam arhati /
   necchanti sādhavo yatra tatra śodhyāḥ svakair naraiḥ // K_430 //	na-icCanti sADavaH yatra tatra SoDyAH svakEH narEH // K_430 //
   mahāpātakayukteṣu nāstikeṣu viśeṣataḥ /	mahApAtaka-yuktezu nAstikezu viSezataH /
   na deyaṃ teṣu divyaṃ tu pāpābhyāsarateṣu ca // K_431 //	na deyam tezu divyam tu pApa-aByAsa-ratezu ca // K_431 //
   eṣu vādeṣu divyāni pratiṣiddhāni yatnataḥ /	ezu vAdezu divyAni pratizidDAni yatnatas /
   kārayet sajjanais tāni nābhiśastaṃ tyajen manuḥ // K_432 //	kArayet sat-janEH tAni na-aBiSastam tyajet manuH // K_432 //
   aspṛśyādhamadāsānāṃ mlecchānāṃ pāpakāriṇām /	aspRSya-aDama-dAsAnAm mlecCAnAm pApa-kAriNAm /
   prātilomyapasūtānāṃ niścayo na tu rājani /	prAtilomyapasUtAnAm niScayaH na tu rAjani /
   tatprasiddhāni divyāni saṃśaye teṣu nirdiśet // K_433 //	tad-prasidDAni divyAni saMSaye tezu nirdiSet // K_433 //
   [divyadeśāḥ]	[divya-deSAH]
   indrasthāne 'bhiśastānāṃ mahāpātakināṃ nṛṇām /	indra-sTAne aBiSastAnAm mahApAtakinAm nRNAm /
   nṛpadrohe pravṛttānāṃ rājadvāre prayojayet // K_434 //	nRpa-drohe pravRttAnAm rAjadvAre prayojayet // K_434 //
   prātilomyaprasūtānāṃ divyaṃ deyaṃ catuṣpathe /	prAtilomya-prasUtAnAm divyam deyam catuzpaTe /
   ato 'nyeṣu sabhāmadhye divyaṃ deyaṃ vidur budhāḥ // K_435 //	atas anyezu saBA-maDye divyam deyam viduH buDAH // K_435 //
   kāladeśavirodhe tu yathāyuktaṃ prakalpayet /	kAla-deSa-viroDe tu yaTA-yuktam prakalpayet /
   anyena hārayed divyaṃ vidhir eṣa viparyaye // K_436 //	anyena hArayet divyam viDiH eza viparyaye // K_436 //
   adeśakāladattāni bahirvāsakṛtāni ca /	adeSa-kAla-dattAni bahis-vAsa-kRtAni ca /
   vyabhicāraṃ sadārtheṣu kurvantīha na saṃśayaḥ // K_437 //	vyaBicAram sadA-arTezu kurvanti-iha na saMSayaH // K_437 //
   sādhayet tat punaḥ sādhyaṃ vyāghāte sādhanasya hi /	sADayet tat punar sADyam vyAGAte sADanasya hi /
   dattāny api yathoktāni rājā divyāni varjayet /	dattAni api yaTA-uktAni rAjA divyAni varjayet /
   mūrkhair lubdhaiś ca duṣṭaiś ca punar deyāni tāni vai // K_438 //	mUrKEH lubDEH ca duzwEH ca punar deyAni tAni vE // K_438 //
