   Kṣemendra: Kalāvilāsa	Kzema-indra: Kala-AvilAsa
   śrutvaitanmunivacanaṃ dhūmena bilāvalīṃ samāpūrya &	SrutvA-etat-muni-vacanam DUmena bila-AvalIm samApUrya &
   śāpena pūrvadagdhāñjagdhustridaśā mahāmūṣān // 8.27 //	SApena pUrva-dagDAn-jagDuH-tridaSAH mahA-mUzAn // 8.27 //
   ete ta eva mūṣāḥ suvarṇkārāḥ kṣitau punarjātāḥ &	ete te eva mUzAH suvarNkArAH kzitO punar-jAtAH &
   janmābhyāsādaniśaṃ kāñcanacūrṇaṃ nikarṣanti // 8.28 //	janma-aByAsAt-aniSam kAQcana-cUrNam nikarzanti // 8.28 //
   tasmānmahīpatīnāmasaṃbhave garadacoradasyūnām &	tasmAt-mahIpatInAm-asaMBave garada-ca-ura-dasyUnAm &
   ekaḥ suvarṇakāro nigrāhyaḥ sarvathā nityam // 8.29 //	ekaH suvarNakAraH nigrAhyaH sarvaTA nityam // 8.29 //
   sargaḥ 9: nānādhūrtavarṇanam	sargaH 9: nAnA-DUrta-varNanam
   vāñcakamāyā mahatī mahītale jaladhimekhale nikhile &	vAQcaka-mAyA mahatI mahI-tale jalaDi-meKale niKile &
   naṣṭadhiyāṃ matsyānāṃ jālālī dhīvarairvihitā // 9.1 //	nazwa-DiyAm matsyAnAm jAlAlI DIvarEH-vihitAH // 9.1 //
   sarvasvameva paramaṃ prāṇā yeṣāṃ kṛte prayatno'yam &	sarva-svam-eva paramam prANAH yezAm kRte prayatnaH-ayam &
   vaidyā vedyāḥ satataṃ yeṣāṃ haste sthitāste'pi // 9.2 //	vEdyAH vedyAH satatam yezAm haste sTitAH-te-api // 9.2 //
   ete hi dehadāhād virahā iva duḥsahā bhiṣajaḥ &	ete hi deha-dAhAt virahAH iva duHsahAH BizajaH &
   grīṣmadivasā ivogrā bahutṛṣṇaḥ śoṣayanty eva // 9.3 //	grIzma-divasAH iva-ugrAH bahu-tRzNaH Sozayanti eva // 9.3 //
   vividhauṣadhaparivatairyogaiḥ jijñāsayā svavidyāyāḥ &	viviDa-OzaDa-parivatEH-yogEH jijQAsayA sva-vidyAyAH &
   hatvā nṛṇāṃ sahasraṃ paścādvaidyo bhavetsiddhaḥ // 9.4 //	hatvA nRNAm sahasram paScAt-vEdyaH Bavet-sidDaH // 9.4 //
   vinyasya rāśicakraṃ grahacintāṃ nāṭayarmukhavikāraiḥ &	vinyasya rASi-cakram graha-cintAm nAwayarmuKa-vikArEH &
   anuvadati cirārgaṇako yat kiṃcit prāśnikenoktam // 9.5 //	anuvadati cirArgaNakaH yat kiMcid prASnikena-uktam // 9.5 //
   gaṇayati gagane gaṇakaḥ candreṇa samāgamaṃ viśākhāyāḥ &	gaNayati gagane gaNakaH candreNa samAgamam viSAKAyAH &
   vividhabhujaṃgakrīḍāsaktāṃ gṛhiṇīṃ na jānāti // 9.6 //	viviDa-BujaMga-krIxA-saktAm gRhiNIm na jAnAti // 9.6 //
   prathamaṃ svavittamakhilaṃ kanakārthī bhasmasāt kṛtvā &	praTamam sva-vittam-aKilam kanaka-arTI BasmasAt kRtvA &
   paścāt sadhanānrasikān vināśayaty eṣa varṇikānipunaḥ // 9.7 //	paScAt sa-DanAn-rasikAn vinASayati eza varNikA-nipunar // 9.7 //
   śatavedhī siddho me sahasravedhī raso'pi niryātaḥ &	Sata-veDI sidDaH me sahasra-veDI rasaH-api niryAtaH &
   iti vadati dhātuvādī nagno malinaḥ kṛśo rūkṣaḥ // 9.8 //	iti vadati DAtuvAdI nagnaH malinaH kRSaH rUkzaH // 9.8 //
   tāmraghaṭopamaśīrṣo dhūrto hi rasāyanī jarājīrṇaḥ &	tAmra-Gawopama-SIrzaH DUrtaH hi rasAyanI jarA-jIrNaH &
   keśotpādanakathayā khalvāṭāneva muṣṇāti // 9.9 //	keSa-utpAdana-kaTayA Kalu-AwAn-eva muzNAti // 9.9 //
   prahlādanaśucitārakaśambararamaṇījane 'pi baddhāśaḥ &	prahlAdana-Suci-tAraka-Sambara-ramaNI-jane api badDa-ASaH &
   bilvādibhiratikāmī hutvā dhūmāndhatāmeti // 9.10 //	bilvAdiBiH-ati-kAmI hutvA DUma-anDatAma-iti // 9.10 //
   khecaryaḥ sukhasādhyā yatnādyadi labhyate nabhaḥkusumam &	KecaryaH suKa-sADyAH yatnAt-yadi laByate naBaH-kusumam &
   uktāḥ prayogavidbhiḥ maśakāsthiṣu siddhayo bahudhā // 9.11 //	uktAH prayoga-vidBiH maSaka-asTizu sidDayaH bahuDA // 9.11 //
   kṛṣṇāśvaśakṛdvṛtyā paśyati gagane surendrabhavanāni &	kRzNa-aSva-SakRt-vRtyA paSyati gagane sura-indra-BavanAni &
   maṇḍūkavasālipto bhavati pumārvallabho'psarasām // 9.12 //	maNxUka-vasA-liptaH Bavati pumArvallaBaH-apsarasAm // 9.12 //
   ity uktvā punarāśāṃ diśi diśi vilasanti dhūrtasaṃghātāḥ &	iti uktvA punar-ASAm diSi diSi vilasanti DUrta-saMGAtAH &
   yairvividhasiddhilubdhāḥ kṣaiptāḥ śataśo narāḥ śvabhre // 9.13 //	yEH-viviDa-sidDi-lubDAH kzEptAH SataSas narAH SvaBre // 9.13 //
   vaśyākarṣaṇayogī pathi pathi rakṣāṃ dadāti nārīṇām &	vaSya-AkarzaNa-yogI paTi paTi rakzAm dadAti nArINAm &
   ratikāmatantramūlaṃ mūlaṃ mantraṃ na jānāti // 9.14 //	rati-kAma-tantra-mUlam mUlam mantram na jAnAti // 9.14 //
   bahavo rathyāguravo laghudīkṣāḥ svalpayogamutpādya &	bahavaH raTyA-guravaH laGu-dIkzAH su-alpa-yogam-utpAdya &
   vyādhā iva vardhante mugdhānāṃ draviṇadāraharāḥ // 9.15 //	vyADAH iva varDante mugDAnAm draviNa-dAra-harAH // 9.15 //
   hastasthā dhanarekhā vipulatarāsyā patiś ca calacittaḥ &	hasta-sTA Dana-reKA vipulatara-AsyA patiH ca cala-cittaH &
   mṛdnāti kulavadhūnām ity uktvā kamalakomalaṃ pāṇim // 9.16 //	mRdnAti kula-vaDUnAm iti uktvA kamala-komalam pANim // 9.16 //
   baddhe'ṅguṣṭhe salile paśyati vividhaṃ janabhramaṃ kanyā &	badDe-aFguzWe salile paSyati viviDam jana-Bramam kanyA &
   na prāpyate ca coro moho'sāv indrajālasya // 9.17 //	na prApyate ca coraH mohaH-asO indrajAlasya // 9.17 //
   khādati pibati ca dhūrtaḥ pralāpakārī nṛṇāṃ talāghātaiḥ &	KAdati pibati ca DUrtaH pralApa-kArI nRNAm tala-AGAtEH &
   ceṭāveśaṃ kṛtvā nirmantrakṣudradhūpena // 9.18 //	cewAveSam kRtvA nirmantra-kzudra-DUpena // 9.18 //
   kakṣapuṭe nāgārjunalikhitā yuktir vidhīyatāṃ dhūpe &	kakza-puwe nAgArjuna-liKitA yuktiH viDIyatAm DUpe &
   yo hartuṃ mohāditi dhūrto'gnau kṣipati paravittam // 9.19 //	yaH hartum mohAt-iti DUrtaH-agnO kzipati para-vittam // 9.19 //
   yakṣīputrāś corā vijñeyāḥ kūṭadhūpakartāraḥ &	yakzI-putrAH corAH vijQeyAH kUwaDUpa-kartAraH &
   yeṣāṃ pratyakṣaphalaṃ dārirdyaṃ rājabhaṅgaś ca // 9.20 //	yezAm pratyakza-Palam dArirdyam rAja-BaFgaH ca // 9.20 //
   bahutaradhanena vaṇijā putrī sā putravargṛhītaiva &	bahutara-Danena vaNijA putrI sA putra-vargRhItA-eva &
   madadhīneti kathābhiḥ kanyārthaṃ bhujyate dhūrtaḥ // 9.21 //	mad-aDIna-iti kaTABiH kanyA-arTam Bujyate DUrtaH // 9.21 //
   cintyaḥ sveṅitavādī marmajño hṛdayacaura evāsau &	cintyaH sveFita-vAdI marma-jQaH hRdaya-cOraH eva-asO &
   tiṣṭhati paraprayukto mithyābadhiro'thavā mūkaḥ // 9.22 //	tizWati para-prayuktaH miTyA-baDiraH-aTavA mUkaH // 9.22 //
   bhasmasmerā veśyā vṛddhāḥ śramaṇāḥ sadaivatā gaṇikāḥ &	BasmasmerAH veSyAH vRdDAH SramaNAH sa-dEvatAH gaNikAH &
   etāḥ kulanārīṇāṃ caranti dhanaśīlahāriṇyaḥ // 9.23 //	etAH kula-nArINAm caranti Dana-SIla-hAriNyaH // 9.23 //
   vidhavā taruṇī sadhanā vāñcati divyaṃ bhavadvidhaṃ ramaṇam &	viDavA taruNI sa-DanAH vAQcati divyam BavadviDam ramaNam &
   dhūrto jaḍamity uktvā sarvasvaṃ tasya bhakṣayati // 9.24 //	DUrtaH jaxam-iti uktvA sarva-svam tasya Bakzayati // 9.24 //
   pratyahavetanayuktāḥ karmasu ye kāryśilpino dhūrtāḥ &	pratyahavetana-yuktAH karmasu ye kAri-SilpinaH DUrtAH &
   vilasantikarmavighnaiḥ vijñeyāḥ kālacaurāste // 9.25 //	vilasanti-karma-viGnEH vijQeyAH kAla-cOrAH-te // 9.25 //
   akṣavyājairvividhaiḥ gaṇanahastādilāghavair nipuṇāḥ &	akza-vyAjEH-viviDEH gaNana-hasta-Adi-lAGavEH nipuNAH &
   dhūrtāś caranti gūḍhaṃ prasiddhakitavā videśeṣu // 9.26 //	DUrtAH caranti gUXam prasidDakitavAH videSezu // 9.26 //
   bhojanamātrotpattiḥ bahuvyayo dyūtamadyaveśyābhiḥ &	Bojana-mAtra-utpattiH bahu-vyayaH dyUta-madya-veSyABiH &
   vijñeyo gṛhacauro bandhujano veśmadāso vā // 9.27 //	vijQeyaH gRha-cOraH banDu-janaH veSma-dAsaH vA // 9.27 //
   kṛtakaṃ śāstramasatyaṃ sākṣārdṛṣṭaś ca kena paralokaḥ &	kRtakam SAstram-asatyam sAkzArdRzwaH ca kena para-lokaH &
   iti vadati yaḥ sa śaṅkyo niraṅkuśo mattamātaṅgaḥ // 9.28 //	iti vadati yaH sa SaFkyaH niraFkuSaH matta-mAtaFgaH // 9.28 //
   bahulābhalubdhamanasāṃ haranti ye duḥsahena lābhena &	bahu-lABa-lubDa-manasAm haranti ye duHsahena lABena &
   ṛṇadhanamadhikavidagdhā vijñeyā lābhacorāste // 9.29 //	RNa-Danam-aDika-vidagDAH vijQeyAH lABa-corAH-te // 9.29 //
   adhikaraṇāmbudhimadhye jvalanti vaḍavāgnayaḥ satatabhakṣāḥ &	aDikaraNa-ambuDi-maDye jvalanti vaxavAgnayaH satata-BakzAH &
   janadhanaghanamanaso ye bhaṭṭākhyā nyāyacorāste // 9.30 //	jana-Dana-Gana-manasaH ye BawwA-AKyAH nyAya-corAH-te // 9.30 //
   vibhavāmbhoruhamadhupā duḥsahavipadanilavegavimukhā ye &	viBava-amBoruha-maDupAH duHsaha-vipada-nila-vega-vimuKAH ye &
   suhṛdaste sukhacaurāḥ caranti lakṣmīlatāhūtāḥ // 9.31 //	suhRdaH-te suKa-cOrAH caranti lakzmI-latA-AhUtAH // 9.31 //
   yadyat kiṃcirapūrvaṃ paricaritaṃ kalpanādasaṃbaddham &	yat-yat kiMcira-pUrvam paricaritam kalpanAda-saMbadDam &
   varṇayati harṣakārī bahuvacanaḥ karṇacauro'sau // 9.32 //	varNayati harza-kArI bahuvacanaH karNa-cOraH-asO // 9.32 //
   doṣeṣu guṇastutibhiḥ śraddhāmutpādya caturavacanā ye &	dozezu guNa-stutiBiH SradDAm-utpAdya catura-vacanAH ye &
   kurvantyabhinavasṛṣṭiṃ sthiticaurāste nirācārāḥ // 9.33 //	kurvanti-aBinava-sRzwim sTiti-cOrAH-te nirAcArAH // 9.33 //
   ātmaguṇakhyātiparāḥ paraguṇamācchādya vipulayatnena &	Atma-guNa-KyAti-parAH para-guNam-AcCAdya vipula-yatnena &
   prabhavanti paramadhūrtā guṇacaurāste vimūḍhahṛdayeṣu // 9.34 //	praBavanti parama-DUrtAH guNa-cOrAH-te vimUXa-hRdayezu // 9.34 //
   vallabhatāmupayātāḥ paravāllabhyaṃ vicitrapaiśunyaiḥ &	vallaBa-tAm-upayAtAH paravAt-laByam vicitra-pESunyEH &
   ye nāśayanti dhūrtā mātsaryārvṛtticaurāste // 9.35 //	ye nASayanti DUrtAH mAtsaryArvRtti-cOrAH-te // 9.35 //
   śamadamabhaktivihīnas tīvravratadurgrahagrastaḥ &	Sama-dama-Bakti-vihInaH tIvra-vrata-durgraha-grastaH &
   abhibhavati pratipattyā sādhujanaṃ kīrticauro'sau // 9.36 //	aBiBavati pratipattyA sADu-janam kIrti-cOraH-asO // 9.36 //
   deśāntarasaṃbhavibhiḥ bhogavarairvarṇanāramyaiḥ &	deSa-antara-saMBaviBiH Boga-varEH-varNanA-ramyEH &
   ye'pi nayanti videśaṃ paśusadṛśārdeśacaurāste // 9.37 //	ye-api nayanti videSam paSu-sadRSArdeSa-cOrAH-te // 9.37 //
   nānāhāsavikāraiḥ bahuvaidagdhyaiḥ sanamavaicirtyaḥ &	nAnA-hAsa-vikArEH bahu-vEdagDyEH sanama-vEcirtyaH &
   ramayati divasamaśeṣaṃ prakṛtivyāpāracauro' sau // 9.38 //	ramayati divasam-aSezam prakRti-vyApAra-cOraH-a sO // 9.38 //
   bhakṣaitanijabahuvibhavāḥ paravibhavakṣapaṇadīkṣaitāḥ paścāt &	Bakza-eta-nija-bahu-viBavAH para-viBava-kzapaNa-dIkzA-etAH paScAt &
   aniśaṃ veśyāveśastutimukharamukhā viṭāś cintyāḥ // 9.39 //	aniSam veSyA-veSa-stuti-muKara-muKAH viwAH cintyAH // 9.39 //
   atiśucitayā na vittaṃ gṛhṇāti karoti cāgryamadhikāram &	ati-Suci-tayA na vittam gRhNAti karoti ca-agryam-aDikAram &
   yo niyamasalilamatsyaḥ parihāryo niḥspṛhaniyogī // 9.40 //	yaH niyama-salila-matsyaH parihAryaH niHspRha-niyogI // 9.40 //
   rathyāvaṇijaḥ pāpāḥ svayametya gṛheṣu yatprayacchanti &	raTyA-vaNijaH pApAH svayam-etya gRhezu yat-prayacCanti &
   tatsvakarārpitamakhilaṃ bhavati paraṃ kācaśakalamapi // 9.41 //	tad-sva-kara-arpitam-aKilam Bavati param kAca-Sakalam-api // 9.41 //
   chandānuvartino ye śvabhrāpāte'pi sādhuvādaparāḥ &	Canda-anuvartinaH ye SvaBra-ApAte-api sADuvAda-parAH &
   sarvasvahāriṇaste madhurā viṣavdviśantyantaḥ // 9.42 //	sarva-sva-hAriNaH-te maDurAH viza-vdviSanti-antar // 9.42 //
   tava narapatiḥ prasādī guṇagaṇanaparaḥ paraṃ vijane &	tava narapatiH prasAdI guNa-gaNana-paraH param vijane &
   uktveti rājadāsaiḥ sevakalokaḥ sadā muṣitaḥ // 9.43 //	uktvA-iti rAja-dAsEH sevaka-lokaH sadA muzitaH // 9.43 //
   svapne mayābjahastāḷdṛṣṭā śrīstvadgṛhaṃ praviṣṭā sā &	svapne mayA-abja-hastA?-dRzwA SrIH-tvad-gRham pravizwA sA &
   māsopaviṣṭatuṣṭā devī śrīḥ sādarā prāha // 9.44 //	mAsa-upavizwa-tuzwA devI SrIH sAdarA prAha // 9.44 //
   madbhaktaste dāsyati sarvaṃ tattvaṃ mayā labdhaḥ &	mad-BaktaH-te dAsyati sarvam tattvam mayA labDaH &
   ityuktvā saralāṇāṃ vilasanti gṛhe gṛhe dhūrtāḥ // 9.45 //	iti-uktvA saralANAm vilasanti gRhe gRhe DUrtAH // 9.45 //
   puraviplavanagarodayayajñavivāhotsavādijanasaṃghe &	pura-viplava-nagara-udaya-yajQa-vivAha-utsava-Adi-jana-saMGe &
   praviśanti bandhuveṣāḥ pare'pi sarvāpahārāya // 9.46 //	praviSanti banDu-vezAH pare-api sarva-apahArAya // 9.46 //
   parijanapānāvasare pibati na madyaṃ niśāsu jāgarti &	parijana-pAna-avasare pibati na madyam niSAsu jAgarti &
   dhyānaparaḥ sevārthī kimapi ca kartuṃ kṛtodyogaḥ // 9.47 //	DyAna-paraH sevA-arTI kim-api ca kartum kRta-udyogaH // 9.47 //
   na dadāti prativacanaṃ dadāti vā gadgadākṣarairviṣamam &	na dadAti prativacanam dadAti vA gadgada-akzarEH-vizamam &
   naṣṭamukhaḥ socchvāsaḥ pravepate tatkṣaṇaṃ coraḥ // 9.48 //	nazwa-muKaH sa-ucCvAsaH pravepate tad-kzaNam coraH // 9.48 //
   yaścādhikapariśuddhiṃ prārthayate raṭati yaśca sāṭopah &	yaH-ca-aDika-pariSudDim prArTayate rawati yaH-ca sa-Awopam &
   ghorāpahnavakārī śaṅkāyatanaṃ sa pāpaḥ syāt // 9.49 //	Gora-apahnava-kArI SaFkA-Ayatanam sa pApaH syAt // 9.49 //
   pratyakṣe'pi parokṣe kṛtamakṛtaṃ kathitamapyanuktaṃ ca &	pratyakze-api parokze kRtam-akRtam kaTitam-api-anuktam ca &
   yaḥ kurute nirvikṛtiḥ sa paraṃ puṃsāṃ bhayasthānam // 9.50 //	yaH kurute nirvikRtiH sa param puMsAm Baya-sTAnam // 9.50 //
   kṛtakṛtakamugdhabhāvaḥ ṣaṇḍha iva strīsvabhāvasaṃlāpaḥ &	kRta-kRtaka-mugDa-BAvaH zaNXaH iva strI-svaBAva-saMlApaH &
   vicarati yaḥ strīmadhye sa kāmadevo gṛhe dhūrtaḥ // 9.51 //	vicarati yaH strI-maDye sa kAmadevaH gRhe DUrtaH // 9.51 //
   satatamadhomukhadṛṣṭiḥ koṣagṛhe mūṣakaścintyaḥ &	satatam-aDomuKa-dRzwiH koza-gRhe mUzakaH-cintyaH &
   vilikhankoṣaniyuktaḥ koṣagṛhe mūṣakaścintyaḥ // 9.52 //	viliKan-koza-niyuktaH koza-gRhe mUzakaH-cintyaH // 9.52 //
   tiṣṭhati yaḥ sakaladinaṃ gṛhadāsaḥ prītaveśmabhavaneṣu &	tizWati yaH sakala-dinam gRha-dAsaH prIta-veSma-Bavanezu &
   gṛhadīrghakathāḥ kathayansa caraḥ sarvātmanā tyājyaḥ // 9.53 //	gRha-dIrGa-kaTAH kaTayan-sa caraH sarva-AtmanA tyAjyaH // 9.53 //
   nindye bahudaṇḍārhe karmaṇi yaḥ sarvathā pratārayati &	nindye bahu-daNxa-arhe karmaNi yaH sarvaTA pratArayati &
   ājīvabhītibhojyastena nibaddhaḥ sthiro rāśih // 9.54 //	AjIva-BIti-BojyaH-tena nibadDaH sTiraH rASih // 9.54 //
   dṛṣṭvā guhyamaśeṣaṃ tasya rahasyaṃ ca līlayā labdhvā &	dRzwvA guhyam-aSezam tasya rahasyam ca lIlayA labDvA &
   dhūrtena mugdhlokastena śilāpaṭṭake likhitaḥ // 9.55 //	DUrtena mugDlokaH-tena SilA-pawwake liKitaH // 9.55 //
   rājaviruddhaṃ dravyaṃ rūpaṃ vā kūṭalekhyamanyadvā &	rAja-virudDam dravyam rUpam vA kUwa-leKyam-anyat-vA &
   niḥkṣipya yātyalakṣyaṃ dhūrto dhanināṃ vināśāya // 9.56 //	niHkzipya yAti-alakzyam DUrtaH DaninAm vinASAya // 9.56 //
   kṣudraḥ kṣīno'pi gṛhe labdhāsvādaḥ kṛto dhanairyena &	kzudraH kzInaH-api gRhe labDa-AsvAdaH kRtaH DanEH-yena &
   śastraviṣapāśahastaḥ sa pāśahasto dhṛtastena // 9.57 //	Sastra-viza-pASa-hastaH sa pASa-hastaH DRtaH-tena // 9.57 //
   lajjādhanaḥ kulīnaḥ saṃbhāvitaśuddhaśīlamaryādah &	lajjA-DanaH kulInaH saMBAvita-SudDa-SIla-maryAdah &
   nārīkriyate dhūrtaiḥ prāyeṇa sagarbhanārībhiḥ // 9.58 //	nArIkriyate DUrtEH prAyeNa sa-garBa-nArIBiH // 9.58 //
   dṛṣṭābhiradṛṣṭābhiḥ krūrābhiḥ kṛtakavacanamudrābhiḥ &	dRzwABiH-adRzwABiH krUrABiH kRtaka-vacana-mudrABiH &
   dhūrto muṣṇāti vadhūṃ mugdhāṃ viproṣite patyau // 9.59 //	DUrtaH muzNAti vaDUm mugDAm viprozite patyO // 9.59 //
   sajane'pi sādhuveṣā vidhṛtābharaṇāśca helayā dhūrtāḥ &	sa-jane-api sADu-vezAH viDRta-ABaraNAH-ca helayA DUrtAH &
   dhīrā haranti sakalaṃ dṛṣṭe hāso'nyathāḷlābhaḥ // 9.60 //	DIrAH haranti sakalam dRzwe hAsaH-anyaTA-a?lABaH // 9.60 //
   deśe kṛtvā sphīte kumbhadhano ḍambarairgṛhaṃ pūrṇam &	deSe kRtvA sPIte kumBa-DanaH xambarEH-gRham pUrNam &
   niḥkṣepalakṣahārī varṣeṇa palāyate dhūrtaḥ // 9.61 //	niHkzepa-lakza-hArI varzeNa palAyate DUrtaH // 9.61 //
   śucitarakanakavibhūṣaṇatanuvastrāḥ saṃbhrameṇa pūjyante &	Sucitara-kanaka-viBUzaNa-tanu-vastrAH saMBrameNa pUjyante &
   ripubhagnarājaputravyājena gṛhe gṛhe dhūrtāḥ // 9.62 //	ripu-Bagna-rAja-putra-vyAjena gRhe gRhe DUrtAH // 9.62 //
   ādāya devavṛṣabhaṃ puṇyaṃ chāgaṃ dhūrtavikrītaṃ &	AdAya deva-vRzaBam puNyam CAgam DUrta-vikrItam &
   mugdhasya duḥkhapākaḥ samarghalābhodito harṣaḥ // 9.63 //	mugDasya duHKa-pAkaH samarGa-lABa-uditaH harzaH // 9.63 //
   sādhikṣepatyāgo mahatāṃ saṃpatsu yaḥ kṛtāsūyaḥ &	sa-aDikzepa-tyAgaH mahatAm saMpatsu yaH kRta-asUyaH &
   tasmai bhayena vittaṃ rikto 'pi dadāti yatnena // 9.64 //	tasmE Bayena vittam riktaH api dadAti yatnena // 9.64 //
   niḥsārabhūrjasāraiḥ kṛtvā yuktaṃ mahāsārtham &	niHsAra-BUrja-sArEH kRtvA yuktam mahA-sArTam &
   dhūrto diśi diśi viṃcarandhanikasahasrāṇi muṣṇāti // 9.65 //	DUrtaH diSi diSi viMcaran-Danika-sahasrANi muzNAti // 9.65 //
   dhūrto vasanvideśeṣūddiśya surāpagāgayāyātrām &	DUrtaH vasan-videSezu-uddiSya surApagAgayAyAtrAm &
   mṛtabandhūnāmārthe draviṇaṃ gṛhṇāti mugdhebhyaḥ // 9.66 //	mRta-banDU-nAma-arTe draviNam gRhNAti mugDeByaH // 9.66 //
   muṣṇāti sārtharamaṇī śāṭīmādāya nidrayā mugdhān &	muzNAti sArTa-ramaNI SAwIm-AdAya nidrayA mugDAn &
   dhūrtena kūṭarūpaṃ dattvā niśi vañcyate sāpi // 9.67 //	DUrtena kUwa-rUpam dattvA niSi vaQcyate sA-api // 9.67 //
   badhiraṃ vāḷmūkaṃ vāḷvaṇijaṃ niḥkṣipya bhāṇḍaśālāyām &	baDiram vA?mUkam vA?vaNijam niHkzipya BANxa-SAlAyAm &
   dhūrto nayati tvarayā bahumūlyaṃ varṇakadravyam // 9.68 //	DUrtaH nayati tvarayA bahu-mUlyam varNaka-dravyam // 9.68 //
   kiṃcitparicayamātraiḥ kiṃciddhārṣṭyaiḥ sakalpanaiḥ kiṃcit &	kiMcid-paricaya-mAtrEH kiMcid-hArzwyEH sa-kalpanEH kiMcid &
   kiṃcidvivādakalahaiḥ sarvajño vañcakaś carati // 9.69 //	kiMcid-vivAda-kalahEH sarvajQaH vaQcakaH carati // 9.69 //
   mithyāḍambaradhanikaḥ pustakavidvānkathājñānī &	miTyA-Axambara-DanikaH pustaka-vidvAn-kaTA-jQAnI &
   varṇanaśūraścapalaḥ caturmukho jṛmbhate dhūrtaḥ // 9.70 //	varNana-SUraH-capalaH caturmuKaH jRmBate DUrtaH // 9.70 //
   sarvāvayavavidhūnanakṛtasaṃketān visṛjya geheṣu &	sarva-avayava-viDUnana-kRta-saMketAn visRjya gehezu &
   bhoktuṃ vrajati digantānsvecchācārī mahādhūrtaḥ // 9.71 //	Boktum vrajati diS-antAn-svecCA-cArI mahADUrtaH // 9.71 //
   śatavārṣikamāmalakaṃ bhuktvā śrīparvatādahaṃ prāptaḥ &	Sata-vArzikam-Amalakam BuktvA SrIparvatAt-aham prAptaH &
   dhūrto vadati gurūṇāṃ purataḥ śakunaṃ smarāmīti // 9.72 //	DUrtaH vadati gurUNAm puratas Sakunam smarAmi-iti // 9.72 //
   etā leśena mayā kathitā māyāścatuḥṣaṣṭiḥ &	etAH leSena mayA kaTitAH mAyAH-catuHzazwiH &
   ko veda vañcakānāṃ māyānāṃ śatasahasrāṇi // 9.73 //	kaH veda vaQcakAnAm mAyAnAm Sata-sahasrANi // 9.73 //
   iti mahākaviśrīkṣemendraviracite kalāvilāse nānādhūrtavarṇanaṃ nāma	iti mahAkavi-SrIkzema-indra-viracite kalA-vilAse nAnADUrtavarNanam nAma
   navamaḥ	navamaH
   sargaḥ	sargaH
   sargaḥ 10	sargaH 10
   etā vañcakamāyā vijñeyā na tu punaḥ svayaṃ sevyāḥ &	etAH vaQcaka-mAyAH vijQeyAH na tu punar svayam sevyAH &
   dharmyaḥ kalākalāpo viduṣāmayam īpsito bhūtyaiḥ // 10.1 //	DarmyaH kalA-kalApaH viduzA-mayam IpsitaH BUtyEH // 10.1 //
   dharmasya kalā jyeṣṭhā bhūtadayākhyā paropakāraśca &	Darmasya kalA jyezWA BUta-dayA-AKyA para-upakAraH-ca &
   dānaṃ kṣamānasūyā satyamalobhaḥ prasādaśca // 10.2 //	dAnam kzamA-anasUyA satyam-aloBaH prasAdaH-ca // 10.2 //
   arthasya sadotthānaṃ niyamaparīpālanaṃ kriyājñānam &	arTasya sadA-utTAnam niyama-parIpAlanam kriyA-jQAnam &
   sthānatyāgaḥ paṭutānudvegaḥ strīṣvaviśvāsaḥ // 10.3 //	sTAna-tyAgaH pawu-tAn-udvegaH strIzu-aviSvAsaH // 10.3 //
   kāmasya veṣaśobhā peśalatā cārutā guṇotkarṣaḥ &	kAmasya veza-SoBA peSalatA cAru-tA guNa-utkarzaH &
   nānāvidhāśca līlāścittajñānaṃ ca kāntānām // 10.4 //	nAnAviDAH-ca lIlAH-citta-jQAnam ca kAntAnAm // 10.4 //
   mokṣasya vivekaratiḥ praśamastṛṣṇākṣayaśca saṃtoṣaḥ &	mokzasya viveka-ratiH praSamaH-tRzNA-kzayaH-ca saMtozaH &
   saṅgatyāgaḥ svalayasthānaṃ pramaprakāśaśca // 10.5 //	saFga-tyAgaH svalaya-sTAnam prama-prakASaH-ca // 10.5 //
   etāścatuṣṭayakalā dvātriṃśatkramadhṛtāḥ samastā vā &	etAH-catuzwaya-kalAH dvAtriMSat-krama-DRtAH samastAH vA &
   saṃsāravañcakānāṃ vidyā vidyāvatāmeva // 10.6 //	saMsAra-vaQcakAnAm vidyA vidyAvatAm-eva // 10.6 //
   mātsaryasya tyāgaḥ priyavāditvaṃ sadhairyamakrodhaḥ &	mAtsaryasya tyAgaH priya-vAdi-tvam sa-DEryam-a-kroDaH &
   vairāgyaṃ ca parārthe sukhasya siddhāḥ kalāḥ pañca // 10.7 //	vErAgyam ca para-arTe suKasya sidDAH kalAH paQca // 10.7 //
   satsaṅgaḥ kāmajayaḥ śaucaṃ gurusaṃvena sadācāraḥ &	sat-saFgaH kAma-jayaH SOcam guru-saMvena sat-AcAraH &
   śrutamamalaṃ yaśasi ratirmūlakalāḥ sapta śīlasya // 10.8 //	Srutam-amalam yaSasi ratiH-mUla-kalAH sapta SIlasya // 10.8 //
   tejaḥ sattvaṃ buddhir vyavasāyo nītiriṅgitajñānam &	tejaH sattvam budDiH vyavasAyaH nItiH-iFgita-jQAnam &
   prāgalbhyaṃ susahāyaḥ kṛtajñatā mantrarakṣaṇaṃ tyāgaḥ // 10.9 //	prAgalByam su-sahAyaH kRtajQa-tA mantra-rakzaNam tyAgaH // 10.9 //
