   akārayat kārayitavyadakṣā Ks_7.27c	akArayat kArayitavya-dakzA KH-_7.27c
   tasmai śaśaṃsa praṇipatya nandī Ks_3.60a	tasmE SaSaMsa praNipatya nandI KH-_3.60a
   tasmai himādreḥ prayatāṃ tanūjāṃ Ks_3.16a	tasmE himAdreH prayatAm tanUjAm KH-_3.16a
   tasya jātu malayasthalīrate Ks_8.25a	tasya jAtu malaya-sTalI-rate KH-_8.25a
   tasya tac chiduramekhalāguṇaṃ Ks_8.83c	tasya tat Cidura-meKalA-guNam KH-_8.83c
   tasya paśyati lalāṭalocane Ks_8.7c	tasya paSyati lalAwa-locane Ks_8.7c
   tasyātmā śitikaṇṭhasya Ks_2.61a	tasya-AtmA SitikaNWasya KH-_2.61a
   tasyānumene bhagavān vimanyur Ks_7.93a	tasya-anumene BagavAn vimanyuH KH-_7.93a
   tasyāḥ kapole parabhāgalābhād Ks_7.17c	tasyAH kapole para-BAga-lABAt KH-_7.17c
   tasyāḥ karaṃ śailagurūpanītaṃ Ks_7.76a	tasyAH karam SEla-guru-upanItam KH-_7.76a
   tasyāḥ kṛtī kṛtyam aśeṣayitvā Ks_7.29b	tasyAH kRtI kRtyam aSezayitvA KH-_7.29b
   tasyāḥ praviṣṭā natanābhirandhraṃ Ks_1.38a	tasyAH pravizwAH nata-nABi-ranDram KH-_1.38a
   tasyāḥ śarīre pratikarma cakrur Ks_7.6c	tasyAH SarIre pratikarma cakruH KH-_7.6c
   tasyāḥ śalākāñjananirmiteva Ks_1.47a	tasyAH SalAka-aQjana-nirmitA-iva KH-_1.47a
   tasyāḥ sakhībhyāṃ praṇipātapūrvaṃ Ks_3.61a	tasyAH saKIByAm praNipAta-pUrvam KH-_3.61a
   tasyāḥ sujātotpalapatrakānte Ks_7.20a	tasyAH sujAta-utpala-patra-kAnte KH-_7.20a
   tasyopakaṇṭhe ghananīlakaṇṭḥaḥ Ks_7.51a	tasya-upakaNWe Gana-nIlakaNwHaH KH-_7.51a
   tasyopāyanayogyāni Ks_2.37a	tasya-upAyana-yogyAni KH-_2.37a
   taṃ kalābhir niṣevate Ks_2.34b	tam kalABiH nizevate KH-_2.34b
   taṃ keśapāśaṃ prasamīkṣya kuryur Ks_1.48c	tam keSa-pASam prasamIkzya kuryuH KH-_1.48c
   taṃ deśam āropitapuṣpacāpe Ks_3.35a	tam deSam Aropita-puzpa-cApe KH-_3.35a
   taṃ mātaro devam anuvrajantyaḥ Ks_7.38a	tam mAtaraH devam anuvrajantyaH KH-_7.38a
   taṃ muhur dūtahāritaiḥ Ks_2.39b	tam muhur dUta-hAritEH KH-_2.39b
   taṃ yathātmasadṛśaṃ varaṃ vadhūr Ks_8.16a	tam yaTA-Atma-sadRSam varam vaDUH KH-_8.16a
   taṃ lokapālāḥ puruhūtamukhyāḥ Ks_7.45a	tam lokapAlAH puruhUta-muKyAH KH-_7.45a
   taṃ vīkṣya vepathumatī sarasāṅgayaṣṭir Ks_5.85a	tam vIkzya vepaTumatI sa-rasa-aFga-yazwiH KH-_5.85a
   tānapradāyitvam ivopagantum Ks_1.8d	tAn-apradAyi-tvam iva-upagantum KH-_1.8d
   tān arghyān arghyam ādāya Ks_6.50a	tAn arGyAn arGyam AdAya KH-_6.50a
   tāpanīyam iva setubandhanam Ks_8.34d	tApanIyam iva setu-banDanam KH-_8.34d
   tām agauravabhedena Ks_6.12a	tAm agOrava-Bedena KH-_6.12a
   tām apāyayata pānam ambikām Ks_8.77d	tAm apAyayata pAnam ambikAm KH-_8.77d
   tām arcitābhyaḥ kuladevatābhyaḥ Ks_7.27a	tAm arcitAByaH kula-devatAByaH KH-_7.27a
   tām asmadarthe yuṣmābhir Ks_6.29a	tAm asmad-arTe yuzmABiH KH-_6.29a
   tām imāṃ timiravṛddhipīḍitāṃ Ks_8.53a	tAm imAm timira-vRdDi-pIxitAm KH-_8.53a
   tāmrauṣṭhaparyastarucaḥ smitasya Ks_1.44d	tAmra-ozWa-paryasta-rucaH smitasya KH-_1.44d
   tārakākhyo mahāsuraḥ Ks_2.32b	tAraka-AKyaH mahA-asuraH KH-_2.32b
   tārakeṇa divaukasaḥ Ks_2.1b	tArakeNa divOkasaH KH-_2.1b
   tālavṛntānilādhikam Ks_2.35d	tAlavRnta-anila-aDikam KH-_2.35d
   tāvat patākākulam indumaulir Ks_7.63a	tAvat patAkA-Akulam indumOliH KH-_7.63a
   tāvat sa vahnir bhavanetrajanmā Ks_3.72c	tAvat sa vahniH Bava-netra-janmA KH-_3.72c
   tāvad varasyāpi kuberaśaile Ks_7.30a	tAvat varasya-api kuberaSEle KH-_7.30a
   tāv etya paścāṭ kanakāsanasthau Ks_7.88b	tO etya paScAw kanaka-Asana-sTO KH-_7.88b
   tāv eva pitarau smṛtau Ks_2.7d	tO eva pitarO smRtO KH-_2.7d
   tāsāṃ ca paścāt kanakaprabhāṇāṃ Ks_7.39a	tAsAm ca paScAt kanaka-praBANAm KH-_7.39a
   tāsāṃ tvaṃ prabhavo girām Ks_2.12d	tAsAm tvam praBavaH girAm KH-_2.12d
   tāsāṃ mukhair āsavagandhagarbhair Ks_7.62a	tAsAm muKEH Asava-ganDa-garBEH KH-_7.62a
   tāṃ kārayām āsa vadhūṃ purodhās Ks_7.80c	tAm kArayAm Asa vaDUm puroDAH KH-_7.80c
   tāṃ janmane śailavadhūṃ prapede Ks_1.21d	tAm janmane SEla-vaDUm prapede KH-_1.21d
   tāṃ nāradaḥ kāmacaraḥ kadā cit Ks_1.50a	tAm nAradaH kAmacaraH kadA cit Ks_1.50a
   tāṃ pārvatīty ābhijanena nāmnā Ks_1.26a	tAm pArvatI-iti ABijanena nAmnA KH-_1.26a
   tāṃ pulomatanayālakocitaiḥ Ks_8.27a	tAm pulomatanaya-alaka-ucitEH KH-_8.27a
   tāṃ praṇāmādarasrasta- Ks_6.91a	tAm praNAma-Adarasrasta KH-_6.91a
   tāṃ prāṅmukhīṃ tatra niveśya tanvīṃ Ks_7.13a	tAm prAFmuKIm tatra niveSya tanvIm KH-_7.13a
   tāṃ lodhrakalkena hṛtāṅgatailām Ks_7.9a	tAm loDra-kalkena hRta-aFga-tElAm KH-_7.9a
   tāṃ vilambitapanīyamekhalām Ks_8.81a	tAm vilambi-tapanIya-meKalAm KH-_8.81a
   tāṃ vilokya jananī samāśvasat Ks_8.12b	tAm vilokya jananI samASvasat KH-_8.12b
   tāṃ vīkṣya līlācaturām anaṅgaḥ Ks_1.47c	tAm vIkzya lIlA-caturAm anaFgaH KH-_1.47c
   tāṃ vīkṣya sarvāvayavānavadyāṃ Ks_3.57a	tAm vIkzya sarva-avayava-anavadyAm KH-_3.57a
   tāṃ haṃsamālāḥ śaradīva gaṅgāṃ Ks_1.30a	tAm haMsa-mAlAH Saradi-iva gaFgAm KH-_1.30a
   tithau ca jāmitraguṇānvitāyām Ks_7.1b	tiTO ca jAmitra-guNa-anvitAyAm KH-_7.1b
   tiraskariṇyo jaladā bhavanti Ks_1.14d	tiraskariNyaH jaladAH Bavanti KH-_1.14d
   tiryag ūrdhvam adhastāc ca Ks_6.71a	tiryak UrDvam aDastAt ca KH-_6.71a
   tisṛbhis tvam avasthābhir Ks_2.6a	tisRBiH tvam avasTABiH KH-_2.6a
   tīvrābhiṣaṅgaprabhaveṇa vṛttim Ks_3.73a	tIvra-aBizaFga-praBaveNa vRttim KH-_3.73a
   turāsāhaṃ purodhāya Ks_2.1c	turAsAham puroDAya Ks_2.1c
   tulāṃ yad ārohati dantavāsasā Ks_5.34d	tulAm yat Arohati dantavAsasA KH-_5.34d
   tuṣāravṛṣṭikṣatapadmasaṃpadāṃ Ks_5.27c	tuzAra-vRzwi-kzata-padma-saMpadAm Ks_5.27c
   tuṣārasaṃghātaśilātaleṣv api Ks_5.55d	tuzAra-saMGAta-SilA-talezu api KH-_5.55d
   tuṣārasaṃghātaśilāḥ khurāgraiḥ Ks_1.56a	tuzAra-saMGAta-SilAH Kura-agrEH KH-_1.56a
   te cākāśam asiśyāmam Ks_6.36a	te ca-AkASam asi-SyAmam KH-_6.36a
   tejasi vyavahite sumeruṇā Ks_8.55b	tejasi vyavahite sumeruNA KH-_8.55b
   tejaso mahata īdṛśī gatiḥ Ks_8.43b	tejasaH mahataH IdRSI gatiH KH-_8.43b
   te tryahād ūrdhvam ākhyāya Ks_6.93c	te tri-ahAt UrDvam AKyAya Ks_6.93c
   tena tatparigṛhītavakṣasā Ks_8.84c	tena tad-parigRhIta-vakzasA KH-_8.84c
   tena bhaṅgiviṣamottaracchadaṃ Ks_8.89a	tena BaFgi-vizama-uttaracCadam Ks_8.89a
   tena mānini mamātra gauravam Ks_8.52d	tena mAnini mama-atra gOravam KH-_8.52d
   tena yojitasaṃbandhaṃ Ks_6.30c	tena yojita-saMbanDam Ks_6.30c
   tenāmaravadhūhastaiḥ Ks_2.41a	tena-amara-vaDU-hastEH KH-_2.41a
   te 'pi pratiyayur divam Ks_2.62d	te api pratiyayuH divam KH-_2.62d
   te prabhāmaṇḍalair vyoma Ks_6.4a	te praBA-maNxalEH vyoma KH-_6.4a
   te 'bhinandya girer vacaḥ Ks_6.90b	te aBinandya gireH vacaH KH-_6.90b
   teṣām āvir abhūd brahmā Ks_2.2,a	tezAm Avis aBUt brahmA KH-_2.2,a
   teṣāṃ madhyagatā sādhvī Ks_6.11a	tezAm maDya-gatA sADvI KH-_6.11a
   te sadmani girer vegād Ks_6.48a	te sadmani gireH vegAt KH-_6.48a
   te sarve sarvatomukham Ks_2.3b	te sarve sarvatomuKam KH-_2.3b
   te himālayam āmantrya Ks_6.94a	te himAlayam Amantrya KH-_6.94a
   toyāntar bhāskarālīva Ks_6.49c	toya-antar BAskarAlI-iva KH-_6.49c
   tau kṣaṇaṃ śithilitopagūhanau Ks_8.86a	tO kzaNam SiTilita-upagUhanO KH-_8.86a
   tau dampatī triḥ pariṇīya vahnim Ks_7.80a	tO dampatI tris pariNIya vahnim KH-_7.80a
   tau sandhiṣu vyañjitavṛttibhedaṃ Ks_7.91a	tO sanDizu vyaQjita-vRtti-Bedam KH-_7.91a
   tyaktānyakāryāṇi viceṣṭitāni Ks_7.56d	tyakta-anya-kAryANi vicezwitAni KH-_7.56d
   trinetravakṣaḥ sulabhaṃ tavāpi yat Ks_5.69b	trinetra-vakzaH sulaBam tava-api yat KH-_5.69b
   tribhāgaśeṣāsu niśāsu ca kṣaṇam Ks_5.57a	tri-BAga-SezAsu niSAsu ca kzaNam Ks_5.57a
   trimārgayeva tridivasya mārgaḥ Ks_1.28b	tri-mArgayA-iva tridivasya mArgaH KH-_1.28b
   trilokanāthaḥ pitṛsadmagocaraḥ Ks_5.77b	triloka-nATaH pitR-sadma-gocaraH KH-_5.77b
   trilokasaundaryam ivoditaṃ vapuḥ Ks_5.41b	triloka-sOndaryam iva-uditam vapuH KH-_5.41b
   trilocanavadhūr iti Ks_6.89d	trilocana-vaDUH iti KH-_6.89d
   trilocanas tām upacakrame ca Ks_3.66b	trilocanaH tAm upacakrame ca KH-_3.66b
   trivargasāraḥ pratibhāti bhāvini Ks_5.38b	trivarga-sAraH pratiBAti BAvini KH-_5.38b
   trivikramodyatasyāsīt Ks_6.71c	trivikrama-udyatasya-AsIt Ks_6.71c
   trisrotasaḥ kāntim atītya tasthau Ks_7.15d	trisrotasaH kAntim atItya tasTO KH-_7.15d
   trailokyavandyena kṛtapraṇāmaḥ Ks_7.54b	trElokya-vandyena kRta-praNAmaH KH-_7.54b
   tryambakaṃ saṃyaminaṃ dadarśa Ks_3.44d	tryambakam saMyaminam dadarSa KH-_3.44d
   tvaguttarāsaṅgavatīm adhītinīm Ks_5.16b	tvac-uttarAsaFgavatIm aDItinIm KH-_5.16b
   tvatkulodbhūtaye vidhiḥ Ks_6.82d	tvad-kula-udBUtaye viDiH KH-_6.82d
   tvatsaṃbhāvitam ātmānaṃ Ks_6.20a	tvad-saMBAvitam AtmAnam KH-_6.20a
   tvadadhīnaṃ khalu dehināṃ sukham Ks_4.10d	tvad-aDInam Kalu dehinAm suKam KH-_4.10d
   tvadanudhyānasaṃbhavā Ks_6.21b	tvad-anuDyAna-saMBavA KH-_6.21b
   tvad ṛte prāpayituṃ ka īśvaraḥ Ks_4.11d	tvat Rte prApayitum kaH ISvaraH KH-_4.11d
   tvam anaṅgaḥ katham akṣatā ratiḥ Ks_4.9d	tvam anaFgaH kaTam akzatA ratiH KH-_4.9d
   tvam asya lokasya ca netrakaumudī Ks_5.71d	tvam asya lokasya ca netra-kOmudI KH-_5.71d
   tvam eva tāvat paricintaya svayaṃ Ks_5.67a	tvam eva tAvat paricintaya svayam KH-_5.67a
   tvam eva havyaṃ hotā ca Ks_2.15a	tvam eva havyam hotA ca KH-_2.15a
   tvayā manonirviṣayārthakāmayā Ks_5.38c	tvayA manaH-nirvizayA-arTa-kAmayA KH-_5.38c
   tvayaikam īśaṃ prati sādhu bhāṣitam Ks_5.81b	tvayA-ekam ISam prati sADu BAzitam KH-_5.81b
   tvarayer dakṣiṇavātavījanaiḥ Ks_4.36b	tvarayeH dakziNa-vAta-vIjanEH KH-_4.36b
   tvarādviguṇaraṃhasā Ks_2.63d	tvarA-dviguNa-raMhasA KH-_2.63d
   tvaṣṭrā navaṃ nirmitam ātapatram Ks_7.41b	tvazwrA navam nirmitam Atapatram KH-_7.41b
   tvaṃ pitṝṇām api pitā Ks_2.14a	tvam pitLNAm api pitA KH-_2.14a
   tvaṃ mayā priyasakhīsamāgatā Ks_8.59c	tvam mayA priya-saKI-samAgatA KH-_8.59c
   tvaṃ sarvatogāmi ca sādhakaṃ ca Ks_3.12d	tvam sarvatas-gAmi ca sADakam ca KH-_3.12d
   tvām āmananti prakṛtiṃ Ks_2.13a	tvAm Amananti prakRtim KH-_2.13a
   tvām iyaṃ sthitimatīm upasthitā Ks_8.75c	tvAm iyam sTitimatIm upasTitA KH-_8.75c
   tvām eva puruṣaṃ viduḥ Ks_2.13d	tvAm eva puruzam viduH KH-_2.13d
   tvāṃ vinodanipuṇaḥ sakhījano Ks_8.48c	tvAm vinoda-nipuNaH saKI-janaH KH-_8.48c
   dakṣasya kanyā bhavapūrvapatnī Ks_1.21b	dakzasya kanyA Bava-pUrva-patnI KH-_1.21b
   dakṣiṇetarabhujavyapāśrayāṃ Ks_8.29c	dakziNa-itara-Buja-vyapASrayAm KH-_8.29c
   daṇḍenāstamitatviṣā Ks_2.23b	daNxena-astamita-tvizA KH-_2.23b
   dattam avraṇapadaṃ nakhaṃ ca yat Ks_8.9b	dattam avraNa-padam naKam ca yat Ks_8.9b
   dadarśa cakrīkṛtacārucāpaṃ Ks_3.70c	dadarSa cakrIkRta-cAru-cApam Ks_3.70c
   dadṛśe puruṣākṛti kṣitau Ks_4.3c	dadRSe puruza-AkRti kzitO Ks_4.3c
   dadau rasāt paṅkajareṇugandhi Ks_3.37a	dadO rasAt paFkaja-reNu-ganDi KH-_3.37a
   dampatī calitamānasor mayaḥ Ks_8.86b	dampatI calita-mAnasoH mayaH KH-_8.86b
   dayitāsv anavasthitaṃ nṛṇāṃ Ks_4.28c	dayitAsu anavasTitam nRNAm Ks_4.28c
   darīgṛhadvāravilambibimbās Ks_1.14c	darI-gRha-dvAra-vilambi-bimbAH KH-_1.14c
   darīgṛhotsaṅganiṣaktabhāsaḥ Ks_1.10b	darI-gRha-utsaFga-nizakta-BAsaH KH-_1.10b
   darīmukhavisarpiṇā Ks_6.64b	darI-muKa-visarpiNA KH-_6.64b
   darīmukhotthena samīraṇena Ks_1.8b	darImuKa-utTena samIraNena KH-_1.8b
   darpaṇe ca paribhogadarśinī Ks_8.11a	darpaNe ca pariBoga-darSinI KH-_8.11a
   darśanapraṇayinām adṛśyatām Ks_8.90c	darSana-praNayinAm adRSya-tAm Ks_8.90c
   darśanaṃ pratibhāti me Ks_6.54d	darSanam pratiBAti me KH-_6.54d
   daṣṭatāmarasakesarasrajoḥ Ks_8.32a	dazwa-tAmarasa-kesara-srajoH KH-_8.32a
   daṣṭabhaṅgurabisāṅkurā iva Ks_8.35d	dazwa-BaFgura-bisa-aFkurAH iva KH-_8.35d
   daṣṭamuktam adharoṣṭham āmbikā Ks_8.18a	dazwamuktam aDarozWam AmbikA KH-_8.18a
   daṃṣṭriṇo vanavarāhayūthapā Ks_8.35c	daMzwriNaH vana-varAha-yUTapA KH-_8.35c
   dātā me bhūbhṛtāṃ nāthaḥ Ks_6.1c	dAtA me BUBRtAm nATaH Ks_6.1c
   dikṣu dīrghanayane vijṛmbhate Ks_8.55d	dikzu dIrGa-nayane vijRmBate KH-_8.55d
   digambaratvena niveditaṃ vasu Ks_5.72b	digambara-tvena niveditam vasu KH-_5.72b
   dig dakṣiṇā gandhavahaṃ mukhena Ks_3.25c	diS dakziNAH ganDavaham muKena KH-_3.25c
   digdṛkṣavas tām ṛṣayo 'bhyupāgaman Ks_5.16c	digdRkzavaH tAm RzayaH aByupAgaman Ks_5.16c
   digrahasyam iva rātricoditam Ks_8.60d	diS-rahasyam iva rAtri-coditam KH-_8.60d
   digvāraṇamadāvilam Ks_2.44b	digvAraNa-mada-Avilam KH-_2.44b
   diṅnāgamadagandhiṣu Ks_6.5d	diS-nAga-mada-ganDizu KH-_6.5d
   dine dine sā parivardhamānā Ks_1.25a	dine dine sA parivarDamAnA KH-_1.25a
   divaṃ yadi prārthayase vṛthā śramaḥ Ks_5.45a	divam yadi prArTayase vRTA SramaH KH-_5.45a
   divākarād rakṣati yo guhāsu Ks_1.12a	divAkarAt rakzati yaH guhAsu KH-_1.12a
   divākarāpluṣṭavibhūṣaṇāspadām Ks_5.48b	divAkara-Apluzwa-viBUzaNa-AspadAm KH-_5.48b
   divāpi niṣṭhyūtamarīcibhāsā Ks_7.35a	divA-api nizWyUta-marIci-BAsA KH-_7.35a
   diśām upānteṣu sasarja dṛṣṭim Ks_3.69d	diSAm upAntezu sasarja dRzwim KH-_3.69d
   dīrghayā pratimayā saro 'mbhasāṃ Ks_8.34c	dIrGayA pratimayA saraH amBasAm Ks_8.34c
   dīrghikākamalonmeṣo Ks_2.33c	dIrGikA-kamala-unmezaH KH-_2.33c
   dukūlavāsāḥ sa vadhūsamīpaṃ Ks_7.73a	dukUla-vAsAH sa vaDU-samIpam KH-_7.73a
   dunoti nirgandhatayā sma cetaḥ Ks_3.28b	dunoti nirganDa-tayA sma cetaH KH-_3.28b
   durdineṣv abhisārikāḥ Ks_6.43d	durdinezu aBisArikAH KH-_6.43d
   durlabhapratikṛtaṃ vadhūratam Ks_8.8d	durlaBa-pratikRtam vaDU-ratam KH-_8.8d
   duhitaram anukampyām adrir ādāya dorbhyām Ks_3.76b	duhitaram anukampyAm adriH AdAya dorByAm KH-_3.76b
   duhitṛsnehaviklavām Ks_6.92b	duhitR-sneha-viklavAm KH-_6.92b
   dūramagraparimeyaraśminā Ks_8.40a	dUram-agra-parimeya-raSminA KH-_8.40a
   dūram ucchvasitanīvibandhanam Ks_8.4d	dUram ucCvasita-nIvi-banDanam KH-_8.4d
   dūrayaty avanate vivasvati Ks_8.31b	dUrayati avanate vivasvati KH-_8.31b
   dūraṃ puraḥkṣiptaśatahradeva Ks_7.39d	dUram puraHkzipta-SatahradA-iva KH-_7.39d
   dūrāt pratyudyayau giriḥ Ks_6.50b	dUrAt pratyudyayO giriH KH-_6.50b
   dūrvāpravālaiḥ pratibhinnarāgam Ks_7.7b	dUrvA-pravAlEH pratiBinna-rAgam KH-_7.7b
   dūrvāvatā pāṇḍumadhūkadāmnā Ks_7.14d	dUrvAvatA pANxu-maDUka-dAmnA KH-_7.14d
   dṛṣṭaḥ kathaṃ cid gavayair vivignair Ks_1.56c	dRzwaH kaTam cit gavayEH vivignEH KH-_1.56c
   dṛṣṭipradāne kṛtanandisaṃjñās Ks_7.45c	dRzwi-pradAne kRta-nandi-saMjQAH Ks_7.45c
   dṛṣṭiprapātaṃ parihṛtya tasya Ks_3.43a	dRzwi-prapAtam parihRtya tasya KH-_3.43a
   dṛṣṭvā paraṃ jyotir upārarāma Ks_3.58d	dRzwvA param jyotiH upArarAma KH-_3.58d
   devadārubṛhadbhujaḥ Ks_6.51b	devadAru-bRhadBujaH KH-_6.51b
   devānām api devatā Ks_2.14b	devAnAm api devatA KH-_2.14b
   devās tadante haram ūḍhabhāryaṃ Ks_7.92a	devAH tad-ante haram UXa-BAryam KH-_7.92a
   dehabaddham ivendrasya Ks_2.47c	deha-badDam iva-indrasya Ks_2.47c
   dyotayantas tapodhanāḥ Ks_6.4b	dyotayantaH tapoDanAH KH-_6.4b
   drakṣyasi tvam iti saṃdhyayānayā Ks_8.45c	drakzyasi tvam iti saMDyayA-anayA KH-_8.45c
   dravaḥ saṃghātakaṭhinaḥ Ks_2.11a	dravaH saMGAta-kaWinaH KH-_2.11a
   drumeṣu sakhyā kṛtajanmasu svayaṃ Ks_5.60a	drumezu saKyA kRtajanmasu svayam KH-_5.60a
   drumair abhīṣṭaprasavārcitātithi Ks_5.17b	drumEH aBIzwa-prasava-arcita-atiTi KH-_5.17b
   dvandvāni bhāvaṃ kriyayā vivavruḥ Ks_3.35d	dvandvAni BAvam kriyayA vivavruH KH-_3.35d
   dvayaṃ gataṃ saṃprati śocanīyatāṃ Ks_5.71a	dvayam gatam saMprati SocanIya-tAm KH-_5.71a
   dvayenaiva dvijottamāḥ Ks_6.57b	dvayena-eva dvijottamAH KH-_6.57b
   dvaye 'pi nikṣepa ivārpitam dvayam Ks_5.13b	dvaye api nikzepaH iva-arpitam dvayam KH-_5.13b
   dvāre purasyodghaṭitāpidhāne Ks_7.53b	dvAre purasya-udGawita-apiDAne KH-_7.53b
   dvijātibhāvād upapannacāpalaḥ Ks_5.40b	dvijAti-BAvAt upapanna-cApalaH KH-_5.40b
   dvidhā prayuktena ca vāṅmayena Ks_7.90a	dviDA prayuktena ca vAc-mayena KH-_7.90a
   dvir iva pratiśabdena Ks_6.64c	dvis iva pratiSabdena Ks_6.64c
   dvirūpam api me vapuḥ Ks_6.58d	dvi-rUpam api me vapuH KH-_6.58d
   dvirephamālā saviśeṣasaṅgā Ks_1.27d	dvirePa-mAlA sa-viSeza-saFgA KH-_1.27d
   dviṣanti mandāś caritaṃ mahātmanām Ks_5.75d	dvizanti mandAH caritam mahAtmanAm KH-_5.75d
   dvisaṃśrayāṃ prītim avāpa lakṣmīḥ Ks_1.43d	dvi-saMSrayAm prItim avApa lakzmIH KH-_1.43d
   dhanuṣaḥ pelavapuṣpapatriṇaḥ Ks_4.29d	DanuzaH pelava-puzpa-patriNaH KH-_4.29d
   dhanuṣy amoghaṃ samadhatta bāṇam Ks_3.66d	Danuzi amoGam samaDatta bANam KH-_3.66d
   dharmeṇāpi padaṃ śarve Ks_6.14a	DarmeNa-api padam Sarve KH-_6.14a
   dhātāra iti kīrtitāḥ Ks_6.9d	DAtAraH iti kIrtitAH KH-_6.9d
   dhātutāmrādharaḥ prāṃśur Ks_6.51a	DAtu-tAmra-aDaraH prAMSuH KH-_6.51a
   dhātryaṅgulībhiḥ pratisāryamāṇam Ks_7.25c	DAtrI-aFgulIBiH pratisAryamANam Ks_7.25c
   dhāma svāyaṃbhuvaṃ yayuḥ Ks_2.1d	DAma svAyaMBuvam yayuH KH-_2.1d
   dhiṅ mahattvam asatāṃ hṛtāntaram Ks_8.57d	Dik mahat-tvam asatAm hRta-antaram KH-_8.57d
   dhunvan muhuḥ protaghane viṣāṇe Ks_7.49d	Dunvan muhur prota-Gane vizANe KH-_7.49d
   dhuram udvahatā bhuvaḥ Ks_6.30b	Duram udvahatA BuvaH KH-_6.30b
   dhuryair yānam ivādhvani Ks_6.76d	DuryEH yAnam iva-aDvani KH-_6.76d
   dhūtacandanalataḥ priyāklamam Ks_8.25b	DUta-candana-lataH priyA-klamam KH-_8.25b
   dhūpoṣmaṇā tyājitam ārdrabhāvaṃ Ks_7.14a	DUpa-uzmaNA tyAjitam Ardra-BAvam KH-_7.14a
   dhūmaketur ivotthitaḥ Ks_2.32d	DUmaketuH iva-utTitaH KH-_2.32d
   dhṛtaṃ tvayā vārddhakaśobhi valkalam Ks_5.44b	DRtam tvayA vArdDaka-SoBi valkalam KH-_5.44b
   dhairyacyutiṃ ke mama dhanvino 'nye Ks_3.10d	DErya-cyutim ke mama DanvinaH anye KH-_3.10d
   dhautapādāmbhasā ca vaḥ Ks_6.57d	DOta-pAda-amBasA ca vaH KH-_6.57d
   dhyātā dhyeyaṃ ca yat param Ks_2.15d	DyAtA Dyeyam ca yat param KH-_2.15d
   dhyānasaṃbhṛtavibhūtir īśvaraḥ Ks_8.81c	DyAna-saMBRta-viBUtiH ISvaraH KH-_8.81c
   dhyānāspadaṃ bhūtapater viveśa Ks_3.43d	DyAna-Aspadam BUtapateH viveSa KH-_3.43d
   dhriyate kusumaprasādhanaṃ Ks_4.18c	Driyate kusuma-prasADanam Ks_4.18c
   dhruvaṃ citābhasmarajo viśuddhaye Ks_5.79b	Druvam citA-Basma-rajaH viSudDaye KH-_5.79b
   dhruvaṃ vapuḥ kāñcanapadmanirmitaṃ Ks_5.19c	Druvam vapuH kAQcana-padma-nirmitam Ks_5.19c
   dhruveṇa bhartrā dhruvadarśanāya Ks_7.85a	DruveNa BartrA Druva-darSanAya KH-_7.85a
   na kāmavṛttir vacanīyam īkṣate Ks_5.82d	na kAma-vRttiH vacanIyam Ikzate KH-_5.82d
   na kevalaṃ darīsaṃsthaṃ Ks_6.60a	na kevalam darI-saMsTam KH-_6.60a
   na kevalaṃ yo mahato 'pabhāṣate Ks_5.83c	na kevalam yaH mahataH apaBAzate Ks_5.83c
   naktam āpānabhūmiṣu Ks_6.42b	naktam ApAna-BUmizu KH-_6.42b
   naktaṃ darśitasaṃcarāḥ Ks_6.43b	naktam darSita-saMcarAH KH-_6.43b
   nakhakṣatānīva vanasthalīnām Ks_3.29d	naKa-kzatAni-iva vana-sTalInAm KH-_3.29d
   na khalu prema calaṃ suhṛjjane Ks_4.28d	na Kalu prema calam suhRd-jane KH-_4.28d
   na khalūgraruṣā pinākinā Ks_4.24c	na Kalu-ugra-ruzA pinAkinA KH-_4.24c
   nagendraguptaṃ nagaraṃ muhūrtāt Ks_7.50b	naga-indra-guptam nagaram muhUrtAt KH-_7.50b
   na cakṣuṣoḥ kāntiviśeṣabuddhyā Ks_7.20c	na cakzuzoH kAnti-viSeza-budDyA KH-_7.20c
   na ca prarohābhimukho 'pi dṛśyate Ks_5.60c	na ca praroha-aBimuKaH api dRSyate Ks_5.60c
   na ced idaṃ dvandvam ayojayiṣyat Ks_7.66b	na ced idam dvandvam ayojayizyat Ks_7.66b
   na ced rahasyaṃ prativaktum arhasi Ks_5.40d	na ced rahasyam prativaktum arhasi KH-_5.40d
   na jātu bālā labhate sma nirvṛtiṃ Ks_5.55c	na jAtu bAlA laBate sma nirvRtim Ks_5.55c
   na tāvatā labhyam amaṃsta kāṅkṣitam Ks_5.18b	na tAvatA laByam amaMsta kAFkzitam KH-_5.18b
   natāṃsam ākuñcitasavyapādam Ks_3.70b	nata-aMsam AkuQcita-savya-pAdam KH-_3.70b
   na tu suratasukheṣu chinnatṛṣṇo babhūva Ks_8.91c	na tu surata-suKezu Cinna-tRzNaH baBUva KH-_8.91c
   na tv asya siddhau yāsyāmi Ks_2.54c	na tu asya sidDO yAsyAmi KH-_2.54c
   na durvahaśroṇipayodharārtā Ks_1.11c	na durvaha-SroNi-payoDara-ArtA KH-_1.11c
   na dṛśyate tac ca kṛśodari tvayi Ks_5.42d	na dRSyate tat ca kRSa-udari tvayi KH-_5.42d
   na dṛśyate prārthayitavya eva te Ks_5.46c	na dRSyate prArTayitavyaH eva te Ks_5.46c
   na dharmavṛddheṣu vayaḥ samīkṣyate Ks_5.16d	na Darma-vRdDezu vayaH samIkzyate KH-_5.16d
