   EINLEITUNG (nidānam)	EINLEITUNu (nidAnam)
   PrMoSū_Śai.C.7:	PrMA-uSU_ŚE.C.7:
   na vyutkaṇṭhaśaḥ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā 7	na vyutkaNWaSas piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH 7
   PrMoSū_Śai.C.8:	PrMA-uSU_ŚE.C.8:
   nātimahāntam ālopaṃ kariṣyāma iti śikṣā karaṇīyā 8	na-ati-mahAntam Alopam karizyAmaH iti SikzA karaNIyAH 8
   PrMoSū_Śai.C.9:	PrMA-uSU_ŚE.C.9:
   parimaṇḍalam ālopaṃ kariṣyāma iti śikṣā karaṇīyā 9	parimaNxalam Alopam karizyAmaH iti SikzA karaNIyAH 9
   PrMoSū_Śai.C.10:	PrMA-uSU_ŚE.C.10:
   nānāgate ālope mukhadvāraṃ vivariṣyāma iti śikṣā karaṇīyā 10	na-anAgate Alope muKa-dvAram vivarizyAmaH iti SikzA karaNIyAH 10
   PrMoSū_Śai.C.11:	PrMA-uSU_ŚE.C.11:
   na sālopena mukhadvāreṇa vyāhariṣyāma iti śikṣā karaṇīyā 11	na sa-Alopena muKa-dvAreNa vyAharizyAmaH iti SikzA karaNIyAH 11
   PrMoSū_Śai.C.12:	PrMA-uSU_ŚE.C.12:
   na kabaḍacchedakaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā 12	na kabaxa=-Cedakam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH 12
   PrMoSū_Śai.C.13:	PrMA-uSU_ŚE.C.13:
   na śuśukkārakaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā 13	na SuSukkArakam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH 13
   PrMoSū_Śai.C.14:	PrMA-uSU_ŚE.C.14:
   na cucukkārakaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā (1)4	na cucukkArakam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH (1)4
   PrMoSū_Śai.C.15:	PrMA-uSU_ŚE.C.15:
   na phuphukkārakaṃ piṇḍapātaṃ paribhokṣyāma iti śi(kṣā) karaṇī y(ā) 15	na PuPukkArakam piNxapAtam pariBokzyAmaH iti Si(kzA) karaNI y(A) 15
   PrMoSū_Śai.C.16:	PrMA-uSU_ŚE.C.16:
   na gṛṣmahārakaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā (16)	na gRzmahArakam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH (16)
   PrMoSū_Śai.C.17:	PrMA-uSU_ŚE.C.17:
   nojjighranta(ḥ) piṇḍapātaṃ pari(bhokṣyāma iti śikṣā karaṇīyā 17)	na-ujjiGranta(H) piNxa-pAtam pari(BokzyAmaH iti SikzA karaNIyAH 17)
   PrMoSū_Śai.C.18:	PrMA-uSU_ŚE.C.18:
   na jihvāniścārakaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā (1)8	na jihvA-niScArakam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH (1)8
   PrMoSū_Śai.C.19:	PrMA-uSU_ŚE.C.19:
   na hastāvalehakaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā (19)	na hasta-avalehakam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH (19)
   PrMoSū_Śai.C.20:	PrMA-uSU_ŚE.C.20:
   na pātrāvalehakaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā 20	na pAtra-avalehakam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH 20
   PrMoSū_Śai.C.21:	PrMA-uSU_ŚE.C.21:
   na hastāvadhūnakaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā 21	na hasta-avaDUnakam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH 21
   PrMoSū_Śai.C.22:	PrMA-uSU_ŚE.C.22:
   na śistavikiraṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā 22	na Sista-vikiram piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH 22
   PrMoSū_Śai.C.23:	PrMA-uSU_ŚE.C.23:
   na sāmiṣeṇa pāṇinā pānīyasthālakaṃ pratigṛhīṣyāma iti śikṣā karaṇīyā 23	na sa-AmizeNa pANinA pAnIya-sTAlakam pratigRhIzyAmaH iti SikzA karaNIyAH 23
   PrMoSū_Śai.C.24:	PrMA-uSU_ŚE.C.24:
   nātmārtham aglānā odanaṃ vā sūpaṃ vā vijñāpayiṣyāma i(ti śikṣā karaṇīyā)	na-Atma-arTam aglAnAH odanam vA sUpam vA vijQApayizyAmaH i(ti SikzA karaNIyA)
   PrMoSū_Śai.C.25:	PrMA-uSU_ŚE.C.25:
   naudanena sūpaṃ praticchādayiṣyāmo bhūyaskāmatām upādāya iti śikṣā	na-odanena sUpam praticCAdayizyAmaH BUyaskAma-tAm upAdAya iti SikzA
   karaṇī(yā) 25	karaNI(yA) 25
   PrMoSū_Śai.C.26:	PrMA-uSU_ŚE.C.26:
   nāvadhyānaprekṣiṇa anantarikasya pātraṃ vyavalokayiṣyāma (i)ti (śikṣā	na-avaDyAna-prekziNa anantarikasya pAtram vyavalokayizyAma (i)ti (SikzA
   karaṇ)īyā 26	karaN)IyAH 26
   PrMoSū_Śai.C.27:	PrMA-uSU_ŚE.C.27:
   pātrasaṃjñinaḥ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇī(yā 27)	pAtra-saMjQinaH piNxapAtam pariBokzyAmaH iti SikzA karaNI(yA 27)
   PrMoSū_Śai.C.28:	PrMA-uSU_ŚE.C.28:
   sāvadānaṃ piṇḍapātaṃ paribhokṣyāma iti śikṣā karaṇīyā 28	sa-avadAnam piNxapAtam pariBokzyAmaH iti SikzA karaNIyAH 28
   PrMoSū_Śai.C.29:	PrMA-uSU_ŚE.C.29:
   na sāmiṣaṃ pātrodakam antargṛhe chorayiṣyāmo gṛhiṇam anavalokyeti śikṣā	na sa-Amizam pAtra-udakam antargRhe CorayizyAmaH gRhiNam anavalokya-iti SikzA
   karaṇīyā (29) //	karaNIyAH (29) //
   D	D
   PrMoSū_Śai.D.1:	PrMoSU_ŚE.D.1:
   na yānādhirūḍhasyāglānasya dharmaṃ deśayiṣyāma iti śikṣā karaṇīyā 1	na yAna-aDirUXasya-AglAnasya Darmam deSayizyAmaH iti SikzA karaNIyAH 1
   PrMoSū_Śai.D.2:	PrMoSU_ŚE.D.2:
   na purato gacchataḥ pṛṣṭhato 'nugacchanta aglānasya dharmaṃ deśayiṣyāma	na puratas gacCataH pRzWatas anugacCanta aglAnasya Darmam deSayizyAma
   iti śikṣā karaṇīy(ā) 2	iti SikzA karaNIy(A) 2
   PrMoSū_Śai.D.3:	PrMoSU_ŚE.D.3:
   na mārgaṃ gacchato hy amārg(aṃ ga)cchanta aglānasya dharmaṃ deśayiṣyāma	na mArgam gacCataH hi amArg(am ga)cCanta aglAnasya Darmam deSayizyAma
   iti śikṣā karaṇīyā 3	iti SikzA karaNIyAH 3
   PrMoSū_Śai.D.4:	PrMoSU_ŚE.D.4:
   na sthitā niṣaṇṇasyāglānasya dharmaṃ deśayiṣyāma iti śikṣā (kara)ṇīy(ā) 4	na sTitAH nizaNNasya-AglAnasya Darmam deSayizyAmaH iti SikzA (kara)NIy(A) 4
   PrMoSū_Śai.D.5:	PrMoSU_ŚE.D.5:
   na nīcāsan(e) niṣaṇṇā uccāsane niṣaṇṇasyāglānasya dharmaṃ deśayiṣyāma iti	na nIca-Asan(e) nizaNNAH ucca-Asane nizaNNasya-AglAnasya Darmam deSayizyAmaH iti
   śikṣā ka(raṇīyā) 5	SikzA ka(raNIyA) 5
   PrMoSū_Śai.D.6:	PrMoSU_ŚE.D.6:
   na ni(ṣa)ṇṇā nipannasyāglānasya dharmaṃ deśayiṣyā(ma iti śikṣā karaṇīyā 6)	na ni(za)NNA nipannasya-AglAnasya Darmam deSayizyA(me iti SikzA karaNIyAH 6)
   PrMoSū_Śai.D.7:	PrMoSU_ŚE.D.7:
   na veṣ(ṭ)itaśirasa aglānasya dharma(ṃ deśayiṣyāma iti śikṣā karaṇīyā 7)	na vez(w)ita-SirasaH aglAnasya Darma(m deSayizyAmaH iti SikzA karaNIyAH 7)
   PrMoSū_Śai.D.8:	PrMoSU_ŚE.D.8:
   nāvaguṇḍikākṛtasyāglānasy(a dharmaṃ deśayiṣyāma) iti (śikṣā karaṇīyā) 8	na-avaguNxikA-kRtasya-AglAnasy(a Darmam deSayizyAma) iti (SikzA karaNIyA) 8
   PrMoSū_Śai.D.9:	PrMoSU_ŚE.D.9:
   na kaṃbhākṛtasyāglānasya dharmaṃ deśayiṣyāma iti śikṣā karaṇīyā 9	na kaMBAkRtasya-AglAnasya Darmam deSayizyAmaH iti SikzA karaNIyAH 9
   PrMoSū_Śai.D.10:	PrMoSU_ŚE.D.10:
   notkṛṣṭikākṛtasyāglānasya dharmaṃ deśayiṣyāma iti śikṣa karaṇīyā 10	na-utkRzwikA-kRtasya-AglAnasya Darmam deSayizyAmaH iti Sikza karaNIyAH 10
   PrMoSū_Śai.D.11:	PrMoSU_ŚE.D.11:
   nātyastikākṛtasyāglānasya dharmaṃ deśayiṣyāma iti śikṣā karaṇīyā 11	na-atyastika-akRtasya-AglAnasya Darmam deSayizyAmaH iti SikzA karaNIyAH 11
   PrMoSū_Śai.D.12:	PrMoSU_ŚE.D.12:
   na vinyastikākṛtasyāglānasya dharmaṃ deśayiṣyāma iti śikṣā karaṇīyā 12	na vinyastikA-kRtasya-AglAnasya Darmam deSayizyAmaH iti SikzA karaNIyAH 12
   PrMoSū_Śai.D.13:	PrMoSU_ŚE.D.13:
   na vikṣiptikākṛtasyāglānasya dharmaṃ deśayiṣyāma iti śikṣā karaṇīyā 13	na vikziptikA-kRtasya-AglAnasya Darmam deSayizyAmaH iti SikzA karaNIyAH 13
   PrMoSū_Śai.D.14:	PrMoSU_ŚE.D.14:
   na pallatthikākṛtasyāglānasya dharmaṃ deśayiṣyāma iti śikṣā karaṇīyā (14)	na pallatTikA-kRtasya-AglAnasya Darmam deSayizyAmaH iti SikzA karaNIyAH (14)
   PrMoSū_Śai.D.15:	PrMoSU_ŚE.D.15:
   na sopānahakasyāglānasya dharmaṃ deśayiṣyāma iti śikṣā karaṇīyā 15	na sa-upAnahakasya-AglAnasya Darmam deSayizyAmaH iti SikzA karaNIyAH 15
   PrMoSū_Śai.D.16:	PrMoSU_ŚE.D.16:
   na sapādukasyāglānasya dharmaṃ deśayiṣyāma iti śikṣā karaṇīyā (16)	na sa-pAdukasya-AglAnasya Darmam deSayizyAmaH iti SikzA karaNIyAH (16)
   PrMoSū_Śai.D.17:	PrMoSU_ŚE.D.17:
   na daṇḍapāṇer aglānasya dharmaṃ deśayiṣyāma iti (śikṣā kara)ṇīyā (17)	na daNxapANeH aglAnasya Darmam deSayizyAmaH iti (SikzA kara)NIyAH (17)
   PrMoSū_Śai.D.18:	PrMoSU_ŚE.D.18:
   na cchatrapāṇer aglānasya dharmaṃ deśayiṣyāma iti śikṣā karaṇīyā (18)	na cCatra-pANeH aglAnasya Darmam deSayizyAmaH iti SikzA karaNIyAH (18)
   PrMoSū_Śai.D.19:	PrMoSU_ŚE.D.19:
   na śastrapāṇeḥ sarvathā dharmaṃ deśayiṣyāma iti ś(i)kṣā karaṇīy(ā) 19	na Sastra-pANeH sarvaTA Darmam deSayizyAmaH iti S(i)kzA karaNIy(A) 19
   PrMoSū_Śai.D.20:	PrMoSU_ŚE.D.20:
   na khaḍgapā(ṇeḥ sa)rvathā (dha)rmaṃ deśayiṣ(y)ā(ma iti śikṣ)ā karaṇīyā 20	na Kaxga-pA(NeH sa)rvaTAH (Da)rmam deSayiz(y)A(me iti Sikz)A karaNIyAH 20
   PrMoSū_Śai.D.21:	PrMoSU_ŚE.D.21:
   nāyudhapāṇeḥ sarvathā dharma(ṃ) deśayiṣyāma iti śik(ṣ)ā kar(aṇ)īy(ā 21)	na-AyuDa-pANeH sarvaTA Darma-(M) deSayizyAmaH iti Sik(z)A kar(aN)Iy(A 21)
   PrMoSū_Śai.D.22:	PrMoSU_ŚE.D.22:
   n(a) harita uccāraprasrāvaṃ khe(ṭaṃ śiṅghā)ṇakaṃ kariṣyāma iti (śikṣā	n(a) haritaH uccAra-prasrAvam Ke(wam SiFGA)Nakam karizyAmaH iti (SikzA
   karaṇīyā 22)	karaNIyAH 22)
   PrMoSū_Śai.D.23:	PrMoSU_ŚE.D.23:
   na kalpika udake pāribhogīye uccāraprasrāvaṃ kheṭaṃ śiṅghāṇakaṃ kariṣyāma	na kalpikaH udake pAriBogIye uccAra-prasrAvam Kewam SiFGANakam karizyAma
   iti śikṣā kara(ṇīyā 23)	iti SikzA kara(NIyAH 23)
   PrMoSū_Śai.D.24:	PrMoSU_ŚE.D.24:
   na sthi(t)ā aglān(ā) uc(c)āraprasrāvaṃ kariṣyāma iti (śikṣā karaṇīyā 24)	na sTi(t)AH aglAn-(A) uc(c)Ara-prasrAvam karizyAmaH iti (SikzA karaNIyAH 24)
   PrMoSū_Śai.D.25:	PrMoSU_ŚE.D.25:
   na sādhikapauruṣaṃ vṛkṣam ārokṣyāmo 'nyatra praty(ayād it)i śikṣā karaṇīyā	na sADika-pOruzam vRkzam ArokzyAmaH anyatra praty(ayAt it)i SikzA karaNIyA
   uddiṣṭā mayāyuṣmantaḥ saṃbahu(lāḥ śaikṣā) dharmās tatrāham āyuṣmataḥ	uddizwAH mayA-AyuzmantaH saMbahu(lAH SEkzA) DarmAH tatra-aham AyuzmataH
   pṛcchāmi ka(cc)i(t sth)ā(tra) pariśudd(ā dvir api) tr(i)r api pṛcchāmi	pRcCAmi ka(cc)i(t sT)A-A(tra) pariSudd(A dvis api) tr(i)r api pRcCAmi
   kaccit sthātra pariśu(ddhāḥ) pariśu(ddhā atrāy)uṣm(anto yasmāt tūṣṇīm evam	kaccit sTA-atra pariSu(dDAH) pariSu(dDAH atra-Ay)uzm(antaH yasmAt tUzNIm evam
   etad dhārayāmi //)	etat DArayAmi //)
   VIII. adhikaraṇaśamathā dharmāḥ	VIII. aDikaraNa-SamaTAH DarmAH
   (ime punar āyuṣmantaḥ saptādhi)karaṇa(śa)mathā dharmā anvardhamāsaṃ	(ime punar AyuzmantaH sapta-aDi)karaNa(-Sa)maTA DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   PrMoSū_AŚ.1:	PrMA-uSU_AŚ.1:
   saṃm(u)kha(v)inayārhasya saṃmukhavinay(aṃ dāsyāmaḥ 1)	saMm(u)-Ka(v)inayA-arhasya saMmuKa-vinay(am dAsyAmaH 1)
   PrMoSū_AŚ.2:	PrMA-uSU_AŚ.2:
   (smṛti)vinayā(r)hasya (s)mṛti(vinayaṃ dāsyāma)ḥ 2	(smRti)vinaya-A(r)hasya (s)mRti(vinayam dAsyAma)H 2
   PrMoSū_AŚ.3:	PrMA-uSU_AŚ.3:
   amūḍha(v)i(na)yā(rhas)ya amūḍhavinayaṃ dāsyāmaḥ 3	amUXa(-v)i(na)ya-a(rhas)ya amUXa-vinayam dAsyAmaH 3
   PrMoSū_AŚ.4:	PrMA-uSU_AŚ.4:
   pratijñāvinayārhasya pratijñāṃ kāra(yi)ṣyāma(ḥ) 4	pratijQAvinayA-arhasya pratijQAm kAra(yi)zyAma(H) 4
   PrMoSū_AŚ.5:	PrMA-uSU_AŚ.5:
   tatsvabhāvaiṣikārhasya tatsvabhā(vaiṣikāṃ) dāsyāmaḥ 5	tad-svaBAva-Ezika-arhasya tad-svaBA(-vEzikAn) dAsyAmaH 5
   PrMoSū_AŚ.6:	PrMA-uSU_AŚ.6:
   yadbhūyeṣikārhasya yadbhūyeṣikaṃ dāsyāmaḥ 6	yat-BUyezikA-arhasya yat-BUyezikam dAsyAmaH 6
   PrMoSū_AŚ.7:	PrMA-uSU_AŚ.7:
   utpanno(tpannāny adhikaraṇāni) tṛṇaprastārakena vyupaśamayiṣyāmo dharmeṇa	utpanno(t-pannAni aDikaraNAni) tRNa-prastArakena vyupaSamayizyAmaH DarmeNa
   .i... 7 (//)	.i... 7 (//)
   ud(d)iṣṭā mayāyuṣmantaḥ saptādhikaraṇaśamathā dharmās t(atrāham	ud(t-)izwAH mayA-AyuzmantaH sapta-aDika-raNa-SamaTAH DarmAH t(atra-aham
   āyu)ṣmata(ḥ pṛ)cchāmi kaccit sthātra pariśuddhā dvir api tri(r api)	Ayu)zmata(H pR)cCAmi kaccit sTA-atra pariSudDAH dvis api tri(H api)
   pṛcchāmi kaccit sthātra (pariśuddhāḥ pari)śuddhā atrāyuṣmanto yasmāt	pRcCAmi kaccit sTA-atra (pariSudDAH pari)SudDAH atra-AyuzmantaH yasmAt-
   tūṣṇīm evam evāhaṃ dhārayāmi //	tUzNIm evam eva-aham DArayAmi //
   (SCHLUSSTEIL)	(H-CHLUH-STa-eIL)
   I (Prosa)	I (Prosa)
   udd(i)ṣṭ(a)ṃ mayāyuṣmantaḥ prātimokṣasūtrasya / / nidānaṃ uddiṣṭāś	udd(i-)zw(a)m mayA-AyuzmantaH prAtimokza-sUtrasya / / nidAnam uddizwAH-
   catvāraḥ pārājikā dharmā uddiṣṭās trayodaśa saṃghāvaśeṣā dharmā uddiṣṭau	catvAraH pArAjikAH DarmAH uddizwAH trayodaSa saMGa-avaSezAH DarmAH uddizwO
   dvāv aniyatau dharmau uddiṣṭās triṃśa(n n)iḥsargikāḥ pātayantikā dharmā	dvO aniyatO DarmO uddizwAH triMSa(n n)iHsargikAH pAtayantikA DarmA
   uddiṣṭā navati pātayantikā dharmā uddiṣṭāś catvāraḥ prat(i)deśanīyā	uddizwA navati pAtayantikAH DarmAH uddizwAH catvAraH prat(i)deSanIyA
   dha(r)m(ā) u(ddi)ṣṭ(āḥ) saṃbahulā(ḥ) śaikṣā dharmā uddiṣṭāḥ	Da(r)m(A) u(ddi-)zw(AH) saMbahulA(H) SEkzAH DarmAH uddizwAH
   saptādhikaraṇaśamathā dharmāḥ /	sapta-aDika-raNa-SamaTAH DarmAH /
   etāvat tasya bhagavataḥ sūtragataṃ sūtraparyāpannam (a)nvardhamāsaṃ	etAvat tasya BagavataH sUtra-gatam sUtra-paryApannam (a)nu-arDam-Asam
   prātimokṣasūtroddeśam āg(acchati) iti yo (v)ā (pu)nar anyo 'p(y āga)cched	prAtimokza-sUtra-uddeSam Ag(acCati) iti yaH (v)AH (pu)nar anyaH ap(i Aga)cCet-
   dharmasyānudharmas tatra vaḥ sahitaiḥ samagraiḥ saṃmodamānair	Darmasya-anuDarmaH tatra vaH sahitEH samagrEH saMmodamAnEH-
   avivadamānair ekāgr(ai)r ekoddeśair ekakṣīrodakībhūtai(ḥ) sukhaṃ phā(ṣaṃ)	avivadamAnEH ekAgr(E)H eka-uddeSEH eka-kzIra-udakIBUtE(H) suKam PA(zaM)
   v(iha)rtavyam iti śikṣā karaṇīyā //	v(iha)rtavyam iti SikzA karaNIyAH //
   II (Verse)	II (VeH-se)
   PrMoSū_Schluss_V.1:	PrMoSU_SClusH-_V.1:
       kṣānti(ḥ) paramaṃ tapas titīkṣā	kzAnti(H) paramam tapaH titIkzA
         nirvāṇaṃ paramaṃ vadanti buddhāḥ	nirvANam paramam vadanti budDAH
       na hi pravrajita(ḥ pa)ropat(āp)ī	na hi pravrajita(H pa)ropat(A-ap)I
       (ś)ramaṇo bhavati parā(n) viheṭhayānaḥ 1	(S)ramaNaH Bavati parA(n) viheWayAnaH 1
   PrMoSū_Schluss_V.2:	PrMoSU_SClusH-_V.2:
         cakṣuṣmān viṣamānī(va) vidyamāne parākrame	cakzuzmAn vizamAnI(-va) vidyamAne parAkrame
           paṇḍito jīvaloke 'smi(n) pāpāni (parivarjayet 2)	paNxitaH jIva-loke asmi(n) pApAni (parivarjayet 2)
   PrMoSū_Schluss_V.3:	PrMoSU_SClusH-_V.3:
       (nopavā)d(ī) nopaghātī prātimokṣe ca saṃvaraḥ	(nA-upavA)d(I) na-upaGAtI prAtimokze ca saMvaraH
         mātrajñatā ca bhakteṣu prāntaṃ ca śayanāsanam	mAtra-jQa-tA ca Baktezu prAntam ca Sayana-Asanam
       adhicitte samāyoga etad buddhasya ś(āsa)nam 3	aDicitte samAyogaH etat budDasya S(Asa)nam 3
   PrMoSū_Schluss_V.4:	PrMoSU_SClusH-_V.4:
       yath(ā)pi bhramaraḥ puṣpād varṇagandhāv aheṭhayan	yaT(A-a)pi BramaraH puzpAt varNa-ganDO aheWayan
         paraiti rasam ādāya tathā grāmāṃ muniś caret 4	parEti rasam AdAya taTA grAmAm muniH caret 4
   PrMoSū_Schluss_V.5:	PrMoSU_SClusH-_V.5:
       na pareṣāṃ vilomāni na pareṣāṃ kṛtākṛtam	na parezAm vilomAni na parezAm kRta-akRtam
         ātmanas tu samīkṣeta samāni viṣamāni ca 5	AtmanaH tu samIkzeta samAni vizamAni ca 5
   PrMoSū_Schluss_V.6:	PrMoSU_SClusH-_V.6:
       adhicet(a)s(i) mā p(ra)madyata pratataṃ maunapadeṣu śikṣata	aDicet(a)s(i) mA p(ra)madyata pratatam mOna-padezu Sikzata
         śokā na bhavanti tāyino hy upaśāntasya sadā smṛtātmanaḥ 6	SokAH na Bavanti tAyinaH hi upaSAntasya sadA smRta-AtmanaH 6
   PrMoSū_Schluss_V.7:	PrMoSU_SClusH-_V.7:
       sarvapāpasyākaraṇaṃ kuśalasyopasaṃpadaḥ	sarva-pApasya-akaraNam kuSalasya-upasaMpadaH
         svacittaparyavadanam etad buddhasya śāsanaṃ 7	sva-citta-parya-vadanam etat budDasya SAsanam 7
   PrMoSū_Schluss_V.8:	PrMoSU_SClusH-_V.8:
       kāyena saṃvaraḥ sādhu sādhu vācā ca saṃvaraḥ	kAyena saMvaraH sADu sADu vAcA ca saMvaraH
         manasā saṃvaraḥ sādhu sādhu sarvatra saṃvaraḥ	manasA saMvaraH sADu sADu sarvatra saMvaraH
         sarvatra saṃvṛto bhikṣu(ḥ) sarvaduḥkhāt pramucyate 8	sarvatra saMvRtaH Bikzu(H) sarva-duHKAt pramucyate 8
   PrMoSū_Schluss_V.9:	PrMoSU_SClusH-_V.9:
       vācānurakṣī manasā susaṃvṛtaḥ	vAcA-anurakzI manasA su-saMvRtaH
         kāyena caivākuśalaṃ na kuryāt	kAyena ca-eva-akuSalam na kuryAt-
       etāṃ śubhāṃ karmapathāṃ viśodhaya(nn)	etAm SuBAm karma-paTAm viSoDaya(nn)
         ā(rādhay)en (mārga)m ṛṣipraveditam 9	A(rADay)et (mArga)m Rzi-praveditam 9
   PrMoSū_Schluss_V.10:	PrMoSU_SClusH-_V.10:
       kṣiptaḥ kṣipen naiva hato na hanyād	kziptaH kzipet na-eva hataH na hanyAt-
       vairaprasaṃgeṣu bhaved avair(aḥ	vEra-prasaMgezu Bavet avEr(aH
       duṣṭe)ṣu ca syāt satataṃ prasanna(ḥ)	duzwe)zu ca syAt satatam prasanna(H)
       (s)v(a)y(aṃ) na kuryāt paragarhitaṃ yat 10	(s)v(a)y(an) na kuryAt para-garhitam yat 10
   PrMoSū_Schluss_V.11:	PrMoSU_SClusH-_V.11:
       saptabhir lokanāyakair buddhavīrair mahātmabhiḥ	saptaBiH loka-nAyakEH budDa-vIrEH mahAtmaBiH
         prātimokṣaḥ samuddiṣṭo nirdiṣṭaś ca maharṣiṇā 11	prAtimokzaH samuddizwaH nirdizwaH ca mahA-RziNA 11
   PrMoSū_Schluss_V.12:	PrMoSU_SClusH-_V.12:
       atra sagauravā buddhā buddhānāṃ śrāvakāś ca ye	atra sa-gOravAH budDAH budDAnAm SrAvakAH ca ye
       atra sagauravā bhūtvā tathānyonyasagauravā	atra sa-gOravAH BUtvA taTA-anyonya-sagOravA
       hrīravatrāpyasaṃpannā(ḥ) prāpnuvanti hy asaṃskṛtam 12	hrIH-avatrApi-asaMpannA(H) prApnuvanti hi asaMskRtam 12
   PrMoSū_Schluss_V.13:	PrMoSU_SClusH-_V.13:
       ārabhadhvaṃ niṣkramadhvaṃ yujyadhvaṃ buddhaśāsane /	AraBaDvam nizkramaDvam yujyaDvam budDa-SAsane /
         dhunadhvaṃ mṛtyunaḥ sainyaṃ naḍāgāram iva kuñjaraḥ 13	DunaDvam mRtyunaH sEnyam naxa-AgAram iva kuQjaraH 13
   PrMoSū_Schluss_V.14:	PrMoSU_SClusH-_V.14:
       yo hy asmiṃ dharmavinaye apramatto bhaviṣyati	yaH hi asmim Darma-vinaye apramattaH Bavizyati
         prahāya jātisaṃsāraṃ duḥkhasyāntaṃ sa (y)āsyati 14	prahAya jAti-saMsAram duHKasya-antam saH (y)Asyati 14
   PrMoSū_Schluss_V.15:	PrMoSU_SClusH-_V.15:
       yasyārth(e) sūtram uddiṣṭaṃ yasyārthe poṣathaḥ kṛtaḥ	yasya-arT(e) sUtram uddizwam yasya-arTe pozaTaH kRtaH
         tac chīlam anurakṣadhvaṃ vālāgra(ṃ) ca(ma)ro yathā 15	tat SIlam anurakzaDvam vAla-agra(M) ca(ma)raH yaTA 15
   uddiṣṭa(ḥ) prātimokṣaḥ kṛtaḥ samagreṇa saṃghena poṣatha iti //	uddizwa(H) prAtimokzaH kRtaH samagreNa saMGena pozaTaH iti //
   prātimokṣasūtraṃ samāpta(m) //	prAtimokza-sUtram samApta(m) //
