   atha saptaviṃśo 'dhyāyaḥ	aTa saptaviMSaH aDyAyaH
   niyataṃ hi ya (thā śa ?)kti prabhāte 'staṃ gate ravau /	niyatam hi yaH (TA SaH ?)kti praBAte astam gate ravO /
   rātriyā (?rātrervā )madhyabhāge tu yathāśāstranibandhanam // Paus_29.64 //	rAtriyAH (?rAtreH vA )maDya BAge tu yaTASAstra nibanDanam // POH _29.64 //
   pūrvasevāvidherūrdhvaṃ prītyarthaṃ pūjitasya ca /	pUrva sevAviDeH UrDvam prIti arTam pUjitasya ca /
   lakṣajāpādike siddhe        brahmadine         // Paus_29.65 //	lakza jApAdike sidDe        brahma dine        // POH _29.65 //
   samāpte tatsame home        vihito 'thavābjaja /	samApte tad same home        vihitaH aTavA abja ja /
   aṅgenam aṅgatulyaṃ vā dhānyairbījaistilaiḥ phalaiḥ // Paus_29.66 //	aFgenam aFga tulyam vA DAnyEH bIjEH tilEH PalEH // POH _29.66 //
   hariṇānananārācamudrayā jalajākhyayā /	hariNa Anana nArAca mudrayA jalaja AKyayA /
                 samatvāt juhuyāt tadanantaram // Paus_29.67 //	               sama tvAt juhuyAt tad anantaram // POH _29.67 //
   ṣaṇmāsasamamānena dviguṇenātha pauṣkara /	zaz mAsa sama mAnena dviguNena aTa pOzkara /
   caturguṇena vā śaktyā hyantarāntarayogataḥ // Paus_29.68 //	caturguNena vA SaktyA hi antarA antara yogataH // POH _29.68 //
   śakta               śatānte ca dvicatuṣparipūrite /	SaktaH               Sata ante ca dvi catuzparipUrite /
          ve sājye tricatuṣkaikarātriṇām // Paus_29.69 //	       ve sa Ajye tri catuzka eka rAtriNAm // POH _29.69 //
                        bhūricātma samānayet /	                     BUrica Atma samAnayet /
   sami                                       // Paus_29.70 //	sami                                      // POH _29.70 //
          nakhilamantrestu saha mantrī ca saṃhitām /	       naKila mantreH tu saha mantrI ca saMhitAm /
   samuccaran dhiyā samyak svaśaktyā vā pṛthak pṛthak // Paus_29.71 //	samuccaran DiyA samyak sva SaktyA vA pRTak pRTak // POH _29.71 //
   bhinnamantragaṇaṃ sarvam ājyadohairmudaṃ nayet /	Binna mantra gaNam sarvam Ajya dohEH mudam nayet /
   dhruvāccārcitayā ?              ttu vai // Paus_29.72 //	DruvAt ca arcitayA ?              t tu vE // POH _29.72 //
   tallakṣaṇam atho vakṣye mānameyasamanvitam /	tad lakzaNam aTo vakzye mAna meya samanvitam /
   prasiddhayajñavṛkṣotthaṃ na doṣairdṛḍhamavraṇa (ta )m // Paus_29.73 //	prasidDa yajQa vRkza utTam na dozEH dRXam avraNaH (taH )m // POH _29.73 //
   suspaṣṭaṃ kāṣṭham ādāya davāgnitrāsavarjitam /	su spazwam kAzWam AdAya dava agni trAsa varjitam /
   nirasaṃjirakā ?              paryuṣitaṃ śubham // Paus_29.74 //	nirasaMjirakAH ?              paryuzitam SuBam // POH _29.74 //
   madhyamāṅ[gu]liparyantaṃ bāhnorāmaṇibandhataḥ /	maDyamAF[gu]li paryantam bAhnorAmaNibanDataH /
   tamaṅguṣṭhodarairbhūyo               naguṇya ca // Paus_29.75 //	tam aFguzWa udarEH BUyas               naguNya ca // POH _29.75 //
   aṣṭāvaṣṭau tyajan yāyāt śeṣāstvekādhikāhi     /	azwO= azwO tyajan yAyAt SezAH tu eka aDika Ahi    /
   ācāraste vai parijñeyā dhvajādya(nya )ṣṭau yathākramāt // Paus_29.76 //	AcAraH te vE parijQeyAH Dvaja at ya(nyaH )zwO yaTAkramAt // POH _29.76 //
   tatraivam avaśeṣaṃ yacchubhaṃ ca śubhanaḥ smṛtaḥ /	tatra evam avaSezam yat SuBam ca SuBanaH smRtaH /
   yūyaṃ (?thaṃ )yugmāvaśeṣācca tṛtīyācca mṛgādhipaḥ // Paus_29.77 //	yUyam (?Tam )yugma avaSezAt ca tRtIyAt ca mRgADipaH // POH _29.77 //
   catuṣṭaya sva (?śva )vṛddhiṃ ca pañcakā vṛṣabhaḥ smṛtaḥ /	catuzwaya sva (?Sva )vRdDim ca paQcakAH vRzaBaH smRtaH /
   karaṣmakā (?kareṇukā )ca śeṣācca gajā vai saptakāt tu vai // Paus_29.78 //	karazmakAH (?kareNukA )ca SezAt ca gajAH vE saptakAt tu vE // POH _29.78 //
   ekākhyaḥ saptakāḥ śuddhestatrāmī śubhadāḥ smṛtāḥ /	eka AKyaH saptakAH SudDeH tatra amI SuBa dAH smRtAH /
   gajendrasiṃhavṛṣabhadhvajādyā ye śubhapradāḥ // Paus_29.79 //	gaja indra siMha vRzaBa Dvaja AdyAH ye SuBa pradAH // POH _29.79 //
   aśubhāya(?ye )vighātārthaṃ svaśubhāya(?ye )vivṛddhaye /	aSuBAya(?ye )viGAta arTam sva SuBa aya(?ye )vivRdDaye /
   aṅgulaṃ vāṅgulayutaṃ yuktidairdhyaṃ vinikṣipet // Paus_29.80 //	aFgulam vA aFgula yutam yukti dErDyam vinikzipet // POH _29.80 //
   tad dīrghaṃ pañcadhā kuryāt tad virutāraṃ dalena tu /	tat dIrGam paQcaDA kuryAt tat virutAram dalena tu /
   siddhaye madhyadeśasya vidheyā yatra pauṣkara // Paus_29.81 //	sidDaye maDyadeSasya viDeyAH yatra pOzkara // POH _29.81 //
   ādyakauśādayaśvāgoḥ tad uddeśāt krameṇa tu /	Adya kOSAdaya SvAgoH tat uddeSAt krameNa tu /
   patrakesaracakrāṅgaṃ bhūmīnāṃ hrāsamācaret // Paus_29.82 //	patra kesara cakra aFgam BUmInAm hrAsam Acaret // POH _29.82 //
          vaniparyantam unnatāstātkṣipet punaḥ /	       vani paryantam unnatAH tAt kzipet punar /
   nirvartyāḥ karṇacihnāstu cakrābjābhyāṃ tu sāntarāt // Paus_29.83 //	nirvartyAH karNa cihnAH tu cakra abjAByAm tu sa antarAt // POH _29.83 //
   pañcamāṃśena dairdhyaṃ tu tad vistārasamena tu /	paQcama aMSena dErDyam tu tat vistAra samena tu /
   dvibhāgasaṃhataṃ caiva śākhādeśāgrato bhavet // Paus_29.84 //	dvi BAga saMhatam ca eva SAKA deSa agratas Bavet // POH _29.84 //
          cetarākāravedī kāryā vasundharā /	       ca itara AkAra vedI kAryA vasunDarA /
   ārāpraṇālamadhyastā nānākarmavirājitā // Paus_29.85 //	ArA praNAlam aDyastAH nAnA karma virAjitAH // POH _29.85 //
   svaṃ svaṃ saṃveditaṃ kuryāt tena cāvedikaṃ śubham /	svam svam saMveditam kuryAt tena ca Avedikam SuBam /
   kṣitimaṇḍalamadhyasthabhāgenādyena vai tataḥ // Paus_29.86 //	kziti maNxala maDya sTa BAgena Adyena vE tatas // POH _29.86 //
   kamalaṃ lakṣaṇopetaṃ kevalaṃ ṣoḍaśacchadam /	kamalam lakzaNa upetam kevalam zoxaSa= Cadam /
   sanālam abhinirvartya kesarālaṃ sakarṇikam // Paus_29.87 //	sa nAlam aBinirvartya kesarAlam sa karNikam // POH _29.87 //
   nibījaṃ karṇikākośam īṣatparivibhūṣitam /	nibIjam karNikA koSam Izat pariviBUzitam /
   yathoktalakṣaṇāḍhyena hetīśenāvṛtaṃ tu vā // Paus_29.88 //	yaTA ukta lakzaNa AXyena heti ISena AvRtam tu vA // POH _29.88 //
   cakradhārāvaniṃ kuryāt koṇeṣūbhayato 'ṅkitām /	cakraDArA vanim kuryAt koNezu uBayatas aFkitAm /
   kaustubhaiḥ svastikairvātha śaṅkhādyairmaṇḍala ?maṇḍitam // Paus_29.89 //	kOstuBEH svastikEH vA aTa SaFKa AdyEH maNxala ?maNxitam // POH _29.89 //
   tārāttā (e )gaṇāḍhyaṃ vā                /	tArAt tA (e )gaNa AXyam vA               /
                 kuryāccāstraṃ cograyāvadāsacet // Paus_29.90 //	              kuryAt ca astram ca ugrayA avat Asaced // POH _29.90 //
   ataścāntānupātārtham aṣṭāṃśaṃ pakṣagaṃ punaḥ /	atas ca anta anupAta arTam azwa aMSam pakza gam punar /
   tyaktvā samācareddhrāsaṃ yathā syād gajapāṇivat // Paus_29.91 //	tyaktvA samAcaret hrAsam yaTA syAt gaja pANi vat // POH _29.91 //
   antaraṃ vasudhābhyāṃ               ṣṭāṃśasaṃmitam /	antaram vasuDAByAm               zwa aMSa saMmitam /
   kāryaṃ ṣaḍaṃśatulyaṃ vā vistṛtaiḥ śubhalakṣaṇam // Paus_29.92 //	kAryam zaz aMSa tulyam vA vistRtEH SuBa lakzaNam // POH _29.92 //
   tad vistāraṃ dvidhā kṛtvā pañcadhā vā samaiḥ padaiḥ /	tat vistAram dviDA kRtvA paQcaDA vA samEH padEH /
                               madhyabhāgasya    // Paus_29.93 //	                             maDya BAgasya   // POH _29.93 //
          bhāgam abhāgaṃ ca pakṣayorvā dvayaṃ dvayam /	       BAgam aBAgam ca pakzayoH vA dvayam dvayam /
   agrataścānupātārthaṃ vibhajyaiva yathecchayā // Paus_29.94 //	agratas ca anupAta arTam viBajya eva yaTA icCayA // POH _29.94 //
   skandhāntaraṃ ca                       /	skanDa antaram ca                      /
   matsyavallāṃñchana               yathākramam // Paus_29.95 //	matsya vallAMQCanaH               yaTAkramam // POH _29.95 //
   pārśvābhyām antaraṃ bāhyāt śeṣaṃ kaṇṭhātmanā nayet /	pArSvAByAm antaram bAhyAt Sezam kaNWa AtmanA nayet /
   yathā syād gomukhe bhāsa        kaṇṭhaṃ maharddhidam // Paus_29.96 //	yaTA syAt gomuKe BAsa        kaNWam mahA RdDi dam // POH _29.96 //
   nirmuktavedikānāṃ tu śaṅkhādīnāṃ yadanta        /	nirmukta vedikAnAm tu SaFKa AdInAm yat anta       /
          paṭṭena yuktaṃ               padmadvayena vā // Paus_29.97 //	       pawwena yuktam               padma dvayena vA // POH _29.97 //
   vedikāvāsudhāṃśā (bhyāṃ )tvanupātena śātayet /	vedikA vAsuDAMSA (ByAm )tu anupAtena SAtayet /
   skandhakaṇṭhāt samārabhyatrayo grīvā yathecchayā // Paus_29.98 //	skanDa kaNWAt samAraBya trayaH grIvA yaTA icCayA // POH _29.98 //
   vidhāya bhāgaṃ prāgukta                      tam /	viDAya BAgam prAk uktaH                      tam /
   vedikāvidhihīnasya śaṅkhasya vacanaṃ hi yat // Paus_29.99 //	vedikA viDi hInasya SaFKasya vacanam hi yat // POH _29.99 //
   sapādabhāgasametaṃ kuryāt pañcāṅgasaṃmitam /	sa pAda BAga sametam kuryAt paQcAFga saMmitam /
   vistṛter vādhikaṃ kiñcit nyūnaṃ vā rājate yathā // Paus_29.100 //	vistRteH vA aDikam kiQcid nyUnam vA rAjate yaTA // POH _29.100 //
   kumbhabhāgatrayaṃ sadmadvayaṃ saṃśātayet kramāt /	kumBa BAga trayam sadma dvayam saMSAtayet kramAt /
   pṛthūdarasya śaṅkhasya pañcamāṃśena śātayet // Paus_29.101 //	pRTu udarasya SaFKasya paQcama aMSena SAtayet // POH _29.101 //
   kukṣideśaṃ dvidhā caiva stragādyair arcayet tataḥ /	kukzi deSam dviDA ca eva straga AdyEH arcayet tatas /
   vartate mūlam āśritya dairdhyād bhāgatrayaṃ hi yat // Paus_29.102 //	vartate mUlam ASritya dErDyAt BAga trayam hi yat // POH _29.102 //
   tanmadhyāt kaṇṭhadeśe prāgākṣipyāṅgaṃ yathoditam /	tad maDyAt kaNWa deSe prAk Akzipya aFgam yaTA uditam /
   śeṣaṃ tu daśadhā kṛtvā tataḥ saptāṅgasaṃmitam // Paus_29.103 //	Sezam tu daSaDA kRtvA tatas sapta aFga saMmitam // POH _29.103 //
   daṇḍaṃ kuryād gadākāraṃ kaṇṭhavistāravistṛtam /	daNxam kuryAt gadA AkAram kaNWa vistAra vistRtam /
   dviprakāraṃ yathoddiṣṭamate       lavaṇānvitam // Paus_29.104 //	dvi prakAram yaTA uddizwam ate       lavaNa anvitam // POH _29.104 //
   aṃśakatritayenaiva tatra nirmāṇam ucyate /	aMSaka tritayena eva tatra nirmANam ucyate /
   vedikopagataṃ kuryād ekabhāgasamāśritam // Paus_29.105 //	vedikA upagatam kuryAt eka BAga samASritam // POH _29.105 //
   svāstikaṃ lakṣaṇopetaṃ madhyataḥ kamalāṅkitam /	svAstikam lakzaNa upetam maDyatas kamala aFkitam /
   karṇikā nicayaśścāntaṃ ?pratyaṃśaṃ racayet tataḥ // Paus_29.106 //	karNikAH nicayaH Sca antam ?pratyaMSam racayet tatas // POH _29.106 //
   aṅgaṇe        petaiḥ susamair antarīkṛtaiḥ /	aFgaNe        petEH su samEH antarIkRtEH /
   dhārācanavidhānaivaṃ ?dviṣaṭkapariniṣṭhite /	DArAcana viDAna evam ?dvi zawka parinizWite /
   vartulaṃ caturaśraṃ tu               cayamadhyagam // Paus_29.108 //	vartulam caturaSram tu               caya maDya gam // POH _29.108 //
   karagrahavatīṃ muṣṭi              marodayalakṣaṇām /	karagrahavatIm muzwi               mara udaya lakzaNAm /
   īṣā (?ṣan )mānādhikaṃ daṇḍaṃ bāhyam āpūrayet tathā // Paus_29.109 //	IzA (?zan )mAna aDikam daNxam bAhyam ApUrayet taTA // POH _29.109 //
   śatapatram adhovaktraṃ pṛthulaṃ cordhvakarṇikam /	Satapatram aDas vaktram pRTulam ca UrDvakarNikam /
   muṣṭiniṣṭhāyudhau (?vadhau )kuryāt bahuparṇaṃ sakesaram // Paus_29.110 //	muzwi nizWA AyuDO (?vaDO )kuryAt bahu parNam sa kesaram // POH _29.110 //
   athavedikṣipet ?pīṭhalakṣaṇaṃ cāparaṃ śṛṇu /	aTavedi kzipet ?pIWa lakzaNam ca aparam SRNu /
   vihitaṃ cārdhakalpeyaṃ ?devapīṭhopamaṃ śubham // Paus_29.111 //	vihitam ca arDa kalpA iyam ?deva pIWa upamam SuBam // POH _29.111 //
   uṣṇīvapadaparyantam ācāgreḥ sa ?vibhajya ca /	uzNIva pada paryantam AcAgreH saH ?viBajya ca /
   sa (mair )bhāgaiḥ purātra syu       dvāda   diṣṭamucyate // Paus_29.112 //	sa (mEH )BAgEH purA atra syu       dvAda   dizwam ucyate // POH _29.112 //
   padmaṃ cakrāravindaṃ vā        lakṣaṇalakṣitam /	padmam cakra aravindam vA        lakzaNa lakzitam /
   kiṃtu mānaṃ vibhāgaṃ ca bhūyaḥ kṣetravaśāt śṛṇu // Paus_29.113 //	kiMtu mAnam viBAgam ca BUyas kzetra vaSAt SRNu // POH _29.113 //
   brahmasthānāvadheḥ kṣetraṃ kṛtvā ṣaṅbhāgabhājitam /	brahma sTAna avaDeH kzetram kRtvA zaFBAga BAjitam /
   dvau bhāgau bhūṣayenmadhye karṇikāpadasiddhaye // Paus_29.114 //	dvO BAgO BUzayet maDye karNikA pada sidDaye // POH _29.114 //
   paridhiścārdhabhāgena tvardhena kesarāvalim /	pariDiH ca arDa BAgena tu arDena kesara Avalim /
   sārdhena patranicayaṃ vyoma cārdhena tad bahiḥ // Paus_29.115 //	sArDena patra nicayam vyoma ca arDena tat bahis // POH _29.115 //
   pārthivaṃ puram aṃśena vicitraracanānvitam /	pArTivam puram aMSena vicitra racanA anvitam /
   sāntarāṇi samāsādya kṣetrāṇyetāni pauṣkara // Paus_29.116 //	sAntarANi samAsAdya kzetrANi etAni pOzkara // POH _29.116 //
   kiñcit kiñcit samādāya pro[nnate]ṣvavayaveṣu ca /	kiQcid kiQcid samAdAya pro[nnate]zu avayavezu ca /
   ākhyātapari[to] brahman dalapādānikaṃ kramāt // Paus_29.117 //	AKyAta pari[to] brahman dala pAdAnikam kramAt // POH _29.117 //
   nimnatāṃ ca nayed īṣat kṣetrāt kṣetraṃ yathoditam /	nimna tAm ca nayet Izat kzetrAt kzetram yaTA uditam /
   śeṣa eva sacakramya [pari]māryacānyathā // Paus_29.118 //	SezaH eva sacakramya [pari]mArya ca anyaTA // POH _29.118 //
   khātātmakesarakṣetramānam atra yathoditam /	KAta Atma kesara kzetra mAnam atra yaTA uditam /
   dalajālaṃ samāpādya savyoma cāṃśakena tu // Paus_29.119 //	dala jAlam samApAdya sa vyoma ca aMSakena tu // POH _29.119 //
   sacakranemivṛttaṃ tu sārdhenāṃśena tad bahiḥ /	sa cakra nemi vRttam tu sArDena aMSena tat bahis /
   bhāga       kṣetraṃ kuryāt prāguktalakṣaṇam // Paus_29.120 //	BAga       kzetram kuryAt prAc ukta lakzaNam // POH _29.120 //
   pṛṣṭhatasva               kuryāt sapadmaṃ kaivalaṃ tu vā /	pRzWatasvaH               kuryAt sa padmam kEvalam tu vA /
   kamalaṃ dalajālaṃ ca mukha                       // Paus_29.121 //	kamalam dala jAlam ca muKaH                      // POH _29.121 //
   etat pramāṇanirmāṇapari                       /	etat pramANa nirmANa pari                      /
   tadā prameyam asyāṃ vai jñātavyaṃ karmasiddhaye // Paus_29.122 //	tadA prameyam asyAm vE jQAtavyam karma sidDaye // POH _29.122 //
   śatapatrātmanānanto muṣṭistenantavātra ?dhṛk /	Satapatra AtmanA anantaH muzwiH tenanta vAtra ?DRk /
   antarbījātmabhāvena sthitvā cotthamukhaḥ punaḥ // Paus_29.123 //	antar bIja Atma BAvena sTitvA ca utTa muKaH punar // POH _29.123 //
   pataskandhaṃ yadaryātmabhūtaprāṇamarunmahat /	pata skanDam yat ari Atma BUta prANa marut mahat /
   preritaṃ brahmarandhreṇa tat tad icchāvaśāt punaḥ // Paus_29.124 //	preritam brahmaranDreNa tat tat icCA vaSAt punar // POH _29.124 //
   saptapātālanālaṃ ca tvagamakṣātmanāmbujam ? /	sapta pAtAla nAlam ca tu agamakza AtmanA ambujam ? /
   yadāśritya svavāhe tu hyamṛtaṃ jalavat sthitam // Paus_29.125 //	yat ASritya sva vAhe tu hi amRtam jala vat sTitam // POH _29.125 //
   sacakraracanājāle sthitaste satramūrtidhṛk /	sa cakraracanA jAle sTitaH te satra mUrti DRc /
   śaṅkhavigrahadhṛgvāyurājyakośaṃ ca khaṃ tataḥ // Paus_29.126 //	SaFKa vigraha DRk vAyurAjya koSam ca Kam tatas // POH _29.126 //
   nirbījam ajam akṣobhyam ādyaṃ stragdevatasyādhidaivatam ? /	nirbIjam ajam akzoByam Adyam strac devatasya aDidEvatam ? /
   satyabhūtam ameyaṃ ca prameyam idam acyutam // Paus_29.127 //	satya BUtam ameyam ca prameyam idam acyutam // POH _29.127 //
   saṃskārakāle tvāropya nityaṃ saṃmantrya tarpaṇe /	saMskAra kAle tu Aropya nityam saMmantrya tarpaNe /
   dairghyam eva tam ujjhitya vedivistārameva ca // Paus_29.128 //	dErGyam eva tam ujJitya vedi vistAram eva ca // POH _29.128 //
   yathoktāṃśaṃ                         /	yaTA ukta aMSam                        /
          saṃhataṃ gadādaṇḍaṃ sukhiraṃ sudṛḍhaṃ tu vā // Paus_29.129 //	        saMhatam gadA daNxam suKiram su dRXam tu vA // POH _29.129 //
   nātisthūlaṃ nātikṛśaṃ yuktam ṛjugaṇena tu /	na ati sTUlam na ati kRSam yuktam Rju gaNena tu /
   evaṃ dravyamayaṃ kuryāt śubhadāramayaṃ ?tu vā // Paus_29.130 //	evam dravya mayam kuryAt SuBa dAra mayam ?tu vA // POH _29.130 //
   stratukstruvānāṃ ca homārthaṃ tallakṣaṇam athocyate /	stra tuj H truvAnAm ca homa arTam tat lakzaNam aTa ucyate /
   āyaśuddhaṃ samādāya prāguktagaṇalakṣitam // Paus_29.131 //	Aya SudDam samAdAya prAc ukta gaNa lakzitam // POH _29.131 //
   trayeṃśonaṃ strucā dairdhyād aṣṭadhā cocchritaṃ bhajet /	trayeMSa Unam strucAH dErDyAt azwaDA ca ucCritam Bajet /
   tena bhāgapramāṇena tad vistāraṃ vidhīyate // Paus_29.132 //	tena BAga pramANena tat vistAram viDIyate // POH _29.132 //
   saṃvibhajya samāṃśaistat sūtraiḥ spaṣṭairyathākramam /	saMviBajya sama aMSEH tat sUtrEH spazwEH yaTAkramam /
   kalaśaṃ kḷptayenmūlād aṣṭāṃśaṃ caturaśrakam // Paus_29.133 //	kalaSam k?ptayet mUlAt azwa aMSam caturaSrakam // POH _29.133 //
   varjayitvātha bāhulyaṃ vistārārdhena kalpya vai /	varjayitvA aTa bAhulyam vistAra arDena kalpya vE /
   kuryād ādhāraviśrāntaṃ kamalaṃ racitānvitam // Paus_29.134 //	kuryAt ADAra viSrAntam kamalam racita anvitam // POH _29.134 //
   taṃ śaṃkhaṃ vitatāsyaṃ tu nandyāvartaṃ sulakṣaṇam /	tam SaMKam vitata Asyam tu nandyAvartam su lakzaNam /
   pārśvabhāgadvayaṃ tyaktavā caturaṃśa        smṛtam // Paus_29.135 //	pArSva BAga dvayam tyaktavA catur aMSaH        smRtam // POH _29.135 //
   pāśavadgrathitaṃ madhye suvibhaktaṃ ca vartulam /	pASa vat graTitam maDye suviBaktam ca vartulam /
   caturbhāgānanaṃ daṇḍaṃ nirgataṃ kalaśānanāt // Paus_29.136 //	catur BAga Ananam daNxam nirgatam kalaSAnanAt // POH _29.136 //
   vitānaṃ śaṅkhavaktrād vā        tritayasaṃyutam /	vitAnam SaFKa vaktrAt vA        tritaya saMyutam /
   dhārānāladvayaṃ kuryāt               ṣṭāṅgasaṃmitān // Paus_29.137 //	DArAnAla dvayam kuryAt               zwa aFga saMmitAn // POH _29.137 //
   pīṭhavat kaṇṭhapīṭhaṃ tu caturaśraṃ samāpya ca /	pIWa vat kaNWa pIWam tu caturaSram samApya ca /
   tasmin paṅkajam ullikhya cakravṛttāntarīkṛtam // Paus_29.138 //	tasmin paFkajam ulliKya cakra vRtta antarIkRtam // POH _29.138 //
   muktājālasamaṃ sūtraṃ śaṅkhakoṇacatuṣṭaye /	muktA jAla samam sUtram SaFKa koNa catuzwaye /
   ekāṃśenonnatā grīvā vistāravdyaṅgasaṃmitā // Paus_29.139 //	eka aMSena unnatA grIvA vistAra vdyaFga saMmitAH // POH _29.139 //
   īṣad vaktrā na sāṣṭāṃśād ūrdhve bhāgasamujjhitām /	Izat vaktrA na sa azwa aMSAt UrDve BAga samujJitAm /
   padmavaccottamāṅgaṃ ca grīvānālaṃ sakarṇikam // Paus_29.140 //	padma vat ca uttamAFgam ca grIvA nAlam sa karNikam // POH _29.140 //
   anantakesaraprāntairāvṛtaṃ karṇikānanam /	ananta kesara prAntEH AvRtam karNikA Ananam /
   tad bahiḥ patrajālaṃ tu kesarocchrāyasaṃmitam // Paus_29.141 //	tat bahis patra jAlam tu kesara ucCrAya saMmitam // POH _29.141 //
   avibhāga               pṛṣṭhatastiryagānanam /	aviBAgaH                pRzWataH tiryak Ananam /
   kuryācca karrṇikāmadhye golakenaiva mudritam // Paus_29.142 //	kuryAt ca karrNikA maDye golakena eva mudritam // POH _29.142 //
   kaustubhenāṅkitaṃ caiva saurabhīyāśriṇāthavā /	kOstuBena aFkitam ca eva sOraBIya aSriNA aTavA /
