   oṃ namaścidātmaparamārthavapuṣe //	om namaH-cidAtma-parama-arTa-vapuze //
   bhedenābhimanyata iti yāvat / yathā rekhātimiropahataḥ puruṣa ekamapi	Bedena-aBimanyate iti yAvat / yaTA reKA-timira-upahataH puruzaH ekam-api
   candraṃ paśyandvau candrāvimau nabhasi sta iti paricchindamṝÉllokamapi	candram paSyan-dvO candrO=-imO naBasi staH iti paricCinda-mLÉt-lokam-api
   darśayati dvau candrāvimau paśyeti / vastuvṛttenaika evāsau candra iti	darSayati dvO candrO=-imO paSya-iti / vastu-vRttena-ekaH eva-asO candraH iti
   timiravaśāttathā bhāsate yenodvegalakṣaṇāmānandalakṣaṇāṃ vārthakriyāṃ sa	timira-vaSAt-taTA BAsate yena-udvega-lakzaNAm-Ananda-lakzaNAm vA-arTa-kriyAm sa
   taimirikaḥ prāpnoti / tathaivājñānatimiraprāptabhedaprathaḥ sarvaṃ	tEmirikaH prApnoti / taTA-eva-ajQAna-timira-prApta-Beda-praTaH sarvam
   svātmano 'bhinnamapi bhedena vyavaharanbhinnaṃ karmaphalamarthayate yena	sva-AtmanaH aBinnam-api Bedena vyavaharan-Binnam karma-Palam-arTayate yena
   bhūyobhūyaḥ svarganirayādibhogabhāgbhavati / ataścājñānasya timireṇa	BUyas-BUyas svarga-niraya-Adi-Boga-BAj-Bavati / atas-ca-ajQAnasya timireNa
   rūpaṇā viparītābhāsanāt // 25 //	rUpaNAH viparIta-ABAsanAt // 25 //
   ātmādvayaṃ dṛṣṭāntena nidarśayati	AtmA-dvayam dRzwAntena nidarSayati
   rasaphāṇitaśarkarikāguḍakhaṇḍādyā yathekṣurasa eva /	rasa-PANita-SarkarikA-guxa-KaNxa-AdyAH yaTA-ikzu-rasaH eva /
   tadvadavasthābhedāḥ sarve paramātmanaḥ śaṃbhoḥ // 26 //	tadvat-avasTA-BedAH sarve paramAtmanaH SaMBoH // 26 //
   rasādayaḥ ikṣubhedāḥ yathā ekaḥ evekṣurasaḥ paramārthataḥ sarvatra	rasa-AdayaH ikzu-BedAH yaTA ekaH eva-ikzu-rasaH paramArTataH sarvatra
   mādhuryānugamāttathaiva jāgradādi avasthābhedāḥ grāhyagrāhakaprapañcarūpāḥ	mADurya-anugamAt-taTA-eva jAgrat-Adi avasTA-BedAH grAhya-grAhaka-prapaQca-rUpAH
   sarve viśeṣāḥ paramātmanaḥ svasvabhāvasya śaṃbhoḥ caitanyamaheśvarasyaiva	sarve viSezAH paramAtmanaH sva-svaBAvasya SaMBoH cEtanya-maheSvarasya-eva
   / yataḥ sa eva bhagavānsarvasya svātmabhūtaḥ svasvātantryāttāṃ tāmapi	/ yatas saH eva BagavAn-sarvasya sva-Atma-BUtaH sva-svAtantryAt-tAm tAm-api
   bhūmikāṃ samāpannastathā grāhyagrāhakādyavasthāviśiṣṭaḥ prathate	BUmikAm samApannaH-taTA grAhya-grAhaka-Adi-avasTA-viSizwaH praTate
   yathekṣuraso na punaḥ svātmanastasmādbhinnaṃ kiñcidastīti sa eka eva	yaTA-ikzu-rasaH na punar sva-AtmanaH-tasmAt-Binnam kiQcid-asti-iti saH ekaH eva
   sarvāvasthāsu saṃvidanugamāt / itthaṃ sarvatraikarūpatādarśanātpramātā	sarva-avasTAsu saMvid-anugamAt / itTam sarvatra-eka-rUpa-tA-darSanAt-pramAtA
   sarvadṛśvā bhavati / yathāha śrīśaṃbhubhaṭṭārakaḥ	sarva-dRSvA Bavati / yaTA-Aha SrI-SaMBu-BawwArakaH
   eko bhāvaḥ sarvabhāvasvabhāvaḥ sarve bhāvā ekabhāvasvabhāvāḥ /	ekaH BAvaH sarva-BAva-svaBAvaH sarve BAvAH eka-BAva-svaBAvAH /
   eko bhāvastattvato yena dṛṣṭaḥ sarve bhāvāstattvatastena dṛṣṭāḥ //	ekaH BAvaH-tattvataH yena dRzwaH sarve BAvAH-tattvataH-tena dRzwAH //
   iti / bhagavadgītāsvapi	iti / Bagavat-gItAsu-api
   sarvabhūteṣu yenaikaṃ bhāvamakṣayamīkṣate /	sarva-BUtezu yena-ekam BAvam-akzayam-Ikzate /
   avibhaktaṃ vibhakteṣu tajjñānaṃ viddhi sāttvikam //	aviBaktam viBaktezu tat-jQAnam vidDi sAttvikam //
   iti // 26 //	iti // 26 //
   tīrthāntaraparikalpitastu bhedaḥ saṃvṛtyarthamabhyupagato 'pi na	tIrTa-antara-parikalpitaH-tu BedaH saMvRti-arTam-aByupagataH api na
   satyabhūmāvavakalpata ityāha	satya-BUmO=-avakalpate iti-Aha
   vijñānāntaryāmiprāṇavirāḍdehajātipiṇḍāntāḥ /	vijQAna-antaryAmi-prANa-virAj-deha-jAti-piNxa-antAH /
   vyavahāramātrametatparamārthena tu na santyeva // 27 //	vyavahAra-mAtram-etat-parama-arTena tu na santi-eva // 27 //
   vijñānam iti bodhamātrameva kevalamanupādhi	vijQAnam iti boDa-mAtram-eva kevalam-anupADi
   nāmarūparahitamapyanādivāsanāprabodhavaicitryasāmarthyānnīlasukhādirūpaṃ	nAma-rUpa-rahitam-api-anAdi-vAsanA-praboDa-vEcitrya-sAmarTyAt-nIla-suKa-Adi-rUpam
   bāhyarūpatayā nānā prakāśata iti vijñānavādinaḥ /	bAhya-rUpa-tayA nAnA prakASate iti vijQAna-vAdinaH /
   puruṣa evedaṃ sarvam ... /	puruzaH eva-idam sarvam ... /
   neha nānāsti kiñcana ... /	na-iha nAnA-asti kiQcana ... /
   iti nyāyena antaryāmi sarvasyeti paraṃ brahmaivānādyavidyāvaśādbhedena	iti nyAyena antaryAmi sarvasya-iti param brahma-eva-anAdya-vidyA-vaSAt-Bedena
   prakāśata iti brahmavādinaḥ / atrobhayatrāpi vedanasya svātantryaṃ	prakASate iti brahma-vAdinaH / atra-uBayatra-api vedanasya svAtantryam
   jīvitabhūtaṃ viśvanirmāṇaheturiti na cetitam /	jIvita-BUtam viSva-nirmANa-hetuH-iti na cetitam /
   anye prāṇa brahmavādinastu yathāprāṇanameva viśvamāgūrya vartate nahi	anye prANa brahma-vAdinaH-tu yaTAprANanam-eva viSvam-AgUrya vartate na-hi
   prāṇanādṛte 'nyatkiñcidbrahmaṇo rūpamiti savimarśaṃ śabdabrahmetyāhuḥ /	prANanAt-Rte anyat-kiQcid-brahmaNaH rUpam-iti sa-vimarSam Sabdabrahma-iti-AhuH /
   apare pratipannā yathā virāḍdeham iti vairājamapi brahmaṇaḥ satyabhūtamiti	apare pratipannAH yaTA virAj-deham iti vErAjam-api brahmaNaH satya-BUtam-iti
   / yathoktam	/ yaTA-uktam
   yasyāgnirāsyaṃ dyaurmūrdhā khaṃ nābhiścaraṇau kṣitiḥ /	yasya-agniH-Asyam dyOH-mUrDA Kam nABiH-caraNO kzitiH /
   sūryaścakṣurdiśaḥ śrotre tasmai lokātmane namaḥ //	sUryaH-cakzuH-diSaH Srotre tasmE loka-Atmane namaH //
   ityevamādi /	iti-evamAdi /
   jātiḥ iti mahāsattāsāmānyalakṣaṇaṃ sarvaguṇāśrayaṃ vastu paramārthasaditi	jAtiH iti mahAsattA-sAmAnya-lakzaNam sarva-guNa-ASrayam vastu paramArTa-sat-iti
   vaiśeṣikādayo bruvate /	vESezika-AdayaH bruvate /
   anye piṇḍāḥ iti vyaktaya eva paramārthasatyo nahi sāmānyaṃ nāma	anye piNxAH iti vyaktayaH eva parama-arTa-satyaH nahi sAmAnyam nAma
   kiñcidekamanekaguṇāśrayaṃ prakāśate nāpyupapadyate veti vyaktīnāmeva	kiQcid-ekam-aneka-guNa-ASrayam prakASate na-api-upapadyate vA-iti vyaktInAm-eva
   vyavahāraḥ parisamāptaḥ kiṃ sāmānyeneti nānāvṛttivikalpaiḥ sāmānyaṃ	vyavahAraH parisamAptaH kim sAmAnyena-iti nAnA-vRtti-vikalpEH sAmAnyam
   vivadamānā vyaktayo nānuyantyanyadanuyāyi na bhāsata ityevamādi bahu	vivadamAnAH vyaktayaH na-anuyanti-anyat-anuyAyi na BAsate iti-evamAdi bahu
   bruvanto jātirna paramārtha iti pratipannā ityeva vijñānādiḥ piṇḍo 'nte	bruvantaH jAtiH-na parama-arTaH iti pratipannAH iti-eva vijQAna-AdiH piNxaH ante
   yeṣāṃ bhedānāṃ te tathoktāḥ vyavahāramātrametat ityasminsvātantryavāde	yezAm BedAnAm te taTA-uktAH vyavahAra-mAtram-etat iti-asmin-svAtantrya-vAde
   prakāśamānasya vastuno 'napahnavanīyatvādete bhedāḥ saṃvṛtisatyatvena	prakASamAnasya vastunaH anapahnavanIya-tvAt-ete BedAH saMvRti-satya-tvena
   prakāśante paramārthena tu na santyeva iti na punaḥ satattvatayaite	prakASante parama-arTena tu na santi-eva iti na punar sa-tattva-tayA-ete
   bhedāstīrthāntaraparikalpitabhedā vidyamānā eva / tasmādeka eva	BedAH-tIrTa-antara-parikalpita-BedAH vidyamAnAH eva / tasmAt-ekaH eva
   paramaprakāśaparamārthaḥ svatantraścaitanyamaheśvara itthamitthaṃ cakāsti	parama-prakASa-parama-arTaH svatantraH-cEtanya-maheSvaraH itTam-itTam cakAsti
   yato 'nyasyaitadvyatiriktasyāprakāśarūpasya prakāśamānatābhāvāt / yaduktam	yatas anyasya-etat-vyatiriktasya-aprakASa-rUpasya prakASamAnatA-BAvAt / yat-uktam
   tīrthakriyāvyasaninaḥ svamanīṣikābhirutprekṣya tattvamiti yadyadamī	tIrTa-kriyA-vyasaninaH sva-manIzikABiH-utprekzya tattvam-iti yat-yat-amI
   vadanti /	vadanti /
   tattattvameva bhavato 'sti na kiñcidanyatsaṃjñāsu kevalamayaṃ viduṣāṃ	tat-tattvam-eva BavataH asti na kiQcid-anyat-saMjQAsu kevala-mayam viduzAm
   vivādaḥ //	vivAdaH //
   iti // 27 //	iti // 27 //
   idānīṃ bhrānterasadarthapratipādanasāmarthyena nidarśanamāha	idAnIm BrAnteH-asadarTa-pratipAdana-sAmarTyena nidarSanam-Aha
   rajjvāṃ nāsti bhujaṅgastrāsaṃ kurute ca mṛtyuparyantam /	rajjvAm na-asti BujaFgaH-trAsam kurute ca mRtyu-paryantam /
   bhrāntermahatī śaktirna vivektuṃ śakyate nāma // 28 //	BrAnteH-mahatI SaktiH-na vivektum Sakyate nAma // 28 //
   bhrānteḥ pūrṇatvākhyātirūpāyā atādrūpyapratibhāsane mahatī śaktiḥ uttamaṃ	BrAnteH pUrNa-tva-AKyAti-rUpAyAH atAdrUpya-pratiBAsane mahatI SaktiH uttamam
   sāmarthyam na kenacit vivektuṃ śakyate na kenacidvicārayituṃ pāryata iti	sAmarTyam na kenacid vivektum Sakyate na kenacid-vicArayitum pAryate iti
   yāvat / yathā vastuvṛttena rajjuḥ paridṛśyamānā	yAvat / yaTA vastu-vRttena rajjuH paridRSyamAnA
   dīrghatvakuṇḍalinīrūpatvabhramātsarpo 'yamityadhyavasātṝṇāṃ rajjudravye	dIrGa-tva-kuNxalinI-rUpa-tva-BramAt-sarpaH ayam-iti-aDyavasAtLNAm rajju-dravye
   'pyasadarthapratibhāso 'yaṃ sarpādhyavasāyaḥ sadarthapratibhāsādbhayaṃ	api-asat-arTa-pratiBAsaH ayam sarpADyavasAyaH sat-arTa-pratiBAsAt-Bayam
   maraṇāvasāyaṃ vidadhāti / anubhavasiddhamapyetatsthāṇuṃ bhūtamiti matvā	maraNa-a=-asAyam vidaDAti / anuBava-sidDam-api-etat-sTANum BUtam-iti matvA
   svayaṃ bhīṣaṇīyaṃ vākāraṃ samullikhya bhrāntāḥ santo hṛdbhaṅganāśaṃ ke	svayam BIzaNIyam vA-AkAram samulliKya BrAntAH santaH hRd-BaFga-nASam ke
   nāma na yātā iti vibhrama evāpūrṇatvaprathane heturiti // 28 //	nAma na yAtAH iti viBramaH eva-ApUrNa-tva-praTane hetuH-iti // 28 //
   etatprakṛte samarthayate	etat-prakRte samarTayate
   tadvaddharmādharmasvarnirayotpattimaraṇasukhaduḥkham /	tadvat-Darma-aDarma-svar-niraya-utpatti-maraNa-suKa-duHKam /
   varṇāśramādi cātmanyasadapi vibhramabalādbhavati // 29 //	varNa-ASrama-Adi ca-Atmani-asat-api viBrama-balAt-Bavati // 29 //
   evaṃ yathā rajjuḥ paramārthasatī bhrāntyā sarpatayā vimṛṣṭāpi	evam yaTA rajjuH parama-arTa-satI BrAntyA sarpatayA vimRzwA-api
   sarpagatāmarthakriyāṃ karoti tathaiva dehātmamānināṃ cetasi	sarpa-gatAm-arTa-kriyAm karoti taTA-eva deha-Atma-mAninAm cetasi
   dharmādyasadapi tattvato 'vidyamānam vibhrama	DarmAt-yasat-api tattvataH avidyamAnam viBrama
   vaśānmāyāvyāmohasāmarthyādeva bhavati etadeva tattvamiti bhrāntyā sattāṃ	vaSAt-mAyA-vyAmoha-sAmarTyAt-eva Bavati etat-eva tattvam-iti BrAntyA sattAm
   labhate / dharmaḥ aśvamedhādiḥ adharmaḥ brahmahananādiḥ svaḥ niratiśayā	laBate / DarmaH aSvameDa-AdiH aDarmaH brahma-hanana-AdiH svar niratiSayA
   prītiḥ nirayaḥ yātanā utpattiḥ janma maraṇam janmābhāvaḥ sukham āhlādaḥ	prItiH nirayaH yAtanA utpattiH janma maraNam janma-aBAvaH suKam AhlAdaH
   duḥkham rājasaḥ kṣobhastathā varṇaḥ brāhmaṇo 'smītyādi āśramaḥ	duHKam rAjasaH kzoBaH-taTA varNaH brAhmaNaH asmi-ityAdi ASramaH
   brahmacārītyādi ādi grahaṇāttapaḥpūjavratānīti sarvaṃ kalpanāmātrasāraṃ	brahmacArI-ityAdi Adi grahaNAt-tapaH-pUja-vratAni-iti sarvam kalpanA-mAtra-sAram
   vibhramavijṛmbhitameva māyāśaktyā dehādyātmatayābhimanyate / etatsarvaṃ	viBrama-vijRmBitam-eva mAyA-SaktyA deha-Adi-Atma-tayA-aBimanyate / etat-sarvam
   bhrānteḥ prabhavati yayānavaratasvarganarakajanmamaraṇaprabandhabhājaḥ	BrAnteH praBavati yayAnavarata-svarga-naraka-janma-maraNa-prabanDa-BAjaH
   paśavo na punaḥ paramārthataḥ svātmano 'navacchinnacidānandaikaghanasya	paSavaH na punar paramArTataH sva-AtmanaH anavacCinna-cit-Ananda-eka-Ganasya
   dharmādharmādikaṃ kiñcidvidyata iti // 29 //	Darma-aDarma-Adikam kiQcid-vidyate iti // 29 //
   evamasadarthapratibhāsane bhrānteḥ sāmarthyaṃ vicārya tadutpattimāha	evam-asat-arTa-pratiBAsane BrAnteH sAmarTyam vicArya tat-utpattim-Aha
   etattadandhakāraṃ yadbhāveṣu prakāśamānatayā /	etat-tat-anDakAram yad-BAvezu prakASamAna-tayA /
   ātmānatirikteṣvapi bhavatyanātmābhimāno 'yam // 30 //	Atma-anatiriktezu-api Bavati-anAtma-aBimAnaH ayam // 30 //
   etattadandhakāram ityeṣā sā samanantarapratipāditā viśvamohinī	etat-tat-anDakAram iti-ezA sA samanantara-pratipAditA viSva-mohinI
   pūrṇatvākhyātirūpā bhrāntiḥ yadbhāveṣu pramātṛprameyarūpeṣu viśvavartiṣu	pUrNa-tva-AKyAti-rUpA BrAntiH yad-BAvezu pramAtR-prameya-rUpezu viSva-vartizu
   padārtheṣu prakāśamānatayā iti	padArTezu prakASamAnatayA iti
   ... nāprakāśaḥ prakāśate /	... na-aprakASaH prakASate /
   iti prakāśamānatānyathānupapattyā prakāśaśarīrībhūteṣu ātmanaḥ	iti prakASam-AnatA-anyaTA-anupapattyA prakASa-SarIrIBUtezu AtmanaH
   caitanyamaheśvarādapṛthagbhūteṣu satsvapi yaḥ ayam atirekeṇāmī bhāvā	cEtanya-maheSvarAt-apRTak-BUtezu satsu-api yaH ayam atirekeNa-amI BAvA
   grāhyā bāhyā matto bhinnāśceti anātmābhimānaḥ vāstavacidrūpatāpahastanena	grAhyAH bAhyAH mattaH BinnAH-ca-iti anAtma-aBimAnaH vAstava-cit-rUpa-tA-apahastanena
   yatteṣvavāstavaṃ jaḍatvāpādanam / ayamāśayo bhāvaprakāśane	yat-tezu-avAstavam jaxa-tva-ApAdanam / ayam-ASayaH BAva-prakASane
   'nyasyāprakāśarūpasya bāhyavāsanāderhetoranupapadyamānatvātsvātmaprakāśa	anyasya-aprakASa-rUpasya bAhya-vAsanA-AdeH-hetoH-anupapadyamAna-tvAt-svAtma-prakASa
   eva svatantro 'rthānnīlasukhādinā prakāśate 'taḥ pramātṛprameyarūpatayā	eva svatantraH arTAn-nIla-suKa-AdinA prakASate atas pramAtR-prameya-rUpa-tayA
   citsvarūpo 'hameva prakāśa iti yadvāstavaṃ rūpaṃ tanna prakāśate	cit-svarUpaH aham-eva prakASaH iti yat-vAstavam rUpam tat-na prakASate
   kevalamevāvāstavo bhedaḥ prathata iti	kevalam-eva-avAstavaH BedaH praTate iti
   tāttvikaprathanābhāvādbhrānterandhakāreṇa rūpaṇamiti // 30 //	tAttvika-praTana-aBAvAt-BrAnteH-anDakAreNa rUpaNam-iti // 30 //
   ātmanyanātmābhimānapūrvo 'nātmanyātmābhimāno bhavatīti	Atmani-anAtma-aBimAna-pUrvaH anAtmani-Atma-aBimAnaH Bavati-iti
   pratipādayanbhrānteḥ sutarāṃ moharūpatāmāha	pratipAdayan-BrAnteH sutarAm moha-rUpa-tAm-Aha
   timirādapi timiramidaṃ gaṇḍasyopari mahānayaṃ sphoṭaḥ /	timirAt-api timiram-idam gaNxasya-upari mahAn-ayam sPowaH /
   yadanātmanyapi dehaprāṇādāvātmamānitvam // 31 //	yat-anAtmani-api deha-prANAdO=-Atma-mAni-tvam // 31 //
   ādau tāvadekasaṃvitsatattveṣvapi bhāveṣu bhedamayaṃ	AdO tAvat-eka-saMvid-sa-tattvezu-api BAvezu Beda-mayam
   jāḍyāpādanamakhyātitimireṇa kṛtaṃ yatsvātmano 'bhinnānāṃ bhāvānāṃ tato	jAxya-ApAda-namaKyAti-timireNa kRtam yat-sva-AtmanaH aBinnAnAm BAvAnAm tatas-
   bhedena prathanamata eva timiramiva timiram akhyātiḥ / yathaiko 'pi	Bedena praTanam-atas eva timiram-iva timiram aKyAtiH / yaTA-ekaH api
   candraḥ cakṣusthena rekhātimireṇa dvidhā bhāsyate dvau candrāviti	candraH cakzu-sTena reKA-timireNa dviDA BAsyate dvO candrO=-iti
   tathaivākhyātitimiramekamapi sarvaṃ svātmasvarūpaṃ vastu bhedenānātmarūpaṃ	taTA-eva-AKyAti-timiram-ekam-api sarvam sva-Atma-svarUpam vastu Bedena-anAtma-rUpam
   prakāśitavat / evamavasthite timiram aparamāyātaṃ mohānmoho 'yamāpatitaḥ	prakASita-vat / evam-avasTite timiram aparam-AyAtam mohAt-mohaH ayam-ApatitaH
   gaṇḍasyopari piṭakodbhavaśca yat akhyātyapahastitacitsvarūpeṣvapi	gaNxasya-upari piwakodBavaH-ca yat aKyAti-apahastita-cit-svarUpezu-api
   viśvavartiṣu padārtheṣu jāḍyamāpāditeṣu madhyāduddhṛte vyatirikte jaḍe	viSva-vartizu padArTezu jAxyam-ApAditezu maDyAt-udDRte vyatirikte jaxe
   dehaprāṇādau vedyakhaṇḍe kṛśo 'haṃ sthūlo 'haṃ kṣudhito 'haṃ sukhyasmi na	deha-prANa-AdO vedya-KaNxe kRSaH aham sTUlaH aham kzuDitaH aham suKyasmi na
   kiñcidahamiti pramātṛtayānātmabhūte ātmamānitvam atādrūpye	kiQcid-aham-iti pramAtR-tayA-ana-Atma-BUte Atma-mAni-tvam atA-drUpye
   tādrūpyapratipattiretadativaiśasam / yadi tāvadātmābhimānena vinā	tAdrUpya-pratipattiH-etat-ati-vESasam / yadi tAvat-AtmA-aBimAnena vinA
   vaiśasamasti tannīlasukhādiṣvapyastu mā vā kutrāpi bhūdyatpunaḥ katipaye	vESasam-asti tad-nIla-suKa-Adizu-api-astu mA vA kutra-api BUt-yat-punar katipaye
   jaḍe dehādau loṣṭaprāya ātmatayāhantārasābhiṣeko 'nyatra	jaxe deha-AdO lozwa-prAyaH Atma-tayA-AhantA-rasA-aBizekaH anyatra
   nīlasukhādāvidantayānātmapratipādanameṣa eva pūrṇaḥ saṃsāraḥ śocanīyo	nIla-suKa-At-AvidantayAna-Atma-pratipAdanam-ezaH eva pUrNaH saMsAraH SocanIyaH-
   yadabhimānopanato dvandvābhighātaḥ karṣati paśūniti / yaduktaṃ	yat-aBimAna-upanataH dvandva-aBiGAtaH karzati paSUn-iti / yat-uktam
   mārkaṇḍeyapurāṇe yoginyā madālasayā	mArkaNxeyapurANe yoginyA mada-alasayA
   yānaṃ kṣitau yānagataśca deho dehe 'pi cānyaḥ puruṣo niviṣṭaḥ /	yAnam kzitO yAna-gataH-ca dehaH dehe api ca-anyaH puruzaH nivizwaH /
   mamatvamurvyāṃ na tathā yathā sve dehe 'timātraṃ ca vimūḍhataiṣā //	mamatvam-urvyAm na taTA yaTA sve dehe atimAtram ca vimUXa-tA-ezA //
   iti // 31 //	iti // 31 //
   evamakhyātivaśānmithyāvikalpairitthamātmānaṃ badhnātītyāha	evam-aKyAti-vaSAt-miTyA-vikalpEH-itTam-AtmAnam baDnAti-iti-Aha
   dehaprāṇavimarśanadhījñānanabhaḥprapañcayogena /	deha-prANa-vimarSana-DI-jQAna-naBaH-prapaQca-yogena /
   ātmānaṃ veṣṭayate citraṃ jālena jālakāra iva // 32 //	AtmAnam vezwayate citram jAlena jAlakAraH iva // 32 //
   akhyātyapahastitacaitanyaḥ sarvaḥ pramātā	aKyAti-apahastita-cEtanyaH sarvaH pramAtA
   svotthairvikalpanigaḍairvyāpakamapi ātmānaṃ veṣṭayate / kathamityāha deha	sva-utTEH-vikalpa-nigaxEH-vyApakam-api AtmAnam vezwayate / kaTam-iti-Aha deha
   ityādi / dehaprāṇayorvimarśanaṃ dhiyo jñānam niścayaḥ nabhasāṃ prapañcaḥ	ityAdi / deha-prANayoH-vimarSanam DiyaH jQAnam niScayaH naBasAm prapaQcaH
   vistāraḥ tadyogena dehādivikalpasaṃbandhena / yathā kṛśaḥ sthūlo	vistAraH tad-yogena deha-Adi-vikalpa-saMbanDena / yaTA kRSaH sTUlaH-
   rūpavānpaṇḍitaścāsmīti bālāṅganāpāmarāḥ kārṣikā itthaṃ svavikalpena	rUpavAn-paNxitaH-ca-asmi-iti bAla-aFganApAmarAH kArzikAH itTam sva-vikalpena
   dehamevātmatvena pratipannāḥ kiñcidvivecakaṃmanyāḥ /	deham-eva-Atma-tvena pratipannAH kiQcid-vivecakaMmanyAH /
   dehastāvadihaiva pralīyate kuto 'syātmatvamato yaḥ kṣudhitaḥ pipāsitaḥ so	dehaH-tAvat-iha-eva pralIyate kutas asya-Atma-tvam-atas yaH kzuDitaH pipAsitaH saH-
   'hamiti prāṇātmamāninaśca vivecakaṃmanyatarāḥ /	aham-iti prANa-Atma-mAninaH-ca vivecakaMmanyatarAH /
   dehaprāṇau jaḍau loṣṭādivatkuto 'nayorātmabhāvastataḥ sukhyahaṃ	deha-prANO jaxO lozwa-Adi-vat-kutas anayoH-Atma-BAvaH-tatas suKI-aham
   duḥkhyahamiti yaḥ sukhaduḥkhādi cetate sa ātmeti puryaṣṭakābhimānino	duHKI-aham-iti yaH suKa-duHKa-Adi cetate saH AtmA-iti puryazwaka-aBimAninaH-
   mīmāṃsakādayo 'pi vivecakatamāśca /	mImAMsaka-AdayaH api vivecakatamAH-ca /
   etatsukhaduḥkhādyapi buddhidharmaḥ kathamātmatayā vaktuṃ śakyastato	etad-suKa-duHKa-Adi-api budDi-DarmaH kaTam-Atma-tayA vaktum SakyaH-tatas-
   dehaprāṇadhīvikalpānāṃ yatrābhāvaḥ sa ātmeti śūnyābhimāninaḥ / evaṃ	deha-prANa-DI-vikalpAnAm yatra-aBAvaH saH AtmA-iti SUnya-aBimAninaH / evam
   yatkiñcididaṃ bhāti tannāhamityaprathārūpaṃ śūnyameva	yat-kiQcid-idam BAti tat-na-aham-iti-apraTA-rUpam SUnyam-eva
   sarvāpohanasvabhāvamātmeti nabhaḥśabdenoktaḥ / tadapi śūnyaṃ yadā	sarva-apohana-svaBAvam-AtmA-iti naBaH-Sabdena-uktaH / tat-api SUnyam yadA
   samādhānāvasare vedyīkurvata etadapi śūnyaṃ vayaṃ na bhavāmastadā	samADAna-avasare vedyIkurvataH etat-api SUnyam vayam na BavAmaH-tadA
   śūnyāntaramātmatvena vidadhānā neti neti	SUnya-antaram-Atma-tvena vidaDAnA na-iti na-iti
   brahmavādyabhyupagatatattacchūnyaparityāgena tāṃ tāṃ śūnyātmatāṃ	brahma-vAdI-aByupagata-tad-tad-SUnya-parityAgena tAm tAm SUnya-Atma-tAm
   parigṛhṇantīti nabhaḥprapañcaḥ kārikāyāṃ nirūpitaḥ / itthaṃ	parigRhNanti-iti naBaH-prapaQcaH kArikAyAm nirUpitaH / itTam
   saṃvitsvarūpāparyavasānācchūnyātmamānino yoginaḥ suṣuptaguhānimagnā	saMvid-svarUpa-aparyavasAnAt-SUnya-Atma-mAninaH yoginaH suzupta-guhA-nimagnA
   jaḍātmāno bhrāntā evātmānaṃ saṃvitsvarūpamapi jāḍyenānubadhnanti / citram	jaxa-AtmAnaH BrAntAH eva-AtmAnam saMvid-svarUpam-api jAxyena-anubaDnanti / citram
   ityāścaryametadyaduta vaiśasaṃ naitatsvayaṃ kartuṃ pāryata iti / atra	iti-AScaryam-etat-yat-uta vESasam na-etat-svayam kartum pAryate iti / atra
   dṛṣṭāntamāha jālena ityādi / yathā jālakāraḥ kaścitkṛmirvā svanirmitena	dRzwAntam-Aha jAlena ityAdi / yaTA jAlakAraH kaScid-kRmiH-vA sva-nirmitena
   phenena jālamāvaraṇaṃ nirmāya sarvato gatam ātmānaṃ veṣṭayate svaṃ	Penena jAlam-AvaraNam nirmAya sarvatas gatam AtmAnam vezwayate svam
   svātmanidhanāya badhnāti yenottaratra tatraiva nidhanaṃ yāti tathā	sva-Atma-niDanAya baDnAti yena-uttaratra tatra-eva niDanam yAti taTA
   dehādyātmamānī tu svavikalpakalpitairahaṃ mameti vikalpaiḥ svātmānameva	deha-Adi-Atma-mAnI tu sva-vikalpa-kalpitEH-aham mama-iti vikalpEH sva-AtmAnam-eva
   badhnāti / tathā ca bauddhāḥ	baDnAti / taTA ca bOdDAH
   satyātmani parasaṃjñā svaparavibhāgātparigrahadveṣau /	satya-Atmani para-saMjQA sva-para-viBAgAt-parigraha-dvezO /
   anayoḥ saṃpratibaddhāḥ sarve doṣāḥ prajāyante //	anayoH saMpratibadDAH sarve dozAH prajAyante //
   ityāhuḥ // 32 //	iti-AhuH // 32 //
   kathameṣa durnivāro mahāmoho dehādipramātṛtāsamutthaḥ pralīyata iti	kaTam-eza durnivAraH mahAmohaH deha-Adi-pramAtR-tA-sam-utTaH pralIyate iti
   bhagavatsvātantryamevātra heturityāha	Bagavat-svAtantryam-eva-atra hetuH-iti-Aha
   svajñānavibhavabhāsanayogenodveṣṭayennijātmānam /	sva-jQAna-viBava-BAsana-yogena-udvezwayet-nija-AtmAnam /
   iti bandhamokṣacitrāṃ krīḍāṃ pratanoti paramaśivaḥ // 33 //	iti banDa-mokza-citrAm krIxAm pratanoti parama-SivaH // 33 //
   svasya ātmanaścaitanyalakṣaṇasya yat jñānam svasvātantryāvagamastasya	svasya AtmanaH-cEtanya-lakzaNasya yat jQAnam sva-svAtantrya-avagamaH-tasya
   vibhavaḥ dehādyabhimānavigalanena yaccitsvarūpe parāhantācamatkārarūpasya	viBavaH deha-Adi-aBimAna-vigalanena yat-cit-svarUpe parAhanta-AcamatkAra-rUpasya
   svasvātantryasya sphītatvaṃ cidānandaikaghanaḥ svatantro 'smīti tasya	sva-svAtantryasya sPIta-tvam cit-Ananda-eka-GanaH svatantraH asmi-iti tasya
