   BhP_05.01.001/0 rājovāca	BhP_05.01.001/0 rAjA-uvAca
   BhP_05.08.005/1 tasyā utpatantyā antarvatnyā uru-bhayāvagalito	Bhu-_05.08.005/1 tasyAH utpatantyAH antarvatnyAH uru-Baya-avagalitaH-
   yoni-nirgato garbhaḥ srotasi nipapāta	yoni-nirgataH garBaH srotasi nipapAta
   BhP_05.08.006/1 tat-prasavotsarpaṇa-bhaya-khedāturā sva-gaṇena viyujyamānā	Bhu-_05.08.006/1 tat--prasava-utsarpaNa--Baya---Keda-AturA sva--gaNena viyujyamAnA
   kasyāñcid daryāṃ kṛṣṇa-sārasatī nipapātātha ca mamāra	kasyAQcid daryAm kRzNa--sArasatI nipapAta-aTa ca mamAra
   BhP_05.08.007/1 taṃ tv eṇa-kuṇakaṃ kṛpaṇaṃ srotasānūhyamānam	Bhu-_05.08.007/1 tam tu eNa-kuNakam kRpaNam srotasAnUhyamAnam
   abhivīkṣyāpaviddhaṃ bandhur ivānukampayā rājarṣir bharata ādāya	aBivIkzya-apavidDam banDuH iva-anukampayA rAjarziH BarataH AdAya
   mṛta-mātaram ity āśrama-padam anayat	mRta-mAtaram iti ASrama-padam anayat-
   BhP_05.08.008/1 tasya ha vā eṇa-kuṇaka uccair etasmin	Bhu-_05.08.008/1 tasya ha vE eNa-kuNakaH uccEs etasmin
   kṛta-nijābhimānasyāhar-ahas	kRta-nija-aBimAnasya-ahar-ahar-
   tat-poṣaṇa-pālana-lālana-prīṇanānudhyānenātma-niyamāḥ saha-yamāḥ	tat-pozaNa--pAlana--lAlana--prINana-anuDyAnena-Atma--niyamAH saha-yamAH
   puruṣa-paricaryādaya ekaikaśaḥ katipayenāhar-gaṇena viyujyamānāḥ kila	puruza--paricarya-AdayaH ekEkaSas katipayena-ahar-gaNena viyujyamAnAH kila
   sarva evodavasan	sarve eva-udavasan
   BhP_05.08.009/1 aho batāyaṃ hariṇa-kuṇakaḥ kṛpaṇa	Bhu-_05.08.009/1 aho bata-ayam hariNa-kuNakaH kRpaNa
   īśvara-ratha-caraṇa-paribhramaṇa-rayeṇa sva-gaṇa-suhṛd-bandhubhyaḥ	ISvara--raTa-caraNa--pariBramaNa--rayeNa sva--gaNa--suhRd-banDuByaH
   parivarjitaḥ śaraṇaṃ ca mopasādito mām eva mātā-pitarau bhrātṛ-jñātīn	parivarjitaH SaraNam ca mA-upasAditaH mAm eva mAtA-a-pitarO BrAtR-jQAtIn
   yauthikāṃś caivopeyāya nānyaṃ kañcana veda mayy ati-visrabdhaś cāta eva	yOTikAn ca-eva-upeyAya na-anyam kaQcana veda mayi ati-visrabDaH ca-atas eva
   mayā mat-parāyaṇasya poṣaṇa-pālana-prīṇana-lālanam anasūyunānuṣṭheyaṃ	mayA mat--parAyaNasya pozaNa--pAlana--prINa-na--lAlanam anasUyunA-anuzWeyam
   śaraṇyopekṣā-doṣa-viduṣā	SaraNya-upekzA--doza--viduzA
   BhP_05.08.010/1 nūnaṃ hy āryāḥ sādhava upaśama-śīlāḥ kṛpaṇa-suhṛda	Bhu-_05.08.010/1 nUnam hi AryAH sADave upaSama--SIlAH kRpaNa--suhRda
   evaṃ-vidhārthe svārthān api gurutarān upekṣante	evaM-viDa-arTe sva-arTAn api gurutarAn upekzante
   BhP_05.08.011/1 iti kṛtānuṣaṅga āsana-śayanāṭana-snānāśanādiṣu saha	BhP_05.08.011/1 iti kRta-anuzaFgaH Asana--Sayana-Awana--snAna-aSana-Adizu saha
   mṛga-jahunā snehānubaddha-hṛdaya āsīt	mRga-jahunA sneha-anubadDa--hRdayaH AsIt-
   BhP_05.08.012/1 kuśa-kusuma-samit-palāśa-phala-mūlodakāny āhariṣyamāṇo	Bhu-_05.08.012/1 kuSa--kusuma--samit--palASa--Pala--mUla-udakAni AharizyamANaH-
   vṛkasālā-vṛkādibhyo bhayam āśaṃsamāno yadā saha hariṇa-kuṇakena vanaṃ	vRkasAla-a-vRka-AdiByaH Bayam ASaMsamAnaH yadA saha hariNa-kuNakena vanam
   samāviśati	samAviSati
   BhP_05.08.013/1 pathiṣu ca mugdha-bhāvena tatra tatra	Bhu-_05.08.013/1 paTizu ca mugDa--BAvena tatra tatra
   viṣakta-mati-praṇaya-bhara-hṛdayaḥ kārpaṇyāt skandhenodvahati evam utsaṅga	vizakta-mati--praNaya--Bara--hRdayaH kArpaNyAt skanDena-udvahati evam utsaFga
   urasi cādhāyopalālayan mudaṃ paramām avāpa	urasi ca-ADAya-upalAlayan mudam paramAm avApa
   BhP_05.08.014/1 kriyāyāṃ nirvartyamānāyām antarāle 'py utthāyotthāya	Bhu-_05.08.014/1 kriyAyAm nirvartyamAnAyAm antarAle api utTAya-utTAya
   yadainam abhicakṣīta tarhi vāva sa varṣa-patiḥ prakṛti-sthena manasā tasmā	yadA-enam aBicakzIta tarhi vAva sa varza--patiH prakRti-sTena manasA tasmA
   āśiṣa āśāste svasti stād vatsa te sarvata iti	ASizaH ASAste svasti stAd vatsa te sarvatas iti
   BhP_05.08.015/1 anyadā bhṛśam udvigna-manā naṣṭa-draviṇa iva kṛpaṇaḥ	Bhu-_05.08.015/1 anyadA BRSam udvigna--manAH nazwa--draviNaH iva kRpaNaH
   sakaruṇam ati-tarṣeṇa hariṇa-kuṇaka-viraha-vihvala-hṛdaya-santāpas tam	sa-karuNam ati-tarzeNa hariNa-kuNaka-viraha--vihvala--hRdaya--santApaH tam
   evānuśocan kila kaśmalaṃ mahad abhirambhita iti hovāca	eva-anuSocan kila kaSmalam mahat aBiramBitaH iti ha-uvAca
   BhP_05.08.016/1 api bata sa vai kṛpaṇa eṇa-bālako mṛta-hariṇī-suto 'ho	Bhu-_05.08.016/1 api bata sa vE kRpaNaH eNa-bAlakaH mRta-hariNI--sutaH aho
   mamānāryasya śaṭha-kirāta-mater akṛta-sukṛtasya kṛta-visrambha	mama-anAryasya SaWa--kirAta--mateH akRta-sukRtasya kRta-visramBa
   ātma-pratyayena tad avigaṇayan sujana ivāgamiṣyati	Atma--pratyayena tat avigaNayan su-janaH iva-Agamizyati
   BhP_05.08.017/1 api kṣemeṇāsminn āśramopavane śaṣpāṇi carantaṃ deva-guptaṃ	Bhu-_05.08.017/1 api kzemeNa-asmin ASrama-upavane SazpANi carantam deva-guptam
   drakṣyāmi	drakzyAmi
   BhP_05.08.018/1 api ca na vṛkaḥ sālā-vṛko 'nyatamo vā naika-cara eka-caro	BhP_05.08.018/1 api ca na vRkaH sAlA-vRkaH anyatamaH vA na-eka-caraH eka-caraH-
   vā bhakṣayati	vA Bakzayati
   BhP_05.08.019/1 nimlocati ha bhagavān sakala-jagat-kṣemodayas	BhP_05.08.019/1 nimlocati ha BagavAn sakala--jagat---kzema-udayaH-
   trayy-ātmādyāpi mama na mṛga-vadhū-nyāsa āgacchati	trayy-a-AtmA-adya-api mama na mRga-vaDU-nyAse AgacCati
   BhP_05.08.020/1 api svid akṛta-sukṛtam āgatya māṃ sukhayiṣyati	Bhu-_05.08.020/1 api svid akRta-sukRtam Agatya mAm suKayizyati
   hariṇa-rāja-kumāro vividha-rucira-darśanīya-nija-mṛga-dāraka-vinodair	hariNa-rAja--kumAraH viviDa--rucira-darSanIya--nija--mRga-dAraka-vinodEH-
   asantoṣaṃ svānām apanudan	asantozam svAnAm apanudan
   BhP_05.08.021/1 kṣvelikāyāṃ māṃ mṛṣā-samādhināmīlita-dṛśaṃ	Bhu-_05.08.021/1 kzvelikAyAm mAm mRzA--samADinA-AmIlita-dRSam
   prema-saṃrambheṇa cakita-cakita āgatya pṛṣad-aparuṣa-viṣāṇāgreṇa luṭhati	prema--saMramBeNa cakita--cakitaH Agatya pRzad-a-paruza-vizANa-agreNa luWati
   BhP_05.08.022/1 āsādita-haviṣi barhiṣi dūṣite mayopālabdho bhīta-bhītaḥ	Bhu-_05.08.022/1 AsAdita--havizi barhizi dUzite mayA-upAlabDaH BIta-BItaH
   sapady uparata-rāsa ṛṣi-kumāravad avahita-karaṇa-kalāpa āste	sapadi uparata-rAsaH Rzi--kumAra-vat avahita-karaNa--kalApaH Aste
   BhP_05.08.023/1 kiṃ vā are ācaritaṃ tapas tapasvinyānayā yad iyam avaniḥ	Bhu-_05.08.023/1 kim vE are Acaritam tapaH tapasvinyAnayA yat iyam avaniH
   savinaya-kṛṣṇa-sāra-tanaya-tanutara-subhaga-śivatamākhara-khura-pada-paṅktibhir	sa-vinaya--kRzNa---sAra--tanaya--tanutara--suBaga--SivatamAKara--Kura--pada--paFktiBiH-
   draviṇa-vidhurāturasya kṛpaṇasya mama draviṇa-padavīṃ sūcayanty ātmānaṃ ca	draviNa--viDuH-Aturasya kRpaNasya mama draviNa--padavIm sUcayanti AtmAnam ca
   sarvataḥ kṛta-kautukaṃ dvijānāṃ svargāpavarga-kāmānāṃ deva-yajanaṃ karoti	sarvatas kRta-kOtukam dvijAnAm svarga-apavarga--kAmAnAm deva--yajanam karoti
   BhP_05.08.024/1 api svid asau bhagavān uḍu-patir enaṃ mṛga-pati-bhayān	Bhu-_05.08.024/1 api svid asO BagavAn uxu-patiH enam mRga-pati--BayAn
   mṛta-mātaraṃ mṛga-bālakaṃ svāśrama-paribhraṣṭam anukampayā	mRta-mAtaram mRga-bAlakam sva-ASrama--pariBrazwam anukampayA
   kṛpaṇa-jana-vatsalaḥ paripāti	kRpaNa-jana--vatsalaH paripAti
   BhP_05.08.025/1 kiṃ vātmaja-viśleṣa-jvara-dava-dahana-śikhābhir	Bhu-_05.08.025/1 kim vA-Atmaja--viSleza--jvara--dava--dahana--SiKABiH-
   upatapyamāna-hṛdaya-sthala-nalinīkaṃ mām upasṛta-mṛgī-tanayaṃ	upatapyamAna--hRdaya-sTala-nalinIkam mAm upasRta--mRgI--tanayam
   śiśira-śāntānurāga-guṇita-nija-vadana-salilāmṛtamaya-gabhastibhiḥ	SiSira--SAnta-anurAga--guNita--nija--vadana--salila-amRtam-aya--gaBastiBiH
   svadhayatīti ca	svaDayati-iti ca
   BhP_05.08.026/1 evam aghaṭamāna-manorathākula-hṛdayo mṛga-dārakābhāsena	Bhu-_05.08.026/1 evam aGawa-mAna--manoraTa-Akula--hRdayaH mRga-dAraka-ABAsena
   svārabdha-karmaṇā yogārambhaṇato vibhraṃśitaḥ sa yoga-tāpaso	su-a-ArabDa--karmaNA yoga-AramBaNataH viBraMSitaH sa yoga-tApasaH-
   bhagavad-ārādhana-lakṣaṇāc ca katham itarathā jāty-antara eṇa-kuṇaka	Bagavat--ArADana--lakzaNAt ca kaTam itaraTAH jAti--antaraH eNa-kuNaka
   āsaṅgaḥ sākṣān niḥśreyasa-pratipakṣatayā	AsaFgaH sAkzAt niHSreyasa--pratipakza-tayA
   prāk-parityakta-dustyaja-hṛdayābhijātasya tasyaivam	prAk--parityakta-dustyaja--hRdaya-aBijAtasya tasya-evam
   antarāya-vihata-yogārambhaṇasya rājarṣer bharatasya tāvan	antarAya--vihata-yoga-AramBaNasya rAjarzeH Baratasya tAvan
   mṛgārbhaka-poṣaṇa-pālana-prīṇana-lālanānuṣaṅgeṇāvigaṇayata ātmānam ahir	mRga-arBaka-pozaNa--pAlana--prINa-na--lAlana-anuzaFgeNa-avigaNayataH AtmAnam ahir
   ivākhu-bilaṃ duratikramaḥ kālaḥ karāla-rabhasa āpadyata	iva-AKu-bilam duratikramaH kAlaH karAla--raBasaH Apadyata
   BhP_05.08.027/1 tadānīm api pārśva-vartinam ātmajam ivānuśocantam	Bhu-_05.08.027/1 tadAnIm api pArSva-vartinam Atmajam iva-anuSocantam
   abhivīkṣamāṇo mṛga evābhiniveśita-manā visṛjya lokam imaṃ saha mṛgeṇa	aBivIkzamANaH mRgaH eva-aBiniveSi-ta-manAH visRjya lokam imam saha mRgeNa
   kalevaraṃ mṛtam anu na mṛta-janmānusmṛtir itaravan mṛga-śarīram avāpa	kalevaram mRtam anu na mRta-janma-anusmRtiH itara-vat mRga--SarIram avApa
   BhP_05.08.028/1 tatrāpi ha vā ātmano mṛgatva-kāraṇaṃ	Bhu-_05.08.028/1 tatra-api ha vA AtmanaH mRga-tva--kAraNam
   bhagavad-ārādhana-samīhānubhāvenānusmṛtya bhṛśam anutapyamāna āha	Bagavat--ArADana--samIha-anuBAvena-anusmRtya BRSam anutapyamAnaH Aha
   BhP_05.08.029/1 aho kaṣṭaṃ bhraṣṭo 'ham ātmavatām anupathād	Bhu-_05.08.029/1 aho kazwam BrazwaH aham AtmavatAm anupaTAt-
   yad-vimukta-samasta-saṅgasya vivikta-puṇyāraṇya-śaraṇasyātmavata ātmani	yad-vimukta--samasta-saFgasya vivikta--puNya-araNya--SaraNasya-AtmavataH Atmani
   sarveṣām ātmanāṃ bhagavati vāsudeve	sarvezAm AtmanAm Bagavati vAsudeve
   tad-anuśravaṇa-manana-saṅkīrtanārādhanānusmaraṇābhiyogenāśūnya-sakala-yāmena	tad--anuSravaNa-manana--saFkIrtana-ArADana-anusmaraNa-aBiyogena-aSUnya--sakala-yAmena
   kālena samāveśitaṃ samāhitaṃ kārtsnyena manas tat tu punar mamābudhasyārān	kAlena samAveSitam samAhitam kArtsnyena manaH tat tu punar mama-abuDasya-ArAn
   mṛga-sutam anu parisusrāva	mRga-sutam anu parisusrAva
   BhP_05.08.030/1 ity evaṃ nigūḍha-nirvedo visṛjya mṛgīṃ mātaraṃ punar	Bhu-_05.08.030/1 iti evam nigUXa--nirvedaH visRjya mRgIm mAtaram punar-
   bhagavat-kṣetram upaśama-śīla-muni-gaṇa-dayitaṃ śālagrāmaṃ	Bagavat--kzetram upaSama--SIla--muni--gaNa--dayitam SAlagrAmam
   pulastya-pulahāśramaṃ kālañjarāt pratyājagāma	pulastya--pulahA-ASramam kAlaQjarAt pratyAjagAma
   BhP_05.08.031/1 tasminn api kālaṃ pratīkṣamāṇaḥ saṅgāc ca bhṛśam udvigna	Bhu-_05.08.031/1 tasmin api kAlam pratIkzamANaH saFgAt ca BRSam udvigna
   ātma-sahacaraḥ śuṣka-parṇa-tṛṇa-vīrudhā vartamāno mṛgatva-nimittāvasānam	Atma--sahacaraH Suzka-parNa-tRNa-vIruDA vartamAnaH mRga-tva--nimitta-avasAnam
   eva gaṇayan mṛga-śarīraṃ tīrthodaka-klinnam ut-sasarja	eva gaNayan mRga--SarIram tIrTa-udaka--klinnam ut-sasarja
   BhP_05.09.001/0 śrī-śuka uvāca	BhP_05.09.001/0 SrI-SukaH uvAca
   BhP_05.09.001/1 atha kasyacid dvija-varasyāṅgiraḥ-pravarasya	Bhu-_05.09.001/1 aTa kasyacid dvija-varasya-aFgiraH--pravarasya
   śama-dama-tapaḥ-svādhyāyādhyayana-tyāga-santoṣa-titikṣā-praśraya-vidyānasūyātma-jñānānanda-yuktasyātma-sadṛśa-śruta-śīlācāra-rūpaudārya-guṇā	Sama-dama--tapaH--svADyAya-aDyayana-tyAga--santoza--titikzA--praSraya-vidyA-nasUyA-Atma--jQAna-Ananda--yuktasya-Atma--sadRSa--Sruta--SIla-AcAra--rUpO
   nava sodaryā aṅgajā babhūvur mithunaṃ ca yavīyasyāṃ bhāryāyām yas tu tatra	nava sodaryAH aFga-jAH baBUvuH miTunam ca yavIyasyAm BAryAyAm yaH tu tatra
   pumāṃs taṃ parama-bhāgavataṃ rājarṣi-pravaraṃ bharatam	pumAn tam parama--BAgavatam rAjarzi--pravaram Baratam
   utsṛṣṭa-mṛga-śarīraṃ carama-śarīreṇa vipratvaṃ gatam āhuḥ	utsRzwa--mRga--SarIram carama--SarIreNa vipra-tvam gatam AhuH
   BhP_05.09.002/1 tatrāpi svajana-saṅgāc ca bhṛśam udvijamāno bhagavataḥ	Bhu-_05.09.002/1 tatra-api sva-jana--saFgAt ca BRSam udvijamAnaH BagavataH
   karma-bandha-vidhvaṃsana-śravaṇa-smaraṇa-guṇa-vivaraṇa-caraṇāravinda-yugalaṃ	karma--banDa--viDvaMsana--SravaNa-smaraNa--guNa--vivaraNa--caraNa-aravinda--yugalam
   manasā vidadhad ātmanaḥ pratighātam āśaṅkamāno	manasA vidaDat AtmanaH pratiGAtam ASaFkamAnaH-
   bhagavad-anugraheṇānusmṛta-sva-pūrva-janmāvalir ātmānam	Bagavat--anugraheNa-anusmRta--sva--pUrva--janma-AvaliH AtmAnam
   unmatta-jaḍāndha-badhira-svarūpeṇa darśayām āsa lokasya	unmatta-jaxA-anDa-baDira--svarUpeNa darSayAm Asa lokasya
   BhP_05.09.003/1 tasyāpi ha vā ātmajasya vipraḥ putra-snehānubaddha-manā	Bhu-_05.09.003/1 tasya-api ha vA Atmajasya vipraH putra--sneha-anubadDa--manA
   āsamāvartanāt saṃskārān yathopadeśaṃ vidadhāna upanītasya ca punaḥ	AsamAvartanAt saMskArAn yaTopadeSam vidaDAnaH upanItasya ca punar-
   śaucācamanādīn karma-niyamān anabhipretān api samaśikṣayad anuśiṣṭena hi	SOca-Acamana-AdIn karma--niyamAn anaBipretAn api samaSikzayat anuSizwena hi
   bhāvyaṃ pituḥ putreṇeti	BAvyam pituH putreNa-iti
   BhP_05.09.004/1 sa cāpi tad u ha pitṛ-sannidhāv evāsadhrīcīnam iva sma	BhP_05.09.004/1 sa ca-api tat u ha pitR-sanniDO eva-asaDrI-cInam iva sma
   karoti chandāṃsy adhyāpayiṣyan saha vyāhṛtibhiḥ sapraṇava-śiras tripadīṃ	karoti CandAMsi aDyApayizyan saha vyAhRtiBiH sa-praNava--SiraH tripadIm
   sāvitrīṃ graiṣma-vāsantikān māsān adhīyānam apy asamaveta-rūpaṃ grāhayām	sAvitrIm grEzma-vAsantikAn mAsAn aDIyAnam api asamaveta-rUpam grAhayAm
   āsa	Asa
   BhP_05.09.005/1 evaṃ sva-tanuja ātmany anurāgāveśita-cittaḥ	Bhu-_05.09.005/1 evam sva--tanujaH Atmani anurAga-AveSita--cittaH
   śaucādhyayana-vrata-niyama-gurv-anala-śuśrūṣaṇādy-aupakurvāṇaka-karmāṇy	SOca-aDyayana-vrata-niyama--guru--anala--SuSrUzaNa-Adi--a-OpakurvANaka-karmANi-
   anabhiyuktāny api samanuśiṣṭena bhāvyam ity asad-āgrahaḥ putram anuśāsya	anaBiyuktAni api samanuSizwena BAvyam iti asat--AgrahaH putram anuSAsya
   svayaṃ tāvad anadhigata-manorathaḥ kālenāpramattena svayaṃ gṛha eva	svayam tAvat anaDigata--manoraTaH kAlena-apramattena svayam gRhe eva
   pramatta upasaṃhṛtaḥ	pramattaH upasaMhRtaH
   BhP_05.09.006/1 atha yavīyasī dvija-satī sva-garbha-jātaṃ mithunaṃ	Bhu-_05.09.006/1 aTa yavIyasI dvija--satI sva--garBa-jAtam miTunam
   sapatnyā upanyasya svayam anusaṃsthayā patilokam agāt	sapatnyAH upanyasya svayam anusaMsTayA pati-lokam agAt-
   BhP_05.09.007/1 pitary uparate bhrātara enam atat-prabhāva-vidas trayyāṃ	Bhu-_05.09.007/1 pitari uparate BrAtaraH enam atat--praBAva--vidaH trayyAm
   vidyāyām eva paryavasita-matayo na para-vidyāyāṃ jaḍa-matir iti bhrātur	vidyAyAm eva paryavasita-matayaH na para-vidyAyAm jaxa-matiH iti BrAtuH-
   anuśāsana-nirbandhān nyavṛtsanta	anuSAsana--nirbanDAt nyavRtsanta
   BhP_05.09.008/1 sa ca prākṛtair dvipada-paśubhir	BhP_05.09.008/1 sa ca prAkRtEH dvipada--paSuBiH-
   unmatta-jaḍa-badhira-mūkety abhibhāṣyamāṇo yadā tad-anurūpāṇi prabhāṣate	unmatta--jaxa-baDira-mUkA-iti aBiBAzyamANaH yadA tad--anurUpANi praBAzate
   karmāṇi ca kāryamāṇaḥ parecchayā karoti viṣṭito vetanato vā yācñyā	karmANi ca kAryamANaH para-icCayA karoti vizwitaH vetanataH vA yAcQyA
   yadṛcchayā vopasāditam alpaṃ bahu mṛṣṭaṃ kadannaṃ vābhyavaharati paraṃ	yadRcCayA vA-upasAditam alpam bahu mRzwam kadannam vA-aByavaharati param
   nendriya-prīti-nimittam	na-indriya--prIti--nimittam
   nitya-nivṛtta-nimitta-sva-siddha-viśuddhānubhavānanda-svātma-lābhādhigamaḥ	nitya--nivRtta--nimitta--sva-sidDa--viSudDa-anuBava-Ananda-svAtma--lABa-aDigamaH
   sukha-duḥkhayor dvandva-nimittayor asambhāvita-dehābhimānaḥ	suKa--duHKayoH dvandva--nimittayoH asamBAvita--deha-aBimAnaH
   BhP_05.09.010/1 śītoṣṇa-vāta-varṣeṣu vṛṣa ivānāvṛtāṅgaḥ pīnaḥ	Bhu-_05.09.010/1 SIta-uzNa--vAta--varzezu vRzaH iva-anAvRta-aFgaH pInaH
   saṃhananāṅgaḥ sthaṇḍila-saṃveśanānunmardanāmajjana-rajasā mahāmaṇir	saMhanana-aFgaH sTaNxila--saMveSanAn-unmarda-nAmajjana--rajasA mahA-maNiH-
   ivānabhivyakta-brahma-varcasaḥ kupaṭāvṛta-kaṭir upavītenoru-maṣiṇā	iva-anaBivyakta-brahma-varcasaH kupawa-AvRta--kawiH upavItena-Uru--maziNA
   dvijātir iti brahma-bandhur iti saṃjñayātaj-jñajanāvamato vicacāra	dvijAtiH iti brahma-banDuH iti saMjQayAtaj-jQa-jana-avamataH vicacAra
   BhP_05.09.011/1 yadā tu parata āhāraṃ karma-vetanata īhamānaḥ	Bhu-_05.09.011/1 yadA tu paratas AhAram karma--vetanataH IhamAnaH
   sva-bhrātṛbhir api kedāra-karmaṇi nirūpitas tad api karoti kintu na samaṃ	sva--BrAtRBiH api kedAra-karmaNi nirUpitaH tat api karoti kintu na samam
   viṣamaṃ nyūnam adhikam iti veda	vizamam nyUnam aDikam iti veda
   kaṇa-piṇyāka-phalī-karaṇa-kulmāṣa-sthālīpurīṣādīny apy amṛtavad	kaNa-piNyAka--PalI-karaNa--kulmAza--sTAlI-purIza-AdIni api amRta-vat-
   abhyavaharati	aByavaharati
   BhP_05.09.012/1 atha kadācit kaścid vṛṣala-patir bhadra-kālyai	Bhu-_05.09.012/1 aTa kadAcid kaScid vRzala-patiH Badra--kAlyE
   puruṣa-paśum ālabhatāpatya-kāmaḥ	puruza--paSum AlaBata-apatya--kAmaH
   BhP_05.09.013/1 tasya ha daiva-muktasya paśoḥ padavīṃ tad-anucarāḥ	Bhu-_05.09.013/1 tasya ha dEva-muktasya paSoH padavIm tad--anucarAH
   paridhāvanto niśi niśītha-samaye tamasāvṛtāyām anadhigata-paśava	pariDAvantaH niSi niSITa--samaye tamasA-AvRtAyAm anaDigata-paSava
   ākasmikena vidhinā kedārān vīrāsanena mṛga-varāhādibhyaḥ saṃrakṣamāṇam	Akasmikena viDinA kedArAn vIrAsanena mRga-varAha-AdiByaH saMrakzamANam
   aṅgiraḥ-pravara-sutam apaśyan	aFgiraH---pravara--sutam apaSyan
   BhP_05.09.014/1 atha ta enam anavadya-lakṣaṇam avamṛśya	Bhu-_05.09.014/1 aTa te enam anavadya--lakzaNam avamRSya
   bhartṛ-karma-niṣpattiṃ manyamānā baddhvā raśanayā caṇḍikā-gṛham upaninyur	BartR-karma--nizpattim manyamAnA badDvA raSanayA caNxikA-gRham upaninyuH-
   mudā vikasit a-vadanāḥ	mudA vikasit a-vadanAH
   BhP_05.09.015/1 atha paṇayas taṃ sva-vidhinābhiṣicyāhatena vāsasācchādya	Bhu-_05.09.015/1 aTa paNayaH tam sva--viDinA-aBizicya-Ahatena vAsasA-AcCAdya
   bhūṣaṇālepa-srak-tilakādibhir upaskṛtaṃ bhuktavantaṃ	BUzaNa-Alepa--srak--tilaka-AdiBiH upaskRtam Buktavantam
   dhūpa-dīpa-mālya-lāja-kisalayāṅkura-phalopahāropetayā vaiśasa-saṃsthayā	DUpa-dIpa--mAlya-lAja--kisalaya-aFkura-Pala-upahAra-upetayA vESasa--saMsTayA
   mahatā gīta-stuti-mṛdaṅga-paṇava-ghoṣeṇa ca puruṣa-paśuṃ bhadra-kālyāḥ	mahatA gIta--stuti--mRdaFga--paNava--GozeNa ca puruza--paSum Badra--kAlyAH
   purata upaveśayām āsuḥ	puratas upaveSayAm AsuH
   BhP_05.09.016/1 atha vṛṣala-rāja-paṇiḥ puruṣa-paśor asṛg-āsavena devīṃ	Bhu-_05.09.016/1 aTa vRzala-rAja--paNiH puruza-paSoH asRk--a-Asavena devIm
   bhadra-kālīṃ yakṣyamāṇas tad-abhimantritam asim ati-karāla-niśitam upādade	Badra--kAlIm yakzyamANaH tad--aBimantritam asim ati-karAla--niSitam upAdade
   BhP_05.09.017/1 iti teṣāṃ vṛṣalānāṃ rajas-tamaḥ-prakṛtīnāṃ	Bhu-_05.09.017/1 iti tezAm vRzalAnAm rajas-tamaH--prakRtInAm
   dhana-mada-raja-utsikta-manasāṃ bhagavat-kalā-vīra-kulaṃ	Dana-mada--raja--utsikta-manasAm Bagavat--kalA--vIra--kulam
   kadarthī-kṛtyotpathena svairaṃ viharatāṃ hiṃsā-vihārāṇāṃ karmāti-dāruṇaṃ	kadarTI-kRtya-utpaTena svEram viharatAm hiMsA--vihArANAm karma-ati-da-aruNam
   yad brahma-bhūtasya sākṣād brahmarṣi-sutasya nirvairasya	yat brahma-BUtasya sAkzAt brahmarzi--sutasya nirvErasya
   sarva-bhūta-suhṛdaḥ sūnāyām apy ananumatam ālambhanaṃ tad upalabhya	sarva-BUta-suhRdaH sUnAyAm api ananumatam AlamBanam tat upalaBya
   brahma-tejasāti-durviṣaheṇa dandahyamānena vapuṣā sahasoccacāṭa saiva devī	brahma--tejasA-ati-durvizaheNa dandahyamAnena vapuzA sahasA-uccacAwa sA-eva devI
   bhadra-kālī	Badra-kAlI
   BhP_05.09.018/1 bhṛśam	Bhu-_05.09.018/1 BRSam
   amarṣa-roṣāveśa-rabhasa-vilasita-bhru-kuṭi-viṭapa-kuṭila-daṃṣṭrāruṇekṣaṇāṭopāti-bhayānaka-vadanā	amarza--roza-AveSa--raBasa-vilasita--Bru--kuwi--viwapa--kuwila--daMzwra-aruNa-IkzaNa-Awopa-ati-BayAnaka-vadanA
   hantu-kāmevedaṃ mahāṭṭa-hāsam ati-saṃrambheṇa vimuñcantī tata utpatya	hantu-kAm-A-iva-idam mahA-awwa-hAsam ati-saMramBeNa vimuQcantI tatas utpatya
   pāpīyasāṃ duṣṭānāṃ tenaivāsinā vivṛkṇa-śīrṣṇāṃ galāt sravantam asṛg-āsavam	pApIyasAm duzwAnAm tena-eva-asinA vivRkNa--SIrzNAm galAt sravantam asRk--Asavam
   atyuṣṇaṃ saha gaṇena nipīyāti-pāna-mada-vihvaloccaistarāṃ sva-pārṣadaiḥ	ati-uzNam saha gaNena nipIya-ati-pAna--mada--vihvala-uccEstarAm sva--pArzadEH
   saha jagau nanarta ca vijahāra ca śiraḥ-kanduka-līlayā	saha jagO nanarta ca vijahAra ca SiraH--kanduka--lIlayA
   BhP_05.09.019/1 evam eva khalu mahad-abhicārāti-kramaḥ kārtsnyenātmane	Bhu-_05.09.019/1 evam eva Kalu mahat--aBicAra-ati-kramaH kArtsnyena-Atmane
   phalati	Palati
   BhP_05.09.020/1 na vā etad viṣṇudatta mahad-adbhutaṃ yad asambhramaḥ	Bhu-_05.09.020/1 na vE etat vizNudatta mahat--adButam yat asamBramaH
   sva-śiraś-chedana āpatite 'pi	sva-Sira-S-CedanaH Apatite api
   vimukta-dehādy-ātma-bhāva-sudṛḍha-hṛdaya-granthīnāṃ	vimukta--deha-Adi--a-Atma--BAva--su-dRXa--hRdaya--granTInAm
   sarva-sattva-suhṛd-ātmanāṃ nirvairāṇāṃ sākṣād	sarva--sattva--suhRd-a-AtmanAm nirvErANAm sAkzAt-
   bhagavatānimiṣāri-varāyudhenāpramattena tais tair bhāvaiḥ	BagavatA-nimiza-ari--vara-AyuDena-apramattena tEH tEH BAvEH
