   Bhk_1	Bhj-_1
   Bhk_5.27-1 āhopuruṣikāṃ paśya mama, sad-ratna-kānti-bhiḥ	Bhc-_5.27-1 AhopuruzikAm paSya mama, sad-ratna--kAnti-BiH
   Bhk_5.27-2 dhvastā'ndhakāre 'pi pure pūrṇendoḥ sannidhiḥ sadā.	Bhc-_5.27-2 DvastA-anDakAre api pure pUrNa-indoH sanniDiH sadA.
   Bhk_5.28-1 hṛta-ratnaś cyutodyogo rakṣobhyaḥ kara-do divi	Bhc-_5.28-1 hRta--ratnaH cyuta-udyogaH rakzoByaH kara-daH divi
   Bhk_5.28-2 pūtakratāyīmabhyeti sa-trapaḥ kiṃ na gotra-bhit.	Bhk-_5.28-2 pUta-kratAyIm-aByeti sa-trapaH kim na gotra-Bit.
   Bhk_5.29-1 a-tulya-mahasā sārdhaṃ rāmeṇa mama vigrahaḥ	Bhc-_5.29-1 a-tulya--mahasA sArDam rAmeNa mama vigrahaH
   Bhk_5.29-2 trapā-karas, tathāpyeṣa yatiṣye tad-vinigrahe."	Bhc-_5.29-2 trapA-karas, taTA-api-eza yatizye tad--vinigrahe."
   Bhk_5.30-1 utpatya khaṃ daśa-grīvo mano-yāyī śitā'stra-bhṛt	Bhc-_5.30-1 utpatya Kam daSa-grIvaH mano-yAyI SitA-astra-BRt-
   Bhk_5.30-2 samudra-savidhā''vāsaṃ mārīcaṃ prati cakrame.	Bhc-_5.30-2 samudra-saviDA-aavAsam mArIcam prati cakrame.
   Bhk_5.31-1 sampatya tat-sanīḍe-sau taṃ vṛttāntamaṣiṣravat,	Bhk-_5.31-1 sampatya tat-sa-nIxe-sO tam vRttAntam-azizravat,
   Bhk_5.31-2 trasnunā'tha śrutā'rthena tenā'gādi daśā''nanaḥ.	Bhc-_5.31-2 trasnunA-aTa SrutA-arTena tenA-agAdi daSA-aananaH.
   Bhk_5.32-1 "antardhatsva raghu-vyāghrāt tasmāt tvaṃ rākṣaseśvara !,	Bhc-_5.32-1 "antarDatsva raGu--vyAGrAt tasmAt tvam rAkzaseSvara !,
   Bhk_5.32-2 yo raṇne durupasthāno hasta-rodhaṃ dadhad dhanuḥ,	Bhk-_5.32-2 yaH raNne durupasTAnaH hasta-roDam daDat DanuH,
   Bhk_5.33-1 bhavantaṃ kārtavīryo yo hīna-sandhimacīkarat,	Bhk-_5.33-1 Bavantam kArtavIryaH yaH hIna--sanDim-acIkarat,
   Bhk_5.33-2 jigāya tasya hantāraṃ sa rāmaḥ sārvalaukikam.	Bhc-_5.33-2 jigAya tasya hantAram sa rAmaH sArvalOkikam-.
   Bhk_5.34-1 yamā''sya-dṛśvarī tasya tāḍakā vetti vikramam.	Bhc-_5.34-1 yamA-aasi-a-dRSvarI tasya tAxakA vetti vikramam.
   Bhk_5.34-2 śūraṃ-manyo raṇāc cā'haṃ nirastaḥ siṃha-nardinā.	Bhc-_5.34-2 SUraM-manyaH raNAt cA-aham nirastaH siMha-nardinA.
   Bhk_5.35-1 na tvaṃ tenā 'nvabhāviṣṭhā, nā 'nvabhāvi tvayā 'pyasau,	Bhc-_5.35-1 na tvam tenA anvaBAvizWA, nA anvaBAvi tvayA api-asO,
   Bhk_5.35-2 anubhūto mayā cā 'sau, tena cā 'nvabhaviṣyaham,	Bhc-_5.35-2 anuBUtaH mayA cA asO, tena cA anvaBavizI-aham,
   Bhk_5.36-1 adhyaṅ śastra-bhṛtāṃ rāmo, nyañcas taṃ prāpya mad-vidhāḥ,	Bhc-_5.36-1 aDyaF Sastra-BRtAm rAmo, nyaQcaH tam prApya mad-viDAH,
   Bhk_5.36-2 sa kanyā-śulkamabhanaṅ mithilāyāṃ makhe dhanuḥ	Bhk-_5.36-2 sa kanyA--Sulkam-aBanaF miTilAyAm maKe DanuH
   Bhk_5.37-1 saṃ-vittaḥ saha-yudhvānau tac-chaktiṃ khara-dūṣaṇau,	Bhk-_5.37-1 saM-vittaH sa-ha-yuDvAnO tac--Saktim Kara-dUzaNO,
   Bhk_5.37-2 yajvānaś ca sa-sutvāno, yānagopīn makheṣu saḥ.	Bhc-_5.37-2 yajvAnaH ca sa--sutvAno, yAna-gopIn maKezu saH.
   Bhk_5.38-1 sukha-jātaḥ surā-pīto nṛ-jagdho mālya-dhārayaḥ	Bhk-_5.38-1 suKa-jAtaH surA--pItaH nR-jagDaH mAlI-a-DArayaH
   Bhk_5.38-2 adhi-laṅkaṃ striyo dīvya, mā ''rabdhā bali-vigraham."	Bhc-_5.38-2 aDi-laFkam striyaH dIvya, mA aarabDAH bali-vigraham."
   Bhk_5.39-1 taṃbhītaṃ-kāramākruśya rāvaṇaḥ pratyabhāṣataŌ	Bhk-_5.39-1 taMBItaM-kAram-AkruSya rAvaNaH pratyaBAzataŌ
   Bhk_5.39-2 "yāta-yāmaṃ vijitavān sa rāmaṃ yadi, kiṃ tataḥ	Bhk-_5.39-2 "yAta-yAmam vijitavAn sa rAmam yadi, kim tatas-
   Bhk_5.40-1 aghāni tāḍakā tena lajjā-bhaya-vibhūṣaṇā,	Bhc-_5.40-1 aGAni tAxakA tena lajjA-a-Baya--viBUzaNA,
   Bhk_5.40-2 strī-jane yadi tac chlāghyaṃ, dhig lokaṃ kṣudra-mānasam.	Bhc-_5.40-2 strI--jane yadi tat SlAGyaM, Dik lokam kzudra-mAnasam.
   Bhk_5.41-1 yad gehe-nardinamasau śarair bhīrumabhāyayat	Bhc-_5.41-1 yat gehe-nardinam-asO SarEH BIrum-aBAyayat-
   Bhk_5.41-2 ku-brahma-yajña-ke rāmo bhavantaṃ, pauruṣaṃ na tat.	Bhc-_5.41-2 ku-brahma-yajQa-ke rAmaH BavantaM, pOruzam na tat.
   Bhk_5.42-1 cira-kāloṣitaṃ jīrṇaṃ kīṭa-niṣkuṣitaṃ dhanuḥ	Bhc-_5.42-1 cira--kAla-uzitam jIrNam kIwa--nizkuzitam DanuH
   Bhk_5.42-2 kiṃ citraṃ yadi rāmeṇa bhagnaṃ kṣatriya-kā'ntike.	Bhk-_5.42-2 kim citram yadi rAmeNa Bagnam kzatriya-kA-antike.
   Bhk_5.43-1 vana-tāpasa-ke vīrau vipakṣe galitā''darau	Bhc-_5.43-1 vana-tApa-sa-ke vIrO vipakze galitA-aadarO
   Bhk_5.43-2 kiṃ citraṃ yadi sā'vajñau mamratuḥ khara-dūṣaṇau.	Bhk-_5.43-2 kim citram yadi sA-avajQO mamratuH Kara-dUzaNO.
   Bhk_5.44-1 tvaṃ ca bhīruḥ su-durbuddhe ! nityaṃ śaraṇa-kāmyasi,	Bhk-_5.44-1 tvam ca BIruH su-duH-budDe ! nityam SaraNa-kAmyasi,
   Bhk_5.44-2 guṇāṃś cā'pahnuṣe'smākaṃ, stauṣi śatrūṃś ca naḥ sadā.	Bhj-_5.44-2 guNAn cA-apahnuze-asmAkaM, stOzi SatrUn ca naH sadA.
   Bhk_5.45-1 śīrṣac-chedyamato'haṃ tvā karomi kṣiti-vardhanam,	Bhc-_5.45-1 SIrzac-Cedyam-atas-aham tvA karomi kziti-varDanam,
   Bhk_5.45-2 kārayiṣyāmi vā kṛtyaṃ vijighṛkṣur vanaukasau.	Bhc-_5.45-2 kArayizyAmi vA kRtyam vijiGRkzuH vanOkasO.
   Bhk_5.46-1 tamudyata-niṣātā'siṃ pratyuvāca jijīviṣuḥ	Bhk-_5.46-1 tam-udyata--nizAtA-asim pratyuvAca jijIvizuH
   Bhk_5.46-2 mārīco 'nunayaṃs trāsād "abhyamitryo bhavāmi te.	Bhc-_5.46-2 mArIcaH anunayan trAsAt "aByamitryaH BavAmi te.
   Bhk_5.47-1 harāmi rāma-saumitrī mṛgo bhūtvā mṛga-dyuvau,	Bhc-_5.47-1 harAmi rAma--sOmitrI mRgaH BUtvA mRga-dyuvO,
   Bhk_5.47-2 udyogamabhyamitrīṇo yatheṣṭaṃ tvaṃ ca saṃ-tanu."	Bhc-_5.47-2 udyogam-aByamitrINaH yaTezwam tvam ca saM-tanu."
   Bhk_5.48-1 tataś citrīyamāṇo 'sau hema-ratna-mayo mṛgaḥ	Bhk-_5.48-1 tatas citrIyamANaH asO hema-ratna-mayaH mRgaH
   Bhk_5.48-2 yathāmukhīnaḥ sītāyāḥ pupluve bahu lobhayan.	Bhk-_5.48-2 yaTA-muKInaH sItAyAH pupluve bahu loBayan.
   Bhk_5.49-1 tenā 'dudyūṣayad rāmaṃ mṛgeṇa mṛga-locanā	Bhc-_5.49-1 tenA adudyUzayat rAmam mRgeNa mRga--locanA
   Bhk_5.49-2 maithilī vipuloraskaṃ prāvuvūrṣur mṛgā'jinam.	Bhc-_5.49-2 mETilI vipula-uraskam prAvuvUrzuH mRgA-ajinam.
   Bhk_5.50-1 yoga-kṣema-karaṃ kṛtvā sītāyā lakṣmaṇaṃ tataḥ	Bhc-_5.50-1 yoga-kzema-karam kRtvA sItAyAH lakzmaNam tatas-
   Bhk_5.50-2 mṛgasyā'nupadī rāmo jagāma gaja-vikramaḥ	Bhc-_5.50-2 mRgasyA-anupadI rAmaH jagAma gaja--vikramaH
   Bhk_5.51-1 sthāyaṃ sthāyaṃ kvacid yāntaṃ krāntvā krāntvā sthitaṃ kvacit	Bhc-_5.51-1 sTAyam sTAyam kvacid yAntam krAntvA krAntvA sTitam kvacid-
   Bhk_5.51-2 vīkṣamāṇo mṛgaṃ rāmaś citra-vṛttiṃ visiṣmiye.	Bhc-_5.51-2 vIkzamANaH mRgam rAmaH citra--vRttim visizmiye.
   Bhk_5.52-1 ciraṃ kliśitvā marmā-vid rāmo vilubhita-plavam	Bhc-_5.52-1 ciram kliSitvA marmA-vid rAmaH viluBita--plavam
   Bhk_5.52-2 śabdāyamānamavyātsīt bhaya-daṃ kṣaṇadā-caram.	Bhk-_5.52-2 SabdAyamAnam-avyAtsIt Baya--dam kzaNadA-caram.
   Bhk_5.53-1 śrutvā visphūrjathu-prakhyaṃ ninādaṃ paridevinī	Bhc-_5.53-1 SrutvA visPUrjaTu--praKyam ninAdam paridevinI
   Bhk_5.53-2 matvā kaṣṭa-śritaṃ rāmaṃ saumitriṃ gantumaijihat.	Bhc-_5.53-2 matvA kazwa-Sritam rAmam sOmitrim gantum-Ejihat.
   Bhk_5.54-1 "eṣa prāvṛṣi-jā'mbho-da- nādī bhrātā virauti te,	Bhk-_5.54-1 "eza prAvRzi-jA-amBaH--da nAdI BrAtA virOti te,
   Bhk_5.54-2 jñāteyaṃ kuru saumitre ! bhayāt trāyasva rāghavam."	Bhc-_5.54-2 jQAtA-iyam kuru sOmitre ! BayAt trAyasva rAGavam."
   Bhk_5.55-1 "rāma-saṃghuṣitaṃ naitan, mṛgasyaiva vivañciṣoḥ	Bhc-_5.55-1 "rAma--saMGuzitam na-etan, mRgasya-eva vivaQcizoH
   Bhk_5.55-2 rāma-svanita-saṅkāśaḥ svān", ityavadat sa tām.	Bhc-_5.55-2 rAma--svanita--saFkASaH svAn-", iti-avadat sa tAm.
   Bhk_5.56-1 "āpyāna-skandha-kaṇṭhāṃ'saṃ ruṣitaṃ sahituṃ raṇe	Bhk-_5.56-1 "ApyAna--skanDa--kaNWAM-asam ruzitam sahitum raNe
   Bhk_5.56-2 prorṇuvantaṃ diśo bāṇaiḥ kākutsthaṃ bhīru ! kaḥ kṣamaḥ	Bhc-_5.56-2 prorNuvantam diSaH bANEH kAkutsTam BIru ! kaH kzamaH
   Bhk_5.57-1 dehaṃ bibhnakṣura-strā'gnau mṛgaḥ prāṇair dideviṣan	Bhc-_5.57-1 deham biBna-kzura-strA-agnO mRgaH prANEH didevizan
   Bhk_5.57-2 jyā-ghṛṣṭa-kaṭhinā'ṅguṣṭhaṃ rāmamāyān mumūrṣayā.	Bhc-_5.57-2 jyA-GRzwa--kaWinA-aFguzWam rAma-mAyAt mumUrzayA.
   Bhk_5.58-1 śatrūn bhīṣayamāṇaṃ taṃ rāmaṃ vismāpayeta kaḥ,	Bhc-_5.58-1 SatrUn BIzayamANam tam rAmam vismApayeta kaH,
   Bhk_5.58-2 mā sma bhaiṣīs, tvayā 'dyaiva kṛtā'rtho drakṣyate patiḥ"	Bhc-_5.58-2 mA sma BEzIs, tvayA adya-eva kRtA-arTaH drakzyate patiH"
   Bhk_5.59-1 "yāyās tvamiti kāmo me, gantumutsahase na ca,	Bhk-_5.59-1 "yAyAH tvam-iti kAmaH me, gantum-utsahase na ca,
   Bhk_5.59-2 icchuḥ kāmayituṃ tvaṃ mām", ityasau jagade tayā.	Bhk-_5.59-2 icCuH kAmayitum tvam mAm-", iti-asO jagade tayA.
   Bhk_5.60-1 mṛṣodyaṃ pravadantīṃ tāṃ satya-vadyo raghūttamaḥ	Bhc-_5.60-1 mRzodyam pravadantIm tAm satya--vadyaH raGUttamaH
   Bhk_5.60-2 niragāt "śatru-hastaṃ tvaṃ yāsyasī"ti śapan vaśī.	Bhc-_5.60-2 niragAt "Satru--hastam tvam yAsyasI"ti Sapan vaSI.
   Bhk_5.61-1 gate tasmin, jala-śuciḥ śuddha-dan rāvaṇaḥ śikhī	Bhc-_5.61-1 gate tasmin, jala-SuciH SudDa-dan rAvaNaH SiKI
   Bhk_5.61-2 jañjapūko 'kṣa-mālā-vān dhārayo mṛdalābunaḥ	Bhc-_5.61-2 jaQjapUkaH akza-mAlA-a-vAn DArayaH mRdalAbunaH
   Bhk_5.62-1 kamaṇḍalu-kapālena śirasā ca mṛjā-vatā	Bhc-_5.62-1 kamaNxalu--kapAlena SirasA ca mRjA-a-vatA
   Bhk_5.62-2 saṃvastrya lākṣike vastre mātrāḥ saṃbhāṇḍya daṇḍa-vān	Bhk-_5.62-2 saMvastrya lAkzike vastre mAtrAH saMBANxya daNxa-vAn
   Bhk_5.63-1 adhīyannātma-vid vidyāṃ dhārayan maskari-vratam	Bhc-_5.63-1 aDIyanna-Atma-vid vidyAm DArayat maskari-vratam
   Bhk_5.63-2 vadan bahvaṅguli-sphoṭaṃ bhrū-kṣepaṃ ca vilokayan	Bhk-_5.63-2 vadan bahu-aFguli-sPowam BrU-kzepam ca vilokayan
   Bhk_5.64-1 saṃdidarśayiṣuḥ sāma nijuhnūṣuḥ kṣapāṭa-tām	Bhc-_5.64-1 saMdidarSayizuH sAma nijuhnUzuH kzapAwa-tAm
   Bhk_5.64-2 caṃkramā-vān samāgatya sītāmūceŌ"sukhābhava."	Bhc-_5.64-2 caMkramA-vAn samAgatya sItAm-UceŌ"-suKa-aBava."
   Bhk_5.65-1 sāyaṃ-tanīṃ tithi-praṇyaḥ paṅkajānāṃ divā-tanīm	Bhk-_5.65-1 sAyaM-tanIm tiTi--praNyaH paFkajAnAm divA-tanIm
   Bhk_5.65-2 kāntiṃ kāntyā sadā-tanyā hrepayantī śuci-smitā.	Bhk-_5.65-2 kAntim kAntyA sadA-tanyA hrepayantI Suci--smitA.
   Bhk_5.66-1 kā tvamekākinī bhīru ! niranvaya-jane vane,	Bhk-_5.66-1 kA tvam-ekAkinI BIru ! niranvaya-jane vane,
   Bhk_5.66-2 kṣudhyanto 'pyaghasan vyālās tvāma-pālāṃ kathaṃ na vā.	Bhk-_5.66-2 kzuDyantaH api-aGasan vyAlAH tvAm-a-pAlAm kaTam na vA.
   Bhk_5.67-1 hṛdayaṃ-gama-mūrtis tvaṃ subhagaṃ-bhāvukaṃ vanam	Bhc-_5.67-1 hRdayaM-gama--mUrtiH tvam suBagaM-BAvukam vanam
   Bhk_5.67-2 kurvāṇā bhīmamapyetad vadā 'bhyaiḥ kena hetunā.	Bhk-_5.67-2 kurvANAH BImam-api-etat vadA aByEH kena hetunA.
   Bhk_5.68-1 sukṛtaṃ priya-kārī tvaṃ kaṃ harasyupatiṣṭhase,	Bhk-_5.68-1 sukRtam priya-kArI tvam kam harasi-upatizWase,
   Bhk_5.68-2 puṇya-kṛc cāṭu-kāras te kiṅkaraḥ surateṣu kaḥ.	Bhc-_5.68-2 puNya-kRt cAwu-kAraH te kiFkaraH suratezu kaH.
   Bhk_5.69-1 pari-paryudadhe rūpamā-dyu-lokāc ca dur-labham.	Bhc-_5.69-1 pari-paryudaDe rUpa-m-A-dyu--lokAt ca dur-laBam.
   Bhk_5.69-2 bhāvatkaṃ dṛṣṭavatsvetadasmāsvadhi su-jīvitam.	Bhc-_5.69-2 BAvat-kam dRzwavatsu-etat-asmAsu-aDi su-jIvitam.
   Bhk_5.70-1 āpīta-madhukā bhṛṅgaiḥ sudivevā'ravindinī	Bhc-_5.70-1 ApIta-maDukA BRFgEH su-divevA-aravindinI
   Bhk_5.70-2 sat-parimala-lakṣmīkā nā '-puṃskā'sīti me matiḥ.	Bhc-_5.70-2 sat--parimala-lakzmIkA nA a-puMskA-asi-iti me matiH.
   Bhk_5.71-1 mithyaiva śrīḥ śriyaṃ-manyā, śrīman-manyo mṛṣā hariḥ,	Bhc-_5.71-1 miTyA-eva SrIH SriyaM-m-anyA, SrIman-manyaH mRzA hariH,
   Bhk_5.71-2 sākṣāt-kṛtyā'bhimanye'haṃ tvāṃ harantīṃ śriyaṃ śriyaḥ	Bhk-_5.71-2 sAkzAt-kRtyA-aBimanye-aham tvAm harantIm Sriyam SriyaH
   Bhk_5.72-1 nodakaṇṭhiṣyatā 'tyarthaṃ, tvāmaikṣiṣyata cet smaraḥ,	Bhc-_5.72-1 na-uda-kaNWizyatA atyarTaM, tvAm-Ekzizyata ced smaraH,
   Bhk_5.72-2 khelāyannaniśaṃ nāpi sajūḥ-kṛtya ratiṃ vaset,	Bhk-_5.72-2 KelAyan=-aniSam na-api sa-jUH-kRtya ratim vaset-,
   Bhk_5.73-1 valgūyantīṃ vilokya tvāṃ strī na mantūyatīha kā,	Bhc-_5.73-1 valgUyantIm vilokya tvAm strI na mantUyati-iha kA,
   Bhk_5.73-2 kāntiṃ nā'bhimanāyeta ko vā sthāṇu-samo 'pi te.	Bhc-_5.73-2 kAntim nA-aBimanAyeta kaH vA sTANu--samaH api te.
   Bhk_5.74-1 duḥkhāyate janaḥ sarvāh, sa evaikaḥ sukhāyate,	Bhc-_5.74-1 duHKAyate janaH sarvAh, saH eva-ekaH suKAyate,
   Bhk_5.74-2 yasyotsukāyamānā tvaṃ na pratīpāyase'ntike.	Bhk-_5.74-2 yasya-utsukAyamAnA tvam na pratIpAyase-antike.
   Bhk_5.75-1 kaḥ. paṇḍitāyamānas tvā- mādāyā''miṣa-sannibhām	Bhc-_5.75-1 kaH. paNxitAyamAnaH tvA mAdAyA-aamiza--sanniBAm
   Bhk_5.75-2 trasyan vairāyamāṇebhyaḥ śūnyamanvavasad vanam."	Bhc-_5.75-2 trasyan vErAyamANeByaH SUnyam-anvavasat vanam."
   Bhk_5.76-1 ojāyamānā tasyā 'rdhyaṃ praṇīya janakā''tmajā	Bhc-_5.76-1 ojAyamAnA tasyAH arDyam praNIya janakA-aatma-jA
   Bhk_5.76-2 uvāca daśamūrdhānaṃ sā''darā gadgadaṃ vacaḥ	Bhk-_5.76-2 uvAca daSamUrDAnam sA-aadarAH gadgadam vacaH
   Bhk_5.77-1 "mahā-kulīna aikṣvāke vaṃśe dāśarathir mama	Bhc-_5.77-1 "mahA--kulIna EkzvAke vaMSe dASaraTiH mama
   Bhk_5.77-2 pituḥ priyaṃ-karo bhartā kṣemaṃ-kāras tapasvinām.	Bhk-_5.77-2 pituH priyaM-karaH BartA kzemaM-kAraH tapasvinAm.
   Bhk_5.78-1 nihantā vaira-kārāṇāṃ satāṃ bahu-karaḥ sadā	Bhc-_5.78-1 nihantA vEra-kArANAm satAm bahu-karaH sadA
   Bhk_5.78-2 pāraśvadhika-rāmasya śakteranta-karo raṇe	Bhc-_5.78-2 pAraSvaDika--rAmasya SakteH-anta-karaH raNe
   Bhk_5.79-1 adhvareṣviṣṭināṃ pātā pūrtī karmasu sarvadā	Bhc-_5.79-1 aDvarezu-izwinAm pAtA pUrtI karmasu sarvadA
   Bhk_5.79-2 pitur niyogād rāja-tvaṃ hitvā yo'bhyāgamad vanam	Bhk-_5.79-2 pituH niyogAt rAja--tvam hitvA yaH-aByAgamat vanam
   Bhk_5.80-1 pitatri-kroṣṭu-juṣṭāni rakṣāṃsi bhaya-de vane	Bhc-_5.80-1 pitatri-krozwu--juzwAni rakzAMsi Baya-de vane
   Bhk_5.80-2 yasya bāṇa-nikṛttāni śreṇī-bhūtāni śerate.	Bhk-_5.80-2 yasya bANa--nikRttAni SreNI-BUtAni Serate.
   Bhk_5.81-1 dīvyamānaṃ śitān bāṇānasyamānaṃ mahā-gadāḥ	Bhc-_5.81-1 dIvyamAnam SitAn bANAn-asyamAnam mahA--gadAH
   Bhk_5.81-2 nighnānaṃ śātravān rāmaṃ kathaṃ tvaṃ nā'vagacchasi.	Bhc-_5.81-2 niGnAnam SAtravAn rAmam kaTam tvam nA-avagacCasi.
   Bhk_5.82-1 bhrātari nyasya yāto māṃ mṛgāvin mṛgayāmasau,	Bhc-_5.82-1 BrAtari nyasya yAtaH mAm mRgAvid mRgayAmasO,
   Bhk_5.82-2 eṣituṃ preṣito yāto mayā tasyā 'nu-jo vanam	Bhc-_5.82-2 ezitum prezitaH yAtaH mayA tasyAH anu-jaH vanam
   Bhk_5.83-1 athā ''yasyan kaṣāyā'kṣaḥ syanna-sveda-kaṇolbaṇaḥ	Bhc-_5.83-1 aTAH aayasyan kazAyA-akzaH syanna-sveda--kaNA-ulbaNaH
   Bhk_5.83-2 saṃdarṣitā''ntarākūtas tāmavādīd daśānanaḥ,	Bhk-_5.83-2 saMdarzitA-aantara-AkUtaH tAm-avAdIt daSAnanaH,
   Bhk_5.84-1 "kṛte kāniṣṭhineyasya jyaiṣṭhineyaṃ vivāsitam	Bhc-_5.84-1 "kRte kAnizWineyasya jyEzWinA-iyam vivAsitam
   Bhk_5.84-2 ko nagna-muṣita-prakhyaṃ bahu manyeta rāghavam.	Bhc-_5.84-2 kaH nagna-muzita--praKyam bahu manyeta rAGavam.
   Bhk_5.85-1 rākṣasān baṭu-yajñeṣu piṇḍī-śūrān nirastavān	Bhc-_5.85-1 rAkzasAn bawu--yajQezu piNxI--SUrAn nirastavAn
   Bhk_5.85-2 yadyasau kūpa-māṇḍūki ! tavaitāvati kaḥ smayaḥ	Bhc-_5.85-2 yadi-asO kUpa--mANxUki ! tava-etAvati kaH smayaH
   Bhk_5.86-1 mat-parākrama-saṃkṣipta-rājya-bhoga-paricchadaḥ	Bhc-_5.86-1 mat--parAkrama--saMkzipta-rAjya--Boga--paricCadaH
   Bhk_5.86-2 yuktaṃ mamaiva kiṃ vaktuṃ daridrāti yathā hariḥ	Bhk-_5.86-2 yuktam mama-eva kim vaktum daridrAti yaTA hariH
   Bhk_5.87-1 nir-laṅko vimadaḥ svāmī dhanānāṃ hṛta-puṣpakaḥ	Bhc-_5.87-1 nir-laFkaH vimadaH svAmI DanAnAm hRta-puzpakaH
   Bhk_5.87-2 adhyāste 'ntar-giraṃ yasmāt, kas tan nā 'vaiti kāraṇam.	Bhj-_5.87-2 aDyAste antar-giram yasmAt, kaH tat nA avEti kAraNam.
   Bhk_5.88-1 bhinna-nauka iva dhyāyan mat-to bibhyad yamaḥ svayam	Bhc-_5.88-1 Binna-nOkaH iva DyAyan mat-taH biByat yamaH svayam
   Bhk_5.88-2 kṛṣṇi-mānaṃ dadhānena mukhenā ''ste nirudyatiḥ	Bhc-_5.88-2 kRzNi--mAnam daDAnena muKenA aaste nirudyatiH
   Bhk_5.89-1 samudropatyakā haimī parvatā'dhityakā purī	Bhc-_5.89-1 samudropatyakA hEmI parvatA-aDityakA purI
   Bhk_5.89-2 ratna-pārāyaṇaṃ nāmnā laṅketi mama maithili !	Bhc-_5.89-2 ratna-pArAyaNam nAmnA laFkA-iti mama mETili !
   Bhk_5.90-1 āvāse sikta-saṃmṛṣṭe gandhais tvaṃ lipta-vāsitā	Bhc-_5.90-1 AvAse sikta--saMmRzwe ganDEH tvam lipta-vAsitA
   Bhk_5.90-2 ārpitoru-sugandhi-srak tasyāṃ vasa mayā saha.	Bhc-_5.90-2 Arpita-Uru--suganDi--sraj tasyAm vasa mayA saha.
   Bhk_5.91-1 saṃgaccha pauṃsni ! straiṇaṃ māṃ yuvānaṃ taruṇī śubhe !	Bhk-_5.91-1 saMgacCa pOMsni ! strENam mAm yuvAnam taruNI SuBe !
   Bhk_5.91-2 rāghavaḥ proṣya-pāpīyān, jahīhi tama-kiṃ-canam.	Bhc-_5.91-2 rAGavaH prozya--pApIyAn, jahIhi tam-a-kiM-canam.
   Bhk_5.92-1 aśnīta-pibatīyantī prasitā smara-karmaṇi	Bhc-_5.92-1 aSnIta-pibatIyantI prasitA smara--karmaNi
   Bhk_5.92-2 vaśe-kṛtya daśa-grīvaṃ modasva vara-mandire.	Bhc-_5.92-2 vaSe-kRtya daSa-grIvam modasva vara-mandire.
   Bhk_5.93-1 mā sma bhūr grāhiṇī bhīru ! gantumutsāhinī bhava,	Bhc-_5.93-1 mA sma BUH grAhiNI BIru ! gantum-utsAhinI Bava,
   Bhk_5.93-2 udbhāsinī ca bhūtvā me vakṣaḥsaṃmārdinī bhava."	Bhc-_5.93-2 udBAsinI ca BUtvA me vakzaH-saMmArdinI Bava."
   Bhk_5.94-1 tāṃ prātikūlikīṃ matvā jihīrṣur bhīma-vigrahaḥ	Bhk-_5.94-1 tAm prAtikUlikIm matvA jihIrzuH BIma-vigrahaH
   Bhk_5.94-2 bāhūpapīḍamāśliṣya jagāhe dyāṃ niśā-caraḥ	Bhc-_5.94-2 bAhu-upapIxam-ASlizya jagAhe dyAm niSA-caraH
   Bhk_5.95-1 trasyantīṃ tāṃ samādāya yato rātriṃ-carā''layam	Bhc-_5.95-1 trasyantIm tAm samAdAya yatas rAtriM-carA-aalayam
   Bhk_5.95-2 tūṣṇīṃ-bhūya bhayādāsāṃcakrire mṛgapakṣiṇaḥ	Bhj-_5.95-2 tUzNIM-BUya BayAt-AsAMcakrire mRga-pakziNaH
   Bhk_5.96-1 uccai rārasyamānāṃ tāṃ kṛpaṇāṃ rāma-lakṣmaṇau	Bhc-_5.96-1 uccEs rArasyamAnAm tAm kRpaNAm rAma--lakzmaNO
   Bhk_5.96-2 jaṭāyuḥ prāpa pakṣīndraḥ paruṣaṃ rāvaṇaṃ vadan.	Bhc-_5.96-2 jawAyuH prApa pakzi-indraH paruzam rAvaNam vadan.
   iti prakīrṇa-kāṇḍaḥ prathamaḥ samāptaḥ	iti prakIrNa--kANxaH praTamaH samAptaH
   ataḥ paramadhikāra-kāṇḍam	atas param-aDikAra-kANxam
   Bhk_5.97-1 "dviṣan ! vane-carā'gryāṇāṃ tvamādāya-caro vane	Bhc-_5.97-1 "dvizan ! vane-carA-agryANAm tvam-AdAya-caraH vane
   Bhk_5.97-2 agre-saro jaghanyānāṃ mā bhūḥ pūrva-saro mama.	Bhc-_5.97-2 agre--saraH jaGanyAnAm mA BUH pUrva-saraH mama.
   Bhk_5.98-1 yaśas-kara-samācāraṃ khyātaṃ bhūvi dayā-karam	Bhk-_5.98-1 yaSas-kara--samAcAram KyAtam BUvi dayA-karam
   Bhk_5.98-2 piturvākya-karaṃ rāmaṃ dhik tvāṃ dunvantama-trapam	Bhk-_5.98-2 pituH-vAkya-karam rAmam Dik tvAm dunvanta-ma-trapam
   Bhk_5.99-1 ahamanta-karo nūnaṃ dhvāntasyeva divā-karaḥ	Bhc-_5.99-1 aham-anta-karaH nUnam DvAntasya-iva divA-karaH
   Bhk_5.99-2 tava rākṣasa ! rāmasya neyaḥ karma-karopamaḥ	Bhk-_5.99-2 tava rAkzasaH ! rAmasya neyaH karma--kara-upamaH
   Bhk_5.100-1 satāmaruṣ-karaṃ pakṣī vaira-kāraṃ narā'śinam	Bhk-_5.100-1 satAm-aruz-karam pakzI vEra-kAram narA-aSinam
