   Bhikṣuṇā avalokitasiṃhena samudbhāvitaḥ	BhikzuNA avalokita siMhena samudBAvitaH
   pramādo pahato jantuḥ kāmāsvādeṣu tatparaḥ /	pramAdaH pahataH jantuH kAma AsvAdezu tad paraH /
   rūpeṣu rakṣyate nityaṃ pariṇāme ca vidyate // Dhs_7.112 //	rUpezu rakzyate nityam pariNAme ca vidyate // DhH _7.112 //
   ghanacchāyāsvarūpāṇi karmamiśrāṇi yāni vai /	Gana= CAyA svarUpANi karma miSrANi yAni vE /
   tāni caiva kathaṃ devāḥ śakṣyante kāmagocare // Dhs_7.113 //	tAni ca eva kaTam devAH Sakzyante kAma gocare // DhH _7.113 //
   kāmāḥ kadāpi na sevyāḥ	kAmAH kadApi na sevyAH
   yadi nityā bhaveyurna kāmāste syurviṣopamāḥ // Dhs_7.114 //	yadi nityAH BaveyuH na kAmAH te syuH viza upamAH // DhH _7.114 //
   kāmatṛṣṇāduḥkhakarī	kAma tRzNA duHKa karI
   tathāpi kāmatṛṣṇā yā na sā jāti vilakṣaṇā /	taTA api kAma tRzNA yA na sA jAti vilakzaNA /
   prāgeva nityaṃ duḥkhāya śūnyamātmānameva ca // Dhs_7.115 //	prAk eva nityam duHKAya SUnyam AtmAnam eva ca // DhH _7.115 //
   teṣu duḥkhavipākeṣu kathaṃ rakṣantyabuddhayaḥ /	tezu duHKa vipAkezu kaTam rakzanti abudDayaH /
   kāmāsvādeṣu rakṣyante bāliśāḥ mandabuddhayaḥ /	kAma AsvAdezu rakzyante bAliSAH manda budDayaH /
   ādīnavaṃ na buddhayante kimpākaphalasannibham // Dhs_7.116 //	AdInavam na budDayante kimpAka Pala sanniBam // DhH _7.116 //
   rūpaśabdādibaddho 'yaṃ tṛṣṇāviprakṛto janaḥ /	rUpa Sabda Adi badDaH ayam tRzNA viprakRtaH janaH /
   dīpyate vivaśo nityaṃ, kukarmaphalamohitam // Dhs_7.117 //	dIpyate vivaSaH nityan, kukarma Pala mohitam // DhH _7.117 //
   āsvādayitvā puruṣāḥ kāmān viṣaphalopamān /	AsvAdayitvA puruzAH kAmAn viza Pala upamAn /
   tṛṣṇayā tṛptamanasaḥ patanti narake punaḥ // Dhs_7.118 //	tRzNayA tRpta manasaH patanti narake punar // DhH _7.118 //
   yathābhivarṣate toyaṃ vardhante sarito yathā /	yaTA aBivarzate toyam varDante saritaH yaTA /
   tathā kāmābhivarṣeṇa devānāṃ vardhate 'nalaḥ // Dhs_7.119 //	taTA kAma aBivarzeNa devAnAm varDate analaH // DhH _7.119 //
   kāmasukhasya nānto vidyate	kAma suKasya na antaH vidyate
   jalasambhavamīno 'pi dṛśyate tṛṣṇayāturaḥ /	jala samBava mInaH api dRSyate tRzNayA AturaH /
   evaṃ sukhābhivṛddhā ca na vitṛpyati devatā // Dhs_7.120 //	evam suKa aBivRdDA ca na vitRpyati devatAH // DhH _7.120 //
   ākāśasya yathā nānto vidyate nāpi saṃśayaḥ /	AkASasya yaTA na antaH vidyate na api saMSayaH /
   evaṃ kāmeṣu nāstyantaḥ kāmināṃ nāsti saṃkṣayaḥ // Dhs_7.121 //	evam kAmezu na asti antar kAminAm na asti saMkzayaH // DhH _7.121 //
   salilādibhiratṛptasya sāgarasyormimālinaḥ /	salila AdiBiH atRptasya sAgarasya Urmi mAlinaH /
   na tu kāmairatṛptasya tṛptirasti kathañcana // Dhs_7.122 //	na tu kAmEH atRptasya tRptiH asti kaTaQcana // DhH _7.122 //
   aprāptairviṣayairdevā na vitṛpyanti bāliśāḥ /	aprAptEH vizayEH devAH na vitRpyanti bAliSAH /
   viṣayairnaiva tṛpyanti sukhalālasatatparāḥ // Dhs_7.123 //	vizayEH na eva tRpyanti suKa lAlasa tatparAH // DhH _7.123 //
   kāmastāpāya, na tu śāntyai	kAmaH tApAya, na tu SAntyE
   saṃprāpte vyasane tīvre cyavamānepyanekaśaḥ /	saMprApte vyasane tIvre cyavamAnepyanekaSas /
   tapyate viṣaye tasmāt paraṃ kāmo na śakyate // Dhs_7.124 //	tapyate vizaye tasmAt param kAmaH na Sakyate // DhH _7.124 //
   vilokya puruṣānete kāmaviśvāsaghātinaḥ /	vilokya puruzAn ete kAma viSvAsa GAtinaH /
   tyajanti vyasane prāptā vipadyante hi te narāḥ // Dhs_7.125 //	tyajanti vyasane prAptAH vipadyante hi te narAH // DhH _7.125 //
   atṛptasya sukhaṃ nāsti viṣayaiścāpi tṛpyate /	atRptasya suKam na asti vizayEH ca api tRpyate /
   ye vā tṛiptikarā dṛṣṭāstān buddhvā (tu) vivarjayet // Dhs_7.126 //	ye vA tRipti karAH dRzwAH tAn budDvA (tu) vivarjayet // DhH _7.126 //
   viṣayānparityajya śāntiḥ sevyā	vizayAn parityajya SAntiH sevyA
   sukhamūlā sadā śāntirasukhā viṣayā matāḥ /	suKa mUlA sadA SAntiH asuKAH vizayAH matAH /
   tasmācchāntisukhā devā varjayitvā viṣayoragān // Dhs_7.127 //	tasmAt SAnti suKAH devAH varjayitvA vizaya uragAn // DhH _7.127 //
   badhabandhanarogādi viṣayebhyo mahadbhayam /	baDa banDana roga Adi vizayeByaH mahat Bayam /
   sambhrāntiriha saṃsāre viṣayaireva jāyate // Dhs_7.128 //	samBrAntiH iha saMsAre vizayEH eva jAyate // DhH _7.128 //
   saṃyogā viprayogāntāḥ śataśo 'tha sahastraśaḥ /	saMyogAH viprayoga antAH SataSas aTa sa hastraSaH /
   jātau jātau sadā dṛṣṭāḥ saugataistattvadarśibhiḥ // Dhs_7.129 //	jAtO jAtO sadA dRzwAH sOgatEH tattva darSiBiH // DhH _7.129 //
   aneka sukhasaṃsāraḥ viṣayātmaka eva	aneka suKa saMsAraH vizaya AtmakaH eva
   anekasukhasaṃsāro viṣayeṣu hi vidyate /	aneka suKa saMsAraH vizayezu hi vidyate /
   viṣayaiśca bhavet sarva jātau jātau prajāyate // Dhs_7.130 //	vizayEH ca Bavet sarva jAtO jAtO prajAyate // DhH _7.130 //
   kaṣṭairyairanakāmairna śakyate 'mūḍhacetasā /	kazwEH yEH anakAmEH na Sakyate amUXa cetasA /
   punastāneva mohāndhāḥ sevante 'kṛtabuddhayaḥ // Dhs_7.131 //	punar tAn eva moha anDAH sevante akRtabudDayaH // DhH _7.131 //
   viṣayaśatrusevinaḥ bāliśāḥ bhavanti	vizaya Satru sevinaH bAliSAH Bavanti
   varjate hi sadā śatruvañcanāśaṅkayā naraḥ /	varjate hi sadA Satru vaQcana ASaFkayA naraH /
   viṣayāḥ śatrubhūtā hi na vaśyante kathañcana // Dhs_7.132 //	vizayAH Satru BUtAH hi na vaSyante kaTaQcana // DhH _7.132 //
   kāmabaddhāḥ sadā mohabāliśā vā bhavanti te /	kAma badDAH sadA moha bAliSAH vA Bavanti te /
   na tyajanti kathaṃ mūḍhā mohitāḥ svena karmaṇā // Dhs_7.133 //	na tyajanti kaTam mUXAH mohitAH svena karmaNA // DhH _7.133 //
   yathā bahnibhayāt kaścid vahnimevopasevate /	yaTA bahni BayAt kaScid vahnim eva upasevate /
   tathā viṣayasaṃmūḍho viṣayānupasevate // Dhs_7.134 //	taTA vizaya saMmUXaH vizayAn upasevate // DhH _7.134 //
   snāyusaṅgrathitaḥ pāśo dṛṣṭiramyo yathā bhavet /	snAyu saFgraTitaH pASaH dRzwi ramyaH yaTA Bavet /
   tathā viṣayaramyo 'yaṃ pāśaḥ paramadāruṇaḥ // Dhs_7.135 //	taTA vizaya ramyaH ayam pASaH parama dAruNaH // DhH _7.135 //
   kāmasukhaṃ nāśāya bhavati	kAma suKam nASAya Bavati
   kiṃpākasya yathāsvādo madhurāgro mahodayaḥ /	kiMpAkasya yaTAsvAdaH maDura agraH mahA udayaH /
   paścād bhavati nāśāya sukhaṃ tadvadidaṃ nṛṇām // Dhs_7.136 //	paScAt Bavati nASAya suKam tadvat idam nRNAm // DhH _7.136 //
   pradīpasya śikhāṃ yāvat pataṅgo mohamūrchitaḥ /	pradIpasya SiKAm yAvat pataFgaH moha mUrCitaH /
   patate dahyate caiva tathedaṃ sukhamiṣyate // Dhs_7.137 //	patate dahyate ca eva taTA idam suKam izyate // DhH _7.137 //
   ajñātvā hi tathā bālā ramyadehasukhecchayā /	ajQAtvA hi taTA bAlA ramya deha suKa icCayA /
   spṛśanti jvalanaṃ tadvat sukhametad bhaviṣyati // Dhs_7.138 //	spRSanti jvalanam tadvat suKam etat Bavizyati // DhH _7.138 //
   tṛṣṇāvighāta eva sukhāya jāyate	tRzNA viGAtaH eva suKAya jAyate
   yathā ramyo vanamṛgastṛṣṇārta upadhāvati /	yaTA ramyaH vana mRgaH tRzNA ArtaH upaDAvati /
   na ca tṛṣṇāvighāto 'sya tadidaṃ sukhamiṣyate // Dhs_7.139 //	na ca tRzNA viGAtaH asya tat idam suKam izyate // DhH _7.139 //
   na tṛptā na ca tṛpyanti na ca tṛptirbhaviṣyati /	na tRptAH na ca tRpyanti na ca tRptiH Bavizyati /
   viṣayaiḥ sarvadevānāṃ tasmāt kāmo na śāntaye // Dhs_7.140 //	vizayEH sarva devAnAm tasmAt kAmaH na SAntaye // DhH _7.140 //
   viṣayaiḥ pramattāḥ duḥkhamanubhavanti	vizayEH pramattAH duHKam anuBavanti
   pratyutpannasukhāḥ kāmā nāntakalyāṇakārakāḥ /	pratyutpanna suKAH kAmAH na anta kalyANa kArakAH /
   rañjitā viṣayairdevā vikṣiptamanasaḥ sadā // Dhs_7.141 //	raQjitAH vizayEH devAH vikzipta manasaH sadA // DhH _7.141 //
   nānāsaukhyapramattasya viṣayairvañcitasya ca /	nAnA sOKya pramattasya vizayEH vaQcitasya ca /
   samprāpte mṛtyukāle ca na śamāyāsya vidyate // Dhs_7.142 //	samprApte mRtyu kAle ca na SamAya asya vidyate // DhH _7.142 //
   anukrameṇa maraṇamabhyeti tacca vidyate /	anukrameNa maraNam aByeti tat ca vidyate /
   viṣayāpahatairdevaiḥ kāmavyāsaktabuddhibhiḥ // Dhs_7.143 //	vizaya apahatEH devEH kAma vyAsakta budDiBiH // DhH _7.143 //
   kāmā ahitakāriṇo bhavanti	kAmAH ahita kAriNaH Bavanti
   jānīyādadya me devā yad duḥkhaṃ viprayogajam /	jAnIyAt adya me devAH yat duHKam viprayoga jam /
   muhūrtamapi kāmeṣu na kuryāt tatra saṃsthitim // Dhs_7.144 //	muhUrtam api kAmezu na kuryAt tatra saMsTitim // DhH _7.144 //
   rāgāgninā dagdho vimohito jāyate	rAga agninA dagDaH vimohitaH jAyate
   anityātmabhayāḥ kāmā nityaṃ cāhitakāriṇaḥ /	anitya Atma BayAH kAmAH nityam ca ahita kAriNaH /
   tathā vimohitān kālaḥ punastānanusevate // Dhs_7.145 //	taTA vimohitAn kAlaH punar tAn anusevate // DhH _7.145 //
   rāgāgninā pradahayante nityaṃ devāḥ pramohitāḥ /	rAga agninA pradahayante nityam devAH pramohitAH /
   dahyamānāḥ punastattvaṃ praśaṃsanti punaḥ punaḥ // Dhs_7.146 //	dahyamAnAH punar tattvam praSaMsanti punar punar // DhH _7.146 //
   rathacakravatsadā bhrāntā viṣayavimohitāḥ bhavanti	raTa cakra vat sadAH BrAntAH vizaya vimohitAH Bavanti
   viṣayeṣu na rakṣyante teṣāṃ duḥkhamiva sthitam /	vizayezu na rakzyante tezAm duHKam iva sTitam /
   traidhātukamidaṃ sarva bhrāmyate rathacakravat // Dhs_7.147 //	trEDAtukam idam sarve BrAmyate raTa cakra vat // DhH _7.147 //
   gandharvanagarasadṛśāḥ kāmāḥ bhavanti	ganDarvanagara sadRSAH kAmAH Bavanti
   sattvā avidyayā mugdhā nityaṃ duḥkhasya bhoginaḥ /	sattvAH avidyayA mugDAH nityam duHKasya BoginaH /
   vidyudālātacakreṇa samāḥ kāmāḥ prakīrtitāḥ /	vidyut a alAta cakreNa samAH kAmAH prakIrtitAH /
   svapne gandharvanagarasadṛśā vipralambhinaḥ // Dhs_7.148 //	svapne ganDarvanagara sadRSAH vipralamBinaH // DhH _7.148 //
   pañcaskandhamatirduḥkhitastiṣṭhati	paQca skanDa matiH duHKitaH tizWati
   anityaduḥkhaśūnyeṣu na kuryānmatimātmavān /	anitya duHKa SUnyezu na kuryAt matim AtmavAn /
   pañcaskandhāsuraiḥ proktaḥ śubhai riktaḥ svabhāvataḥ // Dhs_7.149 //	paQca skanDa asurEH proktaH SuBEH riktaH svaBAvataH // DhH _7.149 //
   anyathā viṣavad vijñaḥ kāmeṣu ca prasahyate /	anyaTA viza vat vijQaH kAmezu ca prasahyate /
   sa budhaḥ pāragaḥ śāntaḥ sattvānāmanukampakaḥ // Dhs_7.150 //	sa buDaH pAragaH SAntaH sattvAnAm anukampakaH // DhH _7.150 //
   nirvāṇonmukha eva doṣācchāntimadhigacchati	nirvANa unmuKaH eva dozAt SAntim aDigacCati
   hitvā kleśamayaṃ pāśaṃ nirvāṇasyāntike sthitaḥ // Dhs_7.151 //	hitvA kleSa mayam pASam nirvANasya antike sTitaH // DhH _7.151 //
   kāmavibhrāntasya śāntikathā vṛthā	kAma viBrAntasya SAnti kaTA vRTA
   prabhavenna ca doṣeṣu kāmacaryāratasya ca /	praBavet na ca dozezu kAma caryA ratasya ca /
   vibhrāntamanasastasya kutaḥ śāntirbhaviṣyati? // Dhs_7.152 //	viBrAnta manasaH tasya kutas SAntiH Bavizyati? // DhH _7.152 //
   vibhrāntaṃ paśyatu mano viṣayeṣu pradhāvati /	viBrAntam paSyatu manaH vizayezu praDAvati /
   saddharmapathavibhrānto narakeṣūpapadyate // Dhs_7.153 //	sadDarma paTa viBrAntaH narakezu upapadyate // DhH _7.153 //
   aśaktaprāptavibhraṣṭe kiṃ kāmairvidyutopamaiḥ /	aSakta prApta viBrazwe kim kAmEH vidyuta upamEH /
   kiṃpākaviṣaśastrāgnisannibhairduḥkhahetubhiḥ? // Dhs_7.154 //	kiMpAka viza Sastra agni sanniBEH duHKa hetuBiH? // DhH _7.154 //
   kāmāgniḥ viṣayasevanena vardhate	kAma agniH vizaya sevanena varDate
   yathā yathā hi sevyante vardhante te tathā tathā /	yaTA yaTA hi sevyante varDante te taTA taTA /
   avitṛptikarā hyete vahnidāhasya hetavaḥ // Dhs_7.155 //	avitRpti karAH hi ete vahni dAhasya hetavaH // DhH _7.155 //
   kāmān varjayitvaiva sukhamaśnuvate janāḥ	kAmAn varjayitvA eva suKam aSnuvate janAH
   dāhadoṣeṇa sambhrāntāḥ ye surāḥ sukhakāṅkṣiṇaḥ /	dAha dozeNa samBrAntAH ye surAH suKa kAFkziNaH /
   varjayitvāśivān kāmāstataḥ saukhyaṃ bhaviṣyati // Dhs_7.156 //	varjayitvA SivAn kAmAH tatas sOKyam Bavizyati // DhH _7.156 //
   kāmāḥ vidyud guṇopamāḥ cañcalāḥ	kAmAH vidyut guNa upamAH caQcalAH
   vañcayitvā janaṃ mūḍhaṃ śāṭī kṛtyeva bandhanam /	vaQcayitvA janam mUXam SAwI kRtyA iva banDanam /
   pratyayo netracapalaḥ kāmā vidyud guṇopamāḥ // Dhs_7.157 //	pratyayaH netra capalaH kAmAH vidyut guNa upamAH // DhH _7.157 //
   uparyupari kāmā yaiḥ sevyante kāmatṛṣṇayā /	upari upari kAmAH yEH sevyante kAma tRzNayA /
   te rāgavahninā dagdhā dāhād dāhamavāpnuyāt // Dhs_7.158 //	te rAga vahninA dagDAH dAhAt dAham avApnuyAt // DhH _7.158 //
   atimūḍhatamā hyete ye surāḥ kāmamohitāḥ /	ati mUXatamAH hi ete ye surAH kAma mohitAH /
   athavā ye na gacchanti yatsukhāt sukhamuttamam // Dhs_7.159 //	aTavA ye na gacCanti yat suKAt suKam uttamam // DhH _7.159 //
   nirvāṇagāmino nāsti vinā muktyā kutaḥ sukham? /	nirvANa gAminaH na asti vinA muktyA kutas suKam? /
   tasmāt kāmānna seveta kaṣṭaḥ kāmasamāgamaḥ // Dhs_7.160 //	tasmAt kAmAt na seveta kazwaH kAma samAgamaH // DhH _7.160 //
   indriyāṇi na tṛpyante viṣayai rāgasevinaḥ /	indriyANi na tRpyante vizayEH rAga sevinaH /
   atṛptau ca kutaḥ śarma sarvathā sampraveśate // Dhs_7.161 //	atRptO ca kutas Sarma sarvaTA sampraveSate // DhH _7.161 //
   tasyāgramubhayād vetti saṃsārād duḥkhasāgarāt /	tasya agram uBayAt vetti saMsArAt duHKa sAgarAt /
   kāmān tṛṣṇāviṣayagān parityajati pāpakān // Dhs_7.162 //	kAmAn tRzNA vizaya gAn parityajati pApakAn // DhH _7.162 //
   kāmodayavyayau samyagavadheyau	kAma udaya vyayO samyak avaDeyO
   etāni girikūṭāni ramyāṇi vividhairdrumaiḥ /	etAni giri kUwAni ramyANi viviDEH drumEH /
   dhyāyante tāni saṃśritya kāmānāmudayavyayau // Dhs_7.163 //	DyAyante tAni saMSritya kAmAnAm udaya vyayO // DhH _7.163 //
   śīlena śraddhayā ca iṣṭasādhanaṃ karttavyam	SIlena SradDayA ca izwa sADanam karttavyam
   na kāmabandhanestṛptāḥ kāmajaṃ nidhanaṃ hi tat /	na kAma banDaneH tRptAH kAma jam niDanam hi tat /
   na śīlaśraddhe yeneṣṭe labhyate 'śivakāraṇam /	na SIla SradDe yena izwe laByate aSiva kAraNam /
   kāmajaṃ nidhanaṃ hyetat saṃsārāṭavideśakam // Dhs_7.164 //	kAma jam niDanam hi etat saMsAra AwavideSakam // DhH _7.164 //
   pāpāni parityajya sukhāvahaḥ śāntimārgaḥ sevanīyaḥ	pApAni parityajya suKa AvahaH SAnti mArgaH sevanIyaH
   yatra kāmavisaṃyuktaṃ bandhanaṃ vanamucyate /	yatra kAma visaMyuktam banDanam vanam ucyate /
   yatra bhāsayate pāpād yatra śāntiḥ sukhāvahā /	yatra BAsayate pApAt yatra SAntiH suKa AvahAH /
   tat kevalaṃ mahājñānaṃ kathyate nidhanaṃ dhanam // Dhs_7.165 //	tat kevalam mahA jQAnam kaTyate niDanam Danam // DhH _7.165 //
   kāmatṛṣṇābhyāṃ vimuktaḥ śivamāpnoti	kAma tRzNAByAm vimuktaH Sivam Apnoti
   ye prasaktā na kāmeṣu tṛṣṇayā na pralobhitāḥ /	ye prasaktAH na kAmezu tRzNayA na praloBitAH /
   te śivaṃ sthānamāpannā na kāmāgnipraveśakāḥ // Dhs_7.166 //	te Sivam sTAnam ApannAH na kAma agni praveSakAH // DhH _7.166 //
   avitṛptāḥ narāḥ naśyantyeva	avitRptAH narAH naSyanti eva
   tṛptirnāsti sadā kāmairna kāmāḥ śāntaye smṛtāḥ /	tRptiH na asti sadA kAmEH na kAmAH SAntaye smRtAH /
   tṛṣṇāsahāyasaṃyuktā jvalanti jvalanopamāḥ // Dhs_7.167 //	tRzNA sahAya saMyuktAH jvalanti jvalana upamAH // DhH _7.167 //
   avitṛptā vinaśyanti narā devāstathoragāḥ /	avitRptAH vinaSyanti narAH devAH taTA uragAH /
   te kevalaṃ praṇaṣṭā hi narakāgni pradarśakāḥ // Dhs_7.168 //	te kevalam praNazwAH hi naraka agni pradarSakAH // DhH _7.168 //
   tṛṣṇāmohitasya mṛtyuradhipatiḥ	tRzNA mohitasya mRtyuH aDipatiH
   vitarkāpahatasyāsya viṣayairvañcitasya ca /	vitarka apahatasya asya vizayEH vaQcitasya ca /
   tṛṣṇayā mohitasyaiṣa mṛtyū rājā bhaviṣyati // Dhs_7.169 //	tRzNayA mohitasya eza mRtyuH rAjA Bavizyati // DhH _7.169 //
   kāmāsaktāḥ pathyāpathyaṃ na vijānanti	kAma AsaktAH paTya apaTyam na vijAnanti
   saṃsaktakāmabhogeṣu pathyāpathyaṃ na vidyate /	saMsakta kAma Bogezu paTya apaTyam na vidyate /
   janā vimohitāḥ sarvaiviṣayaiḥ kāmasaṃjñakaiḥ // Dhs_7.170 //	janAH vimohitAH sarvEvizayEH kAma saMjQakEH // DhH _7.170 //
   kāmavaśānugāḥ viṣayaireva badhyante	kAma vaSa anugAH vizayEH eva baDyante
   viṣayaireva kṛṣyante ye surā mūḍhacetasaḥ /	vizayEH eva kRzyante ye surAH mUXa cetasaH /
   ye (tu) buddhaguṇairyuktā na te kāmavaśānugāḥ // Dhs_7.171 //	ye (tu) budDa guNEH yuktAH na te kAma vaSa anugAH // DhH _7.171 //
   'dhīra' paribhāṣā	aDIra a pariBAzA
   pratyutpanneṣu kāmeṣu sadoṣeṣu viśeṣataḥ /	pratyutpannezu kAmezu sa dozezu viSezataH /
   yo na muhyati saukhyeṣu sa 'dhīra' iti kathyate // Dhs_7.172 //	yaH na muhyati sOKyezu saH aDIra a iti kaTyate // DhH _7.172 //
   kāmapatitānāṃ surāṇāṃ sthitimāha	kAma patitAnAm surANAm sTitim Aha
   svapnakāyavicitreṣu jvālāmālopameṣu ca /	svapna kAya vicitrezu jvAlA mAlA upamezu ca /
   gandharvapuratulyeṣu kāmeṣu patitāḥ surāḥ // Dhs_7.173 //	ganDarvapura tulyezu kAmezu patitAH surAH // DhH _7.173 //
   tṛṣṇājanakabhūteṣu vināśāntakareṣu ca /	tRzNA janaka BUtezu vinASa anta karezu ca /
   kāntāreṣu viśāleṣu kāmeṣu patitāḥ surāḥ // Dhs_7.174 //	kAntArezu viSAlezu kAmezu patitAH surAH // DhH _7.174 //
   ittvareṣu trichidreṣu nadīvegopameṣu ca /	ittvarezu tri Cidrezu nadI vega upamezu ca /
   cañcaleṣvatidurgeṣu (kāmeṣu) patitāḥ surāḥ // Dhs_7.175 //	caQcalezu ati durgezu (kAma izu) patitAH surAH // DhH _7.175 //
   pavanoddhṛtavegormijalacandre caleṣu ca /	pavana udDRta vega Urmi jala candre calezu ca /
   atātacakralokeṣu kāmeṣu patitāḥ surāḥ // Dhs_7.176 //	atAta cakra lokezu kAmezu patitAH surAH // DhH _7.176 //
   samaṃ vidyullatācakramṛgatṛṣṇopameṣu ca /	samam vidyut latA cakra mRga tRzNA upamezu ca /
   phenavaccāpyasāreṣu kāmeṣu patitāḥ surāḥ // Dhs_7.177 //	Pena vat ca api asArezu kAmezu patitAH surAH // DhH _7.177 //
   kadalīgarbhatulyeṣu gajakarṇopameṣu ca /	kadalI garBa tulyezu gaja karNa upamezu ca /
   nadītaraṅgavegeṣu kāmeṣu patitāḥ surāḥ // Dhs_7.178 //	nadI taraFga vegezu kAmezu patitAH surAH // DhH _7.178 //
   kiṃpākaphalatulyeṣu vahnisannibhajātiṣu /	kiMpAka Pala tulyezu vahni sanniBa jAtizu /
   māyāraśminibheṣveṣu kāmeṣu patitāḥ surāḥ // Dhs_7.179 //	mAyA raSmi niBezu ezu kAmezu patitAH surAH // DhH _7.179 //
   jñānāṅkuśena kāmo varjanīyaḥ	jQAna aFkuSena kAmaH varjanIyaH
   jñānāṅkuśena vāryante viṣayāstattvadarśibhiḥ /	jQAna aFkuSena vAryante vizayAH tattva darSiBiH /
   ye 'muktāścapalāstīvrāḥ sarvānarthakarā matāḥ // Dhs_7.180 //	ye amuktAH capalAH tIvrAH sarva anarTa karAH matAH // DhH _7.180 //
   viṣayā eva narakapātahetavaḥ	vizayAH eva naraka pAta hetavaH
   viṣayāśā ca mūḍhānāṃ saṅkalpahṛtacetasām /	vizaya ASA ca mUXAnAm saFkalpa hRta cetasAm /
   mṛtyupāśo 'yamabhyeti jīvitāśā(vi)bandhakaḥ // Dhs_7.181 //	mRtyu pASaH ayam aByeti jIvita ASA( vi)banDakaH // DhH _7.181 //
   pacanti niraye kāmāḥ prāṇinaṃ laghucetasam /	pacanti niraye kAmAH prANinam laGu cetasam /
   na ca vindanti mūḍhā ye mohena parivañcitāḥ // Dhs_7.182 //	na ca vindanti mUXAH ye mohena parivaQcitAH // DhH _7.182 //
   viṣayāścapalāḥ sarve gandharvanagaropamāḥ /	vizayAH capalAH sarve ganDarvanagara upamAH /
   duḥkhasaṃvartakā hyete narakāḥ pañcahetavaḥ // Dhs_7.183 //	duHKa saMvartakAH hi ete narakAH paQca hetavaH // DhH _7.183 //
   saṅkalpajo rāgaḥ narakaṃ pātayati	saFkalpa jaH rAgaH narakam pAtayati
   saṅkalpājjāyate rāgaḥ rāgāt krodhaḥ pravartate /	saFkalpAt jAyate rAgaH rAgAt kroDaH pravartate /
   krodhābhibhūtaḥ puruṣo narakānupasevate // Dhs_7.184 //	kroDa aBiBUtaH puruzaH narakAn upasevate // DhH _7.184 //
   kāmaparityāgapūrvakaṃ nirvāṇaprāptaye yateta	kAma parityAga pUrvakam nirvANa prAptaye yateta
   tasmāt kāmaṃ parityajya krodhaṃ nirvāsya paṇḍitaḥ /	tasmAt kAmam parityajya kroDam nirvAsya paNxitaH /
   mohaṃ cāpi parityajya nirvāṇābhimukho bhavet // Dhs_7.185 //	moham ca api parityajya nirvANa aBimuKaH Bavet // DhH _7.185 //
   nirvāṇapathikānāṃ kṛte śatruvadeva kāmaḥ parivarjanīyaḥ	nirvANa paTikAnAm kRte Satru vat eva kAmaH parivarjanIyaH
   śatruvad viṣayā jñeyā nirvāṇaṃ caiva mitravat /	Satru vat vizayA jQeyA nirvANam ca eva mitra vat /
   pumān viśrāntaviṣayo nirvāṇamadhigacchati // Dhs_7.186 //	pumAn viSrAnta vizayaH nirvANam aDigacCati // DhH _7.186 //
   kāmamalairalipta eva vimalaprakāśamāpnoti	kAma malEH aliptaH eva vimala prakASam Apnoti
   alolupaḥ kāmamalairaliptaḥ prahīṇadoṣo hatavāṇatṛṣṇaḥ /	alolupaH kAma malEH aliptaH prahINa dozaH hata vANa tRzNaH /
   saṃkṣīṇadoṣo vimalaprakāśaḥ prayāti śāntiṃ svaphalopabhogī // Dhs_7.187 //	saMkzINa dozaH vimala prakASaH prayAti SAntim sva Pala upaBogI // DhH _7.187 //
   sukhārthī kāmaṃ parityajyaiva śāntimadhigacchati	suKa arTI kAmam parityajya eva SAntim aDigacCati
