   Pramāṇavārtikam	PramANa-vArtikam
   tasyāpi kevalasya prāg grahaṇaṃ vinivāritam // Pramāṇav_2.40 //	tasya-api kevalasya prAk grahaNam vinivAritam // PramANa=-_2.40 //
   parasparaviśiṣṭānāmaviśiṣṭaṃ kathaṃ bhavet /	paraspara-viSizwAnAm-aviSizwam kaTam Bavet /
   tathā dvirūpatāyāṃ vā tad vastvekaṃ kathaṃ bhavet // Pramāṇav_2.41 //	taTA dvi-rUpa-tAyAm vA tat vastu-ekam kaTam Bavet // PramANa=-_2.41 //
   tābhyāṃ tadanyadeva syād yadi rūpaṃ samaṃ tayoḥ /	tAByAm tat-anyat-eva syAt yadi rUpam samam tayoH /
   tayoriti na sambandho vyāvṛttistu na duṣyati // Pramāṇav_2.42 //	tayoH-iti na sambanDaH vyAvRttiH-tu na duzyati // PramANa=-_2.42 //
   tasmāt samānataivāsmin sāmānte 'vastulakṣaṇam /	tasmAt samAna-tA-eva-asmin sAma-ante avastu-lakzaNam /
   kārya cet tadanekaṃ syānnaścaraṃ ca na tanmatam // Pramāṇav_2.43 //	kArya ced tat-anekam syAt-naScaram ca na tat-matam // PramANa=-_2.43 //
   vastumātrānubandhitvād vināśasya na nityatā /	vastu-mAtra-anubanDi-tvAt vinASasya na nityatA /
   asambandhaśca jātīnāmakāryatvādarūpatā // Pramāṇav_2.44 //	asambanDaH-ca jAtInAm-akArya-tvAt-arUpa-tA // PramANa=-_2.44 //
   yacca vastubalājjñānaṃ jāyate tasapekṣate /	yat-ca vastu-balAt-jQAnam jAyate tasapekzate /
   na saṃketa sa sāmānyabuddhuṣvetad vibhāvyate // Pramāṇav_2.45 //	na saMketa sa sAmAnya-budDuzu-etat viBAvyate // PramANa=-_2.45 //
   yāpyabhedānugā buddhiḥ kācid vastudvayekṣaṇe /	yApya-Beda-anugA budDiH kAcid vastu-dvaya-IkzaNe /
   saṃketena vinā sārthapratyāsattinibandhanā // Pramāṇav_2.46 //	saMketena vinA sArTa-pratyAsatti-nibanDanAH // PramANa=-_2.46 //
   pratyasasattirvinā jātyā yatheṣtā cakṣurādiṣu /	pratyasasat-tiH-vinA jAtyA yaTeztA cakzuH-Adizu /
   jñānakāryeṣu jātirvā yathānveti vibhāgataḥ // Pramāṇav_2.47 //	jQAna-kAryezu jAtiH-vA yaTA-anveti viBAgataH // PramANa=-_2.47 //
   karthāñcadapi vijñāne tadrupānavabhāsataḥ /	karTAQcat-api vijQAne tad-rupAnava-BAsataH /
   yadi nāmendriyāṇāṃ syād draṣṭā bhāseta tadvapuḥ // Pramāṇav_2.48 //	yadi nAma-indriyANAm syAt drazwA BAseta tad-vapuH // PramANa=-_2.48 //
   rūpavatvāt na jātīnāṃ kevalānāmadarśanāt /	rUpava-tvAt na jAtInAm kevalAnAm-adarSanAt /
   vyaktigrahe ca tacchabdarupādanyanna dṛśyate // Pramāṇav_2.49 //	vyakti-grahe ca tat-SabdarupAt-anyat-na dRSyate // PramANa=-_2.49 //
   jñānamātrārthakaraṇe 'pyayogyamata eva tat /	jQAna-mAtra-arTa-karaNe api-ayogyam-atas eva tat /
   tadayogyatayārūpaṃ taddhyavastuṣu lakṣaṇam // Pramāṇav_2.50 //	tad-ayogya-tayA-rUpam tat-hi-avastuzu lakzaNam // PramANa=-_2.50 //
   Pramāṇav_2.//	PramANa=-_2.//
   yathoktaviparītaṃ yat tat svalakṣaṇamiṣyate /	yaTA-ukta-viparItam yat tat sva-lakzaNam-izyate /
   sāmānyaṃ trividham tacca bhāvābhāvobhayāśrayāt // Pramāṇav_2.51 //	sAmAnyam triviDam tat-ca BAva-aBAva-uBayASrayAt // PramANa=-_2.51 //
   yadi bhāvāśrayaṃ jñānaṃ bhāve bhāvānubandhataḥ /	yadi BAva-ASrayam jQAnam BAve BAva-anubanDataH /
   noktottaratvād dṛṣṭatvād atītādiṣu cānyathā // Pramāṇav_2.52 //	na-ukta-uttara-tvAt dRzwa-tvAt atIta-Adizu ca-anyaTA // PramANa=-_2.52 //
   bhāvadharmatvahāniścet bhāvagrahaṇapūrvakam /	BAva-Darma-tvahAniH-ced BAva-grahaNa-pUrvakam /
   tajjñānamityadoṣo 'yam meyaṃ tvekaṃ svalakṣaraṇam // Pramāṇav_2.53 //	tad-jQAnam-iti-adozaH ayam meyam tu-ekam svala-kza-raNam // PramANa=-_2.53 //
   tasmādarthakriyāsiddheḥ sadasattāvicāraṇāt /	tasmAt-arTa-kriyA-sidDeH sat-asat-tA-vicAraNAt /
   tasya svapararūpābhyāṃ gatermeyadvayaṃ matam // Pramāṇav_2.54 //	tasya sva-para-rUpAByAm gateH-meya-dvayam matam // PramANa=-_2.54 //
   ayathābhiniveśena dvitīyā bhrāntiriṣyate /	ayaTA-aBiniveSena dvitIyA BrAntiH-izyate /
   gatiścet pararūpeṇa na ca bhrānteḥ pramāṇatā // Pramāṇav_2.55 //	gatiH-ced para-rUpeNa na ca BrAnteH pramANatA // PramANa=-_2.55 //
   abhiprāyāvisaṃvādādapi bhrānteḥ pramāṇatā /	aBiprAya-avi-saMvAdAt-api BrAnteH pramANatA /
   gatirapyanyathā dṛṣṭā pakṣaścāyaṃ kṛtottaraḥ // Pramāṇav_2.56 //	gatiH-api-anyaTA dRzwA pakzaH-ca-ayam kRta-uttaraH // PramANa=-_2.56 //
   maṇipradīpaprabhayormaṇibuddhyābhidhāvatoḥ /	maNi-pradIpa-praBayoH-maNi-budDyA-aBiDAvatoH /
   mithyājñānāviśeṣe 'pi viśeṣo 'rthakriyāṃ prati // Pramāṇav_2.57 //	miTyAjQAna-aviSeze api viSezaH arTa-kriyAm prati // PramANa=-_2.57 //
   yathā tathāyathārthatve 'pyanumānatadābhayoḥ /	yaTA taTA-yaTArTa-tve api-anumAna-tad-ABayoH /
   arthakriyānurodhena pramāṇatvaṃ vyayasthitam // Pramāṇav_2.58 //	arTa-kriyA-anuroDena pramANa-tvam vyaya-sTitam // PramANa=-_2.58 //
   buddhiryatrārthasāmarthyādanvayavyatirekiṇī /	budDiH-yatra-arTa-sAmarTyAt-anvayavi-atirekiNI /
   tasya svatabtraṃ grahaṇamato 'nyad vastvatīndriyam // Pramāṇav_2.59 //	tasya sva-tabtram grahaNam-atas anyat vastu-atIndriyam // PramANa=-_2.59 //
   tasyādṛṣṭātmarūpasya gateranyo 'rtha āśrayaḥ /	tasya-adRzwa-Atma-rUpasya gateH-anyaH arTaH ASrayaH /
   tadāśrayeṇa sambandhī yadi syād gamakastadā // Pramāṇav_2.60 //	tad-ASrayeNa sambanDI yadi syAt gamakaH-tadA // PramANa=-_2.60 //
   gamakānugasāmānyarūpeṇaiva tadā gatiḥ /	gamaka-anuga-sAmAnya-rUpeNa-eva tadA gatiH /
   tasmāt sarvaḥ parokṣo 'rtho viśeṣeṇa na gamyate // Pramāṇav_2.61 //	tasmAt sarvaH parokzaH arTaH viSezeNa na gamyate // PramANa=-_2.61 //
   yā ca sambandhino dharmād bhūtirdharmiṇi jñāyate /	yA ca sambanDinaH DarmAt BUtiH-DarmiNi jQAyate /
   sānumānaṃ parokṣāṇāmekāntenaiva sādhanam // Pramāṇav_2.62 //	sa-anumAnam parokzANAm-ekAntena-eva sADanam // PramANa=-_2.62 //
   na pratyakṣaraparikṣābhyāṃ meyasyānyasya sambhavaḥ /	na pratyakzara-parikzAByAm meyasya-anyasya samBavaH /
   tasmāt prameyadvitvena pramāṇadvitvamiṣyate // Pramāṇav_2.63 //	tasmAt prameya-dvi-tvena pramANa-dvi-tvam-izyate // PramANa=-_2.63 //
   tryekasaṃkhyānirāso vā prameyadvayasarśanāt /	tri-eka-saMKyA-nirAsaH vA prameya-dvaya-sarSanAt /
   ekamevāprameyatvādasataścenmataṃ ca naḥ // Pramāṇav_2.64 //	ekam-eva-aprameya-tvAt-asataH-ced-matam ca naH // PramANa=-_2.64 //
   anekānto 'prameyatve 'sadbhāvasya niścayaḥ /	anekAntaH aprameya-tve asadBAvasya niScayaH /
   tanniścyapramāraṇaṃ vā dvitīyam nākṣajā matiḥ // Pramāṇav_2.65 //	tat-niScya-pramAraNam vA dvitIyam na-akzajA matiH // PramANa=-_2.65 //
   abhāve 'rthabalājjāterarthaśaktyanapekṣaṇe /	aBAve arTa-balAt-jAteH-arTa-Sakti-anapekzaNe /
   vyavadhānādibhāve 'pi jāyetendriyajā matiḥ // Pramāṇav_2.66 //	vyavaDAna-Adi-BAve api jAyeta-indriya-jA matiH // PramANa=-_2.66 //
   abhāve vinivṛttiścet pratyakṣasyaiva niścayaḥ /	aBAve vinivRttiH-ced pratyakzasya-eva niScayaH /
   viruddhaṃ saiva vā liṅgamanvayavyatirekiṇī // Pramāṇav_2.67 //	virudDam sA-eva vA liFgam-anvaya-vyatirekiNI // PramANa=-_2.67 //
   śiddhaṃ ca paracaitanyapratipatteḥ pramādvayam /	SidDam ca para-cEtanya-pratipatteH pramA-du-ayam /
   vyavahārādau pravṛttaśca siddhastadbhāvaniścaḥ // Pramāṇav_2.68 //	vyavahAra-AdO pravRttaH-ca sidDaH-tad-BAva-niScaH // PramANa=-_2.68 //
   pramāṇamavisaṃvādāt tat kvacid vyabhicārataḥ /	pramANam-avisaMvAdAt tat kvacid vyaBicArataH /
   nāśvāsa iti celliṅgadurdṛṣṭiretadīdṛśam // Pramāṇav_2.69 //	na-ASvAsaH iti ced-liFga-durdRzwiH-etat-IdRSam // PramANa=-_2.69 //
   yataḥ kadācit siddhāsya pratītirvastunaḥ kvacit /	yatas kadAcid sidDA-asya pratItiH-vastunaH kvacid /
   tadvaśya tato jātaṃ tatsvabhāvo 'pi vā bhavet // Pramāṇav_2.70 //	tad-vaSya tatas jAtam tad-svaBAvaH api vA Bavet // PramANa=-_2.70 //
   svanimittāt svabhāvād vā vinā nārthasya sambhavaḥ /	sva-nimittAt svaBAvAt vA vinA na-arTasya samBavaH /
   yacca rūpaṃ tayordṛṣṭaṃ tadevānyatra lakṣaṇam // Pramāṇav_2.71 //	yat-ca rUpam tayoH-dRzwam tat-eva-anyatra lakzaNam // PramANa=-_2.71 //
   svabhāve svanimitte vā dṛśye darśanahetuṣu /	svaBAve sva-nimitte vA dRSye darSana-hetuzu /
   anyeṣu satsvadṛśye ca satta vā tadvataḥ katham // Pramāṇav_2.72 //	anyezu satsu-adRSye ca satta vA tadvataH kaTam // PramANa=-_2.72 //
   aprāmāṇye ca sāmānyabuddhestallopa āgataḥ /	aprAmANye ca sAmAnya-budDeH-tat-lopaH AgataH /
   pretyabhāvavad akṣaistat paryāyeṇa pratīyate // Pramāṇav_2.73 //	pretyaBAva-vat akzEH-tat paryAyeNa pratIyate // PramANa=-_2.73 //
   tacca nendriyaśaktyādāvakṣabuddherasambhavāt /	tat-ca na-indriya-Sakti-AdO=-akza-budDeH-asamBavAt /
   abhāvapratipattau syād buddherjanmānittikam // Pramāṇav_2.74 //	aBAva-pratipattO syAt budDeH-janma-anittikam // PramANa=-_2.74 //
   svalakṣaṇe ca pratyakṣamavikalpatayā vinā /	sva-lakzaNe ca pratyakzam-avikalpa-tayA vinA /
   vikalpena na sāmānyagrahastasmistato 'numā // Pramāṇav_2.75 //	vikalpena na sAmAnya-grahaH-tasmiH-tatas anumA // PramANa=-_2.75 //
   prameyaniyame varṇānityatā na pratīyate /	prameya-niyame varNa-anitya-tA na pratIyate /
   pramāṇamanyat tadbuddhurvinā liṅgena sambhavāt // Pramāṇav_2.76 //	pramANam-anyat tad-budDuH-vinA liFgena samBavAt // PramANa=-_2.76 //
   viśeṣadṛṣṭe liṅgasya sambandhasyāprasiddhitaḥ /	viSeza-dRzwe liFgasya sambanDasya-aprasidDitaH /
   tat pramāṇāntaraṃ meyabahutvād bahutāpi vā // Pramāṇav_2.77 //	tat pramANa-antaram meya-bahu-tvAt bahu-tA-api vA // PramANa=-_2.77 //
   pramāṇānāmanekasya vṛtterekatra vā tathā /	pramANAnAm-anekasya vRtteH-ekatra vA taTA /
   viśeṣadadṛṣṭerekatrisaṃkhyāpoho na vā bhavet // Pramāṇav_2.78 //	viSeza-dadRzweH-eka-tri-saMKyA-apohaH na vA Bavet // PramANa=-_2.78 //
   viṣayāniyamādanyaprameyasya ca sambhavāt /	vizayAn-iyamAt-anya-prameyasya ca samBavAt /
   yojanād varṇasāmānye nāyaṃ doṣaḥ prasajyate // Pramāṇav_2.79 //	yojanAt varNa-sAmAnye na-ayam dozaH prasajyate // PramANa=-_2.79 //
   nāvasturūpaṃ tasyaiva tathā siddheḥ prasādhanāt /	na-avastu-rUpam tasya-eva taTA sidDeH prasADanAt /
   anyatra nānyasiddhiścenna tasyaiva prasiddhitaḥ // Pramāṇav_2.80 //	anyatra na-anya-sidDiH-ced-na tasya-eva prasidDitaH // PramANa=-_2.80 //
   yo hi bhāvo yathābhūto sa tadṛgliṅ gacetasaḥ /	yaH hi BAvaH yaTABUtaH sa tat-RgliF gacetasaH /
   hetustajjā tathābhūte tasmād vastuni liṅigadhīḥ // Pramāṇav_2.81 //	hetuH-tad-jA taTABUte tasmAt vastuni liFigaDIH // PramANav_2.81 //
   liṅgaliṅgidhiyorevaṃ pāramparyeṇa vastuni /	liFga-liFgi-DiyoH-evam pAramparyeNa vastuni /
   prativabdhāt tadābhāsaśūnyayorapyavañcanam // Pramāṇav_2.82 //	prativabDAt tad-ABAsa-SUnyayoH-api-avaQcanam // PramANa=-_2.82 //
   tadrī pādhyavasāyācca tayostadrūpaśūnyayoḥ /	tadrI pADyavasAyAt-ca tayoH-tad-rUpa-SUnyayoH /
   tadrūpāvañcakatve 'pi kṛtā bhrāntivyavasthitiḥ // Pramāṇav_2.83 //	tad-rUpA-vaQcaka-tve api kRtA BrAnti-vyavasTitiH // PramANa=-_2.83 //
   tasmād vastuni boddhavye vyāpakaṃ vyāpyacetasaḥ /	tasmAt vastuni bodDavye vyApakam vyApya-cetasaH /
   nimittaṃ tatsvabhāvo vā kāraṇam tacca taddhiyaḥ // Pramāṇav_2.84 //	nimittam tad-svaBAvaH vA kAraNam tat-ca tat-hiyaH // PramANa=-_2.84 //
   pratiṣedhastu sarvatra sādhyate 'nupalambhataḥ /	pratizeDaH-tu sarvatra sADyate anupalamBataH /
   siddhiṃ pramāṇairvadatāmarthādeva viparyayāt // Pramāṇav_2.85 //	sidDim pramANEH-vadatAm-arTAt-eva viparyayAt // PramANa=-_2.85 //
   dṛṣṭā viriddhadharmoktistasya tatkāraṇasya vā /	dRzwA viridDa-Darma-uktiH-tasya tad-kAraNasya vA /
   niṣedhe yāpi tasyaiva sāpramāṇatvasūcanā // Pramāṇav_2.86 //	nizeDe yA-api tasya-eva sa-apramANa-tva-sUcanA // PramANa=-_2.86 //
   anyathaikasya dharmasya svabhāvoktyā parasya tat /	anyaTA-ekasya Darmasya svaBAva-uktyA parasya tat /
   nāstitvaṃ kena gamyeta virodhācced asāvapi // Pramāṇav_2.87 //	nAstitvam kena gamyeta viroDAt-ced asO=-api // PramANa=-_2.87 //
   siddhaḥ kenāsahasthānāditi cet tat kuto matam /	sidDaH kena-asaha-sTAnAt-iti ced tat kutas matam /
   dṛśyasya darśanābhāvāhiti cet sāpramāṇatā // Pramāṇav_2.88 //	dRSyasya darSana-aBAvAh-iti ced sa-apramANa-tA // PramANa=-_2.88 //
   tasmāt svaśabdenoktāpi sābhāvasya prasādhikā /	tasmAt sva-Sabdena-uktA-api sABAvasya prasADikAH /
   yasyāpramāṇaṃ sāvācyo niṣedhastena sarvathā // Pramāṇav_2.89 //	yasya-apramANam sa-avAcyaH nizeDaH-tena sarvaTA // PramANa=-_2.89 //
   etena tadviruddhārthakāryoktirupavarṇatā /	etena tad-virudDa-arTa-kArya-uktiH-upavarNa-tA /
   prayogaḥ kevalaṃ bhinnaḥ sarvatrārtho na bhidyate // Pramāṇav_2.90 //	prayogaH kevalam BinnaH sarvatra-arTaH na Bidyate // PramANa=-_2.90 //
   viruddhaṃ tacca sopāyamavidhāyāpidhāya ca /	virudDam tat-ca sa-upAyam-aviDAya-apiDAya ca /
   pramāṇoktirniṣedhe yā na sāmnāyānusāriṇī // Pramāṇav_2.91 //	pramANa-uktiH-nizeDe yA na sAmnAya-anusAriNI // PramANa=-_2.91 //
   uktyādeḥ sarvavitpretyabhāvādipratiṣedhavat /	ukti-AdeH sarva-vid-pretya-BAva-Adi-pratizeDa-vat /
   atīndriyāṇāmarthānāṃ virodhasyāprasiddhitaḥ // Pramāṇav_2.92 //	atIndriyANAm-arTAnAm viroDasya-aprasidDitaH // PramANa=-_2.92 //
   bādhyavādhakabhāvaḥ kaḥ syātāṃ yadyuktisaṃvidau /	bADya-vADaka-BAvaH kaH syAtAm yat-yukti-saMvidO /
   tādṛśo 'nupalabdheśced ucyatāṃ saiva sādhanam // Pramāṇav_2.93 //	tAdRSaH anupalabDeH-ced ucyatAm sA-eva sADanam // PramANa=-_2.93 //
   aniścakaraṃ proktamīdṛk cānupalambhanam /	aniScakaram proktam-IdRS ca-anupalamBanam /
   tannātyantaparokṣeṣu sadasattāviniścayau // Pramāṇav_2.94 //	tat-na-atyanta-parokzezu sat-asat-tA-viniScayO // PramANa=-_2.94 //
   bhinno 'bhinno 'pi vā dharmaḥ sa viruddhaḥ prayujjate /	BinnaH aBinnaH api vA DarmaH sa virudDaH prayujjate /
   yathāgnirahime sādhye sattā vā janmabādhanī // Pramāṇav_2.95 //	yaTA-agniH-ahime sADye sattA vA janma-bADanI // PramANa=-_2.95 //
   yathā vastveva vastūnāṃ sādhane sādhanaṃ matam /	yaTA vastu-eva vastUnAm sADane sADanam matam /
   tathā vastveva vastūnāṃ svanivṛttau nivarttakam // Pramāṇav_2.96 //	taTA vastu-eva vastUnAm sva-nivRttO nivarttakam // PramANa=-_2.96 //
   etena kalpanānyasto yatra kvacana sambhavāt /	etena kalpanA-nyastaH yatra kvacana samBavAt /
   dharmaḥ pakṣasapakṣānyataratvādirapoditaḥ // Pramāṇav_2.97 //	DarmaH pakza-sapakza-anyatara-tva-AdiH-apa-uditaH // PramANa=-_2.97 //
   tatrāpi vyāpako dharmo nivṛttergamako mataḥ /	tatra-api vyApakaH DarmaH nivRtteH-gamakaH mataH /
   vyāpakasvanivṛttiścet paricchinnā kathañcana // Pramāṇav_2.98 //	vyApaka-sva-nivRttiH-ced paricCinnA kaTaQcanaH // PramANa=-_2.98 //
   yadapramāṇatābhāve liṅgaṃ tasyaiva kathyate /	yat-apramANa-tA-BAve liFgam tasya-eva kaTyate /
   tadatyantavimūḍhārtham āgopālamasaṃvṛteḥ // Pramāṇav_2.99 //	tat-atyanta-vimUXa-arTam AgopAlam-asaMvRteH // PramANa=-_2.99 //
   etāvanniścayaphalamabhāve 'nupalambhanam /	etAvat-niScaya-Palam-aBAve anupalamBanam /
   tacca hetau svabhāve vā dṛśye dṛśyatā mate // Pramāṇav_2.100 //	tat-ca hetO svaBAve vA dRSye dRSyatA mate // PramANa=-_2.100 //
   anumānādanityādergrahaṇe 'yaṃ kramo mataḥ /	anumAnAt-anitya-AdeH-grahaNe ayam kramaH mataH /
   prāmāṇyameva nānyatra gṛhītaghaṇānmatam // Pramāṇav_2.101 //	prAmANyam-eva na-anyatra gRhIta-GaNAt-matam // PramANa=-_2.101 //
   nānyāsyānityatā bhāvāt pūrva siddhaḥ sa cenidriyāt /	na-anyAsya-anitya-tA BAvAt pUrva sidDaH sa cenidriyAt /
   nānekarūpo vācyo 'sau vācyo dharmo vikalpajaḥ // Pramāṇav_2.102 //	na-aneka-rUpaH vAcyaH asO vAcyaH DarmaH vikalpa-jaH // PramANa=-_2.102 //
   sāmānyāśrayasaṃsiddhau sāmānyaṃ siddhameva tat /	sAmAnya-ASraya-saMsidDO sAmAnyam sidDam-eva tat /
   tadasiddhau tathāsyaiva hyanumānaṃ pravartate // Pramāṇav_2.103 //	tad-asidDO taTA-asya-eva hi-anumAnam pravartate // PramANa=-_2.103 //
   kvacit tadaparijñānaṃ sadṛśāparasambhavāt /	kvacid tad-aparijQAnam sadRSa-apara-samBavAt /
   bhrānterapaśyato bhedaṃ māyāgolakabhedavat // Pramāṇav_2.104 //	BrAnteH-apaSyataH Bedam mAyA-golaka-Beda-vat // PramANa=-_2.104 //
   tathā hyaliṅgamābālamasaṃśliṣṭottarodayam /	taTA hi-aliFgam-AbAlam-asaMSlizwa-uttara-udayam /
   paśyan paricchinattyeva dīpādi nāśinaṃ janaḥ // Pramāṇav_2.105 //	paSyan paricCinatti-eva dIpa-Adi nASinam janaH // PramANa=-_2.105 //
   bhāvasvabhāvabhūtāyāmapi śaktau phale dṛśaḥ /	BAva-svaBAva-BUtAyAm-api SaktO Pale dRSaH /
   anānantaryato moho viniśceturapāṭavāt // Pramāṇav_2.106 //	anAnantaryatas mohaH viniScetuH-apAwavAt // PramANa=-_2.106 //
   tasyava vinivṛttyarthamanumānopavarṇanam /	tasyava vinivRtti-arTam-anumAna-upavarNanam /
   vyasyantīkṣaṇādeva sarvākārān mahādhiyaḥ // Pramāṇav_2.107 //	vyasi-anti-IkzaNAt-eva sarva-AkArAn mahA-ADiyaH // PramANa=-_2.107 //
   vyāvṛtte sarvatastasmin vyāvṛttivinivbandhanāḥ /	vyAvRtte sarvatas-tasmin vyAvRtti-vinivbanDanAH /
   buddhayo 'rthe pravarttante bhinne bhinnāśrayā iva // Pramāṇav_2.108 //	budDayaH arTe pravarttante Binne Binna-ASrayAH iva // PramANa=-_2.108 //
   yathācodanamākhyāśca so 'sati bhrāntikāraṇe /	yaTA-codanam-AKyAH-ca saH asati BrAnti-kAraNe /
   pratibhāḥ pratisandhatte svānurūpāḥ svabhāvataḥ // Pramāṇav_2.109 //	pratiBAH pratisanDatte sva-anurUpAH svaBAvataH // PramANa=-_2.109 //
   siddho 'trāpyathavā dhvaṃso liṅgādanupalambhanāt /	sidDaH atra-api-aTavA DvaMsaH liFgAt-anupalamBanAt /
   prāgbhūtvā hyabhavan bhāvo 'nitya ityabhidhīyate // Pramāṇav_2.110 //	prAk-BUtvA hi-aBavan BAvaH anityaH iti-aBiDIyate // PramANa=-_2.110 //
   yasyobhayāntavyavadhisattāsambandhavā cinī /	yasya-uBayAnta-vyavaDi-sattA-sambanDa-vA cinI /
   anityatāśrutistena tāvantāviti kau smṛtau // Pramāṇav_2.111 //	anitya-tA-SrutiH-tena tAvantO=-iti kO smRtO // PramANa=-_2.111 //
   prākpaścādapyabhāvaścet sa evānityatā na kim /	prAc-paScAt-api-aBAvaH-ced saH eva-anitya-tA na kim /
   ṣaṣṭhayādyayogāditi cedū antayoḥ sa kathaṃ bhavet // Pramāṇav_2.112 //	zazWayA-Adya-yogAt-iti cedU antayoH sa kaTam Bavet // PramANa=-_2.112 //
   sattāsambandhayordhrauvyādantābhyāṃ na viśeṣaṇam /	sattA-sambanDayoH-DrOvyAt-antAByAm na viSezaNam /
   aviśeṣaṇameva syādantau cet kāryakāraṇe // Pramāṇav_2.113 //	aviSezaNam-eva syAt-antO ced kArya-kAraNe // PramANa=-_2.113 //
   asambandhānna bhāvasya prāgabhāvaṃ sa vāñchati /	asambanDAt-na BAvasya prAgaBAvam sa vAQCati /
   tadupādhisamākhyāne te 'pyasya ca na sidhyataḥ // Pramāṇav_2.114 //	tad-upADi-samAKyAne te api-asya ca na siDyataH // PramANa=-_2.114 //
   sattā svakāraṇāśleṣakaraṇāt kāraṇaṃ kila /	sattA sva-kAraNa-ASleza-karaNAt kAraNam kila /
   sā sattā sa ca sambandho nityau kāryamatheha kim // Pramāṇav_2.115 //	sA sattA sa ca sambanDaH nityO kAryam-aTa-iha kim // PramANa=-_2.115 //
   yasyābhāvaḥ kriyetāsau na bhāvaḥ prāgabhāvavān /	yasya-aBAvaH kriyeta-asO na BAvaH prAgaBAvavAn /
   sambandhānabhyupagamānnityaṃ viśvamidaṃ tataḥ // Pramāṇav_2.116 //	sambanDa-anaByupagamAt-nityam viSvam-idam tatas // PramANa=-_2.116 //
   tasmādanarthāskandinyo 'bhinnārthābhimateṣvapi /	tasmAt-anarTAskandinyaH aBinna-arTa-aBimatezu-api /
   śabdeṣu vācyabhedinyo vyatirekāspadaṃ dhiyaḥ // Pramāṇav_2.117 //	Sabdezu vAcya-BedinyaH vyatireka-Aspadam DiyaH // PramANa=-_2.117 //
   viśeṣapratyabhijñānaṃ na pratikṣaṇabhedataḥ /	viSeza-pratyaBijQAnam na pratikzaNa-BedataH /
   na vā viśeṣaviṣayaṃ dṝṣṭasāmyena tadgrahāt // Pramāṇav_2.118 //	na vA viSeza-vizayam dLzwa-sAmyena tad-grahAt // PramANa=-_2.118 //
   nidarśanaṃ tadeveti sāmānyāgrahaṇaṃ yadi /	nidarSanam tat-eva-iti sAmAnya-agrahaNam yadi /
   nidarśanatvāt siddhasya pramāṇenāsya kiṃ punaḥ // Pramāṇav_2.119 //	nidarSana-tvAt sidDasya pramANena-asya kim punar // PramANa=-_2.119 //
   vismṛtatvādadoṣaścet tata evānidarśanam /	vismRta-tvAt-adozaH-ced tatas eva-anidarSanam /
   dṛṣṭe tadbhāvasiddhiścet pramāṇād anyavastuni // Pramāṇav_2.120 //	dRzwe tad-BAva-sidDiH-ced pramANAt anya-vastuni // PramANa=-_2.120 //
   tattvārope viparyāsastatsiddherapramāṇatā /	tattva-Arope viparyAsaH-tad-sidDeH-apramANa-tA /
   pratyakṣetarayoraikyādekasiddhirdvayorapi // Pramāṇav_2.121 //	pratyakza-itarayoH-EkyAt-eka-sidDiH-dvayoH-api // PramANa=-_2.121 //
   sandhīyamānaṃ cānyena vyavasāyaṃ smṛtiṃ viduḥ /	sanDIyamAnam ca-anyena vyavasAyam smRtim viduH /
   talliṅgāpekṣaṇānno cet smṛtirna vyabhicārataḥ // Pramāṇav_2.122 //	tad-liFga-apekzaNAt-no ced smRtiH-na vyaBicArataH // PramANa=-_2.122 //
   pratyakṣaṃ kalpanāpoḍhaṃ pratyakṣeṇaiva sidhyati /	pratyakzam kalpanA-apoXam pratyakzeNa-eva siDyati /
   pratyātmavedyaḥ sarveṣāṃ vikalpo nāmasaṃśrayaḥ // Pramāṇav_2.123 //	pratyAtma-vedyaH sarvezAm vikalpaH nAma-saMSrayaH // PramANa=-_2.123 //
   saṃhṛtya sarvatāścintāṃ stimitenāntarātmanā /	saMhRtya sarvatAH-cintAm stimitena-antarAtmanA /
   sthito 'pi cakṣuṣā rūpamīkṣate sākṣajā matiḥ // Pramāṇav_2.124 //	sTitaH api cakzuzA rUpam-Ikzate sAkza-jA matiH // PramANa=-_2.124 //
   punarvikalpayan kiñcidāsīnme kalpanedṛśī /	punar-vikalpayan kiQcid-AsIt-me kalpanA-IdRSI /
   vetti ceti na pūrvoktāvasthāyāmindriyād gatau // Pramāṇav_2.125 //	vetti ca-iti na pUrva-ukta-avasTAyAm-indriyAt gatO // PramANa=-_2.125 //
   ekatra dṛṣṭau bhedo hi kvacinnānyatra dṛśyate /	ekatra dRzwO BedaH hi kvacid-na-anyatra dRSyate /
   na tasmād bhinnamastyanyat sāmānyaṃ buddhyabhedataḥ // Pramāṇav_2.126 //	na tasmAt Binnam-asti-anyat sAmAnyam budDi-aBedataH // PramANa=-_2.126 //
   tasmād viśeṣaviṣayā sarvai vendriyajā matiḥ /	tasmAt viSeza-vizayA sarvEH vA-indriya-jA matiH /
   na viśeṣeṣu śabdānāṃ pravṛttāvasti sambhavaḥ // Pramāṇav_2.127 //	na viSezezu SabdAnAm pravRttO=-asti samBavaH // PramANa=-_2.127 //
   ananvayād viśeṣāṇāṃ saṅketasyāpravṛttitaḥ /	ananvayAt viSezANAm saFketasya-apravRttitaH /
