   (Gv 1)	(Gu 1)
   śrāvakayānādhimuktānāṃ pratyekabuddhayānādhimuktānāṃ mahāyānādhimuktānāṃ	SrAvaka yAna aDimuktAnAm pratyekabudDa yAna aDimuktAnAm mahAyAna aDimuktAnAm
   sattvānāmarthaṃ karomi vividhairupāyairvividhairjñānanayaprayogaiḥ /	sattvAnAm arTam karomi viviDEH upAyEH viviDEH jQAna naya prayogEH /
   yaduta keṣāṃcitsattvānāṃ vividhalaukikaśilpaśikṣaṇatayā arthaṃ karomi	yat uta kezAMcid sattvAnAm viviDa lOkika Silpa SikzaNa tayA arTam karomi
   sarvaśilpajñānabhedavatīdhāraṇyālokena / (Gv 138) keṣāṃcit sattvānāṃ	sarva Silpa jQAna BedavatI DAraNya alokena / (Gu 138) kezAMcid sattvAnAm
   catuḥsaṃgrahavastuprayogeṇa arthaṃ karomi yaduta sarvajñajñānopanayanāya /	catur saMgraha vastu prayogeNa arTam karomi yat uta sarvajQa jQAna upanayanAya /
   keṣāṃcit sattvānāṃ pāramitāsaṃvarṇanatayā arthaṃ karomi yaduta	kezAMcid sattvAnAm pAramitA saMvarNana tayA arTam karomi yat uta
   sarvajñatāpariṇāmajñānanayālokasaṃjananatayā / keṣāṃcit sattvānāṃ	sarvajQa tA pariNAma jQAna naya Aloka saMjanana tayA / kezAMcid sattvAnAm
   bodhicittasaṃvarṇanatayā arthaṃ karomi yaduta	boDi citta saMvarNana tayA arTam karomi yat uta
   bodhibījāvipraṇāśopastambhasaṃjananatayā / keṣāṃcit sattvānāṃ	boDi bIja avipraNASa upastamBa saMjanana tayA / kezAMcid sattvAnAm
   sarvākārabodhisattvacaryāsaṃvarṇanatayā arthaṃ karomi yaduta	sarva AkAra boDisattva caryA saMvarNanatayA arTam karomi yat uta
   sarvabuddhakṣetrapariśodhanasarvasattvaparipākapraṇidhisaṃjananatāyai /	sarva budDa kzetra pariSoDana sarva sattva paripAka praNiDi saMjana na tAyE /
   keṣāṃcit sattvānāmudvegasaṃjananatayā arthaṃ karomi yaduta	kezAMcid sattvAnAm udvega saMjanana tayA arTam karomi yat uta
   duścaritavipākaniṣyandanarakagatiduḥkhavedanānubhavasaṃdarśanatayā /	duScarita vipAka nizyanda naraka gati duHKa vedanA anuBava saMdarSana tayA /
   keṣāṃcit sattvānāṃ mahāprītisaṃjananatayā arthaṃ karomi yaduta	kezAMcid sattvAnAm mahA prIti saMjanana tayA arTam karomi yat uta
   sarvatathāgatāvaropitadakṣiṇāniyatasarvajñatāphalaparyavasāne	sarva taTAgata avaropita dakziNA niyata sarvajQa tA Pala paryavasAne
   'bhyudīraṇatayā / keṣāṃcit sattvānāṃ	aByudIraNa tayA / kezAMcid sattvAnAm
   sarvatathāgataguṇavarṇasaṃprakāśanatayā arthaṃ karomi yaduta	sarva taTAgata guNa varNa saMprakASana tayA arTam karomi yat uta
   buddhaguṇaśarīrābhilāṣasarvajñatāpraṇidhisaṃjananatāyai / keṣāṃcit	budDa guNa SarIra aBilAza sarvajQa tA praNiDi saMjana na tAyE / kezAMcid 
   sattvānāṃ buddhamāhātmyasūcanayā arthaṃ karomi yaduta	sattvAnAm budDa mAhAtmya sUcanayA arTam karomi yat uta
   avivartyānābhogāpratiprasrabdhabuddhakāryānuṣṭhānasaktabuddhakāyapratilambhābhilāṣasaṃjananatāyai	avivartya anABoga apratiprasrabDa budDa kArya anuzWAna sakta budDa kAya pratilamBa aBilAza saMjanana tAyE
   / keṣāṃcit sattvānāṃ buddhādhipateyatāsaṃdarśanatayā arthaṃ karomi yaduta	/ kezAMcid sattvAnAm budDa aDipateya tA saMdarSana tayA arTam karomi yat uta
   anabhibhūtabuddhātmabhāvasaṃpatpratilābhābhilāṣasaṃjananatāyai /	anaBiBUta budDa Atma BAva saMpad pratilABa aBilAza saMjana natAyE /
   api tu khalu punarahaṃ kulaputra, iha nagare tosale sarvarathyāsu	api tu Kalu punar aham kula putra, iha nagare tosale sarva raTyAsu
   sarvacatvareṣu sarvaśṛṅgāṭakeṣu sarvavīthīmukheṣu sarvagṛheṣu sarvaśreṇiṣu	sarva catvarezu sarva SRFgAwakezu sarva vITI muKezu sarva gRhezu sarva SreNizu
   sarvakuleṣu sarvakulaparivarteṣu yathāsaṃnipatitānāṃ	sarva kulezu sarva kula parivartezu yaTA saMnipatitAnAm
   strīpuruṣadārakadārikāṇāṃ yathāśayānāṃ yathāprayogāṇāṃ yathādhipateyānāṃ	strI puruza dAraka dArikANAm yaTASayAnAm yaTA prayogANAm yaTA aDipateyAnAm
   yathāvyavacārāṇāṃ tatsabhāgāni ātmabhāvārohapariṇāhasaṃsthānāni	yaTAvyavacArANAm tad sa BAgAni Atma BAva Aroha pariNAha saMsTAnAni
   abhinirhṛtya dharmaṃ deśayāmi / na ca te sattvā avabudhyante kenedaṃ	aBinirhRtya Darmam deSayAmi / na ca te sattvAH avabuDyante kena idam
   deśitam, kuto vāyamiti / anyatra śrutvā tathatvāya pratipadyante / ye	deSitam, kutas vA ayam iti / anyatra SrutvA taTatvAya pratipadyante / ye
   'pīme kulaputra jambudvīpe ṣaṇṇavatiyo pāṣaṇḍā	api ime kula putra jambudvIpe zaNNavatiyaH pAzaNxA
   vividhadṛṣṭigatābhiniviṣṭāḥ, tatrāpyahaṃ sarvatrānugacchāmi	viviDa dRzwi gata aBinivizwAH, tatra api aham sarvatra anugacCAmi
   vividhadṛṣṭigatasaktānāṃ sattvānāṃ paripācanatāyai / yathā ca kulaputra	viviDa dRzwi gata saktAnAm sattvAnAm paripAcana tAyE / yaTA ca kula putra
   ahamiha tosale nagare sattvānāmarthaṃ karomi, evaṃ jambudvīpe	aham iha tosale nagare sattvAnAm arTam karomi, evam jambudvIpe
   sarvagrāmanagaranigamajanapadarāṣṭrarājadhānīṣu sattvānāmarthaṃ karomi /	sarva grAma nagara nigama janapada rAzwra rAja DAnIzu sattvAnAm arTam karomi /
   yathā jambudvīpe, tathā sarvatra cāturdvīpake lokadhātau, evaṃ sāhasre	yaTA jambudvIpe, taTA sarvatra cAturdvIpake lokaDAtO, evam sAhasre
   dvisāhasre trisāhasre mahāsāhasre lokadhātau, evaṃ daśasu dikṣu,	dvi sAhasre tri sAhasre mahA sAhasre lokaDAtO, evam daSasu dikzu,
   aparimāṇeṣu lokadhātuṣu, sarvasattvapatheṣu sarvasattvapratiṣṭhāneṣu	aparimANezu lokaDAtuzu, sarva sattva paTezu sarva sattva pratizWAnezu
   sarvasattvaniketeṣu sarvasattvanilayasaṃjñāgateṣu sarvasattvaparivarteṣu	sarva sattva niketezu sarva sattva nilaya saMjQA gatezu sarva sattva parivartezu
   sarvasattvasamavasaraṇeṣu sarvasattvasamudreṣu sarvasattvavaṃśeṣu	sarva sattva samavasaraNezu sarva sattva samudrezu sarva sattva vaMSezu
   sarvasattvadikṣu sarvasattvavidikṣu sarvasattvavidhiṣu	sarva sattva dikzu sarva sattva vidikzu sarva sattva viDizu
   yathāśayādhimuktānāṃ sattvānāmarthaṃ karomi / vividhairupāyai	yaTA ASaya aDimuktAnAm sattvAnAm arTam karomi / viviDEH upAyE
   rvividhairnayairvividhairdvārairvividhābhiryuktibhirvividhaiḥ saṃprayogaiḥ	rviviDEH nayEH viviDEH dvArEH viviDABiH yuktiBiH viviDEH saMprayogEH
   vividhairupāyanayairvividhābhiḥ	viviDEH upAya nayEH viviDABiH
   kriyābhirvividharūpavarṇasaṃdarśanasaṃprasādanatayā	kriyABiH viviDa rUpa varNa saMdarSana saMprasAdana tayA
   vividhavākpathodīraṇatayā sattvānāmarthaṃ karomi / etāmahaṃ kulaputra	viviDa vAc paTa udIraNa tayA sattvAnAm arTam karomi / etAm aham kula putra
   sarvagāminīṃ sarvatrānugatāṃ bodhisattvacaryāṃ prajānāmi / kiṃ mayā śakyaṃ	sarva gAminIm sarvatra anugatAm boDisattva caryAm prajAnAmi / kim mayA Sakyam
   bodhisattvānāṃ sarvajaganmayaśarīrāṇāṃ	boDisattvAnAm sarva jagat maya SarIrANAm
   svakāyasarvakāyāsaṃbhedasamādhipratilabdhānāṃ	sva kAya sarva kAya asaMBeda samADi pratilabDAnAm
   sarvabhavagatyanusṛtavipulanirmāṇacakrāṇāṃ	sarva Bava gati anusRta vipula nirmANa cakrANAm
   sarvalokopapattisvaśarīrānuvicāriṇāṃ	sarva loka upapatti sva SarIra anuvicAriNAm
   sarvajagannayanarocanaruciranirmāṇacakraparamāṇāṃ (Gv 139)	sarva jagat nayana rocana rucira nirmANa cakra paramANAm (Gu 139)
   sarvajagajjātikulajanmopapattipradarśakānāṃ	sarva jagat jAti kula janma upapatti pradarSakAnAm
   sarvakalpasaṃvāsāpratihatapraṇidhicakrāṇāmindrajālatalopamacaryāvyūhāvabhāsapratilabdhānāṃ	sarva kalpa saMvAsa apratihata praNiDi cakrANAm indrajAla tala upama caryA vyUha avaBAsa pratilabDAnAm
   sarvajagadarthakriyānupalesaṃvāsaparamāṇāṃ	sarva jagat arTa kriyA anupalesaMvAsa paramANAm
   tryadhvajagattalasamatānugatānāṃ	tri aDva jagat tala sa matA anugatAnAm
   nairātmyavatījñānadhātupratibhāsitāparyantamahākaruṇāgarbhāṇāṃ	nErAtmyavatI jQAna DAtu pratiBAsitA paryanta mahA karuNA garBANAm
   sarvajagatkuśalādhānābhimukhānāṃ caryāṃ jñātuṃ guṇān vā vaktum //	sarva jagat kuSala ADAna aBimuKAnAm caryAm jQAtum guNAn vA vaktum //
   gaccha kulaputra, ihaiva dakṣiṇāpathe pṛthurāṣṭraṃ nāma janapadaḥ /	gacCa kula putra, iha eva dakziNApaTe pRTurAzwram nAma janapadaH /
   tatrotpalabhūtirnāma gāndhikaśreṣṭhī prativasati / tamupasaṃkramya	tatra utpalaBUtiH nAma gAnDika SrezWI prativasati / tam upasaMkramya
   paripṛccha   kathaṃ bodhisattvānāṃ bodhisattvacaryāyāṃ śikṣitavyam, kathaṃ	paripRcCa  kaTam boDisattvAnAm boDisattva caryAyAm Sikzitavyam, kaTam
   pratipattavyam //	pratipattavyam //
   atha khalu sudhanaḥ śreṣṭhidārakaḥ sarvagāminaḥ parivrājakasya pādau	aTa Kalu suDanaH SrezWi dArakaH sarva gAminaH parivrAjakasya pAdO
   śirasābhivandya sarvagāminaṃ parivrājakamanekaśatasahasrakṛtvaḥ	SirasA aBivandya sarva gAminam parivrAjakam aneka Sata sahasra kRtvas 
   pradakṣiṇīkṛtya punaḥ punaravalokya sarvagāminaḥ parivrājakasyāntikāt	pradakziNIkRtya punar punar avalokya sarva gAminaH parivrAjakasya antikAt 
   prakrāntaḥ // 21 //	prakrAntaH // 21 //
   (Gv 140)	(Gu 140)
   24 Utpalabhūtiḥ /	24 u utpala BUtiH /
   atha khalu sudhanaḥ śreṣṭhidārako 'napekṣaḥ kāye jīvite ca, anapekṣaḥ	aTa Kalu suDanaH SrezWi dArakaH anapekzaH kAye jIvite ca, anapekzaH
   sarvabhavabhogaparigrahopādānābhiniveśanāpattiṣu, anapekṣaḥ	sarva Bava Boga parigraha upAdAna aBiniveSana Apattizu, anapekzaH
   sarvasattvadeśaratiṣu, anapekṣaḥ sarvarūpaśabdagandharasaspraṣṭavyeṣu,	sarva sattva deSa ratizu, anapekzaH sarva rUpa Sabda ganDa rasa sprazwavya izu,
   anapekṣaḥ sarvaparivāropabhogaparibhogeṣu, anapekṣaḥ	anapekzaH sarva parivAra upaBoga pariBoga izu, anapekzaH
   sarvarājyaiśvaryādhipatyasukheṣu, sāpekṣaḥ	sarva rAjya ESvarya ADipati a suKa izu, sa apekzaH
   sarvasattvaparipācanavinayapariśuddhiṣu	sarva sattva paripAcana vinaya pariSudDizu
   anuttarabuddhakṣetrapariśuddhyabhinirharaṇatayā, sāpekṣaḥ	anuttara budDa kzetra pariSudDi aBinirharaNa tayA, sa apekzaH
   sarvatathāgatapūjopasthānaparicaryāvitṛptatayā, sāpekṣaḥ sarvadharmeṣu	sarva taTAgata pUjA upasTAna paricaryA vitRpta tayA, sa apekzaH sarva Darmezu
   svabhāvaparijñānānugamāya, sāpekṣa sarvabodhisattvaguṇeṣu	svaBAva parijQAna anugamAya, sa apekza sarva boDisattva guNezu
   sarvaguṇasāgareṣu pratipattyacyavanatāyai, sāpekṣaḥ	sarva guNa sAgarezu pratipatti acya vana tAyE, sa apekzaH
   sarvabodhisattvamahāpraṇidhāneṣu	sarva boDisattva mahA praNiDAnezu
   sarvakalpānavaśeṣabodhisattvacaryāsaṃvāsanatāyai, sāpekṣaḥ	sarva kalpAn avaSeza boDisattva caryA saMvAsana tAyE, sa apekzaH
   sarvatathāgataparṣanmaṇḍalasamudrāvatāreṣu, sāpekṣaḥ	sarva taTAgata parzat maNxala samudra avatAra izu, sa apekzaH
   sarvabodhisattvasamādhimukheṣu	sarva boDisattva samADi muKezu
   ekaikasamādhimukhasarvabodhisattvasamādhyasaṃkhyeyāvataraṇavikurvaṇatāyai,	ekEka samADi muKa sarva boDisattva samADya saMKyeya avataraNa vikurvaNa tAyE,
   sāpekṣaḥ sarvadharmajñānālokacakreṣu	sa apekzaH sarva Darma jQAna Aloka cakrezu
   sarvatathāgatadharmacakrasaṃpratīcchanātṛptatāyai sarvakalyāṇamitrākarān	sarva taTAgata Darma cakra saMprati icCana atRpta tAyE sarva kalyANa mitra AkarAn
   sarvakalyāṇamitrasaṃbhavane, tāṃśca anyāṃśca sarvabodhisattvaguṇān	sarva kalyANa mitra saMBavane, tAn= ca anyAn= ca sarva boDisattva guNAn
   saṃpaśyan anupūrveṇa yena pṛthurāṣṭraṃ janapadastenopasaṃkramya	saMpaSyan anupUrveNa yena pRTu rAzwram janapadaH tena upasaMkramya
   utpalabhūtiṃ gāndhikaśreṣṭhinaṃ parimārgan parigaveṣamāṇo 'drākṣīt /	utpala BUtim gAnDika SrezWinam parimArgan parigavezamANaH adrAkzIt /
   dṛṣṭvā ca punaryenotpalabhūtirgāndhikaśreṣṭhī tenopajagāma / upetya	dRzwvA ca punar yena utpala BUtiH gAnDika SrezWI tena upajagAma / upetya
   utpalabhūtergāndhikaśreṣṭhinaḥ pādau sirasābhivandya utpalabhūtiṃ	utpala BUteH gAnDika SrezWinaH pAdO sirasA aBivandya utpalaBUtim
   gāndhikaśreṣṭhinamanekaśatasahasrakṛtvaḥ pradakṣiṇīkṛtya	gAnDika SrezWinam aneka Sata sahasra kRtvas pradakziNIkRtya
   utpalabhūtergāndhikaśreṣṭhinaḥ purataḥ prāñjaliḥ sthitvā evamāha  	utpala BUteH gAnDika SrezWinaH puratas prAQjaliH sTitvA evam Aha  
   ahamārya anuttarāyāṃ samyaksaṃbodhau saṃprasthitaḥ	aham Arya anuttarAyAm samyaksaMboDO saMprasTitaH
   sarvabuddhasamajñānamākāṅkṣamāṇaḥ sarvabuddhapūrṇapraṇidhānamaṇḍalaṃ	sarva budDa sama jQAnam AkAFkzamANaH sarva budDa pUrNa praNiDAna maNxalam
   paripūrayitukāmaḥ sarvabuddharūpakāyaṃ draṣṭukāmaḥ sarvabuddhadharmakāyaṃ	paripUrayitu kAmaH sarva budDa rUpa kAyam drazwu kAmaH sarva budDa Darma kAyam
   pariniṣpādayitukāmaḥ sarvabuddhadharmajñānakāyaṃ parijñātukāmaḥ	parinizpAdayitu kAmaH sarva budDa Darma jQAna kAyam parijQAtu kAmaH
   sarvabodhisattvacaryāmaṇḍalaṃ pariśodhayitukāmaḥ	sarva boDisattva caryA maNxalam pariSoDayitu kAmaH
   sarvabodhisattvasamādhimaṇḍalamavabhāsayitukāmaḥ	sarva boDisattva samADi maNxalam avaBAsayitu kAmaH
   sarvabodhisattvadhāraṇīmaṇḍalaṃ saṃsthāpayitukāmaḥ sarvāvaraṇamaṇḍalaṃ	sarva boDisattva DAraNI maNxalam saMsTApayitu kAmaH sarva AvaraNa maNxalam
   vikaritukāmaḥ sarvakṣetramaṇḍalamanuvicaritukāmaḥ / na ca jānāmi kathaṃ	vikaritu kAmaH sarva kzetra maNxalam anuvicaritu kAmaH / na ca jAnAmi kaTam
   bodhisattvena bodhisattvacaryāyāṃ śikṣitavyam, kathaṃ pratipattavyam /	boDisattvena boDisattva caryAyAm Sikzitavyam, kaTam pratipattavyam /
   kathaṃ pratipadyamāno bodhisattvo niryāti sarvajñatāyām? āha   sādhu sādhu	kaTam pratipadyamAnaH boDisattvaH niryAti sarvajQa tA AyAm? Aha  sADu sADu
   kulaputra, yena te 'nuttarāyāṃ samyaksaṃbodhau cittamutpāditam / ahaṃ	kula putra, yena te anuttarAyAm samyaksaMboDO cittam utpAditam / aham
   kulaputra sarvagandhān prajānāmi / sarvagandhayogān sarvadhūpān	kula putra sarva ganDAn prajAnAmi / sarva ganDa yogAn sarva DUpAn
   sarvadhūpayogān prajānāmi / sarvānulepanāni sarvānulepanayogān sarvacūrṇān	sarva DUpa yogAn prajAnAmi / sarva anulepanAni sarva anulepana yogAn sarva cUrNAn
   sarvacūrṇayogān sarvagandhānulepanacūrṇākarān prajānāmi / devagandhānapi	sarva cUrNa yogAn sarva ganDa anulepana cUrNa AkarAn prajAnAmi / deva ganDAn api
   prajānāmi /	prajAnAmi /
   nāgayakṣagandharvāsuragaruḍakinnaramahoragamanuṣyāmanuṣyagandhānapi	nAga yakza ganDarva asura garuxa kinnara mahA uraga manuzya amanuzya ganDAn api
   prajānāmi / vividhānapi gandhān prajānāmi / vyādhipraśamanagandhānapi,	prajAnAmi / viviDAn api ganDAn prajAnAmi / vyADi praSamana ganDAn api,
   daurmanasyāpahāragandhānapi, laukikaprītisaṃjananagandhānapi,	dOrmanasya apahAra ganDAn api, lOkika prIti saMjanana ganDAn api,
   kleśojjvālanagandhānapi, kleśapraśamanagandhānapi,	kleSa ujjvAlana ganDAn api, kleSa praSamana ganDAn api,
   vividhasaṃskṛtaratisukhasaṃjananagandhānapi,	viviDa saMskRta rati suKa saMjanana ganDAn api,
   sarvasaṃskṛtodvegasaṃjananagandhānapi, madapramādāpahāragandhānapi,	sarva saMskRta udvega saMjanana ganDAnapi, mada pramAda apahAra ganDAn api,
   buddhamanasikārasamudācārasaṃbhavagandhānapi, dharmanayānugamagandhānapi,	budDa manasikAra samudAcAra saMBava ganDAn api, Darma naya anugama ganDAn api,
   āryopabhogyagandhānapi, sarvabodhisattvagandhavimātratāmapi,	Arya upaBogya ganDAn api, sarva boDisattva ganDa vimAtra tAm api,
   sarvabodhisattvabhūmivyavasthānagandhānapi (Gv 141) prajānāmi / sarvāṃśca	sarva boDisattva BUmi vyavasTAna ganDAn api (Gu 141) prajAnAmi / sarvAn= ca
   tānahaṃ gandhānākārato 'pi prajānāmi / saṃbhavato 'pi utpādato 'pi	tAn aham ganDAn AkArataH api prajAnAmi / saMBavataH api utpAdataH api
   prādurbhāvato 'pi pariniṣpattito 'pi pariśuddhito 'pi parihārato 'pi	prAdurBAvataH api parinizpattitaH api pariSudDitaH api parihArataH api
   prayogato 'pi paribhogato 'pi viṣayato 'pi prabhāvato 'pi dharmato 'pi	prayogataH api pariBogataH api vizayataH api praBAvataH api DarmataH api
   mūlato 'pi prajānāmi //	mUlataH api prajAnAmi //
   asti kulaputra manuṣyaloke nāgasaṃkṣobhasaṃbhavahastigarbho nāma gandhaḥ,	asti kula putra manuzya loke nAga saMkzoBa saMBava hastigarBaH nAma ganDaH,
   yasya tilamātrā gulikā sakalaṃ pṛthurāṣṭraṃ janapadaṃ	yasya tila mAtrA gulikA sakalam pRTu rAzwram janapadam
   mahāgandhaghanābhrajālasaṃchannaṃ kṛtvā saptāhaṃ	mahAganDa Gana aBra jAla saMCannam kRtvA sapta aham
   sūkṣmagandhodakadhārāvarṣamabhipravarṣati / tatra yeṣāṃ sattvānāṃ śarīre	sUkzma ganDa udaka DArA varzam aBipravarzati / tatra yezAm sattvAnAm SarIre
   vā cīvare vā gandhodakadhārā nipatanti, te sarve	vA cIvare vA ganDa udaka DArAH nipatanti, te sarve
   suvarṇavarṇakusumavicitritā bhavanti / yeṣu ca bhavanavimānakūṭāgāreṣu	suvarNa varNa kusuma vicitritAH Bavanti / yezu ca Bavana vimAna kUwa AgArezu
   nipatanti, te sarve suvarṇavarṇakusumavicitritā bhavanti / ye 'pi	nipatanti, te sarve suvarNa varNa kusuma vicitritAH Bavanti / ye api
   sattvāsteṣāṃ gandhameghajālānāṃ mārutasamīritānāmantarbhavanagatā gandhaṃ	sattvAH tezAm ganDa meGa jAlAnAm mAruta samIritAnAm antar Bavana gatAH ganDam
   jighranti, te sarve saptāhamudāraprītiprāmodyaparisphuṭā bhavanti,	jiGranti, te sarve sapta aham udAra prIti prAmodya parisPuwAH Bavanti,
   anekavidhāni ca kāyikacaitasikāni sukhasaumanasyāni pratyanubhavanti / na	anekaviDAni ca kAyika cEtasikAni suKa sOmanasyAni pratyanuBavanti / na
   caiṣāṃ śarīre vyādhirutpadyate dhātusaṃkṣobhajo vā aparaparikramiko vā /	ca ezAm SarIre vyADiH utpadyate DAtu saMkzoBa jaH vE apara parikramikaH vA /
   nāpi caitasikaṃ duḥkhadaurmanasyamutpadyate, na samudācarati bhayaṃ vā	na api cEtasikam duHKa dOrmanasyam utpadyate, na samudAcarati Bayam vA
   trāsaṃ vā cchambhitattvaṃ vā manaḥsaṃkṣobho vā vyāpādo vā / sarve ca te	trAsam vA cSamBi tattvam vA manaH saMkzoBaH vA vyApAdaH vA / sarve ca te
   sattvā anyonyaṃ maitracittā bhavanti harṣaprītisaṃjātāḥ / teṣāmahaṃ	sattvAH anyonyam mEtra cittAH Bavanti harza prIti saMjAtAH / tezAm aham
   kulaputra harṣaprītisaṃjātānāmāśayaviśuddhimārabhya tathā dharmaṃ	kula putra harza prIti saMjAtAnAm ASaya viSudDim AraBya taTA Darmam
   deśayāmi, yathā niyatā bhavanti anuttarāyāṃ samyaksaṃbodhau //	deSayAmi, yaTA niyatAH Bavanti anuttarAyAm samyaksaMboDO //
   asti kulaputra malayaparvatasaṃbhavaṃ gośīrṣaṃ nāma candanam,	asti kula putra malaya parvata saMBavam goSIrzam nAma candanam,
   yenānuliptagātro agnikhadāyāmapi prapatito na dahyate / asti kulaputra	yena anulipta gAtraH agni KadAyAm api prapatitaH na dahyate / asti kula putra
   sāgarakacchasaṃbhavo aparājito nāma gandhaḥ, yenānuliptāyā bheryāḥ	sAgara kacCasaMBavaH aparAjitaH nAma ganDaH, yena anuliptAyAH BeryAH
   śaṅkhasya vā nirghoṣeṇa sarvaparacakraṃ parājayaṃ gacchati / asti	SaFKasya vA nirGozeNa sarva para cakram parAjayam gacCati / asti
   kulaputra anavataptahṛdatīrasaṃbhavaṃ padmagarbhaṃ nāma kālāgaru, yasya	kula putra anavatapta hRdatIra saMBavam padmagarBam nAma kAlAgaru, yasya
   tilamātrā gulikā sakalaṃ jambudvīpaṃ gandhena spharati / ye ca sattvāstaṃ	tila mAtrA gulikA sakalam jambudvIpam ganDena sParati / ye ca sattvAH tam
   gandhaṃ jighranti, te sarve pāpavijugupsanasaṃvaracittaṃ pratilabhante /	ganDam jiGranti, te sarve pApa vijugupsana saMvara cittam pratilaBante /
   asti kulaputra himavatparvatarājasaṃbhavā aruṇavatī nāma gandhajātiḥ,	asti kula putra himavat parvata rAja saMBavA aruNavatI nAma ganDa jAtiH,
   yasyā gandhamāghrāya sattvā viraktacittā bhavanti / teṣāmahaṃ tathā	yasyAH ganDam AGrAya sattvAH virakta cittAH Bavanti / tezAm aham taTA
   dharmaṃ deśayāmi, yadvirajomaṇḍalaṃ nāma samādhiṃ pratilabhante / asti	Darmam deSayAmi, yat virajaH maNxalam nAma samADim pratilaBante / asti
   kulaputra rākṣasalokasaṃbhavā sāgaragarbhā nāma gandhajātiḥ, yā	kula putra rAkzasa loka saMBavA sAgaragarBA nAma ganDa jAtiH, yA
