   śrī kṛṣṇa sandarbha	SrI kRzNa sandarBa
   taṃ rūpaṃ śrī vigrahaḥ | vastutayā nopavarṇitaṃ tad rūpasyaiva para 	tam rUpam SrI  vigrahaH | vastu tayA na upavarNitam tad  rUpasya eva para 
   brahmatvena kim idaṃ vastv iti nirdeṣṭum aśakyatvāt | yathoktaṃ sahasra 	brahma tvena kim idam vastu iti nirdezwum aSakya tvAt | yaToktam sahasra 
   nāma stotre anirdeśya vapur iti | eṣām eva padyānāṃ saptamānte'pi	nAma stotre anirdeSya vapuH iti | ezAm eva padyAnAm saptama ante api
   paramāmodakatvāt punar āvṛttir dṛśyate ||	parama Amodaka tvAt punar AvRttiH dRSyate ||
   || 7.10 || sa śrī yudhiṣṭhiram || 59 ||	|| 7.10 || sa SrI  yuDizWiram || 59 ||
   atra ca spaṣṭam  	atra ca spazwam  
   deva dattām imāṃ vīṇāṃ svara brahma vibhūṣitām |	deva dattAm imAm vINAm svara  brahma  viBUzitAm |
   mūrcchayitvā hari kathāṃ gāyamānaś carāmy aham ||	mUrcCayitvA hari  kaTAm gAyamAnaH carAmi aham ||
   pragāyataḥ sva vīryāṇi tīrtha pādaḥ priya śravāḥ |	pragAyataH sva   vIryANi tIrTa pAdaH priya  SravAH |
   āhūta iva me śīghraṃ darśanaṃ yāti cetasi || [BhP 1.6.33 34]	AhUtaH iva me SIGram darSanam yAti cetasi || [Bhj 1.6.33 34]
   devaḥ śrī kṛṣṇa eva | liṅga purāṇe upari bhāge tenaiva svayaṃ tasya vīṇā 	devaH SrI  kRzNaH eva | liFga purANe upari BAge tena eva svayam tasya vINA 
   grahaṇaṃ hi prasiddham | atra yad rūpeṇa vīṇā grāhitā tad rūpeṇaiva cetasi	grahaNam hi prasidDam | atra yat  rUpeNa vINA grAhitA tad  rUpeNa eva cetasi
   darśanaṃ svārasya labdham | deva dattām iti kṛtopakāratāyāḥ	darSanam svArasya  labDam | deva dattAm iti kRta upakAra tAyAH
   smaryamāṇatvena tam anusandhāyaiva tad ukteḥ |	smaryamANa tvena tam anusanDAya eva tad  ukteH |
   || 1.6 || śrī nāradaḥ śrī veda vyāsam || 60 ||	|| 1.6 || SrI nAradaH SrI  veda  vyAsam || 60 ||
   ata etad evam eva vyākhyeyam |	atas etat evam eva vyAKyeyam |
   tvam ātmanātmānam avehy amogha dṛk	tvam AtmanA AtmAnam avehi amoGa dRS 
   parasya puṃsaḥ paramātmanaḥ kalām |	parasya puMsaH paramAtmanaH kalAm |
   ajaṃ prajātaṃ jagataḥ śivāya tan	ajam prajAtam jagataH SivAya tat 
   mahānubhāvābhyudayo 'dhigaṇyatām || [BhP 1.5.21]	mahA anuBAva aByudayaH aDigaNyatAm || [Bhj 1.5.21]
   he amogha dṛk tvam ātmanā svayam ātmānaṃ svaṃ parasya puṃsaḥ kalām	he amoGa  dRS tvam AtmanA svayam AtmAnam svam parasya puMsaH kalAm
   aṃśa bhūtam avehi anusandhehi | punaś ca jagataḥ śivāyādhunaiva śrī 	aMSa  BUtam avehi anusanDehi | punar ca jagataH SivAya aDunA eva SrI 
   kṛṣṇa rūpeṇa yaś cājo'pi prajātas tam avehi | tad etad dvayaṃ jñātvā	kRzNa  rUpeNa yaH ca ajaH api prajAtaH tam avehi | tat etat dvayam jQAtvA
   mahānubhāvasya sarvāvatārāvatāri vṛndebhyo'pi darśita prabhāvasya tasya	mahA anuBAvasya sarva avatAra avatAri  vRndeByaH api darSita  praBAvasya tasya
   śrī kṛṣṇasyaivābhyudayo līlā adhi adhikaṃ gaṇyatāṃ nirūpyatām | svayam	SrI  kRzNasya eva aByudayaH lIlA aDi aDikam gaNyatAm nirUpyatAm | svayam
   īśvaro'pi bhavān nijājñāna rūpāṃ māyāṃ na prakaṭayatv iti bhāvaḥ ||	ISvaraH api BavAn nija ajQAna  rUpAm mAyAm na prakawayatu iti BAvaH ||
   || 1.5 || sa tam ||61 ||	|| 1.5 || sa tam ||61 ||
   ataeva purāṇa prādurbhāvāya śrī vyāsaṃ śrī nāradena caturvyūhātmaka 	ataeva purANa  prAdurBAvAya SrI  vyAsam SrI nAradena catur vyUha Atmaka 
   śrī kṛṣṇa mantra evopadiṣṭas tad upāyakasya sarvottamatvaṃ ca | yathā  	SrI kRzNa mantraH eva upadizwaH tad  upAyakasya sarva uttama tvam ca | yaTA  
   namo bhagavate tubhyam [BhP 1.5.37] ity ādi sa samyag darśanaḥ pumān [BhP	namaH Bagavate tuByam [Bhj 1.5.37] iti Adi sa samyak  darSanaH pumAn [BhP
   1.5.38] ity antam | spaṣṭam |	1.5.38] iti antam | spazwam |
   || 1.5 || sa tam || 62 ||	|| 1.5 || sa tam || 62 ||
   atha śrī brahmaṇaḥ  	aTa SrI  brahmaNaH  
   bhūmeḥ suretara varūtha vimarditāyāḥ	BUmeH suretara  varUTa  vimarditAyAH
   kleśa vyayāya kalayā sita kṛṣṇa keśaḥ |	kleSa  vyayAya kalayA sita kRzNa keSaH |
   jātaḥ kariṣyati janānupalakṣya mārgaḥ	jAtaH karizyati jana anupalakzya  mArgaH
   karmāṇi cātma mahimopanibandhanāni || [BhP 2.7.26]	karmANi ca Atma  mahima upanibanDanAni || [Bhj 2.7.26]
   asura senā nipīḍitāyāḥ bhūmeḥ kleśam apahartuṃ paramātmano'pi paratvāj	asura  senA  nipIxitAyAH BUmeH kleSam apahartum paramAtmanaH api paratvAt 
   janair asmābhir anupalakṣya mārgo'pi prādurbhūtaḥ san karmāṇi ca	janEH asmABiH anupalakzya  mArgaH api prAdurBUtaH san karmANi ca
   kariṣyati | ko'sau kalayā aṃśena sita kṛṣṇa keśo yaḥ | yatra	karizyati | kaH asO kalayA aMSena sita  kRzNa keSaH yaH | yatra
   sita kṛṣṇa keśau	sita kRzNa keSO
   devair dṛṣṭāv iti śāstrāntara prasiddhiḥ | so'pi yasyāṃśena sa eva	devEH dRzwO iti SAstra antara  prasidDiH | saH api yasya aMSena saH eva
   bhagavān	BagavAn
   svayam ity arthaḥ | tad avinābhāvitvāc chrī baladevasyāpi grahaṇaṃ	svayam iti arTaH | tad  avinABAvi tvAt SrI baladevasya api grahaNam
   dyotitam |	dyotitam |
   nanu puruṣād api paro'sau bhagavān kathaṃ bhū bhārāvatāraṇa mātrārthaṃ	nanu puruzAt api paraH asO BagavAn kaTam BU  BAra avatAraNa  mAtrA arTam
   (page 24) svayam avatāriṣyatīty āśaṅkyāha   ātmano mahimānaḥ parama 	(page 24) svayam avatArizyati iti ASaFkya Aha  AtmanaH mahimAnaH parama 
   mādhurī sampada upanibadhyante nija bhaktair adhikaṃ varṇyante yeṣu tāni	mADurI  sampade upanibaDyante nija  BaktEH aDikam varNyante yezu tAni
   karmāṇi ca kariṣyati | yadyapi nijāṃśenaiva vā nijecchābhāsenaiva vā bhū 	karmANi ca karizyati | yadi api nija aMSena eva vA nija icCA ABAsena eva vA BU 
   bhāra haraṇam īṣat karaṃ tathāpi nija caraṇāravinda jīvātu vṛndam	BAra  haraNam Izat karam taTA api nija  caraNa aravinda  jIvAtu vRndam
   ānandayann eva līlā kādambinīr nija mādhurī varṣaṇāya	Anandayan eva lIlA a kAdambinIH nija  mADurI  varzaNAya
   vitariṣamāṇo'vatariṣyatīty arthaḥ | etad eva vyaktīkṛtaṃ tokena	vitarizamANaH avatarizyati iti arTaH | etat eva vyaktIkRtam tokena
   jīva haraṇam	jIva haraNam
   [BhP 2.7.27] ity ādau | itarathā sva mādhurī sampat prakāśanecchām	[Bhj 2.7.27] iti AdO | itaraTA sva  mADurI  sampat  prakASana icCAm
   antareṇa madhurataraṃ tokādi bhāvaṃ dadhatā tena pūtanādīnāṃ jīvana 	antareNa maDurataram toka Adi BAvam daDatA tena pUtanA AdInAm jIvana 
   haraṇādikaṃ karma na bhāvyaṃ na sambhāvanīyam |	haraNa Adikam karma na BAvyam na samBAvanIyam |
   tathā ca tathāyaṃ cāvatāras te [BhP 1.7.25] ity ādau tair eva vyākhyātam |	taTA ca taTA ayam ca avatAraH te [Bhj 1.7.25] iti AdO tEH eva vyAKyAtam |
   kiṃ	kim
   bhū bhāra haraṇaṃ mad icchā mātreṇa na bhavati tatrāha svānām itīti |	BU BAra  haraNam mad  icCA  mAtreNa na Bavati tatra Aha svAnAm iti iti |
   jayati jananivāsa [BhP 10.90.48] ity atra ca icchā mātreṇa	jayati jana nivAsa [Bhj 10.90.48] iti atra ca icCA  mAtreNa
   nirasana samartho'pi	nirasana  samarTaH api
   krīḍārthaṃ dorbhir adharmam asyann iti tad evam ādibhiḥ śrī kṛṣṇasyaiva	krIxA arTam dorBiH aDarmam asyan iti tat evam AdiBiH SrI  kRzNasya eva
   sarvādbhutatā varṇanābhiniveśa prapañco brahmaṇi spaṣṭa eva | astu tāvat	sarva adButa tA varNanABi niveSa  prapaQcaH brahmaNi spazwaH eva | astu tAvat 
   tad bhūri bhāgyam iha janma kim apy aṭavyām [BhP 10.14.34] ity ādi ||	tat BUri BAgyam iha janma kim api awavyAm [Bhu 10.14.34] iti Adi ||
   || 2.7 || brahmā śrī nāradam || 63 ||	|| 2.7 || brahmA SrI nAradam || 63 ||
   evaṃ catuḥ ślokī vaktuḥ śrī bhagavato'pi	evam catuH SlokI vaktuH SrI  BagavataH api
   [Vṛ. inserts] śrī kṛṣṇatvam eva | tathā hi  	[VR. inseH ts] SrI  kRzNa tvam eva | taTA hi  
   dadarśa tatrākhila sātvatāṃ patiṃ	dadarSa tatra aKila  sAtvatAm patim
   śriyaḥ patiṃ yajña patiṃ jagat patim |	SriyaH patim yajQa  patim jagat patim |
   sunanda nanda prabalārhaṇādibhiḥ	sunanda nanda  prabala arhaNa AdiBiH
   sva pārṣadāgraiḥ parisevitaṃ vibhum || [BhP 2.9.14] iti |	sva  pArzada agrEH parisevitam viBum || [Bhj 2.9.14] iti |
   vyākhyā ca   akhila sātvatāṃ sarveṣāṃ sātvatānāṃ yādava vīrāṇāṃ patim |	vyAKyA ca  aKila  sAtvatAm sarvezAm sAtvatAnAm yAdava  vIrANAm patim |
   śriyaḥ patir yajña patiḥ prajā patir	SriyaH patiH yajQa  patiH prajA patiH 
   dhiyāṃ patir loka patir dharā patiḥ |	DiyAm patiH loka patiH DarA  patiH |
   patir gatiś cāndhaka vṛṣṇi sātvatāṃ	patiH gatiH ca anDaka  vRzNi  sAtvatAm
   prasīdatāṃ me bhagavān satāṃ patiḥ || [BhP 2.4.20]	prasIdatAm me BagavAn satAm patiH || [Bhj 2.4.20]
   ity etad vākya saṃvādi tattvāt |	iti etat  vAkya  saMvAdi  tattvAt |
   purā mayā proktam ajāya nābhye	purA mayA proktam ajAya nABye
   padme niṣaṇṇāya mamādi sarge |	padme nizaNNAya mama Adi sarge |
   jñānaṃ paraṃ man mahimāvabhāsaṃ	jQAnam param man mahima avaBAsam
   yat sūrayo bhāgavataṃ vadanti || [BhP 3.4.13]	yat sUrayaH BAgavatam vadanti || [Bhj 3.4.13]
   iti tṛtīye uddhavaṃ prati śrī kṛṣṇa vākyānusāreṇa ca  	iti tRtIye udDavam prati SrI  kRzNa  vAkya anusAreNa ca  
   yo brahmāṇaṃ vidadhāti pūrvaṃ	yaH brahmANam vidaDAti pUrvam
   yo vidyāstasmai gopāyati sma kṛṣṇaḥ |	yaH vidyAH tasmE gopAyati sma kRzNaH |
   taṃ ha daivamātmabuddhiprakāśaṃ	tam ha dEvam Atma budDi prakASam
   mumukṣurvai śaraṇamanuvrajeta || [GTU 1.22]	mumukzuH vE SaraNam anuvrajeta || [GTU 1.22]
   iti śrī gopāla tāpany anusāreṇa ca tasyaivopadeṣṭṛtva śruteḥ   tad u	iti SrI   gopAla tApanI  anusAreNa ca tasya eva upadezwR tva  SruteH  tat u
   hovāca	ha uvAca
   brāhmaṇo'sāv anavarataṃ me dhyātaḥ stutaḥ parārdhānte so'budhyata | gopa 	brAhmaNaH asO anavaratam me DyAtaH stutaH parArDa ante saH abuDyata | gopa 
   veśo me puruṣaḥ purastād āvirbabhūva || [GTU 1.25] iti śrī gopāla tāpany 	veSaH me puruzaH purastAt AvirbaBUva || [GTU 1.25] iti SrI  gopAla tApany 
   anusāreṇa kvacit kalpe śrī gopāla rūpeṇa sṛṣṭy ādāv ittham eva brahmaṇe	anusAreNa kvacid kalpe SrI  gopAla  rUpeNa sRzwi  AdO itTam eva brahmaNe
   darśita nija rūpatvād dhāmnā mahā vaikuṇṭhatvena sādhayiṣyamāṇatvāc	darSita nija   rUpa tvAt DAmnA mahA vEkuNWa tvena sADayizyamANa tvAt 
   ca | tathā ca brahma saṃhitāyām   	ca | taTA ca brahma saMhitAyAm   
   sisṛkṣāyāṃ matiṃ cakre pūrva saṃskāra saṃskṛtaḥ |	sisRkzAyAm matim cakre pUrva  saMskAra  saMskRtaH |
   dadarśa kevalaṃ dhvāntaṃ nānyat kim api sarvataḥ ||	dadarSa kevalam DvAntam na anyat kim api sarvatas ||
   uvāca puratas tasmai tasya divya sarasvatī |	uvAca puratas tasmE tasya divya sarasvatI |
   kāmaḥ kṛṣṇāya govinda he gopī jana ity api |	kAmaH kRzNAya govinda he gopI janaH iti api |
   vallabhāya priyā vahner mantram te dāsyati priyam ||	vallaBAya priyA vahneH mantram te dAsyati priyam ||
   tapas tvaṃ tapa etena tava siddhir bhaviṣyati |	tapaH tvam tapaH etena tava sidDiH Bavizyati |
   atha tepe sa suciraṃ prīṇan govindam avyayam || [BrahmaS 5.22 25] ity ādi	aTa tepe sa su ciram prINan govindam avyayam || [BrahmaH 5.22 25] iti Adi
   sunanda prabalārhaṇādhibhiḥ [BhP 2.9.14] ity atra tu dvārakāyāṃ	sunanda prabala arhaNa ADiBiH [Bhu 2.9.14] iti atra tu dvArakAyAm
   prākaṭyāvasare śruta sunanda nandādi sāhacaryeṇa prabalādayo'pi jñeyāḥ |	prAkawya avasare Sruta  sunanda  nanda Adi sAhacaryeNa prabala AdayaH api jQeyAH |
   yathoktaṃ prathame sunadananda śīrṣaṇyā ye cānye sātvatarṣabhāḥ [BhP	yaTA uktam praTame su nada nanda  SIrzaNyAH ye ca anye sAtvata RzaBAH [BhP
   1.14.32] iti | [end Vṛ. addition]	1.14.32] iti | [end VR. additiA Un]
   [A reads instead of above] śrī kṛṣṇatvenaiva darśitatvāt tasya ca aham	[A readH insteat of above] SrI  kRzNa tvena eva darSita tvAt tasya ca aham
   evāsam	eva Asam
   evāgre [BhP 2.9.32] ity uktes tasminn eva tātparyaṃ spaṣṭam [end A] |	eva agre [Bhu 2.9.32] iti ukteH tasmin eva tAtparyam spazwam [end A] |
   (page 25)	(page 25)
   kiṃ bahunā, nānāvatārāvatāriṣv api satsu mahā purāṇa prārambha eva śrī 	kim bahunA, nAnA avatArAvatArizu api satsu mahA  purANa  prAramBaH eva SrI 
   śaunakādīnāṃ śrī kṛṣṇe tātparyam | atra pūrve sāmānyato'smābhir ekānta 	SOnaka AdInAm SrI  kRzNe tAtparyam | atra pUrve sAmAnyatas asmABiH ekAnta 
   śreyastvena sarva śāstra sāratvena ātmasu prasāda hetutvena ca yat pṛṣṭaṃ	SreyaH tvena sarva  SAstra sAra tvena Atmasu prasAda   hetu tvena ca yat pRzwam
   tad etad evāsmākaṃ bhāti yat śrī kṛṣṇasya līlā varṇanam ity abhipretyāhuḥ	tat etat eva asmAkam BAti yat SrI kRzNasya lIlA varNanam iti aBipretya AhuH
   sūta jānāsi bhadraṃ te bhagavān sātvatāṃ patiḥ |	sUta jAnAsi Badram te BagavAn sAtvatAm patiH |
   devakyāṃ vasudevasya jāto yasya cikīrṣayā || [BhP 1.1.12]	devakyAm vasudevasya jAtaH yasya cikIrzayA || [Bhj 1.1.12]
   bhadraṃ ta iti śrī kṛṣṇa līlā praśna sahodarautsukyenāśīrvādaḥ | bhagavān	Badram te iti SrI kRzNa  lIlA praSna  sahodara Otsukyena ASIrvAdaH | BagavAn
   svayam evāvatārī | sātvatāṃ yādavānām |	svayam eva avatArI | sAtvatAm yAdavAnAm |
   [Vṛ. adds: sampūrṇaiśvarādi yuktaḥ | sātvatāṃ sātvatānāṃ patiḥ |	[VR. adds: sampUrNa ESvara Adi  yuktaH | sAtvatAm sAtvatAnAm patiH |
   nuḍ abhāve	nux a BAve
   ārṣaḥ | yādavānām ity arthaḥ | jāto jagad dṛśyo babhūva | [end Vṛ.]	ArzaH | yAdavAnAm iti arTaH | jAtaH jagat  dRSyaH baBUva | [end VR.]
   tan naḥ śuṣrūṣamāṇānām arhasy aṅgānuvarṇitum |	tat naH SuzrUzamANAnAm arhasi aFga anuvarNitum |
   yasyāvatāro bhūtānāṃ kṣemāya ca bhavāya ca || [BhP 1.1.13]	yasya avatAraH BUtAnAm kzemAya ca BavAya ca || [Bhj 1.1.13]
   aṅge he sūta sāmānyatas tāvad yasyāvatāra mātraṃ kṣemāya pālanāya	aFge he sUta sAmAnyatas tAvat yasya avatAra  mAtram kzemAya pAlanAya
   bhavāya samṛddhaye ca | tat prabhāvam anuvarṇayantas tad yaśaḥ 	BavAya samRdDaye ca | tat  praBAvam anuvarNayantaH tad  yaSaH 
   śravaṇautsukyam āviṣkurvanti |	SravaNa Otsukyam Avizkurvanti |
   āpannaḥ saṃsṛtiṃ ghorāṃ yan nāma vivaśo gṛṇan |	ApannaH saMsRtim GorAm yan nAma vivaSaH gRNan |
   tataḥ sadyo vimucyeta yad bibheti svayaṃ bhayam || [BhP 1.1.14]	tatas sadyas vimucyeta yat biBeti svayam Bayam || [Bhj 1.1.14]
   vivaśo'pi yasya śrī kṛṣṇasya nāma tasyāvatāritvād avatāra nāmnām api	vivaSaH api yasya SrI  kRzNasya nAma tasya avatAri tvAt avatAra  nAmnAm api
   tatraiva paryavasānāt | ataeva sākṣāt śrī kṛṣṇād api	tatra eva paryavasAnAt | ataeva sAkzAt SrI kRzNAt api
   tat tan nāma pravṛtti 	tat tan  nAma  pravRtti 
   prakārāntareṇa śrūyate śrī viṣṇu purāṇe | tatra tv akhilānām eva bhagavan 	prakAra antareNa SrUyate SrI  vizNu purANe | tatra tu aKilAnAm eva Bagavan  
   nāmnāṃ kāraṇāny abhavann iti his tadīyaṃ gadyam | tataḥ saṃsṛteḥ | yad	nAmnAm kAraNAni aBavan iti hiH tadIyam gadyam | tatas saMsRteH | yat 
   yato	yatas 
   bhayam api svayaṃ bibheti |	Bayam api svayam biBeti |
   kiṃ ca   	kim ca   
   yat pāda saṃśrayāḥ sūta munayaḥ praśamāyanāḥ	yat pAda  saMSrayAH sUta munayaH praSamAyanAH
   sadyaḥ punanty upaspṛṣṭāḥ svardhuny āpo 'nusevayā || [BhP 1.1.15]	sadyas punanti upaspRzwAH svarDunI  ApaH anusevayA || [Bhj 1.1.15]
   yasya śrī kṛṣṇasya pādau saṃśrayau yeṣām | ataeva praśamāyanāḥ śamo	yasya SrI  kRzNasya pAdO saMSrayO yezAm | ataeva praSamAyanAH SamaH 
   bhagavan niṣṭha buddhitā | śamo man niṣṭhatā buddher iti [BhP 11.19.36]	Bagavan nizWa budDi tA | SamaH man nizWatA budDeH iti [Bhj 11.19.36]
   svayaṃ śrī bhagavad vākyāt sa eva prakṛṣṭaḥ śamaḥ praśamaḥ | sākṣāt 	svayam SrI  Bagavat  vAkyAt saH eva prakRzwaH SamaH praSamaH | sAkzAt  
   pūrṇa bhagavat śrī kṛṣṇa sambandhitvāt | praśama evāyanaṃ vartma āśrayo	pUrNa  Bagavat  SrI  kRzNa  sambanDi tvAt | praSamaH eva ayanam vartmaH ASrayaH 
   vā yeṣāṃ te śrī kṛṣṇa līlā rasākṛṣṭa cittā munayaḥ śrī śukadevādayaḥ |	vA yezAm te SrI kRzNa  lIlA rasa AkRzwa  cittAH munayaH SrI  Suka deva AdayaH |
   upaspṛṣṭāḥ sannidhi mātreṇa sevitāḥ sadyaḥ punanti sa vāsana pāpebhyaḥ	upaspRzwAH sanniDi  mAtreNa sevitAH sadyas punanti sa vAsana  pApeByaH
   śodhayanti | svardhunī gaṅgā tasyā āpas tu   yo'sau nirañjano devaś cit 	SoDayanti | svarDunI gaFgA tasyAH ApaH tu  yaH asO niraQjanaH devaH cit 
   svarūpā api sākṣāc chrī vāmana deva caraṇān niḥsṛtā api, anusevayā sākṣāt	svarUpAH api sAkzAt SrI vAmana  deva  caraNAt niHsRtA api, anusevayA sAkzAt 
   sevābhyāsenaiva tathā śodhayanti na sannidhi mātreṇa sevayā | sākṣāt	sevA aByAsena eva taTA SoDayanti na sanniDi  mAtreNa sevayA | sAkzAt 
   sevayāpi na sadya iti tasyā api śrī kṛṣṇāśritānām utkarṣāt tasyotkarṣaḥ |	sevayA api na sadyas iti tasyAH api SrI  kRzNa ASritAnAm utkarzAt tasya utkarzaH |
   evam eva tatas tad yaśaso'py ādhikyaṃ varṇyate | tīrthaṃ cakre nṛponaṃ yad	evam eva tatas tat  yaSasaH api ADikyam varNyate | tIrTam cakre nRpa Unam yat 
   ajani yaduṣu svaḥ sarit pāda śaucam iti [BhP 10.90.47] |	ajani yaduzu svaH  sarit  pAda  SOcam iti [Bhj 10.90.47] |
   (page 26)	(page 26)
   ṭīkā ca   itaḥ pūrvaṃ svaḥ sarid eva sarvato'dhikaṃ tīrtham ity āsīd	wIkA ca  itas pUrvam svaH sarit eva sarvatas aDikam tIrTam iti AsIt 
   idānīṃ	idAnIm
   yaduṣu yad ajani jātaṃ tīrthaṃ śrī kṛṣṇa kīrti rūpaṃ etat svaḥ sarid rūpaṃ	yaduzu yat ajani jAtam tIrTam SrI kRzNa  kIrti rUpam etat svaH sarit   rUpam
   pāda śaucaṃ tīrtham ūnam alpaṃ cakre ity eṣā |	pAda  SOcam tIrTam Unam alpam cakre iti ezA |
   etasya daśama skandha padyasyaiva saṃvāditāṃ vyanakti |	etasya daSama  skanDa  padyasya eva saMvAditAm vyanakti |
   ko vā bhagavatas tasya puṇya ślokeḍya karmaṇaḥ |	kaH vA BagavataH tasya puNya  Sloka Ixya karmaNaH |
   śuddhi kāmo na śṛṇuyād yaśaḥ kali malāpaham || [BhP 1.1.16]	SudDi  kAmaH na SRNuyAt yaSaH kali mala apaham || [Bhj 1.1.16]
   spaṣṭam ||	spazwam ||
   yasmād eva tasmāt |	yasmAt eva tasmAt |
   tasya karmāṇy udārāṇi parigītāni sūribhiḥ |	tasya karmANi udArANi parigItAni sUriBiH |
   brūhi naḥ śraddadhānānāṃ līlayā dadhataḥ kalāḥ || [BhP 1.1.17]	brUhi naH SraddaDAnAnAm lIlayA daDataH kalAH || [Bhj 1.1.17]
   udārāṇi paramānanda dātṝṇi janmādīni svayaṃ paripūrṇasya līlayā anyā api	udArANi parama Ananda dAtLNi janma AdIni svayam paripUrNasya lIlayA anyAH api
   kalāḥ puruṣādi lakṣaṇā dadhatas tat tad aṃśān apy ādāya tasyāvatīrṇasya	kalAH puruza Adi  lakzaNAH daDataH tat tad  aMSAn api AdAya tasya avatIrNasya
   sata ity arthaḥ |	sataH iti arTaH |
   athākhyāhi harer dhīmann avatāra kathāḥ śubhāḥ |	aTa AKyAhi hareH DIman avatAra  kaTAH SuBAH |
   īlā vidadhataḥ svairam īśvarasyātma māyayā || [BhP 1.1.18]	IlA vidaDataH svEram ISvarasya Atma  mAyayA || [Bhj 1.1.18]
   śrī kṛṣṇasya tāvan mukhyatvena kathaya atha tad anantaram	SrI kRzNasya tAvan  muKya tvena kaTaya aTa tad  anantaram
   ānuṣaṅgikatayaivety arthaḥ | hareḥ śrī kṛṣṇasya prakaraṇa balāt | avatārāḥ	AnuzaFgika tayA eva iti arTaH | hareH SrI  kRzNasya prakaraNa balAt | avatArAH
   puruṣasya guṇāvatārā līlāvatārāś ca | teṣāṃ kathā līlāḥ sṛṣṭy ādi karma 	puruzasya guNa avatArAH lIlAvatArAH ca | tezAm kaTAH lIlAH sRzwi  Adi karma 
   rūpā bhū bhāra haraṇādi rūpāś ca |	rUpAH BU BAra  haraNa Adi rUpAH ca |
   autsukyena punar api tac caritāny eva śrotum icchantas tatrātmanas tṛpty 	Otsukyena punar api tac caritAni eva Srotum icCantaH tatra AtmanaH tRpti  
   abhāvam āvedayanti |	aBAvam Avedayanti |
   vayaṃ tu na vitṛpyāma uttama śloka vikrame |	vayam tu na vitRpyAmaH uttama  Sloka  vikrame |
   yac chṛṇvatāṃ rasa jñānāṃ svādu svādu pade pade || [BhP 1.1.19]	yac SRNvatAm rasa jQAnAm svAdu svAdu pade pade || [Bhj 1.1.19]
   yoga yāgādiṣu tṛptāḥ smaḥ | bhagavad vikrama mātre tu na tṛpyāma eva	yoga yAga Adizu tRptAH smaH | Bagavat  vikrama  mAtre tu na tRpyAmaH eva
   tatrāpi tīrthaṃ cakre nṛponam ity ādy ukta lakṣaṇasya sarvato'py	tatra api tIrTam cakre nRpa Unam iti Adi  ukta lakzaNasya sarvatas api 
   uttamaślokasya vikrame viśeṣeṇa na tṛpyāmaḥ | alam iti na manyāmahe |	uttamaSlokasya vikrame viSezeNa na tRpyAmaH | alam iti na manyAmahe |
   tatra hetuḥ | yad vikramaṃ śṛṇvatām | yad vā anye tṛpyantu nāma vayaṃ tu	tatra hetuH | yat vikramam SRNvatAm | yat vE anye tRpyantu nAma vayam tu
   neti tu śabdasyānvayaḥ |	na iti tu Sabdasya anvayaH |
   kṛtavān kila karmāṇi saha rāmeṇa keśavaḥ |	kRtavAn kila karmANi saha rAmeNa keSavaH |
   atimartyāni bhagavān gūḍhaḥ kapaṭa mānuṣaḥ || [BhP 1.1.20]	atimartyAni BagavAn gUXaH kapawa  mAnuzaH || [Bhj 1.1.20]
   ṭīkā ca   ataḥ śrī kṛṣṇa caritāni kathayety āśayenāhuḥ kṛtavān iti |	wIkA ca  atas SrI kRzNa  caritAni kaTaya iti ASayena AhuH kRtavAn iti |
   atimartyāni martyān atikrāntāni govardhanoddharaṇādīni | manuṣyeṣv	atimartyAni martyAn atikrAntAni govarDana udDaraNa AdIni | manuzyezu 
