   namas+buddhāya	namas+budDAya
   gāyan+goyuddhagītīs+uparacitaśiraḥśekharas+pragraheṇa /	gAyan+ go yudDa gItI s+uparacita SiraH SeKa ras+ pragraheNa /
   darpasphūrjanmahokṣadvayasamarasarasābaddhadīrghānurāgas+	darpa sPUrjat mahA ukza dvaya sama rasa rasa AbadDa dIrGa anurAga s+
   krīḍāgopālamūrtis+muraripus+avatāt+āttagorakṣalīlas+ // VidSrk_6.26 *(129)	krIxA gopAla mUrti s+mura ripu s+ava tAt+Atta gorakza lIlas+ // Vit Srj _6.26 *(129)
   śrīsonnokasya	SrI sA unnokasya
   jayanti nirdāritadaityavakṣasas+nṛsiṃharūpasya hares+nakhāṅkurās+ /	jayanti nirdArita dEtya vakza sa s+nRsiMha rUpasya hares+ naKa aFkurAs+ /
   vicintya yeṣām+caritam+surārayas+priyānakhebhyas+api rateṣu bibhyati //	vicintya yezAm +caritam +sura Araya s+priya AnaKeBya s+api ratezu biByati //
   VidSrk_6.27 *(130) //	Vit Srj _6.27 *(130) //
   ete lakṣmaṇa jānakīvirahiṇam+mām+khedayanti+ambudās+	ete lakzmaNa jAnakI virahiNam +mA m+Kedayanti +ambuda As+
   marmāṇi+iva ca ghaṭṭayanti+alam+amī krūrās+kadambānilās+ /	marma aNi+iva ca Gawwayanti +alam +amI krUrAs+ kadamba anilAs+ /
   ittham+vyāhṛtapūrvajanmavirahas+yas+rādhayā vīkṣitas+	itTam +vyAhRta pUrva janma viraha s+yas+rADayA vIkzitas+
   serṣyam+śaṅkitayā sa vas+sukhayatu svaprāyamānas+haris+ // VidSrk_6.28	sa Irzyam +SaFkitayA sa vas+suKayatu sva prAyamAna s+ haris+ // Vit Srj _6.28
   mithyākāṇḍūtisācīkṛtagalasaraṇis+yeṣu jātas+garutmān+	miTyA kANxUti sAcIkRta gala saraNi s+yezu jAta s+garutmAn+
   ye nidrām+nāṭayadbhis+śayanaphaṇiphaṇais+lakṣitās+na śrutās+ca /	ye nidrA m+nAwayat Bis+Sayana PaNi PaNa es+lakzitAs+na SrutAs+ca /
   ye ca dhyānānubandhacchalamukuladṛśās+vedhasā na+eva dṛṣṭās+	ye ca DyAna anubanDa= Cala mukula dRSA s+veDasA na+A iva dRzwAs+
   te lakṣmīm+narmayantas+nidhuvanavidhayas+pāntu vas+mādhavasya //	te lakzmI m+narmayanta s+niDu vana viDayas+pAntu vas+ mADavasya //
   VidSrk_6.29 *(132) //	Vit Srj _6.29 *(132) //
   rājaśekharasya	rAjaSeKarasya
   pratyagronmeṣajihmā kṣaṇam+anabhimukhī ratnadīpaprabhāṇām+	pratyagra unmeza jihmA kzaNam +anaBimuKI ratna dIpa praBANAm +
   ātmavyāpāragurvī janitajalalavā jṛmbhitais+sāṅgabhaṅgais+ /	Atma vyApAra gurvI janita jala lavAH jRmBi ta es+sa aFga BaFga es+ /
   nāgāṅgam+moktum+icchos+śayanam+uruphaṇācakravālopadhānam+	nAgAFgam +moktum+icCos+Sayanam+uru PaNA cakravAla upaDAnam+
   nidrācchedābhitāmrā ciram+avatu hares+dṛṣṭis+ākekarā vas+ // VidSrk_6.30	nidrA AcCeda aBitAmrA ciram +avatu hares+ dRzwi s+AkekarAH vas+ // Vit Srj _6.30
   viśākhadattasya	viSAKadattasya
   daṃṣṭrāpiṣṭeṣu sadyas+śikhariṣu na kṛtas+skandhakaṇḍūvinodas+	daMzwrA pizwezu sadyas+ SiKarizu na kRta s+skanDa kaNxU vinodas+
   sindhuṣu+aṅgāvagāhas+khurakuharaviśattoyatuccheṣu na+āptas+ /	sinDuzu+aFga avagAha s+ Kura kuhara viSat toya tucCezu na+a Aptas+ /
   prāptās+pātālapaṅke na luṭhanaratayas+potramātropayukte	prApta As+pAtAla paFke na luWa na ratayas+ potra mAtra upayukte
   yena+uddhāre dharitryās+sa jayati vibhutāvighnitecchas+varāhas+ //	yena +udDAre DaritryAs+ sa jayati viBu tA viGnita icCa s+varAhas+ //
   VidSrk_6.31 *(134) //	Vit Srj _6.31 *(134) //
   varāhamihirasya	varAha mihiH asya
   pātu trīṇi jaganti pārśvakaṣaṇaprakṣuṇṇadigmaṇḍalas+	pAtu trINi jaganti pArSva kazaNa prakzuNNa digmaNxalas+
   naikābdhistimitodaras+sa bhagavān+krīḍājhaṣas+keśavas+ /	na eka abDi stimita udaras+sa BagavAn +krIxA Jaza s+keSa vas+ /
   tvaṅganniṣṭhurapṛṣṭharomakhacitabrahmāṇḍabhāṇḍasthites+	tu aFgat nizWura pRzWa roma Kacita brahmANxa BANxa sTites+
   yasya+utsphālakutūhalena katham+api+aṅgeṣu jīrṇāyitam // VidSrk_6.32	yasya+utsPAla kutUhalena kaTam +api +aFgezu jIrNAyitam // Vit Srj _6.32
   raghunandanasya	raGunandanasya
   ye saṃtāpitanābhipadmamadhavas+ye snāpitoraḥsrajas+	ye saMtApita nABi padma maDava s+ye snApita uraH srajas+
   ye tāpāt+taralena talpaphaṇinā prītapratīpojjhitās+ /	ye tApAt+ taralena talpa PaNinA prIta pratIpa ujJitA as+ /
   ye rādhāsmṛtisākṣiṇas+kamalayā sāsūyam+ākīrṇitā	ye rADA smRti sAkziNa s+kamalayA sa asUyam +a AkIrNitA
   gāḍhāntardavathos+prataptasaralās+śvāsās+hares+pāntu vas+ // VidSrk_6.33	gAXa antardavaTa Us+ pratapta saralAs+ SvAsa as+ hares+pAntu vas+ // Vit Srj _6.33
   puṣpākasya	puzpAkasya
   sā+iyam+dyaus+tat+idam+śaśāṅkadinakṛccihnam+nabhas+sā kṣitis+	sA+iyam +dya Os+tat+i dam+SaSAFka dina kRt cihna m+naBas+sA kzitis+
   tat+pātālatalam+te+eva girayas+te+ambhodhayas+tās+diśas+ /	tat+pAtAla talam +te+A iva giraya s+te+amBoDaya s+tAs+diSas+ /
   ittham+nābhivinirgatena saśiraḥkampādbhutam+vedhasā	itTam+nABi vinirgatena sa SiraH kampa adButam +veDasA
   yasya+antas+ca bahis+ca dṛṣṭam+akhilam+trailokyam+avyāt+sa vas+ //	yasya+antas+ca bahis +ca dRzwam +aKilam +trElokyam+avyAt+sa vas+ //
   VidSrk_6.34 *(137) //	Vit Srj _6.34 *(137) //
   yuktam+mānada mām+ananyamanasam+vakṣaḥsthalasthāyinīm+	yuktam +mAnada mAm +ananyamana sam+vakzaH sTala sTAyinIm+
   bhaktām+api+avadhūya kartum+adhunā kāntāsahasram+tava /	BaktAm +api+avaDUya kartum +aDunA kAntA sahasram+tava /
   iti+uktvā phaṇabhṛtphaṇāmaṇigatām+svām+eva mantvā tanum+	iti+uktvA PaNaBRt PaNA maNi gatAm+svAm+A iva mantvA tanum+
   nidrācchedakaram+hares+avatu vas+lakṣmyā vilakṣasmitam // VidSrk_6.35	nidrA AcCeda karam+hares+avatu vas+ lakzmyA vilakza smitam // Vit Srj _6.35
   bhāsasya	BAsasya
   agre gacchata dhenudagdhakalaśān+ādāya gopyas+gṛham+	agre gacCata Denu dagDa kalaSAn +AdAya gopyas+gRham+
   dugdhe vaskayaṇīkule punar+iyam+rādhā śanais+yāsyati /	dugDe vaskayaNI kule punar +iyam +rADA SanEs+yAsyati /
   iti+anyavyapadeśaguptahṛdayas+kurvan+viviktam+vrajam+	iti+anya vyapadeSa gupta hRdaya s+kurvan+ viviktam +vrajam+
   devas+kāraṇanandasūnus+aśivam+kṛṣṇas+sa muṣṇātu vas+ // VidSrk_6.36 *(139)	deva s+kAraNa nanda sUnu s+a Sivam +kRzNas+sa muzNAtu vas+ // Vit Srj _6.36 *(139)
   satrāsārti yaśodayā priyaguṇaprītekṣaṇam+rādhayā	satrAsa Arti yaSodayA priya guNa prIta IkzaNam +rADayA
   lagnais+ballavasūnubhis+sarabhasam+sambhāvitātmorjitais+ /	lagna es+ ballava sUnuBis+ saraBasam +samBAvita Atma Urjita es+ /
   bhītānanditavismitena viṣamam+nandena ca+ālokitas+	BIta Anandita vismitena vizamam+nandena ca+a Alokita s+
   pāyāt+vas+karamūrdhasusthitamahāśailas+salīlas+haris+ // VidSrk_6.37	pAyAt+vas+ kara mUrDa su sTita mahA SEla s+ sa lIla s+haris+ // Vit Srj _6.37
   sonnokasya+etau	sa unnokasya +etO
   daṃṣṭrāsaṅkaṭavaktrakandaratarajjihvābhṛtas+havyabhugjvālābhāsurabhūrikeśarisaṭābhārasya	daMzwrA saFkawa vaktra kandara tarat jihvA BRta s+havya Buj jvAlA BAsura BUrikeSari sawA BArasya
   daityadruhas+ /	dEtya druhas+ /
   vyāvalgadbalavaddhiraṇyakaśipukroḍasthalīpāṭanaspaṣṭaprasphuṭadasthipañjararavakrūrās+nakhās+pāntu	vyAvalgat balavat hiraNya kaSipu kroxa sTa lI pAwana spazwa prasPuwat asTi paQjara ra vakrUra As+ naKa as+pAntu
   vas+ // VidSrk_6.38 *(141) //	vas+ // Vit Srj _6.38 *(141) //
   vākpates+	vAc pates+
   lakṣmyās+keśaprasavarajasām+bindubhis+sāndrapātais+	lakzmyA s+ keSa prasava rajasA am+binduBi s+sAndra pAtEH +
   abhyarṇaśrīs+ghananidhuvanaklāntinidrāntareṣu /	aByarNa SrI s+Gana niDu vana klAnti nidrA antarezu /
   dordaṇḍas+asau jayati	dos daNxa s+asO jayati
   jayinas+śārṅgiṇas+mandarādrigrāvaśreṇīnikaṣamasṛṇakṣuṇṇakeyūrapatras+ //	jayinas+ SArFgiNa s+mandara adri grAva SreNI nikaza masRNa kzuNNa keyUra patras+ //
   VidSrk_6.39 *(142) //	Vit Srj _6.39 *(142) //
   % NB Ingalls conjectures suvarṇaśrīs+ for abhyarṇaśrīs+ in b.	% NB Ingalls ca unjet tureH suvarNa SrIs+ foH aByarNa SrIs+ id b.
   śrībhagīrathasya	SrI BagIraTasya
   nakhakrakacadāraṇasphuṭitadaityavakṣaḥsthalakṣaratkṣatajanirjharaprativibhāvitasvākṛtes+	naKa krakaca dAraNa sPuwita dEtya vakzaH sTala kzarat kzata ja nirJara prativiBAvita svAkRtes+
   hares+aparakeśarikṣubhitacetasas+pātu	hares+a para keSari kzuBita cetasa s+pAtu
   vas+saroṣalalitādharabhrukuṭibhaṅgabhīmam+mukham // VidSrk_6.40 *(143) //	vas+ saroza lalita aDara Brukuwi BaFga BIma m+muKam // Vit Srj _6.40 *(143) //
   vākpatirājasya	vAkpati rAjasya
   vatsa kṣmādharagahvareṣu vicaran+cārapracāre gavām+	vatsa kzmADara gahvarezu vicaran+ cAra pracAre gavAm+
   hiṃsrān+vīkṣya puras+purāṇapuruṣam+nārāyaṇam+dhyāsyasi /	hiMsrAn +vIkzya puras+purANa puruzam +nArAyaNam +DyAsyasi /
   iti+uktasya yaśodayā muraripos+avyāt+jaganti	iti+uktasya yaSodayAH muraripos+avyAt+ jaganti
   sphuradbimboṣṭhadvayagāḍhapīḍanavaśāt+avyaktabhāvam+smitam // VidSrk_6.41	sPurat bimba uzWa dvaya gAXa pIxana vaSAt+a vyakta BAvam +smitam // Vit Srj _6.41
   devas+haris+jayati yajñavarāharūpas+sṛṣṭisthitipralayakāraṇam+ekas+eva /	deva s+haris+jayati yajQavarAha rUpa s+sRzwi sTiti pralaya kAraNam +eka s+eva /
   yasya+udarasthitajagattrayabījakośanirgacchadaṅkuraśikhā+iva vibhāti	yasya+udara sTita jagat traya bIja koSa nirgacCat aFkura SiKA+ iva viBAti
   daṃṣṭrā // VidSrk_6.42 *(145) //	daMzwrA // Vit Srj _6.42 *(145) //
   sonnokasya	sa unnokasya
   bījam+brahmā+eva devas+madhu jalanidhayas+karṇikā svarṇaśailas+	bIjam +brahmA+A iva deva s+maDu jalaniDa yas+karNikA svarNa SEla s+
   kandam+nāgādhirājas+viyat+ativipulas+patrakośāvakāśas+ /	kandam+nAga aDirAja s+ viyat+ati vipula s+patra koSa avakASas+ /
   dvīpās+patrāṇi meghās+madhupakulam+amūs+tārakās+garbhadhūlis+	dvIpAs+ patrANi meGAs+ maDupa kulam+a mUs+tArakA s+garBa DUli s+
   yasya+etat+nābhipadmam+bhuvanam+iti sa vas+śarma devas+dadātu //	yasya+etat+ nABi padmam +Buvanam +iti sa vas+Sarma deva s+da dAtu //
   VidSrk_6.43 *(146) //	Vit Srj _6.43 *(146) //
   mālāyudhasya	mAlAyuDasya
   kanakanikaṣasvacche rādhāpayodharamaṇḍale	kanaka nikaza svacCe rADA payoDara maNxale
   navajaladharaśyāmām+ātmadyutim+pratibimbitām /	nava jalaDara SyAma Am+a Atma dyutim +pratibimbitAm /
   asitasicayaprāntabhrāntyā muhus+muhus+utkṣipan+jayati	asita sicaya prAnta BrAntyA muhur +muhus+utkzipan +jayati
   janitavrīḍānamrapriyāhasinas+haris+ // VidSrk_6.44 *(147) //	janita vrIxA namra priya ahasina s+haris+ // Vit Srj _6.44 *(147) //
   vaiddokasya	vEddokasya
   \Colo iti viṣṇuvrajyā|| 6	\ColaH iti vizNuvrajyA|| 6
   % tatas+sūryavrajyā 7	% tatas+ sUrya vrajyA 7
   yasya+adhas+adhas+tathā+upari+upari niravadhi bhrāmyatas+viśvam+aśvais+	yasya +aDas+aDas+ taTA+upari+upari niravaDi BrAmyatas+ viSvam +aSvEs+
   āvṛttālātalīlām+racayati rayatas+maṇḍalam+tigmadhāmnas+ /	AvRtta alAta lIlAm +racayati rayata s+ maNxalam +tigma DAmnas+ /
   sas+avyāt+uttaptakārtasvarasaralaśaraspardhibhis+dhāmadaṇḍais+	sa s+avyAt+uttaptakArta svara sarala Sara sparDi Bi s+DAma daNxEH +
   uddaṇḍais+prāpayan+vas+pracuratamatamaḥstomam+astam+samastam // VidSrk_7.1	uddaNxa es+prApayan+vas+ pracuratamatamaH stomam+astam+samastam // Vit Srj _7.1
   rājaśekharasya	rAjaSeKarasya
   śukatuṇḍacchavi savitus+caṇḍarucas+puṇḍarīkavanabandhos+ /	SukatuNxa= Cavi savitus+caNxa rucas+ puNxarIka vana banDos+ /
   maṇḍalam+uditam+vande kuṇḍalam+ākhaṇḍalāśāyās+ // VidSrk_7.2 *(149) //	maNxalam +uditam+vande kuNxalam+AKaNxa lASA AyAs+ // Vit Srj _7.2 *(149) //
   vidyāyās+	vidyAyAs+
   tuṅgodayādribhujagendraphaṇopalāya vyomendranīlatarukāñcanapallavāya /	tuFga udaya adri Bujaga indra PaNa upalAya vyoma indranIla taru kAQcana pallavAya /
   saṃsārasāgarasamutkramayogisārthaprasthānapūrṇakalaśāya namas+savitre //	saMsAra sAgara samutkrama yogi sArTa prasTAna pUrNa kalaSAya namas+ savitre //
   VidSrk_7.3 *(150) //	Vit Srj _7.3 *(150) //
   varāhamihirasya	varAha mihiH asya
   saṃsaktam+siktamūlāt+abhinavabhuvanodyānakautūhalinyā	saMsaktam +sikta mUla at+a Binava Buvana udyAna kOtUhalinyA
   yāminyā kanyayā+iva+amṛtakarakalaśāvarjitena+amṛtena /	yAminyA kanyayA a+iva+amRta kara kalaSa Avarjitena+amRtena /
   arkālokas+kriyāt+vas+mudam+udayaśiraścakravālālavālāt+	arka Aloka s+kriyAt+vas+m udam+udaya SiraH cakravAlA lavAlAt+
   udyan+bālapravālapratimarucis+ahaḥpādapaprākpravālas+ // VidSrk_7.4 *(151)	udyan+ bAla pravAla pratima ruci s+ahaH pAdapa prAc pravAlas+ // Vit Srj _7.4 *(151)
   mayūrasya	mayUrasya
   \Colo iti sūryavrajyā|| 7	\ColaH iti sUryavrajyA|| 7
   % tatas+vasantavrajyā|| 8	% tatas+vasanta vrajyA|| 8
   āraktāṅkuradanturā kamalinī nāyāminī yāminī	Arakta aFkura danturA kamalinI na AyAminI yAminI
   stokonmuktatuṣāram+ambaramaṇes+īṣatpragalbham+mahas+ /	stoka unmukta tuzAram +ambara maNes+Izat pragalBa m +mahas+ /
   api+ete sahakārasaurabhamucas+vācālitās+kokilais+	api+ete sahakAra sOraBa mucas+ vAcAli tAs+ kokilEH +
   āyānti priyaviprayuktayuvatīmarmacchidas+vāsarās+ // VidSrk_8.1 *(152) //	AyAnti priya viprayukta yuvatI marma= Cid as+vAsarAs+ // Vit Srj _8.1 *(152) //
   saṃghaśriyas+	saMGa Sriyas+
   na+eva+eke vayam+eva	na+A iva +eke vayam +eva
   kokilavadhūkaṇṭhoccaratpañcamasthānodbodhitapañcamārgaṇaguṇāsphālena	kokila vaDU kaNWa uccarat paQcama sTAna udboDita paQca mArgaNa guNa AsPAlena
   romāñcitās+ /	romAQcitAs+ /
   paśya+ete taravas+api sundari	paSya+ete taravas+api sundari
   jaratpatravyayānantarodbhinnapāṭalakoṭisampuṭadalaprādurbhavatkuḍmalās+ //	jarat patra vyaya anantara udBinna pAwala kowi sampuwa dala prAdurBavat kuxmalAs+ //
   VidSrk_8.2 *(153) //	Vit Srj _8.2 *(153) //
   vinayadevasya	vinaya devasya
   malayamahīdharapavanas+kalakaṇṭhakaladhvanis+nikuñjalatās+ /	malaya mahIDara pavana s+kala kaNWa kala Dva nis+nikuQja la tAs+ /
   utkalikās+utkalikās+cetasi janayanti lokasya // VidSrk_8.3 *(154) //	utkalikA s+utkalikA s+cetasi janayanti lokasya // Vit Srj _8.3 *(154) //
   kāntena prahitas+navas+priyasakhīvargeṇa baddhaspṛhas+	kAntena prahita s+nava s+priya saKI vargeNa badDa spRhas+
   cittena+upahṛtas+smarāya na samutsraṣṭum+gatas+pāṇinā /	cittena+upahRta s+smarAya na samutsrazwum+gata s+pANinA /
   āmṛṣṭas+muhus+īkṣitas+muhus+abhighrātas+muhus+loṭhitas+	AmRzwa s+muhu s+Ikzita s+muhu s+aBiGrAta s+muhu s+loWita s+
   pratyaṅgam+ca muhus+kṛtas+mṛgadṛśā kim+kim+na cūtāṅkuras+ // VidSrk_8.4	pratyaFgam+ca muhur +kRta s+mRga dRSA kim +kim+na cUta aFkuras+ // Vit Srj _8.4
   vākkuṭasya	vAc kuwasya
   dvis+tris+kokilayā rutam+tricaturais+cūtāṅkurais+udgatam+	dvi s+tri s+kokilayA ruta m+tri caturEs+cUta aFkurEs+udgatam+
   koṣān+bobhrati kiṃśukās+madhukaraśreṇījuṣas+pañcaṣān /	kozAn+boBrati kiMSu kAs+ maDukara SreNI juzas+ paQcazAn /
   kva+api kva+api madākulākulatayā	kva+api kva+api madAkula Akula tayA
   kāntāparādhagrahagranthicchedasamudyatam+ca hṛdayam+dolāyate subhruvām //	kAnta aparADa graha granTi= Ceda samudyatam +ca hRdayam+dolAyate suBruvAm //
   VidSrk_8.5 *(156) //	Vit Srj _8.5 *(156) //
   nīlasya	nIlasya
   jambūnām+kusumodareṣu+atirasāt+ābaddhapānotsavās+	jambUnAm+kusuma udara izu +atirasAt+AbadDa pAna utsavAs+
   kīrās+pakvaphalāśayās+madhukarīs+cumbanti muñcanti ca /	kIrAs+ pakva Pala ASayAs+ maDukarIs+cumbanti muQcanti ca /
   eteṣām+api paśya kiṃśukataros+patrais+abhinnatviṣām+	etezAm +api paSya kiMSuka taros+patrEs+aBinna tvizAm+
   puṣpabhrāntibhis+āpatanti sahasā cañcūṣu bhṛṅgāṅganās+ // VidSrk_8.6	puzpa BrAnti Bis+Apatanti sahasA caQcUzu BRFga aFganAs+ // Vit Srj _8.6
   rājaśekharasya	rAjaSeKarasya
   dṛśyante	dRSyante
   madhumattakokilavadhūnirdhūtacūtāṅkuraprāgbhāraprasaratparāgasikatādurgās+taṭībhūmayas+	maDu matta kokila vaDU nirDUta cUta aFkura prAgBAra prasarat parAga sikatA durgAs+ tawIBUmayas+
   yās+kṛcchrāt+abhilaṅghya lubdhakabhayāt+tais+eva reṇūtkarais+	yAs+kRcSrAt+aBilaFGya lubDaka Baya at+tEs+A iva reNu utkarEH +
   dhārāvāhibhis+asti luptapadavīniḥśaṅkam+eṇīkulam // VidSrk_8.7 *(158) //	DArAva ahiBis+asti lupta padavI niHSaFkam+eNI kulam // Vit Srj _8.7 *(158) //
   murāres+	murAres+
   aśithilaparispandas+kunde tathā+eva madhuvratas+	aSiTila parispanda s+kunde taTA+eva maDuvrata s+
   nayanasuhṛdas+vṛkṣās+ca+ete na kuḍmalaśālinas+ /	nayana suhRdas+ vRkzAs+ca+ete na kuxmala SAlinas+ /
   dalati kalikā cautī na+asmin+tathā mṛgacakṣuṣām+	dalati kalikA cOtI na+asmin+ taTA mRgacakzuzAm+
   atha ca hṛdaye mānagranthis+svayam+śithilāyate // VidSrk_8.8 *(159) //	aTa ca hRdaye mAna granTi s+svayam +SiTilAyate // Vit Srj _8.8 *(159) //
   kāntām+hitvā virahavidhurārambhakhedālasāṅgīm+	kAntAm +hitvA viraha viDuH AramBa Keda alasa aFgIm+
   mām+ullaṅghya vrajatu pathikas+kā+api yadi+asti śaktis+ /	mAm +ullaFGya vrajatu paTika s+kA+ api yadi+asti Sakti s+ /
   iti+āśokī jagati sakale vallarī cīrikā+iva	iti+ASokI jagati sakale vallarI cIrikA+ iva
   prāptārambhe kusumasamaye kāladevena dattā // VidSrk_8.9 *(160) //	prApta AramBe kusuma samaye kAladevena dattA // Vit Srj _8.9 *(160) //
   mandam+dakṣiṇam+āhvayanti pavanam+puṃskokilavyāhṛtais+	mandam+dakziNam +Ahvayanti pavanam+puMskokila vyAhRta eH +
   saṃskurvanti vanasthalīs+kisalayottaṃsais+niṣaṇṇālibhis+ /	saMskurvanti vana sTalI s+kisalaya uttaMsa es+nizaNNa AliBis+ /
   candram+sundarayanti muktatuhinaprāvārayā jyotsnayā	candram +sundarayanti mukta tuhina prAvArayA jyotsnayA
   vardhante ca vivardhayanti ca muhus+te+amī smaram+vāsarās+ // VidSrk_8.10	varDante ca vivarDayanti ca muhur +te+amI smaram +vAsarAs+ // Vit Srj _8.10
   hṛdyasnigdhais+parabhṛtarutais+muktadīrghapravāsas+	hRdi a snigDa es+para BRta rutA es+mukta dIrGa pravAsas+
   pratyāvṛttas+madhus+iti vadan+dakṣiṇas+gandhavāhas+ /	pratyAvRtta s+maDus+iti vadan+ dakziNa s+ganDa vAhas+ /
   śiñjallolabhramaravalayas+kānanālīvadhūnām+	SiQjat lola Bramara valaya s+kAna nAlI vaDUnAm+
   sadyas+kundasmitabṛhatikās+pūrṇapātrīkaroti // VidSrk_8.11 *(162) //	sadya s+kunda smita bRhati kAs+ pUrNa pAtrIkaroti // Vit Srj _8.11 *(162) //
   lolais+kokilamaṇḍalais+madhulihām+caṃcūryamāṇais+gaṇais+	lola es+kokila maNxala es+ maDuli hAm+ caMcUryamANA es+ gaNEH +
   nīrandhrais+gṛhavāṭikāparisareṣu+aṅgāritais+kiṃśukais+ /	nIranDra es+gRha vAwikA parisara izu +aFga ari tEs+kiMSukEs+ /
   prārabdhe timire vasantasamayakṣoṇīpates+bhrāmyatas+	prArabDe timire vasanta samaya kzoNI pates+ BrAmyatas+
   prasnigdhā paritas+dhṛtā+iva kalikādīpāvalis+campakais+ // VidSrk_8.12	prasnigDA paritas+DRtA a+ iva kalikA AdIpa Avali s+campakEs+ // Vit Srj _8.12
   manovinodasya+etau	manovinodasya+etO
   cyutasumanasas+kundās+puṣpodgameṣu+alasās+drumās+	cyuta sumanasa s+kunda as+ puzpa udgama izu+ala sAs+drumAs+
   manasi ca giram+grathnanti+ime kiranti na kokilās+ /	manasi ca giram +graTnanti+ ime kiranti na kokilAs+ /
   atha ca savitus+śītollāsam+lunanti marīcayas+	aTa ca savitus+SIta ullAsam+lunanti marIcayas+
   na ca jaṭharatām+ālambante klamodayadāyinīm // VidSrk_8.13 *(164) //	na ca jaWara tAm +a Alambante klama udaya dAyinIm // Vit Srj _8.13 *(164) //
   sāmyam+samprati sevate vicakilam+ṣāṇmāsikais+mauktikais+	sAmyam +samprati sevate vicakilam+zANmAsikEs+mOktikEH +
   bāhlīkīdaśanavraṇāruṇatalais+patrais+aśokas+arcitas+ /	bAhlIkI daSana vraNa aruNa tala es+pa trEs+a Soka s+arcitas+ /
   bhṛṅgālaṅghitakoṭi kiṃśukam+idam+kiṃcit+vivṛntāyate	BRFga alaFGita kowi kiMSukam +idam +kiMcit+ vivRntAyate
   māñjiṣṭhais+mukulais+ca pāṭalitaros+anyā+eva kācit+lipis+ // VidSrk_8.14	mAQjizWA es+mukulEH +ca pAwalita ros+anyA+ eva kAcit+ lipis+ // Vit Srj _8.14
   garbhagranthiṣu vīrudhām+sumanasas+madhye+aṅkuram+pallavās+	garBa granTizu vIruDAm +su manasa s+ maDye+aFkuram +pallavAs+
   vāñchāmātraparigrahas+pikavadhūkaṇṭhodare pañcamas+ /	vAQCA mAtra parigraha s+pika vaDU kaNWa udare paQcamas+ /
   kim+ca trīṇi jagani jiṣṇu divasais+dvitrais+manojanmanas+	kim +ca trINi jagani jizNu divasa es+dvi tra es+manaH jan manas+
   devasya+api cirojjhitam+yadi bhavet+abhyāsavaśyam+dhanus+ // VidSrk_8.15	devasya+ api cira ujJitam +yadi Bavet +aByAsa vaSyam+Danus+ // Vit Srj _8.15
   rājaśekharasya+etau	rAjaSeKarasya+etO
   śītās+tais+iva bhagnaśaiśiraniśābhāgais+ahas+sphāyate	SIta As+tEs+iva Bagna SESira niSA BAga es+ahas+ sPAyate
   garbham+bibhrati kiṃśukās+iva diśām+tāpāya vahnyaṅkuram /	garBam+biBrati kiMSu kAs+iva diSAm +tApAya vahni aFkuram /
   kim+ca svāśrayasambhṛtaprathimasu cchāyātapāṅgeṣu+ayam+	kim +ca sva ASraya samBRta praTimasu cCAyAtapa aFga izu+ayam+
   lokas+stokarasas+adya na kvacit+api svacchandam+ānandati // VidSrk_8.16	loka s+stoka rasa s+adya na kvacit+ api svacCandam +A Anandati // Vit Srj _8.16
   trilocanasya	trilocanasya
   udbhinnastabakāvataṃsasubhagās+preṅkhanmarunnartitās+	udBinna stabaka avataMsa suBagAs+ preFKan marunnarti tAs+
   puṣpodgīrṇaparāgapāṃśulalasatpatraprakāṇḍatviṣas+ /	puzpa udgIrNa parAga pAMSu lalasat patra prakANxa tvizas+ /
   gambhīrakramapañcamonmadapikadhvānocchaladgītayas+	gamBIra krama paQcama unmadapika DvAna ucCalat gItayas+
   pratyujjīvitamanmathotsavas+iva krīḍanti+amū bhūruhas+ // VidSrk_8.17	pratyujjIvita manmaTa utsava s+iva krIxanti +amU BUruhas+ // Vit Srj _8.17
   prāk+eva jaitram+astram+sahakāralatā smarasya cāpabhṛtas+ /	prAk+eva jEtram +a stram+sahakAralatA smarasya ca apaBRtas+ /
   kim+punar+analpanipatitamadhukaraviṣakalkalepena // VidSrk_8.18 *(169) //	kim+punar+analpa nipatita maDukara viza kalka lepena // Vit Srj _8.18 *(169) //
   śubhāṅgasya	SuBa aFgasya
   svasti śrīmalayācalāt+smarasakhas+śrīmān+vasantānilas+	svasti SrI malayA acala at+sma rasaKa s+ SrImAn +vasantA anilas+
   krīḍāveśmasu kāminas+kuśalayati+etat+ca vakti+itarat /	krIxA veSmasu kAmina s+kuSala yati +etat+ca vakti+itarat /
   eṣas+aham+muditālikokilakulam+kurvan+vanam+prāptavān+	ezas+aham+mudita ali kokila kulam +kurvan+ vanam +prAptavAn +
