   Madhusūdanasarasvatī: Siddhāntabindu	MaDusUdana-sarasvatI: SidDAnta-bindu
   brahmacaitanyasyādhiṣṭhānatvapakṣe 'pi gaja ity ākārair eva pratītiḥ syān	brahmacEtanyasya-aDizWAna-tva-pakze api gajaH iti AkArEH eva pratItiH syAt-
   na tv ayaṃ gaja iti tatrāpīdaṅkārāspadībhūtabāgyārthābhāvasya samānatvād	na tu ayam gajaH iti tatra-apIdaFkAra-AspadIBUta-bAgya-arTa-aBAvasya samAna-tvAt-
   iti cet, na, ādye pakṣe ahaṅkārasya śuktivad adhiṣṭhānānavacchedakatvāt	iti cet, na, Adye pakze ahaFkArasya Sukti-vat aDizWAna-anavacCedaka-tvAt-
   śuktī rajatam itivad ahaṃ gaja iti na bhramakāraprasaṅgaḥ / aham iti	SuktiH rajatam iti-vat aham gajaH iti na BramakAra-prasaFgaH / aham iti
   jñānasyeyaṃ śuktir iti jñānasyeva bhramavirodhitvāt, idamaṃśasya ca	jQAnasya-iyam SuktiH iti jQAnasya-iva Brama-viroDi-tvA-at, idam-aMSasya ca
   bhramāvirodhina eva tatra bhānābhyupagamāt / antye tu gaja ity ākāravad	Brama-aviroDinaH eva tatra BAna-aByupagamAt / antye tu gajaH iti AkAra-vat-
   ayam ity ākāro 'pi kalpita eva / ubhayākārabādhe 'py	ayam iti AkAraH api kalpitaH eva / uBaya-AkAra-bADe api-
   adhiṣṭhānabhūtacaitanyābādhān na śūnyavādaprasaṅgaḥ / jāgraddaśāyām api	aDizWAna-BUta-cEtanya-AbADAt na SUnya-vAda-prasaFgaH / jAgrat-daSAyAm api
   śuktīdaṅkāravilakṣaṇasya prātītikasyaiva rajatedaṅkārasya bhānābhyupagamāc	SuktIdaFkAra-vilakzaNasya prAtItikasya-eva rajatet-aFkArasya BAna-aByupagamAt-
   ca / "adhyastam eva hi parisphurati bhrameṣu" (SŚ I.36.) iti nyāyāt /	ca / "aDyastam eva hi parisPurati Brama-izu" (SŚ I.36.) iti nyAyAt /
   śuktīidamaṃśabhānapakṣe 'pi na idamaṃśasatyatvam adhyāse prayojakam, kintv	SuktIidam-aMSa-BAna-pakze api naH idam-aMSa-satya-tvam aDyAse prayojakam, kintv
   adhiṣṭhānasatyatvam / adhiṣṭhānaṃ ca tatrājñātaśukticaitanyam ivātrāpi	aDizWAna-satya-tvam / aDizWAnam ca tatra-ajQAta-Sukti-cEtanyam iva-atra-api
   sākṣicaitanyaṃ vidyata evety upapāditam / tasmān na pakṣadvaye 'pi kāpy	sAkzi-cEtanyam vidyate eva-iti upapAditam / tasmAt na pakza-dvaye api kApy
   anupapattiḥ /	anupapattiH /
   atra ca svāpnikapadārthabhoktā taijasa ity ucyate /	atra ca svApnika-padArTa-BoktA tEjasaH iti ucyate /
   pittākhyatejaḥpradhānatvād ādityādijyotirantareṇāpi bhāsakatvād iti vā /	pitta-AKya-tejaH-praDAna-tvAt AdityAdi-jyotiH-antareNa-api BAsaka-tvAt iti vA /
   evaṃ jāgratsvapnabhogadvayena śrāntasya jīvasya tadubhayakāraṇakarmakṣaye	evam jAgrat-svapna-Boga-dvayena SrAntasya jIvasya tad-uBaya-kAraNa-karma-kzaye
   jñānaśaktyavacchinnasya savāsanasyāntaḥkaraṇasya kāraṇātmanāvasthāne sati	jQAna-Sakti-avacCinnasya sa-vAsanasya-antaHkaraNasya kAraNa-AtmanA-avasTAne sati
   viśrāmasthānaṃ suṣuptyavasthā / na kiñcid avediṣam iti	viSrAma-sTAnam suzupti-avasTA / na kiQcid avedizam iti
   kāraṇamātropalambhaḥ suṣuptiḥ / tatra jāgratsvapnabhogyapadārthajñānābhāve	kAraNa-mAtra-upalamBaH suzuptiH / tatra jAgrat-svapna-Bogya-padArTa-jQAna-aBAve
   'pi sākṣyākāraṃ, sukhākāraṃ, avasthājñānākāraṃ cāvidyāyāḥ vṛttitrayam	api sAkzi-AkAraM, suKa-AkAraM, avasTA-jQAna-AkAram ca-avidyAyAH vRtti-trayam
   abhyupeyate / ahaṅkārābhāvāc ca naikā viśiṣṭavṛttiḥ suṣuptyabhāvaprasaṅgāt	aByupeyate / ahaFkAra-aBAvAt ca na-ekA viSizwa-vRttiH suzupti-aBAva-prasaFgAt-
   / ata eva vṛttirūpasyopalambhasyābhāvān na pralaye 'tivyāptiḥ, tatra	/ atas eva vRtti-rUpasya-upalamBasya-aBAvAt na pralaye ati-vyAptiH, tatra
   tatkalpanābījābhāvāt, iha ca sukham aham asvāpsaṃ na kiñcid avediṣam iti	tad-kalpanA-bIja-aBAva-at, iha ca suKam aham asvApsam na kiQcid avedizam iti
   suptotthitasya parāmarśāt, ananubhave ca parāmarśānupapatteḥ /	supta-utTitasya parAmarSAt, ananuBave ca parAmarSa-anupapatteH /
   antaḥkaraṇoparāgakālīnānubhavajanyatvābhāvāc ca na tattollekhābhāve 'pi	antaHkaraNa-uparAga-kAlIna-anuBava-janya-tva-aBAvAt ca na tad-tolleKA-aBAve api
   smaraṇatvānupapattiḥ / smaraṇe tattollekhaniyamābhāvāc ca jāgraddaśāyām	smaraNatva-anupapattiH / smaraNe tad-ta-ulleKa-niyama-aBAvAt ca jAgrat-daSAyAm
   asvāpsam ity anubhavānupapatteḥ liṅgābhāvena ca āśrayāsiddhyā	asvApsam iti anuBava-anupapatteH liFga-aBAvena ca ASraya-asidDyA
   cānumānasyāsaṃbhavāt / ahaṅkāras tu utthānasamaya evānubhūyate / suṣuptau	ca-anumAnasya-asaMBavAt / ahaFkAraH tu utTAna-samayaH eva-anuBUyate / suzuptO
   līnatvena tasyānanūbhūtatvāt smaraṇānupapatteḥ / mukhapratibimbāśraye	lIna-tvena tasya-ananUBUta-tvAt smaraNa-anupapatteH / muKa-pratibimba-ASraye
   darpaṇe japākusumalauhityādhyāse raktaṃ mukham iti pratītivad	darpaNe japA-kusuma-lOhitya-aDyAse raktam muKam iti pratIti-vat-
   ahaṅkārāśrayasākṣicaitanyasya smaraṇāśrayatvāt aham asvāpsam iti	ahaFkAra-ASraya-sAkzi-cEtanyasya smaraNa-ASraya-tvAt aham asvApsam iti
   sāmānādhikaraṇyapratītiḥ, na punar ahaṃ sukhīti vāśrayatayā /	sAmAnADikaraNya-pratItiH, na punar aham suKI-iti vA-ASraya-tayA /
   smṛtisaṃśayaviparyayāṇāṃ sākṣicaitanyāśrayatvaniyamād ahaṅkārasya ca	smRti-saMSaya-viparyayANAm sAkzi-cEtanya-ASraya-tva-niyamAt ahaFkArasya ca
   pramāṇajanyajñānāśrayatvāt pramātvenaiva tatkāryatāvacchedāt,	pramANa-janya-jQAna-ASraya-tvAt pramAtvena-eva tad-kArya-tAvacCedAt,
   apramātvāvacchedena ca avidyāyā eva kāraṇatvāt / ata eva	apramAtvA-avacCedena ca avidyAyAH eva kAraNa-tvAt / atas eva
   anāptavākyādijanyaparokṣavibhramo 'pi avidyāvṛttir evety abhyupagamo	anApta-vAkya-Adi-janya-parokza-viBramaH api avidyA-vRttiH eva-iti aByupagamaH-
   vedāntavidām / tatrāntaḥkaraṇavṛttijanakasāmagrīsambhave 'pi	vedAnta-vidAm / tatra-antaHkaraNa-vRtti-janaka-sAma-grI-samBave api
   pramātvābhāvāvarodhenāntaḥkaraṇasyāsāmarthyāt / nāmādiṣu brahmādhyāsas tu	pramAtvA-aBAva-avaroDena-antaHkaraNasya-asAmarTyAt / nAma-Adizu brahma-aDyAsaH tu
   icchādhīnatayā bhramapramāvilakṣaṇā manovṛttir eva kāmādivat / tad uktaṃ	icCA-aDIna-tayA Brama-pramA-vilakzaNAH manaH-vRttiH eva kAma-Adi-vat / tat uktam
   "ata eva codanājanyatvān mānasī kriyaiva sā, na jñānam" iti / etena	"ataH eva codanA-janya-tvAt mAnasI kriyA-eva sA, na jQAnam" iti / etena
   tarkasyāpi manovṛttitvaṃ vyākhyātam / vyāpyāropeṇa	tarkasya-api manaH-vRtti-tvam vyAKyAtam / vyApya-AropeNa
   vyāpakaprasañjanātmakasya tasya icchādhīnatayā bhramapramāvilakṣaṇatvāt /	vyApaka-prasaQjana-Atmakasya tasya icCA-aDIna-tayA Brama-pramA-vilakzaNa-tvAt /
   ata eva manananididhyāsanasahite śravaṇākhye vedāntavicāre śrotavyo	atas eva manana-nidiDi-a-Asana-sahite SravaNa-AKye vedAnta-vicAre SrotavyaH-
   mantavyo nididhyāsitavya ityādividhir upapadyate, tasya	mantavyaH nidiDyAsitavyaH ityAdi-viDiH upapadyate, tasya
   caturvidhānvayavyatirekāditarkarūpatvāt / dṛgdṛśyānvayavyatirekaḥ,	caturviDa-anvaya-vyatireka-Adi-tarka-rUpa-tvAt / dRS-dRSya-anvaya-vyatirekaH,
   sākṣisākṣyānvayavyatirekaḥ, āgamāpāyitadavadhyanvayavyatirekaḥ,	sAkzi-sAkzya-anvaya-vyatirekaH, Agama-apAyi-tada-vaDi-anvaya-vyatirekaH,
   duḥkhiparamapremāspadānvayavyatireka iti / anuvṛttavyāvṛttānvayavyatirekaḥ	duHKi-parama-prema-Aspada-anvayavyatirekaH iti / anuvRtta-vyAvRtta-anvaya-vyatirekaH
   pañcamaḥ / etac ca sarveṣāṃ vedāntānukūlatarkāṇāṃ	paQcamaH / etat ca sarvezAm vedAnta-anukUla-tarkANAm
   caturlakṣaṇīmīmāṃsāpratipāditānām upalakṣaṇam ity abhiyuktāḥ / vistaras tu	catur-lakzaNI-mImAMsA-pratipAditAnAm upalakzaNam iti aBiyuktAH / vistaraH tu
   vedāntakalpalatikāyām anusandheyaḥ /	vedAnta-kalpa-latikAyAm anusanDeyaH /
   tad evaṃ suṣuptyavasthāyām asty ānandabhogas tadbhoktā ca suṣuptyabhimānī	tat evam suzupti-avasTAyAm asti Ananda-BogaH tad-BoktA ca suzupti-aBimAnI
   prājña ity ucyate / prakarṣeṇājñatvāt tadānīṃ viśeṣāvacchedābhāvena	prAjQaH iti ucyate / prakarzeNa-AjQa-tvAt tadAnIm viSeza-avacCeda-aBAvena
   prakṛṣṭajñatvād vā / tadānīṃ cāntaḥkaraṇasya laye 'pi	prakRzwa-jQa-tvAt vA / tadAnIm ca-antaHkaraNasya laye api
   tatsaṃskāreṇāvacchedān na jīvābhāvaprasaṅgaḥ, na vā sārvajñāpattiḥ /	tad-saMskAreNa-avacCedAt na jIva-aBAva-prasaFgaH, na vA sArvajQApattiH /
   īśvarābhedapratipādanaṃ ca śarrirendriyādyabhimānarahitatvenopacārāt /	ISvara-aBeda-pratipAdanam ca Sarrira-indriya-Adi-aBimAna-rahita-tvena-upacArAt /
   saṃskārasya ca nimittakāraṇatvena sākṣyāśritakāryopādānakoṭāv apraveśān na	saMskArasya ca nimitta-kAraNa-tvena sAkzi-ASrita-kArya-upAdAna-kowO apraveSAt na
   tadbhede 'pi sākṣibhedaḥ / jāgaraṇe tv antaḥkaraṇasya	tad-Bede api sAkzi-BedaH / jAgaraNe tu antaHkaraNasya
   pramāśritakāryopādānakoṭau praveśāt tadbhedena pramātṛbheda eva / sākṣiṇa	pramA-ASrita-kArya-upAdAna-kowO praveSAt tad-Bedena pramAtR-BedaH eva / sAkziNa
   eva cādhikopādhiviśiṣṭasya pramātṛtvān na pratisandhānānupapattir iti /	eva ca-aDika-upa-aDi-viSizwasya pramAtR-tvAt na pratisanDAna-anupapattiH iti /
        mātṛmānaprabhede 'pi pratidehaṃ na bhidyate /	mAtR-mAna-praBede api pratideham na Bidyate /
        sākṣī bāhyārthavad yasmāt sa ātmety ucyate tataḥ //	sAkzI bAhya-arTavat yasmAt saH AtmA-iti ucyate tatas //
        vyabhicāro mitho yadvat pramātrādeḥ svasākṣikaḥ /	vyaBicAraH miTas yadvat pramAtrAdeH sva-sAkzikaH /
        sarvamātrādyabhāvārthasākṣitvān na tathātmanaḥ // (BAUBhV	sarva-mAtra-Adi-a-BAva-arTa-sAkzi-tvAt na taTA-AtmanaH // (BAUBhV
   III.4.54-55.)	III.4.54-55.)
   iti vārtikakārapādair vyavahāradaśāyām api sākṣibhedanirākaraṇāt suṣuptau	iti vArtikakAra-pAdEH vyavahAra-daSAyAm api sAkzi-Beda-nirAkaraNAt suzuptO
   tadbhedakalpanaṃ keṣāñcid vyāmohamātram ity avadheyam /	tad-Beda-kalpanam kezAQcid vyAmoha-mAtram iti avaDeyam /
   nanu, duḥkham aham asvāpsam iti kasyacit kadācit parāmarśāt suṣuptau	nanu, duHKam aham asvApsam iti kasyacid kadAcid parAmarSAt suzuptO
   duḥkhānubhavo 'py astu / na, tadānīṃ duḥkhasāmagrīviraheṇa tadabhāvāt /	duHKa-anuBavaH api astu / na, tadAnIm duHKa-sAmagrI-viraheNa tad-aBAvAt /
   sukhasya cātmasvarūpatvena nityatvāt śayyāder asamīcīnatve ca duḥkham ity	suKasya ca-Atma-svarUpa-tvena nitya-tvAt SayyA-AdeH asamIcIna-tve ca duHKam iti-
   upacārāt duḥkham aham asvāpsam iti pratyayopapattiḥ / atha vā	upacArAt duHKam aham asvApsam iti pratyaya-upapattiH / aTa vA
   avasthātrayasyāpi traividhyāṅgīkārāt suṣuptāv api duḥkham upapadyate /	avasTA-trayasya-api trEviDyA-aFgIkArAt suzuptO api duHKam upapadyate /
   tathā hi pramājñānaṃ jāgrajjāgrat, śuktirajatādivibhramo jāgratsvapnaḥ,	taTA hi pramA-jQAnam jAgrat-jAgrat, Sukti-rajata-Adi-viBramaH jAgrat-svapnaH,
   śramādinā stabdhībhāvo jāgratsuṣuptiḥ / evaṃ svapne mantrādiprāptiḥ	Srama-AdinA stabDIBAvaH jAgrat-suzuptiH / evam svapne mantra-Adi-prAptiH
   svapnajāgrat, svapne 'pi svapno mayā dṛṣṭa iti buddhiḥ svapnasvapnaḥ,	svapna-jA-agrat, svapne api svapnaH mayA dRzwaH iti budDiH svapna-svapnaH,
   jāgraddaśāyāṃ kathayituṃ na śakyate svapnāvasthāyāṃ ca yatkiñcid	jAgrat-daSAyAm kaTayitum na Sakyate svapna-avasTAyAm ca yat-kiQcid-
   anubhūyate tatsvapnasuṣuptiḥ / evaṃ suṣuptyavasthāyām api sātvikī yā	anuBUyate tad-svapna-suzuptiH / evam suzupti-avasTAyAm api sAtvikI yA
   sukhākārā vṛttiḥ sā suṣuptijāgrat, tadanantaraṃ sukham aham asvāpsam iti	suKa-AkArA vRttiH sA suzupti-jAgrat, tad-anantaram suKam aham asvApsam iti
   parāmarśaḥ, tatraiva yā rājasī vṛttiḥ sā suṣuptisvapnaḥ, tadanantaram eva	parAmarSaH, tatra-eva yA rAjasI vRttiH sA suzupti-svapnaH, tad-anantaram eva
   duḥkham aham asvāpsam iti parāmarśopapattiḥ, tatraiva yā tāmasī vṛttiḥ sā	duHKam aham asvApsam iti parAmarSa-upapattiH, tatra-eva yA tAmasI vRttiH sA
   suṣuptisuṣuptiḥ, tadanantaraṃ gāḍhaṃ mūḍho 'ham āsam iti parāmarśaḥ /	suzupti-suzuptiH, tad-anantaram gAXam mUXaH aham Asam iti parAmarSaH /
   yathā caitat tathā vāsiṣṭhavārtikāmṛtādau spaṣṭam /	yaTA ca-etat taTA vAsizWa-vArtikA-amRta-AdO spazwam /
   evam adhyātmaṃ viśvaḥ, adhibhūtaṃ virāṭ, adhidaivaṃ viṣṇuḥ, adhyātmaṃ	evam aDyAtmam viSvaH, aDiBUtam virAw, aDidEvam vizNuH, aDyAtmam
   jāgrat, adhidaivaṃ pālanaṃ, adhibhūtaṃ sattvaguṇaḥ / evam adhyātmaṃ	jAgrat, aDidEvam pAlanan, aDiBUtam sattva-guNaH / evam aDyAtmam
   taijasaḥ, adhibhūtaṃ hiraṇyagarbhaḥ, adhidaivaṃ brahmāḥ, adhyātmaṃ	tEjasaH, aDiBUtam hiraNyagarBaH, aDidEvam brahmAH, aDyAtmam
   svapnaḥ, adhidaivaṃ sṛṣṭiḥ, adhibhūtaṃ rajoguṇaḥ / evaṃ adhyātmaṃ prājñaḥ,	svapnaH, aDidEvam sRzwiH, aDiBUtam rajaH-guNaH / evam aDyAtmam prAjQaH,
   adhibhūtam avyākṛtaṃ, adhidaivaṃ rudraḥ, adhyātmaṃ suṣuptiḥ, adhidaivaṃ	aDiBUtam avyAkRtan, aDidEvam rudraH, aDyAtmam suzuptiH, aDidEvam
   pralayaḥ, adhibhūtaṃ tamoguṇaḥ / evam adhyātmādhibhūtādhidevānām ekatvāt	pralayaH, aDiBUtam tamaH-guNaH / evam aDyAtma-aDiBUta-aDidevAnAm eka-tvAt-
   praṇavāvayavatrayasahitānām eteṣām upahitānām aikyopāsanayā	praNava-avayava-traya-sahitAnAm etezAm upahitAnAm Ekya-upAsanayA
   hiraṇyagarbhalokaprāptiḥ, antaḥkaraṇaśuddhidvārā kramamuktiś ca / etat	hiraNyagarBa-loka-prAptiH, antaHkaraNa-SudDi-dvArA krama-muktiH ca / etat-
   sarvopādhinirākāraṇena sākṣicaitanyamātrajñānena tu sākṣād eva mokṣa iti /	sarva-upADi-nirAkAraNena sAkzi-cEtanya-mAtra-jQAnena tu sAkzAt eva mokzaH iti /
   tad evaṃ trayāṇām apy avasthātrayasahitānāṃ viśvataijasaprājñānām	tat evam trayANAm api avasTA-traya-sahitAnAm viSva-tEjasa-prAjQAnAm
   avidyātmakatvāt dṛ.śyatvena ca mithyātvād anupahitaḥ kevalaḥ sākṣī	avidyA-Atmaka-tvAt dR.Sya-tvena ca miTyAtvAt anupahitaH kevalaH sAkzI
   turīyākhyo 'ham asmīty arthaḥ / evaṃ vyavahārataḥ sarvavyavasthopapatteḥ	turIya-AKyaH aham asmi-iti arTaH / evam vyavahArataH sarva-vyavasTA-upapatteH
   paramārthataḥ kasyā apy avasthāyā abhāvān na kāpy anupapattiḥ / vistareṇa	paramArTataH kasyE api avasTAyAH aBAvAt na kA-api anupapattiH / vistareNa
   caitat prapañcitam asmābhir vedāntakalpalatikāyām ity uparamyate // 8 //	ca-etat prapaQcitam asmABiH vedAnta-kalpa-latikAyAm iti uparamyate // 8 //
   nanu, jāgratsvapnasuṣuptyavasthāsahitānāṃ trayāṇām api tadabhimānināṃ	nanu, jAgrat-svapna-suzupti-avasTA-sahitAnAm trayANAm api tad-aBimAninAm
   mithyātvāt, tatsākṣiṇo 'pi mithyātvaṃ syāt, aviśaṣāt, ity āśaṅkya	miTyAtva-at, tad-sAkziNaH api miTyAtvam syAt, aviSazAt, iti ASaFkya
   viśeṣābhidhānena sākṣiṇaḥ satyatvam āha --	viSeza-aBiDAnena sAkziNaH satya-tvam Aha --
        api vyāpakatvād dhitatvaprayogāt svataḥ siddhabhāvād ananyāśrayatvāt	api vyApaka-tvAt Dita-tva-prayogAt svatas sidDa-BAvAt ananya-ASraya-tvAt
        jagattuccham etat samastaṃ tad anyat tad eko 'vaśiṣṭaḥ śivaḥ kevalo	jagat-tucCam etat samastam tat anyat tat ekaH avaSizwaH SivaH kevalaH-
   'ham // 9 //	aham // 9 //
   "na dṛṣṭer draṣṭāraṃ paśyeḥ" (BAU III.4.2.) iti sākṣiṇaṃ prakṛtya "ato	"na dRzweH drazwAram paSyeH" (BAU III.4.2.) iti sAkziNam prakRtya "ataH-
   'nyad ārtam" (BAU III.4.2.) iti śruteḥ sākṣiṇo 'nyat sākṣyaṃ sarvaṃ	anyat Artam" (BAU III.4.2.) iti SruteH sAkziNaH anyat sAkzyam sarvam
   jagattucchaṃ, na tu sākṣī / bādhāvadhitvāt bhramādhiṣṭhānatayā jñātatvāc	jagat-tucCan, na tu sAkzI / bADa-avaDi-tvAt Brama-aDizWAna-tayA jQAta-tvAt-
   ca, tadbādhagrāhakābhāvāc cetyādyanuktasamuccayārthaḥ apiśabdaḥ / "atha	ca, tad-bADa-grAhaka-aBAvAt ca-ityAdi-anukta-samuccaya-arTaH api-SabdaH / "aTa
   yad alpaṃ tat martyam" (ChU VII.24.1.) iti śruteḥ	yat alpam tat martyam" (ChU VII.24.1.) iti SruteH
   paricchinnatvatucchatvayoḥ samavyāptatvāt paricchinnatvanivṛttyā	paricCinna-tva-tucCa-tvayoH samavyApta-tvAt paricCinna-tva-nivRttyA
   tucchatvanivṛttir ity āha -- vyāpakatvād iti / "sarvaṃ khalv idaṃ brahma"	tucCa-tu-a-nivRttiH iti Aha - vyApaka-tvAt iti / "sarvam Kalu idam brahma"
   (ChU III.14.1.) iti sarvātmatvopadeśena deśakālāparicchinnatvāt,	(ShU III.14.1.) iti sarva-Atma-tva-upadeSena deSa-kAla-aparicCinna-tvAt,
   ākāśādīnāṃ ca deśakālaparichinnatve 'py āpekṣikamahattvena	AkASa-AdInAm ca deSa-kAla-pariCinna-tve api Apekzika-mahat-tvena
   vyāpakatvopacārāt / nanu, sarvavyāpakatvena nityatvād bhāvarūpatvāc cātmā	vyApaka-tva-upacArAt / nanu, sarva-vyApaka-tvena nitya-tvAt BAva-rUpa-tvAt ca-AtmA
   na duḥkhanivṛttirūpaḥ, nāpi sukharūpaḥ, sukhasyānityatvena	na duHKa-nivRtti-rUpaH, na-api suKa-rUpaH, suKasya-anitya-tvena
   nityātmarūpatvānupapatteḥ, tathā cātmasvarūpo mokṣo 'puruṣārtha evety	nitya-Atma-rUpatva-anupapatteH, taTA ca-Atma-svarUpaH mokzaH apuruza-arTaH eva-iti-
   āśaṅkya, na, ityāha -- hitatvaprayogād iti / hitatvaṃ, puruṣārthatvam /	ASaFkya, na, iti-Aha - hita-tva-prayogAt iti / hita-tvan, puruza-arTa-tvam /
   "tad etat preyaḥ putrāt preyo vittāt preyo 'nyasmāt sarvasmād antarataraṃ	"tat etat preyaH putrAt preyaH vittAt preyaH anyasmAt sarvasmAt antarataram
   yad ayam ātmeti" (BAU I.4.8.) "yo vai bhūmā tat sukhaṃ" (ChU VII.23.1.)	yat ayam AtmA-iti" (BAU I.4.8.) "yaH vE BUmA tat suKaM" (ShU VII.23.1.)
   "eṣa eva parama ānandaḥ" (BAU IV.3.33.) "vijñānam ānandaṃ brahma" (BAU	"ezaH eva paramaH AnandaH" (BAU IV.3.33.) "vijQAnam Anandam brahma" (BAU
   III.9.28.) ityādiśrutibhyas tasya paramānandarūpatvopadeśāt / tasya ca	III.9.28.) ityAdi-SrutiByaH tasya parama-Ananda-rUpa-tva-upadeSAt / tasya ca
   nityatve 'pi loke dharmajanyatattadantaḥkaraṇavṛttivyaṅgyatayā	nitya-tve api loke Darma-janya-tad-tad-antaHkaraNa-vRtti-vyaFgya-tayA
   tadutpattivināśopacāraḥ / ajñānavyavahitasya ca tasyāprāptasyeva	tad-utpatti-vinASa-upacAraH / ajQAna-vyavahitasya ca tasya-aprAptasya-iva
   jñānamātrād avidyānivṛttyā prāptir iva bhavatīti taduddeśena	jQAna-mAtrAt avidyA-nivRttyA prAptiH iva Bavati-iti tad-uddeSena
   mumukṣupravṛttyupapattiḥ / adhyastasya prapañcasya	mumukzu-pravRtti-upapattiH / aDyastasya prapaQcasya
   duḥkhasvarūpasyādhiṣṭhānatvāt sa evābhāva iti duḥkhābhāvarūpatvenāpi tasya	duHKa-svarUpasya-aDizWAna-tvAt saH eva-aBAvaH iti duHKa-aBAva-rUpa-tvena-api tasya
   puruṣārthatā /	puruza-arTa-tA /
   nanu, mokṣe sukhaṃ saṃvedyate na vā / nādyaḥ, tadānīṃ dehendriyādyabhāvena	nanu, mokze suKam saMvedyate na vA / na-AdyaH, tadAnIm deha-indriya-Adi-aBAvena
   tadvyañjakābhāvāt, vyañjakābhāve 'pi tatsaṃvedanābhyupagame saṃsāradaśāyām	tad-vyaQjaka-aBAvAt, vyaQjaka-aBAve api tad-saMvedana-aByupagame saMsAra-daSAyAm
   api tathā prasaṅgāt / na dvitīyaḥ, apuruṣārthatvāpatteḥ, jñāyamānasyaiva	api taTA prasaFgAt / na dvitIyaH, apuruza-arTa-tva-ApatteH, jQAyamAnasya-eva
   tasya puruṣārthatvāt / ata eva śarkarātadbhojinor iveti vaiṣṇavaṃ	tasya puruza-arTa-tvAt / atas eva SarkarA-tad-BojinoH iva-iti vEzNavam
   manyamānānām udgāra iti cet, na, ityāha -- svataḥ siddhabhāvād iti /	manyamAnAnAm udgAraH iti cet, na, iti-Aha - svatas sidDa-BAvAt iti /
   svaprakāśajñānarūpatvād ity arthaḥ / yady api saṃsāradaśāyām	sva-prakASa-jQAna-rUpa-tvAt iti arTaH / yadi api saMsAra-daSAyAm
   avidyāvṛtarūpatvād ātmā paramānandarūpatayā na prathate tathāpi	avidyA-AvRta-rUpa-tvAt AtmA parama-Ananda-rUpa-tayA na praTate taTA-api
   tattvavidyayāvidyānivṛttau svaprakāśatayā svayam eva paramānandarūpeṇa	tattva-vidyayA-avidyA-nivRttO sva-prakASa-tayA svayam eva parama-Ananda-rUpeNa
   prakāśata iti na vyañjakāpekṣā / nanu, sukhasya svaprakāśajñānarūpatve 'pi	prakASate iti na vyaQjaka-apekzA / nanu, suKasya sva-prakASa-jQAna-rUpa-tve api
   nātmarūpatā, jñānasya dhātvartharūpatayā kriyātvena sāśrayatvāt jānāmīti	na-Atma-rUpa-tA, jQAnasya DAtu-arTa-rUpa-tayA kriyA-tvena sa-ASraya-tvAt jAnAmi-iti
   pratīteḥ, jñānam aham asmīty apratīteś ca / tathā ca katham advaitavāda	pratIteH, jQAnam aham asmi-iti apratIteH ca / taTA ca kaTam advEtavAda
   ity āśaṅkya, na, ity āha -- ananyāśrayatvād iti / "yatsākṣād aparokṣād	iti ASaFkya, na, iti Aha - ananya-ASraya-tvAt iti / "yat-sAkzAt aparokzAt-
   brahma ya ātmā  sārvāntaraḥ" (BAU III.4.1.) ityādiśruteḥ	brahma yaH AtmA  sArva-antaraH" (BAU III.4.1.) ityAdi-SruteH
   svaprakāśajñānānandarūpa evātmā, antaḥkaraṇatādātmyādhyāsena ca tadvṛttau	sva-prakASa-jQAna-Ananda-rUpaH eva-AtmA, antaHkaraNa-tAdAtmya-aDyAsena ca tad-vRttO
   jñānādhyāsāj jānāmīti tadāśrayatvapratītiḥ / dhātvarthatvam	jQAna-aDyAsAt jAnAmi-iti tad-ASraya-tva-pratItiH / DAtu-arTa-tvam
   utpattivināśavattvaṃ cāntaḥkaraṇavṛtter iti jñaptirūpamukhajñānasya	utpatti-vinASavat-tvam ca-antaHkaraNa-vRtteH iti jQapti-rUpa-muKa-jQAnasya
   sarvādhiṣṭhānatvenānyāśrayatvābhāvān na dvaitāpattiḥ / tena	sarva-aDizWAna-tvena-anya-ASraya-tva-aBAvAt na dvEtApattiH / tena
   jñānasukhātmaka ātmā satyas tadbhinnaṃ ca sarvaṃ jagad asatyam iti siddham	jQAna-suKa-AtmakaH AtmA satyaH tad-Binnam ca sarvam jagat asatyam iti sidDam
   nanu, sarvasya jagatas tucchatve tanniṣedhenātmatattvapratipattir na syāt	nanu, sarvasya jagataH tucCa-tve tad-nizeDena-Atma-tattva-pratipattiH na syAt-
   / na hi śaśaviṣāṇaṃ niṣidhyate, kvacit pramitaṃ kvacin niṣidhyata iti	/ na hi SaSa-vizANam niziDyate, kvacid pramitam kvacid niziDyate iti
   nyāyāt / tathā ca niṣedhānupapattyaiva na jagatas tucchatvam iti, na, ity	nyAyAt / taTA ca nizeDa-anupapattyA-eva na jagataH tucCa-tvam iti, na, iti-
   āha --	Aha --
        na caikaṃ tadanyad dvitīyaṃ kutaḥ syāt na vā kevalatvaṃ na	na ca-ekam tat-anyat dvitIyam kutas syAt na vA kevala-tvam na
   cākevalatvam /	ca-Akevala-tvam /
        na śūnyaṃ na cāśūnyam advaitakatvāt kathaṃ sarvavedāntasiddhaṃ	na SUnyam na ca-aSUnyam advEtaka-tvAt kaTam sarva-vedAnta-sidDam
   bravīmi // 10 //	bravImi // 10 //
